[00:00:00.109 --> 00:00:00.469]  Brother.
[00:44:06.035 --> 00:44:09.857]  Because all that's coming out of most of these plants is carbon dioxide and water vapor.
[00:44:11.037 --> 00:44:15.818]  But they can list it because it sounds scary, as a pollutant they can tax it or shut it down selectively.
[00:44:16.579 --> 00:44:20.300]  So that's why we did this, was to show how they deceive.
[00:44:21.786 --> 00:44:22.767]  And how they manipulate.
[00:44:23.607 --> 00:44:34.172]  And so for radio listeners, it's powerful audio, but the video is up on PrisonPlanet.com and InfoWars.com for everybody to see if you're a radio listener and want to check out that report.
[00:44:34.192 --> 00:44:35.433]  It's even more powerful seeing it.
[00:44:36.093 --> 00:44:37.194]  Here is the report.
[00:44:37.774 --> 00:44:39.775]  Should we ban water to save the Earth?
[00:44:40.716 --> 00:44:44.978]  I don't usually hand out a lot of assignments, but I said, you know what, I like this Penn & Teller piece from nine years ago.
[00:44:46.741 --> 00:44:50.965]  And I've actually talked to people on the street that say, ban dihydrogen monoxide, which is water.
[00:44:51.605 --> 00:44:57.030]  So I said, I would like to see you go out on the street and recreate this.
[00:44:57.130 --> 00:45:10.042]  And then I said, next I want Jakari and David Knight and Darren McBrain and John Bowne and other reporters to go out and say, let's ban sodium chloride, let's ban carbon dioxide, which they are trying to do, which plants breathe.
[00:45:10.462 --> 00:45:12.424]  Because banning water is just as crazy
[00:45:13.826 --> 00:45:14.967]  As banning carbon dioxide.
[00:45:14.987 --> 00:45:16.668]  People go, well it has a scarier sounding name.
[00:45:17.128 --> 00:45:17.408]  Really?
[00:45:17.428 --> 00:45:20.690]  Dihydrogen monoxide sounds even scarier than carbon dioxide.
[00:45:21.250 --> 00:45:24.432]  And so they went out and she said the vast majority.
[00:45:24.452 --> 00:45:27.814]  I mean she talked to a lot of people.
[00:45:27.914 --> 00:45:29.094]  So many we can't even show them all.
[00:45:29.455 --> 00:45:30.335]  Almost all of them.
[00:45:30.555 --> 00:45:36.198]  I think she said one guy came back and said, wait a minute, isn't that water?
[00:45:38.760 --> 00:45:40.601]  So here is this report.
[00:45:41.809 --> 00:45:48.594]  So about 10 years ago, Penn and Teller set about to prove that some Americans can be really gullible when it comes to saving the planet.
[00:45:49.214 --> 00:45:51.455]  And we figured, you know, it's been about 10 years.
[00:45:51.496 --> 00:45:52.556]  People are more awake.
[00:45:52.616 --> 00:45:54.077]  They're starting to ask questions.
[00:45:54.818 --> 00:45:59.321]  Certainly I couldn't get them to sign this petition to ban dihydrogen monoxide.
[00:45:59.341 --> 00:46:01.302]  That's right.
[00:46:02.043 --> 00:46:05.525]  I'm going to see if people are gullible enough to ban water.
[00:46:07.659 --> 00:46:09.200]  Can I get you to sign my petition?
[00:46:09.220 --> 00:46:10.481]  Will I have to read along?
[00:46:10.621 --> 00:46:13.843]  I'm trying to get them to ban, uh, dihydrogen monoxide.
[00:46:13.903 --> 00:46:18.846]  It's an additive in certain junk foods, and basically we're trying to get enough signatures to get them to ban it.
[00:46:19.286 --> 00:46:19.526]  Sure.
[00:46:20.327 --> 00:46:20.847]  Oh, okay.
[00:46:21.488 --> 00:46:21.788]  Awesome!
[00:46:21.888 --> 00:46:22.368]  Well, good luck!
[00:46:23.129 --> 00:46:26.270]  I mean, if you want to read, otherwise you can just take my word for it.
[00:46:26.290 --> 00:46:27.790]  What's the source of the hydrogen monoxide?
[00:46:27.970 --> 00:46:28.970]  Where's it coming from?
[00:46:29.030 --> 00:46:32.191]  Well, it's one of the major components of acid rain.
[00:46:32.472 --> 00:46:34.792]  It doesn't come off like, obviously, when you go to wash your fruit.
[00:46:35.412 --> 00:46:36.413]  It's just everywhere now.
[00:46:36.433 --> 00:46:38.213]  We need it out of here!
[00:46:38.233 --> 00:46:39.834]  I will help you out.
[00:46:42.409 --> 00:46:44.971]  It's now being dumped into lakes, rivers, and streams.
[00:46:45.271 --> 00:46:45.391]  Okay.
[00:46:45.451 --> 00:46:50.795]  So, of course, with our whole system, it then gets in the air.
[00:46:51.176 --> 00:46:51.276]  Yep.
[00:46:51.316 --> 00:46:56.480]  Thank you.
[00:46:56.500 --> 00:47:00.763]  It causes excessive sweating, so you might already be suffering from this chemical.
[00:47:00.883 --> 00:47:05.046]  DHMO is being dumped into rivers, and oceans, and streams, and town lake.
[00:47:05.267 --> 00:47:06.367]  What are you doing?
[00:47:07.580 --> 00:47:10.043]  Fill it with dihydrogen monoxide!
[00:47:10.184 --> 00:47:11.165]  Hydrogen monoxide?
[00:47:11.205 --> 00:47:12.827]  Dihydrogen monoxide.
[00:47:13.308 --> 00:47:13.648]  Wow, okay.
[00:47:13.668 --> 00:47:14.409]  I've never heard of that.
[00:47:14.529 --> 00:47:15.170]  Tell you what I'll do.
[00:47:15.190 --> 00:47:16.532]  I'll look it up.
[00:47:17.113 --> 00:47:17.213]  Okay.
[00:47:17.273 --> 00:47:18.114]  But I'm not going to sign it.
[00:47:18.555 --> 00:47:18.855]  Okay.
[00:47:18.895 --> 00:47:19.136]  Thank you.
[00:47:19.977 --> 00:47:21.519]  I look like I'm up to something, don't I?
[00:47:21.999 --> 00:47:22.360]  Hold on.
[00:47:22.380 --> 00:47:22.740]  Hold on.
[00:47:22.800 --> 00:47:23.601]  I'm going to go quick now.
[00:47:24.804 --> 00:47:30.207]  And I'm basically just trying to collect enough signatures to get them to put it on their docket and consider it seriously.
[00:47:30.287 --> 00:47:30.507]  Sure.
[00:47:30.767 --> 00:47:31.688]  She was on the phone.
[00:47:32.188 --> 00:47:38.992]  So apparently, if someone's distracted, and then you get them to sign something, that works too.
[00:47:39.472 --> 00:47:41.553]  They don't typically tell you they're poisoning you?
[00:47:41.573 --> 00:47:42.233]  Yeah.
[00:47:42.373 --> 00:47:45.095]  If I can get a thousand signatures, then... I was a chemistry major, so I figured you could do it.
[00:47:45.115 --> 00:47:45.515]  Oh, really?
[00:47:45.535 --> 00:47:45.835]  Yeah.
[00:47:46.196 --> 00:47:46.696]  Wow!
[00:47:46.716 --> 00:47:47.616]  It's been a while though.
[00:47:48.437 --> 00:47:50.438]  Well then, so, can I get your support?
[00:47:51.078 --> 00:47:51.799]  Uh, can I read this?
[00:47:52.059 --> 00:47:52.239]  Sure!
[00:47:55.740 --> 00:47:58.943]  If we can collect enough signatures then they'll actually take it seriously.
[00:47:58.963 --> 00:47:59.043]  Okay.
[00:47:59.343 --> 00:48:00.143]  That way you can voice it?
[00:48:00.404 --> 00:48:00.904]  Exactly.
[00:48:00.924 --> 00:48:01.404]  Okay.
[00:48:01.424 --> 00:48:02.205]  Where'd you go to school?
[00:48:02.325 --> 00:48:02.805]  Cornell?
[00:48:03.086 --> 00:48:03.366]  I did.
[00:48:03.566 --> 00:48:03.746]  Wow.
[00:48:03.766 --> 00:48:03.906]  Yeah.
[00:48:05.347 --> 00:48:05.688]  Awesome!
[00:48:09.270 --> 00:48:13.914]  Symptoms include excessive urination, sweating, bloating.
[00:48:14.174 --> 00:48:18.778]  The Environmental Regulatory Committee should be overseeing it and sort of
[00:48:19.716 --> 00:48:19.916]  Okay.
[00:48:20.897 --> 00:48:22.238]  Come on, people!
[00:48:23.159 --> 00:48:27.582]  Ten years later, under the guise of saving the planet, and you'll still sign anything.
[00:48:28.022 --> 00:48:30.844]  Especially if you don't have time to actually read the facts.
[00:48:31.585 --> 00:48:34.907]  This is a 300-page paper being passed in Congress.
[00:48:34.947 --> 00:48:38.170]  I mean, you'd definitely stop to read what you were signing, wouldn't you?
[00:48:38.190 --> 00:48:43.133]  Actually, maybe you wouldn't if you were a politician.
[00:48:46.516 --> 00:48:46.796]  Wow!
[00:48:47.016 --> 00:48:48.557]  What an incredible report!
[00:48:49.457 --> 00:49:04.031]  And it is so important that we get this video out to everybody, because despite the fact that Penn & Teller's report was seen by millions on HBO and millions on YouTube, still people say, ban dihydrogen monoxide, and ban carbon dioxide, and ban sodium chloride.
[00:49:04.311 --> 00:49:07.754]  I guess Bloomberg is trying to ban sodium chloride salt in New York.
[00:49:08.135 --> 00:49:14.521]  Because if the control freak social engineers can get you to accept asinine things, they can get away with anything.
[00:49:18.226 --> 00:49:20.367]  And that video is up at Infowars.com.
[00:49:22.508 --> 00:49:26.871]  And again, ladies and gentlemen, I'm not trying to be so dark here, but reality is dark.
[00:49:26.951 --> 00:49:30.933]  We're letting evil people do incredibly horrible things publicly.
[00:49:31.353 --> 00:49:33.855]  Where are the apologies to yours truly?
[00:49:34.415 --> 00:49:36.677]  I told you the state would start saying the kids belong to them.
[00:49:37.057 --> 00:49:39.338]  I told you they'd try to register your guns and then confiscate them.
[00:49:40.719 --> 00:49:44.061]  I mean, because the globalists have done this all over the world, the same people.
[00:49:45.562 --> 00:49:47.623]  I told you they would start shutting down our power plants.
[00:49:48.971 --> 00:49:50.351]  What do you think NAFTA and GATT was for?
[00:49:50.711 --> 00:49:52.552]  Get rid of our jobs, make us dependent.
[00:49:53.772 --> 00:50:13.277]  And I told you the criminal elements that run our government and other Western governments created Al Qaeda and they run them and now it's all over the news that yeah, Christians are now the main terror group, along with, I mean, it was returning veterans, gun owners, libertarians, conservatives, now it's, oh, and the Christians.
[00:50:14.065 --> 00:50:16.346]  And imagine the state police in Colorado have gone public.
[00:50:16.606 --> 00:50:21.008]  They're in these federal training seminars going, prepare to mass confiscate the Christians!
[00:50:21.349 --> 00:50:22.429]  They are the enemy!
[00:50:22.449 --> 00:50:26.531]  I mean, right there it should be running around going, enemies have invaded!
[00:50:26.811 --> 00:50:27.692]  Enemies have invaded!
[00:50:27.712 --> 00:50:32.034]  I mean, they're bad-mouthing George Washington, saying the state's gonna get the kids?
[00:50:33.394 --> 00:50:35.395]  It's like North Korea landed, but it's not.
[00:50:35.716 --> 00:50:37.476]  It doesn't look like North Koreans, though.
[00:50:38.337 --> 00:50:39.698]  With little idiot Kim Jong-un.
[00:50:39.798 --> 00:50:40.678]  It's Obama.
[00:50:40.898 --> 00:50:41.979]  But he's just the front guy.
[00:50:42.936 --> 00:50:45.378]  And then you got all the useful idiots who think the government's their friend.
[00:50:45.638 --> 00:50:47.240]  The government was taken over.
[00:50:47.460 --> 00:50:50.863]  Now they're trying to mop up free speech in the states, but we're resisting.
[00:50:51.023 --> 00:50:53.806]  They haven't won yet, and we are striking back!
[00:50:55.569 --> 00:50:58.432]  Is this the year you finally get serious about your family's drinking water?
[00:50:58.752 --> 00:51:02.056]  If so, keep listening for a special offer from Big Berkey Water Filters.
[00:51:02.136 --> 00:51:04.979]  Did you know that over 60% of municipal water is fluoridated?
[00:51:05.119 --> 00:51:15.950]  Berkey Water Filters distinguish themselves from many other filtration systems with the capability to significantly reduce dangerous chlorine, fluoride, arsenic, and disinfection byproducts from municipal water via the Black Berkey and PF line of filters.
[00:51:16.050 --> 00:51:17.091]  Then there's affordability.
[00:51:17.191 --> 00:51:18.192]  At only 1.7 cents per gallon,
[00:51:19.113 --> 00:51:23.196]  Berkey water filters purify treated and untreated water, even stagnant pond water.
[00:51:23.336 --> 00:51:29.180]  Stop and think how much money you could save by simply reducing buying bottled water and using water filtered by your Berkey water filter.
[00:51:29.340 --> 00:51:32.142]  No need to be constantly replacing expensive filters with a Berkey.
[00:51:32.242 --> 00:51:34.604]  A single set of filters can last for 5 to 10 years.
[00:51:34.704 --> 00:51:38.107]  Choose the best size Berkey for your needs at BigBerkeyWaterFilters.com.
[00:51:38.227 --> 00:51:42.029]  And right now, all GCN listeners get 5% off all ceramic filter systems.
[00:51:42.109 --> 00:51:42.890]  Just call 1-877-99-BERKEY.
[00:51:44.471 --> 00:51:49.615]  That's 877-99BERKEY or visit BigBerkeyWaterFilters.com.
[00:51:49.715 --> 00:51:51.296]  Free shipping on every order over $50.
[00:51:51.757 --> 00:51:54.299]  Big Berkey Water Filters, for the love of clean water.
[00:51:55.512 --> 00:51:58.534]  You prepare by purchasing gold, food, and firearms.
[00:51:58.875 --> 00:52:04.319]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:52:04.899 --> 00:52:08.102]  When you're sleeping or away from home, who's watching out for intruders?
[00:52:08.762 --> 00:52:10.003]  Check out SimpliSafe.
[00:52:10.344 --> 00:52:14.187]  It's a new do-it-yourself home security system that is completely wireless.
[00:52:14.787 --> 00:52:16.809]  Go to GetSimpliSafe.com.
[00:52:17.469 --> 00:52:19.871]  SimpliSafe is independent and off the grid.
[00:52:20.191 --> 00:52:23.973]  It runs on battery power, so even if the grid goes down, you're protected.
[00:52:24.533 --> 00:52:30.637]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:52:31.157 --> 00:52:32.758]  Get SimpliSafe.com.
[00:52:33.479 --> 00:52:40.283]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[00:52:40.823 --> 00:52:44.386]  If you move or need to relocate, you can take the system with you wherever you go.
[00:52:44.886 --> 00:52:51.290]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[00:52:51.870 --> 00:52:54.132]  Again, that's GetSimpliSafe.com.
[00:52:54.752 --> 00:52:57.354]  Introducing a 30-day emergency food supply.
[00:52:57.634 --> 00:53:01.057]  For only $99 at 30 day food supply dot com.
[00:53:01.197 --> 00:53:07.562]  You can purchase Oregon Trail Foods one month supply of high quality, nutritious and healthy emergency meals for less than $100.
[00:53:07.702 --> 00:53:14.868]  These vegetarian meals are natural, high in carbs and protein and are packed with oxygen absorbers and mylar pouches.
[00:53:15.068 --> 00:53:15.649]  They take up to 70%
[00:53:16.169 --> 00:53:16.870]  Yes, it's true.
[00:53:16.890 --> 00:53:18.051]  Oregon has more space and less space.
[00:53:18.071 --> 00:53:23.598]  The number 10 cans have a 20 year shelf life and huge portions over twice the serving size of some competitors.
[00:53:23.658 --> 00:53:27.123]  Meals Oregon Trail Foods and 30 day food supply dot com.
[00:53:27.203 --> 00:53:30.767]  Keep prices low by buying direct from producers in Oregon and then pass the
[00:53:33.831 --> 00:53:37.414]  Call 541-673-6666 or visit 30 Day Food Supply dot com, where they make preparedness affordable.
[00:53:37.434 --> 00:53:38.415]  30 Day Food Supply dot com.
[00:53:38.435 --> 00:53:38.675]  Got it?
[00:53:38.695 --> 00:53:39.055]  Get it!
[00:53:39.075 --> 00:53:40.376]  Go to 30 Day Food Supply dot com.
[00:54:06.764 --> 00:54:07.712]  I don't know.
[00:54:20.698 --> 00:54:22.598]  I'm never gonna give up, I know that!
[00:54:22.618 --> 00:54:45.544]  Alright, let's jam in some of your phone calls in this segment and the next, and Larry Pratt, we need to go ahead and start getting connected, busy guy, will be joining us to give us an update on the filibuster to try to block the National Gun Registration, that's what it is, and you got the Austin City Council guy going, don't worry, after we finish this work registering, your sign saying stop gun ban, you're gonna need that sign, because that's what we're gonna do.
[00:54:48.001 --> 00:54:48.882]  Yeah!
[00:54:49.442 --> 00:54:51.044]  You're my slave, baby!
[00:54:51.504 --> 00:54:51.865]  Woo-hoo!
[00:54:51.885 --> 00:54:52.966]  Just like North Korea.
[00:54:53.006 --> 00:54:55.148]  Government's got the guns, and the people don't.
[00:54:55.228 --> 00:54:56.609]  And look at the heaven it creates.
[00:54:56.990 --> 00:54:59.372]  They just want the guns to be our friends.
[00:54:59.772 --> 00:55:04.216]  Just like they took the Iraqis' guns to be their friends and have torture camps all over the place.
[00:55:04.877 --> 00:55:05.938]  And make them plant GMO.
[00:55:05.978 --> 00:55:08.280]  You know, if you don't plant GMO over there, they come out and kill you.
[00:55:08.881 --> 00:55:09.741]  That's freedom, isn't it?
[00:55:10.509 --> 00:55:11.689]  And our troops don't like it too much.
[00:55:11.729 --> 00:55:12.970]  They come back and commit suicide.
[00:55:12.990 --> 00:55:13.490]  But it doesn't matter.
[00:55:13.510 --> 00:55:16.011]  They've got all the mercenaries hired who like doing the work.
[00:55:16.431 --> 00:55:17.971]  That's all been leaked by WikiLeaks.
[00:55:18.672 --> 00:55:21.973]  Mass torture, mass death, death squads, killing whole families.
[00:55:22.053 --> 00:55:22.653]  It's fun.
[00:55:23.693 --> 00:55:25.594]  Let's talk to Donald in New York.
[00:55:25.674 --> 00:55:26.394]  You're on the air.
[00:55:26.454 --> 00:55:26.794]  Welcome.
[00:55:29.755 --> 00:55:30.856]  That's exciting, Donald.
[00:55:32.256 --> 00:55:33.357]  Very interesting, Donald.
[00:55:33.437 --> 00:55:33.717]  I'm here.
[00:55:36.946 --> 00:55:37.386]  Okay.
[00:55:37.546 --> 00:55:37.927]  Oh, hi.
[00:55:38.207 --> 00:55:38.807]  Hey!
[00:55:38.947 --> 00:55:39.628]  Hey!
[00:55:39.948 --> 00:55:40.428]  Hey!
[00:55:40.488 --> 00:55:43.070]  I gotta tell you, man, I'm a fan, dude.
[00:55:43.210 --> 00:55:44.311]  I just became a fan.
[00:55:44.331 --> 00:55:45.852]  You got me awake, man.
[00:55:46.012 --> 00:55:46.512]  I'm awake.
[00:55:47.193 --> 00:55:48.213]  Well, I'm glad you're awake.
[00:55:48.434 --> 00:55:57.059]  Just don't drink the sodium fluoride out of the water and everything will clear up and then you can save those brain cells to take some vaccines so you can really die.
[00:55:57.079 --> 00:55:57.680]  I'm sorry, go ahead.
[00:55:58.376 --> 00:56:00.100]  That's Melissa Harris, man.
[00:56:00.120 --> 00:56:00.841]  This thing, man.
[00:56:00.922 --> 00:56:03.387]  I watched the video on it, dude.
[00:56:03.748 --> 00:56:04.730]  This lady's crazy.
[00:56:04.770 --> 00:56:09.160]  Does she not realize that, you know, Hitler said this to his people?
[00:56:09.935 --> 00:56:13.957]  You know, that the children don't belong to you anymore, they belong to the state.
[00:56:14.217 --> 00:56:31.965]  I mean, people need to wake up and start seeing, I mean... Oh yeah, you're talking about the MSNBC host, who's also an educator, that means a brainwasher, and then she said, your children belong to the state, we've got to get past this private idea, and that, you know, that your children are yours, and then she laughed at everyone when they got upset, she went,
[00:56:34.168 --> 00:56:35.568]  I'm in control!
[00:56:36.128 --> 00:56:39.089]  I'm sitting under the government's fat wart-covered belly.
[00:56:39.109 --> 00:56:43.150]  I'm, you know, I'm sitting under the devil's sweaty rump.
[00:56:43.590 --> 00:56:44.410]  I'm powerful.
[00:56:44.510 --> 00:56:49.091]  I've snuggled up to the snuff film producing New World Order.
[00:56:49.611 --> 00:56:52.992]  I've snuggled up to the black op squads that staged the terror attacks.
[00:56:53.332 --> 00:56:56.753]  I'm snuggled up to it, drinking delicious milk.
[00:56:57.657 --> 00:56:58.057]  Go ahead.
[00:56:58.998 --> 00:57:00.099]  It's insane.
[00:57:00.159 --> 00:57:00.840]  It's insane.
[00:57:01.080 --> 00:57:09.186]  I personally was a child of the state until I was 16, so I personally know... How many times were you molested by the government?
[00:57:10.608 --> 00:57:11.608]  Plenty of times, man.
[00:57:11.688 --> 00:57:20.255]  I mean, educational-wise, religious-wise, I can't tell you how many different homes I was in with different religions that were forced upon me.
[00:57:20.395 --> 00:57:20.736]  Oh, really?
[00:57:20.776 --> 00:57:22.417]  But you never had pervs go after you?
[00:57:22.437 --> 00:57:23.098]  Wow, you were lucky.
[00:57:24.079 --> 00:57:40.292]  Yeah, so, you know, I mean, I happen to be one of the fortunate, I feel myself as one of the fortunate ones that, you know, all the bad things that happen out of life, to me, I've learned from, and I'm a father of three boys, so, you know, I have an 18 year old, a 13 year old, and a 12 year old.
[00:57:41.513 --> 00:57:47.197]  Despite the fact they tried to break the chain of families with you, you have regenerated it and are defeating the enemy.
[00:57:47.457 --> 00:57:54.702]  Just surviving and having your family grow up healthy is a victory over the New World Order, and every child they can't destroy, they hate it.
[00:57:55.062 --> 00:57:57.123]  Every child they can't brain damage, they hate it.
[00:57:58.024 --> 00:57:59.125]  They're just like, ugh!
[00:57:59.505 --> 00:58:00.005]  Sorry, go ahead.
[00:58:00.566 --> 00:58:02.507]  And I try to educate my kids.
[00:58:02.587 --> 00:58:06.830]  I mean, personally, I don't think the educational system, and I've seen it this last year,
[00:58:07.637 --> 00:58:10.799]  My two youngest kids are in elementary school.
[00:58:11.200 --> 00:58:12.861]  They're in 6th and 7th grade.
[00:58:13.461 --> 00:58:19.105]  And I've watched them implement a whole new math system that's two grades above where they are.
[00:58:19.746 --> 00:58:22.307]  And 85% of the students are failing in this.
[00:58:22.367 --> 00:58:31.074]  No, no, it's designed to then... No, no, it's designed, Department of Education, to give them too hard too early so they never, never get the basics to destroy them.
[00:58:31.334 --> 00:58:32.615]  This is all by design.
[00:58:37.574 --> 00:58:41.534]  This is GCN, the Genesis Communications Radio Network.
[00:58:45.300 --> 00:58:46.940]  Introducing Pro-1.
[00:58:47.180 --> 00:58:50.701]  All of your filtration in one system, portable, on-the-go.
[00:58:50.841 --> 00:58:55.242]  No more do you have two or three filters to just reduce sodium fluoride.
[00:58:55.362 --> 00:59:01.364]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:59:01.484 --> 00:59:12.266]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:59:12.466 --> 00:59:18.771]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:59:18.971 --> 00:59:33.984]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and
[00:59:34.124 --> 00:59:35.465]  Alex Jones on the GCM Radio Network.
[00:59:59.605 --> 01:00:03.769]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:04.429 --> 01:00:05.230]  You want answers?
[01:00:06.011 --> 01:00:06.912]  Well, so does he.
[01:00:07.572 --> 01:00:11.235]  He's Alex Jones on the GCN Radio Network.
[01:00:11.756 --> 01:00:15.820]  And now, live from Austin, Texas, Alex Jones.
[01:00:18.757 --> 01:00:24.881]  You know, the idiot MSNBC person's being defended by the Communist Party and the Socialist Party in the U.S.
[01:00:25.301 --> 01:00:34.948]  We have an article up on Infowars.com, you know, the lady that came out the host and said in the promo, Harris, she said, hey, let's, you know, the state's going to take over your kids.
[01:00:35.028 --> 01:00:35.628]  It's a good thing.
[01:00:37.866 --> 01:00:41.608]  She may not even be consciously evil, though she probably is, but she signed on.
[01:00:42.289 --> 01:00:50.253]  Everybody that signs on to big government and the system, I'm going to talk at the bottom of the hour about what you're signing on to and where this is going, just so you know.
[01:00:52.134 --> 01:00:54.235]  And by the way, this stuff is not my opinion, okay?
[01:00:54.335 --> 01:01:04.701]  I mean, we know in an extremely focused way exactly where this is going, not even generally, because the enemy acts like we're not even here and just admits it all.
[01:01:05.441 --> 01:01:06.642]  You know how frustrating that is?
[01:01:07.998 --> 01:01:11.400]  We got Larry Pratt coming up with updates on the savage attacks going on.
[01:01:11.700 --> 01:01:13.902]  Looks like they may get their gun grab passed in the Senate.
[01:01:15.043 --> 01:01:20.726]  Then you just, I guess, stage a mass shooting after that and get the House emotionally to vote for it so they can register you and start the persecution of gun owners.
[01:01:21.146 --> 01:01:22.387]  We've got some more news on that.
[01:01:23.768 --> 01:01:26.970]  Let's go ahead, though, and talk to Dean in Virginia.
[01:01:27.410 --> 01:01:28.991]  You're on the air, sir.
[01:01:29.011 --> 01:01:29.352]  Go ahead.
[01:01:30.216 --> 01:01:39.141]  Finally, I'm sitting in my driveway in Virginia, looking up at the sky and about a dozen chemtrails, two of them doing a 360 as I speak.
[01:01:39.261 --> 01:01:46.565]  That's an admitted government program, but everybody calls them chemtrails and never the geoengineering program, so then people still think it's just a rumor.
[01:01:46.785 --> 01:01:56.671]  I'm not knocking you for calling it chemtrails, it's just that they say they don't exist even though they do exist on record, like they say the Federal Reserve isn't private when it's private on record.
[01:01:57.851 --> 01:01:59.072]  My call is talking about
[01:01:59.932 --> 01:02:00.372]  Two things.
[01:02:01.193 --> 01:02:06.797]  The airsoft guns, I was going to talk to the gun guys yesterday how the ATF confiscated 30 airsoft guns.
[01:02:07.757 --> 01:02:20.166]  My son is heavily into airsoft and I see about 500 to 1000 of these warriors, these like SEAL Team warriors, with their airsoft, very real replica guns that fire these plastic BBs.
[01:02:20.746 --> 01:02:26.190]  They said, the ATF guy said on tape, that they could be converted into real guns.
[01:02:26.510 --> 01:02:27.331]  I think this is a
[01:02:28.451 --> 01:02:30.887]  Ploy to get them banned too.
[01:02:33.483 --> 01:02:34.184]  Oh, there's no doubt.
[01:02:34.264 --> 01:02:39.066]  Many cities, because they're not a lobby for BB guns, have already banned BB and pellet and other air guns.
[01:02:39.166 --> 01:02:59.534]  And so the people that told you about this saw a newscast four years ago out of Washington State where one of the importers of these has a shop and the ATF guy holds it up and says you can convert this into a real .223 when it is an airsoft thing that shoots plastic pellets, which is ridiculous.
[01:03:00.414 --> 01:03:01.355]  I mean, it's impossible.
[01:03:02.095 --> 01:03:07.098]  And yes, they now are raiding people that sell them, saying they have real firearms.
[01:03:07.278 --> 01:03:09.899]  And they don't care because they can tell the public.
[01:03:09.939 --> 01:03:16.162]  Look, the average person in Congress thinks that clips or magazines are disposable.
[01:03:18.683 --> 01:03:25.227]  Now my other point was how they're conditioning us with every day, 24-7, about Korea's ready to launch.
[01:03:25.487 --> 01:03:26.247]  It could be any minute.
[01:03:26.387 --> 01:03:29.269]  They're ready to launch a nuclear strike on the US or Japan.
[01:03:30.603 --> 01:03:38.549]  All of a sudden we're going to have a, whoops, an EMP over one of our natural cities, L.A., Chicago, and they're going to blame it on North Carolina.
[01:03:38.569 --> 01:03:39.970]  No, no, I mean, I woke up at 3 a.m.
[01:03:39.990 --> 01:03:41.511]  this morning and it all crystallized.
[01:03:41.611 --> 01:03:42.992]  It's not my opinion, it's a fact.
[01:03:43.312 --> 01:03:48.456]  The globalists, not even the U.S., the globalists, Donald Rumsfeld gave the reactors to them in the mid-90s through 2000.
[01:03:49.597 --> 01:04:08.224]  There was secret meetings have now come out even in Reuters with the Pentagon a month ago before all this started and I don't think they totally control them but they've made a deal to give them oil and food and stuff behind the scenes and hookers or whatever Kim Jong-un wants, you know, more movie stars to come see him, burn out movie stars and basketball players if he'll do this to sell weapons and
[01:04:08.944 --> 01:04:15.087]  And it's some way to then have an excuse to attack China or to menace the Chinese, again at a globalist level.
[01:04:15.127 --> 01:04:22.690]  This is a mafia deal going on and yes, just like they put the Mulas in, the CIA put the Ayatollah Khomeini in.
[01:04:23.050 --> 01:04:26.152]  Then they had a deal to have him grab our people, hold them.
[01:04:27.182 --> 01:04:29.824]  When that's all come out, every person goes, well, I saw Argo.
[01:04:30.125 --> 01:04:30.966]  That's not true.
[01:04:31.326 --> 01:04:32.927]  That's the fight at the grassroots.
[01:04:33.348 --> 01:04:38.192]  Up above it, these people work together because they all stand to gain from the crises.
[01:04:39.373 --> 01:04:45.219]  So yeah, and so they may nuke a city sometime, say North Korea did it, have some limited strike deal.
[01:04:45.519 --> 01:04:46.360]  He'll be protected.
[01:04:46.820 --> 01:04:48.782]  And then they'll use that to come after all of us.
[01:04:48.802 --> 01:04:51.164]  I mean, let me tell you, we're run by foreign banks now.
[01:04:51.204 --> 01:04:51.725]  We'll be right back.
[01:04:56.972 --> 01:05:04.658]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:05:05.098 --> 01:05:08.720]  Alex and his staff have used these pure soap products for years.
[01:05:09.161 --> 01:05:15.986]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:05:16.466 --> 01:05:18.948]  See them on the web at 5starsoap.com.
[01:05:19.488 --> 01:05:23.992]  Or call 800-340-7091 for a free catalog.
[01:05:24.333 --> 01:05:29.998]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:05:30.278 --> 01:05:35.383]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:05:35.683 --> 01:05:37.304]  This is an amazing deal.
