[00:00:07.383 --> 00:00:07.724]  Oh, no.
[00:24:19.783 --> 00:24:24.769]  And they've even threatened people with life in prison for multiple counts of filming police.
[00:24:25.189 --> 00:24:30.635]  Allison had faced eavesdropping charges for recording audio of law enforcement in public.
[00:24:31.036 --> 00:24:36.121]  Crawford County State's Attorney Tom Wiseman charged Allison with five felony counts.
[00:24:36.562 --> 00:24:39.185]  Each carries up to 15 years in prison.
[00:24:39.667 --> 00:24:41.128]  Do you really think he deserves prison time?
[00:24:41.548 --> 00:24:44.930]  It's not only outrageous, but it's a total chilling effect on free speech.
[00:24:45.290 --> 00:24:52.054]  Just last week, during South by Southwest, our InfoWars street team were ticketed for trying to hand out free magazines.
[00:24:52.254 --> 00:24:54.695]  Again, a violation of the First Amendment.
[00:24:55.135 --> 00:25:03.780]  As InfoWars was handing out our monthly magazine for free, South by Southwest got some Austin police officers to issue warnings, then tickets, and we wouldn't stop.
[00:25:04.787 --> 00:25:08.028]  But there is no ordinance against handing out free information on public streets.
[00:25:08.128 --> 00:25:14.430]  And it wasn't until Alex Jones went down there to protest that police backed off, and many of them admitted they thought it was wrong.
[00:25:28.277 --> 00:25:44.654]  So while we put the spotlight on the case of Mark Stone from Sky News and what happened to him in China and how they interfered with the media there, we should keep in mind that our own country is under attack and if we don't stand up for the First Amendment, we're going to lose it.
[00:25:44.834 --> 00:25:45.815]  In the name of terrorism,
[00:25:46.155 --> 00:25:53.476]  They've tried to chill speech and criminalize photographing public officials, police officers, and just public events in general.
[00:25:53.756 --> 00:25:54.657]  We can't let them do it.
[00:25:54.677 --> 00:25:58.737]  We have to stand up to it and say no, and stand up for our right to film.
[00:25:59.017 --> 00:26:01.518]  Signing off for InfoWars.com, I'm Aaron Dykes.
[00:26:01.578 --> 00:26:12.840]  I want to quickly remind you, you can sign up for our free newsletter at InfoWars.com slash newsletter, and when you do it, you'll get a free e-version of our very popular InfoWars magazine.
[00:26:21.454 --> 00:26:26.218]  And Aaron had a tough job getting all those signs that we've all encountered the police or security or whoever.
[00:26:26.238 --> 00:26:33.443]  It never clicked in my mind how every single person on this crew has encountered the police in some form or another.
[00:26:33.463 --> 00:26:34.224]  It's just ridiculous.
[00:26:34.604 --> 00:26:36.505]  So we'll move now to our quote of the day.
[00:26:37.026 --> 00:26:39.528]  This from Fight Club, or the author of Fight Club.
[00:26:39.988 --> 00:26:43.531]  Our generation has had no great war, no great depression.
[00:26:44.051 --> 00:26:45.192]  Our war is spiritual.
[00:26:45.492 --> 00:26:47.254]  Our depression is in our lives.
[00:26:47.274 --> 00:26:48.755]  That's from Chuck Holenick.
[00:26:49.235 --> 00:26:55.251]  Now stay tuned, after this break I'll be right back with Mr. Mark Moreno where we talk about all things climate, so stay tuned.
[00:27:00.074 --> 00:27:05.599]  I'm Darren McBreen and these are some of the new items that are available now at Infowarsshop.com.
[00:27:05.819 --> 00:27:11.604]  Alert the public to Obama's blatant abuse of power with the new Obama t-shirt.
[00:27:11.704 --> 00:27:15.387]  Obama's joker face on the front and come and take it on the back.
[00:27:15.587 --> 00:27:19.530]  It's time to publicly call him out for what he is, a tyrant.
[00:27:19.651 --> 00:27:23.494]  Defend the second amendment with our top seller come and take it t-shirts.
[00:27:23.614 --> 00:27:27.737]  And look at that, women's cut tank tops and t-shirts now available.
[00:27:27.877 --> 00:27:28.358]  Nice hat.
[00:27:28.658 --> 00:27:30.760]  Plus, the Don't Tread On Me flag.
[00:27:30.780 --> 00:27:34.863]  And now, you can become a micro-distributor of the Info Wars magazine.
[00:27:34.883 --> 00:27:38.906]  Plus, get your own copy delivered right to your door each and every month.
[00:27:39.446 --> 00:27:48.073]  And if you're tired like I am of you and your family being exposed to polluted drinking water, get the Pro-1 High Performance Water Filter.
[00:27:48.413 --> 00:27:54.418]  It gets rid of all pathogenic bacteria, cysts, fluoride, heavy metals, and numerous other contaminants.
[00:27:56.129 --> 00:27:59.648]  So join the revolution at infowarshop.com
[00:28:05.259 --> 00:28:09.282]  Infowars magazine is more than just our answer to the internet kill switch.
[00:28:09.962 --> 00:28:11.844]  We're also going back to the roots of this country.
[00:28:12.184 --> 00:28:23.852]  When our founders, for a decade before 1776, known as the pamphleteers, with hundreds of little printing presses in every colony, got out the real news, the real information, and countered the system.
[00:28:24.172 --> 00:28:28.975]  This is tailored design with the truth to wake up your friends and family.
[00:28:29.256 --> 00:28:32.298]  This is the 21st century version of the pamphleteers.
[00:28:32.878 --> 00:28:36.280]  Get them at Infowarshop.com or Infowarsstore.com.
[00:28:36.740 --> 00:28:38.001]  Sign up and buy them in bulk.
[00:28:38.461 --> 00:28:44.504]  Sign up and be a micro-distributor for a full year to buy them in bulk and get one of the new stands added.
[00:28:45.124 --> 00:28:49.266]  Or sign up and get 12 issues delivered to your door or give a gift subscription.
[00:28:49.546 --> 00:28:53.088]  Whatever you do, be part of the fight and I want to salute
[00:28:53.408 --> 00:29:05.475]  And thank all of you that are subscribers and are getting the magazine in bulk or who have ever come to InfoWarsTore.com and bought any of our products because we are supported by patriots and liberty lovers like you.
[00:29:05.835 --> 00:29:07.416]  We couldn't do it without you.
[00:29:15.341 --> 00:29:16.021]  And welcome back.
[00:29:16.421 --> 00:29:19.163]  Our guest tonight is Mark Moreno of ClimateDepot.com.
[00:29:19.383 --> 00:29:21.304]  He joins us to speak about all things climate.
[00:29:21.524 --> 00:29:22.385]  Thanks for joining us, Mark.
[00:29:23.837 --> 00:29:24.537]  Thank you very much.
[00:29:25.198 --> 00:29:27.259]  All right, now I want to start with this article we have right here.
[00:29:27.299 --> 00:29:28.739]  We cover this in our news portion.
[00:29:29.099 --> 00:29:33.481]  This is from the Mail Online headline, The Great Green Con Number One.
[00:29:34.022 --> 00:29:41.065]  And in this article they have a graph that points out the various global temperatures at various points.
[00:29:41.485 --> 00:29:49.949]  And there is a, our viewers can see it on screen right there, there's a black line that shows the actual global temperatures as well as two different speculations.
[00:29:50.089 --> 00:29:50.369]  And then
[00:29:50.809 --> 00:29:51.789]  Our viewers can see it right there.
[00:29:51.810 --> 00:29:56.551]  It goes on to a horrendous, almost hell on earth, somewhat of an effect.
[00:29:57.252 --> 00:30:00.353]  Yeah, it looks like a dragon's breath of fire glowing.
[00:30:00.633 --> 00:30:02.934]  And we're about to fall off the chart is what's happening.
[00:30:03.014 --> 00:30:11.958]  And there's actually a contingent of scientists around the world led by the Russian National Academy of Sciences and UK astrophysicists who are all predicting global cooling.
[00:30:12.178 --> 00:30:15.259]  And a US geologist named Dr. Don Easterbrook as well.
[00:30:15.719 --> 00:30:19.621]  Up to 100 years of cooling based on earth cycles, natural cycles, sun cycles.
[00:30:20.439 --> 00:30:23.482]  So the first thing that's happening is they have egg all over their face.
[00:30:23.542 --> 00:30:29.606]  We were told by Al Gore, by the United Nations, by global warming activists, that we had runaway global warming.
[00:30:29.646 --> 00:30:41.416]  We were told the planet had a fever and now we're going on 15, 16 years by every major global temperature database and we're talking the land-based measurements, the satellite-based measurements.
[00:30:42.269 --> 00:30:43.630]  This is an epic fail.
[00:30:44.051 --> 00:30:45.672]  The temperatures are flatlining.
[00:30:46.132 --> 00:30:48.014]  And I give the UK Daily Mail.
[00:30:48.034 --> 00:30:52.778]  You're not going to see an article like this in the LA Times or the New York Times or the Washington Post.
[00:30:53.138 --> 00:30:55.840]  But the UK and European papers are on to this.
[00:30:55.880 --> 00:31:00.644]  The German papers are on to what we're calling the Green Con now, the climate con.
[00:31:01.024 --> 00:31:03.706]  Der Spiegel in Germany is doing great journalism.
[00:31:03.807 --> 00:31:05.288]  What's wrong in America?
[00:31:05.348 --> 00:31:08.470]  Why can't we get the truth out in the mainstream media?
[00:31:08.490 --> 00:31:09.231]  It's not happening.
[00:31:09.790 --> 00:31:11.271]  Why can't we get the truth out?
[00:31:11.291 --> 00:31:12.832]  I don't think they want it out, Mark.
[00:31:13.092 --> 00:31:19.115]  But going back to this article... We wouldn't have a job if the mainstream media were doing their job, right?
[00:31:19.135 --> 00:31:19.976]  That's exactly right.
[00:31:20.416 --> 00:31:24.038]  Now, going back to this article, I see they had something mentioned back in 1977.
[00:31:25.179 --> 00:31:28.661]  That was when people were told about the scourge of global cooling.
[00:31:29.241 --> 00:31:34.664]  So how do we go from 1977, we're all going to freeze to death, till 2013, now we're all going to burn to death?
[00:31:35.268 --> 00:31:35.869]  It's amazing.
[00:31:35.989 --> 00:31:39.511]  They do it without any hint of satire.
[00:31:40.252 --> 00:31:45.075]  In the 1970s, we were literally told that it was man-made global cooling bringing on an ice age.
[00:31:45.376 --> 00:31:54.562]  It was our carbon base, our coal plants, emitting sulfur dioxide, which was dimming the sunlight, which was causing global dimming, which was blocking the sun, which was causing the planet to cool.
[00:31:55.003 --> 00:32:03.429]  They actually said droughts, extreme storms, and tornadoes, crop failure were all due to man-made global cooling.
[00:32:03.889 --> 00:32:10.232]  Fast forward 35 years and they're blaming the exact same phenomena on man-made global warming.
[00:32:10.493 --> 00:32:11.833]  It is unabashed.
[00:32:12.013 --> 00:32:14.094]  It is absurd.
[00:32:14.655 --> 00:32:16.736]  And this is why we call it climate astrology.
[00:32:16.776 --> 00:32:18.877]  It's why we call it tabloid climatology.
[00:32:19.477 --> 00:32:22.239]  Whatever the cause of weather now, they're blaming it on us.
[00:32:22.579 --> 00:32:28.002]  And in the 70s they did the exact same thing, except it was global cooling and a coming ice age then.
[00:32:28.742 --> 00:32:35.184]  And so what's happened is when you have 15-16 years of no change in global temperatures, suddenly they don't talk about it.
[00:32:35.244 --> 00:32:37.685]  Now they say many bad things will happen.
[00:32:38.105 --> 00:32:38.646]  And guess what?
[00:32:38.726 --> 00:32:40.066]  Bad things happen all the time.
[00:32:40.146 --> 00:32:43.207]  So now they jump to Australia if there's a heat wave.
[00:32:43.247 --> 00:32:45.008]  They jump to Africa if there's a drought.
[00:32:45.028 --> 00:32:45.488]  They jump...
[00:32:45.868 --> 00:32:47.690]  To Asia, if there's a flood.
[00:32:48.150 --> 00:32:50.812]  Every day they can claim there's more proof of our theory.
[00:32:51.032 --> 00:32:52.554]  But there's always extreme weather.
[00:32:52.734 --> 00:32:54.515]  There's always something going on.
[00:32:54.896 --> 00:33:05.024]  And the idea that this is tied to global warming is absurd and actually contrary to all the latest peer-reviewed scientific studies that show that droughts are declining in the United States.
[00:33:05.384 --> 00:33:07.025]  Droughts are showing no trend worldwide.
[00:33:07.366 --> 00:33:09.928]  Floods are showing no trend up to 127 years.
[00:33:10.188 --> 00:33:12.930]  Tornadoes, the big tornadoes, are down dramatically since the 1950s.
[00:33:14.171 --> 00:33:26.086]  We're going through a hurricane dearth of seven or eight years without a big category three or larger hurricane making a landfall, the longest period since 1900 in the US.
[00:33:26.126 --> 00:33:31.293]  So not only is extreme weather not getting worse, it's actually improved on almost every measure.
[00:33:31.733 --> 00:33:37.677]  But they can always say, well, we had a worse drought in 2012 than we did the previous five years, and so it's getting worse.
[00:33:37.877 --> 00:33:42.600]  And if this keeps up and they project all this silliness in the future, it's not science anymore.
[00:33:43.100 --> 00:33:50.845]  We have NASA's lead global warming scientist in 2009 predicted that Obama would only have four years left to save the planet.
[00:33:50.885 --> 00:33:52.726]  This was heralded in the UK Guardian.
[00:33:52.966 --> 00:33:53.546]  Well, guess what?
[00:33:53.686 --> 00:33:59.430]  NASA's lead scientist now joins the Mayan calendar as having failed for a doomsday of Earth.
[00:33:59.810 --> 00:34:01.572]  That's a good point, Mark.
[00:34:01.952 --> 00:34:10.841]  I'm cutting you off here, but the question in my mind is, how many people back in the day, you see, back in the 1970s said, it's going to be global cooling, and now it's global warming, and now it's whatever.
[00:34:11.141 --> 00:34:14.084]  How many people have, you know, rode the train the whole way?
[00:34:14.404 --> 00:34:16.386]  They went from, it was going to be this, to it's going to be that.
[00:34:16.406 --> 00:34:18.068]  Do you know anybody in particular, any groups?
[00:34:18.768 --> 00:34:20.409]  The name that would come up is Stephen Schneider.
[00:34:20.429 --> 00:34:24.292]  Now, Stephen Schneider died about two years ago, but he was a big proponent.
[00:34:24.572 --> 00:34:27.994]  He was featured in Leonard Nimoy's The Coming Ice Age in the 1970s.
[00:34:28.554 --> 00:34:39.400]  He was a Stanford University scientist, and Stephen Schneider predicted that it was warning of the man-made global cooling ice age, and he later became a global warming alarmist in the late 1980s.
[00:34:39.480 --> 00:34:43.123]  It took him by less than a decade to shift gears fully.
[00:34:44.223 --> 00:34:49.209]  And then NASA's James Hansen, a lot of his colleagues at NASA were involved in the original.
[00:34:49.249 --> 00:34:59.260]  I can't find a direct record of NASA's James Hansen, but some of his colleagues at NASA were directly involved in hyping the man-made global warming scare, as was our CIA, as was our National Academy of Science.
[00:35:00.061 --> 00:35:03.844]  As was the popular media, as was people like climatologist Reid Bryson.
[00:35:03.884 --> 00:35:16.077]  He's unique because Reid Bryson, he was from University of Wisconsin, he was a big man-made ice age alarmist and then in the 1990s and in the 2000s he became a global warming skeptic.
[00:35:16.457 --> 00:35:29.681]  So you have to respect him because he realized the error of the climatologist's ways in the 1970s by jumping on the bandwagon and he became one of the most rational global warming skeptics, you know, from the decade until he died, I think in 2008 he died.
[00:35:30.762 --> 00:35:34.703]  So there were many people that rode and are still riding
[00:35:35.589 --> 00:35:50.240]  This scare and the main thing is whether you're talking about any environmental scare, whether you're talking about overpopulation, whether you're talking about the Amazon rainforest deforestation scare, whether you're talking about the global cooling scare, all of their solutions were the same.
[00:35:50.720 --> 00:36:04.490]  It was always more central planning, more international bodies, more government control, more changes in our lifestyle, more intervention by government to take away our freedom, to take away our liberty, to take away our economic choices.
[00:36:05.130 --> 00:36:19.181]  This is what the solution always is, because the intellectual left, if you can call them intellectual, or the activist left, uses the environmental movement to advance the cause of statism and international bureaucracy expanding.
[00:36:19.201 --> 00:36:20.482]  And that's what they've always done.
[00:36:20.862 --> 00:36:23.424]  And they're riding global warming all the way to the end.
[00:36:23.744 --> 00:36:31.370]  They've tried a little bit at the UN Earth Summit, which I attended last June, in Rio de Janeiro.
[00:36:31.410 --> 00:36:33.492]  They tried to shift gears and make it about
[00:36:33.892 --> 00:36:37.014]  Species extinction, but they just couldn't get any traction.
[00:36:37.034 --> 00:36:38.594]  They had hardly any nations attending.
[00:36:38.614 --> 00:36:39.395]  It was a big bust.
[00:36:39.435 --> 00:36:48.959]  So now, with Obama's re-election, with Hurricane Sandy, they've reactivated global warming without the actual global warming, because the temperatures are rising, into the extreme.
[00:36:48.999 --> 00:36:51.401]  It's called global weirding in the words of the New York Times.
[00:36:51.421 --> 00:36:52.101]  That's what they call it now.
[00:36:52.481 --> 00:36:53.502]  It's global weirding.
[00:36:53.542 --> 00:36:54.964]  The weather is so weird.
[00:36:54.984 --> 00:36:56.806]  And it's just an insult.
[00:36:56.886 --> 00:36:58.427]  Because A, the weather's not weird.
[00:36:58.808 --> 00:37:00.189]  B, the weather's always changing.
[00:37:00.449 --> 00:37:02.952]  And C, there's always extreme weather no matter where you go.
[00:37:02.972 --> 00:37:06.075]  But it'll all go away if you just start paying your carbon taxes, right?
[00:37:06.576 --> 00:37:06.936]  That's right.
[00:37:06.976 --> 00:37:08.578]  And that's the most absurd.
[00:37:08.858 --> 00:37:12.482]  We have Barbara Boxer, the chair of the Senate Environment and Public Works Committee.
[00:37:13.042 --> 00:37:19.490]  Actually making multiple claims that we needed to pass a carbon tax or cap and trade in order to improve our weather.
[00:37:19.830 --> 00:37:20.431]  We have U.S.
[00:37:20.471 --> 00:37:26.758]  Senator from Michigan Debbie Stabenow saying she feels global warming when she flies in the form of turbulence on the airplane.
[00:37:28.400 --> 00:37:34.186]  She senses the storms are worse when she flies and she's blaming it on global warming.
[00:37:34.446 --> 00:37:39.811]  We have President Obama who's on record as saying, had we passed a climate bill in the U.S.
[00:37:39.851 --> 00:37:44.616]  Congress, we would have kept the earth 4 or 5 degrees cooler for our children and grandchildren.
[00:37:44.936 --> 00:37:54.920]  Let alone the fact his own EPA admitted the climate bill not only would it not have impacted global temperatures, it wouldn't even have impacted global CO2 levels.
[00:37:55.020 --> 00:38:00.783]  I think the temperature raise, according to Obama, is that he has all these drones dropping their hot ordinance everywhere.
[00:38:01.203 --> 00:38:03.684]  But I just want to point something out to you, Mark.
[00:38:04.004 --> 00:38:05.364]  I guess you're the man to talk to about this.
[00:38:05.665 --> 00:38:06.965]  We went out to South by Southwest.
[00:38:06.985 --> 00:38:11.287]  You may have saw we had a big protest out there because they wouldn't let us hand out our InfoWars magazine anyway.
[00:38:11.807 --> 00:38:19.194]  I was out there and some guy comes up to me when I'm with my camera and he says, hey man, I just came, I just saw Al Gore and it was great, it was powerful, it was this and it was that.
[00:38:19.635 --> 00:38:24.199]  And I asked the guy, you know, I'm playing devil's advocate, so you think global warming is real?
[00:38:24.219 --> 00:38:27.282]  He's like, oh yeah, we've had Hurricane Sandy and we had the drought in Texas.
[00:38:27.302 --> 00:38:32.287]  And I say to him, this is what I say, I say, sir, we've always had hurricanes and droughts and tornadoes.
[00:38:32.527 --> 00:38:35.771]  He's like, yeah, but then he switches his argument, you know, it's this double thing.
[00:38:36.351 --> 00:38:38.693]  Yeah, we have that, but then we have all this pollution and stuff.
[00:38:38.733 --> 00:38:40.574]  Things I do agree, we do have pollution, Mark.
[00:38:40.634 --> 00:38:49.561]  I'm not debating that aspect, but you're telling me because somebody throws away a half-eaten hamburger in Kentucky that causes a drought in Texas, that makes no sense to me.
[00:38:50.726 --> 00:38:52.268]  And that's what they want you to believe, and you're right.
[00:38:52.308 --> 00:39:06.282]  When you start debating the science, and I went on with Bill Nye, the science guy, I went on with the Sierra Club president, on CNN's Piers Morgan, and I actually cite all the peer-reviewed studies in the journal Nature, and hydrological journals, and it's like they don't have a case!
[00:39:06.342 --> 00:39:07.744]  When you hear the actual science,
[00:39:08.064 --> 00:39:14.051]  Even the global warming activists who do this and can't skew the studies, they still show no trend or declining trends.
[00:39:14.391 --> 00:39:15.993]  They have no rebuttal.
[00:39:16.653 --> 00:39:24.962]  They'll actually come down to, well, then they shift over and they say, well, the models show and predictions are, when reality fails, they come up with a lot of scary predictions.
[00:39:25.222 --> 00:39:27.425]  And I credit Penn and Teller, the comedians, with this.
[00:39:28.377 --> 00:39:35.701]  They did an analysis in the 1970s when you had people like Paul Ehrlich warning of doom just five, ten years into the future.
[00:39:36.281 --> 00:39:38.842]  The people, environmentalists, learned from his mistakes.
[00:39:39.102 --> 00:39:41.323]  He predicted absolute calamity by 1980.
[00:39:41.944 --> 00:39:46.466]  The problem is he was alive and well and had egg all over his face because all his predictions failed.
[00:39:46.806 --> 00:39:50.388]  So what the global warming activists have learned, they now make predictions
[00:39:51.128 --> 00:39:58.632]  So far into the future that they guarantee they'll be long dead before they have to be embarrassed the way Paul Ehrlich, who's in his 80s now, has been embarrassed.
[00:39:58.932 --> 00:40:11.758]  So when you hear these scary predictions of, you know, the new one out today, we're going to have a Katrina every other year, find out what year this calamity is alleged to be happening and then find out the year of the person who's making the prediction, what year they were born.
[00:40:12.119 --> 00:40:14.620]  You do a little math and invariably they're long dead.
[00:40:14.840 --> 00:40:16.881]  They don't have to be around and they've learned that.
[00:40:16.901 --> 00:40:18.882]  So the environmental left has a learning curve.
[00:40:19.182 --> 00:40:25.070]  Because most of their predictions now are 2080, 2100, when all this calamity is going to be raining down upon us.
[00:40:25.550 --> 00:40:28.454]  Because you have people like James Hansen again, egg on their face.
[00:40:28.614 --> 00:40:33.981]  The UN in 1989 said we had 10 years to act to stop global warming or it was too late.
[00:40:34.241 --> 00:40:34.661]  You know what?
[00:40:34.942 --> 00:40:36.022]  Let's take them up on it.
[00:40:36.203 --> 00:40:37.363]  That means it expired in 1999.
[00:40:38.024 --> 00:40:39.185]  Your tipping point.
[00:40:39.425 --> 00:40:42.667]  Your Mayan calendar in the UN was 1999.
[00:40:42.948 --> 00:40:46.290]  The Mayan calendar by the NASA scientists was 2013.
[00:40:46.711 --> 00:40:50.994]  Let's accept it and call it what it is and it's certainly not science.
[00:40:51.034 --> 00:40:54.957]  This is akin to the interpretations of Nostradamus at this point.
[00:40:55.663 --> 00:40:56.143]  Exactly.
[00:40:56.383 --> 00:41:02.346]  And I remember growing up, it was always, you know, California is going to be underwater, California is going to break off and flow into the sea.
[00:41:02.366 --> 00:41:10.690]  Killer bees from Africa are on their way up, and apparently there are some bigger bees, but they always had people terrified that we were going to die in a plague of bees from Africa.
[00:41:11.070 --> 00:41:20.414]  There's always concerns about invasive species and stuff, but it's a fear, it's alarm, it's irrational, it gets a kernel of truth in science, and it just
[00:41:22.214 --> 00:41:31.677]  In a way that's designed to turn sovereignty and our freedoms over to international bodies and over to collectivist governments.
[00:41:32.197 --> 00:41:32.658]  Exactly.
[00:41:32.958 --> 00:41:34.878]  Now, I don't want to let you go without getting into this.
[00:41:34.898 --> 00:41:37.059]  You have a new article at climatedepot.com.
[00:41:37.079 --> 00:41:37.499]  What is that?
[00:41:38.559 --> 00:41:40.540]  Yeah, this is breaking news, breaking news.
[00:41:41.180 --> 00:41:46.782]  Last week, the New York Times, Tom, I'm sorry, I think it's Tom Friedman, but Paul Krugman of the New York Times
[00:41:47.543 --> 00:41:52.765]  ...announced that those who deny global warming may be punished in the afterlife for doing so.
[00:41:52.785 --> 00:41:57.367]  He called climate denial, in quotes, an almost inconceivable sin.
[00:41:57.927 --> 00:41:58.788]  So this is where we are.
[00:41:58.828 --> 00:42:05.310]  The New York Times now, on their website and in their newspapers, is promoting the idea that skeptics of global warming are condemned to hell.
[00:42:05.350 --> 00:42:08.331]  Well, the LA Times didn't want to be left out of this circus.
[00:42:08.752 --> 00:42:17.015]  So today, in the LA Times, global warming activist and good friend of Al Gore, Bill McKibben, who's always a regular on Late Nights with David Letterman,
[00:42:17.655 --> 00:42:26.726]  ...showed up and said that white America is the problem, that white America has fallen short by voting for quote climate deniers unquote.
[00:42:27.390 --> 00:42:29.672]  And so now we've got it segregated, essentially.
[00:42:29.712 --> 00:42:32.194]  And so my website, Climate Depot, the message is simple.
[00:42:32.234 --> 00:42:37.717]  The global warming activists today, on our Monday, is white America is condemned to hell.
[00:42:38.038 --> 00:42:38.798]  That's the message.
[00:42:39.078 --> 00:42:41.640]  We're going to hell because we don't believe in global warming.
[00:42:41.820 --> 00:42:45.143]  It's an inconceivable sin, according to Tom Krugman of the New York Times.
[00:42:45.783 --> 00:42:49.686]  And it's led by white Americans who are the real problem here.
[00:42:50.146 --> 00:42:52.248]  This is the state of the global warming debate.
[00:42:52.708 --> 00:42:56.350]  Yeah, I mean it always deteriorates down to just racial things.
[00:42:56.450 --> 00:43:03.853]  I believe it was the LA Times last week said if you're a white southern gun owner, especially if you have any type of religion, you're a terrorist.
[00:43:04.353 --> 00:43:15.979]  I mean it's always about race and now they have these white wristbands that white people are supposed to wear to remind them of their white privilege and whatever else and they're supposed to just feel bad because of their skin tone.
[00:43:15.999 --> 00:43:16.859]  It makes no sense to me.
[00:43:17.580 --> 00:43:27.346]  Yeah, in fact, in 1990, I believe it was 1993, the Washington Post said at that time of the Christian Coalition, the Pat Robertson group, they were poor, uneducated, and easy to command.
[00:43:28.107 --> 00:43:33.350]  And then it turned out they were actually a lot of affluent, well-educated people that belong to the Washington Post that issue of attraction.
[00:43:33.790 --> 00:43:39.174]  What I find ironic in bringing up Pat Robertson, Pat Robertson was roundly ridiculed by the left.
[00:43:39.767 --> 00:43:47.191]  We're holding live prayer sessions on TV, I think it was 1987, to try to prevent a hurricane, to pray for a hurricane wouldn't hit the East Coast.
[00:43:47.571 --> 00:44:02.179]  He was mocked, ridiculed, and the same intellectual left again, if you will, are now openly claiming that our SUVs caused Hurricane Sandy, that acts of Congress, the United Nations, can legislate bad weather.
[00:44:02.440 --> 00:44:04.161]  So the question is, what's wackier?
[00:44:04.221 --> 00:44:08.323]  Someone praying that a hurricane doesn't hit the East Coast, or praying a hurricane goes out to sea?
[00:44:09.083 --> 00:44:15.330]  Or people who actually think that Congress can control floods, droughts, hurricanes, and tornadoes and make them less bad.
[00:44:15.530 --> 00:44:20.315]  People who think that we can vote our way to turbulence-free airline flights.
[00:44:20.695 --> 00:44:21.756]  That's where we are today.
[00:44:21.877 --> 00:44:24.459]  It's insanity.
[00:44:24.699 --> 00:44:25.180]  Exactly.
[00:44:25.500 --> 00:44:28.023]  Now we're about out of time, so closing comments, Mark.
[00:44:29.051 --> 00:44:37.357]  Well, right now the sad news is that we defeated the carbon tax and the climate tax and the cap and trade in the U.S.
[00:44:37.417 --> 00:44:37.798]  Congress.
[00:44:37.818 --> 00:44:38.859]  We stopped the U.N.
[00:44:38.899 --> 00:44:39.319]  process.
[00:44:39.339 --> 00:44:40.099]  We stopped the U.S.
[00:44:40.119 --> 00:44:43.242]  from getting involved heavily in the climate treaty process.
[00:44:43.999 --> 00:44:49.325]  But President Obama is going to use a Nixon-era law and start regulating global warming.
[00:44:49.345 --> 00:44:52.289]  He's going to use the EPA and other measures behind the scenes.
[00:44:52.429 --> 00:44:53.590]  Unelected bureaucracy.
[00:44:53.650 --> 00:44:55.593]  Most Americans won't even know what's going on.
[00:44:55.913 --> 00:44:59.998]  And he's going to quietly start shutting down our industries behind the scenes.
[00:45:00.038 --> 00:45:01.640]  That's what he's poised to do.
[00:45:02.200 --> 00:45:02.440]  I doubt it.
[00:45:02.500 --> 00:45:03.141]  I think he can.
[00:45:22.176 --> 00:45:26.118]  But the climate war, but we're about to lose the entire war.
[00:45:26.158 --> 00:45:30.240]  We've won every battle, but we're about to lose the whole war if this goes forward.
[00:45:30.680 --> 00:45:32.981]  And it's a very frustrating situation.
[00:45:33.801 --> 00:45:35.822]  Mark Moreno, ClimateDepot.com.
[00:45:35.922 --> 00:45:36.762]  Thank you for your time, sir.
[00:45:36.802 --> 00:45:37.203]  Thank you.
[00:45:37.243 --> 00:45:37.623]  Enjoyed it.
[00:45:37.643 --> 00:45:37.923]  Thank you.
[00:45:38.638 --> 00:45:39.279]  And there he goes.
[00:45:39.679 --> 00:45:44.605]  Now, if you want to support this broadcast, stop by PrisonPlanet.tv and get yourself a 15-day free trial.
[00:45:44.906 --> 00:45:50.312]  You can go there and you can see the Alex Jones Radio Show, the Nightly News Show, the Rants and Special Reports.
[00:45:50.372 --> 00:45:52.194]  It's all there, there for you.
[00:45:52.254 --> 00:45:54.277]  Be sure to check that out, the 15-day free trial.
[00:45:54.677 --> 00:46:02.627]  And also, if you want to support us even more, you can stop by the InfoWars shop, pick up something on global warming or the climate change or whatever they're calling it this week.
[00:46:02.647 --> 00:46:03.468]  You can see it right there.
[00:46:03.849 --> 00:46:07.453]  Global warming, emerging science, and understanding.
[00:46:07.493 --> 00:46:10.116]  That's for 1995 at the InfoWars shop.
[00:46:10.156 --> 00:46:11.137]  Well, that's it for the news.
[00:46:11.157 --> 00:46:12.119]  I'm Jakari Jackson.
[00:46:12.159 --> 00:46:13.020]  We'll see you next time.
