[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[00:42:12.941 --> 00:42:14.482]  They could say, so who cares?
[00:42:14.522 --> 00:42:15.743]  You know, and that's one argument.
[00:42:15.763 --> 00:42:19.345]  But our strategy is any one of those could become pandemic.
[00:42:19.365 --> 00:42:21.706]  There's a lot of stochasticity in what happens then.
[00:42:21.946 --> 00:42:22.146]  Yeah.
[00:42:22.206 --> 00:42:28.230]  So if we look at all of them, understand patterns, try and reduce the number of spillover events we've got, you know.
[00:42:29.491 --> 00:42:37.415]  But if you're saying these are diverse coronaviruses and you can't vaccinate against them, they're no antivirals, what do we do?
[00:42:37.535 --> 00:42:40.417]  Well, I think that coronaviruses are pretty good.
[00:42:40.737 --> 00:42:45.700]  I mean, you're a virologist, you know all this stuff, but you can manipulate them in the lab pretty easily.
[00:42:46.400 --> 00:42:51.084]  Spike protein drives a lot of what happens with the coronavirus, zoonotic risk.
[00:42:51.584 --> 00:43:02.212]  So you can get the sequence, you can build the protein, and we work with Ralph Baric at UNC to do this, insert it into the backbone of another virus and do some work in the lab.
[00:43:02.252 --> 00:43:05.555]  So you can get more predictive when you find a sequence.
[00:43:05.575 --> 00:43:06.516]  You've got this diversity.
[00:43:08.397 --> 00:43:22.226]  The logical progression for vaccines is if you're going to develop a vaccine for SARS, people are going to use pandemic SARS, but let's try and insert some of these other related and get a better vaccine.
[00:43:22.266 --> 00:43:23.928]  And I guess also knowledge of what's there.
[00:43:24.648 --> 00:43:29.355]  If you see something emerging, give it a head start on making a vaccine or a therapeutic.
[00:43:29.475 --> 00:43:30.016]  That's true.
[00:43:30.136 --> 00:43:33.141]  And, you know, better knowledge of where they are.
[00:43:33.161 --> 00:43:34.183]  So here's a question.
[00:43:34.263 --> 00:43:36.426]  Where have I heard of this before?
[00:43:36.346 --> 00:43:46.746]  Wow, back in like 1994 on TV.
[00:43:46.893 --> 00:43:54.983]  We're here to come up with the next phony baloney crisis to put Americans back where they belong in dark rooms glued to their televisions too terrified to skip the commercials.
[00:43:55.403 --> 00:43:59.007]  Well, I think- NBC, you are here to listen and not speak!
[00:44:00.389 --> 00:44:02.311]  I think we should go with the good old-fashioned public health care.
[00:44:02.552 --> 00:44:02.752]  Yeah.
[00:44:04.102 --> 00:44:04.762]  A new disease.
[00:44:05.002 --> 00:44:05.623]  No one's immune.
[00:44:05.963 --> 00:44:09.224]  It's like the summer of the shark, except instead of a shark, it's an epidemic.
[00:44:09.404 --> 00:44:11.105]  And instead of summer, it's all the time!
[00:44:11.785 --> 00:44:15.867]  Now I hate to be the guy who derails what everybody else loves.
[00:44:15.907 --> 00:44:17.568]  He loves being that guy.
[00:44:17.648 --> 00:44:20.089]  But Janice, we do have standards.
[00:44:20.309 --> 00:44:22.010]  This can't be a made-up disease.
[00:44:22.270 --> 00:44:26.592]  The only moral thing to do is release a deadly virus into the general public.
[00:44:26.772 --> 00:44:30.214]  We do have something we've been holding on to, but it hasn't been tested.
[00:44:30.534 --> 00:44:31.274]  Get over here, NBC.
[00:44:33.615 --> 00:44:36.956]  Well, we certainly believe in testing, but I... Oh!
[00:44:39.476 --> 00:44:39.756]  Wow!
[00:44:40.436 --> 00:44:40.716]  Wow!
[00:44:41.036 --> 00:44:41.797]  Oh yeah!
[00:44:41.857 --> 00:44:43.637]  So, we've got our deadly disease.
[00:44:44.057 --> 00:44:48.298]  Now, we just have to blame it on something that's in every household.
[00:44:48.498 --> 00:44:50.898]  Something that people are a little bit afraid of already.
[00:44:51.298 --> 00:44:53.599]  House Cat Flu is coming, people!
[00:44:53.779 --> 00:45:01.180]  The Center for Disease Disinformation predicts with some degree of probability that the House Cat Flu might spread in the following hypothetical outbreak pattern.
[00:45:02.750 --> 00:45:08.750]   So petter beware, that warm body on your lap just might be ready to destroy your tender fiddles.
[00:45:08.750 --> 00:45:19.338]   Springfielders are advised to stay tuned for more information if they experience any of the following
[00:45:19.338 --> 00:45:19.750]  symptoms.
[00:45:19.935 --> 00:45:22.936]  Mild thirst, occasional hunger, tiredness at night.
[00:45:23.156 --> 00:45:23.896]  Grab your coat!
[00:45:24.976 --> 00:45:25.957]  Come on!
[00:45:26.457 --> 00:45:26.737]  Woo!
[00:45:27.901 --> 00:45:31.463]  And we are taking action here, fighting the globalists at point-blank range.
[00:45:32.164 --> 00:45:33.524]  And guess who else is taking action?
[00:45:33.824 --> 00:45:38.447]  The Motor City madman, Uncle Ted, Ted Nugent's joining us.
[00:45:38.507 --> 00:45:43.570]  He's been really calling out the VACs, trying to be bullies to those of us that have natural immunity.
[00:45:43.590 --> 00:45:46.612]  So he's joining us coming up.
[00:45:48.123 --> 00:45:49.304]  Next segment.
[00:45:49.825 --> 00:45:51.927]  And I'm also going to get his take on this big story.
[00:45:51.987 --> 00:45:53.988]  I just had the crew ask me, why aren't you covering this?
[00:45:54.008 --> 00:45:54.629]  And that's a good thing.
[00:45:55.069 --> 00:45:56.931]  Crew doesn't normally say, why aren't you covering something?
[00:45:56.951 --> 00:45:58.553]  This is so big, I should be covering it.
[00:46:00.094 --> 00:46:07.561]  Yes, you saw the national school boards, especially the Communist Party in this country, that want to make our kids wear masks and don't want to ever do any work.
[00:46:09.343 --> 00:46:19.148]  The teachers unions have come out and said, we want anti-terrorism teams at the school boards, people yelling at us and saying we're tyrants, needs to be illegal.
[00:46:20.609 --> 00:46:29.173]  And the good old Attorney General came out and put a letter out and absolutely agreed with that.
[00:46:29.713 --> 00:46:34.176]  So that is coming up as well with Ted Nugent.
[00:46:35.796 --> 00:46:43.335]   And you already got the feds releasing almost all Of the Antifa, including people that set fire to federal courthouses.
[00:46:44.376 --> 00:46:48.637]  Because you know, whoever said a protest is peaceful, that's Cuomo's CNN.
[00:46:49.278 --> 00:46:57.921]  But then, hundreds of people that didn't break anything, didn't hit a cop, there's no footage of it, who were waved in by the police, are still in jail.
[00:46:58.441 --> 00:47:01.242]  And Owen Schroyer did not go in the Capitol.
[00:47:02.563 --> 00:47:07.164]  He'd been arrested before protesting Nadler, something everybody else is allowed to do if it's a Republican being protested.
[00:47:08.265 --> 00:47:13.365]   And, You've got Joe Biden defending people that are getting in people's faces and following them in bathrooms.
[00:47:14.105 --> 00:47:14.866]  Owen didn't do that.
[00:47:14.906 --> 00:47:17.767]  He just simply shouted out, the impeachment of Trump is wrong.
[00:47:17.787 --> 00:47:23.289]  And they threw him out of the committee room, something Code Pink does all the time for other issues, which I think they have a right to do.
[00:47:23.309 --> 00:47:24.049]  They shouldn't be arrested.
[00:47:24.929 --> 00:47:27.750]  And so he said, hey, I can't, you know, bullhorn on Capitol grounds.
[00:47:27.790 --> 00:47:28.711]  I'm not supposed to protest.
[00:47:29.131 --> 00:47:30.591]  I'll just be a media observer.
[00:47:30.611 --> 00:47:31.912]  And he said that on tape.
[00:47:32.992 --> 00:47:35.193]  And he was under his probation for a misdemeanor.
[00:47:36.233 --> 00:47:42.375]  Not supposed to protest in the Capitol or in another federal building.
[00:47:42.915 --> 00:47:43.575]  Well, he didn't.
[00:47:44.495 --> 00:47:50.337]  And he has been indicted, and they just put on the indictment that he forced his way physically into the Capitol.
[00:47:50.377 --> 00:47:55.818]  So there's also a criminal fraud on the face of it.
[00:47:56.498 --> 00:48:06.661]   And again, ladies and gentlemen, I know for a fact, because I've gotten the calls, the feds have been calling People that we've had on as guests over the years.
[00:48:07.141 --> 00:48:08.381]  Women, men, you name it.
[00:48:09.521 --> 00:48:11.362]  And saying, hey, did you meet with Alex Jones?
[00:48:11.822 --> 00:48:13.322]  We want to meet with you about Alex Jones.
[00:48:13.342 --> 00:48:14.983]  We want to know what he was planning that day.
[00:48:16.003 --> 00:48:19.124]  Anybody knows me knows everything I'm up to is above board.
[00:48:19.264 --> 00:48:20.705]  Unless I tell you it's not above board.
[00:48:22.045 --> 00:48:25.266]  I told you lots of stuff we're doing to get around deplatforming and other things.
[00:48:26.326 --> 00:48:28.687]  And we're not going to talk about it.
[00:48:29.167 --> 00:48:36.391]   It's all legal, it's all lawful, it's all completely kosher, but We're certainly not going to give our enemies a blueprint on how to try to shut us down.
[00:48:37.453 --> 00:48:39.878]  And so let's just say I'm shedding my skin.
[00:48:41.448 --> 00:48:42.809]  And I need a lot of energy.
[00:48:42.829 --> 00:48:43.909]  And what is the symbol of energy?
[00:48:43.989 --> 00:48:46.791]  It's a dollar sign, until they get rid of that soon with the global currency.
[00:48:48.512 --> 00:48:49.652]  You think the Federal Reserve's bad?
[00:48:49.712 --> 00:48:56.676]  Wait till the behavioral modification, social engineering, global social credit score, carbon tax world IDs here.
[00:48:57.356 --> 00:49:04.440]  And so that's why I said earlier, listen, go get a book, get a t-shirt, get a film, sign up for things you're gonna need every month or every two months or every three months.
[00:49:04.820 --> 00:49:07.682]  For auto ship, the additional 10% off, cancelling time, it's free to cancel.
[00:49:08.522 --> 00:49:09.503]  But you're going to like the coffee.
[00:49:09.743 --> 00:49:10.904]  I think you're going to love it.
[00:49:10.924 --> 00:49:12.545]  You're going to love Ultra 12, Vitamin B12.
[00:49:12.565 --> 00:49:13.766]  You're going to love Winter Sun.
[00:49:14.206 --> 00:49:23.433]  You're going to love, love, love, love RainForce Ultra and RainForce Plus and TurboForce is finally almost back in with the supply chain breakdowns.
[00:49:23.473 --> 00:49:24.133]  That's what's hurting us.
[00:49:24.153 --> 00:49:30.318]  You guys buy enough of the product to keep us on the air and to expand, but we just can't ever get it because everything's breaking down and I'm not lowering the quality of the products.
[00:49:31.018 --> 00:49:32.199]  So it's a real problem.
[00:49:33.080 --> 00:49:40.998]   But finally, we've got some of the products in and Sign up for all those ships so you can continually support us in the future and support yourself.
[00:49:41.519 --> 00:49:42.459]  But now is the time.
[00:49:42.840 --> 00:49:47.163]  If you want to see us fight, you want to see us in the Info War, capitalize us today.
[00:49:47.183 --> 00:49:49.084]  Because you may not be able to in a month or six months.
[00:49:49.324 --> 00:49:53.407]  If we don't get the capital, they're going to be able to really cripple this operation.
[00:49:53.828 --> 00:49:56.410]  So I need to be flooded with energy now and your prayers.
[00:49:56.690 --> 00:49:57.630]  Please help us.
[00:49:57.831 --> 00:49:58.751]  We're trying to help you.
[00:49:58.771 --> 00:50:02.234]  You ought to see Uncle Ted play this in person.
[00:50:03.769 --> 00:50:12.477]  Or the Star-Spangled Banner right there in his living room with his great wife Shemaine and the Yellow Labs, the Golden Retrievers.
[00:50:13.858 --> 00:50:17.941]  Yes, Ted Nugent is at it again, ladies and gentlemen, fighting the tyrants.
[00:50:18.542 --> 00:50:20.544]  And here's a quick clip of what we're about to talk about with him.
[00:50:21.544 --> 00:50:26.929]  Well, would you speak to the people who believe it is a worthwhile vaccine and it is saving lives?
[00:50:27.009 --> 00:50:28.130]  Are they just dead wrong?
[00:50:28.190 --> 00:50:31.093]  Have they been fed a line from the federal government?
[00:50:31.991 --> 00:50:35.473]  Tim, I appreciate the opportunity to speak to the people that went ahead and got the jab.
[00:50:35.793 --> 00:50:36.774]  I speak their language.
[00:50:36.754 --> 00:50:43.754]  I would speak to them thusly, "Baaaa, baaaa, baaaa, baaaa."
[00:50:43.754 --> 00:50:45.754]  They understand that.
[00:50:45.899 --> 00:50:49.581]  Well, so all these millions of people that got the shots, they're just stupid?
[00:50:50.717 --> 00:50:50.857]  Yep.
[00:50:51.197 --> 00:50:52.198]  Ted, thanks for coming on.
[00:50:52.218 --> 00:50:58.282]  I saw that clip this morning going viral and wanted to get you to elaborate and hopefully do a little Obama supporter.
[00:50:58.302 --> 00:50:59.483]  Obama!
[00:50:59.723 --> 00:51:01.284]  Do a little more of that for us.
[00:51:01.304 --> 00:51:02.065]  Ted, thanks for coming on.
[00:51:02.845 --> 00:51:03.946]  Yeah, my pleasure, Alex.
[00:51:03.966 --> 00:51:12.852]  You know, I gotta tell you, I was dead serious and there's nothing more serious than combating these power-abusing, oath-violating, genocidal tyrant punks.
[00:51:13.432 --> 00:51:19.797]  But you have to admit, you can't not laugh when you see me take on public television dirtbags like that.
[00:51:20.557 --> 00:51:22.438]  And they just don't know what to do.
[00:51:22.719 --> 00:51:29.243]  When I hand it over to them to get their points of view, I mean, literally, I don't know if they have their heads straight up Fauci's ass.
[00:51:29.363 --> 00:51:34.206]  I don't know if they've been just propagandized that would make Joseph Goebel proud.
[00:51:34.566 --> 00:51:39.849]  I don't know if they're just that weak, that stupid, that gullible.
[00:51:40.349 --> 00:51:42.511]  But what I express is an accumulation.
[00:51:43.451 --> 00:51:57.781]  You know, Alex, I've always mentioned and it's important to emphasize that I'm just a guitar player, but I'm an American father, husband, neighbor, rancher, farmer, cop, guitar player in the asset column.
[00:51:58.122 --> 00:52:05.087]  Everybody benefits from the Nugent work ethic and the Nugent entrepreneurial spirit and the Nugent attitude and spirit.
[00:52:05.807 --> 00:52:18.044]   But I have never imagined that this pandemic by the Chinese communist weaponized virus would actually be eclipsed by
[00:52:18.044 --> 00:52:24.835]   the pandemic of sheep-like bending over compliance that I'm witnessing. And I just
[00:52:24.835 --> 00:52:30.045]   hope everybody listening to Alex Jones, I hope they drive their mayor, their senator, their
[00:52:30.045 --> 00:52:32.874]  congressman, their governor's office batty.
[00:52:33.074 --> 00:52:38.277]  Because if you're not driving the enemy batty, the enemy thinks you're on their side.
[00:52:38.317 --> 00:52:48.704]  And that's why I do these media things every day of my life, because I represent the pulse, the heart and soul of critical thinking Americans.
[00:52:48.784 --> 00:53:08.513]   By the way, The only Americans that are real Americans and that deserve to be Americans are Americans that critically think and are suspicious of everything about the government, the media, the medical community, every alphabet soup bureaucrat, high tech, big tech, Hollywood.
[00:53:09.154 --> 00:53:19.078]  I'm telling you, this is a juncture whether we take the road to freedom or we bend over and give it to these punks in government.
[00:53:20.183 --> 00:53:20.784]  Absolutely.
[00:53:20.824 --> 00:53:25.348]  You know, you and I last year looked at the statistics, the numbers, there were no extra deaths per capita.
[00:53:25.368 --> 00:53:29.872]  They were saying gunshot wounds and car wrecks and cancer were COVID.
[00:53:30.433 --> 00:53:36.759]  But then when you got it this year and I got it, and even before we got it, we knew people were actually getting something real that was different.
[00:53:37.119 --> 00:53:41.543]  Wasn't a flu, wasn't a cold, felt like a gorilla was sitting on my chest, almost killed my dad.
[00:53:42.344 --> 00:53:48.426]  But mudecinine and things like that were able to get him to turn around very, very quickly.
[00:53:48.546 --> 00:53:59.189]  I know you had it and got over it, and the statistics show right here, and Pfizer even admits it in undercover videos, but the Israeli study shows natural immunity is up to 27 times better.
[00:53:59.629 --> 00:54:05.951]  So why would they try to force an injection on 100 million Americans that have already had this nasty Chycon bug?
[00:54:07.128 --> 00:54:09.408]  Well, I don't even care about their motivations.
[00:54:09.468 --> 00:54:12.709]  Just like if someone breaks into my house, I don't really care what his motivations are.
[00:54:12.729 --> 00:54:13.709]  I'm gonna cut him in half.
[00:54:14.189 --> 00:54:16.410]  I don't care what a rapist's motivations are.
[00:54:16.470 --> 00:54:17.550]  The guy needs to die.
[00:54:17.570 --> 00:54:23.391]  I don't care what a carjacker and a murderer and an arsonist... I don't care what their motivations are.
[00:54:23.431 --> 00:54:25.091]  They need to be neutralized.
[00:54:25.751 --> 00:54:52.573]   And to your point, the most emphatic evidence to support what you and I raise hell about is that we have the footage We have the footage of Barack Obama and Nancy Pelosi and Dr. Devil Fauci Punk at the Wuhan Lab scamming American tax dollars to help the Devil Chinese Communists.
[00:54:53.534 --> 00:54:54.535]  Come on, everybody!
[00:54:55.310 --> 00:55:00.236]  The Communist Chinese devils, they kill their own people.
[00:55:00.676 --> 00:55:03.960]  They have concentration camps for people.
[00:55:04.340 --> 00:55:07.744]  They are genocidal, tyrannical, evil monsters.
[00:55:08.357 --> 00:55:18.184]  And Fauci, Pelosi, and Barack Obama helped them create a gain-of-function virus that guarantees that everybody will get it.
[00:55:18.224 --> 00:55:35.516]  And the most important point I can bring out is that when my buddies and my friends and my hunting buddies and my fellow musicians and my wife Shemaine and I got it, we went to the frontline doctors and we did exactly the opposite of what the government told us to do.
[00:55:35.556 --> 00:55:36.876]  I'm sorry, Ted, there's no treatment.
[00:55:38.106 --> 00:55:38.907]  Bull crap!
[00:55:39.507 --> 00:55:45.573]  The frontline doctors recommend across the board hydroxychloroquine, ivermectin, steroids, and zinc.
[00:55:45.853 --> 00:55:53.760]  I've been taking zinc since October of 2019, and I've always taken CDB-12, and I've always eaten good and taken good care of myself, clean and sober.
[00:55:53.780 --> 00:55:54.821]  I get a lot of exercise.
[00:55:54.901 --> 00:55:58.144]  I breathe more wild swamp air than any duck you'll ever meet.
[00:55:58.685 --> 00:56:02.408]  And so I was already in good shape, but we did exactly the opposite.
[00:56:02.852 --> 00:56:08.892]   of what the government told us to do, and we were 100% fine within days,
[00:56:08.892 --> 00:56:14.472]   along with everybody else that I know that took the frontline doctor's recommended treatment
[00:56:14.472 --> 00:56:17.312]  that the government says is no good.
[00:56:17.312 --> 00:56:21.071]   TedNugent.com's the website for everything Ted Nugent and Ted Nugent World.
[00:56:21.071 --> 00:56:24.312]   Absolutely, my dad didn't tell me he was sick for a week and a half.
[00:56:24.312 --> 00:56:26.031]  My mom says he's never been that sick.
[00:56:26.031 --> 00:56:28.031]  My dad was 82 oxygen.
[00:56:28.031 --> 00:56:30.051]  He couldn't even get up to know who he was.
[00:56:30.051 --> 00:56:35.791]   Within five or six hours after I got the ivermectin, the budesedine from Dr. Bartlett here in Texas,
[00:56:35.791 --> 00:56:40.512]   and my dad was up and walking around, by the next day he was 90% better.
[00:56:40.512 --> 00:56:42.471]  I mean, this was incredible.
[00:56:42.471 --> 00:56:45.992]   If I would've taken him to the hospital, they'd have put a ventilator down his throat.
[00:56:45.992 --> 00:56:47.592]  They would have murdered my dad.
[00:56:48.168 --> 00:56:55.592]  Well, to all the families across America and everybody listening, reach out to people that don't listen to Alex Jones.
[00:56:55.932 --> 00:56:56.532]  And I mean that.
[00:56:57.092 --> 00:57:08.479]  Reach out to people who are afraid and are intentionally hiding from information that squashes the real misinformation from government, big tech, and all the bureaucracies.
[00:57:08.919 --> 00:57:18.599]   Reach out to your family and friends and let them know that Alex Jones and Ted Nugent and all good heart and soul, caring, loving Americans We share your pain and suffering.
[00:57:19.079 --> 00:57:21.760]  We share your heartbreak that you've lost loved ones.
[00:57:22.201 --> 00:57:30.264]  My good friend, one of the greatest Americans that ever drove the asset column of America, Jim Brown from Indiana.
[00:57:30.865 --> 00:57:32.486]  Just a great man, Alex.
[00:57:32.986 --> 00:57:35.767]  And he died two days ago and we're still mourning.
[00:57:35.827 --> 00:57:39.909]  We are shattered at the loss of our loved ones and our dear friends.
[00:57:40.589 --> 00:57:45.972]  And the reason they're dying is because the United States government is the enemy of America.
[00:57:46.727 --> 00:57:54.071]  And they worked with the communist Chinese devils to weaponize a virus to hurt mankind.
[00:57:54.411 --> 00:57:59.673]  So the government of the United States and the communist Chinese devils killed my friend Jim.
[00:58:00.114 --> 00:58:00.614]  Period.
[00:58:02.301 --> 00:58:04.423]  That's incredible, and I can hear the anger in your voice.
[00:58:04.443 --> 00:58:08.906]  I've known you 20-something years and never heard you sound that focused, that angry, and you're always a focused guy.
[00:58:09.506 --> 00:58:12.308]  This just broke, Ted, and I hope that you and Shemaine will check it out.
[00:58:12.688 --> 00:58:13.869]  I'll send you the actual clip.
[00:58:14.209 --> 00:58:15.730]  I did a 40-minute report on it last night.
[00:58:16.311 --> 00:58:28.279]  Fauci in 2019 bragged with the head of HHS about needing a virus out of China to scare people to accept mRNA vaccines and, quote, blow up the existing system so they could take it over.
[00:58:28.860 --> 00:58:31.161]  Actual video, and now we know they lied to Congress.
[00:58:32.302 --> 00:58:39.504]  Now we know that they basically cooked all this up on purpose, the document show, and wanted to spray it into Chinese caves.
[00:58:39.544 --> 00:58:40.224]  What do you make of that?
[00:58:40.924 --> 00:58:53.108]  Well, all the smart Americans, the ones that perform their most important independent life, liberty and pursuit of happiness, autonomous responsibility, they are suspicious of all authority.
[00:58:53.228 --> 00:58:58.169]  And now it is universal amongst critical thinkers and smart Americans.
[00:58:58.889 --> 00:59:00.970]  We distrust the U.S.
[00:59:01.030 --> 00:59:01.430]  government.
[00:59:02.097 --> 00:59:07.262]  Every alphabet soup bureaucracy is virtually untrustworthy.
[00:59:07.723 --> 00:59:19.815]  The CDC, the FDA, the Communist Chinese WHO, the USDA, the FBI, led by the Comeys and the enemies of law enforcement.
[00:59:19.835 --> 00:59:21.937]  Ted Stanley, you're always on fire, but you're really on fire right now.
[00:59:21.977 --> 00:59:24.600]  Let's come back and talk about how much trouble this country's in and how to save it.
[00:59:24.620 --> 00:59:25.741]  Stay with us, Ted, dude, just right ahead.
[00:59:27.631 --> 00:59:29.493]  All right, Ted Nugent is with us.
[00:59:30.214 --> 00:59:37.342]  He's got a new song out, which is, come and take it, that we'll play at the end of this segment, just 30 seconds of or so.
[00:59:37.962 --> 00:59:44.910]  But Ted, you're really upset, you're really angry talking about your good friend dying from them not giving him the life-saving medical attention that's almost saving 100% of people.
[00:59:46.051 --> 00:59:55.634]  Even Fox News reports Senator Paul and Dr. Bartlett, who joins us next segment, and Dr. Watkins, say FDA should grant budecidide emergency use authorization to treat COVID.
[00:59:55.914 --> 01:00:10.998]  You were getting into the fact that they block that, even though it's got Oxford studies showing it's incredible, and then you were getting into the situation that is taking place with Americans not trusting this government because it's been occupied by CHICOM double agents.
[01:00:11.018 --> 01:00:12.479]  So please continue with both those points.
[01:00:13.459 --> 01:00:26.644]  Well, again, critical thinking is the DNA of freedom-demanding we the people, the experiment in self-government that is unique in the history of humankind here in the United States of America.
[01:00:26.664 --> 01:00:29.825]  The founding fathers critically fought against the king.
[01:00:30.485 --> 01:00:39.773]  The Founding Fathers critically fought against the arbitrary, punitive, and capricious and demonic rules that the king forced upon its subjects.
[01:00:40.333 --> 01:00:46.178]  So they wrote down what they knew instinctively to be free, to be right, the gift of individual rights from God.
[01:00:46.218 --> 01:00:48.020]  That's called the Constitution, the Bill of Rights.
[01:00:48.780 --> 01:01:11.530]   Well, right now, If you're a critical thinker, if you're a good American, if you critically think, entrepreneurs, you know, the people in the arena, in the swirling dust of battle, the entrepreneurs that take risks and make sacrifices to start a new business and to employ people, the economic engine of the greatest quality of life in the history of the world, those critical thinkers are being punished and ostracized.
[01:01:11.910 --> 01:01:21.458]   If you're a critical thinker and you're suspicious of the government, which you have to be, If you're honest, you have to be suspicious of everything about this government right now, more than ever.
[01:01:21.998 --> 01:01:26.702]  And if you are a critical thinker, you can't shop, you can't go to work, you can't go to school.
[01:01:27.103 --> 01:01:39.634]  If you turn down the most offensive, forced medicine in the history of the world, where the government says, you have to take this shot, or you can't go to the movies, you can't eat, you can't have a job, can't go to school, you can't travel, you can't live.
[01:01:39.674 --> 01:01:42.096]  We're not forcing it upon you, but you can't have a life without it.
[01:01:42.918 --> 01:01:50.043]  Those critical thinkers are being punished and ostracized while we are importing desperate people from around the world.
[01:01:50.063 --> 01:01:56.588]  We're flying in Afghan from the hell holes of their worthless lifestyle on C-17s.
[01:01:57.028 --> 01:02:04.693]  We are witnessing the orchestration of an invasion of America by the government of the United States of America.
[01:02:05.054 --> 01:02:06.915]  Make that perfectly clear.
[01:02:07.756 --> 01:02:22.692]   The government The entire gang of Democrat Marxists infesting our government are orchestrating the invasion of America through our southern border because those people will blindly obey the Democrats.
[01:02:23.132 --> 01:02:24.412]  They're getting rewarded.
[01:02:24.873 --> 01:02:33.515]  They are not restricted like citizens are because critical thinkers are being taken out of the equation so the government can control these new saps.
[01:02:33.947 --> 01:02:39.467]   that are coming here illegally. It's as simple as that. If you're a good American, you're thrown out.
[01:02:39.467 --> 01:02:45.706]   If you're a blind, obedient sheep, you're welcomed in and rewarded. That's all we need to know.
[01:02:47.350 --> 01:02:51.452]  Coming from tyrannies into a tyranny to help suppress the nation.
[01:02:52.093 --> 01:02:55.034]  And I know that there's some good folks still left at the Pentagon.
[01:02:55.074 --> 01:02:58.656]  They have their Project Solace run by the big AI system.
[01:02:58.756 --> 01:03:11.803]  It found that the majority of deaths and hospitalizations were from the vaccinated and that it's destroying their immune system and creating a syndrome called ADE that over time kills about 80% of people that develop it, Ted.
[01:03:12.263 --> 01:03:15.084]  I mean, this is from the Pentagon's own Project Solace.
[01:03:15.385 --> 01:03:15.985]  What do you make of that?
[01:03:17.079 --> 01:03:35.028]  Well, number one, we, the people, salute you, Alex Jones, because you got a T-Rex ball sack swinging from coast to shining coast, and you're what the founding fathers wanted all Americans to be, suspicious of all authority.
[01:03:35.489 --> 01:03:54.243]   And you don't do it mean-spirited, but you look into it, and before the government can hide their own findings, You expose the findings that support everything you and I believe in and talk about and destroys what they call misinformation because the guaranteed misinformation on planet Earth
[01:03:54.616 --> 01:04:02.523]  It comes from the United States of American government and all its corrupt, criminal, oath-violating bureaucracies.
[01:04:02.864 --> 01:04:04.605]  This is a tragic time in America.
[01:04:04.866 --> 01:04:06.968]  Let me keep it positive, if I may.
[01:04:07.008 --> 01:04:08.229]  There is positive, Alex.
[01:04:08.549 --> 01:04:11.152]  Number one, I'm going to have the greatest hunting season of my life.
[01:04:11.212 --> 01:04:16.617]  We have the greatest bunch of guys and gals joining the Nugent campfire every weekend.
[01:04:17.142 --> 01:04:18.383]  Great, great Americans.
[01:04:18.423 --> 01:04:23.588]  We're going to have a wonderful, natural fall season of harvest and really stack up the backstraps.
[01:04:23.908 --> 01:04:32.296]  But we fight against the corrupt bureaucracies in between each hunt because we work hard before we play hard.
[01:04:32.376 --> 01:04:36.660]  So thank you for being the cockroach spotlighter of all times.
[01:04:36.700 --> 01:04:41.606]   I give you the Ted Nugent Cockroach Spotlight Czar Award of a lifetime.
[01:04:42.106 --> 01:04:45.389]  Because you're doing the American's number one job.
[01:04:45.209 --> 01:04:51.428]   spotlighting... I give you that award back as the king of spotlighting the
[01:04:51.428 --> 01:04:56.308]   cockroaches. In closing I want to talk about other positive things. I see it as
[01:04:56.308 --> 01:05:00.709]   really positive not in a good way from them but overall that the
[01:05:00.709 --> 01:05:06.748]   disgusting National Teachers Association called parents protesting vaccines and
[01:05:06.748 --> 01:05:12.269]   poisons and masks as terrorists and now the Justice Department agrees is going
[01:05:12.269 --> 01:05:16.189]  to send the FBI, the school boards to intimidate people.
[01:05:16.472 --> 01:05:19.795]  I've got the national letter right here that I can show people.
[01:05:19.835 --> 01:05:21.697]  This just shows how desperate they are.
[01:05:21.957 --> 01:05:28.504]  Nobody's going to buy that the FBI counter-terrorism force is now going to try to intimidate people protesting at school boards.
[01:05:28.924 --> 01:05:31.467]  I mean, this is desperate stuff, Ted Nugent.
[01:05:32.608 --> 01:06:01.368]   Well, until a law enforcement agency arrests Barack Obama and Eric Holder for killing Brian Terry with their gun-running scam, and until they arrest Hillary Clinton and all those punks for lying to the victims of the Benghazi family, claiming it was about a video, until they arrest Lon Horiachi for murdering Vicki Weaver and her son, Until they really go after the James Comeys for his perjury and the Adam Schiff for putting on the congressional record 100% lies claiming it came from Donald Trump.
[01:06:01.668 --> 01:06:08.032]  Until they really go after the real criminals in our society, the good people of America laugh in their corrupt face.
[01:06:08.092 --> 01:06:09.593]  But let me leave you with this, Alex.
[01:06:10.493 --> 01:06:12.835]  You know who shares my campfire every weekend?
[01:06:13.075 --> 01:06:14.656]  Cops and military heroes.
[01:06:15.296 --> 01:06:17.738]  That's right, the actual average folks are great.
[01:06:18.863 --> 01:06:28.248]  And to the man and woman of law enforcement, they are sworn to not obey an illegal, immoral, oath-violating order.
[01:06:28.808 --> 01:06:44.436]  If these milli-punks of the world and the so-called commander and inept, demented chief that infests our White House, if they give an immoral, illegal, oath-violating command, those heroes will be on our side, I promise you.
[01:06:44.778 --> 01:06:45.238]  Beautiful.
[01:06:45.298 --> 01:06:48.862]  Sir, please give us another imitation of the vaccinated.
