[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[00:45:21.054 --> 00:45:30.056]  They were also known as the Red Army Faction, and this was a group of radical extremists who conducted a series of terrorist attacks funded by the USSR.
[00:45:30.816 --> 00:45:33.277]  This wreaked havoc on the entire region for years.
[00:45:34.497 --> 00:45:38.738]  Before turning to a life of terrorism, Ulrich Meinhof was a left-wing journalist.
[00:45:39.679 --> 00:45:40.439]  Funny how that works.
[00:45:42.964 --> 00:45:54.281]  During the Syrian Civil War, some Antifa militants even traveled to the Middle East and trained and fought with Kurdish communists on the battlefield in what was known as the Rojava Revolution.
[00:45:55.122 --> 00:45:58.528]  And then they came back to America with what they learned.
[00:46:00.766 --> 00:46:01.807]  You won't see this on CNN.
[00:46:04.871 --> 00:46:07.774]  And now, Antifa is right here in America.
[00:46:08.915 --> 00:46:15.523]  Armed Antifa actually tried to create their own country within the city of Seattle, Washington, called the Chazz.
[00:46:16.364 --> 00:46:21.529]  And instead of shutting them down, local police were ordered to abandon their precinct.
[00:46:22.330 --> 00:46:23.030]  The result?
[00:46:23.611 --> 00:46:24.631]  Absolute mayhem.
[00:46:25.331 --> 00:46:36.316]  But it wasn't until shots were fired, women assaulted, homeless people murdering each other, and teens were shot dead in the streets that the city finally intervened and shut it down.
[00:46:37.637 --> 00:46:39.017]  I know because I was there.
[00:46:39.037 --> 00:46:44.360]  I've been inside the black box.
[00:46:45.239 --> 00:46:48.482]  I was standing next to Raz Simone when he locked and loaded in Chaz.
[00:46:49.243 --> 00:46:54.468]  I came face to face with Antifa leaders who wanted to kill me in Lincoln Park, Washington, D.C.
[00:46:55.109 --> 00:46:59.193]  I know firsthand Antifa is very real, and they've been around for a very long time.
[00:46:59.733 --> 00:47:05.078]  The first step to defeating these violent anarchists is to actually admit they exist.
[00:47:05.619 --> 00:47:09.502]  Joe Biden, if you think Antifa is just an idea,
[00:47:10.663 --> 00:47:11.384]  Read the new book.
[00:47:12.244 --> 00:47:13.886]  I'd be happy to deliver you a copy.
[00:47:14.667 --> 00:47:17.349]  Once you're done reading Hunters, we have the receipts.
[00:47:18.430 --> 00:47:19.211]  They're all right here.
[00:47:19.231 --> 00:47:21.112]  All right, excellent job, Jack.
[00:47:21.333 --> 00:47:22.253]  I can't wait to read the book.
[00:47:22.273 --> 00:47:23.895]  I can't wait to carry it if he gets back with me.
[00:47:24.435 --> 00:47:27.138]  You know, the devil's greatest trick is telling the world he didn't exist.
[00:47:27.818 --> 00:47:34.765]  Ladies and gentlemen, thank you for joining us on this Live Friday, May 28th transmission.
[00:47:36.897 --> 00:47:40.781]  I am your host, Alex Jones, and the dots have been connected today.
[00:47:40.881 --> 00:47:41.982]  The planets have aligned.
[00:47:43.163 --> 00:47:53.554]  The answer has been computed and has been revealed in crystal clear 2020 vision.
[00:47:55.135 --> 00:47:59.760]  So let me give you the preface and then I will get into the evidence here.
[00:48:04.175 --> 00:48:13.680]  We know that the so-called COVID-19 vaccines, whether they be virus vector delivered or mRNA, are not vaccines.
[00:48:15.301 --> 00:48:26.128]  And that they, at a revolutionary level, do not try to teach the body how to defeat a damaged or neutralized attenuated virus or bacteria.
[00:48:27.548 --> 00:48:29.930]  That instead it goes in and programs the body
[00:48:31.155 --> 00:48:40.721]  How to respond to the shell of the virus, which is made of an extremely common protein in the body.
[00:48:42.782 --> 00:48:49.466]  So your body is being taught to have an autoimmune response, and there's many different ways it can do that, to that.
[00:48:50.366 --> 00:48:54.069]  That's why top scientists came out when they learned what was in these injections.
[00:48:55.189 --> 00:48:56.270]  What they are is just injections.
[00:48:58.757 --> 00:49:05.220]  And warned this is gonna cause brain damage, blood clots, Alzheimer's type diseases, heart attacks, and eat holes in your lungs.
[00:49:05.280 --> 00:49:12.082]  And they had all these studies from Russia, China, the US, Europe, the UK, Mexico, it goes on and on.
[00:49:13.123 --> 00:49:24.487]  Where they've tried in industrial poultry production particularly, to create a vaccine to stop bird flu that can come through and kill almost your entire facilities, ducks or chickens.
[00:49:27.199 --> 00:49:29.000]  So, they've been trying this for 50 years.
[00:49:29.020 --> 00:49:30.221]  They've been trying with mRNA for 20.
[00:49:30.361 --> 00:49:30.521]  Okay?
[00:49:32.903 --> 00:49:34.844]  So, giving you some background here.
[00:49:36.485 --> 00:49:37.706]  But, here's the boil down.
[00:49:43.490 --> 00:49:44.611]  They knew all this.
[00:49:44.731 --> 00:49:46.312]  This is extremely well studied.
[00:49:48.113 --> 00:49:50.414]  The big UT study and others funded by Fauci, 2012.
[00:49:53.066 --> 00:49:57.629]  And they said, don't give people a so-called vaccine to counter.
[00:49:57.949 --> 00:50:11.176]  They studied three different types of vaccines, three different ways to cause an autoimmune response to the spike protein of the virus on COVID viruses, SARS viruses, same virus, same family.
[00:50:13.118 --> 00:50:17.100]  And they said, extreme caution, it kills the rats, it kills the mice.
[00:50:17.920 --> 00:50:20.442]  They have strokes, they have heart attacks, they have blood clots in their lungs.
[00:50:21.752 --> 00:50:22.793]  What's in the news today?
[00:50:23.013 --> 00:50:24.454]  This is every hour news comes out.
[00:50:24.774 --> 00:50:30.259]  BBC presenter dies from blood clots after AstraZeneca vaccine in the brain.
[00:50:31.380 --> 00:50:33.241]  Had extreme headaches for a week and then died.
[00:50:33.482 --> 00:50:34.903]  The doctors say they believe it killed her.
[00:50:35.783 --> 00:50:35.944]  What?
[00:50:36.164 --> 00:50:37.425]  The supermodel that just died?
[00:50:37.805 --> 00:50:38.286]  Same thing.
[00:50:38.366 --> 00:50:39.026]  Massive stroke.
[00:50:39.406 --> 00:50:39.887]  Brain bleed.
[00:50:42.749 --> 00:50:43.230]  Comprende?
[00:50:46.052 --> 00:50:47.593]  Now let's give you the latest.
[00:50:47.953 --> 00:50:49.495]  Gregory's report just went live.
[00:50:50.799 --> 00:50:55.260]  Will the COVID vaccine complete the zombification of America?
[00:50:56.460 --> 00:50:59.761]  IQs dropping, sperm counts dropping, cancer rates exploding.
[00:50:59.801 --> 00:51:03.562]  Well, the answer is yes, it will.
[00:51:03.702 --> 00:51:08.024]  Here is medicine.hsc.wvu.edu.
[00:51:08.504 --> 00:51:09.644]  Major universities.
[00:51:11.384 --> 00:51:17.286]  RNA helps create zombie cells, cause cancer, says WVU researcher.
[00:51:20.506 --> 00:51:23.408]  That's the WVU Cancer Institute and School of Medicine.
[00:51:24.389 --> 00:51:30.372]  This, of course, is from before they launched their COVID op, before it was politically incorrect to tell the truth about it.
[00:51:30.953 --> 00:51:43.821]  And it creates prions that are artificial synthetic cells, and the problem with putting synthetic RNA in, synthetic viruses, synthetic organisms, is they start growing.
[00:51:44.662 --> 00:51:48.144]  And if they run into anything similar to themselves, they start growing.
[00:51:50.305 --> 00:51:51.786]  Like crystals, because they are crystals.
[00:51:53.507 --> 00:51:57.769]  That's why you don't feed cows, dead cows, because they don't have stomachs to deal with it.
[00:51:58.169 --> 00:51:59.009]  It passes through.
[00:52:00.270 --> 00:52:04.452]  Prions grow in their flesh, around the spinal cord and the brain.
[00:52:04.492 --> 00:52:12.256]  So you don't want to eat a cow's brain that has it, or meat that's up against the spine, because you get that, it goes into your brain, starts growing, and you're bye-bye.
[00:52:14.437 --> 00:52:18.559]  So, I studied this again last night for several hours, and again this morning for over an hour.
[00:52:19.912 --> 00:52:45.987]  And it's all right there, not a possibility, a guaranteed effect, highly studied, the system knew this, now there's prions growing right there, the system knew this and is injecting the West, who's the enemy of the globe, let's get rid of us, black, white, old, young, doesn't matter, gay, straight, doesn't matter, with a system that will eat your brain with crystals.
[00:52:46.806 --> 00:52:51.929]  Might take five years with a child, might take a month with somebody that's already got crystals in their brain that he's attached to.
[00:52:54.030 --> 00:52:57.793]  So, I mean, they did it, folks.
[00:52:58.053 --> 00:53:05.477]  And that's why Biden just announced that within 15 years, every hospital bed will be filled with people.
[00:53:06.038 --> 00:53:07.899]  And they're now saying Alzheimer's is common at age 20.
[00:53:07.979 --> 00:53:14.803]  Because it's plaques in the brain from aluminum, prions, it's a cocktail of things, pesticides,
[00:53:17.833 --> 00:53:23.156]  Phthalates, and it's not killing us fast enough, so they went ahead and hit us with this.
[00:53:24.377 --> 00:53:25.838]  And that's right out of a major institute.
[00:53:25.858 --> 00:53:29.219]  I got a bunch of other articles, studies on it here for you.
[00:53:29.580 --> 00:53:35.063]  Shocking study reveals mRNA COVID-19 vaccines may progressively generate your brain from prion disease.
[00:53:36.664 --> 00:53:37.764]  Here's an actual another study.
[00:53:37.824 --> 00:53:42.407]  Microbiology, infectious diseases, COVID-19 RNA-based vaccines, the risk of prion disease.
[00:53:42.707 --> 00:53:44.268]  I mean, this is well known, okay?
[00:53:46.866 --> 00:53:48.506]  So, there you go.
[00:53:48.526 --> 00:53:53.867]  I mean, they shut down England and made them kill almost all their cows and sheep because a few hundred had prions.
[00:53:54.207 --> 00:53:56.068]  All they had to do was just kill the ones that had it.
[00:53:56.288 --> 00:53:57.408]  But instead, they just killed them all.
[00:53:59.828 --> 00:54:03.809]  But instead, they now inject you with synthetic prions.
[00:54:05.049 --> 00:54:08.570]  So you can get synthetic spongiform encephalopathy.
[00:54:10.670 --> 00:54:14.051]  And so your brain, after you've been injected, after this degenerates,
[00:54:15.592 --> 00:54:17.994]  We'll look like the brain on your screen on the left hand side.
[00:54:18.014 --> 00:54:19.955]  The Alzheimer's patient.
[00:54:20.716 --> 00:54:21.957]  I guess you're right.
[00:54:22.917 --> 00:54:23.558]  So there it is.
[00:54:24.759 --> 00:54:27.220]  And you're not going to be causing problems anymore.
[00:54:28.001 --> 00:54:36.167]  So the virus is real, has great gain of function to infect you, so everybody gets scared and takes a vaccine for the virus's shell.
[00:54:37.147 --> 00:54:40.450]  That is a prion delivery system and so
[00:54:42.145 --> 00:54:43.326]  Here's the key.
[00:54:43.766 --> 00:54:54.792]  We're going to have to, and I said this six months ago, I said it a year ago, I said when everybody gets Alzheimer's or neurological-type disorders, they're going to claim that COVID's eating the brain, or some new virus is.
[00:54:55.592 --> 00:54:57.093]  No one will point out it's the vaccine.
[00:54:58.394 --> 00:55:02.856]  Any scientists that try to will be censored, and the people that are dying never want to admit.
[00:55:03.076 --> 00:55:09.239]  That's the sign of somebody under this delusion, under this programming, is when they get hurt, the left always defends their abuser.
[00:55:09.519 --> 00:55:10.200]  Stockholm Syndrome.
[00:55:11.007 --> 00:55:15.910]  And so this is just going to be a nightmare scenario, and this is the end of civilization.
[00:55:16.170 --> 00:55:17.711]  You've got to get to rural areas.
[00:55:17.831 --> 00:55:18.572]  I've got to, too.
[00:55:18.872 --> 00:55:20.093]  You've got to dig in soon.
[00:55:20.973 --> 00:55:21.934]  The death's already happening.
[00:55:21.954 --> 00:55:28.598]  See, if the crystals grow too fast, or there's an autoimmune response too fast, there's a whole range of things.
[00:55:28.918 --> 00:55:32.380]  The people die within days or hours, hours or days, weeks sometimes.
[00:55:33.020 --> 00:55:33.801]  And it's always the same.
[00:55:34.922 --> 00:55:35.442]  Science is clear.
[00:55:36.843 --> 00:55:42.045]  But for the most people, it's just, it lays little goodies in there.
[00:55:42.485 --> 00:55:50.989]  And there's major studies showing electromagnetic resonance through tissue can then actually activate them to grow.
[00:55:51.589 --> 00:55:54.991]  So they obviously have cures for this as well, but the elites have that.
[00:55:55.391 --> 00:55:56.131]  You're not gonna get it.
[00:55:56.931 --> 00:56:03.414]  They can then use the 5G and other systems to then resonate with the crystals and make them grow.
[00:56:03.934 --> 00:56:04.935]  There's a lot of studies on that.
[00:56:05.799 --> 00:56:19.032]  So now you understand, they can now, they put the crystals in you, and they're gonna slowly kill you, but if they want, they can take you and put you in a chamber, you think it's just a regular jail cell, they flip a switch, and it makes the crystals grow so fast, that in a month you're dead.
[00:56:19.592 --> 00:56:22.295]  And we have top science for you, on the other side, to lay that out.
[00:56:22.355 --> 00:56:24.857]  So, prepare to die!
[00:56:25.768 --> 00:56:27.609]  That's why they don't care that you know they're criminal.
[00:56:27.749 --> 00:56:29.509]  That's why they don't care that you know they're Chinese agents.
[00:56:29.770 --> 00:56:32.851]  Because this is America under attack in Europe and Australia.
[00:56:32.931 --> 00:56:33.691]  This is the end.
[00:56:34.271 --> 00:56:35.692]  These are Chinese globalist agents.
[00:56:35.732 --> 00:56:36.212]  This is it.
[00:56:36.792 --> 00:56:37.252]  This is it.
[00:56:38.033 --> 00:56:40.394]  And then it'll take you years to die and they'll go, we don't know what's doing it.
[00:56:40.574 --> 00:56:42.094]  Then it weighs down and collapses society.
[00:56:42.254 --> 00:56:45.956]  Welcome back, I'm Alex Jones, your host, and this is Beyond An Emergency Situation.
[00:56:47.583 --> 00:56:58.481]  What's happening to humanity is so bad, is so horrible, that despite the incredible persecution they're launching at us behind the scenes, I'm completely calm and feel blessed to be aware of what's going on.
[00:56:59.102 --> 00:57:00.164]  That's how bad this is.
[00:57:01.846 --> 00:57:02.506]  It's unspeakable.
[00:57:02.946 --> 00:57:18.189]  And notice all over the news, they have to admit locally, yeah, whole nursing homes get the mRNA shot, or the other ones, they all do the same thing, and they create an autoimmune response, you know, to this protein, and then starts the replication of the protein, and then they just go, just don't worry, we're, you know, everything's fine.
[00:57:18.809 --> 00:57:26.671]  And people get so incredibly sick, and suddenly they have brain fog, nobody at the nursing home is going to eat dinner anymore, or lunch or breakfast, and people start dying.
[00:57:28.712 --> 00:57:36.795]  But young folks and old folks and everybody else are having heart attacks and strokes over and over and over again.
[00:57:36.815 --> 00:57:40.777]  You know, the one-child policy targeted girls in China.
[00:57:42.637 --> 00:57:44.558]  Over 100 plus millions killed.
[00:57:46.619 --> 00:57:51.081]  And then now they've targeted all over the world boys with the autism, with what they did with the vaccines.
[00:57:52.617 --> 00:57:52.677]  The
[00:58:11.023 --> 00:58:24.577]  The body is eating itself and these crystals are growing and they start cutting through the blood vessels, the capillaries in the brain and it's very painful to be murdered like this with the crystals growing in your brain.
[00:58:24.617 --> 00:58:28.441]  It's right out of a horror movie and then finally they sever the large enough
[00:58:30.731 --> 00:58:31.812]  That's what I'm saying.
[00:58:50.834 --> 00:58:52.955]  So, yeah, he's part of it as well.
[00:58:52.995 --> 00:58:54.396]  So, I mean, there you go.
[00:58:54.416 --> 00:58:56.158]  These people want the art for themselves.
[00:58:56.178 --> 00:58:56.938]  They think you're stupid.
[00:58:57.619 --> 00:59:00.020]  And they think they can just carry this out and get away with it.
[00:59:00.080 --> 00:59:00.781]  So, there you go.
[00:59:02.082 --> 00:59:04.763]  See, a lot of folks are joining them because they think they'll be protected.
[00:59:06.004 --> 00:59:07.725]  Boy, they don't have a lot of sense, do they?
[00:59:10.507 --> 00:59:14.470]  No, they don't have a lot of sense.
[00:59:16.271 --> 00:59:19.374]  They got sense to take over, but not sense of what's going to happen down the road.
[00:59:19.834 --> 00:59:21.576]  So let's go ahead and go to Gregory's report.
[00:59:21.616 --> 00:59:28.221]  It's short, but then we'll take what I've said here in the last few segments and put it together with it, put out another more lengthy report.
[00:59:28.282 --> 00:59:35.488]  But he just did the translation of it into English, out of French.
[00:59:36.569 --> 00:59:38.010]  This is Pierre Gilbert.
[00:59:39.151 --> 00:59:42.234]  Will the COVID vaccines complete the zombification of America, Canadian?
[00:59:43.783 --> 00:59:47.965]  Professor named Pierre Gilbert in 1995 video.
[00:59:49.606 --> 00:59:53.068]  And there's been a lot of other scientists and others that have said similar things.
[00:59:53.128 --> 00:59:57.830]  I just showed you medicine.hsc.wvu.edu.
[00:59:58.511 --> 01:00:05.054]  RNA helps viruses create zombie cells, cause cancer, says WVU research.
[01:00:06.214 --> 01:00:08.996]  And then I've got all the studies and stats confirming all of that.
[01:00:09.056 --> 01:00:10.857]  But here is
[01:00:12.366 --> 01:00:13.650]  The Doctor from the Vault!
[01:00:17.375 --> 01:00:29.038]  In an old video from 1995, a theology professor named Pierre Gilbert warned of mandatory vaccines that would turn recipients into zombies.
[01:00:29.878 --> 01:00:32.319]  He speaks in French, so I will translate.
[01:00:33.079 --> 01:00:38.341]  In the biological destruction, there are the organized tempests on the magnetic fields.
[01:00:39.001 --> 01:00:43.262]  What will follow is the contamination of the bloodstreams of mankind.
[01:00:46.205 --> 01:00:48.347]  Creating intentional infections.
[01:00:51.470 --> 01:00:55.595]  This will be enforced via laws that will make vaccination mandatory.
[01:00:55.615 --> 01:01:00.039]  And these vaccines will make possible to control people.
[01:01:01.601 --> 01:01:20.096]  The vaccines will have liquid crystals that will become hosted in the brain cells, which will become micro receivers of electromagnetic fields, where waves of very low frequencies will be sent.
[01:01:21.477 --> 01:01:25.620]  And through these low frequency waves, people will be unable to think.
[01:01:26.281 --> 01:01:27.742]  You'll be turned into a zombie.
[01:01:29.542 --> 01:01:31.582]  Don't think of this as a hypothesis.
[01:01:32.343 --> 01:01:33.303]  This has been done.
[01:01:36.023 --> 01:01:37.144]  Think of Rwanda.
[01:01:40.284 --> 01:01:48.506]  There isn't much information I could find about Pierre Gilbert, but what he said 26 years ago certainly rings true today.
[01:01:51.186 --> 01:01:58.488]  In 2016, The Guardian published, Genetically Engineered Magneto Protein Remotely Controls Brain and Behavior.
[01:01:59.384 --> 01:02:05.448]  Here we can see zebrafish larvae that have been injected with Magneto being manipulated with magnetic fields.
[01:02:07.329 --> 01:02:15.394]  In March of 2020, Defense One published an article on how hydrogel biosensors are ready to be injected into people's bodies.
[01:02:16.215 --> 01:02:17.996]  Funded by DARPA and Bill Gates.
[01:02:20.009 --> 01:02:32.203]  If you search magnetic nanoparticles, you will find several articles and videos explaining the so-called benefits of this invasive technology that can control parts of the human body via external frequencies.
[01:02:34.305 --> 01:02:36.928]  Livestock needs to be branded and tracked.
[01:02:38.249 --> 01:02:41.032]  And the enslavement of humanity is voluntary.
[01:02:42.185 --> 01:02:45.347]  Which is why the so-called vaccines are voluntary.
[01:02:46.308 --> 01:02:52.112]  And sadly, there seems to be millions of people eagerly lining up to be state property.
[01:02:53.553 --> 01:02:56.155]  For ReeseReport.com, this is Greg Reese.
[01:03:04.997 --> 01:03:13.461]  Now, what did we tell you a few months ago when General Flynn, former head of Defense Intelligence, former National Security Advisor to the President, came out and said, this is dead on, it's a war game, SPARS 2025-2028, and in that,
[01:03:17.665 --> 01:03:29.874]  I have right here on the desk, it says that the vaccine will cause mass neurological problems and mass Alzheimer's that will cause a global revolt, but that'll be okay because it's going to collapse civilization.
[01:03:30.535 --> 01:03:46.387]  So in their drill, it's actually set for 2020-2023, they just move it forward, neurological symptoms, neurological symptoms, Alzheimer's type symptoms will be caused by the vaccine they tell you in the John Hopkins war game.
[01:03:47.765 --> 01:03:54.047]  And then the former head of Defense Intelligence saw our two-hour report and said it was one of the most important things he'd ever seen and concurred.
[01:03:54.327 --> 01:03:55.607]  We'll play of that when we come back.
[01:03:55.687 --> 01:03:58.828]  But I just want people to understand, we're not joking around here.
[01:03:59.548 --> 01:04:00.609]  We're not playing games.
[01:04:00.629 --> 01:04:02.049]  We're not just saying this to be shocking.
[01:04:03.349 --> 01:04:04.150]  This is a fact.
[01:04:04.230 --> 01:04:07.851]  I just showed you university studies, mainline reports, all of it.
[01:04:07.891 --> 01:04:10.371]  Now, what was that professor showing?
[01:04:10.391 --> 01:04:12.132]  If you look, he's showing articles.
[01:04:13.527 --> 01:04:15.909]  That stuff was in the news back at the time they were developing all this.
[01:04:16.489 --> 01:04:17.770]  Just like the human-animal clones.
[01:04:18.570 --> 01:04:21.873]  I don't know what he's projecting on screen, but it's a magazine, probably Popular Science.
[01:04:22.193 --> 01:04:24.014]  Because I read similar crap like that back then.
[01:04:24.414 --> 01:04:32.940]  They're trying to get us ready for all of this, and they say it decades before because they've already got it developed, then later they bring it out when they're ready to go operational.
[01:04:34.781 --> 01:04:43.327]  So, you can just flip this switch now, when somebody's got enough of these growing in their brain, why Gates says it may take three shots, to where you just can make somebody fall down if you want.
[01:04:45.236 --> 01:04:46.657]  That's what they found with the jellyfish.
[01:04:46.938 --> 01:04:50.861]  You notice they put jellyfish genome in the Pfizer shot.
[01:04:50.921 --> 01:04:51.662]  And they said, why?
[01:04:51.682 --> 01:04:52.643]  They said, it's sacred.
[01:04:55.185 --> 01:04:58.068]  Bioluminescence, Lucifer Ease, they call it.
[01:04:59.009 --> 01:04:59.789]  This other chemical.
[01:04:59.809 --> 01:05:01.991]  I mean, you can't make this up, okay?
[01:05:02.272 --> 01:05:03.753]  They even give it names like Lucifer.
[01:05:04.854 --> 01:05:06.475]  So, you're going to glow in the dark, alright.
[01:05:07.426 --> 01:05:09.328]  So, you've been warned, folks.
[01:05:10.188 --> 01:05:11.990]  And the more we learn, the worse it gets.
[01:05:12.070 --> 01:05:12.911]  So, pray to God.
[01:05:12.931 --> 01:05:14.372]  Remember, your churches aren't churches.
[01:05:14.392 --> 01:05:15.112]  They're globalist run.
[01:05:15.353 --> 01:05:19.196]  They're going to tell you while you're dying it's of the Lord and to take microchips.
[01:05:19.476 --> 01:05:20.497]  And that pedophilia is good.
[01:05:20.757 --> 01:05:21.397]  That's coming next.
[01:05:21.858 --> 01:05:23.039]  Hell, a lot of the churches are already saying it.
[01:05:23.279 --> 01:05:23.759]  We'll be right back.
[01:05:23.779 --> 01:05:24.140]  Stay with us.
[01:05:25.109 --> 01:05:26.690]  Arrest Fauci!
[01:05:27.191 --> 01:05:28.912]  Arrest Bill Gates!
[01:05:54.751 --> 01:05:55.992]  Arrest Mayor Gates!
[01:05:56.773 --> 01:05:57.694]  So understand this.
[01:05:58.394 --> 01:06:00.997]  The attack on America is bigger than Donald Trump.
[01:06:01.057 --> 01:06:06.562]  If you are receiving this transmission, ladies and gentlemen, you are the resistance.
[01:06:07.833 --> 01:06:14.875]  Again, that is from back in April of last year and several other clips of us saying, arrest Bill Gates, arrest Fauci.
[01:06:14.895 --> 01:06:16.855]  And then we go on to say it came from the Wuhan lab.
[01:06:17.355 --> 01:06:25.457]  It's the pretext to then give you some type of tainted, poisoned vaccine, which has always been their holy grail and their end game from their own admissions.
[01:06:25.577 --> 01:06:28.678]  And now we know that indeed that is the case.
[01:06:29.741 --> 01:06:52.551]  But before I go back to some more of those clips from the archive, here on the Alex Jones Show, I wanted to play for you General Flynn, a couple months ago, after he'd seen my report from years ago, 10 years ago, predicting
[01:06:53.649 --> 01:06:55.550]  The fact that they were going to do all this, but I didn't predict it.
[01:06:56.050 --> 01:06:57.351]  They told us their plan.
[01:06:57.371 --> 01:07:00.153]  They told us they would depopulate us using a poison vaccine.
[01:07:01.194 --> 01:07:09.198]  And what they're going with is a protein that destroys your uterus, destroys your testicles, destroys your brain, destroys your heart, your lungs.
[01:07:11.960 --> 01:07:17.043]  Just makes you a blithering zombie with rotholes all in your brain.
[01:07:18.084 --> 01:07:21.366]  So that finally these fallen creatures like Bill Gates and others
[01:07:22.608 --> 01:07:27.569]  Can feel like that they are superior to everyone.
[01:07:27.989 --> 01:07:29.890]  So here is General Flynn.
[01:07:31.810 --> 01:07:34.190]  Things that I would recommend for people to go look at.
[01:07:34.911 --> 01:07:42.412]  And I don't care what you think about this guy who I'm about to mention, but I was sent a video yesterday.
[01:07:42.852 --> 01:07:46.213]  It's basically a documentary and late in the afternoon.
[01:07:46.253 --> 01:07:51.454]  So I watched it last night and it's by Alex Jones, Info Wars.
[01:07:52.054 --> 01:07:58.580]  And the media has tarnished him with all sorts of name-calling, conspiracy theorists, bomb-thrower.
[01:07:59.041 --> 01:08:04.506]  The one thing that I know about this gentleman, Alex Jones, is that he loves this country.
[01:08:05.086 --> 01:08:06.527]  He is as smart as a whip.
[01:08:07.668 --> 01:08:14.454]  He absolutely believes in what he believes in, and he also does his research and his homework.
[01:08:15.014 --> 01:08:19.298]  And so I sat, because a close friend of mine said, you've got to watch this.
[01:08:19.358 --> 01:08:20.559]  I just finished watching it.
[01:08:21.079 --> 01:08:28.846]  He actually put it out yesterday, and it's called An Emergency Broadcast, and it's based on InfoWars, and it's based on the whole COVID lie.
[01:08:29.606 --> 01:08:36.452]  And Alex takes his audience through an hour and a half worth of just incredible level of detail.
[01:08:37.112 --> 01:09:00.082]  of a of a war game that our government did back in the 2016-2017 time frame with with you know under a different name and they called it SPARS instead of SARS COVID right and it's this incredible uh I mean it's like it's like runs parallel to everything that's going on today even in the
[01:09:00.562 --> 01:09:01.282]  We're good to go.
[01:09:16.947 --> 01:09:21.971]  I mean the exact same words, the exact same hashtags, and it's like it's one big setup.
[01:09:22.031 --> 01:09:45.927]  So, let me, so that's just, this thing that, this thing that Alex Jones put out yesterday, it needs to get out in a bigger way because Alex walks through, and again, whatever, I don't care what people think of him, he's incredibly detailed in his research, he loves this country, he is a patriot, and he's somebody who we better listen to, or others in this country better listen to, and there's a reason why
[01:09:46.627 --> 01:09:55.531]  The mainstream media calls a guy like him a bomb thrower or a conspiracy theorist because they're in fear of the truth that he does actually bring out.
[01:09:56.031 --> 01:10:11.657]  And in this particular documentary that he did yesterday, it's fascinating and there's an awful, awful lot of parallels in it from what was done in a war game, so to speak, quote unquote, and then what the reality is that we're facing.
[01:10:13.598 --> 01:10:27.029]  Let me give for radio listeners, because they can't see the TV screen, and we're simulcasted radio slash TV show, the Band.Video or FreeWorldNews.TV site, so you know the name of the video.
[01:10:27.089 --> 01:10:30.652]  General Flynn calls for investigation of Spars 2025-2028.
[01:10:30.772 --> 01:10:34.295]  Can we please put up the Band.Video link?
[01:10:34.315 --> 01:10:34.595]  Thanks.
[01:10:35.856 --> 01:10:37.557]  From Band.Video, you guys set it up perfect.
[01:10:37.577 --> 01:10:37.977]  Thank you.
[01:10:38.418 --> 01:10:40.319]  It's emergency Saturday broadcast.
[01:10:40.780 --> 01:10:41.821]  World shocked.
[01:10:42.461 --> 01:10:46.104]  By SPARS 2025-2028 document.
[01:10:46.805 --> 01:10:48.486]  So again, emergency Saturday broadcast.
[01:10:48.806 --> 01:10:50.808]  World Shocked by SPARS 2025-2028 document.
[01:10:55.334 --> 01:10:57.395]  386 million views.
[01:10:57.795 --> 01:11:01.036]  It needs 100 million views if you want to send these globalists to prison.
[01:11:01.656 --> 01:11:03.617]  And by the way, the crew is doing a fabulous job.
[01:11:03.657 --> 01:11:09.199]  If I ever sound irritated live here on air, no one would do a radio TV show directing from on air.
[01:11:09.979 --> 01:11:12.800]  The only way to do it, though the way I do it, is because we're live.
[01:11:13.340 --> 01:11:13.960]  Stuff's breaking.
[01:11:14.000 --> 01:11:16.941]  It's having a lot of time as I direct things.
[01:11:16.981 --> 01:11:18.482]  And this crew does a great job.
[01:11:18.502 --> 01:11:21.503]  If I sound frustrated, it's because I am just completely freaked out.
[01:11:21.783 --> 01:11:21.983]  I am.
[01:11:22.143 --> 01:11:22.383]  I am.
[01:11:22.983 --> 01:11:24.504]  I mean, folks, behind the scenes,
[01:11:26.240 --> 01:11:28.343]  The Democrats and the globalists are so criminal.
[01:11:29.224 --> 01:11:31.286]  It is just unbelievable the level of evil.
[01:11:31.326 --> 01:11:33.108]  I mean, we are facing real evil.
[01:11:33.589 --> 01:11:38.955]  And so I'm not feeling sorry for myself, but most people with what's going on behind the scenes wouldn't even be on air right now.
[01:11:39.956 --> 01:11:44.061]  And they would be dealing with it or licking their wounds or whatever.
[01:11:46.641 --> 01:11:47.542]  I know we're on a mission.
[01:11:47.562 --> 01:11:48.743]  I know we're going to bring down this evil.
[01:11:48.763 --> 01:11:49.744]  I know God's on our side.
[01:11:49.764 --> 01:11:50.825]  And so I feel stronger than ever.
[01:11:50.865 --> 01:11:52.866]  But I do tend to get very, very angry and upset.
[01:11:52.886 --> 01:11:53.787]  And I know you do as well.
[01:11:53.807 --> 01:11:57.611]  But let's just take that anger and put it into constructive action to expose these monsters.
[01:11:57.671 --> 01:12:02.635]  And because we wouldn't do something like this or think like this, we have a blind spot to it.
[01:12:03.095 --> 01:12:04.296]  You have to just admit it to yourself.
