[00:00:00.149 --> 00:00:02.290]  We're live, October 31st.
[00:25:33.322 --> 00:25:34.222]  That was open and shut.
[00:25:34.242 --> 00:25:34.883]  You research it.
[00:25:35.263 --> 00:25:39.484]  A staged event by the very same crew in power today, through Biden.
[00:25:41.105 --> 00:25:42.845]  Attorney General's fingerprints all over it.
[00:25:43.085 --> 00:25:44.926]  He was one of the operatives heavily involved at the time.
[00:25:46.566 --> 00:25:52.208]  And then you fast forward to things like Charlottesville.
[00:25:53.217 --> 00:26:06.048]  Where you just get a bunch of Democratic operatives to dress up with tiki torches and to go out and then you have a leftist mob shows up actually believing that they're there to fight Nazis and then there's a huge explosion of violence and you can blame Trump.
[00:26:07.369 --> 00:26:14.295]  When I exposed all this, the Democrats were like, well, yeah, I'm the former, you know, deputy head of Obama's campaign here in Virginia.
[00:26:14.575 --> 00:26:15.917]  Now I'm a white supremacist, yeah.
[00:26:16.277 --> 00:26:18.659]  But, uh, Jones, shut up.
[00:26:19.580 --> 00:26:20.841]  And so they sued me over that.
[00:26:23.416 --> 00:26:32.823]  Sued me because I exposed Soros funding and the fact that they even ran ads to hire actors to go pose as demonstrators and journalists.
[00:26:33.124 --> 00:26:34.925]  I mean, there were ads in newspapers for this.
[00:26:35.105 --> 00:26:35.686]  We covered it.
[00:26:38.127 --> 00:26:45.013]  So they built a straw man and said that I said some photographer killed the woman that got run over in the melee.
[00:26:47.677 --> 00:26:49.397]  To distract off of what I actually said.
[00:26:49.437 --> 00:26:52.638]  I said, the dudes with tiki torches are Democrats.
[00:26:52.738 --> 00:26:53.218]  I've had them.
[00:26:53.538 --> 00:26:59.579]  Some came on the show and were like, well, I used to just a year ago work for the Democrats, but now I'm a white nationalist.
[00:27:00.519 --> 00:27:01.679]  I had the guys on the show.
[00:27:02.820 --> 00:27:05.180]  And to be punished for that, well, there's a lawsuit.
[00:27:09.001 --> 00:27:10.401]  So that's all I got to do to fight tyranny?
[00:27:10.441 --> 00:27:11.701]  That's the only price I got to pay?
[00:27:12.041 --> 00:27:13.441]  Oh, I know there's other prices as well.
[00:27:13.541 --> 00:27:16.742]  But the point is, is that that's what these people do.
[00:27:18.789 --> 00:27:28.637]  That's what Georgetown University running those lawsuits against us in Virginia is doing that goes to a jury this summer.
[00:27:30.238 --> 00:27:31.619]  And of course our hands will be tied.
[00:27:31.639 --> 00:27:37.123]  We won't even be able to show you the clips of the Tiki Torch leaders saying that they work for the Democrats on my show.
[00:27:38.525 --> 00:27:39.665]  Or none of what I actually said.
[00:27:39.705 --> 00:27:50.847]   It'll all just be the straw man things I didn't say because I've got to be made guilty Yeah, I mean, this particular individual, I never said that he killed that woman.
[00:27:51.127 --> 00:27:52.088]  That's their filing.
[00:27:52.888 --> 00:27:53.869]  He was there taking photos.
[00:27:54.029 --> 00:27:58.273]  I said, Democrats all got together, knowing there'd be a big explosion there.
[00:27:58.513 --> 00:28:07.460]  And some Democrats, not him, your TV or you can see him on screen, posed as Trump supporters to make Trump look bad.
[00:28:07.700 --> 00:28:09.821]  I mean, my God, we've caught in Kentucky.
[00:28:12.123 --> 00:28:13.224]  We've caught in Kentucky.
[00:28:17.685 --> 00:28:21.967]  In Senator Paul's races, Democrats dressed up like racists, sitting there for Paul and turns out they're Democrats.
[00:28:21.987 --> 00:28:28.209]  I mean, this is something that Jesse Smollett did, it's something Bubba Wallace does, it's something they do on and on and on.
[00:28:28.249 --> 00:28:30.330]  I mean, my God, the Roe v. Wade baby.
[00:28:32.230 --> 00:28:35.332]  The Roe v. Wade baby was never aborted.
[00:28:35.572 --> 00:28:36.192]  It's all fake.
[00:28:36.732 --> 00:28:37.272]  That's come out.
[00:28:37.612 --> 00:28:38.193]  Mainstream news.
[00:28:38.993 --> 00:28:40.634]  And so it's normal to question these things.
[00:28:40.674 --> 00:28:41.634]  Well, it happened again.
[00:28:43.143 --> 00:28:55.286]  Friday, there were people with tiki torches lining up at the Republicans' bus saying they were there officially with the Republican candidate because he's ahead in the polls and they're panicking.
[00:28:55.346 --> 00:29:00.705]   They don't know if they've got enough warehouses, the Democrats do, full of ballots that they
[00:29:00.705 --> 00:29:04.346]  can bring in the dead of night this time to stop this landslide.
[00:29:04.346 --> 00:29:10.346]  They don't know.
[00:29:11.161 --> 00:29:17.184]  And so they just show up with their tiki torches, and the media, NBC, all of them, ran with, oh, the white supremacists, they're there supporting them.
[00:29:20.925 --> 00:29:26.908]  And then only after it came out did the Lincoln Project come to the rescue, and the Lincoln Project went on CNN.
[00:29:29.189 --> 00:29:32.931]  And CNN said, here's the Republicans taking credit for what they did.
[00:29:33.011 --> 00:29:35.592]  Republican strategists, the Lincoln Project.
[00:29:36.567 --> 00:29:45.291]  That's like saying that Bill Clinton is a Republican, or that Thomas Jefferson was a Republican, or that Jimmy Carter was a Republican.
[00:29:45.331 --> 00:29:47.292]  That's how dumb they think you are.
[00:29:47.732 --> 00:29:58.478]  So once the Democrats were getting the blame for the false flag they were involved in, the racial false flag, well here comes, as fast as they could, almost falling over themselves, is the Lincoln Project to say, oh no, that's us!
[00:29:59.431 --> 00:30:06.737]  But you see, Twitter and Instagram actually found out the identities of the people, and they're well-known, high-level Democrat operatives.
[00:30:06.757 --> 00:30:10.380]  That's why they were wearing disguises, hats with their hair tucked in and glasses.
[00:30:11.021 --> 00:30:12.282]  And they're not the Lincoln Project.
[00:30:12.963 --> 00:30:15.265]  But the Lincoln Project itself is a Democrat Party cutout.
[00:30:15.305 --> 00:30:24.092]  So, you got Democrats posing as Republicans in the Lincoln Project, and you got Democrats posing as white supremacists, white nationalists, as well.
[00:30:24.252 --> 00:30:25.974]  I mean, they're posing as everybody.
[00:30:27.893 --> 00:30:31.175]  Except who they really are, Democrat Party operatives.
[00:30:31.255 --> 00:30:42.962]  And if you blow their cover, well, Georgetown University, with all that taxpayer money they get, oh, they're a private college, they get taxpayer money, they come and sue you to shut you up.
[00:30:43.342 --> 00:30:46.964]  Hey, is that Dave Chappelle playing the part of the black KKK member?
[00:30:47.024 --> 00:30:50.146]  No, that's, they couldn't get enough people over at DNC headquarters.
[00:30:50.867 --> 00:30:54.629]  So, there you got your black, white nationalists, ladies and gentlemen.
[00:30:55.785 --> 00:30:57.767]  If you're a TV viewer, you're seeing all this and it makes sense.
[00:30:57.827 --> 00:31:01.189]  Radio listeners, I'm narrating this for you, but that's where we are.
[00:31:01.209 --> 00:31:08.915]  So when we come back, I'm going to get into Jim Acosta and his attack on Tucker Carlson and his tying it into this and attacking me and so much more.
[00:31:09.496 --> 00:31:13.038]  Just to illustrate, somebody's got to counter this guy in live time.
[00:31:13.058 --> 00:31:42.675]   I mean, I know he's only got a couple hundred thousand viewers, but he represents the establishment's talking points that are regurgitated Everywhere, and that roll downhill from AT&T and all the other big corporate chiefs that know they're involved in spying on us with the NSA and slave camps overseas and all the crimes they're committing, so they wrap themselves in this racial purity that whites are bad and the big white CEOs will protect the black people from the evil Alex Joneses and Tucker Carlsons.
[00:31:43.055 --> 00:31:45.456]  Does anyone buy this BS?
[00:31:45.516 --> 00:31:46.316]  Well, some do.
[00:31:47.253 --> 00:31:57.510]  But with triple the number of black Americans voting Republican and triple the number in recent polls of Hispanics voting Republican, that's why the left's in a total conniption fit.
[00:31:59.184 --> 00:32:01.985]  Saying we represent you.
[00:32:02.245 --> 00:32:03.745]  We love you.
[00:32:03.806 --> 00:32:05.666]  We want to make it all about what color you are.
[00:32:06.006 --> 00:32:08.927]  And we want to make everything wonderful for you because you have brown skin.
[00:32:09.007 --> 00:32:11.228]  And don't be friends with white people.
[00:32:11.268 --> 00:32:12.488]  They're out to get you.
[00:32:12.968 --> 00:32:15.369]  They secretly are evil because of who they are.
[00:32:15.389 --> 00:32:18.650]  I mean, here's AT&T's own training manual.
[00:32:19.110 --> 00:32:28.139]   AT&T says, Racial re-education program, that's a close quote, asserts, quote, white people are the problem.
[00:32:28.459 --> 00:32:29.059]  That's a quote.
[00:32:30.080 --> 00:32:31.560]  Radical re-education program.
[00:32:31.841 --> 00:32:32.961]  White people are the problem.
[00:32:33.001 --> 00:32:33.622]  That's a quote.
[00:32:34.022 --> 00:32:36.003]  You ought to go to the article on InfoWars.com.
[00:32:36.043 --> 00:32:36.783]  I apologize for watching.
[00:32:37.003 --> 00:32:39.505]  You ought to link through to the whole document that got put out.
[00:32:40.665 --> 00:32:46.508]  And it's the CEO of it, John Stanky.
[00:32:46.848 --> 00:32:47.269]  Stanky.
[00:32:48.482 --> 00:32:50.584]  S-T-A-N-K-E-Y, Stankey.
[00:32:51.225 --> 00:33:00.053]  And he just says, the whole world's problems aren't Chinese slave camps, or aren't toxic waste dumping, or aren't, you know, the forced inoculations killing so many people, the economy locking down.
[00:33:00.394 --> 00:33:03.377]  No, no, no, no, no, no, no, no, no, no, it's white people!
[00:33:04.257 --> 00:33:05.579]  Says the white person.
[00:33:06.239 --> 00:33:07.721]  Just total divide and conquer.
[00:33:08.441 --> 00:33:09.663]  Super nasty behavior.
[00:33:10.595 --> 00:33:12.315]  and they're in full parent mode.
[00:33:12.315 --> 00:33:15.473]   So we'll show you the evil trailer, the new trailer out,
[00:33:15.473 --> 00:33:19.433]   or the plot against the people, Tucker Carlson's new documentary that's got him so scared.
[00:33:19.433 --> 00:33:24.394]   Then we'll give you the rest of the story and analyze Jim Acosta's BS straight ahead.
[00:33:24.394 --> 00:33:26.973]  (upbeat music)
[00:33:38.075 --> 00:33:43.673]   So the deep state globalist democratic party has been caught in a racial false flag
[00:33:43.673 --> 00:33:48.154]   with their operatives posing as white supremacists and saying they support the Republican party.
[00:33:48.191 --> 00:33:52.153]  That's just a standard thing they do continually and they do not want you discussing it.
[00:33:52.573 --> 00:33:54.734]  They want you to believe Jussie Smollett really got attacked.
[00:33:54.754 --> 00:34:00.336]  They want you to believe that there's all these racial attacks around the country that in almost every case turn out to be fake.
[00:34:01.480 --> 00:34:04.181]  And they do not want free speech in America.
[00:34:04.201 --> 00:34:08.884]  They do not want us there to call it, because that's their only hope of creating all this division.
[00:34:08.984 --> 00:34:20.750]  And then, along comes Tucker Carlson with his big report coming out, three-part series on the plot against America, where the federal government openly is branding the American people on official policy.
[00:34:21.350 --> 00:34:24.852]  I told you they were announcing that you were terrorists right when Biden snuck his way in.
[00:34:24.892 --> 00:34:28.394]  They had press conferences saying anybody questioning elections is a terrorist.
[00:34:29.400 --> 00:34:31.121]  Anybody questioning open borders is a terrorist.
[00:34:31.441 --> 00:34:39.326]  And then now they say, if you go to the school board and say, we don't appreciate you teaching that white people are inherently bad, which is total Nazi crap.
[00:34:39.346 --> 00:34:44.730]  I mean, saying a group is bad because of what race they are is Nazi stuff.
[00:34:44.830 --> 00:34:47.491]  I mean, it's an original sin to be from a certain group.
[00:34:47.851 --> 00:34:49.232]  That is pure Nazi stuff.
[00:34:49.873 --> 00:34:52.414]  And it's all in the official U.S.
[00:34:52.454 --> 00:34:56.377]  government stratagem of the National Security Council put out by Joe Biden in June.
[00:34:57.308 --> 00:34:58.849]  And look, I know, I've got a lot of news here.
[00:34:58.889 --> 00:34:59.849]  I've got a lot of stuff to cover.
[00:34:59.909 --> 00:35:01.030]  Why do I keep arping on this?
[00:35:01.871 --> 00:35:04.352]  Because this is the War on Terror 2.0.
[00:35:05.733 --> 00:35:06.773]  This is where we're the enemy.
[00:35:06.873 --> 00:35:07.834]  This is the Great Reset.
[00:35:08.694 --> 00:35:11.275]  And so thank God members of Congress are finally getting this.
[00:35:12.776 --> 00:35:15.998]  Thank God that Tucker Carlson's hammering on it.
[00:35:16.678 --> 00:35:27.773]   And you know that they've got the system scared because they are so freaked out when Carlson raises this, or I raise this, because It's the elephant in the room.
[00:35:29.954 --> 00:35:30.895]  And what is the elephant in the room?
[00:35:31.795 --> 00:35:43.840]  Just as sure as the sun came up this morning, the deep state is going to stage terror attacks in the next year before the midterms, just like they did Oklahoma City in 95 to make sure Clinton would be re-elected.
[00:35:44.180 --> 00:35:50.203]  And the Democratic Party and Bill Clinton said he owed his re-election when he was 20 points behind the Oklahoma City bombing.
[00:35:50.243 --> 00:35:50.643]  Look it up.
[00:35:51.463 --> 00:35:56.379]   Bill Clinton said he owed his 1996 re-election, Oklahoma City.
[00:35:56.439 --> 00:35:56.979]  Type that in.
[00:35:57.039 --> 00:35:57.680]  Click web.
[00:35:58.060 --> 00:35:58.800]  Do a web search.
[00:35:58.840 --> 00:35:59.461]  Do an image search.
[00:35:59.481 --> 00:36:00.261]  You'll see the headlines.
[00:36:00.601 --> 00:36:03.122]  He told the press corps on Air Force One that.
[00:36:05.503 --> 00:36:07.224]  And they carried out that bombing.
[00:36:07.244 --> 00:36:08.685]  The evidence is just incredible.
[00:36:08.705 --> 00:36:09.826]  It would take hours to go over.
[00:36:09.846 --> 00:36:11.967]  I've been involved in films, books, you name it.
[00:36:12.327 --> 00:36:13.647]  I've been to read the police that were there.
[00:36:14.168 --> 00:36:14.588]  You name it.
[00:36:14.988 --> 00:36:16.029]  FBI whistleblowers.
[00:36:16.089 --> 00:36:16.609]  It's incredible.
[00:36:18.666 --> 00:36:27.989]  And again, the Southern Poverty Law Center connected to German intelligence and the CIA and the FBI and ATF was heavily involved from what even came out in court cases.
[00:36:28.089 --> 00:36:38.873]  So this is what you're not supposed to know, that they're getting ready, the deep state, to stage not just people dressed up like white supremacists or whatever to make Republicans look bad, but do stuff far worse.
[00:36:38.973 --> 00:36:40.073]  I'm talking about violence.
[00:36:40.453 --> 00:36:41.814]  I'm talking about terror attacks.
[00:36:42.414 --> 00:36:47.436]  I'm talking about very, very, very serious things.
[00:36:49.710 --> 00:36:58.077]  And that's why they don't want us discussing the fact that throughout history, Vietnam War started with a false flag.
[00:36:58.898 --> 00:37:00.879]  World War II started with a false flag.
[00:37:02.521 --> 00:37:02.961]  Look it up.
[00:37:03.601 --> 00:37:09.867]  Hitler attacked his own radio station, military radio station on the border with Poland, Operation Gleiwitz.
[00:37:10.896 --> 00:37:12.176]  And that's how World War II started.
[00:37:12.597 --> 00:37:14.237]  Gulf of Tonkin is how we got into Vietnam.
[00:37:14.297 --> 00:37:15.217]  Our ships were not attacked.
[00:37:15.557 --> 00:37:17.338]  Declassified 2004, it was staged.
[00:37:17.838 --> 00:37:21.799]  So, you should always look at things and find out if you're being lied to or it's staged.
[00:37:21.979 --> 00:37:23.540]  Because most of the time, it is.
[00:37:26.381 --> 00:37:27.341]  Most of the time, it is.
[00:37:28.422 --> 00:37:30.622]  And they just want you so stupid, you're not looking for that.
[00:37:32.643 --> 00:37:32.903]  Okay.
[00:37:34.445 --> 00:37:35.946]  Let's go ahead and go to the new trailer.
[00:37:36.006 --> 00:37:39.968]  There's a second trailer out now for what premieres tomorrow night on Fox Nation.
[00:37:40.828 --> 00:37:41.969]  And I'm not promoting Fox.
[00:37:42.049 --> 00:37:43.329]  I don't have shares in Fox.
[00:37:44.250 --> 00:37:46.131]  I turned down a job at Fox many years ago.
[00:37:46.551 --> 00:37:48.772]  I don't like most of Fox News, but I love Tucker Carlson.
[00:37:49.072 --> 00:37:51.573]  And the fact that he's able to produce things like this is great.
[00:37:52.093 --> 00:37:52.934]  And we should support it.
[00:37:52.994 --> 00:37:53.714]  We should promote it.
[00:37:54.354 --> 00:38:03.439]  And I am definitely going to go watch it tomorrow night because I am a subscriber to it because of Tucker being on there and all the other great documentaries that are available there.
[00:38:04.099 --> 00:38:06.143]  On the green fraud and the great reset.
[00:38:06.504 --> 00:38:07.365]  Not just Tucker's work.
[00:38:07.385 --> 00:38:08.767]  There's a lot of really great work.
[00:38:09.228 --> 00:38:11.192]  Clint Eastwood's doing stuff on Fox Nation.
[00:38:11.592 --> 00:38:12.233]  So, here it is.
[00:38:14.039 --> 00:38:18.560]  Tucker Carlson, we spent the last couple of months working on a project that we are finally ready to roll out.
[00:38:19.120 --> 00:38:23.841]  For a full week, we're gonna get to the bottom of what really happened on January 6th.
[00:38:23.861 --> 00:38:27.201]  There's been an unprecedented level of propaganda about that day.
[00:38:27.221 --> 00:38:28.382]  We think we've found the truth.
[00:38:28.962 --> 00:38:33.023]  We've got a multi-part series on Tucker Carlson Originals called Patriot Purge.
[00:38:33.523 --> 00:38:34.483]  That's on Fox Nation.
[00:38:34.603 --> 00:38:39.164]  Our other Fox Nation show, Tucker Carlson Today, is gonna feature episodes with interviews tying it all together.
[00:38:39.443 --> 00:38:41.443]  Here's an exclusive first look.
[00:38:41.443 --> 00:38:43.443]  [dramatic music]
[00:38:43.443 --> 00:38:45.443]  [crowd shouting]
[00:38:45.443 --> 00:38:47.443]  [crowd shouting]
[00:38:47.443 --> 00:38:49.443]  [crowd shouting]
[00:38:49.443 --> 00:38:52.443]  What exactly happened on January 6th?
[00:38:52.912 --> 00:38:55.754]  How much of what we were told about that day is a lie?
[00:38:58.495 --> 00:39:03.214]   If that was an insurrection, it was the most poorly conducted insurrection ever.
[00:39:03.214 --> 00:39:14.815]  Patriot Purge, all next week, exclusively on Fox Nation.
[00:39:15.046 --> 00:39:23.593]  So, bigger than this documentary that we contributed to, and that we gave Tucker footage for, I'm going to leave it at that, but I've... It's powerful, okay?
[00:39:24.274 --> 00:39:25.775]  You're going to see it tomorrow, I'm going to leave it at that.
[00:39:26.515 --> 00:39:31.359]  And then obviously it'll be a week-long event here at InfoWars, because we're all on the same team, exposing false flags.
[00:39:31.379 --> 00:39:40.507]  We'll be playing clips of it, we'll be analyzing it, we'll be talking about it starting Tuesday morning with Harrison Smith and American Journal, and then my show and then Owen's show, The War Room.
[00:39:41.631 --> 00:39:46.333]  Because the Democrats are in a panic as their false flag events are being exposed.
[00:39:47.913 --> 00:39:48.374]  Everywhere.
[00:39:48.574 --> 00:39:52.875]  Once you start watching, all you do is start catching them.
[00:39:55.056 --> 00:39:56.537]  And even Jim Acosta played a clip from it.
[00:39:56.557 --> 00:39:59.398]  It's like, how dare Tucker say the government's targeting American people?
[00:39:59.698 --> 00:40:02.019]  And he shows footage of Ashley Babbitt being executed.
[00:40:02.459 --> 00:40:05.320]  The footage our crew member shot.
[00:40:08.314 --> 00:40:11.342]  So this is powerful, and this is what we need to expect here.
[00:40:11.963 --> 00:40:13.206]  This is what I've told Glenn Beck.
[00:40:13.286 --> 00:40:14.389]  It's what I've told everybody.
[00:40:14.409 --> 00:40:15.412]  And Glenn Beck's listening.
[00:40:15.432 --> 00:40:15.793]  That's good.
[00:40:16.792 --> 00:40:18.013]  You're doing a good job these days.
[00:40:18.533 --> 00:40:19.574]  I'm not there judging him.
[00:40:19.614 --> 00:40:20.855]  He's always done a lot of great work.
[00:40:22.977 --> 00:40:25.558]  We had some run-ins, but he gets we're all in this together now.
[00:40:26.339 --> 00:40:28.280]  And so does Tucker and so does almost everybody.
[00:40:28.841 --> 00:40:31.523]  I'm not in competition with Tucker Carlson or Glenn Beck.
[00:40:32.103 --> 00:40:38.408]  They're both better talk show hosts and probably at the end of the day smarter than I am when it comes to actual news analysis.
[00:40:40.189 --> 00:40:47.545]   But when it comes to firing people up and fighting tyranny and not backing down, and having the Holy Spirit, I got more of it. I'm not
[00:40:47.545 --> 00:40:49.874]  trying to brag, it's all glory to God.
[00:40:49.874 --> 00:40:55.315]   But I'm here to get people fired up and to take action. I've told you this for 20 plus years,
[00:40:55.315 --> 00:40:59.874]   because the first five, six years I didn't understand my calling. I was being pushed by
[00:40:59.874 --> 00:41:04.994]   God to do this. But about 20 years ago, it was just like a voice in my head almost.
[00:41:05.200 --> 00:41:09.483]  It was so strong and dreams and you are going to lay the path.
[00:41:10.063 --> 00:41:12.605]  You're going to be like the archetype.
[00:41:12.625 --> 00:41:18.349]  I'm not comparing myself to a prophet, but to like a John the Baptist in the wilderness.
[00:41:18.429 --> 00:41:20.010]  And I never compared myself to that.
[00:41:20.670 --> 00:41:28.155]  But then seven years ago, there was big Democratic Party strategy documents came out and they said, Jones is the John the Baptist of the Tea Party.
[00:41:28.456 --> 00:41:29.516]  And he's the main engine.
[00:41:29.656 --> 00:41:33.239]  Our computer studies and our analysis has shown he's got to be stopped.
[00:41:34.019 --> 00:41:43.087]  Because he's out there energizing and preparing the way and preparing the ground troops for whoever wants to actually be a populist and fight the globalist agenda.
[00:41:43.207 --> 00:41:48.611]  Because they knew there'd be resistance, but they thought, well, it'll be sporadic and people won't know what they're doing.
[00:41:48.671 --> 00:41:57.759]  But because you as listeners and viewers, who are just as important as I am, supported this show and got behind us and spread the word in the last 28 years.
[00:41:57.779 --> 00:41:59.020]  Some of you have been listening that long.
[00:41:59.620 --> 00:42:00.400]  You did all this.
[00:42:00.861 --> 00:42:05.922]  And I only tell you that, I know you don't want credit, you want to stop tyranny, and you're just like me, but listen.
[00:42:09.044 --> 00:42:10.244]  We're now the light of the world.
[00:42:10.384 --> 00:42:22.709]  This fight against the New World Order, the fight against the Great Reset, as bad as America is, and as fallen as America is, and as corrupt and out of control as we are sometimes, we're still the best hope this planet's got.
[00:42:23.289 --> 00:42:28.951]  And so that's why I thank you all for your support and keeping us on air, because this is an incredibly historic time to be alive right now.
[00:42:29.665 --> 00:42:30.006]  Okay.
[00:42:31.007 --> 00:42:32.328]  And I use that as a political analogy.
[00:42:32.368 --> 00:42:33.490]  I'm not comparing myself to John the Baptist.
[00:42:33.510 --> 00:42:40.358]  I'm saying, if our political movement is to defeat the satanic New World Order and the rest of it, is I've been the mad prophet out in the wilderness.
[00:42:41.039 --> 00:42:44.003]  And that basically now is the spin they've engaged in.
[00:42:45.204 --> 00:42:46.646]  Because that's how they see it as well.
[00:42:47.186 --> 00:42:48.949]  Because that's really archetypally what it is.
[00:42:49.870 --> 00:42:50.851]  Okay, we're going to go to break.
[00:42:50.871 --> 00:42:53.633]  I'm going to come back with a Jim Acosta desperation.
[00:42:53.953 --> 00:43:05.141]  When you hear him talking, it's Jeff Zucker, it's AT&T, it's the desperate, evil, globalist corporations that thought they had America defeated but are just now realizing that they have awakened the sleeping giant.
[00:43:05.521 --> 00:43:06.262]  That is coming up.
[00:43:06.362 --> 00:43:09.164]  And separately, I want to thank all the listeners and viewers for your support.
[00:43:09.204 --> 00:43:10.565]  You're getting great products at the same time.
[00:43:10.925 --> 00:43:13.807]  We need a major war chest to do a lot of new projects we're launching.
[00:43:14.367 --> 00:43:19.030]  And we've got Black Friday comes early, that we launch for the first two weeks of every November.
[00:43:19.110 --> 00:43:21.692]  We've launched it early this year, the supply chain breakdowns.
[00:43:22.172 --> 00:43:24.033]  Every product we sell, we have in stock.
[00:43:25.354 --> 00:43:26.174]  Unlike a lot of folks.
[00:43:26.415 --> 00:43:31.778]  And we have amazing supplements, amazing high-quality storable foods, water filtration, air filtration, it's all there.
[00:43:32.138 --> 00:43:33.159]  Store-wide free shipping.
[00:43:34.571 --> 00:43:35.732]  Double Patriot points.
[00:43:35.812 --> 00:43:36.753]  Brain Force Plus.
[00:43:37.193 --> 00:43:37.874]  Back in stock.
[00:43:37.914 --> 00:43:38.995]  Sold out for eight months.
[00:43:39.055 --> 00:43:40.797]  The Great Nootropic.
[00:43:40.817 --> 00:43:40.997]  50% off.
[00:43:41.117 --> 00:43:48.303]  Ultimate Bone Broth with the Chaga Mushroom and the Bee Pollen and the Turmeric and all of it is over the top.
[00:43:48.323 --> 00:43:49.024]  An incredible product.
[00:43:49.364 --> 00:43:50.025]  Back in stock.
[00:43:50.045 --> 00:43:51.026]  Discounted with free shipping.
[00:43:51.386 --> 00:43:51.987]  Ultra 12.
[00:43:52.587 --> 00:43:52.767]  60% off.
[00:43:52.808 --> 00:43:54.689]  And the list goes on and on.
[00:43:55.310 --> 00:43:57.412]  It's we the people funding this operation.
[00:43:57.692 --> 00:43:59.153]  So thank you for keeping us on the air.
[00:43:58.972 --> 00:44:23.572]  We'll be back.
[00:44:23.714 --> 00:44:32.635]  And that judge, the whole thing was excellent until he promoted the damn vaccines again, but at least he said you should be made to take it.
[00:44:33.656 --> 00:44:34.256]  He means well.
[00:44:35.516 --> 00:44:38.476]  But regardless, he's getting good Republicans elected.
[00:44:38.536 --> 00:44:40.537]  Some of them aren't perfect, but it's better than Democrats.
[00:44:41.437 --> 00:44:42.197]  I can tell you that.
[00:44:42.738 --> 00:44:46.460]  I want to get into Acosta in the next two segments, because some stations don't carry this short segment.
[00:44:46.900 --> 00:44:49.221]  A lot of stations do, and of course, a lot of you on the internet are watching it.
[00:44:49.261 --> 00:45:10.733]  So I want to get into Acosta, who normally doesn't rate our coverage, but because he is a mouthpiece, because what he says is written by the establishment for him to read off a teleprompter, because he's the mouth or the ass of the devil, we will definitely be getting to that coming up next segment.
[00:45:12.691 --> 00:45:15.032]  But listen, evil always targets the youth.
[00:45:15.052 --> 00:45:16.433]  They always target the children.
[00:45:16.553 --> 00:45:18.294]  They always target the babies and the unborn.
[00:45:19.654 --> 00:45:23.736]  And so we accepted killing babies before they're born, so why not kill them after?
[00:45:23.756 --> 00:45:25.437]  And so now they're coming with an experimental shot.
[00:45:25.477 --> 00:45:37.923]  I got a stack of news on that coming up after I cover the ACOSTA news, where it is erasing children's immune systems and making them sick.
[00:45:39.767 --> 00:45:43.651]  In the quote studies they've done since they quote authorized the emergency use.
[00:45:46.274 --> 00:45:47.135]  And so that's coming up.
[00:45:50.558 --> 00:45:52.881]  But if you think forced inoculations.
[00:45:54.502 --> 00:45:55.804]  Is as bad as it's going to get.
[00:45:58.035 --> 00:46:07.342]  They are now coming out with a big push from the Davos Group for nanoparticles that will, quote, fill up your body and then transmit back whether you like it or not.
[00:46:07.362 --> 00:46:09.023]  That's why this is a revolution.
[00:46:09.363 --> 00:46:12.105]  The globalists are just doing what they're doing.
[00:46:13.086 --> 00:46:14.387]  They're just attacking.
[00:46:14.967 --> 00:46:21.272]  And so, oh, you think they just wanted to spray skin-penetrating particles into caves with COVID-19 in China?
[00:46:21.552 --> 00:46:23.233]  You think Fauci wanted to stop there?
[00:46:23.673 --> 00:46:27.636]   The Davos Group is now announcing That they're going to do this.
[00:46:29.338 --> 00:46:35.340]  Through the federal regulators of all the major nations to quote, protect the food by contaminating it.
[00:46:35.360 --> 00:46:38.902]  So Gregory shot a very quick but important emergency report.
[00:46:39.482 --> 00:46:43.603]  Nanoparticles contaminate entire food supply under guise of food safety.
[00:46:44.304 --> 00:46:50.986]  The report is at man.video in the Gregory section and this is the next shoe to drop that's actually starting now.
[00:46:51.386 --> 00:46:55.328]  So while you're worried about forced inoculations, they're just going to bomb your whole food supply with it.
[00:46:55.428 --> 00:46:58.948]   So here's this report and we'll be right back on the other side.
[00:46:58.948 --> 00:47:05.787]  [MUSIC]
[00:47:05.787 --> 00:47:10.628]   Scientists have been designing ways to put their so-called vaccines in
[00:47:10.628 --> 00:47:12.188]  the food supply.
[00:47:12.188 --> 00:47:16.028]  And it seems they may have created an avenue to begin this.
[00:47:16.703 --> 00:47:29.076]   Brought to you by the American Chemical Society and four scientists from Communist China, Functional hybrid micro nano entities are being implemented to promote food safety.
[00:47:29.556 --> 00:47:37.658]  To detect hazardous substances in agricultural food products, they are putting in experimental hazardous substances.
[00:47:39.019 --> 00:47:47.041]  Molecular imprinting polymers integrated with quantum dots installs a surveillance platform into your food and body.
[00:47:48.138 --> 00:47:57.321]  Molecular imprinting polymers integrated with upconversion luminescent nanoparticles conducts chemical analysis of your food and body.
[00:47:58.341 --> 00:48:12.186]  Upconversion luminescent nanoparticles combined with metal organic frameworks are tunable porous metals that have the power to regulate the dispensing of nutrition to comply with international mandates.
[00:48:13.357 --> 00:48:19.340]  Magnetic Metal Organic Frameworks are metal frameworks designed for targeting drug delivery.
[00:48:20.501 --> 00:48:26.243]  Magnetic Covalent Organic Frameworks are used for sensing food in the human body.
[00:48:27.184 --> 00:48:34.167]  And Covalent Organic Frameworks doped with quantum dots are used for detection of insecticides.
[00:48:35.148 --> 00:48:39.370]  If they wanted to regulate healthy food, they would promote organic growing.
