[00:00:00.449 --> 00:00:01.751]  Texas is under attack.
[00:24:34.739 --> 00:24:39.881]  Now you've got to track all transactions to know what was done and who was involved in it.
[00:24:40.141 --> 00:24:46.223]  Now you've got to set up the contact tracers under, no joke, a group Prince Charles has set up who wants to depopulate the world.
[00:24:46.503 --> 00:24:48.324]  The Clinton Global Initiative, they've set up a group.
[00:24:48.544 --> 00:25:01.793]  The Bill and Melinda Gates Foundation, and of course the UN, are all setting up accredited contact tracers for the next phase, where they come to your house, force you to take the test, and take you to jail or to an emergency center if you don't.
[00:25:02.093 --> 00:25:04.575]  Already happening in Spain and Australia, there are test grounds.
[00:25:05.970 --> 00:25:08.092]  And there on out, there's so many other layers.
[00:25:08.452 --> 00:25:18.562]  Getting you to tattle on your neighbors, getting you to spy on them, getting you to, again, be restricted in your travel, which they admit is getting you ready for the carbon taxes, and all the rest of it.
[00:25:19.426 --> 00:25:24.030]  And then you've got Bill Gates and Klaus Schwab and all of these people.
[00:25:24.110 --> 00:25:28.353]  They're up on top as the saviors, all the corporate media tell you.
[00:25:28.673 --> 00:25:30.334]  Xi Jinping saved China.
[00:25:30.694 --> 00:25:32.456]  He's not running death camps, which he is.
[00:25:33.176 --> 00:25:34.878]  Oh, Klaus Schwab did this.
[00:25:34.898 --> 00:25:35.638]  He's saving the Earth.
[00:25:35.858 --> 00:25:37.460]  Bill Gates is saving the planet.
[00:25:38.240 --> 00:25:46.085]  It doesn't matter if Bill Gates pays Wired Magazine and ABC News and CNN and underwrites them to say he's this big hero.
[00:25:46.826 --> 00:25:51.609]  He's the guy that didn't just create Microsoft with IBM and his mother, who was on the board of that company.
[00:25:52.109 --> 00:26:02.455]  His father worked with the head of IBM, who was a Nazi supporter, to establish this whole system to carry out depopulation and Bill Gates is on record admitting all of that.
[00:26:03.936 --> 00:26:06.378]  So the man that wants to depopulate you and kill old people,
[00:26:08.240 --> 00:26:13.462]  He's now saying he wants world government, wants you to take a shot so you live longer because he cares so much about you.
[00:26:13.702 --> 00:26:20.365]  But he's on record saying, if we do a really good job with vaccines and other things, we'll lower the human population.
[00:26:21.405 --> 00:26:23.026]  And we'll lower the growth of the population.
[00:26:23.746 --> 00:26:25.227]  So he believes in what he's doing.
[00:26:25.287 --> 00:26:28.288]  He believes it's so good that he's not even hiding it.
[00:26:28.328 --> 00:26:30.969]  And that's what's so frustrating is Klaus Schwab admits this as well.
[00:26:32.418 --> 00:26:33.678]  They have scripted themselves.
[00:26:33.718 --> 00:26:35.839]  They have cast themselves as savers of the world.
[00:26:36.139 --> 00:26:49.763]  They're bringing in an authoritarian, oppressive world government and pretending like you're liberal and pretending like you're trendy and pretending like you're a social justice warrior because you care about carbon and the earth and paying your indulgences to be a hero.
[00:26:51.192 --> 00:26:51.352]  Yes.
[00:27:10.318 --> 00:27:12.040]  More of a Russian accent.
[00:27:12.641 --> 00:27:15.003]  We're doing more of something to change you.
[00:27:15.383 --> 00:27:17.285]  We change you in the Great Reset.
[00:27:17.846 --> 00:27:19.167]  We do not change the environment.
[00:27:19.207 --> 00:27:19.868]  We change you.
[00:27:19.888 --> 00:27:22.570]  And yes, they are changing us.
[00:27:22.691 --> 00:27:26.174]  And you've got tens of thousands of old people dying across the world.
[00:27:26.474 --> 00:27:29.175]  After taking the vaccine, they admit it, not just Hank Aaron.
[00:27:29.676 --> 00:27:37.880]  And again, they're just normalizing this and getting everybody used to the fact that there's just people dying here and there, but it's for a greater good.
[00:27:37.900 --> 00:27:41.121]  And, oh, this doctor took it and her baby died when she took it.
[00:27:41.141 --> 00:27:42.582]  She had a miscarriage, but that's all right.
[00:27:42.822 --> 00:27:43.482]  She's a hero.
[00:27:44.303 --> 00:27:47.364]  This is sick managed reality, managed perception.
[00:27:48.305 --> 00:27:49.946]  And if you're delusional and go along with it,
[00:27:50.726 --> 00:27:55.229]  You won't have your own free thoughts, you won't be free, and you will not live as long and not be as successful.
[00:27:55.589 --> 00:27:56.389]  Don't be chumps.
[00:27:56.909 --> 00:27:59.891]  Break out of your conditioning now while there's still time.
[00:28:00.011 --> 00:28:00.451]  Please.
[00:28:01.312 --> 00:28:03.673]  Everything you are, everything you'll ever be is on the line now.
[00:28:04.113 --> 00:28:04.774]  Your identity.
[00:28:05.728 --> 00:28:10.469]  Your spirit is on the line and you've got to realize this is so damn real and you're under military attack.
[00:28:11.089 --> 00:28:31.835]  It's just incredible to watch the wages of the New World Order, to watch our economies and our speech and our culture shut off, to watch the racism and the division promoted by the left in the name of unity, to watch the destruction of our sovereignty, to watch the pulling down of Western culture because it's not compatible with this nightmare globalist operation that's so anti-human it's like space aliens created it.
[00:28:32.395 --> 00:28:33.416]  Cut our power off!
[00:28:33.456 --> 00:28:34.096]  Divide us!
[00:28:34.356 --> 00:28:35.277]  Attack our families!
[00:28:35.537 --> 00:28:36.718]  Say there aren't two sexes!
[00:28:36.998 --> 00:28:38.539]  Sterilize little boys in mass!
[00:28:38.759 --> 00:28:39.659]  Telling them it's trendy!
[00:28:40.380 --> 00:28:46.503]  This is a dystopic scientific nightmare worse than any science fiction book ever written!
[00:28:48.324 --> 00:28:52.607]  And the nightmare only stops when we admit it's happening and we say no to it!
[00:28:53.888 --> 00:28:57.290]  All the proof is posted at InfoWars.com and NewsWars.com.
[00:28:57.910 --> 00:28:59.431]  Endgame is posted for free on YouTube.
[00:28:59.591 --> 00:29:00.612]  They took it down off Amazon.
[00:29:01.613 --> 00:29:09.741]  I'm just asking you, as leaders out there, to realize how important you are and to get out of your comfort zones and stop just quietly going along with this.
[00:29:10.241 --> 00:29:14.405]  Go out, get aggressive, legally and lawfully, and raise the alarm.
[00:29:15.366 --> 00:29:18.429]  It's going to get so bad in the future, you're going to be fighting then, no matter what.
[00:29:18.889 --> 00:29:22.172]  But I suggest you do it now, so we get even more ahead of this.
[00:29:23.146 --> 00:29:28.309]  If we hadn't done this for 27 years, if others hadn't been aware of this, they would already be way ahead of us on this.
[00:29:29.029 --> 00:29:30.070]  They're actually in deep trouble.
[00:29:30.630 --> 00:29:33.231]  I already listed all the countries pulling out of the vaccines, exposing them.
[00:29:33.491 --> 00:29:35.833]  The fight against the New World Order is super hot.
[00:29:36.473 --> 00:29:38.254]  Infowars is super viral in India.
[00:29:38.474 --> 00:29:41.235]  I'm very proud of the fact we've helped them lead their charge for freedom.
[00:29:42.096 --> 00:29:46.158]  And we're going to be able to do this together, but it's going to take real focus.
[00:29:46.738 --> 00:29:50.380]  And again, to realize this isn't like a foreign army attacking with army tanks and airplanes.
[00:29:51.080 --> 00:29:51.641]  This is
[00:29:52.876 --> 00:29:54.357]  I don't know.
[00:30:17.967 --> 00:30:24.631]  The fight starts when you realize this is everything and InfoWars isn't one of those thousands of flavors of false political systems.
[00:30:24.931 --> 00:30:26.152]  We have the zeitgeist.
[00:30:26.192 --> 00:30:27.453]  We have our finger on the pulse.
[00:30:27.733 --> 00:30:28.693]  We've done the studying.
[00:30:29.374 --> 00:30:31.575]  We've faced the facts and we've changed the world together.
[00:30:32.415 --> 00:30:34.216]  But now we've got to save the world from the globalists.
[00:30:34.817 --> 00:30:36.018]  It's not going to be Bill Gates that does it.
[00:30:36.078 --> 00:30:36.718]  It's going to be you.
[00:30:37.098 --> 00:30:38.419]  It's going to be me together.
[00:30:39.339 --> 00:30:41.100]  Here we are in the main studio.
[00:30:41.281 --> 00:30:42.401]  It is darkness.
[00:30:43.262 --> 00:30:46.624]  It takes a massive amount of power to just run this studio.
[00:30:47.503 --> 00:30:51.385]  Now we had two backup generators, but only six hours of power on the batteries.
[00:30:52.966 --> 00:30:57.229]  We've now got another backup generator in that's better, that runs off of diesel fuel.
[00:30:58.290 --> 00:31:03.673]  Again, gas generators, using natural gas, can't even operate at this level that are portable units.
[00:31:03.693 --> 00:31:04.714]  They cannot produce the power.
[00:31:05.374 --> 00:31:16.241]  Just like ancient man harnessed fire to conquer his environment, if they take the fossil fuels away without a replacement that works, we're doomed mass population reduction.
[00:31:17.978 --> 00:31:23.300]  And that's what Ted Turner and Bill Gates and Klaus Schwab are saying they're doing.
[00:31:23.340 --> 00:31:28.181]  The Great Reset is meant to end world hunger by starving billions of people to death.
[00:31:28.861 --> 00:31:30.942]  When the first world collapses, the third world dies.
[00:31:31.222 --> 00:31:36.804]  So let me lead you out here and show you what is keeping Infowars
[00:31:38.078 --> 00:31:39.019]  On the air right now.
[00:31:39.679 --> 00:31:42.241]  Because the news is saying power's been out for hours.
[00:31:42.302 --> 00:31:42.502]  No.
[00:31:42.842 --> 00:31:44.483]  I've got family, friends, crew.
[00:31:44.583 --> 00:31:48.086]  Almost everyone that works here's power is out a day later.
[00:31:49.387 --> 00:31:50.168]  Look at this right here.
[00:31:52.570 --> 00:32:01.757]  Diesel is having to be brought in here to run that generator and two other small ones or we go off the air.
[00:32:01.777 --> 00:32:03.619]  And that's just to have the rebroadcast going.
[00:32:05.967 --> 00:32:10.190]  We're not even sure we'll have power if this is continued tomorrow to boot the main studios up.
[00:32:10.950 --> 00:32:12.651]  We have been power-rich.
[00:32:13.932 --> 00:32:15.413]  That's how we were able to farm.
[00:32:15.934 --> 00:32:18.675]  That's how we were able to build all these civilizations.
[00:32:19.436 --> 00:32:22.998]  And now the globalists are telling us they control all of it.
[00:32:23.018 --> 00:32:23.599]  Look at this building.
[00:32:24.159 --> 00:32:24.919]  It's empty right now.
[00:32:24.959 --> 00:32:27.261]  Normally there'd be a crew here.
[00:32:28.402 --> 00:32:31.404]  But there's no power to the systems.
[00:32:32.284 --> 00:32:34.566]  The power is literally
[00:32:35.393 --> 00:32:38.415]  Being cut off right now.
[00:32:40.916 --> 00:32:42.477]  And here we're in the first world.
[00:32:43.617 --> 00:32:44.998]  So it just causes a depression.
[00:32:46.238 --> 00:32:49.680]  In the third world, it causes death.
[00:32:51.941 --> 00:32:53.302]  Welcome back ladies and gentlemen.
[00:32:53.402 --> 00:32:56.464]  Alex Jones here from our studios with Doe Power.
[00:32:57.344 --> 00:32:59.925]  We're able to remotely upload this to Bandon Video.
[00:33:00.406 --> 00:33:02.867]  And then we're able to get it to GCN up in Minnesota.
[00:33:03.646 --> 00:33:10.807]  During this giant cold blast, they're 30 below, but they're used to the cold, so they're able to stay on air with their generators.
[00:33:11.387 --> 00:33:13.608]  So that which doesn't kill you only makes you stronger.
[00:33:13.628 --> 00:33:20.809]  And that's an example of how we're so domesticated down here in Texas, because we're never hit by a cold blast of air like this.
[00:33:21.569 --> 00:33:24.290]  And that's why the Globals want to keep us domesticated on so many fronts.
[00:33:25.090 --> 00:33:30.691]  So we have participation trophies in school, and you're not supposed to have contact sports.
[00:33:31.596 --> 00:33:32.937]  They're not doing this to protect us.
[00:33:33.598 --> 00:33:37.020]  The nanny state is there to domesticate us and control us.
[00:33:37.220 --> 00:33:41.444]  So, earlier today, I taped some of the clips you just saw.
[00:33:42.104 --> 00:33:57.737]  And I talked about how it's Agenda 21, Agenda 2030, the Great Reset, how they purposefully shut down the three major power plants in Austin and over a hundred others around the state of Texas, and how even local newspapers admit that that's why they've been told by Austin Energy that there's not enough power.
[00:33:59.013 --> 00:34:07.219]  Then the crew showed me local news articles where they deliberately turned the power off, admitting they didn't have enough power.
[00:34:08.100 --> 00:34:16.245]  And so now Texas has to get power from outside states when just 10 years ago, before Obama started all this, we were supplying all the neighboring states.
[00:34:18.347 --> 00:34:20.428]  Spain used to supply the countries around them with power.
[00:34:20.809 --> 00:34:22.370]  They shut down their coal power plants.
[00:34:22.890 --> 00:34:25.112]  So this is military war.
[00:34:26.505 --> 00:34:32.830]  And all the coal plants in the world don't put out as much as a volcano erupting dust, a big volcano, like Mount St.
[00:34:32.850 --> 00:34:33.811]  Helens or Krakatoa.
[00:34:35.112 --> 00:34:48.482]  So it's just crazy to know about Agenda 21, Agenda 2030, to know about the New World Order, and to now be living in it, and to realize that the Google owners, Sergey Brin and the rest of them,
[00:34:49.835 --> 00:34:51.917]  Or $50, $60, $70, $80 million.
[00:34:51.957 --> 00:35:03.966]  They have 50,000 acres, 40,000 acres, 20,000 acres, palatial palaces, and dozens of private jets, and yachts, and women, and everything they want.
[00:35:04.546 --> 00:35:06.508]  And they're just, oh, you're locked down.
[00:35:06.548 --> 00:35:07.628]  You're not essential.
[00:35:08.629 --> 00:35:12.172]  Oh, you can't have a car or air conditioning like Barack Obama said.
[00:35:12.232 --> 00:35:14.554]  And Eric Schmidt of Google says the same thing.
[00:35:15.294 --> 00:35:40.719]  And that's their only pleasure is Bill Gates with all his giant mansions and I was reading he has like a 40,000 square foot house another 30,000 square foot house and one of the biggest yachts in the world that cost all you know 500 million dollars or something but that's okay because he's Bill Gates and he wears a pink sweater and and and and he's there to tell you how to live your life so it's official
[00:35:42.503 --> 00:35:46.846]  That now we have rolling blackouts like California does in the summer and in the winter.
[00:35:48.007 --> 00:35:49.688]  And they're just training us to accept it.
[00:35:50.869 --> 00:35:52.990]  The power went out of my offices last night.
[00:35:53.531 --> 00:35:56.452]  My crew, my engineers have been here all night not sleeping.
[00:35:57.673 --> 00:36:04.258]  And there's no power here other than the generators that are only able to power some of the equipment to get us ready for the show tomorrow.
[00:36:07.040 --> 00:36:07.200]  So.
[00:36:08.743 --> 00:36:17.488]  Again, this is living under feudalism with these robber baron criminals that work for the big banks that have created quadrillions in fake currencies and have taken over.
[00:36:18.208 --> 00:36:23.571]  And they're now telling the Western world, you've got to be poor for the earth, but they're going to be fabulously rich.
[00:36:24.131 --> 00:36:31.515]  And then you learn from the ice core samples and the mud core samples and the glacial samples.
[00:36:33.308 --> 00:36:38.871]  That a million years ago, there was many times higher carbon dioxide and oxygen in the air.
[00:36:39.511 --> 00:36:41.692]  And then you learn that 50,000 years ago there was.
[00:36:41.993 --> 00:36:48.216]  And you see the graph of higher carbon dioxide going down towards our modern age and then barely bouncing up.
[00:36:49.016 --> 00:36:51.237]  And it's so infuriating.
[00:36:52.258 --> 00:36:54.279]  That's why plants used to grow so giant.
[00:36:54.299 --> 00:36:56.020]  That's why animals used to get so big.
[00:36:57.059 --> 00:36:59.341]  Because they have more oxygen and more carbon dioxide.
[00:36:59.461 --> 00:37:00.101]  And we know this.
[00:37:00.582 --> 00:37:07.947]  In studies, if you double the carbon dioxide in the atmosphere, plants grow much bigger, much healthier, bigger yields, more healthy.
[00:37:08.588 --> 00:37:18.656]  They now know the Sahara Desert has been expanding rapidly since the last ice age because of lower carbon dioxide for plants in the atmosphere.
[00:37:20.041 --> 00:37:20.762]  It's crazy.
[00:37:20.802 --> 00:37:28.910]  Like God put oil in the ground or whatever did it so that right as the earth needed it, we could terraform it and create a better atmosphere.
[00:37:29.250 --> 00:37:33.234]  You know, Mars, uh, NASA believes, and I look at the signs, I think it leans towards that.
[00:37:33.254 --> 00:37:34.615]  I don't just believe what they say.
[00:37:35.936 --> 00:37:39.139]  Some millions of years ago was at its lower gravity.
[00:37:40.401 --> 00:37:42.583]  It was a colder planet as well, further out from the sun.
[00:37:42.903 --> 00:37:44.945]  And so it couldn't keep its atmosphere in.
[00:37:46.263 --> 00:37:53.049]  And so the water that had been trapped in its development of the planet off-gassed over time, and Mars lost most of its water.
[00:37:53.089 --> 00:37:54.611]  Some of it's still frozen beneath the surface.
[00:37:54.931 --> 00:37:58.915]  They've now sent probes down to confirm that, because Mars is a lot smaller than Earth, has lower gravity.
[00:38:00.186 --> 00:38:04.709]  And I remember Buzz Aldrin told me about this on air, but also off air when I talked to him in Los Angeles.
[00:38:05.109 --> 00:38:08.011]  He told me, oh, we found water on the moon, but that's classified.
[00:38:08.411 --> 00:38:13.274]  In a year, the Indians are going to crash a probe into it to shoot debris into the atmosphere.
[00:38:13.294 --> 00:38:14.215]  They're going to find water.
[00:38:14.495 --> 00:38:17.097]  We already found it there, but we like to let them, you know, discover it.
[00:38:17.977 --> 00:38:20.079]  And sure as hell, a year later, it all happened like he said.
[00:38:20.579 --> 00:38:22.680]  So there's just a lot of crazy stuff going on.
[00:38:23.101 --> 00:38:28.024]  The real way to have wealth is to say something's off limits and to say you can't use coal.
[00:38:29.244 --> 00:38:34.067]  I mean, coal is totally clean with the scrubbers they have and the systems they have.
[00:38:34.147 --> 00:38:37.148]  All that comes out is carbon dioxide and water vapor.
[00:38:38.269 --> 00:38:48.855]  And people say, well, Jones, you must be making money off of coal because you keep promoting coal all day.
[00:38:49.775 --> 00:38:51.456]  No, I don't want the lights to go off.
[00:38:51.596 --> 00:38:57.880]  I don't want to stop being able to compete with China that has more coal-powered plants than anybody else that are dirty.
[00:38:59.136 --> 00:39:02.009]  So Blisters asked me, why do you obsess over energy?
[00:39:03.124 --> 00:39:04.485]  Energy is everything.
[00:39:04.565 --> 00:39:06.325]  The sun is our main energy.
[00:39:06.785 --> 00:39:14.148]  Ancients worshipped the sun because it was what grew the crops and warmed them, and they knew standing in it would make them get healthy if they were sick.
[00:39:14.168 --> 00:39:16.369]  They didn't know about vitamin D3, but they knew.
[00:39:16.789 --> 00:39:24.812]  Ancient Egyptian doctors said if you're sick, take royalty out and lay them out in the midday sun so that the sun god will heal them.
[00:39:25.312 --> 00:39:25.732]  They knew.
[00:39:26.593 --> 00:39:28.333]  And so the sun is energy.
[00:39:28.833 --> 00:39:30.314]  It drives almost all of our climate.
[00:39:31.403 --> 00:39:34.865]  Light, carbon dioxide, oxygen and water is the carbon cycle.
[00:39:35.605 --> 00:39:39.107]  And if you take any of those, you have death on the planet.
[00:39:39.548 --> 00:39:40.748]  Well, people know water's good.
[00:39:42.029 --> 00:39:43.370]  Folks know oxygen's good.
[00:39:44.170 --> 00:39:45.231]  And they know the sun's good.
[00:39:46.512 --> 00:39:47.652]  So what is it they attack?
[00:39:47.752 --> 00:39:48.693]  Carbon dioxide.
[00:39:49.053 --> 00:39:50.474]  Because it sounds like monoxide.
[00:39:51.547 --> 00:39:53.048]  Penn & Teller did it 20 years ago.
[00:39:53.068 --> 00:39:54.308]  I did it 15 years ago.
[00:39:54.368 --> 00:39:55.309]  We ought to go out and do it again.
[00:39:55.889 --> 00:40:01.612]  You go out, you give people the name of water scientific, 95% say ban it.
[00:40:02.612 --> 00:40:05.413]  We talked to over 100 people, only a few went, wait a minute.
[00:40:06.394 --> 00:40:09.595]  We're like, dihydrogen monoxide, it's everywhere, it's toxic.
[00:40:09.955 --> 00:40:11.876]  If you drink too much of it, it can kill you.
[00:40:15.038 --> 00:40:16.958]  They're like, yes, I agree, we should ban that.
[00:40:17.539 --> 00:40:17.999]  That's water.
[00:40:19.125 --> 00:40:30.569]  Even better, 99% of the studies we did out interviewing the public, unofficial study, we're just talking to the public, if you give them the name of table salt, oh my God, it sounds like Satan.
[00:40:31.409 --> 00:40:38.832]  I mean, table salt has a really scary name, and the average person will come to you and will say, let's ban that.
[00:40:39.815 --> 00:40:48.678]  So carbon dioxide is a tiny trace gas and is essential to life on this planet.
[00:40:48.978 --> 00:40:51.699]  Without carbon dioxide, we're done.
[00:40:52.079 --> 00:40:53.180]  But look at the bankers!
[00:40:53.220 --> 00:40:54.960]  They know how dumb we are, how ignorant.
[00:40:55.200 --> 00:40:57.821]  So they list it as a toxic chemical.
[00:40:58.402 --> 00:40:59.922]  They list it as a pollutant.
[00:41:00.722 --> 00:41:05.424]  When it's a trace gas, impossible for Earth on terra firma.
[00:41:06.224 --> 00:41:07.965]  Impossible for life on this planet.
[00:41:09.181 --> 00:41:10.562]  And they turn it around as a bad thing.
[00:41:12.704 --> 00:41:13.685]  This is so incredible.
[00:41:13.725 --> 00:41:15.266]  I mean, I'm literally in the dark.
[00:41:16.868 --> 00:41:21.572]  I don't take for granted power at my house, power at my parents, power at my crew.
[00:41:23.514 --> 00:41:28.198]  And most of the crew that's here that came in today don't even have power at their home.
[00:41:29.239 --> 00:41:31.141]  They have natural gas.
[00:41:32.720 --> 00:41:41.842]  One of my crew members' family is in Round Rock and they've got the stove on and they're staying in the kitchen and listening to the radio because they don't have any power and it's 18 degrees.
[00:41:43.482 --> 00:41:44.042]  Think about that.
[00:41:45.623 --> 00:41:47.043]  And think about how we started this hour.
[00:41:47.843 --> 00:41:56.545]  Think about the head of the carbon tax operation up in Massachusetts when he said, the enemy is the old retiree.
[00:41:57.205 --> 00:41:58.946]  They're who we've got to break their will.
[00:41:59.046 --> 00:42:00.486]  They can't have heating.
[00:42:02.608 --> 00:42:03.408]  And they're teaching us.
[00:42:04.609 --> 00:42:06.070]  Oh, they can turn up the power.
[00:42:06.610 --> 00:42:14.415]  No, no, no, but see, there's a carbon output, and so even Texas has turned its plants off.
[00:42:14.675 --> 00:42:16.276]  Oh, the governor may say he's against it.
[00:42:17.317 --> 00:42:27.683]  The lieutenant governor may say he's against it, but the cities took taxpayer money and built those billion-dollar plants in the 80s and 90s, and they shut them off in the last 10 years.
[00:42:28.840 --> 00:42:29.900]  And all that's being taken away.
[00:42:29.920 --> 00:42:31.041]  So it's fundamental.
[00:42:31.081 --> 00:42:32.241]  Your speech is being taken away.
[00:42:58.012 --> 00:42:58.712]  Let me say that again.
[00:42:58.732 --> 00:42:58.912]  60% of our
[00:43:26.929 --> 00:43:28.410]  So here I am in the dark at the Infowar Studios.
[00:43:59.525 --> 00:44:06.409]  And it's just completely illustrative of where the future is going.
[00:44:07.350 --> 00:44:17.375]  The globalists are planning an anti-energy, anti-innovation, incredibly dystopic system in their own words.
[00:44:19.577 --> 00:44:22.138]  All these powerful people have stolen the wealth of the world.
[00:44:24.860 --> 00:44:27.101]  They have extracted the ideas of the public.
[00:44:27.912 --> 00:44:32.614]  They've turned us against each other, and now they just want to get rid of us.
[00:44:34.314 --> 00:44:40.257]  And they think that I'm a fool for trying to get you to even care or get involved and say no.
[00:44:42.137 --> 00:44:55.162]  But I do this because at a heart level, at a gut level, a spiritual level, and also an intellectual level, I know that the evil globalists doing all this are horrible, ruthless, inbred scum.
[00:45:01.001 --> 00:45:05.104]  And so it is the journey that is the destination.
[00:45:06.105 --> 00:45:10.067]  It is this animating contest of liberty that's brought me to this point.
[00:45:10.107 --> 00:45:21.255]  That's why I'm so thankful and just so incredibly honored that you've supported us and dreamed with us and worked with us in the last 27 years.
[00:45:21.716 --> 00:45:24.097]  Some of you that long, most of you in the last few decades or so.
[00:45:25.719 --> 00:45:26.479]  It's just been incredible.
[00:45:28.180 --> 00:45:28.781]  But here we are.
[00:45:31.152 --> 00:45:32.454]  World government's out in the open.
[00:45:33.094 --> 00:45:34.616]  Carbon taxes are out in the open.
[00:45:34.636 --> 00:45:36.218]  The attack on the family's out in the open.
[00:45:36.238 --> 00:45:38.881]  The attack on the single-family dwelling is out in the open.
[00:45:41.704 --> 00:45:45.349]  Bill Gates and Klaus Schwab and all of them are saying, oh yeah, we're turning your power off.
[00:45:47.145 --> 00:45:49.006]  Yeah, we're getting rid of your jobs.
[00:45:49.327 --> 00:45:50.427]  You're obsolete.
[00:45:50.868 --> 00:45:51.908]  You're bad for the earth.
[00:45:52.369 --> 00:46:01.875]  And then it's in the London Guardian that people with mental handicaps are being told they don't get health care now in the UK because of COVID because the hospitals are so full.
[00:46:04.017 --> 00:46:06.438]  We can't give you health care because you're handicapped.
[00:46:06.879 --> 00:46:08.580]  You're not as important as other people.
[00:46:09.100 --> 00:46:10.161]  Let's just unpack that.
[00:46:10.921 --> 00:46:13.023]  That's classical Hitlerian eugenics.
[00:46:14.963 --> 00:46:25.325]  Tyranny always starts where they target the weakest, the old, the mentally ill, mentally disabled, the young, the poor.
[00:46:28.706 --> 00:46:38.367]  And the idea that the hospitals are full with COVID patients has been a proven fraud all over the world that big tech tries to suppress.
[00:46:38.867 --> 00:46:39.908]  So it's based on a lie.
[00:46:39.988 --> 00:46:41.508]  Oh, the hospitals are so full,
[00:46:43.976 --> 00:46:46.496]  If you have Down Syndrome, we can't give you medical treatment.
[00:46:46.516 --> 00:46:47.557]  In fact, we're going to let you die.
[00:46:50.657 --> 00:46:53.398]  And they go, or if you're autistic.
[00:46:55.498 --> 00:47:02.699]  So they brain damage you with the pesticides and the chemicals and the things that attack boys because our blood brain barrier isn't as strong as a girl's.
[00:47:04.019 --> 00:47:04.880]  It's about half as strong.
[00:47:08.640 --> 00:47:10.941]  And then they say, you're not human.
[00:47:11.321 --> 00:47:12.761]  We're not going to give you medical care.
[00:47:13.211 --> 00:47:14.792]  And they call it liberal!
[00:47:18.075 --> 00:47:23.639]  And I see the people on Twitter calling me a Nazi every day, and all this, and I don't even feel sorry for myself.
[00:47:25.161 --> 00:47:38.371]  I legitimately feel sorry for them, because they're in this, this crazy echo chamber, where they actually believe they're the liberals, they're the good guys!
[00:47:39.332 --> 00:47:42.655]  And they're telling me that I deserve to die!
[00:47:44.400 --> 00:47:48.063]  And so I say to them, whatever you've heard I've done, whatever it I did was wrong.
[00:47:48.684 --> 00:47:49.925]  I questioned the mass shooting.
[00:47:50.185 --> 00:47:51.026]  I did this or that.
[00:47:51.546 --> 00:47:53.107]  Do I run death camps in China?
[00:47:53.848 --> 00:47:54.308]  Like Apple.
[00:47:55.870 --> 00:47:57.711]  Am I creating animal-human hybrids?
[00:47:58.372 --> 00:47:59.753]  Like the big biotech companies?
[00:47:59.873 --> 00:48:00.233]  Uh, no.
[00:48:01.074 --> 00:48:02.455]  Am I producing nuclear weapons?
[00:48:02.555 --> 00:48:03.796]  Am I torturing people to death?
[00:48:04.757 --> 00:48:11.723]  Am I running Facebook, who they admit their own former executive said was meant to make you depressed and alone to control you?
[00:48:13.117 --> 00:48:14.618]  Did I say you were obsolete?
[00:48:16.420 --> 00:48:19.782]  Did I say that you were non-essential?
[00:48:20.283 --> 00:48:21.904]  Did I say you should commit suicide?
[00:48:21.964 --> 00:48:22.725]  No, I didn't do that.
[00:48:22.745 --> 00:48:24.066]  I said I loved humanity.
[00:48:26.908 --> 00:48:29.110]  And so I'm more than happy to be lied about and attacked.
[00:48:29.570 --> 00:48:30.691]  But let's just move past that.
[00:48:31.332 --> 00:48:36.376]  Move past what you've been told about Alex Jones and just ask yourselves, are we in a world government?
[00:48:36.976 --> 00:48:37.677]  Is it corporate?
[00:48:37.757 --> 00:48:38.617]  Is it anti-human?
[00:48:39.018 --> 00:48:40.099]  Is it attacking the family?
[00:48:40.479 --> 00:48:41.440]  Is it attacking boys?
[00:48:42.395 --> 00:48:43.315]  Is it attacking girls?
[00:48:44.716 --> 00:48:46.976]  Is it saying full-grown men can be in girls' sports?
[00:48:47.716 --> 00:48:50.777]  Is it saying little boys get to be cool and be sterilized?
[00:48:51.937 --> 00:48:57.218]  Is it pushing an agenda that tries to make us alone and hopeless?
[00:48:57.298 --> 00:48:58.759]  And the answer is yes.
[00:48:59.219 --> 00:49:01.719]  So, don't see the world through my eyes.
[00:49:03.840 --> 00:49:06.100]  See the world through your eyes.
[00:49:07.001 --> 00:49:08.041]  Not the corporate eyes.
[00:49:09.366 --> 00:49:13.911]  Not the system's eyes, but really think for yourself about what this is.
[00:49:15.212 --> 00:49:25.603]  And then realize that I understand the average person doesn't read 300 books on World War II.
[00:49:27.345 --> 00:49:29.187]  I understand the average person doesn't read 100 books on Rome.
[00:49:31.118 --> 00:49:34.140]  The average person doesn't read 50 books on British naval history.
[00:49:34.521 --> 00:49:36.702]  The average person doesn't read 30 books on U.S.
[00:49:36.742 --> 00:49:50.493]  history and the Revolutionary War, or five books on the Civil War, or a couple hundred books on globalism and Professor Carol Quigley and Zbigniew Brzezinski and Klaus Schwab.
[00:49:51.954 --> 00:49:52.535]  But I did!
[00:49:54.727 --> 00:50:01.372]  And so I know who these people are, just because I happened to get into it when I was like 9 years old.
[00:50:04.354 --> 00:50:05.795]  Because these books were laying all over my house.
[00:50:07.215 --> 00:50:10.338]  And so, I had a piece of chip earlier, that's why I keep licking my lips.
[00:50:13.280 --> 00:50:16.222]  Because all the stores are closed, there's no food, the grocery stores are all closed.
