[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[00:44:38.022 --> 00:44:39.003]  It's too important.
[00:44:39.023 --> 00:44:45.789]  It illustrates how corrupt the Democratic Party and the left is when the prosecutor has had four witnesses say that he told them to lie.
[00:44:46.830 --> 00:44:49.192]  Lie to police, lie on police reports, lie in the court.
[00:44:52.735 --> 00:44:53.576]  It's just insane.
[00:44:54.392 --> 00:44:55.493]  But it's par for the course.
[00:44:55.773 --> 00:44:56.413]  So we got that.
[00:44:56.433 --> 00:45:01.016]  But first, here is Jon Bowne's latest report about the evolution of war.
[00:45:01.176 --> 00:45:02.017]  It's at VanDawgVideo.
[00:45:02.037 --> 00:45:07.040]  Please share it.
[00:45:07.060 --> 00:45:13.884]  I suffered a life-altering reaction to my COVID vaccine on November 4th, 2020, almost a year ago to this date.
[00:45:15.399 --> 00:45:19.282]  I suffered a cascade of neurological systems that persisted for months.
[00:45:19.882 --> 00:45:23.344]  And while my life has improved, I still feel like I'm being electrocuted 24-7.
[00:45:24.225 --> 00:45:27.567]  The evolution of war.
[00:45:27.687 --> 00:45:28.568]  First it was a stone.
[00:45:28.588 --> 00:45:30.249]  Then it was a spear.
[00:45:30.269 --> 00:45:32.070]  Then it was an arrow.
[00:45:32.090 --> 00:45:33.551]  Then it was a bullet.
[00:45:34.151 --> 00:45:35.052]  Then it was a missile.
[00:45:35.632 --> 00:45:36.753]  And then it was an injector.
[00:45:38.134 --> 00:45:41.496]  Because it's a weapon that you don't even know is targeting you.
[00:45:41.516 --> 00:45:46.240]  It's rolled out under the auspices of your health and your safety, but it's a lie.
[00:45:46.540 --> 00:45:57.888]  This is the most important graphic because if people don't figure this out and have an epiphany and a great awakening about this, the globalists are going to be able to sterilize us and depopulate us with this program.
[00:45:58.368 --> 00:46:09.556]  It'll take probably about a billion a year for a pandemic task force at the WHO level, which is doing the surveillance and actually doing what I call germ games, where you practice.
[00:46:09.956 --> 00:46:15.020]  You say, OK, what if a bioterrorist brought smallpox to 10 airports?
[00:46:15.340 --> 00:46:18.362]  You know, how would the world respond to that?
[00:46:18.382 --> 00:46:28.527]   You know, that there's naturally caused epidemics and bioterrorism caused epidemics that could even be way worse than what we experience today.
[00:46:28.527 --> 00:46:33.527]   Now they have all these mystery colds where you don't have COVID but people that are double vaxxed it seems.
[00:46:33.527 --> 00:46:40.465]   The London Telegraph said a few weeks ago, it's funny the statistics show the double vaxxed are the ones getting the
[00:46:40.465 --> 00:46:41.527]  mystery cold.
[00:46:41.527 --> 00:46:43.527]  They call it the super cold.
[00:46:43.575 --> 00:46:44.556]  It's a mystery cold.
[00:46:44.936 --> 00:46:46.217]  The super cold is a mystery cold.
[00:46:46.437 --> 00:46:47.358]  And it's killing people.
[00:46:47.398 --> 00:46:48.279]  They can't breathe.
[00:46:48.319 --> 00:46:54.023]  It's giving them the worst diseases like heart attacks and blood clots and strokes and aneurysms.
[00:46:54.563 --> 00:46:55.484]  We don't know what's going on.
[00:46:55.504 --> 00:46:56.484]  Here's some of those headlines.
[00:46:57.005 --> 00:47:04.370]  Dealing with rock, spear, arrow, bullet, missile, and now the Bill Gates UN depopulation weapon.
[00:47:05.438 --> 00:47:23.624]  We also face a new threat that the next epidemic has a good chance of originating on a computer screen of a terrorist intent on using genetic engineering to create a synthetic version of the smallpox virus or a contagious and highly deadly strain of flu.
[00:47:24.577 --> 00:47:25.337]  Here's another one.
[00:47:25.277 --> 00:47:30.195]   vaccines weaken immune system even after COVID recovery, according to UK data, gets rid of
[00:47:30.195 --> 00:47:31.717]  basically your whole immune system.
[00:47:31.717 --> 00:47:35.677]   Now they bragged about that a year ago, but now it's the British government's own surveillance
[00:47:35.677 --> 00:47:39.356]  report right there linked to it.
[00:47:39.356 --> 00:47:40.356]  Here's another one.
[00:47:40.356 --> 00:47:44.876]   Sweden suspends Moderna shot indefinitely after Vax patients develop crippling heart
[00:47:44.876 --> 00:47:45.876]  conditions.
[00:47:45.876 --> 00:47:47.237]  The wheels are coming off.
[00:47:47.237 --> 00:47:50.155]  Moderna is the one that Gates is mainly behind.
[00:47:50.155 --> 00:47:56.916]   And a new patent proposes digital surveillance to vaccine of people based on social credit
[00:47:56.916 --> 00:47:59.396]  score and it's also implantable chips.
[00:47:59.556 --> 00:48:23.070]   We have to bring this epidemic to the to an end primarily by getting the vaccine out in large numbers to the entire world and we have to make sure that we're ready because there will be another pandemic and there's so many lessons about How we weren't prepared, how we should have handled things differently, and you know, when that's clearly in our mind, those investments need to be made.
[00:48:24.211 --> 00:48:35.718]  What does it signify that now the world knows that Fauci did indeed lie to Congress and is the author of the COVID-19 and cooked it up and clearly released it and then was the guy to run the program and cover it up?
[00:48:35.738 --> 00:48:42.462]  Of course, you wouldn't do something and release something like this unless you thought you controlled the investigation and the PR and the news.
[00:48:42.662 --> 00:48:48.301]   and had big tech there to censor and silence everybody, while you rolled out the virus that killed people,
[00:48:48.301 --> 00:48:52.501]   but then more importantly gave them a so-called vaccine that removed their immune system
[00:48:52.501 --> 00:48:57.702]   and caused a myriad of different diseases and problems, so it was hard to pinpoint exactly what you'd done.
[00:48:57.702 --> 00:49:07.701]   Schools around the United States, but also in Europe, are closing, public and private,
[00:49:07.701 --> 00:49:14.701]   because so many of the teachers and staff are deathly ill after taking the Moderna and Pfizer shots.
[00:49:14.771 --> 00:49:16.632]  And now they're making them take booster shots.
[00:49:18.053 --> 00:49:25.319]  And the symptoms of bad vaccine reactions are just exploding right now.
[00:49:26.520 --> 00:49:32.205]  And what's incredible is they put press releases out saying, sorry, a large portion of our teachers got seriously ill.
[00:49:32.666 --> 00:49:33.706]  Some are in the hospital.
[00:49:34.087 --> 00:49:39.000]   And by the time it hits local news, well, Yeah, COVID's a big problem.
[00:49:39.020 --> 00:49:40.261]  That's why the schools are closed.
[00:49:40.361 --> 00:49:41.981]  Oh, and the shots made some people sick.
[00:49:43.421 --> 00:49:53.544]  When really, it's teachers quitting because they already had a bad reaction to the first round, are scared of the second round, and then some are forced to take a third round, and it's almost killing them.
[00:49:56.264 --> 00:49:57.104]  Isn't that interesting?
[00:49:57.405 --> 00:49:59.185]  But we've got the CEO of Pfizer.
[00:49:59.893 --> 00:50:01.294]  Saying he wants people arrested.
[00:50:01.454 --> 00:50:03.754]  And they've got a law they passed in Australia to do just that.
[00:50:03.774 --> 00:50:05.415]  They're trying to pass one in England.
[00:50:05.735 --> 00:50:06.915]  Canada's saying the same stuff.
[00:50:07.736 --> 00:50:10.417]  Hell, we have a Canadian health minister saying we can't ever end the lockdown.
[00:50:10.717 --> 00:50:14.018]  People might meet outside and talk and get unauthorized information.
[00:50:14.278 --> 00:50:15.018]  That's a quote!
[00:50:15.318 --> 00:50:16.859]  Oh, and by the way, don't look at the sunset.
[00:50:17.059 --> 00:50:18.099]  And don't talk to your neighbor.
[00:50:18.620 --> 00:50:19.740]  Remember, that's all real.
[00:50:21.100 --> 00:50:22.321]  Just like Drag Queen Storytime.
[00:50:22.341 --> 00:50:24.562]  Convicted pedophiles going and saying we're grooming your children.
[00:50:24.582 --> 00:50:26.582]  They belong to us.
[00:50:26.582 --> 00:50:35.082]  And then when the CDC says, "Oh, you can get a shot,"
[00:50:35.082 --> 00:50:37.082]  everybody goes, "It's mandated!"
[00:50:37.725 --> 00:50:42.628]  The leftist cities in Michigan, in California, in Florida.
[00:50:43.289 --> 00:50:44.229]  People think Florida's free.
[00:50:44.289 --> 00:50:45.810]  Hell, the Democrats run most of the big cities.
[00:50:46.290 --> 00:50:47.531]  And they're like, you know what?
[00:50:47.591 --> 00:50:49.593]  If they say take nine shots, you're taking them.
[00:50:49.633 --> 00:50:53.135]  Australia, health minister's like, you're going to start taking shots every two months.
[00:50:53.415 --> 00:50:54.576]  This is a new world order.
[00:50:54.836 --> 00:50:56.477]  And she all looks like a crazy witch.
[00:51:00.077 --> 00:51:13.101]  And Israel, oh, you took your green pass, you took your little phone, digital passport ID, your social credit score, and now Israel goes, oh, sorry, the third shot's not enough, we want a fourth or a fifth.
[00:51:15.862 --> 00:51:23.944]  But Pfizer's head tells us how it ends when we all take multiple shots a year and have IDs that are tracked everywhere and tested to go anyplace under their medical tyranny.
[00:51:24.980 --> 00:51:27.041]  And once they get the chains on us, they never come off.
[00:51:27.621 --> 00:51:36.826]  So that's why this is a war on humanity, a war on our borders, a war on our currency, a war on our industry, a war on our pipelines, a war on everything.
[00:51:38.767 --> 00:51:44.650]  Only Europe, the United States, Canada, New Zealand and Australia, the UK are under this.
[00:51:44.770 --> 00:51:45.511]  We are targeted.
[00:51:46.534 --> 00:51:47.855]  Our pipelines are turned off.
[00:51:48.055 --> 00:51:49.335]  Our oil fields are shut off.
[00:51:49.775 --> 00:51:51.236]  Our electrical grids are shut down.
[00:51:51.716 --> 00:51:53.277]  Our crops are ordered to shut down.
[00:51:53.777 --> 00:51:57.779]  Under their plan, they're going to ban organic farming, saying it's toxic.
[00:51:57.919 --> 00:51:58.659]  I'm not joking.
[00:51:58.839 --> 00:52:02.281]  They said they're going to cut trees down to barium to get rid of carbon.
[00:52:03.601 --> 00:52:04.842]  I've got stacks of that coming up.
[00:52:06.562 --> 00:52:07.083]  But look at this.
[00:52:07.263 --> 00:52:07.543]  U.S.
[00:52:07.583 --> 00:52:12.565]  Surgeon General issues toolkit asking Americans not to share misleading memes about COVID.
[00:52:14.716 --> 00:52:17.238]  And the toolkit's now been adopted by big tech.
[00:52:17.538 --> 00:52:24.642]  So if you say natural immunity is better than the vaccine, which they now admit gives you negative immunity, well, then you get banned because he said so.
[00:52:24.783 --> 00:52:26.424]  It doesn't matter if it's not true on its face.
[00:52:26.784 --> 00:52:29.926]  He's wearing a space captain outfit.
[00:52:30.026 --> 00:52:34.189]  He is wearing something where he can be on the set of Battlestar Galactica.
[00:52:37.110 --> 00:52:39.192]  Anything they say is false, inaccurate, or misleading.
[00:52:39.412 --> 00:52:42.334]  And they have their fact-checkers they control say it's not true.
[00:52:44.051 --> 00:52:51.435]  Oh, but Matthew McConaughey, who I've never disliked McConaughey, but when he came out to take the vaccine, I hate him.
[00:52:51.815 --> 00:52:52.155]  I hate him.
[00:52:53.356 --> 00:52:56.417]  And well, maybe I don't hate him as much.
[00:52:56.477 --> 00:53:05.321]  Matthew McConaughey says he's against vaccine mandates for children and refuses to give the approved shot to his three children ages 13, 11, and 8.
[00:53:09.246 --> 00:53:11.327]  Yeah, I mean, how far are you going to let him push you, folks?
[00:53:12.008 --> 00:53:18.291]  You know, Eric Clapton almost died after his family and managers pressured him to take one Pfizer shot almost killed him.
[00:53:19.832 --> 00:53:20.552]  Well, guess what?
[00:53:20.612 --> 00:53:29.597]  Judas Priest, a few weeks ago, was bragging, popular rock band, was bragging about how they all took the shot and made everybody take the shot.
[00:53:30.078 --> 00:53:31.879]  And now I've got reports that two of them are sick.
[00:53:31.939 --> 00:53:32.979]  One of them almost died.
[00:53:35.681 --> 00:53:37.382]  Let me show you those reports right here.
[00:53:38.974 --> 00:53:42.837]  Ian Hill says all members of Judas Priest have been vaccinated.
[00:53:44.137 --> 00:53:47.019]  We're about as protected as we'll ever get, really.
[00:53:47.059 --> 00:53:53.964]  The new Pfizer report says you get a negative, negative immune system.
[00:53:54.004 --> 00:53:58.987]  Not 1% better, negative 6% within six months.
[00:53:59.888 --> 00:54:01.809]  Oh, but you know Ian Hill, he's pretty smart, right?
[00:54:02.589 --> 00:54:03.530]  Ian Hill of Judas Priest.
[00:54:03.590 --> 00:54:04.090]  How's he doing?
[00:54:04.390 --> 00:54:04.551]  Oh!
[00:54:07.132 --> 00:54:08.073]  How's he doing right now?
[00:54:10.313 --> 00:54:17.279]  Well, Judas Priest Richie Faulkner reportedly had a heart attack on stage, underwent 10-hour open-heart surgery.
[00:54:17.999 --> 00:54:21.522]  Now they say because of other illnesses and problems, obviously they're not Turing.
[00:54:22.803 --> 00:54:23.584]  A heart attack?
[00:54:23.624 --> 00:54:24.704]  Well, that's always good.
[00:54:25.085 --> 00:54:30.089]  You get a heart attack, you get cancer, you get a stroke, you get blood clots, you get sterilized!
[00:54:30.229 --> 00:54:31.730]  Ha ha, you die!
[00:54:31.750 --> 00:54:34.212]  Ha ha ha ha!
[00:54:34.712 --> 00:54:36.374]  Some heads are gonna roll!
[00:54:37.429 --> 00:54:39.610]  Some heads are gonna roll, roll.
[00:54:40.270 --> 00:54:44.572]  Keep bowing down to the God of this world and see how far that gets you, Judas Priest.
[00:54:48.214 --> 00:54:52.536]  Meanwhile, New York City fire truck availability down to 55 percent.
[00:54:52.936 --> 00:54:55.237]  Manpower shortages due to vaccine mandates.
[00:54:56.678 --> 00:54:58.158]  Yep, people quitting or being fired.
[00:55:00.339 --> 00:55:04.181]  Incredibly important information.
[00:55:04.641 --> 00:55:06.242]  You know, this stack right here is incredible.
[00:55:08.331 --> 00:55:13.774]  Because the Surgeon General says we're not allowed to question anything they say, though they're flip-flopping every few days.
[00:55:14.294 --> 00:55:15.694]  It's official, out of fortune.
[00:55:16.255 --> 00:55:20.617]  Vaccinated people don't transmit COVID 100%, she says, the head of the CDC.
[00:55:20.637 --> 00:55:23.378]  A few months later, oh, you're totally unprotected.
[00:55:27.220 --> 00:55:28.300]  You're just as likely.
[00:55:28.740 --> 00:55:30.581]  Oh, and by the way, twice as likely to die or get sick.
[00:55:30.621 --> 00:55:32.362]  It's not protecting you.
[00:55:32.942 --> 00:55:40.442]   And of course, Traspiego and others report massive increases in heart attacks in footballers
[00:55:40.442 --> 00:55:45.501]   and soccer players around the world in Western countries that take the injection.
[00:55:45.501 --> 00:55:47.121]  I've got a bunch of news here.
[00:55:47.121 --> 00:55:49.300]   One of the things I've got here on the stack I'm looking for, I thought I had it closer
[00:55:49.300 --> 00:55:56.862]   to the top, is a photo shot of the newspaper in Utah where they are promoting to everyone
[00:55:56.862 --> 00:56:02.702]   that this is a social credit score and a carbon tax via your driver's license that will be
[00:56:02.702 --> 00:56:07.300]  on your phone now and operate as your COVID pass.
[00:56:07.295 --> 00:56:09.476]  So it's now Florida's announcing it.
[00:56:09.496 --> 00:56:11.358]  I wonder if DeSantis will stop it.
[00:56:11.538 --> 00:56:13.039]  And so is Utah.
[00:56:17.802 --> 00:56:18.823]  And AP spends it.
[00:56:18.983 --> 00:56:21.705]  Oh, it doesn't track your vaccine data and dietary preferences.
[00:56:21.825 --> 00:56:22.165]  Oh, really?
[00:56:22.185 --> 00:56:23.526]  That's what the state said it does.
[00:56:25.448 --> 00:56:26.308]  Oh, no, no, no, no.
[00:56:26.368 --> 00:56:27.689]  Nobody wants a digital ID.
[00:56:27.709 --> 00:56:31.852]  Remember a year and a half ago, they're going to have a digital ID on your phone and track where you go.
[00:56:32.413 --> 00:56:33.414]  Well, Jones is insane.
[00:56:33.454 --> 00:56:35.195]  Nobody's doing that, even though it was already being announced.
[00:56:37.699 --> 00:56:38.299]  Yeah, there it is.
[00:56:38.839 --> 00:56:40.300]  What are digital driver's licenses?
[00:56:40.320 --> 00:56:42.581]  Digital driver's licenses are vaccine records.
[00:56:42.701 --> 00:56:43.421]  Yeah, you guys found it.
[00:56:43.441 --> 00:56:49.104]  Scroll down, and then it says social credit score, taxes, travel records, credit card score, health records.
[00:56:49.144 --> 00:56:50.824]  It's so wonderful.
[00:56:51.104 --> 00:56:52.345]  Yeah, keep scrolling up, guys, if you can.
[00:56:53.265 --> 00:56:56.827]  Or just... That's as far as it goes?
[00:56:59.068 --> 00:57:02.249]  Okay, well, I have... It says credit score on there.
[00:57:03.598 --> 00:57:08.120]  Yeah, you guys, I love you guys so much, but you open your mics most of the time, I can't understand a word you're saying.
[00:57:09.040 --> 00:57:16.683]  So, um... Yeah, I'm not talking about credit score.
[00:57:17.964 --> 00:57:20.705]  It says, there it is at the bottom, social credit score.
[00:57:21.790 --> 00:57:23.291]  Social credit score.
[00:57:23.311 --> 00:57:28.755]  But on the actual printout from the state, it says social credit score.
[00:57:29.255 --> 00:57:30.416]  Social credit score.
[00:57:31.016 --> 00:57:33.618]  That is such big, giant, huge news.
[00:57:34.399 --> 00:57:34.799]  There it is.
[00:57:34.839 --> 00:57:35.900]  Thank you very much, guys.
[00:57:37.981 --> 00:57:39.342]  Social credit scoring.
[00:57:39.382 --> 00:57:44.786]  That's put out by the state with a QR code in local newspapers and magazines.
[00:57:45.925 --> 00:57:53.549]  The terrorist department of the state of Utah is saying we're going to sign you up for a social credit score so you can be punished for not being a good little globalist.
[00:57:54.250 --> 00:57:55.731]  All right, I'm going to settle down and not get mad.
[00:57:55.751 --> 00:57:56.751]  This is really getting to me, though.
[00:57:58.432 --> 00:58:10.579]  We're going to come back and I'm going to get into the Rittenhouse nish, which is just, I mean, this is actually a court where the judge isn't a criminal, which is a rarity these days in my experience.
[00:58:11.620 --> 00:58:17.365]   And so he's totally freaking out as The prosecutors engage in classically criminal behavior.
[00:58:17.845 --> 00:58:22.067]  Now that four witnesses have shed, they were ordered to lie by prosecutors.
[00:58:22.307 --> 00:58:22.907]  On the stand!
[00:58:23.807 --> 00:58:25.928]  I mean, talk about wheels coming off.
[00:58:26.268 --> 00:58:29.649]  This thing just blew up in their stinking George Soros faces.
[00:58:30.950 --> 00:58:35.531]  I wonder if Judas Priest is gonna come out with a new album called Injector.
[00:58:36.032 --> 00:58:39.193]  Take the juice of Satan's reign!
[00:58:39.393 --> 00:58:42.374]  Prepare to die in the flame!
[00:58:43.556 --> 00:58:44.777]  I'm up here in space.
[00:58:45.477 --> 00:58:46.738]  I'm looking down on you.
[00:58:49.080 --> 00:58:50.321]  I'm looking down on you.
[00:58:51.762 --> 00:58:55.284]  My needles trace everything you do.
[00:59:00.267 --> 00:59:01.688]  There is no true escape.
[00:59:02.609 --> 00:59:03.850]  I mean, I like Judas Priest.
[00:59:03.890 --> 00:59:04.870]  It's the original heavy metal.
[00:59:05.611 --> 00:59:07.132]  But they're obviously not very Christian.
[00:59:11.514 --> 00:59:12.915]  I am perpetual!
[00:59:13.075 --> 00:59:14.716]  I keep the country free!
[00:59:15.816 --> 00:59:17.337]  And now you die!
[00:59:20.218 --> 00:59:23.139]  But, oh, these are old rock and roll guys, ladies and gentlemen.
[00:59:26.841 --> 00:59:28.462]  Surely that's just why he had the heart attack.
[00:59:28.622 --> 00:59:29.462]  Oh, another article.
[00:59:29.482 --> 00:59:30.703]  They're popping out every few minutes.
[00:59:32.543 --> 00:59:36.105]  This is in the CBC National Media of Canada.
[00:59:37.569 --> 00:59:38.350]  And what does it say?
[00:59:38.530 --> 00:59:38.870]  St.
[00:59:39.110 --> 00:59:44.473]  John Cardiologist, he's a young man, an inspiring spirit, dies suddenly.
[00:59:45.793 --> 00:59:52.597]  And he took his booster shot and bye-bye, heart attack, in his sleep.
[00:59:54.137 --> 01:00:00.901]  A prominent New Brunswick cardiologist has died, leaving behind a large gap in the system and the community, colleagues say.
[01:00:01.681 --> 01:00:17.507]   Dr. Saurabh Luntmandil, Decided more than 20 years ago in the New Brunswick Heart Center, 40-something years old, and the care of patients suffering from heart disease, said a statement from the staff of the New Brunswick Heart Center.
[01:00:17.527 --> 01:00:26.635]  It is a profound sadness that we report the sudden and unexpected death of a colleague, friend, and father, partner, and inspiring spirit, the statement says.
[01:00:27.356 --> 01:00:28.857]  He died Monday in his sleep at the St.
[01:00:28.897 --> 01:00:29.458]  John's home.
[01:00:30.914 --> 01:00:32.855]  Said Gene Francis Le Gray.
[01:00:33.155 --> 01:00:36.397]  They had the cardiac surgery at the New Brunswick Heart Center.
[01:00:36.937 --> 01:00:37.978]  He was 52.
[01:00:40.179 --> 01:00:44.302]  His family and friends and colleagues were shocked at the news of his death.
[01:00:46.343 --> 01:00:50.245]  But then you can go and research and learn that he bragged about getting his booster shot.
[01:00:52.486 --> 01:00:53.907]  Isn't that just interesting?
[01:00:53.927 --> 01:01:00.151]   So I guess he got it worse than the Schools that have had to close in Michigan and other states because so many teachers got sick after the shot.
[01:01:00.792 --> 01:01:01.753]  At least they're still alive.
[01:01:02.654 --> 01:01:05.937]  But hey, the hospital offers condolences to the friends, family, and colleagues.
[01:01:06.597 --> 01:01:07.598]  Hey, but he kept his job!
[01:01:07.618 --> 01:01:08.259]  He took the shot!
[01:01:11.242 --> 01:01:13.242]  Well, there you go, ladies and gentlemen.
[01:01:13.242 --> 01:01:23.001]   So Judas Priest says they've all had the shot, so they're all now protected.
[01:01:23.094 --> 01:01:26.576]  Even though it doesn't protect you, and then boom, massive heart attack.
[01:01:30.457 --> 01:01:30.718]  Wow.
[01:01:32.018 --> 01:01:33.419]  Okay, I'm gonna stop right there.
[01:01:34.039 --> 01:01:39.862]  I need to hit the Rittenhouse stuff, which is very important as it illustrates the corruption of the Democratic Party and their prosecutors.
[01:01:39.882 --> 01:01:43.904]  The prosecutor is a big Soros leftist, actually financed by Soros, as usual.
[01:01:44.524 --> 01:01:45.825]  And we have a bunch of clips.
[01:01:47.386 --> 01:01:47.886]  Should I play?
[01:01:49.364 --> 01:01:53.929]  All four clips of people saying that the prosecutor ordered them to lie or they lied?
[01:01:53.949 --> 01:01:57.212]  Or should we just get to Rittenhouse's testimony?
[01:02:00.556 --> 01:02:01.517]  Got all that right here.
[01:02:05.561 --> 01:02:08.564]  But in the interest of time, I want to be able to really cover this properly.
[01:02:08.584 --> 01:02:09.425]  It'll take at least two segments.
[01:02:09.445 --> 01:02:10.306]  We'll go to it next segment.
[01:02:10.887 --> 01:02:11.728]  Let me hit this right now.
[01:02:13.667 --> 01:02:19.231]  Oh, by the way, that's just a small portion of the mass death and illness and studies and everything coming out about the injections.
[01:02:19.472 --> 01:02:20.312]  It's totally crazy.
[01:02:20.672 --> 01:02:22.174]  So later we'll be getting to more of that.
[01:02:24.575 --> 01:02:25.896]  But let me just do this right now.
[01:02:25.956 --> 01:02:34.323]  Let me tell you about a really important stack I've got here, and that's inflation and how it's exploding.
[01:02:34.863 --> 01:02:36.384]  And again, this is not rocket science.
[01:02:36.404 --> 01:02:37.285]  This is economics.
[01:02:39.014 --> 01:02:44.097]  And when they did the Great Reset, it was designed to collapse industrial society and permanently destroy food chain.
[01:02:45.157 --> 01:02:51.797]   And I came into receipt about a week ago of incredible documents from the United Nations
[01:02:51.797 --> 01:02:56.817]   that are on the UN website that's bigger than Operation Lockstep,
[01:02:56.817 --> 01:03:02.896]   bigger than SPARS 2023, bigger than Event 201.
[01:03:02.896 --> 01:03:07.996]   And when I learned this stuff a week ago, I said, "I'm not just gonna go on air
[01:03:07.996 --> 01:03:09.356]  "and just talk about this."
[01:03:09.216 --> 01:03:10.856]  Because if I do, no one will care.
[01:03:10.936 --> 01:03:12.417]  It'll just get lost out there.
[01:03:12.937 --> 01:03:14.097]  No one has covered this.
[01:03:14.537 --> 01:03:15.717]  No one has broken this.
[01:03:16.158 --> 01:03:17.058]  No one knows this.
[01:03:17.078 --> 01:03:18.558]  I already knew some of this.
[01:03:18.598 --> 01:03:19.238]  We've covered some of it.
[01:03:19.258 --> 01:03:20.719]  But I didn't, I wasn't aware of it.
[01:03:21.659 --> 01:03:22.319]  How bad it was.
[01:03:23.779 --> 01:03:27.820]  So I've got to decide whether I want to do a special Saturday transmission on this.
[01:03:27.900 --> 01:03:29.300]  And I think I'm going to do that.
[01:03:30.261 --> 01:03:31.301]  Though I have promised.
[01:03:32.458 --> 01:03:35.680]  My four-year-old daughter that I was going to take her fishing before it gets too cold again.
[01:03:35.700 --> 01:03:45.327]  So maybe I'm just not going to do it Saturday, but you know, this is so criminal compared to everything you've seen.
[01:03:45.367 --> 01:03:46.007]  It's even worse.
[01:03:46.047 --> 01:03:48.449]  It's like twice as worse.
[01:03:49.697 --> 01:04:02.523]  They brag how they're going to shut the economy off using the fear of a virus, and that once the supply chain breaks down, there's not enough food, that the whole world food supply will collapse, and the UN will then take over as the savior with the World Food Council.
[01:04:03.884 --> 01:04:08.526]  Remember that 11-year-ago video they show children in England?
[01:04:09.567 --> 01:04:17.451]  The cartoons where it talks about the future, and your cell phone tells you where you can go, what you can do, and the World Food Council controls the food, and you never get meat anymore?
[01:04:18.077 --> 01:04:21.077]  It's an actual document.
[01:04:21.077 --> 01:04:25.077]  [laughing]
[01:04:25.077 --> 01:04:28.077]  Hundreds of pages, each page.
[01:04:28.925 --> 01:04:30.847]  It would be weeks of air time.
[01:04:30.867 --> 01:04:34.269]  I mean, it's just a declaration of savage war.
[01:04:35.530 --> 01:04:39.753]  But they're already rolled out poison shots that create blood clots and kill you slowly.
[01:04:39.993 --> 01:04:41.334]  The lucky ones die quickly.
[01:04:41.354 --> 01:04:44.657]  I mean, this is it.
[01:04:44.697 --> 01:04:47.459]  All right, I'm going to go to break.
[01:04:49.050 --> 01:04:53.551]  Separately, folks, I'm not complaining, but if you don't buy the products that don't support us, they're going to be able to shut us down.
[01:04:54.032 --> 01:04:57.312]  I can't get into strategies and plans and all the rest of it, but you see the attacks everywhere.
[01:04:57.633 --> 01:05:03.394]  We need to stay on air and actually expand and work with a lot of other great folks to do some major, big things in the near future, some major moves.
[01:05:04.515 --> 01:05:05.955]  But I have to spin, I'm not complaining.
[01:05:06.573 --> 01:05:19.527]  Third of my time scrounging around looking for money and then another 20% of the time dealing with all the globalist attacks and all their operations and the FBI grand juries they've got open and this freaking capital stuff and the lawsuits and all of it.
[01:05:19.687 --> 01:05:20.688]  They're trying to keep me distracted.
[01:05:21.434 --> 01:05:22.215]  I'm not letting them do that.
[01:05:22.555 --> 01:05:25.358]  But you really help me not get distracted when you just buy the products.
[01:05:25.798 --> 01:05:28.741]  Infowarsstore.com and you can go there and it says the support button.
[01:05:29.122 --> 01:05:33.506]  Click on become a sponsor and you're just sponsoring the show like people give to PBS or NPR.
[01:05:33.546 --> 01:05:40.613]  Well, you can just make a donation, a one-time donation or sign up for recurring and that way we actually get 95% of the money you donate after the fees and stuff.
[01:05:41.915 --> 01:05:44.257]  Instead of with products when they're on sale, we're making like 20-30%.
[01:05:45.911 --> 01:05:49.352]  So yeah, a ton of money comes in, but not a ton of funds to operate.
[01:05:49.412 --> 01:05:51.332]  So I want to thank you all for your support.
[01:05:51.412 --> 01:05:52.553]  Infowarshore.com.
[01:05:52.893 --> 01:05:54.593]  We have storewide free shipping, double patron points.
[01:05:54.653 --> 01:05:57.014]  It ends on November 15th.
[01:05:57.474 --> 01:05:59.034]  We have 10% off of storable food.
[01:05:59.194 --> 01:06:00.655]  It ends on November 15th.
[01:06:01.855 --> 01:06:05.456]  We have ultimate bone broth formula, back in stock, improved, even stronger.
[01:06:05.496 --> 01:06:06.376]  It's called Plus now.
[01:06:06.856 --> 01:06:08.457]  You got to change the label when you upgrade something.
[01:06:08.517 --> 01:06:09.217]  We never downgrade.
[01:06:10.490 --> 01:06:13.013]  Something's not available anymore at the high quality, we just discontinue it.
[01:06:13.394 --> 01:06:15.557]  We've done that to quite a few products because of the supply chain breakdown.
[01:06:15.797 --> 01:06:17.659]  But over two plus years, we got it back in.
[01:06:18.220 --> 01:06:20.923]  It's 20% off with free shipping and double Patriot points.
[01:06:21.003 --> 01:06:22.345]  It is the ultimate superfood.
[01:06:22.686 --> 01:06:25.008]  Chaga mushroom, it just goes on and on.
[01:06:25.269 --> 01:06:26.510]  Go read the ingredients yourself.
[01:06:26.631 --> 01:06:29.134]  It's pretty astoundingly quality.
[01:06:29.694 --> 01:06:31.494]  Infowarsstore.com or 888-253-3139.
[01:06:31.794 --> 01:06:38.055]  We've got a bunch of new hats, Save the Frogs hats, Don't Tread on Me hats.
[01:06:38.396 --> 01:06:40.136]  These are really, really popular.
[01:06:40.536 --> 01:06:43.456]  They're expensive because they're made right here in America and printed in America.
[01:06:43.977 --> 01:06:48.077]  No reviews yet on these, but these are made right here in Texas.
[01:06:48.557 --> 01:06:49.918]  So, Infowarsstore.com or 888-253-3139.
