[00:00:00.134 --> 00:00:00.955]  This is our chance
[00:46:26.297 --> 00:46:28.338]  Actually, there were no Democrat poll watchers.
[00:46:28.378 --> 00:46:29.178]  I guess they were them.
[00:46:29.758 --> 00:46:32.519]  But there were no Democrats either, and there was no law enforcement.
[00:46:33.377 --> 00:46:43.784]  Uh, late in the morning, they went, early in the morning, they went to the table with the black robe, the black shield, and they pulled out the votes.
[00:46:43.884 --> 00:46:47.447]  Those votes were put there a number of hours before the table was put there.
[00:46:47.467 --> 00:46:54.252]  I think it was, Brad, you would know, it was probably eight hours or seven hours before, and then it was stuffed with votes.
[00:46:54.672 --> 00:46:56.733]  They weren't in an official voter box.
[00:46:56.833 --> 00:46:58.414]  They were in what looked to be
[00:46:59.719 --> 00:47:00.419]  We're good to go.
[00:47:00.499 --> 00:47:01.380]  We're good to go.
[00:47:01.820 --> 00:47:02.320]  We're good to go.
[00:47:29.297 --> 00:47:33.801]  They voted in Georgia, but they were from out of state, of 4,925.
[00:47:33.861 --> 00:47:45.390]  You had absentee ballots sent to vacant... They were absentee ballots sent to vacant addresses.
[00:47:46.251 --> 00:47:48.132]  They had nothing on them about addresses.
[00:47:48.172 --> 00:47:48.352]  That's 2,326.
[00:47:48.412 --> 00:47:49.813]  And you had drop boxes, which was very bad.
[00:47:57.492 --> 00:47:59.773]  You had Dropbox boxes that were picked up.
[00:47:59.833 --> 00:48:05.474]  We have photographs and we have affidavits from many people.
[00:48:05.494 --> 00:48:11.716]  I don't know if you saw the hearings, but you have Dropboxes where the box was picked up and not delivered for three days.
[00:48:12.396 --> 00:48:17.798]  So all sorts of things could have happened to that box, including, you know, putting in the votes that you wanted.
[00:48:18.410 --> 00:48:28.614]  So there are many infractions, and the bottom line, it's many, many times the $11,779 margin that they said we lost by.
[00:48:28.635 --> 00:48:32.516]  All right, so there is the president, and all of it's true, my God.
[00:48:32.536 --> 00:48:39.439]  That footage of the Freemans is, talk about hand in the cookie jar, talk about Sylvester with Tweebert in his mouth.
[00:48:40.560 --> 00:48:44.862]  In the 11-month saga that has been COVID-19,
[00:48:46.653 --> 00:48:52.440]  This is hands down the biggest news to ever come out concerning it.
[00:48:53.782 --> 00:48:57.807]  This is 100% absolute pure proof that COVID-19 is a giant overblown hoax.
[00:49:06.747 --> 00:49:17.396]  And a fraud and that it's not even as dangerous as the common flu or pneumonia and that they are adding all the regular deaths of flu and pneumonia and gunshot wounds over into it.
[00:49:17.636 --> 00:49:23.201]  Now that's been out in the news and that's been admitted to and they've admitted the PCR test is 96% false positive.
[00:49:23.582 --> 00:49:24.783]  That's all come out.
[00:49:25.203 --> 00:49:28.266]  That's all been admitted to.
[00:49:29.312 --> 00:49:35.181]  But they take famous people that die at 87 with lung cancer and say it's COVID.
[00:49:35.202 --> 00:49:39.328]  They take people that die in motorcycle accidents and say that they've died of COVID.
[00:49:39.428 --> 00:49:40.370]  It's incredible.
[00:49:40.730 --> 00:49:42.073]  But here's the new information.
[00:49:42.593 --> 00:49:43.375]  Here's the bombshell.
[00:49:44.693 --> 00:50:02.419]  If you remember back in September, John Hopkins looked at several studies and put out a big article dealing with the fact that year-to-date, 2020, from January 1st to mid-September, it was roughly the same amount of deaths that had been reported through the CDC and their numbers that are very accurate.
[00:50:03.380 --> 00:50:05.040]  Death numbers are some of the best statistics we've got.
[00:50:05.901 --> 00:50:06.941]  Birth numbers are excellent as well.
[00:50:08.544 --> 00:50:11.507]  And that it showed roughly the same number.
[00:50:11.607 --> 00:50:14.110]  Well, Snopes and everybody got really upset.
[00:50:14.150 --> 00:50:18.193]  They said, well, it's not the rest of the year and maybe statistics are lagging behind.
[00:50:18.294 --> 00:50:22.157]  So they withdrew the article about the study.
[00:50:22.197 --> 00:50:23.719]  Didn't say it was false, just withdrew it.
[00:50:26.041 --> 00:50:32.788]  Just like all those big scientific research institutes in India and Australia scanned the virus in February of last year.
[00:50:34.881 --> 00:50:37.923]  And said, oh my God, it's got HIV delivery system in it.
[00:50:38.203 --> 00:50:44.427]  And that's why people that take the vaccine now test positive for HIV because the COVID has been engineered.
[00:50:44.627 --> 00:50:45.548]  And I'll explain that in a moment.
[00:50:46.348 --> 00:50:54.274]  But ladies and gentlemen, now on the CDC website, they say they have up-to-date numbers four days after the year.
[00:50:54.434 --> 00:50:55.775]  They just updated this morning.
[00:50:56.435 --> 00:50:59.617]  And we have the official death tolls for this year.
[00:51:01.378 --> 00:51:02.159]  Now get ready for this.
[00:51:03.490 --> 00:51:12.220]  There were roughly 61,000, I'm gonna show you the numbers, more deaths in the United States in 2020 than there were in 2019.
[00:51:12.300 --> 00:51:15.704]  We'll show you in a moment.
[00:51:16.985 --> 00:51:22.712]  But when you take out the roughly doubling of suicides, it's the same number.
[00:51:25.157 --> 00:51:30.338]  And when you remove the massive increase in drug overdose deaths, it's under.
[00:51:30.818 --> 00:51:31.078]  About 40,000.
[00:51:31.979 --> 00:51:36.360]  We've hired a statistician that's done work for us before, degreed, prestigious, works for big insurance companies.
[00:51:37.040 --> 00:51:42.281]  We've hired him and he'll have all this done and crunched in a big report by Friday.
[00:51:42.981 --> 00:51:44.302]  That'll be at InfoWars.com.
[00:51:45.442 --> 00:51:46.682]  So we're paying good money for this.
[00:51:48.223 --> 00:51:50.383]  But you don't have to believe Alex Jones.
[00:51:50.943 --> 00:51:53.544]  You can go to the CDC's own website
[00:51:54.423 --> 00:51:59.367]  And see this for yourself, did you hear me?
[00:51:59.387 --> 00:52:02.069]  61,000 more deaths last year than the year before.
[00:52:03.731 --> 00:52:10.616]  Now remember, you were told it was going to be 2.5 million dead, then 2.3 million, then 2.2, then 2 million.
[00:52:10.896 --> 00:52:14.179]  And it was all the projections by Bill Gates' projection groups that he funded.
[00:52:14.439 --> 00:52:15.180]  It was the end of the world.
[00:52:16.209 --> 00:52:16.809]  None of that was true.
[00:52:17.249 --> 00:52:18.170]  But now you see the headlines.
[00:52:18.310 --> 00:52:19.751]  Oh, COVID was worse than we thought.
[00:52:20.211 --> 00:52:21.571]  Oh, society will never reopen.
[00:52:21.611 --> 00:52:22.932]  China's open for business, but we're not.
[00:52:23.592 --> 00:52:27.454]  This is an economic weapon, a consolidation weapon, and everybody that's got half a brain knows it.
[00:52:27.814 --> 00:52:32.816]  So let's go ahead now, and let's go ahead and get right into this.
[00:52:32.936 --> 00:52:33.777]  Overhead shot, please.
[00:52:34.737 --> 00:52:41.060]  Now there's the old John Hopkins information from September.
[00:52:42.588 --> 00:52:46.930]  Directly from the CDC, and they said, oh, again, we should wait till the new year.
[00:52:47.091 --> 00:52:47.931]  Okay, well, we did.
[00:52:49.152 --> 00:52:50.112]  So here's this boil down.
[00:52:50.212 --> 00:52:51.093]  Deaths in U.S.
[00:52:51.213 --> 00:52:54.775]  by year, with links to the CDC, and we will show you the links in a moment.
[00:52:56.636 --> 00:53:06.141]  What is the percentage death, 878, compared to the year before, 870?
[00:53:07.302 --> 00:53:10.644]  Exactly as I told you, the drug overdoses and the increased suicide,
[00:53:12.642 --> 00:53:15.525]  Instead of 870, it's 878 is deaths per 100,000.
[00:53:15.585 --> 00:53:28.157]  And you can go in and just take out the half of the suicide and the increase in the overdosing, and it's 40-something thousand lower.
[00:53:30.118 --> 00:53:30.339]  Wow.
[00:53:32.028 --> 00:53:32.388]  Wow.
[00:53:33.188 --> 00:53:35.249]  So you take out the real increases we've seen.
[00:53:35.469 --> 00:53:37.390]  Oh, and I didn't count the increase in homicide.
[00:53:37.430 --> 00:53:38.250]  That's thousands more.
[00:53:38.310 --> 00:53:39.170]  Oh, I forgot that.
[00:53:40.111 --> 00:53:41.431]  Homicide exploded last year, too.
[00:53:41.631 --> 00:53:42.031]  Look that up.
[00:53:42.131 --> 00:53:42.712]  Oh, I forgot that.
[00:53:43.012 --> 00:53:45.973]  So as we look at this, but let's leave it all in.
[00:53:46.673 --> 00:53:48.294]  Total 61,000 more died.
[00:53:48.514 --> 00:53:49.854]  Let's leave in the overdoses.
[00:53:50.434 --> 00:53:55.096]  Let's leave in the suicides that massively increased.
[00:53:55.396 --> 00:53:55.836]  And you're at 61,000.
[00:54:02.426 --> 00:54:03.948]  So let's go ahead and roll this out.
[00:54:08.192 --> 00:54:09.113]  Deaths in the U.S.
[00:54:09.133 --> 00:54:09.354]  by year.
[00:54:09.374 --> 00:54:09.354]  2020.
[00:54:09.394 --> 00:54:09.834]  2,902,664.
[00:54:09.414 --> 00:54:09.834]  Previous year. 2,855,000.
[00:54:26.735 --> 00:54:29.637]  Now, you're probably saying, well, wait, that's 50-something thousand, not 60,000 more.
[00:54:30.258 --> 00:54:31.359]  This is from three days ago.
[00:54:31.399 --> 00:54:31.959]  I have the new numbers.
[00:54:31.999 --> 00:54:32.640]  I'll show you in a moment.
[00:54:33.441 --> 00:54:35.622]  But this is a good breakdown right here.
[00:54:35.783 --> 00:54:36.223]  It's 60,000, 61,000.
[00:54:36.984 --> 00:54:40.927]  So look at that for yourself long and hard from the CDC.
[00:54:41.187 --> 00:54:41.888]  Don't disbelieve us.
[00:54:41.908 --> 00:54:43.589]  We're doing a whole article on this with the links to it.
[00:54:43.929 --> 00:54:44.890]  Everything that'll go with this video.
[00:54:48.113 --> 00:54:51.716]  Here is, again, the numbers.
[00:54:53.677 --> 00:55:02.043]  From 2018 and 19, and you can see from the CDC's website, it matches the number that we have here on our graph.
[00:55:02.083 --> 00:55:09.629]  Just showing you from the CDC's own website, there were 2,854,800 and something deaths here, then there were 2,839,000 the year before, but it all basically is roughly the same.
[00:55:17.930 --> 00:55:23.554]  This year comes along and we've got 50-something thousand more, but that was as of January 1st.
[00:55:24.935 --> 00:55:26.075]  So they hadn't got all the numbers in.
[00:55:26.115 --> 00:55:30.618]  Now they have, and let's give you the numbers.
[00:55:32.219 --> 00:55:32.880]  Total deaths, 303, 832.
[00:55:32.940 --> 00:55:32.880]  286, 866.
[00:55:44.588 --> 00:55:46.029]  And it just goes all over these numbers.
[00:55:46.569 --> 00:55:49.831]  And let's go ahead and turn the mic on, if Rob Duke can join us in there.
[00:55:49.851 --> 00:55:57.715]  And go over some of this information, because you've got all deaths involved in COVID-19, they say, are 300,000.
[00:55:57.755 --> 00:56:01.657]  But then you've got the so-called number of deaths here at 2,913,000.
[00:56:01.717 --> 00:56:05.919]  But again, this shows that we have about the same amount this year, or in
[00:56:12.843 --> 00:56:14.424]  2020 as we had in the previous year.
[00:56:14.784 --> 00:56:16.566]  How bombshell is this for you, Rob?
[00:56:17.166 --> 00:56:23.430]  It's huge and what it shows is that the death rate pretty much increases the same each year.
[00:56:23.490 --> 00:56:29.974]  It's gone from 0.8 to 0.9 and it's been the same since 2010, the last 10 years.
[00:56:30.054 --> 00:56:30.514]  You can see it.
[00:56:30.534 --> 00:56:31.855]  So it's like we have a pandemic every year.
[00:56:32.175 --> 00:56:34.857]  But people, you need to also remember the population increases.
[00:56:34.897 --> 00:56:36.138]  Look at the population numbers.
[00:56:37.161 --> 00:56:38.702]  309 million in 2010.
[00:56:39.242 --> 00:56:43.824]  Now 2020 we're at 330 million if you look at the bottom of the population graph.
[00:56:44.164 --> 00:56:46.405]  So it's basically increasing the same.
[00:56:46.885 --> 00:56:54.009]  Now the one thing I think you're going to see more is you're going to see more suicides and more homicides from this year or this past year 2020 than you are in 2019 and 2018.
[00:56:54.069 --> 00:56:55.989]  And that's going to have a big effect on the numbers.
[00:56:59.736 --> 00:57:00.076]  I don't know.
[00:57:19.047 --> 00:57:21.808]  Suicides, homicides, and overdoses.
[00:57:21.888 --> 00:57:27.989]  I think you're going to see, when you take those numbers out, you're going to see a lower death rate than what you saw in 2019.
[00:57:28.069 --> 00:57:28.830]  That's right.
[00:57:28.930 --> 00:57:35.711]  And to be clear, we've hired a statistician whose degree works for a major company several times in the past, four or five times.
[00:57:35.751 --> 00:57:36.472]  He's doing it now.
[00:57:36.912 --> 00:57:38.232]  He was telling us what to look at.
[00:57:38.292 --> 00:57:40.433]  We're just with Lehman looking at this.
[00:57:40.773 --> 00:57:45.814]  Friday, we're going to have the full report with all deaths not removing.
[00:57:46.514 --> 00:57:49.678]  Increased homicides, increased drug overdoses, increased suicides.
[00:57:50.379 --> 00:57:57.388]  We'll just have it side by side, but it's basically the numbers I just showed you versus keeping those numbers in there.
[00:57:57.688 --> 00:57:58.810]  It's just unbelievable.
[00:57:58.830 --> 00:57:59.611]  So here's the bottom line.
[00:58:00.580 --> 00:58:01.680]  It's all a giant hoax.
[00:58:02.360 --> 00:58:08.621]  The same amount of people roughly died last year that died the year before, showing COVID-19 is not what they're saying it is.
[00:58:08.702 --> 00:58:09.982]  It is a giant fraud.
[00:58:10.502 --> 00:58:17.103]  And as Rob was pointing out, the population's growing, so you expect to see more people dying as well.
[00:58:17.163 --> 00:58:19.003]  But still, that didn't actually happen last year.
[00:58:19.343 --> 00:58:19.904]  We'll be right back.
[00:58:21.004 --> 00:58:26.965]  So if you just joined us, I laid out some of the most incredible information ever.
[00:58:28.194 --> 00:58:33.121]  It was huge back in September when John Hopkins did a story about multiple studies.
[00:58:34.142 --> 00:58:40.350]  Just going year-to-date, 2020, January 1st to September 15th.
[00:58:41.772 --> 00:58:42.854]  Roughly the same amount of deaths.
[00:58:44.352 --> 00:58:51.434]  And they made the same point in there, that if you take out increased suicide and increased drug overdose, it's massively increased, it looks like there's less deaths.
[00:58:51.814 --> 00:58:56.095]  They went, oh, the year is over, you know, you shouldn't do that.
[00:58:56.515 --> 00:58:57.696]  We're going to attack you in the media.
[00:58:57.756 --> 00:58:59.716]  Okay, we won't report it anymore.
[00:59:00.697 --> 00:59:08.639]  And now here we are three months later, three and a half months later, and it's exactly what John Hopkins and the studies said.
[00:59:11.394 --> 00:59:14.556]  And see, that pisses him off because the number one funder of John Hopkins is Bill Gates.
[00:59:14.896 --> 00:59:15.957]  All his money's tax exempt.
[00:59:16.397 --> 00:59:20.861]  And John Hopkins advises the UN on global vaccines on pandemic response.
[00:59:20.881 --> 00:59:24.183]  So that one group, John Hopkins, is the group that runs it all.
[00:59:25.564 --> 00:59:31.228]  I love how Communist China came out on Friday and said, actually, the virus came from Italy.
[00:59:31.788 --> 00:59:33.369]  And the virus came from America.
[00:59:35.511 --> 00:59:38.573]  Remember when the governor of New York would say that?
[00:59:38.633 --> 00:59:39.634]  It's the American virus.
[00:59:41.021 --> 00:59:41.902]  It's the Trump virus?
[00:59:43.723 --> 00:59:46.465]  So you asked it, well, if it's not that deadly, what's the point?
[00:59:46.505 --> 00:59:54.070]  Well, it's a chimera that they can bring out new versions of that are manufactured to scare by and have new vaccines.
[00:59:54.110 --> 00:59:56.852]  You constantly take it now, as I predicted 11 months ago.
[00:59:57.232 --> 00:59:58.773]  Oh, there's all these new mutations.
[00:59:58.953 --> 01:00:00.054]  Oh, and they're much more deadly.
[01:00:00.354 --> 01:00:01.735]  Well, that's true or not, probably not.
[01:00:02.155 --> 01:00:06.778]  So you got to get new shots all the time and be updated on your phone.
[01:00:07.118 --> 01:00:09.160]  Just getting you used to being this guinea pig.
[01:00:11.189 --> 01:00:22.334]  And then all the trillions saw a big article by Zero Hedge estimating that if people start taking five vaccines a year, like Bill Gates said, and notice Bill Gates said all this 11 months ago, he goes, oh, we'll never reopen.
[01:00:22.774 --> 01:00:24.875]  Oh, wearing a mask will be like wearing a seatbelt.
[01:00:24.895 --> 01:00:25.916]  You're just going to get used to it.
[01:00:26.156 --> 01:00:27.816]  Yeah, small businesses will never reopen.
[01:00:29.477 --> 01:00:30.738]  He said that in the fine print.
[01:00:30.998 --> 01:00:33.799]  Then you, on national TV, it's like, oh, just another six months.
[01:00:33.859 --> 01:00:34.499]  Oh, another year.
[01:00:34.940 --> 01:00:35.840]  Now Gates is like, oh, 2022, 2023.
[01:00:39.326 --> 01:00:41.108]  He said, oh, you'll have to take five shots a year.
[01:00:41.328 --> 01:00:42.910]  And oh, they're like, oh, sorry.
[01:00:44.632 --> 01:00:46.494]  Now it actually never does protect you.
[01:00:46.554 --> 01:00:48.015]  You just, you just got to pay us for it.
[01:00:48.095 --> 01:00:51.319]  And we're just going to keep giving it to you, but you can't fly if you don't do it.
[01:00:53.161 --> 01:00:55.423]  So let's play the head of the vaccine program.
[01:00:56.820 --> 01:00:57.641]  She's the head of the U.N.
[01:00:57.681 --> 01:00:58.662]  vaccine program.
[01:00:59.462 --> 01:01:04.106]  She's the same lady in December that had a two-day conference saying, our doctors don't believe in vaccines.
[01:01:04.346 --> 01:01:05.167]  They're hurting people.
[01:01:05.207 --> 01:01:06.048]  They're not tested.
[01:01:06.688 --> 01:01:07.849]  Our front lines wobbly.
[01:01:08.069 --> 01:01:09.170]  We've got to stop this.
[01:01:09.310 --> 01:01:15.295]  And then COVID comes out, you see, to cover up the past crimes, to move us on to the next issue.
[01:01:15.315 --> 01:01:19.599]  So here's the world chief scientist, WHO chief scientist, Dr.
[01:01:21.204 --> 01:01:27.526]  Somya Swathathian says no evidence the vaccines will prevent people from getting infected.
[01:01:29.526 --> 01:01:34.148]  And that's what Pfizer and Moderna and all of them said months ago.
[01:01:34.568 --> 01:01:35.848]  It's all in the fine print.
[01:01:38.669 --> 01:01:45.611]  And then scientists that are virologists and epidemiologists and geneticists go and they look at it and they go, this doesn't look like something for a virus.
[01:01:46.211 --> 01:01:48.852]  This is something that attacks the protein in a woman's uterus.
[01:01:52.307 --> 01:01:57.370]  You think Bill Gates says he wants to depopulate the earth and use vaccines to sterilize us in speeches?
[01:01:57.811 --> 01:02:01.433]  Just does all this because he just wants to randomly put something in you?
[01:02:01.453 --> 01:02:03.995]  They're like, oh, this shot ain't going to help you.
[01:02:04.295 --> 01:02:05.376]  You got to take a lot of them.
[01:02:05.676 --> 01:02:18.624]  Because every time you take the shot, it causes a bigger autoimmune response until you can't be in contact with any cold virus, which are the most common viruses.
[01:02:18.644 --> 01:02:19.165]  They're everywhere.
[01:02:21.078 --> 01:02:28.762]  And then they'll manage it in the media when no one has an immune system to the cold and it's killing people Spanish flu style.
[01:02:29.302 --> 01:02:29.962]  Wow!
[01:02:30.443 --> 01:02:32.464]  Man, we've got their number now.
[01:02:34.825 --> 01:02:35.845]  And I told you the story.
[01:02:37.466 --> 01:02:43.069]  I was in a mediation at a big law firm a few months ago.
[01:02:45.370 --> 01:02:48.211]  And I ran into an individual sort of telling me stuff.
[01:02:48.251 --> 01:02:48.972]  Hey, I'm a scientist.
[01:02:48.992 --> 01:02:49.632]  This is what's going on.
[01:02:52.972 --> 01:02:56.553]  And after he left, the lawyers come and they go, don't tell anyone you talked to him.
[01:02:56.593 --> 01:02:57.854]  He's very eccentric.
[01:02:58.254 --> 01:02:59.614]  He's the, you don't know who that is.
[01:02:59.654 --> 01:03:00.775]  He's a multi-billionaire.
[01:03:01.055 --> 01:03:04.196]  He owns a major company and we represent him and he's our friend.
[01:03:04.256 --> 01:03:04.536]  Don't.
[01:03:05.076 --> 01:03:06.537]  I said, well, I'm going to tell the story of what he said.
[01:03:06.557 --> 01:03:07.397]  Just don't say his name.
[01:03:10.018 --> 01:03:12.179]  I'm in a mediation two weeks ago with my ex-wife.
[01:03:14.120 --> 01:03:15.360]  We're at a law firm in North Austin.
[01:03:17.659 --> 01:03:26.346]  My lawyers at another law firm, my lawyers had met with him again, and I've got the best lawyers in the state when it comes to divorce stuff and custody battles and all that.
[01:03:26.366 --> 01:03:26.847]  They're well-known.
[01:03:26.867 --> 01:03:34.052]  I mean, my guy, Will Hite's name is on the state book, the family law book.
[01:03:34.493 --> 01:03:36.935]  He's like, just don't say the name of the guy, but yeah.
[01:03:38.496 --> 01:03:56.606]  He grabbed him by the arm, and he said, don't you take that mRNA vaccine, it's super dangerous and it'll cause all sorts of autoimmune responses, and it's when you take it the second time that people are gonna really get sick, and he goes, Fauci's an idiot and a fraud, so is Gates, I know them both, my God, this is insane, they're gonna give our whole industry a bad name, on and on and on.
[01:03:56.806 --> 01:03:59.088]  He goes, I don't know why they're doing something this reckless.
[01:04:03.350 --> 01:04:04.591]  And that's when it clicked for me.
[01:04:05.800 --> 01:04:14.648]  Anybody's going to be able to use messenger RNA, and they've got it that creates antibodies that kills colon cancer, lung cancer, brain cancer, and that's what this guy does.
[01:04:15.168 --> 01:04:16.129]  Anybody can figure this out.
[01:04:17.090 --> 01:04:19.312]  He's got the patents, it's been bought, it works.
[01:04:19.952 --> 01:04:29.501]  I'm not saying do it, I'm not saying it's not dangerous, but why would they put something out where mRNA sterilizes you, makes you sick, because it creates a protein that's so common in the body.
[01:04:30.765 --> 01:04:34.507]  It's like, instead of like throwing darts at the bullseye, it's like blowing the whole wall out.
[01:04:35.287 --> 01:04:39.949]  Why would you do that to an industry that's got the keys to the fountain of youth?
[01:04:40.969 --> 01:04:42.310]  And that's why this guy's pissed off.
[01:04:42.530 --> 01:04:45.591]  Because they've got antibodies for colon cancer, you name it.
[01:04:45.611 --> 01:04:46.352]  I looked it up, they do.
[01:04:47.052 --> 01:04:47.352]  They're like 100%.
[01:04:49.473 --> 01:04:51.194]  But see, they're not going to let you have that.
[01:04:51.794 --> 01:04:59.157]  Instead, you get a shot that makes your body have an autoimmune response to a super common protein in your body.
[01:05:02.346 --> 01:05:04.668]  Because, again, viruses are fast-growing, fast-replicating.
[01:05:07.590 --> 01:05:08.511]  And I'm getting this from the scientists.
[01:05:08.551 --> 01:05:09.211]  I'm not the scientist.
[01:05:10.012 --> 01:05:13.174]  But it's not just what this guy told me, or what the lawyers told me.
[01:05:13.595 --> 01:05:14.455]  I already knew all that.
[01:05:14.495 --> 01:05:16.097]  That's what Wolfgang Ludarg says.
[01:05:16.357 --> 01:05:20.600]  That's what the former Pfizer chief scientist says in the lawsuit they filed December 1st.
[01:05:23.322 --> 01:05:23.683]  Wow.
[01:05:25.204 --> 01:05:30.368]  So, that's the level we've reached in all of this.
[01:05:32.754 --> 01:05:42.126]  In that the top genetic engineers whose business is this say, this is really bad.
[01:05:44.585 --> 01:05:52.750]  It'd be like if you were a filtered water salesman, and you're selling good filtered clean water, and the guy down the street is selling filtered water that has cholera in it.
[01:05:53.090 --> 01:05:55.211]  You'd say, why are you putting cholera in the water?
[01:05:55.712 --> 01:06:04.977]  Because they're going to cause a global crisis with this, and have the UN then come in and control mRNA and gene therapy.
[01:06:05.017 --> 01:06:05.798]  That's what this is.
[01:06:06.798 --> 01:06:09.440]  They're going to scare everybody away from it.
[01:06:10.259 --> 01:06:13.201]  So they can control it as a disruptive technology and not release it.
[01:06:13.881 --> 01:06:15.122]  There's a lot of angles to this.
[01:06:15.142 --> 01:06:16.563]  These people are jerks, man.
[01:06:17.864 --> 01:06:18.224]  They are.
[01:06:18.304 --> 01:06:20.205]  They are absolute pieces of filth.
[01:06:21.086 --> 01:06:24.328]  And by the way, you just saw how Gates wants to control the weather.
[01:06:24.368 --> 01:06:25.829]  I told you that 15 years ago.
[01:06:26.309 --> 01:06:29.191]  He was in documents that were very secretive 15 years ago.
[01:06:29.751 --> 01:06:32.473]  Now it's all public that he is already in control of the damn weather.
[01:06:33.934 --> 01:06:36.055]  He inherited the whole Robert Barron complex, folks.
[01:06:36.535 --> 01:06:38.016]  All the secret Nazi money, everything.
[01:06:38.516 --> 01:06:39.217]  He's Red Skull.
[01:06:41.098 --> 01:06:44.682]  Ladies and gentlemen, something so huge has happened.
[01:06:44.722 --> 01:06:47.564]  The biggest thing yet in this whole COVID nightmare.
[01:06:48.966 --> 01:06:52.669]  The CDC released its official death numbers for the year 2020.
[01:06:54.907 --> 01:07:03.253]  And it is almost exactly the same as the year before, just like every previous year tracks exactly the same.
[01:07:03.273 --> 01:07:05.514]  I'm about to lay those numbers out for you.
[01:07:06.175 --> 01:07:18.323]  That proves that this is a giant overblown hoax used to shut down the economy, consolidate control, and put out the 80 million mail-in ballots to steal the election from the American people.
[01:07:19.003 --> 01:07:19.924]  It's so incredible.
[01:07:20.024 --> 01:07:24.547]  We have it from the CDC's own website, and we're going to be laying it out
[01:07:25.067 --> 01:07:25.487]  Right now.
[01:07:27.908 --> 01:07:31.449]  Now, again, we're live on air, and I'll just let the listeners in on what I just did.
[01:07:31.589 --> 01:07:36.791]  That's an intro for Segment 2 and Segment 3, so we can get that out and go viral.
[01:07:37.551 --> 01:07:38.292]  Now, we're still live.
[01:07:38.312 --> 01:07:39.232]  We'll go back to Lee Stranahan.
[01:07:39.972 --> 01:07:41.753]  But I need to do an intro to that piece.
[01:07:42.953 --> 01:07:44.634]  So huge, it's just incredible.
[01:07:44.714 --> 01:07:50.596]  I mean, wow, when John Hopkins said that back in September, and the media said, well, the rest of the year isn't here yet.
[01:07:50.636 --> 01:07:50.856]  Wait.
[01:07:51.236 --> 01:07:51.936]  Well, here it is.
[01:07:52.016 --> 01:07:54.117]  They don't want this fact out.
[01:07:55.697 --> 01:08:04.583]  This is coffin nails to their giant hoax, and the lockdown that Bill Gates says is never going to end until we expose that he ran the Wuhan lab, until we expose his operations and bring him to justice.
[01:08:06.164 --> 01:08:10.367]  Now, with some other good news, but it's kind of got a sick, twisted lining to it.
[01:08:13.469 --> 01:08:17.071]  We're joined by investigative journalist Lee Stranahan.
[01:08:18.172 --> 01:08:20.874]  Just in, Mexico offers political asylum to Assange.
[01:08:23.237 --> 01:08:28.059]  That's directly from the President of Mexico, who I, despite the fact he's a socialist, I really like him.
[01:08:28.639 --> 01:08:33.320]  Breaking British judge rules, Julian Assange cannot be extradited to the U.S.
[01:08:33.340 --> 01:08:41.443]  to face 18 counts of espionage, saying he's already been tortured by years of solitary confinement, and they believe that he would commit suicide.
[01:08:43.384 --> 01:08:45.845]  Well, the man is like the Pentagon Papers and Daniel Ellsberg.
[01:08:45.905 --> 01:08:46.625]  He's a hero.
[01:08:46.885 --> 01:08:52.587]  He was the darling of the New York Times, the Washington Post, when he was exposing George W. Bush's lies about WMDs.
[01:08:56.195 --> 01:09:07.701]  But when he started exposing Hillary Clinton and Jeffrey Epstein and the pedophilia, well, he's got to pay for that, so no one else ever dares challenge them.
[01:09:08.001 --> 01:09:09.702]  So joining us is Lee Stranahan.
[01:09:09.722 --> 01:09:12.103]  He's followed the case very, very closely.
[01:09:12.543 --> 01:09:15.565]  Cassandra Fairbanks was traveling, couldn't come on, she recommended Lee Stranahan.
[01:09:15.805 --> 01:09:16.925]  We've got Lee here with us.
[01:09:16.965 --> 01:09:17.746]  Lee, great to have you back.
[01:09:18.926 --> 01:09:22.268]  Silver lining to an overall horrible mess, if Trump doesn't
[01:09:23.973 --> 01:09:28.637]  If Trump doesn't give him a pardon, then shame on President Trump.
[01:09:28.737 --> 01:09:30.098]  He said, I don't care who's got it.
[01:09:30.118 --> 01:09:31.259]  Julian Assange, the Russians?
[01:09:31.399 --> 01:09:32.380]  It's not about who's got it.
[01:09:32.520 --> 01:09:33.401]  It's about they're illegal.
[01:09:33.541 --> 01:09:34.522]  It's about Hillary's emails.
[01:09:34.562 --> 01:09:35.422]  Don't change the subject.
[01:09:35.623 --> 01:09:36.583]  He said, release it!
[01:09:37.224 --> 01:09:38.965]  So Trump better pardon him.
[01:09:39.326 --> 01:09:41.367]  This is really one of my main sticking points with Trump.
[01:09:41.387 --> 01:09:41.888]  Lee, what do you think?
[01:09:43.004 --> 01:09:44.484]  No, I agree completely, Alex.
[01:09:44.624 --> 01:09:47.025]  I would like to see Donald Trump do it.
[01:09:47.045 --> 01:09:47.865]  But let's face it.
[01:09:47.905 --> 01:09:49.966]  First off, by the way, Happy New Year, Alex.
[01:09:50.006 --> 01:09:50.586]  Great to see you.
[01:09:50.846 --> 01:09:51.226]  Good to see you.
[01:09:52.146 --> 01:09:53.527]  And this is great news.
[01:09:53.627 --> 01:09:58.268]  I got to say, if you were watching this morning, I was watching this live.
[01:09:58.748 --> 01:10:02.349]  I was watching people and the judge's ruling.
