[00:00:00.289 --> 00:00:01.090]  Thursday Live!
[00:43:00.922 --> 00:43:02.383]  I know what he's doing, so we salute him.
[00:43:04.684 --> 00:43:15.388]  But, well, here's the puppet president, Joe Biden, telling you that, oh, we got to be a hero here and fix this here, get you all slave-trained now, because, you know, another one's coming, like I told you a year ago.
[00:43:15.628 --> 00:43:18.649]  It'll be like winter storms or spring tornadoes.
[00:43:20.930 --> 00:43:21.451]  We're good.
[00:43:38.072 --> 00:43:41.093]  We have to defeat this pandemic and strengthen the global health system.
[00:43:41.113 --> 00:43:43.414]  Prepare for the next one because there will be another pandemic.
[00:44:02.537 --> 00:44:08.586]  That's right, because now, there's always millions of people dying when they're old, run down, not getting the right vitamins and minerals.
[00:44:08.906 --> 00:44:18.320]  There's always people dying after heart surgery and cancer, and they go, oh, cause was flu, cause was pneumonia, because you were run down, you were old, you lived in a dirty city, you worked in a coal mine.
[00:44:19.554 --> 00:44:21.335]  And now they say, oh, cause of death, pneumonia.
[00:44:21.636 --> 00:44:25.558]  So again, I told you a year ago, once you take the shots, they'll tell you soon the shots don't work.
[00:44:25.979 --> 00:44:26.679]  How do I know that?
[00:44:26.939 --> 00:44:30.122]  Because they wrote it in the damn John Hopkins battle plan.
[00:44:30.622 --> 00:44:35.245]  That's what's so frustrating at the end of the day is, we're just covering reality-based information.
[00:44:35.606 --> 00:44:45.233]  You need water, you need sunlight, you need a spiritual connection to God, all studies show that boosts your immune system, and you need a multivitamin that's organic, high-quality vitamins, and you need to protect yourself.
[00:44:45.573 --> 00:44:47.034]  And that's all you need, ladies and gentlemen.
[00:44:47.254 --> 00:44:48.015]  We'll be right back.
[00:44:48.831 --> 00:44:55.075]  We're gonna play a clip of that transcript to that medical doctor run at the seven universities on that again as we did yesterday.
[00:44:55.395 --> 00:44:57.317]  And then David Icke is coming up.
[00:44:57.457 --> 00:44:58.297]  I am fired up.
[00:44:58.678 --> 00:44:59.958]  I am blessed and honored to be here.
[00:45:00.119 --> 00:45:13.167]  I am Alex Emmerich Jones and I love you all and it is destiny that we are here together now in resistance to this anti-tyranny that like all other tyrannies will fail.
[00:45:13.427 --> 00:45:18.791]  But this is the great challenge before we go to the next level.
[00:45:20.354 --> 00:45:22.097]  Alright, I've always liked David Icke.
[00:45:22.157 --> 00:45:24.642]  I've been reading his books since they first came out 30 years ago.
[00:45:24.662 --> 00:45:25.604]  I've been interviewing him for more than 20.
[00:45:27.677 --> 00:45:33.801]  And some stations don't carry this segment, a lot do, but that's why I'm holding him until five minutes around we come back and all the stations join us.
[00:45:34.682 --> 00:45:40.265]  But when he came out in February of last year, you can look it up, we have it posted at InfoWars.com, and said there is no virus.
[00:45:41.086 --> 00:45:42.267]  I said, well that's a little far.
[00:45:42.307 --> 00:45:47.710]  I know it's manufactured, I know they're counting flu and other things, but I mean, how does he know that?
[00:45:47.770 --> 00:45:52.574]  Well, now all these top scientists, major universities scan thousands of samples and they can't find it.
[00:45:53.502 --> 00:45:59.526]  So we're going to find out every time I think Ike's gone too far, he gets proven right again.
[00:45:59.546 --> 00:46:13.874]  It's research, it's understanding, it's thousands of points of information, and then it's that deep intuition into the ether, which is most of the universe, as we know, and everything he's talked about is coming out now of the different dimensions, a dimension five times stronger holding us in place.
[00:46:14.195 --> 00:46:15.976]  This is now being released to the public.
[00:46:16.837 --> 00:46:23.450]  And so we're in a very special time, and the globalists are very, very scared, but here's an individual online who did a great job reading a transcript of this article.
[00:46:24.984 --> 00:46:40.468]  Got published a lot of different places, but I'm a clinical lab scientist, COVID-19 is fake, wake up America, Dr. Derek Knoss and it's other prestigious scientists, the former chief scientist of Merck saying it's gonna kill you, there's nothing good about it, it mutates you.
[00:46:40.828 --> 00:46:45.289]  It is the vaccine that's the killer and now you see death numbers going way up compared to last year.
[00:46:45.689 --> 00:46:48.549]  We had similar numbers in 2020 as we had 2019 of death.
[00:46:48.889 --> 00:46:51.270]  In fact, for population increase, the death numbers actually went down.
[00:46:51.570 --> 00:46:56.955]  They went up a little bit, like 16,000 if you take population increase, which actually went down from the normal increase.
[00:46:57.516 --> 00:47:00.298]  So David Icke comes back here after this important report.
[00:47:00.719 --> 00:47:01.279]  This is it.
[00:47:01.459 --> 00:47:01.840]  Share it.
[00:47:02.220 --> 00:47:04.122]  David Icke completely vindicated again.
[00:47:05.054 --> 00:47:09.057]  I have a PhD in virology and immunology.
[00:47:09.898 --> 00:47:19.785]  I'm a clinical lab scientist and have tested 1,500 supposed positive COVID-19 samples collected here in Southern California.
[00:47:20.246 --> 00:47:30.954]  When my lab team and I did the testing through Koch's postulates and observation under a scanning electron microscope, we found no COVID in any of the 1,500 samples.
[00:47:32.575 --> 00:47:48.200]  What we found was that all of the 1500 samples were mostly Influenza A and some were Influenza B. But not a single case of COVID, and we did not use the BCS-PCR test.
[00:47:48.560 --> 00:47:50.561]  It's a polymerase chain reaction test.
[00:47:50.801 --> 00:47:53.381]  Celia Farber does wonderful journalism on the topic.
[00:47:53.441 --> 00:47:54.842]  I did videos on this channel for that.
[00:47:55.731 --> 00:48:02.916]  We then sent the remainder of the samples to Stanford, Cornell, and a few of the University of California labs, and they found the same results as we did.
[00:48:03.116 --> 00:48:03.757]  No COVID!
[00:48:04.857 --> 00:48:18.687]  They found influenza A and B. All of us then spoke to the CDC and asked for viable samples of COVID, which CDC said they could not provide, as they did not have any samples.
[00:48:19.977 --> 00:48:29.322]  We have now come to the firm conclusion, through all our research and lab work, that the COVID-19 was imaginary and fictitious.
[00:48:30.082 --> 00:48:36.485]  The flu was called COVID, and most of the 225,000 dead were dead through comorbidities such as heart disease, cancer, etc.
[00:48:36.505 --> 00:48:38.986]  Then they got the flu, which further weakened their immune systems, and they died.
[00:48:49.031 --> 00:48:52.354]  I have yet to find a single viable sample of COVID-19 to work with.
[00:48:52.794 --> 00:49:00.399]  We at the seven universities that did the lab tests on these 1,500 samples are now suing the CDC for COVID-19 fraud.
[00:49:00.880 --> 00:49:05.303]  The CDC has yet to send us a single viable, isolated, purified sample of COVID-19.
[00:49:05.763 --> 00:49:10.347]  If they can't or won't send us a viable sample, I say there is no COVID-19.
[00:49:10.367 --> 00:49:11.307]  It is fictitious.
[00:49:12.088 --> 00:49:19.993]  The four research papers that do describe the genomic extracts of the COVID-19 virus never were successful in isolating and purifying the samples.
[00:49:20.713 --> 00:49:29.719]  All the four papers written on COVID-19 only describe small bits of RNA, which were only 37 to 40 base pairs long, which is...
[00:49:30.459 --> 00:49:31.180]  Not a virus.
[00:49:31.880 --> 00:49:35.803]  A viral genome is typically 30,000 to 40,000 base pairs.
[00:49:36.144 --> 00:49:45.331]  With as bad as COVID is supposed to be all over the place, how come no one in any lab worldwide has ever isolated and purified this virus in its entirety?
[00:49:45.351 --> 00:49:48.634]  That's because they never really was, they never really found the virus.
[00:49:48.674 --> 00:49:53.038]  All they've ever found was small pieces of RNA which were never identified as the virus anyway.
[00:49:53.638 --> 00:49:56.219]  So what we're dealing with is just another flu strain.
[00:49:56.819 --> 00:50:02.562]  Every year, COVID-19 does not exist and is fictitious.
[00:50:04.322 --> 00:50:07.644]  All right, David Icke, in 60 seconds, strap yourselves in.
[00:50:08.884 --> 00:50:15.287]  And we are now into the second hour of this Thursday, April 15th, 2021 transmission.
[00:50:16.347 --> 00:50:18.628]  Normally, April 15th was the big dreaded day, the day we paid our
[00:50:20.236 --> 00:50:26.401]  Taxes to the private Federal Reserve, but now that's long, long, long gone on the threat chart.
[00:50:26.461 --> 00:50:34.228]  Now we face forced inoculation, contact tracers, world government, vaccine passports.
[00:50:34.268 --> 00:50:40.914]  If they tell us, oh, sorry, the vaccine doesn't work, you've got to wear a mask forever, and then you just joined us last hour, I showed you a prestigious scientist.
[00:50:42.496 --> 00:50:50.825]  The head EU Commission advisor Wolfgang Wudarg, the former head scientist at Pfizer and others, saying this is dangerous, it's deadly, it doesn't protect you.
[00:50:51.346 --> 00:50:56.332]  And other professors and scientists at major universities saying we've studied tens of thousands of samples.
[00:50:57.674 --> 00:50:58.935]  We have never seen COVID.
[00:50:58.995 --> 00:50:59.675]  It doesn't exist.
[00:51:00.155 --> 00:51:02.796]  All it is is RNA fragments.
[00:51:03.537 --> 00:51:06.318]  So why would Bill Gates and the globalists launch such a fraud?
[00:51:06.778 --> 00:51:13.401]  Well, because if it's a total fraud, it can't be proven by science or disproven because the media will never be conclusive about it.
[00:51:13.821 --> 00:51:23.686]  So I wanted to get David Icahn, who's always great at drilling into things, to give us a big picture because clearly they're planning on launching something bigger to cover up this last crisis.
[00:51:24.898 --> 00:51:33.365]  If he can give us a synopsis of where he thinks the world is right now, and how dangerous this is, and I know he's talked about the fact that I watch his show almost every day, and so does my wife.
[00:51:33.385 --> 00:51:44.255]  When I say watch his show, I go to Band Up Video and the David Icke section, because we post, and his folks post, all the interviews he does, and special shows he does, and his son's new show that launches tomorrow that I'm going to be on with David.
[00:51:44.295 --> 00:51:45.176]  Very honored to do that.
[00:51:45.196 --> 00:51:47.077]  People say, wow, you go on their show?
[00:51:47.117 --> 00:51:48.298]  Yeah, we're not in competition, folks.
[00:51:48.499 --> 00:51:49.500]  This is life and death.
[00:51:50.400 --> 00:51:51.081]  We're being censored.
[00:51:51.101 --> 00:51:51.641]  We're being attacked.
[00:51:51.661 --> 00:51:52.242]  We're together.
[00:51:53.002 --> 00:51:53.743]  This is amazing.
[00:51:54.464 --> 00:51:59.668]  And so I could ask a million questions, David, but cutting right to the chase, I could play the clips, but I'm not going to play them.
[00:51:59.688 --> 00:52:00.148]  Everybody heard it.
[00:52:00.428 --> 00:52:01.249]  You got attacked.
[00:52:01.289 --> 00:52:06.653]  You got deplatformed last year because you came out in February and March and said, it doesn't even exist.
[00:52:06.734 --> 00:52:07.734]  It's a fake virus.
[00:52:08.035 --> 00:52:09.015]  They can't isolate it.
[00:52:09.055 --> 00:52:09.776]  They can't find it.
[00:52:10.176 --> 00:52:11.257]  How did you know that then?
[00:52:11.297 --> 00:52:12.899]  Because now that's all being confirmed.
[00:52:12.919 --> 00:52:16.762]  And the bigger question then is, why would they launch such a giant fraud?
[00:52:17.342 --> 00:52:18.703]  David Icke of DavidIcke.com.
[00:52:18.723 --> 00:52:19.344]  Thank you for joining us.
[00:52:20.933 --> 00:52:21.574]  Hello, mate.
[00:52:21.814 --> 00:52:25.840]  Yeah, well, why would they launch such a gigantic fraud?
[00:52:26.642 --> 00:52:35.255]  Because if you have a real infectious agent, you are limited by what that agent does.
[00:52:36.343 --> 00:53:01.731]  When you have a fictitious infectious agent, you have complete control of it, especially when you have a test that's clearly not testing for it, the PCR test, and the amplification of that test of genetic material, not a virus, means that the more you amplify the test, the more positives you're going to get, not for a virus, but for genetic material that's naturally in the body,
[00:53:02.538 --> 00:53:08.279]  And so the amplification gives you control over how... And that's all borne out.
[00:53:08.359 --> 00:53:10.600]  How did you know it 14 months ago before I did?
[00:53:10.620 --> 00:53:14.901]  I mean, you get the people keep saying Alex Jones was right, David Icke was right.
[00:53:14.981 --> 00:53:15.901]  I'm going to give you credit.
[00:53:16.201 --> 00:53:18.282]  How do you continue to know stuff before anybody else?
[00:53:20.462 --> 00:53:27.504]  Well, my life, Alex, in the last 30, 31 years, since my mind blew open in 1990,
[00:53:28.923 --> 00:53:36.969]  has been an extraordinary synchronistic journey with information coming to me in the most synchronistic way.
[00:53:37.449 --> 00:53:42.373]  People call it coincidence, but the coincidences ended a long time ago.
[00:53:42.473 --> 00:53:43.834]  There's something more than that.
[00:53:44.575 --> 00:53:54.162]  And so in the spring of last year, I started asking the question, what is this virus?
[00:53:54.802 --> 00:53:55.443]  Number one,
[00:53:57.216 --> 00:54:15.189]  I knew it wasn't natural because, as you will know, and I've certainly seen over 30 years, yes, there are naturally occurring events which what I call the global cult exploits or will exploit this to push the agenda on.
[00:54:15.990 --> 00:54:24.376]  But when you come across massive events with this enormous, almost limitless potential,
[00:54:25.163 --> 00:54:35.105]  To justify and advance your agenda very fast, Covid, then you know, first of all, that they're not natural.
[00:54:35.545 --> 00:54:41.446]  So, number two, they have to have been made to happen.
[00:54:41.866 --> 00:54:51.108]  Okay, now circulating around at that time was the, and still is in some areas, is that it came out of a biolab in Wuhan.
[00:54:52.196 --> 00:54:57.139]  And I looked at that and I was, you know, okay, I was kind of open and let's just look at the evidence.
[00:54:57.819 --> 00:55:07.384]  But what I didn't see was dead bodies that in any way reflected a bioweapon.
[00:55:07.865 --> 00:55:13.908]  Because as I said back a year ago, the bioweapon is not the virus, the bioweapon is going to be the vaccine.
[00:55:14.228 --> 00:55:17.810]  And that's exactly what we're now experiencing.
[00:55:18.562 --> 00:55:25.926]  So the body count did not reflect the idea that there was a bioweapon.
[00:55:26.186 --> 00:55:30.348]  And I see the bioweapon Wuhan lab is a diversion.
[00:55:30.828 --> 00:55:33.009]  It's what I call designer manipulation.
[00:55:33.089 --> 00:55:40.333]  You know that some people are not going to buy your it's all natural, so you have to give them a cul-de-sac to go into.
[00:55:41.814 --> 00:55:46.576]  And so the next question was, so what the heck is it?
[00:55:47.317 --> 00:55:48.137]  And then I started
[00:55:48.814 --> 00:55:52.476]  I was thinking, well, is there a virus?
[00:55:53.396 --> 00:55:56.017]  Or is this a total and utter scam?
[00:55:56.057 --> 00:55:57.017]  What did the Nazis say?
[00:55:57.057 --> 00:55:59.058]  The bigger the lie, the more we'll believe it.
[00:56:00.299 --> 00:56:12.564]  And what tends to happen in my life is I'll come to kind of a conclusion, like almost intuitively, and then information, names, dates, places, solid detail starts coming into my life.
[00:56:12.644 --> 00:56:14.905]  And so I received an email
[00:56:15.919 --> 00:56:43.110]  That was written by a medical scientist in America, this is about March, yeah late March, who was saying that the PCR test, he's not testing for the virus, he can't, of course the creator Kerry Mullis of the PCR test said that, and that this can be pulled off, this hoax, can be pulled off
[00:56:44.099 --> 00:56:45.680]  Through this test.
[00:56:46.301 --> 00:56:57.430]  And then I came across the work of Dr. Andrew Kaufman in America, who was questioning where is the evidence that this virus exists?
[00:56:57.530 --> 00:57:00.393]  And all these strands started to come together very early on.
[00:57:00.573 --> 00:57:05.417]  I did an interview in, I think it was April the 6th, in which I talked about all this.
[00:57:05.457 --> 00:57:06.318]  There was no virus.
[00:57:06.338 --> 00:57:08.940]  The PCR test is not testing for the virus and all the rest of it.
[00:57:09.200 --> 00:57:10.181]  And the death certificate.
[00:57:10.831 --> 00:57:17.792]  So if you break it down, there's three things, Alex, that have pulled off this entire scam.
[00:57:18.413 --> 00:57:24.794]  Because while these scams seem complicated in the way they play out, ooh, it's all so complex!
[00:57:25.934 --> 00:57:26.694]  How do they do this?
[00:57:27.054 --> 00:57:31.355]  Actually, you break it down, and every one of these scams is dead simple.
[00:57:31.495 --> 00:57:32.616]  So this is how it works.
[00:57:32.836 --> 00:57:39.197]  Number one, you have a test which does not test for the virus.
[00:57:39.972 --> 00:57:56.000]  And this is why this crook and criminal in Germany, Christian Drosten, came out with this protocol to test for the Covid virus in January and was, through the PCR test, that can't test for infectious disease,
[00:57:56.667 --> 00:58:05.310]  And the World Health Organization, big red flag, immediately recommended it to all the member countries, which is virtually every country.
[00:58:05.891 --> 00:58:11.813]  So number one, you're testing for a virus with a test, not testing for the virus.
[00:58:12.473 --> 00:58:17.655]  What it's testing for, what it's testing, the PCR test, is genetic material.
[00:58:20.036 --> 00:58:23.438]  Sure, you said that 14 months ago.
[00:58:23.498 --> 00:58:24.559]  It's all been proven right now.
[00:58:25.059 --> 00:58:26.921]  So again, I ask the question, we'll come back from break.
[00:58:28.482 --> 00:58:30.563]  They launched this giant fiasco.
[00:58:30.603 --> 00:58:31.804]  All the wheels are coming off.
[00:58:32.184 --> 00:58:34.065]  Senator Paul sounds like David Icke now.
[00:58:34.485 --> 00:58:36.106]  What are they going to do now?
[00:58:36.126 --> 00:58:38.588]  Because now Biden says, oh, a new one's coming.
[00:58:38.788 --> 00:58:39.969]  And so does Bill Gates.
[00:58:40.889 --> 00:58:43.591]  Before we expose the old fraud, they're going to hit us again.
[00:58:44.861 --> 00:58:48.426]  Yeah, but this is the point, and this is why what I'm saying here is so important.
[00:58:48.966 --> 00:58:52.231]  Because if there is no original virus, there are no variants.
[00:58:52.291 --> 00:58:56.617]  So they're lying about all of that, but they're going to use them for reasons we'll come to.
[00:58:57.017 --> 00:58:59.360]  So number one, you have a test not testing for the virus.
[00:58:59.380 --> 00:59:00.542]  That gives you fake cases.
[00:59:01.414 --> 00:59:13.861]  Number two, you redesignate things like flu and almost any other disease as a COVID death on a death certificate if people have tested positive with a test not testing for the virus.
[00:59:14.361 --> 00:59:19.044]  And the number three point in this scam is a symptomatic transmission.
[00:59:19.668 --> 00:59:28.457]  The idea of lockdown is to destroy the independent livelihoods of the world population so they become dependent on the state, thus under the control of the state.
[00:59:29.098 --> 00:59:40.350]  But you know because there's no virus and the test is not testing for the virus that you're going to get a hell of a lot of people testing positive that have no symptoms.
[00:59:41.131 --> 00:59:42.132]  And normally of course
[00:59:43.428 --> 00:59:44.429]  Nothing would happen to them.
[00:59:44.889 --> 00:59:49.612]  But you want total lockdown to destroy all livelihoods.
[00:59:49.692 --> 00:59:51.334]  So you've got to lock down.
[00:59:51.374 --> 00:59:52.034]  All right, stay there.
[00:59:52.074 --> 00:59:52.995]  I'll come right back with this.
[00:59:53.015 --> 00:59:53.695]  This is so important.
[00:59:54.316 --> 00:59:55.677]  David Icke joins us.
[00:59:55.697 --> 01:00:00.800]  He was just talking about when his mind blew 31 years ago on that trip to Peru when I was a child.
[01:00:01.380 --> 01:00:02.361]  And I think he was the same.
[01:00:02.381 --> 01:00:03.282]  A lot of us are the same.
[01:00:03.502 --> 01:00:04.242]  Most of us are.
[01:00:05.103 --> 01:00:08.045]  I mean, all of us have had our minds blown, but his really blew wide open.
[01:00:08.546 --> 01:00:11.288]  Mine's been more like a steady cascade of smaller explosions.
[01:00:11.768 --> 01:00:16.271]  But lately, it's been so many other people are really getting it, really coming together.
[01:00:16.291 --> 01:00:17.932]  I want to talk about that some with him.
[01:00:17.992 --> 01:00:22.516]  I hate having to go to break, but we would be the platform now that wasn't for hundreds of radio stations and TV stations.
[01:00:22.536 --> 01:00:25.838]  So, you know, we have the classic format of 14 minutes of ads, U.S.
[01:00:25.878 --> 01:00:27.639]  media standard here.
[01:00:28.160 --> 01:00:29.041]  But I hate interrupting.
[01:00:29.821 --> 01:00:44.572]  David Icke, David, you were getting into how you were able to predict it was a fraud, where it was going, but really the big question after you finish up, as you cut off by the break, is then what's coming next, David Icke, and how do we stop this takeover plan where they admit it's now never going to end, David Icke?
[01:00:45.993 --> 01:00:54.220]  Yeah, well, just finishing off that point, so the lockdowns are about destroying independent livelihoods, so people become dependent on the state.
[01:00:55.111 --> 01:00:58.954]  Guaranteed income, pittance, and you'll only get it if you do as you're told.
[01:00:59.034 --> 01:01:00.896]  This is the whole foundation of it.
[01:01:01.356 --> 01:01:14.307]  And to do that, they had to lock down people who had no symptoms of anything, and so they came out with the lie, the unbelievable lie, of a symptomatic transmission.
[01:01:14.927 --> 01:01:26.194]  And the other point, Alex, about why you have such a benefit of not having a real infectious agent is that if you did release a bioweapon,
[01:01:26.801 --> 01:01:29.062]  Well, you've lost control of who it affects.
[01:01:29.742 --> 01:01:47.787]  It can take out people that you don't want to take out, because although you have the inner core of this cult driving this thing, you have lots of people within the system who doesn't even know there's a cult or there's an agenda, who are essential to you playing that out and making it happen.
[01:01:47.827 --> 01:01:48.947]  You don't want to take them out.
[01:01:49.327 --> 01:01:54.549]  So what you've got with the fake virus, which is not a bioweapon,
[01:01:55.089 --> 01:01:55.249]  Yes.
[01:02:10.114 --> 01:02:10.394]  I think.
[01:02:26.425 --> 01:02:30.526]  And notice Big Tech is censoring thousands of prominent scientists, top people.
[01:02:30.786 --> 01:02:38.009]  What do you make of the former chief scientist at Pfizer coming out saying, the vaccine will kill you, it's a fraud, it's a takeover, it'll sterilize you, it'll kill your liver.
[01:02:38.029 --> 01:02:43.230]  I mean, like, it's like a, I'm actually proud of the real scientists are all speaking out, but they all get censored.
[01:02:44.571 --> 01:02:49.392]  Yeah, well, Dr. Michael Yeadon has crossed the line.
[01:02:50.613 --> 01:02:54.934]  He's crossed the line because he's used the dreaded word conspiracy.
[01:02:55.689 --> 01:03:07.115]  And you know, I keep hearing, you know, journalists who even those journalists that are questioning, you know, why we have incredibly long and continuous lockdown.
[01:03:08.219 --> 01:03:10.981]  And yet they say, oh, I don't believe in conspiracies.
[01:03:11.021 --> 01:03:17.364]  Well, mate, if you don't believe in conspiracies, you might as well go bloody home because it's a conspiracy.
[01:03:17.704 --> 01:03:21.486]  And if you don't understand that, you're never going to grasp what's going on.
[01:03:21.626 --> 01:03:23.267]  And Michael Yeaton clearly has.
[01:03:23.307 --> 01:03:24.187]  He's crossed that line.
[01:03:24.788 --> 01:03:37.394]  And what's great, Alex, you will see this as well, is we've reached a stage now of extremes in terms of the impact and the length of all this nonsense, where even people within the system
[01:03:38.478 --> 01:03:41.061]  Who was serving the system without realizing it.
[01:03:41.081 --> 01:03:42.523]  Oh, he even says, I totally believe in everything.
[01:03:42.543 --> 01:03:44.085]  But he goes, all the science is wrong.
[01:03:44.346 --> 01:03:45.547]  I've talked to hundreds of other scientists.
[01:03:45.567 --> 01:03:46.529]  They agree with me privately.
[01:03:46.869 --> 01:03:47.831]  It's all a lie.
[01:03:47.931 --> 01:03:49.232]  And the vaccine's killing people.
[01:03:49.252 --> 01:03:51.015]  He goes, this is depopulation.
[01:03:51.235 --> 01:03:53.178]  Because it's not just people making money.
[01:03:53.438 --> 01:03:55.161]  It's a huge organized rape.
[01:03:57.037 --> 01:03:59.579]  Yeah, that's the big diversion, you know.
[01:03:59.619 --> 01:04:05.163]  I've heard this over the years, that it's all about oil or it's all about money.
[01:04:05.243 --> 01:04:06.043]  No, it's not.
[01:04:06.544 --> 01:04:09.846]  No, it's about total control.
[01:04:10.407 --> 01:04:24.737]  And in the world that we live in, where money is the basic foundation of the structure that this culture has created, money and the accumulation of money and stopping other people having access to it,
[01:04:25.257 --> 01:04:27.959]  Is a massive means to control the population.
[01:04:28.260 --> 01:04:32.703]  So yeah, they're full of greed and they're, you know, full of everything evil.
[01:04:32.823 --> 01:04:38.167]  But the real reason for control of money is control of people.
[01:04:38.868 --> 01:04:48.595]  And so we are looking now at a situation actually, Alex, has happened this week, which is telling you where this is going.
[01:04:49.209 --> 01:04:55.854]  Because I've noticed, what I'm always looking for are patterns and connections.
[01:04:55.874 --> 01:04:58.996]  Sure, when they start putting out, they start pre-programming, you know what's coming.
[01:05:00.097 --> 01:05:18.791]  Yeah, so we had Boris Johnson, when he's not got his face in a beer bottle, he came out and said that, oh, it's not the vaccine that's made the cases fall, it's lockdown.
[01:05:19.798 --> 01:05:26.362]  And then this Rochelle Walensky at the CDC came out and basically said the same.
[01:05:26.682 --> 01:05:28.143]  Fauci's saying the same.
[01:05:28.503 --> 01:05:33.586]  Then Justin Trudeau, the Prime Minister of Canada, came out and said the same.
[01:05:33.686 --> 01:05:36.968]  Always, no, it's not the vaccine, it's the lockdown.
[01:05:36.988 --> 01:05:39.430]  Sure, it's like build back better.
[01:05:39.490 --> 01:05:40.610]  It's the new slogan.
[01:05:40.730 --> 01:05:41.831]  Oh, it wasn't the vaccine.
[01:05:41.871 --> 01:05:43.052]  Get the vaccine, it saves you.
[01:05:43.412 --> 01:05:45.133]  Oh no, now it's that we locked you down.
[01:05:45.153 --> 01:05:46.794]  Now you're locked in your house, that's why you're safe.
[01:05:47.094 --> 01:05:48.415]  Literally teaching us to be prisoners.
[01:05:49.520 --> 01:05:53.082]  Yeah, so we've had the Health Minister in Australia saying the same.
[01:05:53.122 --> 01:05:59.945]  So because this whole thing is a globally, centrally controlled operation, you see the same script all over the place.
[01:06:00.366 --> 01:06:01.526]  So what's going on?
[01:06:01.826 --> 01:06:05.588]  Well, I have this phrase, know the outcome and you'll see the journey.
[01:06:06.029 --> 01:06:09.931]  Know where they want to take us and then you'll see the stepping stones towards it every day.
[01:06:09.951 --> 01:06:13.272]  Once you know the outcome, you see the stepping stones.
[01:06:13.893 --> 01:06:18.395]  So what they want is lockdowns to continue.
[01:06:19.195 --> 01:06:23.097]  But they also want mass vaccination of this bioweapon.
[01:06:24.037 --> 01:06:40.864]  So what they did, and I said they would do this months before, when they started rolling out this vaccine in its various forms, they had been using high amplifications of the PCR test all the way through 2020 into 2021.
[01:06:41.264 --> 01:06:46.686]  And if you remember, it was Inauguration Day for Biden.
[01:06:47.918 --> 01:06:55.241]  That the World Health Organization came out and said, actually, maybe the amplifications are a bit high on the PCR test, right?
[01:06:55.641 --> 01:06:56.501]  So they dropped them.
[01:06:56.681 --> 01:07:04.484]  And as they dropped them, for reasons I talked about earlier, they lowered the amplification, they reduced the number of positives.
[01:07:04.504 --> 01:07:08.005]  Exactly, it's a technocracy and they even admit that they're doing it.
[01:07:09.606 --> 01:07:12.067]  So, through that early period,
[01:07:12.967 --> 01:07:22.033]  Although they couldn't genuinely connect the vaccine to the lowering of the cases, it was kind of in the narrative.
[01:07:22.313 --> 01:07:25.975]  All the vaccines working, oh yeah, get the vaccine, you know, it's not working.
[01:07:26.296 --> 01:07:37.363]  And it was lowering cases and transmission, we were told, when not even the bloody makers of it claim it will stop you getting it and stop transmission.
[01:07:37.763 --> 01:07:38.823]  But if you
[01:07:40.333 --> 01:07:54.523]  If you allow then, this is why what's happening now, if you allow that, oh yeah, take the vaccine and the cases drop, if you allow that to continue, then you're basically out the game in terms of future lockdowns.
[01:07:55.363 --> 01:07:57.865]  Because, well, okay, the vaccine sorted it.
[01:07:58.605 --> 01:08:05.150]  So once you've started to get millions and millions and millions vaccinating with this stuff, you can't
[01:08:06.218 --> 01:08:11.902]  Allow the vaccine to be seen as the end of it, because you don't want that to be the end of it.
[01:08:12.343 --> 01:08:17.046]  So suddenly you change the script and you say... Exactly, they keep flipping it.
[01:08:17.066 --> 01:08:17.727]  Stay right there.
[01:08:17.787 --> 01:08:20.549]  David Icke will tell us what's coming in the future like a crystal ball.
[01:08:20.589 --> 01:08:24.332]  The Oracle of the Isle of Man straight ahead.
[01:08:25.272 --> 01:08:26.633]  So I'm a big fan of David Icke.
[01:08:26.733 --> 01:08:31.037]  I listen to him almost every day and a lot of great insights.
[01:08:31.097 --> 01:08:32.518]  A good person, but just look at a picture of him.
[01:08:33.539 --> 01:08:38.406]  If you have any discernment, he's a good guy, a father, a human patriot.
[01:08:39.247 --> 01:08:40.729]  He supports freedom, empowerment.
[01:08:41.851 --> 01:08:43.032]  He looks like a good, decent person.
[01:08:43.773 --> 01:08:50.222]  You look at Stelter, or you look at Joe Biden, or you look at any of Pelosi or Boris Johnson,
[01:08:51.698 --> 01:08:52.178]  We're good to go.
[01:09:18.010 --> 01:09:30.660]  In service of the spider, because obviously they're slaves, obviously they're not happy people, obviously it's not going well for them, and you can see their systems falling apart, and everything they claim their system was, is a lie.
[01:09:30.720 --> 01:09:33.942]  So I also want to talk about the spider at the center of this web, David.
[01:09:34.143 --> 01:09:36.084]  Thanks for joining us.
[01:09:36.204 --> 01:09:38.186]  Okay, Matt, yeah, great to be with you.
[01:09:38.486 --> 01:09:44.731]  And I'll just project it forward a little bit from what I was saying up to this point.
[01:09:46.252 --> 01:10:00.619]  What they're doing at the moment is setting up lockdown as the response because they still have independent livelihoods and independent businesses to destroy yet.
[01:10:00.839 --> 01:10:04.681]  So they can't stop lockdown in their agenda.
[01:10:05.902 --> 01:10:10.124]  And this is why they're saying and doing what they're doing now.
[01:10:11.355 --> 01:10:23.485]  To say that when the cases go up again and the variants start happening, a variance of a virus that doesn't exist, that lockdown will be the response.
[01:10:24.245 --> 01:10:31.311]  And there's another area related to this, which is the vaccine passport, or the alleged vaccine passport.
[01:10:31.331 --> 01:10:33.393]  It's not really a vaccine at all.
