[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[00:36:45.720 --> 00:36:47.220]  This is very sophisticated.
[00:36:47.240 --> 00:36:48.481]  This is a military attack.
[00:36:49.501 --> 00:36:57.603]  And this bombshell CDC document has been put out describing how they're going to force relocate even healthy people into forced labor camps.
[00:36:58.595 --> 00:37:03.264]  Yes, that's the information, but here's a little boil down of exactly what we're facing.
[00:37:03.324 --> 00:37:05.929]  We'll be back in the next segment to lay it all out here today.
[00:37:07.472 --> 00:37:08.113]  Hey, did you know?
[00:37:09.740 --> 00:37:12.621]  95% of the hospitalizations in Israel are people vaccinated?
[00:37:12.641 --> 00:37:17.803]  Hey, did you know 99.9% of people hospitalized in Australia are injected?
[00:37:17.823 --> 00:37:19.464]  That's not a Delta variant.
[00:37:19.504 --> 00:37:21.804]  That's what they were injected with.
[00:37:21.904 --> 00:37:29.047]  141 people are in hospital with COVID at present and 43 are in intensive care, 18 of whom require ventilation.
[00:37:29.587 --> 00:37:31.188]  So this is a very serious disease.
[00:37:32.488 --> 00:37:44.671]  But there comes a time when you're dealing with a public health crisis that could involve you, your family, and everyone else, that something supersedes that need to do exactly what you want to do.
[00:38:03.064 --> 00:38:04.364]  Is being established.
[00:38:05.444 --> 00:38:06.945]  The chains are going on.
[00:38:08.165 --> 00:38:12.466]  Lockdown 2 is being incrementally activated.
[00:38:13.046 --> 00:38:19.527]  But this information now in front of us is 100% documented, completely clear and is very paradoxical.
[00:38:20.667 --> 00:38:26.848]  Very paradoxical because it is actually the National Health Services that are reporting the data.
[00:38:28.089 --> 00:38:30.109]  And then it's completely being ignored by the media.
[00:38:31.195 --> 00:38:32.881]  And they continue to move forward with it.
[00:38:32.901 --> 00:38:33.965]  And what am I talking about?
[00:38:34.005 --> 00:38:35.911]  It's just dumb founding.
[00:38:36.837 --> 00:38:41.879]  Remember Israel three weeks ago said, we're getting new breakthrough cases in people that are vaccinated.
[00:38:41.899 --> 00:38:47.601]  Then they said, yeah, the majority of people that are really sick have had the inoculation.
[00:38:48.441 --> 00:38:51.742]  And then other countries reported the same thing all over the world, same numbers.
[00:38:52.102 --> 00:38:54.083]  Now remember what did Fauci say three weeks ago?
[00:38:54.103 --> 00:39:00.445]  100% or 99% of the people sick or dying didn't have the shot.
[00:39:00.765 --> 00:39:02.226]  And you just heard that lie.
[00:39:02.606 --> 00:39:04.407]  And Congress said, where's the numbers on that?
[00:39:04.707 --> 00:39:05.247]  You don't get
[00:39:08.188 --> 00:39:10.490]  Put your mask back on, take your shot!
[00:39:10.510 --> 00:39:22.319]  It's like, Chuckie, I got my shot, I got my shot for you-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z-z
[00:39:32.694 --> 00:39:36.057]  We're going to see, and I've said, almost two types of America.
[00:39:36.698 --> 00:39:52.213]  You know, those regions of America which are highly vaccinated, and we have a low level of dynamics of infection, and in some places, some states, some cities, some areas, where the level of vaccination is low and the level of virus dissemination is high.
[00:39:52.593 --> 00:39:54.015]  That's where you're going to see the spikes.
[00:39:54.455 --> 00:39:56.036]  Oh, you're very sick now.
[00:39:56.497 --> 00:40:01.301]  Let me go back to my laboratory where we torture dogs to death, or babies.
[00:40:01.801 --> 00:40:07.626]  Okay, now yesterday we keep babies alive, Fauci does, while we get the organs.
[00:40:12.220 --> 00:40:16.862]  If Dr. Anthony Fauci thought Rand Paul was mad at him, wait until the animal activists see this.
[00:40:17.422 --> 00:40:26.786]  A new report shows that under Fauci's direction, the National Institute of Allergies and Infectious Disease funded painful and deadly experiments on dogs to the tune of more than $400,000.
[00:40:28.887 --> 00:40:37.771]  According to the White Coat Waste Project, researchers used biting flies to infect dozens of healthy beagles with parasites to test an experimental drug.
[00:40:38.391 --> 00:40:43.374]  Records show the dogs endured months of pain, and once researchers were done with them, they were killed.
[00:40:43.394 --> 00:40:46.036]  I've got more for you!
[00:40:46.576 --> 00:40:49.498]  I love my laboratories where we torture beagles to death, though.
[00:40:51.539 --> 00:40:56.642]  But we sit here and go, oh, oh, it's, it's the Delta variant.
[00:40:57.062 --> 00:40:57.923]  Oh, yes.
[00:40:58.923 --> 00:41:02.665]  So then the Delta variant only attacks those that are inoculated, right?
[00:41:02.726 --> 00:41:04.747]  No, it's the vaccine doing it.
[00:41:05.851 --> 00:41:08.235]  That's not even two plus two equals four, ladies and gentlemen.
[00:41:09.016 --> 00:41:12.361]  A lobotomized three-year-old could understand that.
[00:41:13.663 --> 00:41:16.448]  We are now into our number two.
[00:41:17.730 --> 00:41:19.292]  Thank you so much for joining us today.
[00:41:20.916 --> 00:41:22.997]  We've known what's unfolded across the world.
[00:41:23.037 --> 00:41:25.098]  We've seen martial law declared under U.N.
[00:41:25.178 --> 00:41:25.678]  auspices.
[00:41:26.359 --> 00:41:30.501]  We've seen treatments for regular viral infections suppressed to jack up death tolls.
[00:41:30.561 --> 00:41:39.065]  We've been locked away, not able to see our elderly families in nursing homes on a planetary scale, seeing record levels of them killed via lack of care.
[00:41:39.825 --> 00:41:42.026]  We've seen our borders wide open during all this.
[00:41:42.046 --> 00:41:48.149]  Now we see the so-called vaccines killing massive numbers of people, and then they tell those that have taken it, sorry, it doesn't protect you.
[00:41:48.489 --> 00:41:49.890]  You still lose your rights as well.
[00:41:51.803 --> 00:41:54.005]  So always, give up your rights, you'll get freedom back.
[00:41:54.025 --> 00:41:58.768]  Oops, sorry, give up more rights, you'll get your freedom back, when that's an oxymoron.
[00:41:59.208 --> 00:42:05.012]  Those who will give up liberty or security deserve and will get neither, as Benjamin Franklin said.
[00:42:06.013 --> 00:42:10.216]  And so I spent most of the first hour on this report.
[00:42:11.717 --> 00:42:17.221]  CDC COVID document discusses relocating high-risk individuals to camps.
[00:42:17.541 --> 00:42:20.223]  And that's an important headline from Paul, but it doesn't even go there.
[00:42:22.296 --> 00:42:23.096]  It's not strong enough.
[00:42:23.156 --> 00:42:25.357]  Paul's hosting the 4th Hour, they'll do a splendid job.
[00:42:26.458 --> 00:42:41.045]  It says it's an official battle plan, and it talks about taking healthy people and putting them in forced labor camps, and then giving the at-risk homeless and others nicer areas in the camp.
[00:42:43.274 --> 00:42:56.707]  And how those that are allowed to keep their homes will have to have environmental core people, along with COVID individuals, the COVID core, in your house, bringing other families in that live with you.
[00:42:57.007 --> 00:43:07.857]  I mean, the same stuff you saw with the open borders in Europe, and bringing in the tens of millions of Muslims, and kicking people out of their hotels and putting the Muslims in, and telling the hotels you got to pay for it.
[00:43:10.401 --> 00:43:16.525]  This is economic war using migrants, using economic shutdown, using the fear of the virus.
[00:43:18.346 --> 00:43:36.999]  And now the Pentagon says, we're going to start in September 15th, a little more than a month out, forcibly inoculating with an experimental shot the US military, despite the fact that there's laws against it, and they've been reprimanded and had to stop it in 2000.
[00:43:39.268 --> 00:43:43.290]  And in 1990-1991 with the anthrax shots.
[00:43:43.390 --> 00:43:44.570]  Pentagon pulls trigger.
[00:43:45.311 --> 00:43:50.693]  We'll order all troops to get COVID vaccines by September 15th under threat of court-martial.
[00:43:51.053 --> 00:43:51.914]  And they want to trick you.
[00:43:53.894 --> 00:44:00.117]  If you do it verbally and refuse that order to that person, you can be court-martialed.
[00:44:00.697 --> 00:44:04.259]  But if you do it up to the chain of command with written letters, it's got to be done properly.
[00:44:05.421 --> 00:44:15.604]  Then you will be in a key case to overturn this next attempt at biological rape with this dangerous shot, which again, they admit, doesn't protect you and lowers your immune system.
[00:44:17.704 --> 00:44:21.065]  This is all Tuskegee Experiment 2.0, but on a mass scale.
[00:44:21.085 --> 00:44:24.926]  And I'm going to talk more about that coming up in a few minutes.
[00:44:25.646 --> 00:44:27.227]  Here's an article out of the Military Times.
[00:44:27.287 --> 00:44:29.507]  Troops refused anthrax shot paid a high price.
[00:44:29.567 --> 00:44:29.807]  Really?
[00:44:30.408 --> 00:44:31.628]  Do they get to keep their lives, though?
[00:44:33.442 --> 00:44:40.670]  In a narrow decision, court holds dishonorably discharged veterans may be denied gun and bullet ownership.
[00:44:40.730 --> 00:44:43.794]  See, that's the plan, to dishonorably discharge you.
[00:44:44.374 --> 00:44:45.776]  We're going to be laying all that out.
[00:44:45.796 --> 00:44:50.501]  But first, because now I didn't even know this, I said,
[00:44:51.601 --> 00:45:09.835]  First hour, I said, the plan will then be on top of this COVID Corps, there'll be several million people that come to your house and control your life, and then literally set up checkpoints all over the highways, the roads, cordoned off every neighborhood, every town, everywhere will be cordoned off with these new federal individuals who are just social workers with guns.
[00:45:09.855 --> 00:45:14.819]  So they're not gonna get rid of the police, they're gonna shift them over to be the force of these guys.
[00:45:16.200 --> 00:45:19.643]  And in this document, it just describes it all, it's so hellish.
[00:45:21.974 --> 00:45:27.397]  So what you see happening over in Australia is what they're now beta testing to bring here, and it's now coming here.
[00:45:27.797 --> 00:45:38.083]  And it's all going to be for the midterm elections, and they're going to turn on Black Lives Matter and Antifa rioting again, and anybody that protests against more lockdowns, Antifa's going to come shoot you and attack you.
[00:45:38.423 --> 00:45:40.024]  They're the brown shirt foot soldiers.
[00:45:42.025 --> 00:45:50.030]  So the communist model's being used by megabanks, and they're going to make a serious run at this country.
[00:45:51.428 --> 00:46:00.814]  And they describe how they're going to put the Environmental Corps and how they're going to put the Climate Corps and the COVID Corps in your houses.
[00:46:02.154 --> 00:46:02.635]  And that's what they do.
[00:46:02.655 --> 00:46:05.736]  They just move in, set up tents, and then the military is at your house.
[00:46:06.577 --> 00:46:07.437]  Like, well, that'll never happen.
[00:46:07.457 --> 00:46:09.218]  Well, I made a whole film called Police State 4.
[00:46:12.034 --> 00:46:19.219]  After Katrina, showing General Honore lock down two states, confiscate guns in five cities, move into people's houses.
[00:46:20.019 --> 00:46:36.550]  And now they've announced, they're announcing the new civilian corps to battle climate change, and they are going to be moved, I've got all the articles right here, under the stimulus package that just passed today, billions of dollars per city, millions per small town, to move
[00:46:37.608 --> 00:46:41.704]  COVID and environmental corps into your town!
[00:46:46.206 --> 00:46:56.515]  Who will then spy on you, watch you, have control of the police, have control of the feds, and then they'll have the voting block and the machines to make sure they then take your town over.
[00:46:56.935 --> 00:46:59.137]  So now, you think they've just taken the blue cities?
[00:46:59.457 --> 00:47:00.678]  They've just taken the blue states?
[00:47:00.979 --> 00:47:11.047]  Now they're expanding with their invasion forces, and all the major universities are suing the police, and suing publishers, and suing radio broadcasters.
[00:47:11.067 --> 00:47:12.729]  I mean, I have Georgetown.
[00:47:15.572 --> 00:47:23.618]  With elements of the CIA connected groups literally suing me in Virginia and their goal is to quote bankrupt us and shut us down.
[00:47:26.700 --> 00:47:29.362]  All because we sent reporters and covered.
[00:47:31.857 --> 00:47:32.818]  That whole thing in Virginia.
[00:47:33.779 --> 00:47:36.241]  And they lie about us in the lawsuit and say we said things we didn't even say?
[00:47:36.601 --> 00:47:37.202]  They don't care.
[00:47:37.582 --> 00:47:40.885]  So it's all the institutions, with all the banker money, waging war.
[00:47:40.945 --> 00:47:52.115]  The ruling class, the big banks, Hollywood, the EU, the Fortune 100, big tech just... You're gonna take shots, military, that are experimental.
[00:47:52.295 --> 00:47:53.496]  You're gonna move people in your house.
[00:47:53.736 --> 00:47:55.097]  We're gonna open the borders up.
[00:47:55.337 --> 00:47:55.698]  We're gonna...
[00:47:57.073 --> 00:47:57.613]  We're going to do it all.
[00:47:57.653 --> 00:47:58.814]  So let me show you what's coming.
[00:47:58.834 --> 00:48:00.615]  At least in Australia, they speak out against it.
[00:48:00.636 --> 00:48:04.378]  Imagine you pull into a small town to get groceries and aggressive police run up.
[00:48:05.959 --> 00:48:09.942]  I want to scan your phone to make sure you're not more than three miles away from your house.
[00:48:10.162 --> 00:48:10.923]  You're going to be arrested.
[00:48:12.484 --> 00:48:20.049]  Let me just show you hours of just arrogant, angry police, just like piranhas or like wolves attacking a sheep, just attacking people physically.
[00:48:22.151 --> 00:48:22.491]  Here it is.
[00:48:24.701 --> 00:48:26.082]  Look at this beautiful city of Fairfield.
[00:48:26.563 --> 00:48:27.904]  Multicultural hub of Sydney.
[00:48:28.185 --> 00:48:32.449]  It's crawling with military again.
[00:48:32.489 --> 00:48:34.952]  The military of Australia.
[00:48:35.012 --> 00:48:36.153]  We've got troops walking around.
[00:48:36.173 --> 00:48:42.500]  Way back at work.
[00:48:42.800 --> 00:48:44.122]  Send the constable Baywoods.
[00:48:51.778 --> 00:48:53.098]  Stop by the police for your radio listener.
[00:48:53.599 --> 00:48:54.819]  For not wearing a mask in his car.
[00:48:56.899 --> 00:48:57.199]  All good?
[00:48:57.820 --> 00:48:58.340]  Not yet, mate.
[00:48:58.820 --> 00:49:03.341]  Before when you pulled over, I know we would ask if you, before you pulled over to put your mask on.
[00:49:03.381 --> 00:49:04.101]  I said I don't need to.
[00:49:04.121 --> 00:49:08.783]  You said you had a medical exemption but then you didn't speak to us any further and you drove off, mate.
[00:49:08.903 --> 00:49:11.623]  I wasn't detained, was I?
[00:49:12.064 --> 00:49:12.704]  Was I detained?
[00:49:13.144 --> 00:49:13.284]  Huh?
[00:49:13.444 --> 00:49:14.184]  I wasn't detaining you.
[00:49:14.284 --> 00:49:16.245]  Well I drove off because I wasn't detained.
[00:49:16.265 --> 00:49:17.545]  I was asking if you had a medical exemption.
[00:49:17.565 --> 00:49:18.465]  So now you're detaining me.
[00:49:18.485 --> 00:49:20.766]  So now you need to show me your medical exemption, okay?
[00:49:22.554 --> 00:49:23.235]  Knock yourself out.
[00:49:23.455 --> 00:49:23.815]  Thank you.
[00:49:25.236 --> 00:49:26.037]  For not wearing a mask.
[00:49:26.057 --> 00:49:27.559]  I think the cops have their own game.
[00:49:31.222 --> 00:49:32.183]  This is medical tyranny.
[00:49:32.643 --> 00:49:33.584]  You're a dirty human.
[00:49:33.604 --> 00:49:34.405]  Look at these cops.
[00:49:34.425 --> 00:49:37.307]  You can't drive in your car through the checkpoint without your mask.
[00:49:37.828 --> 00:49:39.129]  Cover your face, dirtbag!
[00:49:39.149 --> 00:49:42.072]  I don't want to see your filthy piehole.
[00:49:45.677 --> 00:49:48.080]  Welcome to the police state.
[00:49:48.180 --> 00:49:49.902]  I think you're playing games.
[00:49:50.122 --> 00:49:52.044]  I think you're wasting police resources.
[00:49:52.104 --> 00:49:53.626]  You're wasting police resources.
[00:49:53.706 --> 00:49:55.188]  Mate, you're inciting.
[00:49:55.308 --> 00:49:57.610]  There you go, that's how you win.
[00:49:58.551 --> 00:50:01.054]  That's how you win, ladies and gentlemen.
[00:50:08.042 --> 00:50:15.528]  I mean, just third world slimy, North Korea slimy, and they hold up their little phones and they scan them so they can drink coffee in an outdoor cafe.
[00:50:16.309 --> 00:50:17.710]  Oh, but remember, it was never coming.
[00:50:17.750 --> 00:50:18.491]  It was never going to happen.
[00:50:18.511 --> 00:50:19.692]  It was in all the battle plans.
[00:50:19.992 --> 00:50:20.472]  It was all there.
[00:50:20.512 --> 00:50:21.413]  I told you a year ago.
[00:50:21.793 --> 00:50:22.334]  Now it's here.
[00:50:22.754 --> 00:50:25.136]  Now they're going to do it here this year and next year.
[00:50:25.696 --> 00:50:26.037]  Everything.
[00:50:26.097 --> 00:50:27.178]  It's all an official plan.
[00:50:27.738 --> 00:50:31.081]  It's not in a COVID document discussing it.
[00:50:31.241 --> 00:50:32.302]  It's a battle plan.
[00:50:33.581 --> 00:50:43.003]  And we're just going to sit here and watch these terrorists do this by declaring us terrorists because of what's in our bodies, saying we're all dirty and bad, when most of these leftists are pedophiles.
[00:50:43.663 --> 00:50:45.283]  And they can't wait to get your children.
[00:50:45.483 --> 00:50:48.404]  They talk about they're going to take your children from you, and they're going to be yours.
[00:50:48.684 --> 00:50:49.484]  Now, yes.
[00:50:50.244 --> 00:50:51.645]  All right, let's jump straight into it.
[00:50:51.865 --> 00:51:00.567]  I got a lot of clips and a lot of news to get to ahead of Ashley Babbitt's very articulate, informative, and it's very sad to hear him speak, husband.
[00:51:01.267 --> 00:51:02.247]  I saw him on with
[00:51:04.275 --> 00:51:19.581]  One of the guest hosts Sunday night, after I did my show four to six, they had a guest host on and she had him on and I sat in my office watching it for 30 minutes and actually got a tear in my eye because just the humanity of this guy and the theme of what they did to her and then how they demonized her.
[00:51:19.601 --> 00:51:23.762]  And now Shapiro basically said she deserved to die.
[00:51:23.782 --> 00:51:26.243]  It's just so disgusting.
[00:51:27.004 --> 00:51:27.704]  So that's coming up.
[00:51:29.540 --> 00:51:35.383]  The strength of what the Globalist is doing is that it's so over-the-top, so evil, that people can't believe it's happening.
[00:51:35.443 --> 00:51:35.683]  And it also
[00:51:57.944 --> 00:52:08.350]  Operates covertly while also being out in the open in that they name everything different from what they're actually doing.
[00:52:10.231 --> 00:52:17.775]  But what they're doing will create poverty and enslavement and really sabotage of society where it doesn't work.
[00:52:19.016 --> 00:52:21.237]  And that's being done to create a post-industrial world.
[00:52:21.537 --> 00:52:25.079]  So this looks destructive and destroying property and destroying wealth.
[00:52:25.699 --> 00:52:26.540]  It's designed to.
[00:52:28.496 --> 00:52:31.217]  And that's what Klaus Schwab and Bill Gates and them talk about.
[00:52:31.317 --> 00:52:33.398]  So, this is what's happening.
[00:52:33.418 --> 00:52:34.598]  100% there's no debating it.
[00:52:35.378 --> 00:52:37.979]  And in their intellectual circles, that's what they're doing.
[00:52:37.999 --> 00:52:41.980]  They've made the decision to play the part of the destructor in nature.
[00:52:42.321 --> 00:52:45.962]  They claim to create a survival of the fittest paradigm to save the earth.
[00:52:47.542 --> 00:52:53.184]  But they themselves are extremely degenerate and very satanic and extremely predatory.
[00:52:53.524 --> 00:52:55.365]  But they've self-appointed themselves
[00:52:57.065 --> 00:52:59.647]  Guardians of the Earth, when really they're the ones destroying it.
[00:53:01.949 --> 00:53:12.957]  And so, you look at the public, and you see how dumbed down they are, and you see them buying into some of this, or you see them too lazy to stand up, and you gotta understand, they're in a trance.
[00:53:13.037 --> 00:53:15.799]  They've been raised to be followers from birth.
[00:53:16.179 --> 00:53:17.100]  They're not leaders.
[00:53:17.200 --> 00:53:23.425]  It's up to those of us that are aware and have a connection to God, and understand what's really going on,
[00:53:24.571 --> 00:53:25.231]  To be leaders.
[00:53:25.452 --> 00:53:28.894]  And I saw that in the video yesterday by Senator Paul.
[00:53:29.714 --> 00:53:36.979]  It's 50% of where we need to go, compared to other people that are going 10% of where we need to go.
[00:53:38.861 --> 00:53:48.327]  And if he just calls out Klaus Schwab and says this is all a power grab and a criminal agenda, just like he called out the Wuhan lab, it's true and it will devastate the enemy.
[00:53:52.170 --> 00:53:52.710]  It's that simple.
[00:53:55.598 --> 00:54:11.991]  And people have to understand, just from a laziness factor, if they successfully implode the economy and turn us into a third world war zone, which is already happening all over the planet, our lives are going to be living hells very, very soon.
[00:54:14.713 --> 00:54:17.536]  And so, this is about survival.
[00:54:18.456 --> 00:54:22.620]  You can intellectually debate, are there too many people, and this or that, but for 99% of us,
[00:54:24.565 --> 00:54:25.586]  99.9%.
[00:54:24.585 --> 00:54:25.586]  It's not the 1% has 80% of the wealth.
[00:54:25.606 --> 00:54:29.289]  It's one-tenth of one-tenth of a percent that has like 70%.
[00:54:29.329 --> 00:54:29.689]  Hell, if you got $200,000...
[00:54:39.421 --> 00:54:40.742]  You know, a year that you're paid, you're in the 1%.
[00:54:41.222 --> 00:54:42.423]  That's not who runs things.
[00:54:43.183 --> 00:55:02.453]  It's the globalists that control trillions, and they are at war with us, and they admit they're at war with us, and they're totally insulated on their private Fiji Islands, and their Hawaiian Islands, and in Tasmanian Island, and in all these places.
[00:55:04.104 --> 00:55:14.872]  While they do this to us, and now they've locked all those islands down they control, and they're gonna try to sit it out while they collapse us and basically kill us.
[00:55:17.413 --> 00:55:20.476]  And I guess the argument is, well, what are all these extra people doing?
[00:55:22.197 --> 00:55:26.920]  Go ahead and let them have a shot that doesn't protect them and grows prions in them so they'll slowly die.
[00:55:28.461 --> 00:55:32.004]  And then the hospitals owned by the globalists will suck all the money out of them while they die.
[00:55:35.011 --> 00:55:39.653]  But to see the magnitude of this premeditated evil is just stunning.
[00:55:40.033 --> 00:55:55.620]  And to show the UN running around, showing fires, and showing earthquakes, and showing locusts, and saying, it's the end of the world!
[00:55:55.680 --> 00:55:56.821]  Give us full power!
[00:55:56.881 --> 00:55:58.261]  Let the robots take over!
[00:55:58.281 --> 00:56:01.843]  It's nothing but a power grab.
[00:56:02.697 --> 00:56:09.201]  And people need to have solidarity and realize that, and come together and realize it's the globalists that dump all their toxic waste in the third world.
[00:56:09.421 --> 00:56:11.062]  It's the globalists that suppress the third world.
[00:56:11.302 --> 00:56:12.963]  You know, let's roll that video with audio.
[00:56:13.003 --> 00:56:14.184]  You guys are just rolling in a moment.
[00:56:15.745 --> 00:56:28.072]  The people at the French cafes outside trying to drink espresso, and the military and the police, and then in other videos it shows just bureaucrat minders come over and start scanning their phones, and the police
[00:56:29.224 --> 00:56:30.204]  Take their phone.
[00:56:31.045 --> 00:56:33.726]  Without gloves, the dirtiest thing somebody's got is their phone.
[00:56:35.186 --> 00:56:37.347]  Something like 99% of them have feces on them.
[00:56:37.627 --> 00:56:38.607]  The most bacteria.
[00:56:38.787 --> 00:56:40.128]  It's as dirty as somebody's mouth.
[00:56:40.428 --> 00:56:43.409]  You might as well just be kissing somebody's ass or their mouth.
[00:56:43.929 --> 00:56:46.750]  You might as well just bend that woman over and stick your face right up there.
[00:56:46.770 --> 00:56:47.250]  I'm serious.
[00:56:48.611 --> 00:56:49.591]  But it's all theater.
[00:56:49.611 --> 00:56:50.171]  It's all crap.
[00:56:50.331 --> 00:56:54.473]  Here's the cop grabbing the phone to scan it and see if she's allowed to be out.
[00:56:54.693 --> 00:56:57.354]  And she subserviently looks up like, I'm good.
[00:56:57.394 --> 00:56:58.354]  I took my shots.
[00:56:59.650 --> 00:57:02.012]  And now they're like, that's not good enough, more shots, more.
[00:57:02.832 --> 00:57:08.357]  Most of the people in the hospital now in Israel, almost everyone that took the booster is now sick with COVID.
[00:57:08.837 --> 00:57:10.238]  It's not COVID, it's the shot.
[00:57:10.458 --> 00:57:14.521]  How many shots will you take each time you get sicker when the literature shows that?
[00:57:14.761 --> 00:57:22.307]  But it's all an exercise in absurdity because people won't admit under mass Stockholm syndrome that they're under attack.
[00:57:23.988 --> 00:57:24.949]  So here's the French video.
[00:57:25.289 --> 00:57:25.970]  There's a bunch of it.
[00:57:25.990 --> 00:57:27.451]  Go ahead and roll it.
[00:57:31.404 --> 00:57:33.127]  We're good to go.
[00:57:52.498 --> 00:57:54.079]  And this isn't going to be about you getting travel.
[00:57:54.159 --> 00:57:58.904]  Now they're going to tell you for carbon reasons you're not authorized to travel unless your phone says so.
[00:57:59.064 --> 00:58:01.066]  And they admit that's where this is all designed to do.
[00:58:01.126 --> 00:58:01.947]  It's now been announced.
[00:58:05.150 --> 00:58:12.297]  I was saying soon, the first hour, they will announce that you've got to have this for your carbon ratio, and then I didn't know it had already been announced.
[00:58:13.078 --> 00:58:14.780]  When the crew found articles.
[00:58:18.268 --> 00:58:21.430]  So, remember, the borders are open on Europe.
[00:58:21.450 --> 00:58:22.530]  They're being totally flooded.
[00:58:22.870 --> 00:58:25.171]  No-go zones everywhere, just like here in the U.S.
[00:58:26.512 --> 00:58:31.134]  But there are the French compliant showing this to be able to go to a restaurant.
[00:58:33.015 --> 00:58:33.836]  Didn't think it would happen?
[00:58:33.876 --> 00:58:34.176]  It's here.
[00:58:35.273 --> 00:58:39.536]  And then once that gets put in place, then they have new shutdowns.
[00:58:39.756 --> 00:58:41.138]  Say your business is not essential.
[00:58:41.618 --> 00:58:43.279]  It goes bankrupt, but it's okay.
[00:58:43.759 --> 00:58:49.264]  They're going to give you money, but there won't be as many people growing crops or fixing cars.
[00:58:50.879 --> 00:58:52.380]  I know all these people that own RVs.
[00:58:52.420 --> 00:58:53.060]  Nobody can fix them.
[00:58:53.080 --> 00:58:53.660]  Nobody comes to work.
[00:58:53.940 --> 00:58:55.161]  Nobody can get their jet ski fixed.
[00:58:55.201 --> 00:58:56.301]  Nobody can get their tractor fixed.
[00:58:56.761 --> 00:58:58.022]  Nobody can get a plumber out to their house.
[00:58:58.042 --> 00:58:59.062]  Nobody can get their house roofed.
[00:58:59.583 --> 00:59:00.723]  It's the breakdown by design.
[00:59:00.943 --> 00:59:05.885]  And then once the resources plunge, oh, we're forming the environmental work co-ops!
[00:59:07.846 --> 00:59:11.387]  Where you're gonna go work in work brigades.
[00:59:12.308 --> 00:59:19.851]  Or you're a lovely young lady, you can come up to the local commandant's office and you can serve us drinks at the officer's club.
[00:59:21.158 --> 00:59:26.459]  And then the only person in your family raising money will be your daughter, who'll be a prostitute now for the military.
[00:59:27.639 --> 00:59:29.040]  Yep, that's how it works.
[00:59:30.320 --> 00:59:33.881]  All right, so, it's an endless lockdown.
[00:59:35.321 --> 00:59:37.521]  It's world government, it's world IDs.
[00:59:39.582 --> 00:59:45.623]  It'll be the basis of a global carbon tax that tracks you in lifetime, and taxes everywhere you go, everything you do.
[00:59:47.503 --> 00:59:51.526]  And that only allows you to travel or move when it says you are allowed to.
[00:59:53.247 --> 00:59:58.430]  So they're skipping right ahead to the technocracy, right ahead to the end game of the whole program.
[00:59:59.891 --> 01:00:03.673]  And there has been a very powerful video that's gone viral.
[01:00:03.713 --> 01:00:05.534]  I got sent this probably 30 times yesterday.
[01:00:05.554 --> 01:00:07.255]  I meant to get to it, didn't get to it.
[01:00:07.295 --> 01:00:08.976]  I want to air it now here on the Alex Jones Show.
[01:00:09.717 --> 01:00:14.220]  From Mount Vernon school board meeting, Dr. Dan Stock,
[01:00:15.248 --> 01:00:29.641]  of McCordsville, Indiana, recently appeared at the Mount Vernon School Board meeting as a medical doctor to educate members of the School Board on the science behind COVID-19 vaccines and masks.
[01:00:30.582 --> 01:00:31.963]  And this video needs to go viral.
[01:00:32.023 --> 01:00:36.167]  It's posted at InfoWars.com and Band.Video, but here it is.
[01:00:37.722 --> 01:00:41.324]  Dr. Dan Stock, 5777 West Seminole North, McCordsville, Indiana.
[01:00:42.885 --> 01:00:56.253]  To address your comment about, gee, it's hard to believe we're 18 months into this and still having a problem, and I would suggest the reason we still have a problem is because we're doing things that are not useful, and we're getting our sources of information from the Interstate Board of Health and the CDC, who actually don't bother to read science before they do this.
[01:00:57.114 --> 01:00:58.975]  I'm actually a functional family medicine physician.
[01:00:59.015 --> 01:01:02.277]  That means I am specially trained in immunology and inflammation regulation.
[01:01:03.177 --> 01:01:07.781]  And everything being recommended by the CDC and the State Board of Health is actually contrary to all the rules of science.
[01:01:08.862 --> 01:01:15.567]  So things you should know about coronavirus and all other respiratory viruses, they are spread by aerosol particles, which are small enough to go through every mask.
[01:01:15.647 --> 01:01:19.090]  By the way, the literature that supports all of that is in a flash drive that we presented to you.
[01:01:19.130 --> 01:01:20.271]  It's been given to the Secretary.
[01:01:21.070 --> 01:01:32.233]  As a matter of fact, it quotes at least three studies sponsored by the NIH to that exact fact, even though the CDC and the NIH have chosen to ignore the very science that they paid to have done.
[01:01:33.674 --> 01:01:37.235]  That is why you keep struggling with this, is because you cannot make these viruses go away.
[01:01:37.255 --> 01:01:50.339]  The natural history of all respiratory viruses is that they circulate all year long, waiting for the immune system to get sick through the winter or become deranged, as has happened recently with these vaccines, and then they cause symptomatic disease.
[01:01:51.079 --> 01:01:57.800]  Because they cannot be filtered out, and they have animal reservoirs, and this is a very important point, no one can make this virus go away.
