[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[00:37:31.904 --> 00:37:39.445]  But since Brandon Darby cannot join us, we are opening the phones in the third hour for first-time callers.
[00:37:39.465 --> 00:37:42.746]  I'm gonna give the number out in a few minutes.
[00:37:44.667 --> 00:38:10.744]   For first-time callers, specifically, On the Wuhan lab, Fauci's plan to release live COVID-19, describes the exact virus, into bat populations to spread it to the general population and even using nano glass particles to pierce the skin and then deliver the artificial virus into the body.
[00:38:12.540 --> 00:38:14.722]  And then thousands of other viruses they talk about.
[00:38:14.902 --> 00:38:18.464]  Hundreds of coronaviruses alone that are even more lethal, up to 10,000 times.
[00:38:18.504 --> 00:38:20.546]  I'm sorry, my brain dials things back.
[00:38:20.626 --> 00:38:22.587]  I was saying yesterday, 100 times stronger.
[00:38:23.008 --> 00:38:24.989]  I'm sorry, I had the document I showed you two segments ago.
[00:38:25.310 --> 00:38:28.112]  It says 10,000 times stronger.
[00:38:28.812 --> 00:38:29.833]  I don't know if that's true.
[00:38:30.193 --> 00:38:31.114]  That's what they said they had.
[00:38:34.153 --> 00:39:10.402]   I guess you know the original COVID had a one-tenth to one percent rate of death or less than I guess a hundred ten thousand times stronger would be a lot more deadly but I mean again it was meant to kill debilitated old people then it mutated that's what the FDA said on Saturday I've been telling you that for a year but maybe I'm wrong because a lot of people I talked to who are dialed in and the Pentagon I've been telling me for six months or more, no, it's actually last year, it's over a year now, but now they've told me, no, it is a synthetic protein crystal that replicates, but only has a certain half-life, like a neutron bomb, where it only races through three or four people and it stops.
[00:39:10.902 --> 00:39:12.663]  It's not classically communicable.
[00:39:13.184 --> 00:39:14.244]  It's totally programmed.
[00:39:14.865 --> 00:39:18.447]  And then that's why you see such high death rates and you can't breathe and it hurts so bad.
[00:39:18.867 --> 00:39:20.028]  Then you go get intubated.
[00:39:21.449 --> 00:39:23.550]  And you die, because that actually helps kill you.
[00:39:23.871 --> 00:39:30.056]  What you need is oral steroids, inhalable steroids, and ivermectin to stop the crystal replication.
[00:39:31.397 --> 00:39:37.422]  And so, that's why they're battling, because they're hitting us with a chemical attack, but it replicates.
[00:39:37.482 --> 00:39:44.328]  It's a simulation, a life simulating nanotech, which they now admit they created.
[00:39:45.189 --> 00:39:46.110]  They've got different ones here.
[00:39:46.190 --> 00:39:48.132]  One that delivers it, one that makes it itself.
[00:39:50.292 --> 00:39:57.674]  And so I tend to roll my eyes at people that are high-level CIA or, you know, even headed up intelligence agencies, even though I think they're good people.
[00:39:58.014 --> 00:40:03.476]  And meanwhile, I just have a tendency to research stuff, open source my own self and be more right than they are usually.
[00:40:03.976 --> 00:40:07.437]  So I'm like, well, they're saying it's synthetic, they're saying it's this and now here it is.
[00:40:07.517 --> 00:40:12.738]  And now we know why the Pentagon said that, because three years ago they were being approached by these people with this.
[00:40:12.998 --> 00:40:16.759]  So that's why General Flynn was telling people that, because it's true.
[00:40:18.308 --> 00:40:21.809]  So, and I'm not knocking Flynn, I think he's as smart as I am or smarter.
[00:40:22.069 --> 00:40:26.851]  I just... It's just you hear stuff like that, it's hard to believe.
[00:40:26.871 --> 00:40:28.271]  It's even hard for Alex Jones to believe.
[00:40:29.012 --> 00:40:30.852]  But yes, the globalists hit us.
[00:40:31.212 --> 00:40:43.837]  One city in India, one city in China, one city in Italy, and a couple cities in the US hit the East Coast.
[00:40:44.793 --> 00:40:51.457]  And that's why early on, like, 17 months ago, people were saying, 16 months ago, they were saying, why is it only in certain areas and not others?
[00:40:51.497 --> 00:40:52.137]  Well, we learned!
[00:40:53.058 --> 00:41:00.462]  And then the Pentagon sources I had, not just Flynn, were 100% sure when it only hit certain cities in Texas and Florida, and then went out from there.
[00:41:00.702 --> 00:41:03.223]  But it would hit, like, the same day, 300 miles apart.
[00:41:03.723 --> 00:41:06.025]  I mean, it's... they sprayed it on us.
[00:41:06.545 --> 00:41:07.606]  You could look how it was done.
[00:41:07.666 --> 00:41:09.186]  And so, they were correct.
[00:41:09.927 --> 00:41:11.348]  I always said it was possible, but...
[00:41:12.338 --> 00:41:23.927]  Coming to grips with the fact that, you know Fauci and Gates gave the order, I mean, they gave the order in China, and that little monster man almost killed my parents and killed people I know, and I'm pissed.
[00:41:24.627 --> 00:41:30.952]  So, we're all victims of a bio-attack, he's got stuff far worse, and are we gonna just sit here and take it?
[00:41:32.779 --> 00:41:34.820]  I don't want any violence against Fauci, I'll turn him into a victim.
[00:41:35.180 --> 00:41:53.244]  I'm saying to the FBI, the CIA, and the Pentagon, and to governors, and to Senator Cotton, and to Senator Cruz, and to Senator Paul, saddle up men, come out and bring all this out, and just get the energy going to get this guy off our back, or we're all going to sit here and watch our kids die, and our parents die.
[00:41:53.444 --> 00:41:54.125]  Seriously?
[00:41:54.925 --> 00:41:55.505]  Seriously?
[00:41:58.370 --> 00:42:06.037]  The reason I couldn't believe what the Pentagon was telling me, and the CIA people, was I couldn't believe that we're sitting here taking this.
[00:42:08.139 --> 00:42:12.963]  It's one thing if it got out of a lab or they released it on purpose, but to be running around spraying us with it?
[00:42:15.745 --> 00:42:19.629]  I mean, I can't sit here and take this, and I know you can't sit here and take this either.
[00:42:21.874 --> 00:42:32.180]  So, we better do banner hangs, we better call in the talk radio, we better go to church and speak up, we better hand out the information, we better get very aggressive in the info war, or they're gonna release new ones that are even worse.
[00:42:32.420 --> 00:42:34.821]  And I've said that 20 months ago.
[00:42:34.861 --> 00:42:35.781]  I said it before that.
[00:42:35.841 --> 00:42:43.826]  I said, once they release the bioweapons, they're gonna test to see how we behave, get us locked down, then release more powerful ones, and slowly close the noose on us.
[00:42:44.146 --> 00:42:49.348]   Because I've read so many of their documents, they imply all this, but Don't go all the way.
[00:42:49.648 --> 00:42:52.030]  It's like a Bible paper, how it's so thin.
[00:42:52.350 --> 00:42:54.012]  It's so thinly veiled, you see right through it.
[00:42:54.332 --> 00:43:00.117]  Hell, Dick Cheney talks about race-specific bioweapons and releasing them to bring in world government control in a PNAC document.
[00:43:01.779 --> 00:43:11.888]  So, all I know is this globalist consortium has the motive, the history, they did it, they have the blueprints, they have the documents, and they sought to get DARPA and the Pentagon on board.
[00:43:13.489 --> 00:43:15.030]  And they, at least on the surface, said no.
[00:43:15.090 --> 00:43:15.391]  Hell no.
[00:43:16.735 --> 00:43:17.976]  The Chinese went along with it.
[00:43:18.156 --> 00:43:19.437]  Does that mean the Chinese did this?
[00:43:19.457 --> 00:43:20.998]  Well, they had a motive and a trade war to do it.
[00:43:21.038 --> 00:43:21.978]  Would they really pull that?
[00:43:22.519 --> 00:43:24.460]  China watched us drop atomic bombs on Japan.
[00:43:24.480 --> 00:43:25.521]  Would they really go that far?
[00:43:26.041 --> 00:43:26.441]  I don't know.
[00:43:26.541 --> 00:43:26.721]  No.
[00:43:27.082 --> 00:43:31.985]  No, it's the UN and the Rockefeller Combine that set all this up, that are running it, and big tech.
[00:43:32.225 --> 00:43:38.809]  And it was Facebook and Google that invested hundreds of millions in the Wuhan lab and this very project.
[00:43:38.829 --> 00:43:40.830]  They all wanted to be part of this takeover.
[00:43:41.611 --> 00:43:44.633]  They were all falling over each other to be involved and be the big supervillains.
[00:43:45.133 --> 00:43:45.754]  They're the ones!
[00:43:46.806 --> 00:43:47.347]  Google!
[00:43:47.948 --> 00:43:48.569]  Facebook!
[00:43:49.330 --> 00:43:49.710]  Apple!
[00:43:50.732 --> 00:43:51.112]  Gates!
[00:43:53.376 --> 00:43:56.837]  Rockefeller Foundation, the Democratic Party, the U.N.
[00:43:56.957 --> 00:43:57.457]  They did it.
[00:43:58.017 --> 00:43:58.577]  They ran it.
[00:43:59.178 --> 00:44:00.598]  They launched the attack on everybody.
[00:44:00.798 --> 00:44:04.319]  And then that way we all hate each other and they get to divide China from the U.S.
[00:44:04.339 --> 00:44:10.041]  and they get to set up a police state and they get to give us a world ID and a microchip and all the tracker systems and a social credit score.
[00:44:10.581 --> 00:44:13.082]  And then when it came out that it was really them that did it, they blamed China.
[00:44:13.682 --> 00:44:15.902]  No, they did it and they're getting ready to release more on us.
[00:44:16.162 --> 00:44:17.063]  It's in their own documents.
[00:44:17.363 --> 00:44:21.144]  And are we going to sit here and let Fauci and Gates murder us and our families?
[00:44:21.957 --> 00:44:23.278]  I got some key Bill Gates stuff coming out.
[00:44:23.298 --> 00:44:24.700]  I'll give you the toll-free number out when we come back.
[00:44:25.681 --> 00:44:28.724]  All right, I'm going to give the number out at the start of the next segment.
[00:44:28.764 --> 00:44:32.828]  I intend to be taking calls by the end of the second segment.
[00:44:35.017 --> 00:45:02.529]  And I said I got a lot of other news to hit, but really, I mean, like I said yesterday, the releasing of the bioweapon, the fear, releasing new variants to scare everybody, killing millions of people worldwide, cutting off the treatments for whatever it is they've released on us, all this premeditatedly, practicing the censorship, even censoring members of the Congress, the House and the Senate, governors, is a digital AI martial law takeover.
[00:45:02.709 --> 00:45:10.294]   And it's like a boa constrictor that Unhinges its jaw to try to eat a deer or something or wild boar.
[00:45:10.334 --> 00:45:18.940]  I mean, it's a big job for them, but they've got, they've got our head in their mouth and they're trying to swallow us down and we're still alive, folks.
[00:45:19.721 --> 00:45:20.782]  We can struggle out of this.
[00:45:21.502 --> 00:45:23.524]  But we got to recognize, hey, this is a snake biting us.
[00:45:24.544 --> 00:45:25.465]  This is really happening.
[00:45:25.725 --> 00:45:27.046]  We're about to be digested.
[00:45:28.788 --> 00:45:30.028]  And what's left of us spit out.
[00:45:31.289 --> 00:45:36.165]   So, That's where we are, and I'm really sorry that's where we are.
[00:45:37.346 --> 00:45:38.167]  They really did it, though.
[00:45:38.187 --> 00:45:39.348]  These mad scientists really did it.
[00:45:39.368 --> 00:45:41.390]  It's about global domination.
[00:45:41.410 --> 00:45:42.571]  It's about controlling the future.
[00:45:42.591 --> 00:45:46.134]  It's about getting all the incredible technologies for themselves, like life extension.
[00:45:47.154 --> 00:45:55.562]  And they do see the dumbed-down, lackadaisical, Hollywood-controlled public that they helped put in that state and say, you know, these people are useless eaters.
[00:45:55.782 --> 00:46:00.226]  And a lot of the public really are useless eaters, but you morally can't kill them.
[00:46:01.043 --> 00:46:04.803]  and play God, especially when you made them like this.
[00:46:04.803 --> 00:46:10.481]   Especially when the satanic force really greased the skids and led people into this.
[00:46:10.481 --> 00:46:15.843]   People could have easily been let out of this, but they let us into this.
[00:46:15.843 --> 00:46:20.082]   And you see how incredibly weak the servants of the system are.
[00:46:20.082 --> 00:46:24.643]   And then you just know at a fundamental flesh level, you don't want to be with the New World Order.
[00:46:24.825 --> 00:46:41.097]  And then spiritually, it's just that there's no comparison to dark worldly energy that is just pathetic, that they think is power source compared to what King David talked about, the quiet place of the Most High.
[00:46:42.138 --> 00:46:54.576]   And the only problem with the peace of God is that You just want to be with God, but then you realize you've got to be with your children and your family in this process, and that you're going to have to go through the fire.
[00:46:54.596 --> 00:46:56.777]  You're going to have to go through the grindstone.
[00:46:57.337 --> 00:46:57.977]  And this is it.
[00:46:58.858 --> 00:47:03.720]  And every generation has the problems they got to face, but this is the biggin'.
[00:47:03.741 --> 00:47:09.404]  There have been a lot of periods in history where there's big change happening, and this is the big kahuna.
[00:47:11.485 --> 00:47:14.606]  This is the mother of all crises.
[00:47:14.786 --> 00:47:15.907]  This is the metamorphosis.
[00:47:15.927 --> 00:47:16.828]  This is the big test.
[00:47:16.848 --> 00:47:17.268]  This is it.
[00:47:18.131 --> 00:47:21.052]  The next 20, 30 years, if it even lasts that long.
[00:47:22.312 --> 00:47:38.156]  And again, you're going to realize on the other side of eternity, the total completion and total satisfaction of timelessness, or you're going to experience separation from that.
[00:47:40.557 --> 00:47:50.313]   And you're going to know For the time period while you're being positioned for which portal you're going to go through, that's how it happens.
[00:47:51.573 --> 00:48:03.818]  Atheists, government scientists, people that take the drugs and do the DMT test on the IV drips, which are longer periods, they come back and they become Christians because they say, no, I saw hell, I saw heaven, I saw portals.
[00:48:04.178 --> 00:48:07.299]  It doesn't matter if it's the Buddhists, the Hindus, the atheists, they all see the same thing.
[00:48:07.619 --> 00:48:09.980]  The guardian angel there, they can't see, it's got the hand on the shoulder.
[00:48:10.620 --> 00:48:12.261]  People that are dead 10 minutes, they come back.
[00:48:14.019 --> 00:48:17.362]  And you're either sent back for a reason.
[00:48:18.522 --> 00:48:26.428]  A lot of times people get to go see heaven and that total feeling of completion and just total satisfaction.
[00:48:26.448 --> 00:48:28.049]  I've been allowed to see it three times.
[00:48:28.980 --> 00:48:32.584]  And what you take back totally starts rewriting your brain.
[00:48:33.425 --> 00:48:35.447]  And it tells you, okay, do you want this?
[00:48:35.467 --> 00:48:37.069]  We're going to start the rewrite.
[00:48:37.669 --> 00:48:38.911]  And you say, yes, I want it.
[00:48:38.971 --> 00:48:40.052]  And then the process begins.
[00:48:40.092 --> 00:48:41.153]  And it's a long process.
[00:48:42.274 --> 00:48:44.456]  But my brain is being rewritten right now.
[00:48:45.356 --> 00:48:46.036]  It's unbelievable.
[00:48:46.717 --> 00:48:48.658]  And I just wish all of you could experience this.
[00:48:48.678 --> 00:48:52.740]  I know a lot of you are right now at this time, because God's going to really turn the heat up on the devil right now.
[00:48:52.760 --> 00:48:55.122]  And if you get lined up with God, you're going to get to experience it.
[00:48:55.682 --> 00:48:59.804]  You're going to start being absorbed into the next level dimension now while your body's still here.
[00:49:00.605 --> 00:49:01.225]  It's incredible.
[00:49:01.245 --> 00:49:05.408]  And then you get very sad for everybody else that you know is going to be cut off from that for eternity.
[00:49:05.768 --> 00:49:07.129]  We've got to try to save these people now.
[00:49:08.289 --> 00:49:15.329]   We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:49:36.449 --> 00:49:38.449]  All right, my friends, we are back live.
[00:49:38.328 --> 00:49:43.270]  We are broadcasting worldwide on this live Thursday, September 23rd transmission.
[00:49:45.111 --> 00:49:56.455]  I want to give the number out, and I want to specifically take your phone calls on, what do you make of China threatening to nuke, I don't know if you've heard this yet, threatening to nuke Australia?
[00:49:58.116 --> 00:50:02.418]  What do you make of the DARPA documents, the Pentagon documents being released?
[00:50:03.140 --> 00:50:18.851]  Or three years ago, Peter Daszak and Bill Gates's funded group with Fauci came to them and said, we want you to fund us spraying the open population in China with a virus that invades their body through nanotech that's basically COVID-19.
[00:50:18.891 --> 00:50:19.932]  It's the exact same virus.
[00:50:22.153 --> 00:50:22.914]  What do you make of that?
[00:50:22.934 --> 00:50:36.870]   Do you agree with me that Clearly the globalists did this in Wuhan so they could blame America or China or whoever they wanted, but it's clear they're the ones that did it to bring in their UN-centered corporate governance world government.
[00:50:36.890 --> 00:50:39.612]  Because they don't want America to run the planet or their own country.
[00:50:39.853 --> 00:50:41.654]  They don't want China to run the planet or their own country.
[00:50:42.675 --> 00:50:48.320]  They just set China up when they were funding them and helping, you know, take over economically with all their slave labor.
[00:50:50.066 --> 00:50:55.531]  No, it's the UN, it's the corporate governance forcing the lockdowns, saying small businesses and individuals are not essential.
[00:50:55.871 --> 00:50:56.972]  It's their attack.
[00:50:57.633 --> 00:51:07.581]  But what do you make of these documents regardless that they created the virus and thousands of others and hundreds of other deadly coronaviruses, some of them thousands of times more powerful?
[00:51:10.284 --> 00:51:11.705]  What is your view of where this needs to go?
[00:51:11.725 --> 00:51:15.488]  And do you agree with me this is the biggest news of the 21st century in the last 21 years?
[00:51:17.984 --> 00:51:37.209]  That the globalists in the UN made this, released it, used it to take over, used it to censor, and are now using it to set up a global carbon tax, and our own governments aren't saying anything about it or doing anything about it, other than DARPA putting this information out when the foyer came through that they did not have to release.
[00:51:39.309 --> 00:51:41.169]  And I'm not lionizing DARPA and the Pentagon.
[00:51:41.189 --> 00:51:44.290]  I'm saying they did release this, and this should be highly classified.
[00:51:45.410 --> 00:51:47.251]  But they want it to be known they didn't do it.
[00:51:48.885 --> 00:51:50.026]  So what do you think about this?
[00:51:50.086 --> 00:51:51.647]  I really want to get your take.
[00:51:51.667 --> 00:51:54.370]  877-789-ALEX.
[00:51:54.390 --> 00:51:54.690]  877-789-2539.
[00:51:54.710 --> 00:51:55.451]  877-789-2539.
[00:51:56.431 --> 00:52:01.796]  First time callers.
[00:52:02.336 --> 00:52:03.377]  I want to talk to you about this.
[00:52:03.397 --> 00:52:04.558]  I want to get your take on it.
[00:52:04.858 --> 00:52:07.661]  And in case you just tuned in, let me hit the articles we hit yesterday and today.
[00:52:08.081 --> 00:52:13.466]  Wuhan scientists plan to release enhanced coronaviruses into bat caves before COVID outbreak.
[00:52:14.938 --> 00:52:15.878]  That's the Daily Mail.
[00:52:16.278 --> 00:52:19.459]  Wuhan scientists plan to release coronavirus particles into cave bats.
[00:52:19.839 --> 00:52:20.860]  Leaked papers revealed.
[00:52:20.940 --> 00:52:22.800]  That's Peter Daszak, London Telegraph.
[00:52:24.601 --> 00:52:28.302]  Fauci funded lab viruses 10,000 times stronger than usual.
[00:52:30.342 --> 00:52:40.665]  Here's the actual name and the federal register of the last virus they added to the other four viruses, which is the HIV delivery system.
[00:52:41.765 --> 00:52:43.746]  We've got all the documents on that.
[00:52:44.684 --> 00:52:52.725]  And then here's the project Operation DARPA from Peter Daszak and Bill Gates talking about the gain of function.
[00:52:53.346 --> 00:52:54.446]  Here's Zero Hedge on it.
[00:52:54.886 --> 00:53:02.967]  Wuhan scientists plan to release chimeric COVID spike proteins into bat populations using skin-penetrating nanoparticles.
[00:53:04.288 --> 00:53:09.769]  Here's the DC sign from Wikipedia that they list in the Wuhan document as being the delivery system.
[00:53:10.089 --> 00:53:11.669]  It's Roland HIV insertion.
[00:53:12.839 --> 00:53:22.925]  into the cells that are then taken by white blood cells to the lymph nodes so that it can kill all of your T lymphocytes that are trainers of the killer T's.
[00:53:22.945 --> 00:53:26.027]  You might want to read that for yourself.
[00:53:26.047 --> 00:53:39.820]   And of course the vaccine does the same thing as the virus because it makes your body create the spike protein that's the delivery that actually makes the body do this and that is The DC sign, protein.
[00:53:40.561 --> 00:53:43.503]  It also ends up attacking your testicles, your uterus, everything else.
[00:53:43.583 --> 00:53:44.304]  There it all is.
[00:53:44.945 --> 00:53:45.745]  Pretty unbelievable.
[00:53:47.066 --> 00:53:54.933]  There's another headline, uh, Wuhan lab leak scientists plan to release souped up coronavirus into bat caves before COVID outbreak.
[00:53:56.595 --> 00:53:59.257]  And it just goes on and on and on.
[00:54:00.902 --> 00:54:01.983]  So total vindication.
[00:54:02.003 --> 00:54:04.144]  But oh, here's CNN with an article a few days ago.
[00:54:04.544 --> 00:54:06.965]  These four words are helping spread vaccine misinformation.
[00:54:07.385 --> 00:54:08.346]  Do your own research.
[00:54:08.366 --> 00:54:10.727]  Even the New York Times says do not ask questions.
[00:54:11.127 --> 00:54:12.708]  It says reading too much is bad.
[00:54:12.748 --> 00:54:15.329]  Yes, especially if it's declassified documents.
[00:54:15.349 --> 00:54:16.510]  Don't want to read those.
[00:54:17.170 --> 00:54:24.914]  Just act like you're intellectual, act like you're smart, and just say the vaccine's 100% effective, never hurt anybody, and no FDA scientists have resigned, even though they have.
[00:54:24.934 --> 00:54:27.476]  I mean, it's just incredible the lying from these people.
[00:54:27.516 --> 00:54:29.737]  But they're given talking points and paid to do it.
[00:54:31.087 --> 00:54:32.608]  And that's how they operate.
[00:54:32.648 --> 00:54:34.028]  But here's the actual document.
[00:54:35.209 --> 00:54:37.950]  This is a synopsis of the actual document, several thousand pages long.
[00:54:38.571 --> 00:54:41.252]  A proposal, volume one, from three years ago.
[00:54:41.272 --> 00:54:47.595]  And it describes COVID-19, how to make it, all the things to do, the thousands of other viruses they've made.
[00:54:48.235 --> 00:54:51.977]  All from EcoHealth Alliance, a front group of Bill Gates and Fauci on record.
[00:54:52.397 --> 00:54:54.598]  Remember they lied to Congress and said no such thing's going on.
[00:54:55.299 --> 00:54:57.640]  Here's just some smoking guns on top of smoking guns.
[00:54:59.485 --> 00:55:09.211]  Again, it's the equivalent of somebody calls the police and says, I saw a man kill his wife with a hammer in their backyard in broad daylight and stick her in the shed.
[00:55:10.151 --> 00:55:12.752]  And the police come, they say, hey, can we speak to your wife?
[00:55:13.073 --> 00:55:13.973]  No, she's gone to the store.
[00:55:14.874 --> 00:55:17.695]  Well, mind if we take a look at your backyard?
[00:55:17.775 --> 00:55:18.856]  No, don't take a look at your backyard.
[00:55:18.876 --> 00:55:20.437]  They see scratches on his chest.
[00:55:20.477 --> 00:55:23.358]  They say they have reasonable suspicion, probable cause.
[00:55:23.619 --> 00:55:27.481]  They go ahead and push through, put him in handcuffs, go to the shed, and she's dead with her brains beat out.
[00:55:28.319 --> 00:55:30.200]  You got a witness that saw it happen, you got the dead body.
[00:55:30.860 --> 00:55:31.861]  This is worse than that.
[00:55:31.881 --> 00:55:37.903]  It'd be like if he videotaped it and talked about, I'm gonna kill my wife with a hammer when she gets home, and I'm gonna kill her and stuff her in the shed.
[00:55:38.403 --> 00:55:43.305]  It'd be like having a video he shot that he's proud of it, and then he called the police himself and turned himself in.
[00:55:44.026 --> 00:55:45.967]  I mean, it's just ridiculous.
[00:55:47.667 --> 00:55:50.829]  Call for your number to join us, 877-789-2539.
[00:55:50.869 --> 00:55:51.949]  I want your take on all this.
[00:55:52.349 --> 00:55:55.971]  Meanwhile, they've got the total police state takeover in the name of it.
[00:55:57.142 --> 00:56:07.805]  Australia deploys counter-terrorism squads with tanks against lockdown protests, begins running over people with cars and beating their heads open with clubs, giving people subdermal hematomas and putting them into comas.
[00:56:08.405 --> 00:56:14.026]  And meanwhile, FBI's Domestic Terrorism Task Force here says questioning lockdowns is terrorism, so get ready for new ones.
[00:56:14.466 --> 00:56:21.248]  Cases have more than doubled since May because they wildly expand the definition of domestic terrorism as any crime committed by a white person.
[00:56:22.068 --> 00:56:23.949]  I mean, you talk about crazy town, this is it.
[00:56:26.503 --> 00:56:30.146]  Absolute, total, complete crazy town.
[00:56:30.166 --> 00:56:39.253]  So now that the police are attacking the crowds and people want to just go outside and walk across the state line to visit their family, they're now running them over with cars, beating women and children.
[00:56:39.854 --> 00:56:42.516]  I mean, this is just all a giant orgy of evil.
[00:56:43.797 --> 00:56:53.665]  All run by Klaus Schwab and the UN as a beta test to show the world this, so the whole rest of the world gets ready for these same actions, which are already going on all over Europe and the UK and Canada.
[00:56:56.067 --> 00:57:02.152]  And the police slammed him on the ground trying to hurt him as bad as they can for daring to be outside and exercising free speech.
[00:57:03.733 --> 00:57:05.034]  All right, let's continue.
[00:57:05.214 --> 00:57:08.597]  A Biden admin looking to house Haitians at Gitmo.
[00:57:08.617 --> 00:57:11.979]  That's just a thing to make you think they're housing and they're releasing 80 plus percent of them.
[00:57:12.380 --> 00:57:13.260]  That's all BS.
[00:57:13.621 --> 00:57:15.382]  Haitian migrants being released in the U.S.
[00:57:15.442 --> 00:57:18.384]  on a very large scale despite Biden's vow to send them back home.
[00:57:18.444 --> 00:57:18.805]  Report.
[00:57:18.885 --> 00:57:19.986]  Infowars.com from RT.
[00:57:21.462 --> 00:57:25.164]  The Haitians in question dropping their Chilean, Brazilian and other identification at the border.
[00:57:25.524 --> 00:57:27.265]  This is systematic, planned, purposeful.
[00:57:27.765 --> 00:57:29.006]  We must secure our border now.
[00:57:29.666 --> 00:57:33.748]  And Texas is unfortunately likely to have to do what the Feds tyrannically refuse to do.
[00:57:35.469 --> 00:57:38.531]  You now have the Haitians hijacking buses and stealing them.
[00:57:39.831 --> 00:57:40.612]  That's the mainstream news.
[00:57:40.632 --> 00:57:44.634]  Out of the Texas news, Haitian migrants in custody have hijacked multiple buses.
[00:57:46.601 --> 00:57:48.824]  Many migrants from border camps staying in the U.S.
[00:57:48.844 --> 00:57:49.546]  There's AP.
[00:57:49.566 --> 00:57:50.547]  There's AP.
[00:57:51.388 --> 00:57:53.111]  And we told you they always do the same stuff.
[00:57:53.912 --> 00:57:55.475]  It's all there.
[00:57:55.515 --> 00:57:57.438]  We're going to be going over all of that.
[00:57:57.818 --> 00:57:59.561]  And I haven't even hit the other COVID news.
[00:58:01.724 --> 00:58:04.305]  Biden saying white people disappearing is a good thing.
[00:58:04.605 --> 00:58:05.425]  Whites are inherently bad.
[00:58:05.445 --> 00:58:06.225]  We have the video of that.
[00:58:06.866 --> 00:58:11.587]  And then a CEO of Moderna says even young will need to take vaccine booster shots indefinitely.
[00:58:12.407 --> 00:58:13.768]  Oh, the corporate head says so.
[00:58:14.108 --> 00:58:15.588]  My God, he doesn't have a conflict of interest.
[00:58:15.608 --> 00:58:17.029]  Let me just do what the head of Moderna says.
[00:58:18.117 --> 00:58:20.738]  Like Trump said, Moderna runs everything with Bill Gates worldwide now.
[00:58:20.758 --> 00:58:21.398]  They're just the boss.
[00:58:21.458 --> 00:58:22.978]  Oh, drug companies run your life.
[00:58:23.598 --> 00:58:24.318]  That's all coming up.
[00:58:24.338 --> 00:58:28.839]  But first, your phone calls from Liam, David, Ron, Jeff, Megan, and David.
[00:58:29.139 --> 00:58:34.941]  And then after I take these calls, I'm gonna wipe the phone lines open and take calls from folks in Australia.
[00:58:35.581 --> 00:58:44.183]  And we got a big filmmaker joining us next hour that's gonna premiere some exclusive footage from the new film that's now on pre-order at infowarestore.com.
[00:58:45.043 --> 00:58:51.187]  Covidland, Part 1, The Lockdown, now available with a free copy of Endgame at infowarestore.com.
[00:58:52.127 --> 00:58:57.871]  Everybody grew up learning what tyranny looked like in history and hypothetically in books like 1984.
[00:58:58.851 --> 00:59:00.092]  And now we see what's happening in the world.
[00:59:00.152 --> 00:59:06.756]  It's like governments are using 1984 meets Brave New World as their blueprint for what they want to do.
[00:59:08.646 --> 00:59:14.828]  But, you know, they say all over the news that, oh, we've always had forced inoculations in this country.
[00:59:14.948 --> 00:59:15.989]  And that's not true.
[00:59:16.009 --> 00:59:23.311]  If you go back about 125 years ago, there was some forced smallpox injection of black people.
[00:59:25.132 --> 00:59:33.375]  And then in the 20s, under eugenics, poor blacks and poor whites were both sterilized forcibly and given experimental vaccines that killed a bunch of people.
[00:59:33.435 --> 00:59:34.836]  And then there were big revolts over it.
[00:59:35.196 --> 00:59:37.897]  And the Supreme Court ruled that previous rulings run constitutional.
[00:59:39.650 --> 00:59:51.857]  But I just got given something that I actually knew about, and I was surprised I hadn't done a piece on it, that blew me away out of the New York Times from 1897, that we're gonna cover in the last segment of this hour.
[00:59:51.877 --> 00:59:55.599]  But I'm gonna go to your calls right now.
[00:59:56.900 --> 01:00:12.681]   And that is the new Project Veritas video they dropped last night, and more today, of high-level FDA regulators, it looked like 20-year-old Kids that, you know, have the effeminate thing that the ruling class does now.
[01:00:14.161 --> 01:00:21.304]  And they sit there and talk about how they're going to blow dart all the minorities and go door-to-door and jam needles in the black people because they won't take their shot.
[01:00:21.784 --> 01:00:24.805]  And they go on to say mRNA is 100% safe, which it's not.
[01:00:24.825 --> 01:00:25.506]  They just lie.
[01:00:25.926 --> 01:00:27.006]  And they giggle and laugh.
[01:00:27.947 --> 01:00:29.067]  It was like 30 minutes of it.
[01:00:29.127 --> 01:00:30.748]  I watched the whole thing last night.
[01:00:30.788 --> 01:00:31.688]  It was nauseating.
[01:00:33.490 --> 01:00:34.050]  Well, guess what?
[01:00:34.490 --> 01:00:37.372]  There's actually a plan to go door-to-door and make black people take the shots.
[01:00:38.152 --> 01:00:39.092]  So I'm going to be covering that.
[01:00:40.033 --> 01:00:46.756]  Not just from this video, it turns out, it's right here in my hand from the New York Times, and they're proposing this again.
[01:00:46.776 --> 01:00:51.038]  And if all this seems next level, that's what tyranny's like.
[01:00:51.238 --> 01:00:58.161]  It just attacks you and does all these horrible things, and you can't believe what's happening because you never lived under this before, but now you are.
[01:01:00.171 --> 01:01:03.033]  It's like most victims of crime, never been mugged, never been robbed, never been raped.
[01:01:03.373 --> 01:01:06.395]  And when it starts happening, a lot of people just can't believe it's happening because it never happened before.
[01:01:06.575 --> 01:01:07.375]  Well, it is happening.
