[00:00:00.229 --> 00:00:02.331]  It's Sunday, August 1st.
[00:27:23.250 --> 00:27:25.632]  So this is a real authoritarian takeover.
[00:27:25.812 --> 00:27:26.652]  Here's Chris Sky.
[00:27:27.653 --> 00:27:32.057]  Before Lockdown 2 was announced, now we're into Lockdown 3 in Canada, but Lockdown 2 is about to happen here.
[00:27:32.357 --> 00:27:33.518]  Here he is predicting it.
[00:27:34.199 --> 00:27:37.922]  It's Psychic Jimbro was the top trending thing on Twitter a few days ago.
[00:27:38.342 --> 00:27:41.005]  Recognized for predicting lockdown agenda, here it is.
[00:27:42.637 --> 00:27:43.417]  You don't need a mask.
[00:27:43.457 --> 00:27:44.878]  The mask is about compliance.
[00:27:45.078 --> 00:27:47.178]  Because they know Canadians like to do what they're told.
[00:27:47.478 --> 00:27:48.979]  So they tell you, you have to wear a mask.
[00:27:49.319 --> 00:27:51.139]  Next they're going to tell you, you have to contact trace.
[00:27:51.500 --> 00:27:53.460]  Then they're going to tell you, you have to take the vaccine.
[00:27:53.780 --> 00:27:57.281]  And because Canadians like to do what they're told, they're hoping that everyone just complies.
[00:27:57.581 --> 00:27:58.602]  And then guess what kids?
[00:27:59.002 --> 00:28:02.763]  Once you take your vaccine, like a dumb person that doesn't know any better,
[00:28:03.283 --> 00:28:14.996]  They're gonna tell you, sorry, the vaccine isn't as effective as we thought it was gonna be, so now you still gotta wear your mask, still gotta get contact trace, still have all the restrictions and social distancing, and still take your vaccine.
[00:28:15.256 --> 00:28:16.677]  And then what did you get out of all of this?
[00:28:17.058 --> 00:28:24.285]  You got a whole year where you weren't allowed to travel, your business was closed, they took your rights and freedoms, they forced a vaccine on you, and...
[00:28:25.046 --> 00:28:25.547]  What happened?
[00:28:25.847 --> 00:28:35.258]  The same amount of people died, everything is the exact same, and now they're gonna put you back on lockdown and bring it all the way till July of next year, so they can do the same thing again!
[00:28:35.618 --> 00:28:41.305]  Bring you from July, August, and September, getting you off lockdown, but just to bring you back on lockdown again.
[00:28:41.325 --> 00:28:43.247]  If you idiots haven't figured it out yet...
[00:28:43.647 --> 00:28:46.589]  It's a perpetual cycle that you never get out of.
[00:28:46.869 --> 00:28:51.531]  And it's a way to take your rights, your freedoms, close your business, take your wealth.
[00:28:51.812 --> 00:28:52.092]  Why?
[00:28:52.172 --> 00:28:53.793]  So you become dependent on government.
[00:28:54.173 --> 00:28:54.493]  Why?
[00:28:54.513 --> 00:28:57.895]  If you're independent, the government works for you like it's supposed to.
[00:28:58.215 --> 00:29:07.240]  If you depend on the government to give you a paycheck to feed your family every month because they closed your business on you, now the government doesn't work for you, the government rules you.
[00:29:07.620 --> 00:29:08.981]  So instead of a middle class,
[00:29:09.341 --> 00:29:15.409]  We have the government, upper class, and the lower class dependents that rely on the government to survive.
[00:29:15.710 --> 00:29:17.632]  In other words, we have a slave class.
[00:29:18.113 --> 00:29:19.074]  And that's what they're trying to do.
[00:29:19.154 --> 00:29:19.735]  It's that simple.
[00:29:23.769 --> 00:29:24.369]  That's huge.
[00:29:46.617 --> 00:29:47.919]  I knew what was coming, like you said.
[00:29:47.979 --> 00:29:49.641]  I saw the document from the UN.
[00:29:49.821 --> 00:29:52.564]  I was traveling around the world trying to tell everybody what was coming.
[00:29:52.825 --> 00:29:55.328]  It was a coordinated response from all the world's governments.
[00:29:55.748 --> 00:29:58.071]  So whenever something like that happens, it's suspect.
[00:29:58.652 --> 00:30:10.355]  So I just got back from Ireland, where I predicted their lockdown to the day, and actually stayed there till the day they got locked down, September 20th, and then came back to Toronto to try to warn everybody here.
[00:30:10.895 --> 00:30:17.857]  And I went to our protest on Saturday in Toronto, September 26th, and that's when I made that video, to let everybody know what was gonna happen.
[00:30:19.178 --> 00:30:20.038]  Oh, my camera died.
[00:30:21.078 --> 00:30:22.299]  You're here, you sound great, keep going.
[00:30:23.239 --> 00:30:23.679]  Okay, so...
[00:30:24.952 --> 00:30:26.594]  I had to let everybody know what was going to happen.
[00:30:26.634 --> 00:30:27.595]  People call me crazy.
[00:30:27.655 --> 00:30:29.837]  Now they see everything that I said came to light.
[00:30:30.058 --> 00:30:33.622]  So now we've got to give a red alert and let everybody know what's going to happen next.
[00:30:33.802 --> 00:30:39.228]  And this is very, very important because they're going to try to make the biggest division we've ever seen in society.
[00:30:39.248 --> 00:30:44.153]  And that division is going to go way past the people versus mask wearers, non mask wearers, etc.
[00:30:44.474 --> 00:30:46.496]  Now it's going to be turning the vaccinated
[00:30:46.656 --> 00:30:47.017]  We're good.
[00:31:02.376 --> 00:31:06.038]  In reality, they're prepping the stage already with predictive programming.
[00:31:06.278 --> 00:31:08.659]  They're already telling us cases are starting to rise.
[00:31:08.679 --> 00:31:11.079]  They're already telling us the vaccine doesn't work.
[00:31:11.360 --> 00:31:15.421]  They're already telling us unvaccinated people are dangerous.
[00:31:15.621 --> 00:31:20.443]  They're already trying to call for limiting the movement and restricting the freedoms of the unvaccinated.
[00:31:20.823 --> 00:31:28.026]  So what we're going to see, and this is why I've been on tour since July 17, all around Canada, to warn people that
[00:31:28.426 --> 00:31:29.688]  It's all coming back.
[00:31:29.988 --> 00:31:36.175]  And this time, when they lock us down and put the mask back on us, it's going to be vaccinated people and unvaccinated people.
[00:31:36.556 --> 00:31:39.699]  Only this time, we're going to be seeing the vaccinated people getting sick.
[00:31:40.060 --> 00:31:46.868]  They're going to blame the vaccinated people getting sick on a so-called new variant, when in reality it's the vaccine itself getting people sick.
[00:31:47.268 --> 00:31:54.231]  They're also going to go and blame the new variant on the unvaccinated so they can demonize anybody who doesn't take the vaccine.
[00:31:54.571 --> 00:32:05.916]  So not only will this provide wonderful division that the government likes, it'll also set the stage for public consent of the majority, which are the vaccinated, to limit the freedom of movement on other people.
[00:32:06.216 --> 00:32:16.421]  And if you see what they're doing in France right now, you can't even go to a grocery store in France unless you show proof of vaccination or you show a negative COVID test.
[00:32:16.943 --> 00:32:19.265]  So they're doing this all over the world.
[00:32:19.585 --> 00:32:24.069]  And I'm trying to warn people that they're also trying to subvert us with political movements.
[00:32:24.489 --> 00:32:31.835]  Phony political movements in Canada that are masquerading as freedom movements, when in reality there's no political solution to this problem.
[00:32:32.175 --> 00:32:43.705]  Americans are free right now, compared to Canadians, not because they waited for a new election and a new Donald Trump to save them, but because they employed what I call united non-compliance.
[00:32:44.105 --> 00:32:49.929]  They stood up as a nation, they took off their masks, they opened their businesses, and they just said no to the government.
[00:32:49.989 --> 00:32:51.109]  Stay right there, Chris.
[00:32:51.450 --> 00:32:51.930]  Stay right there.
[00:32:51.950 --> 00:32:53.751]  We're going to come right back in a few minutes to give you the floor.
[00:32:54.191 --> 00:33:00.495]  You're absolutely right about all this, and we need to get past political labels and political parties and get down to basic human rights.
[00:33:00.835 --> 00:33:01.356]  Stay with us.
[00:33:01.396 --> 00:33:02.376]  This is the InfoWar.
[00:33:11.504 --> 00:33:13.345]  Welcome back, I'm Alex Jones, your host.
[00:33:13.565 --> 00:33:17.448]  We're into the last segment of the first hour.
[00:33:19.009 --> 00:33:23.012]  And we have Chris Skye on the line with us from Canada.
[00:33:23.553 --> 00:33:27.916]  Whole other story how he's a political prisoner, how they've arrested him, how they're trying to say he can't travel.
[00:33:27.936 --> 00:33:31.338]  You got similar laws being passed in Australia and the UK.
[00:33:31.679 --> 00:33:36.782]  They're riding women down with Clydesdale horses and almost killing them if they dare go outside when they're not supposed to.
[00:33:37.563 --> 00:33:39.665]  But if you're a leftist group, you can go burn down cities.
[00:33:40.426 --> 00:33:44.749]  This is the martial law of global government, the martial law of the United Nations.
[00:33:44.869 --> 00:33:52.496]  And in Operation Lockstep, written by the Rockefeller Foundation, 11 years ago, they say they would use the threat of a virus for a takeover.
[00:33:52.816 --> 00:33:54.998]  And who's in control of world policy now?
[00:33:55.459 --> 00:33:59.382]  The Rockefeller Foundation directs Joe Biden and the United Nations.
[00:33:59.763 --> 00:34:02.105]  Bill Gates has been somewhat removed from command.
[00:34:04.909 --> 00:34:05.972]  Let's go back to Chris Sky.
[00:34:06.012 --> 00:34:07.215]  Chris, I want to point something out.
[00:34:07.957 --> 00:34:12.229]  When we talk about this a year and a half ago or ten months ago, people go, okay, so what?
[00:34:13.228 --> 00:34:15.228]  But then when it comes true, they go, oh, this is amazing.
[00:34:15.649 --> 00:34:30.852]  You're saying what's coming next today, but I can play video clips right now of you on with us six months ago, and of me last year, saying they're going to claim a new variance out, so that's why you've got to have this new booster, and they're going to say the variant came from the unvaccinated.
[00:34:31.412 --> 00:34:33.092]  It's so easy to know what they're going to do.
[00:34:33.772 --> 00:34:35.593]  So again, how do we do that?
[00:34:35.653 --> 00:34:38.253]  Because this is so incredibly premeditated.
[00:34:38.293 --> 00:34:40.694]  So finish up with what you were saying about what's
[00:34:41.354 --> 00:34:49.218]  Coming next from your own research and their own admissions, and then how you think we can fight back against it because you got cut off by that break.
[00:34:50.259 --> 00:34:50.859]  No problem.
[00:34:50.899 --> 00:34:54.341]  So everybody knows we're going back on another lockdown.
[00:34:54.361 --> 00:34:58.263]  Just like you said, the narrative is going to be over the next few weeks and few months.
[00:34:58.583 --> 00:34:59.623]  Cases are rising.
[00:34:59.904 --> 00:35:01.244]  The vaccine's not working.
[00:35:01.324 --> 00:35:02.405]  Variants are spreading.
[00:35:02.805 --> 00:35:04.466]  Unvaccinated people are dangerous.
[00:35:04.706 --> 00:35:10.069]  And they're going to start calling for vaccine passports, not just for travel, but to limit the movements of these vaccinated people.
[00:35:10.897 --> 00:35:12.198]  Or the non-vaccinated people.
[00:35:12.498 --> 00:35:17.302]  So exactly what's going to happen in the fall is you're going to see a whole bunch of vaccinated people get sick.
[00:35:17.723 --> 00:35:19.985]  You're going to see them scream about rising cases.
[00:35:20.185 --> 00:35:23.147]  They're going to institute all the restrictions like masks and everything else.
[00:35:23.367 --> 00:35:25.049]  They're going to lock us all down again.
[00:35:25.069 --> 00:35:31.454]  And at the same time, they're going to be telling all the vaccinated people that you're sick because of these unvaccinated people.
[00:35:31.734 --> 00:35:37.539]  And that's going to get the public pretense that they need to start trying to impose restrictions federally
[00:35:38.078 --> 00:35:42.647]  In both countries, not just at the state or provincial level, on all the citizens.
[00:35:42.988 --> 00:35:43.869]  That's their plan.
[00:35:44.210 --> 00:35:45.853]  So why can we make it backfire?
[00:35:46.254 --> 00:35:46.575]  Simple.
[00:35:47.310 --> 00:35:50.831]  Everybody's carrot was get the vaccine and life will go back to normal.
[00:35:50.991 --> 00:35:53.011]  And I already warned everybody that that was a lie.
[00:35:53.231 --> 00:35:57.092]  And they're just going to make you wear the mask and put the restrictions back on you after you've taken the jab.
[00:35:57.412 --> 00:36:03.153]  Well, now they're already telling everybody they got to take a third jab and maybe even a fourth jab this fall and winter.
[00:36:03.653 --> 00:36:07.173]  So when you told these people they're going to get vaccinated, everything's going to go back to normal.
[00:36:07.193 --> 00:36:10.434]  And I'm coming in there and say, the only way out of this is United noncompliance.
[00:36:10.894 --> 00:36:13.815]  Well, all those people that complied are going to get locked down in the winter.
[00:36:14.195 --> 00:36:15.635]  Then the government's going to have to tell them,
[00:36:16.275 --> 00:36:19.718]  Oh, a fifth or sixth jab is going to be the thing that sets you free.
[00:36:20.139 --> 00:36:23.282]  Even the most compliant, even the most naive is not going to agree with that.
[00:36:23.542 --> 00:36:29.428]  And I've seen a massive shift in Canada in the last few months as I've been traveling around and doing my tours.
[00:36:29.768 --> 00:36:33.111]  Normally, it's when I go to a freedom rally, everyone's there that knows me.
[00:36:33.131 --> 00:36:33.932]  They're there for me.
[00:36:34.232 --> 00:36:35.233]  So everyone knows me.
[00:36:35.253 --> 00:36:36.174]  Everyone's excited to see me.
[00:36:36.474 --> 00:36:52.421]  Now, I can't even stand outside of a hotel for two minutes or even walk down the street without the average Canadian coming up to me enthusiastically and knowing who I am, knowing what I'm about, agreeing with me, appreciating me, and feeling the exact same way.
[00:36:52.681 --> 00:37:04.786]  We literally had a guy pull us over on the street, and I'm in Calgary, or Edmonton, sorry, driving, and we thought he was having like a road rage incident or something, but he just rolled down the window and started screaming how he has my book and how he loves us.
[00:37:05.266 --> 00:37:08.127]  And that's the kind of reception we're getting everywhere from the average Canadian.
[00:37:08.167 --> 00:37:08.888]  What does that tell you?
[00:37:09.168 --> 00:37:20.333]  It tells you that the average person, the largest demographic of Canadians, the non-voter, more than all the other parties put together, these are the people we need to engage for United Party clients.
[00:37:20.533 --> 00:37:24.035]  The same thing when you tell the story, you're not bragging, I'm not bragging.
[00:37:24.495 --> 00:37:27.437]  I went to Lake Tahoe for a workcation.
[00:37:28.237 --> 00:37:29.518]  I went to CVS twice.
[00:37:29.638 --> 00:37:30.820]  I went to a few restaurants.
[00:37:31.520 --> 00:37:32.661]  Everyone mobbed me.
[00:37:32.942 --> 00:37:35.964]  The owners, the busboys, the waitresses.
[00:37:36.665 --> 00:37:38.887]  I mean, I went to CVS and was in there 30 minutes.
[00:37:38.927 --> 00:37:42.951]  I was just trying to buy some Neosporin and Band-Aids for my four-year-old that cut her foot.
[00:37:43.351 --> 00:37:45.934]  I mean, all this kind of stuff is going on.
[00:37:46.074 --> 00:37:47.315]  It's totally insane.
[00:37:47.655 --> 00:37:49.277]  It's absolutely out of control.
[00:37:50.318 --> 00:37:54.041]  What the globalists are doing, but the people are really, really waking up.
[00:37:54.242 --> 00:37:59.507]  And I think Klaus Schwab up in his ivory towers, I think Bill Gates in his ivory tower doesn't know what's happening.
[00:38:00.697 --> 00:38:10.363]  He doesn't, but I want to say something else really quick because now the government's terrified that we're achieving this level of the silent majority being engaged along with the political people, along with the freedom lovers.
[00:38:10.763 --> 00:38:16.126]  So they're trying to subvert the movement here in Canada with a supposed political freedom movement.
[00:38:16.406 --> 00:38:26.532]  And they're using the PPC party and Maxine Bernier as this Trojan horse to try to mislead the people and try to give the people a so-called political option to this.
[00:38:26.752 --> 00:38:29.276]  Because they know that people are ready to act.
[00:38:29.316 --> 00:38:32.420]  They're ready for United Non-Compliance Phase 2, taking action.
[00:38:32.761 --> 00:38:38.229]  And the best way to stop people from taking action is to give them a pretend viable political solution.
[00:38:38.569 --> 00:38:40.853]  That way, they don't use their anger and take action.
[00:38:41.113 --> 00:38:42.235]  Instead, they just vote.
[00:38:42.475 --> 00:38:45.656]  And they sit down back on their couch and they wait for this politician to save them.
[00:38:45.996 --> 00:38:49.477]  Maxime Bernier has been telling everyone he's this big freedom fighter.
[00:38:49.717 --> 00:38:51.937]  He's been telling everybody, don't listen to Chris Sky.
[00:38:52.217 --> 00:38:53.437]  He just wants to sell a book.
[00:38:53.678 --> 00:38:58.819]  Well, I found out Maxime Bernier and the PPC party are making money off the sale of face masks.
[00:38:59.159 --> 00:39:09.001]  I found out Maxime Bernier was working with George Soros and the Tides Foundation all the way back until 2005 as the head of the Sustainable Development Committee in Canada.
[00:39:09.417 --> 00:39:11.038]  So he's not a freedom fighter.
[00:39:11.338 --> 00:39:13.079]  He's a globalist, just like all the rest.
[00:39:13.359 --> 00:39:14.920]  And they have this phony political movement.
[00:39:14.960 --> 00:39:16.760]  It all started on Canada Day.
[00:39:16.800 --> 00:39:18.061]  Let me just say this.
[00:39:18.181 --> 00:39:21.783]  Chris, you're the superstar that predicted it all.
[00:39:21.823 --> 00:39:23.464]  That's a great guy, a grassroots person.
[00:39:23.864 --> 00:39:24.964]  I don't know who these people are.
[00:39:25.044 --> 00:39:25.805]  I'm not doubting you.
[00:39:26.185 --> 00:39:27.265]  But it's a distraction.
[00:39:27.666 --> 00:39:29.406]  I see the whisper campaigns against you.
[00:39:29.747 --> 00:39:32.708]  Every time we have him on, we get all these messages, don't have him on, he's bad.
[00:39:33.048 --> 00:39:33.948]  I know it's all crap.
[00:39:34.289 --> 00:39:35.509]  I think you're above these people.
[00:39:35.829 --> 00:39:36.990]  And I think you should just ignore them.
[00:39:38.254 --> 00:39:45.444]  That's the best thing, but I have to point it out because I want everybody to understand there is no political solution to this problem.
[00:39:45.464 --> 00:39:45.805]  I agree.
[00:39:45.825 --> 00:39:48.829]  You've got to stop hoping some magic person does it.
[00:39:49.170 --> 00:39:52.715]  You've got to start saying no and then give people some examples of how they do that.
[00:39:53.817 --> 00:39:54.558]  That's what you gotta do.
[00:39:54.618 --> 00:39:56.860]  So we got people in different groups to take action.
[00:39:57.580 --> 00:40:00.823]  And when we have a big protest, we break the people down into smaller groups.
[00:40:01.103 --> 00:40:03.185]  The first group we do is the small business owners.
[00:40:03.485 --> 00:40:06.267]  And we get them to organize as many small businesses as possible.
[00:40:06.508 --> 00:40:08.049]  And we organize an opening date.
[00:40:08.069 --> 00:40:11.632]  We did that in British Columbia, the west coast of Canada, where the businesses were hungry.
[00:40:12.052 --> 00:40:15.535]  And in one month, we got almost 2,000 businesses organized to open.
[00:40:15.835 --> 00:40:21.000]  And the government allowed them to open the day after our opening date that we declared.
[00:40:21.380 --> 00:40:27.644]  And if you look at a place like Ontario where I live, we just got those same restrictions lifted maybe a couple weeks ago.
[00:40:27.985 --> 00:40:31.187]  So when people take action, that's what makes the government bad.
[00:40:51.480 --> 00:40:54.262]  I mean, is that just that real scientists are putting out real numbers?
[00:40:54.282 --> 00:40:55.823]  Because the media doesn't know how to deal with this.
[00:40:56.043 --> 00:40:56.704]  They don't know what to do.
[00:40:56.724 --> 00:41:01.107]  I mean, the fact that, again, all over the world, it's the people that are getting the shots that are sick.
[00:41:01.487 --> 00:41:05.850]  Again, as I predicted a year ago, as you predicted a year ago, it's not from COVID.
[00:41:05.890 --> 00:41:06.891]  It's from the vaccine.
[00:41:06.911 --> 00:41:09.453]  They're calling vaccine illness new COVID.
[00:41:10.612 --> 00:41:17.917]  Well, it's kind of hard to sweep under the rug that three quarters of all COVID cases, including places like Singapore and all around the world, they're reporting the same numbers.
[00:41:18.197 --> 00:41:21.199]  Three quarters of all new COVID cases are basically vaccinated people.
[00:41:21.480 --> 00:41:23.281]  So they can't really sweep that under the rug.
[00:41:23.661 --> 00:41:25.542]  So what they're going to do is use it to their advantage.
[00:41:25.783 --> 00:41:27.884]  They're going to say, oh, no, it's not the vaccine's fault.
[00:41:27.924 --> 00:41:29.025]  It's the new variant.
[00:41:29.265 --> 00:41:34.749]  And this new variant was created by all these unvaccinated that didn't go with the program and didn't do their part.
[00:41:35.109 --> 00:41:39.813]  And that's why this new variant's created, and that's why our vaccines that were supposed to save the day can't.
[00:41:40.093 --> 00:41:49.160]  They always want to position themselves as the people that are trying to help, and they always want to position the people like us that are really trying to help as the reason that this keeps getting perpetuated.
[00:41:50.646 --> 00:41:51.226]  Absolutely.
[00:41:51.246 --> 00:41:59.671]  When we come back, I want to play a clip of that Canadian health official saying, we don't want to ever live through the lockdowns because people will actually talk.
[00:42:00.091 --> 00:42:01.272]  Folks thought he misspoke.
[00:42:01.392 --> 00:42:06.195]  Then the Canadian, the German, the Australian, the British government all repeated what he said.
[00:42:06.515 --> 00:42:08.196]  What do you make of them being so brazen?
[00:42:09.554 --> 00:42:10.655]  Because they have no choice.
[00:42:10.675 --> 00:42:15.157]  They have to try to silence people like you and me because we're having the impact that we need to have.
[00:42:15.477 --> 00:42:18.499]  We're not just having an impact, we're having the impact.
[00:42:18.539 --> 00:42:19.540]  We are the change.
[00:42:20.080 --> 00:42:22.842]  Like I said, I saw a massive shift in Canadian society.
[00:42:23.142 --> 00:42:24.703]  The masses have awoken.
[00:42:24.943 --> 00:42:29.665]  So now the only thing they can try to do is try to put the cat back in the bag, which we know is impossible.
[00:42:29.886 --> 00:42:35.889]  That's why they're trying to pass all these bills like C36 and C10 in Canada there to limit our freedom of speech.
[00:42:36.229 --> 00:42:39.071]  Because they've already taken all our other rights with the vaccine passport.
[00:42:39.311 --> 00:42:42.553]  They've already closed our businesses and destroyed our industries with the lockdowns.
[00:42:42.833 --> 00:42:45.835]  So the only thing we have left is the ability to speak about what's happening.
[00:42:46.216 --> 00:42:50.098]  And that's their number one enemy right now because we're telling the truth and they're lying.
[00:42:50.418 --> 00:42:57.463]  So they're at a huge disadvantage which is why they have to use media, government, elected officials, medical professionals to tell their lie.
[00:42:57.623 --> 00:43:01.626]  And it could just be a regular dude like me going around telling the truth and ruining their plans.
[00:43:01.966 --> 00:43:03.407]  Chris Sky will do five more minutes with you.
[00:43:03.427 --> 00:43:04.808]  Please come back for a full hour this week.
[00:43:04.828 --> 00:43:05.508]  You name the time.
[00:43:05.868 --> 00:43:07.009]  Tell my producers during the break.
[00:43:07.349 --> 00:43:08.830]  That's realchrissky.com.
[00:43:08.850 --> 00:43:09.270]  Check it out.
[00:43:09.310 --> 00:43:09.810]  Get his book.
[00:43:09.911 --> 00:43:10.811]  And please support us.
[00:43:11.311 --> 00:43:12.592]  Infowarsstore.com.
[00:43:12.632 --> 00:43:18.355]  Today is the last day and it's over to get 10% off on the high-quality, storable food ready to ship in these crazy times.
[00:43:18.475 --> 00:43:19.036]  I would get ready.
[00:43:19.136 --> 00:43:20.857]  Infowarsstore.com.
[00:43:20.917 --> 00:43:25.599]  And in one week, we're ending the sale on X2, the Deep Earth Crystal high-quality Ionine.
[00:43:25.980 --> 00:43:26.300]  It is 40% off.
[00:43:26.340 --> 00:43:26.900]  Infowarsstore.com.
[00:43:30.302 --> 00:43:36.345]  And of course, you can go to MyPillow.com, promo code ALEX, up to 66% off with promo code ALEX at MyPillow.com.
[00:43:50.111 --> 00:43:52.432]  Alright, Chris Sky is here with us for one more segment.
[00:43:52.452 --> 00:43:54.993]  I'm asking him to come on for a full hour sometime this week.
[00:43:55.053 --> 00:43:59.015]  I've asked him before, he's such a busy guy, crisscrossing Canada, he hasn't been able to do it.
[00:43:59.095 --> 00:44:01.636]  And if you've never been down to the U.S., he's got a first class ticket here.
[00:44:01.736 --> 00:44:03.556]  I want to go see him, but they won't let me into Canada.
[00:44:04.097 --> 00:44:04.877]  This tyranny is incredible.
[00:44:04.897 --> 00:44:16.362]  But here's the, um, one of the health ministers up in Canada, since we mentioned this, saying, we want to keep martial law in place so people can't get together and quote, share disinformation.
[00:44:16.382 --> 00:44:16.682]  Here it is.
[00:44:18.214 --> 00:44:19.797]  Hi there, thanks for taking my questions.
[00:44:19.897 --> 00:44:29.872]  I'm wondering about the injunction banning public gatherings and whether there really is a need for such a far-reaching one given the trajectory we're on now.
[00:44:32.165 --> 00:44:33.645]  So, I mean, I think it's still there.
[00:44:33.725 --> 00:44:38.946]  We still have, you know, bringing large numbers of people together.
[00:44:38.966 --> 00:44:42.267]  It can present some risk.
[00:44:42.327 --> 00:44:43.727]  We'll continue to look at that.
[00:44:44.867 --> 00:44:58.150]  But I think the other purpose of the injunction is to prevent, you know, groups that are spreading, deliberately spreading false information that can actually create risk.
[00:44:59.510 --> 00:45:15.154]  Since he said that a month ago, I have them in a bunch of other countries, like Australia, and put it on screen saying, Chris Skye, in closing, the mask is off.
[00:45:15.655 --> 00:45:16.955]  They've really overplayed their hand.
[00:45:17.295 --> 00:45:21.516]  People tend to think, when I'm studying history, well they're the authorities, they must have the upper hand.
[00:45:21.596 --> 00:45:21.796]  No.
[00:45:22.176 --> 00:45:24.597]  Tyrants have psychological problems.
[00:45:25.417 --> 00:45:26.157]  It's mental illness.
[00:45:26.237 --> 00:45:27.998]  It's like child molesters have a compulsion.
[00:45:28.518 --> 00:45:29.678]  They are going to do this.
[00:45:29.718 --> 00:45:30.799]  They're not going to stop.
[00:45:30.979 --> 00:45:32.019]  They want to control us.
[00:45:32.039 --> 00:45:32.919]  They're control freaks.
[00:45:33.280 --> 00:45:34.460]  We have to say no.
[00:45:35.380 --> 00:45:41.102]  The point it stops, what Thomas Jefferson said 240 years ago, is the point we start saying no.
[00:45:41.202 --> 00:45:41.542]  Correct?
[00:45:43.383 --> 00:45:41.542]  100%.
[00:45:43.583 --> 00:45:45.643]  That's why I got the campaign, Just Say No.
[00:45:47.104 --> 00:45:48.744]  And it's about saying no to the vaccine.
[00:45:48.784 --> 00:45:50.145]  It's about saying no to the masks.
[00:45:50.165 --> 00:45:53.626]  It's about saying no to all the restrictions that you know are not in your best interest.
[00:45:54.626 --> 00:45:56.167]  You're a real leader of a country.
[00:45:56.567 --> 00:46:03.430]  Your job is to run the country in a way where the people can make their own decisions and attain success.
[00:46:03.811 --> 00:46:09.674]  If you're wasting energy, resources, time, and money to manage the people, then you're not a leader.
[00:46:09.714 --> 00:46:10.414]  You're a tyrant.
[00:46:10.594 --> 00:46:11.795]  And that's what we're seeing right now.
[00:46:12.235 --> 00:46:14.596]  And people need to understand that freedom is essential.
[00:46:14.636 --> 00:46:15.656]  It isn't just a tagline.
[00:46:15.897 --> 00:46:16.697]  That's the reality.
[00:46:17.138 --> 00:46:28.100]  If people don't have freedom, you cannot have a happy, content society, and you cannot have a society where you can actually be successful, pass something on to your children, and so on, and so forth.
[00:46:28.427 --> 00:46:36.353]  They are literally trying to destroy the American dream, the Canadian dream, and replace it with a version of worldwide communism.
[00:46:36.413 --> 00:46:40.295]  And it sounds scary and it sounds ridiculous, but that's exactly what they are doing.
[00:46:40.656 --> 00:46:43.398]  They've systematically removed our rights with a medical tyranny.
[00:46:43.738 --> 00:46:48.661]  They're trying to remove our financial dependence by closing our businesses and killing our jobs.
[00:46:49.082 --> 00:46:53.705]  And now they're trying to stop the spread of information because people have figured it out.
[00:46:54.045 --> 00:46:56.427]  And this is what people need to realize.
[00:46:56.823 --> 00:46:57.825]  The people that are asleep.
[00:46:58.266 --> 00:46:59.509]  This is not about your health.
[00:46:59.569 --> 00:47:00.812]  This is not about your safety.
[00:47:00.832 --> 00:47:02.135]  This is about control.
[00:47:02.536 --> 00:47:04.180]  And that one little
[00:47:04.807 --> 00:47:13.610]  Tiny thing that alters your perception from the lie that they've been telling you to the reality that is truth, is what they're trying to prevent from spreading worldwide.
[00:47:13.850 --> 00:47:17.612]  And that's why they want to control what they call false information.
[00:47:18.012 --> 00:47:21.793]  And false is just a misonomer for anything we don't want you to know.
[00:47:22.194 --> 00:47:31.097]  Because it's quite obvious that the cat is out of the bag, the vaccine doesn't work, the only people getting sick are the vaccinated, there's no COVID.
[00:47:31.755 --> 00:47:32.716]  We are through it.
[00:47:32.996 --> 00:47:35.899]  They are already calling it an endemic in most parts of the world.
[00:47:51.352 --> 00:47:53.774]  And we gotta let people know we're leading by example.
[00:47:53.814 --> 00:47:57.516]  We're not pretending to be a messiah or a savior or telling you to follow us.
[00:47:57.736 --> 00:47:57.856]  No.
[00:47:57.876 --> 00:48:04.280]  We're just leading by example, trying to provide you the inspiration, the knowledge, and the courage to stand up for yourself.
[00:48:04.340 --> 00:48:05.120]  We lead by example.
[00:48:05.140 --> 00:48:05.640]  That's what I'm saying.
[00:48:05.681 --> 00:48:06.941]  A tyrant makes you do something.
[00:48:07.261 --> 00:48:09.723]  Leadership, you demonstrate it.
[00:48:10.919 --> 00:48:11.219]  That's right.
[00:48:11.739 --> 00:48:13.120]  And that's what we're trying to do with this book.
[00:48:13.680 --> 00:48:15.041]  And that's what they're so afraid of.
[00:48:15.501 --> 00:48:17.122]  And if you want me to come on, I'll come on.
[00:48:17.142 --> 00:48:18.582]  I can come on even August 3rd.
[00:48:18.602 --> 00:48:19.343]  It's my birthday.
[00:48:19.563 --> 00:48:21.104]  So you can have me on on my birthday.
[00:48:21.704 --> 00:48:22.164]  Let's do it.
[00:48:22.184 --> 00:48:24.465]  Let's do it Tuesday then, or Wednesday, whatever day that is.
[00:48:24.505 --> 00:48:26.426]  Chris Sky, thank you so much, folks.
[00:48:26.466 --> 00:48:29.948]  Get his book on his website, realchrissky.com.
[00:48:29.968 --> 00:48:31.068]  Mike Adams is coming up.
[00:48:31.088 --> 00:48:31.608]  Thank you, Chris Sky.
[00:48:41.690 --> 00:48:49.392]  Alex Jones, the cure to fake news, coming to you live from Austin, Texas.
[00:48:52.093 --> 00:48:54.294]  I can feel humanity awakening.
