[00:00:27.609 --> 00:00:28.750]  It's Sunday Live.
[00:23:25.948 --> 00:23:32.482]  How much more evidence do we need before we collectively realize that this entire thing is a scam?
[00:23:32.503 --> 00:23:36.110]  For InfoWars.com, this is Greg Reese.
[00:23:53.891 --> 00:23:56.052]  We're seeing a lot of really crazy things happening.
[00:23:56.092 --> 00:23:57.413]  We're seeing a lot of tyranny.
[00:23:58.414 --> 00:24:04.238]  We're seeing evil in high places try to have its will with us and dominate us.
[00:24:07.240 --> 00:24:11.623]  We are seeing the globalists make their move in a big, big way.
[00:24:12.943 --> 00:24:15.085]  But here's Proverbs 19, 21.
[00:24:15.345 --> 00:24:22.430]  Many are the plans in a man's heart, but it is the Lord's purpose
[00:24:23.430 --> 00:24:24.311]  That prevails.
[00:24:26.134 --> 00:24:27.516]  And I've seen that over and over again.
[00:24:27.537 --> 00:24:31.623]  My dad always tells me that when I was a child and even now when I get upset about things.
[00:24:31.643 --> 00:24:37.192]  He says, son, the best laid plans of mice and men often go astray.
[00:24:38.820 --> 00:24:48.349]  And all these different globalist programs I've seen may work in their first and second step, but it always has uncontrollable developments that they can't foresee.
[00:24:48.670 --> 00:24:50.411]  We're about to be talking to Roger Stone.
[00:24:51.172 --> 00:24:53.694]  Mike Lindell's coming up later in the next hour with big news.
[00:24:54.455 --> 00:24:55.756]  Talk about tomorrow's news today.
[00:24:55.797 --> 00:24:57.058]  We're not happy about this news.
[00:24:57.979 --> 00:24:58.980]  It was Roger a month ago.
[00:25:00.316 --> 00:25:03.659]  That said, his sources in New York said they're intending to indict Trump by July 4th.
[00:25:04.359 --> 00:25:12.245]  Well, CNN announced it, rubbing their hands together that they think indictment of his company by July 4th, an unprecedented move.
[00:25:12.285 --> 00:25:13.086]  Talk about a straw man.
[00:25:13.266 --> 00:25:18.310]  We'll break it down in a moment and why they're panicking so much.
[00:25:20.152 --> 00:25:22.434]  But first, let's talk about reality here.
[00:25:23.394 --> 00:25:23.855]  Two things.
[00:25:24.850 --> 00:25:31.013]  You need to support the economy and support organizations that tell the truth and fight tyranny.
[00:25:32.353 --> 00:25:38.836]  And there's no organization out there that's done a better job overall than this broadcast with our crew and all the guests and you, the listeners, and this family.
[00:25:39.216 --> 00:25:42.277]  And we need funds to operate and keep the situation on the air.
[00:25:42.658 --> 00:25:47.019]  And we're just right there between the red and the black, and I want to be able to expand, not contract.
[00:25:47.039 --> 00:25:49.560]  So please, shop at InfoWarsTore.com today.
[00:25:51.041 --> 00:25:53.143]  It's a first-rate site with thousands of great items.
[00:25:53.503 --> 00:26:00.469]  We have the once-a-year July 4th Super Sale going right now, which means free shipping and double page rate points are back.
[00:26:01.110 --> 00:26:03.592]  Survival Shield X2 sold out, 50% off.
[00:26:03.912 --> 00:26:05.293]  The Good Halogen, find out about it.
[00:26:05.333 --> 00:26:07.275]  Find out about the Iodine Conspiracy.
[00:26:07.635 --> 00:26:11.439]  Super Melzor Female Vitality, just good cold-pressed herbs for libido mainly.
[00:26:11.819 --> 00:26:12.499]  Everybody loves it.
[00:26:13.160 --> 00:26:14.381]  Both formulas are almost the same.
[00:26:14.421 --> 00:26:16.503]  It works for men and women, but there's two different variants of it.
[00:26:17.103 --> 00:26:17.544]  That's 50% off.
[00:26:19.125 --> 00:26:21.846]  Survival Sold X3, the tri-iodine, 60% off.
[00:26:21.906 --> 00:26:23.267]  Bio-True Selenium, 50% off.
[00:26:23.607 --> 00:26:27.428]  Ultimate Krill Oil, highest grade Krill Oil, way better than even fish oil, let me say.
[00:26:27.448 --> 00:26:28.388]  40% off.
[00:26:28.408 --> 00:26:30.469]  We have really high quality fish oil as well.
[00:26:31.349 --> 00:26:34.090]  And all water filtrations, 10% off.
[00:26:34.170 --> 00:26:38.712]  Alexa Pure Breeze, Alexa Pure Pro, and all those systems are there.
[00:26:39.092 --> 00:26:41.173]  And then separately, I want to hit this, and we're going to Roger.
[00:26:42.216 --> 00:26:42.856]  Zero heads.
[00:26:42.916 --> 00:26:45.758]  The Fed faces the greatest risk in its history.
[00:26:46.359 --> 00:26:48.840]  An economic crisis accompanied by inflation.
[00:26:49.140 --> 00:26:50.341]  They've done all this by design.
[00:26:50.762 --> 00:26:52.943]  They've decided to bring us into this dystopia.
[00:26:53.243 --> 00:26:55.705]  They've got new lockdowns being announced and looming.
[00:26:56.585 --> 00:26:57.646]  This is the new world order move.
[00:26:57.666 --> 00:26:58.667]  Here's another one.
[00:26:58.707 --> 00:26:58.827]  U.S.
[00:26:58.867 --> 00:27:02.089]  food banks warn soaring prices will affect distributors.
[00:27:04.008 --> 00:27:06.011]  I talked to big national suppliers.
[00:27:06.051 --> 00:27:15.403]  They say everybody's already gone up massively and healthy indexes are by the fall 60 plus percent increases in most major foodstuffs.
[00:27:15.664 --> 00:27:17.747]  We've seen doubling and tripling in many major commodities.
[00:27:18.107 --> 00:27:18.447]  Lumber
[00:27:19.841 --> 00:27:21.022]  Things like that are triple.
[00:27:21.082 --> 00:27:24.104]  I mean, this is a serious, serious situation.
[00:27:24.205 --> 00:27:26.827]  And I bring that up because it's done by design.
[00:27:26.887 --> 00:27:28.088]  Blackouts loom in California.
[00:27:28.348 --> 00:27:30.049]  Electricity prices are absolutely exploding.
[00:27:30.530 --> 00:27:31.971]  Why did I tell you what happened under Biden?
[00:27:32.391 --> 00:27:37.135]  Because they go back to the old globalist policies of shutting down America and economic war.
[00:27:37.836 --> 00:27:40.858]  And you see everything I told you is happening because the enemy is known.
[00:27:41.058 --> 00:27:41.899]  Their playbook is known.
[00:27:41.979 --> 00:27:44.761]  So, what else is in the big July 4th sale?
[00:27:46.002 --> 00:27:47.203]  They said, Alex, we got good news.
[00:27:47.383 --> 00:27:48.885]  We have bought so much food out.
[00:27:49.778 --> 00:27:52.300]  And we're going to give you this month the authorization and right before Christmas
[00:28:00.165 --> 00:28:03.186]  To do 10% off, but then in the new year, we've got to go up quite a bit.
[00:28:03.606 --> 00:28:06.927]  And that's the plan, and that's what they are doing.
[00:28:07.427 --> 00:28:12.609]  So that's the other big part of the July 4th mega sale at InfoWarsTore.com, the full My Patriot catalog.
[00:28:12.629 --> 00:28:17.710]  We have the lowest prices, an additional 10% off at InfoWarsTore.com.
[00:28:18.131 --> 00:28:22.312]  And they told me that I can run it, when I said this month, for three weeks.
[00:28:23.152 --> 00:28:25.093]  Three weeks, 10% off.
[00:28:25.713 --> 00:28:26.734]  It's storable food.
[00:28:26.874 --> 00:28:27.554]  It's high quality.
[00:28:27.574 --> 00:28:28.334]  It's what I use.
[00:28:28.674 --> 00:28:30.075]  You can give it to your friends and family.
[00:28:30.195 --> 00:28:30.955]  It is insurance.
[00:28:31.015 --> 00:28:31.475]  You will eat.
[00:28:31.495 --> 00:28:38.758]  And it's the only way to beat inflation is to get things like storable food so that you basically freeze the price.
[00:28:38.999 --> 00:28:40.799]  And then going forward, it can supplement what you're doing.
[00:28:41.059 --> 00:28:44.561]  So very smart move with the attempts to break down and shut down society.
[00:28:44.681 --> 00:28:46.222]  And it funds InfoWars.
[00:28:46.502 --> 00:28:48.983]  So InfoWarsStore.com.
[00:28:49.603 --> 00:28:51.284]  InfoWarsStore.com.
[00:28:51.404 --> 00:28:51.624]  Okay.
[00:28:52.324 --> 00:28:56.006]  That said, now we've got our big guest here, ladies and gentlemen.
[00:28:57.326 --> 00:28:58.347]  And that's Roger Stone.
[00:28:59.547 --> 00:29:03.509]  And before I go to him, I want to just play a compilation of clips here.
[00:29:04.129 --> 00:29:10.812]  This is CNN rubbing their hands together about the looming indictment of Trump's company.
[00:29:11.653 --> 00:29:12.453]  That's just the beginning.
[00:29:13.033 --> 00:29:17.275]  And then Al Gore trying to say, oh, it's ridiculous to question the election.
[00:29:17.655 --> 00:29:18.596]  It's preposterous.
[00:29:18.636 --> 00:29:21.117]  They're really scared about what's coming out of Arizona.
[00:29:21.137 --> 00:29:21.457]  Here it is.
[00:29:23.407 --> 00:29:28.011]  Breaking news, a major development in the Manhattan District Attorney's investigation into the Trump Organization.
[00:29:28.031 --> 00:29:34.776]  The DA office telling Donald Trump's attorneys that criminal charges could be filed against the Trump Organization as soon as next week.
[00:29:35.317 --> 00:29:40.661]  The charges are believed to be tied to allegations of tax evasion over compensation paid to top executives.
[00:29:44.940 --> 00:29:54.290]  Pamela, the refusal of the former president to acknowledge that he lost by 7 million votes, it wasn't close for God's sake.
[00:29:54.730 --> 00:30:06.603]  And apparently a majority of his party is still so enthralled to him that they still believe that the American people did not make the judgment that they clearly made.
[00:30:07.043 --> 00:30:12.126]  And Mitt Romney came out and made the same desperate statements, going, oh, you know, he lost by 7 million votes.
[00:30:12.647 --> 00:30:16.489]  Yeah, after the polls closed, he was winning by record amounts before that.
[00:30:16.529 --> 00:30:17.790]  So joining us is Roger Stone.
[00:30:18.090 --> 00:30:18.691]  Here's the headline.
[00:30:18.751 --> 00:30:23.694]  Roger Stone predicts a Donald Trump criminal indictment is on the horizon on my show.
[00:30:24.174 --> 00:30:25.816]  That was May 30th, a month ago.
[00:30:26.616 --> 00:30:27.257]  Here's another one.
[00:30:27.517 --> 00:30:31.580]  Trump longtime ally Roger Stone says former president must prepare to be indicted.
[00:30:31.600 --> 00:30:32.561]  Again, that's a month ago.
[00:30:32.601 --> 00:30:33.381]  And here's the new headline.
[00:30:33.662 --> 00:30:37.665]  Trump organization could face criminal charges in New York as soon as next week.
[00:30:38.846 --> 00:30:39.987]  Again, unprecedented.
[00:30:40.387 --> 00:30:41.708]  He's got sources up there.
[00:30:41.808 --> 00:30:44.770]  We hope this doesn't happen, but they are telegraphing it's going to happen.
[00:30:45.311 --> 00:30:51.776]  Is this because they're so scared of Trump leading the Republican Party and going out and challenging their attempt to federalize elections?
[00:30:53.428 --> 00:30:55.749]  Alex, that's that's exactly what it is.
[00:30:55.849 --> 00:31:07.075]  Now, every one of those stories, of course, you have to go to the fifth paragraph before I'm quoted as saying these are fabricated charges, that these are contrived, politically motivated charges.
[00:31:07.556 --> 00:31:12.038]  I don't believe that the president or his real estate company did anything wrong.
[00:31:12.458 --> 00:31:21.929]  This is some kind of a case of selective prosecution and it is being used because they are deathly afraid that Donald Trump will be on the ballot again in 2024.
[00:31:23.571 --> 00:31:24.793]  He surely beat them once.
[00:31:25.113 --> 00:31:26.775]  He most likely beat them twice.
[00:31:27.276 --> 00:31:31.341]  By the way, did Al Gore criticize Hillary Clinton when she demanded recounts in
[00:31:31.921 --> 00:31:36.024]  Pennsylvania and Michigan and Wisconsin and refused to concede that she had lost?
[00:31:36.064 --> 00:31:37.305]  I don't recall that happening.
[00:31:37.365 --> 00:31:37.745]  Do you?
[00:31:38.305 --> 00:31:43.209]  So this is pure politics and I can tell you exactly what happened here.
[00:31:44.149 --> 00:31:58.159]  The Mueller investigation and the thugs working there simply took the fruits of their exhaustive examination in which they could not find criminal charges against Donald Trump and they shipped them to Cy Vance in Manhattan.
[00:31:58.379 --> 00:31:59.880]  That's essentially what happened.
[00:32:00.760 --> 00:32:05.203]  And I do think that the President needs to be very wary of this.
[00:32:05.924 --> 00:32:11.007]  If I were him, I would not be confident about the lawyers who handled his impeachment.
[00:32:11.647 --> 00:32:13.829]  That fellow Bruce Castor was an embarrassment.
[00:32:14.269 --> 00:32:17.611]  What did he mean when he said Joe Biden won the election fair and square?
[00:32:17.972 --> 00:32:19.653]  No, no Bruce, no he did not.
[00:32:19.993 --> 00:32:21.594]  And that's not your client's position.
[00:32:22.054 --> 00:32:30.759]  So I think it's vitally important that the President select one attorney who is not Eric Hirschman, who is not Cipollone.
[00:32:30.859 --> 00:32:32.579]  These two guys sold him out repeatedly.
[00:32:33.120 --> 00:32:34.600]  That's the reason, by the way.
[00:32:34.620 --> 00:32:44.325]  The New York Times has a big reveal two days ago, perhaps it was yesterday, that Trump ordered the Justice Department to draw up the documents to enact the Insurrection Act.
[00:32:44.826 --> 00:32:47.207]  The question is not why he had them drawn up.
[00:32:47.267 --> 00:32:49.388]  The question is why he didn't sign them.
[00:32:49.958 --> 00:32:54.721]  I mean, the first duty of the President of the United States is to preserve order.
[00:32:55.422 --> 00:32:55.982]  Seattle.
[00:32:56.282 --> 00:32:56.743]  Portland.
[00:32:56.983 --> 00:32:57.163]  Kenosha.
[00:32:57.183 --> 00:32:58.804]  That was real insurrection.
[00:32:59.004 --> 00:33:02.106]  We know Milley also tried to shout down folks that wanted to do it.
[00:33:02.386 --> 00:33:02.727]  Stay there.
[00:33:02.747 --> 00:33:03.847]  We'll have the floor when we come back.
[00:33:04.428 --> 00:33:05.929]  Roger Stone will lay this out.
[00:33:06.249 --> 00:33:08.470]  We're not happy they're trying to indict Trevor's organization.
[00:33:08.490 --> 00:33:11.793]  We're warning him so he can get on a war footing ahead of what's happening.
[00:33:12.113 --> 00:33:14.014]  And of course, Roger's been talking to the President as well.
[00:33:14.274 --> 00:33:14.835]  We'll be right back.
[00:33:14.855 --> 00:33:15.195]  Stay with us.
[00:33:22.471 --> 00:33:29.836]  It was a month ago that Roger Stone joined us on air.
[00:33:35.256 --> 00:33:39.459]  And said, from his sources in New York, where he, until recently, had an apartment.
[00:33:39.859 --> 00:33:44.382]  He's fully evacuated, like Trump has, to Florida because of the incredible persecution and tyranny.
[00:33:44.742 --> 00:33:52.307]  He said, my sources say, by July 4th, they are planning to indict people around Trump or Trump or his organization.
[00:33:52.347 --> 00:33:58.411]  Now, they're saying, sources in the city say, this is going to happen, they're going to indict his organization.
[00:33:59.132 --> 00:34:00.333]  Trump needs to know
[00:34:01.570 --> 00:34:03.433]  What lawyers sold him out in the impeachment?
[00:34:03.913 --> 00:34:04.914]  What lawyers didn't?
[00:34:05.035 --> 00:34:11.403]  And Roger Stone doesn't want to toot his horn, but I asked him, I said, for historic reasons, you need to get it on record.
[00:34:11.864 --> 00:34:16.510]  He said, fine, I will tell you what happened behind the scenes.
[00:34:18.352 --> 00:34:20.954]  So that Trump can hopefully protect himself.
[00:34:21.655 --> 00:34:33.386]  And what went on during the impeachment, the second impeachment, because that ties in to all of this now and the very same players that are sabotaging the true President of the United States.
[00:34:33.426 --> 00:34:38.250]  We need to be strong and in place to lead major Republican take backs of the House and Senate.
[00:34:38.350 --> 00:34:40.812]  And that's why they fear him so much.
[00:34:40.873 --> 00:34:43.115]  So, Roger, it was you who worked with the group.
[00:34:43.875 --> 00:34:50.781]  To get the video showing Democrats calling for violence that ended up one lawyer you got to actually play it when the others didn't.
[00:34:51.202 --> 00:34:57.988]  It was you that actually worked behind the scenes and is the reason they dropped it and didn't go into the full trial.
[00:34:58.308 --> 00:35:02.972]  You don't want the credit but you need to get it to show why the enemy hates you so much.
[00:35:03.032 --> 00:35:08.557]  So give people the inside baseball so Trump knows what he's facing right now and protects himself this time.
[00:35:09.810 --> 00:35:12.893]  Well, actually, as President Trump, we made exactly the right decision.
[00:35:12.993 --> 00:35:31.011]  Listen, David Schoen, who's appeared many times with Sean Hannity and who's formerly a liberal Democrat, but truly one of the finest lawyers I've ever met, the only lawyer I've ever met, who not only has enormous courage, but he understands the overlay of politics
[00:35:31.751 --> 00:35:37.913]  And he understands that things that happen outside the courtroom have an impact on what happens inside the courtroom.
[00:35:38.173 --> 00:35:44.276]  In this case, things that happen outside the Senate chamber have an impact on what happens inside the Senate chamber.
[00:35:44.736 --> 00:35:50.018]  Now, I know that several of the President's lawyers told him that Schoen did not want to address the Senate.
[00:35:50.298 --> 00:35:50.998]  That was a lie.
[00:35:51.738 --> 00:35:53.859]  That Schoen did not want to be out front.
[00:35:54.219 --> 00:35:55.060]  That was a lie.
[00:35:55.400 --> 00:35:58.961]  If you go back and look at that, the single strongest argument for Donald Trump
[00:35:59.701 --> 00:36:10.048]  A man who quickly dismissed the constitutionality of the impeachment because, firstly, the law says that the Chief Justice shall preside.
[00:36:10.128 --> 00:36:10.368]  Shall.
[00:36:10.388 --> 00:36:11.488]  I mean, it's just not an option.
[00:36:12.089 --> 00:36:14.070]  No mention of a Senator from Vermont there.
[00:36:15.431 --> 00:36:18.633]  You told me on the phone, tell the listeners, because here's the bottom line.
[00:36:19.133 --> 00:36:28.757]  The other lawyer said, oh, Biden won the election and everything, went along with a sham, illegal impeachment, without the Chief Justice there, as you just said.
[00:36:28.957 --> 00:36:30.457]  He called the elephant in the room.
[00:36:31.638 --> 00:36:32.678]  I'm getting there, Alex.
[00:36:32.698 --> 00:36:43.082]  The key point here is that the President's other attorneys were opposed to showing the extraordinarily dramatic and hard-hitting video in which you see various Democrats
[00:36:43.755 --> 00:36:49.621]  Uh, such as, uh, Maxine Waters, Chuck Schumer, uh, many others calling for violence.
[00:36:49.941 --> 00:36:55.867]  The violence we saw last summer in the Pacific Northwest and in the Midwest, as well as Philadelphia and DC.
[00:36:56.288 --> 00:37:01.152]  So, uh, I really think that David Schoen did an exemplary job for the president.
[00:37:01.273 --> 00:37:06.458]  That is, if I were making a decision, he is the man I would put in charge because he's a fighter.
[00:37:07.446 --> 00:37:08.947]  He's not worried about his next case.
[00:37:08.987 --> 00:37:13.030]  He's not worried about what the jury in this case thought about him.
[00:37:13.270 --> 00:37:15.411]  He wants to win for his client.
[00:37:15.772 --> 00:37:18.694]  Let's go back to the Insurrection Act because it's a perfect example.
[00:37:19.454 --> 00:37:29.461]  I know for an absolute fact that Cipollone and Eric Hirschman and the Chairman of the Joint Chiefs talked the President out of signing what he should have signed.
[00:37:30.261 --> 00:37:32.243]  This is not because I'm in favor of violence.
[00:37:32.263 --> 00:37:37.106]  This is because it is the duty of the President of the United States to preserve order.
[00:37:37.666 --> 00:37:42.929]  And what was happening in Spokane and Seattle and Kenosha and Philadelphia and D.C.
[00:37:43.170 --> 00:37:46.131]  was an orchestrated, well-financed insurrection.
[00:37:46.352 --> 00:37:47.512]  It's absolutely clear.
[00:37:47.792 --> 00:37:49.754]  Somebody paid for those pallets of bricks.
[00:37:50.074 --> 00:37:52.415]  Somebody paid for the buses and the flatbeds.
[00:37:52.715 --> 00:37:57.458]  Somebody paid for the lawyers who were standing by to bail people out when they were arrested.
[00:37:57.779 --> 00:37:59.300]  The president had that authority.
[00:37:59.420 --> 00:38:00.420]  I think it was a test.
[00:38:00.800 --> 00:38:03.082]  Sadly, the timid souls around the president
[00:38:04.303 --> 00:38:04.564]  That's right.
[00:38:04.584 --> 00:38:12.273]  When that test was failed, they made the move to provocateur January 6th, which we'll cover in a moment, which we now know they were trying to set you and I and the president up.
[00:38:12.313 --> 00:38:16.939]  But incredible inside baseball, Roger, that literally you had to get with folks.
[00:38:17.459 --> 00:38:19.582]  I knew about this at the time, but I'm glad you're willing to tell it now.
[00:38:19.602 --> 00:38:20.283]  It's not about credit.
[00:38:20.623 --> 00:38:41.759]  And you had to go with a group, have the video produced, showing the damn clips, to get one lawyer in there to show it, because they were going full-out Trump, no one was defending him, both arms tied behind his back, because they were making it about the law, when they weren't even defending the law, instead of bringing in the politics of, you're saying he called for violence, he didn't, here's all the Democrats calling for violence, and for killing the President!
[00:38:41.959 --> 00:38:48.404]  That was the ace of damn spades, they wouldn't play it, but thank God you hail married, and got one guy in there,
[00:38:48.744 --> 00:38:55.171]  So now ahead of them trying to indict his organization, we need Trump to go on a war footing here and not listen to these other damn lawyers.
[00:38:56.232 --> 00:38:57.033]  Let's make it clear.
[00:38:57.093 --> 00:39:00.596]  Donald Trump was in favor of showing that video from the very beginning.
[00:39:01.357 --> 00:39:03.539]  He liked the idea and he liked the strategy.
[00:39:04.080 --> 00:39:05.501]  This has happened time and time again.
[00:39:05.521 --> 00:39:09.766]  The president has extraordinarily good instincts and he is a fighter.
[00:39:10.841 --> 00:39:19.085]  So, the good news, of course, is you needed to have a vote as quickly as possible because the votes were not there to convict in the impeachment.
[00:39:19.345 --> 00:39:25.307]  And the longer it dragged out and the more the media pounded on Trump, the more slippage there would have been.
[00:39:25.427 --> 00:39:34.331]  So, my hat's off to David Schoen, but more importantly, my hat's off for Donald Trump for inserting him in the process and letting him show that extraordinary video.
[00:39:34.691 --> 00:39:38.153]  Yes, people had to stay up all night that worked with me to make it.
[00:39:38.693 --> 00:39:55.106]  But let's move on here, because you just hit a very good point, and that is, when the latest narrative on January 6th, which is the Great Recycle, one outlet said that the Feds are now focused on the fact that I was the mastermind.
[00:39:55.787 --> 00:39:56.888]  Categorically false.
[00:39:57.228 --> 00:40:02.152]  Wasn't there, didn't know anything about it in advance, didn't have any involvement whatsoever.
[00:40:03.178 --> 00:40:18.637]  But I did reveal, and I was excoriated for it, that when I was in my hotel room at the Willard, shortly after the President's speech, there was a call from the Secret Service offering to escort me to the head of the Marsh and up to the Capitol, which I declined.
[00:40:19.682 --> 00:40:26.507]  By the way, two pastors, two Protestant ministers and a police officer overheard all of that.
[00:40:26.587 --> 00:40:28.068]  Those are called witnesses.
[00:40:28.588 --> 00:40:31.050]  So for those who say, oh, that's made up.
[00:40:31.090 --> 00:40:31.990]  No, it's not made up.
[00:40:32.270 --> 00:40:32.771]  It's a fact.
[00:40:32.851 --> 00:40:34.272]  It's not a conspiracy theory.
[00:40:34.492 --> 00:40:35.653]  And you were smart.
[00:40:35.673 --> 00:40:36.813]  You left early and got out of there.
[00:40:36.833 --> 00:40:39.895]  You told me, you said, this is a cluster F. These people are idiots.
[00:40:39.955 --> 00:40:40.616]  I have a bad feeling.
[00:40:40.636 --> 00:40:41.737]  And I said, come on, Roger.
[00:40:42.197 --> 00:40:43.998]  I mean, I really twisted your arm.
[00:40:44.018 --> 00:40:44.979]  And then I just thought that
[00:40:46.149 --> 00:40:48.892]  I can't believe how surrounded Trump was with traitors.
[00:40:49.133 --> 00:40:51.756]  He would sign executive orders, as you know, they admit.
[00:40:52.096 --> 00:40:53.278]  They would throw them in the trash.
[00:40:53.618 --> 00:40:55.640]  So they tried to set us all up that day.
[00:40:55.660 --> 00:40:58.724]  I think it basically was a dud, a misfire.
[00:40:58.764 --> 00:40:59.225]  What do you think?
[00:41:00.387 --> 00:41:02.068]  Well, what you say is absolutely right.
[00:41:02.109 --> 00:41:19.364]  The President ordered the declassification of the documents that would have proved that the Mueller investigation was a politically motivated fraud, and the bureaucrats did nothing until Rick Grinnell took the position of acting Director of Intelligence and forced them, finally, to release those documents.
[00:41:19.444 --> 00:41:20.785]  Now, it's not even debatable.
[00:41:21.205 --> 00:41:26.410]  Anybody who tries to claim that the Mueller investigation was legitimate merely needs to look at those documents.
[00:41:26.850 --> 00:41:33.075]  We again pioneered that Trump was being illegally spied on during the campaign and as President Trump and that's why they wanted to destroy us.
[00:41:33.335 --> 00:41:36.877]  The only point that's out to listeners is to say we have delivered the goods.
[00:41:37.278 --> 00:41:38.579]  We are the real deal.
[00:41:38.639 --> 00:41:43.662]  We need you to magnify what we say and do and to support us because they're both trying to destroy us.
[00:41:43.742 --> 00:41:45.283]  I'm not going to spend time whining about it.
[00:41:45.624 --> 00:41:47.425]  I'm just saying we are under attack.
[00:41:47.705 --> 00:41:50.027]  We need your prayers and financial support now.
[00:41:51.363 --> 00:41:53.584]  Well, I was glad you opened this segment with the proverb.
[00:41:53.604 --> 00:41:57.767]  I'm going to be honest with you, Alex, I'm saying the rosary now twice a day, every day.
[00:41:57.787 --> 00:41:59.828]  And it brings me great solace.
[00:41:59.848 --> 00:42:06.833]  It brings me great calm, because this is a battle for the future of Western civilization, for the future of our country.
[00:42:07.573 --> 00:42:15.538]  And I really fervently hope that the president will select one strong, good, honest, tough lawyer to represent him in New York.
[00:42:15.958 --> 00:42:18.640]  No one ever built a statue to a committee.
[00:42:19.870 --> 00:42:21.492]  War counsels breed defeat.
[00:42:21.512 --> 00:42:23.654]  I think Douglas MacArthur said that.
[00:42:24.074 --> 00:42:24.695]  And it's true.
[00:42:25.075 --> 00:42:35.485]  The president is facing completely bogus, manufactured, politically motivated charges that are an attempt to derail any attempt... So you're saying... I mean, I know you have great sources, you've been proven right.
[00:42:35.825 --> 00:42:37.667]  They are planning to indict his organization, then?
[00:42:38.703 --> 00:42:40.504]  Yes, there's no question whatsoever.
[00:42:40.584 --> 00:42:49.428]  And then they are squeezing Matt Calamari, good friend of mine, a guy I've known for 30 years, who became chief operating officer of the company.
[00:42:50.069 --> 00:42:54.691]  They're squeezing Allen Weisselberg, Trump's longtime CFO, also a fine man.
[00:42:55.731 --> 00:42:58.332]  This is outrageous, absolutely outrageous.
[00:42:58.952 --> 00:43:06.214]  And then Alex, we get into this on the other side, but I want to talk about the stunning arrest of the two James Cusick Sr.
[00:43:06.234 --> 00:43:19.477]  and Jr., both pastors, both ministers, neither one of them charged with violent crimes, but an FBI raid at their home that reminded me very much of the early morning pre-dawn assault on my home by 29 SWAT-clad
[00:43:22.640 --> 00:43:25.242]  Assault weapon bearing FBI agents.
[00:43:25.362 --> 00:43:27.664]  We're talking real tomorrow's news today.
[00:43:27.784 --> 00:43:36.290]  One more segment with Roger Stone and then Mike Lindell is going to join us on the latest on the audit and the information coming out and how the Democrats are so panicked by that.
[00:43:36.310 --> 00:43:50.681]  That's why ahead of the Arizona audit, as he said a month ago, Roger Bredikadier, ahead of that coming out in early July, they're going to indict the Trump Organization, which is really very rare to indict an organization before people, but it shows they have nothing.
[00:43:50.701 --> 00:43:51.182]  We'll be right back.
[00:44:02.153 --> 00:44:07.439]  You know, I asked Roger to tell the story how he worked specifically to get that video.
[00:44:08.635 --> 00:44:11.417]  To that lawyer and a bunch of other behind-the-scenes stuff.
[00:44:11.437 --> 00:44:12.198]  It's just unbelievable.
[00:44:13.218 --> 00:44:15.520]  And I knew other folks involved that knew what Roger's saying is true.
[00:44:15.560 --> 00:44:16.421]  Roger's never lied to me.
[00:44:17.061 --> 00:44:19.083]  And then Roger doesn't want the credit because he doesn't want to sit there.
[00:44:19.123 --> 00:44:19.863]  It's not about the credit.
[00:44:19.883 --> 00:44:24.707]  It's about how close we were to having no defense of the president in the second impeachment trial.
[00:44:25.808 --> 00:44:26.628]  And so I love Trump.
[00:44:26.648 --> 00:44:27.349]  I think Trump's great.
[00:44:27.369 --> 00:44:29.531]  But he'll either be the best president we ever had or the worst president.
[00:44:29.871 --> 00:44:36.416]  Because either he's the best because we end up taking the country back or he's the worst because he summoned the left to rise up and take our country over.
[00:44:36.816 --> 00:44:37.637]  In closing, Roger,
[00:44:38.772 --> 00:44:40.853]  You were making some other great points as we went to break here.
[00:44:42.434 --> 00:44:44.635]  Other areas you'd like to cover?
[00:44:46.136 --> 00:44:59.784]  Extraordinarily good reporting by Darren Beatty at The Revolver and by Tucker Carlson that I think are really beginning to make the case that the January 6th insurrection was an FBI-directed operation.
[00:45:00.525 --> 00:45:02.666]  This is vital, vital reporting.
[00:45:02.726 --> 00:45:04.427]  If you haven't seen it, I'm not surprised.
[00:45:04.827 --> 00:45:09.010]  Because the mainstream media is doing everything humanly possible to censor it.
[00:45:09.331 --> 00:45:25.223]  But, it is very important to note this case in Florida, where the FBI came with the local county sheriff to arrest 73-year-old Vietnam veteran, Purple Heart veteran, James Cusick Sr., who's not even charged with a violent crime.
[00:45:25.284 --> 00:45:27.025]  He's essentially charged with trespassing.
[00:45:27.968 --> 00:45:29.629]  His son was also arrested.
[00:45:29.909 --> 00:45:31.250]  He's also a pastor.
[00:45:31.590 --> 00:45:48.799]  And it took me back to that morning, January 25th, 2019, when the taxpayers footed the bill for $1.1 million, and 29 SWAT-clad, assault-weapon-bearing, night-goggle-wearing FBI agents surrounded my home.
[00:45:49.440 --> 00:45:56.367]  The worst part of that was when they perp walked my wife out of the house for the CNN cameras, even though she was charged with no crime.
[00:45:56.407 --> 00:46:00.091]  And by the way, Roger, I was just reliving that watching the video, unlike you being there.
[00:46:00.551 --> 00:46:05.296]  These guys are pointing assault rifles at your stomach while your hands are up.
[00:46:05.356 --> 00:46:06.517]  It's just, it's ridiculous.
[00:46:06.837 --> 00:46:11.182]  It's all makeup, like Wonderland, like they're the good guys, you're the bad guy.
