[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[00:32:32.412 --> 00:32:37.034]  I want to encourage everybody to go to mcoleworkstore.com and get the X2 before it sells out to 50% off.
[00:32:37.394 --> 00:32:37.794]  How to get the
[00:32:38.726 --> 00:32:39.166]  We're good to go.
[00:33:08.135 --> 00:33:09.556]  And that's how we're funding the operation.
[00:33:10.376 --> 00:33:12.137]  Again, get books, get films, get t-shirts.
[00:33:13.618 --> 00:33:19.321]  All right, some final words from Alex Jones here before he says goodbye, and then we have some special reports.
[00:33:19.701 --> 00:33:21.202]  Alex, on the phone line, go ahead.
[00:33:22.643 --> 00:33:23.903]  Well, it's just this.
[00:33:24.343 --> 00:33:28.606]  I did shoot a very important special report where I coherently lay out the basic facts.
[00:33:28.626 --> 00:33:29.366]  We already did here today.
[00:33:29.386 --> 00:33:31.247]  It's going to air in the second, third segment that you're taking over.
[00:33:31.967 --> 00:33:35.849]  But listen, listeners, don't take info wars for granted.
[00:33:35.889 --> 00:33:36.950]  And I'm telling myself that.
[00:33:38.030 --> 00:33:45.573]  And the InfoWars is our listeners, InfoWars is our callers, it's our affiliates, it's our reporters, it's our guests, it's our hosts.
[00:33:46.153 --> 00:33:49.774]  This is such an important family, and I'm telling you, we've changed history together.
[00:33:50.135 --> 00:33:56.897]  So if we've been able to do this together, think what we can do in the future as our credibility explodes, okay?
[00:33:57.978 --> 00:34:04.200]  And as people begin to research themselves, don't just take this as stuff we claim, but go and find out for it for themselves.
[00:34:05.229 --> 00:34:08.631]  Evil has been building quietly and preparing for a long, long time.
[00:34:09.252 --> 00:34:10.252]  And now it's out in the open.
[00:34:10.792 --> 00:34:14.355]  It's launching its assault because we were taking the planet back from globalists.
[00:34:15.395 --> 00:34:21.118]  And there was a Christian awakening happening outside of the churches that frightened the system.
[00:34:21.799 --> 00:34:23.560]  So the enemy has completely uncloaked.
[00:34:23.600 --> 00:34:25.461]  But listen, if you're not a Christian, I'm not attacking you.
[00:34:25.501 --> 00:34:26.161]  I'm not judging you.
[00:34:26.662 --> 00:34:28.603]  I'm just saying there is good and evil in this universe.
[00:34:29.730 --> 00:34:31.491]  The Globalists are going after real Christians.
[00:34:31.571 --> 00:34:34.192]  Christianity predicted all of what's unfolding right now.
[00:34:34.552 --> 00:34:38.514]  And I'm just saying, good and evil is a very real thing.
[00:34:39.074 --> 00:34:40.295]  And here's the deal.
[00:34:41.035 --> 00:34:45.637]  Going along with the Globalists only makes you poorer and more unhappy and more pathetic.
[00:34:45.897 --> 00:34:49.939]  Why would anyone want to submit to them when everything they say is a lie and a fraud?
[00:34:50.559 --> 00:34:54.081]  They're doing this, again, to discredit our Republic.
[00:34:54.847 --> 00:34:57.069]  Blame America for what's about to happen worldwide.
[00:34:57.649 --> 00:35:02.913]  Blame the virus for the worldwide economic collapse that the globalists have engineered called the Great Reset.
[00:35:03.414 --> 00:35:05.175]  We have the enemy plans.
[00:35:06.016 --> 00:35:07.197]  We have their confessions.
[00:35:07.677 --> 00:35:09.078]  We have their future battle plans.
[00:35:09.158 --> 00:35:09.739]  And here's the deal.
[00:35:10.239 --> 00:35:11.140]  They're very OCD.
[00:35:11.300 --> 00:35:16.985]  Their criminals, especially mastermind types, are very methodical in their criminology.
[00:35:17.865 --> 00:35:20.287]  They are going to continue to execute the plans as they've been doing.
[00:35:20.948 --> 00:35:22.309]  That's why it's so easy to predict what they're going to do.
[00:35:22.879 --> 00:35:23.120]  Okay?
[00:35:23.620 --> 00:35:27.626]  And so, again, things are just going to get worse until we wake up and say no to this.
[00:35:27.706 --> 00:35:29.068]  This is a takeover plan.
[00:35:29.649 --> 00:35:30.770]  This is dehumanization.
[00:35:30.830 --> 00:35:31.912]  This is total enslavement.
[00:35:32.573 --> 00:35:39.803]  And now the fields in people's minds are fertile for planting seeds of truth and getting people to move and getting people to take action.
[00:35:40.934 --> 00:35:44.577]  Just last week, Oma's on air, and so was I, saying they're about to bring back the mask mandate.
[00:35:45.017 --> 00:35:50.001]  Then they're going to try to bring in a mandate and say, if you want to get on any airplanes, you've got to have an injection.
[00:35:50.482 --> 00:35:52.343]  And now, what is Biden saying?
[00:35:52.483 --> 00:35:54.245]  Just sit back and think about what they're saying.
[00:35:54.745 --> 00:36:02.351]  You must take an experimental shot, but they've lied to us about every front that's been linked to all these deaths and illnesses, where all the top scientists predicted it would cause blood clots.
[00:36:02.451 --> 00:36:02.871]  It does.
[00:36:03.252 --> 00:36:05.974]  Most of these vaccines are being pushed on us, are banned in other countries.
[00:36:06.594 --> 00:36:07.295]  I mean, this is incredible.
[00:36:07.867 --> 00:36:08.168]  I don't know.
[00:36:23.624 --> 00:36:24.985]  And we're gonna have to get aggressive.
[00:36:25.465 --> 00:36:26.665]  And I mean, get serious.
[00:36:26.685 --> 00:36:29.286]  And I mean, probably start blocking highways like Black Lives Matter does.
[00:36:29.326 --> 00:36:33.548]  Not get anybody killed, but, you know, have serious demonstrations to take over media events peacefully.
[00:36:33.848 --> 00:36:35.129]  To get up on stages live.
[00:36:35.669 --> 00:36:40.691]  To do whatever it takes, right to the edge of legality, to stop this from going to a shooting war.
[00:36:41.091 --> 00:36:43.792]  Because believe me, folks, listen to me carefully.
[00:36:44.272 --> 00:36:50.995]  They know, in their actuaries, in their battle plans, in their war games, that if they send out enough millions of contact tracers to the wrong houses and mess with the wrong people,
[00:36:52.000 --> 00:36:53.361]  That folks are going to get hurt.
[00:36:53.901 --> 00:36:54.502]  We don't want that.
[00:36:55.002 --> 00:36:59.325]  When they end up killing some of these contact tracers, they get aggressive because some of these are criminals that are getting hired.
[00:37:00.726 --> 00:37:05.489]  They're going to then start sending armed police and calling everybody that doesn't take the shots of the contact tracers terrorists.
[00:37:05.529 --> 00:37:06.210]  That's the next phase.
[00:37:06.230 --> 00:37:09.752]  They've already set up an official battle plan that I put out in June.
[00:37:10.132 --> 00:37:11.393]  We have the whole plan.
[00:37:12.013 --> 00:37:18.218]  And so we better get aggressive now ahead of that and say no lockdowns and no contact tracers and say we know your plan.
[00:37:18.538 --> 00:37:19.298]  We call you out.
[00:37:19.358 --> 00:37:20.079]  Bill Gass lied to us.
[00:37:20.119 --> 00:37:20.639]  It doesn't matter.
[00:37:20.899 --> 00:37:21.700]  The public's listening.
[00:37:22.512 --> 00:37:24.433]  We gotta go hardcore with the truth now, here's the good news.
[00:37:25.214 --> 00:37:28.816]  You watch Tucker Carlson, or you watch a lot of these shows now, it's not just like Alex Jones.
[00:37:28.836 --> 00:37:35.481]  It's not just they're copying me, they're going and checking everything I say and everything you say, and they're finding out it's true and they care about their families.
[00:37:35.821 --> 00:37:36.982]  So you tune in to Talk Radio now.
[00:37:38.061 --> 00:37:38.922]  Sounds like Alex Jones.
[00:37:38.942 --> 00:37:41.264]  You tune into all these shows, it sounds like Owen Schroer.
[00:37:41.324 --> 00:37:43.145]  Because we're all seeing the same thing.
[00:37:43.165 --> 00:37:43.946]  We're in this together.
[00:37:43.966 --> 00:37:45.187]  It's not about having the biggest show.
[00:37:45.207 --> 00:37:46.728]  It's not about being right.
[00:37:46.828 --> 00:37:49.050]  It's about defeating the New World Order for our children.
[00:37:49.511 --> 00:37:53.794]  Because yeah, you could say the average leftist is so corrupt and evil, let them take their shots and get sick and die.
[00:37:53.814 --> 00:37:56.196]  We're going to have to take care of the sick and dying liberals.
[00:37:56.216 --> 00:37:57.517]  We're going to have to collapse society.
[00:37:57.537 --> 00:37:58.458]  Plus, that's not Christ-like.
[00:37:58.678 --> 00:38:00.480]  But here's the real reason I'm sad for liberals.
[00:38:01.198 --> 00:38:05.061]  The children of these people, the two-year-olds, the five-year-olds, the ten-year-olds, they don't know any better.
[00:38:05.081 --> 00:38:07.382]  They're being born into bondage and brainwashing and evil.
[00:38:07.682 --> 00:38:08.443]  They're the real target.
[00:38:08.703 --> 00:38:13.586]  We have to take things back and be strong for the children or God is not going to respect us.
[00:38:13.826 --> 00:38:21.191]  And when we face God at the White Throne Judgment, God will say, I do not know you, because if you have God in you, you will burn with desire to stop this.
[00:38:21.432 --> 00:38:23.073]  You will be completely driven to stop this.
[00:38:23.353 --> 00:38:24.514]  People ask how I have so much energy.
[00:38:24.574 --> 00:38:29.957]  My God, satanic, total world government takeover, forced inoculations, run by pedophiles.
[00:38:29.997 --> 00:38:30.798]  What the hell, people?
[00:38:31.398 --> 00:38:32.821]  We don't have much time to stop this.
[00:38:32.881 --> 00:38:34.103]  This is serious business.
[00:38:34.423 --> 00:38:36.446]  So go rebuke your churches when they don't talk about this.
[00:38:36.646 --> 00:38:37.668]  Go rebuke your schools.
[00:38:37.888 --> 00:38:39.811]  When they try to put masks on your kids, pull them out of there.
[00:38:40.232 --> 00:38:41.233]  Stop complying.
[00:38:41.273 --> 00:38:42.255]  Compliance is death.
[00:38:42.716 --> 00:38:44.118]  Owen Takeover, I love you and I love the crew.
[00:38:45.342 --> 00:38:53.868]  All right, Alex, and we'll be hearing again from Alex coming up in the next hour with a special report that he has booked and tried to get some R&R on your vacation.
[00:38:53.928 --> 00:38:54.989]  Please, Alex, we beg you.
[00:38:55.709 --> 00:38:56.530]  Lord knows you need it.
[00:38:57.210 --> 00:39:12.660]  And, you know, let me just say this, too, as Alex said at the beginning of this segment, because, I mean, again, we don't even think about it this way, but we pretty much laid out exactly what they were going to do.
[00:39:13.919 --> 00:39:26.783]  I mean, hell, I literally laid out exactly what they were going to do, just like you saw the clips from Alex Jones at the beginning of the broadcast, and I said, they're going to tell you the hospitals are overwhelmed, they're going to bring back the mask mandates, then they're going to mandate the vaccines.
[00:39:26.943 --> 00:39:27.623]  They've done all of it.
[00:39:28.743 --> 00:39:34.865]  And the fact that they did it a lot sooner than I thought they did tells me that they're not going to get the FDA approval that they want.
[00:39:35.585 --> 00:39:41.247]  For whatever reason, the FDA seems to want to keep its hands clean of this vaccine.
[00:39:42.870 --> 00:39:46.493]  So maybe it's people at the FDA like, you know what, I don't want this blood on my hands.
[00:39:47.074 --> 00:39:51.498]  Maybe for the first time in decades, the FDA actually cares about the American people and doesn't want to poison them.
[00:39:52.218 --> 00:40:01.867]  But the fact that they're announcing mandatory vaccines in New York, mandatory vaccines in California, mandatory vaccines for government workers ordered by the White House.
[00:40:03.088 --> 00:40:09.493]  The fact that they basically sped through their hospitals are overwhelmed narrative
[00:40:10.578 --> 00:40:24.645]  To get to the forced mask mandates, to now get ready to tell you that, oh no, everybody's going to have to get a vaccine, it's going to be mandatory without the FDA approval, that means that they are really not banking on that FDA approval.
[00:40:24.665 --> 00:40:26.146]  Again, I'm stunned by that.
[00:40:26.646 --> 00:40:28.387]  We know this whole thing has been planned out.
[00:40:28.867 --> 00:40:31.468]  We know the FDA is just as corrupt as the CDC.
[00:40:32.209 --> 00:40:38.352]  But for whatever reason, it seems like the FDA wants to keep its hands clear of this vaccine.
[00:40:40.086 --> 00:40:46.431]  So they just went ahead and put it into high gear and said, well, okay, maybe we're not going to get FDA approval when we want.
[00:40:46.471 --> 00:40:48.452]  So let's just go ahead and just mandate the vaccines anyway.
[00:40:48.732 --> 00:40:50.274]  Nobody's heard of the Nuremberg Code.
[00:40:50.714 --> 00:40:52.595]  Nobody understands that these are experimental.
[00:40:52.896 --> 00:40:53.956]  So let's just go ahead and do it.
[00:40:54.196 --> 00:40:57.059]  And people are so stupid and brainwashed that they're just going to go along with it.
[00:40:57.079 --> 00:41:01.542]  And now we have total tyranny, medical tyranny, total imprisonment and slavery worldwide.
[00:41:01.562 --> 00:41:02.343]  So that's where they're going.
[00:41:02.383 --> 00:41:06.045]  But see, here's the frustrating thing.
[00:41:07.646 --> 00:41:07.907]  You know,
[00:41:09.738 --> 00:41:21.265]  People are born, or we're trained, we are trained in America, mainstream media and entertainment and everything, to exist or understand the sports matrix.
[00:41:22.906 --> 00:41:28.329]  So you can be watching a football game on, you know, Sunday afternoon and the top
[00:41:29.622 --> 00:41:57.498]  Color commentary guy for NFL football games say it's Tony Romo and he can be sitting there and say okay the offense is in an I formation and the back just moved to the right and that means they're gonna run a play-action fake to the right and roll out to the left and throw the ball deep downfield and get the first down and then they snap the ball the guy goes to the right they roll out to the left throws the ball downfield caught by the receiver first down and you're like wow
[00:41:58.803 --> 00:41:59.144]  Wow!
[00:41:59.265 --> 00:42:00.990]  Tony Romo must see the future!
[00:42:01.010 --> 00:42:03.016]  He must be a genius!
[00:42:03.056 --> 00:42:03.939]  How did he do that?
[00:42:05.416 --> 00:42:05.716]  No.
[00:42:06.536 --> 00:42:07.957]  He knows the playbook.
[00:42:08.017 --> 00:42:09.937]  He exists in football.
[00:42:09.977 --> 00:42:10.818]  He played football.
[00:42:10.858 --> 00:42:12.078]  He lives in the football world.
[00:42:12.158 --> 00:42:15.439]  So he just sees the play that they've ran 30 times.
[00:42:16.179 --> 00:42:17.700]  He knows what their playbook is.
[00:42:18.460 --> 00:42:20.060]  He's seen them run it in practice.
[00:42:20.120 --> 00:42:21.441]  He's seen them run it in the game.
[00:42:21.721 --> 00:42:23.941]  So he just says, here's the play they're about to run.
[00:42:24.161 --> 00:42:24.982]  Let's watch them run it.
[00:42:25.002 --> 00:42:25.662]  And then they run it.
[00:42:25.822 --> 00:42:27.042]  And there's no miracle.
[00:42:27.082 --> 00:42:28.363]  There's no mystery to that.
[00:42:28.443 --> 00:42:32.444]  That's just a guy that lives in the sports matrix and understands what play they're about to run.
[00:42:34.252 --> 00:42:35.993]  That's what we do here at InfoWars.
[00:42:38.035 --> 00:42:43.360]  It's not a miracle or a crystal ball for us to come up here and predict all this stuff.
[00:42:44.200 --> 00:42:58.172]  But because people don't exist in the geopolitical matrix and they're not trained to understand the geopolitical matrix, it seems like magic that InfoWars can predict all this stuff decades or years or months or weeks or days in advance.
[00:42:59.397 --> 00:43:07.675]  Folks, we just see the pattern, know the playbook, know the operating procedure, and it's really not even that difficult.
[00:43:10.856 --> 00:43:12.457]  So, understand that.
[00:43:12.517 --> 00:43:14.799]  We're not getting lucky guessing these things.
[00:43:15.579 --> 00:43:17.020]  It's not a miracle.
[00:43:18.461 --> 00:43:27.228]  They're running a play, they're running a formation, they're running an agenda, and we just know what it is, so it's easy to call out and say, oh, there it is!
[00:43:27.888 --> 00:43:31.371]  There they are, they're about to bring back the masks, and then they do it, because it's the play!
[00:43:32.531 --> 00:43:38.035]  Think about how diabolical the CDC is, where on the same day,
[00:43:40.526 --> 00:43:51.974]  They admit that the vaccinated people are the ones causing the outbreak, and the vaccinated people are the ones causing the mutations of the COVID virus to make it more deadly.
[00:43:52.134 --> 00:43:53.775]  That's the CDC announcing it.
[00:43:54.576 --> 00:44:03.202]  CDC director now says new data shows breakthrough cases in vaccinated people can spread as much as virus as unvaccinated.
[00:44:06.892 --> 00:44:12.256]  And then they come out and say, but we need vaccine passports, that's the only path forward.
[00:44:12.316 --> 00:44:23.364]  So, they admit the vaccine is not effective, they admit the vaccine is causing the spread to be worse, and then they come out and say the only answer is the vaccine.
[00:44:24.585 --> 00:44:28.128]  And that's Rochelle Walensky at the CDC.
[00:44:28.588 --> 00:44:29.689]  And then they even have
[00:44:32.540 --> 00:44:39.783]  They even have the cojones to come out and say, well, we're going to do the masks again, but it's only going to be two weeks.
[00:44:40.803 --> 00:44:42.063]  Two weeks to slow the spread.
[00:44:42.083 --> 00:44:43.644]  What was that, a year and a half ago?
[00:44:46.085 --> 00:44:47.605]  When does the pandemic ever end?
[00:44:47.765 --> 00:44:48.506]  Well, it never ends.
[00:44:49.386 --> 00:44:49.906]  Don't you see?
[00:44:50.706 --> 00:44:52.947]  The pandemic never ends.
[00:44:53.807 --> 00:45:00.170]  And for politicians and government bureaucrats, they love the pandemic because it gives them more power.
[00:45:01.554 --> 00:45:15.220]  And I guess to the brainwashed minions of the mainstream media and the Democrat Party, I guess they just like going along with the pandemic because even in their tiny little worthless lives, they feel that it gives them power over you.
[00:45:15.740 --> 00:45:18.081]  Oh, they can bitch at you if you don't get a vaccine.
[00:45:18.602 --> 00:45:20.502]  Oh, they can bitch at you if you don't wear a mask.
[00:45:20.582 --> 00:45:23.084]  And that's the greatest joy of their day.
[00:45:25.632 --> 00:45:28.094]  They love telling you to wear the mask.
[00:45:28.815 --> 00:45:31.737]  They love telling you to take that vaccine.
[00:45:34.219 --> 00:45:35.400]  So that's their empowerment.
[00:45:36.981 --> 00:45:38.162]  That's why they go along with it.
[00:45:38.622 --> 00:45:40.764]  They don't care that it's enslaving and killing them.
[00:45:41.865 --> 00:45:52.914]  They get empowered by it because they'd rather have that excuse to go out and dominate you than actually be free or stand up for freedom and truth themselves.
[00:45:55.962 --> 00:45:57.303]  CBS Sacramento.
[00:45:58.043 --> 00:46:02.426]  Higher COVID rate found in some counties with higher vaccination rate.
[00:46:03.047 --> 00:46:03.347]  Yep.
[00:46:04.487 --> 00:46:04.888]  Yep.
[00:46:05.728 --> 00:46:15.214]  And remember, we had the doctors on over a year ago, and just consistently since then, all saying the same thing.
[00:46:16.615 --> 00:46:21.118]  If they roll out a vaccine for this, it's going to cause worse mutations.
[00:46:21.378 --> 00:46:22.259]  And now it is.
[00:46:24.867 --> 00:46:45.595]  Israel is a perfect example, and we covered it yesterday, how the CDC and the White House launch a travel advisory, or announce a travel advisory from Israel, stage three, saying Israel's got way too big of an outbreak of COVID and Delta, so we're stopping anybody coming in from Israel.
[00:46:46.255 --> 00:46:51.897]  And then in the same interview, or the same announcement, they say, but we need to
[00:46:53.516 --> 00:46:56.439]  Do the exact same vaccine distribution that Israel had.
[00:46:56.679 --> 00:47:05.107]  So they admit the vaccine doesn't work, they admit Israel has a horrible outbreak, and they ban travel from Israel, but then they say Israel's done a good job with the vaccines.
[00:47:07.009 --> 00:47:16.358]  Now, that's not even to mention the tremendous irony that the southern border is just wide open.
[00:47:19.034 --> 00:47:22.796]  And I've got another news story on that today too.
[00:47:23.737 --> 00:47:33.082]  La Jolla police say hotel is housing migrants with COVID-19 released by Border Patrol and the police chief comes out in a press conference and says we had no idea that this was going on.
[00:47:35.984 --> 00:47:37.285]  Does somebody want to tell him?
[00:47:38.805 --> 00:47:39.766]  Does anybody want to tell him?
[00:47:43.044 --> 00:47:44.645]  Hey, buddy, I got bad news for you.
[00:47:45.306 --> 00:47:52.570]  There's dozens of hotels on the southern border of Texas that are filled with illegal immigrants that have COVID.
[00:47:53.511 --> 00:47:55.852]  And this has been going on for months.
[00:47:56.453 --> 00:47:59.515]  So hate to break it to you, bud, but we covered that months ago.
[00:48:02.079 --> 00:48:04.380]  Humanity is being held hostage.
[00:48:05.020 --> 00:48:10.782]  A worldwide medical tyranny, controlled by the Fortune 500 and the UN, is being permanently put in place.
[00:48:11.422 --> 00:48:17.204]  We must resist its criminal establishment of global dominance, or we will be slaves for generations.
[00:48:17.464 --> 00:48:20.025]  And more importantly, our children will be slaves.
[00:48:20.485 --> 00:48:22.065]  We are now at the crossroads.
[00:48:28.207 --> 00:48:30.348]  What have I told you that you could predict the future?
[00:48:31.462 --> 00:48:32.623]  What have I proved to you?
[00:48:33.304 --> 00:48:36.246]  That if you do the right research, you can predict the future.
[00:48:36.586 --> 00:48:39.008]  And more importantly, you can change the future.
[00:48:39.028 --> 00:48:40.329]  You don't need a mask.
[00:48:40.349 --> 00:48:41.771]  The mask is about compliance.
[00:48:41.991 --> 00:48:44.073]  Because they know Canadians like to do what they're told.
[00:48:44.373 --> 00:48:45.874]  So they tell you, you have to wear a mask.
[00:48:46.214 --> 00:48:48.036]  Next, they're going to tell you, you have to contact trace.
[00:48:48.416 --> 00:48:50.378]  Then they're going to tell you, you have to take the vaccine.
[00:48:50.678 --> 00:48:54.201]  And because Canadians like to do what they're told, they're hoping that everyone just complies.
[00:48:54.481 --> 00:48:55.522]  And then guess what, kids?
[00:48:55.903 --> 00:48:59.666]  Once you take your vaccine, like a dumb person that doesn't know any better,
[00:49:00.166 --> 00:49:11.874]  They're gonna tell you, sorry, the vaccine isn't as effective as we thought it was gonna be, so now you still gotta wear your mask, still gotta get contact trace, still have all the restrictions and social distancing, and still take your vaccine.
[00:49:12.154 --> 00:49:13.555]  And then what did you get out of all of this?
[00:49:13.935 --> 00:49:21.160]  You got a whole year where you weren't allowed to travel, your business was closed, they took your rights and freedoms, they forced the vaccine on you, and...
[00:49:21.940 --> 00:49:22.420]  What happened?
[00:49:22.741 --> 00:49:32.127]  The same amount of people died, everything is the exact same, and now they're gonna put you back on lockdown and bring it all the way till July of next year so they can do the same thing again!
[00:49:32.508 --> 00:49:38.191]  Bring you from July, August, and September, getting you off lockdown, but just to bring you back on lockdown again.
[00:49:38.212 --> 00:49:40.153]  If you idiots haven't figured it out yet...
[00:49:40.553 --> 00:49:43.474]  It's a perpetual cycle that you never get out of.
[00:49:43.754 --> 00:49:48.415]  And it's a way to take your rights, your freedoms, close your business, take your wealth.
[00:49:48.715 --> 00:49:48.975]  Why?
[00:49:49.075 --> 00:49:50.676]  So you become dependent on government.
[00:49:51.076 --> 00:49:51.376]  Why?
[00:49:51.396 --> 00:49:54.777]  If you're independent, the government works for you like it's supposed to.
[00:49:55.117 --> 00:50:04.119]  If you depend on the government to give you a paycheck to feed your family every month, because they closed your business on you, now the government doesn't work for you, the government rules you.
[00:50:04.499 --> 00:50:08.400]  So instead of a middle class, we have the government, upper class,
[00:50:08.800 --> 00:50:12.262]  And the lower class dependents that rely on the government to survive.
[00:50:12.603 --> 00:50:14.504]  In other words, we have a slave class.
[00:50:15.104 --> 00:50:16.705]  The clip you just saw is from a year ago.
[00:50:16.765 --> 00:50:18.667]  It's Canadian activist Chris Sky.
[00:50:19.347 --> 00:50:23.410]  How was he able to specifically, exactly predict what would happen?
[00:50:23.670 --> 00:50:28.173]  And in the longer video, he specifically even predicted the time frames in which it would happen.
[00:50:28.893 --> 00:50:33.977]  Months and months before Chris Sky made his prediction, I made my own predictions that came 100% true.
[00:50:34.177 --> 00:50:35.277]  We'll play that clip in a few minutes.
[00:50:35.758 --> 00:50:37.079]  Again, how was I able to do that?
[00:50:37.796 --> 00:50:40.739]  Because the globalists do control the planet to a great extent.
[00:50:40.959 --> 00:50:42.841]  They set worldwide policy.
[00:50:43.542 --> 00:50:45.845]  I can't predict when my neighbor's going to have a heart attack.
[00:50:45.885 --> 00:50:50.850]  I can't predict if your fifth grader is going to break their arm in the next year falling out of a tree.
[00:50:51.631 --> 00:50:53.232]  Because those are little micro events.
[00:50:54.013 --> 00:51:05.378]  But when you talk about the big, giant events, the globalists really are in control of this planet, and we had all the documents and all the admissions from the United Nations and the Davos Group from Klaus Schwab on their plan.
[00:51:05.998 --> 00:51:16.943]  They said once they got one lockdown in, they would then lighten the lockdown only to bring it back, and over time, tighten it down more and more and more until there were no freedoms left.
[00:51:17.816 --> 00:51:18.577]  And now they've come out.
[00:51:19.217 --> 00:51:43.276]  As of yesterday, the CDC, run by all the big Bill Gates and Fauci money, and have said, you are going to have to wear masks basically forever, children, everybody else, and those that have been supposedly vaccinated against COVID-19 with these experimental shots, you are just as likely to transmit it to others, maybe even more likely to transmit new variants to others.
[00:51:43.816 --> 00:51:46.879]  How do you turn the entire planet Earth into a prison planet?
[00:51:47.967 --> 00:51:50.628]  You simply declare having a cold an act of terrorism.
[00:51:51.129 --> 00:51:51.949]  And they're saying that now.
[00:51:51.989 --> 00:51:55.311]  They're saying if you're not inoculated with this experimental shot, you're like a drunk driver.
[00:51:55.471 --> 00:51:56.292]  You're like a murderer.
[00:51:56.492 --> 00:51:57.372]  You're like a terrorist.
[00:51:57.932 --> 00:52:03.315]  And now Microsoft is putting out video games called Stay Homer, where the Chinese military and the U.S.
[00:52:03.335 --> 00:52:09.559]  military go around and kill peaceful protests, men, women, and children, because they're terrorists and super spreaders?
[00:52:10.279 --> 00:52:20.047]  This is the pretext to track and control you via a phone, via an app, that then becomes the cashless society and the worldwide program for the social credit score.
[00:52:20.107 --> 00:52:21.068]  And it's now official.
[00:52:21.728 --> 00:52:32.937]  And thousands of companies across the United States are now saying, you're not coming into our business, you're not coming into our hotel, you're not coming into our restaurant, you're not coming into this area unless you have had this
[00:52:33.678 --> 00:52:40.427]  Injection into your body and then it's expanding to other corporations, other businesses, and Biden's looking at mandating it for all federal employees.
[00:52:40.987 --> 00:52:41.828]  You can't do that.
[00:52:42.489 --> 00:52:47.836]  You can't mandate an approved FDA shot with all their problems in history in the federal law and Nuremberg Code.
[00:52:47.996 --> 00:52:49.197]  But this is experimental.
[00:52:49.963 --> 00:52:54.465]  This violates the very heart of the Nuremberg Code and our own federal and state laws.
[00:52:54.525 --> 00:52:58.746]  So we're at the crossroads and they've lied to us at every step of the way.
[00:52:58.986 --> 00:53:00.947]  They're now saying you got to wear masks forever.
[00:53:01.487 --> 00:53:05.188]  They're now saying, sorry, the vaccines don't work, but you got to have more vaccines.
[00:53:05.908 --> 00:53:09.390]  And people that have had the vaccines are just as likely or more so to give it to you.
[00:53:09.990 --> 00:53:12.711]  Oh, but then those that don't take it, you're even worse terrorist.
[00:53:13.111 --> 00:53:14.931]  You shouldn't have a job or even have your children.
[00:53:14.971 --> 00:53:16.052]  That's Kathleen Sebelius.
[00:53:17.032 --> 00:53:18.893]  Obama's former Health and Human Services head.
[00:53:19.274 --> 00:53:40.729]  This is all being announced by the megacorporations and by the blue cities and the blue states and other globalist enclaves around the world to hold humanity hostage and make us accept a worldwide ID tracking system on our phones which Klaus Schwab and the UN admit under the social credit score that they want to announce by next year
[00:53:41.870 --> 00:53:49.375]  We'll track everywhere you go and what you do and every purchase you make and put it into your carbon score and tax you according to how much carbon you use.
[00:53:50.096 --> 00:53:51.917]  So this is the endgame.
[00:53:52.437 --> 00:53:54.639]  Everything from this point on goes over the edge of a cliff.
[00:53:54.719 --> 00:53:56.420]  Everything accelerates now.
[00:53:57.281 --> 00:53:58.962]  This is all classically illegal.
[00:53:59.262 --> 00:54:00.503]  It's all classic tyranny.
[00:54:01.263 --> 00:54:02.484]  It's incredibly dangerous.
[00:54:02.964 --> 00:54:09.389]  And we need governors and legislatures and pastors and business owners and citizens to come up with a plan.
[00:54:10.362 --> 00:54:18.768]  Maybe an upside down flag of America or something because we are in distress and that upside down flag means we understand what's going on.
[00:54:18.809 --> 00:54:27.055]  We understand humanity's under siege and we understand this is all a scam and a fraud and a crisis they've created that's impossible to get out of.
[00:54:27.355 --> 00:54:28.976]  Because there's always going to be new flu viruses.
[00:54:29.196 --> 00:54:30.798]  There's always going to be new cold viruses.
[00:54:30.978 --> 00:54:32.739]  There's always going to be new coronaviruses.
[00:54:32.999 --> 00:54:36.022]  There's always going to be labs run by Fauci with new stuff to release.
[00:54:36.442 --> 00:54:44.929]  And now they've trained us to get on our knees and say that we're non-essential and go into our homes and just sit there while the Amazons and the Walmarts and the Targets take over.
[00:54:45.309 --> 00:54:46.610]  Because there's also that incentive.
[00:54:47.511 --> 00:54:48.692]  Depending on the corporation,
[00:54:49.639 --> 00:54:55.242]  The Fortune 100, during the last year and a half of global lockdowns, doubled their profits.
[00:54:55.702 --> 00:54:59.224]  Some of them doubled their overall stock value, and some tripled it.
[00:54:59.865 --> 00:55:04.867]  I mean, we're talking companies making hundreds of billions of dollars extra each.
[00:55:05.308 --> 00:55:13.452]  We're talking CEOs and owners whose wealth went up 50, 60, 70 billion a piece, because they're set up in the infrastructure to keep operating.
[00:55:13.492 --> 00:55:14.093]  They're essential.
[00:55:14.513 --> 00:55:18.215]  They have the supply chains, but your small business, your community, your church,
[00:55:19.599 --> 00:55:20.140]  We're good to go.
[00:55:30.089 --> 00:55:33.610]  Take all these shots, you won't have a job, you won't get your welfare check.
[00:55:33.650 --> 00:55:35.170]  I mean, it's not coming, it's here.
[00:55:35.930 --> 00:55:39.111]  And how many times did I warn you over and over and over again?
[00:55:39.931 --> 00:55:43.012]  Because, again, it's in Operation Lockstep.
