[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[00:40:13.124 --> 00:40:13.984]  Revolver News.
[00:40:14.684 --> 00:40:15.465]  It's a new site.
[00:40:15.585 --> 00:40:18.306]  It's turned out to be one of the last honest outlets on the internet.
[00:40:18.967 --> 00:40:23.229]  A new piece on revolver.news suggests an answer to some of these questions.
[00:40:23.909 --> 00:40:31.413]  We know that the government is hiding the identity of many law enforcement officers who were present at the Capitol on January 6th, not just the one who killed Ashley Babbitt.
[00:40:32.233 --> 00:40:39.977]  According to the government's own court filings, those law enforcement officers participated in the riot, sometimes in violent ways.
[00:40:40.698 --> 00:40:46.121]  We know that because, without fail, the government has thrown the book at most people who are present in the Capitol on January 6th.
[00:40:46.281 --> 00:40:50.963]  There was a nationwide dragnet to find them, and many of them are still in solitary confinement tonight.
[00:40:51.684 --> 00:40:57.367]  But strangely, some of the key people who participated on January 6th have not been charged.
[00:40:58.325 --> 00:40:59.186]  Look at the documents.
[00:40:59.226 --> 00:41:02.188]  The government calls those people unindicted co-conspirators.
[00:41:02.248 --> 00:41:02.888]  What does that mean?
[00:41:03.308 --> 00:41:06.911]  Well, it means that in potentially every single case they were FBI operatives.
[00:41:07.611 --> 00:41:07.951]  Really?
[00:41:08.252 --> 00:41:08.952]  In the Capitol?
[00:41:09.152 --> 00:41:09.733]  On January 6th?
[00:41:11.291 --> 00:41:16.473]  For example, one of those unindicted co-conspirators is someone government documents identify only as Person 2.
[00:41:17.533 --> 00:41:26.696]  According to those documents, Person 2 stayed in the same hotel room as a man called Thomas Caldwell, an insurrectionist, a man alleged to be a member of the group the Oath Keepers.
[00:41:27.236 --> 00:41:32.978]  Person 2 also, quote, stormed the barricades at the Capitol on January 6th alongside Thomas Caldwell.
[00:41:33.678 --> 00:41:39.720]  The government's indictments further indicate that Caldwell, who by the way is a 65-year-old man, this dangerous insurrectionist,
[00:41:40.200 --> 00:41:46.004]  was led to believe there would be a, quote, quick reaction force also participating on January 6th.
[00:41:46.724 --> 00:41:54.169]  That quick reaction force, Caldwell was told, would be led by someone called Person 3, who had a hotel room and an accomplice with him.
[00:41:55.209 --> 00:41:55.750]  But wait!
[00:41:56.450 --> 00:41:57.411]  Here's the interesting thing.
[00:41:57.951 --> 00:42:02.074]  Person 2 and Person 3 were organizers of the riot.
[00:42:02.814 --> 00:42:06.616]  The government knows who they are, but the government has not charged them.
[00:42:07.977 --> 00:42:08.678]  Why is that?
[00:42:09.761 --> 00:42:10.362]  You know why.
[00:42:10.763 --> 00:42:13.147]  They were almost certainly working for the FBI.
[00:42:13.908 --> 00:42:22.623]  So, FBI operatives were organizing the attack on the Capitol on January 6th, according to government documents.
[00:42:23.939 --> 00:42:25.020]  And those two are not alone.
[00:42:25.800 --> 00:42:44.571]  In all, Revolver News reported that there are, quote, upwards of 20 unindicted co-conspirators in the Oathkeeper indictments, all playing various roles in the conspiracy, who have not been charged for virtually the exact same activities, and in some cases, much, much more severe activities, as those named alongside them in the indictments.
[00:42:46.112 --> 00:42:46.433]  Huh?
[00:42:47.441 --> 00:42:57.084]  So it turns out that this white supremacist insurrection was, again, by the government's own admission in these documents, organized at least in part by government agents.
[00:42:58.584 --> 00:42:59.304]  Are you shocked?
[00:42:59.544 --> 00:43:00.044]  We're shocked.
[00:43:00.064 --> 00:43:00.945]  We shouldn't be shocked.
[00:43:01.525 --> 00:43:08.346]  Because in March, the FBI director admitted that the Bureau was infiltrating as many dissident groups that oppose the regime as it possibly can.
[00:43:08.366 --> 00:43:09.487]  All right, folks.
[00:43:10.757 --> 00:43:11.418]  Let me explain this.
[00:43:11.458 --> 00:43:12.240]  I know you already know this.
[00:43:12.961 --> 00:43:15.486]  They knew that there was a million people there coming.
[00:43:15.566 --> 00:43:17.610]  They knew that it was exposing election fraud.
[00:43:17.650 --> 00:43:19.473]  They knew there was about to be a 10-day investigation.
[00:43:20.034 --> 00:43:21.076]  And so they infiltrated it.
[00:43:21.096 --> 00:43:21.918]  They had weeks to do it.
[00:43:21.978 --> 00:43:22.899]  They provocateured it.
[00:43:24.102 --> 00:43:32.868]  And they got a couple hundred extra fools to follow him in, who they've now put under the jail, while the actual controllers go free.
[00:43:32.888 --> 00:43:35.610]  And that's just the Oathkeeper indictments.
[00:43:35.770 --> 00:43:40.954]  It's in the Proud Boys, it's in all the other indictments that are out there, the same thing.
[00:43:40.994 --> 00:43:44.116]  These other persons, unindicted co-conspirators, unindicted.
[00:43:44.416 --> 00:43:48.499]  And one of them was an FBI agent, 60-something years old, so they dropped the charges on him.
[00:43:49.199 --> 00:43:50.941]  Active duty, FBI agent about to retire.
[00:43:51.582 --> 00:43:57.528]  So, total setup, and I've gone back and looked at all the things that happened at the time, and I saw how they were trying to set me up.
[00:43:58.659 --> 00:44:02.722]  And it's just really, really despicable how they did this.
[00:44:03.703 --> 00:44:04.903]  And they're going to be brought to justice.
[00:44:04.923 --> 00:44:05.804]  They're not going to get away with this.
[00:44:05.824 --> 00:44:07.625]  They're not going to get away with the next false flag.
[00:44:08.085 --> 00:44:09.867]  We are watching everything they're doing.
[00:44:09.907 --> 00:44:11.588]  You're watching what they're doing.
[00:44:11.648 --> 00:44:12.588]  And we're still on air.
[00:44:12.989 --> 00:44:19.493]  And so these globalist traitors, these enemies that want to stage events so they can have an excuse to try to crush their opposition, are going to fail.
[00:44:20.013 --> 00:44:21.214]  Say a prayer for justice.
[00:44:21.254 --> 00:44:22.235]  Say a prayer for awakening.
[00:44:22.535 --> 00:44:24.156]  Say a prayer against racial division.
[00:44:24.897 --> 00:44:26.618]  And come together and defend the republic.
[00:44:26.638 --> 00:44:27.058]  Stay with us.
[00:44:27.098 --> 00:44:28.159]  Hour number two straight ahead.
[00:44:29.807 --> 00:44:37.175]  All right, Darren Beatty, the big reporter over at Revolver, blowing it wide open with this giant investigative report, joins us next segment.
[00:44:37.876 --> 00:44:43.502]  The FBI has a long history of staging almost every major event, provocateuring the organizations and groups that do it.
[00:44:43.522 --> 00:44:46.446]  We'll be talking to him coming up here in just a moment.
[00:44:47.659 --> 00:44:58.006]  But after he leaves us, there is even bigger news coming out in major medical journals, major scientists, that it's causing massive heart attacks, these so-called COVID-19 vaccines.
[00:44:58.726 --> 00:45:00.588]  So we're going to be hitting on that in the third hour.
[00:45:00.688 --> 00:45:08.953]  And we have that Fox News reporter that was blowing the whistle on them being ordered to cover up COVID damage because they, quote, get paid big money by big pharma.
[00:45:09.253 --> 00:45:13.116]  That's coming up, too, with a whistleblower with Project Veritas third hour.
[00:45:13.576 --> 00:45:17.259]  But first, let's go to part of this report from the great Greg Reese.
[00:45:24.471 --> 00:45:33.840]  The first autopsy conducted on a person who received the new experimental COVID jab confirms what we are being told by experts worldwide.
[00:45:34.640 --> 00:45:38.043]  The so-called cure is far worse than the disease.
[00:45:38.724 --> 00:45:43.568]  According to the post-mortem report, the 86-year-old man had never had COVID.
[00:45:44.309 --> 00:45:48.350]  and received a single dose of the Pfizer shot on January 9th.
[00:45:49.491 --> 00:45:57.814]  18 days later, he was admitted to the hospital where he got infected by an asymptomatic hospital roommate and died four days later.
[00:45:58.434 --> 00:46:04.576]  The molecular mapping shows that nearly all of his vital organs were infected with viral RNA.
[00:46:06.058 --> 00:46:14.048]  As a result of being exposed to his asymptomatic roommate, a rapid fatal autoimmune response was triggered throughout the body.
[00:46:16.004 --> 00:46:18.846]  People are being told to trust the science.
[00:46:19.967 --> 00:46:30.316]  But the science has been saying all along that these mRNA-induced spike proteins being produced in the body is a terrible and deadly idea.
[00:46:31.417 --> 00:46:37.543]  A former Pfizer head and former head of the Public Health Department tried to warn us back in December of 2020.
[00:46:39.620 --> 00:46:49.365]  Scores of medical experts from 30 countries came together just weeks after the vaccine went public to warn people of a wide range of side effects.
[00:46:50.066 --> 00:46:58.210]  They pointed out how care homes across the world were being infected with COVID-19 within days of residents getting vaccinated.
[00:46:58.550 --> 00:47:13.171]  Their main concern was that the spike proteins will be produced throughout the entire body, causing the body's own immune system to attack itself, and pointed out how the entire thing is a human experiment in violation of the Nuremberg Code.
[00:47:14.295 --> 00:47:18.437]  French virologist and Nobel Prize winner Luc Montagnier agrees.
[00:47:19.098 --> 00:47:29.044]  He calls it an unacceptable mistake and went on to say that it is unthinkable that any expert would not be aware of how potentially dangerous this shot is.
[00:47:30.552 --> 00:47:32.614]  Even the corporations seem to know.
[00:47:33.414 --> 00:47:46.104]  The owner of an oil and gas recruitment company, who hires for dozens of major companies, says that succession planning is now looking at all employees who have received one of the new COVID vaccines.
[00:47:47.425 --> 00:47:55.914]  Succession planning is the strategy that ensures businesses continue to thrive after employees move on, retire, or die.
[00:47:56.895 --> 00:48:06.304]  She says that the entire oil and gas industry is planning on having to replace all personnel who receive the vaccine within the next three years.
[00:48:09.764 --> 00:48:10.545]  Recruitment firm.
[00:48:11.145 --> 00:48:22.576]  And the reason that this is important is because of what I am seeing as an executive in this industry happening right now as a result of the COVID vaccines.
[00:48:22.637 --> 00:48:24.839]  And it's something called succession planning.
[00:48:25.339 --> 00:48:32.226]  Well, what's really interesting what's happening right now, and it's actually mortifying, not just interesting, is that
[00:48:33.451 --> 00:48:51.198]  Executives are having their HR staff and their managers, superintendents, foremen, so on and so forth, go through and look at the staff that have received the vaccines and they're planning to have to replace them all within the next three years.
[00:48:53.055 --> 00:49:00.499]  And through all of this, the mainstream media never once questioned the big pharma puppet in charge with the criminal past.
[00:49:01.259 --> 00:49:04.681]  Throughout all of this, the media told you to get the shot.
[00:49:06.022 --> 00:49:08.183]  For InfoWars.com, this is Greg Reese.
[00:49:13.388 --> 00:49:16.649]  All that evil men and tyrants need to flourish is that good men do nothing.
[00:49:17.469 --> 00:49:18.930]  Well, I'm trying to be a good man.
[00:49:18.970 --> 00:49:20.250]  I'm trying to stand up and do the right thing.
[00:49:20.270 --> 00:49:24.791]  And I've seen huge effects with what we've done here at Infowars.
[00:49:25.372 --> 00:49:29.733]  Other good men and women getting together and telling the truth and standing up to corruption.
[00:49:30.373 --> 00:49:31.673]  But now the Globals are coming after us.
[00:49:32.174 --> 00:49:33.414]  And so I need your prayers.
[00:49:33.474 --> 00:49:34.514]  I need your financial support.
[00:49:34.895 --> 00:49:36.715]  I need your word of mouth to stay in the fight.
[00:49:36.735 --> 00:49:38.616]  We've got a big sale going right now.
[00:49:38.916 --> 00:49:41.677]  Free shipping, double Patreon points on three items that have been sold out.
[00:49:42.097 --> 00:49:43.598]  Ultimate Krill Oil, 40% off.
[00:49:44.098 --> 00:49:44.858]  X3, 60% off.
[00:49:44.898 --> 00:49:46.239]  Best you'll ever on that.
[00:49:46.659 --> 00:49:47.459]  And of course, Bio.
[00:49:47.839 --> 00:49:49.219]  The headline last night was incredible.
[00:50:16.448 --> 00:50:23.293]  Tucker Carlson tonight, FBI, behind the January 6th insurrection.
[00:50:24.654 --> 00:50:32.919]  It's all coming up for the investigative journalist, Darren Beattie, who broke it in the major publication, investigative publication, Revolver.
[00:50:33.480 --> 00:50:38.143]  But here is a short excerpt of them preparing the new class war in America.
[00:50:38.483 --> 00:50:45.308]  With the left is Captain America and all conservatives, Christians and gun owners, capitalists as well as Red Skull.
[00:50:47.073 --> 00:50:49.236]  According to the intelligence community.
[00:51:02.133 --> 00:51:07.520]  Terrorism from white supremacy is the most lethal threat to the homeland today.
[00:51:07.580 --> 00:51:13.227]  Because of this growth in polarization in the United States and domestic violence in white supremacist groups.
[00:51:13.968 --> 00:51:20.576]  So I know looking forward that the members of the Biden team who have been nominated or have been appointed.
[00:51:21.504 --> 00:51:21.584]  Yes.
[00:51:40.755 --> 00:51:43.016]  Really tackle terrorism, and this time domestically.
[00:51:43.296 --> 00:51:49.238]  You've got to attack and dismantle the command and control element of a terrorist group.
[00:51:49.578 --> 00:51:57.962]  And unfortunately, and I know this is painful to hear, that may mean people sitting in Congress right now, people in and around the former president.
[00:51:58.422 --> 00:51:59.462]  That's how you do this.
[00:51:59.582 --> 00:52:06.845]  Otherwise, recruitment, inciting, and cult-like leadership continues to recruit people to violence.
[00:52:07.245 --> 00:52:10.747]  Our initial work on DVE will broadly fall into three areas.
[00:52:11.187 --> 00:52:22.633]  The first is a tasking from President Biden sent to the ODNI today, requesting a comprehensive threat assessment coordinated with the FBI and DHS on domestic violent extremism.
[00:52:23.213 --> 00:52:35.199]  You can be darn tootin' that we are focused very, very hard on how can we get better sources, better information, better analysis, so that we can make sure that something like what happened on January 6th never
[00:52:36.616 --> 00:52:38.638]  Oh golly, I'm just a nice regular guy.
[00:52:38.678 --> 00:52:42.703]  I'm not taking over and saying we're going to kill members of Congress with the Green Berets.
[00:52:43.503 --> 00:52:46.467]  Golly gee darn tootin', let me put on that goofy act.
[00:52:46.547 --> 00:52:47.488]  I'm not threatening at all.
[00:52:47.508 --> 00:52:49.270]  These guys are really dangerous.
[00:52:49.711 --> 00:52:52.334]  National Strategy for Countering Domestic Terrorism.
[00:52:52.834 --> 00:52:56.578]  And it says they're going to work with private companies, citizens, it's just there's a new war on white people.
[00:52:57.139 --> 00:53:02.704]  Which is totally insane, which is the racial attack itself they claim that white people are putting out.
[00:53:02.764 --> 00:53:05.666]  It's led by a bunch of Ivy League white people.
[00:53:06.107 --> 00:53:07.468]  Classic divide and conquer.
[00:53:08.288 --> 00:53:11.151]  Dr. Darren Beattie is a really smart guy.
[00:53:11.531 --> 00:53:14.834]  He is a former professor of political science for Duke University who went
[00:53:15.214 --> 00:53:18.335]  On to serving the White House as a speechwriter and policy aide to Trump.
[00:53:18.615 --> 00:53:25.678]  He is now founder of revolver.news that is doing probably some of the best investigative journalism out there, period.
[00:53:25.738 --> 00:53:28.579]  I would even say he gives Greenwald a big run for his money.
[00:53:28.639 --> 00:53:31.580]  Very, very fair, I would say nonpartisan, scathing.
[00:53:31.600 --> 00:53:35.962]  And I've been quite the expert, just covering it for 27 years, on false flag terror.
[00:53:36.022 --> 00:53:36.842]  I cut my teeth on
[00:53:37.282 --> 00:53:40.584]  Oklahoma City interviewed survivors, police officers, you name it.
[00:53:40.884 --> 00:53:41.904]  That was a false flag.
[00:53:42.364 --> 00:53:44.425]  It appears they're cooking up something even bigger.
[00:53:44.525 --> 00:53:46.566]  So, Doctor, it's good to have you here with us.
[00:53:47.227 --> 00:53:48.207]  You were on Tucker last night.
[00:53:48.227 --> 00:53:49.668]  Congratulations on your great work.
[00:53:50.788 --> 00:54:00.113]  You've got the floor for the rest of the hour if you can be here to just walk through your article, walk through the FBI informants inside, and then I witnessed a lot of this now and can confirm that
[00:54:02.134 --> 00:54:11.284]  No, it's an honor to be here and thank you for covering this.
[00:54:11.444 --> 00:54:14.908]  I think this is the most important story right now.
[00:54:14.968 --> 00:54:21.736]  I've been told this Revolver.News investigative piece, it is the most important and it is the darkest
[00:54:22.978 --> 00:54:25.400]  investigative work they've seen in years.
[00:54:25.820 --> 00:54:31.544]  And this piece, thanks to Tucker, thanks to Steve Bannon, and thanks to you.
[00:54:31.604 --> 00:54:36.428]  Now, this piece is becoming the biggest story in the country, and for good reason.
[00:54:37.109 --> 00:54:43.773]  The American people deserve the truth, no matter how dark it is, as to what really happened on 1-6.
[00:54:44.234 --> 00:54:46.936]  And as I say, it's not just on behalf
[00:54:47.984 --> 00:54:53.372]  Of Ashley Babbitt, who was shot in cold blood by somebody we still don't know.
[00:54:53.392 --> 00:55:01.925]  It is not just for the hundreds of prisoners being detained and abused unjustly.
[00:55:02.614 --> 00:55:06.116]  For their political beliefs and participating in a political protest.
[00:55:06.656 --> 00:55:07.877]  It's actually bigger than that.
[00:55:07.977 --> 00:55:16.521]  It's for the 70 plus million people who voted for Trump, or really any American who dares challenge the corrupt ruling class.
[00:55:16.821 --> 00:55:25.245]  Because all of us, you, me, everyone, we've all been declared potential de facto domestic terrorists by our own government.
[00:55:26.147 --> 00:55:32.610]  And as a means of promoting that narrative, they seize upon a certain story of 1-6.
[00:55:33.611 --> 00:55:40.394]  And to get to the bottom of that story, to get to the truth of that story, I think we need to ask the following simple question.
[00:55:41.315 --> 00:55:46.297]  Was this the result of an intelligence failure, as Christopher Wray said?
[00:55:46.457 --> 00:55:49.399]  Oh, they just didn't have any idea anything was going to happen.
[00:55:49.739 --> 00:55:51.580]  And so there you go.
[00:55:52.665 --> 00:56:00.447]  Or was this a result of an intel setup or a counterintelligence setup?
[00:56:00.967 --> 00:56:04.108]  And we can get to that by asking the following precise question.
[00:56:04.968 --> 00:56:17.391]  Of the three main groups, the three main so-called militia groups most closely associated with One Six, at least in the government sides, Proud Boys, Three Percenters, Oath Keepers,
[00:56:18.083 --> 00:56:25.366]  To what extent were those three groups infiltrated by government agents up to and on 1-6?
[00:56:27.066 --> 00:56:46.453]  And to put an even more fine point on the issue, how many, if any, of the unindicted co-conspirators who enjoyed senior positions in these key militia groups remain unindicted on account of some prior relationship with the federal government?
[00:56:47.395 --> 00:56:50.397]  These two questions, these questions, they create a thread.
[00:56:50.457 --> 00:57:01.805]  And I believe, Alex, we pull this thread, the ugly truth about 1-6 and about perhaps our entire country will reveal itself.
[00:57:01.825 --> 00:57:05.468]  And this is what this piece is doing and what I hope it will continue to do.
[00:57:06.168 --> 00:57:13.173]  And I know in your piece, you're mainly focusing on the buildup to the 6, what happened on the 6, and then since then, and it's extremely powerful.
[00:57:13.193 --> 00:57:14.454]  I've read the piece now three times.
[00:57:16.215 --> 00:57:31.339]  But the bigger area is your knowledge that was very impressive to me when we had him talk a few weeks ago off-air about the pedigree of the groups in this Justice Department that were holdovers who had done similar things before.
[00:57:31.800 --> 00:57:37.881]  And I know that kind of puts the cart before the horse because then they'll, you know, bring up those issues instead of this current one up front.
[00:57:37.901 --> 00:57:40.042]  But the past behavior of these people
[00:57:40.402 --> 00:58:01.737]  At Ruby Ridge, Waco, Oklahoma City, and just everything they do, the pathology of them doing this over and over again, plus the last 20-30 years, the FBI behind almost every other major staged event, be it white supremacists, Islamists, any of these groups, and I'm not saying there aren't some crazy militias or some crazy white supremacists or a lot of crazy Muslims, but then there's the FBI always holding their hand there.
[00:58:01.997 --> 00:58:05.180]  This is a very well-known phenomenon.
[00:58:06.579 --> 00:58:17.953]  Absolutely, no, you make a great point, and that's why it's so exciting to be on this show, because, as you said, you cut your teeth on this precise narrative that the American people need to understand.
[00:58:17.973 --> 00:58:25.883]  I think it's unfortunate that there's been so much distraction related to 1-6, and I'm really glad that this Revolver news piece has helped to clear that up.
[00:58:26.724 --> 00:58:31.469]  In my view, it's not about, oh, whether it was Antifa, this or that.
[00:58:31.970 --> 00:58:32.790]  It's bigger than that.
[00:58:33.051 --> 00:58:34.672]  Don't ask whether it was Antifa.
[00:58:34.713 --> 00:58:35.994]  Was it the federal government?
[00:58:36.334 --> 00:58:37.135]  What did the government know?
[00:58:37.155 --> 00:58:43.141]  Well, there's no doubt that Antifa was there in a foundational level support role and had been tipped off that this was about to happen.
[00:58:43.161 --> 00:58:45.424]  We have him on video, Jaden Eck saying it, but exactly.
[00:58:45.644 --> 00:58:47.526]  That becomes a distraction because it gets...
[00:58:49.253 --> 00:58:58.859]  Yes, but this gets into detail maybe for another report, but just quickly on the Jayden issue, what was he?
[00:58:59.460 --> 00:59:04.183]  Was he actually Antifa or was he himself some kind of operative or informant?
[00:59:04.503 --> 00:59:08.385]  So I think we need to really be precise about what we're saying.
[00:59:08.405 --> 00:59:13.066]  And really, all roads lead to this question is what did the government know?
[00:59:13.106 --> 00:59:13.747]  When did they know?
[00:59:13.847 --> 00:59:14.707]  Was this a setup?
[00:59:15.067 --> 00:59:17.128]  That is the key that unlocks this.
[00:59:17.488 --> 00:59:19.909]  And you can go all the way back to J. Edgar Hoover.
[00:59:20.169 --> 00:59:22.670]  Every single incident, like you were saying, from
[00:59:23.170 --> 00:59:26.612]  Stay there.
[00:59:26.632 --> 00:59:27.713]  We've got plenty of time.
[00:59:27.813 --> 00:59:28.614]  Let's get into that.
[00:59:28.634 --> 00:59:29.314]  And I totally agree.
[00:59:29.334 --> 00:59:29.674]  You're right.
[00:59:29.995 --> 00:59:31.736]  Jayden X isn't really Antifa.
[00:59:31.976 --> 00:59:33.177]  He's whatever they need him to be.
[00:59:33.217 --> 00:59:41.082]  And he actually brags about that and has that background with Anderson Cooper and these weird international journalists that are in conflict zones.
[00:59:41.102 --> 00:59:42.583]  I would say CIA.
[00:59:42.923 --> 00:59:43.504]  We'll be right back.
[00:59:43.524 --> 00:59:43.884]  Stay with us.
[00:59:45.129 --> 01:00:04.057]  Alright folks, we're back live with Dr. Darren J. Beatty, and he of course is with Revolver.News, the founder of it, a doctor, a professor of political science, and of course he went to work at the White House with President Trump as a researcher, strategist, speechwriter, and he's here now quarterbacking the resurgence of investigative journalism.
[01:00:04.077 --> 01:00:05.257]  I want to explain something.
[01:00:05.737 --> 01:00:07.038]  This Revolver story,
[01:00:08.277 --> 01:00:12.762]  And what they really did at the Capitol is the whole future of America, one way or the other.
[01:00:13.663 --> 01:00:15.265]  It's as big as the Wuhan lab.
[01:00:15.465 --> 01:00:16.306]  Why is that important?
[01:00:16.707 --> 01:00:20.070]  Because it's all the same globalist group using crises to take control.
[01:00:20.611 --> 01:00:23.274]  And they are saying the whole posture of the U.S.
[01:00:23.314 --> 01:00:25.997]  military and the CIA, its main focus...
[01:00:27.077 --> 01:00:30.418]  Is not the Middle East, is not China, is not even the Russians.
[01:00:30.498 --> 01:00:42.243]  It's now us and branding us all terrorists and white supremacists to then start a war with us and to start false flags as the trigger for that, the Capitol being the first.
[01:00:42.263 --> 01:00:43.543]  So this is very historical.
[01:00:43.903 --> 01:00:45.764]  Anybody that studied history knows it repeats.
[01:00:46.124 --> 01:00:49.085]  So obviously the professor understands that because he's researched it.
[01:00:49.826 --> 01:00:53.047]  So when you know what you're doing, when you've researched this, it's all crystal clear.
[01:00:53.587 --> 01:00:57.770]  And they're even telling you what they're going to do in that montage earlier, Dr. Professor.
[01:00:58.110 --> 01:01:03.393]  You saw a show, just a small taste of them saying the new enemy is the American people.
[01:01:03.714 --> 01:01:10.678]  A white supremacist is a capitalist, a Christian, a conservative, someone that loves our country.
[01:01:11.078 --> 01:01:15.221]  And so this is a great way for the Democratic Party to outlaw its opposition.
[01:01:15.261 --> 01:01:16.742]  So we've got the rest of the hour.
[01:01:17.162 --> 01:01:32.829]  We got a break coming up, longer segments coming up, but wherever you want to start, back with Jaden X, or January 6th, or the FBI operatives inside, or what you think is coming in the future, because this story is the most important, because it's the entire program this corrupt deep state has launched.
[01:01:34.550 --> 01:01:45.935]  Yes, no, I agree with all of that wholeheartedly, and I'd like to say that investigative journalism is nothing if it's not attached to a narrative.
[01:01:46.624 --> 01:01:52.927]  The investigative work is only important insofar as it's connected to an important narrative.
[01:01:53.787 --> 01:01:57.469]  And the narrative here is crucial for everyone to understand.
[01:01:58.089 --> 01:02:01.811]  January 6th, it's not just about Babbitt.
[01:02:01.931 --> 01:02:03.912]  It's not just about the people indicted.
[01:02:04.653 --> 01:02:06.353]  It's about all of us.
[01:02:06.814 --> 01:02:15.858]  Because the biggest trend, the most terrifying trend, the most important trend in politics that Revolver.News has covered in meticulous detail,
[01:02:16.693 --> 01:02:33.437]  Is that our national security apparatus in this country has been politically weaponized, repurposed, and redeployed domestically to silence, suppress, and destroy the energy associated with Donald Trump's victory in 2016.
[01:02:33.597 --> 01:02:35.777]  It's as simple as that.
[01:02:36.337 --> 01:02:44.339]  And the narrative for One Six that the government has seized upon, that the fake media has seized upon, and so forth.
[01:02:45.177 --> 01:02:53.006]  It's entirely for that purpose, to serve as a pretext to advance this new domestic war on terror.
[01:02:53.546 --> 01:03:05.320]  This new Patriot Act, which, you know, as opposed to the old Patriot Act, which was horrible, this new Patriot Act is tailor made to attack patriots.
[01:03:07.259 --> 01:03:25.885]  And the left is, we're talking hundreds of thousands of tweets a day just of my name saying arrest me, kill me, tear me apart, about Trump, about Ted Cruz, about Josh Hawley, anybody that says hey we should investigate election integrity, something the Democrats always agree with before, should be put in prison because we're terrorists?
[01:03:26.226 --> 01:03:26.806]  And they have like
[01:03:27.987 --> 01:03:32.975]  Army officers online saying Alex Jones is a terrorist and he needs to be taken out.
[01:03:33.255 --> 01:03:34.217]  And Twitter is allowing that.
[01:03:34.237 --> 01:03:37.462]  And I'm not here bringing myself up because I want to be a victim.
[01:03:38.063 --> 01:03:41.208]  It's crazy to watch organized calls for violence like this.
[01:03:41.248 --> 01:03:41.910]  This is dangerous.
[01:03:43.174 --> 01:03:45.135]  No, it's absolutely the case.
[01:03:45.215 --> 01:03:52.779]  And I think if your listeners can take home one thing, first of all, I encourage them, go to revolver.news, read the full report.
[01:03:53.079 --> 01:03:54.980]  And I think you have a great audience.
[01:03:55.000 --> 01:03:56.300]  You have a very big audience.
[01:03:56.400 --> 01:04:02.103]  And I'm calling upon them to help this story become the biggest story in the country.
[01:04:03.084 --> 01:04:04.224]  It's got the momentum.
[01:04:04.504 --> 01:04:07.366]  This piece deserves to be the biggest story for the sake of all of us.
[01:04:07.386 --> 01:04:09.647]  Because I said, we deserve to know the truth.
[01:04:11.969 --> 01:04:13.991]  We need to keep in mind, though, the narrative.
[01:04:14.371 --> 01:04:19.677]  The narrative is that the national security state has been weaponized against the American people here.
[01:04:20.257 --> 01:04:31.589]  And frankly, and I think you know this, and you've known this for a long time, all of politics in the United States is basically going to be fake and performative.
[01:04:32.338 --> 01:04:39.746]  Unless and until we keep our national security agencies under control and in their proper place.
[01:04:40.427 --> 01:04:42.929]  If we don't do that, we don't have a country.
[01:04:50.077 --> 01:04:58.666]  They passed a federal law, he also signed executive orders to turn the CIA and other disinformation groups loose domestically, which had been illegal previously.
[01:04:58.726 --> 01:05:02.189]  We have the Washington Post headlines, propaganda legalized by Obama.
[01:05:02.530 --> 01:05:08.796]  That's what you're hitting at is, it's these groups that are doing this, that are then organizing the mainstream media to engage in this weaponization.
[01:05:10.629 --> 01:05:11.510]  Right, absolutely.
[01:05:11.650 --> 01:05:17.757]  And we need to bring the intelligence apparatus, the national security apparatus to heel or we don't have a country.
[01:05:18.077 --> 01:05:25.446]  And other than that, frankly, all the political discussions we have are fake performative distractions.
[01:05:25.746 --> 01:05:29.691]  We're not going to have politics in this country in the real sense.
[01:05:30.521 --> 01:05:32.844]  Until we get that situation under control.
[01:05:33.144 --> 01:05:37.068]  And that is what I think is at stake in this one, in this one six piece.
[01:05:37.568 --> 01:05:42.393]  And so I'm happy to go into the details of it because I think it's a very important argument to follow.
[01:05:42.413 --> 01:05:43.595]  Where do we begin?
[01:05:43.615 --> 01:05:44.956]  Where do we begin on January 6th?
[01:05:48.652 --> 01:05:52.434]  Other than the details, I just wanted to emphasize the why is this important?
[01:05:52.514 --> 01:05:53.854]  Why are these details important?
[01:05:54.074 --> 01:05:59.216]  It's important for the reasons I described, but the details themselves are quite explosive.
[01:05:59.256 --> 01:06:04.679]  Now, if somebody is hearing this for the first time saying, well, I think that's a little bit far-fetched.
[01:06:04.719 --> 01:06:15.423]  The possibility that the government could have infiltrated these militia groups, the possibility at the very least that they knew there was potential for violence and they didn't stop it.
[01:06:15.803 --> 01:06:26.627]  And the even more disturbing possibility that it's not simply that they didn't stop it, is that some of the key players were actually informants or undercover agents playing an instigating role.
[01:06:27.207 --> 01:06:29.748]  That's too far for a lot of Americans.
[01:06:30.168 --> 01:06:32.289]  That's too dark for a lot of Americans.
[01:06:32.649 --> 01:06:37.012]  But as I was saying, we don't need to go back to J. Edgar Hoover to prove this.
[01:06:37.353 --> 01:06:43.057]  We just need to go back a few months before the so-called Capitol siege.
[01:06:43.357 --> 01:06:50.422]  We just need to go back and look at what happened in Michigan, which is a very, very curious coincidence here.
[01:06:50.943 --> 01:06:52.784]  In a nutshell, what happened in Michigan?
