[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[00:54:05.425 --> 00:54:06.526]  But I was brought up Protestant.
[00:54:07.449 --> 00:54:11.310]  But there's great Catholics, there's great... But I really like the Orthodox Church.
[00:54:12.010 --> 00:54:13.210]  And it's exploding all over the world.
[00:54:13.931 --> 00:54:18.372]  And just every time I see some Orthodox priest up there, it's like, is this the Alex Jones Show?
[00:54:19.352 --> 00:54:31.775]  I see the translations in Poland, and Greece, and Russia, and the US, and... Although there's Orthodox Christians everywhere, but it's probably the oldest Christian sect.
[00:54:32.555 --> 00:54:34.936]  And it just seems... I see clips of them in Serbia.
[00:54:36.838 --> 00:54:39.180]  And just like I'd never hear anything I disagree with.
[00:54:39.240 --> 00:54:40.821]  It's like, wow, this is amazing.
[00:54:41.061 --> 00:54:44.123]  I mean, I'll be completely honest.
[00:54:44.203 --> 00:54:51.148]  I think I'm going to probably, I go to a lot of different churches and check churches out and go with family and, you know, Methodist, Baptist.
[00:54:51.188 --> 00:54:52.128]  I've been to Catholic churches.
[00:54:52.148 --> 00:54:52.989]  I mean, I've been everywhere.
[00:54:53.329 --> 00:54:54.090]  I was in Mexico.
[00:54:55.223 --> 00:54:56.484]  Six months ago, I went to Port of Arts.
[00:54:56.504 --> 00:54:57.024]  I've never been there.
[00:54:57.044 --> 00:54:57.464]  Amazing.
[00:54:57.885 --> 00:54:59.366]  Old, ancient, 500-year-old churches.
[00:54:59.386 --> 00:55:00.906]  I went to two different Catholic masses.
[00:55:01.847 --> 00:55:07.550]  Beautiful, in Latin, and seeing that, it felt great in there.
[00:55:08.371 --> 00:55:09.891]  The Vatican, I felt like I was in hell.
[00:55:09.931 --> 00:55:11.572]  I felt the power of Satan.
[00:55:11.592 --> 00:55:12.633]  He's taking that over.
[00:55:12.673 --> 00:55:16.935]  But I felt Christ in those Catholic churches.
[00:55:17.636 --> 00:55:19.597]  I just go with my spirit, what my spirit picks up.
[00:55:19.637 --> 00:55:22.879]  But I went to some Orthodox churches.
[00:55:24.073 --> 00:55:30.578]  We have some here in Central Texas, but nothing like, you know, my wife's from Omaha, and we go there a couple times a year to see family.
[00:55:31.479 --> 00:55:36.523]  And a lot of her friends are a lot of Greek community in their neighborhood that she's from.
[00:55:37.023 --> 00:55:41.627]  She's not Greek, but we've gone to their own restaurants and stuff, and they're just really nice people.
[00:55:42.508 --> 00:55:47.552]  And so, definitely, I'm going to go see if other Orthodox churches
[00:55:48.877 --> 00:55:50.978]  are like this because I really like what I'm hearing.
[00:55:51.418 --> 00:55:53.858]  I'm not here proselytizing the Orthodox Church.
[00:55:53.878 --> 00:55:57.199]  I'm just saying it seems to be from what I'm seeing hitting on all cylinders.
[00:55:58.360 --> 00:56:00.200]  All right, we are going to go to break.
[00:56:00.300 --> 00:56:01.981]  I'm going to come back with all the censorship news.
[00:56:02.041 --> 00:56:04.181]  It's so important because they're making their big global move now.
[00:56:04.201 --> 00:56:05.362]  The globalists are desperate.
[00:56:05.522 --> 00:56:07.822]  All the buildup is to this moment.
[00:56:08.062 --> 00:56:12.384]  So we don't want to get punch-drunk with all the censorship and say, well, well, you know.
[00:56:12.484 --> 00:56:15.825]  No, now is the key moment when they want global governmental control of speech.
[00:56:16.205 --> 00:56:16.805]  It's all coming up.
[00:56:18.444 --> 00:56:25.807]  Now, separately, you want these products because they fund this operation, but also because they really work.
[00:56:25.867 --> 00:56:29.249]  So I just need you to go support us and get them.
[00:56:29.949 --> 00:56:33.271]  Go get them because you support us, and you know that what we're putting out is important.
[00:56:34.491 --> 00:56:38.113]  And then once you try them, they're going to work so good, you're going to want to continue to use them.
[00:56:39.261 --> 00:56:48.127]  The vast majority of you never go buy a product at InfoWarsTore.com or at DrJonesNaturals.com, but those that do, five-star reviews.
[00:56:49.467 --> 00:56:52.229]  Next level foundational energy isn't a stimulant.
[00:56:52.329 --> 00:56:53.210]  It cleans out your cells.
[00:56:53.250 --> 00:56:54.351]  It's what your cells operate.
[00:56:54.751 --> 00:56:57.653]  This is clean energy to the next level.
[00:56:58.513 --> 00:57:04.177]  And if you've already got an issue with absorption of folic acid, you're going to be blown away, but everybody gets an effect.
[00:57:04.557 --> 00:57:05.638]  But if you are deficient,
[00:57:06.718 --> 00:57:08.259]  You're going to be next level.
[00:57:08.919 --> 00:57:10.219]  Next level foundational energy.
[00:57:10.699 --> 00:57:12.220]  DrJonesNaturals.com.
[00:57:13.800 --> 00:57:23.644]  So many other amazing products at DrJonesNaturals.com like the entire nano silver line of wound gel, an immune gargle, swish and swallow, and super blue.
[00:57:24.468 --> 00:57:24.688]  Nope.
[00:57:24.868 --> 00:57:34.319]  Fluoride-free, all the essential oils, all organic, the tea tree, the peppermint, the nano-silver, the iodine, super blue at drjonesnaturals.com.
[00:57:34.679 --> 00:57:39.785]  And Vitamin Mineral Fusion, back in stock, 40% off at infowarstore.com.
[00:57:43.308 --> 00:57:44.550]  Hour number two, straight ahead.
[00:57:50.046 --> 00:57:58.871]  DNA Force Plus from Infowarsstore.com is the perfect formula to help you support optimal energy levels while adapting your body to handle the daily bombardment of toxins.
[00:57:59.051 --> 00:58:03.413]  And that's why DNA Force Plus has exactly what you need to provide your cells with protection.
[00:58:03.673 --> 00:58:16.000]  The powerhouse ingredients in DNA Force Plus include LFATP, PQQ, CoQ10, and so many other incredible ingredients combined with a bioavailable herbal blend to make sure you are maximizing your absorption.
[00:58:16.280 --> 00:58:19.682]  And by the way, there's never been a better time to buy DNA Force Plus.
[00:58:19.942 --> 00:58:21.863]  Like I said, it's probably our most powerful product.
[00:58:22.283 --> 00:58:27.765]  It's also our most expensive because getting these ingredients in the amounts that are in DNA Force Plus is incredibly difficult.
[00:58:27.965 --> 00:58:29.626]  This stuff sells out at full price.
[00:58:29.866 --> 00:58:34.528]  You can get it right now for 50% off at InfoWarsTore.com.
[00:58:34.828 --> 00:58:41.311]  That's DNA Force Plus, our most powerful product, 50% off for a limited time at InfoWarsTore.com.
[00:58:41.371 --> 00:58:42.692]  I'm telling you, it sells out at full price.
[00:58:43.272 --> 00:58:46.033]  You gotta act now to get into 50% off at Infowarsstore.com.
[00:59:05.439 --> 00:59:08.961]  What would you call the debates and discussions about a pro-human future?
[00:59:08.981 --> 00:59:09.861]  Just Team Humanity?
[00:59:09.921 --> 00:59:10.822]  Yeah, Team Humanity.
[00:59:10.962 --> 00:59:11.422]  Absolutely.
[00:59:11.722 --> 00:59:13.123]  And so we have the t-shirt.
[00:59:13.183 --> 00:59:16.664]  Team Humanity with a nuclear family standing against the globalists.
[00:59:16.864 --> 00:59:24.288]  This shirt is a great conversation starter, but it also is a fundraiser to keep InfoWars on the air so we can promote and support Team Humanity.
[00:59:24.548 --> 00:59:36.274]  I want to thank you all for your past support, but I want to encourage you all now to understand that this is a revolution against the globalists, that it is so critical now to signal the fact that you are part of Team Humanity.
[00:59:36.574 --> 00:59:37.894]  We're told humans are the problem.
[00:59:37.914 --> 00:59:38.915]  We're told we're killing the Earth.
[00:59:39.195 --> 00:59:43.457]  We're told all this garbage, so we hate ourselves and stand down and roll over and die.
[00:59:43.757 --> 00:59:44.457]  We're not going to do that.
[00:59:44.718 --> 00:59:49.360]  Get your Team Humanity shirts now at mfoolerstore.com, and I thank you all for your support.
[00:59:53.314 --> 00:59:57.657]  If you are receiving this transmission, you are the resistance.
[00:59:57.857 --> 01:00:10.465]  If it keeps on raining, love is gonna break.
[01:00:10.485 --> 01:00:12.486]  Going down, going down.
[01:00:18.680 --> 01:00:26.443]  Alright, I'm going to hit all the incredible attacks on free speech and the big main globalist assault worldwide with the UN censorship treaties and everything.
[01:00:26.463 --> 01:00:29.445]  The attacks on Elon Musk, Hillary Clinton saying Trump's going to be a dictator.
[01:00:30.045 --> 01:00:30.565]  Clips of that.
[01:00:30.605 --> 01:00:31.585]  It's all coming up next segment.
[01:00:31.605 --> 01:00:32.426]  I'm going right into it.
[01:00:32.866 --> 01:00:34.467]  But I wanted to hit some of this.
[01:00:35.287 --> 01:00:47.052]  Los Angeles Mayor Karen Bass just had her house burglarized today for the second time and in wokeness said, I feel zero sympathy for any politician who supported policies that gut
[01:00:48.308 --> 01:00:50.229]  The prison population in half.
[01:00:52.351 --> 01:00:58.635]  And she also wants to make homeowners pay for homeless people's new houses so they can tear them out and destroy them and collapse society.
[01:00:58.676 --> 01:00:59.676]  It's all cloud and piven.
[01:01:00.537 --> 01:01:07.182]  But that's what all of this lawlessness is about, is to make people give up on the system and collapse things.
[01:01:07.622 --> 01:01:13.246]  And then things will be so bad there won't be food production that they can bring in all of their controls.
[01:01:13.306 --> 01:01:15.728]  So here is the Los Angeles mayor
[01:01:17.702 --> 01:01:20.426]  It is, again, bureaucratically explaining why there's a crime wave.
[01:01:20.446 --> 01:01:20.727]  Here it is.
[01:01:21.783 --> 01:01:28.526]  It's really an embarrassment on our country that we have more people locked up in the United States than any place in the world.
[01:01:28.846 --> 01:01:38.450]  And if you look at the many, many, many people who are locked up, they're locked up because they're poor, because they can't afford bail, or they can't afford proper legal defense.
[01:01:39.010 --> 01:01:46.733]  If you dealt with the poverty aspect, you could probably reduce the population by 50% with that alone.
[01:01:47.073 --> 01:01:51.235]  You know, why are people incarcerated just because they can't make bail?
[01:01:53.612 --> 01:01:59.155]  The Democrats are releasing violent criminals and keeping non-violent in jail.
[01:01:59.235 --> 01:02:00.515]  No, that's the issue.
[01:02:00.595 --> 01:02:09.860]  Here is the Biden administration is suing Sheetz gas station convenience stores for discrimination against minorities for doing background checks.
[01:02:10.520 --> 01:02:17.643]  So if you want a background check on the person running a store and all that money and everything goes on, you're a racist.
[01:02:17.703 --> 01:02:19.024]  What the hell does that have to do with it?
[01:02:19.544 --> 01:02:20.625]  Talk about crime wave.
[01:02:20.645 --> 01:02:20.985]  Here it is.
[01:02:21.716 --> 01:02:24.897]  Sheetz is being sued over its hiring practices.
[01:02:24.957 --> 01:02:25.437]  The U.S.
[01:02:25.577 --> 01:02:29.058]  Equal Employment Opportunity Commission filed the suit this morning.
[01:02:29.538 --> 01:02:41.662]  It claims that the way Sheetz bases employment on criminal records disproportionately screens out black, Native American, and other multiracial applicants, and that this violates federal law.
[01:02:42.162 --> 01:02:46.844]  The suit does not accuse Sheetz of being motivated by race when making hiring decisions.
[01:02:47.244 --> 01:02:51.085]  We have reached out to Sheetz for comment, but so far we have not heard back.
[01:02:52.378 --> 01:02:58.343]  Okay, so if you make somebody pass a background check, that's what it's about, you're bad.
[01:02:58.643 --> 01:03:01.905]  Where did Biden go last week when nobody wanted to talk to him?
[01:03:02.045 --> 01:03:03.827]  A Sheetz gas station.
[01:03:05.628 --> 01:03:10.572]  And then now the federal government's suing him because they run a background check.
[01:03:10.752 --> 01:03:12.774]  I mean, that's crazy, folks.
[01:03:13.795 --> 01:03:14.775]  That's incredibly dangerous.
[01:03:14.795 --> 01:03:21.941]  So the government spies on you, scans you, controls you, puts you through all these databases, calls you a white supremacist because you're not a communist.
[01:03:22.637 --> 01:03:38.808]  And then, if you own a business, you're a franchise owner of a gas station convenience store that serves food and things, and you run background checks on people, well, you're bad.
[01:03:41.230 --> 01:03:44.092]  Ladies and gentlemen, stores will hire anybody that isn't a criminal.
[01:03:46.213 --> 01:03:51.537]  And so the issue with both these stores not getting, quote, minority applicants is because they're not getting applications.
[01:03:52.953 --> 01:03:55.535]  And that's the system that's been created.
[01:03:55.555 --> 01:03:57.977]  But the minority in most areas is the majority now.
[01:03:58.877 --> 01:04:01.219]  And there are a lot of great people of every color out there.
[01:04:01.259 --> 01:04:02.320]  But this is dangerous.
[01:04:03.040 --> 01:04:04.521]  And the globalists know exactly what they're doing.
[01:04:04.541 --> 01:04:07.003]  It's like California passing a huge minimum wage.
[01:04:07.403 --> 01:04:12.126]  Now all these businesses are laying people off because they can't pay the employees that much money.
[01:04:12.967 --> 01:04:15.008]  It's the inflation that's causing all of this.
[01:04:15.068 --> 01:04:16.049]  That's the tax.
[01:04:17.110 --> 01:04:18.451]  And Biden's printed more money
[01:04:20.060 --> 01:04:29.782]  Then the first 200 years of this nation, plus in just the last three years, three plus years, that's the big issue.
[01:04:30.262 --> 01:04:31.682]  And I know the audience knows that.
[01:04:32.742 --> 01:04:39.844]  But the general public still doesn't really understand what the monetization of debt means and what's happening.
[01:04:39.864 --> 01:04:42.104]  But all of us feel it and it's only getting worse.
[01:04:42.684 --> 01:04:44.004]  One minute break to join some stations.
[01:04:44.464 --> 01:04:46.905]  We'll be right back and we will go right into
[01:04:48.257 --> 01:04:50.058]  The biggest attack on free speech worldwide.
[01:04:50.218 --> 01:04:55.580]  Governments around the world, whether it's the EU, whether it's Australia, saying they control free speech worldwide.
[01:04:55.600 --> 01:04:57.461]  Elon Musk is saying, go after yourselves.
[01:04:59.182 --> 01:05:00.682]  Ladies and gentlemen, it is back.
[01:05:00.902 --> 01:05:08.405]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas has returned to InfoWarsStore.com.
[01:05:08.485 --> 01:05:17.109]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[01:05:17.469 --> 01:05:18.749]  We don't live in a perfect world.
[01:05:18.789 --> 01:05:21.270]  Our diets no longer contain everything that we need.
[01:05:21.590 --> 01:05:29.673]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[01:05:29.733 --> 01:05:30.973]  InfoWarsStore.com.
[01:05:31.013 --> 01:05:31.973]  Vitamin Mineral Fusion.
[01:05:32.233 --> 01:05:33.074]  It's back in stock.
[01:05:33.234 --> 01:05:34.254]  It will sell out quickly.
[01:05:34.274 --> 01:05:35.634]  It's one of our most popular products.
[01:05:35.914 --> 01:05:38.555]  So make sure you go now to InfoWarsStore.com.
[01:05:38.855 --> 01:05:39.475]  It's good for you.
[01:05:39.555 --> 01:05:40.556]  It's good for the whole family.
[01:05:40.996 --> 01:05:44.137]  Vitamins A, B, C, D, B12.
[01:05:45.358 --> 01:05:49.527]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[01:05:49.567 --> 01:05:51.050]  I don't even have time to list everything in here.
[01:05:51.070 --> 01:05:54.999]  So go to InfoWarsTore.com and find out what Vitamin Mineral Fusion can do for you.
[01:06:15.422 --> 01:06:21.706]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:23.887 --> 01:06:29.050]  So, if you remember six years ago, they were banning us off of hundreds of platforms.
[01:06:32.772 --> 01:06:34.273]  They said it was just about Alex Jones.
[01:06:35.290 --> 01:06:38.872]  And I told you, I said no, because I read it in the Wall Street Journal, they admitted it.
[01:06:39.353 --> 01:06:41.234]  They were going to set the precedent with me.
[01:06:41.294 --> 01:06:50.340]  I mean, I could already tell that was the case, but they said, once we demonize Jones, which we're doing, and then once people don't stand up for him and we ban him, then we'll have the precedent set to ban everybody.
[01:06:52.222 --> 01:06:58.726]  And then we saw the massive censorship, election manipulation, blocking of all the news stories that made Biden look bad.
[01:07:00.686 --> 01:07:06.247]  Even though he really had to still steal a few key states, did damage Trump in some areas.
[01:07:07.388 --> 01:07:26.392]  And so Elon Musk, two years ago, buys, or a year and a half ago, buys X, buys Twitter, turns to X, and he says, we'll follow national rules, and if the EU bans videos or says they can't be shared, we'll block them, but we're not going to block them worldwide.
[01:07:28.021 --> 01:07:38.428]  And then in Australia, as you all know, a week and a half ago, a very, very popular Orthodox priest gets stabbed by a Muslim in the face and neck.
[01:07:39.209 --> 01:07:40.050]  Thank God he survived.
[01:07:41.431 --> 01:07:51.278]  And the Australian government came out and said, people can still get around that and go to US accounts and find the video.
[01:07:51.338 --> 01:07:52.979]  Well, why can't you see it?
[01:07:53.019 --> 01:07:57.282]  Well, just like they block all the anti-white crime going on around the world.
[01:07:58.681 --> 01:08:00.422]  Just like they have all that political correctness.
[01:08:00.442 --> 01:08:02.383]  They don't want a political debate about what's happening.
[01:08:03.343 --> 01:08:04.884]  They are trying to censor that.
[01:08:05.904 --> 01:08:06.784]  And so is the EU.
[01:08:06.824 --> 01:08:08.485]  The EU's got criminal investigations open.
[01:08:08.885 --> 01:08:10.546]  Brazil's open criminal investigations.
[01:08:10.566 --> 01:08:14.467]  Saying they're going to arrest people involved in X. They're going to go after Elon Musk.
[01:08:14.487 --> 01:08:22.751]  But now we have senators in Australia and other places calling for his arrest saying he's got too much power.
[01:08:23.735 --> 01:08:24.556]  Apology tour, if you will.
[01:08:24.576 --> 01:08:25.977]  This had been said online.
[01:08:25.997 --> 01:08:27.798]  There was all of the criticism.
[01:08:27.838 --> 01:08:30.280]  There was advertisers leaving.
[01:08:30.300 --> 01:08:31.120]  We talked to Bob Iger today.
[01:08:54.690 --> 01:08:54.890]  You hope?
[01:08:55.570 --> 01:08:56.271]  Don't advertise.
[01:08:57.271 --> 01:08:58.111]  You don't want them to advertise?
[01:08:58.171 --> 01:08:58.231]  No.
[01:08:58.251 --> 01:08:59.572]  What do you mean?
[01:08:59.592 --> 01:09:04.434]  If somebody's going to try to blackmail me with advertising?
[01:09:04.634 --> 01:09:05.474]  Blackmail me with money?
[01:09:06.575 --> 01:09:07.255]  Go f**k yourself.
[01:09:11.056 --> 01:09:14.317]  But... Go f**k yourself.
[01:09:15.778 --> 01:09:16.278]  Is that clear?
[01:09:16.298 --> 01:09:18.239]  I hope it is.
[01:09:19.379 --> 01:09:20.920]  Hey Bob, if you're in the audience.
[01:09:21.820 --> 01:09:23.041]  Well, let me ask you then...
[01:09:25.140 --> 01:09:25.740]  That's how I feel.
[01:09:26.981 --> 01:09:27.621]  Don't advertise.
[01:09:32.084 --> 01:09:34.185]  And that's the attitude we should all have about free speech.
[01:09:34.285 --> 01:09:35.646]  We're adults, you can handle it.
[01:09:36.386 --> 01:09:37.487]  There should be no censorship.
[01:09:41.048 --> 01:09:44.290]  Unless somebody's directly saying, go kill this person, that's already illegal.
[01:09:46.331 --> 01:09:47.612]  Go back to following the law.
[01:09:49.873 --> 01:09:51.034]  So, here's the headlines.
[01:09:51.555 --> 01:09:55.338]  Court orders Elon Musk's X to block Sydney church stabbing footage.
[01:09:57.580 --> 01:09:58.180]  He refused.
[01:09:58.260 --> 01:10:03.485]  Musk declares Australian court censorship of X terror post.
[01:10:04.826 --> 01:10:08.629]  Musk decries Australian court censorship of X terror post.
[01:10:08.809 --> 01:10:09.330]  Yahoo News.
[01:10:10.270 --> 01:10:12.692]  Here's a post by Mario Nafal.
[01:10:13.213 --> 01:10:17.597]  Australian senator wants Elon Musk locked up for allowing free speech on X.
[01:10:19.144 --> 01:10:20.445]  Jacque Lamble
[01:10:35.322 --> 01:10:42.387]  That we can bring rules in or do something about this sort of game playing with our social media, the better off we're going to be.
[01:10:42.768 --> 01:10:48.052]  But quite frankly, the power the man has because of the platform that he's on has got to stop.
[01:10:48.652 --> 01:10:50.453]  It has absolutely got to stop.
[01:10:52.375 --> 01:10:53.736]  And Elon Musk said about that.
[01:10:56.087 --> 01:11:00.009]  Global content takedown orders can harm the internet if adopted widely.
[01:11:00.470 --> 01:11:01.130]  Yeah, I think so.
[01:11:01.670 --> 01:11:04.852]  There's a newscast clip of this that I meant to send you guys.
[01:11:04.892 --> 01:11:09.875]  If we don't have this clip, get it or tell me if you do have it after we play the Senators Club, but I want this clip.
[01:11:10.836 --> 01:11:24.164]  Our concern is that if any country is allowed to censor content for all X countries, which is what the Australian E-Safety Commission Commissar is demanding, then what is to stop any country from controlling the entire internet?
[01:11:25.510 --> 01:11:32.693]  We have already censored the content and questions for Australia pending legal appeal, and it's stored only on servers in the US.
[01:11:34.094 --> 01:11:35.795]  But they want him arrested.
[01:11:35.815 --> 01:11:39.696]  We'll play that news clip in a moment, but here's the headline.
[01:11:40.136 --> 01:11:49.020]  Australian PM, that's the Prime Minister, calls Elon Musk an arrogant billionaire after ex-owner says government wants to control the entire internet over stabbing videos.
[01:11:49.060 --> 01:11:50.140]  What's it they're saying they want?
[01:11:51.741 --> 01:11:53.602]  Here is the Senator talking about it.
[01:11:55.248 --> 01:12:02.539]  The alleged attack and Elon Musk really showing contempt for the government and its approach on this issue.
[01:12:02.579 --> 01:12:07.125]  What's your take on the tech billionaire?
[01:12:08.672 --> 01:12:13.375]  So when it comes to the tech billionaire, like I've already said, I think he's a social media knob with no social conscience.
[01:12:13.895 --> 01:12:15.916]  He has absolutely no social conscience.
[01:12:15.956 --> 01:12:18.697]  Someone like that should be in jail and the key be thrown away.
[01:12:19.017 --> 01:12:26.781]  That bloke should not have a right to be out there on his own ideology platform and creating hatred.
[01:12:28.221 --> 01:12:31.982]  You know, showing all this stuff out there to our kids and doing all the rest.
[01:12:32.002 --> 01:12:39.025]  I'm very interested to watch what the US is going to do with TikTok and how far that they can do with trying to get rid of that platform as well.
[01:12:39.045 --> 01:12:42.766]  So I think we're all watching on the United States at the moment to see what they're doing.
[01:12:42.786 --> 01:12:50.108]  But seriously, if we can move and if that means in the next sitting that we can shut him down from doing this, because this is
[01:12:50.228 --> 01:12:53.550]  Are you happy to keep the platform out?
[01:12:53.930 --> 01:12:55.511]  I don't give a stuff about the platform.
[01:12:55.571 --> 01:12:57.913]  I'm happy to go off the platform today to be honest with you.
[01:12:57.933 --> 01:12:59.814]  I already have a list of all you journalists.
[01:13:00.334 --> 01:13:02.115]  I don't even know why we're on the platform.
[01:13:02.616 --> 01:13:04.377]  But I say this to everybody else.
[01:13:04.717 --> 01:13:06.318]  I'll be switching off X today.
[01:13:06.758 --> 01:13:10.441]  I'll be doing that before I get to the airport this afternoon and I suggest
[01:13:11.041 --> 01:13:18.689]  That the other 226, there's 227 Members of Parliament do the same thing and show them that you mean business.
[01:13:18.709 --> 01:13:22.092]  Because when you want to lead by example, it has to happen from here.
[01:13:22.533 --> 01:13:23.614]  It has to happen from here.
[01:13:23.894 --> 01:13:27.157]  So start switching off X. Start throwing it back at him.
[01:13:27.497 --> 01:13:28.899]  But we've got to start from here.
[01:13:29.379 --> 01:13:32.442]  Jackie Lambie, David Pocock, great to see you both and happy birthday David.
[01:13:37.096 --> 01:13:38.737]  That's only going to backfire on them.
[01:13:38.757 --> 01:13:43.039]  I've got another clip of her, we'll play in a moment, actually saying we need to arrest him.
[01:13:44.179 --> 01:13:48.561]  But let's play a clip of the national news there in Australia covering this.
[01:13:49.161 --> 01:13:51.523]  But you talk about arrogance of these people.
[01:13:51.803 --> 01:13:52.183]  Here it is.
[01:13:52.944 --> 01:14:08.711]  Chris, we've had him on this program, has submitted a notice of appeal against the E-Safety Commissioner in this country, Julie Inman Grant, over her takedown order for his post where he supposedly misgendered a trans activist.
[01:14:09.851 --> 01:14:11.852]  Tell me the latest with this case.
[01:14:11.912 --> 01:14:13.253]  It's a fascinating one.
[01:14:13.313 --> 01:14:15.974]  It's one that got international attention.
[01:14:16.034 --> 01:14:22.277]  People were shocked that this was happening in Australia and you would think the E-Safety Commissioner would have
[01:14:23.499 --> 01:14:31.906]  Bigger priorities, I don't know, child exploitation for one, than to bring down posts on X. Yeah, that's right.
[01:14:31.926 --> 01:14:38.130]  Look, there is a serious issue with the exposure of children to, you know, graphic and obscene content and it needs to be dealt with.
[01:14:38.511 --> 01:14:42.494]  The problem that you've got here with this eSafety Commissioner, she's an activist.
[01:14:42.694 --> 01:14:42.994]  Absolutely.
[01:14:43.354 --> 01:14:50.879]  She will continue to expand her role to police the internet, to censor debate in a way that's consistent with her own ideological views.
[01:14:51.219 --> 01:14:52.660]  We're just talking about the EPA.
[01:14:52.680 --> 01:14:54.021]  It's the exact same problem.
[01:14:54.041 --> 01:15:06.228]  You have these unelected bureaucrats that have vague powers and they will fill it with their views and she has a track record of censorship and it only ever targets one side and unfortunately we're seeing that happen again.
[01:15:07.000 --> 01:15:13.402]  And let's not forget, we've mentioned it before on this program, she was appointed by the Coalition Government.
[01:15:13.442 --> 01:15:19.123]  This isn't some Labor appointment, this is another example of the Coalition wasting power.
[01:15:19.183 --> 01:15:21.644]  You do wonder why, you know, what's the point of voting for them?
[01:15:22.024 --> 01:15:25.945]  They kind of just appoint lefties to run the bureaucracy.
[01:15:26.245 --> 01:15:35.167]  And also the misinformation and disinformation laws that started under Paul Fletcher when he was communi... Now, this government's gone way further, but they permitted it through allowing it to go as far as it did.
[01:15:36.601 --> 01:15:40.322]  And this was all done to suppress people saying, hey, the virus has been made.
[01:15:40.622 --> 01:15:41.582]  Hey, the shots don't work.
[01:15:41.602 --> 01:15:42.262]  They make you sick.
[01:15:42.422 --> 01:15:43.363]  All that's been confirmed.
[01:15:43.423 --> 01:15:43.943]  We were right.
[01:15:44.003 --> 01:15:44.543]  They were wrong.
[01:15:44.803 --> 01:15:45.323]  They're the liars.
[01:15:45.363 --> 01:15:45.983]  Remember Australia.
[01:15:46.223 --> 01:15:47.163]  Don't talk to your neighbors.
[01:15:47.224 --> 01:15:47.664]  New Zealand.
[01:15:47.704 --> 01:15:48.684]  Don't look at the sunset.
[01:15:49.484 --> 01:15:51.044]  We're your only source of information.
[01:15:51.485 --> 01:15:52.625]  Follow whatever we say.
[01:15:53.225 --> 01:15:54.405]  They're the tyrants.
[01:15:54.905 --> 01:15:57.366]  And it's not just lefties that, oh, did this on accident.
[01:15:57.406 --> 01:15:58.666]  They're idiots.
[01:15:59.626 --> 01:16:00.747]  It's all over the world.
[01:16:00.807 --> 01:16:06.188]  Jacinda Ardern of New Zealand has now been recruited by the EU, the WFP, the head censorship czar.
[01:16:07.386 --> 01:16:08.907]  Remember the clip last year at Davos?
[01:16:08.927 --> 01:16:12.030]  They said, soon we'll censor all the speech in America.
[01:16:12.931 --> 01:16:16.074]  And they spy on us illegally for political control.
[01:16:16.514 --> 01:16:19.416]  And it goes on and on and on.
[01:16:19.497 --> 01:16:22.219]  It is naked criminal oppression.
[01:16:23.800 --> 01:16:30.146]  Here's another clip of the censorship, Ministry of Truth, Minister of the Pacific, one I mentioned, talking about arresting Mosqueros.
[01:16:31.149 --> 01:16:33.790]  Elon Musk has no social conscience or conscience whatsoever.
[01:16:34.150 --> 01:16:37.792]  I don't know, whatever Elon Musk is on, it says that that's okay.
[01:16:38.032 --> 01:16:40.813]  To continue to air that is absolutely disgusting behaviour.
[01:16:41.253 --> 01:16:43.114]  And quite frankly, the bloke should be jailed.
[01:16:43.394 --> 01:16:51.317]  And the sooner that we can bring rules in or do something about this sort of game playing with our social media, the better off we're going to be.
[01:16:51.358 --> 01:16:57.260]  But quite frankly, the power that that man has, because of that platform that he's on, it's got to stop.
[01:16:57.340 --> 01:16:59.201]  It has absolutely got to stop.
[01:17:00.109 --> 01:17:03.472]  Oh my gosh, because it's showing, well they had a bunch of stabbings just that week.
[01:17:03.592 --> 01:17:05.695]  Oh, it shows the Muslims running around stabbing people.
[01:17:05.775 --> 01:17:06.716]  Oh, we can't show that.
[01:17:06.956 --> 01:17:09.819]  Here, let's show what she wants to put us in jail for.
[01:17:09.839 --> 01:17:17.346]  Blueprint a couple times, the popular Orthodox priest, and the huge global awakening to this that's happening.
[01:17:17.826 --> 01:17:20.069]  She doesn't want you to see what's being done to Christians.
[01:17:20.089 --> 01:17:20.389]  Here it is.
[01:17:33.108 --> 01:17:40.170]  And then he's smiling and laughing after it happened.
[01:17:40.370 --> 01:17:42.091]  Because it's so funny.
[01:17:51.754 --> 01:17:52.274]  And you know what?
[01:17:52.514 --> 01:17:58.376]  I don't normally do things four times, but just because the censorships are, it looks like a little pig or something, a little demon pig.
[01:17:59.338 --> 01:18:00.159]  It's disgusting.
[01:18:00.199 --> 01:18:01.980]  I want to arrest Elon Musk right now.
[01:18:02.000 --> 01:18:03.121]  Let's play it one more time just for her.
[01:18:07.284 --> 01:18:16.891]  You know... You know what?
[01:18:16.931 --> 01:18:17.972]  Three more times just for her.
