[00:00:00.287 --> 00:00:00.647]  Jump into it.
[00:51:35.698 --> 00:51:36.638]  Okay, there you go.
[00:51:36.758 --> 00:51:39.019]  Trump was battling it out in the court.
[00:51:39.079 --> 00:51:39.739]  And he lost.
[00:51:39.899 --> 00:51:42.799]  Once you lose, anything past that is vigilantism.
[00:51:43.139 --> 00:51:49.261]  Vigilantism, directed at the government to prevent the peaceful transfer of power to entrench your own power, is an attempted coup.
[00:51:49.661 --> 00:51:50.361]  That's what he tried to do.
[00:51:50.381 --> 00:51:51.161]  That's not what Trump did, though.
[00:51:51.201 --> 00:51:52.621]  He told them to be peaceful.
[00:51:52.641 --> 00:51:54.302]  He told them, go and be peaceful.
[00:51:54.322 --> 00:51:57.062]  We're not talking about the peaceful protesters.
[00:51:57.082 --> 00:52:01.543]  And if he wanted them to be peaceful, he would have called in the National Guard as soon as they started rioting, but he didn't do that.
[00:52:01.983 --> 00:52:06.734]  You're talking about his use of the legal process, of the congressional and judicial process.
[00:52:06.754 --> 00:52:08.057]  He went and tested...
[00:52:09.435 --> 00:52:21.806]  If he had ordered the military or some other FBI or any of those agencies, the CIA, to go and use violence on domestic soil in order to ignore those court rulings the way people do when they're trying to implement coups, you would have a good argument.
[00:52:22.106 --> 00:52:23.107]  He didn't do any of that.
[00:52:23.187 --> 00:52:26.470]  He invoked all of his legal rights in the judiciary and in the Congress.
[00:52:26.750 --> 00:52:29.633]  He lost and he walked out of the White House on January 20th.
[00:52:29.673 --> 00:52:30.874]  He did not have to be dragged out.
[00:52:30.914 --> 00:52:34.297]  He wasn't arrested by the military, which is what happens in coups.
[00:52:34.717 --> 00:52:44.002]  So much of this is because you only started paying attention to politics in 2016, you only live in the United States, you have no idea about history or anything that happens in other countries, you have no idea what a coup is!
[00:52:44.363 --> 00:52:45.023]  This is a coup!
[00:52:45.163 --> 00:52:46.284]  Glenn, you bring that up!
[00:52:46.544 --> 00:52:55.029]  Glenn, you bring that up and you're trying to use Hawaii as an example for something that was comparable, where both slates of electors were actually duly elected by the people there, in the 60s!
[00:52:55.069 --> 00:53:00.892]  Hawaii and South Carolina, these other historical examples that people go to from multiple slates of electors, are not at all comparable!
[00:53:01.212 --> 00:53:03.374]  Both of these things happened prior to 2016.
[00:53:03.855 --> 00:53:05.496]  There are no examples in U.S.
[00:53:05.516 --> 00:53:10.101]  history, or if you want to give me one since you know so much history prior to 2016, give it to me, is there any other examples in U.S.
[00:53:10.121 --> 00:53:14.646]  history where the president is telling the vice president to unilaterally not certify the vote?
[00:53:15.547 --> 00:53:16.648]  Has that ever happened before?
[00:53:17.830 --> 00:53:20.132]  That's a totally separate question from whether this is a coup.
[00:53:20.152 --> 00:53:22.493]  No, that is what happened on January 6th.
[00:53:22.573 --> 00:53:25.075]  It doesn't matter if it's the first time that it ever happened.
[00:53:25.215 --> 00:53:28.458]  Even if it's the first time or the 10th time, it's still not a coup or an insurrection.
[00:53:28.838 --> 00:53:35.883]  A coup or an insurrection is when you use violence and force in order to seize control of power outside of the legal process.
[00:53:35.923 --> 00:53:37.144]  So a coup has to happen.
[00:53:37.184 --> 00:53:40.907]  So if there's no violence, it can't be a coup.
[00:53:41.367 --> 00:53:42.288]  Wasn't there violence?
[00:53:42.828 --> 00:53:43.528]  I saw violence.
[00:53:44.429 --> 00:53:45.650]  How much violence do you need?
[00:53:45.670 --> 00:53:45.871]  25 grams.
[00:53:45.911 --> 00:53:47.052]  How many officers were injured?
[00:53:47.072 --> 00:53:47.052]  140?
[00:53:47.092 --> 00:53:48.614]  Is that enough violence for you?
[00:54:07.173 --> 00:54:16.017]  Well, here's a good question about staging a coup and emergent phenomenon, and if a crowd becomes violent, or if someone directs the crowd to become violent.
[00:54:16.037 --> 00:54:17.778]  This is actually the next question on my list.
[00:54:17.798 --> 00:54:20.860]  Do you guys think that Trump was responsible for this thing?
[00:54:20.920 --> 00:54:22.861]  And before you answer, I want to play a couple of clips.
[00:54:22.921 --> 00:54:24.041]  We have clip one and two.
[00:54:24.562 --> 00:54:26.683]  These are from Trump's speeches on the day.
[00:54:26.703 --> 00:54:31.045]  I think the first clip is before the violence kicked off.
[00:54:31.645 --> 00:54:32.606]  Maybe we can play that first.
[00:54:34.235 --> 00:54:43.058]  I know that everyone here will soon be marching over to the Capitol building to peacefully and patriotically make your voices heard.
[00:54:43.798 --> 00:54:46.980]  We can't play into the hands of these people.
[00:54:48.260 --> 00:54:49.120]  We have to have peace.
[00:54:50.321 --> 00:54:51.141]  So go home.
[00:54:51.861 --> 00:54:52.461]  We love you.
[00:54:52.902 --> 00:54:53.902]  You're very special.
[00:54:54.702 --> 00:54:55.823]  You've seen what happens.
[00:54:56.003 --> 00:55:00.304]  You see the way others are treated that are so bad and so evil.
[00:55:01.405 --> 00:55:02.305]  I know how you feel.
[00:55:03.339 --> 00:55:05.300]  But go home, and go home in peace.
[00:55:06.100 --> 00:55:13.123]  That second clip was from after the violence had become, and so he was kind of doing damage control, I think, at that point.
[00:55:13.183 --> 00:55:18.365]  I just don't understand all of the insanely arbitrary caps that we're trying to create to try to say that it wasn't a coup.
[00:55:18.385 --> 00:55:20.085]  Well, there was violence, but there wasn't enough.
[00:55:20.465 --> 00:55:23.606]  There was a subversion of the democratic process, but it didn't end up working.
[00:55:23.947 --> 00:55:27.428]  Like, if the plan would have gone as Donald Trump wanted it to have gone,
[00:55:27.728 --> 00:55:37.757]  Which is Vice President Pence unilaterally tossing out the Electoral College vote, and if Donald Trump would have retained power past when he was supposed to lose it, what is that if not a coup?
[00:55:37.777 --> 00:55:38.538]  What would you call that?
[00:55:38.718 --> 00:55:42.742]  No one ordered those people, the few hundred that actually fought police to do that.
[00:55:42.762 --> 00:55:43.183]  That's great.
[00:55:43.223 --> 00:55:44.384]  What would you call that though?
[00:55:44.464 --> 00:55:48.207]  If it would have happened, no one said Trump's been charged with insurrection or inciting a riot.
[00:55:50.189 --> 00:55:52.290]  But we can't vote for him because they say he's guilty.
[00:55:52.310 --> 00:55:57.511]  What would you call it if Pence would have unilaterally thrown out the vote and Trump would have held onto power for some weeks?
[00:55:57.531 --> 00:55:59.951]  Trump was calling for a 10-day Senate investigation.
[00:56:00.391 --> 00:56:01.072]  That's why we were there.
[00:56:01.292 --> 00:56:01.712]  That's great.
[00:56:01.812 --> 00:56:03.552]  What would have happened if Pence would have thrown out the vote?
[00:56:03.892 --> 00:56:04.772]  That's a hypothetical.
[00:56:04.812 --> 00:56:06.413]  Trump wanted a 10-day investigation.
[00:56:06.433 --> 00:56:08.293]  No, but he also wanted Pence to throw out the vote.
[00:56:08.313 --> 00:56:09.053]  Yeah, what would have happened?
[00:56:09.073 --> 00:56:09.914]  What would you have called that?
[00:56:09.934 --> 00:56:10.774]  And we're pushing for that.
[00:56:10.794 --> 00:56:11.694]  Yeah, what would we have called that?
[00:56:11.874 --> 00:56:12.634]  Can I get a name for that?
[00:56:12.654 --> 00:56:15.255]  If you don't want to call it a coup or an insurrection, what would you call that?
[00:56:16.411 --> 00:56:19.754]  Well, I'd call it taking Trump off the ballot and saying we can't vote for him.
[00:56:19.794 --> 00:56:21.676]  I know you won't answer because you probably know he's guilty.
[00:56:21.716 --> 00:56:22.136]  That's fine.
[00:56:22.196 --> 00:56:23.457]  What about you, Glenn?
[00:56:23.677 --> 00:56:31.404]  Glenn, what would you call it if the president was able to entrench his power by asking his vice president to throw out the vote unilaterally, which is what he was trying to do?
[00:56:31.764 --> 00:56:32.665]  Do you want to deny the facts?
[00:56:32.685 --> 00:56:33.726]  Do you want to deny that it's a coup?
[00:56:33.746 --> 00:56:34.106]  What part?
[00:56:34.787 --> 00:56:35.207]  A coup.
[00:56:35.567 --> 00:56:37.129]  You're lucky it wasn't a real coup.
[00:56:37.810 --> 00:57:01.576]  That shows the weakness of the argument, but if that had happened, my guess is it would have ended up in the Supreme Court, the Supreme Court would have made the decision about whether Mike Pence exercised his proper authority as Vice President, and then Donald Trump, if he had run out of options, would have left the White House on January 20th without any need for military force or police force, exactly how he did, and I would have called that the exhaustion of all of the legal remedies available to the President in the event that he takes on the election.
[00:57:01.596 --> 00:57:03.857]  Exactly, and therefore it would have been just the way
[00:57:04.417 --> 00:57:06.038]  The Bush v. Gore thing played out.
[00:57:06.318 --> 00:57:12.200]  Exhausting your legal options, getting up to the Supreme Court, the Supreme Court makes the determination.
[00:57:12.280 --> 00:57:20.064]  If both of you accept that then, then if the Supreme Court says that because of Amendment 14, Section 3, Trump can't be on the ballot, you would both accept that as well?
[00:57:21.738 --> 00:57:24.500]  I wouldn't, but I think that would be authoritative.
[00:57:24.640 --> 00:57:26.122]  Why would that be authoritative?
[00:57:26.142 --> 00:57:31.806]  But Donald Trump, one man, centralizing power among himself to remain in power, that's not authoritative.
[00:57:32.206 --> 00:57:34.048]  He didn't do that!
[00:57:34.148 --> 00:57:35.329]  That's what he tried to do!
[00:57:35.369 --> 00:57:36.209]  That is what happened!
[00:57:36.850 --> 00:57:41.774]  I know you only read tweets and headlines, Glenn, but believe it or not, that's actually what happened.
[00:57:41.814 --> 00:57:45.477]  That was our goal, was a 10-day Senate investigation into the Constitution.
[00:57:45.497 --> 00:57:47.198]  That's not what was happening behind the scenes, though.
[00:57:47.298 --> 00:57:50.020]  There's testimony from the lawyers involved.
[00:57:50.040 --> 00:57:51.761]  They were war-gaming everything.
[00:57:51.841 --> 00:57:52.341]  Exactly.
[00:57:52.361 --> 00:57:53.401]  And they're shutting down everything.
[00:57:53.421 --> 00:57:59.185]  The assistant AG, the assistant deputy AG, all of his legal counsel, all of his state senators, all of the congressmen.
[00:57:59.325 --> 00:58:00.686]  If I could talk over you, I'd be way better than you.
[00:58:00.706 --> 00:58:01.826]  That's what you've been doing the whole time.
[00:58:01.886 --> 00:58:02.567]  Don't, don't, no.
[00:58:02.627 --> 00:58:04.708]  You're doing it, and then I dominate, and you can't handle it.
[00:58:04.788 --> 00:58:05.008]  Okay.
[00:58:05.849 --> 00:58:15.258]  He didn't do that and he left is the point and that's the reality and now they say we can't vote for him even though we all know Biden's gonna win by 10 million votes.
[00:58:15.278 --> 00:58:18.602]  That's why we call it an attempted coup and not an actual successful coup.
[00:58:18.682 --> 00:58:21.645]  Alex, do you think that Trump was responsible for this thing on January 6th?
[00:58:22.445 --> 00:58:23.206]  100% not.
[00:58:23.246 --> 00:58:25.047]  He'd had hundreds of rallies around the country.
[00:58:25.527 --> 00:58:27.868]  Five or six that we were part of in the months before this.
[00:58:28.429 --> 00:58:29.709]  And we had the space.
[00:58:30.150 --> 00:58:33.111]  We had, here's the Capitol, right up above the Supreme Court on the Capitol grounds.
[00:58:33.131 --> 00:58:33.912]  We had a stage.
[00:58:34.412 --> 00:58:36.794]  And then we get there, and it's bedlam.
[00:58:37.554 --> 00:58:40.516]  And so, no, Trump didn't think attacking the Capitol would make him look good.
[00:58:40.756 --> 00:58:43.878]  That's why he came out and said that, don't do this and go home.
[00:58:44.358 --> 00:58:46.720]  Why didn't he call them off immediately if he thought it didn't make him look good?
[00:58:47.161 --> 00:58:48.822]  It was happening while he was giving a speech.
[00:58:48.862 --> 00:58:49.123]  Wrong.
[00:58:49.403 --> 00:58:57.671]  The reason why he didn't call them off is because Kim, Giuliani, and Eastman were making phone calls to other senators and congressmen asking them to decertify the electoral vote.
[00:58:57.711 --> 00:58:58.111]  No, no, no.
[00:58:58.332 --> 00:58:59.333]  You were there but you weren't.
[00:58:59.353 --> 00:59:00.814]  Do you acknowledge that that happened or do you not acknowledge it?
[00:59:00.834 --> 00:59:01.134]  Hold on, hold on.
[00:59:01.154 --> 00:59:02.175]  We're talking about the crowd.
[00:59:02.876 --> 00:59:04.236]  I don't care about the crowd.
[00:59:04.436 --> 00:59:12.438]  I'm saying that as the right was raging on and he was sitting there sipping his Diet Coke, if this really made him and his followers look bad, why didn't Donald Trump make a video immediately?
[00:59:12.458 --> 00:59:14.638]  Yeah, I'm about to do it, because I can talk over you really easily.
[00:59:14.658 --> 00:59:15.579]  That's what you've been doing the whole time.
[00:59:15.599 --> 00:59:16.119]  No, no, no, you're doing it.
[00:59:16.139 --> 00:59:17.399]  I look forward to you dodging the question again.
[00:59:17.419 --> 00:59:18.919]  You're doing it, you're doing it, you're doing it.
[00:59:18.979 --> 00:59:19.259]  No, you.
[00:59:19.459 --> 00:59:20.200]  So, no, you.
[00:59:21.080 --> 00:59:21.380]  No, you.
[00:59:21.400 --> 00:59:21.600]  You.
[00:59:21.760 --> 00:59:21.960]  You.
[00:59:22.000 --> 00:59:22.340]  No, you.
[00:59:22.440 --> 00:59:22.780]  You.
[00:59:22.820 --> 00:59:23.160]  Both of you.
[00:59:23.180 --> 00:59:23.600]  Keep doing it.
[00:59:23.720 --> 00:59:24.540]  He doesn't like you.
[00:59:24.560 --> 00:59:24.680]  Trump
[00:59:29.556 --> 00:59:35.962]  While he was speaking, I was getting text messages, violence in the Capitol, and I left to try to go stop it.
[00:59:36.602 --> 00:59:39.385]  And when I got there, he was still speaking.
[00:59:40.326 --> 00:59:48.493]  So this thing where you guys say, the attack started at this time, and Trump did nothing this time, he's speaking while it happens for hours.
[00:59:48.893 --> 00:59:52.637]  He then goes to the White House, tries to figure out what's going on, and puts a statement out against it.
[00:59:52.737 --> 00:59:53.337]  And he said,
[00:59:54.935 --> 00:59:58.818]  In the middle of a speech, off a teleprompter, go be peaceful.
[00:59:59.338 --> 01:00:00.119]  That's what he said.
[01:00:00.139 --> 01:00:03.542]  He also said fight like hell.
[01:00:03.602 --> 01:00:06.604]  If we don't fight like hell, we're not going to have a country.
[01:00:06.984 --> 01:00:08.305]  What did Rudy Giuliani say?
[01:00:08.545 --> 01:00:11.267]  He said let's have trial by combat.
[01:00:11.508 --> 01:00:12.929]  That's a legal term.
[01:00:13.089 --> 01:00:16.511]  Maxine Waters said go attack Republicans in restaurants.
[01:00:17.392 --> 01:00:19.134]  Grocery stores.
[01:00:19.154 --> 01:00:20.235]  With her it wasn't hyperbole.
[01:00:20.855 --> 01:00:23.898]  Trump never said, Trump never supported political violence.
[01:00:24.178 --> 01:00:25.559]  Trump never told people to be goons.
[01:00:25.859 --> 01:00:27.361]  The lefts would burn down half the country.
[01:00:27.381 --> 01:00:28.242]  Everybody knows that.
[01:00:28.262 --> 01:00:30.744]  Everybody knows it's Biden's erase the border.
[01:00:31.024 --> 01:00:31.985]  Everybody knows all this.
[01:00:32.005 --> 01:00:36.489]  You're sitting there claiming this was, do you agree this was big as Pearl Harbor?
[01:00:37.849 --> 01:00:38.789]  What are you comparing it to?
[01:00:39.349 --> 01:00:40.690]  As big as Pearl Harbor in what way?
[01:00:40.770 --> 01:00:42.410]  Bombing?
[01:00:42.870 --> 01:00:43.570]  People dead?
[01:00:43.670 --> 01:00:43.970]  No.
[01:00:44.810 --> 01:00:47.711]  Maybe a blemish on our democracy?
[01:00:48.011 --> 01:00:49.051]  I'd say it was very close.
[01:00:49.071 --> 01:00:49.671]  Let me ask you this.
[01:00:50.151 --> 01:01:03.714]  If they bring in, which they've done, 10 million illegal aliens in the last three years, and then that gives them, with the congressional seats and the census, more Democrat seats in the Congress, is that not... Undocumented aliens, undocumented immigrants are not voting.
[01:01:03.734 --> 01:01:04.494]  They are counting?
[01:01:04.514 --> 01:01:04.934]  No, they are not.
[01:01:05.214 --> 01:01:06.315]  They're counting the census!
[01:01:06.675 --> 01:01:07.716]  But they're not voting.
[01:01:07.936 --> 01:01:08.777]  They're counted in the census.
[01:01:08.797 --> 01:01:09.758]  They're not voting.
[01:01:09.858 --> 01:01:11.499]  So then they get more Democrat districts.
[01:01:11.519 --> 01:01:12.580]  Can we backtrack really fast?
[01:01:12.600 --> 01:01:13.240]  Oh my God.
[01:01:13.541 --> 01:01:14.521]  So let's backtrack.
[01:01:14.561 --> 01:01:18.604]  Ladies and gentlemen, they're already pulling elections with the illegals.
[01:01:18.664 --> 01:01:21.026]  They get more congressional districts.
[01:01:21.066 --> 01:01:22.027]  Let's backtrack to January 6th.
[01:01:23.308 --> 01:01:24.189]  Yeah, I do want to go back.
[01:01:24.349 --> 01:01:25.329]  Can we go back to January 6th?
[01:01:25.349 --> 01:01:26.710]  Okay, so you play those clips.
[01:01:26.750 --> 01:01:29.812]  Oh, you always want to get off of it because it was an insurrection.
[01:01:29.832 --> 01:01:31.393]  No, because I came here to debate January 6th, not immigration.
[01:01:31.413 --> 01:01:33.774]  And then as soon as I bring up the real insurrection, you can't handle it.
[01:01:33.834 --> 01:01:35.275]  I'm not here to debate immigration.
[01:01:35.295 --> 01:01:36.295]  Yeah, talk to me, Brian.
[01:01:36.396 --> 01:01:46.982]  Okay, so why don't we ask the Oath Keepers, the Three Percenters, the Proud Boys, the ones who were actually indicted and convicted of seditious conspiracy.
[01:01:47.981 --> 01:01:48.822]  Why they did it.
[01:01:49.222 --> 01:01:50.723]  Oh, you know, they told us.
[01:01:50.983 --> 01:01:52.904]  Yeah, they did tell us.
[01:01:55.206 --> 01:01:57.588]  Let Brian finish and then you can come back at me.
[01:01:58.708 --> 01:02:02.591]  Joe Biggs, he said, I did it because this is where Trump wanted me.
[01:02:03.051 --> 01:02:04.412]  They wanted, he wanted me to do this.
[01:02:05.113 --> 01:02:07.935]  Stuart Rhodes, Oath Keepers, same thing.
[01:02:08.175 --> 01:02:08.956]  I did it for Trump.
[01:02:09.947 --> 01:02:14.849]  Multiple Proud Boys and Oath Keepers, they all said, I was here because of Trump.
[01:02:15.429 --> 01:02:16.750]  I went into the Capitol.
[01:02:17.130 --> 01:02:20.251]  I took the Capitol because that's what Trump wanted.
[01:02:20.932 --> 01:02:23.193]  So did Trump, was Trump responsible?
[01:02:23.573 --> 01:02:23.993]  Ask them.
[01:02:24.153 --> 01:02:28.695]  Ask the people that are serving 20 years in prison for seditious conspiracy.
[01:02:29.675 --> 01:02:30.776]  I'd like to respond to that now.
[01:02:31.996 --> 01:02:33.177]  I know Stuart Rhodes well.
[01:02:33.677 --> 01:02:34.558]  I know Joe Biggs well.
[01:02:34.598 --> 01:02:35.138]  He used to work here.
[01:02:36.114 --> 01:02:39.856]  And they have never said Trump told them to go into the Capitol.
[01:02:40.377 --> 01:02:43.418]  They have never said they did it because he asked them to.
[01:02:43.919 --> 01:02:46.580]  That is not a true statement.
[01:02:46.961 --> 01:02:48.401]  That is a true statement.
[01:02:48.421 --> 01:02:49.942]  They have their quotes right here.
[01:02:50.283 --> 01:02:52.124]  Joe Biggs shook a fence.
[01:02:53.328 --> 01:02:54.048]  Shook a fence.
[01:02:54.348 --> 01:03:01.171]  Stuart Rhodes said he never told anybody to go in the Capitol, and never went in the Capitol, and you just said they said that Trump told them!
[01:03:01.191 --> 01:03:04.912]  Multiple Proud Boys said they were in the Capitol because that's what Trump wanted.
[01:03:05.373 --> 01:03:05.853]  Trump wanted them.
[01:03:05.873 --> 01:03:07.573]  Oh, you're reading a Jack Smith federal filing?
[01:03:07.894 --> 01:03:08.974]  Next we'll talk about the men's limousines.
[01:03:08.994 --> 01:03:12.055]  No, I'm going, Jack Smith didn't indict the Proud Boys.
[01:03:12.335 --> 01:03:14.096]  They have messages between the group.
[01:03:14.216 --> 01:03:15.957]  They have the actual... No, I know all about it.
[01:03:16.257 --> 01:03:17.777]  Yes, they have them.
[01:03:17.857 --> 01:03:20.118]  Are you saying these are fabricated?
[01:03:20.138 --> 01:03:20.958]  No, no, read me the quotes.
[01:03:21.459 --> 01:03:22.179]  Yeah, read those quotes.
[01:03:22.739 --> 01:03:26.168]  I mean, we were here to storm the Capitol.
[01:03:26.729 --> 01:03:28.072]  We were here because of Trump.
[01:03:31.132 --> 01:03:34.575]  I mean, there's... That's pretty different.
[01:03:34.595 --> 01:03:38.297]  What's the best quote you have?
[01:03:38.337 --> 01:03:40.338]  This is a red herring.
[01:03:40.799 --> 01:03:44.781]  They're not saying that Donald Trump personally communicated to them to go to the Capitol.
[01:03:45.042 --> 01:03:52.426]  What they're saying is the reason why they were there, which I think over 147 convicted people have thus far in their convictions, have said the reason why they were there is because Trump called them to go there.
[01:03:52.446 --> 01:03:53.167]  Not personally.
[01:03:53.187 --> 01:03:57.530]  You know how many of those people cited Ray Epps as the reason why they were in the Capitol?
[01:03:58.010 --> 01:04:00.612]  Take a guess.
[01:04:01.072 --> 01:04:08.438]  In both Proud Boys and Both Keepers cases, the Fed said there was no direct conspiracy.
[01:04:08.498 --> 01:04:09.599]  No one is talking about that.
[01:04:09.779 --> 01:04:19.387]  But they went on to say now it's a new conspiracy where it's not written or said, they just imagined it.
[01:04:19.667 --> 01:04:20.428]  I want to be clear.
[01:04:20.728 --> 01:04:22.890]  What is your contention with this?
[01:04:23.010 --> 01:04:26.533]  Give me the quote and then what your contention is in relation to the quote.
[01:04:27.353 --> 01:04:35.138]  Like Destiny said, there are 140 convictions, where the people convicted said, I was there because of Trump.
[01:04:35.218 --> 01:04:36.279]  Trump called us to do this.
[01:04:36.319 --> 01:04:40.422]  And when I say called us, I don't mean called him on the phone and said... Let's assume for the sake of argument that that's true.
[01:04:40.522 --> 01:04:42.383]  What is your conclusion from that?
[01:04:42.403 --> 01:04:51.049]  That Trump helped incite this... Well, just because they thought they were helping Trump, that doesn't mean that Trump told them to do that.
[01:04:51.149 --> 01:04:54.952]  Let's look at the actions... It's like, wait, wait, Alex.
[01:04:55.012 --> 01:04:56.172]  It's like saying, you know,
[01:05:00.101 --> 01:05:04.773]  Charles Manson presumably thought Helter Skelter was, you know, telling him to kill...
[01:05:07.253 --> 01:05:09.395]  So is that the argument there?
[01:05:09.455 --> 01:05:16.301]  Trump is essentially Helter Skelter and he's telling these Proud Boys that you need to go and storm the Capitol?
[01:05:16.321 --> 01:05:21.025]  Doesn't Mob Boss tell his peons, go kill this guy, or do they use other language?
[01:05:21.265 --> 01:05:23.788]  Well, what's the language that he used that you think is criminal?
[01:05:27.791 --> 01:05:30.673]  The ideas that Trump discussed was that the election was being stolen from you.
[01:05:30.693 --> 01:05:31.714]  Okay, so that's criminal?
[01:05:31.914 --> 01:05:32.854]  I never said that was criminal.
[01:05:32.874 --> 01:05:34.035]  He's not being indicted for that speech.
[01:05:34.055 --> 01:05:35.956]  You're asking why are the people at the White House.
[01:05:36.457 --> 01:05:40.699]  All of the Trump's indictments and charges for January 6th are not focused on the people at the White House.
[01:05:40.719 --> 01:05:41.079]  No, I understand.
[01:05:41.099 --> 01:05:42.580]  So what's the point of argument there?
[01:05:42.640 --> 01:05:43.141]  That Trump...
[01:05:43.641 --> 01:05:45.102]  The question was just why are the people there-
[01:06:01.651 --> 01:06:05.114]  He laid out, very precisely, exactly what he believed had happened.
[01:06:05.154 --> 01:06:08.837]  He thought that the vote was being stolen, that our country was being taken from us.
[01:06:08.977 --> 01:06:11.659]  Not believed, what he wanted others to believe.
[01:06:11.819 --> 01:06:19.905]  That Congress wasn't acting, that Mike Pence was supposed to be the guy to do it, but he hadn't heard good things about them, and they needed to go down to the Capitol building to protest.
[01:06:19.925 --> 01:06:21.787]  To protest what?
[01:06:21.807 --> 01:06:24.869]  To protest nobody is saying that you're repeating the same thing.
[01:06:24.909 --> 01:06:25.970]  You're like a broken record.
[01:06:25.990 --> 01:06:27.031]  You're a broken record.
[01:06:27.091 --> 01:06:28.152]  No, no, I'm not a broken record.
[01:06:28.172 --> 01:06:29.433]  Trump has every right
[01:06:29.753 --> 01:06:30.414]  You're trying to shut me down.
[01:06:30.654 --> 01:06:31.795]  Listen, here's the bottom line.
[01:06:32.155 --> 01:06:33.657]  Trump's not been charged with insurrection.
[01:06:33.677 --> 01:06:34.918]  No one said he was.
[01:06:34.958 --> 01:06:37.300]  Trump didn't, but you're saying people can't vote for him.
[01:06:37.941 --> 01:06:38.982]  No, I'm not saying that.
[01:06:39.002 --> 01:06:40.423]  That's up to the Supreme Court.
[01:06:40.744 --> 01:06:45.288]  Do you support- No one here is talking about- Do you support Colorado and Maine taking him off the ballot?
[01:06:45.308 --> 01:06:46.449]  That's up to the Supreme Court.
[01:06:46.549 --> 01:06:47.110]  No, you punt.
[01:06:47.410 --> 01:06:52.815]  Do you think it's good for the opposing party, when a guy's way ahead in the polls, to remove someone from the ballot?
[01:06:53.436 --> 01:07:01.822]  It's not about him being ahead in the polls or not, it's about whether or not he engaged in insurrection, and if the self-executing part of the 14th Amendment allows states to remove him from the ballot.
[01:07:01.842 --> 01:07:04.884]  So, where's the, where's the, where's the conviction?
[01:07:04.904 --> 01:07:06.346]  Where's Trump found guilty of intrusion?
[01:07:06.366 --> 01:07:08.307]  You don't need a conviction for the 14th Amendment!
[01:07:08.327 --> 01:07:08.707]  Alex, read it!
[01:07:08.727 --> 01:07:10.448]  Can we bring the 14th Amendment up on you?
[01:07:10.489 --> 01:07:15.572]  You're misrepresenting that, and it doesn't matter, because we have a right to vote for who we want, right?
[01:07:15.732 --> 01:07:16.293]  No, you don't!
[01:07:16.713 --> 01:07:18.114]  Within reason, there are rules and restrictions.
[01:07:18.134 --> 01:07:19.495]  You can't vote for somebody under 35 years old!
[01:07:19.555 --> 01:07:21.516]  You can't vote for somebody that's not a U.S.
[01:07:21.556 --> 01:07:21.856]  citizen!
[01:07:21.916 --> 01:07:23.276]  It looked like you wanted to chime in, Glenn.
[01:07:23.296 --> 01:07:24.317]  But he's unpopular, though!
[01:07:24.357 --> 01:07:25.278]  He lost!
[01:07:25.558 --> 01:07:26.518]  Well, we can't vote for him now!
[01:07:26.678 --> 01:07:32.461]  If you think it's so bad that courts are kicking him off the ballot, what do you think about Trump doing the birtherism card for Obama for how many years?
[01:07:32.661 --> 01:07:38.064]  That was the first big political thing he was known for, was challenging whether Obama was even born in the United States in an attempt to get him kicked off the ballot!
[01:07:38.084 --> 01:07:38.424]  I don't know.
[01:07:38.444 --> 01:07:38.845]  You know why?
[01:07:39.767 --> 01:07:43.431]  I can play the clips of Obama and his wife saying he was born in Kenya.
[01:07:43.471 --> 01:07:45.333]  I don't believe he was born in Kenya.
[01:07:45.353 --> 01:07:45.894]  He was born in Hawaii.
[01:07:59.088 --> 01:08:02.433]  If Trump can say whatever he wants, that's not what's getting him removed from the ballot.
[01:08:16.952 --> 01:08:18.094]  Glenn, Glenn, he's a loser!
[01:08:18.294 --> 01:08:20.236]  You know, you can vote for him.
[01:08:20.396 --> 01:08:22.439]  You can write him in if you want.
[01:08:22.519 --> 01:08:23.240]  You can vote for him.
[01:08:23.320 --> 01:08:23.680]  You can.
[01:08:23.760 --> 01:08:24.421]  You can write him in.
[01:08:24.722 --> 01:08:28.286]  But the 14th Amendment says he can't hold office if he incited...
[01:08:35.735 --> 01:08:38.657]  Violating insurrectionary buildings during the Civil War.
[01:08:38.757 --> 01:08:39.457]  I have a question.
[01:08:39.477 --> 01:08:39.878]  Nobody.
[01:08:39.958 --> 01:08:41.359]  And that was an insurrection.
[01:08:41.399 --> 01:08:44.821]  Ladies and gentlemen, welcome to my house for a moment.
[01:08:44.881 --> 01:08:47.602]  Hello, hi, I'm Ian Crossland and I'm moderating this awesome debate.
[01:08:47.662 --> 01:08:48.703]  Glenn Greenwald is about to speak.
[01:08:48.723 --> 01:08:49.864]  I want to hear what he has to say.
[01:08:49.884 --> 01:08:51.445]  He's been waiting patiently for about one minute.
[01:08:51.465 --> 01:08:51.985]  Glenn, what's happening?
[01:08:53.194 --> 01:08:53.614]  Thanks, yeah.
[01:08:53.654 --> 01:09:11.867]  So, first of all, on the issue of the ballots, there have been split decisions on this, and even Democratic judges in Colorado and then the Democratic, very partisan, Secretary of State in Rhode Island, as well as in California, have all said they don't think it's appropriate to remove Trump from the ballot because he has not yet been charged with, let alone convicted of, insurrection.
[01:09:11.927 --> 01:09:22.414]  So I want to be very deferential to Destiny's incredible achievements in constitutional scholarship, but there are actually a lot of even Democratic Party elected officials who are saying, as well as
