[00:00:00.169 --> 00:00:00.929]  How you doing Alex?
[00:43:42.078 --> 00:43:50.715]   I wanted to say I was calling on the border bill, I find it to be a joke because we forget that our crisis is the catch and release.
[00:43:51.515 --> 00:43:59.757]  You know, per asylum laws already on the book, we're supposed to detain these people until their asylum case to be heard before the judge.
[00:43:59.937 --> 00:44:00.878]  That's right, and they don't.
[00:44:00.898 --> 00:44:01.838]  They just turn them loose.
[00:44:03.018 --> 00:44:06.399]  They just turn them loose, and that is what's causing the crisis.
[00:44:06.779 --> 00:44:12.181]  So I don't understand how new laws on the book is going to change anything when he doesn't follow current laws.
[00:44:13.883 --> 00:44:15.324]  I am so happy to talk to you.
[00:44:15.544 --> 00:44:16.264]  I hope you know that.
[00:44:16.364 --> 00:44:22.728]  Well, I'm happy to talk to you, but you just, what do you make of even Bill Maher reading the law and saying, actually the laws are on the books, Biden's doing this.
[00:44:23.328 --> 00:44:25.409]  That really shows, this has hit a nerve.
[00:44:26.710 --> 00:44:28.811]  Well, see, I'm going to have to admit this.
[00:44:29.631 --> 00:44:35.754]  I was a Democrat and Biden has turned me Republican because, you know, I have children that have to be raised here.
[00:44:35.795 --> 00:44:36.435]  I'm not a Marxist.
[00:44:37.288 --> 00:44:41.693]  And I see Bill Maher trying to renege on what he said on X right now.
[00:44:41.713 --> 00:44:43.455]  And I used to be a huge Bill Maher fan.
[00:44:43.735 --> 00:44:46.278]  But he said the quiet part out loud.
[00:44:46.879 --> 00:44:48.801]  I don't believe he meant to even say that.
[00:44:48.821 --> 00:44:49.642]  Well, that's the thing.
[00:44:49.682 --> 00:44:58.550]   I mean, 20 years ago, it was hard to be a Republican or Democrat because The Republicans were such warmongers, at least the Democrats acted like they were anti-war.
[00:44:58.830 --> 00:45:04.455]  Now they're even more pro-war, so the Democrats are very easy to say is the most evil party.
[00:45:04.815 --> 00:45:08.057]  They're the lesser of two evils, they're the worst of two evils.
[00:45:08.418 --> 00:45:09.499]  Thank you so much for your call.
[00:45:10.119 --> 00:45:13.902]  No matter how great the calls are, I'm going to move quick here because I promise to get you on air.
[00:45:14.683 --> 00:45:16.084]  That's what makes us informative.
[00:45:16.444 --> 00:45:19.006]  Brad in Kentucky, you're on the air, go ahead.
[00:45:19.026 --> 00:45:21.688]  Hey Alex, dittos.
[00:45:23.764 --> 00:45:34.110]  I am in Moorhead, Kentucky, and we've been, we've had an influx of illegal aliens here for quite some time.
[00:45:35.051 --> 00:45:38.693]  They occupy basically all the hotels here in town.
[00:45:40.114 --> 00:45:44.576]  And that's key, that's key, because the NGOs get the money, take part of it, then pay for it.
[00:45:45.877 --> 00:45:55.025]   Oh yeah, yeah, and so we're a small university town, we're about 6,400 people in a county About 25,000 people.
[00:45:55.445 --> 00:46:02.729]  So it's very obvious that, you know, these people are not normal travelers.
[00:46:03.130 --> 00:46:10.334]  They travel by van and light buses, and they're constantly moving, constantly in and out.
[00:46:11.474 --> 00:46:16.837]  So I don't know if this is a hub for them or what, but it's definitely out of the ordinary.
[00:46:17.578 --> 00:46:28.552]   And more recently, I've been seeing, normally when you see the The Hispanic-looking people, they're in groups, large groups.
[00:46:28.672 --> 00:46:29.553]  They're in these vans.
[00:46:30.153 --> 00:46:38.500]  But more recently, we've been seeing Asians, and they are like lone wolves.
[00:46:38.840 --> 00:46:40.782]  They're not in a group.
[00:46:40.842 --> 00:46:42.063]  They're by themselves.
[00:46:42.103 --> 00:46:44.144]  They're walking with a backpack.
[00:46:45.085 --> 00:46:47.026]  And they're also in these hotels.
[00:46:47.066 --> 00:46:48.227]  There's no denying it.
[00:46:48.628 --> 00:46:50.249]  We've seen them coming and going.
[00:46:51.701 --> 00:46:57.947]  Absolutely, and it's billions and billions a year, and this bill, two plus billion dollars to accelerate that.
[00:46:59.848 --> 00:47:00.449]  Yeah, it's minding.
[00:47:00.489 --> 00:47:03.552]  It's just beyond upsetting.
[00:47:04.332 --> 00:47:06.955]  Well, they're signing them up to vote, and they're permanently controlling them.
[00:47:07.455 --> 00:47:08.656]  Keep spreading the word, brother.
[00:47:08.956 --> 00:47:10.238]  Tell people about the broadcast, Brad.
[00:47:10.278 --> 00:47:10.978]  Thank you so much.
[00:47:11.058 --> 00:47:12.019]  One more call before we go to break.
[00:47:12.039 --> 00:47:12.359]  You know what?
[00:47:12.800 --> 00:47:14.361]  Actually, I haven't plugged this hour, so I need to plug.
[00:47:14.381 --> 00:47:15.022]  We'll come back with calls.
[00:47:16.431 --> 00:47:20.572]  Ladies and gentlemen, we're fighting as hard as we can, and we're in a desperate fight with the globalists.
[00:47:21.093 --> 00:47:22.493]  Your support is so critical.
[00:47:22.573 --> 00:47:23.733]  Thank you for your past support.
[00:47:23.773 --> 00:47:24.954]  Plus, we've got products you need.
[00:47:25.534 --> 00:47:34.137]  Make the decision to go to InfoWarsTore.com and get a book, get a film, get a t-shirt, get the high-quality water filtration, the lowest price you're going to find.
[00:47:34.577 --> 00:47:36.038]  It's all there, the Alexa Pure.
[00:47:36.578 --> 00:47:42.019]   And get Next level foundational energy with the methylfolate and the B-Complex, it's selling out.
[00:47:42.319 --> 00:47:43.679]  Despite that, it's still discounted 30%.
[00:47:44.920 --> 00:47:56.102]  And we've never done 40% off on Nitric Boost, but we got a bigger, better, still great, manufacturer that was actually making it for the company we were getting it from, but we had to make it a little bit stronger.
[00:47:56.722 --> 00:47:58.923]  So it's even better for 40% off.
[00:47:58.943 --> 00:48:04.984]  So we're passing on the savings we got on getting Nitric Boost with a bigger manufacturer.
[00:48:06.291 --> 00:48:11.470]   at Infowarsstore.com and it cleans out your blood, vasodilates everything.
[00:48:11.470 --> 00:48:14.010]   If you want to counter all the stuff going on, this is what you need.
[00:48:14.010 --> 00:48:21.111]   You need Nitric Boost from Infowarsstore.com or 888-253-3139.
[00:48:21.111 --> 00:48:22.271]  That's a different number than the call number.
[00:48:22.271 --> 00:48:28.191]   That's the number for our great operators and crew to take your orders, 888-253-3139.
[00:48:28.191 --> 00:48:32.191]   And while you're on the site, you can buy my book a lot cheaper on Amazon,
[00:48:32.191 --> 00:48:37.071]   but get it there from us as a fundraiser or get the signed copy, that's really special,
[00:48:38.002 --> 00:48:39.303]  InfoWarsTore.com.
[00:48:39.663 --> 00:48:41.145]  I want to thank you all for your support.
[00:48:41.465 --> 00:48:45.129]  We have another great product, 10-hour clean energy, TurboForce discounted.
[00:48:45.589 --> 00:48:46.791]  InfoWarsTore.com.
[00:48:46.851 --> 00:48:47.511]  TurboForce.
[00:48:48.012 --> 00:48:49.694]  You want to support us and have a great product?
[00:48:49.734 --> 00:48:50.594]  Get TurboForce.
[00:48:50.654 --> 00:48:51.595]  Hour number two, straight ahead.
[00:48:52.276 --> 00:48:54.838]  Ladies and gentlemen, we're in a war against the globalist.
[00:48:55.218 --> 00:48:57.540]  And people can't identify who's a patriot and who isn't.
[00:48:57.881 --> 00:49:01.043]  We want to identify as pro-human and anti-globalist.
[00:49:01.083 --> 00:49:03.985]  We want to let people know we're 1776 Part 2.
[00:49:04.246 --> 00:49:14.834]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the Info War and meet like-minded people everywhere when you wear it.
[00:49:14.974 --> 00:49:20.562]  When you wear these shirts, it creates an amazing amount of energy and it's quite the adventure.
[00:49:20.863 --> 00:49:25.149]  So get your 1776 shirt right now at InfoWarsStore.com.
[00:49:25.289 --> 00:49:30.938]  And get your Team Humanity InfoWars Limited Edition shirt right now at InfoWarsStore.com.
[00:49:31.298 --> 00:49:36.561]  Ladies and gentlemen, this is antithetical, the complete opposite of what the globalists are pushing.
[00:49:36.801 --> 00:49:44.586]  So get both the Team Humanity and the 1776 Gadsden Snake Shirts, limited edition, at infowarestore.com right now.
[00:49:44.986 --> 00:49:50.810]  Spread the word, meet like-minded people, and fund the 1776 revolution worldwide.
[00:49:52.150 --> 00:49:59.575]  You know, when I talk to Tucker Carlson, I talk to him all the time, I never say, hey, can I say this on air or not?
[00:50:00.725 --> 00:50:01.846]  But I just never repeat it.
[00:50:02.846 --> 00:50:07.949]  So I knew he was going to Europe and Turkey and Russia a while back, but I just left it at that.
[00:50:09.229 --> 00:50:11.691]  And I, you know, I had the scoop days ago.
[00:50:11.731 --> 00:50:15.293]  I talked to him and, uh, you know, is he going to interview Putin?
[00:50:16.613 --> 00:50:20.435]  And he gave the answer just a little while ago.
[00:50:20.515 --> 00:50:21.336]  It's now online.
[00:50:22.096 --> 00:50:23.237]  I'll tell you about it next segment.
[00:50:23.497 --> 00:50:25.138]  And it's the same, same answer I had.
[00:50:25.178 --> 00:50:44.631]   So I just, I never provided it because I'd rather just get all the information and not, Not lose those sources, but the fact that there's such up in arms over a top journalist, he's top of English-speaking media, doesn't get bigger than him, he's bigger than actual views now than Joe Rogan.
[00:50:45.652 --> 00:50:47.313]  He's 100% real, 100% awake.
[00:50:48.234 --> 00:50:51.997]  And I could die happy right now knowing that I influenced Tucker in his awakening.
[00:50:52.037 --> 00:50:54.680]  I'm not bragging, it's just one of my greater accomplishments.
[00:50:55.774 --> 00:50:58.936]  So we'll give you that little piece of knowledge coming up next segment.
[00:50:59.317 --> 00:51:00.858]  Let's go to Ken in Florida.
[00:51:00.878 --> 00:51:01.578]  Ken, thanks for calling.
[00:51:01.599 --> 00:51:02.179]  You're on the air.
[00:51:02.239 --> 00:51:02.559]  Go ahead.
[00:51:04.020 --> 00:51:04.521]  Hey, Alex.
[00:51:04.581 --> 00:51:05.401]  Great to talk to you.
[00:51:07.063 --> 00:51:12.247]  I just want to relate the collapse of the border to the coming up election.
[00:51:13.367 --> 00:51:24.436]  So I just wanted to get your perspective on all these countless criminals coming into the country and different sleeper cells that obviously hate America.
[00:51:25.083 --> 00:51:26.583]  They just want to feed off the system.
[00:51:27.503 --> 00:51:42.507]  When do you think they'll be activated, if ever, or do you think that the Democrats are going to leave World War III on Trump's lap if he wins the election, if they allow him, excuse me, to win the election?
[00:51:43.027 --> 00:51:45.507]  Because I think... Okay, okay, okay, okay.
[00:51:45.527 --> 00:51:46.547]  Let me just stop you, Ken.
[00:51:48.388 --> 00:51:54.389]  I said I would give each caller a minute or two, but your call is too important.
[00:51:55.287 --> 00:51:58.348]  And you hit the nail too good, and so I'm gonna put you on hold.
[00:51:58.408 --> 00:51:59.228]  Don't hang up, okay?
[00:52:00.049 --> 00:52:00.289]  Okay.
[00:52:00.789 --> 00:52:00.949]  Don't.
[00:52:01.029 --> 00:52:07.591]  Because a lot of stations don't carry this segment, but we still have a huge internet audience, and so I still do it, but some stations want us to do the first five.
[00:52:07.831 --> 00:52:09.752]  Most stations have news and ads on the first five.
[00:52:11.152 --> 00:52:14.434]  Before I went live on air, I wrote a note.
[00:52:15.134 --> 00:52:17.174]  My problem is I almost never follow my notes.
[00:52:18.575 --> 00:52:21.196]  In fact, it's the opposite of having somebody tell me what to do or a teleprompter.
[00:52:21.256 --> 00:52:28.474]   It's like I tell myself what to do, and then my brain is Like that dog in the movie Up, it sees a squirrel, it's like, squirrel, squirrel.
[00:52:29.735 --> 00:52:35.817]  What this caller just said is beyond key.
[00:52:37.318 --> 00:52:40.819]  And it's what I meant to start the full show with.
[00:52:42.320 --> 00:52:49.063]  And then about 30 minutes before the show, I get a call from a lawyer, and I gotta deal with a bunch of crap, I'm not complaining, and I'm like in the zone, ready to go.
[00:52:49.103 --> 00:52:51.284]  And I've got my notes that are actually in my office.
[00:52:52.918 --> 00:53:00.583]  Only five or six things I wrote, and the number one thing at the top was, how does Biden think they're gonna get away with the open borders?
[00:53:02.704 --> 00:53:04.625]  What are they planning to do with the sleeper cells?
[00:53:06.546 --> 00:53:07.507]  And that's how God works.
[00:53:07.587 --> 00:53:13.850]  God wanted me to address this, because I only decided like 10 minutes before the show, no guests.
[00:53:14.891 --> 00:53:16.012]  I said, just get rid of the guests.
[00:53:16.152 --> 00:53:17.192]  They're great, but get rid of them.
[00:53:17.833 --> 00:53:19.073]  I want to talk about this.
[00:53:19.093 --> 00:53:19.894]  This is so important.
[00:53:20.314 --> 00:53:21.295]  Then I get distracted.
[00:53:22.341 --> 00:53:23.101]  I don't cover it.
[00:53:24.081 --> 00:53:25.242]  And Ken in Florida brings it up.
[00:53:25.262 --> 00:53:26.182]  So Ken, stay there.
[00:53:26.202 --> 00:53:26.822]  We're going to take a break.
[00:53:27.662 --> 00:53:29.943]  Come back and elaborate on what you're asking.
[00:53:29.963 --> 00:53:32.163]  Because obviously you're in the zeitgeist.
[00:53:32.203 --> 00:53:33.084]  The force is with you.
[00:53:33.784 --> 00:53:34.824]  The Holy Spirit's with you.
[00:53:35.304 --> 00:53:39.145]  You elaborate a few minutes on your important question.
[00:53:39.165 --> 00:53:44.547]  Because you notice, he was literally tracking everything I was thinking this morning, word for word.
[00:53:44.627 --> 00:53:53.400]   I'm like getting chills when he started talking like, oh, oh, because I was, because I'm literally 30 minutes for the show, I've already gotten ready, I'm prepared.
[00:53:53.420 --> 00:53:58.601]  40 minutes for, I'm literally, say a quick prayer, and I'm saying, what's the most important topic?
[00:53:58.661 --> 00:53:59.522]  What do I do, God?
[00:54:00.362 --> 00:54:04.123]  And I'm sitting there, and I go, how are they going to pull this off?
[00:54:05.103 --> 00:54:07.284]  What are they planning with the illegal aliens and sleeper cells?
[00:54:07.344 --> 00:54:08.424]  That's what I'm supposed to talk about.
[00:54:09.184 --> 00:54:12.565]  I need to explain this, and then I don't do it, and the caller brings it up.
[00:54:13.586 --> 00:54:14.806]  So this is meant to be covered.
[00:54:16.184 --> 00:54:17.225]  I will not get distracted.
[00:54:17.265 --> 00:54:19.086]  I will come back in 60 seconds and I will cover it.
[00:54:19.866 --> 00:54:20.306]  Stay with us.
[00:54:20.927 --> 00:54:32.553]  All right, we're now on to hour number two, and if you just joined us, I went to a caller real quick before the break, Ken in Florida, and he had a question that was what I meant to come on the air with today.
[00:54:33.553 --> 00:54:41.017]  Because I have all these facts, all these stories, all these things, and I'll really be focused on it, really meditating on it, and I'll say, that's the key to cover.
[00:54:41.078 --> 00:54:43.579]  That's what we need to get ahead of.
[00:54:44.079 --> 00:54:45.400]  That's tomorrow's news today.
[00:54:48.618 --> 00:54:51.240]  And then I get on the air and I got all this news and I forget to get to it.
[00:54:52.100 --> 00:54:53.941]  But he really is asking the big question.
[00:54:53.961 --> 00:54:56.022]  So I'm going to let him ask it again and elaborate on it.
[00:54:57.183 --> 00:55:03.387]  Because if you understand this question and you understand the answer, then you've got the entire enemy battle plan.
[00:55:03.427 --> 00:55:08.309]  So I'm going to do my best after he asks the question, and I think he's pretty smart with this question.
[00:55:08.329 --> 00:55:09.210]  He probably has the answer.
[00:55:09.250 --> 00:55:10.711]  I want his question and what he thinks.
[00:55:11.171 --> 00:55:13.693]  I don't want just his question to mean like I'm the Grand Poobah.
[00:55:13.713 --> 00:55:15.814]  It's when we take calls, when we have guests.
[00:55:17.253 --> 00:55:20.074]  And then I'm gonna give you my best dead reckoning on this.
[00:55:20.414 --> 00:55:23.175]  And this subject's so big, it actually gives me a headache.
[00:55:23.935 --> 00:55:26.916]  Because my brain's like, you know, smoking when it comes to this.
[00:55:26.956 --> 00:55:30.337]  Because there's 10,000 points that go into this.
[00:55:31.117 --> 00:55:33.677]  And it's so hard to try to nail it.
[00:55:34.358 --> 00:55:36.698]  Because if you cover all the side issues, you don't nail it.
[00:55:37.779 --> 00:55:41.800]  But they flooded the country with tens of millions.
[00:55:41.840 --> 00:55:42.540]  The real number's 22 million.
[00:55:45.031 --> 00:55:47.352]  Corey, the Border Patrol that have been led in the last three plus years.
[00:55:48.452 --> 00:55:53.453]  And these are brigades of military age men from the Middle East, China, you name it.
[00:55:54.473 --> 00:55:58.194]  How does Biden and the globalists think they're going to bring that in and then let them attack?
[00:55:59.094 --> 00:56:00.895]  And then what is the plan that comes out of that?
[00:56:01.395 --> 00:56:05.976]  But they've even told us what the plan is, and they've telegraphed it in the last few weeks.
[00:56:07.056 --> 00:56:25.562]   Two weeks ago, they had former CIA directors, former Secretaries of Defense, And a bunch of the same spies that ran the soft coup against Trump the last eight years, seven years, come out and tell us what they're going to do.
[00:56:27.183 --> 00:56:32.990]  So, they tell us by what they're preparing, knowing what our response will be.
[00:56:34.161 --> 00:56:44.768]  So I'm going to try my best to nail this in a moment, but this is, I hope everybody's really like slowing down and taking notes and listening because this is key.
[00:56:47.930 --> 00:56:49.311]  Ken in Florida, go ahead and ask your question.
[00:56:50.352 --> 00:56:50.672]  Okay.
[00:56:50.732 --> 00:57:00.599]  So, um, again, so I was just asking about, you know, the countless criminals in different America hating sleeper cells that are, you know, now being allowed into the country.
[00:57:01.414 --> 00:57:15.581]  Do you see the Democrats playing their Trump card by stealing the election and then activating these sleeper cells because they understand that, you know, Americans know that if Biden wins again, it obviously will be stolen again.
[00:57:16.341 --> 00:57:23.444]  So obviously it'll be, you know, the reaction to that stolen election times two, times 10, times 100.
[00:57:23.504 --> 00:57:40.559]   Or do you see them losing the election, but then Leaving World War 3 and all these proxy wars on the lap of Trump, and then he will have to either escalate or de-escalate the situation that's left by the Democrats.
[00:57:41.980 --> 00:57:46.383]  Or do you even think that they're going to allow Trump to even get to the election?
[00:57:46.563 --> 00:57:51.965]  Because they try to put him in jail, they try to do all these things to stop him to get to that point.
[00:57:52.506 --> 00:57:58.549]  So now we see the collapse of the borders, sleeper cells, you know, forming all around the country.
[00:57:59.443 --> 00:58:02.104]  When will they be activated and how will they be activated?
[00:58:04.045 --> 00:58:05.486]  That's an excellent question.
[00:58:05.506 --> 00:58:07.147]  It sounds like you're a smart fellow.
[00:58:07.187 --> 00:58:08.388]  So tell me what you think.
[00:58:10.228 --> 00:58:14.871]  Well, I think that they've gotten to this point where they're now in desperation.
[00:58:14.911 --> 00:58:16.472]  You know, they're backed up into a corner.
[00:58:17.112 --> 00:58:17.892]  They're panicking.
[00:58:18.292 --> 00:58:19.453]  We're winning in a sense.
[00:58:20.213 --> 00:58:23.935]  But you're fighting an enemy that's on its last legs.
[00:58:24.015 --> 00:58:25.156]  It's willing to do anything.
[00:58:26.067 --> 00:58:28.388]  So I do believe that they're going to try their best.
[00:58:28.468 --> 00:58:36.049]  If they're going to throw Biden out there, they're not going to throw Biden out there with the intention to not steal, not cheat, and not at least try.
[00:58:36.069 --> 00:58:52.813]  So if they do steal the election, they understand the reaction, but they don't care because they feel emboldened because they run the government and they've set up all their three-letter agencies to basically back them up if there is any reaction.
[00:58:53.093 --> 00:58:58.847]   And now you're seeing it In the courts and even in the Supreme Court, that you get no backing for the American people.
[00:58:59.687 --> 00:59:04.968]  So I believe that they're going to try their best to steal the election.
[00:59:05.748 --> 00:59:19.451]  And then I believe that in the period if Trump wins, between the handing over of, you know, and the inauguration, if he wins, then they're going to start escalating warfare and proxy wars.
[00:59:20.411 --> 00:59:30.429]   And then Trump will have to decide if he wants to Escalate war and NATO joining a war with Ukraine and fighting Russia?
[00:59:31.289 --> 00:59:39.531]  Or is he going to, you know, de-escalate the situation and try to, you know, do what he did before with no wars?
[00:59:39.571 --> 00:59:43.072]  But I think at that point, it will be too difficult to stop.
[00:59:43.972 --> 00:59:53.435]  So, I believe that they have all their chess pieces in play just in case they lose and they can't get control of the government this time around.
[00:59:54.449 --> 00:59:57.970]  Well, Ken, I'm extremely impressed because you just said it better than I could.
[00:59:58.830 --> 01:00:01.131]  And so the answer is the Globalists are at war with us.
[01:00:01.591 --> 01:00:04.152]  They have a lot of options, a lot of tracks they're going down.
[01:00:04.252 --> 01:00:06.292]  They haven't made a decision yet on what they're going to do.
[01:00:06.333 --> 01:00:06.893]  That's clear.
[01:00:07.393 --> 01:00:08.373]  They know they're in trouble.
[01:00:08.453 --> 01:00:11.034]  Nothing's working for them, but they're still not going to give up.
[01:00:11.054 --> 01:00:11.834]  They're going to double down.
[01:00:12.374 --> 01:00:15.935]  So I can't tell you what they're going to do because I'm sure of it.
[01:00:16.255 --> 01:00:21.477]  They're not exactly sure what they're going to do yet, but they're pre-programming and preparing all the options.
[01:00:23.223 --> 01:00:24.989]  Tell us about yourselves, you're a really smart caller.
[01:00:25.916 --> 01:00:26.676]  What's your background?
[01:00:26.736 --> 01:00:28.077]  I mean, did you do any research?
[01:00:28.097 --> 01:00:28.797]  What brought you to this?
[01:00:28.818 --> 01:00:30.738]  Because you're really nailing it right now.
[01:00:30.759 --> 01:00:32.339]  What we should all be talking about.
[01:00:32.379 --> 01:00:33.540]  We're in a globalist coup.
[01:00:33.980 --> 01:00:35.741]  America's waking up trying to reject it.
[01:00:36.161 --> 01:00:38.703]  They're planning on clamping down and getting total power.
[01:00:39.703 --> 01:00:40.564]  The sky's the limit.
[01:00:40.684 --> 01:00:41.684]  What are they going to do?
[01:00:42.124 --> 01:00:43.485]  Everybody should be talking about that.
[01:00:43.505 --> 01:00:45.246]  It's not just like they broke the borders.
[01:00:45.266 --> 01:00:54.291]  They're starting World War III and they got pedophile drag queen time and hundreds of thousands of deaths from fentanyl and human smuggling and human trapping and child kidnapping.
[01:00:55.091 --> 01:00:57.493]  That's all just the icing on the cake.
[01:00:58.053 --> 01:00:59.854]  They are going full bore.
[01:01:01.475 --> 01:01:06.519]  And so, you've really done a great job here in describing this.
[01:01:08.260 --> 01:01:16.365]  Yeah, so basically, I'm not gonna lie, you were a great inspiration to me, you know, years back when COVID was, you know, first happening.
[01:01:16.946 --> 01:01:21.009]  I really didn't know anything about anything, and I started doing a lot of research myself.
[01:01:21.829 --> 01:01:29.189]   And even for a little bit, I started my own podcast, but I I got a little discouraged and, you know, life happens and I wasn't able to do it any longer.
[01:01:29.850 --> 01:01:38.179]  But, you know, the research was still there and a lot of the, I guess, the stars aligned and you start to get these feelings.
[01:01:39.045 --> 01:01:41.426]  This vision of what's going to happen into the future.
[01:01:41.446 --> 01:01:42.226]  Well that's right.
[01:01:42.406 --> 01:01:55.209]  Once you focus on the real world, like men can be experts on football or baseball, know everything about their team, but if men start focusing on the real world, most people can really figure it out and do great things.
[01:01:55.249 --> 01:01:55.850]  Thank you for the call.
[01:01:58.604 --> 01:02:01.065]  I could talk for hours about what he just called in about.
[01:02:02.085 --> 01:02:04.326]  But let me try to give a summation.
[01:02:04.926 --> 01:02:11.369]  I'm sitting here this morning, after all this research, all this preparation, for hours, and I just think, what is the most important thing?
[01:02:12.309 --> 01:02:26.074]  And I think to myself, I say, how is Biden going to get away with 22 million illegals in the country, massive sleeper cells, and how are they going to use those and somehow not have the public know they're the ones behind it?
[01:02:27.096 --> 01:02:30.477]  Well, they're out saying they're against the open border now and it's the Republicans' fault.
[01:02:30.817 --> 01:02:33.618]  Now we all know that's a scam and no one's buying it, not even Bill Maher.
[01:02:35.958 --> 01:02:37.178]  But you see their phlegm phlegm.
[01:02:38.319 --> 01:02:39.639]  They think you have no memory.
[01:02:39.899 --> 01:02:42.860]  They think you have no attention span.
[01:02:43.960 --> 01:02:52.362]  But what you do now, because you had an attention span, you were just focused on the Grammys or the Emmys or the Oscars or football, stuff that doesn't matter.
[01:02:52.702 --> 01:02:55.243]  Now you're focused on the real world because you see the danger.
[01:02:56.479 --> 01:02:57.700]  That's when they lose their power.
[01:02:59.822 --> 01:03:02.504]  So, here's how it's going down.
[01:03:03.324 --> 01:03:06.627]  They have a massive Islamic fifth column in this country.
[01:03:07.828 --> 01:03:15.134]  And the Democrat Party's in control of it through the funding of their leadership and right through the Iranians and the six billion Biden gave them and all the rest of it.
[01:03:15.674 --> 01:03:17.095]  That goes back to Obama and the Arab Spring.
[01:03:17.115 --> 01:03:18.957]  So that's the biggest thing is Islamic uprising.
[01:03:19.673 --> 01:03:21.534]  Then they're going to activate Black Lives Matter.
[01:03:21.554 --> 01:03:29.639]  That's why Black Lives Matter got discredited, but more than 15 cities have given them $10, $20, $30 million because the, quote, police were mean to them.
[01:03:29.939 --> 01:03:31.340]  No court cases, no proof.
[01:03:31.560 --> 01:03:39.405]  Well, they were burning down cities that the cops were bad, but they're recapitalizing their own Democratic Party destabilization squad.
[01:03:39.705 --> 01:03:43.488]  So they have Islamists, they have the Black Lives Matter, backed and commanded by Antifa.
[01:03:44.366 --> 01:03:48.549]  They'll use any cop doing something wrong or thing out of context as their pretext.
[01:03:48.589 --> 01:04:22.521]   So what they're saying with the former CIA directors and former Defense Intelligence Agency directors and former, you know, all these major groups, former defense secretaries, they're all out there running around, the Clappers, the Brennans, all of them saying, if Trump wins and we're unable to steal it, We're then going to activate the Islamic sleeper cells and the Black Lives Matter operations and the illegal alien MS-13 hit squads they've got to burn the country down.
[01:04:23.602 --> 01:04:33.289]  And we want executive orders and laws in place before Trump gets in that he's not allowed to use the military and the insurrection act against him.
[01:04:33.890 --> 01:04:35.051]  So that's one slice.
[01:04:36.212 --> 01:04:52.960]   But ahead of that, they've got the illegal aliens and the database that Zuckerberg spent $400 million plus on, of all the dead people, people that moved out of district, to have illegals that are ordered and given voter registration cards and given driver's licenses to go vote or they're deported.
[01:04:53.921 --> 01:04:55.542]  So plan A is to steal the election.
[01:04:57.104 --> 01:05:15.184]   But if that doesn't work, plan B is to turn the Islamists loose, turn the Black Lives Matter loose, turn the Antifa loose, turn the MS-13 loose, And murder and kill and burn and bomb and say it's because of Trump.
[01:05:15.264 --> 01:05:16.664]  He's a white supremacist.
[01:05:17.585 --> 01:05:19.266]  He's created this crisis.
[01:05:19.846 --> 01:05:22.907]  We've got to remove him in a national crisis from power.
[01:05:23.667 --> 01:05:28.570]  So either way, they've telegraphed, they've prepared, they've gotten ready for what they're going to do.
[01:05:30.931 --> 01:05:32.391]  And so that's where we're at right now.
[01:05:33.152 --> 01:05:37.814]  It's a very, very dangerous, crazy position to be in.
[01:05:39.738 --> 01:05:51.365]  But nevertheless, they are preparing all this thinking that we're so stupid, we don't understand the deep state and the globalists are behind all these different facets.
[01:05:52.086 --> 01:06:07.115]  But everybody should be debating and should be discussing a cornered, discredited deep state that's being rejected in a major global, not just domestic, political realignment against the New World Order's policies.
[01:06:09.288 --> 01:06:16.814]  And so the question that the caller and the answer he gave, that was better than mine, postulates is the answer to everything.
[01:06:18.655 --> 01:06:22.718]  And we have to be wargaming what they're planning and what they're going to do.
[01:06:25.230 --> 01:06:26.190]  And that's really where we are.
[01:06:26.751 --> 01:06:31.232]  And of course, it all goes against logic, it all goes against common sense, but you see them on the news.
[01:06:31.572 --> 01:06:33.233]  Oh, the Republicans opened the border.
[01:06:33.553 --> 01:06:36.834]  They won't pass a bill to fix it when they have all the laws in the books.
[01:06:37.054 --> 01:06:38.675]  And we covered the bill last hour.
[01:06:39.015 --> 01:06:40.455]  It makes Biden a dictator.
[01:06:41.056 --> 01:06:43.336]  It makes the president have total control of the border.
[01:06:44.237 --> 01:06:45.157]  And only D.C.
[01:06:45.217 --> 01:06:47.398]  courts can make decisions if it's challenged.
[01:06:49.759 --> 01:06:53.280]  So it's total and complete desperation.
[01:06:54.525 --> 01:06:55.986]  Now, here's the most important part.
[01:06:57.908 --> 01:07:11.839]  They're not just going to have Black Lives Matter and the Muslims and the Antifa and the Mexican Mafia attack the country out of the blue.
[01:07:13.160 --> 01:07:17.023]  They're going to need excuses and attacks on groups.
[01:07:18.043 --> 01:07:19.565]  False flags against Hispanics.
[01:07:20.578 --> 01:07:22.119]  White supremacists attacking Hispanics.
[01:07:22.459 --> 01:07:24.521]  What did we get in the secret documents last week at the Border Patrol?
[01:07:24.801 --> 01:07:28.563]  They said imminent white supremacists are going to come kill Hispanics on the border.
[01:07:28.583 --> 01:07:30.825]  It was all made up to create that narrative.
[01:07:32.786 --> 01:07:33.227]  What did we see?
[01:07:33.247 --> 01:07:39.111]  The Wall Street Journal says, man, Muslims are taking over Michigan, they're calling for jihad, they're electing people that say Hamas is good.
[01:07:39.771 --> 01:07:40.472]  We have an issue.
