[00:00:01.025 --> 00:00:01.886]  You can feel it.
[00:55:42.556 --> 00:55:47.738]  And severely evaluate and vet information coming out in the next couple months.
[00:55:48.098 --> 00:55:48.598]  I totally agree.
[00:55:48.638 --> 00:56:03.983]  But in summation, of all the different federal operations and operators, too many to count, they admitted in federal court, too many operators to count, while the FBI director tried to deny it, this is going to be cut and dry at the feds, trying to do some nasty stuff, and they're in a lot of trouble, and that's good.
[00:56:04.043 --> 00:56:05.223]  Dr. Beattie, thank you so much.
[00:56:06.121 --> 00:56:06.421]  Indeed.
[00:56:06.502 --> 00:56:06.922]  Thank you, Alex.
[00:56:06.942 --> 00:56:13.170]  All right, we're going to start the next hour and come back and get into the latest WF videos that are so insane.
[00:56:13.190 --> 00:56:13.911]  They're coming for your food.
[00:56:13.931 --> 00:56:14.873]  They're coming for your coffee.
[00:56:15.594 --> 00:56:18.397]  It's not just your gas-powered stoves and everything else.
[00:56:18.718 --> 00:56:20.320]  We're going to be hitting it all next hour.
[00:56:21.101 --> 00:56:22.302]  I'm going to be able to put the phones up.
[00:56:22.382 --> 00:56:26.404]  Michael Yan joins us from Panama with the most shocking information yet.
[00:56:26.424 --> 00:56:30.587]  They're building giant highways in, roads, bridges, huge UN camps.
[00:56:30.947 --> 00:56:38.152]  Remember, we're funded by you, so we try to bring you products that really work, that are great, so that when you order them, you see how great they are and reorder.
[00:56:38.612 --> 00:56:40.193]  Most people that buy our products reorder them.
[00:56:41.173 --> 00:56:44.876]  The problem is the majority of viewers and listeners never go to Infowarsstore.com
[00:56:45.816 --> 00:56:46.336]  I think it's great.
[00:57:10.276 --> 00:57:12.878]  Our great sponsor, drjonesnaturals.com.
[00:57:12.898 --> 00:57:16.020]  It's just one word, drjonesnaturals.com.
[00:57:16.120 --> 00:57:28.189]  drjonesnaturals.com has all those great silver products that have not been available for so long at infowarsstore.com are now available exclusively at drjonesnaturals.com.
[00:57:28.249 --> 00:57:31.292]  No space, just drjonesnaturals.com.
[00:57:31.992 --> 00:57:47.871]  More than 50 great products, many of them not available at InfoWarsStore.com, but it supports the broadcast as well, DrJonesNaturals.com, and they have the amazing Nano Silver Toothpaste, sold out for so long, back in stock, the original Super Blue Non-Fluoride Toothpaste.
[00:57:50.008 --> 00:57:54.290]  29 years on air, all I've wanted to do was warn the people about the globalists.
[00:57:54.990 --> 00:58:00.312]  And I've done the best job I can to tell those words that have been accurate, and we are on record as the most accurate there are.
[00:58:00.712 --> 00:58:07.154]  And I've tried to sell products to fund ourselves, unlike other communist revolutionaries that rob banks and kidnap people.
[00:58:07.394 --> 00:58:08.074]  We don't do that.
[00:58:08.534 --> 00:58:10.435]  We try to bring you products that really work.
[00:58:10.815 --> 00:58:12.816]  And ladies and gentlemen, I'm scared of this product.
[00:58:12.876 --> 00:58:13.456]  It's so powerful.
[00:58:14.376 --> 00:58:24.399]  This is the breakdown product after your cells process it of folic acid, methylfolate with high quality organic B-complex.
[00:58:24.899 --> 00:58:26.139]  This stuff is rocket fuel.
[00:58:26.159 --> 00:58:27.019]  It's not a stimulant.
[00:58:27.279 --> 00:58:32.181]  It energizes your cells and then everything else you take just supercharges it.
[00:58:32.221 --> 00:58:33.041]  It's so insane.
[00:58:33.381 --> 00:58:34.921]  It's foundational energy.
[00:58:35.362 --> 00:58:36.882]  The strongest formula out there.
[00:58:39.887 --> 00:58:43.934]  It doesn't just energize this operation against the tyrants, it energizes you.
[00:58:44.215 --> 00:58:45.617]  Get foundational energy now!
[00:58:50.706 --> 00:58:57.829]  Sleepless nights seem to be a lot more common these days with everything that's going on both at home and the world at large.
[00:58:58.390 --> 00:59:06.153]  If you're having trouble getting to that deep sleep we could all use more of, our new sleep support formula, Down and Out, is just the thing.
[00:59:06.954 --> 00:59:13.317]  It's our new faster absorbing liquid formula that is specifically designed to help you get the shut-eye you deserve.
[00:59:13.957 --> 00:59:14.778]  We're good to go.
[00:59:33.154 --> 00:59:39.557]  Which was traditionally used by Native Americans like the Cherokees, who used it for its relaxing qualities.
[00:59:39.778 --> 00:59:45.661]  Be sure to take this product when you are completely ready for sleep, because you will be down and out.
[00:59:45.961 --> 00:59:49.403]  Selling out now at Infowarsstore.com.
[00:59:51.524 --> 00:59:57.427]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:03.278 --> 01:00:08.152]  As leaders in government, business and society, we're good to go.
[01:00:09.418 --> 01:00:18.382]  A particular responsibility to rebuild trust in how we assume our own role as trustees.
[01:00:18.942 --> 01:00:33.569]  Hidden behind the lost attempt to rebuild trust for the Davos 2024 attendees' sugar-coated totalitarian strategy for world domination is a panicked roach nest of sociopaths
[01:00:33.889 --> 01:00:40.132]  Are you worried that if all the details come out about the Epstein trial, that your boss might...
[01:00:46.366 --> 01:00:50.487]  Get into legal trouble like Prince Andrew did or some of the others on the list.
[01:00:51.087 --> 01:00:55.268]  It must have been bad for Melinda to divorce him over Epstein.
[01:00:55.308 --> 01:00:58.949]  I mean, that's what Melinda Gates said, because he wouldn't stop visiting Epstein.
[01:00:59.330 --> 01:01:01.870]  He was evil personified.
[01:01:01.890 --> 01:01:03.931]  I had nightmares about it afterwards.
[01:01:03.951 --> 01:01:05.851]  I mean, how can you work for a guy like that?
[01:01:06.151 --> 01:01:11.893]  Treason, not trust, seemed to be the actual theme at this year's Davos.
[01:01:12.173 --> 01:01:14.774]  We are on the way to a new order, so we are between orders.
[01:01:15.914 --> 01:01:22.379]  What are we able to keep on the positive side from the old order to bring into a new world order?
[01:01:22.479 --> 01:01:29.043]  At the heart of it will be many of the core principles and core institutions of the existing order.
[01:01:29.404 --> 01:01:31.725]  It's absolutely critical that we accelerate.
[01:01:32.346 --> 01:01:38.230]  I don't want this, obviously, but if you wound up with a different president who was opposed to climate crisis, I got news for you.
[01:01:38.710 --> 01:01:42.313]  No one politician anywhere in the world can undo what is happening now.
[01:01:42.613 --> 01:01:43.974]  The marketplace is doing this.
[01:01:44.514 --> 01:01:56.463]  Many of these so-called righteous saviors of humanity chose to stick their nose up at the thought of addressing the peasants when confronted by journalists asking basic questions.
[01:01:56.643 --> 01:02:02.788]  I want to ask about McKinsey and those huge contracts you guys got from the Canadian government after meeting with Chrystia Freeland.
[01:02:03.268 --> 01:02:03.969]  Oh, don't run away!
[01:02:04.569 --> 01:02:05.109]  Don't run away.
[01:02:05.149 --> 01:02:08.010]  Why don't you want to talk about your contract with Canadian taxpayers?
[01:02:08.691 --> 01:02:11.132]  I mean, surely you believe in transparency.
[01:02:11.572 --> 01:02:13.132]  What are your plans going forward?
[01:02:13.152 --> 01:02:15.813]  Not going to talk about it right now, here.
[01:02:16.274 --> 01:02:18.775]  Are you pulling back from it the same way BlackRock is?
[01:02:19.875 --> 01:02:20.055]  No.
[01:02:20.495 --> 01:02:23.617]  And why don't we just set this up formally?
[01:02:23.637 --> 01:02:24.797]  But no, we're not pulling back from it.
[01:02:25.157 --> 01:02:27.578]  Are you worried about misinformation and disinformation?
[01:02:27.598 --> 01:02:31.199]  That's been a big focus of the World Economic Forum this year.
[01:02:31.580 --> 01:02:32.280]  Do you agree with that?
[01:02:33.681 --> 01:02:35.922]  You don't have enough credentials to go up there, apparently.
[01:02:36.782 --> 01:02:42.025]  But what about the forcible nature that so many people were forced to take the jab or lose their job?
[01:02:42.965 --> 01:02:50.568]  Well, what I'd like to actually just say within this is that we're certainly proud of the efforts that collectively that the health care sector made.
[01:02:50.588 --> 01:02:52.429]  Right, and I know that, and I'm not disputing that.
[01:02:52.569 --> 01:02:59.292]  I think that if you'd like to discuss any of this further, that you can certainly be in contact with our media relations group, and they'd be happy to get in touch with you on it, okay?
[01:02:59.432 --> 01:03:01.192]  I don't think they would be happy to get in touch with me.
[01:03:01.252 --> 01:03:08.415]  I'm asking you about the forcible nature, that if people didn't, if they weren't forced to take your medicine against their will, they'd be fired.
[01:03:08.695 --> 01:03:13.757]  I need to go on this, but what I would say is that all of this comes down to local decisions that are made by countries.
[01:03:13.817 --> 01:03:14.558]  Local decisions?
[01:03:14.858 --> 01:03:15.938]  I think you profited by it.
[01:03:17.899 --> 01:03:18.439]  How you doing?
[01:03:19.019 --> 01:03:27.442]  Do you think you did well in COVID and if you're going to do as well in disease X?
[01:03:27.582 --> 01:03:28.582]  What is disease X?
[01:03:29.503 --> 01:03:30.943]  Mr. Tedros, what is disease X?
[01:03:32.204 --> 01:03:34.104]  And when is China going to release it?
[01:03:34.644 --> 01:03:41.326]  The number one issue that Klaus Schwab says is the goal for the WEF is to combat misinformation and disinformation.
[01:03:41.667 --> 01:03:42.707]  Is that important to Meta?
[01:03:43.985 --> 01:03:44.866]  I'm heading to my booth.
[01:03:45.547 --> 01:03:46.448]  This is not an interview.
[01:03:46.629 --> 01:03:49.733]  How come Facebook is censoring the internet?
[01:03:50.053 --> 01:03:51.975]  Is it your plan to interfere with the 2024 election?
[01:03:53.903 --> 01:03:55.444]  Sorry, I'm not here to do this.
[01:03:55.624 --> 01:03:59.966]  The Davos attendees of 2024 need to calm the f*** down.
[01:04:00.286 --> 01:04:07.889]  The overselling of an imminent nightmare future is really pissing huge populations of Team Humanity off.
[01:04:08.389 --> 01:04:19.954]  What's to stop the hundreds of millions of us from holding a confab of our own aimed at arresting these proponents of a genocidal New World Order?
[01:04:20.174 --> 01:04:21.715]  53 years after the WEF was founded...
[01:04:22.555 --> 01:04:26.019]  They have 75 million children working in their supply chains.
[01:04:26.339 --> 01:04:33.026]  The problem is that many of these companies have business models that have actually increased misery, hunger, malnutrition and child labor.
[01:04:33.326 --> 01:04:39.472]  The kind of person who will come into the next conservative administration is going to be governed by one principle, and that is...
[01:04:40.481 --> 01:04:41.142]  John Bowne.
[01:05:00.057 --> 01:05:04.283]  The Second American Revolution is happening now right in front of you.
[01:05:04.603 --> 01:05:08.969]  And you're tuned in to InfoWars because you're either looking for the truth or you're already a patron.
[01:05:09.430 --> 01:05:17.280]  I'm asking you now to realize we are at the fulcrum, the crossroads in the fight for human destiny and human future.
[01:05:18.021 --> 01:05:18.782]  We're good to go.
[01:05:36.718 --> 01:05:37.939]  In our victory against these tyrants.
[01:05:38.219 --> 01:05:39.801]  But now is the time to make the decision.
[01:05:40.341 --> 01:05:45.125]  I know there's millions of forms of media out there and all this BS, and the globalists hope you get lost in all of it.
[01:05:45.506 --> 01:05:50.170]  But notice the globalists, the New World Order, are coming after us because they realize we've got their number.
[01:05:51.050 --> 01:05:51.831]  Think about it.
[01:05:51.851 --> 01:05:53.172]  InfoWars is the tip of the spear.
[01:05:53.192 --> 01:05:56.635]  If you want to support the tip of the spear, that decision's up to you.
[01:05:56.955 --> 01:05:58.477]  Please support us now at InfoWars.com.
[01:06:04.713 --> 01:06:07.136]  We're good to go.
[01:06:07.176 --> 01:06:08.398]  We're good to go.
[01:06:21.513 --> 01:06:23.335]  All right, we are beating the globalists.
[01:06:23.375 --> 01:06:27.879]  That is a true statement because they can't carry out their operations if people understand they're the ones behind it.
[01:06:28.219 --> 01:06:34.805]  They're supposed to be the saviors, but they can't stop running their mouths how they're actually creating the crises because they think they're so stupid.
[01:06:35.913 --> 01:06:36.313]  We're good to go.
[01:06:36.333 --> 01:06:36.813]  We're good to go.
[01:07:03.188 --> 01:07:06.149]  We'll be having our coffee for the session, and you raised the coffee example.
[01:07:06.189 --> 01:07:08.950]  I'd love just to give you the chance to expand on that.
[01:07:09.831 --> 01:07:17.814]  Basically, the coffee that we all drink emits between 15 and 20 ton of CO2 per ton of coffee.
[01:07:18.574 --> 01:07:25.157]  So, we should all know that this is, every time we drink coffee, we are basically putting CO2 into the atmosphere.
[01:07:26.938 --> 01:07:32.660]  The other, and one other reason is because most of the coffee plantation, or most of the coffee is produced through monoculture,
[01:07:35.216 --> 01:07:37.857]  And monoculture is also affected by climate change.
[01:07:39.158 --> 01:07:43.440]  The quality of these nature assets is deteriorating quite rapidly.
[01:07:43.460 --> 01:07:49.643]  Alright, so it always continues.
[01:07:49.723 --> 01:07:51.323]  It's always the same story.
[01:07:51.383 --> 01:07:54.305]  Anything popular, anything that the people want,
[01:07:55.540 --> 01:07:56.061]  We're good to go.
[01:08:19.102 --> 01:08:19.502]  I think.
[01:08:19.562 --> 01:08:19.742]  I think.
[01:08:20.063 --> 01:08:20.263]  I think.
[01:08:37.574 --> 01:08:37.774]  Why?
[01:08:37.874 --> 01:08:40.295]  Because in order to open an account, you need to have an ID.
[01:08:40.675 --> 01:08:40.815]  Right.
[01:08:41.315 --> 01:08:51.637]  And I have to say that when I started this job, there were actually very little countries in Africa or Latin America that had one ubiquitous type of ID.
[01:08:51.757 --> 01:08:53.337]  And certainly that it was digital.
[01:08:53.897 --> 01:08:55.258]  And certainly that it was biometric.
[01:08:55.378 --> 01:09:01.499]  And now we've really worked with all our partners to actually help that being, I mean, to grow this.
[01:09:02.239 --> 01:09:08.782]  And the interesting part of it is that, you know, yes, it is very necessary for financial services, but not only.
[01:09:08.802 --> 01:09:11.703]  It's also good for school enrollment.
[01:09:11.723 --> 01:09:15.344]  It's also good for health, who actually got a vaccination or not.
[01:09:16.104 --> 01:09:19.666]  It's very good to get your subsidies, you know, from the government.
[01:09:20.326 --> 01:09:23.607]  So this has not only effect to the financial services.
[01:09:23.667 --> 01:09:24.908]  It's a very important issue.
[01:09:27.099 --> 01:09:28.600]  That's the key to run your entire life.
[01:09:29.061 --> 01:09:31.703]  Here's the head of the Saudi Arabian Central Bank.
[01:09:31.963 --> 01:09:32.924]  Here's what he had to say about it.
[01:09:34.886 --> 01:09:43.574]  There's no realistic solution to the climate transition that does not involve a globally coordinated system of carbon taxes.
[01:09:44.675 --> 01:09:46.597]  There's no realistic or fair solution...
[01:09:47.190 --> 01:09:50.571]  That does not involve a globally coordinated system of carbon tax.
[01:09:50.631 --> 01:09:55.332]  And Ngozi at the WTO is coordinating this with several other international organizations.
[01:09:55.932 --> 01:09:56.913]  It's still early days.
[01:09:57.353 --> 01:10:01.754]  There's a perception that it's unjust, it's unfair, it'll lead to inflation.
[01:10:02.554 --> 01:10:04.235]  In fact, quite the contrary.
[01:10:05.935 --> 01:10:12.677]  If we don't do this, the countries that will suffer most ultimately are the developing countries.
[01:10:12.877 --> 01:10:15.098]  They're going to be the worst affected by climate change.
[01:10:16.067 --> 01:10:20.790]  If we don't do this, it's ordinary vulnerable communities that will suffer the most.
[01:10:21.350 --> 01:10:37.440]  What we need is a system of carbon taxes coupled with subsidies for vulnerable households and a stream of funding for the developing world to allow their investments in mitigation and adaptation that allows them to keep growing.
[01:10:37.860 --> 01:10:39.101]  And that's a real opportunity.
[01:10:39.642 --> 01:10:43.184]  It's a fair solution and it's the only realistic solution.
[01:10:43.664 --> 01:10:45.065]  And we can't keep ducking it.
[01:10:46.158 --> 01:10:46.498]  We're good to go.
[01:11:11.104 --> 01:11:16.248]  If you go back really not that long ago, as I say, we owned the news.
[01:11:16.489 --> 01:11:19.852]  We were the gatekeepers, and we very much owned the facts as well.
[01:11:20.132 --> 01:11:23.615]  If it said it in the Wall Street Journal, the New York Times, then that was a fact.
[01:11:24.355 --> 01:11:30.801]  Nowadays, people can go to all sorts of different sources for the news, and they're much more questioning about what we're saying.
[01:11:31.261 --> 01:11:31.381]  So...
[01:11:32.142 --> 01:11:32.663]  We're good to go.
[01:12:02.642 --> 01:12:03.904]  Now, I want to explain something here.
[01:12:04.324 --> 01:12:06.568]  And I know the listeners are smart, but I want this to really sink in.
[01:12:08.510 --> 01:12:13.778]  When they get the cashless society, central financial currencies in that they're rolling out now, there's major resistance.
[01:12:15.080 --> 01:12:17.063]  They already control 88% of the wealth in the world.
[01:12:18.680 --> 01:12:19.240]  We're good to go.
[01:12:48.971 --> 01:12:49.712]  We're good to go.
[01:13:12.406 --> 01:13:12.846]  We're good to go.
[01:13:35.728 --> 01:13:36.269]  We're good to go.
[01:13:56.240 --> 01:13:56.821]  We're good to go.
[01:13:56.841 --> 01:13:57.061]  I think?
[01:14:18.885 --> 01:14:23.529]  And again, if you just tuned in, the globalists admit, we're losing, everybody hates us, what do we do?
[01:14:24.070 --> 01:14:28.794]  And they say, well, war's coming and cyber attacks and all these crises.
[01:14:29.495 --> 01:14:33.639]  If they make things bad enough, they still think you'll forget that they're the ones behind it.
[01:14:33.799 --> 01:14:34.700]  That's never going to happen.
[01:14:35.694 --> 01:14:39.095]  There's no putting that genie back in the bottle.
[01:14:56.002 --> 01:14:56.762]  We're good to go.
[01:15:18.214 --> 01:15:21.337]  That doesn't mean they're going to go away, but it's a big deal.
[01:15:21.937 --> 01:15:26.141]  They've been in trouble for decades, but now they're admitting they're on their last legs.
[01:15:26.201 --> 01:15:27.062]  This is a big deal.
[01:15:28.063 --> 01:15:29.003]  What do you think comes next?
[01:15:29.424 --> 01:15:31.646]  How do they try to grab Victor from the jaws of defeat?
[01:15:32.861 --> 01:15:33.582]  Toll-free number, 877-789-2539.
[01:15:33.602 --> 01:15:33.682]  877-789-2539.
[01:15:33.722 --> 01:15:36.144]  First-time callers, long-time callers, agree, disagree?
[01:15:36.164 --> 01:15:39.728]  All we ask is you've got a clean phone line, tell us where you're calling from.
[01:15:39.748 --> 01:15:39.808]  877-789-2539.
[01:15:39.828 --> 01:15:40.809]  I'm your host, Alex Jones.
[01:15:40.829 --> 01:15:41.109]  877-789-Alex.
[01:15:41.570 --> 01:15:42.070]  Infowars.com.
[01:15:42.090 --> 01:15:42.491]  Newswars.com.
[01:15:42.511 --> 01:15:42.931]  Band.video.
[01:15:42.951 --> 01:15:43.472]  We'll be right back.
[01:15:58.314 --> 01:16:00.577]  Hey, let me start by saying you do a great show.
[01:16:00.737 --> 01:16:01.097]  Thank you.
[01:16:01.277 --> 01:16:03.840]  Hey, let me point out that I took X2 iodine.
[01:16:03.900 --> 01:16:05.162]  I started taking that stuff.
[01:16:05.202 --> 01:16:08.265]  The best iodine I think I ever found is what you guys are selling.
[01:16:08.285 --> 01:16:09.427]  When did you start taking it?
[01:16:09.707 --> 01:16:13.691]  About four years ago, I had high blood pressure, and I was on blood pressure medicine.
[01:16:13.772 --> 01:16:13.992]  Mm-hmm.
[01:16:14.292 --> 01:16:17.013]  And I started eating a little better, but my blood pressure stayed high.
[01:16:17.033 --> 01:16:24.537]  And when I took the X2 iodine after about two or four weeks, I think my body was detoxified of a bunch of metals and stuff that my body was storing.
[01:16:24.657 --> 01:16:26.858]  And my blood pressure came down to the perfect level.
[01:16:27.238 --> 01:16:30.160]  And I tell people the only thing I did with X2 iodine
[01:16:30.640 --> 01:16:44.503]  And even though I do think all your other products are good, I recommend to anybody that they start with X2 iodine because it detoxifies your body and kind of kicks your natural DNA into full force.
[01:16:44.603 --> 01:16:48.084]  So in my life, I found X2 iodine the best.
[01:16:48.544 --> 01:16:51.964]  I tried other iodines and they didn't have the same effect.
[01:16:52.284 --> 01:16:54.585]  So X2 iodine, I really wanted to point that out.
[01:16:58.171 --> 01:16:59.792]  I'm not on Team NFL.
[01:17:00.072 --> 01:17:01.573]  I'm not on Team NBA.
[01:17:01.753 --> 01:17:02.714]  I'm not on Team Olympics.
[01:17:03.014 --> 01:17:06.456]  I'm not on Team Globalist or Wokeism in the New World Order.
[01:17:06.676 --> 01:17:16.942]  I'm on Team Humanity, ladies and gentlemen, that loves God and loves our families and loves humanity and knows that we're destined to do even more incredible things than we've already done together.
[01:17:17.082 --> 01:17:20.764]  And so, inspired by my conversation with Elon Musk recently...
[01:17:21.084 --> 01:17:21.224]  I think?
[01:17:38.203 --> 01:17:39.004]  We're good to go.
[01:17:58.154 --> 01:17:59.935]  Real death is shutting off the economy.
[01:18:00.135 --> 01:18:02.437]  The bureaucrats and the corporations control the economy.
[01:18:02.757 --> 01:18:06.239]  As they vertically integrate the economy and consolidate power, they murder people en masse.
[01:18:06.880 --> 01:18:14.885]  And Elon Musk has warned them that if you destroy civilization, you won't be able to have certain redoubts of it, certain city-states that still have it, the Hunger Games model.
[01:18:15.205 --> 01:18:16.506]  It will destroy the elite as well.
[01:18:16.766 --> 01:18:19.548]  And anybody that studies history and has common sense knows that.
[01:18:20.228 --> 01:18:25.213]  The wars that are going to come out of the starvation and the inflation are being blamed on global warming.
[01:18:25.433 --> 01:18:28.136]  The viruses that come out of the labs are being blamed on global warming.
[01:18:28.376 --> 01:18:31.820]  The third world hordes being organized by the UN to invade are being blamed on global warming.
[01:18:32.641 --> 01:18:34.342]  The mass starvation is blamed on the virus.
[01:18:35.804 --> 01:18:38.006]  And everywhere we're told it's going to get worse.
[01:18:38.126 --> 01:18:39.067]  Billions are coming.
[01:18:39.227 --> 01:18:41.549]  Al Gore and Bill Clinton and Hillary Clinton
[01:18:42.458 --> 01:18:49.604]  And the Rothschilds and the Davos Group and Bill Gates and Klaus Schwab and Evaldo Harari say billions are coming to Europe.
[01:18:49.824 --> 01:18:51.305]  A billion are coming to the U.S.
[01:18:51.765 --> 01:18:53.046]  because of climate change.
[01:18:53.587 --> 01:18:57.970]  No, because you cut their economy off because the IMF or World Bank controls the loans and ordered lockdowns.
[01:18:58.090 --> 01:19:04.855]  One of the most frustrating things about being awake to the globalist agenda is seeing the general public still asleep.
[01:19:06.216 --> 01:19:19.225]  By and large, not aware of the magnitude of the incredible danger they're under, but also the ongoing attacks and the magnitude of the death caused by the lethal injections, masquerading as vaccines.
[01:19:19.386 --> 01:19:28.412]  It is so frustrating to see people going about their daily lives oblivious, and you realize ignorance is not bliss, it equals death.
[01:19:30.026 --> 01:19:50.462]  But people are starting to really understand how serious things are and that's a hard thing to do because to wake up to a disturbing reality and realize that we're in the middle of a giant biological weapons war against humanity and that there's mass sterilization that's already taking place and they're cutting off all the major energy sources is really hard to deal with, but it's the reality.
[01:19:51.023 --> 01:19:55.206]  Facing it is our only chance to turn this around because stuff's about to get really, really nasty.
[01:19:55.606 --> 01:19:56.247]  Infowars.com
[01:20:00.915 --> 01:20:02.576]  I'm a pioneer!
[01:20:02.997 --> 01:20:04.758]  I'm an explorer!
[01:20:05.258 --> 01:20:21.229]  I'm a human, and I'm coming!
[01:20:21.609 --> 01:20:24.732]  I'm animated!
[01:20:25.092 --> 01:20:25.732]  I'm alive!
[01:20:25.932 --> 01:20:26.813]  My heart's big!
[01:20:27.033 --> 01:20:27.994]  It's got hot blood!
[01:20:28.194 --> 01:20:29.275]  Going through it fast!
[01:20:30.563 --> 01:20:31.784]  I like to fight, too!
[01:20:32.864 --> 01:20:33.605]  I like to eat!
[01:20:34.325 --> 01:20:35.406]  I like to have children!
[01:20:37.207 --> 01:20:37.707]  I'm here!
[01:20:37.727 --> 01:20:39.989]  I got a life force!
[01:20:40.009 --> 01:20:40.789]  This is a human!
[01:20:40.809 --> 01:20:42.110]  This is what we look like!
[01:20:42.170 --> 01:20:43.311]  This is what we act like!
[01:20:43.871 --> 01:20:45.352]  This is what everybody was like before us!
[01:20:45.712 --> 01:20:46.553]  This is what I am!
[01:20:46.573 --> 01:20:47.473]  I'm a throwback!
[01:20:47.773 --> 01:20:48.314]  I'm here!
[01:20:48.594 --> 01:20:50.115]  I've got the fire of human liberty!
[01:20:50.275 --> 01:20:51.576]  I'm setting fires everywhere!
[01:20:51.596 --> 01:20:53.397]  And humans are turning on everywhere!
[01:20:53.697 --> 01:20:55.718]  Get behind me, Satan!
[01:20:57.299 --> 01:20:58.420]  Down with the devil!
[01:20:59.690 --> 01:21:00.350]  This can't be.
[01:21:01.070 --> 01:21:02.351]  You're playing the wrong message.
[01:21:02.371 --> 01:21:06.052]  Visit InfoWars.com forward slash show today.
[01:21:07.493 --> 01:21:22.738]  All right, we're going to your phone calls, interspersing with masses of news.
[01:21:22.758 --> 01:21:26.699]  The head of Michael Young joining us from the Darien Gap.
[01:21:27.850 --> 01:21:34.133]  On the border of South America going into Central America where the UN and the Chinese along with U.S.
[01:21:34.173 --> 01:21:41.136]  funding are building bridges, giant roads, you name it, and huge refugee camps to accelerate the invasion.
[01:21:42.457 --> 01:21:50.000]  But I like to go back sometimes and give you a blast from the past.
[01:21:51.401 --> 01:21:56.483]  Here's a video from a year and a half ago with the disgusting...
[01:21:59.212 --> 01:21:59.992]  We're good to go.
[01:22:00.012 --> 01:22:00.312]  I think?
[01:22:29.093 --> 01:22:29.513]  We're good to go.
[01:22:29.553 --> 01:22:29.914]  We're good to go.
[01:22:52.966 --> 01:22:57.789]  And his ancestors all over Europe, they're European royalty, not even British.
[01:22:59.110 --> 01:23:01.191]  King George I, the British line, was taken over.
[01:23:01.771 --> 01:23:05.573]  That itself was the Norman line from William the Conqueror, but it's a side issue.
[01:23:06.534 --> 01:23:11.977]  They did this all over Europe, keeping people on small pieces of land at starvation level to control them.
[01:23:13.378 --> 01:23:20.222]  And that's all they're doing is bringing back feudalism and smiling at us when they're not at Jeffrey Epstein's island raping children.
[01:23:21.380 --> 01:23:25.061]  Or his dad's not hanging out with Jimmy Savelle raping children.
[01:23:26.001 --> 01:23:27.321]  And I'm just sick of them.
[01:23:27.361 --> 01:23:28.282]  It's disgusting.
[01:23:28.742 --> 01:23:31.762]  It's sycophantic.
[01:23:32.243 --> 01:23:33.423]  It's out of control.
[01:23:33.443 --> 01:23:46.486]  And I've watched people I've known that have supposedly fought the globalists literally be invited by these people to go to parties with them, and they stop fighting the New World Order.
[01:23:47.583 --> 01:23:50.686]  I think they've arrived socially because they're hanging out with royalty.
[01:23:51.387 --> 01:23:59.135]  There's nothing more uncool than royalty, especially if you're an American, because we're the country that overthrew it and started stopping it and created a world trend.
[01:24:00.656 --> 01:24:02.298]  So, just truly sick.
[01:24:03.800 --> 01:24:08.384]  Here's a clip of this leering gargoyle telling you to take the poison shot.
[01:24:08.625 --> 01:24:09.766]  So now the blood's on his hands.
[01:24:10.558 --> 01:24:19.584]  Catherine and I are not medical experts by any means, but if it's any consolation, we can wholeheartedly support having vaccinations.
[01:24:19.765 --> 01:24:20.685]  It's really, really important.
[01:24:20.705 --> 01:24:25.529]  We've spoken to a lot of people about it, and the uptake's been amazing so far.
[01:24:25.549 --> 01:24:31.513]  We've got to keep it going so that the younger generations also feel that it's really important for them to have it.
[01:24:31.653 --> 01:24:49.810]  It must be really daunting, especially at the beginning, with the warnings out there for those with asthma and underlying health conditions and things like that, with the uncertainty of not knowing what it was about the pandemic that was going to be a threat or a complication.
[01:24:50.830 --> 01:24:54.091]  Social media is awash sometimes with lots of rumors and misinformation.
[01:24:54.112 --> 01:24:58.013]  So we have to be a little bit careful who we believe and where we get our information from.
[01:24:58.093 --> 01:25:03.895]  But especially for those who are clinically vulnerable as well, it's so important that those vaccinations are done.
[01:25:05.776 --> 01:25:08.857]  So we've got the Queen of the Netherlands out there saying the same crap.
[01:25:09.838 --> 01:25:12.279]  And she wants a cashless society to force you to take shots.
[01:25:12.319 --> 01:25:13.179]  They're up there saying it.
[01:25:14.957 --> 01:25:18.858]  And of course his grandfather, Prince Philip, said he wants to kill 80% of the world's population.
[01:25:18.878 --> 01:25:22.278]  Just search Prince Philip, destroy, kill 80% of the population.
[01:25:22.618 --> 01:25:23.899]  He gave a whole bunch of interviews.
[01:25:24.119 --> 01:25:26.279]  Autobahn Society, AP, Reuters.
[01:25:27.019 --> 01:25:27.999]  He wrote books about it.
[01:25:31.820 --> 01:25:35.801]  It just goes on and on and on and on and on.
[01:25:39.922 --> 01:25:40.762]  That's who we're up against.
[01:25:40.782 --> 01:25:42.222]  I see we've got loaded phone lines.
[01:25:43.760 --> 01:25:45.020]  And we're going to go to break here in a few minutes.
[01:25:45.040 --> 01:25:46.881]  When we come back, I'm going to go right to your calls.
[01:25:46.901 --> 01:25:50.362]  We'll skip that break coming up, so we'll have a whole 30 minutes to get to everybody on the board.
[01:25:50.382 --> 01:25:58.885]  I'm going to move quick through Cassandra and Hulkman and Jimmy and Sean and Michael and Angie and Bart, Curtis, Tanner, Malachi, and Arnold.
