[00:00:01.277 --> 00:00:01.598]  The End.
[00:38:56.372 --> 00:39:03.657]  Edinburgh happens to be where a lot of the world's best work on this is done, and that's why DFID and the Gates Foundation are funding scientists here.
[00:39:03.837 --> 00:39:07.439]  Depopulation infiltration doesn't stop with our food.
[00:39:07.759 --> 00:39:10.361]  It is inevitably floating in the air.
[00:39:10.741 --> 00:39:16.764]  Scientists over at Yale University have just taken a giant step towards making such a thing reality.
[00:39:17.244 --> 00:39:25.909]  They were able to vaccinate these mice using two doses administered through the nose of a vaccine which contained nanoparticles carrying the mRNA COVID vaccine.
[00:39:26.491 --> 00:39:29.412]  These mice were vaccinated without a single injection.
[00:39:29.632 --> 00:39:38.815]  Is it any wonder that the world's elite, openly in on the depopulation agenda, are building impenetrable underground fortresses?
[00:39:39.276 --> 00:39:43.577]  Because the one law that can't be broken is the law of the jungle.
[00:39:43.997 --> 00:39:51.940]  As old and as true as the sky, and the wolf that shall keep it may prosper, but the wolf that shall break it must die.
[00:39:52.440 --> 00:39:53.721]  John Bowne reporting.
[00:39:55.301 --> 00:40:13.409]  Alright, now I want to play most of Bukele's speech where he calls out Jordan Soros, he explains that there's crime waves in front of the police, there's a plan to bring down the country, he explains how it works.
[00:40:14.049 --> 00:40:15.890]  And again, I remember being like 8 years old.
[00:40:17.205 --> 00:40:21.909]  And I would ask my dad, because I could already read good, but I didn't understand his adult books.
[00:40:21.969 --> 00:40:22.770]  I'd say, what's this book?
[00:40:22.790 --> 00:40:23.350]  What's that book?
[00:40:23.951 --> 00:40:25.392]  Carol Quigley's Tragedy and Hope.
[00:40:25.993 --> 00:40:27.074]  Zbigniew Brzezinski's books.
[00:40:27.154 --> 00:40:34.820]  And I remember my dad going, Brzezinski explains in this book how governments use crime and gangs to take over in the first phase of a communist takeover.
[00:40:34.840 --> 00:40:36.542]  And then later I read the book and I could understand it.
[00:40:36.582 --> 00:40:38.343]  And sure enough, Brzezinski talked about it.
[00:40:39.084 --> 00:40:44.609]  So this is known at the geopolitical PhD level, okay?
[00:40:46.240 --> 00:40:48.181]  This is standard stuff at the Harvard Ph.D.
[00:40:48.201 --> 00:40:48.902]  political science.
[00:40:49.302 --> 00:41:00.390]  Not the fake political science of black and white warfare and transgenderism and all that garbage they teach in the establishment proletariat educational system.
[00:41:00.430 --> 00:41:07.015]  But when you actually read globalist reports, they're all sitting up there like we're idiots who can't read it and admitting all these points.
[00:41:08.116 --> 00:41:08.996]  So we'll get to that in a moment.
[00:41:10.117 --> 00:41:14.660]  But I wanted to play a short clip of Bukele, who again has turned his country around in just three years.
[00:41:16.062 --> 00:41:18.184]  A 180, it was like a 170 turn.
[00:41:18.204 --> 00:41:20.926]  It's not perfect, but it's the safest country in the hemisphere.
[00:41:21.387 --> 00:41:22.527]  Second most safe in the world.
[00:41:23.268 --> 00:41:26.711]  Here, he is countering the BBC.
[00:41:27.992 --> 00:41:29.533]  We took the recipes from the European Union.
[00:41:29.553 --> 00:41:30.994]  We took the recipes from the United States.
[00:41:31.295 --> 00:41:32.175]  None of the recipes worked.
[00:41:32.436 --> 00:41:33.757]  More bloodshed, more people were dying.
[00:41:34.037 --> 00:41:34.617]  So what do we do?
[00:41:34.717 --> 00:41:36.079]  Okay, we do something and we save people.
[00:41:36.139 --> 00:41:38.100]  And now we're the safest country in the Western Hemisphere.
[00:41:38.701 --> 00:41:39.702]  But suddenly something's bad.
[00:41:40.182 --> 00:41:40.963]  Oh, but you shouldn't do that.
[00:41:41.003 --> 00:41:42.344]  You should do what I think you should do.
[00:41:42.804 --> 00:41:42.944]  Why?
[00:41:44.449 --> 00:41:53.339]  Not only do we have the right to do what we think is right and what the Salvadoran people are going to decide whether or not they want this day in free elections, but also we've proven it works.
[00:41:54.080 --> 00:41:56.142]  And you haven't proven that your system works in our country.
[00:41:56.362 --> 00:41:57.363]  Might work in yours, I don't know.
[00:41:57.864 --> 00:41:59.265]  But it doesn't work in ours.
[00:41:59.285 --> 00:42:01.187]  It's like I told one time...
[00:42:02.941 --> 00:42:25.068]  A member of the European Union, I know you Brexited that, but I told a member of the European Union, you take your best government, choose your best government, I don't know what's the best government in Europe, but you choose your best government, same people, same talent, same experts, same will to do things the right way, you take your best government, and you put them to govern Afghanistan, and tell them, okay, you govern Afghanistan the same way you govern this European country.
[00:42:25.488 --> 00:42:26.208]  You'll be there in a week!
[00:42:27.071 --> 00:42:29.113]  Because you cannot govern Afghanistan like you govern Europe.
[00:42:29.393 --> 00:42:33.316]  So stop trying to make us use your recipes because they don't work here.
[00:42:33.976 --> 00:42:35.377]  You have your own system.
[00:42:35.417 --> 00:42:37.118]  We don't tell you that you shouldn't have a monarchy.
[00:42:37.539 --> 00:42:38.799]  I mean, we're fine with your monarchy.
[00:42:38.839 --> 00:42:39.480]  We love your monarchy.
[00:42:39.520 --> 00:42:39.940]  It's fine.
[00:42:40.300 --> 00:42:44.203]  But we don't say, oh, you shouldn't have a monarchy and you shouldn't have hereditary titles.
[00:42:44.964 --> 00:42:45.204]  Why?
[00:42:45.384 --> 00:42:46.185]  Because it's your country.
[00:42:46.205 --> 00:42:47.225]  You can do whatever you want with it.
[00:42:47.426 --> 00:42:50.328]  But suddenly, we have to do what you want to do with our country.
[00:42:50.788 --> 00:42:54.851]  So, what I'm going to finish the question is that
[00:42:55.658 --> 00:43:01.320]  This has been proven by all of you and by all independent sources.
[00:43:01.900 --> 00:43:07.301]  El Salvador was turned from the most dangerous place in the world to the safest in the Western Hemisphere.
[00:43:08.122 --> 00:43:08.942]  That's not a small feat.
[00:43:09.742 --> 00:43:11.022]  And that's not done easily.
[00:43:11.322 --> 00:43:13.323]  And nobody in the world has ever done it before.
[00:43:13.643 --> 00:43:15.724]  So fast and so clean that we have done it here.
[00:43:16.024 --> 00:43:17.104]  With no civilian casualties.
[00:43:18.645 --> 00:43:19.865]  So, I don't know.
[00:43:20.572 --> 00:43:21.273]  I know it's different.
[00:43:21.873 --> 00:43:25.716]  I know the numbers from the UK and ours will be different for maybe a couple of decades.
[00:43:26.237 --> 00:43:33.143]  But we're doing our best here, and we're really trying, and the Salvadoran people today are going to vote freely in free and fair elections, and in full democracy, and choose their own path.
[00:43:33.783 --> 00:43:33.983]  Thank you.
[00:43:34.664 --> 00:43:43.751]  All right, so General Benton K. Parton, at his final position, was the head of Air Force Weapons Development and the head of the secret Star Wars program.
[00:43:44.932 --> 00:43:46.354]  He's been on my show probably 20 times.
[00:43:46.374 --> 00:43:47.535]  He's dead now.
[00:43:48.752 --> 00:43:50.973]  And I've been to dinner with him 20 times, at least.
[00:43:52.013 --> 00:43:54.394]  And the point is, is that he knew what he was talking about.
[00:43:55.215 --> 00:44:03.738]  And he said, the communists will defund the police, they will fund gangs, they will put their people in control of the judiciary in certain sectors they control.
[00:44:05.879 --> 00:44:09.961]  Because before communists, and that's the model the globalists use, they're not really communists, but they use that model.
[00:44:11.602 --> 00:44:14.643]  Get control of a full country, they can control of cities and towns.
[00:44:16.064 --> 00:44:38.448]  And then, once they get their own DAs and people in, they don't prosecute general crime, because they want to get out of control, and then they can control who does get charged, so they then form relationships with the criminal gangs, they then launder the money of the gangs, and then they use those gangs to then take over the rest of the country over the next few years as it unfolds.
[00:44:39.636 --> 00:44:50.322]  And then they use the entire judicial system and the criminal justice system to take the property of the people that built the country and who was the previous power structure.
[00:44:51.203 --> 00:44:53.384]  And in America, we had a decentralized power structure.
[00:44:53.724 --> 00:44:57.746]  Lots of wealthy people, lots of middle class, lots of opportunity, the best opportunity anywhere.
[00:44:58.427 --> 00:44:59.407]  The globalists don't want that.
[00:44:59.748 --> 00:45:04.150]  They want to come in and take your business, take your building, take your farm, take it all.
[00:45:04.530 --> 00:45:05.571]  That's what this is.
[00:45:05.631 --> 00:45:06.952]  And they use environmentalism,
[00:45:08.280 --> 00:45:10.061]  And racism has all the excuses.
[00:45:10.121 --> 00:45:11.622]  So this is a plan.
[00:45:13.743 --> 00:45:21.387]  And he explains the plan they used 50 years ago to take us out with globalist UN NGOs that came into El Salvador.
[00:45:21.767 --> 00:45:23.047]  We didn't know what was going on.
[00:45:23.508 --> 00:45:25.469]  We weren't sophisticated just like you aren't.
[00:45:26.809 --> 00:45:29.271]  El Salvador was one of the richest countries in Latin America.
[00:45:30.271 --> 00:45:30.671]  Amazing.
[00:45:31.071 --> 00:45:35.614]  And overnight the disease spread of tyranny and corruption and then
[00:45:36.818 --> 00:45:42.183]  Government would try to fight it and there would be a civil war with the communists against the government.
[00:45:42.523 --> 00:45:43.964]  Then the communists would get in the government.
[00:45:44.185 --> 00:45:46.367]  There would be a civil war with the patriots trying to take it back.
[00:45:46.647 --> 00:45:52.372]  There was this tug of war that ruined the country for 50 years and made it a hellhole.
[00:45:52.772 --> 00:45:54.494]  No investment, no terrorism, no nothing.
[00:45:54.794 --> 00:45:56.536]  Now in just a few years, it's all turned around.
[00:45:56.576 --> 00:45:57.116]  It's beautiful.
[00:45:57.176 --> 00:45:57.657]  It's clean.
[00:45:58.417 --> 00:45:59.218]  Almost no crime.
[00:45:59.278 --> 00:45:59.919]  Everybody's happy.
[00:46:01.308 --> 00:46:08.812]  Because they arrested 50,000 soldiers with shaved heads, brainwashed, with Satan tattoos.
[00:46:08.872 --> 00:46:10.313]  They commit satanic rituals.
[00:46:10.873 --> 00:46:12.214]  And where did MS-13 come from?
[00:46:12.254 --> 00:46:12.734]  The U.S.
[00:46:12.754 --> 00:46:13.114]  prisons.
[00:46:13.574 --> 00:46:16.596]  And went back to El Salvador in the 70s and 80s and 90s.
[00:46:17.076 --> 00:46:18.257]  It's a CIA operation.
[00:46:19.414 --> 00:46:28.080]  But the average low-level shaved head guy with devil tattoos all over him, who has killed somebody when he was 12 and killed 20 people by the time he was 20, he's expendable.
[00:46:28.120 --> 00:46:29.041]  He just follows orders.
[00:46:29.381 --> 00:46:32.623]  He doesn't even know it's an intelligence agency and a global group above him.
[00:46:32.863 --> 00:46:36.566]  But Bukele calls it out and says, this is George Soros.
[00:46:36.866 --> 00:46:44.011]  How did George Soros brag on CNN six years ago, that nine years ago,
[00:46:45.575 --> 00:47:04.186]  He got NATO and Justice Department and funding from the foundations and mainly the State Department, five billion, to go in and overthrow the government and then use criminal gangs to go around and kill people that weren't on board with them to intimidate everybody so they can then take over everything and then start a war with Russia.
[00:47:04.386 --> 00:47:05.526]  And then Russia responded to that.
[00:47:07.908 --> 00:47:11.070]  So when you see all this, they know damn well what they're doing, folks.
[00:47:12.034 --> 00:47:20.657]  In Austin, Texas, the Soros DA, on record, works for Soros, put in, lets people out a day after they shoot innocent people downtown.
[00:47:22.757 --> 00:47:23.257]  If they're black.
[00:47:24.198 --> 00:47:24.698]  Or Hispanic.
[00:47:25.838 --> 00:47:29.139]  If you're political and white and done nothing wrong, he'll indict you for nothing.
[00:47:29.199 --> 00:47:29.799]  He's on record.
[00:47:30.740 --> 00:47:31.640]  You ask, what is that?
[00:47:32.140 --> 00:47:34.321]  They're energizing the criminal gangs.
[00:47:34.361 --> 00:47:35.481]  They're taking over.
[00:47:35.981 --> 00:47:40.563]  They bring in the illegal aliens and get them a job and then cut, take part of their money to the NGO.
[00:47:41.601 --> 00:47:43.703]  And they set him up for welfare and take part of that money.
[00:47:45.444 --> 00:47:47.286]  So this is an organized takeover.
[00:47:47.346 --> 00:47:49.728]  As Nancy Pelosi said, MS-13 is all God's children.
[00:47:50.548 --> 00:47:51.809]  Who ran El Salvador?
[00:47:52.330 --> 00:47:53.250]  MS-13.
[00:47:55.933 --> 00:48:08.223]  So, Bukele just arrested the minions and the sergeants and the corporals and the capos and the generals
[00:48:09.912 --> 00:48:11.773]  And just cut the head off of MS-13.
[00:48:14.415 --> 00:48:18.678]  Because law enforcement and the American people weren't going to put up with MS-13 30 years ago here.
[00:48:19.398 --> 00:48:24.201]  So they went and transplanted their operation there to grow it and use it as a base of operations.
[00:48:25.322 --> 00:48:29.344]  So they run these criminal gangs, folks, through the NGOs.
[00:48:30.925 --> 00:48:34.788]  So it's a big deal that Bukele
[00:48:36.212 --> 00:48:40.396]  Is now a superstar around the world going into these speeches and calling out exactly what's going on.
[00:48:40.657 --> 00:48:43.299]  So let's get to about seven, eight minutes of a speech right now.
[00:48:43.700 --> 00:48:49.105]  We'll come back next hour to the rest of it and Tucker's info, because this is all key to identify what's happening.
[00:48:49.346 --> 00:48:54.131]  If you identify it's not some accident, you identify it's a program of control.
[00:48:55.623 --> 00:48:56.203]  He comes to die a TPEC.
[00:49:24.229 --> 00:49:27.951]  I'm here to tell you that in El Salvador, it's already dead.
[00:49:38.855 --> 00:49:46.739]  But if you want globalism to die here too, you must be willing to unapologetically fight against everything and everyone.
[00:49:53.567 --> 00:49:56.988]  He goes, globalism destroyed our country, and he goes into how they run and how they do it.
[00:49:57.608 --> 00:50:00.289]  We defeated them, and you can destroy them, too.
[00:50:00.589 --> 00:50:00.749]  Wow!
[00:50:00.909 --> 00:50:06.890]  We're talking about destroying the New World Order with a president who just turned his country around in a couple of years.
[00:50:07.451 --> 00:50:08.551]  See how far we've come, folks?
[00:50:09.671 --> 00:50:16.213]  Six years ago, the New York Times was running an article saying Alex Jones made up the term globalism, and Alex Jones is evil.
[00:50:17.073 --> 00:50:18.934]  The globalists call themselves globalists.
[00:50:19.594 --> 00:50:20.374]  Fifty years ago.
[00:50:22.065 --> 00:50:25.146]  See, so we're way past the point of denying the enemy exists.
[00:50:25.446 --> 00:50:26.107]  That was their trick.
[00:50:26.167 --> 00:50:27.067]  Oh, we don't exist.
[00:50:27.267 --> 00:50:30.008]  Oh, Soros isn't getting debit cards for illegal aliens.
[00:50:30.248 --> 00:50:30.748]  That's all.
[00:50:31.309 --> 00:50:32.449]  We don't care what they say.
[00:50:32.489 --> 00:50:33.469]  We know what they're doing.
[00:50:33.509 --> 00:50:33.749]  See?
[00:50:34.350 --> 00:50:40.952]  We're having a direct conversation with the New World Order, and they're running and building bunkers because they're scared, because they should be, because they're out of control.
[00:50:41.172 --> 00:50:44.774]  We're not going to roll up our sleeves and take your poison shots and have heart attacks anymore.
[00:50:44.974 --> 00:50:46.034]  You killed a bunch of people.
[00:50:46.214 --> 00:50:46.834]  Twenty million.
[00:50:47.315 --> 00:50:48.255]  You're going to pay for it.
[00:50:49.574 --> 00:50:52.797]  I told you this a thousand times and I'll say it again, you New World Order scum.
[00:50:54.078 --> 00:50:56.740]  I said it 25 years ago, I said it 10 years ago, I'll say it again.
[00:50:57.261 --> 00:51:03.105]  I don't know how all this is going to end, but if you want to fight, you better believe you've got one!
[00:51:04.086 --> 00:51:06.348]  And now you can see we're kicking your ass.
[00:51:07.109 --> 00:51:08.350]  Give up now.
[00:51:09.050 --> 00:51:09.771]  Go back to the speech.
[00:51:13.754 --> 00:51:17.598]  They say globalism comes to die at CPAC.
[00:51:19.915 --> 00:51:23.656]  I'm here to tell you that in El Salvador, it's already dead.
[00:51:34.539 --> 00:51:43.241]  But if you want globalism to die here too, you must be willing to unapologetically fight against everything and everyone that stands for it.
[00:51:45.161 --> 00:51:46.422]  Fight for your freedoms.
[00:51:46.982 --> 00:51:47.862]  Fight for your rights.
[00:51:49.585 --> 00:51:53.908]  The next President of the United States must not only win an election.
[00:51:55.069 --> 00:51:59.793]  He must have the vision, the will, and the courage to do whatever it takes.
[00:52:00.874 --> 00:52:09.060]  And above all, he must be able to identify the underlying forces that will conspire against him.
[00:52:10.521 --> 00:52:14.164]  These dark forces are already taking over your country.
[00:52:16.125 --> 00:52:19.188]  You may not see it yet, but it's already happening.
[00:52:21.380 --> 00:52:27.662]  You don't see it as clearly because people are designed to see linear changes, not exponential ones.
[00:52:28.623 --> 00:52:33.604]  We don't always recognize how fast a problem can multiply and spiral out of control.
[00:52:35.225 --> 00:52:38.206]  The problem is much like the metaphor of the boiling frog.
[00:52:39.727 --> 00:52:42.007]  Once the water boils, it's already too late.
[00:52:43.668 --> 00:52:45.188]  People fail to see these things.
[00:52:45.649 --> 00:52:46.389]  It's our nature.
[00:52:48.049 --> 00:52:54.871]  Just like the frog, people become complacent, and they don't realize how bad things are getting until it's too late.
[00:52:56.552 --> 00:53:06.135]  While I know, of course, El Salvador is a lot smaller country, setting aside the differences, there's a similarity with what is happening here in the United States.
[00:53:08.276 --> 00:53:15.658]  We also have many apparently isolated problems in the 60s and the 70s, and we fail to realize as a country the severity of them.
[00:53:17.031 --> 00:53:18.332]  Until it became a civil war.
[00:53:20.274 --> 00:53:23.017]  By the time we reacted, it was already too late.
[00:53:23.718 --> 00:53:25.640]  We were already boiled like the frog.
[00:53:27.301 --> 00:53:39.654]  And it took us 50 years, two wars, 250,000 lives, and a third of our population displaced, and a near miracle to get our country back.
[00:53:49.335 --> 00:53:56.117]  As your friend, I want to issue this warning so you don't make the same mistakes we did in the 60s and the 70s.
[00:53:57.578 --> 00:54:01.339]  It is not easy to pull yourself back once you're in boiling water.
[00:54:01.999 --> 00:54:05.941]  In fact, all the experts said it was impossible.
[00:54:07.801 --> 00:54:13.783]  And besides, you don't want to wait 50 years and maybe hope for a miracle to get out of hell.
[00:54:14.864 --> 00:54:17.985]  You can still jump before the water boils.
[00:54:20.327 --> 00:54:30.075]  Some might say I'm exaggerating, but we can clearly see the signs of a declining society because our own hit rock bottom decades ago.
[00:54:31.677 --> 00:54:33.959]  It's like when we see someone getting sick.
[00:54:34.859 --> 00:54:39.423]  First, it's maybe just stomach ache, or a headache, or a small fever.
[00:54:40.845 --> 00:54:44.027]  But if you don't deal with the disease, it will only get worse.
[00:54:44.508 --> 00:54:46.890]  And then, it may be too late.
[00:54:49.662 --> 00:54:56.948]  Even after our first war in El Salvador, we failed again to look into the signs of the second civil war that was coming.
[00:54:57.648 --> 00:54:58.249]  The gang war.
[00:54:59.870 --> 00:55:07.556]  After a million people fled the first war, a lot of them came to live in ghettos here in the United States, where the gangs were formed.
[00:55:08.677 --> 00:55:14.181]  When former President Clinton deported a lot of those gang members without telling us they were gang members, they were criminals.
[00:55:15.742 --> 00:55:18.784]  They roamed free and recruited young people.
[00:55:19.827 --> 00:55:22.248]  Thousands of young Salvadorans to join the gangs.
[00:55:23.329 --> 00:55:25.450]  At first, they seemed like petty criminals.
[00:55:26.951 --> 00:55:30.793]  But they began to change and transform until they became... Oh, stop right there.
[00:55:30.833 --> 00:55:31.393]  Pause.
[00:55:31.973 --> 00:55:33.594]  Back it up 30 seconds about Bill Clinton.
[00:55:33.634 --> 00:55:46.601]  Now, he's talked about this in newspapers down there, about the CIA and the left, but he's giving people a boil down here, speaking of the frog, that the gangs got trained in the United States in the prison systems
[00:55:47.509 --> 00:55:54.435]  And then we're sent back down there with the blessing of the Clinton administration to do all this because their leaders report back to the CIA.
[00:55:55.275 --> 00:55:57.097]  And this has all been declassified, okay?
[00:55:57.837 --> 00:55:59.679]  And look at the other major cartels.
[00:55:59.719 --> 00:56:03.062]  Almost all the major cartels in Mexico, CIA run, folks.
[00:56:04.062 --> 00:56:05.163]  Let's continue.
[00:56:07.025 --> 00:56:07.545]  Gang war.
[00:56:09.147 --> 00:56:16.733]  After a million people fled the first war, a lot of them came to live in ghettos here in the United States where the gangs were formed.
[00:56:17.927 --> 00:56:23.429]  When former President Clinton deported a lot of those gang members without telling us they were gang members, they were criminals.
[00:56:24.969 --> 00:56:31.512]  They roamed free and recruited young people, thousands of young Salvadorans to join the gangs.
[00:56:32.612 --> 00:56:34.753]  At first, they seemed like petty criminals.
[00:56:36.213 --> 00:56:42.356]  But they began to change and transform until they became the unscrupulous terrorists that we know today.
[00:56:43.256 --> 00:56:45.657]  Most of them even performed satanic rituals.
[00:56:46.482 --> 00:56:47.883]  And this has been well documented.
[00:56:49.785 --> 00:56:52.187]  The government back then didn't deal with the disease.
[00:56:54.068 --> 00:56:56.650]  Nor did the next administration, nor did the ones after that.
[00:56:58.152 --> 00:57:03.216]  The disease that had begun with mild symptoms got worse and worse.
[00:57:03.776 --> 00:57:04.797]  It became a cancer.
[00:57:04.817 --> 00:57:07.079]  We're going to come back, we're going to air the rest of it.
[00:57:07.099 --> 00:57:08.580]  We've only gotten to like 20% of it.
[00:57:09.341 --> 00:57:12.364]  And he goes into who did it, George Soros, the globals, what they're going to do to us, okay?
[00:57:13.186 --> 00:57:18.151]  Because just like the globalist beta tested destroying the black family on blacks, they're doing it to everybody now.
[00:57:18.751 --> 00:57:19.212]  Same thing.
[00:57:19.452 --> 00:57:21.073]  This is the plan, people.
[00:57:21.434 --> 00:57:22.214]  We can beat it.
[00:57:22.735 --> 00:57:25.257]  We can stop it easily, but we've got to admit it.
[00:57:25.277 --> 00:57:30.962]  Tell everybody you know, people you don't know, however you can on X, everywhere, Infowars.com forward slash show to find the feed.
[00:57:31.022 --> 00:57:31.363]  Share it.
[00:57:32.083 --> 00:57:33.004]  Or share the X feed.
[00:57:33.064 --> 00:57:33.765]  Real Alex Jones.
[00:57:33.825 --> 00:57:34.285]  Do it now.
[00:57:34.686 --> 00:57:35.727]  We'll be back in just a few minutes.
[00:57:36.932 --> 00:57:38.093]  Stay with us, ladies and gentlemen.
[00:57:38.113 --> 00:57:40.616]  Again, if you're watching on X-TENG, why are there breaks?
[00:57:40.957 --> 00:57:42.518]  We're still on a lot of radio stations, folks.
[00:57:43.379 --> 00:57:45.081]  We're reaching millions right now on radio stations.
[00:57:45.101 --> 00:57:45.442]  Stay with us.
[00:57:51.013 --> 00:57:56.420]  In 60 seconds, I don't have time to tell you about all the incredible ingredients in TurboForce.
[00:57:56.840 --> 00:58:06.833]  If you simply go to InfoWarsTore.com and look at the list of ingredients and look them up, every one of them is known to give you boosted, clean, focused energy without the letdown.
[00:58:07.113 --> 00:58:16.040]  We're talking up to 10 hours of clean energy per serving with TurboForce, exclusively available at InfoWarStore.com, and it's discounted right now.
[00:58:16.320 --> 00:58:19.563]  And it doesn't just boost your body's clarity and focus and stamina.
[00:58:19.943 --> 00:58:22.965]  It also funds the InfoWar, so it's a 360 win.
[00:58:23.265 --> 00:58:25.547]  If you've never tried TurboForce, now is the time.
[00:58:25.807 --> 00:58:27.088]  It's got five-star reviews.
[00:58:27.409 --> 00:58:36.416]  TurboForce at InfoWarStore.com will take your energy and your clarity to the next level without the letdown, and it funds the InfoWar, a true 360 win.
[00:58:37.156 --> 00:58:38.158]  We're good.
[00:58:51.380 --> 00:58:52.621]  Gunther in Tennessee.
[00:58:52.681 --> 00:58:53.722]  Thanks for calling, Gunther.
[00:58:53.862 --> 00:58:54.222]  Hey, Alex.
[00:58:54.403 --> 00:58:55.163]  First time caller.
[00:58:55.243 --> 00:58:57.085]  Real quick, wanted to plug your Foundational Energy.
[00:58:57.645 --> 00:58:58.586]  Just started taking that.
[00:58:59.266 --> 00:59:02.349]  And, boy, three pills recommended dose.
[00:59:02.429 --> 00:59:03.590]  I was bouncing off the walls.
[00:59:03.690 --> 00:59:09.315]  But I tell you, Foundational is the right name for that product because I'll cut down to one.
[00:59:09.935 --> 00:59:14.159]  It's like you have a baseline of energy that you were missing before that you got back.
[00:59:14.599 --> 00:59:22.845]  Well, I'm glad you mentioned that, because it's methylfolate, the breakdown of folic acid, and a lot of people, particularly Europeans, don't absorb all of the folic acid.
[00:59:23.085 --> 00:59:27.808]  So it's not a stimulant, it's a totally natural thing that boosts energy that's foundational.
[00:59:28.108 --> 00:59:30.670]  And was I lying to you, or did it not work?
[00:59:31.350 --> 00:59:32.551]  No, it was top-notch.
[00:59:32.591 --> 00:59:36.214]  And I was actually taking Red Pill Plus before, and that's got a little folic acid in it.
[00:59:36.274 --> 00:59:40.056]  I think there was a little buildup from this, but the energy from this was no jitters.
[00:59:40.237 --> 00:59:41.177]  I mean, it's top-notch.
[00:59:41.257 --> 00:59:41.978]  It's a great product.
[00:59:42.403 --> 00:59:43.344]  Well, thank you so much.
[00:59:43.384 --> 00:59:47.145]  Yeah, no, folic acid's great and it's in a real red pill, but some can't break it down.
[00:59:47.185 --> 00:59:48.166]  This is the breakdown of it.
[00:59:48.266 --> 00:59:49.046]  That's exactly it.
[00:59:51.208 --> 00:59:57.151]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:06.596 --> 01:00:08.096]  Rallying patriots worldwide.
[01:00:21.257 --> 01:00:23.618]  Episode 4, The Rebels Strike Back!
[01:00:28.100 --> 01:00:30.581]  There is a new hope in America and across the world.
[01:00:30.601 --> 01:00:36.723]  People are awakening to the technocrats, the big corporations, the intelligence agencies, and how they work through terror groups, criminal groups, and more.
[01:00:37.264 --> 01:00:47.168]  The amazing president has totally turned around El Salvador, ex-CPAC, knocked it out of the park, exposing the evil globalist frontman Soros' plot to bring down America.
[01:00:47.208 --> 01:00:47.628]  Here it is.
[01:00:49.449 --> 01:00:50.249]  It seemed incurable.
[01:00:51.869 --> 01:00:54.110]  We're already seeing these symptoms in the United States.
[01:00:54.870 --> 01:00:58.812]  Big cities in decline, like Baltimore, Portland, New York, just to name a few.
[01:01:00.493 --> 01:01:07.496]  Places where crime and drugs have become the daily norm, and even accepted and promoted by the government.
[01:01:09.997 --> 01:01:17.661]  How many young people have you lost to the streets of Philadelphia, or San Francisco, to fentanyl?
[01:01:21.291 --> 01:01:25.694]  Did we see these apocalyptic sights 15, 10, 5 years ago?
[01:01:27.836 --> 01:01:31.679]  Can you imagine how it will be in the next 5, 10 or 15 years?
[01:01:33.900 --> 01:01:35.882]  The same thing was happening in El Salvador.
[01:01:36.282 --> 01:01:41.426]  In the span of less than a decade, gangs took control of all the country and our society.
[01:01:42.227 --> 01:01:46.290]  They evolved into a parallel government, controlling elections and even political parties.
[01:01:47.719 --> 01:01:51.701]  Every aspect of the daily life of most people was controlled by the gangs.
[01:01:53.022 --> 01:01:57.044]  Murder capital of the world is a tragic title to hold.
[01:01:58.946 --> 01:02:06.150]  Getting rid of that was the bare minimum we had to achieve in order to even start thinking about rebuilding our country.
[01:02:15.267 --> 01:02:20.829]  But jumping out of the water when it's already boiling is an almost impossible feat.
[01:02:22.690 --> 01:02:23.610]  You're not there yet.
[01:02:25.171 --> 01:02:26.832]  And believe me, you don't want to be.
[01:02:30.013 --> 01:02:32.954]  We did the unthinkable to cleanse our society.
[01:02:33.454 --> 01:02:40.317]  We arrested the terrorists, but we have to remove corrupt judges and corrupt attorneys and prosecutors.
[01:02:56.087 --> 01:02:58.188]  Thank you.
[01:02:59.448 --> 01:03:05.490]  These corrupt judges, these corrupt judges and prosecutors were setting the gangs, the gang members free.
[01:03:11.092 --> 01:03:12.293]  And it wasn't just the gangs.
[01:03:13.493 --> 01:03:23.477]  The corrupt system, working in tandem with the so-called international community, the NGOs, and of course the fake news, just like it happens here in the United States.
[01:03:26.534 --> 01:03:31.597]  Unelected bureaucrats are trying to instate public policy.
[01:03:32.958 --> 01:03:33.778]  Who elected them?
[01:03:34.559 --> 01:03:36.100]  They don't have a democratic mandate.
[01:03:37.961 --> 01:03:41.463]  If they want a seat in the table, they should run for office.
[01:03:45.045 --> 01:03:45.966]  Let the people vote!
[01:03:48.547 --> 01:03:54.051]  It will not be a pretty sight for them if the elections are free and fair.
[01:03:56.775 --> 01:04:05.681]  I mean, who elected Soros to dictate public policy and laws?
[01:04:06.521 --> 01:04:09.303]  Why does he feel entitled to impose his agenda?
[01:04:12.004 --> 01:04:13.185]  Let me tell you something.
[01:04:13.966 --> 01:04:17.068]  Soros and his cronies hit a brick wall in El Salvador.
[01:04:17.108 --> 01:04:21.550]  This is so powerful.
[01:04:21.570 --> 01:04:22.391]  Back it up one minute.
[01:04:23.283 --> 01:04:24.905]  We're going to come back, skip the next break.
[01:04:25.125 --> 01:04:28.089]  Again, everybody on X is like, why are there ads here?
[01:04:28.590 --> 01:04:31.053]  Well, a lot of you are young, but I'm 50, not that old.
[01:04:31.073 --> 01:04:33.756]  Remember old network radio and TV?
