[00:00:01.325 --> 00:00:02.465]  The corrupt U.S.
[01:02:06.630 --> 01:02:09.691]  He's the boogeyman they need in this Orwellian phony system.
[01:02:09.832 --> 01:02:11.993]  I'm gonna put the call out that you call the White House
[01:02:18.357 --> 01:02:26.123]  And tell them, look, we've seen the news stories that you've wanted to blow things up, that you have blown things up, and that we're aware of who the terrorists are if you pull this.
[01:02:26.503 --> 01:02:29.305]  This can stop this Hitlerian Reichstag event.
[01:02:29.526 --> 01:02:31.007]  He's channeling something.
[01:02:31.107 --> 01:02:31.567]  You think so?
[01:02:31.587 --> 01:02:32.508]  Yeah, of course.
[01:02:32.908 --> 01:02:33.128]  Yeah.
[01:02:33.228 --> 01:02:35.951]  There's like no other... I mean, tell me how he did it otherwise.
[01:02:36.271 --> 01:02:37.071]  I've asked him about it.
[01:02:37.252 --> 01:02:37.992]  How did you do that?
[01:02:38.352 --> 01:02:38.773]  At length.
[01:02:38.813 --> 01:02:40.114]  He had dinner at my barn recently.
[01:02:40.134 --> 01:02:40.674]  We were talking about this.
[01:02:41.375 --> 01:02:42.015]  How'd you do that?
[01:02:42.035 --> 01:02:42.876]  I don't know.
[01:02:43.396 --> 01:02:43.917]  He just came to me.
[01:02:45.131 --> 01:02:46.552]  And that's real.
[01:02:46.912 --> 01:02:48.714]  And that's not a new phenomenon.
[01:02:48.774 --> 01:02:49.774]  It's happened throughout history.
[01:02:49.794 --> 01:02:50.835]  There are people called prophets.
[01:02:51.596 --> 01:02:53.557]  And there are people who were prophets who weren't called prophets.
[01:02:53.577 --> 01:03:02.183]  But there are people who have information or parts of information, bits of information, visions of information come to them and then they relay it.
[01:03:02.563 --> 01:03:03.484]  It's not from them.
[01:03:04.024 --> 01:03:04.665]  They received it.
[01:03:05.245 --> 01:03:08.988]  This is one of the oldest phenomena in human history.
[01:03:09.389 --> 01:03:14.473]  Those people tend to be a little crazy, a little unbalanced, a little different from everybody else.
[01:03:14.994 --> 01:03:15.674]  Do you know what I mean?
[01:03:15.714 --> 01:03:18.817]  They live on locusts and honey in the wilderness.
[01:03:19.578 --> 01:03:21.279]  They're not like everybody else.
[01:03:22.420 --> 01:03:26.684]  I'm not saying that everything that Alex Jones says is a prophecy from God.
[01:03:26.744 --> 01:03:27.145]  It's not.
[01:03:27.925 --> 01:03:29.866]  But that was prophetic.
[01:03:30.446 --> 01:03:35.008]  And if it wasn't, tell me how it wasn't.
[01:03:35.048 --> 01:03:38.429]  I lived in Washington in July of 2001.
[01:03:39.370 --> 01:03:40.430]  My dad worked in the government.
[01:03:40.510 --> 01:03:44.191]  I was as well informed as anybody could be about what was going on in the government.
[01:03:44.211 --> 01:03:46.092]  I've always been interested in what's happening in other countries.
[01:03:46.792 --> 01:03:47.913]  I was aware of Osama Bin Laden.
[01:03:47.953 --> 01:03:48.773]  I knew about the Taliban.
[01:03:48.813 --> 01:03:50.134]  I knew more than most people.
[01:03:50.774 --> 01:03:55.017]  There's not one person who was saying, not one person in Washington, D.C.
[01:03:55.057 --> 01:04:00.862]  was saying, you know, at some point soon, they may fly airplanes into the World Trade Centers and blame Osama Bin Laden.
[01:04:00.882 --> 01:04:02.023]  Like, that just wasn't a thing.
[01:04:02.603 --> 01:04:06.786]  So if you said that multiple times on camera, there's a reason.
[01:04:07.347 --> 01:04:12.571]  I've said this to 50 people, what I just said to you, and they all look at me like, that's stupid.
[01:04:12.711 --> 01:04:13.532]  Tell me how it's stupid.
[01:04:13.912 --> 01:04:14.853]  Tell me how he did that.
[01:04:15.848 --> 01:04:17.208]  Like, that's impossible, actually.
[01:04:17.228 --> 01:04:18.689]  He didn't just do it with that, either.
[01:04:18.709 --> 01:04:19.589]  No, I'm aware.
[01:04:19.709 --> 01:04:20.970]  He's done it with a lot of things.
[01:04:21.350 --> 01:04:37.515]  Today, in 2002, there is a tyrannical organization calling itself the New World Order, pushing for worldwide government, a cashless society, open borders, total and complete tyranny.
[01:04:37.955 --> 01:04:51.638]  A Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, and the forced vaccines, and the hell we're already living in that's just going to continue to intensify until we take our governments back.
[01:04:52.138 --> 01:04:54.099]  You're not going to be able to go to the ballgames anymore.
[01:04:54.979 --> 01:04:57.320]  You're not going to be able to just go out and get drunk with your friends.
[01:04:57.340 --> 01:05:01.921]  You're not going to be able to just, you know, go out... We'll take some brain force and then we'll do this commercial.
[01:05:01.961 --> 01:05:02.421]  How about that?
[01:05:03.993 --> 01:05:05.614]  Mmm, I can think again.
[01:05:06.014 --> 01:05:12.276]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[01:05:12.556 --> 01:05:18.599]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff, and I have an incredibly demanding job.
[01:05:18.679 --> 01:05:25.922]  But you make it easy by going to InfoWarsStore.com, and of course, InfoWarsStore.com makes it easy by supplying me with Brain Force Ultra.
[01:05:25.982 --> 01:05:31.544]  I rely on this product to do my job on a daily basis, because it's absolutely jam-packed with incredible ingredients.
[01:05:31.744 --> 01:05:39.189]  Brain Force Ultra is now back in stock at InfoWarsStore.com and get it now because this stuff sells out fast for very good reason.
[01:05:39.229 --> 01:05:40.450]  It's a fantastic supplement.
[01:05:40.470 --> 01:05:44.532]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[01:05:44.612 --> 01:05:46.393]  Go check out what's in Brain Force Ultra.
[01:05:46.433 --> 01:05:52.837]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus, and energy.
[01:05:53.118 --> 01:05:55.059]  Now on sale at InfoWarsStore.com.
[01:05:55.099 --> 01:05:57.781]  Brain Force Ultra is now on sale at InfoWarsStore.com.
[01:06:16.994 --> 01:06:26.963]  Welcome back to the Alex Jones Show, folks.
[01:06:27.063 --> 01:06:33.128]  I have the great Harrison Smith, whom I owe my life, in studio today, and we're going to talk about so much.
[01:06:33.148 --> 01:06:37.993]  We're going to talk about breaking news, we're going to debrief a little bit on the debate yesterday regarding the Flat Earth.
[01:06:38.133 --> 01:06:42.516]  It was really iconic, historical, but we were showing that
[01:06:43.479 --> 01:06:43.679]  That's
[01:07:06.315 --> 01:07:06.696]  We're good to go.
[01:07:22.329 --> 01:07:30.516]  For every time that it came up on air by Alex Jones in 2001, and the first time he mentioned it was March 6th, 2001.
[01:07:30.937 --> 01:07:36.081]  I want to run this clip just to prove that he did not steal his prediction of 9-11 from William Cooper.
[01:07:36.421 --> 01:07:39.884]  He actually predicted it before William Cooper did on March 6th.
[01:07:39.904 --> 01:07:40.825]  Let's run this short clip here.
[01:07:44.472 --> 01:07:49.056]  Alex Jones first predicted the September 11th attack on the World Trade Center.
[01:07:49.236 --> 01:07:59.525]  You've got an element of the FBI and these war game scenarios where they can remote control a 747 and they're going to crash it into the World Trade Center.
[01:08:00.345 --> 01:08:06.451]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[01:08:06.851 --> 01:08:11.455]  Visit InfoWars.com forward slash show and share the link today.
[01:08:11.795 --> 01:08:15.037]  Harrison, you've been working with Alex Jones for a number of years now.
[01:08:15.177 --> 01:08:16.278]  At least five years, right?
[01:08:16.298 --> 01:08:18.620]  Yeah, more like seven, I think, yeah.
[01:08:18.840 --> 01:08:19.761]  Wow, seven years.
[01:08:19.941 --> 01:08:20.341]  I know.
[01:08:20.361 --> 01:08:23.043]  You've been working with Alex Jones longer than I've been married to my wife.
[01:08:23.944 --> 01:08:25.425]  That's... You gotta celebrate your anniversary.
[01:08:26.065 --> 01:08:27.266]  You know what your first day was?
[01:08:27.326 --> 01:08:27.806]  February.
[01:08:27.826 --> 01:08:28.647]  It was February 2017.
[01:08:28.687 --> 01:08:31.789]  So it was right after Trump got inaugurated.
[01:08:31.809 --> 01:08:32.970]  I thought, this is it.
[01:08:33.050 --> 01:08:33.951]  Time to get involved.
[01:08:34.685 --> 01:08:35.845]  Now, what do you think?
[01:08:36.045 --> 01:08:47.429]  Obviously, I watched that clip of Tucker Carlson talking about Alex Jones with Joe Rogan for the first time next to Alex in the office back there, and it was both our first times watching.
[01:08:47.449 --> 01:08:54.131]  Apparently, Tucker had texted Alex and said, Hey, I say some nice things about you at 2 hours and 10 minutes in, so we watched it together.
[01:08:54.151 --> 01:08:55.352]  And I said,
[01:08:56.232 --> 01:09:01.879]  Oh, the title of the clip has to be, Tucker Carlson says Alex Jones is a prophet, and he's all humble about it.
[01:09:02.019 --> 01:09:06.544]  Oh, no, don't put that, you know, because he's really sensitive about being glorified as divine.
[01:09:06.784 --> 01:09:07.845]  He doesn't want to be a cult leader.
[01:09:07.905 --> 01:09:09.607]  He's repeatedly like, I don't want people to worship.
[01:09:09.627 --> 01:09:13.452]  You know, he's very humble about it and does not want to go down that road.
[01:09:13.792 --> 01:09:13.932]  Yeah.
[01:09:13.972 --> 01:09:16.514]  But he really has been prophetic.
[01:09:16.554 --> 01:09:19.836]  And I don't know if it's reason or divine inspiration.
[01:09:19.856 --> 01:09:27.022]  I think that he just was one of the only people looking at all the pieces of the puzzle before it was really easy to find all the pieces.
[01:09:27.082 --> 01:09:30.824]  He was actually going to libraries, reading documents, very well read in history.
[01:09:30.844 --> 01:09:36.989]  And when you have, the more pieces you have, the higher resolution of an image you can get for what the plan is and what's going to happen.
[01:09:37.449 --> 01:09:39.751]  What are your thoughts having worked for him for seven years now?
[01:09:40.211 --> 01:09:46.413]  As far as his process is concerned and his ability to repeatedly predict things years in advance.
[01:09:47.513 --> 01:09:51.034]  Yeah, well that was sort of the theme of the show this morning, American Journal.
[01:09:51.454 --> 01:09:59.757]  It was just all of these stories and each one related to predictions that have been made about where the New World Order was going and where it's taking us and how they're doing it.
[01:10:00.357 --> 01:10:02.017]  And the fact is that it's already here.
[01:10:02.278 --> 01:10:04.898]  Alex has been predicting this stuff for 30 years.
[01:10:04.918 --> 01:10:06.899]  30 years and like a week at this point.
[01:10:08.157 --> 01:10:09.578]  And it's all come to fruition.
[01:10:09.638 --> 01:10:14.721]  I mean, it's not a matter of if we're going to have global government.
[01:10:14.761 --> 01:10:15.942]  Global government exists.
[01:10:15.982 --> 01:10:17.383]  It's called the World Economic Forum.
[01:10:17.423 --> 01:10:18.624]  That's one form of it.
[01:10:18.704 --> 01:10:27.290]  But you have billionaires and world elite and world leaders coming together in a Congress, meeting together, setting policy, and then dispersing to their various, you know,
[01:10:27.870 --> 01:10:28.491]  We're good to go.
[01:10:46.611 --> 01:10:46.992]  A.I.
[01:10:47.112 --> 01:10:50.116]  is probably already making major decisions worldwide.
[01:10:50.197 --> 01:10:53.241]  A lot of their policies are already being dictated by A.I.
[01:10:53.261 --> 01:10:53.922]  People think A.I.
[01:10:53.942 --> 01:10:54.903]  is a threat that's coming.
[01:10:55.584 --> 01:10:55.785]  A.I.
[01:10:55.825 --> 01:10:56.766]  is already here.
[01:10:56.786 --> 01:10:59.510]  We had a caller who talked about the Aladdin A.I.
[01:10:59.550 --> 01:11:02.454]  that BlackRock uses to determine financial policy.
[01:11:02.995 --> 01:11:11.098]  So whether it's AI or global governance or medical tyranny, any of these things that Alex Jones has been warning about for 30 years, they're already implemented.
[01:11:11.138 --> 01:11:12.319]  These aren't warnings anymore.
[01:11:12.379 --> 01:11:15.740]  These aren't prognostications for what comes ahead.
[01:11:16.100 --> 01:11:18.561]  This is just reality at this point.
[01:11:18.681 --> 01:11:20.082]  So you should have listened before.
[01:11:20.522 --> 01:11:27.045]  But yeah, I think the reason Alex doesn't want to be treated as a prophet or doesn't want to be called a prophet or anything like that, because that sort of
[01:11:27.865 --> 01:11:31.407]  Implies that you have to have some supernatural ability to do this.
[01:11:31.907 --> 01:11:33.248]  I think it is just a matter of logic.
[01:11:33.288 --> 01:11:36.630]  I think it's a matter of both logic and skepticism, right?
[01:11:36.890 --> 01:11:39.451]  You take a look at where things are going.
[01:11:39.471 --> 01:11:43.213]  You simply plot out the trajectory in your head without any intervention.
[01:11:43.253 --> 01:11:44.414]  Here's where we're going to end up.
[01:11:45.054 --> 01:11:46.675]  And so that's logic.
[01:11:46.695 --> 01:11:49.797]  And then the skepticism part, it's almost worse than skepticism.
[01:11:49.997 --> 01:11:51.237]  Cynicism might be a better word.
[01:11:52.778 --> 01:12:04.624]  I feel like I'm able to predict things fairly accurately by just thinking, okay, what if, just let's put ourselves in the mindset of what if the world is run by a cabal of psychopath criminals, what would they do?
[01:12:05.164 --> 01:12:06.905]  And that turns out to be what actually happened.
[01:12:06.945 --> 01:12:15.389]  So as long as you recognize both what's going on, the things that are hidden from you, you discover them, you uncover the real truth behind the headlines,
[01:12:16.169 --> 01:12:25.592]  And you put that into a paradigm where you understand that the people that are running the world, let alone our country, are psychopathic, anti-human, murderous criminals.
[01:12:26.192 --> 01:12:29.654]  And yeah, you can actually predict the future pretty accurately, it seems.
[01:12:30.294 --> 01:12:34.175]  You know, I was in a X space a couple of weeks ago with Adrian Dittman.
[01:12:34.495 --> 01:12:39.177]  Adrian Dittman, of course, being the man that Alex Jones famously, repeatedly says is not Elon Musk.
[01:12:39.397 --> 01:12:39.497]  Right.
[01:12:39.517 --> 01:12:41.217]  Because he sounds exactly like Elon Musk.
[01:12:41.277 --> 01:12:42.578]  He seems an awful lot like Elon Musk.
[01:12:42.598 --> 01:12:45.339]  Yeah, and he's fascinating regardless of what the details are.
[01:12:46.303 --> 01:13:02.764]  We were talking a little bit about InfoWars versus other mainstream media outlets, and obviously with other mainstream media outlets, whether it's Fox or MSNBC, whether it's right-wing or left-wing, there is a completely different approach to news.
[01:13:04.167 --> 01:13:11.971]  At those other mainstream networks, you have a producer barking in your ear the whole time, and you have an editor, and you have top-down directives of talking points, right?
[01:13:12.651 --> 01:13:20.936]  And so, what you see, whether it's Megyn Kelly or Rachel Maddow or others, are a litany of valedictorian types.
[01:13:21.696 --> 01:13:24.737]  In front of the camera, who are very good at following instructions.
[01:13:24.757 --> 01:13:27.498]  These are the type of people that would have been straight-A students.
[01:13:27.538 --> 01:13:28.439]  They're very articulate.
[01:13:28.479 --> 01:13:29.179]  They're well-read.
[01:13:29.539 --> 01:13:30.259]  They can write well.
[01:13:30.299 --> 01:13:31.520]  They can speak well.
[01:13:31.860 --> 01:13:36.582]  And they can follow instructions, and they can cover the news according to whatever their producer says or the top-down says.
[01:13:37.062 --> 01:13:38.303]  And they're great at what they do.
[01:13:38.483 --> 01:13:39.583]  They're professionals in their own right.
[01:13:39.663 --> 01:13:40.804]  I would not be very good.
[01:13:41.764 --> 01:13:48.350]  At CNN or MSNBC, even if I tried my best, just because the nature of it is, it's counterintuitive to me.
[01:13:48.390 --> 01:13:52.114]  So this is more of an entrepreneurial bootstrap approach to news.
[01:13:52.514 --> 01:13:59.301]  And Adrian was mentioning, it was either Adrian or Ian Milestrong was mentioning, how do you go for three hours without a teleprompter, without preparing?
[01:13:59.341 --> 01:14:04.285]  I said, because there's no script, it's based on an algorithm.
[01:14:06.127 --> 01:14:09.369]  This actually becomes very easy to do after you understand the algorithm.
[01:14:09.389 --> 01:14:19.336]  So the assumption is that there is an effort to conglomerate all world power and that all of our political leaders are conspiring together in order to conglomerate that power in a globalist way.
[01:14:19.576 --> 01:14:22.738]  And so all you have to do is run the different news stories of the day.
[01:14:22.978 --> 01:14:23.779]  What do you think about that?
[01:14:47.395 --> 01:14:49.717]  Yeah, I think that's interesting, because what you're doing is working backwards.
[01:14:49.757 --> 01:14:51.459]  You know where we're headed.
[01:14:51.499 --> 01:14:52.700]  We're headed for global governance.
[01:14:52.720 --> 01:14:56.424]  We're headed for unelected, technocratic, bureaucratic prison planet.
[01:14:56.664 --> 01:15:00.628]  And you work backwards from there and just look at how all this stuff is leading us towards that.
[01:15:00.708 --> 01:15:04.032]  And obviously, if you start with that assumption, you find it confirmed over and over again.
[01:15:04.392 --> 01:15:09.757]  But I think more importantly, what the mainstream media's ultimate task is, is to tell the truth
[01:15:10.518 --> 01:15:12.039]  You know, the actual, the facts.
[01:15:12.059 --> 01:15:13.280]  They have to deliver the facts.
[01:15:13.320 --> 01:15:18.783]  That's, you know, incumbent on them upholding themselves as journalistic, you know.
[01:15:18.803 --> 01:15:19.544]  Incredible.
[01:15:19.844 --> 01:15:21.265]  Incredibly journalistic.
[01:15:22.711 --> 01:15:25.832]  They have to tell you the truth, but they want to leave you believing a lie.
[01:15:26.272 --> 01:15:34.234]  So I was going through a New York Times article today where, you know, everybody knows at this point, everybody recognizes that Donald Trump was spied on in 2016.
[01:15:34.594 --> 01:15:38.055]  It's not even a debate, it's not speculation whatsoever.
[01:15:38.415 --> 01:15:45.537]  But when they present it, they have to present it as Trump's claims that he believes that the Deep State spied on his campaign in 2016.
[01:15:47.037 --> 01:15:49.599]  And so, yeah, technically that's a fact, right?
[01:15:49.639 --> 01:15:50.900]  You'd pass a lie detector test.
[01:15:50.920 --> 01:15:55.864]  Yes, Trump believed that the spy agencies did that, but it's because they did.
[01:15:55.944 --> 01:15:57.045]  But they can't report it like that.
[01:15:57.065 --> 01:16:02.869]  They have to report it in a way that insinuates this is a crazy idea that Trump came up with, with no bearing on fact.
[01:16:04.150 --> 01:16:16.243]  The mainstream media's job is to tell the truth, believe you believing a lie, and importantly, they do a very good job of separating stories from one another, because that's what I think the main difference between InfoWars and everybody else is.
[01:16:16.263 --> 01:16:16.944]  They don't tell a whole story.
[01:16:16.964 --> 01:16:18.145]  They tell isolated stories.
[01:16:18.326 --> 01:16:18.626]  Exactly.
[01:16:18.646 --> 01:16:24.592]  They treat everything as isolated, and they want you to think, I mean, even just looking at, you know, headlines we have here now.
[01:16:25.740 --> 01:16:42.481]  If you treat the housing crisis where people can't afford houses anymore as distinct and separate and an economic issue and then you compare that with the lowering birth rates and if you think these things have
[01:16:43.001 --> 01:16:47.386]  Nothing to do with each other, then you're going to not really be able to come up with an answer for either.
[01:16:47.687 --> 01:16:58.219]  But if you understand that both of these are just different aspects of the same push towards globalism, the anti-human, you know, dehumanization, the getting rid of the middle class because they're the ones that stand up against
[01:16:59.540 --> 01:16:59.960]  Thank you.
[01:17:18.809 --> 01:17:35.662]  And these people are presented these stories as if they're separate and suddenly we're jumping from one to the other and can be disorienting and baffling, but the reality is all of these things are intricately intertwined and share, you know, a lot of similarities with one another in the way that they're implemented, the way that they're talked about, the way that they're carried out and the effect that they have on humanity itself.
[01:17:35.702 --> 01:17:36.863]  So I think that's the main difference.
[01:17:36.883 --> 01:17:40.686]  We actually connect these dots rather than just show you the dots as disseparate.
[01:17:41.226 --> 01:17:41.606]  I think so.
[01:17:59.738 --> 01:18:02.941]  Well, as you were talking, it made me think of just this as an example.
[01:18:02.981 --> 01:18:07.246]  We covered the Australian Prime Minister claiming that memes are misinformation.
[01:18:07.586 --> 01:18:13.932]  We covered Mitch McConnell coming out and saying that the reason people don't support Ukraine is because of Tucker Carlson.
[01:18:14.533 --> 01:18:15.874]  And now I want to show you this clip.
[01:18:16.795 --> 01:18:23.600]  Clip number, I believe 25, it's 40 seconds long or so, of Roseanne Barr triggering libs and hilarious video mocking Trump accuser E. Jean Carroll.
[01:18:23.921 --> 01:18:25.342]  Now, these are all three connected.
[01:18:25.382 --> 01:18:27.924]  So, you have somebody coming out saying memes are misinformation.
[01:18:28.244 --> 01:18:37.151]  You have Mitch McConnell coming out saying that a member of the press is responsible for our national security threat of almost not being able to fund Ukraine.
[01:18:37.171 --> 01:18:42.195]  And then you have this cancelled comedian, formerly cancelled comedian, triggering all the libs online.
[01:18:42.215 --> 01:18:43.977]  I mean, this is the type of stuff that they want to silence.
[01:18:43.997 --> 01:18:45.318]  Let's go ahead and run the clip and unpack it.
[01:18:46.787 --> 01:18:47.467]  What happened, Mom?
[01:18:48.188 --> 01:18:48.908]  Where's Bergdorf?
[01:18:48.988 --> 01:18:49.489]  Are you okay?
[01:18:49.829 --> 01:18:50.810]  You look very sad.
[01:18:50.910 --> 01:18:55.913]  No, I'm not okay because I just had a horrible flashback, a horrible memory.
[01:18:56.753 --> 01:18:59.735]  Right now, I realize that 26 years ago,
[01:19:03.539 --> 01:19:10.721]  Joe Biden raped me right here in that dressing room in the shoe department where I went in to change my shoes.
[01:19:10.901 --> 01:19:11.481]  Oh my God.
[01:19:11.561 --> 01:19:12.761]  He raped me right here.
[01:19:12.821 --> 01:19:13.701]  Joe Biden.
[01:19:14.162 --> 01:19:18.423]  He raped me right here in the shoe department of Bergdorf Goodman.
[01:19:18.903 --> 01:19:20.083]  Are you okay?
[01:19:20.143 --> 01:19:20.803]  No, I'm not.
[01:19:20.883 --> 01:19:21.803]  I need to sue.
[01:19:22.944 --> 01:19:23.704]  I need to sue.
[01:19:25.270 --> 01:19:27.372]  So obviously she's making fun of Eugene Carroll.
[01:19:28.092 --> 01:19:33.335]  But the backlash that she's faced, it ties into these three completely separate stories from all over the world.
[01:19:33.416 --> 01:19:38.559]  One in Australia, one in our own leadership here in the United States, obviously one just in the social media culture warfare.
[01:19:38.759 --> 01:19:42.942]  They do tie into one narrative, but the media would never report those three things at all, really.
[01:19:43.022 --> 01:19:46.444]  But they would never report them as part of a larger agenda or story.
[01:19:46.804 --> 01:19:53.850]  Yeah, and I think one of the best examples is, because you know, censorship is sort of the way they get away with everything.
[01:19:53.890 --> 01:20:02.056]  So, in order to understand the entire paradigm, like what we're up against, you have to understand how all of these things support one another.
[01:20:02.096 --> 01:20:10.002]  I mean, it is, truly it is an info war, and these are all various divisions and armies, but they're all, you know, supporting each other in the same mission.
[01:20:10.042 --> 01:20:10.923]  So, you know,
[01:20:11.443 --> 01:20:16.305]  If you look at, like, the destruction of Europe under, you know, with the immigration that's being caused.
[01:20:16.325 --> 01:20:27.628]  Well, it's like, the wars that America started, probably at the behest of Israel, that started the migrant crisis, which then caused the crime rate to skyrocket and has destroyed the economies of Europe.
[01:20:27.868 --> 01:20:35.931]  But you can't report on that because it's racism, so now they have to put in, you know, free speech or, you know, speech-limiting laws in order to stop people from
[01:20:36.531 --> 01:20:37.232]  I don't think so.
[01:21:00.189 --> 01:21:07.333]  And for any of it to exist, censorship is like the top of the list because you can get away with anything if nobody can talk about it.
[01:21:07.633 --> 01:21:07.953]  Right.
[01:21:08.113 --> 01:21:21.621]  So, you know, you have all these disseparate things going on, seemingly disseparate, but in reality they're intricately intertwined and all covered by the censorship because you can't speak out against what's going on because then maybe you could stop what's going on.
[01:21:21.941 --> 01:21:22.882]  And they like what's going on.
[01:21:22.962 --> 01:21:24.543]  And we've heard this reoccurring theme.
[01:21:24.683 --> 01:21:26.464]  We're going to run clip 26 here in a second, folks.
[01:21:27.344 --> 01:21:30.847]  This recurring theme of the rise in right-wing extremism.
[01:21:31.747 --> 01:21:45.138]  And famously, Joe Biden, in one of his earliest speeches as President of the United States, claimed that domestic terrorism was the greatest threat to national security, white supremacism the greatest threat to national security, and right-wing extremism along with that.
[01:21:45.638 --> 01:21:51.223]  Similarly, they use the distinction between MAGA Republicans and traditional Republicans
[01:21:51.923 --> 01:21:56.887]  As if MAGA Republicans are a barnacle on the side of the neocon establishment.
[01:21:57.567 --> 01:22:04.713]  And what frustrates me so much about that, Harrison, is I am somebody who is certainly opposed to right-wing extremism.
[01:22:04.833 --> 01:22:12.979]  And regardless of what you think about some of the details, I think we can both agree that in the 20th century it did go too far sometimes, right?
[01:22:13.539 --> 01:22:15.241]  Whether it was Mussolini or Hitler or whatever.
[01:22:17.302 --> 01:22:26.709]  The problem I have with it is they act like right-wing extremism is because of censorship or, not censorship, excuse me, misinformation or disinformation or just bigotry or hatred.
[01:22:26.729 --> 01:22:31.572]  They don't realize that it's their policies that create this sense of extremism.
[01:22:31.753 --> 01:22:33.614]  I have certainly been radicalized by the left.
[01:22:34.094 --> 01:22:38.355]  I have to cognitively, consciously check myself.
[01:22:38.735 --> 01:22:39.716]  Hold on, hold on.
[01:22:39.896 --> 01:22:41.056]  We can't hate these people.
[01:22:41.076 --> 01:22:42.256]  I have thoughts.
[01:22:42.496 --> 01:22:44.457]  I have thoughts of firing squads.
[01:22:44.817 --> 01:22:46.558]  I'm like, whoa, whoa, whoa.
[01:22:46.578 --> 01:22:48.058]  Don't lose yourself in this.
[01:22:48.458 --> 01:22:52.579]  This is from February 23rd, this post on Instagram.
[01:22:52.599 --> 01:22:54.120]  I'm going to read the caption and then we'll run the clip.
[01:22:54.540 --> 01:23:01.282]  Tuesday, days after hundreds of people gave a fascist salute at a rally in Rome, sparking widespread condemnation.
[01:23:02.834 --> 01:23:02.894]  I'm
[01:23:33.094 --> 01:23:39.876]  A voice shouting outside the frame raised their right arm in a salute that dates to the regime of Benito Mussolini, Italy's fascist dictator.
[01:23:39.916 --> 01:23:47.118]  Now, they appear to shout present three times in unison in response to someone yelling for all fallen comrades.
[01:23:47.398 --> 01:23:49.299]  So let's go ahead and run this clip and then unpack it.
[01:23:53.520 --> 01:23:54.320]  There they are shouting now.
[01:23:54.340 --> 01:23:59.902]  I don't know if you're getting any audio, but they're doing the Nazi salute.
[01:24:01.522 --> 01:24:01.923]  In unison.
[01:24:18.764 --> 01:24:25.669]  I'm not thinking, oh my goodness, it's a rise in bigotry, it's a rise in right-wing extremism, it's a rise in fascism.
[01:24:25.749 --> 01:24:40.838]  Obviously it is those things, but I think to myself, the policies of the globalists and the leftists all throughout the world, in the European Union and the United States, catalyze that type of event, inspire young men between 18 and 34 to go to that type of event.
[01:24:40.858 --> 01:24:43.440]  That's the demographic that the Nazis targeted successfully before 1933.
[01:24:45.041 --> 01:24:49.385]  And it's because they're allowing the invasion of their country that these fascists exist.
[01:24:49.626 --> 01:24:55.451]  Because fascism is the traditional response to a lack of patriotism to one's own country among their own leaders.
[01:24:55.491 --> 01:24:56.252]  This is the rebellion.
[01:24:56.492 --> 01:25:02.838]  And so, that's why I push for populism so much, because I want all of the strengths of nationalism.
[01:25:03.539 --> 01:25:07.901]  Without any of the vices of it, where you blame the wrong groups or the wrong people for the yells.
[01:25:07.921 --> 01:25:10.862]  Like, we need to understand that the enemy is the political class.
[01:25:10.922 --> 01:25:12.423]  It's not the person voting for the Democrats.
[01:25:12.443 --> 01:25:15.444]  It's the people who believe the lies, not the people who tell the lies.
[01:25:15.804 --> 01:25:17.565]  It's the political class that lies to us.
[01:25:17.885 --> 01:25:20.447]  And so when I see that, I'm frustrated at the left, not at the right.
[01:25:20.507 --> 01:25:20.987]  What do you think?
[01:25:21.867 --> 01:25:22.388]  Yeah, absolutely.
[01:25:22.428 --> 01:25:35.958]  Actually, we covered this today is why I went off on a little tangent about this on American Journal, again with that same New York Times article, because just like we see so often, they ignore the catalyst that causes the response.
[01:25:35.998 --> 01:25:37.419]  They only report on the response.
[01:25:37.819 --> 01:25:47.884]  And I associate it with, you know, what's going on with Israel, where they say, man, you know, anti-Israel sentiment has really skyrocketed ever since the October 7th Hamas attack.
[01:25:47.944 --> 01:25:55.788]  And so it's like, okay, if you go from the Hamas attack to a rise in anti-Semitism, yeah, that seems crazy, if you ignore all the actions of Israel in the meantime.
[01:25:55.848 --> 01:26:00.831]  If you leave that part out of the story, it paints a very scary picture, relating that to the way that they were
[01:26:01.551 --> 01:26:08.237]  Portraying Trump as this dangerous threat because he would be a president that was against the security agencies.
[01:26:08.277 --> 01:26:09.318]  And this is unprecedented.
[01:26:09.338 --> 01:26:10.419]  This has never happened before.
[01:26:10.439 --> 01:26:18.786]  And the way that they're presenting it is as if Trump just for no reason out of nowhere decided to hate the intelligence agencies.
[01:26:19.326 --> 01:26:23.750]  They never mentioned the fact that he was spied on, that the deep state started it essentially.
[01:26:23.790 --> 01:26:23.910]  Right.
[01:26:23.970 --> 01:26:29.635]  Why wouldn't you hire private intelligence after the establishment intelligence spied on your campaign just a couple months ago?
[01:26:29.775 --> 01:26:31.276]  Right, so they leave out that part.
