[00:00:00.289 --> 00:00:01.350]  I had two choices.
[00:21:18.681 --> 00:21:35.230]   InfoWarsTore.com and yes our great sponsor we should mark it down as a plug because you know we gotta pay for all our advertising and for my evil father And go to drjonesnaturals.com for all the nano silver products, all the great Comet Shell, the Top Brain, the Rocket Rest, all the great sleep support.
[00:21:35.250 --> 00:21:45.777]  I mean, there's just so many amazing products, next level, foundational energy, green fiber concentrate caps, really amazing products at drjonesnaturals.com.
[00:21:46.317 --> 00:21:49.379]  And again, that is also very, very critical to what we do.
[00:21:49.399 --> 00:21:50.160]  They're a great sponsor.
[00:21:50.360 --> 00:21:53.182]  But I want to give Chase Geiser a chance here.
[00:21:53.242 --> 00:21:54.783]  He was there, he was in the court, he saw it.
[00:21:55.786 --> 00:21:57.507]  If Mike wants to talk, probably done, he's driving.
[00:21:58.427 --> 00:22:04.109]  If Rob Aguero wants to, you guys go ahead.
[00:22:04.509 --> 00:22:10.151]  Alright, we're transferring over to Chase now.
[00:22:10.392 --> 00:22:11.592]  We're having an audio issue.
[00:22:12.732 --> 00:22:14.373]  Let's try to get the audio reconnected.
[00:22:15.073 --> 00:22:24.577]  Chase Geiser, Rob Aguero, we're both in the courtroom representing the InfoWars crew there today and feeding us updates along the path as well.
[00:22:25.839 --> 00:22:39.734]  And so, you know, the good news is with the extension of the runway, however long, that I still get more days with this crew that makes this show so special, the Alex Jones Show so special, with Harrison Smith, the American Journal, in the morning.
[00:22:40.095 --> 00:22:41.376]  I think we've got our audio back, Chase.
[00:22:41.396 --> 00:22:44.680]  We've got about two minutes left if you and Rob want to try to squeeze something in here.
[00:22:45.956 --> 00:22:49.660]  Yeah, I just want to say really quick that Alex did a great job summarizing everything.
[00:22:49.700 --> 00:22:50.722]  It's been a crazy day.
[00:22:50.742 --> 00:22:53.465]  I do want to mention, too, that it was amazing the amount of support.
[00:22:53.485 --> 00:22:56.669]  I've actually never been out in public with Alex before, believe it or not.
[00:22:58.334 --> 00:22:59.474]  Let's get Rob in here for a statement.
[00:22:59.494 --> 00:23:00.975]  Rob's been on my team for years.
[00:23:00.794 --> 00:23:06.574]   for allies people wanted to walk up to take pictures with them it was really a beautiful thing to see how many members of the community just happening to walk
[00:23:06.574 --> 00:23:13.474]   by we're saying things making remarks like I love Alex Jones so I really do think that this is a populist network with a populist message of free speech I
[00:23:13.474 --> 00:23:19.754]   think there's an awakening happening and I'm just really glad to hear that we're gonna have the opportunity to continue to broadcast for a foreseeable future
[00:23:19.754 --> 00:23:30.714]   let's get Rob in here for a statement Rob's been on my team for years go ahead Rob or we'll get the we'll get the audio connected there
[00:23:30.793 --> 00:23:31.814]  Rob, go ahead.
[00:23:35.036 --> 00:23:35.457]  Hey guys.
[00:23:36.278 --> 00:23:37.779]  Yeah, it was a big win for us today.
[00:23:37.799 --> 00:23:40.862]  A big win for free speech and I'm just happy to be a part of it.
[00:23:41.522 --> 00:23:50.530]  And that's the biggest thing is that the fans came out to show support and it was crazy that they saw the address on TV and were like, you know what?
[00:23:50.891 --> 00:23:51.792]  We're going to show up.
[00:23:51.812 --> 00:23:53.233]  So that was amazing.
[00:23:55.307 --> 00:23:59.831]  All right, well, it's great that I'm going to see you guys shortly.
[00:24:00.131 --> 00:24:00.731]  I know that.
[00:24:01.212 --> 00:24:02.613]  We'll be seeing you guys shortly.
[00:24:02.893 --> 00:24:06.035]  And for the time being, we'll be doing more shows here together.
[00:24:06.276 --> 00:24:08.898]  And so that's a meaningful development from today.
[00:24:09.598 --> 00:24:15.163]  And I don't know if Alex wants to make a closing statement, or I know Alex... I want to say, I want to thank the viewers for their support.
[00:24:15.183 --> 00:24:17.805]  I want to thank the job that he's been doing.
[00:24:17.965 --> 00:24:19.806]  Sorry, I know this is all crazy.
[00:24:20.246 --> 00:24:21.467]  I love everybody.
[00:24:22.228 --> 00:24:23.609]  I'll be able to be on at 10 a.m.
[00:24:23.649 --> 00:24:24.029]  tomorrow.
[00:24:25.854 --> 00:24:28.435]  For an emergency show, I would have been off the air today.
[00:24:28.956 --> 00:24:30.656]  The judge had to come through and done the right thing.
[00:24:30.676 --> 00:24:32.717]  So, we've lived to fight another day.
[00:24:32.737 --> 00:24:33.798]  I salute everybody.
[00:24:33.858 --> 00:24:34.558]  I praise God.
[00:24:34.618 --> 00:24:35.799]  I praise everybody for their support.
[00:24:36.159 --> 00:24:36.859]  I love you all.
[00:24:37.980 --> 00:24:39.000]  I love the listeners and viewers.
[00:24:39.261 --> 00:24:39.901]  We're a family.
[00:24:40.241 --> 00:24:41.962]  Old, young, black, white, Hispanic.
[00:24:42.002 --> 00:24:42.742]  We all love God.
[00:24:42.782 --> 00:24:43.483]  We all love justice.
[00:24:43.883 --> 00:24:44.943]  And I love all the folks that came out.
[00:24:45.223 --> 00:24:46.704]  And we're gonna keep fighting to the end.
[00:24:47.024 --> 00:24:47.885]  Thank you so much, Owen.
[00:24:48.065 --> 00:24:48.985]  And you said 10 a.m.
[00:24:49.025 --> 00:24:50.146]  tomorrow right here in studio?
[00:24:52.521 --> 00:24:54.844]  Oh yeah, we gotta celebrate the fact that we're not dead yet!
[00:24:56.385 --> 00:24:59.529]  They're gonna come even harder, and that's okay, we're gonna come even harder, that's what it's all about.
[00:24:59.629 --> 00:25:03.793]  And then, uh, and then I know you're on a top secret mission after that, and I'll just leave it.
[00:25:03.853 --> 00:25:04.334]  That does it!
[00:25:04.394 --> 00:25:05.735]  Wow, okay, what a week!
[00:25:06.176 --> 00:25:06.816]  What a show!
[00:25:07.577 --> 00:25:08.318]  InfoWars!
[00:25:09.379 --> 00:25:10.120]  Not dead yet!
[00:25:10.200 --> 00:25:11.681]  Hold on, hold on, I'm checking the pulse.
[00:25:11.781 --> 00:25:12.281]  Yep.
[00:25:12.281 --> 00:25:14.901]  Still got one.
[00:25:14.901 --> 00:25:18.781]   When we came out with Nitric Boost three years ago, it was a sleeper product.
[00:25:18.781 --> 00:25:19.861]  I didn't even promote it.
[00:25:19.861 --> 00:25:23.981]   But as listeners began to use it, it has become one of our top selling products
[00:25:23.981 --> 00:25:26.162]  because of the incredible results they get.
[00:25:26.162 --> 00:25:32.061]   If you want to give your cardiovascular system a leg up, if you want to go in and help clean out and purify
[00:25:32.061 --> 00:25:36.942]   your blood, ladies and gentlemen, Nitric Boost is the way to go.
[00:25:35.881 --> 00:25:38.803]  You've heard Dr. Judy Mikovits talk about how it's an amazing formula.
[00:25:39.104 --> 00:25:40.625]  This is what she's recommended to people.
[00:25:41.005 --> 00:25:43.687]  Ladies and gentlemen, it does so many great things.
[00:25:44.308 --> 00:25:47.391]  Like, but you notice what happens in the morning if you're a man.
[00:25:47.411 --> 00:25:49.272]  I feel like I'm 16 years old again.
[00:25:49.572 --> 00:25:53.856]  When I was 16, I'd already had probably a... I hate to brag, so I'm not bragging.
[00:25:53.896 --> 00:25:54.657]  It's actually shameful.
[00:25:54.877 --> 00:25:56.438]  Probably 150 women or more.
[00:25:56.458 --> 00:25:57.399]  That's conservative.
[00:25:57.739 --> 00:25:59.440]  Nitric Boost is simply amazing.
[00:25:59.480 --> 00:26:00.681]  It's great for women as well.
[00:26:00.981 --> 00:26:05.085]  Get yours today at InfoWarsStore.com for 40% off.
[00:26:05.125 --> 00:26:11.069]  But that is a limited time sale, but right now it's 40% off at InfoWarsStore.com and I thank you all for your support.
