[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[01:03:35.086 --> 01:03:38.348]  Three of the other things, it's like, yeah, you're the bona fide real McCoy.
[01:03:38.628 --> 01:03:39.529]  And moving on from that,
[01:03:41.474 --> 01:03:42.775]  It's sexy to be free.
[01:03:43.476 --> 01:03:44.937]  People, we're humans, man.
[01:03:44.957 --> 01:03:45.877]  We want prosperity.
[01:03:46.098 --> 01:03:46.858]  That's why they hate Trump.
[01:03:46.878 --> 01:03:48.539]  He's not perfect, but he is into people.
[01:03:48.559 --> 01:03:52.623]  He's like, we're going to have beautiful hotels and golf courses and women and families.
[01:03:53.303 --> 01:03:55.405]  And the globalists don't like it because they're miserable scum.
[01:03:55.445 --> 01:03:56.626]  Liz Churchill, closing comment.
[01:04:00.408 --> 01:04:00.769]  She gone?
[01:04:02.323 --> 01:04:04.124]  She's still here, but she's muted.
[01:04:04.204 --> 01:04:05.244]  No, I'm here.
[01:04:05.264 --> 01:04:05.964]  Sorry, guys.
[01:04:06.004 --> 01:04:06.704]  I'm so sorry.
[01:04:06.764 --> 01:04:09.245]  I'm just gonna put in my earpiece.
[01:04:09.845 --> 01:04:24.589]  Well, what I'd like to say is that ultimately they want to shut you down because they don't want you talking about the criminal communists, the sadistic satanists, and all of the communist tyrants that have completely captured and corrupted your governments because the MSM has completely failed.
[01:04:25.089 --> 01:04:27.510]  They're murdering American people with their
[01:04:28.723 --> 01:04:32.846]  State-sanctioned vaccines that have killed more than 20 million people.
[01:04:32.886 --> 01:04:35.968]  You're the only person that's actually speaking about this.
[01:04:36.868 --> 01:04:41.031]  All of the other MSM propagandists are completely ignoring it.
[01:04:41.071 --> 01:04:43.672]  They're ignoring that the 2020 election was stolen.
[01:04:43.753 --> 01:04:47.235]  They're ignoring that it's a complete communist takeover.
[01:04:47.775 --> 01:04:53.799]  And so they have to take out the head commanders that scream from the rooftops because the demoralized public is
[01:04:54.565 --> 01:05:01.028]  You're going to choose the path of least resistance, and you're in a position where you do have a very loud voice, especially on this platform.
[01:05:01.128 --> 01:05:17.195]  So I think that going forward, we're all going to have to band together and work with what we've got, and that is the platform of X, because for some reason we're very lucky that we're able to speak like this, because if Elon Musk did not buy this platform, we would not be having this conversation.
[01:05:17.515 --> 01:05:18.216]  Well, that's right.
[01:05:18.276 --> 01:05:19.977]  I'm sick of attacks on Elon Musk.
[01:05:19.997 --> 01:05:23.098]  He is delivering and the people doing it want to be holier than thou.
[01:05:23.379 --> 01:05:23.919]  Screw them.
[01:05:24.459 --> 01:05:24.879]  That's it.
[01:05:24.960 --> 01:05:26.460]  I just believe in humanity.
[01:05:26.941 --> 01:05:28.301]  And people think that's weird.
[01:05:28.342 --> 01:05:29.842]  Why would I believe in our people?
[01:05:30.143 --> 01:05:34.965]  Well, and I think there's a secondary layer that needs to be appreciated about this as well.
[01:05:35.546 --> 01:05:40.489]  And I think you use Alex Jones, you use Donald Trump, you use Elon Musk as kind of the examples where
[01:05:41.169 --> 01:05:44.651]  I look at Alex Jones, there's no Owen Schroer without Alex Jones.
[01:05:44.671 --> 01:05:49.093]  I mean, I left sports media and I joined politics because I was inspired by Alex Jones.
[01:05:49.833 --> 01:05:53.155]  I think there's going to be a lot of politicians that feel the same way about Donald Trump.
[01:05:53.535 --> 01:05:58.257]  They were inspired by Donald Trump and now they want to get into politics and basically do what Donald Trump did.
[01:05:58.477 --> 01:05:59.798]  I think same thing with Elon Musk.
[01:05:59.818 --> 01:06:07.261]  I think you're going to have people in the tech world that are inspired by Elon Musk that are going to say, yeah, I'm an innovator, I'm building tech out of their pockets.
[01:06:07.461 --> 01:06:09.301]  Silicon Valley's jumping money on Trump right now.
[01:06:09.542 --> 01:06:12.322]  Because they see, wait, they can take his money, they're going to take ours.
[01:06:13.542 --> 01:06:21.164]  So the point is, it creates, there's a residual effect, there's a ripple effect where it inspires others.
[01:06:21.264 --> 01:06:22.845]  You know, George Washington inspires others.
[01:06:22.885 --> 01:06:24.025]  Yeah, humans aren't wimps.
[01:06:24.665 --> 01:06:26.946]  And once we're awake, we don't like getting pushed around.
[01:06:26.966 --> 01:06:27.526]  We like to fight.
[01:06:28.430 --> 01:06:38.973]  Well, and part of what I don't like about the nitpicking about Donald Trump or Elon Musk is we've been through some crap because of what we've done, and then to have people on our side go, ah, that's all fair.
[01:06:38.993 --> 01:06:41.053]  Yeah, let's attack the enemies that are out in the open.
[01:06:41.293 --> 01:06:45.854]  Don't attack people that are giving us fucking attack mode, fucking bomb the enemy.
[01:06:46.154 --> 01:06:51.055]  Elon Musk has opened us up to scorch their ass, and we're going to sit around and say, he could have done this better.
[01:06:51.135 --> 01:06:52.216]  Bullshit, man!
[01:06:52.236 --> 01:06:53.256]  Bullshit!
[01:06:54.196 --> 01:07:00.538]  He says for me, I'm fucking annihilating the enemy right now, and I'll take that window to drop these bombs any day.
[01:07:00.978 --> 01:07:08.340]  Because when people are inspired by Elon Musk, they need to know, hey, it's going to be a tough road, they're going to attack me, but hey, at least the people have my back.
[01:07:08.380 --> 01:07:10.800]  At least people that see what's going on know what I'm standing up for.
[01:07:10.820 --> 01:07:11.520]  And what does Elon say?
[01:07:11.560 --> 01:07:13.241]  He says, the globals are going to kill everybody.
[01:07:13.941 --> 01:07:14.501]  Their plan?
[01:07:14.521 --> 01:07:16.101]  They think they're going to kill all of us?
[01:07:16.141 --> 01:07:16.882]  They won't get killed?
[01:07:17.022 --> 01:07:18.262]  Elon's like, this ain't working.
[01:07:19.062 --> 01:07:20.843]  For him, it's a very pragmatic statement.
[01:07:21.343 --> 01:07:22.263]  Sorry, go ahead, I'm interrupting.
[01:07:22.423 --> 01:07:26.506]  No, I just want to say the final thing is I think people need to understand this is what tyranny looks like.
[01:07:26.546 --> 01:07:32.930]  People think that if tyranny isn't in jackboots marching in, you know, lockstep goose stepping, then it's not tyranny.
[01:07:32.970 --> 01:07:34.171]  No, this is what tyranny looks like.
[01:07:34.191 --> 01:07:35.952]  It looks like filings in courts.
[01:07:36.012 --> 01:07:37.152]  It looks like show trials.
[01:07:37.172 --> 01:07:38.773]  People think, well, it's a trial though.
[01:07:38.813 --> 01:07:39.674]  How could this be tyranny?
[01:07:39.694 --> 01:07:40.274]  He had a trial.
[01:07:40.475 --> 01:07:42.656]  Hitler, his first seven years was show trials.
[01:07:42.976 --> 01:07:47.921]  Hitler had trial, Stalin had trial, of course they have trial, of course they have to look like tyranny, make it look like it's legitimate.
[01:07:47.941 --> 01:07:49.262]  That's what tyranny looks like.
[01:07:49.302 --> 01:07:55.388]  So what we're seeing right now, the way they're trying to shut down Infowars, the way they're going after Donald Trump, this is what tyranny looks like.
[01:07:56.509 --> 01:07:59.352]  Don't be looking for the swastika and the goose-stepping soldiers.
[01:07:59.512 --> 01:08:00.673]  It's happening right now all around you.
[01:08:00.693 --> 01:08:04.456]  And maybe this is the moment of, oh this can't happen in America, this will never happen in America.
[01:08:05.509 --> 01:08:12.055]  You know, this makes me think about this conversation that you were having yesterday, Alex, with Eddie Bravo and David Weiss on your show.
[01:08:12.075 --> 01:08:13.616]  It was a great hour, very entertaining.
[01:08:13.956 --> 01:08:17.719]  They're talking about the conspiracy theory around, I think it was, is it Tartaria?
[01:08:17.959 --> 01:08:24.605]  The ancient civilization that supposedly existed in North America that was wiped out and kept secret from us.
[01:08:25.045 --> 01:08:28.729]  If you look at the history of architecture, basically the world over,
[01:08:29.389 --> 01:08:36.551]  Incredible architecture was created by civilizations over the last 500 years specifically, even for subjects.
[01:08:36.591 --> 01:08:49.435]  So when India was basically colonized by England, even some of their public infrastructure, their train stations, their public buildings, were magnificent because there was a respect for humanity.
[01:08:49.455 --> 01:08:52.976]  And this ties in directly to what you were talking about with Elon Musk.
[01:08:53.016 --> 01:08:54.377]  Buildings were all temples.
[01:08:54.537 --> 01:08:56.917]  Yes, until the nuke dropped.
[01:08:57.057 --> 01:08:58.738]  Ever since we've had nuclear power,
[01:08:59.418 --> 01:09:01.420]  All of our buildings have been made to be temporary.
[01:09:01.440 --> 01:09:03.662]  You go to the DMV, it's just disheartening and soulless.
[01:09:03.702 --> 01:09:04.522]  There was a shift.
[01:09:04.822 --> 01:09:25.199]  Humanity suddenly became cheap when this military-industrial complex, this intelligence community took over and approached this utilitarian philosophy, this Machiavellian philosophy that it's okay to kill a thousand innocent people if it's going to save ten thousand innocent people, or it's okay to allow terrorist attacks to happen on the World Trade Center if it's going to get us involved in wars that are going to protect the global reserve currency status of the dollar.
[01:09:25.559 --> 01:09:28.822]  This is a real shift that's happening and it really does boil down to
[01:09:29.122 --> 01:09:30.703]  The anti-humanist versus the humanist.
[01:09:30.723 --> 01:09:31.363]  I just wanted to add that.
[01:09:31.383 --> 01:09:32.364]  Well, and I think... No, you're right.
[01:09:32.404 --> 01:09:33.445]  The CI came out in the 60s.
[01:09:33.505 --> 01:09:36.907]  He left us in the 80s with ugly architecture to demoralize us.
[01:09:36.947 --> 01:09:38.768]  Beautiful architecture lifts us up.
[01:09:38.888 --> 01:09:39.829]  Well, I think that...
[01:09:40.916 --> 01:09:51.545]  The importance of the monoliths and the wonders of the world and the ancient buildings of the world, the importance is really that it disproves human evolution.
[01:09:51.585 --> 01:09:56.209]  The theory of evolution has actually been completely disproven by 10,000, 20,000 year old, some older
[01:09:59.712 --> 01:10:00.972]  Engineering and architecture.
[01:10:01.013 --> 01:10:02.233]  It's been completely disproven.
[01:10:02.253 --> 01:10:04.394]  But they want you to think that you're not special.
[01:10:04.694 --> 01:10:07.074]  They want you to think that you evolved from a squirrel turd.
[01:10:07.294 --> 01:10:09.675]  They want you to think that, oh, we've got it all figured out.
[01:10:09.735 --> 01:10:12.536]  You're just randomly here on this rock floating through space.
[01:10:12.596 --> 01:10:15.137]  It's basically a life raft, so we have to have this managerial thing.
[01:10:15.397 --> 01:10:16.857]  So again, it all comes back to that.
[01:10:16.897 --> 01:10:18.098]  It all comes back to control.
[01:10:18.418 --> 01:10:21.479]  They made, they completely fabricated the theory of evolution.
[01:10:21.719 --> 01:10:25.260]  And that's not to say there isn't some element of evolution of life on this planet.
[01:10:26.480 --> 01:10:30.304]  Humanity did not evolve over time from another animal.
[01:10:30.684 --> 01:10:33.246]  There is a divine creation behind humanity.
[01:10:33.266 --> 01:10:34.707]  You want to debate what it is, fine.
[01:10:34.988 --> 01:10:41.393]  But it's been proven that humanity has been the advanced species on this planet for tens of thousands of years.
[01:10:41.413 --> 01:10:43.215]  And what we envision, we build, we're amazing.
[01:10:43.375 --> 01:10:44.256]  Celebrate humanity.
[01:10:44.576 --> 01:10:45.196]  Don't attack it.
[01:10:45.236 --> 01:10:46.297]  Don't say it's the killing of the Earth.
[01:10:46.638 --> 01:10:48.059]  So let's go to more spacious commenters.
[01:10:52.336 --> 01:10:53.716]  Viva, go ahead and speak if you've got something to say.
[01:10:53.736 --> 01:10:54.197]  Sorry about that.
[01:10:54.237 --> 01:10:55.337]  We had you muted on the broadcast.
[01:10:55.357 --> 01:10:56.037]  Go ahead and start over.
[01:10:56.057 --> 01:10:58.278]  Okay, no, don't worry about it.
[01:10:58.338 --> 01:11:01.138]  I just said I wanted to squeeze in because I might not be able to talk in five minutes.
[01:11:01.418 --> 01:11:02.219]  I heard what's going on.
[01:11:02.279 --> 01:11:05.700]  I'm trying to piece it together because I understand the broad details of this.
[01:11:06.160 --> 01:11:16.282]  Alex, during your trial, they made it clear that these defamation, these intentional infliction of emotional distress cases were not about any form of compensation for any form of injury.
[01:11:16.602 --> 01:11:18.423]  It was about shutting you down and shutting you up.
[01:11:19.243 --> 01:11:35.615]  The problem, and you touched on it, and I've been saying that this is where it's going to go for a while in terms of how they're going to legislate out Rumble's ability and Twitter's ability to promote free speech and to allow people who have been de-platformed by the legacy platforms to be compelled to be de-platformed on these new ones.
[01:11:37.316 --> 01:11:43.161]  I once posted a clip of my interview, one of my bits, on InfoWars on YouTube, on my channel.
[01:11:43.521 --> 01:11:47.784]  And they took it down because they said it was circumventing a ban on Alex Jones.
[01:11:48.720 --> 01:11:57.954]  That's the way legacy media has been preventing even others from sharing their own content on the legacy platforms by virtue of the bans and circumventing bans.
[01:11:58.630 --> 01:12:09.676]  They are going to, after they try to do this to you, and there's no coincidence that they've been empowered by these sham, manufactured convictions of Trump, that this is pretextual.
[01:12:10.057 --> 01:12:20.823]  They think that they now have the precedent that's been set for one sham of a conviction to go through some procedure, to now go through with lawfare to shut you down because they never wanted money from you, they wanted silence from you.
[01:12:21.303 --> 01:12:22.724]  They're going to, I suspect,
[01:12:23.224 --> 01:12:29.310]  Find a way to criminalize or penalize or legislate the prohibition of rebroadcasting your content.
[01:12:30.130 --> 01:12:33.473]  I don't want to make this all about me, but you guys are here.
[01:12:33.554 --> 01:12:34.134]  You've seen it.
[01:12:34.214 --> 01:12:35.315]  You've seen the calls come in.
[01:12:35.735 --> 01:12:38.178]  I'm not like trying to have some hype thing or some deal.
[01:12:39.622 --> 01:12:40.443]  We had plenty of money.
[01:12:40.503 --> 01:12:41.503]  This company's solvent.
[01:12:41.643 --> 01:12:43.285]  They don't shut down companies that have money.
[01:12:43.485 --> 01:12:44.625]  They don't want to settle.
[01:12:44.986 --> 01:12:46.287]  They said they're not going to settle.
[01:12:47.067 --> 01:12:49.489]  And then... They literally said, shut him down!
[01:12:49.669 --> 01:12:50.670]  They said, we'll take him off the air.
[01:12:50.730 --> 01:12:53.992]  So then, we tried to... Let me give you one of the answers, let me tell you.
[01:12:56.209 --> 01:13:00.956]  My dad has a lien on this because he still owed some money, a money he never got out.
[01:13:01.537 --> 01:13:02.719]  I might tell my dad what to do.
[01:13:02.779 --> 01:13:03.760]  I talk about it like once a week.
[01:13:04.101 --> 01:13:06.384]  I'm sorry, I love my dad, but I might hang out with my parents all day.
[01:13:06.704 --> 01:13:08.187]  Maybe have dinner like once a month.
[01:13:08.207 --> 01:13:09.068]  I love my parents.
[01:13:09.088 --> 01:13:10.750]  I got my own life going on there.
[01:13:11.471 --> 01:13:17.675]  And my dad's lawyer files a thing last week saying, we want to have a hearing because we want to keep this in federal court.
[01:13:17.715 --> 01:13:21.438]  The judge says on the 14th he's kicking it out and we want to like keep this going.
[01:13:21.958 --> 01:13:29.984]  And then the CRO files a deal to shut us down yesterday because the judge said he's giving me the company back on the 14th.
[01:13:30.404 --> 01:13:34.067]  So that's not, I'm not a lawyer, that's very clear.
[01:13:35.208 --> 01:13:37.512]  That I said to my lawyers, he's about to close the company.
[01:13:37.532 --> 01:13:38.534]  And they're like, oh, that's crazy.
[01:13:38.574 --> 01:13:39.115]  You never do that.
[01:13:39.516 --> 01:13:41.880]  And then he tells the security, close the doors, kick us out.
[01:13:43.102 --> 01:13:44.324]  His lawyers tell him, don't do it.
[01:13:44.624 --> 01:13:46.387]  This is like desperation, Viva Fry.
[01:13:46.407 --> 01:13:47.069]  What do you think's going on?
[01:13:48.453 --> 01:13:49.834]  Well, it's even worse than that.
[01:13:50.094 --> 01:13:53.876]  It's not just that it's not in the best interest of the litigious creditors.
[01:13:54.276 --> 01:13:58.759]  It's against their interest to shut down the viable money-making enterprise.
[01:13:58.999 --> 01:14:02.661]  And so it violates the fiduciary obligations that they have towards the creditors.
[01:14:03.861 --> 01:14:04.622]  Exactly!
[01:14:04.802 --> 01:14:05.482]  Exactly!
[01:14:05.542 --> 01:14:06.523]  This is crazy!
[01:14:09.058 --> 01:14:16.963]  There's no question it's crazy and I'm sure your attorneys will raise that argument because it's not... How does it benefit the creditors if they're bonafide?
[01:14:17.023 --> 01:14:22.527]  But I'm just telling you, Trump being convicted, not just my show, I'm talking to all these other big people, all hell broke loose.
[01:14:22.547 --> 01:14:26.109]  The globalists have launched some type of attack because it's happening...
[01:14:27.665 --> 01:14:30.146]  Well let me tell you what happened, because I can say this because they were dumb enough
[01:14:54.699 --> 01:15:01.787]  In not a three months ago, two months ago, at a federal courthouse, they had a judge, the media, a great guy in Fort Worth.
[01:15:02.207 --> 01:15:03.889]  They said this in multiple meetings.
[01:15:03.929 --> 01:15:06.372]  They said, we don't want money.
[01:15:07.012 --> 01:15:12.718]  And Chris Maddy, who runs it all, who works for Blumenthal, said, I'm going to be Blumenthal's slot.
[01:15:13.760 --> 01:15:16.222]  He told my lawyers, I don't care.
[01:15:16.542 --> 01:15:18.084]  We're not, we don't care about money.
[01:15:18.484 --> 01:15:24.709]  This is an order from the, so he's so empowered that he's with my lawyers telling him, we don't care.
[01:15:25.169 --> 01:15:26.310]  Blumenthal runs this.
[01:15:26.330 --> 01:15:27.331]  I'm going to be the next U.S.
[01:15:27.371 --> 01:15:27.671]  Senator.
[01:15:28.252 --> 01:15:29.553]  They're admitting it, Viva.
[01:15:31.411 --> 01:15:37.776]  It is, and what they're admitting also is that they are acting against the best interests of the creditors that they allegedly purport to represent.
[01:15:38.856 --> 01:15:43.339]  And I no longer have faith that the courts, or at least the lower-level courts, are going to adjudicate correctly.
[01:15:43.720 --> 01:15:47.202]  You'll hope for some appellate release if they get away with this.
[01:15:47.582 --> 01:15:54.687]  But they're going to find creative ways and ham-fisted ways to prevent anybody from even amplifying you by hosting you on their channel.
[01:15:55.047 --> 01:15:55.587]  I'm sure of it.
[01:15:56.008 --> 01:15:57.649]  And it won't succeed.
[01:15:58.209 --> 01:15:59.289]  But it's not a coincidence.
[01:15:59.309 --> 01:16:03.730]  Yeah, they're going to say, he will pay us our billion dollars when they won't even make a settlement.
[01:16:04.850 --> 01:16:06.631]  No, no, no, there's no question.
[01:16:06.671 --> 01:16:13.192]  But the timing is, Alex, they still blame you for Trump getting elected in 2016 because your populist voice, it's six months out of November.
[01:16:13.412 --> 01:16:14.292]  It's not a coincidence.
[01:16:15.953 --> 01:16:16.893]  So what is your advice?
[01:16:17.273 --> 01:16:17.873]  What should I do?
[01:16:17.893 --> 01:16:19.453]  I mean, I didn't sit here and take it.
[01:16:19.593 --> 01:16:20.894]  They were going to close this yesterday.
[01:16:21.314 --> 01:16:22.914]  They gave orders to close it today.
[01:16:24.566 --> 01:16:29.768]  Like any good lawyer, I won't give legal advice, but I'm not licensed anymore, so I can't even do it, Alex.
[01:16:29.929 --> 01:16:35.411]  No, the bottom line is, the Streisand effect is what it is and will be the response.
[01:16:36.271 --> 01:16:42.634]  When I read the tweet, I'm like, oh, the original tweet saying you're getting shut down, I gotta double check this, and then you get confirmation.
[01:16:42.974 --> 01:16:46.336]  The amplification by the voices will be even greater now.
[01:16:47.156 --> 01:16:50.599]  But it is a life and death, politically speaking, battle.
[01:16:51.100 --> 01:16:53.882]  And they're coming hard and they're empowered by what they saw.
[01:16:53.902 --> 01:16:55.424]  This is a human of earth.
[01:16:56.204 --> 01:16:57.886]  This signifies weakness by them.
[01:16:58.809 --> 01:17:00.731]  Who compels the fiduciary duty?
[01:17:01.311 --> 01:17:03.473]  Who compels the fiduciary duty in this?
[01:17:03.493 --> 01:17:05.115]  Well, they're supposed to represent their clients.
[01:17:05.575 --> 01:17:07.096]  They admit it's not even their pawns.
[01:17:07.337 --> 01:17:08.578]  Go ahead, go ahead.
[01:17:08.598 --> 01:17:15.504]  No, the trustee in bankruptcy, the trustee in bankruptcy who's entrusted to run the business is supposed to act in the best interest of presumably the business.
[01:17:15.524 --> 01:17:18.106]  And he's trying to shut down a profitable business.
[01:17:19.347 --> 01:17:19.928]  What does that tell you?
[01:17:21.429 --> 01:17:26.432]  It tells you that they use the families of Sandy Hook as their own political tools.
[01:17:26.452 --> 01:17:30.455]  They have no problem using anyone as political pawns and political tools.
[01:17:30.735 --> 01:17:39.321]  But the bottom line, Alex, you'll do the rounds on everybody's channel, and if you'll do me the honor, you'll start or come online and we'll talk about this, because I want to know the legalities.
[01:17:39.361 --> 01:17:40.542]  Well, that's my question.
[01:17:40.562 --> 01:17:42.263]  Why can't they think one step ahead?
[01:17:42.303 --> 01:17:43.864]  Like, they freaked out they would air this tape.
[01:17:44.795 --> 01:17:46.676]  And they're like, we're gonna take you off the air.
[01:17:46.796 --> 01:17:48.317]  And I went, Oh, you think that stops?
[01:17:48.337 --> 01:17:53.079]  Like, Oh, like, like, they it's dumb.
[01:17:54.200 --> 01:17:55.441]  No, but they're dumb.
[01:17:55.461 --> 01:18:00.984]  But meanwhile, you saw when when they had the incident with Russell Brand, and then they go after rumble, and then they go after the other part of the thing.
[01:18:01.304 --> 01:18:05.226]  Are you guys making money or letting him make money off his content on your platform?
[01:18:05.466 --> 01:18:07.787]  They're going to go after the platforms even harder after this.
[01:18:08.067 --> 01:18:09.548]  And they're going to create some sort of
[01:18:09.908 --> 01:18:10.689]  Yep, I think so.
[01:18:10.729 --> 01:18:15.512]  But I'm gonna continue listening on mute now, but Godspeed Alex, keep it up.
[01:18:15.532 --> 01:18:15.853]  Thank you.
[01:18:15.893 --> 01:18:17.073]  Really sophisticated things he said.
[01:18:17.093 --> 01:18:17.474]  Who's up next?
[01:18:38.550 --> 01:18:41.071]  I'm just so glad I don't have to deal with all the legal stuff you have to deal with.
[01:18:41.151 --> 01:18:44.472]  I come in, I do my show, I get to just read the news all day.
[01:18:45.192 --> 01:18:47.132]  People don't understand the stuff Alex does.
[01:18:47.152 --> 01:18:48.273]  It's okay, I asked for it.
[01:18:48.393 --> 01:18:49.393]  It's alright, this is a piece of cake.
[01:18:49.533 --> 01:18:50.293]  It's insane though.
[01:18:50.413 --> 01:18:52.694]  I'm just glad people are seeing a little bit behind the curtain.
[01:18:53.134 --> 01:18:59.996]  But the crazy part is, this will make the show ten times bigger, but I'm not like a jerk trying to fire the crew or trying to do this.
[01:19:00.016 --> 01:19:03.037]  I'm like, guys, you're like, leave me, they won't leave me alone.
[01:19:05.063 --> 01:19:08.669]  The big secret is, I would already plan to be retired.
[01:19:08.709 --> 01:19:09.850]  These people are nuts.
[01:19:11.413 --> 01:19:12.334]  Who's up next?
[01:19:12.374 --> 01:19:13.095]  There, Chase Geiser.
[01:19:13.115 --> 01:19:15.138]  Alright, I'm going to hear from Nick.
[01:19:15.279 --> 01:19:19.786]  And Nick, I want you to pick the next speaker after you give your thoughts on what Viva said and what we've been talking about.
[01:19:21.491 --> 01:19:29.675]  Sure, and I feel like one of the biggest points that Diva brought up was the idea that, you know, what are they exactly trying to do?
[01:19:29.695 --> 01:19:35.678]  Because Alex, you've been talking this entire time about you do still have a solvent company, regardless of the fact that they're trying to shut you down.
[01:19:35.718 --> 01:19:46.163]  They're trying to remove all of your revenue streams to destroy any ability to, you know, pay your hosts, pay your basic bills.
[01:19:46.224 --> 01:19:47.444]  That's their ultimate goal.
[01:19:47.824 --> 01:19:50.626]  And that's what the CRO did was cut off all the funds.
[01:19:51.346 --> 01:19:53.287]  As if he thought I had no money, I'd care.
[01:19:53.367 --> 01:19:54.168]  I don't give a shit.
[01:19:55.429 --> 01:20:01.733]  Yeah, well that's exactly the point that I was making earlier, is that it's clear that this is not... money is not your motivator.
[01:20:01.833 --> 01:20:03.734]  It's about getting... I mean, think about it, Alex.
[01:20:03.754 --> 01:20:09.838]  We talk about the fact that you've got, what, 300-something radio stations that you allow broadcast your show for free?
[01:20:10.258 --> 01:20:11.699]  You don't charge them a dime?
[01:20:11.859 --> 01:20:12.980]  You just need... you know...
[01:20:14.461 --> 01:20:19.905]  You're getting the reach out there, but so I've been looking through the audience questions that we're getting there down there in the bottom right-hand corner.
[01:20:19.985 --> 01:20:20.965]  Guys, it's a purple pill.
[01:20:21.005 --> 01:20:23.227]  Like 872 of you have done this.
[01:20:23.748 --> 01:20:29.332]  And one of the questions that we're getting a lot, Alex, is what does being shut down look like?
[01:20:29.692 --> 01:20:35.897]  You know, because some of these people have been listening to you for years and they're afraid that they're not going to be able to hear your voice anymore.
[01:20:36.457 --> 01:20:41.461]  Just to sum it up, generally speaking, what does it look like to be shut down and how do you overcome that?
[01:20:42.042 --> 01:20:47.785]  Well, I've tried to save InfoWars, so I've made myself not think about that and try to just save this.
[01:20:48.505 --> 01:20:52.488]  But now that we're so down to the wire, we just get bigger.
[01:20:52.788 --> 01:20:54.028]  As many interviews as I want to do.
[01:20:55.089 --> 01:20:56.050]  I have a new employer.
[01:20:58.371 --> 01:20:59.591]  They can't stop the First Amendment.
[01:20:59.672 --> 01:21:00.392]  It's still there.
[01:21:00.812 --> 01:21:01.973]  We try to bring the crew back.
[01:21:02.413 --> 01:21:04.014]  I haven't even worried about all that.
[01:21:04.994 --> 01:21:07.556]  But, I mean, I've been a little Machiavellian about it.
[01:21:07.576 --> 01:21:09.217]  I'll be honest, I'll say strategy on air.
[01:21:09.737 --> 01:21:10.878]  I mean, I could easily
[01:21:11.897 --> 01:21:27.855]  Go instead of hiking two miles every morning, hike five miles every morning, lift weights, lose like 30 pounds in a few months, disappear for a while, create total hysteria, which I wouldn't give up, but I would just kind of take a pause, like putting the, you know, the executor starship in the dock.
[01:21:28.616 --> 01:21:53.199]  Retool it and then come roaring back or I would know in me I'll probably immediately do all the interviews and immediately just go on a rampage and immediately go set something else up but I haven't I haven't it's kind of like I don't shoot on my wife but if she died I would probably find another woman to get remarried so it's kind of like this woman dies which I'm trying to save her I'm at the hospital with her holding her hand then if she's dead I'll bury her next week and I'll go get another woman next week
[01:21:53.779 --> 01:21:55.841]  Because I need a woman, you know, that's what I do.
[01:21:56.341 --> 01:22:06.608]  So it's kind of like, that's the psychology is, I've not changed horses in the middle of the stream, I've not done anything about, you know, something else, but it's unlimited.
[01:22:06.668 --> 01:22:10.930]  I mean, which it shows their one-dimensional attack, because they're not thinking.
[01:22:15.113 --> 01:22:16.074]  Does that make sense, Nick?
[01:22:17.012 --> 01:22:20.076]  Absolutely, yeah, absolutely it does and we appreciate that.
[01:22:20.196 --> 01:22:24.742]  If you want to go to people on the panel, I'd recommend maybe letting Dustin Stockton jump in.
[01:22:25.263 --> 01:22:29.328]  I know, Dustin, I know you've been... Yeah, get him on and I'm not being rude, I gotta take a piss.
[01:22:29.888 --> 01:22:33.092]  So, you guys talk for a minute, I'll make it two minutes.
[01:22:34.234 --> 01:22:34.374]  Sure.
[01:22:34.414 --> 01:22:35.716]  Alright, go for it, Dustin.
[01:22:36.562 --> 01:22:42.248]  Well, I want to elaborate on something that Viva said, which is this is all about the election.
[01:22:42.308 --> 01:22:43.829]  This is all about the lawfare.
[01:22:44.250 --> 01:22:47.053]  This is their fucking playbook, right?
[01:22:47.073 --> 01:22:52.338]  The entire goal is to disrupt what we would normally be doing, right?
[01:22:52.438 --> 01:22:58.124]  I've been listening to Alex since he first went to Bohemian Grove, like way back in the day, and the entire
[01:22:59.574 --> 01:23:16.632]  The process is the plan, which is instead of covering the Hunter Biden trial and the Trump convictions and everything else that's going on, they're tying up Alex, they're tying up Steve Bannon, they're tying up anybody who has the courage to speak out against their bullshit.
[01:23:17.092 --> 01:23:19.955]  And like, I was really moved by what Liz said.
[01:23:20.335 --> 01:23:26.240]  Like, we all have to band together to amplify the voices that they are trying to silence.
[01:23:26.300 --> 01:23:33.907]  Like, this is a fundamental attack, not just on free speech, but on all of our freedom.
[01:23:34.287 --> 01:23:44.695]  And if you think that they won't come to silence you, that you won't be debanked, that they won't send these fucking lawyers out to wreck your life and to knock you off course, then you've got another thing coming.
[01:23:45.556 --> 01:23:52.041]  The communists, the Bolsheviks, their weapons of authoritarianism always get pointed to you.
[01:23:52.121 --> 01:23:53.662]  So I'll be taking my team.
[01:23:54.302 --> 01:23:56.083]  Dustin, Hunter Biden due in court Monday.
[01:23:56.103 --> 01:24:01.007]  Are they allowing live coverage or do you have to just report after you leave the courtroom?
[01:24:20.962 --> 01:24:25.086]  So, we are still, to be honest, I'm not sure.
[01:24:25.246 --> 01:24:26.267]  I have a press badge.
[01:24:26.767 --> 01:24:27.908]  I have a couple press badges.
[01:24:28.309 --> 01:24:29.590]  I also, I'm rolling deep.
