[00:00:16.070 --> 00:00:20.175]  Infowars, the most banned network in the world.
[00:27:09.994 --> 00:27:19.925]  The point is, it's more of an atrocity when a crime is committed by somebody who's not legally supposed to be here in the first place than it is when somebody who had the right to be here does it.
[00:27:20.902 --> 00:27:22.843]  Of course, when you're born here, you have the right to be here.
[00:27:22.863 --> 00:27:24.664]  Of course, if you're an American citizen, you have a right to be here.
[00:27:24.684 --> 00:27:26.644]  And there's going to be crimes that are going to be committed by our people.
[00:27:26.664 --> 00:27:30.106]  There's 350 million citizens or something like that in the United States.
[00:27:30.146 --> 00:27:31.486]  Of course, some of them are going to commit crimes.
[00:27:31.787 --> 00:27:42.011]  What's an atrocity is when the crime of invading our country is allowed by our political leaders, and then those people who come across into our country commit major crimes.
[00:27:42.611 --> 00:27:51.119]  But I don't care if 99.9% of them are great, outstanding people who are just a benefit to our labor force and just trying to help their families.
[00:27:51.259 --> 00:27:57.204]  If one out of a thousand of them commits a terrible crime, that is because our government failed us.
[00:27:58.405 --> 00:28:01.608]  Nobody's saying that all these migrants are terrible people or evil people.
[00:28:02.169 --> 00:28:06.893]  We're just saying that the systems in place are not filtering out the terrible, evil people among them.
[00:28:08.331 --> 00:28:12.132]  Is it too much to ask that we insist our government protect our borders?
[00:28:12.192 --> 00:28:15.373]  After all, isn't that the main point of a government in the first place?
[00:28:17.113 --> 00:28:20.974]  What purpose does a government serve if not to protect its people from outside threats?
[00:28:22.415 --> 00:28:26.676]  What need do we have for government at all if it's not going to protect our borders?
[00:28:28.359 --> 00:28:34.264]  Why are we focused on this argument that everybody deserves health care and health care is a national right or a human right?
[00:28:34.444 --> 00:28:43.032]  Why are we focused on every issue about whether a bridge is going to be built to replace the old bridge that went down and all the Build Back Better initiatives and the insulin costs and all the distractions?
[00:28:43.072 --> 00:28:51.780]  Why are they focused on everything except for the one main thing they're supposed to do which is protect the people of America from outside threats and defend our rights against violation from our very own government?
[00:28:51.960 --> 00:28:54.122]  Something they failed to do for decade after decade.
[00:28:54.142 --> 00:28:55.183]  Folks, more on the other side.
[00:29:00.034 --> 00:29:11.325]  There is nothing more frustrating to me, whether it comes to news or anything else we're doing, than to know I'm telling the truth and to know they'll just listen to me and take action.
[00:29:11.806 --> 00:29:12.587]  It will change your life.
[00:29:13.450 --> 00:29:16.833]  Ladies and gentlemen, we have two great products that have been sold out for a long time.
[00:29:17.213 --> 00:29:19.956]  They're now back in stock at InfowarStore.com.
[00:29:20.577 --> 00:29:24.020]  X3 is the highest quality iodine, the missing link.
[00:29:24.480 --> 00:29:26.402]  It is back in stock, 40% off.
[00:29:26.562 --> 00:29:32.087]  And so is TurboForce, 10-hour clean energy, naturally released.
[00:29:32.307 --> 00:29:33.068]  It is amazing.
[00:29:33.488 --> 00:29:35.710]  Both of these products fund the Infowar.
[00:29:36.311 --> 00:29:38.893]  So they could be placebo and it'd still be great if they fund the Infowar.
[00:29:39.193 --> 00:29:39.634]  They're not.
[00:29:40.254 --> 00:29:43.197]  If you'll just try TurboForce, you'll see the results in 30 minutes.
[00:29:43.497 --> 00:29:45.819]  Incredible energy for 10 hours without the letdown.
[00:29:46.219 --> 00:29:51.944]  But if you will just take X3 on average for about two weeks, you will see amazing results because it's the missing link.
[00:29:52.604 --> 00:29:58.569]  X3 and TurboForce, both discounted now for a limited time at InfoWarsTore.com.
[00:29:58.689 --> 00:30:06.456]  One of the most frustrating things about being awake to the globalist agenda is seeing the general public still asleep.
[00:30:07.834 --> 00:30:20.822]  By and large, not aware of the magnitude of the incredible danger they're under, but also the ongoing attacks and the magnitude of the death caused by the lethal injections, masqueradings, vaccines.
[00:30:20.922 --> 00:30:30.047]  It is so frustrating to see people going about their daily lives oblivious, and you realize ignorance is not bliss, it equals death.
[00:30:31.613 --> 00:30:52.040]  But people are starting to really understand how serious things are, and that's a hard thing to do, because to wake up to a dystopian reality and realize that we're in the middle of a giant biological weapons war against humanity, and that there's mass sterilization that's already taking place, and they're cutting off all the major energy sources, is really hard to deal with, but it's the reality.
[00:30:52.600 --> 00:30:56.781]  Facing it is our only chance to turn this around, because stuff's about to get really, really nasty.
[00:30:57.182 --> 00:30:57.822]  Infowars.com.
[00:30:59.955 --> 00:31:09.500]  Unless you've been living under a rock, you've heard how amazing turmeric is for inflammation for your joints, your bones, your blood, your organs, your mind, everything.
[00:31:09.960 --> 00:31:13.582]  Well, we have Body's Ultimate Turmeric Formula with 95% curcuminoid extract.
[00:31:15.123 --> 00:31:17.605]  No one that we know of has it even above 85%.
[00:31:17.645 --> 00:31:25.573]  This is the strongest formula on the market, and it's way lower priced than some of the top brands out there that are 75%, 80% human oil.
[00:31:26.754 --> 00:31:29.536]  Body's Ultimate Turmeric Formula is amazing.
[00:31:29.796 --> 00:31:31.037]  You're missing out if you don't try it.
[00:31:31.338 --> 00:31:36.923]  It's discounted right now, 40% off at Infowars.com, and it funds the Info War, a total 360 win.
[00:31:37.163 --> 00:31:39.005]  You owe it to yourself to try Body's.
[00:31:39.285 --> 00:31:40.126]  I know you'll be amazed.
[00:31:40.406 --> 00:31:41.407]  Get yours right now.
[00:31:41.687 --> 00:31:42.248]  That's right.
[00:31:59.761 --> 00:32:03.282]  The enemies of humanity have been very good at dividing and conquering us.
[00:32:03.682 --> 00:32:10.685]  But if we simply start thinking about things according to the definition of, is it pro-human or is it anti-human, we start to win.
[00:32:10.865 --> 00:32:12.865]  And that's why I had the idea for Team Humanity.
[00:32:13.065 --> 00:32:14.106]  I brought it up to Elon Musk.
[00:32:14.166 --> 00:32:14.846]  He loved the idea.
[00:32:15.186 --> 00:32:18.710]  What would you call the debates and discussions about a pro-human future?
[00:32:18.730 --> 00:32:19.591]  Just Team Humanity?
[00:32:19.672 --> 00:32:20.553]  Yeah, Team Humanity.
[00:32:20.713 --> 00:32:21.153]  Absolutely.
[00:32:21.474 --> 00:32:22.875]  And so, we have the t-shirt.
[00:32:22.935 --> 00:32:26.400]  Team Humanity with a nuclear family, standing against the globalists.
[00:32:26.600 --> 00:32:34.049]  This shirt is a great conversation starter, but it also is a fundraiser to keep InfoWars on the air, so we can promote and support Team Humanity.
[00:32:34.329 --> 00:32:46.035]  I want to thank you all for your past support, but I want to encourage you all now to understand that this is a revolution against the globalists, and it is so critical now to signal the fact that you are part of Team Humanity.
[00:32:46.315 --> 00:32:47.635]  We're told humans are the problem.
[00:32:47.655 --> 00:32:48.636]  We're told we're killing the Earth.
[00:32:48.916 --> 00:32:53.198]  We're told all this garbage, so we hate ourselves and stand down and roll over and die.
[00:32:53.498 --> 00:32:54.198]  We're not going to do that.
[00:32:54.459 --> 00:32:59.081]  Get your Team Humanity shirts now at InfoWarsTore.com, and I thank you all for your support.
[00:33:01.115 --> 00:33:07.059]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:14.965 --> 00:33:21.190]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:23.676 --> 00:33:25.840]  Welcome to the Alex Jones Show, ladies and gentlemen.
[00:33:25.860 --> 00:33:27.763]  I am Chase Geiser, your host this evening.
[00:33:28.304 --> 00:33:37.619]  We've got a lot of crazy stuff going on, so basically this show is going to merge straight into the Sunday Night Live show for about 30 minutes, and then we're going to play the interview.
[00:33:38.564 --> 00:33:47.532]  From Owen Schroyer's new 30 Minutes podcast, which I like to say is half as long and twice as good as 60 Minutes, Owen is going to interview a holistic health lady.
[00:33:47.572 --> 00:33:58.301]  Her name is Diane Kayser, who's made major discoveries in nanotechnology, founding cosmetics, female products, and dental products, and other things.
[00:33:58.982 --> 00:33:59.783]  And you're going to want to hear us.
[00:33:59.983 --> 00:34:08.030]  And she's going to be rejoining us this Wednesday, taking your calls on any health concerns and anything you hear in this interview.
[00:34:08.491 --> 00:34:13.956]  So if you want to call in and ask questions about the interview on Wednesday, you should stay tuned tonight for Sunday Night Live.
[00:34:13.976 --> 00:34:20.082]  We are going to run, for the last hour or so of the show, an hour and a half, clips of, it's actually the entire interview.
[00:34:20.702 --> 00:34:23.004]  And I believe it's longer than 30 minutes, but we'll see.
[00:34:25.777 --> 00:34:35.725]  After that, we are going to debut another new 30 Minutes where Owen sits down with an illegal immigrant child escort and explains how they are potentially being trafficked all around the country.
[00:34:35.765 --> 00:34:38.587]  So we've got some awesome content coming up this evening.
[00:34:38.967 --> 00:34:45.452]  Make sure that you stay tuned and support the Infowar.
[00:34:46.153 --> 00:34:48.435]  Alright, so we've had so many claims about
[00:34:51.167 --> 00:34:53.209]  Russian influence on our politics, right?
[00:34:53.730 --> 00:35:00.778]  You remember back in 2016, there was Russian collusion for the election, and then it turned out that the Russian collusion allegations were just a hoax.
[00:35:00.818 --> 00:35:08.827]  We saw the framing and honeypotting attempts of the likes of George Papadopoulos, who wrote a great book called Deep State Target.
[00:35:09.648 --> 00:35:10.789]  Had to be pardoned by Trump.
[00:35:11.509 --> 00:35:12.510]  We know that was all made up.
[00:35:13.070 --> 00:35:15.291]  Then we had the quid pro quo allegations.
[00:35:15.351 --> 00:35:16.652]  Now we have all these other allegations.
[00:35:16.672 --> 00:35:18.093]  It's always Russia, Russia, Russia.
[00:35:18.113 --> 00:35:20.094]  It's like Marsha, Marsha, Marsha from the Brady Bunch.
[00:35:20.114 --> 00:35:23.516]  It's Russia, Russia, Russia from this deep state.
[00:35:23.796 --> 00:35:27.479]  Even though we've never had a hot war with Russia, we've never been in a conflict with Russia at all.
[00:35:27.519 --> 00:35:31.121]  Frankly, if it wasn't for Russia, we probably wouldn't have won World War II.
[00:35:33.183 --> 00:35:35.884]  We couldn't have defeated the Nazis without their help.
[00:35:35.924 --> 00:35:38.465]  But for some reason, they're just the greatest threat to humanity.
[00:35:38.485 --> 00:35:39.225]  They're so evil.
[00:35:39.245 --> 00:35:40.186]  They're so terrible.
[00:35:40.406 --> 00:35:41.206]  They're so atrocious.
[00:35:41.246 --> 00:35:48.409]  And then they try to branch Trump as the American version of Putin and Putin as the Russian version of Trump.
[00:35:48.569 --> 00:35:52.290]  They've merged the two figures together into one notion, one brand.
[00:35:52.450 --> 00:35:56.432]  They occupy the same space in the psychology of late-night television watchers.
[00:35:57.252 --> 00:35:57.813]  The country?
[00:35:58.493 --> 00:35:58.693]  Over.
[00:36:00.017 --> 00:36:15.738]  So whenever one's brought up, the other one is evoked or invoked, and whenever the other is brought up, the other one is evoked or invoked, and it's just obvious that it's this massive psyop against the psychology of the American people to create artificial enemies in order to justify the actions of a corrupt political elite.
[00:36:17.932 --> 00:36:18.572]  So watch this clip.
[00:36:18.592 --> 00:36:19.493]  This is clip four here.
[00:36:19.573 --> 00:36:24.055]  Rhino Mike Turner claims Russian propaganda has infected the GOP.
[00:36:24.335 --> 00:36:32.699]  This is House Intelligence Chair Mike Turner, Republican from Ohio, claimed that Russian propaganda has infected a portion of the GOP, the MAGA wing, more specifically.
[00:36:32.739 --> 00:36:45.624]  Now, I've talked about this at length, and we'll dive more into this, but this distinguishing of MAGA Republicans as terrorists away from this neocon movement is really, really insidious.
[00:36:45.644 --> 00:36:46.825]  Let's go ahead and run clip four first.
[00:36:48.052 --> 00:36:55.757]  Let's turn to Ukraine, an issue that's important to you and your fellow Republican chairman, Michael McCaul, who runs the Foreign Affairs Committee.
[00:36:56.278 --> 00:37:07.185]  Congressman McCaul made a comment this week about what he says sounds like Russian propaganda from some conservative media, and why it's so difficult to explain to Republican voters why supporting Ukraine is important.
[00:37:07.545 --> 00:37:08.866]  He told Julia Yaffe, quote,
[00:37:18.112 --> 00:37:20.113]  Do you agree with him, and how big is this problem?
[00:37:22.713 --> 00:37:24.254]  Oh, it is absolutely true.
[00:37:24.294 --> 00:37:34.416]  We see directly, coming from Russia, attempts to mask communications that are anti-Ukraine and pro-Russia messages, some of which we even hear being uttered on the House floor.
[00:37:34.436 --> 00:37:41.038]  I mean, there are members of Congress today who still incorrectly say that this conflict between Russia and Ukraine is over NATO, which of course it is not.
[00:37:41.698 --> 00:37:42.419]  I think?
[00:37:57.490 --> 00:38:06.696]  To the extent that this propaganda takes hold, it makes it more difficult for us to really see this as an authoritarian versus democracy battle, which is what it is.
[00:38:07.016 --> 00:38:10.579]  President Xi of China, Vladimir Putin himself have identified it as such.
[00:38:10.899 --> 00:38:12.320]  We need to stand up for democracy.
[00:38:12.360 --> 00:38:18.324]  We need to make certain that we know that authoritarian regimes never stop when they start an aggression.
[00:38:19.765 --> 00:38:23.507]  Ukraine needs our help and assistance now, and this is a very critical time for the U.S.
[00:38:23.527 --> 00:38:25.108]  Congress to step up and provide that aid.
[00:38:25.728 --> 00:38:26.429]  I tell you what, folks.
[00:38:26.915 --> 00:38:28.109]  I would much rather see.
[00:38:30.350 --> 00:38:37.513]  Europe occupied by orthodox Russians, and Europe occupied by radical Islamic extremists, as it is now.
[00:38:37.753 --> 00:38:41.495]  So, this whole notion, Russia's not going to stop at Ukraine, I'm thinking, thank God!
[00:38:43.316 --> 00:38:48.398]  What problem does Europe have right now that wouldn't be solved by a Russian occupation?
[00:38:48.418 --> 00:38:49.939]  I don't even like Vladimir Putin.
[00:38:50.319 --> 00:38:52.460]  I do think that he's a bit of a despot, to say the least.
[00:38:52.480 --> 00:38:57.422]  I do think that he's probably corrupt, making billions upon billions of dollars for himself because of his power.
[00:38:57.702 --> 00:38:58.943]  I do believe that he arrests
[00:38:59.663 --> 00:39:01.084]  Oppositional forces.
[00:39:01.865 --> 00:39:10.090]  And I do find it unlikely that over 80% of any populace would vote the same way for any candidate.
[00:39:11.350 --> 00:39:16.794]  I think that he's probably most popular, he's probably more popular than any other candidate sitting around.
[00:39:16.814 --> 00:39:24.398]  I think he probably won the majority in the last election, but I find it very hard to believe that those election results were 100% accurate.
[00:39:24.418 --> 00:39:25.319]  Maybe I'm wrong, I don't know.
[00:39:26.752 --> 00:39:31.156]  But I also find it hard to believe that the election results in the United States are 100% accurate.
[00:39:31.657 --> 00:39:32.117]  Obviously.
[00:39:32.137 --> 00:39:38.243]  And I can't think of anything that Russia is doing or has done in recent years that the United States hasn't done itself.
[00:39:39.276 --> 00:39:40.377]  Oh, Navalny's dead.
[00:39:40.397 --> 00:39:41.178]  He's killing journalists.
[00:39:41.238 --> 00:39:43.840]  Okay, well, what about the American journalist that died in a Ukrainian prison?
[00:39:44.200 --> 00:39:49.624]  Or what about the American journalist, Edward Snowden, who has to seek asylum in Moscow, of all places?
[00:39:49.724 --> 00:39:50.825]  Okay, so, check.
[00:39:51.246 --> 00:39:52.306]  Oh, he's torturing people.
[00:39:52.426 --> 00:39:54.688]  Oh, torture's never been anything that we've done here in the United States.
[00:39:54.708 --> 00:40:01.233]  Oh, he's invaded a sovereign country for no reason in order to exacerbate his own or manifest his own political agenda.
[00:40:01.333 --> 00:40:03.275]  Oh, you mean we didn't do that in Iraq or Afghanistan?
[00:40:03.475 --> 00:40:04.796]  Oh, he's killing civilians in Ukraine.
[00:40:04.816 --> 00:40:07.278]  Okay, how about the 500,000 civilians that died in the Middle Eastern war?
[00:40:07.278 --> 00:40:07.699]  We're good to go.
[00:40:27.162 --> 00:40:33.044]  And I'm looking into it and I'm like, hey, somebody should ask Joe Biden what the world was like before NATO was established.
[00:40:33.064 --> 00:40:37.125]  He was like six years old, so he probably remembers what the world was like without NATO.
[00:40:37.165 --> 00:40:38.386]  That's how ancient this guy is.
[00:40:38.426 --> 00:40:45.068]  He's been involved in politics so long that every crime that's been committed since the beginning of the Cold War onward has been something that's been under his auspice.
[00:40:45.968 --> 00:40:47.729]  The auspice of his political career.
[00:40:49.350 --> 00:40:54.171]  And so you have them come out and say that we're fighting for democracy so much and saying that the Russian election was rigged.
[00:40:54.211 --> 00:40:56.252]  Maybe it was rigged, but at least they had an election.
[00:40:57.341 --> 00:41:00.283]  Zelensky cancelled the election that was supposed to happen in March in Ukraine.
[00:41:00.323 --> 00:41:08.567]  I know it was legal, technically, for him to do so, given the fact that his country's being invaded, and I believe that the Ukrainian laws, in a way that don't exist in U.S.
[00:41:08.627 --> 00:41:12.930]  law, the Ukrainian laws allow for elections to be postponed in times of national emergency like that.
[00:41:13.570 --> 00:41:15.751]  So I'm not saying it was illegal, but it doesn't make it right.
[00:41:16.952 --> 00:41:22.695]  You would think that he would allow an election if he thought it would result in a success, and let me put it to you like this.
[00:41:24.286 --> 00:41:29.575]  I don't believe that any politician would ever cancel an election that that politician believes he could win.
[00:41:30.717 --> 00:41:34.404]  Why would you ever cancel an election you were sure that you would win?
[00:41:36.220 --> 00:41:39.463]  Because if you're going to win an election, then it just reinforces your whole political platform.
[00:41:39.723 --> 00:41:41.705]  You can prove to the people that you have support.
[00:41:41.905 --> 00:41:45.267]  You can prove to the naysayers that actually the majority of your people do want you in office.
[00:41:45.568 --> 00:41:47.289]  It reinforces everything that you're trying to do.
[00:41:47.549 --> 00:41:52.854]  All it does is serve to reinforce and support your political agenda if you win an election.
[00:41:53.054 --> 00:42:00.220]  So to cancel an election, the only real reason to do that, the only politically expedient reason to do that, is if you believe that you're going to lose that election.
[00:42:01.735 --> 00:42:09.561]  So I put to you now that the only reason Zelensky canceled the election was not because they're in a state of emergency and they just don't have the infrastructure in place to hold an election.
[00:42:09.861 --> 00:42:11.663]  It's because they were not sure that he was going to win.
[00:42:11.943 --> 00:42:13.864]  They don't think that he's as popular as he used to be.
[00:42:14.125 --> 00:42:15.686]  They don't think that he would be reelected.
[00:42:15.946 --> 00:42:19.409]  Maybe the Ukrainian people would actually vote for someone else that would end the war.
[00:42:20.449 --> 00:42:25.073]  And our intelligence community certainly doesn't want anybody else in place because Zelensky is under their control.
[00:42:25.453 --> 00:42:31.138]  So why would they risk having to establish a relationship or compromise a new political figure that could be elected by an unpredictable
[00:42:31.840 --> 00:42:32.361]  Populous?
[00:42:59.807 --> 00:43:03.289]  Survival Shield X3 is back in stock at InfoWarsStore.com.
[00:43:03.329 --> 00:43:06.330]  Now, I don't have to tell you all the amazing benefits of nascent iodine.
[00:43:06.570 --> 00:43:08.591]  You can take the time to look that up yourself.
[00:43:08.651 --> 00:43:14.574]  I've got a stack right here that I printed of study after study going over all the amazing benefits of nascent iodine.
[00:43:14.594 --> 00:43:16.735]  And that's why we formulated Survival Shield X3.
[00:43:17.495 --> 00:43:18.096]  We're good to go!
[00:43:44.340 --> 00:43:48.048]  Skin enhancement, even, and prevention of hypothyroidism.
[00:43:48.188 --> 00:43:53.159]  Make sure you visit InfoWarsStore.com today and get Survival Shield X3 now at 40% off.
[00:44:00.034 --> 00:44:02.575]  Ladies and gentlemen, we're in a war against the globalists.
[00:44:02.955 --> 00:44:05.317]  And people can't identify who's a patron and who isn't.
[00:44:05.637 --> 00:44:08.778]  We want to identify as pro-human and anti-globalists.
[00:44:08.838 --> 00:44:11.760]  We want to let people know we're 1776 Part 2.
[00:44:12.000 --> 00:44:22.585]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the Info War and meet like-minded people everywhere when you wear it.
[00:44:22.705 --> 00:44:28.328]  When you wear these shirts, it creates an amazing amount of energy, and it's quite the adventure.
[00:44:28.608 --> 00:44:32.890]  So get your 1776 shirt right now at InfoWarsStore.com.
[00:44:33.030 --> 00:44:38.673]  And get your Team Humanity InfoWars Limited Edition shirt right now at InfoWarsStore.com.
[00:44:39.053 --> 00:44:44.316]  Ladies and gentlemen, this is antithetical, the complete opposite of what the globalists are pushing.
[00:44:44.576 --> 00:44:52.361]  So get both the Team Humanity and the 1776 Gadsden Snake Shirts Limited Edition at infowarestore.com right now.
[00:44:52.741 --> 00:44:56.544]  Spread the word, meet like-minded people, and fund the 1776 revolution worldwide.
[00:45:05.808 --> 00:45:06.769]  Please support us.
[00:45:06.829 --> 00:45:07.330]  Get a book.
[00:45:07.370 --> 00:45:07.910]  Get a film.
[00:45:07.950 --> 00:45:09.131]  Get a Team Humanity t-shirt.
[00:45:09.612 --> 00:45:10.493]  Get Nitric Boost.
[00:45:10.533 --> 00:45:13.556]  Get it all at InfoWarStore.com.
[00:45:14.216 --> 00:45:16.739]  InfoWarStore.com.
[00:45:16.879 --> 00:45:18.060]  Get TurboForce.
[00:45:18.200 --> 00:45:19.902]  Get Next Level Foundational Energy.
[00:45:19.942 --> 00:45:21.904]  They're all incredible products.
[00:45:23.308 --> 00:45:26.410]  Next Level Foundational Energy is about to sell out, but it's not a stimulant.
[00:45:26.470 --> 00:45:27.851]  No, it's the energy of the cells.
[00:45:27.891 --> 00:45:28.772]  Different level energy.
[00:45:29.092 --> 00:45:29.933]  That's why it's Next Level.
[00:45:30.313 --> 00:45:32.194]  That's why TurboForce is 10-hour clean energy.
[00:45:32.234 --> 00:45:35.056]  It is a bunch of stimulants that are natural and good, with a good letdown.
[00:45:35.777 --> 00:45:36.217]  Amazing.
[00:45:36.557 --> 00:45:37.438]  TurboForce.
[00:45:37.458 --> 00:45:38.539]  Next Level Foundational Energy.
[00:45:39.319 --> 00:45:40.180]  You clean out your blood.
[00:45:40.360 --> 00:45:42.381]  Everybody should be on now.
[00:45:44.002 --> 00:45:44.783]  NitricBoost.
[00:45:45.163 --> 00:45:47.705]  InfoWarStore.com.
[00:45:47.845 --> 00:45:48.546]  NitricBoost.
[00:45:49.226 --> 00:45:50.187]  We're funded by the people.
[00:45:50.287 --> 00:45:50.987]  Thanks for your support.
[00:45:51.007 --> 00:45:51.768]  We'll be right back.
[00:45:53.425 --> 00:45:56.215]  i-i-i-infowarestore.com
[00:46:00.069 --> 00:46:04.372]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[00:46:04.592 --> 00:46:12.617]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[00:46:12.977 --> 00:46:24.905]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[00:46:25.225 --> 00:46:36.179]  Concentrated to 30 parts per million in a pure base of deionized water, this survival silver is the perfect fit for you and your family's routine and emergency supply.
[00:46:36.460 --> 00:46:42.007]  Paloidal Silver is an amazing natural product that can assist your body's many healing processes.
[00:46:42.287 --> 00:46:50.350]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[00:46:50.510 --> 00:46:54.371]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[00:46:54.591 --> 00:46:58.932]  Available right now at InfoWarsStore.com.
[00:47:01.133 --> 00:47:07.015]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:14.941 --> 00:47:17.685]  Welcome back to the Alex Jones Show, ladies and gentlemen.
[00:47:17.705 --> 00:47:19.628]  I am Chase Geiser, your host this evening.
[00:47:20.109 --> 00:47:29.364]  Honor and pleasure to be with you, as always, as we cover the insidious plans of the political class, domestic and worldwide, to conglomerate all war power and to take over
[00:47:31.090 --> 00:47:33.251]  We talked about this at length on the War Room show on Friday.
[00:47:33.271 --> 00:47:36.752]  I was fortunate enough to have the privilege of being the guest host for the War Room.
[00:47:37.552 --> 00:47:42.213]  And I'm not worried about the New World Order or the Globalists winning.
[00:47:42.433 --> 00:47:43.053]  I think we're going to win.
[00:47:43.073 --> 00:47:46.114]  I'm worried about how painful it's going to be to defeat them and challenging.
[00:47:46.574 --> 00:47:48.455]  And I'm fighting like hell to make sure it doesn't happen.
[00:47:48.815 --> 00:47:49.795]  Everything I know how to do.
[00:47:52.236 --> 00:47:54.996]  Part of me is just worried about what's going to happen as a response.
[00:47:55.616 --> 00:47:57.137]  So when we get all the power back,
[00:47:59.198 --> 00:48:04.212]  Are we going to behave justly and bring these people to justice without committing atrocities ourselves?
[00:48:04.292 --> 00:48:04.653]  I don't know.
[00:48:06.718 --> 00:48:10.721]  But when you see stories like this, this is clip number 9 we're going to run in a second.
[00:48:10.761 --> 00:48:14.764]  This grandma is speaking out after being convicted for praying in the Capitol on January 6th.
[00:48:14.804 --> 00:48:16.846]  I don't know if you follow Jack Pasovic.
[00:48:16.866 --> 00:48:18.687]  He's one of my favorite influencers in the space.
[00:48:18.707 --> 00:48:21.529]  I don't like to use the word influencer because that has a negative connotation.
[00:48:21.589 --> 00:48:24.031]  It's sort of been associated with grifting.
[00:48:24.051 --> 00:48:24.712]  He's not a grifter.
[00:48:24.752 --> 00:48:26.193]  He is the real deal.
[00:48:26.793 --> 00:48:27.634]  Incredible content.
[00:48:27.674 --> 00:48:28.154]  Four years.
[00:48:28.254 --> 00:48:29.996]  And I highly recommend you check out his book on humans.
[00:48:30.076 --> 00:48:30.696]  I pre-ordered it.
[00:48:31.657 --> 00:48:32.177]  So if you haven't.
[00:48:32.987 --> 00:48:33.688]  Check that out yet.
[00:48:33.888 --> 00:48:42.634]  It's got an awesome cover being published by Skyhorse, the same publisher that we use here at InfoWars for The Great Reset and The Great Awakening and my book coming out, The Rise of American Populism as well.
[00:48:43.114 --> 00:48:44.595]  So check out Jack Posobiec.
[00:48:44.615 --> 00:48:47.718]  But he made me aware of this story this week.
[00:48:47.758 --> 00:48:50.219]  It's a story that I wish I had been aware of earlier on.
[00:48:50.480 --> 00:48:52.061]  I'm ashamed that I didn't know about this.
[00:48:52.101 --> 00:48:53.181]  This grandma, this lady,
[00:48:54.170 --> 00:49:02.837]  In her 70s, 71-year-old grandmother, Rebecca Lorenz, is facing a year in jail and $200,000 in fines for entering the Capitol to pray.
[00:49:03.417 --> 00:49:05.478]  She says, quote, I was there to stand up for my country.
[00:49:05.559 --> 00:49:12.444]  God led me to go there and into the building to stand up for my First Amendment rights, to petition the government for a redress of grievances.
[00:49:12.504 --> 00:49:14.185]  So we're going to run this clip 9.
[00:49:14.385 --> 00:49:21.670]  In the meantime, while we run this clip 9, if the crew could find the clip of this lady on Jack Posobiec's account, maybe, or just anywhere on Twitter.
[00:49:22.211 --> 00:49:23.132]  She was in her car.
[00:49:23.792 --> 00:49:28.158]  While the jury was deliberating to determine whether or not she was guilty.
[00:49:28.178 --> 00:49:30.141]  I think it took the jury three days to deliberate.
[00:49:30.161 --> 00:49:33.466]  We may want to run that too, but let's start with clip nine and see what she has to say.
[00:49:35.816 --> 00:49:44.140]  Well 50 some years ago that the role of the government is for limited, it's only limited for fans of our country and roads are the only things I can remember.
[00:49:44.660 --> 00:49:57.507]  It wasn't all this infringement in every part of our life and Jesus said he came to give us liberty and he said to came to set us free and I I can't live my life out of my on my five acres and have chickens and
[00:49:58.267 --> 00:50:00.769]  I live my life and I've got to fight for that.
[00:50:00.789 --> 00:50:05.732]  You know, evil is going to prevail if we don't, if good men do nothing.
[00:50:05.972 --> 00:50:08.474]  And so I just felt like God said, you need to go.
[00:50:08.774 --> 00:50:11.395]  And he actually, I think you said what he said.
[00:50:11.415 --> 00:50:16.038]  I just remember I looked over, I spent a lot of time journaling, you know, so I can know I'm hearing God.
[00:50:16.098 --> 00:50:18.000]  And when I remember the thing that he
[00:50:19.423 --> 00:50:22.744]  That he said is, Rebecca, this is going to be an adventure for you.
[00:50:23.365 --> 00:50:29.107]  And I know you want to live long and you're going to enjoy your life a lot longer if you go on this trip with me.
[00:50:29.387 --> 00:50:32.288]  And I'll be sitting in the passenger seat with you all the way.
[00:50:32.929 --> 00:50:39.371]  And I was excited to go and stand up for what I thought was a republic of we the people.
[00:50:40.632 --> 00:50:44.413]  And I feel like God chose me.
[00:50:45.754 --> 00:50:46.815]  I felt like God chose me.
[00:50:48.752 --> 00:50:54.326]  You've just been found guilty in a federal court on four misdemeanors up to three years in prison.
[00:50:54.466 --> 00:50:58.115]  Would your father be proud of you today if he was here?
[00:50:59.170 --> 00:51:01.091]  Oh yes, he definitely would have been.
[00:51:02.071 --> 00:51:02.931]  I know he would have been.
[00:51:03.071 --> 00:51:04.252]  He stood for truth all the way.
[00:51:04.292 --> 00:51:04.872]  So did my mom.
[00:51:05.212 --> 00:51:09.133]  They taught me to stand for truth and that's the way I was brought in.
