[00:00:00.029 --> 00:00:00.950]  Here's the progression.
[00:23:22.407 --> 00:23:23.569]  People started working.
[00:23:23.629 --> 00:23:25.571]  They could work in the fields.
[00:23:25.731 --> 00:23:31.637]  We started industry and people worked for a living and that created abundance.
[00:23:31.677 --> 00:23:36.082]  They weren't feudal slaves anymore that were working on somebody else's land and could never get out of it.
[00:23:36.322 --> 00:23:37.784]  They were actually free for the first time.
[00:23:38.044 --> 00:23:40.687]  Yeah, they didn't have to give everything they had back to the government.
[00:23:40.707 --> 00:23:44.971]  And this was why America was so great, because it gave us financial freedom.
[00:23:44.991 --> 00:23:49.436]  And now they could buy things, and buy land, and open a restaurant, or write a book.
[00:23:49.516 --> 00:23:50.857]  Now you had time to do something.
[00:23:50.917 --> 00:23:51.178]  Yeah.
[00:23:51.598 --> 00:24:05.632]   See, all of these freedoms that came when America started, what the founding fathers envisioned for us, personal freedoms, and political freedoms, and religious freedoms, and health freedoms, and all of that, And that's why the globals are attacking the American system because they're selling total tyranny, eat the bugs.
[00:24:05.852 --> 00:24:09.235]  They've got to discredit this system because people can't have something else to aspire to.
[00:24:09.555 --> 00:24:10.596]  Yeah.
[00:24:10.816 --> 00:24:13.078]  So view this human nature.
[00:24:13.118 --> 00:24:14.239]  This is just human nature.
[00:24:14.799 --> 00:24:18.523]  When you start to have abundance, you start to get selfish.
[00:24:18.923 --> 00:24:20.104]  And it's like, mine, mine, mine, mine.
[00:24:20.144 --> 00:24:21.225]  I want to accumulate this.
[00:24:21.385 --> 00:24:22.786]  Greed just starts to set.
[00:24:22.846 --> 00:24:23.907]  Decadence is setting in.
[00:24:23.987 --> 00:24:24.608]  Start over at the beginning.
[00:24:24.628 --> 00:24:25.108]  I'm interrupting.
[00:24:25.148 --> 00:24:26.109]  Start over at the beginning again.
[00:24:26.650 --> 00:24:29.054]  Because again, there's a shorter version of this.
[00:24:29.574 --> 00:24:30.977]  Hard times make strong men.
[00:24:31.858 --> 00:24:32.980]  Strong men make good times.
[00:24:33.020 --> 00:24:34.102]  Good times make weak men.
[00:24:34.402 --> 00:24:35.263]  Weak men make hard times.
[00:24:36.105 --> 00:24:38.268]  Yeah, that's a good paraphrase.
[00:24:38.288 --> 00:24:39.811]  So, here's the progression.
[00:24:41.377 --> 00:24:42.757]  Bondage to spiritual faith.
[00:24:43.058 --> 00:24:44.618]  Spiritual faith to great courage.
[00:24:45.078 --> 00:24:46.059]  Courage to liberty.
[00:24:46.139 --> 00:24:47.199]  Liberty to abundance.
[00:24:47.679 --> 00:24:52.341]  Abundance to selfishness, where you just start collecting things for you and you stop giving it away.
[00:24:53.201 --> 00:24:54.901]  And then selfishness to apathy.
[00:24:55.402 --> 00:25:01.324]  Once your wallets get really thick and fat and you're just kind of smooth sailing through life, you get apathetic.
[00:25:01.384 --> 00:25:02.844]  What happens when you get apathetic?
[00:25:02.864 --> 00:25:03.784]  You stop caring.
[00:25:04.185 --> 00:25:05.345]  You stop voting.
[00:25:05.425 --> 00:25:10.107]   You stop listening to the things that are important because Your wallets are fat.
[00:25:10.247 --> 00:25:12.049]  You're stagnant.
[00:25:12.509 --> 00:25:22.098]  And then that apathy though, when in a period of apathy, you go back into dependence because you stopped caring and people got voted in that shouldn't have been voted in.
[00:25:22.518 --> 00:25:25.681]  And then that dependence leads back into bondage.
[00:25:26.101 --> 00:25:30.185]  And so in this cycle, where would you say that America is?
[00:25:30.285 --> 00:25:31.726]  Going into bondage.
[00:25:31.946 --> 00:25:34.068]  We're in dependence back into bondage.
[00:25:34.128 --> 00:25:35.809]  We're at the last stage.
[00:25:36.330 --> 00:25:37.771]  So we go back into bondage.
[00:25:38.031 --> 00:25:42.375]  I think central bank digital currency is the financial form of bondage.
[00:25:43.336 --> 00:25:44.977]  You're going to have political bondage.
[00:25:44.997 --> 00:25:47.519]  You're going to have all of these things that you can't do this.
[00:25:47.559 --> 00:25:48.400]  You can't travel.
[00:25:48.780 --> 00:25:51.263]  We already saw the test of that with with COVID.
[00:25:51.923 --> 00:26:09.066]  You know, and everything that Dr. Judy was talking about before me on the show, and it's like... Oh, Davos admits, and they were at Davos WF last week saying, we use COVID as training wheels for the COVID lockdowns and total control, and Germany's going to ban cars on the weekend this summer, now!
[00:26:09.427 --> 00:26:09.567]  Yeah.
[00:26:09.727 --> 00:26:11.667]  I mean, it's all going down, folks!
[00:26:12.168 --> 00:26:13.188]  Right in front of us.
[00:26:13.248 --> 00:26:20.310]  And so you've got all these freedoms that are eroding, the political freedoms, our financial freedoms, our economic freedoms, our personal freedoms.
[00:26:20.870 --> 00:26:31.332]  And to me, the banking system, our ability to buy or sell when we want to, is the ultimate form of bondage in a financial form.
[00:26:31.612 --> 00:26:34.593]  And that's why I think we're right at the end of this cycle.
[00:26:34.953 --> 00:26:36.334]  And so what comes next?
[00:26:36.534 --> 00:26:47.317]   So, Alex, If you go back to, you're a historian like I am, if you go back to 1776, what caused the Revolutionary War?
[00:26:47.397 --> 00:26:47.978]  What caused it?
[00:26:48.058 --> 00:26:49.758]  It was religious freedom.
[00:26:50.038 --> 00:26:55.180]  America was founded on a pro-God, pro-family movement.
[00:26:55.200 --> 00:26:56.721]  They wanted their freedoms.
[00:26:57.081 --> 00:26:59.082]  So same year, 1776, was also the French Revolution.
[00:27:01.983 --> 00:27:06.765]  The French Revolution, the peasants rose up and they wanted money to, you know, they wanted the government to take care of them.
[00:27:07.386 --> 00:27:10.227]  And that revolution, they won.
[00:27:10.507 --> 00:27:13.508]  And France to this day is still a socialist nation.
[00:27:13.528 --> 00:27:15.329]  Because it was communist, it wasn't our version.
[00:27:15.709 --> 00:27:17.150]  It was a completely different version.
[00:27:17.170 --> 00:27:18.951]  They didn't have the Constitution, we had the leaders.
[00:27:18.991 --> 00:27:27.735]  Yeah, so I see us right now, this paradigm shifting moment, this time in history where it's like the tale of two revolutions and which one is going to win.
[00:27:28.275 --> 00:27:31.216]  Are we going to have another American-style revolution?
[00:27:31.536 --> 00:27:33.197]  Are we going to have a French-style revolution?
[00:27:33.217 --> 00:27:42.441]  And that's what Soros wants, is an off-of-their-heads, unending purge that goes on forever for our system, a whole new system of the Republic where everybody's rights are protected.
[00:27:42.781 --> 00:27:43.001]  Yes.
[00:27:43.582 --> 00:27:47.203]  And who gets to decide what's going on?
[00:27:47.723 --> 00:27:52.705]  You know, enough people wake up, enough people start smelling what's happening.
[00:27:52.725 --> 00:27:53.606]  But what you said is key.
[00:27:53.786 --> 00:27:55.146]  We're in a revolution whether you like it or not.
[00:27:55.487 --> 00:27:56.167]  It's who's going to win it.
[00:27:56.607 --> 00:27:56.807]  Yes.
[00:27:56.928 --> 00:28:02.476]  We're already in the Civil War, but it's not the people fighting over black versus white they want it to be, it's us versus the globalists.
[00:28:02.496 --> 00:28:02.857]  Start over.
[00:28:03.037 --> 00:28:05.681]  Yeah, and I think as we look at this...
[00:28:06.664 --> 00:28:31.804]  This is why you do what you do, this is why I do what I do economically, is to bring freedoms to express this message of, yeah, you think you might want the government to take care of you, you think you might want them to give you money, but when they do that, you become a slave to them, you become in bondage to them, and if they can cut you off from buying or selling based on your ideology, this becomes, we're marching down the road... That's mind control!
[00:28:31.864 --> 00:28:32.625]  That's the ultimate!
[00:28:32.805 --> 00:28:33.949]  It is the ultimate mind control.
[00:28:33.969 --> 00:28:34.610]  It's a mark of the beast.
[00:28:35.052 --> 00:28:35.934]  You're a theologian too.
[00:28:36.155 --> 00:28:36.977]  Yeah, and I think...
[00:28:38.146 --> 00:28:43.891]  So, during times in history, you know, that the Christian churches thought, oh my word, the mark of the beast is coming.
[00:28:43.911 --> 00:28:45.192]  By the way, you're not some lightweight theologian.
[00:28:45.212 --> 00:28:47.314]  You were on the board, like, focused on the family, all that stuff.
[00:28:47.555 --> 00:28:58.344]  Yeah, I served on Dr. Dobson's board for like seven years, but I operated in those circles, in those Christian conservative circles a lot, and I have a lot of friends in there.
[00:28:58.464 --> 00:29:02.928]  And, you know, throughout time, even going back, people thought that Hitler was the Antichrist.
[00:29:03.368 --> 00:29:05.848]  People thought that going all the way back...
[00:29:05.848 --> 00:29:06.848]  There are many anti-Christ.
[00:29:06.848 --> 00:29:08.167]  There are so many different anti-Christ.
[00:29:08.167 --> 00:29:15.127]   But we didn't have the technology of the ability to have a Mark of the Beast system where,
[00:29:15.127 --> 00:29:17.048]  what does Revelation 13 tell us?
[00:29:17.048 --> 00:29:21.328]   It says, "Okay, you can't buy or sell unless you have the mark."
[00:29:21.328 --> 00:29:22.328]  Okay, people can buy or sell...
[00:29:22.328 --> 00:29:24.328]  And you have to submit to get the mark.
[00:29:24.478 --> 00:29:27.760]  You have to worship the beast, which means total commitment to get the mark.
[00:29:27.780 --> 00:29:28.921]  People say, oh, it's just a mark.
[00:29:28.981 --> 00:29:30.862]  No, you have to follow what it says.
[00:29:30.942 --> 00:29:33.083]  Cut your son's genitals off.
[00:29:33.363 --> 00:29:34.624]  You've got to support pedophilia.
[00:29:34.644 --> 00:29:36.264]  You've got to support world government.
[00:29:36.284 --> 00:29:39.346]  You have to worship the beast to get the mark.
[00:29:39.806 --> 00:29:42.528]  Yeah, and so the mark of the beast isn't just for America.
[00:29:42.668 --> 00:29:43.688]  It's not just for Europe.
[00:29:43.748 --> 00:29:44.709]  It's not just for Africa.
[00:29:44.789 --> 00:29:45.949]  It's a global beast.
[00:29:45.970 --> 00:29:47.530]  And what is Klaus Schwab and all these guys?
[00:29:47.570 --> 00:29:48.351]  They are a beast.
[00:29:48.711 --> 00:29:57.270]   They are attacking us. The system is a beast system and now we have with the internet, with social media, with all of
[00:29:57.270 --> 00:30:02.411]   these different instantaneous communication, you can spread the message to everybody instantly.
[00:30:02.411 --> 00:30:11.750]   You've now got the ability to cut people off digital via central bank digital currency and biometric identification
[00:30:11.750 --> 00:30:13.310]  to your bank accounts.
[00:30:13.485 --> 00:30:19.129]  Now this, to me, is the first time in history where a Mark of the Beast type system in that era.
[00:30:19.149 --> 00:30:22.431]  How did people, how did John, I mean, how did Pat most envision this?
[00:30:22.471 --> 00:30:23.292]  That's God.
[00:30:23.812 --> 00:30:25.093]  I mean, this is happening.
[00:30:25.353 --> 00:30:26.054]  Hallelujah!
[00:30:26.234 --> 00:30:27.054]  We're eternal spirits.
[00:30:27.094 --> 00:30:27.915]  I've already seen it myself.
[00:30:27.975 --> 00:30:30.276]  I don't, most people don't get to have the experience I've had.
[00:30:30.337 --> 00:30:33.379]  God's blessed me to actually really show me stuff and tell me stuff so I know God's real.
[00:30:34.039 --> 00:30:35.760]  Both of you are like, oh, I don't know if it's real or whatever.
[00:30:35.800 --> 00:30:39.281]  No, God's real, your eternal spirit, but also, we're going to go through this.
[00:30:39.601 --> 00:30:41.822]  Like, this is real, people, and you're seeing it happen.
[00:30:42.042 --> 00:30:43.863]  How did somebody 2,000 years ago envision this?
[00:30:44.083 --> 00:30:46.124]  How did Ezekiel 3,000 years ago envision this?
[00:30:46.624 --> 00:30:47.784]  How did Daniel envision this?
[00:30:48.405 --> 00:30:53.867]  Only with God, who knows the beginning from the end, and there is, God transcends time.
[00:30:54.847 --> 00:31:07.395]  So, of course, when God is seeing something, he's seeing the past, the present, and the future all at one time, and he's speaking that into the prophets, and they're just repeating it, and so... So God gives us free will, but he gives us a cheat sheet.
[00:31:08.376 --> 00:31:10.897]  He tells you, okay, you've got free will, by the way, this is what's going to happen.
[00:31:10.917 --> 00:31:12.598]  He knows what's going to happen.
[00:31:12.618 --> 00:31:13.719]  This is what a father would do.
[00:31:14.379 --> 00:31:18.762]  I'm giving you free will, you're a new free creature, but I'm going to give you lessons and tell you how this works.
[00:31:19.202 --> 00:31:20.103]  Why would you not listen to the father?
[00:31:20.984 --> 00:31:21.824]  I mean, of course.
[00:31:21.844 --> 00:31:22.725]  Listen to our father.
[00:31:24.380 --> 00:31:33.984]  He tells us in his word how to live, how to survive, how to thrive, and he didn't say, Alex, ever that this was going to be an easy path.
[00:31:34.864 --> 00:31:37.125]  In fact, he said it was going to be opposite.
[00:31:37.185 --> 00:31:41.587]  He said, hey, you're going to be, Jesus said, you're going to be persecuted when you follow me, right?
[00:31:41.667 --> 00:31:45.788]  But the end result is this amazing life of peace.
[00:31:45.828 --> 00:31:48.489]  We're given the keys of the universe after the boot camp.
[00:31:48.970 --> 00:31:50.170]  This is Marine Corps boot camp.
[00:31:50.310 --> 00:31:50.510]  Yeah.
[00:31:50.750 --> 00:31:51.991]  And God's like, this is going to be tough now.
[00:31:52.995 --> 00:31:53.996]  The keys are waiting right here!
[00:31:54.577 --> 00:31:57.580]  Yeah, and just like the disciples, what are we called to do?
[00:31:57.620 --> 00:31:59.462]  We're called to be light in this dark world.
[00:32:00.643 --> 00:32:02.965]  You're a light in this dark world by spreading this message.
[00:32:03.626 --> 00:32:05.327]  I do financial stuff.
[00:32:05.487 --> 00:32:15.977]   Everybody watching this show has the ability to be light to your neighbor in your workplace, everywhere, and the only way that this message of hope Which there is hope.
[00:32:16.177 --> 00:32:20.699]  Just because we're talking about garbage and what the government's doing, we didn't create that.
[00:32:20.780 --> 00:32:25.362]  We're talking about how do you not just... We're talking about the problems so we can avoid it.
[00:32:25.402 --> 00:32:26.342]  But again, think about that.
[00:32:27.583 --> 00:32:28.843]  God is eternal.
[00:32:29.243 --> 00:32:32.285]  God can make new creatures that have free will that are eternal.
[00:32:32.985 --> 00:32:34.386]  They weren't before, but they're now made.
[00:32:34.406 --> 00:32:35.266]  That's beautiful.
[00:32:36.026 --> 00:32:37.767]  How do you test an eternal creature?
[00:32:38.067 --> 00:32:41.669]  You put it in a body, you put it under stress, you put it there to see what it's going to do.
[00:32:42.429 --> 00:32:43.589]  I mean, it's right there, folks!
[00:32:43.629 --> 00:32:44.049]  That's it!
[00:32:44.149 --> 00:32:44.629]  It's real!
[00:32:44.649 --> 00:32:46.270]  I mean, we are eternal!
[00:32:46.450 --> 00:32:46.790]  Done!
[00:32:46.810 --> 00:32:49.170]  There's going to be no discussion!
[00:32:49.210 --> 00:32:49.951]  Do what God says!
[00:32:50.431 --> 00:32:52.751]  Yeah, I mean, tested by fire.
[00:32:52.771 --> 00:32:55.592]  I mean, so what will survive?
[00:32:56.292 --> 00:32:58.172]  Things that have eternal value.
[00:32:58.692 --> 00:33:02.353]  You know, you can't really take anything with you ever, except your reputation.
[00:33:03.313 --> 00:33:14.686]   And I want to hear, Alex, when I'm done, On this earth, and I meet Jesus face-to-face on Judgment Day, and I look into his fiery eyeballs, I want him to say, Well done, my good and faithful servant.
[00:33:14.706 --> 00:33:15.787]  With you I am well pleased.
[00:33:16.188 --> 00:33:16.328]  Right?
[00:33:16.368 --> 00:33:21.976]  Because if I don't hear that, if you don't hear that, nobody that hears anything...
[00:33:22.276 --> 00:33:27.859]  If you don't hear those words, you're not going to like the other words that come out of the great judge's mouth, right?
[00:33:27.899 --> 00:33:32.522]  And so here's where we go through life and we spread this message of hope.
[00:33:32.582 --> 00:33:36.865]  We give solutions to eliminate and melt away people's fear.
[00:33:37.325 --> 00:33:42.609]  Fear is a tactic of the enemy to actually get people to do something that they don't want to do.
[00:33:42.929 --> 00:33:44.791]  So fear will cause you to not act.
[00:33:44.851 --> 00:33:46.552]  Fear will cause you to make a wrong decision.
[00:33:46.892 --> 00:33:48.714]  But God didn't give us a spirit of fear.
[00:33:48.754 --> 00:34:01.484]   He gave us a spirit of a sound mind and wisdom and creativity and everything that the creator of the universe instills in each and every one of us, we can operate in that amazing Anti-spirit of fear.
[00:34:01.604 --> 00:34:02.545]  It's faith, Alex.
[00:34:02.685 --> 00:34:09.270]  It's love and commitment and loyalty and honor and freedom.
[00:34:09.771 --> 00:34:11.252]  I mean, literally, it's freedom.
[00:34:11.292 --> 00:34:14.695]  This is what the Founding Fathers envisioned for this country.
[00:34:14.715 --> 00:34:16.176]  That's all Satan offers is slavery.
[00:34:16.577 --> 00:34:18.899]  And we've deviated from that so much.
[00:34:19.319 --> 00:34:22.382]  To me, it's like, it's no wonder we are where we are in this country.
[00:34:24.014 --> 00:34:27.037]  It's surprising we've gone this far and God hasn't blown us up.
[00:34:27.758 --> 00:34:28.759]  I mean, seriously.
[00:34:29.039 --> 00:34:37.588]  It's mind-numbing to me that God has tarried so long, but He's a God that's full of grace.
[00:34:37.629 --> 00:34:39.090]  He's a God that's full of mercy.
[00:34:39.591 --> 00:34:48.156]   And we then, during this time that's left on this earth, We have to actually take that, take that rallying cry, and do something good.
[00:34:48.256 --> 00:34:50.877]  And here's the cycle of democracy going back to that.
[00:34:51.157 --> 00:34:51.557]  Start over.
[00:34:51.577 --> 00:34:52.337]  I keep interrupting.
[00:34:52.377 --> 00:34:52.997]  This is important.
[00:34:53.017 --> 00:34:55.718]  You're getting to the theological, but yeah, go through it again.
[00:34:55.898 --> 00:35:08.441]   Well, we're pretty much done with it, but if we don't do something, this cycle, this revolution that we are in, We will actually be a French-style revolution if we don't wake up.
[00:35:08.701 --> 00:35:09.541]  And that's what it's all about.
[00:35:09.641 --> 00:35:11.161]  God wants us to break the cycle.
[00:35:11.642 --> 00:35:20.283]  Because again, if you're God and created all of the universe and all that there is, which this is happening, what's the one thing you can do that's different?
[00:35:20.923 --> 00:35:22.664]  You create creatures that have free will.
[00:35:23.124 --> 00:35:38.271]   But if they have free will, then there's like, oh, but they might be bad, so then God again Literally puts himself into a human to come out here and teach us, does all this, influences us, sends the angels, sends the Holy Spirit, everything to like guide the children.
[00:35:38.291 --> 00:35:44.675]  Remember the Bible talks about God loves a sparrow so much, think how much God loves you.
[00:35:44.736 --> 00:35:49.218]  God can't stand losing any of us, but God did this to give us free will.
[00:35:49.279 --> 00:35:49.899]  What a gift!
[00:35:50.299 --> 00:35:54.662]  Yeah, and it's not a suggestion from him.
[00:35:55.222 --> 00:35:58.325]  It's a command, don't worry about tomorrow.
[00:35:59.229 --> 00:36:04.839]  Right, and so here's in my simpleton view, how do you succeed in this world?
[00:36:04.899 --> 00:36:05.901]  I think there's two things.
[00:36:06.382 --> 00:36:08.185]  Number one, you'd be an extravagant giver.
[00:36:09.432 --> 00:36:18.178]  And because God tells us in Malachi 6, when you give and when you give with a grateful heart, watch out because the floodgates of heaven are going to be opened up so much you won't have room enough to contain the blessing.
[00:36:18.498 --> 00:36:22.021]  That could be a financial blessing, relationship blessing, all kinds of different blessings.
[00:36:22.041 --> 00:36:22.941]  Healthy children.
[00:36:23.402 --> 00:36:23.762]  All of it.
[00:36:23.802 --> 00:36:25.443]  It doesn't say what the blessing is.
[00:36:25.463 --> 00:36:27.504]  It just says blessing so much you can't contain it.
[00:36:27.945 --> 00:36:29.826]  And number two, never give up.
[00:36:30.609 --> 00:36:43.538]  You know, if I were going from Colorado to California and I were going on this track, if I keep walking, if I keep riding a bike, if I keep running, if I keep driving, I will ultimately get to California.
[00:36:43.558 --> 00:36:44.039]  To the ocean.
[00:36:44.259 --> 00:36:47.061]  But if you stop, well then you're never going to get there.
[00:36:47.401 --> 00:36:57.406]   So if you don't give up and you have extravagant Giving, and actually thirdly, I'll add this one in there, you love your neighbor, but to love your neighbor, you have to love yourself first.
[00:36:57.807 --> 00:36:59.147]  You know, you have all those three things.
[00:36:59.167 --> 00:37:01.148]  And people think giving means just money.
[00:37:01.208 --> 00:37:03.629]  No, it's giving of energy, giving of caring.
[00:37:04.690 --> 00:37:11.633]  It's giving of your time, of your energy, of your compassion, of your prayers, of your finances, of your talents, of your brain.
[00:37:12.603 --> 00:37:13.123]  All of that.
[00:37:13.184 --> 00:37:14.344]  Well, I've experienced that.
[00:37:14.364 --> 00:37:16.646]  I didn't do this from some holy roller.
[00:37:16.746 --> 00:37:17.567]  I'm a perfect guy.
[00:37:17.587 --> 00:37:18.427]  I hated the tyrants.
[00:37:18.507 --> 00:37:20.009]  I love God, but God was coming over here.
[00:37:20.249 --> 00:37:24.112]  Yeah, God, you're like a little helper, you know, the first 10, 15 years of this.
[00:37:24.432 --> 00:37:27.594]  But as I got more attacked, I was like, no, it's all God now because he got so big.
[00:37:28.135 --> 00:37:31.958]  But every time I'm attacked, the doors blow open to victory.
[00:37:32.298 --> 00:37:34.059]  And every time I go, God, I'm not like Job.
[00:37:34.119 --> 00:37:36.581]  I think Job has, I don't want my children to die.
[00:37:37.001 --> 00:37:40.484]  But the point is nothing compared to Job, but it's like literally now I go, oh, I'm being attacked.
[00:37:40.604 --> 00:37:41.565]  Really good stuff's about to happen.
[00:37:42.665 --> 00:37:43.605]  I'm not a masochist.
[00:37:43.645 --> 00:37:46.386]  I don't like the pain, but I'm like, oh my god, big stuff.
[00:37:46.966 --> 00:37:49.107]  Every attack instantly leads to victory.
[00:37:49.747 --> 00:37:50.127]  It does.
[00:37:50.847 --> 00:37:52.008]  And the enemy is blind.
[00:37:52.048 --> 00:37:54.088]  They can't seem to see that.
[00:37:54.469 --> 00:37:58.710]  They have all these smarts about the world, their own system, but above that, they have no understanding.
[00:37:59.110 --> 00:37:59.310]  Yeah.
[00:38:00.003 --> 00:38:13.448]  So Alex, if we can shift our mindset as a society from short-term pleasure to medium and long-term gain and benefits, if you know where you want to go, what are you going to do to get there?
[00:38:13.508 --> 00:38:16.230]  If you want financial freedom, what are you going to do to get there?
[00:38:16.570 --> 00:38:19.551]  Is what you're doing now going to do it for you?
[00:38:20.671 --> 00:38:29.257]  If you need to lose weight and you just sit there on the couch eating potato chips and candy all day, are you going to get to your fort?
[00:38:29.857 --> 00:38:37.062]  Well, I don't mean this is an attack on crypto, because it has some uses, but God made the heavens, the earth, iron, the soil, the trees, us.
[00:38:37.342 --> 00:38:38.303]  He made gold and silver.
[00:38:38.323 --> 00:38:41.965]  I think at the end of the day, I'm betting on what God made gold and silver.
[00:38:44.255 --> 00:38:44.775]  I agree.
[00:38:44.895 --> 00:38:46.856]  I mean, it's... God made uranium.
[00:38:46.896 --> 00:38:47.916]  We blow up cities with it.
[00:38:47.956 --> 00:38:50.097]  I mean, God made some powerful stuff.
[00:38:50.417 --> 00:38:51.917]  This metal does this, this metal does that.
[00:38:51.957 --> 00:38:54.358]  He's like, here's the keys of the universe, boys!
[00:38:54.718 --> 00:39:01.620]  Yeah, and God is so powerful that he's not sitting up there scratching his beard thinking, look what's happening to the world.
[00:39:01.680 --> 00:39:02.820]  I didn't see this coming.
[00:39:02.860 --> 00:39:03.020]  No.
[00:39:03.141 --> 00:39:06.241]  He knows the beginning from the end, but he gives us solutions.
[00:39:06.301 --> 00:39:20.535]   And what I focus 24-7, my time on, is financial solutions for people to navigate through this storm, to have a smile on your face, because I know every... It's a no-brainer, people.
[00:39:20.795 --> 00:39:23.638]  I am pitching this because I wish I could do it myself, but I'm not.
[00:39:24.098 --> 00:39:25.440]  Everybody should be in silver and gold right now.
[00:39:26.343 --> 00:39:36.906]  Yeah, everybody with whatever portion of your assets gives you that peace of mind when you put your head down on the pillow at night and you think, I don't want anybody to think, oh man, I've done too little, I've done too much.
[00:39:36.986 --> 00:39:38.466]  No, you have to do what's just right for you.
[00:39:38.806 --> 00:39:44.307]  Now for me and my house, we're like 100% into silver because it's the only thing that makes sense.
[00:39:44.367 --> 00:39:46.828]  And explain that, you'll buy the gold later with the silver money.
[00:39:47.639 --> 00:39:57.363]  Yeah, this is exciting because there's this historical ratio, which we've gone over on previous shows, between gold and silver, and historically that number is 20 to 1.
[00:39:57.563 --> 00:40:00.044]  It takes 20 ounces of silver to buy one ounce of gold.
[00:40:00.484 --> 00:40:02.905]  Well, today it's literally like 85 to 1.
[00:40:02.965 --> 00:40:05.006]  It's not at an all-time high, but it's really close.
[00:40:05.606 --> 00:40:07.607]  So, what does that number tell us?
[00:40:07.667 --> 00:40:09.268]  It tells us one of two things, Alex.
[00:40:09.308 --> 00:40:12.669]  It either says gold is overvalued or silver is undervalued.
[00:40:13.109 --> 00:40:14.850]  Well, do I think gold's overvalued?
[00:40:15.131 --> 00:40:15.331]  Nope.
[00:40:15.911 --> 00:40:18.053]  Because what causes gold to go up?
[00:40:18.653 --> 00:40:22.776]  Unsustainable debt, inflationary pressures, political chaos, geopolitical conflict.
[00:40:22.817 --> 00:40:24.298]  We have all of that in spades.
[00:40:24.318 --> 00:40:26.079]  And they're using naked shorts to suppress it all.
[00:40:26.519 --> 00:40:26.720]  Yeah.
[00:40:27.120 --> 00:40:29.342]  Wait till we get into the naked shorts and silver, Alex.
[00:40:29.362 --> 00:40:31.003]  I'm going to shut up.
[00:40:31.083 --> 00:40:33.985]  It's been a great discussion, but I say I'm going to shut up because I'm so excited.
[00:40:34.005 --> 00:40:35.686]  Keep going.
[00:40:36.067 --> 00:40:39.649]  But if gold's not overvalued, it's going to continue to grow.
[00:40:40.630 --> 00:40:42.150]  Uh, what's silver going to do?
[00:40:42.310 --> 00:40:43.771]  It's going to outperform.
[00:40:44.131 --> 00:40:49.392]  So in theory, let's just say over the next 12 to 18 months, silver triples the rate of growth of gold.
[00:40:49.812 --> 00:40:53.993]  Well, what I would recommend is we sell our silver, go into gold.
[00:40:54.033 --> 00:40:54.753]  And what did I just do?
[00:40:54.793 --> 00:40:58.674]  I got you triple the amount of rate of gold then that what I could have purchased for you today.
[00:40:59.014 --> 00:41:00.575]  Again, that's free ounces.
[00:41:00.715 --> 00:41:02.415]  Technically, that's extra ounces.
[00:41:02.515 --> 00:41:03.295]  Go slow those.
[00:41:03.455 --> 00:41:04.316]  People ask me in the street.
[00:41:04.816 --> 00:41:05.676]  Explain it slowly.
[00:41:05.916 --> 00:41:06.076]  Yeah.
[00:41:06.556 --> 00:41:09.237]  So if we're Alec, if gold is growing.
[00:41:10.177 --> 00:41:12.459]  And silver is growing faster.
[00:41:13.280 --> 00:41:14.361]  Well, then what?
[00:41:14.461 --> 00:41:17.723]  Let's just say it triples the rate of growth of gold.
[00:41:18.244 --> 00:41:28.112]  Well, I'll sell the silver, go into gold, and if silver tripled the rate of growth of gold, we can get almost triple the amount of ounces of gold then, as what I could have purchased for you today.
[00:41:28.152 --> 00:41:34.197]   So if you could have purchased 100 ounces of gold today, And we allocate into silver, it outperforms.
[00:41:34.538 --> 00:41:39.963]  I could maybe get you 250, 300 ounces of gold down the road, depending on that ratio.
[00:41:40.123 --> 00:41:42.986]  To me, this is the beginning of how we started the show.
[00:41:43.006 --> 00:41:46.269]  It's like, don't measure your wealth in terms of paper dollars.
[00:41:46.790 --> 00:41:52.395]  Measure it in the amount of metals and ounces that you control, because that was free gold.
[00:41:52.475 --> 00:41:56.699]   That extra 200 ounces in this example, Didn't come out of nowhere.
[00:41:56.759 --> 00:41:57.639]  It's not magic.
[00:41:58.120 --> 00:41:59.240]  It's just math.
[00:41:59.561 --> 00:42:03.903]  You allocate into the outperforming metal and sell it when the time is right.
[00:42:03.943 --> 00:42:06.305]  It's not like I'm married to silver.
[00:42:06.325 --> 00:42:07.846]  I couldn't care less, Alex.
[00:42:08.206 --> 00:42:11.508]  If it were pointing towards going to gold, I would go into gold.
[00:42:11.528 --> 00:42:16.952]  But why are the globalists, because I said this with the Hunt brothers and all covering it, they're obsessed with suppressing silver.
[00:42:16.972 --> 00:42:17.952]  They really don't like it.
[00:42:19.193 --> 00:42:20.754]  So there's a few reasons.
[00:42:22.575 --> 00:42:31.080]   I think number one is And I got a lot of this information from silverwars.org.
[00:42:32.221 --> 00:42:38.701]   Those guys are the guys behind Wall Street Bets and that whole thing when they were shorting GameStop.
[00:42:38.701 --> 00:42:50.940]   Going back to the Manhattan Project, you have the suppression of silverware.
[00:42:51.017 --> 00:42:51.277]  Why?
[00:42:51.657 --> 00:42:55.320]  Because so much silver is needed in the defense industry.
[00:42:56.742 --> 00:42:57.302]  Like missiles.
[00:42:57.142 --> 00:42:58.821]  Let's see, I've got this.
[00:42:58.821 --> 00:43:00.662]  So they want to log as they're using it.
[00:43:00.662 --> 00:43:06.382]  They want to use it for everything that they can.
