[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[00:28:21.532 --> 00:28:24.574]  That's like if I thump you in the nose versus shoot you in the head with a shotgun.
[00:28:24.794 --> 00:28:25.435]  Twelve gauge, okay?
[00:28:26.375 --> 00:28:28.196]  What you saw was a thump.
[00:28:28.216 --> 00:28:29.097]  Seventeen millions of thump.
[00:28:29.317 --> 00:28:29.517]  Okay?
[00:28:29.617 --> 00:28:29.817]  Thump.
[00:28:30.458 --> 00:28:31.398]  This is cutting your head off.
[00:28:31.599 --> 00:28:31.799]  Alright?
[00:28:32.699 --> 00:28:33.300]  And I'm a man.
[00:28:33.600 --> 00:28:34.160]  And I'm tough.
[00:28:34.400 --> 00:28:35.761]  And I am, I'm not scared.
[00:28:36.322 --> 00:28:38.103]  I am determined to stop these people.
[00:28:38.583 --> 00:28:38.843]  Alright?
[00:28:40.584 --> 00:28:40.824]  Alright?
[00:28:40.844 --> 00:28:44.447]  You understand, ladies and gentlemen, they're coming to kill you and your family.
[00:28:44.507 --> 00:28:45.688]  Do you understand that?
[00:28:46.530 --> 00:28:47.310]  Do you understand?
[00:28:48.551 --> 00:28:49.271]  Nobody's safe.
[00:28:50.592 --> 00:28:51.813]  These people are maniacs.
[00:28:52.593 --> 00:28:53.234]  We'll be right back.
[00:28:53.314 --> 00:28:54.194]  I'll tell you how we stop them.
[00:28:54.214 --> 00:28:54.574]  Stay with us.
[00:28:59.557 --> 00:29:01.598]  Ladies and gentlemen, it's happening.
[00:29:02.078 --> 00:29:05.300]  Two years in the making and we didn't plan it like this because we didn't know.
[00:29:06.115 --> 00:29:14.257]  To release Alex Jones New World Order Wars, that's all about fighting Epstein, and Clinton, and Hillary, and the Deep State, and the pedo-rings.
[00:29:14.378 --> 00:29:18.539]  Whole levels just dealing with that, because that's the truth of how they operate.
[00:29:18.839 --> 00:29:23.000]  And now the game went on Steam, the biggest online platform of video games in the world.
[00:29:23.020 --> 00:29:23.840]  150 million users a week.
[00:29:26.141 --> 00:29:26.642]  Alex Jones Game.
[00:29:47.399 --> 00:29:48.742]  We are taking back the culture.
[00:29:48.782 --> 00:29:49.824]  We are taking things back.
[00:29:50.125 --> 00:29:51.408]  This will fund the InfoWar.
[00:29:51.468 --> 00:29:52.931]  Going into the election in the next 10 months.
[00:29:53.352 --> 00:29:55.055]  Don't let me fail you if you don't take action.
[00:29:55.135 --> 00:29:57.841]  Get New World Order Wars by Alex Jones now!
[00:30:00.239 --> 00:30:12.042]  We are in the middle of a crude and ugly communist revolution, funded by the big banks as a battering ram into a new age digital economy and a total surveillance state.
[00:30:12.502 --> 00:30:20.524]  All branches of government are attacking we the people and they offer us only one option, a meaningless vote in a rigged election.
[00:30:21.404 --> 00:30:32.088]  What we can do is be prepared and you can support the InfoWar by shopping at InfoWarStore.com for products to help you through good times and bad.
[00:30:32.849 --> 00:30:35.630]  And you can share the videos at Band.Video.
[00:30:36.290 --> 00:30:41.572]  Our best hope still is and always has been a mass awakening.
[00:30:42.052 --> 00:30:43.293]  So download the videos.
[00:30:44.113 --> 00:30:47.735]  Share them, upload them, and send them everywhere.
[00:30:48.396 --> 00:30:52.018]  Let the world unite for truth, justice, and 1776 worldwide.
[00:30:59.238 --> 00:31:03.520]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned.
[00:31:03.740 --> 00:31:11.744]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you.
[00:31:12.124 --> 00:31:18.507]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes
[00:31:18.507 --> 00:31:24.053]  This is high quality processes that has applications for both preparedness and regular use.
[00:31:24.373 --> 00:31:35.305]  Concentrated to 30 parts per million in a pure base of deionized water, this survival silver is the perfect fit for you and your family's routine and emergency supply.
[00:31:35.605 --> 00:31:41.151]  Baloidal silver is an amazing natural product that can assist your body's many healing processes.
[00:31:41.431 --> 00:31:49.500]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[00:31:49.660 --> 00:31:53.525]  Try InfoWars Live Silver Bullet Colloidal Silver today!
[00:31:53.745 --> 00:31:56.748]  Available right now at InfoWarsStore.com.
[00:31:58.965 --> 00:32:07.134]  January 2024 is here, and that means up to 60% off at Infowarestore.com, free shipping, and double Patreon points.
[00:32:07.594 --> 00:32:13.160]  This is one of the biggest deals of the year, and it supports the Infowar, and we're selling out a lot of these products.
[00:32:13.200 --> 00:32:19.026]  It'll be months and months until more are back in stock, whether it's books, films, t-shirts, you name it.
[00:32:19.266 --> 00:32:28.700]  You need to go to InfoWarsTore.com right now and take advantage of this 2024 New Year sale, double Patreon points, free shipping, and so much more.
[00:32:28.981 --> 00:32:35.070]  Get a copy of my book, Signed or Unsigned, The Great Awakening, The Plan to Defeat the Globalists, and launch the next great renaissance.
[00:32:35.490 --> 00:32:39.133]  And again, thank you so much for your amazing support in 2023.
[00:32:39.434 --> 00:32:42.096]  But 2024, as everybody knows, is the big year.
[00:32:42.416 --> 00:32:46.240]  So please support us and get great products at InfoWarsStore.com.
[00:32:46.720 --> 00:32:52.466]  And tell everybody you know and those you don't know, tune into the live show at InfoWars.com forward slash show.
[00:32:52.746 --> 00:32:54.147]  God bless and we're going into 2024 together.
[00:33:00.720 --> 00:33:04.814]  Leading a frontal assault on the lies of the New World Order.
[00:33:05.336 --> 00:33:06.641]  It's Alex Jones!
[00:33:39.016 --> 00:33:45.097]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:33:45.537 --> 00:33:59.360]  You're listening to Alex Jones.
[00:34:00.300 --> 00:34:07.202]  You know, I don't say this to attack the Kremlin.
[00:34:08.504 --> 00:34:10.125]  I say this because it's a learning experience.
[00:34:12.865 --> 00:34:18.387]  For a few weeks, I've said, we need to stream the show on X, where we can reach tens of millions more people.
[00:34:19.288 --> 00:34:22.549]  And then it just kind of goes to the background, like, oh, I don't think we're even allowed to do that.
[00:34:22.669 --> 00:34:23.329]  Oh, yeah, we are.
[00:34:23.349 --> 00:34:26.710]  Now let's stream it to X. Every person we reach is absolutely critical.
[00:34:27.190 --> 00:34:31.912]  And then all week, I'm like, I want my show and all the other shows to stream it out there.
[00:34:31.952 --> 00:34:34.493]  But people are so trained, they don't even have that venue.
[00:34:35.734 --> 00:34:36.700]  That we don't even do it.
[00:34:37.082 --> 00:34:38.691]  And people tuning into the show are the same.
[00:34:39.923 --> 00:34:55.571]  There's a normalcy, a learned helplessness here, where, oh, well, just Alex Jones has been talking about how they're going to release viruses and have lockdowns, and how the first few times they do it, it's a drill to train society for the new way, and this is to cut resources and save the Earth, and really it's a carbon lockdown.
[00:34:55.851 --> 00:34:58.913]  I was reading this crap 15, 20 years ago.
[00:34:59.133 --> 00:35:00.693]  They already had it dialed in and ready.
[00:35:00.874 --> 00:35:02.154]  And I've shown you the documents.
[00:35:02.214 --> 00:35:03.095]  I'm about to do it again.
[00:35:03.115 --> 00:35:07.657]  And how they do it, I have their damn battle plan.
[00:35:07.897 --> 00:35:09.498]  I have their freaking playbook.
[00:35:09.918 --> 00:35:11.179]  Do you not understand me?
[00:35:14.800 --> 00:35:18.762]  And then I go to the real Alex Jones on Twitter, and there's not even a live feed to this.
[00:35:21.203 --> 00:35:23.104]  And that's like guaranteed 5 million views.
[00:35:23.164 --> 00:35:24.624]  It's like, ah, it's just 5 million people.
[00:35:25.244 --> 00:35:26.005]  Why do we need to warn them?
[00:35:26.065 --> 00:35:28.246]  And I'm not, I'm saying this as a learning experience.
[00:35:28.626 --> 00:35:30.787]  Every viewer listening to this show
[00:35:31.894 --> 00:35:34.795]  Needs to be getting this show out like your life depends on it.
[00:35:34.975 --> 00:35:45.118]  I'm not risking my life and going up against these people and endangering my family unless the other danger of letting them do what they want was a hundred times worse.
[00:35:45.258 --> 00:35:46.019]  A thousand times.
[00:35:48.179 --> 00:35:50.000]  We're in a house we can't get out of.
[00:35:50.060 --> 00:35:50.640]  It's a planet.
[00:35:51.440 --> 00:35:55.882]  If they burn the house down, I have to stay in the house and put the fire out because there's nowhere to go.
[00:35:57.620 --> 00:35:58.801]  I know I'm in a burning house.
[00:35:59.422 --> 00:36:02.526]  I know I'm in the system with the walls closing in on me.
[00:36:02.966 --> 00:36:05.249]  And I see the idiots laughing and closing in on me.
[00:36:05.489 --> 00:36:07.331]  They don't get it's closing in on you!
[00:36:09.353 --> 00:36:11.676]  There needs to be extreme urgency!
[00:36:12.917 --> 00:36:15.801]  People need to wake up and get focused!
[00:36:19.025 --> 00:36:24.130]  Do you understand they have the official UN treaty that I've covered the last six, seven versions of, and it just gets worse.
[00:36:24.570 --> 00:36:32.437]  And they're bringing in central bank currencies, and they're bringing in CBDCs, EFGs, ESGs, all of it.
[00:36:34.799 --> 00:36:37.362]  The control grid is going into place.
[00:36:40.284 --> 00:36:45.309]  They're openly saying that they're going to lock everything down with the next virus, and then they may do another training wheel.
[00:36:47.145 --> 00:36:49.828]  I didn't give you a shot that kills a bunch of people and sterilizes people.
[00:36:50.508 --> 00:36:53.371]  But they'll probably just go with the big one next, okay?
[00:36:53.631 --> 00:37:01.178]  And I've got Yuval Noah Harari of the WEF talking about how great the virus was because it trained us all to live in lockdowns and cut our carbon footprint.
[00:37:01.398 --> 00:37:03.179]  They admit that's the plan.
[00:37:03.400 --> 00:37:07.403]  And King Charles says they're going to have a global mobilization.
[00:37:09.966 --> 00:37:12.148]  A global mobilization.
[00:37:13.021 --> 00:37:15.982]  To quote, save the Earth from the people.
[00:37:16.642 --> 00:37:18.362]  The humans are the problem is the headline.
[00:37:18.743 --> 00:37:29.746]  No, the globalists want power and control, and they've got all this science now, and they don't need people anymore, and they've got life extension, and they want to cull most of us off the planet.
[00:37:29.966 --> 00:37:32.326]  And you can say academically, well, there are probably too many of us.
[00:37:32.566 --> 00:37:34.427]  You're gonna get killed, you dumb bastard!
[00:37:37.620 --> 00:37:44.023]  And let's say you agree with all these globalists and Jane Goodall and Ted Turner, they want to kill us down to 500 million.
[00:37:44.043 --> 00:37:46.024]  Think they're really going to stop there?
[00:37:47.425 --> 00:37:49.846]  That's the little ruling class that's going to be 500 million people?
[00:37:51.247 --> 00:37:59.071]  Every real analysis of this shows gigantic nuclear wars and hell on earth, and it'll destroy the globalists right along with all the rest of us.
[00:38:00.404 --> 00:38:02.926]  But they're so satanic and so driven!
[00:38:03.287 --> 00:38:04.187]  They're doing it!
[00:38:04.267 --> 00:38:06.429]  They're going ahead with the Doomsday Plan!
[00:38:06.730 --> 00:38:08.331]  Do you understand?
[00:38:08.671 --> 00:38:12.054]  We're covering the most important information in the world!
[00:38:14.476 --> 00:38:19.761]  And the media makes a joke about it, so we all just subconsciously think, well, that's Alex, you know, he's yelling and screaming up there.
[00:38:20.161 --> 00:38:23.805]  If I'm right, which I am, they admit it, then shouldn't you be freaked out?
[00:38:26.807 --> 00:38:26.967]  So...
[00:38:28.451 --> 00:38:32.194]  I'm going to go to these breakdowns here, and I'm going to come back and show the documents.
[00:38:33.034 --> 00:38:34.075]  And then I'm going to go do the syncing.
[00:38:36.376 --> 00:38:38.538]  Because everybody else puts this out on X and Restreamers.
[00:38:38.558 --> 00:38:41.980]  I'll just get somebody else's stream of us, and I'll put it out on Real Alex Jones.
[00:38:42.260 --> 00:38:43.401]  Because it will be here in six months.
[00:38:43.481 --> 00:38:44.521]  It's not going to happen.
[00:38:44.541 --> 00:38:44.982]  We all know that.
[00:38:45.782 --> 00:38:46.202]  So, yeah.
[00:38:46.863 --> 00:38:48.284]  I mean, I am pissed at myself.
[00:38:48.764 --> 00:38:49.865]  I am pissed at everybody.
[00:38:50.025 --> 00:38:50.845]  Because let me tell you something.
[00:38:51.546 --> 00:38:52.866]  I don't want my children dying.
[00:38:56.008 --> 00:38:56.569]  You understand that?
[00:38:58.436 --> 00:39:02.719]  And if somebody put a bullet in Fauci or any of these people, it'll make them victims, and we don't want that.
[00:39:03.279 --> 00:39:10.544]  We want to politically, non-violently kill their operation and expose them, and then we'll have the Nuremberg Trials.
[00:39:10.964 --> 00:39:12.045]  And then we'll get justice.
[00:39:12.065 --> 00:39:16.408]  But I, they're such evil scum, I'm not lusting after their blood.
[00:39:16.508 --> 00:39:20.071]  I want them off of us, off of our children, off our backs.
[00:39:20.971 --> 00:39:21.992]  Out of our world, man.
[00:39:24.401 --> 00:39:26.522]  Let them build their own stupid spaceship and leave.
[00:39:26.582 --> 00:39:28.022]  Just stop doing it!
[00:39:31.043 --> 00:39:38.145]  Now, as scary as all this is, okay, it's now on Real Alex Jones, good.
[00:39:43.507 --> 00:39:47.988]  As bad as all this is, it's hard for people to wrap their mind around something like this.
[00:39:48.768 --> 00:39:50.809]  But it didn't go well for them with their beta test.
[00:39:52.093 --> 00:39:53.514]  But they're still trying it again.
[00:39:53.594 --> 00:39:55.636]  I told Tucker in person and privately.
[00:39:55.696 --> 00:39:56.597]  I said, you watch.
[00:39:57.057 --> 00:39:58.178]  He goes, but they're discredited.
[00:39:58.198 --> 00:39:59.099]  They all know they lied.
[00:39:59.399 --> 00:40:00.400]  Only two percent are taking the shot.
[00:40:00.440 --> 00:40:01.341]  I said, Tucker, they don't care.
[00:40:01.621 --> 00:40:02.262]  They've been planning.
[00:40:02.282 --> 00:40:03.142]  They're going to do it again.
[00:40:03.182 --> 00:40:03.843]  They never give up.
[00:40:05.404 --> 00:40:07.026]  And of course, now you see it.
[00:40:08.127 --> 00:40:12.831]  I mean, the new version of the treaty is just literally arrest anybody that disagrees with the government.
[00:40:13.650 --> 00:40:17.011]  Remember Australia already said this, and they're the big beta test, along with Canada.
[00:40:17.251 --> 00:40:18.851]  The plans came out, and they even said it on TV.
[00:40:19.212 --> 00:40:22.192]  Oh yeah, we're going to lock people up during the next pandemic.
[00:40:25.653 --> 00:40:29.314]  Not just the people that might have COVID, but the troublemakers that don't go along with it.
[00:40:30.115 --> 00:40:34.696]  Those are political camps, and they just rolled out in front of you like it's no big deal.
[00:40:34.916 --> 00:40:36.696]  This is beyond a Trojan horse.
[00:40:37.257 --> 00:40:38.277]  It's not a Trojan horse.
[00:40:39.747 --> 00:40:42.848]  It's a giant army marching right up saying, let us in!
[00:40:43.008 --> 00:40:43.789]  There's too many of you!
[00:40:43.829 --> 00:40:44.729]  We're gonna get rid of you!
[00:40:44.769 --> 00:40:45.309]  Skip the break.
[00:40:48.010 --> 00:40:51.792]  We have a very narrow window to stop these people, okay?
[00:40:53.773 --> 00:40:58.235]  This is the biggest mass murder operation ever carried out in human history.
[00:40:58.635 --> 00:41:01.216]  This is killing World War II level people, okay?
[00:41:04.480 --> 00:41:05.101]  Look at that headline.
[00:41:05.521 --> 00:41:07.103]  Planetary Genocide Alert.
[00:41:07.663 --> 00:41:13.329]  Top scientists, statisticians confirm COVID injections killed over 17 million people.
[00:41:13.349 --> 00:41:15.931]  And you're like, we've been hearing that for a couple years.
[00:41:16.011 --> 00:41:17.032]  It was 5 and 10 and 12, 17.
[00:41:17.092 --> 00:41:19.174]  You've been saying 17, Alex.
[00:41:19.595 --> 00:41:25.380]  Yeah, because I'm having the statisticians on and the morbidity numbers are very easy to get.
[00:41:26.301 --> 00:41:27.663]  But then we got out of New Zealand.
[00:41:29.653 --> 00:41:37.661]  The actual government indexing database of who had the shot, because the government was paying for the shots, it was going to Pfizer.
[00:41:39.122 --> 00:41:43.186]  That was basically the exclusive provider in New Zealand, like 98% of the shots.
[00:41:45.488 --> 00:41:49.873]  And so they could then index it and go, my God, most of these people died within a week of the ones that died.
[00:41:55.728 --> 00:42:04.110]  Those who are survivors, sickly, you take three of the Moderna shots or the Pfizer, even though Moderna is stronger, it takes multiple times.
[00:42:04.951 --> 00:42:06.111]  You have no immune system.
[00:42:07.932 --> 00:42:22.576]  HIV kills the T lymphocytes, the trainer cells that go out, the super white blood cells that go out and train the regular white blood cells, the killers.
[00:42:25.455 --> 00:42:27.176]  This doesn't kill your white blood cells.
[00:42:28.376 --> 00:42:32.498]  They just sit there and do nothing.
[00:42:37.561 --> 00:42:38.041]  Turns them off.
[00:42:38.862 --> 00:42:40.782]  Three shots.
[00:42:40.983 --> 00:42:41.363]  97% turn off.
[00:42:45.625 --> 00:42:47.626]  And Fauci was running the whole HIV crap.
[00:42:47.646 --> 00:42:48.406]  You like that, folks?
[00:42:49.127 --> 00:42:50.887]  You like being given vaccine-induced AIDS?
[00:42:51.148 --> 00:42:51.488]  You like it?
[00:42:51.748 --> 00:42:52.148]  Think it's fun?
[00:42:53.609 --> 00:42:54.009]  Think it's cute?
[00:42:56.499 --> 00:42:59.760]  Now we know they're not going to release anything on us, they don't have a cure for it for their own selves.
[00:43:01.021 --> 00:43:03.942]  So, yeah.
[00:43:03.982 --> 00:43:08.063]  And again, I didn't just take this away to bitch the crew, they did a great job of the debate yesterday, all the rest of it.
[00:43:08.663 --> 00:43:14.866]  I'm just telling you that all the listeners out there, I myself, you do get serious, and I pledge to you.
[00:43:16.806 --> 00:43:21.068]  People tell me they want me to be funny, and that the show's better, the old show.
[00:43:21.608 --> 00:43:23.969]  No, this isn't time to be funny.
[00:43:27.093 --> 00:43:29.034]  This is time to be serious.
[00:43:33.577 --> 00:43:33.877]  Alright?
[00:43:35.298 --> 00:43:41.481]  I've gotten so mad now that I'm already mad about the situation.
[00:43:43.423 --> 00:43:46.765]  And God help us.
[00:43:48.946 --> 00:43:50.567]  People say, how does it feel to be vindicated?
[00:43:51.601 --> 00:43:55.223]  Yeah, I get like text messages from people, oh man, your book's like I'll perform in R.L.K.
[00:43:55.263 --> 00:43:55.684]  Jr.'
[00:43:55.664 --> 00:44:00.927]  's and Senator Paul's, don't you feel good?
[00:44:01.007 --> 00:44:05.110]  I don't care less about performing better than some man.
[00:44:05.770 --> 00:44:07.131]  I hope all our books are number one.
[00:44:07.972 --> 00:44:10.173]  I want to stop the bioweapon attack.
[00:44:10.553 --> 00:44:11.414]  I actually shot back
[00:44:15.399 --> 00:44:20.903]  My friend that sent me that, nothing against him, he's the co-author, and I just said, dude, I don't, great, great.
[00:44:20.923 --> 00:44:22.044]  You know what I want to stop?
[00:44:22.465 --> 00:44:24.546]  I want to stop the extermination of our families.
[00:44:24.586 --> 00:44:25.387]  He said, oh, I agree with you.
[00:44:25.627 --> 00:44:34.174]  Yeah, but I'm saying, it's even in that, like, this is not about, ladies and gentlemen, and I'm not saying people are bad, I'm just saying, this is life and death, you understand that?
[00:44:34.194 --> 00:44:36.676]  This is game time, this is in the zone time, okay?
[00:44:38.086 --> 00:44:40.728]  And I was already intending to come in here and give this talk today to people.
[00:44:41.048 --> 00:44:46.751]  Because I have this nagging thing I've tried to define, I have trouble, like, where it feels almost sick to even have a show.
[00:44:47.652 --> 00:44:53.655]  You know, like, I'm up here chronicling our destruction as they feed our children into cultural, spiritual, physical meat grinders.
[00:44:54.776 --> 00:45:05.943]  And as we watch the borders dissolve, and as we watch the hundreds of thousands of fentanyl deaths, and the World War III, and the blowing up of pipelines, and the Secretary of Defense didn't even
[00:45:07.526 --> 00:45:10.450]  Tell anyone that he went in the hospital for five days.
[00:45:12.293 --> 00:45:12.674]  You understand?
[00:45:12.694 --> 00:45:15.438]  They call him in the president if nukes get launched or stuff.
[00:45:15.598 --> 00:45:17.561]  And there's no one even up there running anything.
[00:45:21.138 --> 00:45:27.740]  They all just, it's committees, they all have committee votes, and no one really runs anything except the agenda, because that's how they like it.
[00:45:27.760 --> 00:45:44.547]  So they all get these councils, secret councils, and then so they really just play golf and take drugs and have sex all day, and while they rob the hell out of us, and they're just like, oh, we just go start a war with Russia, and yeah, we'll just do this, and we'll just arrest our political opposition, we'll just take Trump off the ballot, we'll just, they're crazy!
[00:45:44.787 --> 00:45:47.328]  They're megalomaniacs, and they're gonna get everybody killed!
[00:45:49.451 --> 00:45:58.995]  Like, they didn't, they thought they'd release a virus and then give us poison shots and they'd be able to suppress everyone and their internal documents show they'd still have us under lockdown right now?
[00:45:59.355 --> 00:46:01.416]  I mean, they really thought this would go good?
[00:46:01.716 --> 00:46:06.078]  Do you idiots know what's gonna happen when you release some virus that kills 30% of people?
[00:46:07.558 --> 00:46:09.579]  End of the world type stuff, bubba!
[00:46:10.299 --> 00:46:11.480]  And we know where you live!
[00:46:13.032 --> 00:46:18.615]  But I don't want to see you burned out of your holes, like Hitler under the Reich Chancellery in 1945.
[00:46:19.035 --> 00:46:21.696]  I want you to stop it, you demons!
[00:46:23.217 --> 00:46:28.640]  I want you to recognize that you're killing yourself along with us, and you need to be in a middle institution.
[00:46:29.220 --> 00:46:30.921]  The Rothschilds and all of them.
[00:46:32.222 --> 00:46:37.264]  The Charlie Mungers, the Bill Gateses, the Warren Buffets, the nice little old men.
[00:46:37.684 --> 00:46:38.505]  They're monsters.
[00:46:41.605 --> 00:46:45.529]  I forgot that article, give me the one about the Secretary of Defense, just disappeared for five days.
[00:46:46.010 --> 00:46:47.131]  And the White House wasn't even told.
[00:46:47.151 --> 00:46:50.254]  It's a joke!
[00:46:54.499 --> 00:46:58.583]  They got a whole bunch of commanders and leaders now, men in dresses running around up there.
[00:46:58.763 --> 00:46:59.544]  This is insane!
[00:47:09.970 --> 00:47:20.794]  I mean, I think about all this, and I mean, they just killed at least 17 million people, and there's more dropping dead every day.
[00:47:22.634 --> 00:47:23.174]  Just everywhere.
[00:47:24.215 --> 00:47:37.199]  And the infertility, the turbo cancer, and they're openly priming the pump everywhere to turn the power off and blame it on the patriots and
[00:47:38.735 --> 00:47:42.316]  False flags, race war crap, cyber attacks, all of it.
[00:47:42.976 --> 00:47:48.938]  And then it's just all that DC, Hollywood, Ivy League scum.
[00:47:54.040 --> 00:47:58.821]  And it's being done by a handful of people because they've got a plan to organize it and contain it, they think, and control it.
[00:48:00.441 --> 00:48:04.142]  So that then they don't have to share resources with the rest of us.
[00:48:04.542 --> 00:48:05.943]  I mean, it's just, it's that selfish.
[00:48:07.176 --> 00:48:07.938]  What's bigger than that?
[00:48:08.199 --> 00:48:09.341]  They want the technology.
[00:48:09.782 --> 00:48:12.449]  Because humanity is about to go Type 1 civilization.
[00:48:13.111 --> 00:48:15.216]  And we are about to get major life extension technology.
[00:48:15.236 --> 00:48:15.877]  They've already got it.
[00:48:17.253 --> 00:48:26.098]  And they do not want the public to have all this because this will revolutionize everything and will disempower their current cabal.
[00:48:26.739 --> 00:48:27.959]  And they're just scared of that.
[00:48:28.279 --> 00:48:32.102]  And so they just want to end this as you know it, as a Hunger Games scenario.
[00:48:32.362 --> 00:48:33.783]  It's not that they're based on Hunger Games.
[00:48:33.823 --> 00:48:34.763]  Hunger Games is based on it.
[00:48:35.043 --> 00:48:39.246]  Where you have high-tech districts, cities, that have high-tech and everything.
[00:48:39.286 --> 00:48:44.449]  And the rest of us that are allowed to live are put in an agrarian facet to serve them.
[00:48:45.089 --> 00:48:46.290]  And then they're like the
[00:48:47.771 --> 00:48:57.437]  Olympian gods, or the Elysians, or the Elysium Fields, the demigod level.
[00:48:57.857 --> 00:49:00.739]  They don't think they're gods yet, but they describe themselves as this.
[00:49:01.039 --> 00:49:02.520]  They have movies about it called Elysium.
[00:49:02.900 --> 00:49:04.421]  That was in literature 50 years ago by them.
[00:49:04.761 --> 00:49:08.564]  They have movies about it because they're telling you, oh, they're out on a spaceship living like kings, not dying.
[00:49:08.804 --> 00:49:09.624]  You're down here in squalor.
[00:49:11.345 --> 00:49:12.926]  That's what they're doing!
[00:49:13.046 --> 00:49:14.347]  That's what they're doing!
[00:49:14.567 --> 00:49:15.508]  They're telling you!
[00:49:25.515 --> 00:49:26.615]  Alright, I'm going to stop right there.
[00:49:27.656 --> 00:49:29.176]  I'm going to start the next hour and ten minutes.
[00:49:29.196 --> 00:49:32.357]  I'm going to talk some more, but I just got too angry at this point.
[00:49:33.398 --> 00:49:46.302]  I was all ready to come in here with a presentation and go over all this, but I think it's good that I just got angry because before we drill into how they're doing it and how we stop them, let's first recognize what we're in.
[00:49:46.782 --> 00:49:54.165]  You know, it's like you walk out in the parking lot of the grocery store and somebody hits you in the head with a baseball bat.
[00:49:56.465 --> 00:49:58.185]  And then they start stealing your wife's purse.
[00:49:58.245 --> 00:50:03.807]  Now you can lay there and feel sorry for yourself or you can decide to explode and jump up and jump on top of them and bash their brains out.
[00:50:05.167 --> 00:50:10.389]  And I have decided in the information war that I don't like being hit upside the head with a baseball bat.
[00:50:10.429 --> 00:50:18.471]  I'm going to get pissed and all that baseball bat did was wake my ass up and I'm going to bash your brains out politically in a non-violent way.
[00:50:18.771 --> 00:50:20.171]  I'm going to break your neck.
[00:50:21.691 --> 00:50:23.112]  I'm going to tear the nose off your face.
[00:50:24.286 --> 00:50:25.146]  And I'm going to get you.
[00:50:25.907 --> 00:50:26.907]  Just know that for sure.
[00:50:28.988 --> 00:50:34.450]  Because I'm not here to be walked on and my family murdered by you people that think you're so superior.
[00:50:34.590 --> 00:50:35.070]  You're not.
[00:50:36.791 --> 00:50:37.211]  You're not.
[00:50:38.492 --> 00:50:39.712]  And you're going to be defeated.
[00:50:41.593 --> 00:50:42.633]  All right, I'm going to stop right there.
[00:50:44.834 --> 00:50:45.214]  All right.
[00:50:45.994 --> 00:50:47.835]  Let me just tell you what I got coming up here.
[00:50:49.436 --> 00:50:52.197]  I'm going to start over because a lot of people just joined us.
[00:50:54.332 --> 00:51:09.023]  And I'm going to talk about Brett Weinstein, I'm going to talk about Tucker Carlson, then I'm going to introduce you to this scientist and top statisticians and just another prestigious group that went and looked at the public morbidity numbers and they killed 70 million people conservatively.
[00:51:09.343 --> 00:51:11.525]  Real numbers like 20-something million, okay?
[00:51:11.625 --> 00:51:18.470]  And I've got it all right here and I've got presentations about it all and I've got all the raw numbers that you can go check because these are public.
[00:51:18.651 --> 00:51:20.352]  But you know what wasn't public until he did it?
[00:51:23.055 --> 00:51:34.600]  The head guy over the database, the only person in control, and when he went public, it was true, he was the only guy over the database, only one could put the numbers in, where they have the numbers of people who took the shots.
[00:51:36.661 --> 00:51:43.985]  As you can see, it is the shots that are killing them, and when you pull that number out of the spreadsheet, it's everybody taking the shots, or the increase in death.
[00:51:45.886 --> 00:51:46.446]  You understand that?
[00:51:47.705 --> 00:51:57.950]  Because you can look at the worst death numbers in modern history since they took statistics, not from 2000 before the shots, but 2021, 2022, 2023.
[00:51:59.251 --> 00:52:05.413]  Record deaths of not just old people, but healthy demographics.
[00:52:05.634 --> 00:52:10.376]  Six-year-olds, five-year-olds, ten-year-olds, fourteen-year-olds, thirty-year-olds.
[00:52:12.540 --> 00:52:16.162]  I mean, you've seen it yourself, man, they're dropping dead on TV every day!
[00:52:17.043 --> 00:52:21.825]  You can't even watch a football or basketball game without cardiac arrest on the field!
[00:52:23.806 --> 00:52:25.347]  And then they got public service announcements.
[00:52:25.627 --> 00:52:35.833]  Imagine when you get the government contract, that turned out has been funding it, and you work at a big ad agency, and they go, yeah, we're getting ready to run ads everywhere that heart attacks are going to increase.
[00:52:36.734 --> 00:52:37.774]  And you don't ask why.
[00:52:38.155 --> 00:52:38.475]  Why?
[00:52:38.495 --> 00:52:40.476]  Oh, we're going to call it Holiday Heart.
[00:52:41.897 --> 00:52:44.179]  Everybody knows there's increased heart attacks at Christmas time.
[00:52:44.459 --> 00:52:44.679]  What?
[00:52:47.202 --> 00:52:55.108]  Yeah, we're gonna have ads on the buses and billboards that they started in two thousand and twenty-one, right when the shots started.
[00:52:55.128 --> 00:53:00.293]  I'm sitting there and I'm watching buses drive by that say, it's normal to have strokes when you're ten years old.
[00:53:00.653 --> 00:53:02.815]  Another bus, it's normal to have heart attacks, no big deal.
[00:53:03.195 --> 00:53:04.276]  It's the new normal, huh?
[00:53:04.296 --> 00:53:04.996]  Jolly times.
[00:53:05.317 --> 00:53:09.000]  I mean, it's all pre-programmed and you're sitting here going, what the hell?
