[00:00:00.169 --> 00:00:01.470]  Synthetic.
[00:53:08.550 --> 00:53:09.090]  Pathways.
[00:53:09.431 --> 00:53:11.192]  We have redundant pathways.
[00:53:11.392 --> 00:53:12.814]  Feed your immune system.
[00:53:13.094 --> 00:53:20.620]  Get out of, get the 5G, get the garbage, shut, cut those towers down that they put up that are destroying our land.
[00:53:20.900 --> 00:53:25.784]  Make our own safe, regenerate our soil, regenerate our water.
[00:53:26.185 --> 00:53:27.326]  Start with cardio milk.
[00:53:27.446 --> 00:53:28.927]  Buy those nutrients.
[00:53:29.267 --> 00:53:31.889]  Global healing has all kinds of liquids.
[00:53:32.250 --> 00:53:33.911]  No more pills, no more
[00:53:37.754 --> 00:53:39.596]  End the Bayh-Dole Act right now.
[00:53:40.056 --> 00:53:52.367]  Pay every single human being in the United States of America the millions of dollars of those patent royalties where they stole our patents and created the synthetic to poison.
[00:53:52.387 --> 00:53:54.108]  By the way, talk about that.
[00:53:54.128 --> 00:54:02.996]  They want to keep it secret, but not millions, billions at NIH and at the CDC with people like Fauci with the government.
[00:54:03.036 --> 00:54:05.138]  Explain what's going on there, because that's really secretive.
[00:54:06.661 --> 00:54:07.842]  Oh, yeah.
[00:54:07.922 --> 00:54:09.003]  They patented.
[00:54:09.444 --> 00:54:11.105]  You can't patent nature.
[00:54:11.505 --> 00:54:18.372]  You can't patent God unless you do it in an unobvious way, like the genius patent.
[00:54:19.973 --> 00:54:21.494]  Omnitour, that slide.
[00:54:21.875 --> 00:54:22.776]  It was nature.
[00:54:23.096 --> 00:54:25.338]  It was botanical adjuvants.
[00:54:25.738 --> 00:54:29.462]  So now we can immunize, use exactly that strategy.
[00:54:29.502 --> 00:54:33.687]  All I have to do is mix the mushrooms and I can cure the neuroimmune disease.
[00:54:34.108 --> 00:54:40.175]  All we have to do, they told you, all we have to do is go back to God and
[00:54:40.575 --> 00:54:41.735]  Let's explain this.
[00:54:42.176 --> 00:54:46.237]  At the first I played, and this is a big story,
[00:55:08.084 --> 00:55:11.589]  And I realize all we've been through and the things I've experienced, you've experienced, doesn't seem real.
[00:55:11.969 --> 00:55:14.372]  I didn't put a post on X today to brag.
[00:55:14.913 --> 00:55:15.934]  I talked to Chris Carter.
[00:55:15.974 --> 00:55:17.056]  He did a bunch of interviews.
[00:55:17.196 --> 00:55:18.097]  He wanted me to come out to LA.
[00:55:18.137 --> 00:55:18.658]  I never did it.
[00:55:18.698 --> 00:55:20.520]  I should re-contact Chris Carter.
[00:55:20.841 --> 00:55:22.943]  He's in my email somewhere, the guy that made the X-Files.
[00:55:23.344 --> 00:55:25.226]  He did a reboot right before the election in 2016.
[00:55:27.315 --> 00:55:29.876]  And he's in the news saying, I watch Alex Jones.
[00:55:30.036 --> 00:55:31.117]  I don't think he's a racist.
[00:55:31.237 --> 00:55:32.017]  I think he's right.
[00:55:32.397 --> 00:55:35.599]  He really influenced, it wasn't me, it was Dr. Group and all the guests I had on.
[00:55:36.179 --> 00:55:48.344]  He really influenced me in the character of the talk show host warning everyone of a government plan through a vaccine to break your DNA and destroy your immune system to slowly depopulate the planet.
[00:55:48.404 --> 00:55:51.366]  And I'm reading Chris Carter, so we start talking and start talking.
[00:55:51.906 --> 00:55:52.066]  It's
[00:56:14.085 --> 00:56:19.089]  With the Lone Gunman episode about flying a hijacked jet in the World Trade Center to blame Bin Laden and invade Afghanistan.
[00:56:19.409 --> 00:56:21.911]  Folks, for a new viewer, just type in Lone Gunman episode 911.
[00:56:22.011 --> 00:56:23.652]  I'm not making this up.
[00:56:23.872 --> 00:56:24.613]  No, it sounds insane.
[00:56:25.033 --> 00:56:28.215]  He said, because I asked him, he talked about it, CIA.
[00:56:28.635 --> 00:56:32.498]  Then he comes out, makes a whole show where I'm not bragging, I'm the hero.
[00:56:32.978 --> 00:56:34.540]  I don't even know what this means.
[00:56:35.040 --> 00:56:35.740]  And then boom.
[00:56:36.781 --> 00:56:40.122]  A few years later, they actually launched the actual takeover he's talking about.
[00:56:40.422 --> 00:56:44.722]  And what Judy Mikevich is so angry about is, she has been involved in the patent.
[00:56:44.762 --> 00:56:45.363]  She's been there.
[00:56:45.423 --> 00:56:46.243]  She knows all this.
[00:56:46.483 --> 00:56:47.243]  It's all confirmed.
[00:56:47.563 --> 00:56:49.543]  And she's saying, you've got to get off the GMO.
[00:56:49.563 --> 00:56:50.443]  You've got to clean out your body.
[00:56:50.464 --> 00:56:52.724]  You've got to flood yourself with these botanicals.
[00:56:53.164 --> 00:56:56.885]  You've got to get as much sun as possible, which they tell you, lock yourself in the house.
[00:56:56.945 --> 00:56:59.985]  And they're literally, now it's blowing up in their face though.
[00:57:00.025 --> 00:57:01.666]  So I know you've given us solutions.
[00:57:01.986 --> 00:57:02.486]  That's great.
[00:57:02.546 --> 00:57:03.186]  We've heard those.
[00:57:03.206 --> 00:57:04.006]  We'll talk about it more.
[00:57:04.546 --> 00:57:18.972]  But knowing the enemy, knowing the enemy, Dr. Makovitz, and how they operate, because we need to understand this, now that they're in so much trouble and the tables have turned, I've got 50 clips I can play literally this week of them backtracking, trying to get us to trust them again.
[00:57:19.372 --> 00:57:21.333]  What do you think these bad guys are going to try now?
[00:57:22.711 --> 00:57:26.435]  Well, you know, they I they're not going to try anything.
[00:57:26.515 --> 00:57:27.976]  She just put it on TV.
[00:57:28.356 --> 00:57:31.539]  She's going to make you think they discovered all the cures.
[00:57:31.780 --> 00:57:38.706]  They're telling you a I discovered prostate cancer cures was that was a heterogeneous disease.
[00:57:39.086 --> 00:57:42.890]  We discovered we wrote that patent.
[00:57:43.410 --> 00:57:45.552]  AI doesn't discover anything.
[00:57:45.873 --> 00:57:52.619]  So you see, they're trying to cover up their crimes and create another industry like they did in AIDS.
[00:57:52.919 --> 00:57:59.865]  But all those oral immunizations called Tarvigenvoya, who's responsible for this?
[00:58:00.345 --> 00:58:01.747]  Oh, remember ACT UP?
[00:58:02.327 --> 00:58:04.189]  Oh, Kaiser has to pay for it.
[00:58:04.389 --> 00:58:06.710]  The insurance industry has to pay for it.
[00:58:06.970 --> 00:58:08.911]  The government has to pay for it.
[00:58:09.231 --> 00:58:10.831]  That's what they're afraid of.
[00:58:11.132 --> 00:58:12.352]  They're all liable.
[00:58:12.732 --> 00:58:28.938]  Jason Chabot sat in his office March 31st of 2017 when every one of us doctors, Bobby Kennedy, Del Bigtree, Resilienz, Neuenschwander, Jack Lineswell, sat in the House Oversight Committee March 31st, 2017 and begged him to stop this.
[00:58:33.900 --> 00:58:35.341]  And we all know what he did.
[00:58:35.541 --> 00:58:36.161]  He quit.
[00:58:36.462 --> 00:58:43.065]  And he's on TV making a fortune and killing the rest of the people and preserving his own life.
[00:58:43.105 --> 00:58:44.166]  Well, that's my next question.
[00:58:44.186 --> 00:58:46.367]  What do you make of Redfield, all of them?
[00:58:46.427 --> 00:58:47.448]  He's been doing it for two years.
[00:58:47.488 --> 00:58:49.929]  He figured out he was caught saying, yeah, gain of function.
[00:58:49.969 --> 00:58:50.290]  It's illegal.
[00:58:50.310 --> 00:58:51.070]  I'm not part of it.
[00:58:51.290 --> 00:58:52.211]  They're all running.
[00:58:52.291 --> 00:58:53.411]  Now it's a stampede.
[00:58:53.431 --> 00:58:55.973]  Before it was kind of sneak off the last 10 minutes of the movie.
[00:58:56.333 --> 00:58:57.854]  Now it's like a fire in the theater.
[00:58:57.874 --> 00:58:58.975]  They're all running for the exits.
[00:58:58.995 --> 00:58:59.475]  What's happening?
[00:59:00.418 --> 00:59:01.539]  Because they're liable.
[00:59:02.060 --> 00:59:05.064]  They're liable for crimes against humanities.
[00:59:05.425 --> 00:59:12.694]  Because when all liability was removed from pharma, it was placed right on HHS.
[00:59:13.035 --> 00:59:14.917]  Deborah Birx and Robert Redfield
[00:59:15.418 --> 00:59:16.139]  We're good to go.
[00:59:38.637 --> 00:59:46.162]  You know, Bobby Kennedy, clean house at the EPA, the FDA, the CDC, they colluded.
[00:59:46.262 --> 00:59:53.747]  And how obvious is it Bill Gates wants to force us to eat synthetic poison meat, synthetic poison fruits, synthetic poison vegetables.
[00:59:54.068 --> 00:59:58.711]  They're literally assaulting us with poison shots and giving us fake building blocks so we can't defend.
[00:59:59.091 --> 01:00:01.553]  That's why you're, and people are like, oh God, nature.
[01:00:01.793 --> 01:00:06.217]  No, a mother, breast, milk, all of her colostrum, all the immunity, it's a fact.
[01:00:06.457 --> 01:00:11.802]  And you're just saying like, here's the real McCoy, here's the real thing, and they're trying to play God.
[01:00:12.802 --> 01:00:17.166]  And they can't, they can't, because we're not our DNA, we're our chromosomes.
[01:00:17.686 --> 01:00:19.148]  We have our own inner grace.
[01:00:19.528 --> 01:00:20.809]  We have our own prescription.
[01:00:20.829 --> 01:00:21.430]  And explain that.
[01:00:21.510 --> 01:00:27.675]  Our chromosomes program the environment, so they're trying to give us fake building blocks, so our chromosomes can't build us.
[01:00:29.571 --> 01:00:32.772]  No, our chromosomes protect our DNA.
[01:00:33.232 --> 01:00:34.572]  It's not a ladder.
[01:00:34.752 --> 01:00:36.313]  It's not as shown on TV.
[01:00:36.713 --> 01:00:40.754]  It's all wound up and protected by methyl groups and acetyl groups.
[01:00:41.054 --> 01:00:42.534]  We have modification.
[01:00:43.134 --> 01:00:48.315]  We have our own micro RNAs and mRNA in healing.
[01:00:49.396 --> 01:00:53.377]  97% of our DNA is never translated into enzymes.
[01:00:53.817 --> 01:00:54.857]  It's our protection.
[01:00:54.977 --> 01:00:56.298]  Remember what the scientists said?
[01:00:56.338 --> 01:00:58.078]  They couldn't understand it, so they called it junk.
[01:00:58.418 --> 01:00:59.259]  No, it's not junk.
[01:00:59.379 --> 01:01:00.699]  It's the backup and defense.
[01:01:02.220 --> 01:01:03.580]  It's the entire defense.
[01:01:03.661 --> 01:01:04.681]  It's not a backup.
[01:01:05.141 --> 01:01:06.762]  It's our primary defense.
[01:01:07.002 --> 01:01:10.343]  We're our chromosomes, and they can't hack us.
[01:01:10.803 --> 01:01:12.304]  And they know it.
[01:01:12.704 --> 01:01:15.245]  They failed in COVID.
[01:01:15.305 --> 01:01:16.246]  Because God made us.
[01:01:16.286 --> 01:01:16.906]  I mean, think about it.
[01:01:17.526 --> 01:01:21.768]  That's why they're so pissed, because they keep trying to assault it, and it doesn't work.
[01:01:23.097 --> 01:01:23.818]  Doesn't work.
[01:01:24.498 --> 01:01:27.380]  So all we have to do is protect the most vulnerable.
[01:01:27.821 --> 01:01:30.503]  No more injections ever.
[01:01:30.983 --> 01:01:35.786]  And immunization, we've got to immunize and we can do it orally.
[01:01:36.027 --> 01:01:37.768]  We're doing it at Godspeak Church.
[01:01:37.808 --> 01:01:40.430]  We're doing it at Light Dove Ministries.
[01:01:41.030 --> 01:01:41.551]  No more.
[01:01:41.811 --> 01:01:52.299]  That record that they fill out is in violation of the 1986 Act because it says immunization record and not one injection was ever
[01:01:52.739 --> 01:01:53.759]  An immunization.
[01:01:54.320 --> 01:01:55.740]  None gave you life.
[01:01:55.800 --> 01:02:05.544]  Plus, Dr. Michovitz, I mean, if you study the law, and this is what I do know, and I've had the top lawyers on, it doesn't cover fraud, it doesn't cover deceit, it doesn't cover fake trials.
[01:02:05.624 --> 01:02:10.446]  So they're protected quasi if they didn't commit all these crimes and lie about the definitions.
[01:02:10.466 --> 01:02:10.806]  You're right.
[01:02:10.866 --> 01:02:11.927]  So it's all blown up.
[01:02:12.387 --> 01:02:13.447]  They know it's coming down.
[01:02:13.907 --> 01:02:15.268]  And so what do you expect to happen now?
[01:02:16.933 --> 01:02:27.601]  I expect Bobby Kennedy and Trump, I expect the American people to elect Bobby Kennedy or Trump, and I really don't care which one.
[01:02:27.961 --> 01:02:40.510]  Trump can take a pen on that first day and knock down that Bayh-Dole Act and give the taxpayers back their intellectual property, which would be the good scientist and the honest scientist.
[01:02:40.770 --> 01:02:44.533]  Bobby Kennedy wrote that brilliant foreword in Plague of Corruption.
[01:02:44.873 --> 01:02:51.117]  And I thank God that one last story I didn't tell him was we saved all the samples.
[01:02:51.437 --> 01:02:54.999]  I'll be taking to General Flynn every piece of data.
[01:02:55.039 --> 01:03:03.044]  We shipped all the clones of all the healing, all the proof, all the monoclonal ibibabs that they're advertising on TV.
[01:03:03.264 --> 01:03:08.247]  We've got all of them, and we know how to use them, and we're going to give them back to the people.
[01:03:08.347 --> 01:03:11.408]  I've waited 15 years to give them back to the people.
[01:03:11.428 --> 01:03:13.490]  I'm not a scientist like you, but here's an example.
[01:03:14.431 --> 01:03:15.432]  Human growth hormone.
[01:03:15.472 --> 01:03:16.474]  I've read the literature on it.
[01:03:16.875 --> 01:03:20.722]  It's from one dead baby that they cloned and made that out of.
[01:03:20.982 --> 01:03:24.769]  So what you're explaining is that they've got this whole system.
[01:03:26.411 --> 01:03:27.712]  But we make our own.
[01:03:28.112 --> 01:03:30.334]  It's called insulin-like growth factor.
[01:03:30.735 --> 01:03:32.296]  Diabetes isn't sugar.
[01:03:32.776 --> 01:03:34.778]  It's glucose and fat metabolism.
[01:03:34.798 --> 01:03:36.499]  They took our fat out of our diet.
[01:03:36.559 --> 01:03:37.140]  Eat butter.
[01:03:37.600 --> 01:03:38.421]  Eat real fat.
[01:03:38.661 --> 01:03:39.822]  We've got all of this.
[01:03:39.862 --> 01:03:40.983]  We've got the cures.
[01:03:41.023 --> 01:03:42.003]  We've got the proof.
[01:03:42.224 --> 01:03:44.065]  They're in freezers in this country.
[01:03:44.085 --> 01:03:44.746]  This is intriguing.
[01:03:44.766 --> 01:03:47.388]  Let me ask you this because when you're repetitive, I bring you back because you're so smart.
[01:03:47.408 --> 01:03:48.689]  I want to go to the areas we haven't covered.
[01:03:49.309 --> 01:03:51.251]  I'm not a biologist.
[01:03:51.331 --> 01:03:52.612]  I'm not like you.
[01:03:53.843 --> 01:04:02.692]  They explain that there's two sets of DNA, but they never talk about the mitochondrial DNA that's associated with the mother.
[01:04:03.533 --> 01:04:05.855]  And I know they're really trying to figure that out.
[01:04:05.915 --> 01:04:06.796]  How does that feed into this?
[01:04:06.856 --> 01:04:07.877]  Oh, they took that out!
[01:04:08.198 --> 01:04:11.341]  The mitochondrial DNA is all inherited by your mother.
[01:04:11.661 --> 01:04:14.342]  So this is the horrific crime of all this.
[01:04:14.662 --> 01:04:18.263]  They've attacked for four decades, actually since 1934.
[01:04:19.423 --> 01:04:23.004]  They've attacked the mitochondria, which you inherit from your mother.
[01:04:23.284 --> 01:04:28.586]  You asked about the heart, it's in the heart, it's in the brain, and it's in the muscles.
[01:04:28.646 --> 01:04:36.108]  So when you're fueling your muscles, you have a heart attack because you can't run that with the synthetic, creating the inflammation.
[01:04:36.408 --> 01:04:39.869]  It's like electrocution for those athletes in the sudden death.
[01:04:40.149 --> 01:04:44.973]  It's a sodium chloride channel loop for A. We can fix all of this.
[01:04:45.273 --> 01:04:46.955]  So this is the thing.
[01:04:47.415 --> 01:04:53.320]  Everybody said, yeah, it's not our DNA.
[01:04:53.440 --> 01:04:54.942]  What about Henrietta Lacks?
[01:04:54.982 --> 01:04:58.465]  I'm sure they found other humans, but it's only her, a black lady.
[01:04:59.085 --> 01:05:00.826]  That died of a cancer, Eddie, in like a week.
[01:05:01.407 --> 01:05:04.849]  And then it's one white baby they aborted they found had an immortal cell on it.
[01:05:05.069 --> 01:05:05.549]  Oh, no.
[01:05:05.649 --> 01:05:06.990]  Oh, no, no, no, no, no, no.
[01:05:07.290 --> 01:05:11.313]  There are hundreds, thousands, millions of cell lines.
[01:05:11.613 --> 01:05:14.235]  My job was to create the cell lines.
[01:05:14.635 --> 01:05:17.917]  I immortalized cell lines from every kind of cancer.
[01:05:18.157 --> 01:05:20.099]  This is what they tried to say.
[01:05:20.119 --> 01:05:24.181]  So, Doctor, in closing, I'll shut up because I want you to go over this.
[01:05:24.201 --> 01:05:25.562]  Explain what an immortal cell line is.
[01:05:25.582 --> 01:05:26.543]  This is really important.
[01:05:27.409 --> 01:05:28.230]  Immortalized.
[01:05:28.410 --> 01:05:30.052]  It grows in a laboratory.
[01:05:30.192 --> 01:05:39.281]  All you have to do is add cow blood and put it in a fermentation and every single virus and every single microbe will be produced.
[01:05:39.581 --> 01:05:48.590]  Henrietta Lacks, this is, we're going back to old news when we publish that again in 2023 as if this is the only one.
[01:05:48.930 --> 01:05:50.652]  No, there's an American type
[01:05:51.432 --> 01:05:55.313]  ATCC is a tissue culture laboratory.
[01:05:55.653 --> 01:06:05.616]  Every time I made a cell line in the government over 40 years, 45 years, you have to deposit it in a repository before you publish the paper.
[01:06:05.936 --> 01:06:07.417]  That's what I'm trying to say.
[01:06:07.437 --> 01:06:10.038]  I have all 40 years.
[01:06:10.378 --> 01:06:13.359]  I have every one of these cell lines.
[01:06:13.699 --> 01:06:15.659]  I have them all in freezers.
[01:06:15.779 --> 01:06:18.020]  I gave them to the Ninth Circuit Court.
[01:06:18.340 --> 01:06:24.005]  And talk to the FBI in a $10,000 conversation with Frank Ricetti.
[01:06:24.266 --> 01:06:25.947]  Frank Ricetti is the hero.
[01:06:26.027 --> 01:06:28.009]  He saved everything.
[01:06:28.590 --> 01:06:35.856]  He wasn't a coward like Thompson that covered up this information and is safe for 20 years and then got caught.
[01:06:35.936 --> 01:06:36.777]  The movie Vax 2014.
[01:06:38.258 --> 01:06:39.339]  Look at the years.
[01:06:39.780 --> 01:06:40.641]  We caught them.
[01:06:41.061 --> 01:06:52.812]  Now all we have to do, love wins, is say bye-bye, put them all in federal prison for violating the 1986 Act, and go back and immunize our kids.
[01:06:53.112 --> 01:06:54.193]  Go back to God.
[01:06:54.273 --> 01:06:57.496]  We heal our land if we humble ourselves.
[01:06:58.697 --> 01:07:00.259]  That's 2 Chronicles 7, 14.
[01:07:01.660 --> 01:07:05.704]  If we humble ourselves, every one of us made a mistake.
[01:07:06.264 --> 01:07:06.785]  No more.
[01:07:07.025 --> 01:07:08.307]  Don't go in their stores.
[01:07:08.368 --> 01:07:08.928]  Don't buy.
[01:07:09.149 --> 01:07:10.851]  Everything is laced with poison.
[01:07:10.871 --> 01:07:13.956]  There's nothing that's food in a grocery store.
[01:07:14.257 --> 01:07:15.519]  Just humble yourselves.
[01:07:15.899 --> 01:07:16.941]  Forgive yourselves.
[01:07:21.408 --> 01:07:24.370]  The people, we will immunize you.
[01:07:24.450 --> 01:07:28.693]  We will give you back what you paid for, taxpayers.
[01:07:29.154 --> 01:07:32.676]  I will take it to all of it.
[01:07:32.816 --> 01:07:33.457]  I've waited.
[01:07:34.037 --> 01:07:41.202]  I've waited for the government to do the right thing since I was J6 kidnapped November 18, 2011.
[01:07:44.044 --> 01:07:49.566]  And we didn't yell about being, you know, we'll get J6'd again.
[01:07:49.606 --> 01:07:52.347]  If you put me in jail, can you put me in with Peter Navarro?
[01:07:52.367 --> 01:07:53.987]  Because I really want to show him all this stuff.
[01:07:54.327 --> 01:07:56.048]  Anyway, so we got a lot of time to talk.
[01:07:56.488 --> 01:07:59.329]  And we don't know how to heal it with a little urotherapy.
[01:07:59.349 --> 01:08:00.109]  Thanks, Ed Group.
[01:08:00.369 --> 01:08:08.272]  So, you know, we've got all the information and it's always been there in these corrupt institutions like vaccine court.
[01:08:09.112 --> 01:08:13.316]  And I'm going to make sure everybody sees every bit of it.
[01:08:13.596 --> 01:08:15.077]  I've got all the originals.
[01:08:15.338 --> 01:08:22.203]  The INIP on the back of this picture was the Intramural Neuroimmune Research Program in 2006.
[01:08:23.744 --> 01:08:25.566]  We got that grant in 2007.
[01:08:26.247 --> 01:08:37.536]  We created, I co-founded the Neuroimmune Disease Institute that the corrupt and criminal Whittemores, you know, cured their own daughter and let everybody die.
[01:08:37.936 --> 01:08:40.658]  We're going to everybody else.
[01:08:41.038 --> 01:08:43.700]  Long COVID was created in 1934.
[01:08:44.800 --> 01:08:49.603]  Chapter 5 of the book, Plague, Kent Hechen-Lively is a hero.
[01:08:50.304 --> 01:09:00.750]  And you are a hero for showing everybody all we the people need to do is heal the victims of this hundred-year plague of corruption.
[01:09:00.990 --> 01:09:04.753]  It's an attempted coup of our bodies, a total biological warfare takeover.
[01:09:04.773 --> 01:09:05.973]  The people are ready to face the truth.
[01:09:06.294 --> 01:09:07.795]  TheRealDrJudy.com.
[01:09:07.855 --> 01:09:09.196]  TheRealDrJudy.com.
[01:09:09.756 --> 01:09:11.357]  And I've got your number.
[01:09:11.637 --> 01:09:16.321]  We should talk off air because I've seen how great Nitric Boost has done for so many people.
[01:09:16.341 --> 01:09:19.903]  And I know you guys, you told me this couple years ago, we're putting together even something more powerful.
[01:09:19.923 --> 01:09:20.223]  That's great.
[01:09:20.243 --> 01:09:20.824]  People should get it.
[01:09:20.844 --> 01:09:23.966]  I'm going to get it from my dad because it really brought him back.
[01:09:24.986 --> 01:09:28.087]  With the infestation he had, which is nitric boost.
[01:09:28.107 --> 01:09:32.208]  So I'm going to 100% believe you, I'm going to get this cardio miracle.
[01:09:32.228 --> 01:09:32.688]  Foundation.
[01:09:32.888 --> 01:09:33.808]  Living water.
[01:09:33.968 --> 01:09:34.788]  Cardio miracle.
[01:09:35.208 --> 01:09:36.129]  Cardio miracle.
[01:09:36.169 --> 01:09:37.949]  All right.
[01:09:38.509 --> 01:09:40.470]  Doctor, thank you so much.
[01:09:40.490 --> 01:09:42.070]  But listen, you hammer these points.
[01:09:42.130 --> 01:09:42.390]  I get it.
[01:09:42.610 --> 01:09:43.490]  You've got the treatments.
[01:09:43.550 --> 01:09:44.550]  You know what they're doing.
[01:09:45.111 --> 01:09:45.931]  You've got their plan.
[01:09:45.951 --> 01:09:46.991]  But they're not treatments.
[01:09:47.051 --> 01:09:47.911]  They're food.
[01:09:47.971 --> 01:09:48.931]  They're nutrify.
[01:09:48.991 --> 01:09:51.192]  It's just stop poisoning yourself, Alex.
[01:09:51.232 --> 01:09:51.672]  I understand.
[01:09:52.032 --> 01:09:56.433]  And poison is the fear porn in our brain, and the anger is just as bad.
[01:09:56.493 --> 01:10:00.474]  I'm trying to get over my own anger, and I definitely want to spend time.
[01:10:00.514 --> 01:10:02.095]  We saw the people we healed.
[01:10:02.395 --> 01:10:03.535]  We heal them with love.
[01:10:03.855 --> 01:10:04.995]  We heal them with laughter.
[01:10:05.055 --> 01:10:06.796]  We say, we got this.
[01:10:06.876 --> 01:10:07.616]  We give them hope.
[01:10:07.676 --> 01:10:09.236]  We got this, folks.
[01:10:09.576 --> 01:10:11.237]  We can heal you tomorrow.
[01:10:11.537 --> 01:10:13.477]  We've done it over and over and over again.
[01:10:13.497 --> 01:10:13.857]  I understand.
[01:10:13.877 --> 01:10:14.698]  So I'm going to call you.
[01:10:14.838 --> 01:10:15.818]  Give me a time this week to talk.
[01:10:16.338 --> 01:10:26.442]  Let's talk about this and the people need the solutions and we know it's there and that's why they tried to block all the hydroxychloroquines and all of the other things trying to give us poison.
[01:10:26.822 --> 01:10:30.803]  Brandesivir, now they've got Cuomo on TV saying, oh no, ivermectin's great.
[01:10:31.263 --> 01:10:38.406]  Well, there's stuff way beyond all of that and Joe Rogan's talking about it, Dr. Judy Mikevich, thank you so much for the time today.
[01:10:39.585 --> 01:10:40.346]  Thank you, Alex.
[01:10:40.666 --> 01:10:42.108]  I'm sorry I get so upset.
[01:10:42.448 --> 01:10:43.470]  No, no, no.
[01:10:44.150 --> 01:10:46.193]  You're hammering the solutions over and over again.
[01:10:46.553 --> 01:10:47.755]  You've got so much other knowledge.
[01:10:47.775 --> 01:10:49.537]  So I'm going to send you a bunch of my questions.
[01:10:49.637 --> 01:10:50.578]  This is a great interview, by the way.
[01:10:50.998 --> 01:10:54.683]  But sometimes you've got so much other knowledge and the history to slow down.
[01:10:55.203 --> 01:10:57.966]  We should probably do a two-hour commercial-free show where you talk about
[01:10:58.547 --> 01:10:59.267]  We're good to go.
[01:11:26.727 --> 01:11:28.608]  We're actually doing all of that.
[01:11:28.688 --> 01:11:31.729]  We're doing a book club and all I'm doing is playing our books.
[01:11:32.210 --> 01:11:35.791]  I'm playing Plague, Plague of Corruption and Ending Plague.
[01:11:35.831 --> 01:11:37.612]  We started February 21st.
[01:11:37.852 --> 01:11:40.413]  We play a chapter and then we talk live.
[01:11:40.714 --> 01:11:42.134]  It's right there on the website.
[01:11:42.174 --> 01:11:44.896]  You can see all of the first eight weeks.
[01:11:45.176 --> 01:11:48.977]  We do it Wednesday night at 5 o'clock Pacific on X Spaces.
[01:11:49.298 --> 01:11:51.198]  Dr. Judy on X. Follow us.
[01:11:51.539 --> 01:11:54.300]  Let's have some fun in a book club because you hear it.
[01:11:54.640 --> 01:11:59.622]  And when you hear it, yeah, you get upset, but the doctors are seeing it and they're learning.
[01:11:59.962 --> 01:12:01.163]  And that's what our books are.
[01:12:01.703 --> 01:12:05.764]  They're perspectives and testimony, and they're showing how God wins.
[01:12:05.824 --> 01:12:07.745]  It's definitely exponential.
[01:12:07.805 --> 01:12:17.169]  And the thing is, they're coming in with a UN treaty, they're planning new attacks, and the good news is they thought we'd be run over by this and brush ourselves off because we're not victims, we move on.
[01:12:17.409 --> 01:12:20.990]  We can't move on because they've got to go to prison, we've got to stop them from doing it again.
[01:12:21.270 --> 01:12:22.851]  Dr. Mikovits, thank you so much.
[01:12:25.212 --> 01:12:26.012]  Thank you, Alex.
[01:12:26.533 --> 01:12:27.633]  And you promised me dinner.
[01:12:28.413 --> 01:12:30.014]  Anytime I come to Austin, let's go.
[01:12:30.954 --> 01:12:32.095]  And meet your beautiful wife.
[01:12:32.175 --> 01:12:32.995]  I'll see you soon.
[01:12:33.015 --> 01:12:34.336]  Come here next week or the week after.
[01:12:34.376 --> 01:12:34.716]  Let's go.
[01:12:34.756 --> 01:12:35.176]  Let's do it.
[01:12:36.277 --> 01:12:36.637]  Okay.
[01:12:36.757 --> 01:12:38.377]  I'll be there June 15th for sure.
[01:12:38.617 --> 01:12:38.878]  Boom.
[01:12:39.638 --> 01:12:40.238]  We'll see you soon.
[01:12:41.759 --> 01:12:42.059]  All right.
[01:12:42.079 --> 01:12:47.661]  We're going to take a break and then shift gears into the world news, the solar flare news, the financial news.
[01:12:47.701 --> 01:12:49.302]  We've got so much to hit coming up here.
[01:12:50.677 --> 01:12:52.759]  Look, she's pissed, folks, because she should be.
[01:12:52.879 --> 01:12:57.203]  She has been there, she has seen it, she has been vindicated, and what she said is totally true.
[01:12:57.984 --> 01:13:01.708]  They hit you with a synthetic building block of every form of life.
[01:13:02.907 --> 01:13:06.568]  Sharks, monkeys, plants.
[01:13:06.868 --> 01:13:10.229]  It's a total attack on life on Earth.
[01:13:10.730 --> 01:13:15.251]  I mean, think about that for a minute and just think about how insane that is.
[01:13:15.951 --> 01:13:17.192]  But they're cutting the carbon off.
[01:13:17.572 --> 01:13:18.652]  It's like an alien attack.
[01:13:18.992 --> 01:13:21.033]  I'm not saying little green men are running it.
[01:13:21.954 --> 01:13:24.996]  You know, all I know is it's, it's like an alien attack.
[01:13:25.056 --> 01:13:27.598]  I mean, this thing, this thing is so intense.
[01:13:27.658 --> 01:13:30.479]  This thing is, I can never seem to center the camera here.
[01:13:31.000 --> 01:13:32.241]  This thing is so intense.
[01:13:32.281 --> 01:13:35.563]  This thing is so absolutely insane and crazy.
[01:13:36.103 --> 01:13:41.006]  But, but, but people have to understand that that is, I'll just sit over on this side, I'll do it this way.
[01:13:41.587 --> 01:13:45.509]  This thing is so completely insane and like so real folks.
[01:13:46.129 --> 01:13:51.273]  And, and people just have to let that boil down into them and understand that.
[01:13:52.148 --> 01:13:53.308]  Because this is the reality.
[01:13:53.328 --> 01:13:54.789]  This is really going on.
[01:13:55.549 --> 01:13:57.069]  The literature is over the top.
[01:13:57.410 --> 01:14:01.191]  Miscarriages, 80 plus percent of the women in the first trimesters, miscarriages.
[01:14:01.611 --> 01:14:02.751]  It's in mainstream news now.
