[00:00:00.549 --> 00:00:01.970]  Comparisons to HIV.
[00:25:35.732 --> 00:26:00.111]  Iran has been appeased by the Democrats particularly under Obama and now under his third term through the puppet Biden and they've been given tens of billions of dollars including six billion as you know just about a month before October 7th took place and I told you on October 7th Hezbollah would later take credit because they were really behind Hamas and then a few months ago Iran said yeah we were behind the attack.
[00:26:01.058 --> 00:26:02.499]  So Iran is goading the West.
[00:26:03.119 --> 00:26:14.763]  They're using their proxies in Yemen and in Syria and in Lebanon and in Gaza and in the West Bank to push the West into a conflict.
[00:26:14.783 --> 00:26:17.924]  And they've got forces pretty much run Iraq now.
[00:26:18.344 --> 00:26:20.185]  The Shiites out of Iran run that.
[00:26:20.205 --> 00:26:25.567]  And if you know all the different blocs, you understand that the Iranians are 20% of Islam.
[00:26:26.935 --> 00:26:33.895]   They are the Shiites and you got the Sunnis that are the other majority group like 75% the others a few little subsects,
[00:26:33.895 --> 00:26:39.475]   but 95% of Islam is Shiite and Sunni mainly Sunni and
[00:26:39.475 --> 00:26:46.785]   So if you know the different players and what's happening and how there are Islamists all over the world, you know
[00:26:46.785 --> 00:26:51.175]   that India has been in a bunch of conflicts with Pakistan
[00:26:51.248 --> 00:26:52.328]  They're both nuclear powers.
[00:26:52.928 --> 00:26:58.630]  India rolled in with the Hindu nationalists and took over Kashmir that have been taken by the Muslims in the last 50 years.
[00:26:59.610 --> 00:27:04.032]  And now they're off and on in border shooting conflicts with the Chinese to the east.
[00:27:05.892 --> 00:27:07.173]  So it's wild.
[00:27:07.673 --> 00:27:13.935]  You've got the expanded war in Ukraine and the weapons becoming more and more advanced, more and more deadly on the escalation ladder.
[00:27:16.101 --> 00:27:23.682]  And then you've got October 7th, clearly meant to shut Israel into a trap there in Gaza.
[00:27:24.643 --> 00:27:28.623]  And that's why I wargamed it on air with Eric Prince and Steve Bannon.
[00:27:28.643 --> 00:27:29.764]  People take it out of context.
[00:27:30.304 --> 00:27:38.105]  When I was wargaming, Israel might be able to take out Hamas if they went in there and just carpet bombed and leveled everything, but they're not doing that.
[00:27:38.405 --> 00:27:40.166]  That doesn't mean I think Israel should do that.
[00:27:40.726 --> 00:27:51.368]   I'm explaining that's the only way That they could be successful, but then that would be seen as such a war crime around the world that it would be a pyrrhic victory for Israel to do such a thing.
[00:27:52.128 --> 00:27:59.655]  But my detractors will probably just take the last segment out of context again and say that I'm calling for carpet bombing of Gaza, but that's what they do, and that's fine.
[00:28:00.075 --> 00:28:07.742]  I said, along with Steve Mannin and a lot of other smart people like Jack Posobiec, that Israel should try to take out the leaders of Hamas around the world who aren't even in.
[00:28:08.722 --> 00:28:12.785]  Uh, Gaza and that they would have the moral high ground if they did that.
[00:28:13.306 --> 00:28:27.357]  But if they went in and just leveled the place, it would backfire, which it has in a giant strategic propaganda victory for the Islamist fully backed by the Biden administration, fully backed by the universities, fully backed by the big media as part of a larger plan.
[00:28:28.618 --> 00:28:32.605]  And of course, the border is wide open to the Islamicists and the rest of it.
[00:28:32.965 --> 00:28:38.294]  Meanwhile, we have GOP hawks press Biden to target Iran directly over soldiers' death.
[00:28:39.025 --> 00:28:47.751]  We have the psycho turtle Mitch McConnell and others saying that they want to see a serious response for the three U.S.
[00:28:47.771 --> 00:29:06.983]  servicemembers killed yesterday and more than 20 wounded when a suicide drone, and I guess they're all suicidal, they're crashing into you, but no person on board, wasn't a real kamikaze like World War II, but the real pilot in the Zero fighter plane flying into an aircraft carrier or into a cruiser or into a destroyer.
[00:29:08.184 --> 00:29:12.005]  But nonetheless, they're beating the drums extremely heavily for that.
[00:29:12.886 --> 00:29:33.312]  So, if the United States starts carpet bombing or doing an Operation Praying Man is 2.0 and blowing up the entire Iranian fleet there off their coast, Iran has said, and I think they'll follow through, that they'll activate Islamic cells they've got by the hundreds of thousands in Europe, by the tens of thousands in the U.S.
[00:29:33.332 --> 00:29:40.196]   conservatively, And we'll be able to wreak havoc that will make 9-11 look like a walk in the park.
[00:29:40.256 --> 00:29:43.737]  And I'm not lessening the terrible things that happened on 9-11.
[00:29:44.178 --> 00:30:03.665]  The globalists themselves could provocateur and state something as the election diversion to get us all just get behind the commander-in-chief and they could state something and say Iran did it ahead of attacking Iran and then hoping Iran activates their sleeper cells across Europe and the US and the rest of the Western world.
[00:30:03.745 --> 00:30:09.279]   So This is not going to remove the Islamicists.
[00:30:10.200 --> 00:30:12.282]  They've got bunkers and safe houses everywhere.
[00:30:12.642 --> 00:30:14.263]  They don't care if millions of their people died.
[00:30:14.303 --> 00:30:17.466]  They lost over a million in the proxy war with the U.S.
[00:30:17.566 --> 00:30:20.188]  in the 1980s, in the Iran-Iraq War.
[00:30:21.649 --> 00:30:29.516]  And it'll actually strengthen the Mullahs' hand, who are very unpopular with the younger population that's more than half the population is below the age of 35.
[00:30:30.176 --> 00:30:31.377]  And so they need a good war.
[00:30:32.378 --> 00:30:34.520]  And they're also allied with Russia.
[00:30:35.555 --> 00:30:36.155]  And with China.
[00:30:36.235 --> 00:30:38.757]  And we're getting a lot of high-tech weapons from them.
[00:30:39.337 --> 00:30:53.366]  And they've got very capable militia, what they call it, the Quds Force, who is allowed to operate on all the major media platforms, allowed to be on Facebook, allowed to be on X. And I'm saying, fine, let them be on there so we can watch what they're doing.
[00:30:53.766 --> 00:30:56.408]  But man, they're on there saying they are ready to go.
[00:30:56.888 --> 00:31:01.831]  And you look at who runs these X accounts and Facebook accounts with millions of followers.
[00:31:01.931 --> 00:31:29.223]   And it is Officers in the Iranian military in Canada, in the United States, in Mexico, all over Central and South America, they're all over the place, they're all over Europe, and they're organized, and they usually run criminal operations, cocaine, heroin, fentanyl, sex trafficking to make their money, because they see us as the enemy, and then they funnel that money back to Iran, and it's just absolutely disgusting, and extremely dangerous.
[00:31:29.503 --> 00:31:36.909]   So, Obviously, it's not good to have some of our troops killed in Jordan.
[00:31:37.969 --> 00:31:40.910]  It's not good to have ships attacked in the Red Sea out of Yemen.
[00:31:43.291 --> 00:32:06.478]   And I think that the response to those groups should be proportionate, and that with the satellites and all the things that the United States has, it'll be very easy to stop bombarding, to start bombarding the Hezbollah Quds Force In Syria, in Lebanon, and in Gaza.
[00:32:08.099 --> 00:32:09.400]  And I'm all for it.
[00:32:10.801 --> 00:32:20.748]  If we wake up tomorrow and hear the Ayatollah Khomeini, you know, himself just ate some food and had a heart attack and died.
[00:32:21.709 --> 00:32:25.072]  But they're insulated and that's not going to happen.
[00:32:26.052 --> 00:32:33.944]   So if there's any major military action, It will very quickly lead to terror attacks all over the West.
[00:32:34.304 --> 00:32:35.325]  We'll lose our rights.
[00:32:36.046 --> 00:32:37.367]  The borders will stay wide open.
[00:32:37.387 --> 00:32:39.328]  Because logic's murdered.
[00:32:39.588 --> 00:32:46.574]  The TSA will grope your testicles even harder and fill your wife's breast even harder and put you in even stronger body scanners while the border's wide open.
[00:32:47.955 --> 00:32:49.556]  And then there's a... and that's bare minimum.
[00:32:50.136 --> 00:32:58.963]  There's a very good chance that... Iran will just... float a...
[00:33:01.434 --> 00:33:09.781]  Barge or submarine to the coastline of Tel Aviv and detonate an atomic bomb and vaporize most of the city.
[00:33:10.722 --> 00:33:12.904]  Then Israel is going to go completely crazy.
[00:33:13.545 --> 00:33:14.906]  Iran is going to deny they did it.
[00:33:15.827 --> 00:33:20.171]  And Israel is going to hit all the major cities in Iran with nuclear weapons.
[00:33:21.252 --> 00:33:25.355]  And then if you look at the way these countries operate, India and Pakistan will start nuking each other.
[00:33:26.656 --> 00:33:28.118]  There's nukes all over Eastern Europe.
[00:33:29.082 --> 00:33:33.904]  NATO's already saying imminent, prepare for imminent war in the next few months with Russia.
[00:33:34.164 --> 00:33:38.806]  They're preparing for national drafts in Sweden and Germany and the UK.
[00:33:39.446 --> 00:33:50.150]  I mean, and there's mainline reports out of NATO saying this is the beginning of a new war scenario, a new war economy that's never gonna end basically.
[00:33:50.891 --> 00:33:54.512]  So you wonder how they're gonna get a cash flow society and central bank digital currencies to do all this.
[00:33:55.012 --> 00:33:56.193]  They're going with war, folks.
[00:34:00.236 --> 00:34:03.858]  Totally insane, but that's what crazy elites do every time.
[00:34:04.558 --> 00:34:05.699]  So it is a pivotal moment.
[00:34:06.579 --> 00:34:12.082]  As Biden says, he will take serious action with a full-throated response.
[00:34:13.722 --> 00:34:14.223]  Stay with us.
[00:34:14.043 --> 00:34:16.702]  this we'll be right back.
[00:34:16.702 --> 00:34:28.302]  Alright ladies and gentlemen we are back live.
[00:34:26.820 --> 00:34:31.243]  The border with Mexico and Texas is roughly 600 miles long.
[00:34:32.744 --> 00:34:41.591]  A lot of people are debating whether Abbott's for real or not, and whether or not he's really trying to secure the border down there and what the Texas Guard is really doing.
[00:34:42.172 --> 00:34:43.172]  I've been down there a bunch.
[00:34:43.333 --> 00:34:45.554]  Last year, the year before, my crew's been down there.
[00:34:45.955 --> 00:34:48.977]  We're sending crew in less than 24 hours down there.
[00:34:49.697 --> 00:34:50.398]  They leave tomorrow.
[00:34:53.567 --> 00:34:55.227]  We know what's gone on.
[00:34:55.448 --> 00:34:57.068]  We know what's currently going on.
[00:34:57.788 --> 00:35:00.229]  And it doesn't tell us exactly what is about to happen.
[00:35:01.649 --> 00:35:03.610]  Got the big convoy that gets there in a few days.
[00:35:04.250 --> 00:35:06.710]  We're going to have reporters down there continually in the next few weeks.
[00:35:08.111 --> 00:35:13.492]  Drew Hernandez goes in on Saturday to relieve the other crew when they come back.
[00:35:14.933 --> 00:35:19.974]  But what I do know is this has really gotten the public's attention and all these states have gotten behind Texas.
[00:35:21.013 --> 00:35:27.717]  And at least at Eagle Pass, they've been blocking the entry and then checking people's IDs and arresting people with criminal records.
[00:35:29.298 --> 00:35:34.162]  And so people left that area and then distributed out to other areas to try to come across.
[00:35:34.922 --> 00:35:41.026]  And the Texas Guard doesn't have the personnel on that giant border to be able to catch them all.
[00:35:43.127 --> 00:35:46.770]  And then people drive down the wall and they see it.
[00:35:48.263 --> 00:35:51.665]  And they see openings in it, and they say, why is it open?
[00:35:51.685 --> 00:35:53.146]  Well, the wall is not on the border.
[00:35:53.246 --> 00:35:56.307]  In some cases, there's a bunch of farmland right there in the river bottom.
[00:35:56.667 --> 00:36:03.591]  It's the most valuable land for citrus and tomatoes and potatoes and everything down there.
[00:36:04.491 --> 00:36:09.394]  Oranges, lemons, grapefruits, you name it.
[00:36:11.252 --> 00:36:12.493]  California, Florida, Texas.
[00:36:12.533 --> 00:36:20.560]  Texas is the third largest producer of citrus alone in the United States, and arguably the second largest producer of food total.
[00:36:21.001 --> 00:36:22.302]  And that's the breadbasket down there.
[00:36:22.322 --> 00:36:26.585]  So, in many cases, the wall is three, four miles back from the border.
[00:36:28.447 --> 00:36:38.396]  On the other side of the wall is Border Patrol swarming around in the areas where the river isn't too deep and people try to come across.
[00:36:39.673 --> 00:36:43.216]  So what happens is people drive by and they go, oh look, that gate's open.
[00:36:43.236 --> 00:36:46.338]  Yeah, and you drive through the gate, there'll be five War Patrol trucks sitting right there.
[00:36:47.599 --> 00:36:49.500]  So that can be deceiving, okay?
[00:36:50.761 --> 00:36:53.643]  I've flown over with helicopters, fixed-wing aircraft, drones, you name it.
[00:36:54.543 --> 00:37:13.998]   What we do know is, and we've got countless videos that have shown this, Is under Abbott, the State Guard's been down there helping the Border Patrol until about a month ago, process the illegal aliens and helping bring them in and letting the NGOs boss the State Guard, the National Guard around.
[00:37:15.078 --> 00:37:18.399]  And here's recent footage of, if it rolled from the beginning, go ahead and roll the audio.
[00:37:18.439 --> 00:37:19.880]  I know it's windy out there, but people can hear this.
[00:37:20.400 --> 00:37:25.841]  And the illegal alien from South America, he even identifies himself.
[00:37:26.262 --> 00:37:27.302]  He just walks through the gate.
[00:37:28.769 --> 00:37:32.719]  Walks straight over, gets on a bus, and then drives to a processing center.
[00:37:34.423 --> 00:37:35.987]  And people see this and say, well, what's going on?
[00:37:37.247 --> 00:37:43.450]  Well, that's what the guard's been told to do by the governor a couple miles from Eagle Pass.
[00:37:43.470 --> 00:37:44.450]  That's what they've been doing.
[00:37:44.611 --> 00:37:46.331]  So, yes, that's real.
[00:37:46.992 --> 00:37:48.372]  Yes, that's currently going on.
[00:37:49.153 --> 00:37:54.635]  And yes, we even had the state guard get in our faces and tell us, back off and don't videotape stuff.
[00:37:54.695 --> 00:38:03.980]  At night, just last year, saw those viral videos when I went down there for a week, as they were being loaded onto the buses.
[00:38:05.461 --> 00:38:08.123]  Now the really telling footage from Eagle Pass is right here.
[00:38:09.625 --> 00:38:15.423]  And that is clip 20.
[00:38:15.423 --> 00:38:19.704]  Hernando.
[00:38:19.704 --> 00:38:20.704]  All right.
[00:38:21.056 --> 00:38:23.858]  Ars questions illegals in El Paso.
[00:38:24.999 --> 00:38:27.621]  Or excuse me, illegals in Eagle Pass.
[00:38:27.961 --> 00:38:30.683]  Hernando Ars questions illegals in Eagle Pass.
[00:38:30.723 --> 00:38:31.384]  He's a great reporter.
[00:38:31.404 --> 00:38:32.205]  We've talked to him before.
[00:38:32.685 --> 00:38:33.425]  Run a lot of his reports.
[00:38:33.445 --> 00:38:34.626]  We're going to be hooking up with him and others.
[00:38:35.107 --> 00:38:36.508]  We're down there this week, this next week.
[00:38:37.308 --> 00:38:39.990]  But he talks to them and they say, yeah.
[00:38:40.987 --> 00:38:44.068]  They let us through because it's a woman with children.
[00:38:44.548 --> 00:38:51.431]  That's exactly what I've been told from our Border Patrol sources who refused, that's big news too, to move in after they got ordered days ago.
[00:38:51.451 --> 00:38:53.392]  They were supposed to by Friday.
[00:38:55.148 --> 00:39:00.771]  To move in and physically remove the Texas Guard and they've refused that order.
[00:39:01.091 --> 00:39:02.892]  So Biden did order to remove them.
[00:39:03.492 --> 00:39:04.513]  I was told that on Friday.
[00:39:04.573 --> 00:39:09.835]  It's since hit the news yesterday, mainstream news, Fox News, that indeed they're refusing the orders.
[00:39:10.436 --> 00:39:14.978]  And I've also posted those reports at Real Alex Jones on X if you want to see those.
[00:39:15.018 --> 00:39:17.699]  So that is a big deal.
[00:39:17.759 --> 00:39:22.531]   So it remains To be seen, we're going to get some real answers for you this week.
[00:39:23.031 --> 00:39:24.752]  And next week, we're going to be stationed down there.
[00:39:25.312 --> 00:39:26.293]  We've got all the sources.
[00:39:26.313 --> 00:39:27.353]  We've got the contacts.
[00:39:27.373 --> 00:39:29.034]  And we're going to get to the bottom of it.
[00:39:30.295 --> 00:39:32.036]  But this is a 600-mile border.
[00:39:32.056 --> 00:39:33.837]  It's a 2,300-mile border.
[00:39:35.478 --> 00:39:35.838]  Total.
[00:39:37.039 --> 00:39:38.300]  With Mexico and the United States.
[00:39:40.161 --> 00:39:41.602]  And yeah, here's some of our reporters.
[00:39:42.963 --> 00:39:47.986]  When the military state guard tried to get in their face, well, our guys got right back in theirs and said, shame on you.
[00:39:48.976 --> 00:39:50.397]  I already played this clip again last week.
[00:39:50.417 --> 00:39:52.678]  It's from over a year ago, or about a year ago.
[00:39:53.338 --> 00:39:55.319]  But this is what we're dealing with.
[00:39:57.640 --> 00:40:02.703]  And so, it's too soon to say exactly what's going on.
[00:40:02.723 --> 00:40:09.146]  At the start of the show, we played a local citizen journalist who lives down there, and he drove by the wall and said, look, the doors are open.
[00:40:09.626 --> 00:40:12.328]  Well, that's because it's 3, 4, 5, 6 miles depending on where you're at.
[00:40:12.848 --> 00:40:14.409]  From there, that's just one wall.
[00:40:14.969 --> 00:40:16.790]  In many areas, they've got two walls.
[00:40:17.790 --> 00:40:22.732]  And in many areas, you get up to the Rio Grande, there's barbed wire there put up by the Trump administration.
[00:40:23.653 --> 00:40:30.876]  But what's been happening is the Obama administration, that's not a Freudian slip, that's who's in charge right now, they have been pulling it out.
[00:40:32.016 --> 00:40:34.858]  So the question is, what is Texas's real intention?
[00:40:35.858 --> 00:40:37.699]  And I think Greg Abbott's stuck his toe in the water.
[00:40:37.739 --> 00:40:46.163]  He sees all this support from every other Republican state, every other Republican governor, 26 governors total now, including Texas, 25 outside Texas.
[00:40:47.077 --> 00:40:50.538]  And I'm, I'm hoping, you know, that he's not a total sellout.
[00:40:51.099 --> 00:40:52.439]  And now he sees it's the right thing to do.
[00:40:52.459 --> 00:40:53.280]  And he's got the support.
[00:40:54.280 --> 00:40:57.041]  And then he gets these other guards down there and we start organizing.
[00:40:57.781 --> 00:41:04.304]  And we start, you know, having state-funded deportations, particularly of men and people with criminal records.
[00:41:04.964 --> 00:41:33.493]   Up until now, and I've interviewed off-record federal judges and FBI and federal marshals and high-level border patrol, who've given us intel the last few years, and They are told to release people with arson convictions, armed robbery convictions, multiple molestation, sex trafficking convictions, because the Justice Department tells federal judges who and can and can't be charged.
[00:41:34.634 --> 00:41:36.715]  So to me, that's the big giant scandal.
[00:41:36.735 --> 00:41:48.113]   And when I talked to this federal judge off record, they directed me to the Court records of where this is and they told me, we've directed other major media to this.
[00:41:49.553 --> 00:42:02.920]  And we would like them to go look at the court record and see where in one case they gave us that I covered on air, the man had been deported four times.
[00:42:04.241 --> 00:42:07.423]  He'd been convicted three times of raping small children.
[00:42:08.603 --> 00:42:18.835]   And when they caught him, The fifth time, he was in South Texas, driving a school bus for disabled children.
[00:42:20.356 --> 00:42:21.636]  And you know what the Justice Department did?
[00:42:22.976 --> 00:42:27.077]  They told the federal judge and the federal magistrates, you may not charge him.
[00:42:27.858 --> 00:42:39.341]  And under the statutes, all they can do, when the Justice Department won't let them charge him with a felony, is they can charge him with a misdemeanor for the illegal crossing, and they do that, and they hold him for one month.
[00:42:41.516 --> 00:42:44.158]  And I'm told this by a senior federal judge.
[00:42:46.399 --> 00:42:46.920]  Face to face.
[00:42:47.980 --> 00:42:48.441]  Via Zoom.
[00:42:48.901 --> 00:42:49.221]  Right there.
[00:42:50.622 --> 00:42:51.843]  And imagine how desperate they are.
[00:42:51.883 --> 00:42:52.764]  They're coming to Alex Jones.
[00:42:53.064 --> 00:42:55.486]  And I said in one of these meetings, I said, let me guess why you're talking to me.
[00:42:56.406 --> 00:42:57.607]  You tried to get this on Fox.
[00:42:57.647 --> 00:42:58.888]  You tried to get this on Joe Rogan.
[00:42:58.908 --> 00:43:02.510]  And they started looking at each other and they're like, well, how do you know that?
[00:43:03.011 --> 00:43:05.132]  We were going to ask you to get a hold of Joe Rogan.
[00:43:05.152 --> 00:43:06.073]  We want to save these kids.
[00:43:07.421 --> 00:43:10.183]  And I said, yeah, I figured you'd already tried.
[00:43:10.223 --> 00:43:12.905]  I said, I understand people come to me last, you know, I'm the big bad guy.
[00:43:13.486 --> 00:43:14.867]  But I said, I'll give it to Joe.
[00:43:14.907 --> 00:43:18.250]  But you know, Joe's pet peeve is being told who to get on and who not to get on.
[00:43:18.510 --> 00:43:20.732]  But I mean, I gave him the information.
[00:43:21.853 --> 00:43:25.275]  But I mean, what are you supposed to do, folks?
[00:43:26.277 --> 00:43:28.678]  And then I've got a very small crew, a very small operation.
[00:43:29.038 --> 00:43:38.120]  We could have a 10-person team, and they couldn't even scratch the surface, of the one federal court, and its magistrates, and the cases they've got.
[00:43:39.061 --> 00:44:08.853]   And all you gotta do, and they pointed it out to us, go to the court record, and you can see where every hour They said on court days, it's every few minutes, they are forced to release people that have been in our prisons or in Mexican prisons, that they know their name, they have their face scanned, their hands have been scanned, they scan them, they photograph them, they instantly know who they are, and that they're multiple-time hardcore criminals, felons, rapists, child molesters, murderers, narcotics traffickers.
[00:44:10.574 --> 00:44:16.196]   And they told me, and I've seen this in the news, it's true, the only people they'll stop They don't stop most of them, they never get them.
[00:44:16.776 --> 00:44:19.038]  Most of them is terrorists.
[00:44:19.938 --> 00:44:22.060]  People that are on an actual terrorist watch list.
[00:44:23.621 --> 00:44:27.283]  And they're catching a lot of Iranians, a lot of Iraqis, a lot of Syrians, you name it.
[00:44:27.663 --> 00:44:28.984]  Scary hombres down there.
[00:44:29.685 --> 00:44:34.468]  So, I'm going to come back and talk more about this straight ahead.
[00:44:35.428 --> 00:44:38.651]  And then we're going to shift gears into all the other news tonight.
[00:44:38.510 --> 00:45:05.791]  Stay with us.
[00:45:05.760 --> 00:45:14.243]  In today's pop culture, it is speculated that they are related to child sex trafficking, which is indeed a horrific problem with the human race.
[00:45:14.604 --> 00:45:16.965]  But there seems to be something more to these tunnels.
[00:45:17.585 --> 00:45:24.888]  Tunnels leading underground are one of Earth's greatest mysteries and can be found all over the world and all throughout history.
[00:45:25.928 --> 00:45:39.375]  Phil Schneider, a structural engineer who spent 17 years as a military contractor building deep underground military bases, went on a tour giving lectures and blowing the whistle on what he witnessed.
[00:45:39.856 --> 00:45:47.600]  He claimed there were 129 deep underground bases in America alone, all of which were the size of a small city.
[00:45:48.220 --> 00:46:03.143]  He found that some of these underground bases were connecting to ancient underground tunnels and cave networks that were inhabited by a non-human species, which he ran into while building an underground base beneath Dulce, New Mexico.
[00:46:03.644 --> 00:46:11.994]  Schneider said that the Dulcey area was a hub of underground bases, all connected by a high-speed underground rail system.
[00:46:12.614 --> 00:46:17.640]  Less than a year after blowing the whistle, Schneider died under suspicious circumstances.
[00:46:18.601 --> 00:46:30.229]  Dulce, New Mexico is 170 kilometers from the Four Corners, an area known for the Skinwalkers, who the Hopi tribe describe as a non-human species that live underground.
[00:46:30.850 --> 00:46:38.055]  Dulce is 260 kilometers from Scientology's heavily guarded underground Trementina base.
[00:46:38.835 --> 00:46:50.262]  And Dulce is 200 kilometers from Jeffrey Epstein's Zorro Ranch, which is known to have an 8,000 square foot underground level and is rumored to lead even deeper underground.
[00:46:50.842 --> 00:47:02.649]  According to several prominent scientists who Jeffrey Epstein had as guests, Epstein hoped to seed the human race after a cataclysm by impregnating 20 women at a time at the Zorro Ranch.
[00:47:03.750 --> 00:47:15.580]  According to researcher Christopher John Bejerkness, the goal of breeding Jewish seed lines with Gentile women is the fulfillment of Kabbalistic legends of Samael and Lilith.
[00:47:16.120 --> 00:47:27.790]  According to Bejerkness, the Kabbalistic teachings include a geocentric model of the earth with an underworld that extends seven levels beneath the surface where a reptilian species lives.
[00:47:28.470 --> 00:47:36.177]  These legends foretell a cleansing of the Earth when everyone on the surface will perish and only those in the underworld will survive.
[00:47:37.338 --> 00:47:45.285]  High-level Freemasons allegedly believe in a hollow Earth where a non-human species rule from an underworld called Agartha.
[00:47:45.785 --> 00:47:50.810]  And their most guarded secrets seem to revolve around a cyclical cataclysmic event.
[00:47:51.791 --> 00:47:54.333]  Phil Schneider also built submarine bases.
[00:47:54.773 --> 00:47:59.096]  and said that most were connected to the vast network of deep underground bases.
[00:47:59.797 --> 00:48:07.982]  Ghislaine Maxwell had a submarine license and was known to transport people to Epstein Island through an underwater submarine port.
[00:48:08.583 --> 00:48:09.023]  The U.S.
[00:48:09.083 --> 00:48:11.405]  military built a submarine base on St.
[00:48:11.465 --> 00:48:15.728]  Thomas Island, which is just 13 kilometers from Epstein Island.
[00:48:16.348 --> 00:48:23.073]  And right next to this submarine base is Water Island, owned by Joe Biden's brother and their business associate.
[00:48:24.181 --> 00:48:37.464]  In a recent interview on Iconic, Juliette Bryant, who was kidnapped by Jeffrey Epstein for two years, said that she never witnessed any of the dozens of girls there being trafficked to any men other than Epstein.
[00:48:37.984 --> 00:48:44.646]  But she did wake up once paralyzed on a lab table and witnessed Epstein shapeshift into something else.
[00:48:45.063 --> 00:48:51.748]  You know and I still want to know why exactly I was taken there because there's a lot more weird stuff going on because you know I didn't see any girls getting trafficked to other men.
[00:48:52.289 --> 00:48:54.351]  So there's something else that they were doing.
[00:48:54.711 --> 00:49:06.961]  That's fascinating in itself and we have a lot of talk and this doesn't get spoken about that much but it's the kind of cloning DNA part that he was obviously transhumanism that he was interested in.
[00:49:07.381 --> 00:49:09.062]   Did that Come up anywhere?
[00:49:09.102 --> 00:49:09.882]  Did you see any signs?
[00:49:09.902 --> 00:49:12.903]  I mean, obviously they're scientists.
[00:49:13.763 --> 00:49:15.524]  I woke up in a laboratory there one night.
[00:49:16.704 --> 00:49:17.584]  Wow.
[00:49:17.644 --> 00:49:20.265]  These are the things I haven't wanted to talk about because it's frightening.
[00:49:21.065 --> 00:49:27.147]  But there were scientists there, you know, and I woke up one night in a laboratory paralyzed and naked on a table.
[00:49:29.367 --> 00:49:30.948]  I would like to be lie detected on this.
[00:49:31.748 --> 00:49:33.188]  You know, there are other weird things that I saw.
[00:49:33.628 --> 00:49:35.509]  I saw Epstein shift in front of my eyes.
[00:49:36.618 --> 00:49:42.060]  It was very, very frightening, and it's something that I had to explain to myself because I saw him turn into something.
[00:49:43.921 --> 00:49:44.881]  It's Sunday night.
[00:49:44.942 --> 00:49:45.822]  We're live.
[00:49:46.462 --> 00:49:48.003]  I'm here every weekday, 11 a.m.
[00:49:48.023 --> 00:49:48.843]  to 3 p.m.
[00:49:48.943 --> 00:49:52.585]  Central Texas time with my weekday broadcast.
[00:49:53.325 --> 00:50:00.608]  Been doing it in that time slot for 27 years.
[00:50:01.829 --> 00:50:04.870]  Been doing the Sunday show for 16 in this slot.
[00:50:05.816 --> 00:50:19.682]  We expanded a year and a half ago to Sunday Night Live, 6 to 8 p.m., and we have one of our other great hosts, Rotate Through, Owen Schroer, Harrison Smith, Chase Geyser, Christy Lee, and others.
[00:50:19.722 --> 00:50:29.085]  That's coming up in 53 minutes from now, and Chase Geyser's hosting tonight always does a great job.
[00:50:29.966 --> 00:50:30.246]  Okay.
[00:50:32.819 --> 00:50:34.460]  I've covered the fact that U.N.
[00:50:34.500 --> 00:50:36.981]  weapons inspectors and others say, look, Iran's already got nukes.
[00:50:37.962 --> 00:50:38.742]  High-level U.S.
[00:50:38.782 --> 00:50:40.243]  weapons experts have said the same thing.
[00:50:41.824 --> 00:50:43.224]  This could escalate very quickly.
[00:50:43.264 --> 00:50:44.565]  It's already escalated with the three U.S.
[00:50:44.585 --> 00:50:51.789]  troops killed, 20-plus injured, when a drone attacked out of Syria into Jordan.
[00:50:53.457 --> 00:50:55.138]  More attacks on shipping in the Red Sea.
[00:50:55.158 --> 00:50:57.739]  We're going to be going over all of it today.
[00:50:57.779 --> 00:50:58.959]  But here are some of the articles.
[00:50:59.019 --> 00:51:04.541]  Again, Biden given chilling nuclear warning over attacking Iran after kamikaze drone kills troops.
[00:51:05.982 --> 00:51:06.882]  Then it's got the U.N.
[00:51:07.542 --> 00:51:16.145]  Weapons Inspector David Albright, very respected, said Iran may accelerate its already well-developed nuclear weapons program if the U.S.
[00:51:16.165 --> 00:51:21.487]  decides to launch a direct attack and says they have nuclear weapons, they just have them disassembled.
[00:51:21.507 --> 00:51:22.928]  You can read the whole article.
[00:51:24.568 --> 00:51:26.109]  That's up on Infowars.com.
[00:51:26.129 --> 00:51:26.750]  Here's another one.
[00:51:26.770 --> 00:51:29.912]  James H. Baker, Pentagon strategist, says Iran nukes probable.
[00:51:29.952 --> 00:51:30.813]  That was years ago.
[00:51:30.833 --> 00:51:34.316]  And it just goes on from there.
[00:51:34.376 --> 00:51:38.139]  So that's the reality of what's going on.
[00:51:38.539 --> 00:51:39.900]  And we consider and say, well, the U.S.
[00:51:39.920 --> 00:51:42.923]  could take on Iran and Russia and China.
[00:51:43.243 --> 00:51:45.365]  And the answer is, no, we can't, ladies and gentlemen.
[00:51:46.766 --> 00:51:48.027]  So we want to go on living.
[00:51:48.988 --> 00:51:58.712]  We need to stop this and that also means I open our borders up and bringing all these Iranian sleeper cells in here and not giving them six billion dollars like Biden did five months ago.
[00:52:01.233 --> 00:52:03.014]  Now we're going to skip this network break coming up, okay?
[00:52:04.654 --> 00:52:07.175]  Because I've got a lot to cover here right now.
[00:52:08.716 --> 00:52:08.996]  All right.
[00:52:10.277 --> 00:52:24.455]   Every time I'm about to go live, I want to try to explain this to people and Because I think you need to know a sense of where I've been at for almost 30 years on air, trying to hold this back and wishing this wasn't a reality.
