[00:00:59.-200 --> 00:00:15.280]  [MUSIC PLAYING]
[00:22:32.593 --> 00:22:36.435]  But I didn't have much of a coherent theology other than, you know, I'm a Christian.
[00:22:36.475 --> 00:22:39.856]  I went to sort of a church that didn't mean it.
[00:22:40.197 --> 00:22:41.957]  I didn't quite realize how much they didn't mean it.
[00:22:42.478 --> 00:22:44.479]  But I'd grown up in this church and gone to its schools.
[00:22:44.519 --> 00:22:47.920]  And I was really steeped in the culture of the church.
[00:22:48.000 --> 00:22:51.042]  And my family was involved in the church going back, you know, a couple hundred years.
[00:22:51.102 --> 00:22:53.043]  So it was like it was very much part of our family.
[00:22:53.880 --> 00:22:56.240]  And, um, but I didn't think about it very much.
[00:22:56.421 --> 00:23:00.061]  And really it was watching what's happening to the world that changed my view.
[00:23:00.881 --> 00:23:05.742]  I became convinced that some of these, I had watched political debates my entire life.
[00:23:05.782 --> 00:23:08.783]  That's what I do for 30, more than 30 years.
[00:23:09.183 --> 00:23:13.324]  And while I disagreed with one side, I could understand their argument.
[00:23:13.564 --> 00:23:18.825]  You know, they would say, well, we need to have, I mean, I've always been totally opposed to abortion or killing the defenseless.
[00:23:19.665 --> 00:23:22.147]  Really killing anybody, honestly, except in self-defense.
[00:23:22.207 --> 00:23:27.753]  But, um, but I could understand, you know, well, there's a 15-year-old girl who, you know, was pregnant.
[00:23:27.853 --> 00:23:28.614]  She got raped.
[00:23:28.754 --> 00:23:31.877]  And if you don't let her have an abortion, she'll never have a real life.
[00:23:31.997 --> 00:23:37.021]  And, you know, I disagreed with that because I think you can't kill people regardless of the justification.
[00:23:37.182 --> 00:23:39.264]  However, I thought that was a real argument.
[00:23:39.524 --> 00:23:42.847]  I mean, at least it appealed to the possibility her life would be improved.
[00:23:43.638 --> 00:23:48.186]  You wake up and all of a sudden people are saying, well, abortion is itself the point.
[00:23:48.607 --> 00:23:51.572]  Like having an abortion is just good for the sake of doing it.
[00:23:52.213 --> 00:23:52.454]  That's right.
[00:23:52.474 --> 00:23:53.696]  The women say, we love it.
[00:23:53.936 --> 00:23:54.718]  They say, we love it.
[00:23:54.758 --> 00:23:55.379]  It's a religion.
[00:23:55.419 --> 00:23:56.361]  They're getting off on it.
[00:23:57.597 --> 00:23:58.838]  Well, it's human sacrifice.
[00:23:59.758 --> 00:24:00.939]  And so, obviously.
[00:24:01.159 --> 00:24:07.543]  So I was trying, because I'm a little bit autistic and very literal, I'm thinking, well, okay, what does that even mean?
[00:24:07.563 --> 00:24:08.104]  Like, what?
[00:24:08.344 --> 00:24:09.064]  You were trying to find logic.
[00:24:09.084 --> 00:24:09.905]  This is very different.
[00:24:10.505 --> 00:24:10.925]  I was!
[00:24:11.285 --> 00:24:14.908]  And I'm a student of argument, because I make arguments for a living.
[00:24:14.948 --> 00:24:19.731]  I spent years, you know, sending my kids to school and filling the fridge with arguing.
[00:24:19.771 --> 00:24:21.052]  That's what I did for a living.
[00:24:21.072 --> 00:24:40.215]   So I really I'm interested in how people construct arguments and in their nature and all of a sudden people stop making arguments on behalf of abortion and begin holding it up as just like something that was just good for its own sake and and stop they didn't even attempt to convince you that you weren't taking a human life the presumption is that you are of course and with technology we know that you are
[00:24:40.675 --> 00:24:41.956]  There's no counter-argument to that.
[00:24:42.496 --> 00:24:45.858]  And so they're basically saying killing people is a good thing.
[00:24:45.898 --> 00:24:48.419]  And I thought, well, that's just a kind of remarkable thing to say.
[00:24:49.120 --> 00:24:54.923]  And then I found out, because I was interested, that that is what every society has said in recorded history.
[00:24:55.223 --> 00:25:07.730]  Every society, from the ones that, you know, are very famous, the ancient Canaanites, the Mayans, the Aztecs, all the Mesoamerican civilizations, but also the Western European civilizations, my own, where my ancestors lived, you know, in the Nordic countries.
[00:25:07.790 --> 00:25:10.072]   They were also committing human sacrifice.
[00:25:10.092 --> 00:25:20.664]  There's something about killing other people ritually as an offering to the spirit world that is a constant through human history.
[00:25:20.965 --> 00:25:22.286]  Every civilization has done that.
[00:25:22.907 --> 00:25:24.509]  And so that raises the question, why?
[00:25:25.209 --> 00:25:28.213]  How would, like, that's such a counterintuitive conclusion to come to.
[00:25:28.833 --> 00:25:53.800]   I kill people like so evolutionary biology tells us that the whole point of existence is to continue existence is to pass on your genes to another generation and then many more right that that's the assumption that I have my whole life and yet every civilization from the beginning of time has reached the opposite conclusion we will be happier by killing the fruit of our womb children And we will be rewarded by the gods for doing this.
[00:25:54.080 --> 00:25:57.282]  Every single civilization has reached that conclusion without any exception that I'm aware of.
[00:25:57.862 --> 00:25:59.063]  And you have to ask, why is that?
[00:25:59.103 --> 00:26:01.664]  They didn't have the internet 5,000 years ago.
[00:26:01.764 --> 00:26:03.826]  How are they all reaching the same conclusion?
[00:26:04.226 --> 00:26:07.888]  And really the only logical answer is because some outside force was telling them that.
[00:26:08.449 --> 00:26:08.629]  Right?
[00:26:08.709 --> 00:26:09.889]  That the spirit world is real.
[00:26:10.410 --> 00:26:21.785]   And that there are demons telling people that you will be happier, that you will be safer, that you will be richer, You'll be more powerful if you take the life of a child.
[00:26:23.007 --> 00:26:26.273]  Or of a maiden, or of some helpless human being.
[00:26:27.177 --> 00:26:28.378]  Uh, mostly young human beings.
[00:26:28.398 --> 00:26:36.820]  It's never the elderly who are the... And they like it because it's stealing the future and a child is the closest thing to God because of the potential of the universe, so it is a wound against God.
[00:26:36.881 --> 00:26:37.741]  It is stabbing God.
[00:26:37.881 --> 00:26:38.641]  Exactly!
[00:26:39.001 --> 00:26:39.441]  Exactly!
[00:26:39.501 --> 00:26:46.284]  But, so from, but, look, civilizations convince themselves of all kinds of crazy things, right?
[00:26:46.924 --> 00:26:54.026]   But when every civilization convinces itself of the same crazy thing, That is not an obvious conclusion.
[00:26:54.486 --> 00:27:02.148]  Like, if I'm, you know, a Hivero Indian living in the Amazon headwaters, and just getting enough calories every year is really a struggle, right?
[00:27:02.668 --> 00:27:11.950]  And I need labor, because there aren't many Hivero Indians, but I've somehow reached a conclusion that killing my own child would, you know, make my life better.
[00:27:12.030 --> 00:27:13.630]  Like, how am I reaching that conclusion?
[00:27:13.670 --> 00:27:15.010]  Like, I'm not reaching that rationally.
[00:27:15.170 --> 00:27:17.571]  Something or somebody is telling me that.
[00:27:17.671 --> 00:27:18.871]  And you made a key point.
[00:27:18.971 --> 00:27:19.751]  You made a key point.
[00:27:21.776 --> 00:27:25.019]  That these are civilizations that we're not communicating and they're doing the exact same thing.
[00:27:25.059 --> 00:27:25.459]  Exactly.
[00:27:25.520 --> 00:27:28.443]  Many times the exact same image of the same gods.
[00:27:28.463 --> 00:27:29.944]  And so you've told me some private stories.
[00:27:29.984 --> 00:27:30.365]  So often.
[00:27:30.905 --> 00:27:32.006]  I've told you some private ones.
[00:27:32.807 --> 00:27:34.849]  And through my life I have a sixth sense to spirit.
[00:27:35.390 --> 00:27:36.171]  It's not instinct.
[00:27:36.211 --> 00:27:36.951]  It's something else.
[00:27:37.111 --> 00:27:38.433]  And I've had this happen all the time.
[00:27:38.453 --> 00:27:39.154]  I usually ignore it.
[00:27:39.594 --> 00:27:40.895]  I've learned to not ignore it.
[00:27:41.861 --> 00:27:45.705]  And I mean, here's just an example, and this is literally from the ether from God.
[00:27:46.246 --> 00:27:47.186]  I can play the clip.
[00:27:47.967 --> 00:27:51.050]  About a month before he got fired, I said, Tucker will be fired within one month.
[00:27:51.351 --> 00:27:54.234]  And I believe Tucker, he's hardcore, he's awake.
[00:27:55.074 --> 00:27:56.035]  The left admits it.
[00:27:56.696 --> 00:28:00.820]  I predict he won't be at Fox News in the near future if he's unable to put this out.
[00:28:01.781 --> 00:28:02.502]  I'm going to leave it at that.
[00:28:02.962 --> 00:28:05.545]  By the way, Fox News needs Tucker Carlson.
[00:28:08.192 --> 00:28:10.192]  Tucker Carlson doesn't need Fox News.
[00:28:10.192 --> 00:28:12.192]  We'll be back on Monday.
[00:28:12.192 --> 00:28:17.192]  Tucker Carlson signed off Friday on what we now know was his last show on Fox News.
[00:28:17.192 --> 00:28:23.192]  The network announcing it is severing ties with its most popular host without explanation in a statement Monday.
[00:28:23.192 --> 00:28:27.192]  And I've just learned when this stuff happens, I just say it and it's always right.
[00:28:27.192 --> 00:28:31.192]  And then now that I've accepted it, it's getting more intense and it's getting stronger.
[00:28:31.192 --> 00:28:38.192]  And I know what's going on is these dark forces don't want humans to go to the next level of real evolution.
[00:28:38.192 --> 00:28:40.192]  God's real evolution for us.
[00:28:40.073 --> 00:28:40.974]  And you hit that on the head.
[00:28:40.994 --> 00:28:41.234]  Yes.
[00:28:41.374 --> 00:28:42.594]  People see these fake churches.
[00:28:42.634 --> 00:28:50.496]  Well, Christ says in the New Testament, he spends the whole time criticizing the Pharisees and Sadducees and saying they pray in public, they act like they're God, they get in front of you in God.
[00:28:50.836 --> 00:28:54.397]  He's like, pray in private to God, open up your heart, the kingdom of heaven is with you.
[00:28:54.657 --> 00:29:03.397]   You're not God, but you are able to reach out directly, not through some priest, not through some preacher, but directly to God. It's great to go to church, there are other people that are looking for God,
[00:29:03.397 --> 00:29:10.438]   there's a psychic connection, it boosts it, but Satan is smart. He, one of the worst places is the churches because that's where he lays the traps.
[00:29:10.438 --> 00:29:24.597]   I think that's all true. And I just go back to what I said when we first sat down, which is, why have you been singled out for abuse and persecution? Why?
[00:29:24.851 --> 00:29:30.235]  And it, I'm just, like, I'm in the business of trying to figure out, usually unsuccessfully, but why things happen.
[00:29:30.275 --> 00:29:31.376]  It's not enough to say that they do.
[00:29:31.996 --> 00:29:34.938]  For me, anyway, my curiosity drives me to ask, like, why is this happening?
[00:29:34.958 --> 00:29:35.539]  What does this mean?
[00:29:35.599 --> 00:29:36.039]  What is this?
[00:29:36.880 --> 00:29:50.150]  And the fact that you, specifically you, Alex Jones, for the last 20 years, have been attacked in the way that you have been, even when you're on, like, cable access television, like a threat to nobody.
[00:29:50.250 --> 00:29:51.712]  Why did they single you out?
[00:29:52.452 --> 00:29:54.013]  And of course, it's not because you're lying.
[00:29:54.213 --> 00:30:00.818]  In fact, had you lied and decided to make a career of lying, you would be a lot richer than you are and no one would bother you.
[00:30:00.878 --> 00:30:01.759]  You'd be celebrated.
[00:30:01.799 --> 00:30:03.020]  You'd have a show on NBC.
[00:30:03.580 --> 00:30:07.944]  It's the fact that through you flows some things that are undeniably true.
[00:30:08.444 --> 00:30:09.945]  I mean, I can't vouch for all of it.
[00:30:09.965 --> 00:30:17.589]  I don't have your full, like, lifetime corpus in front of me, but I know that you predicted, in detail, 9-11 the summer before it happened.
[00:30:17.609 --> 00:30:18.689]  Like, that's just a fact.
[00:30:19.089 --> 00:30:22.271]  And I've thrown that out there many times, like, okay, you may hit Alex Jones.
[00:30:23.464 --> 00:30:25.226]  But what is that?
[00:30:25.366 --> 00:30:27.049]  Honestly, how did that happen?
[00:30:28.090 --> 00:30:29.031]  That's impossible.
[00:30:30.873 --> 00:30:31.434]  You know what I mean?
[00:30:31.474 --> 00:30:36.040]  So why don't you tell me, Alex Jones hater, what are we looking at here?
[00:30:36.140 --> 00:30:37.121]  How could he have known that?
[00:30:37.982 --> 00:30:40.705]  And the answer, of course, is that you couldn't have known that.
[00:30:41.246 --> 00:30:42.287]  That that's supernatural.
[00:30:42.327 --> 00:30:48.310]  Now I'm not saying everything you say is like prophecy from God, but I'm saying that's supernatural because I can't think of a natural explanation.
[00:30:48.410 --> 00:30:48.950]  Maybe there is one.
[00:30:49.130 --> 00:30:50.131]  If there is, tell me what it is!
[00:30:50.671 --> 00:30:51.671]  But that's why they hate you.
[00:30:52.172 --> 00:30:54.293]  So, um, that's revealing in itself.
[00:30:54.673 --> 00:30:56.694]  If you want to know, there it is right there.
[00:30:57.555 --> 00:31:05.917]  If July 25th, 2001, I lived in this country, I was in the news business on July 25th, 2001, I was an employee of the Cable News Network in Washington.
[00:31:06.277 --> 00:31:07.378]  I hosted a show for CNN.
[00:31:07.798 --> 00:31:15.520]  Trust me, we had every national security poobah on there, every retired CIA operative, some current CIA operatives, talking about this stuff all the time.
[00:31:15.560 --> 00:31:21.422]  Not one person came within a mile of what you said on some cable access show in Texas.
[00:31:21.442 --> 00:31:21.942]  Like, what?
[00:31:22.942 --> 00:31:29.188]  So, that's the problem that they have, is that you blurt out these things that are true.
[00:31:29.449 --> 00:31:36.696]  And I just think, if you want to understand what's actually going on, take a look at what makes the people in charge the angriest.
[00:31:36.756 --> 00:31:38.037]  What are the things you can't say?
[00:31:38.357 --> 00:31:40.840]  And that's a pretty reliable guide to what's actually happening.
[00:31:41.019 --> 00:31:46.680]  So shifting gears away from me, what is it about Tucker Carlson that makes him so mad?
[00:31:46.680 --> 00:31:54.559]   Because you make a lot of predictions and accurate things, but you're even more strong and this is not an assassin contest, we're talking about why the enemy hates us because
[00:31:54.559 --> 00:31:55.559]  that's important to understand.
[00:31:55.559 --> 00:31:56.559]  What are we doing that can beat them?
[00:31:56.559 --> 00:32:00.859]   If they're trying to stop us, we've got something that can defeat them, so everybody needs to understand this.
[00:32:00.859 --> 00:32:01.859]  We need to understand this.
[00:32:01.859 --> 00:32:02.859]  What is it about you?
[00:32:02.859 --> 00:32:10.839]   I think it's that you are definitely genuine, very smart, articulate, and are able to reach Reach out across political lines and unify people.
[00:32:10.494 --> 00:32:13.035]  And all you're trying to do is save civilization and our future.
[00:32:13.055 --> 00:32:13.836]  They call you a hater.
[00:32:14.196 --> 00:32:15.137]  They call you an extremist.
[00:32:15.197 --> 00:32:24.523]  CNN and the usual suspects, Brian Stelter's mini-me, Oliver Darcy, is running around trying to get Ticketmaster to pull and shut down your tour.
[00:32:24.943 --> 00:32:26.604]  I mean, why are they so scared of you?
[00:32:29.674 --> 00:32:30.695]  I don't know if they are.
[00:32:32.137 --> 00:32:32.637]  It's funny.
[00:32:33.017 --> 00:32:33.678]  So many levels.
[00:32:33.718 --> 00:32:37.342]  But I would say, first, I don't have any kind of prophetic ability.
[00:32:37.362 --> 00:32:37.942]  I wish I did.
[00:32:38.102 --> 00:32:39.284]  Most of my predictions are wrong.
[00:32:39.664 --> 00:32:43.648]  Occasionally, I will get a really strong feeling about something, and those turn out to be right.
[00:32:44.008 --> 00:32:44.849]  But not that often.
[00:32:45.329 --> 00:32:48.152]  From the first day, I thought there was something wrong with the COVID vaccine.
[00:32:48.192 --> 00:32:49.073]  I didn't know what it was.
[00:32:49.133 --> 00:32:49.954]  I still don't really know.
[00:32:50.514 --> 00:32:53.557]  But I felt that very, very strongly, and I went with my instinct on that.
[00:32:54.531 --> 00:33:02.055]  Second example of that is the day the war in Ukraine started, I had an overwhelming feeling that this is a really, really big deal.
[00:33:02.095 --> 00:33:03.736]  It's not some regional war in Eastern Europe.
[00:33:04.236 --> 00:33:07.178]  This is the thing that resets civilization and potentially ends it.
[00:33:07.218 --> 00:33:08.398]  I really felt that strongly.
[00:33:08.939 --> 00:33:10.339]  And I think that turned out to be true.
[00:33:10.419 --> 00:33:13.001]  But most of the time, I don't have that ability.
[00:33:13.041 --> 00:33:13.761]  Again, I wish I did.
[00:33:14.882 --> 00:33:16.462]  I've never called an election correctly.
[00:33:16.502 --> 00:33:17.343]  I always get them wrong.
[00:33:18.130 --> 00:33:22.035]  I think the reason they don't like me is because I'm from that world.
[00:33:22.495 --> 00:33:24.177]  I really do think that's offensive to them.
[00:33:24.217 --> 00:33:28.923]  I mean, I'm not some mega insider or something, but I am actually from that world.
[00:33:28.963 --> 00:33:29.584]  I lived in D.C.
[00:33:29.604 --> 00:33:30.344]  for 35 years.
[00:33:30.404 --> 00:33:31.005]  I worked at CNN.
[00:33:31.025 --> 00:33:31.866]  I worked at MSNBC.
[00:33:32.187 --> 00:33:32.667]  I worked at PBS.
[00:33:32.727 --> 00:33:33.348]  I worked at ABC.
[00:33:34.449 --> 00:33:37.272]  I know everybody involved in that world.
[00:33:37.352 --> 00:33:39.234]  I know a lot of, you know, government officials.
[00:33:39.254 --> 00:33:41.756]  I just I was always a big booster of Washington.
[00:33:41.796 --> 00:33:43.778]  I didn't really criticize the system.
[00:33:43.858 --> 00:33:45.239]  I sort of believed in the system.
[00:33:45.259 --> 00:33:50.164]  I thought some things that you said were really dangerous and scary.
[00:33:50.304 --> 00:33:51.145]  I've apologized for that.
[00:33:51.165 --> 00:33:51.906]  Turns out you were right.
[00:33:52.026 --> 00:33:52.606]  I was wrong.
[00:33:52.967 --> 00:33:58.432]  But I really was kind of like I had my views and I was conservative, but basically I was a defender of the system.
[00:33:58.952 --> 00:34:11.276]  Because I thought it was worth defending, and it was only eight or nine years ago that I realized, wait, this is really dishonest and wrong, and a lot of the things that they're telling me are the mirror image of the truth.
[00:34:11.296 --> 00:34:14.116]  They're not just incorrect, they're an inversion.
[00:34:14.276 --> 00:34:15.637]  They're the opposite of the truth.
[00:34:16.297 --> 00:34:19.080]  Well, that's my next question and I'll elaborate, but before I forget it.
[00:34:19.501 --> 00:34:21.083]  So you talked about your spiritual awakening.
[00:34:21.984 --> 00:34:23.045]  What was your political awakening?
[00:34:23.065 --> 00:34:26.308]  Because I remember like 12 years ago, you were going to come on the show.
[00:34:26.329 --> 00:34:28.371]  You'd attack me and stuff, which I understood.
[00:34:28.391 --> 00:34:28.931]  It was genuine.
[00:34:29.132 --> 00:34:37.041]  You had real reasons for it, and I could get the things I was saying were so horrible that only a horrible person would say it when somebody is still projecting their own goodness onto things.
[00:34:37.881 --> 00:34:42.624]  So, but what was your, then, the last 12 years, your acceleration until now?
[00:34:42.704 --> 00:34:45.045]  I would say, I watch your show every day when you do them.
[00:34:45.245 --> 00:34:49.328]  I think you say things, most of the time, deeper than what anybody else is saying.
[00:34:49.508 --> 00:34:51.269]  I mean, it's true.
[00:34:51.589 --> 00:34:53.270]  So, what was the process of your awakening?
[00:34:54.811 --> 00:34:59.693]  Well, it's kind of hard to know because you don't see yourself clearly and I am totally lacking self-awareness.
[00:34:59.713 --> 00:35:02.895]  I mean, I can gain 50 pounds and not know it until my pants don't fit.
[00:35:02.955 --> 00:35:04.616]  Like, I'm not aware of myself very much.
[00:35:05.116 --> 00:35:05.957]  No, that's happened.
[00:35:07.639 --> 00:35:18.502]  But anyway, it's hard really to know, but I, you know, living in Washington in the same neighborhood for years, and I mean, I got there in high school.
[00:35:18.562 --> 00:35:19.503]  So I mean, I really did.
[00:35:19.903 --> 00:35:23.124]  I felt like I was part of the city and of its culture and life.
[00:35:23.364 --> 00:35:24.664]  And I did not feel like an outsider there.
[00:35:24.704 --> 00:35:25.925]  I felt like a part of it.
[00:35:26.725 --> 00:35:42.070]   And watching people I knew personally who I, you know, stood next to at soccer games, like at that level, lie and Sort of, rather than defend what they were doing, attack the person who questioned it.
[00:35:42.150 --> 00:35:51.561]  I found that so low, that was so shocking to me, to watch smart people become that defensive about what they were doing, that it opened up a chain reaction in my head.
[00:35:51.601 --> 00:35:57.127]  I was like, well, wait a second, if they can't defend something as simple as NATO, they couldn't defend, like, why do we have NATO?
[00:35:57.247 --> 00:35:57.808]  What's the answer?
[00:35:58.368 --> 00:36:01.889]  If you ask that question, they'll immediately call you a racist or a transphobe or whatever.
[00:36:01.929 --> 00:36:05.590]  They'll try to, you know, attack your character rather than answer the question.
[00:36:05.950 --> 00:36:09.491]  And just as a man, I felt that that was so disgusting.
[00:36:09.511 --> 00:36:10.711]  I mean, that's what children do.
[00:36:11.092 --> 00:36:12.332]  That's what drunk people do.
[00:36:12.452 --> 00:36:13.512]  That's what crazy people do.
[00:36:13.552 --> 00:36:16.453]  It's not what my Harvard-educated neighbors are supposed to be doing.
[00:36:16.493 --> 00:36:17.753]  We're running federal agencies.
[00:36:17.773 --> 00:36:21.454]  So when I saw that at the beginning of the Trump, it was really about Trump.
[00:36:21.514 --> 00:36:36.247]   I mean, it wasn't actually about Trump the man, You know, but it was about that moment in 2015-16 and I just thought, well, I have an obligation to see what I think is true and to keep pulling the thread.
[00:36:36.307 --> 00:36:41.452]  And that happened to be exactly the moment that I got a new job at Fox and had a bigger platform.
[00:36:41.492 --> 00:36:44.655]  And I just thought, you know, I don't know how long I'm going to have this, but I'm going to tell the truth.
[00:36:45.515 --> 00:36:50.219]  You know, with the knowledge I'm going to get it wrong often, which I of course do, but I'm not going to lie.
[00:36:50.379 --> 00:36:50.680]  Period.
[00:36:50.700 --> 00:36:51.500]  I'm not going to lie.
[00:36:51.921 --> 00:36:53.042]  And let's just see where this goes.
[00:36:53.122 --> 00:37:05.673]  And the more, you know, the more I did try and tell the truth, just without any caveats at all, the bigger reaction I got, a negative reaction, like people really, really hated that.
[00:37:05.833 --> 00:37:09.496]  And then I just dug in and I thought to myself, I don't care what you do to me, actually.
[00:37:10.017 --> 00:37:11.098]  You know, my kids are grown.
[00:37:12.238 --> 00:37:14.079]  I just don't care at all.
[00:37:14.400 --> 00:37:16.101]  And I'm just going to say what I think is true.
[00:37:16.121 --> 00:37:18.822]  And then the next thing you know, I'm just like, I can't live there anymore.
[00:37:19.362 --> 00:37:21.283]  Everyone hates me and I feel sad about that.
[00:37:21.344 --> 00:37:24.505]  But I think if you're not, because I actually had a million good friends in D.C.
[00:37:24.585 --> 00:37:25.366]  who were good people.
[00:37:25.566 --> 00:37:27.347]  I still think they're good people, but they've gone crazy.
[00:37:27.467 --> 00:37:29.988]  But it wasn't like you were leaving one place for a worse place.
[00:37:30.008 --> 00:37:32.010]  I've been to your place in Maine.
[00:37:32.390 --> 00:37:33.230]  It's like Valhalla.
[00:37:37.795 --> 00:37:41.656]  It's not a rich Valhalla, but it's more a working-class Valhalla.
[00:37:42.337 --> 00:37:47.698]  No, it's where I went in the summer anyway, so I thought... Well, see, I don't think of Valhalla as palaces or Versailles.
[00:37:47.958 --> 00:37:54.840]  I think of Valhalla as big, beautiful mountains coming out of crystal-clear lakes and rivers and trees and normal people.
[00:37:54.860 --> 00:37:56.000]  Well, we have a lot of that.
[00:37:57.423 --> 00:38:01.085]  Well, and I do think this is like not even relevant, but it's just true.
[00:38:01.785 --> 00:38:04.226]  I really like to hunt and fish and camp and be in the woods.
[00:38:04.366 --> 00:38:06.227]  And that's, I've felt that way my entire life.
[00:38:06.287 --> 00:38:10.989]  Those are just important to me for some reason and always have been since I was a small child.
[00:38:11.309 --> 00:38:13.410]  And I think that made a huge difference.
[00:38:13.530 --> 00:38:18.952]  I think that if you appreciate nature, you don't have to be John Muir or, you know, live in a yurt.
[00:38:19.113 --> 00:38:27.262]   But I think Being around animals and trees and water and granite and pine needles and you know just flowers.
[00:38:27.302 --> 00:38:28.404]  That's God's cathedral!
[00:38:33.171 --> 00:38:34.052]  Well, I feel that way.
[00:38:34.192 --> 00:38:35.333]  I feel that way so strongly.
[00:38:35.413 --> 00:38:37.895]  I feel that way overwhelmingly, actually.
[00:38:37.935 --> 00:38:41.038]  In fact, I have to restrain myself because I don't want to be barged about it.
[00:38:41.338 --> 00:38:48.184]  But I feel, and dogs also, I feel in a way that's hard to explain, but that those things are really important.
[00:38:48.204 --> 00:38:50.286]  I think God speaks to us through them, I think.
[00:38:50.787 --> 00:38:56.111]  But even message aside, they're such enduring sources of joy.
[00:38:56.131 --> 00:39:08.613]   I mean, that's so much more powerful and Fulfilling for me to be in the woods with my dogs than it is to be sitting in front of a laptop, which I don't own, by the way.
[00:39:09.154 --> 00:39:14.039]  But even if I did own a laptop and had to sit in front of it, I would still yearn to be outside.
[00:39:14.059 --> 00:39:15.942]  And I feel like that does center you.
[00:39:15.962 --> 00:39:16.783]  And you don't need to.
[00:39:17.103 --> 00:39:20.807]  We live in the middle of like a million acre forest, but you don't have to.
[00:39:21.608 --> 00:39:22.910]  You know, you can go to the park.
[00:39:23.110 --> 00:39:31.780]  Anything that connects you with God's creation for just a moment every day is every bit as important as going to the gym and getting your cardio or whatever they call it.
[00:39:31.800 --> 00:39:33.041]  It's way more important than that.
[00:39:33.081 --> 00:39:34.623]  It's spiritually essential.
[00:39:35.470 --> 00:39:40.251]  And you don't talk about yourself privately, but I said, man, you want to do a nature show, because I know Ted Nugent well.
[00:39:40.792 --> 00:39:41.412]  He's a great shot.
[00:39:41.432 --> 00:39:41.992]  He's amazing.
[00:39:42.492 --> 00:39:43.973]  But you're a real outdoorsman.
[00:39:43.993 --> 00:39:45.833]  I mean, you're sharpening the chainsaw.
[00:39:45.853 --> 00:39:47.134]  You're building the houses.
[00:39:47.694 --> 00:39:49.794]  You're driving the boats around in the rivers and lakes.
[00:39:49.934 --> 00:39:53.195]  You're skinning the bucks and running the trot lines of the bears.
[00:39:53.235 --> 00:39:53.936]  I mean, I've been with you.
[00:39:53.956 --> 00:39:56.036]  You're like really running around from hunting camp to hunting camp.
[00:39:56.316 --> 00:39:57.677]  The show is a side deal.
[00:39:58.317 --> 00:40:01.538]  And I could see, like, this is a real outdoorsman, like my grandfather or something.
[00:40:02.478 --> 00:40:06.244]  I hope you do some outdoor shows, because if people saw that side of you, they'd be blown away.
[00:40:08.247 --> 00:40:10.850]  Well, I've always thought that cameras were corrupting.
[00:40:10.870 --> 00:40:13.955]  I mean, we didn't have... That's what I picked up.
[00:40:13.995 --> 00:40:16.939]  This is your real life, so that's like private.
[00:40:18.857 --> 00:40:21.839]  Well, so I sort of feel, oh gosh, yeah, I sort of feel that way.
[00:40:21.899 --> 00:40:27.002]  I do think cameras are, I mean, the most intimate moments of your life should not be filmed.
[00:40:27.022 --> 00:40:37.249]  You know, the birth of your child, the conception of your child, you know, the best dinner party you ever had, you know, a drive with your son in the car where you talk about life.
[00:40:37.289 --> 00:40:40.951]  Like, these are not things that are, you know, being filmed for others.
[00:40:41.051 --> 00:40:48.235]   These are real moments that are lived out in real time and experienced You know, as they happen, not in retrospect.
[00:40:48.255 --> 00:40:48.995]  Well, that's what I said.
[00:40:49.035 --> 00:40:52.637]  I said, man, you're shooting these clays better than me and my military security detail.
[00:40:52.657 --> 00:40:53.197]  And we're good.
[00:40:53.577 --> 00:40:54.677]  And you're shooting bullseye.
[00:40:54.838 --> 00:40:56.178]  You're like, you're like Annie Oakley.
[00:40:56.218 --> 00:40:56.718]  But a guy.
[00:40:56.738 --> 00:40:57.578]  It's my range.
[00:40:58.479 --> 00:41:00.299]  But I was like, you got to show people.
[00:41:00.459 --> 00:41:01.480]  No, don't videotape me.
[00:41:01.540 --> 00:41:02.680]  Don't videotape me doing this.
[00:41:03.381 --> 00:41:04.321]  I'm like, OK, John Wayne.
[00:41:04.701 --> 00:41:05.141]  No, I don't.
[00:41:05.602 --> 00:41:07.223]  No, because you want it to be real.
[00:41:07.263 --> 00:41:08.685]  I mean, that is a problem.
[00:41:08.705 --> 00:41:11.707]  Look, I'll just say it out, you know, out front.
[00:41:11.948 --> 00:41:13.609]  I am not for technology.
[00:41:13.889 --> 00:41:16.051]  And I think I go too far on that.
[00:41:16.192 --> 00:41:18.594]  I think it's almost like an eccentricity.
[00:41:19.034 --> 00:41:19.835]  But I don't like it.
[00:41:20.195 --> 00:41:21.076]  And I just don't like it.
[00:41:21.396 --> 00:41:22.377]  And that's how I feel.
[00:41:22.858 --> 00:41:24.319]  Technology makes my life possible.
[00:41:24.339 --> 00:41:25.540]  It makes my job possible.
[00:41:25.760 --> 00:41:26.701]  It feeds my children.
[00:41:26.721 --> 00:41:28.263]  I mean, there's a lot of technology that's good.
[00:41:28.943 --> 00:41:31.005]  I don't want to have to wash laundry by hand.
[00:41:31.045 --> 00:41:31.986]  I like washing machines.
[00:41:32.026 --> 00:41:34.088]  I mean, there are lots of things about technology that are good.
[00:41:34.468 --> 00:41:39.993]  But in my personal life, I really try to limit its use and limit the use of electricity.
[00:41:40.053 --> 00:41:40.854]  I just don't like it.
[00:41:41.194 --> 00:41:41.874]  That's how I feel.
[00:41:41.894 --> 00:41:43.116]  I can't quite explain it.
[00:41:43.796 --> 00:41:45.798]  But no, I feel that way really, really strongly.
