[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[00:43:59.648 --> 00:44:10.172]  Naturally sourced from the finest hemp plants in America, Rebel Zen offers the absolute finest quality CBD available and at the lowest prices.
[00:44:11.212 --> 00:44:25.798]  Extracted using a cold-pressed technique to retain the molecular integrity of the cannabinoids and terpenes within the plant, this full-spectrum formula ensures that your nervous system gets the full benefits of CBD.
[00:44:27.018 --> 00:44:36.940]  Premium quality organic CBD like Rebel Zen has been shown to naturally reduce anxiety, relieve pain, and decrease inflammation.
[00:44:37.420 --> 00:44:45.022]  People have reported a reduction in symptoms of insomnia, arthritis, seizures, chronic pain, and epilepsy.
[00:44:45.522 --> 00:44:52.144]  Several studies have shown it helps to reduce cortisol, increase serotonin, and boost vitality.
[00:44:53.044 --> 00:44:56.625]  Order yours today at InfowarsStore.com.
[00:45:01.327 --> 00:45:02.728]  Last year we put this book out.
[00:45:03.568 --> 00:45:04.988]  The Great Reset and the War for the World.
[00:45:05.008 --> 00:45:06.789]  It became a number one national bestseller.
[00:45:07.369 --> 00:45:10.590]  Now we've put part two out and it's even thicker and more powerful.
[00:45:11.151 --> 00:45:12.031]  The Great Awakening.
[00:45:12.131 --> 00:45:15.972]  The plan to defeat the globalists and launch the second great renaissance.
[00:45:16.392 --> 00:45:18.033]  This is such a powerful book.
[00:45:18.433 --> 00:45:20.114]  It covers all the globalist plans.
[00:45:20.794 --> 00:45:21.255]  We're good to go.
[00:45:39.935 --> 00:45:47.437]  This is next level information and it's a great way to not just support the broadcast, but inform yourself to the next level and share the book with friends and family.
[00:45:47.697 --> 00:45:54.059]  So whether you want one copy or multiple copies, go now to InfoWarsTore.com and get The Great Awakening.
[00:45:54.259 --> 00:45:55.459]  This is going to go to number one.
[00:45:55.479 --> 00:45:56.799]  I want to thank you for your support.
[00:45:56.980 --> 00:45:57.780]  It's a powerful book.
[00:45:58.020 --> 00:45:58.560]  Get yours now.
[00:45:58.880 --> 00:46:02.464]  Survival Shield X3 is back in stock at InfoWarsStore.com.
[00:46:02.484 --> 00:46:05.507]  Now, I don't have to tell you all the amazing benefits of nascent iodine.
[00:46:05.727 --> 00:46:07.770]  You can take the time to look that up yourself.
[00:46:07.830 --> 00:46:13.756]  I've got a stack right here that I printed of study after study going over all the amazing benefits of nascent iodine.
[00:46:13.776 --> 00:46:15.918]  And that's why we formulated Survival Shield X3.
[00:46:16.659 --> 00:46:17.320]  We're good to go.
[00:46:35.430 --> 00:46:37.551]  The Earth's crust for maximum purity.
[00:46:37.731 --> 00:46:47.196]  This helps with things like metabolic efficiency, detoxification benefits, cognitive and neurological support, skin enhancement even, and prevention of hypothyroidism.
[00:46:47.336 --> 00:46:52.298]  Make sure you visit InfoWarsStore.com today and get Survival Shield X3 now at 40% off.
[00:47:01.658 --> 00:47:07.580]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:47:31.661 --> 00:47:32.922]  Welcome back, ladies and gentlemen.
[00:47:32.962 --> 00:47:33.762]  I'm Alex Jones, your host.
[00:47:33.782 --> 00:47:44.549]  We're broadcasting worldwide, and we're talking about the fact that there is good and evil in this universe, and that those are going along with the Mark of the Beast plan.
[00:47:45.089 --> 00:47:52.354]  It's now being rolled out in front of us by the losers, not the winners.
[00:48:01.401 --> 00:48:03.144]  Let's do it!
[00:48:29.753 --> 00:48:30.093]  All right.
[00:48:31.814 --> 00:48:33.716]  He just joined us.
[00:48:33.776 --> 00:48:34.276]  I just played.
[00:48:34.296 --> 00:48:37.398]  Member of Congress.
[00:48:41.641 --> 00:48:52.168]  Breaking down the fact that the IRS for the NSA is using AI to track everything you do in live time illegally with no warrants.
[00:48:54.002 --> 00:48:56.603]  And it's not to help you and it's not to raise money to run the government.
[00:48:57.204 --> 00:49:06.708]  None of the money that the IRS goes out and culls and grabs and gets goes to any services or anything happening in the US.
[00:49:06.788 --> 00:49:10.290]  A long time ago, the amount of the debt just created surpassed that.
[00:49:11.871 --> 00:49:16.073]  It was set up in 1913 by the Federal Reserve to control and social engineer
[00:49:17.492 --> 00:49:25.263]  And put onerous taxes on the working class and on the poor and on the middle class to be able to then destroy it and vertically integrate it.
[00:49:25.283 --> 00:49:28.247]  And if you go since the 50s, when it was rolled out against the general public,
[00:49:30.350 --> 00:49:32.551]  Because it really wasn't implemented to a great extent until then.
[00:49:33.492 --> 00:49:42.558]  We've gone from half the world's wealth being in America, with 4% of the population, to 25% of the world's wealth being here, and we're still 5% of the population, roughly, in the planet.
[00:49:43.198 --> 00:49:50.503]  So our wealth's been transferred, and not to poor people, not to folks in Africa or Latin America or areas of Asia that are poor, but to the globalists.
[00:49:50.523 --> 00:49:58.849]  That's why 80 plus percent of all wealth in the world is controlled, not by 1%, that's tens of millions of people.
[00:49:59.893 --> 00:50:03.755]  It is controlled by just a handful of banks and corporations.
[00:50:05.375 --> 00:50:10.778]  Less than a hundred people have upwards of 90% of the world's wealth and it's getting more intense.
[00:50:10.818 --> 00:50:15.160]  The more they tell you, universal basic income and free stuff and wealth and it's going to be happy.
[00:50:16.941 --> 00:50:24.444]  That's all a lie as they use AI to game everything against you and instant flash trading to manipulate and control the markets.
[00:50:27.372 --> 00:50:28.713]  And now it's going into overdrive.
[00:50:29.194 --> 00:50:39.643]  So here's Alan Greenspan, former head of the Federal Reserve, saying there's no limit under modern monetary theory to the amount of money the U.S.
[00:50:39.723 --> 00:50:41.205]  government can print.
[00:50:42.146 --> 00:50:52.035]  That's why Mitch McConnell, I got a video of it, came out yesterday and said $62 billion to Ukraine is, quote, not a lot of money.
[00:50:54.960 --> 00:51:08.864]  But an old lady whose husband died a decade before, is 80-something years old, she can't pay the property tax, she can't pay the other taxes, like income tax, she gets her house taken.
[00:51:09.484 --> 00:51:17.607]  The illegal aliens are basically exempt from all that, and they're exempt from the shots, because you want to incentivize them to come here with all the freebies, but not the citizens.
[00:51:18.447 --> 00:51:24.449]  Yes, they're at war with you and the old social contract, and they want to get rid of any middle class.
[00:51:25.316 --> 00:51:31.859]  The United States can pay any debt it has because we can always print money to do that.
[00:51:31.919 --> 00:51:33.460]  So there is zero probability of default.
[00:51:56.001 --> 00:51:56.902]  Play that one more time.
[00:51:58.004 --> 00:52:04.492]  The United States can pay any debt it has because we can always print money to do that.
[00:52:05.072 --> 00:52:08.116]  So there is zero probability of default.
[00:52:09.678 --> 00:52:14.744]  So in Zimbabwe or Weimar Republic Germany if you have hyperinflation
[00:52:15.951 --> 00:52:22.537]  It destroys the general public and everybody basically goes bankrupt except those that already own the infrastructure and the companies and the banks.
[00:52:22.877 --> 00:52:28.021]  And then whatever the new devalued currency is, they still control the vast majority of it.
[00:52:28.041 --> 00:52:29.542]  They're still able to buy everything.
[00:52:31.364 --> 00:52:34.867]  But because you didn't have the power to issue money like private central banks, you are destroyed.
[00:52:35.708 --> 00:52:37.609]  So this is war against the people.
[00:52:40.371 --> 00:52:44.355]  And so when they're taking your house or taking your paycheck and you can't pay your medical bills and you
[00:52:45.606 --> 00:52:46.466]  You're losing your house.
[00:52:46.506 --> 00:52:47.406]  You can't buy a house.
[00:52:49.267 --> 00:52:50.127]  You lose your car.
[00:52:50.187 --> 00:52:51.127]  You're working two jobs.
[00:52:52.728 --> 00:52:53.868]  Well, they just say, go get on welfare.
[00:52:53.888 --> 00:52:54.548]  Everything's OK.
[00:52:54.808 --> 00:52:56.589]  But then later, you've got to take the shots.
[00:52:56.709 --> 00:52:58.169]  You've got to follow the social credit score.
[00:52:58.709 --> 00:53:01.970]  You've got to follow the agenda that they're setting up for everybody.
[00:53:02.310 --> 00:53:07.831]  They want you domesticated under their full control because you're meant to be taken out like the garbage.
[00:53:09.532 --> 00:53:15.173]  So we need to take everything you've got to pay for the country to run, but we can print any amount of money we want.
[00:53:16.983 --> 00:53:23.166]  And $62 billion, bigger than the Marine Corps budget yearly, that's not a lot of money, close quote.
[00:53:27.868 --> 00:53:32.970]  Is $60 billion in the foreign aid package enough money for Ukraine to push back Russia decisively?
[00:53:33.290 --> 00:53:41.574]  Senator Mitch McConnell, minority leader, well, we hope so.
[00:53:43.302 --> 00:53:46.666]  And it goes on in the clip to say it's not a lot of money.
[00:53:47.727 --> 00:53:49.569]  In fact, just get the clip since I mentioned it.
[00:53:50.250 --> 00:53:50.690]  Let's play it.
[00:53:50.710 --> 00:53:51.231]  You've got to hear it.
[00:53:51.851 --> 00:53:53.013]  You've got to hear it for yourself.
[00:53:54.174 --> 00:53:54.434]  All right.
[00:53:54.815 --> 00:54:00.681]  While they're grabbing that clip, it's more important than ever to keep independent true media on air.
[00:54:01.121 --> 00:54:02.863]  And when you buy the products, that's what you're doing.
[00:54:04.872 --> 00:54:06.534]  At least for the foreseeable future, we're still here.
[00:54:07.054 --> 00:54:08.256]  If things change, I'll let you know.
[00:54:08.316 --> 00:54:14.442]  But it's essential you buy products at InfoWarsTore.com because it funds the operation, but that's a side issue.
[00:54:14.743 --> 00:54:15.824]  They really are amazing.
[00:54:17.165 --> 00:54:19.067]  And I didn't know this until somebody told me.
[00:54:19.648 --> 00:54:22.030]  Nitric Boost, I've been plugging for months, has been sold out.
[00:54:22.531 --> 00:54:26.776]  Best seller, cleans out your blood, cleans out your cardiovascular system, does incredible things.
[00:54:28.134 --> 00:54:30.216]  Dr. Mikovits has talked about how it's one of the best formulas out there.
[00:54:30.256 --> 00:54:32.679]  Everybody should be on it, young and old, black and white.
[00:54:33.419 --> 00:54:34.681]  It is back in stock.
[00:54:34.701 --> 00:54:37.784]  Got a big shipment of it in at infowarestore.com for 40% off.
[00:54:40.660 --> 00:54:43.222]  So if I've been plugging it and you go there and it's not there, I apologize.
[00:54:44.403 --> 00:54:47.426]  I need to, I guess, get more briefings on what's in stock and what's not.
[00:54:48.046 --> 00:54:55.172]  But it's now back in stock at InfoWarsTore.com or call toll-free, 888-253-3139.
[00:54:55.212 --> 00:55:01.317]  There's also 40% off on BrainForce Plus and BrainForce Ultra, two great nootrobics that act differently.
[00:55:01.837 --> 00:55:03.699]  Different folks like different variants.
[00:55:05.712 --> 00:55:07.774]  We have TurboForce 10-Hour Clean Energy.
[00:55:07.814 --> 00:55:09.135]  That's also selling out.
[00:55:09.435 --> 00:55:10.516]  TurboForce, but available.
[00:55:11.036 --> 00:55:14.118]  That's the strongest one at infowarestore.com.
[00:55:14.859 --> 00:55:19.762]  And we also have Vitamin Mineral Fusion back in stock, 40% off at infowarestore.com.
[00:55:19.802 --> 00:55:21.883]  And it's an amazing product as well.
[00:55:21.903 --> 00:55:26.306]  Your health, obviously, next to your spirit, is the most important asset you have.
[00:55:26.326 --> 00:55:29.409]  So that's all back in stock at infowarestore.com.
[00:55:31.052 --> 00:55:36.376]  Now, our great sponsor is drjonesnaturals.com, and that's my dad, and he's a great sponsor of the show.
[00:55:36.536 --> 00:55:40.939]  And if you want to support the broadcast, you should go to drjonesnaturals.com, drjonesnaturals.com.
[00:55:41.720 --> 00:55:45.242]  And I actually did have a meeting with my dad yesterday at Nozzle On.
[00:55:45.282 --> 00:55:46.583]  I said, what are your best sellers?
[00:55:47.283 --> 00:55:57.751]  He said, well, strangely enough, it's Rocket Rest that's so popular, was available at m4shore.com, but now exclusively available at drjonesnaturals.com.
[00:55:58.491 --> 00:55:59.592]  And it's very, very popular.
[00:55:59.632 --> 00:56:00.533]  It's very, very strong.
[00:56:02.310 --> 00:56:07.472]  Natural sleep aid that gives you deep, refreshing, clean, healthy sleep.
[00:56:07.492 --> 00:56:11.293]  And that's so good for your whole body, so good for your psyche, so good for your immune system.
[00:56:11.694 --> 00:56:15.115]  That's one of the biggest things is clean water, plenty of nutrients, and of course deep sleep.
[00:56:15.715 --> 00:56:18.056]  Rock at rest at Dr. Jones Naturals.
[00:56:21.058 --> 00:56:24.961]  And of course, also, finally back in stock, discounted at DrJonesNaturals.com.
[00:56:25.781 --> 00:56:31.005]  Next level foundational energy that isn't a stimulant, but feels like one because it cleans out the cells.
[00:56:31.065 --> 00:56:32.145]  It's the main energy source.
[00:56:33.866 --> 00:56:37.209]  Methylfolate, but a lot of people don't break down folic acid properly.
[00:56:38.249 --> 00:56:40.451]  Like most people have issues with it, some people have real issues.
[00:56:41.111 --> 00:56:46.815]  When you take this, it gives you incredible, clean, focused energy with no letdown.
[00:56:47.135 --> 00:56:47.876]  But be careful.
[00:56:48.660 --> 00:57:03.767]  Because if you do have the genetic issues that a lot of northern Europeans have, where you only process 10 to 15 percent of folic acid and you didn't realize why you were tired and exhausted, you take two or three of these, you're going to feel like you just took five Adderalls.
[00:57:04.367 --> 00:57:04.847]  Don't do that.
[00:57:04.887 --> 00:57:07.568]  Take one and be very, very careful with it because this is not a game.
[00:57:08.169 --> 00:57:09.009]  This is not a joke.
[00:57:09.589 --> 00:57:10.430]  It's very powerful.
[00:57:10.910 --> 00:57:12.251]  Next level foundational energy.
[00:57:13.271 --> 00:57:15.452]  at drjonesnaturals.com.
[00:57:15.472 --> 00:57:26.679]  There's all the great nano silver products there as well, like super blue fluoride free toothpaste with nano silver, tea tree oil, it's all organic, peppermint, and of course the iodine.
[00:57:28.120 --> 00:57:30.322]  That's at drjonesnaturals.com.
[00:57:30.362 --> 00:57:35.525]  So wherever you go to infowarshaw.com, drjonesnaturals.com, they're amazing products and it funds the operation.
[00:57:35.545 --> 00:57:37.326]  Please support both of those.
[00:57:37.726 --> 00:57:40.228]  All right, we're going to start our number two.
[00:57:41.269 --> 00:57:47.476]  And I'm going to move on from the AI hellhole into all the other news I'll tell you about when we come back.
[00:57:49.966 --> 00:57:51.427]  Ladies and gentlemen, it is back.
[00:57:51.648 --> 00:57:59.175]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[00:57:59.235 --> 00:58:07.903]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[00:58:08.223 --> 00:58:09.524]  We don't live in a perfect world.
[00:58:09.564 --> 00:58:11.987]  Our diets no longer contain everything that we need.
[00:58:12.347 --> 00:58:20.435]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[00:58:20.495 --> 00:58:22.718]  InfoWarsStore.com, Vitamin Mineral Fusion.
[00:58:22.998 --> 00:58:23.839]  It's back in stock.
[00:58:23.979 --> 00:58:25.000]  It will sell out quickly.
[00:58:25.020 --> 00:58:26.401]  It's one of our most popular products.
[00:58:26.662 --> 00:58:29.324]  So make sure you go now to InfoWarsStore.com.
[00:58:29.585 --> 00:58:30.245]  It's good for you.
[00:58:30.326 --> 00:58:31.327]  It's good for the whole family.
[00:58:31.747 --> 00:58:34.910]  Vitamins A, B, C, D, B12.
[00:58:36.111 --> 00:58:39.253]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine.
[00:58:39.513 --> 00:58:40.254]  The list goes on.
[00:58:40.274 --> 00:58:41.775]  I don't even have time to list everything in here.
[00:58:41.795 --> 00:58:45.757]  So go to Impulwarestore.com and find out what Vitamin Mineral Fusion can do for you.
[00:58:49.980 --> 00:58:53.502]  The enemies of humanity have been very good at dividing and conquering us.
[00:58:53.883 --> 00:59:00.907]  But if we simply start thinking about things according to the definition of, is it pro-human or is it anti-human, we start to win.
[00:59:01.087 --> 00:59:03.089]  And that's why I had the idea for Team Humanity.
[00:59:03.269 --> 00:59:04.329]  I brought it up to Elon Musk.
[00:59:04.389 --> 00:59:05.050]  He loved the idea.
[00:59:05.390 --> 00:59:08.891]  What would you call the debates and discussions about a pro-human future?
[00:59:08.931 --> 00:59:09.792]  Just Team Humanity?
[00:59:09.872 --> 00:59:10.752]  Yeah, Team Humanity.
[00:59:10.892 --> 00:59:11.332]  Absolutely.
[00:59:11.652 --> 00:59:13.053]  And so, we have the t-shirt.
[00:59:13.113 --> 00:59:16.574]  Team Humanity with a nuclear family, standing against the globalists.
[00:59:16.794 --> 00:59:24.217]  This shirt is a great conversation starter, but it also is a fundraiser to keep InfoWars on the air, so we can promote and support Team Humanity.
[00:59:24.497 --> 00:59:36.220]  I want to thank you all for your past support, but I want to encourage you all now to understand that this is a revolution against the globalists, and it is so critical now to signal the fact that you are part of Team Humanity.
[00:59:36.500 --> 00:59:37.821]  We're told humans are the problem.
[00:59:37.841 --> 00:59:38.841]  We're told we're killing the Earth.
[00:59:39.121 --> 00:59:43.382]  We're told all this garbage, so we hate ourselves and stand down and roll over and die.
[00:59:43.682 --> 00:59:44.403]  We're not going to do that.
[00:59:44.643 --> 00:59:49.284]  Get your Team Humanity shirts now at InfoWarsTore.com, and I thank you all for your support.
[00:59:53.129 --> 00:59:57.079]  If you are receiving this transmission, you are the resistance.
[01:00:14.841 --> 01:00:16.241]  I'm watching the midterms.
[01:00:16.782 --> 01:00:20.162]  Man, you would think our country is Mad Max Thunderdome.
[01:00:20.643 --> 01:00:24.324]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[01:00:28.305 --> 01:00:30.165]  There's a liberal mob that's coming.
[01:00:30.185 --> 01:00:31.005]  You wanna drop?
[01:00:31.025 --> 01:00:33.786]  You wanna drop?
[01:00:33.826 --> 01:00:34.726]  Yeah!
[01:00:36.207 --> 01:00:36.587]  Get out!
[01:00:42.210 --> 01:00:46.092]  John Stewart told us five years ago nothing bad was happening.
[01:00:46.112 --> 01:00:48.172]  Now everybody's awake.
[01:00:50.033 --> 01:00:50.873]  What a piece of crap.
[01:01:01.418 --> 01:01:04.759]  And now it's all admitted.
[01:01:06.339 --> 01:01:06.860]  Total U.N.
[01:01:06.900 --> 01:01:07.360]  invasion.
[01:01:07.380 --> 01:01:10.161]  And you would think everybody in the country's just like, to the bunker.
[01:01:12.538 --> 01:01:23.987]  Now, five years later... So everyone who's paying any attention at all knows that more people are coming across the U.S.
[01:01:24.027 --> 01:01:26.989]  border from foreign countries illegally than any time in American history.
[01:01:27.109 --> 01:01:27.950]  How is it happening?
[01:01:28.130 --> 01:01:28.970]  Why is it happening?
[01:01:29.631 --> 01:01:30.872]  Who's allowing it to happen?
[01:01:31.337 --> 01:01:38.739]  As soon as Biden was installed, I flew straight to El Paso because I thought that the aliens would start flooding across the border, and they did.
[01:01:39.119 --> 01:01:43.680]  We then flew over to Panama and went down into the Darien Gap.
[01:01:43.720 --> 01:01:48.341]  There's more than five dozen NGOs down there, IGOs and nonprofits.
[01:01:48.681 --> 01:01:51.261]  The main one is IOM.
[01:01:51.562 --> 01:01:54.862]  These NGOs are working hard to take over various countries.
[01:01:55.022 --> 01:01:57.503]  And the main funder, by the way, is the United States.
[01:01:58.243 --> 01:01:59.844]  Obviously criminal organizations.
[01:01:59.864 --> 01:02:02.125]  So why is no one doing anything about it?
[01:02:02.505 --> 01:02:06.346]  Weaponized migration is often a precursor for something bigger.
[01:02:06.646 --> 01:02:09.988]  That's the end of the United States, the country that you grew up in.
[01:02:10.508 --> 01:02:11.328]  Irreparable.
[01:02:11.348 --> 01:02:11.708]  Forever.
[01:02:15.770 --> 01:02:21.332]  I'm told Michael Yeun on Tucker Carlson, the drops today or tomorrow, will be extremely powerful.
[01:02:23.063 --> 01:02:24.244]  Yeah, they can't deny there's U.N.
[01:02:24.284 --> 01:02:26.945]  bases running illegal operations funded by the State Department anymore.
[01:02:26.965 --> 01:02:28.486]  Trump shut those down.
[01:02:28.566 --> 01:02:29.527]  Obama was setting it up.
[01:02:30.107 --> 01:02:32.048]  Same NGOs that ran the invasion of Europe.
[01:02:34.990 --> 01:02:49.378]  Meanwhile, it's confirmed Joe Biden has to get walked by one, two, three, or four people on both sides holding him so he doesn't wander off when he walks to and from the helicopter from his weekly vacations.
[01:02:51.118 --> 01:02:57.551]  When he flies out to Delaware and of course, Joe Biden.
[01:02:59.343 --> 01:03:00.664]  Imagine what we can do next.
[01:03:00.704 --> 01:03:01.024]  Four more years.
[01:03:31.676 --> 01:03:39.522]  It is noteworthy that the percentage of women who register to vote and cast a ballot is consistently higher than the percentage of the men who do so.
[01:03:39.562 --> 01:03:40.102]  End of quote.
[01:03:40.662 --> 01:03:41.303]  Repeat the line.
[01:03:44.785 --> 01:03:46.026]  But that was Biden a year ago.
[01:03:46.046 --> 01:03:48.428]  The new one is where he's saying, pause.
[01:03:48.448 --> 01:03:49.869]  They're like, yay!
[01:03:49.909 --> 01:03:50.849]  Like trained SEALs.
[01:03:52.270 --> 01:03:59.796]  We could laugh at this, but they put in a vegetable on purpose so they can blame him for all the illegal policies as it comes out.
[01:04:00.836 --> 01:04:04.897]  And then by the time we figure out what's going on, well, he'll already be dead.
[01:04:05.918 --> 01:04:10.239]  But they are really lining it up right now to get rid of him.
[01:04:10.480 --> 01:04:13.801]  Yeah, this footage from a few days ago of AOC holding his hand and talking to him.
[01:04:14.921 --> 01:04:16.562]  I mean, that's like when you visit a nursing home.
[01:04:17.102 --> 01:04:19.623]  He does not know who he is.
[01:04:21.544 --> 01:04:28.893]  And that's because they gotta drug him up, and he's gotta go on the process to go to sleep, and they gotta drug him up, but the drugs don't last long, so they shoot him up.
[01:04:29.274 --> 01:04:35.661]  He's going to an event in the limo, in the beast, as they call it, the armored limo, or in the helicopter.
[01:04:37.704 --> 01:04:38.705]  So, man.
[01:04:39.929 --> 01:04:40.309]  Whoo!
[01:04:40.450 --> 01:04:41.370]  What's that smell?
[01:04:42.311 --> 01:04:42.772]  Whoo-hoo!
[01:04:42.832 --> 01:04:43.653]  What's that smell?
[01:04:44.033 --> 01:04:45.574]  The smell that surrounds you.
[01:04:45.594 --> 01:04:46.555]  Ha-ha!
[01:04:46.856 --> 01:04:50.599]  Drink enough whiskey, float a battleship around, stick a needle in your arm.
[01:04:50.899 --> 01:04:51.360]  Fool!
[01:04:51.400 --> 01:04:52.181]  You fool!
[01:04:52.221 --> 01:04:52.881]  You fool!
[01:04:52.961 --> 01:04:54.903]  We'll be right back in 60 seconds.
[01:05:00.328 --> 01:05:02.290]  We take some brain force and then we'll do this commercial.
[01:05:02.330 --> 01:05:02.791]  How about that?
[01:05:04.575 --> 01:05:05.976]  Mmm, I can think again.
[01:05:06.376 --> 01:05:12.618]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[01:05:12.638 --> 01:05:18.960]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff and I have an incredibly demanding job.
[01:05:19.040 --> 01:05:23.682]  But you make it easy by going to InfoWarsStore.com, and of course, InfoWarsStore.com makes it easy.
[01:05:24.202 --> 01:05:31.904]  By supplying me with Brain Force Ultra, I rely on this product to do my job on a daily basis because it's absolutely jam-packed with incredible ingredients.
[01:05:32.084 --> 01:05:39.525]  Brain Force Ultra is now back in stock at Infowarsstore.com and get it now because this stuff sells out fast for very good reason.
[01:05:39.585 --> 01:05:40.805]  It's a fantastic supplement.
[01:05:41.126 --> 01:05:44.886]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[01:05:44.966 --> 01:05:46.747]  Go check out what's in Brain Force Ultra.
[01:05:46.787 --> 01:05:53.128]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus, and energy.
[01:05:53.448 --> 01:05:55.392]  Now on sale at InfoWarsStore.com.
[01:05:55.432 --> 01:05:56.214]  BrainForce Ultra.
[01:05:56.494 --> 01:05:58.137]  Now on sale at InfoWarsStore.com.
[01:06:03.614 --> 01:06:12.377]  Ladies and gentlemen, we are in the beginning of hour number two on this live Friday, April 26, 2024 transmission.
[01:06:12.777 --> 01:06:21.320]  Here's a key warning on the enemy attack plan, and then a short piece dealing with predictive programming in the Avengers and Thanos.
[01:06:21.800 --> 01:06:26.122]  And then I will cover all the latest breaking news and intel in the fight for a pro-human future.
[01:06:26.142 --> 01:06:27.242]  I'm Alex Jones.
[01:06:29.847 --> 01:06:30.969]  A warning to America.
[01:06:30.989 --> 01:06:32.771]  25 ways the U.S.
[01:06:32.831 --> 01:06:34.874]  is being destroyed in under two minutes.
[01:06:36.576 --> 01:06:38.759]  One, open borders and illegal immigration.
[01:06:40.197 --> 01:06:41.838]  Rampant crime in unsafe cities.
[01:06:42.638 --> 01:06:41.838]  3.
[01:06:42.958 --> 01:06:44.139]  Mass addiction and fentanyl.
[01:06:45.020 --> 01:06:44.139]  4.
[01:06:45.660 --> 01:06:47.421]  Election insecurity and interference.
[01:06:48.421 --> 01:06:47.421]  5.
[01:06:48.881 --> 01:06:50.842]  The educational indoctrination of children.
[01:06:51.803 --> 01:06:50.842]  6.
[01:06:52.423 --> 01:06:54.564]  The asymmetrical weaponization of justice.
[01:06:55.785 --> 01:06:54.564]  7.
[01:06:56.405 --> 01:06:58.166]  The destruction of private property rights.
[01:06:58.186 --> 01:06:58.166]  8.
[01:06:59.026 --> 01:07:00.927]  Inflation and debt.
[01:07:01.728 --> 01:07:00.927]  9.
[01:07:02.148 --> 01:07:04.849]  The global depopulation agenda.
[01:07:04.869 --> 01:07:04.849]  10.
[01:07:05.510 --> 01:07:07.591]  Record low fertility and plummeting birth rates.
[01:07:08.772 --> 01:07:11.758]  11.
[01:07:09.173 --> 01:07:11.758]  Unaccountable federal bureaucracies.
[01:07:11.778 --> 01:07:11.758]  12.
[01:07:12.118 --> 01:07:14.402]  Toxic food supply.
[01:07:14.422 --> 01:07:14.402]  13.
[01:07:14.903 --> 01:07:16.727]  Vaccine and pandemic disinformation.
[01:07:18.049 --> 01:07:16.727]  14.
[01:07:18.330 --> 01:07:20.574]  The transcontagion and sterilization of children.
[01:07:22.858 --> 01:07:24.980]  15.
[01:07:23.459 --> 01:07:24.980]  Overprescription of pharmaceuticals.
[01:07:25.000 --> 01:07:24.980]  16.
[01:07:26.461 --> 01:07:28.863]  Destruction of the nuclear family and parental rights.
[01:07:28.883 --> 01:07:28.863]  17.
[01:07:29.584 --> 01:07:31.886]  DEI and the new racism.
[01:07:33.107 --> 01:07:31.886]  18.
[01:07:33.507 --> 01:07:34.948]  Moral and societal decay.
[01:07:34.968 --> 01:07:34.948]  19.
[01:07:35.729 --> 01:07:38.150]  The financing of endless foreign wars.
[01:07:38.170 --> 01:07:38.150]  20.
[01:07:38.771 --> 01:07:41.913]  The sprawling surveillance state.
[01:07:41.933 --> 01:07:41.913]  21.
[01:07:42.354 --> 01:07:45.076]  The centralization and consolidation of government power.
[01:07:45.937 --> 01:07:45.076]  22.
[01:07:46.677 --> 01:07:48.679]  The destruction of trust in institutions.
[01:07:49.480 --> 01:07:52.045]  23.
[01:07:49.520 --> 01:07:52.045]  The censorship industrial complex.
[01:07:53.107 --> 01:07:52.045]  24.
[01:07:54.009 --> 01:07:56.434]  State media propaganda.
[01:07:56.454 --> 01:07:56.434]  25.
[01:07:56.634 --> 01:07:58.177]  The smearing of those who challenge it.
[01:08:00.060 --> 01:08:02.821]  We interrupt this program to bring you a special report.
[01:08:03.461 --> 01:08:04.922]  America has been captured.
[01:08:05.022 --> 01:08:06.523]  We have an occupied government.
[01:08:06.903 --> 01:08:20.389]  Any loyal American who does not want to be a complete slave of a biomedical extermination operation needs to get informed quick, get right with God, and then start telling everybody you know about it and not complying with the system.
[01:08:20.729 --> 01:08:22.349]  The system is here to destroy us.
[01:08:22.710 --> 01:08:24.490]  Complying with it will get you killed.
[01:08:25.751 --> 01:08:25.991]  Period.
[01:08:34.281 --> 01:08:38.604]  And now with these stones, I will wipe out half of all life on Earth.
[01:08:39.064 --> 01:08:40.625]  Wait a minute, I've seen this.
[01:08:41.545 --> 01:08:43.706]  You must be with the World Economic Forum.
[01:08:43.867 --> 01:08:44.087]  What?
[01:08:44.607 --> 01:08:45.147]  Oh, come on.
[01:08:45.488 --> 01:08:49.210]  You know, Bill Gates, Klaus Schwab, population control.
[01:08:49.910 --> 01:08:53.632]  Surely these guys have some street cred with murderous intergalactic space villains.
[01:08:54.212 --> 01:08:56.474]  I have no idea what you're talking about.
