[00:00:04.646 --> 00:00:05.011]  What the fuck?
[01:00:52.322 --> 01:00:54.284]  More and more they make, like, strock made.
[01:00:54.304 --> 01:01:01.189]  It's like a little, like a snake slithering, and they're grimacing and snapping, and this is the demon.
[01:01:02.456 --> 01:01:04.999]  The anti-American demon that's in these guys.
[01:01:05.039 --> 01:01:12.407]  And as they get called out as criminals, like Strzok did, or like Cooper is being called out, because he's involved in all this, he then starts manifesting.
[01:01:12.447 --> 01:01:18.194]  So we're going to roll Judge Jeanine Pirro with him and Strzok and Emperor Palpatine in the background.
[01:01:18.774 --> 01:01:21.717]  Radio listeners, go to InfoWars.com forward slash show to see this.
[01:01:21.737 --> 01:01:22.038]  Here it is.
[01:01:28.999 --> 01:01:33.802]  They're not going quietly into the night, and it will be a joy to watch.
[01:01:34.042 --> 01:01:38.044]  Grab your popcorn, junior mints, or whatever makes you happy.
[01:01:38.064 --> 01:01:41.206]  The real show is about to begin.
[01:01:41.866 --> 01:01:44.708]  This will be true reality TV.
[01:01:45.308 --> 01:01:52.512]  No scripts, no rehearsals, just a gang of criminals pointing fingers at each other to save their own hides.
[01:01:53.013 --> 01:01:56.995]  A version of true crime and the reality show Survivor.
[01:01:57.475 --> 01:02:01.159]  The thing that's interesting about this is that
[01:02:22.819 --> 01:02:26.121]  This was handled at a very senior level of these departments.
[01:02:26.141 --> 01:02:32.243]  It wasn't handled in the ordinary way that investigations or counterintelligence activities are conducted.
[01:02:32.843 --> 01:02:40.547]  It was sort of an ad hoc small group and most of these people are no longer with the FBI or the CIA or the other agencies involved.
[01:02:41.207 --> 01:02:56.842]  For the last two years, he and his gang of McCabe and Strzok and Baker and Page, Brennan and Clapper, all riffed on how horrible President Trump was, calling him treasonous, a Russian puppet, or a Russian asset.
[01:02:57.583 --> 01:03:04.111]  They got away with it primarily because the mainstream media was receptive to their hateful narrative.
[01:03:04.631 --> 01:03:12.140]  After all, these were men in high positions in our government protecting us from Russia, and they needed to be respected.
[01:03:12.941 --> 01:03:16.905]  When truth be told, they were selling our democracy down the river.
[01:03:17.446 --> 01:03:32.401]  They were skilled at their jobs, leaking information to the media to get news stories to not only poison public opinion, but to create the basis to support a bloodless coup of a candidate and later president, Donald Trump.
[01:03:33.795 --> 01:03:38.317]  Like any criminal conspiracy, the players are arrogant and they think they're above the law.
[01:03:38.937 --> 01:03:40.918]  But mistakes are always made.
[01:03:41.758 --> 01:03:45.239]  Comey tells the president-elect the dossier is unverified.
[01:03:45.259 --> 01:03:52.122]  He presents it to the FISA court, though, as verified, when he knew the truth long before.
[01:03:52.602 --> 01:03:56.203]  It was unverified, and it was a political document.
[01:03:56.523 --> 01:03:58.405]  Not an intelligence document.
[01:03:58.985 --> 01:04:03.089]  But he used it to spy on a presidential campaign.
[01:04:03.810 --> 01:04:06.132]  Yeah, I used the word spy.
[01:04:06.712 --> 01:04:07.433]  Deal with it.
[01:04:08.695 --> 01:04:13.156]  Andrew McCabe, former Deputy Director of the FBI, is under criminal investigation.
[01:04:13.556 --> 01:04:20.517]  He claims he's a victim in all of this and that his firing is a result of attacks designed to undermine him.
[01:04:21.457 --> 01:04:24.118]  As if anyone cares about Andrew McCabe.
[01:04:24.898 --> 01:04:29.039]  McCabe lies not only to the FBI, but to the Inspector General under oath.
[01:04:29.499 --> 01:04:30.619]  He's another leaker.
[01:04:31.199 --> 01:04:36.980]  It's no surprise that Attorney General Barr says he's still trying to get his arms around all of this.
[01:04:38.294 --> 01:04:48.979]  I thought when I came in from the outside that all the questions that I had and many other people had that would be readily answered once I got in, but I haven't found that.
[01:04:48.999 --> 01:04:49.840]  Folks, get the article.
[01:04:49.900 --> 01:04:51.660]  It's on newswars.com and spread it.
[01:04:52.021 --> 01:04:58.344]  CNN's Anderson Cooper mocks Fox News host for making bizarre facial expressions, appears to be possessed by a gremlin.
[01:04:58.924 --> 01:05:00.945]  He's now known as the turd gremlin.
[01:05:06.718 --> 01:05:08.799]  Joey, we have something here for our special visitors.
[01:05:08.819 --> 01:05:09.799]  Would you like to have it?
[01:05:10.379 --> 01:05:11.079]  Thank you!
[01:05:11.099 --> 01:05:12.240]  Thanks a lot!
[01:05:12.760 --> 01:05:13.180]  Sure.
[01:05:13.400 --> 01:05:14.640]  You ever been in a cockpit before?
[01:05:14.660 --> 01:05:15.480]  No, sir.
[01:05:15.600 --> 01:05:17.681]  I've never been up in a plane before.
[01:05:18.441 --> 01:05:20.322]  You ever seen a grown man naked?
[01:05:20.342 --> 01:05:22.322]  Paula, who said they like Coke?
[01:05:22.362 --> 01:05:22.662]  Me!
[01:05:22.982 --> 01:05:23.823]  Oh, you tell me about that.
[01:05:23.843 --> 01:05:24.603]  I like Coca-Cola.
[01:05:25.023 --> 01:05:26.003]  Oh, Coca-Cola.
[01:05:26.263 --> 01:05:28.124]  Alright, but who knows about cocaine?
[01:05:28.284 --> 01:05:29.344]  Anyone ever seen cocaine?
[01:05:29.824 --> 01:05:31.805]  Yeah.
[01:05:32.545 --> 01:05:32.905]  Hold it.
[01:05:33.005 --> 01:05:33.485]  One at a time.
[01:05:33.505 --> 01:05:34.245]  What about cocaine?
[01:05:34.366 --> 01:05:34.806]  Good thing?
[01:05:34.846 --> 01:05:35.306]  Bad thing?
[01:05:35.366 --> 01:05:35.546]  What?
[01:05:35.706 --> 01:05:35.966]  Joey!
[01:05:37.190 --> 01:05:39.152]  Ever hang around a gymnasium?
[01:05:39.172 --> 01:05:40.093]  Who here smokes?
[01:05:41.495 --> 01:05:42.916]  Uh... Come here, come on, raise your hand.
[01:05:43.156 --> 01:05:45.639]  Other than your parents, who smokes?
[01:05:46.180 --> 01:05:46.980]  You got your smoke ready?
[01:05:47.040 --> 01:05:49.023]  I've seen a lot of kids with 12 and 11 smoking.
[01:05:49.223 --> 01:05:50.024]  I don't smoke.
[01:05:50.264 --> 01:05:50.604]  Alright.
[01:05:50.884 --> 01:05:53.087]  I don't smoke because I'm a little kid.
[01:05:53.127 --> 01:05:55.189]  I'm only 5 years old.
[01:05:55.910 --> 01:05:56.290]  Join!
[01:05:57.912 --> 01:05:59.694]  You like movies about gladiators?
[01:06:17.679 --> 01:06:22.111]  Rallying patriots worldwide in defense of human liberty.
[01:06:22.532 --> 01:06:25.500]  You're listening to the Alex Jones Show.
[01:06:29.831 --> 01:06:31.733]  Breaking news out of Silicon Valley.
[01:06:31.793 --> 01:06:36.557]  Facebook has banned a number of prominent conspiracy theorists and alt-right figures.
[01:06:36.597 --> 01:06:40.179]  Facebook is purging several high-profile names from its platform.
[01:06:40.199 --> 01:06:44.263]  This may be one of the biggest and most impactful decisions Facebook has ever made.
[01:06:44.363 --> 01:06:47.385]  Facebook taking steps to enforce its hate speech policies.
[01:06:47.505 --> 01:06:54.611]  Alex Jones, Milo Yiannopoulos, Paul Joseph Watson, Louis Farrakhan, Laura Loomer, all of them were designated dangerous.
[01:06:54.671 --> 01:06:55.231]  Dangerous.
[01:06:55.291 --> 01:06:55.832]  Dangerous.
[01:06:55.872 --> 01:06:56.332]  Dangerous.
[01:06:56.372 --> 01:06:56.993]  Dangerous.
[01:06:57.533 --> 01:06:58.673]  Dangerous individuals.
[01:06:58.693 --> 01:06:59.814]  Dangerous individuals.
[01:06:59.874 --> 01:07:02.475]  Dangerous individuals and organizations.
[01:07:02.535 --> 01:07:05.195]  Basically they deem these individuals to be dangerous.
[01:07:06.936 --> 01:07:07.976]  They call me dangerous.
[01:07:08.096 --> 01:07:09.497]  Danger is my middle name.
[01:07:09.717 --> 01:07:11.557]  Dangerous like hurting other people?
[01:07:11.777 --> 01:07:15.038]  Or dangerous as in saying things that Mark Zuckerberg doesn't like?
[01:07:15.158 --> 01:07:19.740]  This is about the total rollout for complete and total censorship.
[01:07:19.840 --> 01:07:21.200]  How dangerous is InfoWars?
[01:07:21.480 --> 01:07:26.004]  What is the difference right at this point between Trump's Twitter feed and InfoWars.com?
[01:07:26.084 --> 01:07:28.786]  InfoWars tells viewers that the world is out to get them.
[01:07:28.806 --> 01:07:30.688]  None of this seems to repel President Trump.
[01:07:30.828 --> 01:07:33.030]  InfoWars content is useful to him.
[01:07:33.570 --> 01:07:35.872]  InfoWars personalities align with him.
[01:07:36.013 --> 01:07:37.053]  I want them shut down.
[01:07:37.093 --> 01:07:38.014]  I want them silenced.
[01:07:38.054 --> 01:07:38.835]  I want them muted.
[01:07:38.895 --> 01:07:40.737]  I think they are horrible for our society.
[01:07:40.757 --> 01:07:42.218]  I want them shut down.
[01:07:42.598 --> 01:07:43.739]  I want them silenced.
[01:07:43.839 --> 01:07:44.600]  I want them muted.
[01:07:44.720 --> 01:07:47.903]  Because these corporations are controlled by a liberal few.
[01:07:49.778 --> 01:07:58.830]  We're very focused on making sure that our recommendations and discovery surfaces aren't highlighting groups where people are repeatedly sharing misinformation or harmful content.
[01:07:58.850 --> 01:08:06.661]  And we're working hard to completely remove groups if they exist, primarily to violate our policies or do things that are dangerous.
[01:08:07.622 --> 01:08:08.403]  Screw your rules.
[01:08:08.643 --> 01:08:11.905]  Your rules go against our values, and they are patently un-American.
[01:08:12.025 --> 01:08:14.546]  Mark Zuckerberg is not simply censoring opinions.
[01:08:15.087 --> 01:08:19.069]  He's prescribing which political opinions you're allowed to have.
[01:08:19.270 --> 01:08:21.711]  We need a digital Bill of Rights.
[01:08:21.831 --> 01:08:25.494]  They're becoming the public square, and they control how we interact with each other.
[01:08:25.714 --> 01:08:32.798]  And if you think that you are going to throw up your hands and say, well, they're private companies, you are absolutely insane, and you are part of the problem.
[01:08:32.918 --> 01:08:34.059]  You are a bad person.
[01:08:34.099 --> 01:08:35.420]  You should be censored off the internet.
[01:08:35.520 --> 01:08:36.140]  Bad, yes.
[01:08:36.341 --> 01:08:37.641]  Get out of here, Alex!
[01:08:37.922 --> 01:08:42.365]  InfoWars might have been banned from Twitter, but it seems to have found a new home over at Trump's Twitter feed.
[01:08:42.445 --> 01:08:51.231]  President Trump's furious reaction to Facebook's action showcases that he is, I'm sorry to say, the InfoWars president.
[01:08:51.531 --> 01:08:55.554]  InfoWars, the most banned network in the world.
[01:09:07.248 --> 01:09:32.706]  With the distance now I'm back on my feet Just a man and his will to survive So many times it happens too fast You show the people you're demon Now they know that you're a pack of liars And they hate your guts forever You're called CNN
[01:09:42.994 --> 01:09:53.998]  Lord Monckton joins us at the bottom of the hour.
[01:09:54.678 --> 01:09:57.559]  CBS News says don't have kids or don't take care of your kids.
[01:09:58.039 --> 01:09:58.600]  It's bad.
[01:09:58.620 --> 01:10:01.621]  It can hurt your job performance.
[01:10:01.661 --> 01:10:02.741]  You need to be a good slave.
[01:10:02.801 --> 01:10:03.502]  Forget families.
[01:10:03.542 --> 01:10:04.222]  Forget humanity.
[01:10:05.626 --> 01:10:06.446]  That's all coming up.
[01:10:06.506 --> 01:10:08.427]  This is a post-human globalist program.
[01:10:08.447 --> 01:10:16.992]  But Rob Dude put together a very powerful little four-minute piece that I shot last night on globalism.
[01:10:18.192 --> 01:10:21.854]  It's particularly informative for TV viewers because it has all the graphics, statistics, and facts.
[01:10:22.835 --> 01:10:29.458]  But this deals with the real threat and who the controllers are and the crossroads that we are all now at.
[01:10:29.798 --> 01:10:30.499]  Here's that report.
[01:10:33.480 --> 01:10:34.361]  Remember just
[01:10:35.956 --> 01:10:49.282]  Four or five years ago, they would have articles in the New York Times, the Washington Post, saying that globalists didn't exist, and that no one wanted global government.
[01:10:49.382 --> 01:11:03.669]  Well, as soon as Hillary lost, they came out and said, okay, global government's real, globalists are real, but they're the good guys, and everyone against globalism is a white supremacist.
[01:11:07.597 --> 01:11:09.798]  You know where globalism came from?
[01:11:12.918 --> 01:11:14.479]  It came from the Nazis.
[01:11:17.139 --> 01:11:19.520]  They wanted a system to counter the British Empire.
[01:11:20.580 --> 01:11:24.621]  That was the global power at that time.
[01:11:24.641 --> 01:11:29.303]  The old saying was, the sun never set on the British Empire.
[01:11:29.803 --> 01:11:31.403]  And Hitler gave speeches.
[01:11:31.783 --> 01:11:33.064]  Hitler wrote articles.
[01:11:33.124 --> 01:11:34.424]  It was all over the news at the time.
[01:11:35.848 --> 01:11:44.534]  That he wanted a European Union that would then dominate the globe in a form of globalism.
[01:11:45.314 --> 01:11:47.796]  So the term globalism actually comes from the Nazis.
[01:11:48.396 --> 01:11:50.638]  The modern Olympics symbols, Dutch.
[01:11:50.698 --> 01:11:53.599]  The VW, the highways, NASA.
[01:11:53.900 --> 01:11:57.322]  I mean, they definitely innovated some stuff in their power ground.
[01:11:59.281 --> 01:12:01.862]  And I'm not saying this is a German or Nazi conspiracy.
[01:12:01.882 --> 01:12:03.142]  Hell, I'm half German myself.
[01:12:03.782 --> 01:12:04.602]  Germans are great people.
[01:12:05.362 --> 01:12:11.344]  But when harnessed by evil, good people can be like horses drawing the devil's carriage.
[01:12:12.704 --> 01:12:22.206]  And so ideas of the Nazis and ideas of the British Empire competed with each other, and big corporations picked up those ideas, and that's modern globalism.
[01:12:23.587 --> 01:12:30.712]  So, InfoWars is seen as the most pure strain of Americana by the globalists.
[01:12:31.513 --> 01:12:41.119]  I've talked to top people in Hollywood, in entertainment, and in media, and in government, and they've said, Jones, you're seen as Americana.
[01:12:41.960 --> 01:12:52.868]  But they say, as beautiful as Americana is, and I'm not saying I'm beautiful, but Americana's beautiful, it stands in the way of the larger ideas of the planet and a one world government system.
[01:12:54.332 --> 01:13:01.254]  Well, humans are revolting against that one world government system, and are saying they don't want to be under its hegemonic control.
[01:13:01.874 --> 01:13:06.276]  Their great truth that they're so sure is, for us, isn't for us.
[01:13:06.976 --> 01:13:11.277]  In different countries and parts of the world, we don't want to be under their control.
[01:13:11.317 --> 01:13:13.238]  We don't want to carry out their vision.
[01:13:13.798 --> 01:13:14.878]  We want to live our own lives.
[01:13:16.158 --> 01:13:20.740]  And that's what InfoWars represents, and that's why they've set up a system to demonize us.
[01:13:21.997 --> 01:13:23.458]  They've set up a system to lie about us.
[01:13:23.518 --> 01:13:27.742]  They've set up a system to create this strawman of who we are.
[01:13:28.282 --> 01:13:35.428]  Because they understand that people don't do things for money or power at the end of the day.
[01:13:36.349 --> 01:13:38.110]  They do it because of narratives.
[01:13:38.531 --> 01:13:39.712]  They do it because of culture.
[01:13:39.992 --> 01:13:44.335]  They do it because of ethos and what they stand for.
[01:13:45.756 --> 01:13:49.840]  Oh, some people may sell out for money, but people that really count do it for ideology.
[01:13:51.004 --> 01:13:55.427]  And the system knows that I'm trying to reboot, that you're trying to reboot.
[01:13:56.728 --> 01:13:59.530]  A system that competes with the British Empire.
[01:13:59.790 --> 01:14:02.092]  The British Empire called it the American system.
[01:14:02.112 --> 01:14:06.275]  200 years ago, they said our system of empire will fail in competition with this.
[01:14:07.155 --> 01:14:08.056]  Hitler said the same thing.
[01:14:09.224 --> 01:14:12.206]  The truth is our system was the best and the greatest because it empowered individuals.
[01:14:12.926 --> 01:14:17.209]  And now it's fighting the very same systems of tyranny today.
[01:14:17.809 --> 01:14:19.250]  Join us at InfoWars.com.
[01:14:19.590 --> 01:14:26.194]  Join the human community and spread the word against the censorship and know we will prevail as we've done in the past.
[01:14:26.634 --> 01:14:30.777]  Americanism, not globalism, will be our credo!
[01:14:34.264 --> 01:14:36.005]  I think that's very powerful, straight talk.
[01:14:36.025 --> 01:14:42.310]  I don't even know what we should call that four-minute piece, but I'm going to have to do the crew post the next 20 minutes to InfoWars.com.
[01:14:43.795 --> 01:14:45.937]  And hopefully we'll get it out there.
[01:14:46.637 --> 01:14:51.140]  A breakdown like that would get, you know, 20 million views years ago on YouTube until they shadow banned us.
[01:14:51.180 --> 01:14:52.381]  Then it would get a half million views.
[01:14:52.401 --> 01:14:53.142]  We were shadow banned.
[01:14:53.162 --> 01:14:54.743]  And now, of course, no views.
[01:14:54.803 --> 01:14:56.904]  But I just want to reach people.
[01:14:56.984 --> 01:14:58.005]  I just want a future.
[01:14:58.165 --> 01:15:02.228]  And you look at it all, the globalists say, yes, we don't like humans.
[01:15:02.648 --> 01:15:03.349]  Humans are bad.
[01:15:03.409 --> 01:15:05.030]  We're sabotaging the human community.
[01:15:05.998 --> 01:15:14.883]  They've gone from denying that, and everything I talk about in Endgame, a 12-year-old film, to now just admitting everything in our face.
[01:15:15.983 --> 01:15:19.565]  And that's because they know they can't hide it anymore, so instead they want to just demoralize us.
[01:15:19.585 --> 01:15:20.826]  But I don't see that happening.
[01:15:20.846 --> 01:15:23.107]  I don't see them being successful.
[01:15:23.567 --> 01:15:27.750]  Okay, we have unbelievably important developments.
[01:15:28.826 --> 01:15:32.588]  Uh, dealing with the trade war with China.
[01:15:32.808 --> 01:15:33.548]  Trump is winning.
[01:15:33.588 --> 01:15:34.149]  We are winning.
[01:15:34.529 --> 01:15:35.809]  I'm going to break that down when we come back.
[01:15:36.350 --> 01:15:42.633]  And we'll also look at European officials having to step down as they get caught working with the Islamic invasion.
[01:15:42.733 --> 01:15:44.033]  Big news on that front.
[01:15:44.514 --> 01:15:45.934]  And then Lord Monckton joins us.
[01:15:45.994 --> 01:15:48.055]  And then we have a lot of news.
[01:15:48.295 --> 01:15:51.377]  I told you a month ago they were trying to legalize Soylent Green in America.
[01:15:52.137 --> 01:15:54.878]  Washington just legalized eating people.
[01:15:55.619 --> 01:15:56.059]  That's right.
[01:15:56.279 --> 01:15:57.520]  We'll tell you about that coming up.
[01:15:57.540 --> 01:15:57.880]  Stay with us.
[01:16:02.483 --> 01:16:02.683]  Stop!
[01:16:06.144 --> 01:16:09.204]  Since the beginning, Secret 12 has been one of our most popular formulas.
[01:16:09.344 --> 01:16:12.385]  Now, we're bringing you an all-new version to help you reach your energy peak.
[01:16:12.565 --> 01:16:19.866]  Ultra 12 from InfoWars Life takes advantage of the most effective and expensive form of B12 available, methylcobalamin, to provide you with twice the B12.
[01:16:20.046 --> 01:16:26.467]  Ultra 12 can help make DNA, support the body's energy production, and help produce healthy blood cells while assisting proper nervous system function.
[01:16:26.607 --> 01:16:30.308]  Take advantage of the superior form of B12 and head to InfoWarsStore.com today.
[01:16:32.987 --> 01:16:45.596]  It would take me more than an hour just to lay out all the admitted benefits and known positive effects of just one of the ingredients in our ultimate bone broth formula.
[01:16:47.034 --> 01:16:53.360]  Everybody knows about bone broth itself and all of the amazing things that it's associated with.
[01:16:53.480 --> 01:16:55.422]  And it's been the big craze for at least a decade.
[01:16:56.303 --> 01:17:00.787]  Well, thousands of years ago, it's what everybody told people they should drink in a soup if they were sick.
[01:17:01.648 --> 01:17:06.532]  But then you add, not to the fact that this is the strongest, most concentrated, highest quality bone broth out there,
[01:17:07.233 --> 01:17:07.614]  Literally.
[01:17:08.354 --> 01:17:19.127]  Then you have the chaga mushroom, then you have the tumeric, then you have the bee pollen, then you have the other key ingredients that are all known to just make people incredibly strong and healthy.
[01:17:19.908 --> 01:17:22.090]  Now, Ultimate Bone Broth can be gulped down
[01:17:22.130 --> 01:17:22.770]  I think so.
[01:17:39.998 --> 01:17:44.462]  It's 50% off right now at InFourStore.com because I want you to try it and see how great it is.
[01:17:44.862 --> 01:17:47.344]  And of course, getting the bone broth isn't just great for you and your family.
[01:17:47.724 --> 01:17:53.909]  It's also amazing when it comes to funding our operation that has taken on the globalists and fighting for all of our freedoms.
[01:17:54.610 --> 01:17:57.812]  Now, this is high quality and it's very thick, so doing it with a spoon takes a while.
[01:17:57.972 --> 01:17:59.213]  That's why I like to use a blender.
[01:18:04.217 --> 01:18:06.719]  Again, I love it with milk.
[01:18:07.700 --> 01:18:08.801]  Just bang this baby back.
[01:18:10.939 --> 01:18:16.043]  Mmm.
[01:18:16.123 --> 01:18:17.243]  Nothing like it for a meal replacement.
[01:18:17.263 --> 01:18:18.945]  It's way beyond any way you've ever had.
[01:18:18.965 --> 01:18:25.129]  Again, it's got the essence of the bones, the chaga mushroom, the turmeric, a bunch of other incredible stuff.
[01:18:25.609 --> 01:18:28.291]  This is what fuels patriots.
[01:18:28.311 --> 01:18:29.952]  This is what fuels people that really want to be healthy.
[01:18:29.972 --> 01:18:32.234]  It's all in the bone broth at InFootwearLife.com.
[01:18:42.191 --> 01:18:49.678]  Yeah, I really appreciate you, and it's an honor to talk to you, and I do, before I start, I also wanted to do a plug for a couple of your products that I really love.
[01:18:49.738 --> 01:18:50.398]  Changed my life.
[01:18:50.459 --> 01:18:52.821]  The DNA Force is one, and X2.
[01:18:52.961 --> 01:18:54.662]  Yeah, I do a lot of construction.
[01:18:54.902 --> 01:19:02.249]  Using the tools that you're using, it just really wreaks havoc on your body, and I had three of my fingers starting to go numb, and I didn't think there was anything going to work on it.
[01:19:03.869 --> 01:19:08.991]  Well, thank you, brother.
[01:19:09.011 --> 01:19:16.534]  I mean, we want to sell you something that works.
[01:19:16.574 --> 01:19:23.116]  You want to order it again, but PQQ CoQ10 has been proven to make telomeres last longer, to make nerves regrow.
[01:19:23.276 --> 01:19:25.476]  It really is an amazing product for anybody above 40.
[01:19:25.696 --> 01:19:28.817]  Young people can take it as well, but yes, DNA Force Plus is amazing.
[01:19:28.837 --> 01:19:30.018]  What did you think of the X2?
[01:19:30.538 --> 01:19:31.738]  I love that too.
[01:19:31.798 --> 01:19:35.640]  After a few months of being on that, I felt like I wasn't searching for words.
[01:19:36.040 --> 01:19:44.702]  There was a time in my life where I felt like, man, I don't know if I'm just too exhausted or what, but you feel like you want to get in a conversation and you're pausing and you can't find the word to say.
[01:19:44.842 --> 01:19:47.963]  And I swear, man, that X2 really helps with cognition.
[01:19:48.003 --> 01:19:50.764]  Well, that's because the synapses in the brain operate off of it.
[01:19:50.784 --> 01:19:51.504]  It's electrochemical.
[01:19:51.524 --> 01:19:52.245]  You're absolutely right.
[01:19:52.345 --> 01:19:56.046]  When I forget to take X2 every couple of days, sometimes I forget for like a week because I get busy.
[01:19:56.166 --> 01:19:58.707]  Then I feel it and I take it and it really is amazing.
[01:19:58.787 --> 01:19:59.927]  So thank you for the support, brother.
[01:20:06.047 --> 01:20:18.434]  You're listening to The Alex Jones Show.
[01:20:18.574 --> 01:20:20.935]  The West is the best.
[01:20:21.535 --> 01:20:24.557]  The West is the best.
[01:20:24.577 --> 01:20:32.962]  The West is the best.
[01:20:34.262 --> 01:20:35.323]  And it's gonna do the rest.
[01:20:38.237 --> 01:20:41.238]  And that's why the globalists want to take it down.
[01:20:42.718 --> 01:20:43.958]  Thank you, Jim, for bringing us in.
[01:20:47.279 --> 01:20:48.819]  The killer awoke before dawn.
[01:20:50.520 --> 01:20:51.380]  Put his boots on.
[01:20:53.020 --> 01:20:57.261]  And then he walked on down the hall.
[01:21:00.162 --> 01:21:01.182]  Down the hall of life.
[01:21:02.542 --> 01:21:03.722]  Down the hall of destiny.
[01:21:04.683 --> 01:21:05.883]  Past all those busts.
[01:21:07.256 --> 01:21:08.497]  All those that already came.
[01:21:09.558 --> 01:21:23.828]  All right, Lord Monckton's joining us.
[01:21:24.828 --> 01:21:28.231]  One of the most important people fighting the globalist carbon tax.
[01:21:28.251 --> 01:21:34.355]  We're getting into the elections in Europe, the incredible tyranny, and more with him.
[01:21:35.964 --> 01:21:38.785]  And I've got news overwhelmingly insane.
[01:21:39.885 --> 01:21:55.889]  Did you know that there are massive amounts of colleges that are not black colleges, but there are colleges that have black only graduation ceremonies.
[01:21:58.069 --> 01:22:00.070]  That's the kind of stuff I got in my stack.
[01:22:00.190 --> 01:22:01.950]  You could talk all day about that, what that means.
[01:22:05.390 --> 01:22:07.971]  By the way, I think if people want to do that, they have a right to do it.
[01:22:09.992 --> 01:22:15.654]  But if you try to set up a whites-only organization, they try to make it illegal.
[01:22:16.535 --> 01:22:17.515]  They try to say it's racist.
[01:22:19.736 --> 01:22:26.839]  There's even been moves to shut down Celtic events or whatever, because you can't celebrate that.
[01:22:26.879 --> 01:22:28.480]  Again, that's not the blacks that want that.
[01:22:29.773 --> 01:22:31.854]  That's the establishment that wants to divide and conquer.
[01:22:32.194 --> 01:22:32.674]  Here's another one.
[01:22:33.254 --> 01:22:37.515]  Washington becomes first state to allow human composting.
[01:22:39.576 --> 01:22:47.259]  Bury me beneath the old apple tree so that I might touch thy lips again.
[01:22:49.599 --> 01:22:58.022]  Except the average human carries the largest bio-waste per pound of any animal on earth and is incredibly toxic.
[01:22:59.514 --> 01:23:01.235]  You ever been to the hardware store?
[01:23:01.795 --> 01:23:05.318]  You ever been to the Home Depot or wherever and you go to get fertilizer for your yard?
[01:23:06.599 --> 01:23:14.224]  And it says not for food production, not for vegetables, not for any plants consumed by humans.
[01:23:15.264 --> 01:23:23.089]  Because a lot of fertilizer is toxic waste from mines in the country.
[01:23:24.710 --> 01:23:27.072]  And then they dump it on the plants and it's sent as runoff.
[01:23:28.695 --> 01:23:50.385]  But if you take humans, whose biomass of heavy metal and toxins and drugs, and then you chop them up, and you ground them up, and you mix them in to dirt, and then you sell it so that it's put on crops, how evil and sick and disrespectful is that?
[01:23:50.405 --> 01:23:57.048]  It's one thing if you want to get buried in a pine box,
[01:23:58.587 --> 01:24:08.552]  Or it's another thing, if you can, you know, go out west, and you're Native American, and you got a tribe out there, and they'll let you get laid out up there on a platform, and you rot in the sun.
[01:24:12.474 --> 01:24:15.496]  Buzzards come over and have a dinner, climb a main.
[01:24:17.817 --> 01:24:27.162]  But the left said a decade ago, or more, that they want to make you be composted, and they want to make people grow crops on it,
[01:24:28.166 --> 01:24:31.388]  As a part of defiling everyone, debasing human life.
[01:24:31.448 --> 01:24:39.633]  It's all about seeing what they can get away with over and over and over and over.
[01:24:40.934 --> 01:24:54.322]  And I haven't even gotten to this yet, but I'll get to it next hour when Millie Weaver is in studio with us in beautiful video that she let us shoot of her three-month-old daughter, who they just love to be able to vaccinate into oblivion.
[01:24:55.589 --> 01:24:59.751]  But disconnecting to spend time with your kids could sabotage your career.
[01:25:00.231 --> 01:25:01.512]  So don't spend time with your children.
[01:25:01.532 --> 01:25:02.673]  CBS News.
[01:25:03.633 --> 01:25:08.335]  You can't make up how evil these people are.
[01:25:08.596 --> 01:25:17.180]  And their whole agenda that's been chastating, growing in our guts in the universities has now blown out both ends.
[01:25:18.587 --> 01:25:22.729]  As the universities vomit out their poison and crap out their poison upon us.
[01:25:23.329 --> 01:25:25.550]  And bleed out, it's coming out of their eyeballs.
[01:25:25.830 --> 01:25:29.451]  It's bleh, our birth this year, bleh.
[01:25:29.751 --> 01:25:31.232]  Kill babies, bleh.
[01:25:31.492 --> 01:25:32.913]  Open the borders, bleh.
[01:25:32.993 --> 01:25:35.474]  Bankruptcy, bleh.
[01:25:40.376 --> 01:25:42.276]  Death equals death, devil equals death.
[01:25:44.577 --> 01:25:46.298]  Their little slogan there at Skull and Bones.
[01:25:48.959 --> 01:25:57.425]  So what is this cultural phenomenon in history when societies go insane and when civilizations commit suicide?
[01:25:57.445 --> 01:26:14.276]  Lord Monckton's not just former chief advisor to people in the British government like Margaret Thatcher, or an inventor, or the top guy exposing the carbon tax fraud, but he's quite a historian.
[01:26:14.296 --> 01:26:15.517]  I'm going to ask him that question too.
[01:26:15.597 --> 01:26:16.758]  What is this madness?
[01:26:17.827 --> 01:26:23.669]  That we see in the Nazis or the Soviets or the French Revolution or what's now upon the West.
[01:26:25.030 --> 01:26:25.430]  What is it?
[01:26:25.990 --> 01:26:26.830]  And can it be stopped?
[01:26:26.870 --> 01:26:32.592]  We'll talk about that next segment with him and so much more on the trade deal that Trump's winning.
[01:26:33.813 --> 01:26:37.814]  A third of American companies in China will cancel or delay investments.
[01:26:39.015 --> 01:26:40.936]  Even more are considering leaving.
[01:26:41.416 --> 01:26:47.178]  That's a big article in the Daily Caller with a big international business survey.
[01:26:48.729 --> 01:26:49.350]  And what's that mean?
[01:26:49.390 --> 01:26:53.793]  It means everything was tilted to where you could only do business in China, that no one could compete with China.
