[00:00:12.290 --> 00:00:17.234]  Crashing through the lies and disinformation, it's Alex Jones.
[00:28:17.707 --> 00:28:18.667]  Yeah, he was shooting at police.
[00:28:19.327 --> 00:28:31.710]  The Antifa gun club that Van Spornsen attended also locked its Twitter down following the revelations, but not before the photos and all of it have been saved.
[00:28:32.210 --> 00:28:35.231]  And we've already seen these videos of these tough guys
[00:28:36.169 --> 00:28:42.671]  Out there threatening people in Seattle and other areas with their guns and being worshipped by the leftist police.
[00:28:43.232 --> 00:28:47.413]  We have a video of some of these guys that we're going to play when we come back.
[00:28:47.953 --> 00:28:51.415]  And then I'm going to get into the manifesto itself.
[00:28:51.435 --> 00:28:58.357]  I'm going to read you the mental illness of the weak-minded people being controlled by Soros, the Democrats and CNN.
[00:28:58.677 --> 00:29:00.638]  CNN profiled his group a month ago.
[00:29:02.539 --> 00:29:05.220]  Now he's most proud of for eight years
[00:29:05.981 --> 00:29:10.562]  There wasn't one single hint of a scandal earlier.
[00:29:11.322 --> 00:29:14.403]  President under pressure from a trifecta of scandals.
[00:29:14.423 --> 00:29:20.184]  President Barack Obama trying to get ahead of just one of the three scandals now consuming the country's attention.
[00:29:20.304 --> 00:29:25.245]  That scandal involving the Secret Service and accusations of drinking and hiring prostitutes in Colombia.
[00:29:25.365 --> 00:29:26.905]  The Obama spying scandal.
[00:29:27.005 --> 00:29:28.946]  The mother of all scandals, Spygate.
[00:29:28.966 --> 00:29:29.726]  This is a big scandal.
[00:29:30.186 --> 00:29:30.586]  Scandal.
[00:29:30.606 --> 00:29:31.567]  It's a huge scandal.
[00:29:31.587 --> 00:29:32.568]  The gun walker scandal.
[00:29:32.608 --> 00:29:33.309]  The VA scandal.
[00:29:33.329 --> 00:29:34.069]  The VA scandal.
[00:29:34.129 --> 00:29:37.072]  It's a scandal telling America you can keep your doctor.
[00:29:37.092 --> 00:29:38.853]  A callous deception that hurts millions.
[00:29:38.914 --> 00:29:43.317]  Today widespread embarrassment about this scandal has really turned to disgust.
[00:29:43.477 --> 00:29:49.523]  All of this comes as a White House that takes pride in being scandal free has been hammered by a series of controversies.
[00:29:49.643 --> 00:29:50.163]  The latest?
[00:29:50.383 --> 00:29:58.170]  Revelations the Justice Department obtained two months of telephone records of reporters at the Associated Press as part of a leak investigation.
[00:29:58.510 --> 00:30:10.654]  I believe there's been a pattern by this administration in not taking responsibility for failures, avoiding blame, pointing the fingers in somebody else's direction.
[00:30:11.874 --> 00:30:12.574]  Would you agree with that?
[00:30:13.574 --> 00:30:14.015]  Uh, no.
[00:30:14.195 --> 00:30:14.935]  For eight years.
[00:30:15.646 --> 00:30:19.648]  There wasn't one single hint of a scandal.
[00:30:20.088 --> 00:30:32.373]  The CIA went in to walled off Senate computers in a bona fide investigation that's being done of the detention and interrogation of detainees.
[00:30:32.813 --> 00:30:38.536]  As far as the allegations of, you know, CIA hacking into, you know, Senate computers, nothing could be further from the truth.
[00:30:39.056 --> 00:30:47.940]  CIA Director John Brennan apologized today after an internal investigation determined the agency had spied on staff members of the United States Senate.
[00:30:48.241 --> 00:30:50.662]  Firestorms surrounding the IRS.
[00:30:50.722 --> 00:30:53.183]  Last night, we asked if what they did was fair.
[00:30:53.263 --> 00:30:56.645]  Tonight, the FBI is asking, was it criminal?
[00:30:57.345 --> 00:31:01.687]  I first learned about it from the same news reports that I think most people learned about this.
[00:31:01.867 --> 00:31:10.572]  In the years before the election, more liberal groups were being approved, while conservative groups with names like Patriot, Constitution, and Tea Party were stymied.
[00:31:10.852 --> 00:31:14.434]  In 2011, not a single Tea Party group was approved.
[00:31:14.634 --> 00:31:24.001]  Operation Fast and Furious, an Obama administration program that let thousands of assault weapons fall into the hands of violent Mexican drug cartels.
[00:31:24.141 --> 00:31:28.824]  Guns found at over 170 crime scenes, including the murder of a U.S.
[00:31:28.864 --> 00:31:30.165]  Border Patrol agent.
[00:31:30.245 --> 00:31:37.150]  The Obama administration denied the program's existence and withheld information to protect political appointees.
[00:31:37.410 --> 00:31:39.771]  The Dallas Morning News calls this a cover-up.
[00:31:40.092 --> 00:31:41.953]  Will anyone be held accountable?
[00:31:42.193 --> 00:31:44.615]  With one single hint.
[00:31:44.975 --> 00:31:47.337]  My main concern is fixing a problem.
[00:31:47.797 --> 00:31:54.282]  New questions over who is to blame for the deaths of some of America's most elite warriors in a helicopter crash.
[00:31:54.362 --> 00:32:00.046]  Their families suggest that the White House and others are lying about their deaths and what led to them.
[00:32:00.066 --> 00:32:06.131]  All of a sudden there's movies, SEAL Team 6, documentaries, SEAL Team 6, SEAL Team 6, this, this, this.
[00:32:06.771 --> 00:32:07.712]  Where did it all start?
[00:32:09.266 --> 00:32:17.892]  Joe Biden in Delaware in a tuxedo with a half a load on, telling everybody it was the elite Navy SEAL team.
[00:32:18.112 --> 00:32:21.595]  Now to the VA scandal, which is now a criminal investigation.
[00:32:21.635 --> 00:32:28.480]  An extensive new report reveals more than 100,000 veterans waited months to see a doctor or never saw one at all.
[00:32:28.900 --> 00:32:32.443]  And some workers saying they were pressured to falsify records.
[00:32:32.543 --> 00:32:36.366]  Now the VA scandal has officially become a criminal investigation.
[00:32:36.874 --> 00:32:40.456]  I think I'm either low IQ or slow or I don't know what I am, you know?
[00:32:40.837 --> 00:32:41.657]  Slow Joe Biden?
[00:32:42.258 --> 00:32:44.259]  Now, I have to tell you, he's a different guy.
[00:32:44.779 --> 00:32:46.521]  He looks different than he used to.
[00:32:47.021 --> 00:32:48.782]  He acts different than he used to.
[00:32:50.203 --> 00:32:51.644]  I had two cranial aneurysms.
[00:32:52.805 --> 00:32:55.166]  And they literally had to take the top of my head off.
[00:32:55.226 --> 00:32:57.348]  I mean, they take a saw and they cut your head off.
[00:33:00.050 --> 00:33:01.391]  Flawless victory.
[00:33:06.900 --> 00:33:09.602]  You're listening to the Alex Jones Show.
[00:33:17.126 --> 00:33:19.307]  Waging war on corruption.
[00:33:19.808 --> 00:33:25.091]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:25.111 --> 00:33:33.876]  You know, when I say a lot of this stuff on air, I can't even believe I'm saying it.
[00:33:35.404 --> 00:33:36.044]  Here's an example.
[00:33:36.085 --> 00:33:38.146]  I'm going to cover this the last two segments of the show today.
[00:33:41.348 --> 00:33:42.209]  I got a call.
[00:33:44.891 --> 00:33:47.513]  Well, first, Joe Biggs came up to me.
[00:33:47.993 --> 00:33:48.974]  He was working for Infowars.
[00:33:48.994 --> 00:33:50.675]  In 2016, in July, we had platinum passes.
[00:33:54.482 --> 00:33:55.642]  They were actually bright red.
[00:33:55.762 --> 00:33:58.663]  The best passes you could get at the RNC.
[00:33:59.203 --> 00:34:01.884]  They were behind the scenes, through the Secret Service.
[00:34:02.324 --> 00:34:04.764]  I could walk right up to the rooms the President was in.
[00:34:05.524 --> 00:34:07.445]  Just, I mean, I had the best passes.
[00:34:10.705 --> 00:34:13.846]  And so the Secret Service, I'd given those passes to Biggs.
[00:34:14.346 --> 00:34:15.086]  Got like eight of them.
[00:34:16.047 --> 00:34:17.387]  The Secret Service came over to Biggs.
[00:34:18.339 --> 00:34:20.780]  They're like, hey, we love what you're doing with Hillary and all the rest of this stuff.
[00:34:20.800 --> 00:34:23.082]  By the way, she's got major medical problems.
[00:34:24.002 --> 00:34:25.743]  And do you know about them?
[00:34:26.004 --> 00:34:27.885]  And Biggs is like, well, no.
[00:34:28.925 --> 00:34:30.466]  I've seen Drudge talk about it and stuff.
[00:34:31.367 --> 00:34:32.507]  That's really when you first questioned it.
[00:34:33.588 --> 00:34:35.269]  There's a photo of Biggs and I at the RNC.
[00:34:35.349 --> 00:34:41.893]  And they told Biggs, well, in about three weeks, we're going to contact you or your boss and give you the inside scoop.
[00:34:42.393 --> 00:34:43.514]  But it'll be an intermediary.
[00:34:44.591 --> 00:34:46.191]  It actually wasn't the Secret Service after that.
[00:34:46.211 --> 00:34:48.492]  It was someone from another federal agency came to Austin.
[00:34:49.252 --> 00:34:54.834]  And I'm not going to get into the details, but it's like you see in movies where you meet in a parking garage, basically.
[00:34:56.294 --> 00:34:58.295]  This was in between two parking garages.
[00:34:59.075 --> 00:35:00.416]  And they told me the whole deal.
[00:35:00.456 --> 00:35:01.516]  She's had brain tumors.
[00:35:02.616 --> 00:35:07.038]  They have to take her off the medication so she can give a speech.
[00:35:08.158 --> 00:35:11.599]  But then when she goes off it, she has seizures up to every hour.
[00:35:12.813 --> 00:35:16.738]  You have to understand, I came on air in August with Joe Biggs.
[00:35:16.758 --> 00:35:17.980]  We've got to find those interviews.
[00:35:18.380 --> 00:35:21.043]  And I said, the Secret Service says she has a black ambulance.
[00:35:23.106 --> 00:35:24.948]  And that we've got to follow her around the country.
[00:35:25.885 --> 00:35:27.366]  And that we'll catch her collapsing.
[00:35:27.466 --> 00:35:29.867]  And that they have tents in case she collapses.
[00:35:31.268 --> 00:35:33.530]  Always set up behind wherever she's speaking.
[00:35:33.910 --> 00:35:38.152]  Well, Millie Weaver, a few weeks later, caught him again in Cleveland.
[00:35:38.192 --> 00:35:39.133]  She traveled to Cleveland.
[00:35:39.653 --> 00:35:42.015]  And Hillary was in a tent for an hour, later came out.
[00:35:42.075 --> 00:35:43.435]  We've got those reports somewhere.
[00:35:43.455 --> 00:35:44.796]  A lot of you heard them or saw them.
[00:35:47.818 --> 00:35:49.119]  And then, we didn't catch it.
[00:35:51.040 --> 00:35:51.820]  We didn't catch it.
[00:35:53.862 --> 00:35:54.102]  But...
[00:35:55.506 --> 00:36:02.094]  Who did catch it, uh, was a Dutch videographer on 9-11.
[00:36:02.714 --> 00:36:08.201]  A Dutch videographer on 9-11, just a month later or less, in D.C.
[00:36:08.221 --> 00:36:13.767]  when she falls down and has the convulsion and they throw her in the back of the car, uh, like a side of beef.
[00:36:15.329 --> 00:36:16.130]  I shot a special
[00:36:17.406 --> 00:36:46.866]  Report on this yesterday and I guess we got busy or whatever but in the special report We didn't add her collapsing into the black ambulance We're gonna add that to the special report and we're gonna air that at the end of the show today And and we also were unable to dig up the original Millie Weaver report Where she's collapsed inside the tent you'd think something like that would be like Re-airing old Super Bowl clips or something, but I will assure you
[00:36:48.436 --> 00:36:50.418]  That I could find the videos.
[00:36:51.198 --> 00:36:54.681]  And so, I'm going to stay here tonight, one way or the other.
[00:36:54.701 --> 00:36:56.803]  Because I was up here all day yesterday.
[00:36:57.603 --> 00:36:59.685]  And they found the video.
[00:36:59.905 --> 00:37:02.487]  They just put another shot of another ambulance following her.
[00:37:03.768 --> 00:37:05.450]  We broke the black ambulance.
[00:37:06.751 --> 00:37:09.633]  Bigger than Dallas, Texas here, in probably 10 shows.
[00:37:11.094 --> 00:37:12.935]  And then it all happened just like we said.
[00:37:13.196 --> 00:37:15.838]  Now, guess who does know how accurate we are?
[00:37:16.701 --> 00:37:17.602]  Hillary Rodham Clinton.
[00:37:17.982 --> 00:37:19.664]  That's why she's financed all these lawsuits.
[00:37:19.924 --> 00:37:21.325]  It's why she basically wants me dead.
[00:37:21.946 --> 00:37:25.489]  If anything happens to me, her and her criminal combine are the number one suspects.
[00:37:27.230 --> 00:37:31.214]  But, we're gonna find the old Joe Biggs interviews and my announcements here.
[00:37:32.035 --> 00:37:32.755]  From August 2016.
[00:37:33.196 --> 00:37:35.838]  If you can find them on YouTube or something, send them to us.
[00:37:36.078 --> 00:37:37.660]  Remember, all our YouTube stuff got taken down.
[00:37:38.260 --> 00:37:39.922]  We've got it somewhere here in our archives.
[00:37:41.260 --> 00:37:47.124]  And we're going to show you where I laid out the specifics of she has a black ambulance before it had ever been seen.
[00:37:48.325 --> 00:37:50.207]  And how she's fallen down every hour or so.
[00:37:50.647 --> 00:37:52.208]  And then magically a month later it happened.
[00:37:52.568 --> 00:37:54.390]  Because, why am I bringing up this old news?
[00:37:55.655 --> 00:38:03.199]  I got a call from similar type folks that have given us good info before, and they said, listen, Joe Biden's mad the Democrats are throwing him under the bus.
[00:38:03.759 --> 00:38:05.880]  He's mad that they're pulling up all these race car things.
[00:38:06.541 --> 00:38:07.741]  He's having a lot of health problems at 76.
[00:38:07.801 --> 00:38:09.062]  He's slurring his words.
[00:38:09.462 --> 00:38:13.084]  He's shooting his mouth off behind the scenes saying, I'm going to drop out.
[00:38:13.364 --> 00:38:13.824]  F this.
[00:38:14.985 --> 00:38:16.286]  These people don't appreciate me.
[00:38:16.626 --> 00:38:18.507]  Screw the Democratic Party if they keep this up.
[00:38:18.867 --> 00:38:20.488]  I'm going to bring dirt on everybody.
[00:38:22.051 --> 00:38:35.355]  I'm being told this last Wednesday, then I see on Friday night a speech he gave where he's slurring his words, he can't talk, and he says, why am I here?
[00:38:35.395 --> 00:38:36.035]  Why am I doing this?
[00:38:36.055 --> 00:38:37.215]  He just walks off the stage.
[00:38:37.976 --> 00:38:42.117]  So I shot a special report last night on this.
[00:38:43.383 --> 00:38:46.505]  And we're going to update it a little bit with a few of the clips I just mentioned.
[00:38:47.205 --> 00:38:49.486]  And then we're going to air that in the last two segments tonight.
[00:38:50.286 --> 00:38:53.208]  Because I'm not saying 100% he is going to drop out.
[00:38:54.608 --> 00:39:04.373]  But the same caliber of sources told us that he's saying he's planning to.
[00:39:05.353 --> 00:39:08.114]  And if you look at where everything's going, I think that sounds very, very credible.
[00:39:09.035 --> 00:39:09.435]  Now listen.
[00:39:11.570 --> 00:39:14.711]  I went out on a limb three years ago, three plus years ago.
[00:39:14.731 --> 00:39:20.552]  I guess right about three years ago now, when the RNC was happening.
[00:39:20.572 --> 00:39:24.473]  Like, didn't Trump even give his speech like tonight, three years ago?
[00:39:25.634 --> 00:39:26.014]  I forget.
[00:39:26.034 --> 00:39:27.434]  But the point is, right around this time.
[00:39:28.334 --> 00:39:38.097]  But the Secret Service by then hated Hillary so much that we were being cheered all over the city of Cleveland going through Secret Service checkpoints.
[00:39:40.111 --> 00:39:44.815]  We'd get pulled over going through the checkpoints with our Cleveland PD escorts.
[00:39:45.535 --> 00:39:57.925]  They, you know, sometimes look at the back and see all our guns and wave us through, but the point is, is that this was Secret Service telling us that we were going to get this information and I was behind the scenes being told this.
[00:39:58.385 --> 00:39:59.026]  Biggs was told it.
[00:39:59.166 --> 00:40:00.006]  I was also told it.
[00:40:00.127 --> 00:40:01.568]  So I was waiting for the info.
[00:40:01.928 --> 00:40:05.050]  It came through and it was solid gold.
[00:40:06.772 --> 00:40:08.033]  Now, I was also told
[00:40:09.867 --> 00:40:16.371]  About Lolita Express, and about Jeffrey Epstein, and about the flight logs, and about all the kids, and about the initials on the flight logs.
[00:40:16.751 --> 00:40:31.660]  And Dan Bongino on this show, like, four years ago, in the middle of the campaign, said, Hillary better watch it, because a lot of Secret Service agents saw what was going on, raised the alarm, so Bill Clinton stopped carrying his Secret Service detail with him.
[00:40:32.400 --> 00:40:37.103]  So, oh, Fox News, the Wall Street Journal, New York Times, everything you know about Jeffrey Epstein.
[00:40:38.211 --> 00:40:40.252]  I told you about Jeffrey Epstein 10 years ago.
[00:40:40.973 --> 00:40:52.120]  Now he was a CIA, Deep State, slash possibly Mossad person using sex operatives and underage kids to frame people for international espionage.
[00:40:52.741 --> 00:40:53.962]  That's now come out in the news.
[00:40:55.222 --> 00:40:57.684]  And we told you about his island 10 years ago.
[00:40:58.084 --> 00:41:00.266]  And we had guest on that told you about the flight logs.
[00:41:01.046 --> 00:41:01.567]  All of this.
[00:41:02.267 --> 00:41:07.791]  Hell, we were talking about the flight logs and all this four years ago with Roger Stone.
[00:41:09.096 --> 00:41:09.977]  He wrote a book about it.
[00:41:10.117 --> 00:41:11.658]  So you've got it all here first.
[00:41:11.738 --> 00:41:25.009]  So when I get up here and I shoot a special report saying our high-level sources say Biden's shooting his mouth off about quitting, you can see it in videos where Democrats come over and go, you hate Mexicans!
[00:41:25.369 --> 00:41:26.790]  You deported 3 billion people!
[00:41:26.810 --> 00:41:30.533]  And he goes, first off, a bunch of them weren't Mexicans, and a lot of them were murderers and killers.
[00:41:30.794 --> 00:41:31.594]  What are you supposed to do?
[00:41:31.874 --> 00:41:32.595]  I'm proud of that.
[00:41:32.875 --> 00:41:34.136]  They just start screaming at him.
[00:41:35.517 --> 00:41:37.699]  And Biden has basically just had enough.
[00:41:39.758 --> 00:41:41.479]  Are my sources suddenly lying to me?
[00:41:41.659 --> 00:41:43.520]  Well, all they gave me was good info before.
[00:41:43.880 --> 00:41:46.381]  Maybe now they're giving, or maybe Biden doesn't mean it.
[00:41:46.401 --> 00:41:47.361]  Maybe he's throwing a fit.
[00:41:48.702 --> 00:41:51.223]  I probably say every day around the office, I ought to just quit.
[00:41:51.483 --> 00:41:52.003]  I don't mean it.
[00:41:52.683 --> 00:41:55.144]  But this is big news.
[00:41:55.164 --> 00:41:56.705]  I mean, we don't make stuff up.
[00:41:56.965 --> 00:41:58.866]  We said she's got a black ambulance.
[00:41:59.226 --> 00:42:00.807]  She's falling down every hour.
[00:42:01.467 --> 00:42:04.148]  The Secret Service said, listen, that's all we're going to tell you.
[00:42:05.349 --> 00:42:07.089]  Look into her having brain surgeries for tumors.
[00:42:07.129 --> 00:42:07.850]  That's already on record.
[00:42:08.735 --> 00:42:12.397]  And they said, just go research it.
[00:42:12.457 --> 00:42:13.578]  And you've got a lot of crew, right?
[00:42:14.078 --> 00:42:15.579]  Just follow her around the campaign trail.
[00:42:16.220 --> 00:42:18.421]  Follow the ambulances, follow the medical tents.
[00:42:18.681 --> 00:42:19.802]  They're having to help her walk.
[00:42:20.602 --> 00:42:21.943]  They've got to take her off the drugs.
[00:42:22.483 --> 00:42:28.167]  They said, we're not exactly sure if it's a brain tumor back or what it is, but she's going downhill.
[00:42:31.096 --> 00:42:32.337]  And it happened.
[00:42:33.057 --> 00:42:33.798]  It was all there.
[00:42:34.198 --> 00:42:36.739]  It all happened exactly the way we said it.
[00:42:36.779 --> 00:42:37.940]  I'm gonna find the articles.
[00:42:38.560 --> 00:42:39.541]  Now I'm gonna find the videos.
[00:42:39.581 --> 00:42:41.082]  The headline to search would be something like this.
[00:42:42.530 --> 00:42:45.674]  Secret Service says Hillary Clinton having convulsions.
[00:42:45.834 --> 00:42:46.715]  InfoWars.com.
[00:42:47.396 --> 00:42:47.936]  But does it matter?
[00:42:48.377 --> 00:42:49.358]  I will find it.
[00:42:49.978 --> 00:42:50.859]  I will get it.
[00:42:51.640 --> 00:42:52.501]  I will play it!
[00:42:52.521 --> 00:42:57.947]  If the hair lifts the Admiral and the water rises over Bear Creek, we are still going to give you that.
[00:42:58.527 --> 00:43:00.570]  Back to the Antifa Manifesto when we come back.
[00:43:02.486 --> 00:43:08.411]  In a time where your body is constantly under attack by outside toxins, irregularity can be a nightmare.
[00:43:08.611 --> 00:43:14.796]  That's why InfoWars Life created Regulize Complete to relieve intestinal issues in a gentle way.
[00:43:15.117 --> 00:43:17.619]  Often a result of poor diet and lifestyle habits.
[00:43:17.839 --> 00:43:21.241]  An occasionally constipated colon can cause massive problems.
[00:43:21.541 --> 00:43:27.744]  Our researchers combined ancient ingredients traditionally used to combat these issues in an affordable way.
[00:43:28.025 --> 00:43:34.068]  Other harsh, stimulant laxatives can create massive discomfort in trying to solve intestinal issues.
[00:43:34.588 --> 00:43:41.554]  But Regulize Complete was made to be taken in a daily overnight colon cleanse to help you reach optimal gut and colon health.
[00:43:41.834 --> 00:43:48.719]  Our gentle, natural laxative, unlike other laxative products, our low dose is safe enough for year-round consumption.
[00:43:48.900 --> 00:43:53.283]  Don't let intestinal distress and occasional constipation get the jump on you.
[00:43:53.763 --> 00:44:01.890]  Start your colon cleansing for a healthier, happier gut today with Regulize Complete, available at infowarestore.com.
[00:44:02.470 --> 00:44:04.631]  I said one time, who's in charge here?
[00:44:05.311 --> 00:44:08.412]  And I think the congressman's right about that fact.
[00:44:09.473 --> 00:44:10.673]  Jerry, do you want some?
[00:44:10.693 --> 00:44:11.414]  Yeah, I got some.
[00:44:11.954 --> 00:44:12.374]  Here, Jerry.
[00:44:13.054 --> 00:44:13.775]  Take a drink.
[00:44:13.795 --> 00:44:17.896]  You look a little dehydrated, brother.
[00:44:17.936 --> 00:44:19.237]  You seem a little dehydrated.
[00:44:19.297 --> 00:44:19.617]  You okay?
[00:44:20.570 --> 00:44:27.802]  It took a little longer on the floor than I had anticipated in the custody of the border patrol.
[00:44:28.423 --> 00:44:34.272]  Everyone started sending signals to US, Mexico, Canada.
[00:44:36.027 --> 00:44:37.528]  If that's not the accurate character.
[00:44:37.668 --> 00:44:40.409]  Some people call it AFTA-NAFTA, some call it NAFTA 2.0.
[00:44:40.449 --> 00:44:45.290]  We're working together to make past that.
[00:44:45.330 --> 00:44:46.751]  You seem a little dehydrated.
[00:44:46.791 --> 00:44:47.251]  Are you okay?
[00:44:48.031 --> 00:44:50.132]  Do you want to take a drink with us?
[00:44:50.452 --> 00:44:53.493]  So, but the president again stormed out.
[00:44:53.513 --> 00:44:55.394]  I think, what, first
[00:44:56.963 --> 00:44:58.583]  Pound the table, walk out the door.
[00:44:58.903 --> 00:45:04.164]  But I intend not to... We're the three things.
[00:45:04.204 --> 00:45:04.724]  Three things.
[00:45:04.964 --> 00:45:05.484]  Three things.
[00:45:05.605 --> 00:45:09.345]  You want to take a drink of this to give yourself some?
[00:45:09.445 --> 00:45:11.746]  How you feel, ma'am?
[00:45:13.266 --> 00:45:15.206]  You feel okay?
[00:45:15.666 --> 00:45:16.826]  You all right?
[00:45:16.846 --> 00:45:20.107]  You want to drink some of this to give yourself some?
[00:45:20.147 --> 00:45:23.228]  How you feel, ma'am?
[00:45:24.728 --> 00:45:25.408]  You feel okay?
[00:45:26.638 --> 00:45:29.019]  We can walk and chew gum at the same time.
[00:45:29.299 --> 00:45:30.299]  I hope he can, too.
[00:45:30.520 --> 00:45:41.904]  I want to just put out a message right now to the Democrats because, look, your leaders, Nancy Pelosi and Jerry Nadler, are struggling.
[00:45:42.864 --> 00:45:46.346]  And so we've got Brain Force Plus at Infowarsstore.com.
[00:45:47.266 --> 00:45:54.269]  And if there has ever been an example of somebody that needs Brain Force Plus, the neural activator, it's Nancy Pelosi.
[00:45:55.330 --> 00:45:56.291]  And it's Jerry Nadler.
[00:45:56.531 --> 00:46:00.493]  Now, unfortunately, we're not miracle workers here.
[00:46:01.394 --> 00:46:06.517]  And we can only do so much with our great supplements at InfoWarsTore.com.
[00:46:07.257 --> 00:46:14.842]  But if there's any hope at all for Nancy Pelosi or Jerry Nadler to get their brain working, it's Brain Force Plus from InfoWarsTore.com.
[00:46:15.422 --> 00:46:20.265]  And if you're ever feeling like a Pelosi or a Nadler and you can't think or talk straight,
[00:46:21.391 --> 00:46:21.811]  Or move.
[00:46:22.792 --> 00:46:26.354]  Brain Force Plus is the answer.
[00:46:26.454 --> 00:46:31.157]  So don't be a Pelosi and fumble and bumble through a press conference like a gibbering idiot.
[00:46:31.678 --> 00:46:37.441]  Don't be a Jerry Nadler who can't even think or pick his head up and look forward during a press conference.
[00:46:39.082 --> 00:46:42.685]  Go to Infowarsstore.com and get yourself some Brain Force Plus.
[00:46:43.973 --> 00:46:46.715]  You don't want to look like Pelosi, okay?
[00:46:46.735 --> 00:46:48.015]  You don't want to look like Nadler.
[00:46:48.356 --> 00:46:49.236]  You want to look sharp.
[00:46:49.356 --> 00:46:50.437]  You want your mind to be sharp.
[00:46:50.717 --> 00:46:54.779]  So go to Infowarsstore.com and get your BrainForce Plus today.
[00:47:06.326 --> 00:47:08.947]  You're listening to the Alex Jones Show.
[00:47:14.401 --> 00:47:28.261]  Resistance to tyrants is obedience to God.
[00:47:29.062 --> 00:47:30.884]  It's Alex Jones.
[00:47:33.473 --> 00:47:39.858]  Ladies and gentlemen, so much news is breaking at Infowars.com and Newswars.com that I can't even keep track of it.
[00:47:40.619 --> 00:47:51.227]  We have stacks of articles where Hollywood scum and others have called for burning down ICE facilities, where Antifa has called for it, Ilhan Omar has called for eradicating the existence
[00:47:52.768 --> 00:47:59.572]  We have another video where she says that she's a better American than natural born, that she's going to teach you how to be an American.
[00:48:00.313 --> 00:48:02.754]  Her evil is only outdone by her arrogance.
[00:48:03.675 --> 00:48:05.556]  It is simply insane.
[00:48:07.461 --> 00:48:08.582]  Simply insane.
[00:48:09.042 --> 00:48:13.084]  So we're going to be going over all of that in his manifesto here in just a moment.
[00:48:13.504 --> 00:48:17.687]  You know, I mentioned our articles and videos from August of last year.
[00:48:17.707 --> 00:48:31.895]  I mean, August of 2016, three years ago, saying that Hillary Clinton was having convulsions and collapsing, according to Secret Service, being put into a black special ambulance.
[00:48:32.947 --> 00:48:40.310]  Well, the video, the articles, the photos are all right here on InfoWars.com.
[00:48:40.750 --> 00:48:42.771]  That's InfoWars.com.
[00:48:43.231 --> 00:48:44.811]  InfoWars.com.
[00:48:45.492 --> 00:48:49.393]  Secret service leaks Hillary's health to the press.
[00:48:50.213 --> 00:48:59.697]  This is our article, and I'm going to find the interviews I did specifically saying black ambulance before it was ever seen, and one month before she collapsed.
[00:49:01.104 --> 00:49:01.864]  Why am I saying that?
[00:49:02.345 --> 00:49:11.249]  The same type of sources have given us other good information say Biden is saying he's going to frop out of the race.
[00:49:12.669 --> 00:49:14.490]  Now maybe he's only angry.
[00:49:15.391 --> 00:49:16.471]  The way he's been thrown under the bus.
[00:49:16.571 --> 00:49:22.454]  I don't know but that's what we've run with because it's come from sources that
[00:49:24.935 --> 00:49:25.996]  We're real Secret Service.
[00:49:26.896 --> 00:49:30.518]  And so, if they were wrong, I would just say they're wrong.
[00:49:30.618 --> 00:49:31.718]  But it's still a credible source.
[00:49:32.459 --> 00:49:33.199]  Nobody's perfect.
[00:49:33.299 --> 00:49:34.179]  People change their minds.
[00:49:35.680 --> 00:49:37.641]  But why would they say she's in a black ambulance?
[00:49:38.161 --> 00:49:39.522]  And just look for the black ambulance.
[00:49:40.062 --> 00:49:41.883]  And that she's having convulsions all the time.
[00:49:42.824 --> 00:49:43.864]  Joe Biggs was told this.
[00:49:44.584 --> 00:49:45.285]  I was told this.
[00:49:46.325 --> 00:49:47.726]  I was told I was going to be given more info.
[00:49:49.192 --> 00:49:51.973]  Then the meeting was, why aren't you catching it?
[00:49:52.093 --> 00:49:52.674]  It's happening.
[00:49:52.814 --> 00:49:54.995]  Just put your reporters on her ass!
[00:49:56.255 --> 00:49:57.216]  The rest of the media knows.
[00:49:57.556 --> 00:49:58.656]  The left's covering it all up.
[00:49:58.976 --> 00:50:01.397]  And it turned out we would catch her falling down and being picked up.
[00:50:01.437 --> 00:50:03.138]  We'd catch her shaking and disappearing.
[00:50:03.178 --> 00:50:04.119]  We caught it in Austin.
[00:50:04.359 --> 00:50:05.299]  We caught it in Cleveland.
[00:50:06.840 --> 00:50:08.020]  But somebody else caught it.
[00:50:08.641 --> 00:50:13.663]  Again, just a citizen journalist from the Netherlands when she completely collapsed having a convulsion.
[00:50:13.883 --> 00:50:16.444]  So, I'm already digressing into this, aren't I?
[00:50:17.688 --> 00:50:22.371]  When I tell you that this is big, that they're saying Joe Biden is saying, I'm sick of this.
[00:50:22.471 --> 00:50:23.411]  Why am I doing this?
[00:50:23.891 --> 00:50:24.812]  I want to get out of this.
[00:50:24.852 --> 00:50:26.213]  The Democratic Party are idiots.
[00:50:26.793 --> 00:50:28.134]  They are destroying themselves.
[00:50:28.334 --> 00:50:29.435]  They are morons.
[00:50:29.735 --> 00:50:34.998]  It's the same thing that Pelosi's saying to Ilhan Omar and AOC and the rest of them.
[00:50:35.598 --> 00:50:39.180]  And so maybe he's just venting, but that story's on Infowars.com.
[00:50:39.660 --> 00:50:44.223]  I didn't just grab that out of the air and then just decide to say that.
[00:50:46.806 --> 00:50:55.014]  Now, there's a story at Infowars.com and Newswars.com that just broke.
[00:50:55.954 --> 00:50:57.456]  It just broke, ladies and gentlemen.
