[00:00:09.057 --> 00:00:10.989]  Live from Austin, Texas.
[00:24:56.206 --> 00:25:00.368]  Which is a great product to replace X2, which we didn't think we would be able to manufacture anymore.
[00:25:01.248 --> 00:25:12.414]  And then there was just the increased demand for X2, and we still had a bunch of the X3, but the demand was for the X2, so we basically just marketed ourselves out of selling X3, so now we're just giving it to you for free!
[00:25:13.735 --> 00:25:15.556]  We just ask that you purchase a bottle of X2.
[00:25:17.376 --> 00:25:18.397]  And you get the bottle of X3.
[00:25:19.838 --> 00:25:22.419]  And we appreciate your sponsorship.
[00:25:23.820 --> 00:25:26.181]  And shopping with the good guys at Infowarsstore.com.
[00:25:26.201 --> 00:25:33.306]  You know those water filters that certain people tell you not to buy from us because I guess they want you to drink the poisoned water.
[00:25:36.608 --> 00:25:38.849]  I guess they want you to drink those glyphosates.
[00:25:38.969 --> 00:25:43.112]  I guess they want you to drink that runoff.
[00:25:43.412 --> 00:25:46.474]  But actually, I'm starting to see now some of these
[00:25:48.032 --> 00:25:54.476]  Leftist activists that are getting sick of the politics are now kind of looking at the stuff in the water for real.
[00:25:55.437 --> 00:25:57.678]  So that may kind of come full circle.
[00:25:59.980 --> 00:26:02.061]  But that's just stuff that InfoWars has always been doing.
[00:26:02.081 --> 00:26:02.842]  We're not left or right.
[00:26:02.882 --> 00:26:07.185]  We're just truth, reality, common sense, logic, and reasoning.
[00:26:08.260 --> 00:26:09.560]  And that's why they want to shut down.
[00:26:10.180 --> 00:26:14.341]  And so when you shop with us at InfoWarsStore.com, you literally keep us on air, folks.
[00:26:14.681 --> 00:26:16.561]  And it's beyond that.
[00:26:16.681 --> 00:26:21.642]  It's just like, Alex is trying to build a ship just to compete against the enemy.
[00:26:23.703 --> 00:26:27.243]  And so, you're building it at InfoWarsStore.com.
[00:26:28.143 --> 00:26:28.544]  Alright.
[00:26:30.364 --> 00:26:32.944]  Now this report that I'm going to air in the next segment is so key.
[00:26:35.085 --> 00:26:36.745]  I... Oh man.
[00:26:38.208 --> 00:26:39.789]  Well, we'll do that later.
[00:26:40.710 --> 00:26:49.755]  You had the Tommy Robinson event where a bunch of... I mean, honestly, I don't even know what the heck.
[00:26:50.015 --> 00:26:50.996]  It's so out of control.
[00:26:52.057 --> 00:26:58.941]  How you have Muslims, I guess, inciting... What do you call it?
[00:26:59.041 --> 00:26:59.961]  Is it civil war?
[00:26:59.981 --> 00:27:00.442]  Is it... Is it...
[00:27:02.777 --> 00:27:03.778]  An invasion?
[00:27:03.798 --> 00:27:05.439]  I mean, I don't even know what you call this.
[00:27:05.520 --> 00:27:07.822]  Is it a religious caliphate?
[00:27:07.862 --> 00:27:08.983]  Is it all the above?
[00:27:09.583 --> 00:27:12.826]  Muslim Defense League throws bricks at Tommy Robinson and supporters.
[00:27:15.128 --> 00:27:19.212]  They're throwing eggs and bricks and cursing and getting violent.
[00:27:19.252 --> 00:27:20.813]  And oh, yeah.
[00:27:20.833 --> 00:27:22.234]  No, no, no.
[00:27:22.535 --> 00:27:23.596]  Nothing to see here.
[00:27:23.616 --> 00:27:28.420]  I mean, clown world, man.
[00:27:29.594 --> 00:27:31.454]  Total clown world.
[00:27:32.015 --> 00:27:33.255]  So we've got that video.
[00:27:34.435 --> 00:27:37.256]  Again, but the report that I'm going to air in the next segment is just so key.
[00:27:37.716 --> 00:27:46.758]  We've got two of them that we need to air with the investigations going on into the Obama administration committing treason.
[00:27:53.339 --> 00:27:55.720]  You know, I kind of...
[00:28:00.703 --> 00:28:15.963]  I actually had a weird dream the other night, and I'll be honest, most of my dreams are not very pleasant, but I had a pleasant dream the other night that Trump had a raised platform on the White House grounds and he had a podium over here
[00:28:17.349 --> 00:28:32.693]  And there was a big raised platform with a box on it and there was a cover over the box and they removed the sheet and it was Obama and Hillary and Holder and Brennan and Clapper and Comey and Lynch all in that cage.
[00:28:33.233 --> 00:28:35.934]  And Trump was just standing there like, here you go!
[00:28:37.185 --> 00:28:46.849]  So it's not like, I mean, we're not as archaic as we used to be, you know, put their heads on a pike or hang them from the nearest highest tree in the middle of the town square, you know.
[00:28:47.569 --> 00:28:56.272]  We just roll them out in a big prison cell for the public to see and the president's like, see, I got the traitorous bastards.
[00:28:56.552 --> 00:28:58.173]  I got the treasonous bastards.
[00:28:58.533 --> 00:29:00.094]  That's why we elected him right there.
[00:29:00.494 --> 00:29:01.054]  Hope it happens.
[00:29:02.571 --> 00:29:13.318]  Alex Jones, Milo Yiannopoulos, Paul Joseph Watson, Louis Farrakhan, Laura Loomer, all of them were designated dangerous individuals and banned from Facebook and from a subsidiary Instagram.
[00:29:13.818 --> 00:29:18.801]  Alex Jones' company InfoWars was banned as well and described as a dangerous organization.
[00:29:19.361 --> 00:29:20.362]  Didn't explain exactly how.
[00:29:21.687 --> 00:29:23.168]  How dangerous is InfoWars?
[00:29:23.188 --> 00:29:32.392]  Well, Facebook believes it's so dangerous that you can be banned from using the platform, Facebook, just for sharing its content unless you simultaneously denounce it.
[00:29:32.912 --> 00:29:37.514]  Now that they kicked them off the platform, that's great for now, but it doesn't roll back the clock.
[00:29:37.774 --> 00:29:41.235]  Well, you have also excesses in the First Amendment and the Second Amendment right now.
[00:29:41.655 --> 00:29:49.879]  You know, I don't think that the forefathers said, well, you can say, you know, all sorts of hateful things and spread it around the world, literally spread it through the Internet.
[00:29:50.359 --> 00:29:51.680]  I have no issue with it at all.
[00:29:51.920 --> 00:29:52.920]  I want them shut down.
[00:29:52.940 --> 00:29:53.881]  I want them silenced.
[00:29:53.941 --> 00:29:54.721]  I want them muted.
[00:29:54.761 --> 00:29:56.582]  I think they are horrible for our society.
[00:29:56.922 --> 00:29:58.263]  I want them shut down!
[00:29:58.283 --> 00:29:59.724]  I want them silenced!
[00:29:59.824 --> 00:30:00.584]  I want them muted!
[00:30:00.864 --> 00:30:02.305]  This isn't just censorship.
[00:30:02.965 --> 00:30:19.854]  This is a digital, AI-enforced gag order against 2.2 billion users on Facebook not to say the name Alex Jones or InfoWars.com unless they disparage it.
[00:30:20.990 --> 00:30:33.040]  So it's a prohibitive gag order saying you will not say these words unless you comply with the behavioral modification we want and decry it.
[00:30:33.960 --> 00:30:34.541]  Put it down.
[00:30:35.322 --> 00:30:39.045]  This is a digital tech giant, the biggest thing in world history.
[00:30:40.362 --> 00:30:42.244]  Bigger than any one nation's population.
[00:30:42.284 --> 00:30:44.565]  Bigger than any continent's population.
[00:30:44.585 --> 00:30:45.806]  2.2 billion nation.
[00:30:46.587 --> 00:30:50.610]  Telling them, you will only attack this person or this website.
[00:30:51.030 --> 00:30:53.672]  That is unprecedented in the annals of history.
[00:30:53.993 --> 00:30:58.296]  And all the major western universities have banned mainline conservative speeches.
[00:30:59.497 --> 00:31:00.478]  They're attacking people.
[00:31:00.518 --> 00:31:04.461]  The white professors are saying that there's no whites weekends.
[00:31:04.901 --> 00:31:08.064]  And professors that refuse to leave are thrown out of the colleges.
[00:31:09.420 --> 00:31:20.146]  This is a Maoist doctrine adopted by big tech with charters through the universities the last 15 years to create the new management class for big tech.
[00:31:20.727 --> 00:31:28.371]  So what you're seeing is the exportation of the tyranny that's going on on these campuses to the rest of the nation and the rest of the world.
[00:31:28.711 --> 00:31:30.693]  That's why I say it's a Maoist communist model.
[00:31:31.113 --> 00:31:35.716]  Because Mao used the universities as the invasion point to take over and enforce.
[00:31:36.656 --> 00:31:39.817]  That's not how the Russians or others did it.
[00:31:40.777 --> 00:31:55.902]  And so this is mega-rich, 76 billion dollars, divorced from reality, Zuckerberg, defaming me and my family, saying that I'm this horrible white supremacist and I'm dangerous, in a category of serial killers and murderers.
[00:31:56.643 --> 00:31:57.883]  That's the only groups banned on there.
[00:31:59.682 --> 00:32:04.125]  And then taking my speech away, but saying, oh, but you can talk about it if you attack it.
[00:32:04.785 --> 00:32:09.668]  And then the Republicans, the addled Congress, goes, we wonder if they've gone too far.
[00:32:10.268 --> 00:32:12.130]  You wonder if they've gone too far.
[00:32:12.890 --> 00:32:14.991]  Ladies and gentlemen, this is a total takeover.
[00:32:15.412 --> 00:32:16.832]  The AI's already kicked in.
[00:32:17.533 --> 00:32:19.354]  All these big tech companies are working together.
[00:32:19.374 --> 00:32:21.035]  It's cartel activity.
[00:32:21.435 --> 00:32:22.756]  It's false advertising.
[00:32:22.936 --> 00:32:25.618]  They've lied to Congress and said that they never censor anybody.
[00:32:26.610 --> 00:32:28.492]  Now they're out in the open censoring everyone.
[00:32:29.373 --> 00:32:39.425]  The way to fight back is to support Infowars now more than ever and make it a standard of freedom and free speech and understand that if they believe they can take us down, they'll take everybody else down.
[00:32:39.866 --> 00:32:41.347]  Because they admit they plan to do this.
[00:32:42.188 --> 00:32:49.371]  With millions of people, it's the Chinese communist social score that Facebook and Google have been working on for years with Apple in China.
[00:32:49.911 --> 00:32:57.355]  And they're now just deploying it here, starting it with Alex Jones and a few others, hoping you won't defend me when you're putting your own neck in a noose.
[00:32:57.855 --> 00:33:00.296]  I'm live at InfoWars.com and I'm fighting back.
[00:33:00.576 --> 00:33:01.477]  Please spread the word.
[00:33:06.299 --> 00:33:08.960]  You're listening to the Alex Jones Show.
[00:33:23.959 --> 00:33:25.360]  You want to stop tyranny?
[00:33:25.620 --> 00:33:26.801]  Well, so does he.
[00:33:27.361 --> 00:33:28.742]  It's Alex Jones.
[00:33:29.283 --> 00:33:32.345]  And now, your host, Owen Troyer.
[00:33:36.988 --> 00:33:46.054]  You know, on any given day, you could pick one of five to ten issues as the biggest issue right now.
[00:33:46.074 --> 00:33:48.496]  I mean, go down the list.
[00:33:48.936 --> 00:33:50.157]  The attack on the First Amendment.
[00:33:50.177 --> 00:33:51.498]  The attack on the Second Amendment.
[00:33:52.970 --> 00:34:00.314]  The open treason and politicization, really beyond that, of our intelligence agencies.
[00:34:01.755 --> 00:34:08.479]  The wide open borders that are leading to death and disease in this country and poverty and economic distress.
[00:34:12.221 --> 00:34:14.142]  There's others, I don't know, I can't even name it.
[00:34:14.502 --> 00:34:20.145]  They sit here and they talk about global warming killing the earth, but they never mention the geoengineering.
[00:34:21.527 --> 00:34:25.028]  The cloud seeding, the chemtrails, they just act like it doesn't exist.
[00:34:26.969 --> 00:34:35.892]  So... Oh, and by the way, we have a presidential election coming up in about, uh, 16 or so months, so there you go.
[00:34:36.333 --> 00:34:36.773]  So, yeah.
[00:34:38.833 --> 00:34:47.957]  So, uh, by the way, they're, uh, teaching your kids about, uh, drag queen transsexual story time.
[00:34:48.635 --> 00:34:49.595]  So that's all going on.
[00:34:49.675 --> 00:34:53.957]  So, I mean, depending on any given day, what's the biggest story?
[00:34:54.037 --> 00:34:58.138]  I mean, there's a bombshell report that just came out.
[00:34:58.878 --> 00:35:01.979]  This should honestly, Trump should honestly just go live.
[00:35:02.299 --> 00:35:03.019]  It's kind of a joke.
[00:35:05.900 --> 00:35:09.321]  They just found out, folks, they're running a pilot test, and it's just in Texas.
[00:35:09.341 --> 00:35:10.781]  30%, so almost a third,
[00:35:14.292 --> 00:35:19.676]  DNA tests reveal 30% of suspected fraudulent migrant families were unrelated.
[00:35:20.096 --> 00:35:24.719]  So yeah, just as we suspected, people are using children to get into this country.
[00:35:25.659 --> 00:35:31.723]  So maybe we'll have more on that later, but I've got to air these reports because they're just so bombshell, and again, it's just so important to get to.
[00:35:37.767 --> 00:35:38.308]  And again,
[00:35:39.215 --> 00:35:46.759]  To the Democrats that love using the kids, they don't use the kids as a political barrier when it comes to abortion.
[00:35:47.219 --> 00:35:51.241]  They don't use the kids as a political barrier when it comes to the open borders.
[00:35:53.723 --> 00:35:54.223]  Mm-mm-mm.
[00:35:55.864 --> 00:36:00.346]  It's like, I hate doing that whole Democrat-Republican because I'm not a Republican.
[00:36:01.847 --> 00:36:07.630]  But it's just like, the Democrats are just dirtbag from the top to the bottom now.
[00:36:09.264 --> 00:36:09.504]  Wow.
[00:36:10.165 --> 00:36:12.847]  But I think some of them are going to jail.
[00:36:14.128 --> 00:36:16.330]  At least if there's any justice left in this world.
[00:36:16.891 --> 00:36:19.493]  So here is the latest report from John Bowne.
[00:36:20.173 --> 00:36:21.695]  Full report at InfoWars.com.
[00:36:21.775 --> 00:36:24.057]  Treasonous investigators investigated.
[00:36:25.664 --> 00:36:28.345]  Mr. Brennan has become a bit of a nutcase.
[00:36:29.145 --> 00:36:30.806]  You can watch him on television.
[00:36:31.346 --> 00:36:32.386]  He is insistent.
[00:36:32.746 --> 00:36:33.607]  He's belligerent.
[00:36:34.907 --> 00:36:41.409]  He really acts like a very guilty man, insisting, protesting a bit too much.
[00:36:43.902 --> 00:36:48.746]  Hey, Alex Jones is still on the air six days a week at InfoWars.com.
[00:36:48.986 --> 00:36:53.349]  Free video streams are available at InfoWars.com backslash show.
[00:36:53.629 --> 00:36:58.573]  Spread those links and be a part of the second American revolution against global tyranny.
[00:36:58.813 --> 00:37:00.615]  You are all Paul Revere.
[00:37:00.975 --> 00:37:06.259]  The finger pointing amongst the deep state coup minions is taking on feverish proportions.
[00:37:06.599 --> 00:37:21.336]  Former FBI Director Jim Comey, former CIA Director John Brennan, and former Director of National Intelligence James Clapper are fumbling with a hot potato of treason not seen in the United States history since the likes of Benedict Arnold.
[00:37:21.616 --> 00:37:50.579]  According to sources familiar with the records pertaining to the internal deep state collusion to create an insurance policy to take down newly elected President Trump, indicate that then FBI Director James Comey, according to a late 2016 email chain, told bureau subordinates that then CIA Director John Brennan insisted the Steele Hillary Clinton dossier be included in the intelligence community assessment on Russian interference.
[00:37:50.879 --> 00:37:57.445]  I do believe it's important that there be an understanding about just how strongly predicated that investigation was.
[00:37:57.645 --> 00:38:05.932]  I was there in the summer of 16 and it was very well predicated to launch this counterintelligence investigation about what the Russians were doing to interfere in our election.
[00:38:06.532 --> 00:38:09.776]  And who among American citizens might have been working with them?
[00:38:10.036 --> 00:38:11.398]  There was no proper predicate.
[00:38:11.758 --> 00:38:14.902]  There were no facts to sustain a counterintelligence investigation.
[00:38:15.322 --> 00:38:18.586]  And the facts that did exist were made up by the U.S.
[00:38:18.706 --> 00:38:25.193]  intelligence community, fed to the FBI through foreign sources, and then used to obtain FISA warrants.
[00:38:25.393 --> 00:38:39.903]  Another massive eye-opener just around the bend is the mounting evidence on former CIA director and self-proclaimed communist John Brennan's involvement with moving the Steele-Clinton dossier through corrupt channels in Washington, D.C.
[00:38:39.983 --> 00:38:42.145]  to attain illegal FISA warrants.
[00:38:42.285 --> 00:38:47.288]  First of all, Mr. Brennan is the primogenitor of this entire plot.
[00:38:48.729 --> 00:38:57.835]  All of this started with him insisting that there be an investigation by the FBI into Mr. Trump and his campaign with no evidence whatsoever.
[00:38:59.035 --> 00:39:14.545]  He enlisted, he Brennan, enlisted the services of foreign intelligence services to assist in planting evidence that would find its way to the FBI and eventually into applications for Foreign Intelligence Surveillance Act electronic warrants.
[00:39:15.605 --> 00:39:18.287]  Mr. Brennan has become a bit of a nutcase.
[00:39:19.088 --> 00:39:20.749]  You can watch him on television.
[00:39:21.270 --> 00:39:22.330]  He is insistent.
[00:39:22.691 --> 00:39:23.551]  He's belligerent.
[00:39:24.852 --> 00:39:31.397]  He really acts like a very guilty man, insisting, protesting a bit too much.
[00:39:31.677 --> 00:39:33.539]  Is this president letting our country down?
[00:39:34.648 --> 00:39:46.376]  Well, I think the President has shown a lack of understanding of international affairs, as well as a real ignorance of what it takes to be President of the United States.
[00:39:46.576 --> 00:39:56.683]  He's mean-spirited, he is dishonest, he has shown a lack of integrity, and he has continued to, I think, demean the office of the Presidency.
[00:39:59.082 --> 00:40:04.026]  behavior and actions on the part of foreign tyrants and despots.
[00:40:04.286 --> 00:40:07.729]  I never ever thought that I would see it here in the United States.
[00:40:07.829 --> 00:40:08.850]  Does CIA spy?
[00:40:08.950 --> 00:40:09.230]  Yes.
[00:40:09.671 --> 00:40:11.172]  Do we spy against our foreign adversaries?
[00:40:11.252 --> 00:40:11.512]  Yes.
[00:40:11.592 --> 00:40:13.854]  Do we spy against domestic individuals?
[00:40:13.974 --> 00:40:14.595]  No we do not.
[00:40:14.735 --> 00:40:16.297]  They spied on the Trump campaign.
[00:40:16.337 --> 00:40:17.518]  They spied on Carter Page.
[00:40:17.578 --> 00:40:19.239]  They spied on Papadopoulos.
[00:40:19.299 --> 00:40:20.761]  They spied on Sam Clovis.
[00:40:21.161 --> 00:40:26.166]  They were spying all over the place, weaponizing the powerful tools of intelligence.
[00:40:26.526 --> 00:40:31.031]  By the way, didn't Brennan seem awfully defensive for someone who has done nothing wrong?
[00:40:31.271 --> 00:40:45.855]  It was discovered in the last week some very fine reporting by John Solomon of The Hill that made a major memorandum concerning Christopher Steele had been hidden by the FBI from the Inspector General.
[00:40:46.355 --> 00:40:58.918]  That memorandum was written by a Deputy Assistant Secretary of State who said after meeting with her staff with Christopher Steele who came in to see them that he was basically a liar
[00:40:59.992 --> 00:41:10.892]  Unreliable, that he had a bias against the President and his campaign, that he wanted to hurt the President, that he helped Hillary Clinton, and that he wanted to get this information out before the election.
[00:41:12.543 --> 00:41:22.231]  This woman, the Deputy Assistant Secretary, her name was Kavalec, wrote a memo to the FBI and sent it to them immediately within 24 hours.
[00:41:23.072 --> 00:41:26.194]  The FBI, we now know, received it and did nothing about it.
[00:41:26.274 --> 00:41:42.127]  So even with all of the silencing of truth-seeking journalists and an ongoing violation of the premier law of the land, the Democrats still can't avoid the very serious investigation now in the very capable hands of John H. Durham, the United States Attorney in Connecticut.
[00:41:42.247 --> 00:41:43.949]  Now, this is what's really gonna be exposed, but...
[00:42:06.377 --> 00:42:07.918]  They'll never really be justice done.
[00:42:08.398 --> 00:42:11.679]  How they used Russia as the biggest excuse ever.
[00:42:11.699 --> 00:42:13.620]  I mean, that was the big justification.
[00:42:13.660 --> 00:42:16.201]  They're illegally spying, well, on everybody.
[00:42:16.281 --> 00:42:22.304]  But they targeted Donald Trump and his campaign totally illegally.
[00:42:22.384 --> 00:42:25.625]  They're caught red-handed and Russia was the victim.
[00:42:25.645 --> 00:42:29.507]  Oh, we're just protecting the country from Russia.
[00:42:30.587 --> 00:42:31.728]  We're just protecting
[00:42:33.308 --> 00:42:33.949]  From Russia.
[00:42:33.969 --> 00:42:34.769]  Mm-hmm.
[00:42:35.290 --> 00:42:35.690]  Yes.
[00:42:36.090 --> 00:42:36.491]  Yes.
[00:42:38.012 --> 00:42:45.879]  But, you know, it's funny because Brennan said something pretty revealing in that MSNBC clip about Trump not knowing how international affairs work.
[00:42:46.799 --> 00:42:55.487]  Well, what he's saying is that we've been corrupting international affairs for like a hundred years and Trump is trying to do it clean and that's unacceptable.
[00:42:56.347 --> 00:43:00.090]  John Brennan, you bastard, you belong in jail and you know it.
[00:43:03.260 --> 00:43:13.148]  Hey, by now I'm sure that most of you know that there are always big discounts and unbelievable savings on a regular basis at InfoWarsStore.com.
[00:43:13.328 --> 00:43:14.389]  But check this out.
[00:43:14.690 --> 00:43:20.915]  Now you can earn even bigger discounts at the InfoWars Store by using our Patriot Points
[00:43:21.235 --> 00:43:23.358]  Hey, you like the sound of that?
[00:43:23.638 --> 00:43:28.844]  It's our way of saying thank you, America, for supporting the InfoWar.
[00:43:29.125 --> 00:43:31.307]  Look, earning points is easy.
[00:43:31.468 --> 00:43:38.116]  All you gotta do is go to InfoWarStore.com and click on the Patriot Points button and sign up today.
[00:43:38.456 --> 00:43:40.617]  Spend one dollar, earn five points.
[00:43:40.837 --> 00:43:41.497]  It's that easy.
[00:43:41.537 --> 00:43:42.638]  So you're starting to get the picture here?
[00:43:42.678 --> 00:43:50.641]  This is a rewards program that gives you powerful discounts for buying your favorite products at the InfoWars store.
[00:43:50.881 --> 00:43:51.601]  So check it out!
[00:43:51.881 --> 00:43:55.583]  The Patriot Points Reward Program at InfoWarsStore.com.
[00:43:55.863 --> 00:43:56.363]  Or call 1-888-253-3139.
[00:43:56.403 --> 00:43:56.543]  Yep!
[00:44:08.757 --> 00:44:11.240]  Support the broadcast that tell the truth.
[00:44:11.640 --> 00:44:14.944]  Support the broadcast and do it as an act of will against the enemy.
[00:44:15.244 --> 00:44:19.729]  If they can shut this broadcast down, they have victory over free speech in totality.
[00:44:20.049 --> 00:44:20.570]  And they know that.
[00:44:20.650 --> 00:44:22.512]  And that's why everything we do is symbiotic.
[00:44:22.532 --> 00:44:28.137]  And that's why it's exciting to see people excited about the new products we have and things like Ultra 12.
[00:44:28.238 --> 00:44:29.899]  It's just a redesign of Secret 12.
[00:44:30.520 --> 00:44:32.181]  You change the formula, you're supposed to change the name.
[00:44:32.301 --> 00:44:35.243]  So it's Ultra 12 Advanced V12.
[00:44:35.423 --> 00:44:36.123]  It's amazing.
[00:44:36.183 --> 00:44:39.085]  You take it under the tongue to get better absorption.
[00:44:39.265 --> 00:44:42.086]  Infowarslive.com takes you right to the supplement page.
[00:44:42.187 --> 00:44:42.687]  It's 50% off.
[00:44:42.787 --> 00:44:44.688]  You cannot beat this.
[00:44:44.808 --> 00:44:45.769]  Nothing like it.
[00:44:45.789 --> 00:44:48.190]  $24.95 for the best vitamin B12 out there.
[00:44:48.250 --> 00:44:50.491]  Now twice as strong and now it's half off.
[00:44:50.611 --> 00:44:52.973]  Again, no reviews yet because it's really Secret 12+.
[00:44:53.473 --> 00:44:54.093]  Just came out.
[00:44:54.193 --> 00:44:57.175]  Go look at Secret 12 and its reviews and get it.
[00:44:57.395 --> 00:45:01.059]  Infowarsstore.com, Infowarslife.com, or 888-253-3139.
[00:45:01.560 --> 00:45:09.349]  I signed a multi-year contract to be able to get you this price, and we reformulated it with the highest quality methylcobalamin that there is.
[00:45:09.549 --> 00:45:11.551]  You put it under your tongue, that's how you're able to absorb more of it.
[00:45:11.571 --> 00:45:14.655]  If you want, just gulp it down, but you only get a few percentage points that way.
[00:45:14.675 --> 00:45:15.796]  It's gotta be under the tongue.
[00:45:16.537 --> 00:45:17.498]  Second best way to have it.
[00:45:17.518 --> 00:45:18.398]  The other way is injectable.
[00:45:18.719 --> 00:45:20.320]  Gotta get that from a doctor, but it's the same stuff.
[00:45:20.380 --> 00:45:21.540]  Medical grade, methylcobalamin.
[00:45:21.721 --> 00:45:23.082]  Infowarsstore.com.
[00:45:23.242 --> 00:45:24.482]  Infowarslife.com.
[00:45:25.123 --> 00:45:26.164]  50% out of the gates.
[00:45:26.184 --> 00:45:30.707]  Now, Secret 12 sold out, so this is now known as Ultra 12, because I'm not gonna just call it Secret 12 Plus.
[00:45:30.747 --> 00:45:31.507]  People don't get it.
[00:45:31.547 --> 00:45:33.208]  It's twice as much methylcobalamin.
[00:45:33.268 --> 00:45:36.190]  It's twice as strong for the same price, and we're doing it 50% off.
[00:45:36.210 --> 00:45:40.013]  You're getting very close to our cost at that, because I want you to see how amazing it is.
[00:45:40.093 --> 00:45:42.254]  You saw the thousands of five-star reviews for Secret 12.
[00:45:42.354 --> 00:45:44.916]  This is Secret 12, just twice as strong.
[00:45:45.116 --> 00:45:45.617]  Ultra 12.
[00:45:46.317 --> 00:45:46.837]  Ultra 12.
[00:45:47.538 --> 00:45:48.619]  InfoWarsTore.com.
[00:45:48.739 --> 00:45:49.580]  InfoWarsLife.com.
[00:45:49.600 --> 00:45:50.380]  You want real energy?
[00:45:50.500 --> 00:45:51.281]  You want real focus?
[00:45:51.521 --> 00:45:54.223]  So I started taking Iodine and Secret 12 five, six years ago.
[00:45:54.403 --> 00:45:55.524]  Dr. Group said this would happen.
[00:45:55.704 --> 00:45:58.847]  I had sunspots because I like the sun, I like to fish, I like to get outdoors.
[00:45:58.867 --> 00:46:03.731]  95% of the sunspots went away when I went on true vitamin B12, Methylcobalamin.
[00:46:03.871 --> 00:46:05.893]  That's why you got to remember to take your Methylcobalamin.
[00:46:06.013 --> 00:46:09.035]  InfoWarsTore.com or 888-253-3139.
[00:46:09.375 --> 00:46:11.857]  God gave us things like Methylcobalamin, the highest quality B12.
[00:46:13.098 --> 00:46:15.720]  And it's only in mushrooms, and it's only in, like, whale fat.
[00:46:16.181 --> 00:46:16.741]  In high levels.
[00:46:17.201 --> 00:46:19.423]  And most people can't absorb it, especially northern Europeans.
[00:46:20.364 --> 00:46:23.426]  But if you take our new product, Better Than Secret 12, it's the same thing.
[00:46:23.466 --> 00:46:24.848]  Methylcobalamin, twice as strong.
[00:46:25.128 --> 00:46:26.429]  I signed a multi-year contract.
[00:46:26.689 --> 00:46:27.550]  Got a great deal on it.
[00:46:27.630 --> 00:46:29.311]  It's now twice as strong.
[00:46:29.331 --> 00:46:31.393]  The strongest B12 we even know of out there.
[00:46:31.473 --> 00:46:32.454]  Pure, highest quality.
[00:46:32.474 --> 00:46:33.655]  Methylcobalamin is the best.
[00:46:33.795 --> 00:46:35.837]  It's not just highest quality B12 of some type.
[00:46:35.957 --> 00:46:37.198]  It's the best of that type.
[00:46:37.318 --> 00:46:37.798]  Of the best.
[00:46:37.878 --> 00:46:40.200]  When the caffeine don't work no more, that just stimulates the brain.
[00:46:40.240 --> 00:46:42.502]  This is what empowers the whole body in a healthy way.
[00:46:42.682 --> 00:46:44.303]  Infowarsstore.com.
[00:46:44.383 --> 00:46:45.684]  Infowarslife.com.
[00:46:45.804 --> 00:46:47.084]  Everything we do is a win-win.
[00:46:47.164 --> 00:46:48.225]  Everything we do is a 360 win.
[00:46:48.285 --> 00:46:49.426]  Everything we do is symbiotic.
[00:46:49.466 --> 00:46:51.527]  Everything we do is positive towards life.
[00:46:51.827 --> 00:46:55.709]  Just like we sell water filters you need that are the best rated out there at the lowest price.
[00:46:56.229 --> 00:46:58.891]  You fund the info to help others while you get something helps you.
[00:46:59.271 --> 00:47:00.411]  That's God's plan.
[00:47:00.431 --> 00:47:00.892]  Stay with us.
[00:47:05.894 --> 00:47:08.516]  You're listening to the Alex Jones Show.
[00:47:23.175 --> 00:47:25.876]  You found it, the tip of the spear.
[00:47:26.376 --> 00:47:31.218]  It is the Alex Jones Show with Owen Troyer.
[00:47:34.319 --> 00:47:45.743]  All right, so 1776 is happening worldwide for nationalism and non-regressive progressivism.
[00:47:47.844 --> 00:47:50.565]  And Tommy Robinson and the Tommy Robinson story is
[00:47:53.067 --> 00:47:59.591]  One microcosm, though it is a rather rather large one, of that exactly.
[00:47:59.751 --> 00:48:05.694]  And so Tommy Robinson has announced he's going to be running for office.
[00:48:07.175 --> 00:48:13.038]  And there was a rally for his supporters.
[00:48:14.159 --> 00:48:16.820]  Hashtag Vote Tommy campaign rally in Oldham.
[00:48:18.241 --> 00:48:18.381]  And
[00:48:21.363 --> 00:48:25.065]  Let's just go to some of this audio real quick and then I'll break down some of the b-roll.
[00:48:31.331 --> 00:48:35.214]  Just like for the last three weeks I've travelled the North West visiting different working class estates.
[00:48:35.594 --> 00:48:40.377]  Each one of my events have been peaceful, family events where people have brought their children.
[00:48:40.697 --> 00:48:43.499]  So an opportunity for me to speak to my future constituents.
[00:48:43.619 --> 00:48:52.885]  The difference for Oldham is for the past week, a Muslim organisation on Facebook has literally been inciting attacks against me and organising and planning attacks against me in Oldham.
[00:48:53.206 --> 00:48:55.007]  Telling people to come and throw milkshakes at me.
[00:48:55.327 --> 00:48:57.368]  Not just milkshakes, anything they want.
[00:48:57.589 --> 00:49:01.171]  So before getting to my political rally, I decided to take a walk through Oldham Town Centre.
[00:49:01.751 --> 00:49:04.592]  I had some interesting debates with members of the public.
[00:49:04.832 --> 00:49:07.593]  I'm from Afghanistan and I appreciate what you do for your people.
[00:49:07.633 --> 00:49:09.674]  And I like what you do for your people.
[00:49:09.694 --> 00:49:10.334]  Thank you, bro.
[00:49:10.354 --> 00:49:10.994]  Thank you.
[00:49:11.074 --> 00:49:13.255]  I know, some people are doing **** in this country.
[00:49:13.815 --> 00:49:14.495]  They shouldn't do that.
[00:49:14.515 --> 00:49:14.976]  Yeah, fair play.
