[00:00:22.668 --> 00:00:23.349]  Hello, hello.
[00:58:12.650 --> 00:58:19.014]  But I can just tell you point blank, you cannot invest in a place better than InfoWars for human liberty and a pro-human future.
[00:58:19.074 --> 00:58:24.798]  We got coffee, we got fish oil, we got turmeric, we got great toothpaste, we've got great things like DNA Force Plus.
[00:58:24.838 --> 00:58:27.300]  But Ultimate Krill Oil has been sold out for four months.
[00:58:27.500 --> 00:58:30.002]  For whatever reason, this became the most popular fish oil.
[00:58:30.022 --> 00:58:32.945]  We have fish oil, children's fish oil, and ultimate krill oil.
[00:58:33.085 --> 00:58:36.968]  It's totally full of the bottle, and it is the strongest, purest fish oil.
[00:58:37.088 --> 00:58:37.549]  Krill oil.
[00:58:37.609 --> 00:58:44.194]  And it cost us three times more because we have it put through the expensive laboratory process to remove mercury.
[00:58:44.395 --> 00:58:50.099]  Any type of krill oil you get that doesn't give you fish burps, which I don't like, but gives you all the great benefits, isn't real.
[00:58:50.139 --> 00:58:52.401]  It's been boiled, it's been ruined, it's been homogenized.
[00:58:52.662 --> 00:58:53.402]  This is not it.
[00:58:53.683 --> 00:58:55.124]  We went to one of the top firms in the
[00:58:55.444 --> 00:58:55.924]  I think?
[00:59:15.330 --> 00:59:16.851]  By the way, I'm not hyping this, folks.
[00:59:17.052 --> 00:59:19.794]  This is the best krill oil we could find.
[00:59:20.214 --> 00:59:21.015]  This is the best.
[00:59:21.075 --> 00:59:22.396]  I can't even just look at that.
[00:59:22.516 --> 00:59:25.339]  It's supposed to be red, folks, because that's the essence of the krill.
[00:59:25.359 --> 00:59:28.021]  I mean, there's probably like 100 krill going into each one of these.
[00:59:28.241 --> 00:59:31.664]  And again, I'm not going to call this a drug, because drugs are a ripoff of what God made.
[00:59:31.964 --> 00:59:34.465]  You take two of these before you go to bed at night.
[00:59:34.605 --> 00:59:36.605]  I would do it with your dinner if you don't want to get fish burps.
[00:59:36.645 --> 00:59:39.526]  Because, again, they've got the fish oil and said, oh, this doesn't have the fish flavor.
[00:59:39.546 --> 00:59:41.027]  Because they boiled the hell out of it.
[00:59:41.067 --> 00:59:42.667]  It isn't there anymore, folks.
[00:59:42.707 --> 00:59:44.207]  You got to deal with the fish burps.
[00:59:44.247 --> 00:59:44.988]  This stuff's powerful.
[00:59:45.028 --> 00:59:45.808]  Just look at that.
[00:59:45.888 --> 00:59:48.028]  Can the camera pick up just how pretty those are?
[00:59:48.189 --> 00:59:50.769]  Infowarsstore.com or 888-253-3139.
[00:59:54.750 --> 01:00:00.652]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:13.198 --> 01:00:15.559]  Alright, welcome back.
[01:00:15.599 --> 01:00:20.022]  Will Johnson sitting in for Alex Jones.
[01:00:20.422 --> 01:00:23.324]  You know, I took a picture and I
[01:00:39.735 --> 01:00:43.616]  I posted the picture for me here in the studio, and I just put it on Facebook.
[01:00:44.416 --> 01:00:47.297]  And in the picture, you can't really see where I'm at or anything.
[01:00:47.357 --> 01:00:59.619]  As I said, it's, you know, actually, my better half put a comment out there about the show being the most banned show in the world.
[01:01:00.279 --> 01:01:04.220]  And I just tried to put another comment out here, and I abbreviated it.
[01:01:04.240 --> 01:01:09.001]  I put iw.com for its last show, because a lot of people are asking about the link.
[01:01:10.225 --> 01:01:14.187]  So, and Facebook is not allowing me to do that, even.
[01:01:15.248 --> 01:01:20.531]  It just came back when I tried to post it, it just came back and says, you cannot post this.
[01:01:21.691 --> 01:01:27.034]  So, the censorship is at an all-time high.
[01:01:27.254 --> 01:01:37.880]  I mean, what was it, over a year ago, was it August 6th last year, InfoWars was banned from all the socialist media platforms, all in the same day?
[01:01:39.116 --> 01:01:42.037]  You know, and it's just a coincidence that they all did it the same day?
[01:01:44.358 --> 01:01:45.098]  How did that happen?
[01:01:45.758 --> 01:01:47.359]  So, did they pick up the phone call?
[01:01:47.839 --> 01:02:00.463]  Twitter called Google, and Google called Facebook, Facebook called Apple, and then they just went out on their rounds and called the different socialist media outlets and said, OK, now we're going to pull the plug on them.
[01:02:03.103 --> 01:02:04.924]  Have you not paid attention?
[01:02:06.284 --> 01:02:07.425]  This is, to me,
[01:02:08.519 --> 01:02:14.500]  These socialist media outlets that are on the internet remind me of Nazi Germany.
[01:02:15.360 --> 01:02:27.722]  And then they want to call white people neo-Nazis and everyone else the fascists, but what they're doing is nothing different than the neo-Nazi Germany was doing.
[01:02:28.462 --> 01:02:37.464]  And instead of taking physical books, taking them out into the field and burning them, what they're doing today, what they're doing today
[01:02:38.570 --> 01:02:43.194]  is that they're taking digital books and burning them.
[01:02:43.974 --> 01:02:45.015]  And that's what they did here.
[01:02:46.116 --> 01:02:56.204]  So why would anybody support a socialist entity that is trying to take away Americans' voice?
[01:02:57.370 --> 01:02:57.630]  Right?
[01:02:58.211 --> 01:02:58.871]  Think about that.
[01:02:59.291 --> 01:03:03.354]  You have people are saying, yes, Alex Jones should be removed.
[01:03:03.774 --> 01:03:04.894]  He should be removed.
[01:03:05.655 --> 01:03:11.458]  And then they want to, if you say Alex Jones on these socialist media platforms, there's your subject to get banned.
[01:03:12.439 --> 01:03:15.200]  They're subject to delete your Facebook.
[01:03:16.821 --> 01:03:19.943]  They're going to digitally burn your book.
[01:03:20.483 --> 01:03:21.624]  And it's not just Facebook.
[01:03:22.565 --> 01:03:22.945]  Google,
[01:03:24.281 --> 01:03:37.312]  You know, they had, they used to, Google had, what was it called, Google Plus, where people can go on there and they can do comments and different things like that, but I think they've since, people didn't really gravitate to it, so they didn't, there's not too much of it around.
[01:03:38.533 --> 01:03:51.123]  But you still have Twitter, you still have Fascist Book, you still have YouTube, where a lot of people communicate and do videos, and you have these socialist media outlets that are blocking conservatives.
[01:03:52.697 --> 01:03:57.300]  Now, just to be clear, they have blocked some liberals, some that are on the left.
[01:03:57.440 --> 01:04:00.823]  And the only time they get blocked is when they start waking up.
[01:04:01.303 --> 01:04:06.947]  When they start waking up to what's happening, then these socialist media outlets will start blocking them.
[01:04:07.747 --> 01:04:09.348]  They didn't experience it before then.
[01:04:10.029 --> 01:04:18.034]  And so as long as you're anti-American, as long as you're anti-Trump, as long as you're anti-InfoWars.com, then they will let you thrive.
[01:04:18.335 --> 01:04:19.555]  They will even help you
[01:04:20.481 --> 01:04:21.162]  Succeed!
[01:04:21.822 --> 01:04:24.944]  They will even push your videos above and beyond!
[01:04:27.727 --> 01:04:32.470]  It is crazy what's happening in America in this second civil war.
[01:04:33.511 --> 01:04:37.254]  Right now the battle was primarily on the internet.
[01:04:38.447 --> 01:04:40.148]  Now the battle is going to the streets.
[01:04:41.049 --> 01:04:42.430]  The battle is going to Portland.
[01:04:43.130 --> 01:04:45.212]  The battle is in El Paso.
[01:04:45.632 --> 01:04:50.095]  The battle is wherever these leftists can get people to go and be destructive.
[01:04:50.796 --> 01:04:51.836]  You've got to wake up.
[01:04:52.337 --> 01:04:54.158]  Next, we're going to have Robert Burns on with us.
[01:04:54.198 --> 01:04:57.200]  He's going to go into great detail about this and much more.
[01:04:57.580 --> 01:04:59.262]  Will Johnson, this is Infowars.com.
[01:05:05.333 --> 01:05:08.980]  Well today, InfoWars Live Protein Bar.
[01:05:09.701 --> 01:05:14.550]  I just devoured your cousin InfoWars Live Protein Bar.
[01:05:35.708 --> 01:05:40.192]  What in the world's going on here?
[01:06:13.766 --> 01:06:16.508]  You found it, the tip of the spear.
[01:06:16.989 --> 01:06:21.872]  It is the Alex Jones Show with Will Johnson.
[01:06:25.315 --> 01:06:29.238]  Welcome back.
[01:06:32.700 --> 01:06:40.126]  It is a great privilege and honor to be here again hosting the show for Alex while he's on a well-deserved vacation.
[01:06:41.215 --> 01:06:42.876]  So we're soon.
[01:06:43.537 --> 01:06:44.957]  Let me let me talk about this real quick.
[01:06:46.899 --> 01:06:47.599]  Turbo Force.
[01:06:48.199 --> 01:06:49.540]  You see, I have on orange shoes right here.
[01:06:52.542 --> 01:06:59.647]  I traveled from California to Texas, and it's like a three day drive, especially if you're not.
[01:06:59.927 --> 01:07:02.248]  I had a trailer behind me, so I can't go really fast.
[01:07:02.288 --> 01:07:07.632]  So I'm driving and I love God's country and it's beautiful.
[01:07:08.700 --> 01:07:10.480]  But being humans, we get tired.
[01:07:11.361 --> 01:07:17.982]  And even just after four hours of driving, and I'm starting to get tired, and I remembered, I said, oh, I have a pack of Turbo Force.
[01:07:19.043 --> 01:07:25.164]  So I reached into my console in my vehicle, and I took out the Turbo Force, and I stopped at a gas station.
[01:07:26.244 --> 01:07:27.625]  And I got me some orange shoes.
[01:07:28.525 --> 01:07:30.725]  They weren't quite this big.
[01:07:30.825 --> 01:07:32.866]  The typical size is a little bit smaller.
[01:07:32.886 --> 01:07:36.627]  And I'll put like half the packet of the Turbo Force in it, because
[01:07:37.412 --> 01:07:40.213]  The stuff is so great and so wonderful, it gets you going.
[01:07:40.693 --> 01:07:44.114]  But there's quite a bit in this one, so I'm going to put the whole thing in this one.
[01:07:45.134 --> 01:07:53.056]  And when I was driving from California to Texas, I took the Turboforce and I put it in orange shoes.
[01:07:54.037 --> 01:07:55.377]  And I took it and I shook it up.
[01:07:57.257 --> 01:08:01.279]  Hear that?
[01:08:01.639 --> 01:08:02.499]  Get in there real good.
[01:08:03.865 --> 01:08:04.725]  And you know what's amazing?
[01:08:04.805 --> 01:08:07.086]  It actually, it heightens the taste.
[01:08:07.246 --> 01:08:08.167]  I mean, I really like it.
[01:08:08.787 --> 01:08:18.150]  I mean, I'm a big fan of orange juice already, but yeah, it's, I mean, it's, it's really good.
[01:08:18.350 --> 01:08:18.690]  Let me see.
[01:08:23.772 --> 01:08:24.192]  Wow.
[01:08:25.673 --> 01:08:28.154]  It's like energy immediately.
[01:08:33.513 --> 01:08:34.734]  I can't believe, you know what?
[01:08:35.494 --> 01:08:44.638]  Maybe InfoWars should sell orange shoes with the TurboForce in it because the way it tastes, it's almost like it just brightens up the orange shoes.
[01:08:45.579 --> 01:08:49.360]  It gives it more energy in the orange shoes itself, if that makes sense.
[01:08:50.461 --> 01:08:53.382]  But TurboForce, here I got another packet here, let me show it.
[01:08:54.283 --> 01:09:00.566]  The TurboForce at InfoWarsStore.com, most of the time they keep it on sale.
[01:09:01.451 --> 01:09:04.091]  And I'm like, how do they, how are they able to do that?
[01:09:04.652 --> 01:09:06.952]  They keep it on sale for so long.
[01:09:07.072 --> 01:09:17.874]  And I think, now I've never been told this, but I think the main reason why they keep it on sale and they keep the price so low is that so people will try it.
[01:09:17.934 --> 01:09:19.174]  I mean, it's a whole box full.
[01:09:19.214 --> 01:09:19.874]  Is it 30 bucks?
[01:09:19.934 --> 01:09:20.615]  Right at 30 bucks, $29.95.
[01:09:20.655 --> 01:09:21.475]  You get it and you try it.
[01:09:21.495 --> 01:09:21.475]  $29.98.
[01:09:21.515 --> 01:09:24.435]  30 bucks.
[01:09:29.620 --> 01:09:29.960]  30 bucks.
[01:09:30.601 --> 01:09:33.502]  Today's prices, you could spend that just going to McDonald's.
[01:09:34.523 --> 01:09:37.885]  But 30 bucks, you get it, and you will be amazed.
[01:09:38.325 --> 01:09:39.866]  So, you know, I went through, and I...
[01:09:41.561 --> 01:09:43.142]  I think I have a copy somewhere here.
[01:09:44.482 --> 01:09:47.424]  Maybe not, but I went through and I always like looking at the reviews.
[01:09:48.124 --> 01:09:54.346]  Because I talk about the different reviews that's going on with the people who buy the Turboforce.
[01:09:54.967 --> 01:09:58.108]  And just to see if the reviews are similar to mine.
[01:09:58.728 --> 01:10:09.293]  And ever since I've been talking about the Orange Juice with Turboforce, I've actually seen people comment on there about them taking Turboforce with the Orange Juice.
[01:10:10.872 --> 01:10:17.519]  Yeah, there's one with Johnny Boy, and he says, he says, I'm absolutely addicted to this amazing product.
[01:10:18.560 --> 01:10:24.345]  Also a member of the Houston Info Wars Army, as well as the daily
[01:10:25.404 --> 01:10:26.345]  Distance runner.
[01:10:27.146 --> 01:10:29.188]  I live on this stuff.
[01:10:29.888 --> 01:10:33.552]  And he says, personally, he said, personally, I'm not crazy about the taste.
[01:10:33.832 --> 01:10:35.734]  Now, just in water, it is pretty strong.
[01:10:36.294 --> 01:10:39.057]  And but I like it in hot water because I drink it like tea.
[01:10:39.097 --> 01:10:42.440]  But he says, personally, I'm not crazy about the taste.
[01:10:43.041 --> 01:10:48.726]  So usually he'll mix it into Powerade or orange juice.
[01:10:49.227 --> 01:10:50.408]  See, and that's exactly what I did.
[01:10:53.866 --> 01:10:55.875]  You've got to do it, and I encourage anyone.
[01:10:56.644 --> 01:10:58.785]  Go to InfowarsStore.com right now.
[01:10:59.265 --> 01:11:00.285]  Leave a comment.
[01:11:00.585 --> 01:11:01.645]  Try it with orange juice.
[01:11:02.085 --> 01:11:02.906]  Leave a comment.
[01:11:03.626 --> 01:11:04.186]  Let me know.
[01:11:04.666 --> 01:11:08.087]  And I would love to get your comment and read it online.
[01:11:08.247 --> 01:11:09.007]  Read it on the air.
[01:11:09.467 --> 01:11:14.008]  God willing, I will be in this chair again if God allows me to be here.
[01:11:14.448 --> 01:11:15.709]  So get the Turbo Force today.
[01:11:15.769 --> 01:11:17.009]  InfowarsStore.com.
[01:11:17.389 --> 01:11:20.490]  Now, the next one that I'm going to get, I haven't purchased it yet.
[01:11:20.870 --> 01:11:23.551]  Actually, once I leave the studio, I'm going to go purchase
[01:11:24.611 --> 01:11:25.292]  We're good to go!
[01:11:48.550 --> 01:11:58.656]  The DNA Force has so many benefits, and I want to take it, I'm going to get it today, and I'm going to, once I get it and I take it, then I'm going to come back and I'm going to tell everyone my personal experience.
[01:11:58.836 --> 01:12:00.317]  Because I think that's what people want to hear.
[01:12:00.337 --> 01:12:12.485]  Because I can go down the long line list of everything, the reasons why you should take it based on the documentation that they have in there, but I like to do it based on my personal experience, just like the Turbo Force.
[01:12:14.417 --> 01:12:14.837]  Sounds good.
[01:12:15.278 --> 01:12:15.478]  All right.
[01:12:16.318 --> 01:12:23.724]  So, while we're waiting for Mr. Burns to join us, I want to go to another clip that I had here, and I think we have time.
[01:12:25.525 --> 01:12:30.889]  Before Veritas, James O'Keefe came on.
[01:12:32.030 --> 01:12:33.371]  Actually, let me talk about that real quick.
[01:12:34.331 --> 01:12:43.398]  Were James O'Keefe and Veritas Google attacking this gentleman for exposing them for what they're doing?
[01:12:45.643 --> 01:12:47.263]  Why would that not terrify people?
[01:12:47.343 --> 01:12:49.844]  How is it that Google has so much power?
[01:12:50.504 --> 01:12:52.625]  And what did Google tell?
[01:12:52.885 --> 01:12:56.405]  Okay, so Google told the police department a wellness check.
[01:12:57.906 --> 01:13:01.087]  A wellness check to go see, to go check on him.
[01:13:02.687 --> 01:13:04.247]  And you know, they're like looking at him.
[01:13:04.367 --> 01:13:07.268]  Okay, so a wellness check is just walking up to him, right?
[01:13:07.328 --> 01:13:07.688]  Why not?
[01:13:08.008 --> 01:13:09.569]  Why does he have to hold his hands up?
[01:13:10.729 --> 01:13:11.169]  Don't shoot.
[01:13:12.307 --> 01:13:13.468]  How does he get in that position?
[01:13:13.508 --> 01:13:16.470]  Because Google asked for them to go do a wellness check.
[01:13:16.990 --> 01:13:25.537]  Now, correct me if I'm wrong, but a wellness check is to go check on someone's well-being to make sure that they're okay, right?
[01:13:26.157 --> 01:13:40.728]  But I think in this case, Google is trying to build up documentation or build up a case against him to say that he may be, you know, off his rocker or he may be mentally disturbed, but he was getting paid
[01:13:41.528 --> 01:13:43.849]  A quarter million dollars a year from Google.
[01:13:44.169 --> 01:13:48.912]  So you mean to tell me that Google is hiring people that's mentally unstable?
[01:13:49.552 --> 01:13:59.157]  Or they're just saying that now you're mentally unstable because you shared inside documents that prove what Google and what all of us have been believing?
[01:14:00.293 --> 01:14:03.935]  Why is Google trying to change the outcome of the 2020 election?
[01:14:04.275 --> 01:14:05.836]  That's the most important thing.
[01:14:06.257 --> 01:14:07.757]  And who gave them this power?
[01:14:08.138 --> 01:14:11.640]  Why do they, why, who's allowing them to do that?
[01:14:11.700 --> 01:14:16.923]  And I'm going to tell you, it is us the American people that has allowed Google to do this.
[01:14:17.223 --> 01:14:18.464]  And I'm going to be honest with you.
[01:14:19.244 --> 01:14:28.630]  I used to work in IT, and I loved using Google because if I need to find the answer to something, I could Google it, and some super geek out there has put the solution on Google.
[01:14:29.070 --> 01:14:34.014]  Be it in a YouTube video, be it in a documentation, you can find it via Google.
[01:14:35.194 --> 01:14:39.257]  And Google knew, and they know exactly what they've done.
[01:14:40.720 --> 01:14:46.804]  And because they don't like somebody, because they don't like the President of the United States, that the American people elected.
[01:14:47.044 --> 01:14:51.767]  So basically they're saying that the American people, you don't understand what you did.
[01:14:52.347 --> 01:14:57.410]  So we're going to try everything we can to reverse the will of the American people.
[01:14:57.670 --> 01:15:03.794]  The American people should not be allowed to select the sitting President of the United States.
[01:15:04.514 --> 01:15:05.794]  And that's exactly what they're saying.
[01:15:06.114 --> 01:15:07.375]  And that's exactly what they're doing.
[01:15:07.735 --> 01:15:08.615]  That's their agenda.
[01:15:09.135 --> 01:15:13.456]  They want a socialist, communist, democrat to run this country.
[01:15:13.776 --> 01:15:14.576]  Into the ground.
[01:15:16.336 --> 01:15:19.457]  Which is amazing to me because Google resides in America.
[01:15:19.717 --> 01:15:20.817]  So I guess, what does that mean?
[01:15:21.097 --> 01:15:24.478]  Google, they get to stay at the top of the food chain?
[01:15:25.338 --> 01:15:28.619]  Because at some point, they're gonna come for Google as well.
[01:15:29.824 --> 01:15:32.426]  Google is helping these socialists right now to take them out.
[01:15:32.766 --> 01:15:33.687]  To take us out.
[01:15:34.127 --> 01:15:36.109]  But they're going to come for you as well, Google.
[01:15:36.249 --> 01:15:38.951]  Elizabeth Warren, she stopped talking about it here lately.
[01:15:39.692 --> 01:15:42.814]  But even Elizabeth Warren wants to go after you.
[01:15:44.095 --> 01:15:45.936]  Did someone at Google get to Elizabeth Warren?
[01:15:47.137 --> 01:15:48.138]  You have to ask that question.
[01:15:48.198 --> 01:15:48.578]  Did they?
[01:15:49.199 --> 01:15:49.619]  Did they?
[01:15:49.639 --> 01:15:52.501]  Because she's not talking about it any longer.
[01:15:52.561 --> 01:15:54.063]  I haven't heard her say anything in a while.
[01:15:54.523 --> 01:15:55.724]  Alright, my name is Will Johnson.
[01:15:55.744 --> 01:15:57.705]  This is Infowars.com.
[01:15:58.026 --> 01:15:59.447]  We'll be back with Mr. Burns.
[01:16:07.691 --> 01:16:10.993]  Ladies and gentlemen, World War 4 is upon us.
[01:16:11.933 --> 01:16:12.894]  It's an economic war.
[01:16:13.554 --> 01:16:14.835]  It's a trade war.
[01:16:15.435 --> 01:16:16.536]  It's a proxy war.
[01:16:16.756 --> 01:16:17.716]  It's regional wars.
[01:16:17.957 --> 01:16:18.897]  It's a culture war.
[01:16:18.937 --> 01:16:21.959]  I'm going to just give you a brief gestalt lay history.
[01:16:22.019 --> 01:16:27.562]  Anybody can go research this for yourself about how Trump is launching via India a proxy war.
[01:16:27.662 --> 01:16:30.683]  So to understand what Trump's doing, we have to understand the history of it.
[01:16:30.703 --> 01:16:31.604]  1,400 years ago, Mohammed
[01:16:34.165 --> 01:16:34.785]  He's right here.
[01:16:35.006 --> 01:16:46.072]  He takes over the key crossroads of the caravans coming out of the empire of India that stretched all the way over to Iran and all the way into China.
[01:16:46.513 --> 01:16:49.835]  India was the dominant force, not China, not Japan at that time.
[01:16:49.855 --> 01:16:53.397]  They were the most powerful empire in the East and were expanding trade.
[01:16:53.437 --> 01:16:54.938]  So that's what's happening in India.
[01:16:55.018 --> 01:17:03.303]  Within just a few hundred years of Muhammad's death, they have already taken over what's Pakistan today, pushed the Indian empire back, taken over and surrounded India.
[01:17:04.747 --> 01:17:08.868]  You have Kashmir that is the birthplace of the Indian culture and set up India.
[01:17:08.948 --> 01:17:11.689]  Folks floated in from all over the world because there was so much prosperity in that area.
[01:17:11.789 --> 01:17:13.150]  So, all of that's going on.
[01:17:13.210 --> 01:17:14.110]  That's just some of the background.
[01:17:14.230 --> 01:17:15.771]  So, China is over here.
[01:17:16.051 --> 01:17:17.491]  They're starting to go into Hong Kong.
[01:17:17.511 --> 01:17:18.512]  They're starting to go into Taiwan.
[01:17:18.932 --> 01:17:20.192]  They're threatening Japan.
[01:17:20.272 --> 01:17:24.153]  They're building islands all over the place, way down here, even by the Philippines.
[01:17:24.173 --> 01:17:25.534]  The Philippines is having to threaten them now.
[01:17:25.674 --> 01:17:28.876]  They're sending in their companies that are really paramilitary and others.
[01:17:28.996 --> 01:17:30.176]  They're taking over the colleges.
[01:17:30.196 --> 01:17:31.797]  They're buying everybody off just like they're doing here.
[01:17:31.857 --> 01:17:32.718]  They're buying off the media.
[01:17:32.758 --> 01:17:40.522]  They're using all this incredible money they've been given by us, giving trade superiority of $900 billion a year for decades, to be able to just take over the planet.
[01:17:40.802 --> 01:17:42.323]  Again, they were given $98 billion.
[01:17:43.263 --> 01:17:44.144]  percent of rare minerals.
[01:17:44.164 --> 01:17:45.525]  You just don't get that.
[01:17:45.825 --> 01:17:47.767]  No one else is allowed by the globalists to operate.
[01:17:47.787 --> 01:17:48.367]  They sue you.
[01:17:48.387 --> 01:17:49.408]  The UN comes after you.
[01:17:49.568 --> 01:17:52.391]  China is able to do human clones, take people's organs.
[01:17:52.411 --> 01:17:53.612]  They just do whatever the hell they want.
[01:17:53.652 --> 01:17:56.955]  They're God, basically, because they're an evil Qaikom force feeding on their own people.
[01:17:56.975 --> 01:17:59.477]  They're the model of the global technocracy the NWO wants.
[01:17:59.637 --> 01:18:03.040]  So Trump and Japan and South Korea and others form an alliance.
[01:18:03.260 --> 01:18:06.121]  As soon as Trump gets elected, he says his new order is a screwjob for everybody.
[01:18:06.382 --> 01:18:08.322]  We're not going along with it, including the Chinese people.
[01:18:08.583 --> 01:18:09.183]  They don't like it.
[01:18:09.283 --> 01:18:11.904]  He meets with the leader of India.
[01:18:12.124 --> 01:18:12.725]  He hugs him.
[01:18:12.845 --> 01:18:16.346]  He says, hey, if China gives you problems, I keep trying to take over Kashmir.
[01:18:16.406 --> 01:18:23.029]  But at 49, the UN made India create an autonomous zone, which then now China has come in and openly taken over about a third of the country.
[01:18:23.049 --> 01:18:28.412]  The Islamists are pouring in, now pushing to the new borders of India and trying to take India proper over itself.
[01:18:28.672 --> 01:18:31.273]  And again, leftist media calls it Indian extremism.
[01:18:31.653 --> 01:18:33.254]  They call him a Hindu extremist.
[01:18:33.654 --> 01:18:36.955]  Even though the Pakistanis were Indians until the Islamists took it over.
[01:18:36.975 --> 01:18:38.976]  There's Hindu and Buddhist temples all over Pakistan.
[01:18:38.996 --> 01:18:39.576]  Well, there were.
[01:18:39.696 --> 01:18:40.757]  The Muslims blew them all up.
[01:18:40.837 --> 01:18:42.457]  So, all of this is happening.
[01:18:42.698 --> 01:18:43.778]  All of this is going on.
[01:18:43.838 --> 01:18:47.279]  And then once they take your country over, they remove any symbols you ever existed.
[01:18:47.339 --> 01:18:48.660]  They erase that they were Indians.
[01:18:49.040 --> 01:18:51.161]  So, you've got China bordering.
[01:18:51.761 --> 01:18:53.301]  Right here in what is Kashmir.
[01:18:53.601 --> 01:18:58.062]  And so Trump green-lighted, go ahead, you're not under that UN thing anymore, go in.
[01:18:58.202 --> 01:19:03.404]  Within hours of what happened with the currency devaluation, within hours, they sent the troops in.
[01:19:03.504 --> 01:19:04.284]  The Indians did.
[01:19:04.364 --> 01:19:07.465]  And I want to be clear, India didn't invade Kashmir.
[01:19:07.565 --> 01:19:12.566]  Kashmir was stolen from it when the British Empire was dissolving and becoming the New World Order.
[01:19:12.586 --> 01:19:14.086]  Because India never really got its freedom.
[01:19:14.226 --> 01:19:18.387]  Under their current leader, India is, to a certain extent, actually becoming independent, finally.
[01:19:18.667 --> 01:19:33.659]  So, you got China right here, and this is the key piece in the whole chessboard, is this whole fight going on over India, because you'll control the trade routes, you'll control the water, you'll control everything into Burma and Thailand and Vietnam and the Philippines, who've all had wars with China.
[01:19:33.799 --> 01:19:44.388]  China is completely expansionist, completely out of control, and so Trump has turned the Indians loose to be on their flank and to let China know you're now in a vice grip, and this is the stuff that World War IV is
[01:19:44.608 --> 01:19:46.729]  You're listening to the Alex Jones Show!
[01:20:27.438 --> 01:20:28.339]  Welcome back!
[01:20:28.479 --> 01:20:29.139]  Infowars.com.
[01:20:29.179 --> 01:20:31.161]  We have Mr. Burns on with us.
[01:20:37.304 --> 01:20:47.593]  Now Mr. Burns, I've watched Mr. Burns and I listen to him talk and it's just like he has like a wealth of knowledge just walking around on two feet and it's amazing.
[01:20:49.134 --> 01:21:03.907]  I've learned so much just listening to him and he has so many points that are on point and it's just like how is it even possible that someone has all of this together like this and it's a real honor and pleasure to talk to you again Mr. Burns.
[01:21:05.205 --> 01:21:05.886]  Hey, happy to be here.
[01:21:06.267 --> 01:21:06.847]  Yeah, cool.
[01:21:07.348 --> 01:21:13.677]  So did you see the video with the Veritas, but the Google and the whole the whole document dump?
[01:21:14.841 --> 01:21:15.121]  I did.
[01:21:15.181 --> 01:21:16.721]  I mean, it's another whistleblower.
[01:21:17.022 --> 01:21:27.404]  Not only that, Sarah Carter reported that this information has been turned over to the Department of Justice as part of their antitrust investigation, as evidence and proof of that antitrust investigation.
[01:21:27.884 --> 01:21:33.745]  So at multiple levels, it's significant and consequential, and it's revelatory at the scope of it.
[01:21:34.086 --> 01:21:40.027]  It's amazing what Veritas is doing, and it shows the degree to which what Google is doing is so egregious.
[01:21:40.547 --> 01:21:43.008]  That whistleblowers like this are willing to come forward.
[01:21:43.348 --> 01:21:44.849]  So it's extraordinary.
[01:21:45.249 --> 01:21:47.809]  It's an amazing time to be alive in that sense.
[01:21:48.190 --> 01:21:51.251]  And these big tech oligarchs think they're beyond the law and above the law.
[01:21:51.591 --> 01:22:07.036]  And I hate the fact that the president had Attorney General Barr come out and announce a full scale, wholesale antitrust investigation, not just a potential antitrust investigation, not just a possible review, but a Microsoft level antitrust investigation.
[01:22:07.557 --> 01:22:22.539]  And Bill Gates just was on the other day saying that the antitrust investigation is the main reason why Microsoft never developed into a full-scale monopoly in the mobile app space because they were so concerned with the antitrust investigation.
[01:22:23.687 --> 01:22:26.589]  They end up not pursuing that to the degree they otherwise actually would have.
[01:22:26.609 --> 01:22:28.291]  And he thinks they would have otherwise dominated it.
[01:22:28.611 --> 01:22:44.063]  So that's why just announcing it, it's not a coincidence that after announcing it, two major Google whistleblowers have both come out and blown the whistle and given inside information and intel that it's critical and essential to breaking up big tech, to taking on big tech that has occurred.
[01:22:44.443 --> 01:22:46.505]  So the president is taking the necessary steps.
[01:22:46.885 --> 01:22:52.289]  He may need to take more steps, but these are the necessary immediate steps that are already paying off.
[01:22:52.689 --> 01:22:57.115]  With the Veritas whistleblower activity taking place in just the last two weeks.
[01:22:57.416 --> 01:22:57.856]  Right.
[01:22:58.157 --> 01:23:04.245]  Mr. Barnes, so let me ask you, do you think the Attorney General Barr is actually going to do anything?
[01:23:05.117 --> 01:23:07.759]  Do you think that it's going to sit on it and gather more information?
[01:23:07.779 --> 01:23:11.561]  The only reason why I ask that question because we've seen Hillary Clinton.
[01:23:11.581 --> 01:23:12.642]  She's still walking around.
[01:23:13.022 --> 01:23:13.983]  Nothing's happened to her.
[01:23:14.323 --> 01:23:15.824]  Comey, he leaked information.
[01:23:16.144 --> 01:23:17.145]  Nothing happened to her.
[01:23:17.485 --> 01:23:25.371]  President Trump has already mentioned, you know, had the summit about the whole censorship with the socialist tech media out there and nothing has happened.
[01:23:25.631 --> 01:23:26.912]  People are still getting banned.
[01:23:27.172 --> 01:23:28.513]  People are still being censored.
[01:23:28.733 --> 01:23:30.434]  The shadow banning is taking place.
[01:23:30.734 --> 01:23:34.577]  You're still being threatened to be removed if not deleted.
[01:23:35.437 --> 01:23:37.979]  Dizzily burned from these platforms.
