[00:00:10.730 --> 00:00:17.781]  Who controls the past, controls the future.
[00:26:53.401 --> 00:26:55.402]  These are the fruits of his labor, personally.
[00:26:55.922 --> 00:26:56.983]  And one of the younger boys.
[00:26:57.483 --> 00:26:59.804]  And the looks on their faces are just so striking.
[00:26:59.884 --> 00:27:05.266]  They're watching the destruction of God's gift to their family and their members.
[00:27:05.526 --> 00:27:06.246]  That's just criminal.
[00:27:06.666 --> 00:27:07.307]  That's just criminal.
[00:27:08.907 --> 00:27:10.208]  It was pointless, that's for sure.
[00:27:11.994 --> 00:27:13.375]  Just kind of mean-spirited.
[00:27:13.635 --> 00:27:17.857]  And that's how the whole thing felt to us, and I think to the jury.
[00:27:18.337 --> 00:27:22.919]  And you know, you're talking about how they repeated over and over again that it was a $280 license fee.
[00:27:23.440 --> 00:27:25.100]  Why do they have to show up with a SWAT team?
[00:27:25.120 --> 00:27:27.902]  Why do they have to destroy so much property, if that's the case?
[00:27:29.222 --> 00:27:29.803]  Well, that's right.
[00:27:29.863 --> 00:27:37.627]  And if it is, as they said, just all about a simple license, then why all this commotion and good heavens, taxpayer expense?
[00:27:37.667 --> 00:27:38.247]  There were four
[00:27:38.993 --> 00:27:42.374]  Government lawyers at every hearing, and there must have been nine hearings.
[00:27:43.155 --> 00:27:45.236]  That's a tremendous expenditure of resources.
[00:27:45.696 --> 00:27:46.696]  So when was this raid?
[00:27:46.716 --> 00:27:47.436]  When did this happen?
[00:27:47.456 --> 00:27:52.238]  The raid was June 2, 2010.
[00:27:52.899 --> 00:27:55.120]  Okay, so this has been going on for three years.
[00:27:55.720 --> 00:27:57.841]  What's his status been for the last three years?
[00:27:57.861 --> 00:27:59.001]  Did they shut his business down?
[00:28:04.786 --> 00:28:06.347]  I have to speak carefully on that.
[00:28:06.447 --> 00:28:12.389]  If he had stayed in business, it would have constituted bail jumping, which would be more charges.
[00:28:13.029 --> 00:28:15.530]  But it was an ordeal because this drug out for three years.
[00:28:16.970 --> 00:28:21.532]  It completely disrupted his life and his family's life for three years.
[00:28:21.652 --> 00:28:27.374]  And as you mentioned, they've got multiple state attorneys showing up and everything, working on this for three years.
[00:28:29.229 --> 00:28:31.030]  That's right.
[00:28:31.050 --> 00:28:36.554]  They turned over, as they have to in a criminal case, all of their investigative findings and documents.
[00:28:36.634 --> 00:28:43.798]  And there were 6,000 documents, plus 22 CDs of more documents and videos and other findings.
[00:28:44.238 --> 00:28:51.423]  They hired a computer forensic specialist after they took his computer in the raid and analyzed it.
[00:28:51.443 --> 00:28:53.744]  They hired this computer forensic expert to analyze it.
[00:28:53.784 --> 00:28:56.726]  He said he worked on it for years, the analysis.
[00:28:57.717 --> 00:28:59.077]  I can't imagine what that must have cost.
[00:28:59.177 --> 00:28:59.978]  It's just amazing.
[00:29:00.318 --> 00:29:01.598]  We see this over and over again.
[00:29:02.498 --> 00:29:14.801]  When it comes to the war on drugs, I'm not a drug user, and I don't care, but I don't want to see the loss of freedom that we see of people, the loss of choice, and the massive amount of money that is spent on the war on drugs.
[00:29:15.441 --> 00:29:23.463]  And for so many years, we've seen that used as a vanguard to take away our privacy, to take away so many of our freedoms.
[00:29:24.084 --> 00:29:25.304]  And now they're moving into other areas.
[00:29:26.504 --> 00:29:27.145]  Like raw milk.
[00:29:27.225 --> 00:29:29.786]  It's just amazing to see this happening to a raw milk farmer.
[00:29:29.827 --> 00:29:34.410]  What we've seen happening and decried happening to people who are marijuana users.
[00:29:34.470 --> 00:29:37.472]  Because they changed from the drug pushers under Reagan.
[00:29:37.492 --> 00:29:40.053]  They changed from the drug pushers to the end users.
[00:29:40.514 --> 00:29:42.955]  And now we're seeing this happening with raw milk.
[00:29:43.616 --> 00:29:44.156]  It's amazing.
[00:29:44.176 --> 00:29:45.757]  It is.
[00:29:45.837 --> 00:29:49.280]  Well, tell us some of the arguments that the prosecution brought up at the trial.
[00:29:50.180 --> 00:29:53.102]  I know they made a pretty amazing statement about his income.
[00:29:53.122 --> 00:29:54.163]  Tell us a little bit about that.
[00:29:56.115 --> 00:30:08.497]  Well, what the prosecution was trying to do was portray Vernon as a greedy, money-grubbing person who was motivated by money in his law-breaking lifestyle.
[00:30:08.598 --> 00:30:09.718]  That, I think, was the goal.
[00:30:11.858 --> 00:30:20.500]  So we expected that going in, and we knew it was going to backfire, because Vernon Hershberger is the most humble, generous person I've ever met.
[00:30:21.180 --> 00:30:25.781]  So what they did was they took his... in the raid, they had confiscated
[00:30:26.326 --> 00:30:29.067]  All of his receipts and invoices.
[00:30:30.407 --> 00:30:38.049]  They were putting those up and he had monthly records of his totals that were run through the cash register.
[00:30:39.409 --> 00:30:40.609]  And he had made a notation.
[00:30:41.369 --> 00:30:43.070]  He had taken off the sales tax.
[00:30:43.110 --> 00:30:49.531]  He paid sales tax, which the state also thought was a big indication that he was running a huge operation.
[00:30:49.571 --> 00:30:51.231]  But his sales tax was between $1 and $450.
[00:30:54.782 --> 00:30:56.043]  Yeah, it's a pretty small operation.
[00:30:57.204 --> 00:31:04.872]  Because in Wisconsin we don't pay tax on food, except for certain junk foods and prepackaged foods, but for milk, yogurt, butter, we don't pay tax.
[00:31:04.932 --> 00:31:09.516]  So he was paying sales tax on soap, handmade soap and products like that.
[00:31:10.137 --> 00:31:15.542]  But he was then taking, he was subtracting the amount of sales tax paid and then he wrote net monthly income.
[00:31:16.528 --> 00:31:19.231]  And they were trying to say that that was his net income.
[00:31:19.751 --> 00:31:22.314]  So it was in the $20,000 range.
[00:31:22.374 --> 00:31:24.155]  So they were saying, look at all this money he's making.
[00:31:24.175 --> 00:31:33.284]  Well, anyone, any farmer knows that you spend a huge amount of money to run your farming operation, to purchase hay and equipment and everything is so expensive.
[00:31:33.464 --> 00:31:34.664]  Well, any business.
[00:31:34.684 --> 00:31:35.605]  That's true of any business.
[00:31:35.625 --> 00:31:39.526]  There's a huge amount of difference between the gross take and the net income.
[00:31:39.546 --> 00:31:41.326]  I mean, you know, Alex has talked about that.
[00:31:41.346 --> 00:31:46.128]  You know, we might take in, I think the figure he had was $7 million, but it's all gone.
[00:31:46.168 --> 00:31:52.529]  And if you're an individual businessman like Alex, a lot of times you go without even taking a salary for a while to keep the organization going.
[00:31:52.569 --> 00:32:01.632]  So there's a huge difference between, and people don't really understand all of the hidden costs and expenses unless you're the person actually doing the books, actually running the business.
[00:32:02.788 --> 00:32:10.215]  Well, in Vernon's case, when we asked him, gee, Vernon, don't you understand the difference between growth and net?
[00:32:10.235 --> 00:32:13.017]  And he did a little bit, but not a lot.
[00:32:13.358 --> 00:32:16.440]  And he said, when we asked him on the stand, why did you write net when it meant growth?
[00:32:16.480 --> 00:32:18.442]  He said, well, I guess that's my eighth grade education.
[00:32:19.043 --> 00:32:22.146]  He was doing the best he could.
[00:32:22.466 --> 00:32:25.208]  He's not very sophisticated in financial matters.
[00:32:25.228 --> 00:32:28.011]  So the state was misleading the jury to say,
[00:32:28.471 --> 00:32:29.732]  Wow, and they prosecuted...
[00:32:48.871 --> 00:32:49.451]  That's amazing.
[00:32:49.471 --> 00:32:53.814]  And they prosecuted a farmer like that with 10 kids for three years.
[00:32:53.854 --> 00:32:55.936]  They harassed him just because he was selling raw milk.
[00:32:56.356 --> 00:33:01.699]  Well, let me ask you about what you offered as a defense and how you think the jury saw this.
[00:33:02.280 --> 00:33:10.965]  Because clearly he hadn't paid the $280 fee, but he also couldn't get a license to sell that because they wouldn't give him a license to sell raw milk.
[00:33:11.345 --> 00:33:16.989]  So do you see this as kind of a jury nullification of a bad law going against raw milk producers?
[00:33:17.229 --> 00:33:17.790]  How do you see this?
[00:33:22.751 --> 00:33:35.373]  I think that in this case it was not a nullification verdict, although there were certainly some grassroots efforts to educate county residents about their power to nullify.
[00:33:35.393 --> 00:33:45.775]  I think that in this case what the defense's theory was that, and this was supported by testimony from every regulator we put on the stand,
[00:33:46.570 --> 00:33:46.951]  We're good.
[00:34:01.590 --> 00:34:10.315]  The structure so that all of his members were in fact owners of his farm and therefore did not need a license to consume the products.
[00:34:10.675 --> 00:34:16.498]  That was his intent and in the documents, we presented the documents with redactions.
[00:34:16.558 --> 00:34:18.959]  There was a lot of evidence we were not able to bring in.
[00:34:19.240 --> 00:34:26.584]  There were constant skirmishes and most of the rulings went the state's way on what we could not introduce.
[00:34:26.644 --> 00:34:28.224]  We couldn't speak the words raw milk.
[00:34:28.324 --> 00:34:29.425]  I don't know if you heard about that.
[00:34:29.445 --> 00:34:30.205]  Oh, I didn't know that.
[00:34:30.266 --> 00:34:30.966]  Tell us about that.
[00:34:33.640 --> 00:34:34.441]  We were not allowed.
[00:34:34.902 --> 00:34:38.505]  The judge continually said this case is not about raw milk and that's what the state said.
[00:34:38.525 --> 00:34:39.406]  It's not about raw milk.
[00:34:39.466 --> 00:34:40.767]  Of course it was about raw milk.
[00:34:40.847 --> 00:34:41.087]  Yeah.
[00:34:41.267 --> 00:34:43.129]  But we weren't allowed to speak the words.
[00:34:44.130 --> 00:34:45.291]  So... That's amazing.
[00:34:47.262 --> 00:34:50.283]  Well, I've heard stranger stories.
[00:34:50.383 --> 00:34:57.986]  I mean, we had a guy who defended himself in New Jersey because he was going to do it on the jury nullification, straight up.
[00:34:58.586 --> 00:35:06.209]  And it's actually in the state constitution in New Jersey that jurors have not only the right, but the responsibility to judge the law as well as the facts of the case.
[00:35:06.689 --> 00:35:15.593]  And he had a gag order put on him from one of the judges, but he still got it out and he still was acquitted the first time, seven to five, actually as a hung jury.
[00:35:16.053 --> 00:35:26.477]  They came after him a second time, and the second time the judge let him actually hold up the New Jersey law and show the New Jersey law to the jurors, and when he did that, he got a unanimous acquittal.
[00:35:26.997 --> 00:35:34.160]  So, you know, it's amazing the things that judges will and won't let into the courts, but you're a lawyer, you know that better than we do.
[00:35:34.600 --> 00:35:42.683]  So, let me ask you then, since this wasn't necessarily a, I wouldn't characterize it as a jury nullification, because they did find him guilty on one charge,
[00:35:43.664 --> 00:35:44.305]  It's in Wisconsin.
[00:35:44.425 --> 00:35:45.246]  Of course, it's Wisconsin only.
[00:36:01.347 --> 00:36:06.431]  And so any legal precedent would affect Wisconsin law, not the laws of other states.
[00:36:06.832 --> 00:36:15.759]  It's also a criminal case, so the presidential effect might be somewhat more curtailed because the state had to prove this beyond a reasonable doubt.
[00:36:15.839 --> 00:36:25.566]  So the fact that they failed to prove it beyond a reasonable doubt doesn't necessarily mean that the law is, as the defense presented its theory, if you can follow that.
[00:36:26.047 --> 00:36:27.368]  But I think, for me,
[00:36:28.522 --> 00:36:30.344]  The message is the important thing here.
[00:36:30.404 --> 00:36:33.087]  The message to regulate is in Wisconsin and in other states.
[00:36:33.807 --> 00:36:40.394]  Because Mr. Hershberger's supporters came to Little Baraboo, Wisconsin from both coasts and dozens of states in between.
[00:36:41.315 --> 00:36:43.597]  And they came to support him
[00:36:45.188 --> 00:36:56.977]  When he was taking a stand for food freedom, that to me is the significance, and for the people's right to opt out of the industrialized food supply, and for the people's right to decide what they are going to consume.
[00:36:58.578 --> 00:37:01.380]  There was a lot of grassroots support.
[00:37:01.420 --> 00:37:07.625]  We had an InfoWars listener who basically set up interviews that Leanne McAdoo used in her report.
[00:37:08.386 --> 00:37:09.046]  He interviewed
[00:37:10.447 --> 00:37:14.169]  I think it was Liz Reitzig with Milk Freedom, Ron Milk Freedom.
[00:37:14.629 --> 00:37:21.352]  Anyway, he interviewed Michael Bednarik, another lawyer who had been in a very large case in California.
[00:37:21.912 --> 00:37:25.534]  And I know there were a lot of people there supporting him, just as you said.
[00:37:25.594 --> 00:37:27.815]  So I think that was a pretty important message.
[00:37:29.236 --> 00:37:29.456]  Right.
[00:37:29.536 --> 00:37:33.318]  I think we really want to focus regulatory attention on this issue.
[00:37:33.598 --> 00:37:37.820]  In my opinion, I feel that if the founding fathers had thought for a moment
[00:37:38.712 --> 00:37:44.317]  That government would try to take our right to consume the food of our choice and the medicine of our choice.
[00:37:44.897 --> 00:37:46.238]  That would have been the First Amendment.
[00:37:46.378 --> 00:37:48.020]  That would absolutely have been the First Amendment.
[00:37:48.040 --> 00:37:50.762]  But we have a fundamental right to consume the food of our choice.
[00:37:51.062 --> 00:37:56.327]  And I'm sure they didn't even think about it because it's something that wouldn't have occurred to you and I a couple of decades ago.
[00:37:56.487 --> 00:38:00.170]  That the government would be that overreaching, that overbearing to do something like that.
[00:38:01.624 --> 00:38:12.828]  Yeah, I think it's a clear case of too much government, and I hear it again and again from people who aren't normally politically very interested, that this is an issue that interests them.
[00:38:12.868 --> 00:38:15.288]  And so that, to me, is the important precedent here.
[00:38:15.389 --> 00:38:20.970]  I really hope that... Because we've seen this heavy-handed enforcement all across the country, not just in Wisconsin.
[00:38:21.971 --> 00:38:23.111]  I'd really like to see the...
[00:38:26.497 --> 00:38:31.760]  Government pick up the message that I think is being sent, which is stay away from our food supply.
[00:38:31.800 --> 00:38:33.480]  That's right.
[00:38:33.700 --> 00:38:37.602]  We start telling people what they can eat and drink, you start even getting the attention of couch potatoes.
[00:38:38.203 --> 00:38:40.404]  Because they sit on the couch and they eat stuff.
[00:38:40.444 --> 00:38:45.466]  So when you start dictating that to them, you get even their attention, even people who aren't typically paying attention.
[00:38:46.046 --> 00:38:49.548]  Tell us a little bit about the bigger fight that you've got with your organization.
[00:38:49.568 --> 00:38:53.870]  Tell us a little bit about your organization and other issues besides raw milk that you're involved in.
[00:38:56.260 --> 00:39:03.768]  The Farm to Consumer Legal Foundation was set up in 2007 and the ultimate goal was to level the playing field a bit.
[00:39:03.828 --> 00:39:14.379]  The government has unlimited legal resources, essentially, and farmers typically are on a pretty tight budget and they don't have extra money to spend on lawyers.
[00:39:14.599 --> 00:39:14.939]  Absolutely.
[00:39:16.454 --> 00:39:26.362]  So for the purchase of a $150 membership, our farmers can apply, not automatic, but they can apply for representation and we try to take as many as we can.
[00:39:26.382 --> 00:39:33.868]  And the goal is just to help any farmer who is being pursued by the government unfairly.
[00:39:34.108 --> 00:39:36.810]  So we have zoning cases, we had
[00:39:38.718 --> 00:39:40.959]  We have a hotline set up that farmers can call in.
[00:39:41.739 --> 00:39:59.508]  I got a call on the hotline last month from someone in Colorado whose wife had a breastfed baby, exclusively breastfed baby, and she had been charged with grazing in the municipal right-of-way because her cows got out.
[00:40:01.797 --> 00:40:07.041]  And her counts got out and the sheriff told her to round them up and she did round them up and put them away.
[00:40:08.122 --> 00:40:17.928]  But they came and arrested her and put her in handcuffs and took her to jail and told her husband she couldn't come back until she saw a judge in the morning and here he's got this crying baby.
[00:40:18.368 --> 00:40:19.249]  Oh man.
[00:40:20.590 --> 00:40:26.514]  So I called the sheriff's office and laid into them for doing that and they wound up letting her go.
[00:40:27.270 --> 00:40:29.431]  But that's the kind of, you know, we get these calls.
[00:40:29.471 --> 00:40:30.371]  We had another call.
[00:40:30.531 --> 00:40:38.574]  Some people were, the farmers were hosting a farm-to-table dinner, and the regulator showed up and started dumping bleach on the food.
[00:40:38.594 --> 00:40:39.675]  Oh, man.
[00:40:40.375 --> 00:40:45.877]  And one of my colleagues, Gary Cox, told her to ask them if they had a warrant, and they didn't tell them to leave.
[00:40:46.237 --> 00:40:50.099]  And they did, and they were able to save some of the food and keep the event going.
[00:40:50.922 --> 00:40:54.406]  Wow, that's just amazing.
[00:40:55.568 --> 00:40:57.930]  That's a great organization, and like you said, it's nationwide.
[00:40:58.111 --> 00:41:02.115]  It reminds me of what homeschoolers had to do with Homeschool Legal Defense Association.
[00:41:02.155 --> 00:41:06.741]  They had to band together for their common defense in court.
[00:41:06.921 --> 00:41:09.063]  And so it's great that you're doing that for farmers.
[00:41:09.144 --> 00:41:10.045]  I really appreciate that.
[00:41:10.085 --> 00:41:10.846]  It's wonderful.
[00:41:11.466 --> 00:41:17.108]  That you've got a background as both a farmer and as a lawyer and that you're stepping up to do that for people.
[00:41:17.128 --> 00:41:18.309]  I really appreciate that.
[00:41:18.389 --> 00:41:30.374]  Thank you so much for doing that and hopefully other states are going to see this and it'll publicize it for both consumers and for the government regulatory agencies that wish to take that choice away from consumers.
[00:41:32.795 --> 00:41:33.755]  Yes, I hope so too.
[00:41:34.055 --> 00:41:37.477]  Well, thank you very much, Elizabeth, for talking to us and keep up the good work.
[00:41:38.837 --> 00:41:39.237]  Thank you.
[00:41:39.418 --> 00:41:39.858]  You're welcome.
[00:41:42.119 --> 00:41:50.322]  And we'd also like to thank Bregan Fuller, who went to the trial and recorded interviews with Liz Reitzig, Michael Badnarek, and other people there.
[00:41:50.402 --> 00:41:53.904]  Thank you so much for caring and for being an activist.
[00:41:54.104 --> 00:42:01.007]  And if you want to get involved with people, you can always go to Planet Infowars, where you can find other activists and like-minded people there.
[00:42:01.847 --> 00:42:03.868]  And don't forget to go to Prison Planet TV.
[00:42:04.528 --> 00:42:10.610]  Your subscription helps us to fund this operation and up to 10 people can view it simultaneously with you.
[00:42:10.890 --> 00:42:14.312]  So you can have actually 11 people watching the news simultaneously.
[00:42:14.992 --> 00:42:18.273]  It really helps to fund our operation and it helps to get the information out there.
[00:42:19.144 --> 00:42:24.708]  Well, that's it for tonight, but don't forget that we're going to be having live coverage from Bilderberg next week.
[00:42:24.908 --> 00:42:31.994]  We're going to have a Bilderberg site coming online in the next day or so that's going to consolidate all of our coverage and information about Bilderberg.
[00:42:32.054 --> 00:42:32.694]  So stay tuned.
[00:42:33.195 --> 00:42:35.676]  We'll be back tomorrow night at 7 central, 8 p.m.
[00:42:35.837 --> 00:42:36.137]  Eastern.
