[00:00:22.569 --> 00:00:24.211]  It's Tuesday, July 23rd.
[00:28:22.421 --> 00:28:28.182]  Underscore how your tax money is going to arm radical jihad extremists in Syria.
[00:28:28.583 --> 00:28:31.603]  That's going to wrap it up for this edition of the InfoWars Nightly News.
[00:28:32.183 --> 00:28:37.145]  And if you like what we're doing, then support us by becoming a PrisonPlanet.tv member.
[00:28:37.525 --> 00:28:41.286]  Of course, you'll get exclusive subscriber access to content
[00:28:41.946 --> 00:28:53.455]  Before it goes up on YouTube, the daily video stream of the Alex Jones Show, which is exclusive to subscribers, speeches, special events, behind-the-scenes footage, and much more.
[00:28:53.976 --> 00:29:08.808]  The new Mind Control documentary, which is getting rave reviews, State of Mind, is also available in high quality at PrisonPlanet.tv, and I'd invite you to buy the Blu-ray and the DVD of State of Mind, which is now available.
[00:29:09.668 --> 00:29:13.490]  So, one subscription, again, can be shared with 11 people.
[00:29:14.250 --> 00:29:17.812]  You can give out the passcode to as many as 11 people.
[00:29:17.832 --> 00:29:19.413]  They can all log into the same account.
[00:29:19.733 --> 00:29:27.577]  So you save money, you support our media operation, and spread the truth by becoming a subscriber at PrisonPlanet.tv.
[00:29:28.137 --> 00:29:29.938]  That's it for this edition of the show.
[00:29:29.978 --> 00:29:32.499]  We'll see you next time on InfoWars Nightly News.
[00:29:38.450 --> 00:29:43.696]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:29:44.056 --> 00:29:49.142]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:29:49.623 --> 00:29:55.409]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
