[00:00:16.216 --> 00:00:18.600]  It's time for you men to stand up in the info hall.
[00:30:24.505 --> 00:30:36.490]  So in every year since then, our last is in the circulation department would print out a list of all of our subscribers within a 200 mile radius, and they get a letter asking
[00:30:39.149 --> 00:30:52.999]  Can you also talk about two things that happened this year at the same time?
[00:30:53.640 --> 00:31:02.787]  The host country challenged their right to meet in the way they do and yesterday they filmed actual members walking outside the grounds which you say has never happened.
[00:31:02.807 --> 00:31:04.408]  Can you talk about those two points?
[00:31:08.069 --> 00:31:12.170]  Walking outside the grounds, I think, for the first time ever.
[00:31:12.970 --> 00:31:18.032]  Always before, once they get behind the sawhorses and armed guards, they stay inside.
[00:31:18.992 --> 00:31:26.214]  Oh, they walk around on some grounds that are far, far away, but none where you could actually speak to them and they could hear you.
[00:31:27.569 --> 00:31:39.046]  I think they probably decide that we need to reassure since we've had all this horrible publicity and big newspapers, little newspapers, and big and small broadcasters giving such heavy attention.
[00:31:40.792 --> 00:31:42.734]  We better make some kind of a public relations move.
[00:31:43.495 --> 00:31:47.579]  So we'll walk to this place and we'll smile at them.
[00:31:48.400 --> 00:31:53.866]  If they ask a question, if we could give them a sweetheart answer, we'll respond graciously.
[00:31:54.246 --> 00:31:59.231]  If not, we will be unable to hear the question and be sorry, maybe a little wave.
[00:32:00.152 --> 00:32:01.113]  So I think that was a
[00:32:02.494 --> 00:32:14.422]  Another case of them being forced to do something they would not normally do to confront the fact that there's such increasing public awareness that a lot of them are in great political danger of even being billed.
[00:32:25.205 --> 00:32:28.128]  Already we've seen leading members of Congress used to always attend.
[00:32:28.148 --> 00:32:34.015]  The Speaker of the House, representatives, ranking senators would attend.
[00:32:34.816 --> 00:32:39.041]  Now they don't dare because they get mail from their own constituents.
[00:32:40.322 --> 00:32:44.246]  Voters in their own congressional district are in their home state for the senators.
[00:32:45.020 --> 00:32:52.405]  Saying if you do business with these criminals anymore, we'll never vote for you again.
[00:32:52.865 --> 00:32:53.946]  We'll vote for anybody else.
[00:32:54.807 --> 00:32:58.209]  And they've been politically frightened out of the ballgame.
[00:32:58.269 --> 00:32:59.550]  They're already long gone.
[00:33:00.310 --> 00:33:08.996]  And I think more are feeling very hesitant, very eager to cover their butts when they come to Billeberg.
[00:33:10.797 --> 00:33:23.160]  Secretary of Defense not being on the list, when the Secretary of Defense always attends Bill O'Byrne from the United States, along with the Secretary of Treasury, who's here, and Secretary of Commerce, other high officials in the administration.
[00:33:24.340 --> 00:33:30.401]  Did I tell you I had the pleasure of talking to Kenneth Clark one time when he was in Washington?
[00:33:32.262 --> 00:33:37.663]  He thought he was going to hold a press conference to discuss, I forgot, some international issue.
[00:33:38.852 --> 00:33:40.274]  I'm there and I asked the first question.
[00:33:40.314 --> 00:33:43.177]  I said, Mr. Clark, you attended the Billeberg meeting.
[00:33:43.277 --> 00:33:50.025]  I had notes in front of me named the dates and the exact location and the exact town and country on these dates.
[00:33:50.485 --> 00:33:53.288]  Can you tell us what transpired?
[00:33:53.949 --> 00:33:58.935]  The other reporters from the New York Times, of course, never heard of Billeberg, but they're real interested in this.
[00:33:59.844 --> 00:34:00.625]  No, no.
[00:34:15.928 --> 00:34:22.333]  We will have a complete European Union, a common currency.
[00:34:22.933 --> 00:34:27.176]  Then we'll have the American Union, and your common currency will be the Mario.
[00:34:27.797 --> 00:34:30.659]  Then we'll have the Asian Pacific Union, and they'll have a common currency.
[00:34:30.939 --> 00:34:36.463]  And our grandchildren are going to laugh about the days when we had all these petty little currencies.
[00:34:37.244 --> 00:34:40.246]  We have to have a world government so you have peace and all that jazz.
[00:34:55.516 --> 00:34:56.226]  I think it's here.
[00:35:22.836 --> 00:35:26.081]  Must have been a fleeting visit for whoever is in that helicopter.
[00:35:26.382 --> 00:35:28.565]  The conference only started officially.
[00:35:28.625 --> 00:35:31.971]  Off it goes, over the mountains.
