[00:00:21.227 --> 00:00:23.051]  It's Tuesday, October 22nd.
[00:23:53.697 --> 00:23:54.917]  I'm sure every shot is going to be a success.
[00:23:54.937 --> 00:23:55.237]  Perfect.
[00:23:55.478 --> 00:23:55.878]  That's right.
[00:23:56.718 --> 00:23:58.079]  Well, Shane, we just did a lot of shooting.
[00:23:58.119 --> 00:24:01.220]  What was your favorite part of all the different guns we shot on the upcoming Brothers in Arms?
[00:24:01.580 --> 00:24:04.121]  Well, it was actually watching John shoot the .50 cal.
[00:24:04.242 --> 00:24:05.262]  It was pretty amazing.
[00:24:05.663 --> 00:24:10.666]  Especially the fact that you're left-handed, or you're right-handed, and you shoot left-handed.
[00:24:11.366 --> 00:24:11.967]  That's pretty amazing.
[00:24:11.987 --> 00:24:14.168]  You were doing pretty good for having that handicap.
[00:24:14.328 --> 00:24:15.549]  I was amazed I could even lift it.
[00:24:16.149 --> 00:24:17.310]  It weighs more than my wife.
[00:24:18.131 --> 00:24:19.411]  So, yeah, I had a blast.
[00:24:19.511 --> 00:24:19.932]  I really did.
[00:24:20.052 --> 00:24:20.752]  You did a great job.
[00:24:20.772 --> 00:24:21.312]  Thank you, sir.
[00:24:21.513 --> 00:24:26.295]  The last time I talked to you, you were hiding out somewhere in the Belizean jungle, and you made it out.
[00:24:26.856 --> 00:24:32.059]  I tell you, I saw that article, America Loves the Success Story of an Adventurer.
[00:24:32.932 --> 00:24:33.392]  That they do.
[00:24:34.093 --> 00:24:36.075]  Well, you know, I was fortunate.
[00:24:36.155 --> 00:24:39.217]  I had good help and I was careful.
[00:24:39.297 --> 00:24:43.441]  I kept my head low and for a month and a half I evaded the 7,000 man army.
[00:24:43.521 --> 00:24:45.243]  All of them had my photograph looking for me.
[00:24:45.983 --> 00:24:52.429]  And 4,000 police and managed to get across the border carrying, you know, two reporters and a retinue of young girls.
[00:24:52.489 --> 00:24:53.790]  So I think that was success.
[00:24:54.450 --> 00:24:55.071]  How did you do it?
[00:24:56.790 --> 00:24:58.111]  You know, mostly by misdirection.
[00:24:58.131 --> 00:25:06.959]  You know, telling friends that I knew were unfaithful friends that I was in one place when I wasn't and they would then tell the government and they would all rush there and I'd be somewhere else.
[00:25:08.140 --> 00:25:13.364]  And I got across the border because the southern border was completely manned with guards.
[00:25:14.525 --> 00:25:17.188]  I managed to arrange to get arrested in Mexico.
[00:25:17.228 --> 00:25:18.649]  It was a double that looked like me.
[00:25:19.855 --> 00:25:27.258]  And I had that reported in the international press and everybody went north to the Mexican border and I just waltzed across the southern border into Guatemala.
[00:25:27.518 --> 00:25:28.878]  You sound like a James Bond character.
[00:25:28.898 --> 00:25:30.659]  We're hanging out with James Bond right now.
[00:25:30.679 --> 00:25:31.699]  Did you know that?
[00:25:31.999 --> 00:25:32.599]  That's amazing.
[00:25:33.440 --> 00:25:36.261]  Yeah, well at the time it was a little bit spooky, but I knew I could do it.
[00:25:36.281 --> 00:25:37.821]  It also shows the day that it was raining.
[00:25:38.661 --> 00:25:43.523]  And in Belize, no police officer gets out of their car in the rain to check another car.
[00:25:43.563 --> 00:25:44.203]  This is a fact.
[00:25:44.683 --> 00:25:46.544]  So I chose a rainy day and we drove
[00:25:47.893 --> 00:25:54.675]  200 miles down the Southern Highway and passed a bunch of checkpoints, and police were all huddled in their cars looking out the window, and no one stopped us.
[00:25:54.735 --> 00:25:55.935]  No one did anything.
[00:25:56.035 --> 00:25:57.376]  I was reading Computer World today.
[00:25:57.416 --> 00:26:00.377]  They had a big vote, and you're the most popular person they said to head up Microsoft.
[00:26:00.397 --> 00:26:02.317]  You know, that surprised me, actually.
[00:26:02.877 --> 00:26:10.119]  It was, I think, Tech Week that did the survey of 10 or 20,000 users, and they all voted, and I was number one.
[00:26:10.399 --> 00:26:15.761]  27% for me, 24% for Bill Gates, and the other 30 people only got less than 10% of the vote.
[00:26:17.287 --> 00:26:20.450]  I don't know whether the world has gone crazy or what, but I wouldn't take that job.
[00:26:20.530 --> 00:26:21.070]  It's too boring.
[00:26:21.370 --> 00:26:22.151]  I almost forgot.
[00:26:22.191 --> 00:26:26.814]  The whole reason I was doing this quick interview is I asked if you're going to be writing a book anytime soon.
[00:26:26.835 --> 00:26:36.281]  I saw in the news that there's two major movie companies, Warner Brothers and somebody else, I forget, that are already making a movie about your great escape down there from the clutches of the third world dictators.
[00:26:36.542 --> 00:26:36.902]  That's true.
[00:26:36.922 --> 00:26:45.088]  Warner Brothers has already announced the screenwriters and then Impact Future Media in Canada is doing their own movie and that script has already been written.
[00:26:46.611 --> 00:26:52.673]  I think the Warner Brothers movie is based on a book by Joshua Davis who claims that he lived with me for most of a year.
[00:26:53.213 --> 00:26:58.154]  He actually spent just a few hours with me in Belize and then went back and pretended to be the McAfee expert.
[00:26:58.174 --> 00:27:00.395]  So, I'm anxious for both of them to come out.
[00:27:00.415 --> 00:27:02.055]  I'd like to see what I actually did.
[00:27:03.756 --> 00:27:06.596]  But then someday there'll be the real movie put out with what you really did do.
[00:27:06.676 --> 00:27:07.357]  Yeah, I hope so.
[00:27:07.477 --> 00:27:07.797]  We'll see.
[00:27:08.217 --> 00:27:10.117]  Alright, John McAfee, thanks for talking to us.
[00:27:10.657 --> 00:27:11.918]  Folks, check out your website.
[00:27:11.938 --> 00:27:12.598]  Give them the address.
[00:27:13.334 --> 00:27:15.035]  It's whoismaccafee.com.
[00:27:15.095 --> 00:27:16.216]  Whoismaccafee.com.
[00:27:16.356 --> 00:27:20.198]  And we're at InfoWars.com out here with Shane Stowner on his beautiful ranch doing some shooting.
[00:27:20.438 --> 00:27:21.378]  Shane, thanks as always.
[00:27:21.919 --> 00:27:22.319]  Have fun.
[00:27:22.559 --> 00:27:23.920]  Alright, Alex Jones signing off.
[00:27:24.220 --> 00:27:24.900]  Awesome.
[00:27:24.920 --> 00:27:25.140]  Alright.
[00:27:25.200 --> 00:27:26.341]  For InfoWars.com.
[00:27:26.521 --> 00:27:27.061]  Thank you, Alex.
[00:27:29.383 --> 00:27:32.544]  John McAfee and the .50 caliber shootout.
[00:27:32.904 --> 00:27:35.186]  Coming to InfoWars Nightly News.
[00:27:35.706 --> 00:27:37.047]  Wednesday, October 23rd.
[00:28:10.794 --> 00:28:13.615]  Stay tuned after the news for more special reports.
[00:28:15.415 --> 00:28:20.677]  Now you can watch the Alex Jones Show live as it happens at infowars.com slash show.
[00:28:21.017 --> 00:28:26.099]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:28:26.559 --> 00:28:32.381]  More than 60 movies and documentaries all in one place at infowars.com slash show.
[00:28:39.918 --> 00:28:42.660]  I'm Jakari Jackson with an InfoWars Nightly News Alert.
[00:28:43.221 --> 00:28:45.082]  Are you willing to fire upon Americans?
[00:28:45.422 --> 00:28:48.145]  That's the question reportedly being asked of military personnel.
[00:28:48.525 --> 00:28:49.626]  And who's asking this question?
[00:28:49.866 --> 00:28:53.489]  The United States government themselves, according to the military personnel we've talked to.
[00:28:53.989 --> 00:29:03.257]  Retired Navy SEAL Benjamin Smith went on the Fox News Channel, revealing how he believes the United States government is trying to provoke veterans into an armed confrontation.
[00:29:03.657 --> 00:29:08.261]  He was also on the Alex Jones Radio Show today, telling us about the litmus test he was given.
[00:29:10.697 --> 00:29:37.221]  Going back to the beginning of this administration, there were, I've had friends within the community talking about how they were brought in and, you know, questioned with people from, you know, more towards the top side, and the questioning resulted in kind of where the, where it was pointing was, you know,
[00:29:38.035 --> 00:29:40.538]  Do you feel comfortable disarming American citizens?
[00:29:40.598 --> 00:29:45.965]  And you can see that now with the shutting of a lot of the officers and stuff like that.
[00:29:46.025 --> 00:29:50.551]  It's, you know, we don't have the 100% track on it, but
[00:29:51.144 --> 00:29:55.228]  You know, there's a lot of funny things happening within military.
[00:29:55.248 --> 00:29:57.570]  Now that's bombshell, but I want to quantify that.
[00:29:58.051 --> 00:30:04.457]  I have Secret Service, FBI sources on record on the air, but also covert sources that are currently in.
[00:30:04.757 --> 00:30:06.459]  They say exactly that for two years.
[00:30:06.499 --> 00:30:13.886]  There is a litmus test where officers from the generals down to lieutenant generals, down to majors, down to sergeant,
[00:30:14.446 --> 00:30:15.607]  Yeah, and at this moment in this conversation, it's
[00:30:40.217 --> 00:30:42.559]  God, to bring it back to Van Jones.
[00:30:43.580 --> 00:30:45.221]  Oh yeah.
[00:30:45.601 --> 00:31:08.375]  Like, do you remember him when he said you have to, like for us to have the argument or to just have the conversation logically and what he was saying with like the communists and the lefties and everything that Van Jones is, it's you drop the radical pose for the radical ends and just to translate that into what this is,
[00:31:09.184 --> 00:31:20.887]  You know, I understand a lot of Libertarian Ron Paul, a lot of people that are your listeners, get like fervent and very strong about it.
[00:31:21.487 --> 00:31:25.948]  And it's not about, you know, being that person that's the loudest right there.
[00:31:26.488 --> 00:31:32.389]  Having that logical conversation to where someone else can reply and you can go back with facts.
[00:31:32.669 --> 00:31:36.770]  And it's a logical conversation that needs to be had.
[00:31:39.184 --> 00:31:44.790]  And you can see the rest of that bombshell interview on PrisonPlanet.tv, where if you're not a member, you need to join today.
[00:31:45.091 --> 00:31:50.477]  You get a 15-day free trial, and you can also share one username and passcode with up to 11 different people.
[00:31:50.537 --> 00:31:52.079]  Get your membership today.
[00:31:52.419 --> 00:31:54.982]  Now stick around, because after this, we'll have more special reports.
[00:31:55.342 --> 00:31:58.406]  I'm Jakari Jackson, and this has been an InfoWars Nightly News Alert.
[00:32:12.500 --> 00:32:18.450]  With me is Bachman Nasseri as he's going to take us behind the curtain to see the Golden Veil.
[00:32:20.253 --> 00:32:22.276]  Bachman, thank you so much for being here today.
[00:32:23.891 --> 00:32:30.054]  Thank you for inviting me, Gigi, and for giving me eight minutes of your news broadcast.
[00:32:30.654 --> 00:32:37.377]  I'd like to ask Alex Jones to give me seven minutes of his show, so I have my 15 minutes of fame.
[00:32:37.777 --> 00:32:38.277]  But I'm fun.
[00:32:38.297 --> 00:32:39.217]  You're very good at math.
[00:32:41.798 --> 00:32:46.440]  Gigi, would you like to know why I'm wearing an orange T-shirt?
[00:32:46.981 --> 00:32:47.661]  Yes, I would.
[00:32:48.871 --> 00:32:53.334]  Because after this show, I'll be taken away to play basketball for 30 years.
[00:32:53.354 --> 00:32:55.936]  But gosh, I hope not.
[00:32:56.277 --> 00:32:59.419]  You know, I want our viewers to know more about your story.
[00:32:59.499 --> 00:33:03.682]  So let's get started and we'll talk about The Golden Veil, the movie that you made.
[00:33:03.942 --> 00:33:06.104]  But let's talk a little bit about Bahman.
[00:33:07.305 --> 00:33:08.085]  Right.
[00:33:08.826 --> 00:33:13.710]  I'm an Iranian exile turned into an Iranian-American filmmaker.
[00:33:15.091 --> 00:33:19.553]  I am also a 32nd degree mason trying to reveal the truth.
[00:33:21.114 --> 00:33:26.476]  But if I start talking, Gigi, I'll have to speak for two or three hours.
[00:33:26.656 --> 00:33:30.678]  So I'll leave that for a face to face debate with Alex Jones.
[00:33:34.144 --> 00:33:46.759]  To learn more about me, viewers should type my name in YouTube's search box and click on the yellow rose where they will find my recent interviews.
[00:33:48.100 --> 00:33:51.825]  Also, follow me on Twitter at Bahman Nasiri.
[00:33:52.805 --> 00:33:56.291]  Okay, so Bhaman Nasiri at Twitter.
[00:33:56.611 --> 00:33:58.915]  We'll put that up on the screen for the viewers too.
[00:33:59.476 --> 00:34:03.041]  Let's jump right in and talk about the skull and bones issue.
[00:34:04.397 --> 00:34:05.437]  The skull and bones.
[00:34:06.137 --> 00:34:06.497]  Wow.
[00:34:06.897 --> 00:34:19.040]  Um, uh, you mean the skull and bones, uh, relationship with, uh, the Roshan Naya, where, uh, uh, I have shown that in my feature film, the Golden Bay.
[00:34:19.700 --> 00:34:22.680]  And also I've talked about that in a number of interviews.
[00:34:23.721 --> 00:34:28.722]  Well, I'll try to explain this, um, um, quickly.
[00:34:28.742 --> 00:34:30.542]  Um, okay.
[00:34:32.353 --> 00:34:34.114]  What do you see here, Gigi?
[00:34:34.875 --> 00:34:36.556]  Okay, it's a pyramid.
[00:34:36.576 --> 00:34:38.078]  It's a pyramid.
[00:34:38.138 --> 00:34:38.838]  With a ring in it.
[00:34:41.240 --> 00:34:45.003]  Seven billion people lie at the bottom of the pyramid.
[00:34:45.563 --> 00:34:45.824]  Okay.
[00:34:48.325 --> 00:34:53.189]  The main part of the pyramid is occupied by Freemasons.
[00:34:54.210 --> 00:34:59.174]  Freemasons who know nothing about what is at the top.
[00:35:00.979 --> 00:35:03.620]  Where you will see the all-seeing eye.
[00:35:04.361 --> 00:35:07.442]  If you turn a dollar banknote, you will see that.
[00:35:08.523 --> 00:35:08.863]  Okay.
[00:35:11.024 --> 00:35:12.325]  The all-seeing eye.
[00:35:12.665 --> 00:35:23.391]  A small portion of the pyramid at the top is occupied by a secret society that I have explained in my interviews.
[00:35:23.951 --> 00:35:25.752]  They are called the eagles.
[00:35:27.771 --> 00:35:43.623]  Now, between the section occupied by the Freemasons and the Eagles, there is a section where the Skull and Bones and the Roshaniah occupy.
[00:35:44.864 --> 00:35:50.568]  Now, you know what important figures are members of the Skull and Bones.
[00:35:52.049 --> 00:35:55.732]  So, let me now explain about the Roshaniah.
[00:35:56.766 --> 00:36:03.230]  The Rosh Hashanah goes back to the 16th century and it started in the mountains of Afghanistan.
[00:36:04.451 --> 00:36:09.834]  Osama Bin Laden was a member of the Rosh Hashanah at the age of 21.
[00:36:10.015 --> 00:36:15.158]  It was later on that he formed his own group called Al-Qaeda.
[00:36:18.120 --> 00:36:23.643]  And he actually participated in kicking Russians out of Afghanistan.
[00:36:24.523 --> 00:36:30.906]  Now, you may already be trying to connect the dots.
[00:36:32.026 --> 00:36:37.488]  The Roshanaya is considered as a sister branch of the Skull and Bones.
[00:36:38.269 --> 00:36:38.569]  Okay.
[00:36:39.463 --> 00:36:52.032]  So, now, this will make it interesting for you, and for those who believe that 9-11 was a conspiracy.
[00:36:53.753 --> 00:37:07.563]  Because if George W. Bush, Dick Cheney, etc., they are members of the Skull and Bones, and Osama Bin Laden was a member of the Roshaniya, although he would never have admitted to it,
[00:37:09.739 --> 00:37:11.120]  Then there is a connection there.
[00:37:12.601 --> 00:37:13.081]  You agree?
[00:37:13.341 --> 00:37:14.402]  Yes, I do agree.
[00:37:14.462 --> 00:37:20.086]  And I always wondered why there was some kind of communication between the Bushes and that side.
[00:37:20.146 --> 00:37:22.588]  I just, I didn't understand it.
[00:37:23.108 --> 00:37:24.249]  So, please continue.
[00:37:24.269 --> 00:37:24.329]  Yes.
[00:37:25.250 --> 00:37:33.476]  You will notice in my interviews that I explain what I know about the secret plans to begin World War III.
[00:37:35.472 --> 00:37:36.192]  Plus more.
[00:37:37.673 --> 00:37:48.598]  And I state my case why it is so wrong for the Obama administration to begin dialogue with the Islamic Republic of Iran.
[00:37:50.198 --> 00:37:57.762]  We are at a crucial point in the history of mankind and if we fail in stopping the demons
[00:37:58.683 --> 00:38:10.852]  From carrying out their agenda, billions of people will be dead as a result of a world war, which will begin with Muslims and Jews wiping each other out.
[00:38:11.392 --> 00:38:14.234]  And get a little bit clearer on the actual demons.
[00:38:14.534 --> 00:38:15.175]  Talk about that.
[00:38:18.137 --> 00:38:26.463]  The demons are the lodge of the eagles, that the Freemasons are not aware of it.
[00:38:28.530 --> 00:38:31.673]  And I have to go into detail about all this.
[00:38:31.993 --> 00:38:35.136]  It will take me a long time.
[00:38:35.517 --> 00:38:42.063]  You know, we don't, I realize we do not have that much time on this news broadcast, but, um,
[00:38:43.664 --> 00:38:58.868]  In my film, well, Gigi, I'm not here to advertise for my feature film called The Golden Veil, but in this film I showed the conspiracy behind the Iranian Revolution and the U.S.
[00:38:59.108 --> 00:39:05.370]  hostage crisis of 1979 connecting to what is happening today.
[00:39:06.930 --> 00:39:09.991]  The Iranian Revolution was a conspiracy.
[00:39:10.948 --> 00:39:19.253]  As the first step of the final chapter of the New World Order.
[00:39:20.954 --> 00:39:34.643]  And what we are going to see over the next couple of years is other Islamic countries in the Middle East turning into Islamic fundamentalists.
[00:39:36.122 --> 00:39:45.067]  One by one, as we have already seen happening, and I predicted this in 2011 during an MIT debate.
[00:39:47.928 --> 00:39:48.308]  Why?
[00:39:48.808 --> 00:40:00.894]  Because the big plan is to turn the whole of the Middle East into a big enemy against the United States and Israel.
[00:40:02.495 --> 00:40:04.316]  To stage a big war.
[00:40:06.503 --> 00:40:18.090]  And behind the scenes, they will be encouraging Iran to manufacture its nuclear heads.
[00:40:19.591 --> 00:40:23.874]  Because to make big war, you need big enemy.
[00:40:25.595 --> 00:40:31.099]  You wouldn't want a war that would be over in two or three days, like the overthrow of Saddam Hussein.
[00:40:32.441 --> 00:40:45.252]  So therefore, I do not believe all this love affair, I call it, between President Obama and the new Iranian President Rouhani.
[00:40:46.894 --> 00:40:48.835]  This is all a show.
[00:40:51.684 --> 00:41:02.415]  Behind the scenes, they will encourage Iran, they will support Iran behind the scenes to develop its nuclear heads and that has to be stopped.
[00:41:04.237 --> 00:41:04.437]  Wow.
[00:41:04.917 --> 00:41:11.324]  And so, how do the Chinese and North Korea and all the other big players figure into this?
[00:41:12.910 --> 00:41:17.832]  Well, you know, the war will begin between Muslims and Jews.
[00:41:18.712 --> 00:41:22.834]  And that is how it is going to begin.
[00:41:23.414 --> 00:41:25.615]  And I hope that it doesn't spread.
[00:41:26.475 --> 00:41:31.457]  But obviously, if you're talking about World War Three, they're all going to get involved.
[00:41:34.078 --> 00:41:42.001]  The demons, the demons, as you call them, their big plan is to reduce world population.
[00:41:43.240 --> 00:41:50.582]  Before World War 3, there were 3 billion people on Earth and they used to say that the world is overpopulated.
[00:41:50.602 --> 00:41:55.983]  Now we have 7 billion and natural resources on the decline.
[00:41:58.504 --> 00:42:06.385]  And the only way to reduce world population is through atomic wars.
[00:42:07.526 --> 00:42:08.486]  I know this sounds
[00:42:10.777 --> 00:42:13.799]  Frightening, but we are heading that way.
[00:42:14.639 --> 00:42:24.105]  And it is up to us, seven billion people on earth, to stop those demons who are less than a thousand people who are ruling upon us.
[00:42:26.226 --> 00:42:31.710]  And what do you see being the next wave that will help stop that?
[00:42:31.770 --> 00:42:35.092]  What do you believe will be the next thing that will stand against the demons?
[00:42:36.636 --> 00:42:50.150]  By people to be enlightened, to know of these plans which were drawn decades ago behind closed doors.
[00:42:51.311 --> 00:42:55.515]  It all began with the Iranian Revolution 34 years ago.
[00:42:58.458 --> 00:43:16.283]  But as I have gone into more detail in my other interviews, especially the Hagman and Hagman Report, in that interview that took about two hours, I explained in detail when it actually originated.
[00:43:17.304 --> 00:43:21.985]  And we would be going back to the 19th century,
[00:43:25.333 --> 00:43:25.633]  Thank you.
[00:43:37.057 --> 00:43:42.944]  predicted World War I, World War II, and World War III, and according to his writings.
[00:43:43.024 --> 00:43:47.849]  And that letter was displayed in the London Museum for a while before it was taken away.
[00:43:49.451 --> 00:43:57.900]  And in that letter he explained how Third World War would begin between the Arabs and the Jews.
[00:43:59.286 --> 00:44:01.387]  And what will the Jewish people be doing?
[00:44:01.707 --> 00:44:07.451]  What is their next move in the prophecy, if that's what you want to call what he wrote?
[00:44:08.351 --> 00:44:09.472]  What would be the next thing?
[00:44:09.512 --> 00:44:14.334]  Are they going to stand up against, or is it going to be induced by the United States of America?
[00:44:15.095 --> 00:44:15.715]  What do you see?
[00:44:16.876 --> 00:44:20.618]  Well, the only thing that Israel can do
[00:44:21.872 --> 00:44:48.144]  Is to, and I'm an Iranian saying this, and I will, once this program is aired, I will probably be the most unpopular Iranian in the world by saying this, but the only thing Israel can do to defend itself, to prevent another Holocaust, is to bomb Iran's nuclear installations.
[00:44:49.897 --> 00:45:02.424]  That will put them back probably twenty years and that will give us time to overthrow that regime and bring back our friendship with Israel.
[00:45:02.944 --> 00:45:06.446]  Iran and Israel were good friends for decades.
[00:45:08.027 --> 00:45:17.972]  Jewish people were in Iran or the old Persia since the time of King Cyrus who gave them their freedom.
[00:45:19.085 --> 00:45:23.386]  And that all ended with the Islamic Revolution of 1979.
[00:45:24.387 --> 00:45:27.467]  So, you're not actually calling for action, though, against them.
[00:45:27.527 --> 00:45:31.568]  You're saying we can settle this in a peaceful way, by disarming them, right?
[00:45:31.588 --> 00:45:35.410]  It will never be peaceful.
[00:45:36.450 --> 00:45:39.631]  Well, they are obviously not going to say, hey, here, take my nukes, right?
[00:45:41.611 --> 00:45:42.952]  No, they are not going to.
[00:45:43.093 --> 00:45:44.474]  They have one aim.
[00:45:44.494 --> 00:45:52.922]  The Islamic Republic of Iran has one aim, and that is to manufacture its nuclear heads and attack Israel.
[00:45:54.603 --> 00:45:57.246]  Because they are looking forward to Armageddon.
[00:45:58.772 --> 00:46:02.875]  Here at InfoWars, we're not going to say, go to war.
[00:46:02.915 --> 00:46:05.757]  That's just not something that we're going to say.
[00:46:05.777 --> 00:46:10.741]  I see your perspective on it, but we're not going to condone a war.
[00:46:11.482 --> 00:46:15.224]  We can only pray that they will do the right thing.
[00:46:16.665 --> 00:46:22.670]  And with that being said, I understand that you've had some changes in your personal life as well.
[00:46:26.158 --> 00:46:26.719]  Well, sure.
[00:46:28.140 --> 00:46:34.105]  Well, I will be glad to tell you that five months ago I turned Christian.
[00:46:34.125 --> 00:46:43.112]  And I have to say amen to that and I'm very happy to hear your testimony.
[00:46:43.192 --> 00:46:46.035]  It's on YouTube and it's very powerful to watch.
[00:46:47.616 --> 00:46:49.378]  And that turned my life around.
[00:46:50.780 --> 00:47:00.163]  I finally realized that I had lived in darkness for 60 years of my life until I turned Christian.
[00:47:01.484 --> 00:47:13.688]  Well, our God is greater than any of those demons, and what we can hope for is that there will be some massive divine intervention that will disarm Iran.
[00:47:16.069 --> 00:47:18.870]  Well, to prevent war,
[00:47:19.778 --> 00:47:29.581]  There is a way, and that is for the Iranian populace to rise up and topple that regime by themselves.
[00:47:30.321 --> 00:47:30.641]  Amen.
[00:47:31.302 --> 00:47:31.602]  Amen.
[00:47:31.702 --> 00:47:32.062]  Amen.
[00:47:32.762 --> 00:47:34.883]  It's been really great talking with you, Bowen.
[00:47:35.663 --> 00:47:42.345]  Gigi, I would like to congratulate you for your great performance in your movie, Flag of My Father.
[00:47:43.234 --> 00:47:43.874]  Thank you, sir.
[00:47:44.575 --> 00:47:45.956]  Duly noted and received.
[00:47:46.896 --> 00:47:51.159]  And give us your Twitter page again so people can communicate with you.
[00:47:53.700 --> 00:47:55.862]  At Bahman Nasiri.
[00:47:57.062 --> 00:48:08.309]  And Gigi, if I have a few more minutes, I would like to salute Alex Jones with a message, if I may.
[00:48:08.870 --> 00:48:09.430]  Go right ahead.
[00:48:12.392 --> 00:48:14.414]  Gigi, do you see this?
[00:48:14.434 --> 00:48:16.076]  I love it.
[00:48:16.697 --> 00:48:17.017]  Yes.
[00:48:17.417 --> 00:48:19.059]  This is a .357 Magnum.
[00:48:19.259 --> 00:48:19.600]  Yes.
[00:48:20.240 --> 00:48:26.026]  And this is the gun that saved my father's life at his residence in L.A.
[00:48:26.687 --> 00:48:32.633]  in 1983 when Ayatollah Khomeini sent his little boys to assassinate him.
[00:48:34.093 --> 00:48:43.963]  Those who favor gun control shall regret it when their homes are invaded by terrorists, thieves, rapists, or psychopaths.
[00:48:45.144 --> 00:48:49.389]  But let me tell you that you cannot defend your family with a handgun.
[00:48:50.470 --> 00:48:54.254]  That's why I believe every family should own a long rifle.
[00:48:55.595 --> 00:49:11.202]  You know, the only reason those scumbag terrorists do not dare coming after me is because they know I'm fully armed with an AK-47 and an AR-15 and a thousand rounds of ammunition.
[00:49:12.503 --> 00:49:23.448]  Alex, if we had a thousand men like you, today a gang of less than a thousand criminals would not have been ruling upon seven billion people on Earth.
[00:49:24.741 --> 00:49:27.384]  So I'd like to be one of your comrades.
[00:49:28.765 --> 00:49:32.569]  You need an Iranian freedom fighter amongst your team.
[00:49:35.012 --> 00:49:35.973]  Thank you so much.
[00:49:36.674 --> 00:49:37.775]  Thank you for having me.
[00:49:39.957 --> 00:49:41.659]  And of course, that was Bamin Nassiri.
[00:49:41.959 --> 00:49:46.464]  And here at InfoWars, we obviously don't want to encourage war.
[00:49:47.577 --> 00:49:56.823]  But there is an info war out there that we need to do battle in, and in that info war, I suggest that you reach out to people and tell them about PrisonPlanet.tv.
[00:49:57.343 --> 00:50:05.128]  You can give your username and password to up to 10 people and let them know about Alex Jones and the war that's on for your mind.
[00:50:06.248 --> 00:50:08.870]  I'm Gigi Ornette for the Info Wars Nightly News.
[00:50:33.091 --> 00:50:34.791]  It's real simple.
[00:50:35.711 --> 00:50:49.595]  Not only have I seen some come and take it flags, it's also interesting that the first battle of the Texas Revolution was in Gonzales when the Mexican army went to Gonzales to take the cannon away from the settlers who lived there.
[00:50:50.375 --> 00:50:50.995]  And they said no.
[00:50:51.866 --> 00:50:53.487]  The second amendment, in my view, is the defender of the rest.
[00:51:21.354 --> 00:51:27.099]  And you also have to go back to the founders and what they wrote, what they said, what they meant.
[00:51:28.200 --> 00:51:47.497]  They were very careful when they wrote our Bill of Rights to emphasize that these rights were not granted by government, that these are God-given natural rights, and that they merely enumerated those rights, the first, the second, the fourth, the fifth,
[00:51:48.251 --> 00:51:48.792]  We're good to go.
