[00:00:14.477 --> 00:00:17.163]  It's time for humanity to stand up in the info bar!
[00:28:38.426 --> 00:28:40.367]  You can get that on InfoWarsShop.com.
[00:28:40.847 --> 00:28:43.409]  In the three minutes we have left, I want to talk about two things.
[00:28:44.429 --> 00:28:45.649]  One is Trayvon Martin.
[00:28:45.790 --> 00:28:48.911]  This marks the one-year anniversary, speaking of black genocide.
[00:28:49.351 --> 00:28:51.952]  But 90-second responses on both.
[00:28:52.472 --> 00:29:02.495]  One of the reasons why people say they support abortion is because, you know, they don't like it, but these kids will have to go up for adoption, you know, if they're born.
[00:29:02.875 --> 00:29:05.436]  And there's nobody that's going to want these children.
[00:29:05.456 --> 00:29:08.477]  They're going to be born with one parent or in an orphanage.
[00:29:09.817 --> 00:29:11.338]  You know, your take on that argument?
[00:29:12.352 --> 00:29:21.595]  Well, bottom line, no one has the right to cut off a life because they don't believe you're going to be happy.
[00:29:21.655 --> 00:29:25.516]  You always have to give that person the right to pursue happiness.
[00:29:26.076 --> 00:29:28.757]  Meaning, if I'm pursuing happiness, I may be born
[00:29:29.217 --> 00:29:38.427]  I have the right to pursue life, liberty, and happiness now.
[00:29:38.847 --> 00:29:42.851]  But of course, much of those claims are untrue.
[00:29:43.012 --> 00:29:44.954]  There's always people who are willing.
[00:29:44.974 --> 00:29:50.940]  The church is beginning to step up adoption, especially even in the black community, more so now than ever before.
[00:29:52.561 --> 00:30:10.178]  I cannot assure that every child that would be born or orphaned would have the proper home, of course, but I can say this, that I know of many, I know people who were scheduled for rape, scheduled for abortion due to rape.
[00:30:10.898 --> 00:30:15.942]  And chose, and that mother chose not to, and is making tremendous contributions.
[00:30:16.763 --> 00:30:20.445]  And people don't know, Michelangelo was a product of rape and incest.
[00:30:20.525 --> 00:30:24.148]  Louis Armstrong was a product of rape and incest.
[00:30:24.308 --> 00:30:27.030]  Ethel Waters was a product of rape and incest.
[00:30:27.050 --> 00:30:35.656]  These are people who were born in unhappy situations, but given the right to pursue happiness, make great contributions to society.
[00:30:35.836 --> 00:30:39.680]  That's, well, with those powerful examples, we have to go.
[00:30:40.100 --> 00:30:49.989]  But again, Pastor Clennard Childress Jr., BlackGenocide.org, watch his documentary, Mafia 21, that's on InfoWarshop.com.
[00:30:50.250 --> 00:30:52.652]  Pastor, we definitely want to have you again in the future.
[00:30:52.972 --> 00:30:54.534]  You are a true patriot.
[00:30:54.554 --> 00:30:55.374]  Thank you for your work.
[00:30:56.215 --> 00:30:56.656]  Thank you.
[00:30:56.796 --> 00:30:58.918]  Mississippi shall be an oasis of truth.
[00:30:59.558 --> 00:31:00.159]  God bless you.
[00:31:00.539 --> 00:31:00.980]  God bless.
[00:31:03.396 --> 00:31:05.818]  Well, that's all for this edition of InfoWars Nightly News.
[00:31:05.878 --> 00:31:11.361]  Remember, if you want to continue supporting our operation, become a member of PrisonPlanet.tv.
[00:31:11.861 --> 00:31:18.605]  For less than $6 a month, you can get access to a lot of great content and you can share your username and password with up to 10 people.
[00:31:19.206 --> 00:31:21.367]  Well, that's all for this edition of InfoWars Nightly News.
[00:31:21.427 --> 00:31:22.908]  We'll see you again tomorrow evening.
[00:31:41.147 --> 00:31:41.327]  Yeah.
