[00:00:20.285 --> 00:00:23.067]  It's Tuesday, October 8th, 2013.
[00:25:40.390 --> 00:25:43.553]  It came from England originally, but then in the colonies, that's all they had.
[00:25:43.853 --> 00:25:48.056]  That was the army of the colonies, was the militia, the people themselves.
[00:25:48.116 --> 00:25:54.661]  And of course, then they said, with the Bill of Rights, you're not going to have a standing army because those always are used to enslave us.
[00:25:54.941 --> 00:26:04.108]  Well, they allowed Congress to have a standing army on certain occasions, to produce an army, but they still relied on and preserved the militia.
[00:26:04.128 --> 00:26:04.809]  That was the intent.
[00:26:05.089 --> 00:26:11.770]  Sure, my point is they said you cannot have a domestic, quartered among us, army that's stationed here because they're always used to take over.
[00:26:12.451 --> 00:26:20.872]  Right, well that's why in Article 1, Section 8, it says that the militia can be called forth to execute the laws of the Union, suppress insurrections, repel invasions.
[00:26:21.253 --> 00:26:23.453]  We are supposed to be the domestic security force.
[00:26:23.733 --> 00:26:27.714]  The army is only for external use against foreign foes, not for use internally.
[00:26:28.800 --> 00:26:29.642]  Well, look at Switzerland.
[00:26:29.662 --> 00:26:31.887]  They don't even have an external army and no one dare invade them.
[00:26:32.428 --> 00:26:32.608]  Right.
[00:26:32.768 --> 00:26:33.410]  I mean, it's simple.
[00:26:33.490 --> 00:26:35.855]  We have globalists that want us to be domesticated slaves.
[00:26:36.156 --> 00:26:37.839]  You don't let slaves know how to fight.
[00:26:38.720 --> 00:26:49.743]  Right, and so they want you to feel like you're a nut, you're an extremist, if you want to have just basic infantry skills so you can fulfill your responsibility of self-defense for yourself and your families and your community.
[00:26:49.783 --> 00:26:51.944]  They want you to believe that's somehow wrong and dirty.
[00:26:52.284 --> 00:27:02.207]  So we need to say we don't care what they think, we're going to go ahead and embrace the fact that we're supposed to be, you know, all Americans, all Americans are supposed to be warriors, all Americans are supposed to be soldiers.
[00:27:02.447 --> 00:27:03.828]  And notice they're going after
[00:27:04.841 --> 00:27:08.403]  Because the best defense is being prepared and not being a pushover.
[00:27:08.443 --> 00:27:09.024]  It's very simple.
[00:27:09.044 --> 00:27:11.685]  Do you attack the fortress or do you attack the thing that's wide open?
[00:27:12.226 --> 00:27:13.907]  In closing, notice they want the AR-15.
[00:27:14.007 --> 00:27:22.873]  If they can ban that lightweight battle rifle that's very easily used by women, you name it, then they can go after all the others.
[00:27:22.933 --> 00:27:23.593]  And it shows.
[00:27:23.853 --> 00:27:28.776]  It's used in 2% of the crimes, federal statistics, just like Barrett's only been used in one crime.
[00:27:29.377 --> 00:27:34.040]  But they want it because they are really threatened by the American people with a military weapon.
[00:27:34.591 --> 00:27:35.715]  Yeah, it's the worst nightmare.
[00:27:36.096 --> 00:27:36.637]  Which is great.
[00:27:36.717 --> 00:27:38.162]  That's why every American should own one of these.
[00:27:39.024 --> 00:27:39.486]  Absolutely.
[00:27:39.767 --> 00:27:40.569]  This is the best one to own.
[00:27:41.718 --> 00:27:42.499]  What are you going to talk about?
[00:27:42.519 --> 00:27:43.499]  We've got about three minutes left.
[00:27:43.519 --> 00:27:46.321]  What are you going to talk about tomorrow on the radio show live?
[00:27:46.521 --> 00:27:53.646]  It's our new initiative to form Civilization Preservation Teams, which is Oath Keepers stepping forward as an example.
[00:27:53.666 --> 00:28:03.453]  What we want to see in all the veterans halls and all the neighborhoods is teams for first responders and mutual aid in every community.
[00:28:03.593 --> 00:28:08.357]  We're going to lead the way as an example, but we want to go out there and teach everyone else to do the same thing.
[00:28:08.957 --> 00:28:17.919]  All Americans should form into teams to take care of themselves, their families, their neighborhoods, their churches, their veterans halls, their towns and counties, from the bottom up, to restore the Republic.
[00:28:18.379 --> 00:28:20.359]  Wow, that sounds like free, independent people.
[00:28:20.399 --> 00:28:21.619]  That sounds like an American idea.
[00:28:21.979 --> 00:28:22.900]  Pretty evil, folks.
[00:28:22.920 --> 00:28:25.400]  The Southern Barbary Law Center will be reporting on us.
[00:28:25.640 --> 00:28:36.642]  Well, we're going to go to break and end the official news and come back with Jakari Jackson's exclusive interview with the Texas Land Commissioner that is standing with the Second Amendment against the San Antonio Police Chief.
[00:28:37.082 --> 00:28:43.728]  That says he will arrest anyone that open carries in San Antonio at the Alamo coming up in just about a week and a half.
[00:28:44.028 --> 00:28:46.010]  That's it for this edition of InfoWars Nightly News.
[00:28:46.290 --> 00:28:47.591]  Stay with us for the special report.
[00:28:53.436 --> 00:28:58.740]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:28:59.060 --> 00:29:04.005]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:29:04.591 --> 00:29:10.497]  More than 60 movies and documentaries all in one place at Infowars.com slash show.
[00:29:17.684 --> 00:29:19.746]  I'm here with Jerry Patterson, the next Lieutenant Governor.
[00:29:19.786 --> 00:29:20.947]  How are you doing Mr. Patterson?
[00:29:21.208 --> 00:29:21.948]  I'm doing really well.
[00:29:22.489 --> 00:29:26.293]  So can you just explain to us the position of Lieutenant Governor and what you hope to achieve?
[00:29:26.926 --> 00:29:42.343]  Well, the Lieutenant Governor is arguably the most powerful position in Texas government, and I'm not seeking power, but I frankly think that we are on the cusp of going the wrong direction in Texas, and we need somebody who is not afraid, somebody who's straight,
[00:29:43.024 --> 00:29:43.124]  Yes.
[00:30:00.126 --> 00:30:00.426]  I think?
[00:30:19.195 --> 00:30:22.919]  Uh, who are more interested in the next election than the next generation.
[00:30:22.939 --> 00:30:30.726]  Uh, and I'm only focused on doing what I think is right, like some politicians and some office holders from the past in Texas.
[00:30:31.167 --> 00:30:32.408]  We have too few of them today.
[00:30:32.881 --> 00:30:41.589]  Recently we saw the issues with the people at the Texas Capitol building, and the people out there carrying their black-powdered pistols, and it's my understanding that you actually wrote that law.
[00:30:41.669 --> 00:30:51.858]  The definitions in Chapter 46-01, definitions in this chapter, firearm does not include antique or curio firearm manufactured before 1899, or a replica
[00:30:54.961 --> 00:31:02.847]  of an antique or curio firearm manufactured before 1899, but only if the replica does not use rimfire or centerfire ammunition.
[00:31:03.248 --> 00:31:04.649]  And mine is a ball and cap.
[00:31:05.700 --> 00:31:17.050]  I was the author of the Texas Concealed Handgun Law in 1995, and one of the items of unfinished business was I wanted to make these cap-and-ball replica revolvers, not firearms, under the law.
[00:31:17.070 --> 00:31:26.238]  So after I left the legislature, I wrote this statute, I gave it to a state rep and a state senator, they passed it, testified in favor of it, so I know the law very well.
[00:31:27.198 --> 00:31:34.084]  And a cap and ball revolver that does not shoot center fire, rim fire ammunition, under the law, is not a firearm.
[00:31:34.164 --> 00:31:35.705]  And that's under state and federal law.
[00:31:35.745 --> 00:31:36.665]  So they had no firearm.
[00:31:38.026 --> 00:31:40.548]  And their arrest was unlawful.
[00:31:40.688 --> 00:31:46.873]  The law says you have to carry this firearm in a manner calculated to alarm.
[00:31:47.514 --> 00:31:50.676]  Now carrying a pistol in a holster is not calculated to alarm.
[00:31:51.076 --> 00:31:55.740]  And think about the interesting testimony that's going to be, I guess, at trial.
[00:31:56.300 --> 00:32:11.731]  When at the same time that we're arresting this guy for carrying an antique replica pistol that under the law is not a firearm, at the same time right there were citizens lawfully carrying ARs and AKs, sling arms, and they weren't arrested.
[00:32:12.151 --> 00:32:24.779]  So to the average bystander walking around, assuming that anybody was alarmed, and frankly they should not be, why would you arrest a guy with an antique pistol that's not even a firearm under federal or state law?
[00:32:25.239 --> 00:32:27.961]  But then it's okay with the AKs and the ARs.
[00:32:28.321 --> 00:32:29.982]  It should be okay with AKs and ARs.
[00:32:30.022 --> 00:32:31.303]  That is the law in Texas.
[00:32:31.403 --> 00:32:35.406]  Open carry of a long gun is not unlawful in Texas, and so
[00:32:36.366 --> 00:32:46.450]  What we have here is somebody, and I don't know, I doubt that it was the DPS officer, but somebody decided to make up law and say, I'm alarmed.
[00:32:47.110 --> 00:32:50.151]  You know, you have to have a reasonable standard to this.
[00:32:50.211 --> 00:32:52.332]  You can't just say, I'm alarmed.
[00:32:53.232 --> 00:32:54.873]  I mean, there are people who are easily alarmed.
[00:32:54.893 --> 00:32:55.833]  They don't make law either.
[00:32:55.873 --> 00:32:58.014]  Somebody has to have a reasonable standard.
[00:32:58.494 --> 00:33:00.655]  These gentlemen were arrested unlawfully.
[00:33:00.815 --> 00:33:01.896]  They broke no law.
[00:33:02.496 --> 00:33:05.357]  And I'm anxious to see how this turns out at trial.
[00:33:06.067 --> 00:33:11.359]  Now one of the things I'm anxious to see is this rally we have coming up on October 19th where people are going to gather at the Alamo.
[00:33:11.909 --> 00:33:13.970]  Carrying their long guns, slung over their shoulders.
[00:33:13.990 --> 00:33:15.571]  Some people may have loaded firearms.
[00:33:15.611 --> 00:33:16.812]  There's several different groups.
[00:33:16.952 --> 00:33:20.434]  In my view, they ought to kind of get together and just pick one person to be in charge of all this.
[00:33:20.994 --> 00:33:26.097]  Because San Antonio PD has not been a friend of the Second Amendment.
[00:33:26.157 --> 00:33:28.998]  This isn't about violating people's rights.
[00:33:29.259 --> 00:33:30.639]  It's not about gun control.
[00:33:30.799 --> 00:33:31.980]  It's not about politics.
[00:33:32.921 --> 00:33:34.742]  It's about the state law.
[00:33:35.022 --> 00:33:38.884]  If the firearm is carried in a manner calculated to cause alarm.
[00:33:39.306 --> 00:33:39.546]  I think?
[00:33:55.117 --> 00:34:02.123]  A DA in Harris County, Johnny Holmes, was adamantly opposed to it and wrote me a letter about three years after we passed it and says, I was wrong.
[00:34:02.623 --> 00:34:11.891]  So it's really refreshing to see some folks fess up when they're wrong, but San Antonio PD has a policy about open carry and they are not going to allow it.
[00:34:12.131 --> 00:34:16.835]  They have no authority to make up the law and that's what they're doing.
[00:34:17.356 --> 00:34:21.139]  So I hope that San Antonio PD complies with the law.
[00:34:21.559 --> 00:34:26.655]  Now as more and more people move here to Texas, we see Rick Perry campaigning to get people to come here to the state of Texas.
[00:34:26.991 --> 00:34:30.492]  Does this concern you at all because we have many people with many different ideologies?
[00:34:30.612 --> 00:34:31.393]  It does concern me.
[00:34:31.433 --> 00:34:35.955]  We have people moving here from foreign countries like California that I am concerned about.
[00:34:36.095 --> 00:34:51.181]  As long as they come to Texas and they're coming here because they share our values, they share our belief in the Second Amendment, which has nothing to do with hunting, it has nothing to do with recreational use, it has nothing to do with collecting, it has only to do with my
[00:34:52.101 --> 00:35:01.046]  God-given, constitutionally enumerated right to keep and bear arms, to defend myself against a criminal element or an oppressive government.
[00:35:01.626 --> 00:35:02.567]  That's what it's about.
[00:35:03.167 --> 00:35:14.173]  And as long as they believe that way, as well as the other freedoms, and as long as they believe that we, you know, don't need any more government regulation, that we have too much government, and they're coming here for those reasons, then I'm fine with it.
[00:35:14.233 --> 00:35:15.254]  I don't care where they come from.
[00:35:16.214 --> 00:35:17.055]  And it's a good thing.
[00:35:17.135 --> 00:35:24.121]  People came to Texas in the 1830s and 1840s and 60s because they were seeking liberty and opportunity.
[00:35:24.721 --> 00:35:25.582]  Same thing today.
[00:35:25.942 --> 00:35:32.087]  But in my view, they need to understand our values may be different than the values where they came from.
[00:35:32.947 --> 00:35:34.609]  Are you an advocate for state nullification?
[00:35:35.165 --> 00:35:42.690]  You know, we have the ability under the Constitution to ignore whatever law is unconstitutional.
[00:35:42.730 --> 00:35:44.331]  Now, how do you make that determination?
[00:35:44.831 --> 00:35:55.478]  If the federal government were to pass a law and say, well, you know, you can no longer carry your firearm, or we're going to pass a law that says we're going to outlaw open carry of long guns, yeah, that would be unconstitutional law.
[00:35:55.738 --> 00:35:59.080]  And frankly, I don't know if nullification, I just go with ignoring.
[00:35:59.460 --> 00:36:01.221]  As land commissioner, I travel quite a bit.
[00:36:01.681 --> 00:36:06.723]  I've spent quite a bit of time in the Big Bend National Park because we have some land adjacent to it.
[00:36:07.303 --> 00:36:10.224]  At one time, you could not carry in a national park.
[00:36:10.544 --> 00:36:11.925]  You couldn't possess a firearm.
[00:36:12.325 --> 00:36:12.765]  I ignored it.
[00:36:13.425 --> 00:36:15.526]  I told the San Antonio newspaper I ignored it.
[00:36:15.606 --> 00:36:17.847]  They wrote an editorial saying, he ignores the law.
[00:36:17.927 --> 00:36:18.587]  I said, I'm sorry.
[00:36:18.847 --> 00:36:19.588]  That's not the law.
[00:36:19.748 --> 00:36:20.928]  It's unconstitutional.
[00:36:21.348 --> 00:36:25.630]  When I go into border areas along the Texas border, I'm armed.
[00:36:26.090 --> 00:36:27.671]  And unless it's private property,
[00:36:28.191 --> 00:36:33.895]  Where the private property owner has a right to tell me I can't be there armed, but if it's public property I'm armed.
[00:36:34.015 --> 00:36:37.098]  And so I ignore laws that I believe to be unconstitutional.
[00:36:37.998 --> 00:36:41.241]  As far as those unconstitutional laws, do you think that extends to the TSA?
[00:36:42.008 --> 00:36:45.529]  You know, I think it extends to the TSA in some circumstances.
[00:36:45.609 --> 00:36:48.070]  It depends on how the TSA conducts themselves.
[00:36:48.570 --> 00:36:55.492]  You know, cavity searches, of course we have some problems with cavity searches here in Texas with other law enforcement agencies, but it extends to how they conduct themselves.
[00:36:55.612 --> 00:36:56.332]  What do they do?
[00:36:56.893 --> 00:37:02.394]  And I would submit to you that sometimes they are infringing on the rights and the personal rights of privacy.
[00:37:02.914 --> 00:37:03.875]  Other times they are not.
[00:37:03.935 --> 00:37:07.996]  I don't think you can make a statement on that many TSA officers.
[00:37:08.476 --> 00:37:10.678]  I try not to fly commercial if I can help it.
[00:37:10.698 --> 00:37:13.280]  I got a little airplane, I fly it, or I drive.
[00:37:14.301 --> 00:37:20.727]  Now we see the city of Chicago has now been deemed the murder capital of the United States of America, even though it has some of the strictest gun laws.
[00:37:21.027 --> 00:37:23.309]  So let me ask you, how do you feel about gun-free zones?
[00:37:23.885 --> 00:37:26.968]  Well, they're a target-rich environment for the criminal element.
[00:37:27.068 --> 00:37:29.290]  I mean, I talk about this a great deal.
[00:37:29.350 --> 00:37:34.074]  I mean, I'm probably the guy that most people call when it comes to the Second Amendment and firearms.
[00:37:34.734 --> 00:37:41.260]  And I use the analogy, had I been in a theater in Aurora, Colorado, fewer people would have died.
[00:37:41.980 --> 00:37:43.181]  And that was a gun-free zone.
[00:37:43.301 --> 00:37:45.443]  It was private property and they had band carry.
[00:37:45.923 --> 00:37:48.746]  And people, when I say that, they look at me and say, oh, that's impossible.
[00:37:48.806 --> 00:37:49.787]  I mean, that guy had a
[00:37:50.387 --> 00:37:53.829]  You know, he had an AR and he had body armor and all of that stuff.
[00:37:53.869 --> 00:38:07.155]  And I say, look, the first time someone had returned fire in the direction of that shooter, the first time a round had gone off and it didn't come from the shooter, the dynamic would have changed.
[00:38:07.855 --> 00:38:09.836]  You don't have to bring him down to save lives.
[00:38:10.476 --> 00:38:13.998]  And instead of that shooter just calmly walking up and down the aisles,
[00:38:14.778 --> 00:38:21.342]  You know, just shooting, cowering theater goers as they cowered on the floor, shooting in the back of the head.
[00:38:21.362 --> 00:38:26.065]  The first time you popped a round off, that shooter would have had to pay attention to something else.
[00:38:26.425 --> 00:38:27.626]  The dynamic would have changed.
[00:38:28.067 --> 00:38:32.209]  Similarly, in Virginia Tech, 32 people died, gun-free zone.
[00:38:32.750 --> 00:38:36.112]  And by the way, that shooter had passed a background check.
[00:38:36.352 --> 00:38:40.454]  He was mentally ill, had been adjudicated mentally ill, passed the check anyway.
[00:38:41.175 --> 00:38:43.857]  All of these venues, they're gun-free zones.
[00:38:44.717 --> 00:38:51.321]  And, you know, when I passed the concealed handgun law, we had to put some gun-free zones to get the votes I needed.
[00:38:52.022 --> 00:38:57.065]  Over the years, we have eliminated and removed many of those gun-free locations.
[00:38:58.626 --> 00:39:02.968]  One of them, it's kind of funny, one of the locations that was prohibited initially was churches.
[00:39:03.569 --> 00:39:05.510]  Well, I believe that violates the separation.
[00:39:05.910 --> 00:39:09.553]  There is no separation, but it violates the church's ability to do what they wish.
[00:39:10.413 --> 00:39:20.261]  You know, frankly, if you have a congregation that's packing, the sermons are much shorter and much more to the point.
[00:39:21.302 --> 00:39:23.624]  But we continue to eliminate gun-free zones.
[00:39:23.684 --> 00:39:25.725]  A gun-free zone is nothing more than an invitation.
[00:39:26.066 --> 00:39:32.311]  You have an A-plus rating from the NRA, so guns are definitely an important issue to you, but what else do the people of Texas need to know?
[00:39:32.864 --> 00:39:38.728]  Well, you know, I was the guy who, probably the three most significant items that I passed when I was in the Senate.
[00:39:39.188 --> 00:39:41.029]  I repealed the motorcycle helmet law.
[00:39:41.530 --> 00:39:42.951]  That's kind of a liberty thing.
[00:39:43.671 --> 00:39:46.393]  And, you know, I passed the concealed handgun law.
[00:39:47.414 --> 00:39:57.700]  I passed a constitutional amendment to allow citizens to access their home equity without government interference in telling them for what purpose they can access their home equity.
[00:39:58.181 --> 00:39:59.561]  So I'm kind of a pro-liberty guy.
[00:40:00.062 --> 00:40:01.283]  And I believe that government
[00:40:02.043 --> 00:40:11.286]  In its zeal to raise the floor and bring everybody up has to recognize that in doing so, in order to fund that, you also have to lower the ceiling.
[00:40:11.906 --> 00:40:15.028]  I want the opportunity in Texas to make a mistake.
[00:40:15.788 --> 00:40:24.731]  Because whether that's a financial mistake, you know, investing my money, because without that opportunity to take choices and take chances,
[00:40:25.211 --> 00:40:25.412]  I think?
[00:40:44.415 --> 00:40:44.796]  Thank you.
[00:41:06.076 --> 00:41:08.438]  Maintain Texas as it is and as it was.
[00:41:09.019 --> 00:41:14.623]  And not only is that good for Texas, Texas has the ability to lead and redeem this nation.
[00:41:15.024 --> 00:41:16.885]  Because we are liberty.
[00:41:17.206 --> 00:41:20.929]  And there are a few other states, but we're the prime state that can redeem this nation.
[00:41:21.549 --> 00:41:23.211]  Vote Patterson dot com.
[00:41:23.291 --> 00:41:25.573]  All right, Jerry Patterson, thanks for your time, sir.
[00:41:25.593 --> 00:41:26.654]  All right, thank you, Jakari.
