[00:00:08.339 --> 00:00:10.049]  Something has happened in the motorcade group!
[00:26:46.552 --> 00:26:55.681]  So, when that took place, I put together a town hall meeting, just a place to come and kind of gather people in for information.
[00:26:56.102 --> 00:27:03.369]  And I got Curtis' name about 30 minutes before the meeting, and he was available to do a conference call with us.
[00:27:04.049 --> 00:27:21.958]  And when you understand the caliber of expertise that this man has, that he would come and spend 30 to 40 minutes with a small group of 5,000 in the center of Texas, it was quite a sobering explanation from Curtis, which I'm excited to hear about it.
[00:27:22.238 --> 00:27:23.578]  I'm anxious to hear what he has to say.
[00:27:24.079 --> 00:27:28.801]  And I think one of the things that I find interesting is that when people understand the issues involved here,
[00:27:29.401 --> 00:27:32.063]  They get real adamant that they don't want these smart meters.
[00:27:32.103 --> 00:27:36.747]  We've had a couple of women who made the news that we've talked to here at InfoWars.
[00:27:36.847 --> 00:27:38.148]  One from Naperville, Illinois.
[00:27:38.188 --> 00:27:39.469]  Another one from Houston, Texas.
[00:27:39.489 --> 00:27:40.810]  You know the lady in Houston, Texas.
[00:27:40.910 --> 00:27:41.390]  No, I don't.
[00:27:41.410 --> 00:27:45.273]  She actually pulled a gun on the person who came to install the meter.
[00:27:45.474 --> 00:27:46.374]  After she was assaulted.
[00:27:46.394 --> 00:27:46.735]  That's right.
[00:27:46.755 --> 00:27:48.136]  Not the same man who came to install the meter.
[00:27:48.176 --> 00:27:48.676]  That's right.
[00:27:48.796 --> 00:27:49.757]  And that's not unique.
[00:27:50.137 --> 00:27:50.877]  Oh yeah, that's right.
[00:27:51.258 --> 00:27:58.441]  And in Illinois, of course, they were escorted by police, and so if you pull a gun on them, they'll probably kill you.
[00:27:58.801 --> 00:28:01.642]  But that turned out very differently.
[00:28:01.702 --> 00:28:04.463]  They bullied their way in, and they did install their smart meter.
[00:28:06.064 --> 00:28:08.325]  The homes of private property owners.
[00:28:08.465 --> 00:28:08.845]  That's right.
[00:28:08.945 --> 00:28:10.986]  To where you lose your sovereignty of your home.
[00:28:11.046 --> 00:28:12.546]  Your home is no longer your castle.
[00:28:12.726 --> 00:28:13.647]  They can put this on there.
[00:28:13.907 --> 00:28:15.867]  And while we're talking about that, let's talk about the first issue.
[00:28:15.887 --> 00:28:16.968]  Let's talk about privacy.
[00:28:17.488 --> 00:28:19.128]  And what they're using this for.
[00:28:19.528 --> 00:28:22.609]  As I mentioned in the introduction, this is something that goes back 10 years.
[00:28:23.290 --> 00:28:28.511]  And tentatively they're just using this to measure your energy use.
[00:28:28.872 --> 00:28:32.033]  But there's a lot more that they can measure with this smart meter.
[00:28:32.073 --> 00:28:33.093]  A better word is control.
[00:28:34.500 --> 00:28:40.422]  Measure would be the analog meters that were reliable, had a 20 to 30 year service life to them.
[00:28:40.922 --> 00:28:49.744]  These new smart meters are estimated anywhere from the 5 to 7 year range is what I've been researching, is what I've been finding as far as the longevity of them.
[00:28:50.124 --> 00:28:53.345]  But they're much more complex than just measuring energy.
[00:28:53.845 --> 00:29:02.288]  They are designed with two-way communication to the collector sites that go like on water towers that penetrate an entire service area.
[00:29:03.622 --> 00:29:07.764]  Once it's collected at the water towers, that communications then go usually to the utility companies.
[00:29:08.625 --> 00:29:19.811]  And in Brady, the company Sensus was so proud of their powerful transmitters of being able to cover 300 square miles with the transmissions of these devices on your home.
[00:29:20.191 --> 00:29:23.233]  Now that would be in the 900 megahertz frequency communication
[00:29:24.133 --> 00:29:25.515]  Uh, with the radio transmitters.
[00:29:25.555 --> 00:29:34.825]  And that's going to get into our health stuff here, but before we get off of the privacy... Unfortunately, right now, I mean, this is something that Texas, at a state level, is looking at.
[00:29:35.566 --> 00:29:41.653]  We both testified before the Texas Business and Commerce Committee and then also the Texas Public Utility Commission.
[00:29:42.413 --> 00:30:04.203]  And some of the testimony there that was most fascinating to me is one of the women there was an immigrant from Romania who's now a lawyer in Dallas talking about how these same kind of efforts from the government were put into place over the utilities to where when the population dissented in any way they were able to cut off their utilities.
[00:30:04.363 --> 00:30:12.126]  Well, it was just within the last year that Petraeus said that they were putting those kinds of capabilities into all kinds of appliances.
[00:30:12.526 --> 00:30:21.909]  Yes, and that would be a Zigbee chip, which would be a 2.4 gigahertz frequency, which is designed to communicate with each smart appliance.
[00:30:22.569 --> 00:30:33.293]  So these appliances would be transmitting, and what we're finding is even before people have a smart meter as the mothership to gather this data, these appliances are already transmitting these frequencies through your home.
[00:30:33.965 --> 00:30:38.209]  It's amazing how crude Orwell's 1984 vision is, isn't it?
[00:30:38.229 --> 00:30:45.737]  The technology is so much more pervasive, so much broader, so much deeper in its complexity, and he couldn't even imagine it.
[00:30:45.757 --> 00:30:48.560]  I mean, he just had the general idea, what if they listened to you electronically?
[00:30:48.980 --> 00:30:51.763]  Not understanding just how detailed that could be.
[00:30:52.123 --> 00:30:53.745]  But you mentioned that it was about control.
[00:30:53.765 --> 00:30:54.205]  Yes.
[00:30:54.345 --> 00:30:57.308]  And that really, to my mind, brings up the issue of money.
[00:30:58.519 --> 00:31:04.865]  A lot of people who don't really care about privacy or don't understand the health issues, they understand the money issue.
[00:31:05.626 --> 00:31:15.735]  And what we've seen, and they talked about this in the document I mentioned in the beginning as an introduction to the Department of Energy ten years ago, was talking about how at that time energy
[00:31:16.545 --> 00:31:19.546]  Construction of new power plants was stagnant.
[00:31:19.766 --> 00:31:24.187]  And now what they've done is they're shutting them down in wholesale in the name of global warming.
[00:31:24.767 --> 00:31:28.647]  And I see this all as just a method to manage that decline.
[00:31:28.667 --> 00:31:31.088]  And that's the way the Department of Energy saw it ten years ago.
[00:31:31.548 --> 00:31:46.151]  So instead of giving us cheap energy, which we all know is the key to, if you look at it historically, that's the key to lifestyle and to health and longevity, is access to abundant energy.
[00:31:46.491 --> 00:31:49.152]  Well, for Texas, it's the loss of our sovereignty.
[00:31:49.172 --> 00:31:53.213]  There's the East Grid, West Grid, and Texas has its own grid.
[00:31:53.853 --> 00:32:02.435]  That if they can integrate this with the rest of the nation, then they have control over the sovereignty of Texas' independence from an energy standpoint.
[00:32:02.716 --> 00:32:07.737]  Now, the endgame on the reports that are available show that by 2030, they want to have a North American
[00:32:09.137 --> 00:32:19.019]  Now, David, am I aware of some cheap energy around that's so abundant that we have the ability to be just making it available to the entire North American continent?
[00:32:19.479 --> 00:32:20.240]  Right, right.
[00:32:20.540 --> 00:32:21.300]  I don't think so.
[00:32:21.740 --> 00:32:31.682]  And we've already seen utility rates skyrocketing as they're shutting down plant after plant after plant, or opening up new power plants that are very, very expensive.
[00:32:32.262 --> 00:32:54.608]  And this is just a way of managing that and we've already seen in Europe a lot of people in Germany and elsewhere where the cost of utilities have skyrocketed because of carbon permissions and credits and that sort of thing so that you have people who are at the low end of the scale, people who are pensioners, are basically driven into poverty by the utility bills.
[00:32:54.948 --> 00:32:57.509]  And so this whole thing with smart meters is just a way to manage it.
[00:32:57.729 --> 00:32:59.850]  When they did an experiment in Chicago
[00:33:00.530 --> 00:33:07.117]  They wanted to see if they could affect, they want to say that they're going to affect our usage by shifting us to non-peak times.
[00:33:07.397 --> 00:33:10.580]  But they found that that really didn't affect anybody's purchasing habits.
[00:33:10.620 --> 00:33:14.965]  All it did was increase their utility bill, which they're perfectly fine about doing that.
[00:33:15.336 --> 00:33:16.077]  Oh, absolutely.
[00:33:16.437 --> 00:33:19.118]  It's a very strategic means of revenue generation.
[00:33:19.499 --> 00:33:28.444]  And then when you look into it deeper in these public-private ventures, guess who gets to build the infrastructure with taxpayer money to get the network built?
[00:33:28.844 --> 00:33:30.706]  And then guess who gets to provide the service?
[00:33:30.906 --> 00:33:32.727]  Which one's public and which one do you think is private?
[00:33:33.507 --> 00:33:35.248]  The public gets the infrastructure.
[00:33:36.009 --> 00:33:44.254]  And what's even more significant, the public is going to be assuming the liability once all these health consequences
[00:33:45.609 --> 00:33:46.369]  When we get to health?
[00:33:47.829 --> 00:33:48.630]  Yeah, let's do that now.
[00:33:48.690 --> 00:34:07.694]  So we've talked about privacy and the fact that they can monitor everything that you're doing, talked about the fact that they can control your utility usage, and by doing that and saying they're going to have a tiered structure based on the time of day that you use your energy, they can send your rates through the roof, as they're already doing, as they're shutting down power plants.
[00:34:08.074 --> 00:34:12.315]  Now the next thing on here, before we get to how you stop this, is health.
[00:34:12.415 --> 00:34:13.295]  Let's talk about health.
[00:34:14.605 --> 00:34:21.489]  Well, as some are maybe aware, the Texas Legislature only meets every two years and we're just ending up.
[00:34:21.549 --> 00:34:28.854]  There was Senate Bill 241 by John Corona out of Dallas that would have allowed an opt-out at no charge for all Texas citizens.
[00:34:29.434 --> 00:34:34.037]  So there was a big lobbying effort to try to... We can't let people decide, make decisions about their life, right?
[00:34:34.057 --> 00:34:34.637]  The very idea.
[00:34:34.657 --> 00:34:35.217]  Imagine that.
[00:34:35.378 --> 00:34:36.198]  Wanting it off your home.
[00:34:36.218 --> 00:34:37.739]  An opt-out, just to have an opt-out.
[00:34:37.939 --> 00:34:40.000]  Just to have an opt-out at no charge.
[00:34:40.821 --> 00:34:42.522]  And the statements
[00:34:43.254 --> 00:34:46.242]  of arrogance over, well, everybody's happy with their smart meter.
[00:34:46.743 --> 00:34:48.507]  David, people don't even know they have a smart meter.
[00:34:48.627 --> 00:34:49.710]  They don't even know what one is.
[00:34:49.810 --> 00:34:51.955]  How can you be against something you don't even know you have?
[00:34:53.211 --> 00:34:59.798]  So when we were discussing the various different issues, you're right, money gets a lot of people's attention.
[00:35:00.098 --> 00:35:06.405]  Because in Brady, we were indebted $2.5 million to deploy meters in 3,000 homes.
[00:35:06.665 --> 00:35:08.787]  And Brady was where you got this passed.
[00:35:08.827 --> 00:35:09.248]  That's correct.
[00:35:09.808 --> 00:35:11.390]  So that's gas, water, and electric.
[00:35:11.510 --> 00:35:15.494]  So that's 9,000 meters emitting 2 watts of energy per meter.
[00:35:16.468 --> 00:35:23.032]  That is 18,000 watts of energy that's in the environment that wasn't there before they put in this infrastructure.
[00:35:23.172 --> 00:35:24.233]  And that's a small community.
[00:35:24.313 --> 00:35:27.035]  That's a small number of meters.
[00:35:27.175 --> 00:35:27.815]  Go to Houston.
[00:35:27.835 --> 00:35:28.456]  Go to Dallas.
[00:35:28.596 --> 00:35:38.222]  And then you start looking at the radiation penetration of these environments, and then you start looking at the impact it's having globally, because smart meters are a global initiative.
[00:35:38.522 --> 00:35:42.384]  And we're really dealing with the cumulative effect of all of this wireless technology.
[00:35:43.384 --> 00:35:45.465]  Fifteen years ago, people didn't have Wi-Fi.
[00:35:45.485 --> 00:35:46.306]  Ten years ago.
[00:35:46.346 --> 00:35:48.166]  Ten years ago, people didn't have Wi-Fi.
[00:35:48.387 --> 00:35:59.812]  And just in the last 25 years, and from a health concern, both from a human health concern as well as a global earth concern, when we have numbers like our 90% of our bee population
[00:36:01.032 --> 00:36:04.434]  ...has gone away domestically in the United States over the last 25 years.
[00:36:05.155 --> 00:36:10.578]  Or how autism has gone from 1 in 2,500 to 1 in 50 from 1975 to now.
[00:36:10.778 --> 00:36:12.459]  How it was 110 three years ago.
[00:36:12.880 --> 00:36:17.002]  So the environment that we're in right now has not always existed this way, at all.
[00:36:17.022 --> 00:36:21.505]  They're changing the environment so quickly, it's hard to tell which factor is predominant.
[00:36:21.885 --> 00:36:26.148]  Well, but here's what you gotta understand, and this is what I'm loving when Curtis gets on here.
[00:36:27.449 --> 00:36:33.654]  The interview coming up will be about his cross-examination of the PUC representatives in Canada.
[00:36:34.314 --> 00:36:40.639]  Now, United Kingdom has the highest, quote, acceptable safe measure levels of electromagnetic field exposure.
[00:36:41.119 --> 00:36:48.185]  Second to that is Canada, with their Safety Code 6, and the United States with the SEC, who are the regulatory bodies that determine that.
[00:36:49.266 --> 00:37:05.911]  Curtis was able, under oath, above all parties, to cross-examine the PUC representatives and get into the aspect of asking them about whether they considered the human or any living organism's existing electrobiofield in their research.
[00:37:08.157 --> 00:37:22.504]  The point I really want to make is that this issue has absolutely nothing to do with the need of valid, peer-reviewed medical evidence to support that these frequencies are damaging to all living organisms.
[00:37:22.705 --> 00:37:23.985]  Because they already exist.
[00:37:24.045 --> 00:37:24.585]  We don't like them!
[00:37:25.646 --> 00:37:28.549]  I think it's amazing that they even have to do this wirelessly.
[00:37:28.609 --> 00:37:32.293]  I mean, it's a level that's about 300 times what you get from a cell phone, done in bursts.
[00:37:32.513 --> 00:37:38.299]  And yet, with the utility companies, they're running electricity via wire into every one of these homes.
[00:37:38.780 --> 00:37:40.582]  Why couldn't they just multiplex the signal on it?
[00:37:40.602 --> 00:37:41.723]  They did that in Italy.
[00:37:42.043 --> 00:37:42.463]  Absolutely.
[00:37:42.703 --> 00:37:54.928]  And Curtis will go into that also, and how insulating wires is built into your business code, or to your building codes, because you don't want to stimulate tissue, because the only people licensed to stimulate tissue are doctors.
[00:37:55.629 --> 00:38:06.753]  And so when they blast off energy in these electromagnetic fields wirelessly, you become the conductor, you become the insulator, because it's random energy.
[00:38:07.594 --> 00:38:10.875]  Every cell has a frequency, a voltage of negative 70 millivolts.
[00:38:12.512 --> 00:38:15.253]  So, can't wait to hear, listen to Curtis.
[00:38:15.593 --> 00:38:24.077]  Yeah, now when we were talking about, I mentioned Italy when we were waiting to go on, and you said you had some insight as to why it's not wireless in Italy.
[00:38:24.717 --> 00:38:37.843]  Well, last year, I believe it was March 17, 2011, there was a lawsuit brought up regarding the Vatican's high-powered radio frequency transmitting towers.
[00:38:38.559 --> 00:38:39.380]  Thank you for joining us.
[00:38:53.393 --> 00:38:59.956]  Well, you know, certainly we know that electrical systems, that's how you stimulate muscles, that sort of thing.
[00:38:59.976 --> 00:39:01.116]  They're doing a lot of work now.
[00:39:01.216 --> 00:39:06.859]  DARPA is doing some pretty freaky stuff in terms of controlling muscles, controlling limbs, that sort of thing.
[00:39:07.099 --> 00:39:07.959]  Some of it can be good.
[00:39:08.039 --> 00:39:10.200]  Some of it can be helping people who are amputees.
[00:39:10.700 --> 00:39:17.326]  But the fact that you can control your body electrically, that it has an effect, is a very well-demonstrated, understood issue.
[00:39:17.987 --> 00:39:23.271]  You've even got some pictures here of some effects that people can actually see, because it's hard to see.
[00:39:23.311 --> 00:39:26.314]  You can't see electricity, so we have to look at it in a different way.
[00:39:26.354 --> 00:39:27.975]  This is some Kirlian photography?
[00:39:27.995 --> 00:39:36.383]  This is called Kirlian photography, which you can actually see the energy emitting from any living organism, because any living organism is emitting energy.
[00:39:36.803 --> 00:39:37.544]  So the picture
[00:39:39.758 --> 00:39:47.164]  Here is an organically grown mushroom, and you'll notice how you can see the intense emissions from the organically grown product.
[00:39:47.504 --> 00:39:49.025]  The one on the right is commercially grown.
[00:39:49.646 --> 00:39:55.170]  That is demonstrating the damaging effects of the pesticides and herbicides.
[00:39:55.571 --> 00:40:03.197]  So, we get energy from the Earth's geomagnetic field, basically providing energy for every cell function in our body.
[00:40:03.897 --> 00:40:05.757]  We also get energy from the food we eat.
[00:40:06.378 --> 00:40:10.278]  So if you're not getting energy from the food we eat, guess who's going to be tired?
[00:40:10.918 --> 00:40:12.659]  How many people are tired and fatigued?
[00:40:13.319 --> 00:40:21.681]  So this image shows that how anything living, plants, humans, animals, all emit energy because we're living.
[00:40:22.021 --> 00:40:22.561]  Every cell.
[00:40:22.861 --> 00:40:31.383]  In fact, in the 1970s, a Dr. Fritz Albert Popp was nominated for the Nobel Prize for showing that every cell has a semi-crystalline matrix and emits light.
[00:40:32.443 --> 00:40:33.543]  Light is a frequency.
[00:40:35.698 --> 00:40:40.344]  So now if you would go on YouTube and look up the documentary Resonance.
[00:40:42.106 --> 00:40:47.012]  About an hour and twenty minutes into the video, it's talking about there's over 12,000 medical research
[00:40:49.687 --> 00:40:50.708]  We're good to go!
[00:41:14.454 --> 00:41:16.255]  Are these frequencies causing cancer?
[00:41:16.975 --> 00:41:20.196]  Or are they inhibiting the body's ability to fight it?
[00:41:20.416 --> 00:41:20.696]  Right.
[00:41:20.856 --> 00:41:21.236]  That's correct.
[00:41:21.256 --> 00:41:21.817]  That's interesting.
[00:41:21.877 --> 00:41:26.218]  So when you look at women with breast cancer, they have one-tenth the amount of melatonin levels.
[00:41:27.139 --> 00:41:31.040]  Men with prostate and children with autism have 50% the amount of melatonin levels.
[00:41:32.182 --> 00:41:41.885]  Now, of all the magnitude of health issues that can occur, this information comes from the National Medical Research Institute of 1971.
[00:41:42.425 --> 00:41:47.147]  Now, this was before all the cordless home phones, the baby monitors, the Wi-Fi.
[00:41:47.167 --> 00:41:48.427]  So this was even before that.
[00:41:48.747 --> 00:41:49.928]  But frequencies are frequencies.
[00:41:50.988 --> 00:41:55.430]  It really doesn't matter what's... I mean, yes, it does matter what's emitting it, but here are some of the symptoms.
[00:41:55.970 --> 00:42:00.372]  We have problems with bone and bone marrow.
[00:42:00.392 --> 00:42:01.832]  Well, why is that significant?
[00:42:02.793 --> 00:42:03.373]  Red blood cell.
[00:42:03.833 --> 00:42:04.013]  Right.
[00:42:04.233 --> 00:42:04.453]  Right?
[00:42:04.513 --> 00:42:06.374]  That's the whole carrying of all your oxygen.
[00:42:07.135 --> 00:42:10.536]  We have problems with altered menstrual activity.
[00:42:11.690 --> 00:42:13.091]  Well, it's rampant.
[00:42:13.571 --> 00:42:16.153]  For all your viewers out there, all they have to do is ask.
[00:42:16.374 --> 00:42:18.195]  Nobody really talks about this, but it's rampant.
[00:42:18.655 --> 00:42:23.399]  And so the solution that medical medicine offers are birth control pills to monitor cycles.
[00:42:23.659 --> 00:42:25.340]  Wow.
[00:42:25.381 --> 00:42:27.942]  Like you said at the beginning here, when we started talking about health.
[00:42:28.783 --> 00:42:35.867]  Everything has changed so rapidly that there really hasn't been any research done to see what the long-term effects are on things.
[00:42:36.047 --> 00:42:42.511]  And more often than not, we're seeing new technologies introduced into our food, into our environment, and there hasn't been any testing.
[00:42:43.111 --> 00:42:47.534]  And often they'll use that as an excuse to say, well, there's no test to show that it's negative.
[00:42:47.594 --> 00:42:54.917]  That's what's beautiful about Dr. Magda Havas out of Trent University in Canada, her research on what she's defining as the type 3 diabetes.
[00:42:55.397 --> 00:43:05.642]  This is based off a 2008 medical peer-reviewed report and what's beautiful about it is the simplicity that here you can easily manage the electromagnetic exposure of a person.
[00:43:06.222 --> 00:43:10.884]  In one example, a woman took her blood sugar and went for a 20-minute walk every day for a week.
[00:43:11.593 --> 00:43:16.681]  Each day, after her 20-minute walk out in her neighborhood, her blood sugar would drop consistently.
[00:43:17.282 --> 00:43:23.693]  The next week, she goes and walks the same time frame on an electromagnetic treadmill.
[00:43:24.594 --> 00:43:26.097]  Each day, her blood sugar goes up.
[00:43:27.139 --> 00:43:37.043]  So there are people who are electromagnetically sensitive that react to these frequencies much more so than, say, your average population.
[00:43:37.524 --> 00:43:42.826]  And with this issue, as opposed to GMOs or vaccines, that there are huge concerns with that.
[00:43:42.906 --> 00:43:47.008]  And again, it's not for lack of information on those topics.
[00:43:48.188 --> 00:43:49.109]  The smart meters
[00:43:50.174 --> 00:43:53.738]  And this wireless technology is so much scarier because you can't run away from them.
[00:43:54.719 --> 00:43:58.342]  I live in an apartment complex and I sleep above 11 smart meters.
[00:43:58.963 --> 00:44:03.848]  I have 10 Wi-Fi signals around me at all times and people on cell phones all the time.
[00:44:04.509 --> 00:44:10.635]  I have, in my apartment complex, talked to two people who developed seizures after moving into the apartment complex.
[00:44:11.616 --> 00:44:14.739]  People rampant issues with sleeping.
[00:44:15.499 --> 00:44:29.611]  And the other day, I go and eat with a family, and I see this infant there in between her Wi-Fi router, her cordless baby monitor, under her compact fluorescent bulbs.
[00:44:30.112 --> 00:44:35.136]  And so, knowing what I know, I can't help but feel like I'm seeing a baby in a microwave.
[00:44:35.156 --> 00:44:35.557]  Right.
[00:44:35.977 --> 00:44:37.939]  I know the effects that these have.
[00:44:38.519 --> 00:44:39.659]  So that's the key thing.
[00:44:39.779 --> 00:44:43.060]  It's education, but it's also having the power to opt out of that.
[00:44:43.140 --> 00:44:47.302]  And that's one of the things we really want to talk to you about, because you had a big victory.
[00:44:47.362 --> 00:44:55.064]  It was written up in the New York Times, and we want to hear a little bit about what you did, the struggles that you ran into, and then where this is going for the future.
[00:44:55.084 --> 00:44:59.085]  And we're getting short on time, so give us the compressed version of that.
[00:44:59.745 --> 00:45:16.646]  Okay, after a large fight at the municipal levels about even being inhibited to have time of dialogue with my elected officials, long story, but through a visit with the city attorney,
[00:45:17.802 --> 00:45:24.804]  I was asking him about a law that allowed citizens to submit amendment changes to their charter.
[00:45:25.265 --> 00:45:33.887]  And he showed me, got out his book, and showed me Texas Local Government Code 9.004, which is available to any Homeworld Charter community in Texas.
[00:45:34.188 --> 00:45:35.788]  And there's about 350 of them.
[00:45:36.428 --> 00:45:41.950]  Now, under this code, the citizens write up the language that goes on the petition.
[00:45:42.550 --> 00:45:43.051]  It requires 5%
[00:45:44.731 --> 00:45:44.991]  I think so.
[00:45:57.754 --> 00:46:07.836]  I am a recovering member of the ignorant masses who didn't even realize anything about a city charter, how they function, charter review commissions, you know, amendment changes.
[00:46:08.116 --> 00:46:09.336]  You've got to engage.
[00:46:09.436 --> 00:46:12.357]  So the people who are listening to this, I have a website.
[00:46:13.357 --> 00:46:14.237]  I have a little wellness shop.
[00:46:14.297 --> 00:46:15.677]  It's called Help Yourself Wellness Shop.
[00:46:16.138 --> 00:46:22.159]  The website is HYWS.US, and if you click on Take Charge and 9.004,
[00:46:23.911 --> 00:46:31.173]  I'm providing a step 1, 2, 3, 4 of what you need to do to be able to learn how to do the petition process in your own community.
[00:46:31.434 --> 00:46:31.934]  That's great.
[00:46:31.954 --> 00:46:34.655]  That's really key because it took you a lot of research to do that.
[00:46:34.735 --> 00:46:37.356]  So now people can go there, find out what to do in Texas.
[00:46:37.776 --> 00:46:40.417]  Does this transfer to very many other states?
[00:46:40.717 --> 00:46:41.257]  Absolutely.
[00:46:41.317 --> 00:46:45.858]  And I've just been in contact with the Community Environmental Legal Defense Fund, CELDF.org.
[00:46:48.158 --> 00:46:49.981]  And they are great.
[00:46:50.082 --> 00:46:51.544]  I found them last night at 9 o'clock.
[00:46:51.664 --> 00:46:52.906]  On a Sunday night they took my call.
[00:46:53.407 --> 00:47:00.780]  So it was awesome to find them because they are also having actual attorney assistance on review of the wordings.
[00:47:02.711 --> 00:47:07.374]  So basically what you did was you came in and you fought this at the most local level.
[00:47:07.874 --> 00:47:10.716]  Because we know that Washington is hopelessly corrupt.
[00:47:10.836 --> 00:47:11.176]  That's correct.
[00:47:11.276 --> 00:47:14.118]  And so distant from the people, you can't really get anything done there.
[00:47:14.218 --> 00:47:17.640]  And it's pretty much a brick wall, even at the state legislature, as you found out.
[00:47:17.760 --> 00:47:18.000]  Yes.
[00:47:18.040 --> 00:47:26.925]  So what you did was you went to the lowest level, you found out exactly how the city charter works, and you took care of it at the local level.
[00:47:28.676 --> 00:47:39.186]  And that's what's amazing, is when you are able to educate people on the magnitude of the impact of this technology from a security standpoint, from a health standpoint, from a money standpoint.
[00:47:40.167 --> 00:47:43.490]  And you are able to give them something tangible that they can do.
[00:47:43.510 --> 00:47:46.492]  I mean, a 5% petition is easy.
[00:47:47.053 --> 00:47:49.695]  And it's... And see, that's the thing.
[00:47:49.995 --> 00:47:53.659]  Once people, like we showed the pictures at the very beginning of the interview, where you have people
[00:47:54.358 --> 00:47:59.720]  Who are fighting off the cops, who are running off the meter guys, because they understand what this is about.
[00:47:59.740 --> 00:48:00.601]  What's at stake?
[00:48:00.621 --> 00:48:01.541]  What's at stake?
[00:48:01.581 --> 00:48:02.102]  Exactly.
[00:48:02.522 --> 00:48:07.144]  Even if you only pick up on one of those issues, every one of those issues is such a big issue.
[00:48:07.304 --> 00:48:08.584]  The privacy is huge.
[00:48:08.965 --> 00:48:10.165]  The health issues are huge.
[00:48:10.525 --> 00:48:12.026]  The money issues are huge.
[00:48:12.406 --> 00:48:18.329]  Even if you only care about one of those issues, if you understand the impact on that one issue, that's huge.
[00:48:18.769 --> 00:48:23.013]  And the Texas local government code translates into other issues as well.
[00:48:23.053 --> 00:48:25.335]  This is not limited to just... We had four amendments.
[00:48:25.655 --> 00:48:29.058]  We had to restore, we had to preserve our right of recall.
[00:48:29.559 --> 00:48:42.951]  They wanted, the city wanted to make it where the council determined the legal definitions for recall, which basically would have required a psychiatric evaluation or a criminal or legal, a criminal offense to have occurred.
[00:48:43.755 --> 00:48:46.416]  David, there's a reason why they say you can't fight City Hall.
[00:48:46.757 --> 00:48:49.598]  And that's because they have the taxpayer-funded attorney firms.
[00:48:50.679 --> 00:48:51.079]  Okay?
[00:48:51.359 --> 00:48:51.979]  They fight you.
[00:48:52.380 --> 00:48:54.301]  So even if you win a case, they appeal.
[00:48:54.681 --> 00:49:04.846]  So even the court system, and I'm almost a little concerned about the court system where I'm getting the feeling where the establishment protects the establishment.
[00:49:05.546 --> 00:49:05.967]  Oh, really?
[00:49:08.939 --> 00:49:10.179]  Who would have thought?
[00:49:11.060 --> 00:49:19.524]  Well thank you so much for talking to us about this and we've got a little bit of time left on the interview and I definitely want to get Curtis in and talk a little bit more about what he's found out about the health issues.
[00:49:20.004 --> 00:49:21.765]  Thank you so much for everything that you've done.
[00:49:21.985 --> 00:49:23.306]  It's a great site to go to.
[00:49:23.326 --> 00:49:28.829]  I want everybody to go there and see how they can do this in their community because you said this is how many states now that
[00:49:29.429 --> 00:49:35.452]  Well, we've been contacted by 37 different counties, individuals in 37 counties who want to participate.
[00:49:35.572 --> 00:49:42.635]  And it's been really great to bring in some people that are very qualified in the field, very inclined with the Houston Property Association.
[00:49:44.016 --> 00:49:46.197]  It trains people how to do petition.
[00:49:46.797 --> 00:49:56.261]  And then with the Community Environmental Legal Defense Fund, the team is coming together to be able to empower every person in their own community.
[00:49:56.501 --> 00:49:57.082]  So there's help.
[00:49:57.982 --> 00:50:01.024]  All they need to do is contact us and start learning and acting.
[00:50:01.224 --> 00:50:03.165]  This is something in our power to do.
[00:50:04.285 --> 00:50:05.906]  And to be honest, it's really not fun.
[00:50:06.046 --> 00:50:08.287]  This is not a fun thing to have to go and tell people.
[00:50:08.307 --> 00:50:08.347]  No.
[00:50:08.907 --> 00:50:12.049]  But for us that do know the truth, they're fueled with the truth.
[00:50:12.149 --> 00:50:13.729]  It's every person's responsibility.
[00:50:13.749 --> 00:50:14.850]  It becomes something of a burden.
[00:50:15.170 --> 00:50:16.030]  Absolutely.
[00:50:16.110 --> 00:50:22.513]  Once you understand what it is on just even one of these issues, you've got a burden now to do something about it.
[00:50:22.894 --> 00:50:23.834]  Thank you so much for doing that.
[00:50:23.914 --> 00:50:25.935]  And just give us that website one more time, Sheila.
[00:50:26.095 --> 00:50:29.339]  It's H-Y-W-S dot U-S.
[00:50:29.679 --> 00:50:31.521]  Help Yourself Wellness Shop, Rady, Texas.
[00:50:31.882 --> 00:50:35.646]  Great, and they'll see a link there that'll go to the... Take charge.
[00:50:36.247 --> 00:50:37.789]  Okay, super.
[00:50:37.809 --> 00:50:41.874]  9.04, and there's also various different documentaries on the EMF information issues.
[00:50:42.294 --> 00:50:43.696]  Well, thank you so much for coming in.
[00:50:43.716 --> 00:50:44.797]  I really do appreciate that.
[00:50:44.857 --> 00:50:46.279]  And we're going to go to Curtis right now.
[00:50:46.877 --> 00:50:48.297]  We have on the phone Curtis Bennett.
[00:50:48.577 --> 00:50:51.898]  He's a Chief Science Officer for Thermographics Consulting Corporation.
[00:50:52.399 --> 00:50:56.220]  He's given expert testimony about the health effects of smart meters.
[00:50:56.780 --> 00:51:00.201]  And we've got him here to give us some more information about the health effects.
[00:51:00.721 --> 00:51:01.821]  Curtis, thank you for joining us.
[00:51:01.841 --> 00:51:06.162]  It's my pleasure to talk about this important topic.
[00:51:06.862 --> 00:51:12.584]  Tell us a little bit about what you do for a living and how you came to get concerned about smart meters.
