[00:00:20.842 --> 00:00:22.243]  It's Tuesday, August 13th.
[00:27:38.907 --> 00:27:46.394]  At one moment, we were shooting the stock ticker going by, and one of the officers came up to us and said, you know, this is all copywritten.
[00:27:46.894 --> 00:27:47.955]  We said, what is?
[00:27:48.295 --> 00:27:49.456]  And he said, all of this.
[00:27:49.556 --> 00:27:50.076]  It's a brand.
[00:27:50.116 --> 00:27:50.856]  It's copywritten.
[00:27:51.957 --> 00:27:52.698]  We said, the building?
[00:27:52.818 --> 00:27:53.778]  He said, yeah, the building.
[00:27:53.918 --> 00:27:54.299]  All of it.
[00:27:54.639 --> 00:27:57.761]  We have robots that scan the internet for this kind of footage.
[00:27:58.321 --> 00:28:03.584]  And if we find this, you know, and find that you're using it, then you could get in trouble.
[00:28:03.644 --> 00:28:05.946]  And we basically just said, well, good luck with that.
[00:28:06.266 --> 00:28:08.749]  Well, that's what you'd expect, I guess, from a Wall Street representative.
[00:28:08.769 --> 00:28:09.811]  They think they own the world.
[00:28:10.151 --> 00:28:13.856]  They're trying to pull every string and every underhanded thing they can to try to own the world.
[00:28:13.876 --> 00:28:17.220]  Yeah, it's an interesting issue about copyright.
[00:28:19.301 --> 00:28:20.502]  It's an issue of balance, isn't it?
[00:28:20.862 --> 00:28:26.747]  You know, because we want everybody's work to be respected, but then it gets to the point where it gets so overreaching.
[00:28:26.767 --> 00:28:37.494]  I mean, even if you look at copyrights for programs, you've got absurd copyright issues that were filed that say, you know, copyright for displaying a picture on a phone.
[00:28:37.555 --> 00:28:37.735]  Yeah.
[00:28:37.895 --> 00:28:41.537]  Something that doesn't have anything to do with any technological innovation.
[00:28:41.658 --> 00:28:42.358]  Yeah.
[00:28:42.378 --> 00:28:44.660]  And the copyrights that they're putting on
[00:28:45.515 --> 00:28:48.057]  Things that you can shoot are pretty much just that absurd.
[00:28:48.097 --> 00:28:53.101]  I mean, the fact that you can walk in public and see something, the fact that Google Earth can take a shot of it.
[00:28:53.501 --> 00:28:53.681]  Yeah.
[00:28:53.721 --> 00:28:54.882]  How does that come into it?
[00:28:54.902 --> 00:28:59.385]  Well, you got Google Street View going around, getting all this stuff, putting it all out on the internet anyways.
[00:28:59.445 --> 00:29:00.206]  It's all available.
[00:29:00.386 --> 00:29:00.586]  Right.
[00:29:01.167 --> 00:29:03.408]  It's not like we're out there doing reconnaissance.
[00:29:03.508 --> 00:29:05.610]  If this is what we're doing, we just go online.
[00:29:05.650 --> 00:29:08.973]  Plus, not to mention the fact that there's tourists all over the place.
[00:29:08.993 --> 00:29:10.033]  Constantly snapping.
[00:29:10.274 --> 00:29:10.574]  That's right.
[00:29:10.594 --> 00:29:12.735]  Constantly taking pictures, constantly snapping.
[00:29:12.815 --> 00:29:14.537]  So a lot of that's just intimidation.
[00:29:15.057 --> 00:29:16.158]  Pure intimidation.
[00:29:16.838 --> 00:29:17.578]  Yeah, yeah.
[00:29:17.978 --> 00:29:23.841]  Well, Dan, it's great meeting you and talking to you and we really look forward to seeing your work incorporated into Obama Deception 2.
[00:29:23.941 --> 00:29:25.742]  These are great documentaries that you put out.
[00:29:26.182 --> 00:29:28.423]  At United We Fall, about the North American Union.
[00:29:28.983 --> 00:29:33.585]  We've got The Turning Point, which is the 2012 Bilderberg in Chantilly, Virginia.
[00:29:34.186 --> 00:29:36.887]  We have the Toronto hearings on 9-11.
[00:29:37.187 --> 00:29:39.288]  Expert panels reviewing the evidence.
[00:29:39.928 --> 00:29:43.890]  And Into the Fire, which is about the G20 Toronto meeting.
[00:29:44.677 --> 00:29:47.280]  Dan, how can people reach you and get to your website?
[00:29:47.300 --> 00:29:48.101]  Give out that information.
[00:29:48.121 --> 00:29:49.182]  Anything you want to tell us about Twitter?
[00:29:49.782 --> 00:29:54.347]  Yeah, all this is available on my main flagship site, which is PressForTruth.ca.
[00:29:54.367 --> 00:29:57.510]  I do a lot of YouTube videos as well as documentary films.
[00:29:57.550 --> 00:29:58.210]  They all go there.
[00:29:58.230 --> 00:30:02.695]  I also have a subscription-based website for people who want to support the work that I'm doing.
[00:30:03.195 --> 00:30:07.776]  At PressForTruth.tv, where all of these films are available in high quality for download.
[00:30:08.236 --> 00:30:16.358]  And then, of course, if anybody wants to get direct to it firsthand, there's my YouTube channel, which is YouTube.com slash WeavingSpider.
[00:30:16.859 --> 00:30:17.439]  Okay, great.
[00:30:17.619 --> 00:30:18.379]  WeavingSpider.
[00:30:18.579 --> 00:30:19.639]  Yeah.
[00:30:19.679 --> 00:30:21.120]  That's straight from Bohemian Grove.
[00:30:21.180 --> 00:30:21.980]  Learned that from Alex.
[00:30:22.860 --> 00:30:23.320]  That's great.
[00:30:23.680 --> 00:30:24.481]  Well, great work, Dan.
[00:30:24.501 --> 00:30:25.301]  It's great meeting you.
[00:30:25.441 --> 00:30:25.681]  Thank you.
[00:30:25.901 --> 00:30:26.501]  That's it for tonight.
[00:30:26.541 --> 00:30:28.222]  We'll be back at 7 p.m.
[00:30:28.262 --> 00:30:29.462]  Central tomorrow, 8 p.m.
[00:30:29.582 --> 00:30:29.902]  Eastern.
[00:30:35.768 --> 00:30:41.032]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[00:30:41.392 --> 00:30:46.455]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[00:30:46.936 --> 00:30:52.720]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
