[00:00:21.169 --> 00:00:23.012]  It's Tuesday, September 17th.
[00:28:23.858 --> 00:28:41.682]  Well, so you actually tackle something that's very newsworthy in your latest video, the iPhone 5 NSA, which is hilarious that people don't get it, that their biometric data is being stored in this phone, and it's cool, it's my thumbprint, and you guys really, really nailed it with that video.
[00:28:42.282 --> 00:28:42.902]  Yes, thank you.
[00:28:43.183 --> 00:28:44.724]  That was our most recent.
[00:28:44.804 --> 00:28:51.068]  Honestly, I was actually up till four in the morning finishing that video and just made it public, I think, less than an hour ago.
[00:28:51.128 --> 00:28:56.391]  We got a phone call from Luke Radowski at We Are Change, who I know is a friend of your guys's.
[00:28:56.431 --> 00:28:57.452]  He's a friend of ours, too.
[00:28:57.872 --> 00:29:00.474]  We've been wanting to collaborate with him for a very long time.
[00:29:01.795 --> 00:29:02.816]  He had the idea.
[00:29:02.896 --> 00:29:06.258]  He said, hey, the iPhone 5, Apple just made a big announcement.
[00:29:06.458 --> 00:29:08.820]  If we could do the iPhone 5 NSA, that would be awesome.
[00:29:08.880 --> 00:29:11.662]  He sent over a few details for the script.
[00:29:11.722 --> 00:29:14.284]  And then Benny and I just pretty much ran with it.
[00:29:14.844 --> 00:29:16.085]  We filmed it, shot it.
[00:29:16.586 --> 00:29:19.408]  We pretty much wrote it, filmed it, shot it, edited it in a weekend.
[00:29:19.608 --> 00:29:21.329]  And we just published it today.
[00:29:21.469 --> 00:29:22.550]  And it looks like it's doing well.
[00:29:22.670 --> 00:29:23.771]  So it's on our channel.
[00:29:29.474 --> 00:29:39.259]  Well, we actually have it queued up to play a clip of it on our channel right now.
[00:29:41.280 --> 00:29:52.106]  iPhone 5 NSA uses speech recognition technology, so you don't have to bother yourself with remembering things or consulting your brain for any information ever again.
[00:29:53.038 --> 00:29:59.407]  Just ask it for the time, the day of the week, what your name is, sports scores, anything, really!
[00:29:59.747 --> 00:30:01.469]  You can ask it anything!
[00:30:02.050 --> 00:30:07.037]  It puts your brain in your hand and into our database.
[00:30:08.078 --> 00:30:17.843]  We've also developed what we like to call blackout technology, which allows authorities to block video and photos whenever they feel your security is in danger.
[00:30:18.443 --> 00:30:32.891]  For instance, if a political rally is ambushed by a conspiracy theorist demanding answers, the police can blackout every phone in the crowd so his questions are never heard or seen by anyone.
[00:30:33.411 --> 00:30:34.872]  Reporters, do your job!
[00:30:35.033 --> 00:30:37.055]  Please, ask some questions!
[00:30:37.235 --> 00:30:43.981]  And once he's silenced, and his coordinates are locked in, iPhone 5 NSA takes care of the rest.
[00:30:45.602 --> 00:30:46.443]  Just a question, man!
[00:30:46.483 --> 00:30:49.246]  How are we supposed to know the truth when we can't even ask a question?
[00:30:55.892 --> 00:30:57.273]  It was just a question!
[00:30:57.553 --> 00:30:58.474]  That's all it was!
[00:31:04.912 --> 00:31:17.077]  So Kevin, what do you think about the fact that you can make these videos, you're kind of making fun of what's happening, but probably in about six months we're going to find out that it's actually true and they really are using our data like this.
[00:31:18.058 --> 00:31:26.582]  Well, that's why we made the video suicided, so that nobody would ever think that we would actually kill ourselves, like some of these people do.
[00:31:26.682 --> 00:31:29.083]  So we put that video out there.
[00:31:29.283 --> 00:31:31.985]  That's our statement, loud and clear.
[00:31:32.485 --> 00:31:35.746]  But honestly, the process is cathartic for us, I think.
[00:31:37.487 --> 00:31:53.155]  We get so wrapped up in finding out the truth behind things that it kind of builds up in us and to be able to take it and turn it into something light, something that we can laugh about and
[00:31:54.535 --> 00:31:55.136]  We're good to go.
[00:32:16.836 --> 00:32:19.838]  And think at the same time, because that's really what it's all about.
[00:32:19.958 --> 00:32:28.423]  So I didn't mean to diverge too far of your question there, but at the end of the day, we do what we do because we're truth seekers and because we love comedy.
[00:32:29.024 --> 00:32:34.147]  And the two of them together is just like a complete catharsis for us.
[00:32:34.207 --> 00:32:40.411]  We're able to vent, to let everything out and to share that with the community online.
[00:32:40.591 --> 00:32:43.613]  So it's been a blessing for us the last year and a half.
[00:32:44.841 --> 00:32:49.502]  Well, one of your YouTube viewers asked a question on your video.
[00:32:49.842 --> 00:32:54.004]  Gary Dupree, he asks, is Joy Camp better than FEMA Camp?
[00:32:54.284 --> 00:32:57.885]  And if so, how much do you guys charge for re-education?
[00:32:58.865 --> 00:33:02.846]  Well, luckily, Gary, admission into Joy Camp is free of charge.
[00:33:04.266 --> 00:33:08.607]  You don't have to be rich or famous to be a part of it, because we certainly aren't.
[00:33:10.488 --> 00:33:13.749]  Yeah, I would certainly hope that Joy Camp would be a little bit better than FEMA Camp.
[00:33:15.526 --> 00:33:16.448]  Let's hope so anyway.
[00:33:16.488 --> 00:33:17.169]  I guess we'll see.
[00:33:18.351 --> 00:33:22.738]  Do you guys have, you know, storable food and blankets and everything?
[00:33:22.939 --> 00:33:25.002]  Because that's... Man...
[00:33:27.586 --> 00:33:34.067]  We try to be cautious and prepared, but not to be overly cautious and overly prepared.
[00:33:34.967 --> 00:33:43.189]  Yeah, because it's good to be prepared, but to live in fear every day of your life is not something that we want to subscribe to.
[00:33:43.249 --> 00:33:49.150]  We much prefer laughing versus being afraid of the world that we live in.
[00:33:49.170 --> 00:33:52.210]  Hopefully that's self-explanatory in our videos.
[00:33:53.191 --> 00:33:54.711]  Well then, FEMA Camp wins.
[00:33:55.609 --> 00:33:56.710]  Bima Camp definitely wins.
[00:33:56.770 --> 00:33:58.551]  At the end of the day, Joy Camp stands.
[00:33:58.611 --> 00:34:01.494]  In fact, I think what we're going to do is switch over to Boy Camp pretty soon.
[00:34:01.714 --> 00:34:02.074]  Nice!
[00:34:02.094 --> 00:34:05.116]  So, you can forget about Bima Camp, you can forget about Joy Camp.
[00:34:05.316 --> 00:34:06.157]  Just go with Boy Camp.
[00:34:07.478 --> 00:34:09.179]  Lots of... Is that like the...
[00:34:10.899 --> 00:34:11.799]  That's an all boys camp.
[00:34:12.139 --> 00:34:13.160]  No girls allowed in that camp.
[00:34:14.000 --> 00:34:15.881]  So I'm sorry, but no boys allowed.
[00:34:15.901 --> 00:34:17.721]  I mean, no girls allowed, only boys.
[00:34:18.241 --> 00:34:19.302]  See, now I'm confusing myself.
[00:34:19.382 --> 00:34:22.203]  It sounds like Bohemian, the Bohemian Grove.
[00:34:22.783 --> 00:34:23.223]  Exactly.
[00:34:23.863 --> 00:34:29.285]  I was this close to putting the logo at the end of that video, boy camp, but I felt like
[00:34:30.017 --> 00:34:33.718]  The joke in that video sort of explains itself.
[00:34:33.958 --> 00:34:34.938]  Bohemian Grove.
[00:34:35.539 --> 00:34:36.439]  All men only.
[00:34:36.459 --> 00:34:39.640]  I mean, how can you not make a joke about that?
[00:34:39.760 --> 00:34:46.722]  Actually, OK, to be fair, though, researching that one, doing that one, watching all the Alex Jones stuff, that one was one of the
[00:34:47.822 --> 00:35:09.275]  The um the most like when we do these projects we research a lot obviously and because we don't want to come off as stupid in the videos so we research a whole lot in these videos and it doesn't hit me until a few days later what we've actually researched because I'm thinking of it in terms of how am I going to film it how am I going to edit it how am I going to cut it and get it out there and so
[00:35:09.975 --> 00:35:17.462]  It's not until a couple days later when the video is online and I'm watching it and I'm like, wow, like all that information I download and process just hit me.
[00:35:17.522 --> 00:35:27.491]  So with Bohemian Grove, I kind of, I had nightmares I think for a couple of days because that is some dark, dark, dark stuff that potentially happens behind those closed doors and has happened behind there.
[00:35:27.771 --> 00:35:31.014]  Yeah, the guy, the guy was talking about barbecuing babies.
[00:35:31.894 --> 00:35:32.294]  Oh, man.
[00:35:33.715 --> 00:35:38.717]  That video, we saw that clip and we just I mean, we we couldn't avoid using that clip.
[00:35:39.097 --> 00:35:49.321]  But if if that is true or if there is truth behind some of the claims here, and certainly Alex's video of him being inside there really sheds a lot of light on it.
[00:35:49.581 --> 00:35:53.802]  It's a very dark and scary thing to think about.
[00:35:54.142 --> 00:35:57.564]  And hopefully the little bit of lightness that we brought to it
[00:35:58.624 --> 00:36:05.370]  We'll help people be able to research that a little bit easier because it was hard for me to dive in and research that one.
[00:36:05.390 --> 00:36:07.232]  But we did it.
[00:36:07.332 --> 00:36:08.172]  We got it out there.
[00:36:08.413 --> 00:36:09.093]  It's a good laugh.
[00:36:10.555 --> 00:36:10.995]  Hopefully.
[00:36:12.056 --> 00:36:17.741]  And hopefully it'll help spread a little bit of awareness of a very dark, dark subject.
[00:36:19.022 --> 00:36:25.884]  Well, one of your videos talks about the internet kill switch, which is a big topic kind of going on in the news.
[00:36:26.865 --> 00:36:31.726]  The former NSA director Michael Hayden indicated that he'd like to see the U.S.
[00:36:31.826 --> 00:36:44.771]  adopt a style of web policing that communist China uses, and bloggers there are being forced to confess their crimes against the government on live television.
[00:36:44.791 --> 00:36:46.692]  Oh my goodness.
[00:36:47.272 --> 00:36:47.612]  Beautiful.
[00:36:48.092 --> 00:36:53.875]  You guys would have so much to apologize for, so is there anything you'd like to confess right now?
[00:36:54.215 --> 00:36:59.398]  We would be hung from the highest tree, I think, if that was the case.
[00:37:00.118 --> 00:37:01.859]  You know, screw them.
[00:37:02.079 --> 00:37:02.519]  I don't know.
[00:37:02.619 --> 00:37:07.962]  You know, we, at this point, we just, we're gonna keep on doing what we're doing regardless of what happens.
[00:37:07.982 --> 00:37:11.783]  We do fear, we have seen YouTube channels be taken down.
[00:37:13.104 --> 00:37:15.746]  And we have a little clip of that at the end of our suicided video.
[00:37:15.826 --> 00:37:20.029]  So there is some fear in us that, you know, they could just shut it down.
[00:37:20.049 --> 00:37:28.794]  And that is in part why we made that internet kill switch video is to show the funny side of what life is like without the internet.
[00:37:28.814 --> 00:37:31.996]  But obviously, we wouldn't be connecting without the internet.
[00:37:32.056 --> 00:37:33.797]  So it is very powerful.
[00:37:34.398 --> 00:37:34.518]  And
[00:37:34.958 --> 00:37:47.489]  I feel like all of my friends online at this point are pretty much truth seekers and I wouldn't have that connection without it because Benny and I here in Los Angeles, we get people that come and visit us and hang out with us now because of Joy Camp.
[00:37:47.529 --> 00:37:47.869]  It's great.
[00:37:48.309 --> 00:37:53.554]  They find us, they like us, they send us a message, we communicate, and then eventually we have them over, we meet up with them.
[00:37:54.134 --> 00:38:03.179]  And the number one thing that we get from these visitors, these truth seekers, like all of us in your audience here watching, is that they feel alone.
[00:38:03.400 --> 00:38:04.740]  They really feel alone.
[00:38:04.760 --> 00:38:14.106]  They have no one to talk to, or their family thinks they're crazy, their dad yells at them, whatever it is, it's a common thread that we've been finding with these people.
[00:38:15.406 --> 00:38:19.369]  But most people are innately good, and they want to know the truth deep down inside of them.
[00:38:19.409 --> 00:38:20.670]  So it's like, it's weird, man.
[00:38:20.730 --> 00:38:22.851]  All these people, they have all the parts inside of them.
[00:38:23.351 --> 00:38:31.998]  But the conditioning of the society has steered them in one way their entire lives, that they don't know how to connect with people who are thinkers.
[00:38:32.478 --> 00:38:37.482]  And so once you get those people in a room together, they just vent and they let it all out.
[00:38:37.502 --> 00:38:48.872]  We get these truthers into our apartment and it's like they finally met somebody that they can talk to and they just let everything out that they've had built up inside of them forever that they haven't been able to talk to other people about.
[00:38:49.492 --> 00:38:56.396]  So, um, we're finding that this, uh, going back to the internet, connecting with people, connecting with your neighbors.
[00:38:56.656 --> 00:39:01.418]  We live in a nine-unit complex, and we're friends with everyone in this complex.
[00:39:02.079 --> 00:39:09.442]  And they all know what we do, and they're not all necessarily truth-seekers, but they can laugh at what we do, and they can communicate with us.
[00:39:09.903 --> 00:39:12.644]  So, communication is absolutely essential.
[00:39:12.704 --> 00:39:14.025]  The information is out there.
[00:39:14.725 --> 00:39:26.297]  Sources like InfoWars and other people are putting it out there, but communicating that information to people, to the mass audience, is really what we think is crucial at this stage.
[00:39:26.658 --> 00:39:33.265]  Getting the information out there to people who wouldn't otherwise look for it before.
[00:39:33.545 --> 00:39:37.029]  Letting people know that it's cool to be smart, you know?
[00:39:39.731 --> 00:39:55.027]  Yes, it's hip or it's trendy or whatever it takes to get people to stop that mentality of you're just a conspiracy theorist and start thinking like, wow, this guy actually knows what he's talking about and I can see that his life is better
[00:39:55.507 --> 00:40:10.493]  For what he has been researching and what he knows and maybe my life can be better so maybe I can talk to him more maybe I can reach out to my neighbor more maybe I can talk to people in the streets more about this kind of stuff and really just find that human connection that's in my eyes that's what
[00:40:11.113 --> 00:40:11.173]  Is
[00:40:27.953 --> 00:40:35.498]  You know, cringey, creepy men that outside of their suits, outside of the uniforms, outside of the security are just nothing.
[00:40:35.578 --> 00:40:38.200]  They are absolutely pathetic nothings.
[00:40:38.680 --> 00:40:49.808]  So once we can all act and realize that they're manipulating us and that we're all in the same boat, there's no Democrat, there's no Republican, there's no left, there's no right, we're all in this thing together.
[00:40:50.348 --> 00:40:54.675]  Communicate and do good in all that you do.
[00:40:54.935 --> 00:40:56.237]  It's really as simple as that.
[00:40:56.437 --> 00:41:01.825]  Communicate with people and do right and your life will take you exactly where it needs to take you.
[00:41:02.349 --> 00:41:16.493]  Well, and your internet kill switch video showed that it's really not going to be that bad if Obama does flip that switch, because we'll get out there and enjoy our life again, rather than being sucked into electronics.
[00:41:17.353 --> 00:41:17.753]  Exactly.
[00:41:17.773 --> 00:41:18.853]  So, what do you have coming up?
[00:41:18.933 --> 00:41:20.534]  What's next for Joy Camp?
[00:41:20.934 --> 00:41:33.488]  We have one other video that's already filmed and already mostly edited and I'm sure that the audience here is probably all big fans of the cult classic John Carpenter's They Live.
[00:41:34.549 --> 00:41:35.230]  We are too.
[00:41:35.750 --> 00:41:39.134]  And there's a very infamous fight scene in They Live.
[00:41:39.614 --> 00:41:42.796]  Can you guys make a video about what it's like to wake up the unwakeable?
[00:42:02.325 --> 00:42:05.386]  We created this fight scene from They Live.
[00:42:05.526 --> 00:42:06.646]  Recreated, I should say.
[00:42:06.706 --> 00:42:09.687]  And that should be out in the next week or two, ideally.
[00:42:09.747 --> 00:42:10.547]  And it's very funny.
[00:42:11.007 --> 00:42:14.128]  And I think that your audience here will get a good kick out of it.
[00:42:14.728 --> 00:42:19.429]  Well, I cannot wait to get that email because, yes, I am subscribed to your channel.
[00:42:19.449 --> 00:42:20.710]  Awesome.
[00:42:20.730 --> 00:42:26.811]  Well, Kevin, thank you so much for being a part of Joy Camp, an amazing pro-liberty comedy troupe.
[00:42:27.471 --> 00:42:29.352]  We appreciate what you're doing here at InfoWars.
[00:42:30.029 --> 00:42:30.589]  Thank you very much.
[00:42:30.629 --> 00:42:38.335]  We are happy to come on anytime and next time I'll make sure that Benny is with me and not just my little self-portrait behind me keeping me company here.
[00:42:38.575 --> 00:42:40.957]  That's an amazing self-portrait, by the way.
[00:42:41.057 --> 00:42:42.357]  Or the one in the speedo up there.
[00:42:42.498 --> 00:42:42.758]  Yes.
[00:42:43.458 --> 00:42:45.079]  Boy, how narcissistic does that look?
[00:42:45.099 --> 00:42:47.021]  Look, I got two of me right between me.
[00:42:50.483 --> 00:42:51.083]  Thank you so much.
[00:42:51.104 --> 00:42:51.664]  Thank you.
[00:42:51.704 --> 00:42:51.924]  Bye, guys.
[00:42:54.428 --> 00:43:00.312]  That was Kevin Kostelnik of Joy Camp and you can actually donate to their cause on their YouTube channel.
[00:43:00.672 --> 00:43:04.995]  I think Kevin said they are working with tens of dollars to make all those videos.
[00:43:05.536 --> 00:43:11.740]  His mom actually bought their green screen fabric for them at Joann Fabrics.
[00:43:12.020 --> 00:43:12.601]  Thanks mom!
[00:43:14.113 --> 00:43:19.478]  So while you are supporting liberty-minded media, become a member of Prison Planet TV.
[00:43:20.058 --> 00:43:26.744]  Your subscription will get you access to the Alex Jones Show, the special reports, the movies, all of our rants and e-books.
[00:43:27.505 --> 00:43:35.752]  And of course, your subscription will allow you to share your membership with up to 10 other people signed on at the same time.
[00:43:36.673 --> 00:43:37.894]  That's it for tonight's news.
[00:43:37.974 --> 00:43:39.535]  Join us again here tomorrow night at 7.
[00:43:40.256 --> 00:43:41.017]  I'm Leanne McAdoo.
[00:43:47.037 --> 00:43:52.162]  Now you can watch Alex Jones live at Infowars.com forward slash show.
[00:43:52.322 --> 00:43:57.447]  You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:43:57.807 --> 00:44:05.714]  You can also browse the network, the Infowars Nightly News, and over 60 movies and documentaries all together in one place.
[00:44:05.935 --> 00:44:08.897]  You can watch the Alex Jones Radio Show live as it happens.
[00:44:09.278 --> 00:44:12.581]  So check it out, Infowars.com forward slash show.
