[00:00:00.009 --> 00:00:01.755]  Just direct from Austin.
[00:39:24.598 --> 00:39:34.065]  Reports I read from DARPA about these humanoid robots that are going to, they're going to carry wrenches and they talk about them going ahead of the forces.
[00:39:34.326 --> 00:39:38.009]  Well why would you have a pile of humanoid robots going ahead of the forces with wrenches?
[00:39:38.489 --> 00:39:40.991]  Are they going to undo people's water pipes?
[00:39:42.635 --> 00:39:44.296]  You know, fix the broken tanks.
[00:39:44.516 --> 00:39:45.357]  Yeah, here's the headline.
[00:39:45.397 --> 00:39:49.199]  This 6-foot, 330-pound robot may one day save your life.
[00:39:49.259 --> 00:39:50.820]  That's talking about the Atlas robot.
[00:39:51.260 --> 00:39:58.565]  And the troubling thing is, is that when the Atlas robot came out, I looked at it, I thought it was very frightening the way that this thing is able to move around.
[00:39:58.865 --> 00:40:05.309]  And the fact that it has these two long arms that essentially look like cylinders, where I could imagine them being guns of some sort.
[00:40:05.989 --> 00:40:10.552]  And Ray Kurzweil comes out and says, that's great, now all he needs is a brain so he can act autonomously.
[00:40:11.337 --> 00:40:14.019]  Oh God, yeah, that's really bad.
[00:40:14.319 --> 00:40:15.480]  I think you're right, though.
[00:40:15.500 --> 00:40:16.561]  I can see it.
[00:40:16.821 --> 00:40:18.443]  The cylinders are going to become machine guns.
[00:40:18.503 --> 00:40:21.625]  I would say it's no doubt about that at all.
[00:40:21.945 --> 00:40:25.788]  Maybe not for a while, but that would be the general plan, I would think.
[00:40:27.229 --> 00:40:32.734]  Why would DARPA be spending money on rescuing people when they've been in the business of rescue ever?
[00:40:34.171 --> 00:40:36.634]  Yeah, and then we have these articles that are coming out now.
[00:40:36.654 --> 00:40:37.555]  This is about a year ago.
[00:40:37.575 --> 00:40:39.057]  This is from Wired's Danger Room.
[00:40:39.097 --> 00:40:41.399]  It says the Pentagon doesn't trust its own robots.
[00:40:42.000 --> 00:40:46.846]  They say that there's a cloud of distrust and misunderstanding hovering over robots that the Pentagon already has.
[00:40:47.286 --> 00:40:50.870]  So they're looking at this and they're evaluating this and they don't really like it.
[00:40:50.930 --> 00:40:52.312]  So we've got to conduct a media
[00:40:52.312 --> 00:40:52.452]  I'm not.
[00:41:12.296 --> 00:41:14.877]  Yes, I mean, you're right about the profit.
[00:41:14.897 --> 00:41:18.319]  I mean, just in terms of the drones, which we know about already.
[00:41:18.339 --> 00:41:23.281]  I mean, Israel made 4.8 billion in the last five years profit on those.
[00:41:24.101 --> 00:41:25.962]  And the competition is so stiff.
[00:41:26.342 --> 00:41:31.224]  So the idea is that you've got all the drones, how do you compete in that big market?
[00:41:31.444 --> 00:41:34.225]  And the way you compete is let's add autonomy to it.
[00:41:34.305 --> 00:41:35.426]  Let's make them work
[00:41:35.486 --> 00:41:35.586]  Yes.
[00:41:35.626 --> 00:41:35.726]  Yes.
[00:41:35.886 --> 00:41:36.046]  Yes.
[00:41:55.598 --> 00:41:56.218]  Well, that's good.
[00:41:56.498 --> 00:42:02.560]  I'm glad that you're going around and you're addressing the press, you're addressing governments, you're pointing out to them where this could head.
[00:42:02.880 --> 00:42:03.421]  I see this.
[00:42:03.461 --> 00:42:10.263]  You know, when we're talking about nuclear war, if some government presses the button and launches a bunch of nuclear weapons on someone,
[00:42:10.723 --> 00:42:12.844]  There's going to be literally hell to pay for that.
[00:42:12.924 --> 00:42:14.505]  There's going to be accountability for that.
[00:42:15.025 --> 00:42:21.709]  But if they take a bunch of killer robots, as we've already seen with drones, we've seen how they can go in with drones, they can destroy a village, and there's no accountability.
[00:42:21.769 --> 00:42:23.169]  Nobody is held responsible for that.
[00:42:23.570 --> 00:42:27.272]  And it'll even be easier for them once these robots have...
[00:42:28.292 --> 00:42:29.073]  Self-autonomy.
[00:42:29.333 --> 00:42:32.414]  They can basically say that they've got plausible deniability.
[00:42:32.434 --> 00:42:35.796]  They can say, well, the software went wrong on it or it was a hardware bug.
[00:42:35.956 --> 00:42:36.797]  It wasn't me.
[00:42:36.857 --> 00:42:37.757]  It wasn't the president.
[00:42:37.797 --> 00:42:38.658]  It wasn't the general.
[00:42:38.718 --> 00:42:39.718]  It wasn't the lieutenant.
[00:42:40.178 --> 00:42:42.039]  It was just these, this crazy technology.
[00:42:42.079 --> 00:42:42.680]  So we'll fix it.
[00:42:42.960 --> 00:42:45.201]  Meanwhile, they've killed a lot of people.
[00:42:45.581 --> 00:42:48.463]  And I can see them using this domestically as well as abroad.
[00:42:48.483 --> 00:42:54.226]  So if you think that this is something... Historically, governments have killed more of their own people than they've killed in other countries.
[00:42:54.286 --> 00:42:55.166]  It's called democide.
[00:42:55.186 --> 00:43:02.690]  So if you think this is something that is simply going to be used against these people on the other side of the world that you don't like, you need to wake up about that as well.
[00:43:03.920 --> 00:43:04.700]  I think really do.
[00:43:04.961 --> 00:43:14.305]  And the thing is, what the United States and the high-tech nations like the UK, they have a problem understanding that this stuff will proliferate and everyone will have it.
[00:43:14.745 --> 00:43:16.746]  And then where are we going to be?
[00:43:16.986 --> 00:43:29.131]  And that's my biggest worry, is this idea that we'll keep ahead of the technology, we'll be the ones who'll use it, without thinking at all that everybody else is going to have it and they will all interact together and then it's going to be a real mess.
[00:43:29.551 --> 00:43:33.193]  We've already seen countries like Iran setting up their own drones.
[00:43:33.533 --> 00:43:35.153]  They're not that technologically advanced.
[00:43:35.233 --> 00:43:36.874]  It didn't take them that long to get drones.
[00:43:37.254 --> 00:43:38.955]  It's not going to take them long to get robots.
[00:43:38.995 --> 00:43:45.078]  This is something, and what we're concerned about here, I have to say, Dr. Sharkey, we have a little bit different situation in the U.S.
[00:43:45.258 --> 00:43:52.181]  is unique in the sense that now we have this massive program of bringing home weapons that have been used in Iraq,
[00:43:53.081 --> 00:43:56.122]  And putting them in police departments here in America.
[00:43:56.302 --> 00:44:05.545]  And we're already concerned about the fact that humans themselves are not being held accountable for their actions when they fire on a child with a toy gun.
[00:44:06.245 --> 00:44:07.945]  What's going to happen when a robot does that?
[00:44:07.965 --> 00:44:09.886]  Do you think there's going to be accountability for that?
[00:44:10.945 --> 00:44:13.286]  Do you really think the United States police will start?
[00:44:13.346 --> 00:44:17.488]  I mean, they certainly talk about arming robots with tasers.
[00:44:18.108 --> 00:44:20.169]  That would be a start for it.
[00:44:20.449 --> 00:44:22.150]  But tasers are kind of deadly.
[00:44:22.590 --> 00:44:27.372]  I mean, 150 people died in the US within a period of two years from taser abuse.
[00:44:27.592 --> 00:44:33.675]  So if you start arming robots with tasers, then I think it's only a short step to arming them with weapons, really.
[00:44:33.695 --> 00:44:35.075]  With lethal weapons.
[00:44:36.556 --> 00:44:39.639]  They're very horrible non, quote-unquote, non-lethal weapons.
[00:44:39.819 --> 00:44:40.639]  Very horrible ones.
[00:44:40.699 --> 00:44:41.680]  It's not just tasers.
[00:44:41.720 --> 00:44:46.204]  They have all kinds of things that they can beam at you to make you sick, to blind you, that sort of thing.
[00:44:46.344 --> 00:44:48.326]  We just had, you talked about how they kill people.
[00:44:48.726 --> 00:44:57.093]  We've got a teenager right here just south of Austin that was tasered by a cop in a school who was standing there, standing around a fight, and didn't get out of the way in time.
[00:44:57.133 --> 00:44:59.755]  The cop tasered him, fell down and cracked his head.
[00:44:59.835 --> 00:45:00.656]  He's now in a coma.
[00:45:00.676 --> 00:45:01.717]  They believe he may die.
[00:45:01.817 --> 00:45:03.378]  That happens all the time with tasers.
[00:45:03.658 --> 00:45:15.165]  So when you talk about non-lethal force, you talk about shooting people with rubber bullets, you talk about using these gases on people, that's not something that we're looking forward to seeing happen in terms of crowd control.
[00:45:15.205 --> 00:45:17.366]  That can be very, very oppressive.
[00:45:17.386 --> 00:45:22.950]  Yes, but you don't have to worry too much because everyone just stopped it.
[00:45:23.678 --> 00:45:24.339]  Good, good.
[00:45:24.579 --> 00:45:26.160]  So tell us about your campaign.
[00:45:26.961 --> 00:45:29.383]  You're going around and you're talking to different governments.
[00:45:29.423 --> 00:45:33.606]  I guess you're having public speeches where you're trying to inform the public.
[00:45:33.907 --> 00:45:34.948]  How is your press coverage?
[00:45:35.848 --> 00:45:37.430]  Well, press coverage has been very good.
[00:45:37.810 --> 00:45:41.353]  But we had a breakthrough recently at the United Nations.
[00:45:41.713 --> 00:45:46.317]  There's a committee at the United Nations called the CCW.
[00:45:46.757 --> 00:45:50.661]  And that's the place where poisonous gases get banned, biological weapons.
[00:45:51.241 --> 00:45:55.064]  It's got banned chemical weapons, so that's the place for prohibiting new weapons.
[00:45:55.784 --> 00:46:11.194]  And we spoke to the, the French have just taken up the presidency, and we spoke to the French ambassador, then we spoke to the US delegation, and they've agreed with us that they would put this forward as a mandate for discussion in the UN.
[00:46:11.754 --> 00:46:14.456]  And last Friday, Friday two weeks ago,
[00:46:15.677 --> 00:46:22.505]  They had 117 nations from the CCW met and one of those nations could be to it.
[00:46:22.845 --> 00:46:34.599]  Russia were there, China were there, there was a massive discussion and they accepted the mandate so next year the CCW committee are setting up an expert workshop to take this on board and discuss it.
[00:46:35.160 --> 00:46:36.200]  Well that's great.
[00:46:36.260 --> 00:46:40.422]  And your campaign is stopkillerrobots.org.
[00:46:40.462 --> 00:46:41.822]  They can learn about that on the internet.
[00:46:42.002 --> 00:46:44.543]  www.stopkillerrobots.org.
[00:46:44.603 --> 00:46:46.183]  It's a campaign to stop killer robots.
[00:46:46.884 --> 00:46:49.524]  Now you've taken this to the UN, you've taken it to other countries.
[00:46:49.985 --> 00:46:52.725]  I'm a little bit more skeptical of the UN and these other countries.
[00:46:52.745 --> 00:46:57.307]  Hopefully they will ban this and hopefully these other countries won't secretly develop this.
[00:46:57.947 --> 00:47:06.436]  On their own, worried that they're going to have some kind of a robot gap or something like that, like they've had weapons defensively do it because they're afraid the other guy might do it.
[00:47:07.177 --> 00:47:14.985]  My big concern, and I think your campaign will be very effective at this as well, and that is to address the engineers and the scientists.
[00:47:15.566 --> 00:47:20.091]  To try to get them to understand, because that, I believe, is where we really need to go.
[00:47:20.951 --> 00:47:38.409]  As long as there's an engineer or a scientist who will develop this kind of stuff for pay, who doesn't look at the ethics of their work, you're going to find some kind of a politician or a dictator somewhere who will do it, who will use those people, who will pay them large amounts of money, and who will break any treaty that comes up, won't you?
[00:47:38.809 --> 00:47:41.250]  Well, the problem is, it's mainly the U.S.
[00:47:41.330 --> 00:47:43.712]  because they're a bit more cautious in Europe.
[00:47:43.752 --> 00:47:47.754]  In the U.S., it's very difficult to not get funded by the military.
[00:47:48.594 --> 00:47:58.959]  Most of the robotics labs are run by the military, are funded by the military, and people aren't necessarily making weapons and things, but when you're funded by the military, it stops you speaking up.
[00:47:59.279 --> 00:48:02.001]  It stops you speaking up against it.
[00:48:02.441 --> 00:48:20.353]  I mean, there was a professional magazine in the US called The Engineer, and they ran a poll of the readership asking how many people would go for a complete ban, or how many people would just go for trying to make the weapons more perfect over time.
[00:48:20.993 --> 00:48:28.078]  Only 3% of the readership said they would make the weapons go more perfect over time, and 73% said there should be a total ban.
[00:48:32.441 --> 00:48:33.422]  Consciousness of it.
[00:48:33.942 --> 00:48:56.876]  That's very helpful because so many times we'll talk to directly Alex will talk to soldiers and policemen over the radio and say understand that the kind of society that you allow to happen if you allow and are part of this kind of abuse that we see happening in the streets that's going to be the society that you live that could be your family that is brought under that and historically we've seen that always does happen
[00:48:57.636 --> 00:49:01.417]  It can't be contained and only limited to people who don't work for the government.
[00:49:01.958 --> 00:49:04.739]  We need to have that kind of awareness with engineers.
[00:49:04.819 --> 00:49:12.161]  And as you pointed out, it's very difficult in America to get a job, if you're an engineer, that doesn't involve the military-industrial complex.
[00:49:12.481 --> 00:49:16.963]  I know when I got out, it took me a while to find a job where I wasn't working for the military.
[00:49:17.263 --> 00:49:18.484]  That was my degree initially.
[00:49:19.984 --> 00:49:31.847]  I understand that, and it's good that people privately say that, and I think, I really applaud you for what you're doing, because getting the information out there, people don't even believe that this could happen in so many cases.
[00:49:31.867 --> 00:49:33.508]  They don't believe that the technology is there.
[00:49:33.548 --> 00:49:41.310]  They think it's just the science fiction fantasy of the Terminator, and we've been criticized for that here, that we're talking about some wild thing.
[00:49:41.350 --> 00:49:47.112]  Talk about the absolute, talk about how the technology is approaching rapidly.
[00:49:48.157 --> 00:49:52.419]  Well, we've had 44 nations of the UN now speak up with concern.
[00:49:52.959 --> 00:49:54.399]  So people better believe me now.
[00:49:55.580 --> 00:50:05.383]  It's not science fiction anymore when you have major countries like the US, Germany, Pakistan even, you know, all speaking up against killer robots or about them.
[00:50:05.644 --> 00:50:08.305]  So it's definitely on course to happen.
[00:50:08.485 --> 00:50:10.405]  There's no question of that unless we stop it.
[00:50:10.705 --> 00:50:14.467]  But you have to be very worried in the US as well about your private
[00:50:15.067 --> 00:50:20.936]  I mean, you've got the NSA there really doing a lot of nasty things, surveying people.
[00:50:21.277 --> 00:50:27.666]  But you're starting to get a lot of drones, and once the drones become autonomous, not even armed, they can be everywhere.
[00:50:27.887 --> 00:50:29.128]  They're getting very small.
[00:50:30.430 --> 00:50:38.117]  What worries me is not the current government you have, but these are legacy systems, so what does the next government do with them?
[00:50:38.177 --> 00:50:40.319]  What does the next government do with them?
[00:50:40.339 --> 00:50:42.061]  Because they just inherit them directly.
[00:50:42.341 --> 00:50:47.826]  And if you ever want to create an authoritarian regime, you're going to have the right tools to do it.
[00:50:47.927 --> 00:50:50.269]  And that is a great concern to me as well.
[00:50:50.289 --> 00:50:51.510]  This is military stuff.
[00:50:51.690 --> 00:50:53.071]  You hit the nail on the head.
[00:50:53.131 --> 00:50:57.536]  What we are building in the United States right now is a perfect infrastructure for tyranny.
[00:50:57.596 --> 00:51:03.521]  And whether our current leadership uses it, or it's the next, or second administration down, that's what we're concerned about.
[00:51:04.182 --> 00:51:09.186]  We're going to continue this discussion with Dr. Sharkey, and we're going to talk to him about what the current state of the art is.
[00:51:09.206 --> 00:51:09.627]  Stay tuned.
[00:51:09.927 --> 00:51:10.688]  The facts are in.
[00:51:10.948 --> 00:51:12.089]  The studies are legion.
[00:51:12.350 --> 00:51:19.737]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:51:19.877 --> 00:51:23.341]  So why are the social engineers adding it to the water?
[00:51:23.701 --> 00:51:24.101]  Simple.
[00:51:24.261 --> 00:51:28.626]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:51:28.966 --> 00:51:34.451]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:51:34.692 --> 00:51:50.707]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:51:51.007 --> 00:51:55.308]  Let's take a stand against the Globalists by blocking their poisons with Fluoride Shield.
[00:51:55.588 --> 00:51:57.429]  I use Fluoride Shield every day.
[00:51:57.749 --> 00:52:03.051]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:52:03.311 --> 00:52:07.552]  Let's start cleansing our bodies now and support the InfoWar at the same time.
[00:52:07.712 --> 00:52:08.973]  That's InfoWarsLife.com.
[00:52:11.241 --> 00:52:17.705]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:52:18.046 --> 00:52:22.529]  MyPatriotSupply.com is owned and operated by Patriots just like you.
[00:52:22.809 --> 00:52:31.995]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:52:32.315 --> 00:52:38.239]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:52:38.499 --> 00:52:39.781]  Look for the deal of the day.
[00:52:40.061 --> 00:52:43.306]  Unique, affordable survival supplies that fit anyone's budget.
[00:52:43.466 --> 00:52:46.751]  Get same day shipping on all orders and free shipping on orders over $49.
[00:52:46.811 --> 00:52:47.051]  Call 866-229-0927.
[00:52:47.071 --> 00:52:47.111]  866-229-0927.
[00:52:54.762 --> 00:53:00.727]  Or visit MyPatriotsSupply.com for emergency preparedness, self-reliance, and food independence.
[00:53:01.167 --> 00:53:03.850]  Shop with a name you know and a name you can trust.
[00:53:04.070 --> 00:53:06.792]  Before it's time to survive, it's time to prepare.
[00:53:07.092 --> 00:53:12.076]  MyPatriotsSupply.com Get the ultimate gift at the ultimate price.
[00:53:12.276 --> 00:53:13.657]  The Fox Karambit Knife.
[00:53:13.758 --> 00:53:17.761]  The Fox Karambit Knife opens with one hand faster than you can pull a handgun.
[00:53:17.841 --> 00:53:21.504]  For utility, for defense, and for way less than other knives of this caliber.
[00:53:21.744 --> 00:53:23.745]  Go to TheUltimateKnife.com.
[00:53:23.905 --> 00:53:25.906]  Truly the best knife you'll ever own.
[00:53:26.066 --> 00:53:28.928]  And only available at TheUltimateKnife.com.
[00:53:29.268 --> 00:53:31.849]  Use promo code RADIO at checkout for free shipping.
[00:53:31.969 --> 00:53:32.289]  Hurry!
[00:53:32.370 --> 00:53:33.930]  Offer good till December 25th.
[00:53:34.190 --> 00:53:38.213]  Get The Ultimate Knife at the ultimate price at TheUltimateKnife.com.
[00:53:39.313 --> 00:53:41.894]  Silver has always been nature's very own antibiotic.
[00:53:42.014 --> 00:53:46.016]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:53:46.316 --> 00:53:47.556]  SilverLungs.com.
[00:53:47.716 --> 00:53:50.197]  You'll find no wild claims or pseudoscience.
[00:53:50.398 --> 00:53:53.199]  Just a lifetime of nano-sized pure silver solutions.
[00:53:53.399 --> 00:53:55.540]  The Silver Lungs Generator allows you to make your own.
[00:53:55.740 --> 00:53:57.500]  So stop paying for silver solutions.
[00:53:57.640 --> 00:54:02.983]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:54:03.223 --> 00:54:06.884]  See the Silver Lungs Generator and lung delivery system at SilverLungs.com.
[00:54:07.024 --> 00:54:08.525]  That's SilverLungs.com.
[00:54:21.720 --> 00:54:24.162]  Welcome back to the Alex Jones Show.
[00:54:24.202 --> 00:54:28.686]  I'm David Nye filling in for Alex, and I have on the phone with us Dr. Noel Sharkey.
[00:54:28.906 --> 00:54:36.633]  He is a professor of artificial intelligence and robotics, and his focus now is on the ethical application of those technologies.
[00:54:37.174 --> 00:54:46.042]  We have him just for one more segment, only about four minutes, and Dr. Sharkey, what I would like for you to talk about in this segment is the state-of-the-art in robotics.
[00:54:46.582 --> 00:54:51.835]  People don't understand how imminent this problem is, how rapidly it's coming upon us.
[00:54:51.875 --> 00:54:52.778]  Could you address that?
[00:54:53.920 --> 00:54:54.540]  Yes, certainly.
[00:54:54.560 --> 00:55:00.704]  Well, we've got lots of armed robots on the ground and in the air, as you know, that are remote controlled.
[00:55:01.124 --> 00:55:05.687]  But what's happening now is a very rapid development of platforms that will carry the weapons.
[00:55:06.287 --> 00:55:13.991]  The more we talk in the campaign about banning these weapon systems, the more we're driving them underground, it seems.
[00:55:14.011 --> 00:55:15.672]  There's less talk about it now.
[00:55:16.033 --> 00:55:20.115]  But, for instance, in the United States, you've got three devices I'd like to
[00:55:20.755 --> 00:55:21.416]  mentioned to you.
[00:55:21.976 --> 00:55:32.363]  One is called the X-47B and that can land on an air- it's a fighter jet, a combat, unmanned combat aircraft, fast subsonic, just beneath the speed of sound.
[00:55:33.043 --> 00:55:40.008]  It can land on an aircraft carrier, it can take off from an aircraft carrier and it's going to be used in the Pacific.
[00:55:41.028 --> 00:55:47.292]  It's got ten times the range of one of your F-35 fighter jets, so that's really productive for them.
[00:55:47.532 --> 00:55:53.055]  And it's just been tested two weeks ago in very windy conditions, and that's working very well.
[00:55:53.115 --> 00:55:54.796]  That will be weaponized and used.
[00:55:55.196 --> 00:55:59.339]  So it's like a super drone, but you don't need people involved at all in controlling it.
[00:56:00.559 --> 00:56:07.441]  You've also got a prototype system called the Crusher and that's developed by Carnegie Mellon and DARPA again of course.
[00:56:07.461 --> 00:56:08.262]  Of course they are.
[00:56:08.282 --> 00:56:21.526]  The Crusher is a seven and a half ton truck and you can see it on if anybody wants to go on YouTube and just do Crusher CMU they will find it and they'll see it crushing Cadillacs and it's got a big gun up there on top of it.
[00:56:22.316 --> 00:56:37.584]  Now the other device that you're making in the United States is on the HTV-2 program, again DARPA, and they've got an aircraft called the Falcon, and the idea is to be able to get an unmanned combat aircraft anywhere on the planet
[00:56:38.522 --> 00:56:40.023]  Within a one hour window.
[00:56:40.363 --> 00:56:43.545]  So this thing has been tested at 13,000 miles an hour.
[00:56:44.045 --> 00:56:45.546]  So that's just the United States.
[00:56:45.986 --> 00:56:51.209]  In the UK, we have the Tyrannus, which is actually supersonic, so it's even faster.
[00:56:51.489 --> 00:56:58.633]  That's an intercontinental unmanned combat aircraft, fully autonomous, means that there's no human controlling it.
[00:56:59.333 --> 00:57:02.937]  And that's been tested in Australia just in the last couple of months.
[00:57:02.977 --> 00:57:04.779]  So these are progressing very quickly.
[00:57:05.240 --> 00:57:12.347]  The Chinese have the invisible sword as the engine, and that's being designed and built for air-to-air combat.
[00:57:12.447 --> 00:57:14.830]  Again, no human controlling it.
[00:57:15.050 --> 00:57:16.071]  The Russians have the scat.
[00:57:16.371 --> 00:57:19.635]  The Israelis are using one called the Guardian.
[00:57:20.055 --> 00:57:28.678]  And at the beginning when they developed it, they talked a lot about it being fully autonomous to do routes and to fire on people at the borders between Palestine and Israel.
[00:57:29.839 --> 00:57:36.001]  But now I spoke to an Israeli colleague the other day who was very excited because I had an early picture of it with guns on it.
[00:57:36.281 --> 00:57:38.842]  And now they can't find any pictures of them with guns.
[00:57:39.162 --> 00:57:41.503]  So I'm afraid we're driving these people underground a bit.
[00:57:41.643 --> 00:57:42.523]  But they're still doing it.
[00:57:42.764 --> 00:57:48.586]  Well, you know, we can understand very quickly the implications of something like the Crusher that's going to crush vehicles domestically.
[00:57:49.497 --> 00:58:07.256]  Even when it comes to these supersonic jet transports that are taking off from aircraft carriers that are unmanned aerial vehicles that are remotely controlled, that has a lot of danger in the sense that that's going to make our already aggressive government starting wars everywhere for very little justification and without congressional authorization.
[00:58:07.516 --> 00:58:10.599]  That's going to make them even more likely to get involved in these wars.
[00:58:10.919 --> 00:58:12.161]  And there's this thing called blowback.
[00:58:12.441 --> 00:58:17.303]  You know, once you start a war somewhere else, it will come home to you one way or the other eventually.
[00:58:17.343 --> 00:58:18.903]  It may be asymmetric warfare.
[00:58:19.244 --> 00:58:26.827]  It may be terrorism with people coming to your country and blowing people up in shopping malls, which will then be used to send out the crusher robots.
[00:58:27.187 --> 00:58:29.367]  But thank you so much, Professor Sharkey, for joining us.
[00:58:29.387 --> 00:58:30.128]  We're out of time.
[00:58:30.628 --> 00:58:31.868]  Good luck on your campaign.
[00:58:32.129 --> 00:58:34.209]  Keep trying to educate people about these dangers.
[00:58:34.289 --> 00:58:35.770]  It's a very important thing you're doing.
[00:58:36.150 --> 00:58:38.571]  Thank you for having me on and spreading the word for us.
[00:58:38.631 --> 00:58:39.452]  Thank you very much.
[00:58:39.512 --> 00:58:40.192]  Thank you very much.
[00:58:40.232 --> 00:58:42.713]  That's StopKillerRobots.org.
[00:58:42.773 --> 00:58:48.456]  We're going to be right back after the break with Leanne McAdoo, so stay tuned.
[00:58:50.276 --> 00:58:51.657]  Thank you for listening to GCN.
[00:58:51.677 --> 00:58:54.238]  Visit GCNlive.com today.
[00:58:59.634 --> 00:59:01.255]  Introducing Pro-1.
[00:59:01.515 --> 00:59:05.037]  All of your filtration in one system, portable, on-the-go.
[00:59:05.177 --> 00:59:09.579]  No more do you have two or three filters to just reduce sodium fluoride.
[00:59:09.719 --> 00:59:15.702]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:59:15.822 --> 00:59:26.607]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:59:26.807 --> 00:59:33.088]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:59:33.288 --> 00:59:50.232]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:59:50.592 --> 00:59:56.077]  Get your Pro-Pure with the new Pro-1 filters today at infowarestore.com or by calling 888-253-3139.
[00:59:56.097 --> 00:59:57.598]  Waging war on corruption.
[00:59:57.678 --> 01:00:03.544]  Alex Jones on the GCN Radio Network.
[01:00:13.035 --> 01:00:17.216]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:17.856 --> 01:00:18.656]  You want answers?
[01:00:19.416 --> 01:00:20.316]  Well, so does he.
[01:00:20.977 --> 01:00:24.617]  He's Alex Jones on the GCN Radio Network.
[01:00:25.157 --> 01:00:29.298]  And now, live from Austin, Texas, Alex Jones.
[01:00:29.418 --> 01:00:37.480]  Final segment with a few final calls with Max Keiser.
[01:00:37.520 --> 01:00:39.320]  Then we're going to have another guest coming on.
[01:00:39.500 --> 01:00:47.106]  We're going to go back to a few callers here and continue with others on in the next hour.
[01:00:47.466 --> 01:00:53.551]  I guess Greg's up next and then Danny and a few... No, no, Danny's not up next.
[01:00:53.631 --> 01:00:56.633]  It's William and then... I'm totally confused.
[01:00:56.673 --> 01:00:57.453]  I know it's Greg.
[01:00:57.473 --> 01:00:58.614]  I've seen he's been holding the longest.
[01:00:58.634 --> 01:00:59.975]  And then it'll be Joe.
[01:01:01.116 --> 01:01:05.139]  But Max Keiser, anything else you'd like to add?
[01:01:05.159 --> 01:01:08.682]  Important points that you've forgotten to get out there to folks?
[01:01:09.471 --> 01:01:11.992]  Well, you mentioned earlier the group of people.
[01:01:12.012 --> 01:01:13.713]  I just want to reiterate this point.
[01:01:14.173 --> 01:01:20.815]  Mark Faber and others are talking about 2014 being a watershed year, turning point in market chaos.
[01:01:21.256 --> 01:01:30.199]  And I just want to reiterate that I'm putting my flag in the ground and saying that Bitcoin is the phenomenon happening this year.
[01:01:32.500 --> 01:01:34.401]  They're missing the Bitcoin factor?
[01:02:03.000 --> 01:02:08.603]  I believe they are, because they sense that there is this epic change coming.
[01:02:08.643 --> 01:02:21.749]  I've talked about it on your show many times, as many have, but I think that the emergence of cryptography as it has changed the surveillance industry, changed the global alliances, is bleeding into currencies, and that's a huge event.
[01:02:21.809 --> 01:02:24.650]  It's the biggest event in currencies in hundreds of years.
[01:02:25.030 --> 01:02:26.591]  Well, when you've got 85 to 1, 100 to 1, 200 to 1,
[01:02:29.432 --> 01:02:39.536]  Alright, if ever I had a guy, you're my budget guy, tell me your impressions after combing through some of the numbers of what has been put forth by both parties yet to be voted on.
[01:02:58.524 --> 01:03:00.005]  Well, first, let's be clear.
[01:03:00.145 --> 01:03:01.726]  It's a joke and a betrayal.
[01:03:02.206 --> 01:03:13.193]  It's the final surrender of the House Republican leadership to beltway politics and to kicking the can and ignoring this budget monster that's hurtling down the road.
[01:03:13.674 --> 01:03:17.476]  They're busting the caps, and it's totally unnecessary.
[01:03:17.596 --> 01:03:24.861]  It's going to add $70 billion to spending this year and next year, and then they're going to pretend to save it in 22 and 23 way, way down the road.
[01:03:27.142 --> 01:03:30.945]  Let me actually read what he said here.
[01:03:30.985 --> 01:03:36.550]  He said on Bloomberg, it's in our article, Market Valuation Has Lost Every Anchor in the Real World.
[01:03:37.111 --> 01:03:44.477]  He wanted to say that this kind of speculative frost that you get at the top of the cycle, where valuation loses any anchor in the real world, that video is up on InfoWars.com.
[01:03:47.540 --> 01:03:49.282]  This is what we're talking about here.
[01:03:49.302 --> 01:03:59.211]  So, they can't criticize Bitcoin, claiming it's not connected to anything, when what they're pushing is connected to a bunch of debt that we know has negative value and was based in fraud, Max Keiser.
[01:03:59.807 --> 01:04:08.652]  Well, they're basing their analysis or their value structure is tied to fiat money, and that money by definition has no intrinsic value at all.
