[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[00:44:32.275 --> 00:44:33.095]  I know a lot of people.
[00:44:33.175 --> 00:44:34.536]  I grew up around NASA stuff.
[00:44:34.997 --> 00:44:40.200]  I know people that were involved in NASA programs as children that have been high level in Microsoft.
[00:44:41.201 --> 00:44:42.902]  And I'm just going to, I mean, high level.
[00:44:43.422 --> 00:44:44.863]  Key men.
[00:44:46.064 --> 00:44:46.344]  Okay?
[00:44:46.824 --> 00:44:47.045]  Key.
[00:44:48.320 --> 00:44:51.283]  And the point is, there is a giant program we don't know about.
[00:44:51.763 --> 00:44:52.764]  And it's compartmentalized.
[00:44:52.864 --> 00:44:53.945]  Underground bases, you name it.
[00:44:54.426 --> 00:44:54.826]  Hundreds.
[00:44:54.866 --> 00:44:56.087]  Guys, look up the number of U.S.
[00:44:56.107 --> 00:44:57.428]  test pilots known to have died.
[00:44:57.448 --> 00:45:00.051]  I think it's in the hundreds.
[00:45:00.731 --> 00:45:02.373]  Imagine the secret space program.
[00:45:02.413 --> 00:45:06.216]  So, what I was told, programs that different people, and Bowman didn't get into this, he got into space planes.
[00:45:07.179 --> 00:45:10.680]  What I was told, and the guy said he'd come on air, he came on air and choked up and didn't do it.
[00:45:10.940 --> 00:45:11.721]  It's Raymond Teague.
[00:45:12.181 --> 00:45:17.683]  Raymond said there were a lot of people dying, and that there's reportedly Russians, Chinese, dead on the moon as well.
[00:45:18.003 --> 00:45:20.444]  There's a reason, the point is they did go to the moon.
[00:45:21.564 --> 00:45:25.625]  They just don't show you all the real stuff, and also fake some stuff for PR purposes.
[00:45:26.005 --> 00:45:29.947]  But the point is, others told me, oh it's true, massive death rates.
[00:45:30.207 --> 00:45:32.988]  People couldn't handle astronauts getting barbecued on launch pads.
[00:45:35.199 --> 00:45:37.700]  They've had space planes going into space since the 60s.
[00:45:38.621 --> 00:45:41.562]  And what I was told, that program killed hundreds.
[00:45:42.223 --> 00:45:44.484]  I mean, these are guys that, you know, beyond Chuck Yeager.
[00:45:44.504 --> 00:45:46.004]  Of course, Chuck Yeager knows about all this.
[00:45:46.385 --> 00:45:48.666]  That were, I can't really say beyond Chuck Yeager, but that type of guy.
[00:45:48.726 --> 00:45:50.567]  Just like, I'm ready to do it, I volunteer.
[00:45:50.887 --> 00:45:55.589]  On suicide missions, because they didn't have computers that could control it, or even, you know, guided stuff that good then.
[00:45:55.969 --> 00:45:58.150]  Suicide missions in the early to the late 60s.
[00:45:58.331 --> 00:46:00.832]  I'm gonna have to skip this network break, this is too important.
[00:46:02.625 --> 00:46:06.869]  To test alloys and composites to get these space planes into orbit.
[00:46:07.769 --> 00:46:11.212]  And a lot of men died, so the globalists can now have robots do it.
[00:46:12.233 --> 00:46:16.877]  But it was humans that did it, and it was humans, and the word was, hundreds died in that program.
[00:46:17.057 --> 00:46:19.479]  So I extrapolated out, they said, I don't know about the other programs.
[00:46:20.260 --> 00:46:29.487]  If hundreds died in space plane programs in the 60s, so that by the 70s they could put robots in orbit, then what do you think's going on?
[00:46:30.268 --> 00:46:31.529]  I don't know if thousands died.
[00:46:33.382 --> 00:46:37.205]  Okay, but I extrapolated that if one program, I said, dozens?
[00:46:37.565 --> 00:46:38.246]  Try up.
[00:46:38.686 --> 00:46:39.006]  Hundreds?
[00:46:39.026 --> 00:46:39.827]  Yeah, hundreds.
[00:46:41.188 --> 00:46:50.455]  I mean, there was something like between 4 and 10,000, nobody knows, troops that died in secret war in Vietnam from 59 to 64 before they staged Gulf of Tonkin.
[00:46:51.376 --> 00:46:53.458]  And that wasn't declassified until about 10 years ago.
[00:46:53.478 --> 00:46:54.379]  They said a little over 4,000.
[00:46:54.779 --> 00:46:55.940]  Some numbers are higher.
[00:46:57.403 --> 00:47:00.965]  Now I'm going to play the Rachel Maddow and pause and talk over her here.
[00:47:01.265 --> 00:47:04.026]  And again, stations shouldn't play over this next break because it's a network break.
[00:47:04.506 --> 00:47:05.187]  I do this more and more.
[00:47:05.227 --> 00:47:09.528]  I don't even plug my own sponsors here on air because I'm so obsessed with just getting the word out.
[00:47:09.569 --> 00:47:11.689]  But this is them in damage control.
[00:47:11.709 --> 00:47:16.912]  If you can't see the video as a radio listener, go up to InfoWars.com because she is in panic mode.
[00:47:18.640 --> 00:47:21.343]  Look, look, you've lost the confidence of the people.
[00:47:22.063 --> 00:47:24.246]  And there's no going back, okay?
[00:47:24.266 --> 00:47:25.247]  You understand that, Manow?
[00:47:25.787 --> 00:47:29.811]  You've gutted America, you've wrecked us financially, you've got control of that.
[00:47:30.232 --> 00:47:32.134]  You're putting millions on food stamps every month.
[00:47:32.894 --> 00:47:35.077]  You're gutting our industry, shutting down our power plants.
[00:47:35.537 --> 00:47:38.720]  But you can see that it's not going to go on forever.
[00:47:39.501 --> 00:47:40.963]  Because some of us aren't cowards.
[00:47:42.619 --> 00:47:49.347]  And that's why I say I admire Drudge, because Drudge gets it, and Drudge knows there's evidence to all this, and so he's willing to be attacked.
[00:47:49.387 --> 00:47:56.416]  Notice, Janet Napolitano didn't say he's not on a no-fly list, or, you know, he's not listed as a potential terrorist.
[00:47:56.436 --> 00:47:58.258]  She just said, that is an incredible source.
[00:47:59.199 --> 00:48:00.661]  But then, of course, it all turned out it was true.
[00:48:02.762 --> 00:48:03.822]  And what was Drudge linking to?
[00:48:03.942 --> 00:48:04.903]  Infowars.com.
[00:48:05.123 --> 00:48:08.623]  See, they're mad, folks, because all the other media will sell out.
[00:48:08.843 --> 00:48:10.084]  All the other media will play ball.
[00:48:10.364 --> 00:48:12.564]  But no one's watching you anymore.
[00:48:13.004 --> 00:48:14.765]  You're a shadow of your former self.
[00:48:15.085 --> 00:48:15.945]  Look at you!
[00:48:17.005 --> 00:48:27.048]  And yeah, you get to be on a power trip with your eugenics and your death cult and, you know, I just want more death, more abortion, more killing, you know, the stuff that they put on HBO with Bill Maher.
[00:48:27.904 --> 00:48:28.585]  I know you hate us.
[00:48:28.645 --> 00:48:30.266]  We know you hate us, you scum!
[00:48:30.866 --> 00:48:34.389]  You're control freak nuts who don't want to build up humanity.
[00:48:34.729 --> 00:48:36.570]  You pose as liberals so you can have your way with us.
[00:48:36.610 --> 00:48:37.311]  You trash.
[00:48:37.811 --> 00:48:39.092]  We see you trash.
[00:48:40.093 --> 00:48:42.575]  And we have the instinct to throw ourselves against you, okay?
[00:48:43.155 --> 00:48:46.458]  So, this is a game of chicken, folks.
[00:48:46.678 --> 00:48:49.100]  And you have to beat these people.
[00:48:49.360 --> 00:48:50.821]  You have to fully commit.
[00:48:52.130 --> 00:48:55.031]  I mean, Drudge knows the old system's gone.
[00:48:55.391 --> 00:48:57.112]  You people have no power anymore.
[00:48:57.292 --> 00:49:00.753]  Sure, you've got the guns and the feds, but you don't have the moral authority anymore.
[00:49:00.933 --> 00:49:01.693]  You're a joke!
[00:49:02.533 --> 00:49:03.053]  You witch!
[00:49:03.794 --> 00:49:10.056]  Let's go ahead and go to, this is part of the 15-minute clip or whatever it is, but this is where she really gets into Badandi.
[00:49:10.236 --> 00:49:14.177]  How dare him ask a question about a drill, when the drill is on record now!
[00:49:15.592 --> 00:49:17.236]  But she thinks her audience are morons.
[00:49:17.296 --> 00:49:17.737]  Here it is.
[00:49:17.777 --> 00:49:23.311]  These crazy conspiracy theories are also trying to sell the idea that the Boston Marathon bombing did not happen.
[00:49:24.144 --> 00:49:28.426]  Or if the Boston Marathon bombing did happen, it was done by the government.
[00:49:28.446 --> 00:49:34.569]  It's an elaborate hoax to make us believe that we were attacked, when really, we weren't attacked, it was our government doing it to us.
[00:49:34.809 --> 00:49:37.571]  It's all part of the way the government controls us, or something.
[00:49:38.371 --> 00:49:43.354]  To be clear, I'm not talking about family members of the bombing suspects saying, we believe our family members are innocent.
[00:49:43.374 --> 00:49:44.254]  That's a whole different thing.
[00:49:44.514 --> 00:49:48.656]  What I'm talking about is full-blown American conspiracy theories that the U.S.
[00:49:48.716 --> 00:49:51.998]  government itself bombed the Boston Marathon.
[00:49:54.400 --> 00:50:02.942]  By the way, they did start sticking hands down the pants in papers, please, and they walked up to a family that looked nothing like the suspects.
[00:50:02.962 --> 00:50:03.902]  Let me just see your ID.
[00:50:03.962 --> 00:50:05.843]  Have the Army pointing guns at them.
[00:50:22.722 --> 00:50:24.963]  Oh, so I'm a conspiracy theorist because that happened?
[00:50:25.784 --> 00:50:27.965]  And you did use it to basically have martial law?
[00:50:28.365 --> 00:50:30.106]  And now say everybody loves martial law!
[00:50:30.146 --> 00:50:31.047]  This will be the new way of life!
[00:50:31.367 --> 00:50:33.028]  Show the front page of InfoWars.com.
[00:50:33.948 --> 00:50:37.690]  Anthony Frieda's art showing the American in a FEMA camp, you know, showing his papers.
[00:50:37.891 --> 00:50:39.752]  We can show you the real papers, please.
[00:50:39.792 --> 00:50:41.573]  Type in papers, please, InfoWars.com.
[00:50:43.137 --> 00:50:48.948]  By the way, they're on the news right now just openly saying they're going to attack Syria now because they have WMDs and use chemical weapons.
[00:50:49.228 --> 00:50:49.649]  Why not?
[00:50:49.949 --> 00:50:53.656]  I mean, they'll probably get on the news and say that Assad launched the attacks in Boston.
[00:50:53.836 --> 00:50:54.297]  Why not?
[00:50:55.725 --> 00:51:00.206]  They'll probably say Assad is Al-Qaeda when he's fighting Al-Qaeda because they think you're idiots.
[00:51:00.666 --> 00:51:04.187]  But the difference is the American people are not complete idiots and they're starting to find out.
[00:51:04.527 --> 00:51:08.548]  Let's go back to the one that sits up on her high horse and she'll tell you what's real.
[00:51:08.608 --> 00:51:09.829]  She'll tell you what's going on.
[00:51:10.309 --> 00:51:16.030]  And she's so mad too that you support us with $5.95 a month to subscribe to see the films and stuff, though most of the stuff's free.
[00:51:16.050 --> 00:51:17.991]  You know, she gets banker bailout money.
[00:51:18.151 --> 00:51:18.911]  MSNBC does.
[00:51:19.531 --> 00:51:21.212]  You know, she's government and globalist funded.
[00:51:21.252 --> 00:51:24.413]  She's so mad that you've still got enough money to support free media.
[00:51:24.593 --> 00:51:25.473]  She gets into that too.
[00:51:25.553 --> 00:51:26.894]  She absolutely hates it.
[00:51:27.114 --> 00:51:27.514]  Here it is.
[00:51:27.594 --> 00:51:29.175]  That was day one.
[00:51:46.832 --> 00:51:48.213]  of the Boston Marathon bombings.
[00:51:48.253 --> 00:51:54.737]  The very first question put to law enforcement and government officials when they held their press conference to explain to people what was going on.
[00:51:55.017 --> 00:51:58.759]  The very first question was somebody alleging that the government had bombed the marathon.
[00:51:58.779 --> 00:52:00.420]  It was a false flag attack!
[00:52:00.760 --> 00:52:03.022]  And it was not just that one time that that happened.
[00:52:03.042 --> 00:52:04.663]  This kept happening at the press briefings.
[00:52:18.523 --> 00:52:29.213]  By the way, while this is happening, Secret Service are in his face, pushing him and yelling at him and telling him, don't show people the photos of the Saudi Arabian and others.
[00:52:30.154 --> 00:52:31.154]  It's like out of a movie!
[00:52:32.102 --> 00:52:33.223]  And Maddow is panicking!
[00:52:33.283 --> 00:52:35.224]  What if other slaves go to press conferences?
[00:52:35.504 --> 00:52:37.145]  What if other slaves ask questions?
[00:52:37.765 --> 00:52:47.510]  By the way, they're now getting ready to start bombing Syria, a poor country, to then turn it over to Al Qaeda to slaughter the ancient Christian and Jewish communities there, and the Muslim minority communities.
[00:52:47.570 --> 00:52:48.611]  It's such a war crime.
[00:52:49.051 --> 00:52:56.395]  And they got that weirdo, black-op commander, Hagel, up there like a shark, with his shark eyes, just lying to people.
[00:52:57.516 --> 00:52:58.236]  No liars!
[00:52:58.576 --> 00:53:01.058]  Oh, Syria's got WMDs, and you watch when they're done.
[00:53:02.486 --> 00:53:05.227]  When they're done, they're going to say Syria was behind the bombing.
[00:53:05.867 --> 00:53:08.528]  And I'll be a traitor because I don't want to put Al-Qaeda in charge.
[00:53:09.488 --> 00:53:10.769]  Let's go back to Mr. Maddow.
[00:53:13.710 --> 00:53:16.351]  Why are you denying there was bomb drills?
[00:53:17.511 --> 00:53:20.812]  The conspiracy theorists claiming that there was not really a Boston bombing.
[00:53:21.293 --> 00:53:25.334]  That it was the government blowing us up on purpose so that they can enslave us.
[00:53:25.414 --> 00:53:27.755]  Yeah, we're not being enslaved.
[00:53:28.015 --> 00:53:28.375]  No, no, no.
[00:53:28.675 --> 00:53:30.556]  Criminal globalist elements.
[00:53:33.519 --> 00:53:35.679]  Criminal globalist elements, lady.
[00:53:35.739 --> 00:53:38.860]  I mean, how many times has the government... Should I play Dan Rather?
[00:53:40.260 --> 00:53:43.201]  Just type in World Trade Center government bombing into YouTube.
[00:53:43.221 --> 00:53:50.922]  You'll get Dan Rather and New York Times and all of it saying the government cooked the bomb, trained the driver, and then let it go forward, even though the informants tried to stop it and said, don't bomb those people!
[00:53:51.822 --> 00:53:52.902]  I mean, you stupid witch!
[00:53:54.363 --> 00:54:01.804]  Not all of us are scum like peacock narcissists that sell out to evil so you can be somebody up there on your little perch!
[00:54:03.837 --> 00:54:04.778]  I'll tell you who's somebody.
[00:54:04.798 --> 00:54:12.544]  It's people like Badandi that have got the guts to go in there and break with all the fraud and all the hoax and call the man behind the curtain for what it is.
[00:54:12.804 --> 00:54:13.724]  A stinking lie.
[00:54:13.765 --> 00:54:15.186]  Let's go back to her.
[00:54:15.586 --> 00:54:17.067]  This is not a freelance thing.
[00:54:17.687 --> 00:54:22.651]  These guys are mostly associated with a popular conspiracy theory talk show called InfoWars.
[00:54:23.312 --> 00:54:24.793]  The host of the show is a man named Alex Jones.
[00:54:25.513 --> 00:54:31.438]  Yesterday afternoon, Matt Drudge, who's the purveyor of the most influential conservative website in the country, the Drudge Report,
[00:54:31.818 --> 00:54:34.420]  Yesterday afternoon, Matt Drudge tweeted this.
[00:54:35.261 --> 00:54:39.604]  He tweeted, I privately told friends that this will be the year of Alex Jones.
[00:54:40.505 --> 00:54:43.367]  One hell of a broadcast in such a homogenized media.
[00:54:43.387 --> 00:54:49.752]  Again, this is from the most influential figure in conservative media who is not named Roger Ailes at Fox News Channel.
[00:54:50.472 --> 00:54:54.876]  And this is the guy he's now endorsing, saying it's this guy's year.
[00:54:57.196 --> 00:54:59.197]  The government lies out of hand.
[00:54:59.297 --> 00:55:00.777]  You're saying, well, then why do you believe in the moon landing?
[00:55:01.017 --> 00:55:02.518]  Because I have sources inside NASA.
[00:55:02.858 --> 00:55:05.079]  They put on some fake stuff for you.
[00:55:05.339 --> 00:55:06.339]  See, there was a lie.
[00:55:07.079 --> 00:55:09.140]  See, it's not just did we go or didn't we go.
[00:55:09.580 --> 00:55:13.201]  You were shown the Tinker Toy stuff because you're not supposed to see what they really got.
[00:55:13.441 --> 00:55:16.482]  You're not supposed to know the thousands of astronauts that have died.
[00:55:17.463 --> 00:55:17.863]  Oh, yes.
[00:55:17.923 --> 00:55:19.143]  In fact, I should do a whole show on that.
[00:55:19.183 --> 00:55:21.364]  In fact, this is the kind of stuff that will get you killed.
[00:55:22.605 --> 00:55:29.750]  The night of the Boston Marathon bombing, that same conspiracy theorist guy said, quote, our hearts go out to those that are hurt or killed.
[00:55:30.271 --> 00:55:33.473]  Boston Marathon, but this thing stinks to high heaven.
[00:55:33.894 --> 00:55:34.934]  False flag.
[00:55:36.255 --> 00:55:46.804]  And by false flag, he means a cloak and dagger, super extra, double top secret, black ops operation that the government carries out in such a way as to make it look like the operation was done by somebody else.
[00:55:47.504 --> 00:55:48.245]  He means the U.S.
[00:55:48.265 --> 00:55:49.646]  government bombed Boston.
[00:55:51.860 --> 00:55:53.982]  So our own government could make it look like we were under attack.
[00:55:54.002 --> 00:55:55.302]  That's enough, we're almost out of time.
[00:55:56.603 --> 00:56:10.073]  Ladies and gentlemen, you need to go to InfoWars.com and you need to read the articles that Paul Watson and Kurt Nemo put out dealing with the fact of why you should always look at government as the number one suspect.
[00:56:11.154 --> 00:56:14.816]  Why government should be the first suspect in a terror attack and then it's the whole history of it.
[00:56:15.377 --> 00:56:17.038]  A brief history of false flag terror attacks.
[00:56:18.464 --> 00:56:20.264]  Or why governments love state-sponsored terror.
[00:56:20.604 --> 00:56:25.225]  Everybody should send this to MSNBC, to all of their employees, most of them who are compartmentalized.
[00:56:27.926 --> 00:56:34.607]  By the way, it's come out that CNN and other groups like MSNBC have CIA there actually writing and loading the teleprompters.
[00:56:34.627 --> 00:56:34.947]  Don't believe me?
[00:56:34.987 --> 00:56:37.748]  They even came out in the Washington Post and World Net Daily, 2000.
[00:56:38.188 --> 00:56:40.228]  And she just hopes you don't look that up.
[00:56:40.788 --> 00:56:44.409]  I mean, Matt Elm is more like a foundation person, which is above the CIA.
[00:56:45.745 --> 00:56:47.106]  I mean, she's here to break it all down.
[00:56:47.146 --> 00:56:47.906]  She's a technocrat.
[00:56:47.926 --> 00:56:49.767]  She knows the whole ballgame, folks.
[00:56:50.487 --> 00:56:51.428]  She signed on to it.
[00:56:52.408 --> 00:56:53.549]  Just because she hates life.
[00:56:53.649 --> 00:56:55.030]  She just loves evil.
[00:56:55.090 --> 00:56:56.890]  I mean, you can just look at her.
[00:56:57.371 --> 00:56:59.092]  Hey, you know what, you robot, you witch?
[00:56:59.652 --> 00:57:00.412]  You're not going to win.
[00:57:00.432 --> 00:57:04.134]  And by the way, it's come out that Tamerlan was working under the CIA.
[00:57:04.374 --> 00:57:12.138]  It's come out there was five contacts and the Russians blew their cover and even went to the CIA and said, keep your guy out of here trying to blow stuff up.
[00:57:14.437 --> 00:57:17.078]  And see, he was blown, and he didn't know.
[00:57:17.158 --> 00:57:19.379]  That's when they started getting ready to set up Tamerlan.
[00:57:19.859 --> 00:57:21.300]  And he's got his brother to tag along.
[00:57:21.720 --> 00:57:24.721]  Because now he was a compromised asset, and they flushed you down the toilet.
[00:57:25.081 --> 00:57:27.202]  And everybody should remember who works for this New World Order.
[00:57:27.602 --> 00:57:30.223]  You are totally and completely expendable.
[00:57:30.263 --> 00:57:32.964]  You are a biological android, drone to them.
[00:57:33.985 --> 00:57:37.406]  And when they're done with military, they are going to take your guns.
[00:57:37.426 --> 00:57:41.708]  That's why they shoot you up with time-lapse, time-delayed vaccines to kill you down the road.
[00:57:43.115 --> 00:57:46.457]  If you want to support the broadcast, which she absolutely hates, she gets into that.
[00:57:47.237 --> 00:57:48.918]  Maybe I should plug more, she hates it so much.
[00:57:48.938 --> 00:57:57.742]  We have the new Seed Center with the seven best heirloom, non-hybrid, non-GMO seeds at the lowest prices out there, all at the Seed Center at InfoWars.
[00:57:59.716 --> 00:58:00.677]  Store.com.
[00:58:01.518 --> 00:58:02.619]  InfoWareStore.com.
[00:58:02.639 --> 00:58:04.020]  And it's a great way to get a garden going.
[00:58:04.040 --> 00:58:08.044]  I think we should start gorilla planting, because they hate non-GMO seeds so much.
[00:58:08.405 --> 00:58:14.611]  You start planting these, you know, like in green belts and areas, out in little sunny areas, just spreading life everywhere.
[00:58:14.631 --> 00:58:16.573]  They hate that as well, like Johnny Appleseed.
[00:58:16.593 --> 00:58:18.395]  That's why they're trying to GMO everything.
[00:58:18.415 --> 00:58:19.916]  I've got a whole plan I'm going to launch on that.
[00:58:19.976 --> 00:58:21.298]  I figured out their attack profile.
[00:58:21.798 --> 00:58:22.959]  So it's very important to do that.
[00:58:23.439 --> 00:58:26.341]  Just InfoWars.com, link through InfoWarsStore.com.
[00:58:26.621 --> 00:58:30.423]  Get the high-quality water filters, get the anti-New World Order t-shirts, all of it.
[00:58:30.683 --> 00:58:31.704]  Fund our operation.
[00:58:32.825 --> 00:58:34.286]  I call it mid-air refueling.
[00:58:39.129 --> 00:58:42.911]  This is GCN, the Genesis Communications Radio Network.
[00:58:46.181 --> 00:58:48.102]  In the last two years alone, the U.S.
[00:58:48.122 --> 00:58:50.382]  has seen huge losses to our food supply.
[00:58:50.542 --> 00:58:55.804]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:58:56.004 --> 00:58:59.785]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:59:00.045 --> 00:59:03.806]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:59:03.987 --> 00:59:05.167]  The fact is, you are.
[00:59:05.367 --> 00:59:06.147]  We all are.
[00:59:06.387 --> 00:59:08.728]  Food shortages drive prices up for everyone.
[00:59:09.028 --> 00:59:17.396]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[00:59:17.596 --> 00:59:18.797]  Be prepared before you need it.
[00:59:18.977 --> 00:59:22.160]  With nutrient-dense food you can store for up to 25 years.
[00:59:22.460 --> 00:59:24.702]  You can hope for the best, but hope won't feed you.
[00:59:24.842 --> 00:59:29.266]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[00:59:29.407 --> 00:59:35.312]  Call 800-409-5633 or visit them on the web at eFoodsDirect.com forward slash Alex.
[00:59:35.552 --> 00:59:35.892]  Big Brother.
[01:00:02.176 --> 01:00:03.218]  Mainstream media.
[01:00:03.939 --> 01:00:05.060]  Government cover-ups.
[01:00:05.701 --> 01:00:06.502]  You want answers?
[01:00:07.303 --> 01:00:08.204]  Well, so does he.
[01:00:08.845 --> 01:00:12.510]  He's Alex Jones on the GCN Radio Network.
[01:00:13.031 --> 01:00:17.096]  And now, live from Austin, Texas, Alex Jones.
[01:00:18.553 --> 01:00:24.138]  Rachel Maddow is attacking us and saying that the right wing has taken the gloves off.
[01:00:24.158 --> 01:00:26.119]  No, the right wing hasn't taken their gloves off.
[01:00:26.460 --> 01:00:31.104]  The American people are getting past left-right and getting back to the Bill of Rights and Constitution.
[01:00:31.404 --> 01:00:37.009]  The left's pushing tyranny, the right's pushing tyranny, but Obama is trying to, quote, radically transform America.
[01:00:38.419 --> 01:00:44.744]  Into a bankrupt, domesticated, collectivized society run by a bunch of offshore banks that are tax-exempt.
[01:00:45.464 --> 01:00:47.986]  They're butchering the entire Bill of Rights and Constitution right now.
[01:00:48.006 --> 01:00:50.849]  We're getting Gerald Cilente on right now.
[01:00:50.909 --> 01:00:52.630]  He's going to be on for the rest of the hour coming up.
[01:00:53.571 --> 01:01:01.216]  And I promise, I will open the phones up so you can take a few, Gerald can take a few of your questions on any issue you want to raise.
[01:01:01.417 --> 01:01:03.959]  So we'll get about that number coming up in the next segment.
[01:01:04.818 --> 01:01:07.079]  But the big news is Hagel.
[01:01:07.179 --> 01:01:16.144]  I mean, we told you over a year ago that they were going to false flag and blame Syria for a chemical attack.
[01:01:16.164 --> 01:01:20.046]  Now, Syria would never do that, because that would then allow an attack on them.
[01:01:20.806 --> 01:01:28.751]  And then Syria came out and said, Al-Qaeda is preparing to launch chemical weapons on us, and Al-Qaeda put out videos showing themselves nerve-gassing a dog
[01:01:30.256 --> 01:01:32.336]  Bragging how they would do it to menace the Syrians.
[01:01:32.957 --> 01:01:37.478]  See, they think Americans are so dumb, they let Al-Qaeda publicly menace and scare the Syrian people.
[01:01:37.858 --> 01:01:38.598]  And military.
[01:01:39.578 --> 01:01:40.638]  Hoping they do something.
[01:01:40.658 --> 01:01:45.159]  I mean, you would never use a chemical weapon in asymmetrical warfare where you don't know where the terrorists are.
[01:01:45.179 --> 01:01:46.179]  That turns everybody against you.
[01:01:46.419 --> 01:01:47.340]  You would never do that.
[01:01:48.760 --> 01:01:52.801]  It's like saying Assad's gonna barbecue, you know, Sunni children on his lawn.
[01:01:55.510 --> 01:01:56.812]  And this is a proxy war.
[01:01:57.353 --> 01:01:58.555]  This is a proxy war.
[01:01:58.635 --> 01:02:02.962]  And again, Assad's his own thing, dictator family, trying to democratize the country.
[01:02:03.362 --> 01:02:05.165]  A lot better than his dad, probably ten times better.
[01:02:05.185 --> 01:02:08.110]  This is a war crime going on over there.
[01:02:09.554 --> 01:02:12.415]  This has been going on now for, I don't know, 25 months, 26 months.
[01:02:12.995 --> 01:02:16.115]  And I want to get Syria Girl back on because everything she said has come true.
[01:02:16.775 --> 01:02:21.156]  And then a few months ago they said, oh, chemical, chemical was used, chemical was used, chemical was used.
[01:02:21.536 --> 01:02:23.417]  You've got Turkey attacking with NATO.
[01:02:24.037 --> 01:02:25.757]  You've got Israel helping.
[01:02:25.777 --> 01:02:26.577]  You've got Qatar.
[01:02:26.617 --> 01:02:35.159]  You've got Saudi Arabia, the main group, sending in real Al-Qaeda to take down the really secular government.
[01:02:36.372 --> 01:02:38.694]  And, uh, just involved in incredible war crimes.
[01:02:38.734 --> 01:02:40.735]  Torturing, murdering Christians, chopping their heads off.
[01:02:41.115 --> 01:02:42.616]  But it's never on our news.
[01:02:42.636 --> 01:02:44.378]  Well, it is on the New York Times a few months ago.
[01:02:44.398 --> 01:02:47.240]  I remember six months ago or so, it was like, man, look at the great fighters.
[01:02:47.940 --> 01:02:51.563]  Yeah, they're out of Saudi Arabia, they're kind of jihadis, but man, they really are fighting evil Assad.
[01:02:52.583 --> 01:02:57.567]  Hell, the first year of the attack, they would say, peaceful demonstrators killed by the Meany government.
[01:02:59.261 --> 01:03:11.263]  When Al-Qaeda had tanks and airplanes, they were like, Qaddafi's killing innocent protesters and has rape rooms, and they fuel the all-night rape sessions with, uh, with, uh, Viagra.
[01:03:11.504 --> 01:03:12.964]  They're like, put Viagra in there.
[01:03:12.984 --> 01:03:14.384]  Americans know what Viagra is.
[01:03:14.424 --> 01:03:15.504]  They'll think it's real.
[01:03:16.044 --> 01:03:18.625]  It'd be like, bad man hurt lady.
[01:03:19.605 --> 01:03:20.705]  They can point at Australia.
[01:03:21.005 --> 01:03:23.366]  The average American's like, kill country then!
[01:03:23.926 --> 01:03:24.806]  We will nuke.
[01:03:26.387 --> 01:03:27.487]  We will nuke Libya.
[01:03:27.547 --> 01:03:28.107]  They're pointing at
[01:03:29.090 --> 01:03:35.855]  They actually did a TV piece where Americans said, nuke Australia because they uh... I'm going to send people out and say, this is where Al-Qaeda is.
[01:03:36.135 --> 01:03:37.256]  This is Al-Qaeda-stan.
[01:03:37.496 --> 01:03:41.338]  And I believe the average Austinite where I live will say, nuke them to hell!
[01:03:44.100 --> 01:03:45.021]  It's like a red cape.
[01:03:45.581 --> 01:03:47.082]  Get them there!
[01:03:47.122 --> 01:03:51.005]  And then the American people charge and then they gore their own liberty.
[01:03:52.773 --> 01:03:55.294]  We have video coming up the next hour that is off the charts.
[01:03:55.934 --> 01:04:01.177]  We asked Californians, should Nazis take over America and put gun owners in camps and take their guns?
[01:04:01.237 --> 01:04:03.078]  And the Californians said, if it's liberal, yes.
[01:04:04.659 --> 01:04:08.280]  These people, I mean, they are, they are something special.
[01:04:08.300 --> 01:04:08.760]  Where was that?
[01:04:08.800 --> 01:04:09.621]  On the coast of LA?
[01:04:12.562 --> 01:04:13.843]  Oceanside California.
[01:04:15.524 --> 01:04:16.544]  And I mean, these are real people.
[01:04:16.564 --> 01:04:18.445]  It's like, remember the Mark Dice video?
[01:04:18.465 --> 01:04:19.505]  He went along with us.
[01:04:23.757 --> 01:04:24.497]  So amazing.
[01:04:25.677 --> 01:04:26.118]  So amazing.
[01:04:26.138 --> 01:04:29.238]  You know, Mark Dice has attacked me in the past, and the whole world's falling apart.
[01:04:29.298 --> 01:04:29.978]  I don't even care.
[01:04:30.459 --> 01:04:31.359]  He's doing some good work.
[01:04:31.379 --> 01:04:32.019]  I don't even care.
[01:04:32.439 --> 01:04:32.959]  People don't understand.
[01:04:32.979 --> 01:04:33.859]  I don't care when I'm attacked.
[01:04:34.199 --> 01:04:37.060]  I've had people come up to me and say, I'm sorry the national media is connecting you to the terror attack.
[01:04:37.300 --> 01:04:38.600]  And I go, that means we're exposing them.
[01:04:38.640 --> 01:04:39.161]  They did it.
[01:04:39.741 --> 01:04:40.881]  Of course they're going to attack us.
[01:04:40.921 --> 01:04:41.361]  This is proof.
[01:04:41.401 --> 01:04:42.041]  I feel great.
[01:04:42.901 --> 01:04:43.242]  I feel great.
