[00:00:10.350 --> 00:00:11.792]  We are on the march.
[00:24:35.379 --> 00:24:52.389]  And then magically it happens, and then magically we learn the sister airport had a drill, that airport at LAX has had a drill, and here's the headline, amazing headline out of the Digital Journal, LAX shooter police trained for exact scenario three weeks ago.
[00:24:53.089 --> 00:24:59.093]  We have an article up at Infowars.com, 20 drills show that patriots
[00:25:00.234 --> 00:25:02.136]  Are the main target of Homeland Security.
[00:25:02.476 --> 00:25:03.898]  There's the actual headline, I'm going from memory.
[00:25:04.579 --> 00:25:08.082]  20 drills that prove the DHS official new enemy is the American people.
[00:25:08.162 --> 00:25:09.103]  Infowars.com.
[00:25:09.784 --> 00:25:14.669]  So I'm watching all this go on and first we hear it's a TSA agent shooting people.
[00:25:16.838 --> 00:25:23.765]  And it's TSA agents that have been shot, and it's plainclothes people in suits and ties and dress shirts being drug out shot.
[00:25:24.065 --> 00:25:24.966]  So that doesn't fit.
[00:25:25.927 --> 00:25:28.389]  And then the story keeps changing, and that happens in a live event.
[00:25:28.749 --> 00:25:34.515]  But then the eyewitnesses, these aren't just reporters getting it wrong from the cops, these are eyewitnesses going, I saw him!
[00:25:34.995 --> 00:25:36.697]  He was in a TSA uniform!
[00:25:37.978 --> 00:25:38.859]  With body armor!
[00:25:40.182 --> 00:25:42.344]  And I've told people this a hundred times.
[00:25:42.864 --> 00:25:43.664]  In fact, more than a hundred.
[00:25:43.704 --> 00:25:50.449]  I said last week, multiple times, look for a mass shooting at the TSA.
[00:25:50.529 --> 00:25:51.950]  I don't know how I know this stuff, folks.
[00:25:52.310 --> 00:25:54.912]  A lot of people think I'm actually behind stuff, I guess, because I can figure it out.
[00:25:55.132 --> 00:25:57.294]  But I mean, I can see them branding something.
[00:25:57.314 --> 00:26:00.496]  It's like, how do I know a new McDonald's sandwich is coming out?
[00:26:00.536 --> 00:26:01.457]  The ads are everywhere.
[00:26:02.176 --> 00:26:03.877]  I mean, how do I know deer season's coming up?
[00:26:03.957 --> 00:26:05.318]  Oh, there's the deer season ads again.
[00:26:05.638 --> 00:26:08.680]  I mean, it's like, the Libertarians are going to shoot us any minute!
[00:26:08.941 --> 00:26:09.521]  They're coming!
[00:26:09.541 --> 00:26:11.382]  And I'm like, it had to be Tuesday.
[00:26:11.422 --> 00:26:14.725]  I remember on the show, I don't have a crew to dig this stuff up.
[00:26:14.785 --> 00:26:15.785]  Listeners, can you dig it up?
[00:26:16.506 --> 00:26:24.971]  I said, if they ask you to go do a shooting drill or a bombing drill in an airport, and you're an informant or you're a cop or you're whatever or a citizen, don't do it.
[00:26:25.012 --> 00:26:28.574]  They'll shoot you in the drill and shoot a bunch of people and blame you.
[00:26:28.994 --> 00:26:29.835]  How do I know this?
[00:26:29.895 --> 00:26:31.296]  This is how they do it.
[00:26:33.203 --> 00:26:38.907]  The Czars used to have drills before the Soviets came in, and before that the Bolsheviks.
[00:26:39.607 --> 00:26:47.852]  They would have drills and get patsies involved, and then they do it during the drill, and in case people get caught, they say, oh, it's part of the drill, just like the Boston bombing.
[00:26:48.973 --> 00:26:55.777]  Turned out a local paper screwed up and reported, oh yeah, there was a drill of a bombing right there where it happened, Boston Globe, and a local TV station.
[00:26:56.618 --> 00:26:57.098]  Look it up!
[00:26:59.022 --> 00:27:01.444]  And the people involved in the drill, they're not involved in the bombing.
[00:27:01.684 --> 00:27:11.693]  That way, if they're one guy going in, or the one guy from the ceiling shooting people, or whatever the case was, that, you know, they shoot a few people, shoot the guy that's in the drill, then you get to set them up.
[00:27:11.713 --> 00:27:16.057]  There it is, police responding, training plan, but bombs hit first.
[00:27:16.077 --> 00:27:17.178]  You know, there's the Boston Globe.
[00:27:18.019 --> 00:27:22.243]  They trained months before and on the day of the bomb at the finish line.
[00:27:24.475 --> 00:27:31.542]  Again, they've even declassified in different government documents like Northwoods how they use a drill to cover up the real attack.
[00:27:31.582 --> 00:27:33.544]  It's not like I figured this out on my own.
[00:27:34.005 --> 00:27:36.627]  A lot of these manuals have been declassified.
[00:27:36.988 --> 00:27:39.310]  Then they say by accident and then reclassified.
[00:27:39.771 --> 00:27:42.934]  So when I come back, I'm going to play you the clips of witnesses.
[00:27:44.375 --> 00:27:57.925]  Shane, he was in a TSA uniform, and then they say, oh, they shot TSA agents in their outfits, in their uniforms, in their costumes, their authority costumes, and then it's video the people shot weren't.
[00:27:58.745 --> 00:28:04.589]  And then there's the drills, and we're going to go over this, at that airport and other airports of the exact same scenario.
[00:28:05.492 --> 00:28:18.002]  When there'd never been a libertarian who's against the New World Order, Southern Poverty Law Center, Fed Run, comes out and ties it to Alex Jones and Glenn Beck, and people that don't like the TSA.
[00:28:19.003 --> 00:28:23.887]  When I just released two weeks ago, it was in the Federal Register, but they reclassified it.
[00:28:24.268 --> 00:28:25.589]  They accidentally declassified it.
[00:28:26.269 --> 00:28:29.471]  Uh, that they admit in federal court it's all fake and not for terrorists.
[00:28:29.771 --> 00:28:35.334]  And it's for the American people and for capital controls to keep you from fleeing during a depression when everything implodes.
[00:28:35.634 --> 00:28:40.277]  These are the border and highway police to shake everybody down and basically take you to the FEMA camp.
[00:28:41.077 --> 00:28:43.979]  If they decide you've got a designation in the NSA.
[00:28:44.979 --> 00:28:47.202]  Uh, file that they could use in slave labor.
[00:28:47.222 --> 00:28:52.708]  And by the way, that's the Emergency Centers Establishment Act and in the Civilian Inmate Labor Camp Program.
[00:28:53.228 --> 00:28:57.893]  That if you're a doctor, an auto mechanic, you're going to the slave camp with pot bellies standing over you.
[00:28:58.273 --> 00:28:58.954]  We'll be right back.
[00:28:58.994 --> 00:28:59.395]  Stay with us.
[00:29:01.306 --> 00:29:04.028]  Alex Jones here with a message to fellow freedom lovers.
[00:29:04.328 --> 00:29:09.150]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:29:09.331 --> 00:29:16.515]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:29:16.655 --> 00:29:22.058]  That's why we've assembled the most vital and important preparedness items at Infowarsshop.com.
[00:29:22.278 --> 00:29:24.439]  These are items that I did research on.
[00:29:24.619 --> 00:29:25.860]  That I personally use.
[00:29:26.300 --> 00:29:30.822]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:29:31.023 --> 00:29:36.266]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:29:36.506 --> 00:29:39.567]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:29:39.727 --> 00:29:41.969]  When Disaster Strikes by Matthew Stein.
[00:29:42.229 --> 00:29:46.811]  Therosafe, used by Homeland Security to protect yourself during any radiological event.
[00:29:46.992 --> 00:29:49.413]  Hand Crank Shortwave AM FM Radios.
[00:29:49.873 --> 00:29:56.920]  Everything that we've researched and found to be the best is available at InfoWarsHop.com and your purchase makes our InfoWar possible.
[00:29:57.080 --> 00:29:58.101]  We're getting prepared.
[00:29:58.341 --> 00:29:58.762]  Are you?
[00:29:59.022 --> 00:30:00.804]  InfoWarsHop.com.
[00:30:01.024 --> 00:30:06.629]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:30:06.829 --> 00:30:14.036]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:30:14.196 --> 00:30:17.438]  Radioactive contamination is now in most of the food supply.
[00:30:17.538 --> 00:30:19.339]  There's only two ways to avoid this.
[00:30:19.579 --> 00:30:24.141]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:30:24.241 --> 00:30:26.983]  Looking to protect my family, I've done deep research.
[00:30:27.143 --> 00:30:32.926]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:30:33.106 --> 00:30:36.588]  It's made right here in the USA, completely non-GMO.
[00:30:36.768 --> 00:30:41.811]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:30:42.031 --> 00:30:45.053]  Exclusively available at InfoWarsLife.com.
[00:30:45.253 --> 00:30:51.117]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:30:51.237 --> 00:30:53.218]  Survival Shield Nascent Iodine.
[00:30:53.398 --> 00:30:58.821]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:30:58.901 --> 00:31:00.282]  That's InfoWarsLife.com.
[00:31:01.829 --> 00:31:06.930]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:31:07.290 --> 00:31:15.772]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:31:16.172 --> 00:31:23.473]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:31:23.993 --> 00:31:31.395]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:31:31.915 --> 00:31:35.298]  I personally store and use their high-quality products.
[00:31:35.858 --> 00:31:39.501]  It tastes great, and it's easy to store for up to 25 years.
[00:31:40.041 --> 00:31:46.647]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:31:47.207 --> 00:31:53.932]  Visit MyPatriotsSupply.com forward slash Alex today, with the New World Order making rapid advances on every front.
[00:31:54.413 --> 00:31:58.456]  It is essential to prepare with My Patriots Supply today.
[00:32:00.988 --> 00:32:04.069]  Alex Jones here with a very important announcement for truth seekers.
[00:32:04.449 --> 00:32:10.171]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:32:10.391 --> 00:32:16.793]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:32:16.973 --> 00:32:22.395]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:32:22.675 --> 00:32:26.316]  This film exposes the fraud that Obama is like nothing I've seen.
[00:32:26.516 --> 00:32:30.059]  If you want to know who Obama's real daddy is, this is the film for you.
[00:32:30.319 --> 00:32:34.703]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:32:34.924 --> 00:32:37.246]  You'll also find it at infowarshop.com.
[00:32:37.406 --> 00:32:40.969]  None Dare Call a Conspiracy by Gary Allen, a book that woke me up.
[00:32:41.269 --> 00:32:45.553]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[00:32:45.693 --> 00:32:48.336]  This book is coffin nails to the globalist takeover.
[00:32:48.656 --> 00:32:55.181]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[00:32:55.461 --> 00:33:00.184]  These titles and a lot more are all available at Infowarshop.com.
[00:33:02.125 --> 00:33:03.286]  Coast to Coast.
[00:33:03.666 --> 00:33:05.047]  Direct from Austin.
[00:33:05.728 --> 00:33:09.010]  You're listening to the Alex Jones Broadcasting Network.
[00:33:09.310 --> 00:33:09.810]  Big Brother.
[00:33:19.298 --> 00:33:20.540]  Mainstream media.
[00:33:22.082 --> 00:33:23.204]  Government cover-ups.
[00:33:24.666 --> 00:33:25.627]  You want answers?
[00:33:26.548 --> 00:33:28.351]  Well, so does he.
[00:33:28.491 --> 00:33:34.900]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:37.467 --> 00:33:41.031]  Alright, coming up in the next segment, your phone calls on any subject you want to cover.
[00:33:41.051 --> 00:33:41.732]  877-789-ALEX.
[00:33:41.752 --> 00:33:41.832]  877-789-2539.
[00:33:41.892 --> 00:33:43.233]  First time callers, yet again today.
[00:33:43.253 --> 00:33:43.293]  877-789-2539.
[00:33:43.313 --> 00:33:45.135]  And we'll get you up and on the air.
[00:33:45.175 --> 00:33:47.037]  What do you think about the LAX shooting?
[00:33:47.177 --> 00:33:48.839]  Is it suspicious to you?
[00:33:48.859 --> 00:33:49.720]  Look, it's very simple.
[00:34:00.728 --> 00:34:05.390]  The government and the interests that run it act like they're so concerned about one dead person.
[00:34:05.610 --> 00:34:06.791]  Well, I'm actually concerned about it.
[00:34:06.811 --> 00:34:13.374]  I have empathy for everybody who is a TSA attendant or guard, whatever you want to call them.
[00:34:13.414 --> 00:34:14.295]  They're not really officers.
[00:34:14.315 --> 00:34:15.095]  They're not sworn.
[00:34:16.456 --> 00:34:17.876]  I'm sad they were shot and killed.
[00:34:18.897 --> 00:34:20.858]  And it appears that this shooting did indeed happen.
[00:34:21.038 --> 00:34:24.079]  Sometimes they just say something happened that didn't even happen entirely.
[00:34:24.099 --> 00:34:26.921]  That's how controlled the state-run media is.
[00:34:28.627 --> 00:34:39.000]  But it is an elementary equation throughout history that governments and other groups stage events to blame it on their political opposition.
[00:34:39.561 --> 00:34:40.522]  It's a false flag.
[00:34:40.562 --> 00:34:42.164]  It's a self-inflicted wound.
[00:34:42.685 --> 00:34:44.106]  It's a staged event.
[00:34:45.267 --> 00:34:47.668]  It is a inside job.
[00:34:47.688 --> 00:35:06.834]  And then the establishment media ridicules anyone who points out a historical fact that most big internal terroristic events in the last really 200 years, it's turned out, were staged as a way for the establishment to go after their political enemies.
[00:35:07.874 --> 00:35:10.255]  Frame-ups are incredibly
[00:35:11.232 --> 00:35:12.673]  Incredibly common.
[00:35:13.494 --> 00:35:29.365]  And it even came out in mainstream media and even Glenn Beck and Rush Limbaugh and Michael Savage had to come out and say it looks like NATO and Obama staged chemical attacks in Syria with Al-Qaeda to blame it on their enemies.
[00:35:29.485 --> 00:35:31.167]  So, we've come a long way.
[00:35:32.179 --> 00:35:36.242]  The fact that governments and criminal groups do this is a fact.
[00:35:36.682 --> 00:35:44.807]  I'm not saying this was staged, but the evidence, the preponderance of information leans towards that, and the timing of it.
[00:35:45.988 --> 00:36:01.859]  The drills that a libertarian, anti-TSA person is going to come in and shoot everybody, and it comes to a crescendo in the media to the point of, I said multiple times last week, on record, don't be part of a drill, or if you see a drill at an airport, get out of there.
[00:36:05.024 --> 00:36:08.746]  And then it happens.
[00:36:09.086 --> 00:36:10.427]  That's all I'm saying.
[00:36:10.707 --> 00:36:14.228]  And then the media jumps on it, like it's a new 9-11, end of the world.
[00:36:14.629 --> 00:36:16.269]  You would have thought a thousand people are dead.
[00:36:16.289 --> 00:36:19.791]  I mean, they can have an earthquake and 50,000 people die, and it's not even in the news.
[00:36:19.851 --> 00:36:23.653]  Or there can be fires that kill a hundred people, and then it's not even in the news.
[00:36:23.673 --> 00:36:26.654]  Or there can be a flood displacing millions, barely in the news.
[00:36:26.915 --> 00:36:33.758]  But man, you get one government person shot, it's like the earth split in two and blew up like the Death Star.
[00:36:35.396 --> 00:36:36.757]  And that is the propaganda.
[00:36:37.037 --> 00:36:38.858]  You've got 53 million abortions.
[00:36:39.258 --> 00:36:42.860]  You've got kids getting sterilized, getting paralyzed from vaccines.
[00:36:43.301 --> 00:36:45.062]  You've got all these other health effects.
[00:36:45.082 --> 00:36:49.404]  You've got 300,000 a year, on average, dying from flesh-eating bacteria.
[00:36:49.524 --> 00:36:50.485]  Isn't even an issue.
[00:36:51.165 --> 00:36:55.848]  Just in the US, you've got all 200 people dying from honeybees each year.
[00:36:56.508 --> 00:36:58.650]  Hundreds dying from deer running out in front of their cars.
[00:36:59.050 --> 00:37:01.091]  Are they setting up deer fences everywhere to stop that?
[00:37:01.171 --> 00:37:01.371]  No.
[00:37:01.851 --> 00:37:02.412]  People die.
[00:37:02.992 --> 00:37:25.701]  But when it's the government being attacked, OH MY GOSH IT'S THE END OF THE WORLD, AND IT'S THE ANTI-GOVERNMENT PEOPLE, IT'S ALEX JONES, AND IT'S GLENN BECK, AND OH MY, I MEAN IT'S IN AP, AND CNN, AND MSNBC, AND RAW STORY, AND SOUTHERN PROPERTY LAW CENTER'S THE ONES THAT PUT IT OUT.
[00:37:27.659 --> 00:37:38.602]  Because it turns out yesterday, less than a day after all this happens, the Southern Property Law Center has accessed the police and a letter stuck in this guy... How do you pronounce this guy's name?
[00:37:40.402 --> 00:37:41.623]  Paul Ciencia?
[00:37:43.983 --> 00:37:46.844]  So you got Paul Ciencia reportedly...
[00:37:48.383 --> 00:37:59.947]  And he's got a note in his bag that he did this because he doesn't like authoritarian government, that's a quote, and he doesn't like the New World Order, and he doesn't like the TSA violating his rights.
[00:38:00.467 --> 00:38:08.870]  And the TSA said two weeks ago, they said in announcements, if you criticize or ask us questions or make jokes, we're gonna arrest you.
[00:38:08.910 --> 00:38:09.990]  That's terrorism.
[00:38:10.350 --> 00:38:11.771]  Just, see, we're now the enemy.
[00:38:11.811 --> 00:38:12.671]  Suddenly it's us.
[00:38:14.104 --> 00:38:16.145]  And people are like, well just go through the security, put up with it.
[00:38:16.405 --> 00:38:18.086]  This is a bathing in tyranny.
[00:38:18.466 --> 00:38:20.087]  This is a breaking of our will.
[00:38:20.447 --> 00:38:22.908]  This is a learn to be perps, learn to be prisoners.
[00:38:23.228 --> 00:38:27.870]  This is what prisoners go through when they show up at medium and maximum security prisons.
[00:38:28.191 --> 00:38:29.491]  It's what the TSA does to you.
[00:38:29.911 --> 00:38:35.274]  This is the enslavement, the antithesis of what our republic was founded on.
[00:38:36.214 --> 00:38:37.575]  And if you don't do it, you're not a good American.
[00:38:39.304 --> 00:38:51.916]  So Paul Ciencia, who's unconscious we're told, and if he pleads not guilty later and says there were other shooters, like the lone living Boston bombing patsy, he'll never hear about that.
[00:38:52.897 --> 00:38:54.218]  It'll be national security!
[00:38:54.418 --> 00:38:55.680]  The trial's secret!
[00:38:55.880 --> 00:38:56.981]  Well, we know why it's secret.
[00:38:59.175 --> 00:39:04.456]  Tamerlan, the older brother of Tsarnaev, on record was working with the CIA.
[00:39:04.516 --> 00:39:06.877]  That came out in British, German and Russian news.
[00:39:07.397 --> 00:39:08.338]  There was a drill.
[00:39:08.618 --> 00:39:09.698]  There was a stand down.
[00:39:09.958 --> 00:39:17.660]  They set those brothers up and they screamed at cops, we didn't do it, we're not part of it, as they shot his brother and ran over him and then chased the other one.
[00:39:18.740 --> 00:39:24.102]  Then shot up his boat with 50 cops and he climbs out and then they had to cut his throat out so he couldn't talk.
[00:39:26.152 --> 00:39:28.195]  By the way, I've talked to the police involved.
[00:39:28.435 --> 00:39:35.205]  Just so you know, ladies and gentlemen, just like we broke, there was an order by Obama for a stand-down.
[00:39:36.727 --> 00:39:37.729]  A stand-down!
[00:39:39.016 --> 00:39:44.561]  At the Naval Yard shooting by the SWAT team from the Capitol that happened to be driving by a right one and a half and a mile away.
[00:39:44.901 --> 00:39:47.363]  And were fully locked and loaded to go in and stop whatever happened.
[00:39:47.744 --> 00:39:49.725]  National Security got declared on that one.
[00:39:50.366 --> 00:39:51.387]  On and on and on.
[00:39:51.707 --> 00:39:53.368]  This is how they set up the police state.
[00:39:53.649 --> 00:39:54.710]  This is how they take over.
[00:39:54.730 --> 00:39:55.891]  You want to take over the Middle East?
[00:39:56.111 --> 00:39:57.532]  Fund Al Qaeda, have them blow stuff up.
[00:39:58.293 --> 00:39:59.213]  Want to take over America?
[00:39:59.774 --> 00:40:04.178]  Well, fund Al Qaeda to blow stuff up, but then come in and flip it onto the American people.
[00:40:04.378 --> 00:40:06.560]  So let's go over some of the evidence here, but I just want to remind you.
[00:40:08.956 --> 00:40:13.977]  They are now coming out in literally hundreds of publications as we speak.
[00:40:15.318 --> 00:40:19.839]  It was like 10 yesterday, more than I could count this morning, and it's just flooding now.
[00:40:19.859 --> 00:40:20.699]  It's all over the news.
[00:40:20.959 --> 00:40:22.559]  The videos are coming into our inbox.
[00:40:22.959 --> 00:40:27.881]  As they say, Alex Jones is the one that coined the term New World Order.
[00:40:27.921 --> 00:40:29.421]  They actually say that in one article.
[00:40:31.601 --> 00:40:33.562]  Hitler used the term New World Order first.
[00:40:34.870 --> 00:40:36.672]  On record, before I was born, I was born in 74.
[00:40:36.712 --> 00:40:38.995]  Hitler used the term in 1936.
[00:40:39.576 --> 00:40:40.116]  You can look it up.
[00:40:41.738 --> 00:40:44.221]  At the Olympics that he basically founded, the modern Olympics.
[00:40:44.522 --> 00:40:45.843]  See, I'm cursed by being informed.
[00:40:46.324 --> 00:40:47.605]  It's like, it's like I'm here talking about...
[00:40:48.570 --> 00:40:54.695]  I guess rocket science to the public and they just think, that guy talks fancy, he's trying to show off, he's a terrorist!
[00:40:55.755 --> 00:41:01.240]  I hope somebody in a black uniform takes my guns to keep me safe from people like him!
[00:41:01.840 --> 00:41:02.901]  He scared me!
[00:41:03.281 --> 00:41:04.462]  Government loved me!
[00:41:04.482 --> 00:41:08.445]  Like you're some domesticated pot-bellied pig or something.
[00:41:08.485 --> 00:41:10.967]  I saw it at the Austin Zoo yesterday with my children.
[00:41:11.007 --> 00:41:13.109]  I mean, does anyone really buy into all this fraud?
[00:41:13.863 --> 00:41:23.474]  All I know is we've got groups that stand again from staging stuff or letting it happen, who have a history of doing it, and who have the motive to seize power and blame us for political events.
[00:41:23.795 --> 00:41:25.357]  Before we go to break, let's play one of these clips.
[00:41:25.777 --> 00:41:33.747]  Here's KTLA with one of the countless videos we have of folks saying they saw the shooter with a gun in a TSA uniform.
[00:41:34.247 --> 00:41:34.587]  Correct.
[00:41:34.808 --> 00:41:40.372]  There's two weapons playing the part, and this gunman looked like a TSA agent to me.
[00:41:40.912 --> 00:41:42.313]  Because he was dressed like that.
[00:41:42.373 --> 00:41:44.154]  Like a security, a TSA agent.
[00:41:45.035 --> 00:41:46.056]  And he was pretty big.
[00:41:46.176 --> 00:41:47.997]  I mean, bigger than me, like body-wise.
[00:41:48.057 --> 00:41:52.361]  So I bet if he was going to go crazy today, he was going to have his body armor on.
[00:41:52.381 --> 00:41:54.042]  We got a whole bunch of videos like this.
[00:41:54.082 --> 00:41:58.505]  Let's go to the one where they did a drill of the exact same thing.
[00:41:58.885 --> 00:42:00.687]  And I think this is CBS.
[00:42:00.707 --> 00:42:03.409]  Cue up the one of the drill of the exact same thing.
[00:42:09.684 --> 00:42:13.606]  The officers didn't, I repeat, they didn't hesitate.
[00:42:14.387 --> 00:42:19.790]  They went after this individual and they confronted this individual in our airport.
[00:42:20.511 --> 00:42:23.693]  And unfortunately, it involved, an officer involved shooting.
[00:42:23.893 --> 00:42:26.775]  But that's what needed to be done in that particular situation.
[00:42:27.095 --> 00:42:27.996]  And that was heroic.
[00:42:28.416 --> 00:42:29.397]  We practiced to this.
[00:42:30.257 --> 00:42:41.084]  Not more than three weeks ago, we took every one of our officers, our patrol officers, and a couple of hundred officers from the Los Angeles Police Department, and we practiced the exact scenario.
[00:42:41.184 --> 00:42:47.628]  And I remember being on air at the time, as God as my witness, you can pull it up, and I said, watch him stage something at LAX.
[00:42:47.768 --> 00:42:54.293]  I remember on air, because the way the media was smacking their lips and had that look in their eye like the word had been given.
[00:42:54.733 --> 00:42:56.094]  These people, unbelievable.
[00:42:56.874 --> 00:42:57.435]  Unbelievable.
[00:42:57.575 --> 00:42:59.096]  Man, I tell you, I can't handle it anymore.
[00:43:01.252 --> 00:43:08.235]  A little over a year ago, I began to do a lot of research into why, even though I had a pretty good-sized meal, that I was still starving.
[00:43:08.495 --> 00:43:26.101]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[00:43:26.361 --> 00:43:30.483]  I then searched out the best vitamin and mineral company out there.
[00:43:30.763 --> 00:43:32.324]  And discovered Young-Jevity.
[00:43:32.524 --> 00:43:40.390]  The Young-Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[00:43:40.690 --> 00:43:46.954]  I've lost 37 pounds in two months, simply getting the vitamins and minerals I need.
[00:43:46.994 --> 00:43:48.055]  Check it out for yourself.
[00:43:48.275 --> 00:43:49.035]  It's incredible.
[00:43:49.155 --> 00:43:58.201]  Go to Infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[00:43:58.361 --> 00:44:00.203]  That's Infowarsteam.com.
[00:44:01.403 --> 00:44:07.646]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:44:08.047 --> 00:44:10.408]  Renowned author and expert, Joel Skousen.
[00:44:10.428 --> 00:44:10.828]  The U.S.
[00:44:10.888 --> 00:44:14.970]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:44:15.110 --> 00:44:17.691]  They know that a massive nuclear attack is coming.
[00:44:18.091 --> 00:44:19.332]  They want that attack to come.
[00:44:19.572 --> 00:44:25.755]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:44:26.155 --> 00:44:28.598]  What I tell people is that you do have time.
[00:44:28.818 --> 00:44:33.604]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:44:33.785 --> 00:44:41.214]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:44:41.514 --> 00:44:44.077]  There is no preparedness without strategy.
[00:44:44.278 --> 00:44:46.941]  This Christmas, give the gift of preparedness.
[00:44:47.401 --> 00:44:51.646]  Strategic Relocation Film with Joel Skousen and Alex Jones.
[00:44:51.947 --> 00:44:56.532]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:45:01.181 --> 00:45:06.264]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:45:06.625 --> 00:45:15.110]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:45:15.531 --> 00:45:22.836]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:45:23.356 --> 00:45:30.741]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:45:31.241 --> 00:45:34.662]  I personally store and use their high-quality products.
[00:45:35.202 --> 00:45:38.842]  It tastes great, and it's easy to store for up to 25 years.
[00:45:39.383 --> 00:45:45.984]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:45:46.524 --> 00:45:53.265]  Visit mypatriotsupply.com forward slash alex today, with the New World Order making rapid advances on every front.
[00:45:53.745 --> 00:45:57.786]  It is essential to prepare with My Patriot Supply today.
[00:46:00.715 --> 00:46:01.716]  I had tried everything.
[00:46:01.776 --> 00:46:03.917]  I'd cut back the amount of food I was eating.
[00:46:04.137 --> 00:46:06.839]  I was lifting weights and jogging, but nothing was working.
[00:46:07.259 --> 00:46:11.742]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[00:46:12.102 --> 00:46:18.507]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:46:18.967 --> 00:46:29.394]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:46:30.174 --> 00:46:34.297]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:46:34.637 --> 00:46:40.661]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:46:40.901 --> 00:46:42.042]  Now that's results.
[00:46:42.482 --> 00:46:48.887]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:46:49.267 --> 00:46:54.871]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:46:54.991 --> 00:46:57.232]  Start your journey to health and wellness today.
[00:46:57.533 --> 00:46:58.794]  Infowarsteam.com.
[00:47:02.102 --> 00:47:04.969]  Coast to Coast, direct from Austin.
[00:47:05.711 --> 00:47:08.919]  You're listening to the Alex Jones Broadcasting Network.
[00:47:12.918 --> 00:47:14.859]  You are obsolete, Mr. Wordsworth.
[00:47:15.319 --> 00:47:15.800]  A lie!
[00:47:16.220 --> 00:47:17.921]  No man is obsolete!
[00:47:18.221 --> 00:47:20.042]  You have no function, Mr. Wordsworth.
[00:47:20.102 --> 00:47:22.984]  You're an anachronism, like a ghost from another time!
[00:47:23.344 --> 00:47:28.467]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[00:47:28.787 --> 00:47:30.428]  You're a bug, Mr. Wordsworth!
