[00:00:00.029 --> 00:00:00.590]  It's Alex Jones!
[00:24:39.225 --> 00:24:40.206]  I love prosperity.
[00:24:40.327 --> 00:24:41.648]  I want poor people to be rich.
[00:24:42.009 --> 00:24:43.271]  I want everybody to be successful.
[00:24:43.331 --> 00:24:49.118]  And I know historically, real, wildcat, laissez-faire, free market systems create
[00:24:49.779 --> 00:24:51.260]  Massive wealth and prosperity.
[00:24:51.300 --> 00:25:01.349]  The problem is they create decadence, then a big government, off the taxes, and then people get lazy and don't work, they become client groups, the system becomes anti-free market, a natural falls apart.
[00:25:01.569 --> 00:25:04.011]  A lot of people blame laissez-faire for the problem we're in now.
[00:25:04.271 --> 00:25:05.392]  We don't have laissez-faire now.
[00:25:05.612 --> 00:25:26.106]  We have select megacorporations that are exempt from the taxes, the regulations that are above the law, operating with slave states like China and India and Mexico to leverage out once-free economies and lower wages under Agenda 21 in UNESCO, codified to bankrupt and domesticate the West, to bring in a tyrannical world government.
[00:25:27.048 --> 00:25:28.489]  They don't like you doing well.
[00:25:28.709 --> 00:25:30.069]  They don't like you being wealthy.
[00:25:30.269 --> 00:25:31.610]  They don't like you being uppity.
[00:25:31.810 --> 00:25:33.130]  They don't like you having choice.
[00:25:33.350 --> 00:25:34.531]  They don't like free markets.
[00:25:34.611 --> 00:25:36.932]  As John D. Rockefeller said, competition's a sin.
[00:25:37.292 --> 00:25:38.752]  Monopoly is the key.
[00:25:38.812 --> 00:25:39.572]  That's the full quote.
[00:25:39.933 --> 00:25:41.453]  Monopoly is the key.
[00:25:41.473 --> 00:25:43.554]  He also said, Monopoly is king!
[00:25:45.285 --> 00:25:46.386]  Monopoly is king!
[00:25:46.666 --> 00:25:48.648]  Yeah, king for robber barons, not for you.
[00:25:48.848 --> 00:25:54.773]  And that's what this is, is a combine of ten big insurance companies who wrote this to shut down their competition.
[00:25:55.093 --> 00:25:59.437]  The head of the Texas Banking Association went public and said, this is also a banking bill.
[00:26:00.338 --> 00:26:04.641]  And the Baker bailout and all that stuff is to shut down competition.
[00:26:04.701 --> 00:26:07.023]  And you're going to find out about it right now.
[00:26:07.304 --> 00:26:09.285]  You're going to get front row seats to
[00:26:10.305 --> 00:26:12.766]  Weeks into this and no one can sign up on the exchange.
[00:26:13.266 --> 00:26:16.528]  Now, for those that just joined us up on InfoWars.com, here's the big news.
[00:26:16.548 --> 00:26:20.570]  I'm going to get to it after this quick break coming up in the news that stations have.
[00:26:21.450 --> 00:26:22.010]  Breaking!
[00:26:22.130 --> 00:26:25.612]  Riot police confront veterans as they liberate memorials.
[00:26:25.692 --> 00:26:30.634]  And that has video in it of them attacking elderly veterans with batons.
[00:26:32.915 --> 00:26:37.237]  The elderly vets actually shoved the police back and the police cower in fear.
[00:26:38.057 --> 00:26:39.238]  Man, I tell you, what scum.
[00:26:39.258 --> 00:26:40.678]  This country is just scum run.
[00:26:41.359 --> 00:26:41.799]  History.
[00:26:41.919 --> 00:26:44.100]  Vets tear down barricades as feds back down.
[00:26:44.160 --> 00:26:45.020]  That was at the memorials.
[00:26:45.341 --> 00:26:47.341]  They didn't back down at the White House.
[00:26:48.202 --> 00:26:51.043]  Spirit of Iwo Jima as vets stormed barricades.
[00:26:51.083 --> 00:26:57.746]  They shut down the Iwo Jima Guadalcanal, you know, famous thing with the guys hoisting the flags up there that reenacted.
[00:26:58.006 --> 00:26:59.347]  That was shut down at Arlington.
[00:27:00.973 --> 00:27:04.057]  At healthcare.gov, no mention of glitches of Don Salazar.
[00:27:04.077 --> 00:27:06.962]  Well, if they say there's no glitches, then there are no glitches.
[00:27:07.783 --> 00:27:09.064]  And they control reality.
[00:27:10.250 --> 00:27:13.732]  That is just some of the news up on InfoWars.com.
[00:27:14.013 --> 00:27:22.538]  And then coming up, I'm going to get into food stamp recipients' panic as federal EBT system crashes, government IT system rapidly unraveling.
[00:27:22.778 --> 00:27:26.061]  There are 101 million people on partial EBT.
[00:27:26.541 --> 00:27:29.003]  There are 49 million.
[00:27:29.823 --> 00:27:30.844]  Million and growing.
[00:27:30.884 --> 00:27:31.904]  It's doubled in five years.
[00:27:32.725 --> 00:27:33.445]  Soon it'll be 100 million.
[00:27:34.827 --> 00:27:43.969]  And this is Cloward and Piven, the sociology strategy from the 60s, adopted by the Democratic Party officially, to bankrupt the country and socialize everything.
[00:27:44.209 --> 00:27:56.332]  I mean, you know, Stalin and Lenin and people, they shut down countries they took over on purpose for years to shut down the old economy and have people starve and become dependent and to see them as liberators when they came in with force years later.
[00:27:56.852 --> 00:28:04.054]  They just take over the central government, the transportation hubs, shut off Poland, Ukraine, Romania, Czech Republic,
[00:28:05.148 --> 00:28:09.932]  They would just shut everything off, sometimes 10 years, to break the Ukrainians, the kulaks.
[00:28:11.933 --> 00:28:19.979]  Just shut everything off for 10 years, sit there, send out paramilitary groups to harass and grab your wife and kids, rape them in front of them while they blow your head off.
[00:28:20.640 --> 00:28:22.942]  That's what big government, by the way, does this everywhere.
[00:28:23.763 --> 00:28:24.143]  Everywhere.
[00:28:24.844 --> 00:28:27.865]  100% of the time this is what it degenerates into.
[00:28:27.885 --> 00:28:41.053]  Because you create an unnatural system where a bunch of people can sit around all day on their butts in black uniforms on power trips run by criminals and central government who hate the countryside, who hate people that aren't criminals, who hate people that can skin a buck and run a trot line.
[00:28:42.214 --> 00:28:44.675]  And they want to ruin the country.
[00:28:44.715 --> 00:28:45.856]  They want to shut it down.
[00:28:45.876 --> 00:28:48.578]  We're going to break it all down straight ahead.
[00:28:48.598 --> 00:28:48.938]  Stay with us.
[00:28:52.335 --> 00:28:56.017]  Research shows that the next Great Depression is inevitable and unstoppable.
[00:28:56.277 --> 00:28:58.078]  It is suicide to not be prepared.
[00:28:58.459 --> 00:29:03.381]  Some reviews are already saying that Locusts on the Horizon is one of the best prepper books ever written.
[00:29:03.902 --> 00:29:07.884]  It provides over 1,100 pages for the full spectrum of vital prepper knowledge.
[00:29:08.244 --> 00:29:14.328]  It is encyclopedic in scope and size on how to prepare for the next Great Depression or a whole host of other looming threats.
[00:29:14.708 --> 00:29:21.090]  Whether it's a grid-down situation or the economic collapse that will be the next Great Depression, this book is affordable for everyone.
[00:29:21.310 --> 00:29:26.432]  The lives of you and your family are priceless, and this book could save them for only $2.99.
[00:29:27.292 --> 00:29:30.193]  Keep your family alive and together no matter what happens.
[00:29:30.413 --> 00:29:37.256]  You can read Locusts on the Horizon right now on any computer, any tablet, smartphone, or even online through the Amazon Cloud.
[00:29:37.536 --> 00:29:38.456]  Time is running out.
[00:29:38.576 --> 00:29:40.117]  The time to prepare is now.
[00:29:40.257 --> 00:29:43.958]  Your copy of Locusts on the Horizon is available immediately on Amazon.
[00:29:44.258 --> 00:29:46.919]  Or you can go to locustsonthehorizon.com.
[00:29:47.079 --> 00:29:49.740]  Again, that's locustsonthehorizon.com.
[00:29:51.341 --> 00:29:55.343]  When an emergency happens, you'll be left to fend for yourself and your family.
[00:29:55.643 --> 00:30:01.245]  An outbreak of contagious disease can happen anywhere, and the threat of bioterrorism is always at hand.
[00:30:01.545 --> 00:30:06.947]  Because we're faced with more diseases than ever before, we need a better solution than ever before.
[00:30:07.347 --> 00:30:10.849]  Fortunately, there's a simple, effective way to protect yourself.
[00:30:11.269 --> 00:30:17.974]  Supernatural Silver offers a safe and effective means of fighting pathogens and can help defeat the root of these problems.
[00:30:18.455 --> 00:30:28.082]  Supernatural Silver is effective against more than 500 different disease-causing pathogens without encouraging drug resistance and without side effects.
[00:30:28.603 --> 00:30:34.467]  Supernatural Silver is the number one choice of thousands of people for immune system support.
[00:30:34.808 --> 00:30:40.092]  Go to SupernaturalSilver.com and give you and your loved ones a fighting chance.
[00:30:40.572 --> 00:30:42.733]  That's supernaturalsilver.com.
[00:30:43.213 --> 00:30:45.795]  Use the promo code OCTOBER2013 for 20% off your entire order.
[00:30:45.835 --> 00:30:46.495]  And like us on Facebook.
[00:31:02.964 --> 00:31:14.108]  See them on the web, www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[00:31:14.408 --> 00:31:20.630]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:31:21.070 --> 00:31:24.011]  You're getting soap products twice as good as what you're using now.
[00:31:24.611 --> 00:31:29.032]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:31:29.272 --> 00:31:36.333]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:31:36.633 --> 00:31:40.734]  Alex and his staff have used these earth friendly pure soaps for years.
[00:31:41.274 --> 00:31:46.135]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:31:51.530 --> 00:31:54.292]  Protecting your home with a security system is a must.
[00:31:54.532 --> 00:32:00.556]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[00:32:00.916 --> 00:32:07.300]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[00:32:07.700 --> 00:32:09.662]  Not with SimpliSafe Home Security.
[00:32:10.002 --> 00:32:11.023]  They're the good guys.
[00:32:11.343 --> 00:32:14.025]  You can trust SimpliSafe to protect your family.
[00:32:14.405 --> 00:32:18.709]  SimpliSafe was created by a Harvard Business School engineer, and it's revolutionary.
[00:32:18.929 --> 00:32:22.191]  You'll get 24-hour protection for just $14.99 a month.
[00:32:22.471 --> 00:32:25.194]  There are no hidden fees and no contracts.
[00:32:25.394 --> 00:32:26.354]  You'll save thousands.
[00:32:26.615 --> 00:32:29.677]  Plus, you're protected by their 100% money-back guarantee.
[00:32:30.017 --> 00:32:33.080]  Protect yourself against home invasions and break-ins.
[00:32:33.440 --> 00:32:37.363]  Order your SimpliSafe system now and receive a wireless keychain remote.
[00:32:37.623 --> 00:32:39.544]  A $25 gift, free.
[00:32:39.965 --> 00:32:42.606]  So don't waste your time dealing with scum.
[00:32:42.967 --> 00:32:45.808]  Visit GetSimplySafe.com.
[00:32:45.828 --> 00:32:47.550]  GetSimplySafe.com.
[00:32:47.770 --> 00:32:49.751]  GetSimplySafe.com.
[00:32:52.553 --> 00:32:53.734]  Coast to coast.
[00:32:54.094 --> 00:32:55.495]  Direct from Austin.
[00:32:56.115 --> 00:32:59.357]  You're listening to the Alex Jones Broadcasting Network.
[00:33:08.433 --> 00:33:19.316]  We now take you live to the Central Texas Command Center and the heart of the resistance, rallying patriots worldwide.
[00:33:23.537 --> 00:33:26.178]  You're listening to the Alex Jones Show.
[00:33:29.679 --> 00:33:37.209]  By the way, coming up in the next hour, I'm going to break down the case of the missing nukes from Dyess Air Force Base in West Texas.
[00:33:38.010 --> 00:33:44.879]  That is finally getting some big media coverage, thanks to Michael Savage with his syndicated radio show, one of the biggest in the country.
[00:33:46.991 --> 00:33:49.433]  Probably set in line to be the biggest political show.
[00:33:50.914 --> 00:33:52.095]  Spending a lot of time on it Friday.
[00:33:52.155 --> 00:33:53.236]  I've listened to his show routinely.
[00:33:53.256 --> 00:33:56.298]  I missed it Friday, but I got a bunch of calls about it and emails and comments.
[00:33:56.859 --> 00:34:00.822]  And that he covered it extensively on Friday and we appreciate that because it's important for everybody.
[00:34:01.542 --> 00:34:03.384]  We do have a military source at Dias.
[00:34:04.304 --> 00:34:04.725]  High level.
[00:34:06.786 --> 00:34:11.310]  It was a complete freakout back on September 3rd, a month ago.
[00:34:12.694 --> 00:34:28.684]  When nukes that weren't supposed to be there were taken out of bunkers, loaded on trucks that weren't even authorized under the regular federal private certified moving group that moves them around, and then they just rolled them out to South Carolina reportedly.
[00:34:30.825 --> 00:34:33.807]  And since then they fired the number one and number two nuke generals.
[00:34:35.520 --> 00:34:38.501]  They fired another one Friday, and AP said that this was leaked to them.
[00:34:39.421 --> 00:34:43.782]  The administration doesn't even want it known, and then it turned out two other generals were removed over the weekend.
[00:34:47.783 --> 00:34:51.664]  And there is a purge going on, and I don't know what's going on with the nukes.
[00:34:51.824 --> 00:34:53.305]  I just know my source is accurate.
[00:34:53.765 --> 00:35:00.407]  This happened, and it was such a big deal, the base commander had to come out to the private police that are the security on Daesh.
[00:35:01.405 --> 00:35:04.586]  And make them stand down and say, no, it's an order, but there's no paperwork.
[00:35:04.747 --> 00:35:05.507]  Let the nukes leave.
[00:35:08.268 --> 00:35:10.749]  So, I don't know what's going on.
[00:35:10.949 --> 00:35:13.991]  I'm telling you, just like I told you Navy SEALs told us.
[00:35:14.801 --> 00:35:20.563]  That they thought the helicopter with 23 of them was blown up to cover up that Bin Laden wasn't really killed and it was a lookalike.
[00:35:21.104 --> 00:35:23.485]  And now you see all the families going public saying just that.
[00:35:23.965 --> 00:35:27.486]  And you see Navy SEALs that are retired going public talking about it.
[00:35:28.387 --> 00:35:30.928]  I mean, over and over again, we break major news here, okay?
[00:35:31.008 --> 00:35:32.888]  Because we're one of the only places that'll actually do it.
[00:35:33.269 --> 00:35:35.610]  And that's a very dangerous position to be in, by the way.
[00:35:36.670 --> 00:35:38.831]  This is like taking my licks here, okay?
[00:35:39.651 --> 00:35:41.452]  But I've sworn to not be a coward.
[00:35:41.772 --> 00:35:43.753]  I've sworn to go all the way, and I'm doing it.
[00:35:48.359 --> 00:35:50.680]  Kind of makes it hard to care if your roof is leaking, though.
[00:35:50.700 --> 00:35:52.380]  You just get ready to start caring about other stuff.
[00:35:52.501 --> 00:35:58.603]  It's really weird when you just gut up, go all the way, risk your life with all these whistleblowers and this information.
[00:36:00.723 --> 00:36:02.924]  And I'm not up here talking about how I'm some hero, either.
[00:36:02.944 --> 00:36:09.687]  I just want people to know, in a nation of folks that are obsessed with football and petty issues, I live in the real world.
[00:36:10.747 --> 00:36:15.109]  And believe me, I wish every minute this nuke story wasn't real.
[00:36:15.349 --> 00:36:15.869]  It is real.
[00:36:17.577 --> 00:36:29.052]  And now you see all the top nuke generals getting fired, and the admirals getting fired, and Lindsey Graham saying South Carolina will be nuked, and all this other stuff.
[00:36:29.092 --> 00:36:29.693]  It looks bad.
[00:36:29.853 --> 00:36:31.155]  I don't know what's going on.
[00:36:31.375 --> 00:36:32.437]  There's different scenarios.
[00:36:32.457 --> 00:36:33.298]  They're all horrible.
[00:36:34.480 --> 00:36:42.448]  Probably shadow government holding the government hostage with a nuclear false flag if folks don't go along with the globalist banker takeover of America.
[00:36:43.169 --> 00:36:44.350]  That's probably what's going on.
[00:36:44.670 --> 00:36:47.794]  Most of the big brains agree and concur with that analysis.
[00:36:50.036 --> 00:36:54.360]  Most of the big brains I talk to, I don't just sit here and go with my own perspective.
[00:36:54.421 --> 00:36:55.321]  I've war-gamed this stuff.
[00:36:56.400 --> 00:36:57.901]  Not, in fact, not most of the big brains.
[00:36:57.981 --> 00:36:59.161]  All the big brains concur.
[00:36:59.381 --> 00:37:03.083]  It's holding America hostage and it's some type of horrible situation.
[00:37:03.103 --> 00:37:19.330]  And by the way, in the next hour, I dug up, I dug up, it's hard to find these, the CBS News and the CNN and the Pentagon video press release when they fired two generals back in 08, a year after the investigation.
[00:37:20.919 --> 00:37:28.745]  into the missing six, keep saying two, or two big ones, but four small ones, stealth cruise missiles.
[00:37:28.785 --> 00:37:32.367]  They're high-tech, they look like stealth bombers that B-52s carry on their wings.
[00:37:33.088 --> 00:37:36.710]  Remember, six of those got stolen, is what happened.
[00:37:37.271 --> 00:37:38.171]  They got stolen.
[00:37:39.272 --> 00:37:41.594]  Stolen out of Minot, North Dakota.
[00:37:43.083 --> 00:37:47.567]  Back in 2007, a good group in the government blew the whistle on it.
[00:37:47.587 --> 00:37:49.629]  They were going to be flown to the Middle East, Lord knows who.
[00:37:50.010 --> 00:37:52.492]  The word was it was supposed to be a nuke false flag.
[00:37:53.153 --> 00:38:00.359]  There was a big armed standoff down at the big Air Force Base in Louisiana, where they've now moved the main command.
[00:38:00.419 --> 00:38:01.160]  I forget the name of it.
[00:38:03.082 --> 00:38:05.925]  The point is that this all happened.
[00:38:07.206 --> 00:38:07.766]  They landed.
[00:38:08.669 --> 00:38:11.231]  The security force there said those are loaded cruise missiles.
[00:38:11.551 --> 00:38:13.113]  They said, well, we're ordered to fly this out of here.
[00:38:13.133 --> 00:38:14.154]  There was a big standoff.
[00:38:14.934 --> 00:38:20.919]  Then six people died in the next month at the base in Minot that loaded them and took the orders.
[00:38:20.959 --> 00:38:24.262]  They killed the people that got the orders, obviously.
[00:38:25.323 --> 00:38:26.024]  That's Barksdale.
[00:38:27.645 --> 00:38:30.628]  So you can understand, folks, they kill people in and around this stuff, okay?
[00:38:30.908 --> 00:38:33.150]  Now, I'm just the person that got the info.
[00:38:36.380 --> 00:38:39.262]  And I can't say anything about the source and how credible they are.
[00:38:39.282 --> 00:38:39.962]  They're credible.
[00:38:40.002 --> 00:38:41.323]  I can't give details, okay?
[00:38:42.064 --> 00:38:42.464]  Obviously.
[00:38:42.524 --> 00:38:44.105]  I can't say if it's a man, a woman, whatever.
[00:38:45.906 --> 00:38:47.927]  But they were freaking out, okay?
[00:38:47.947 --> 00:38:54.972]  I mean, there were basically police with their guns out at Dyess Air Force Base when this happened back in early September.
[00:38:55.725 --> 00:38:56.385]  They're like, what?
[00:38:56.505 --> 00:38:56.965]  What the?
[00:38:57.065 --> 00:38:57.566]  What?
[00:38:57.706 --> 00:38:58.366]  Warheads?
[00:38:58.466 --> 00:38:58.886]  What the?
[00:38:59.106 --> 00:39:00.166]  Where's the paperwork?
[00:39:00.346 --> 00:39:01.567]  We're not supposed to have nukes here!
[00:39:01.587 --> 00:39:03.627]  Of course, everybody knew there were nukes there.
[00:39:03.908 --> 00:39:09.489]  Weldon Henson worked on B-2 bombers and F-16s there for five years of his seven years in the Air Force.
[00:39:10.230 --> 00:39:14.031]  He's been working here seven years since he got out of the Air Force.
[00:39:15.311 --> 00:39:17.152]  And he said, oh yeah, everybody knew they had nukes.
[00:39:17.192 --> 00:39:18.112]  We weren't supposed to talk about it.
[00:39:18.372 --> 00:39:20.073]  What, you think the Russians in the U.S.
[00:39:20.153 --> 00:39:21.173]  actually got rid of their nukes?
[00:39:23.493 --> 00:39:29.056]  You think they got rid of the nukes at Dyess Air Force Base in 1986 because they signed the START Treaty?
[00:39:30.217 --> 00:39:33.499]  I bet you think Santa Claus is real, too, if you believe that.
[00:39:34.619 --> 00:39:36.741]  So I don't know what's going on with the nukes.
[00:39:36.781 --> 00:39:38.281]  I got a really good idea, though.
[00:39:42.364 --> 00:39:43.805]  I know the Russian government's concerned.
[00:39:43.825 --> 00:39:47.687]  We got the Russian government calling us.
[00:39:51.906 --> 00:39:53.687]  This is serious, ladies and gentlemen.
[00:39:55.188 --> 00:39:56.889]  Why do you think they'd be concerned about missing nukes?
[00:39:59.570 --> 00:40:00.991]  See, I said I'd cover this next hour.
[00:40:01.111 --> 00:40:03.153]  This is the world I live in, is all I'm telling you.
[00:40:03.713 --> 00:40:06.394]  It's a miracle I can stay sane and deal with this level of stress.
[00:40:06.955 --> 00:40:16.300]  Because I realize that I'm like a general, every day, seven days a week, in the info war with all this data and all this responsibility, and I never imagined I would be in this position.
[00:40:16.500 --> 00:40:17.481]  And let me tell you, it ain't fun.
[00:40:18.823 --> 00:40:19.543]  And it's sick!
[00:40:20.104 --> 00:40:33.369]  I saw, this morning we were watching the newscast, we got 10 inches of rain where I live outside Austin, and the little creek behind our house was like a roaring 300, no 500 foot wide baby Mississippi River all the way up to our house on a hill.
[00:40:34.930 --> 00:40:41.493]  So I turn on local television, we never even turn it on except to watch movies, we had to get rabbit ears out to tune in to local TV.
[00:40:44.110 --> 00:40:52.234]  And I was watching everyone salute in tears in their eyes when UT won a game or something and it was people like saluting and crying and I was like what?
[00:40:52.474 --> 00:40:58.738]  You know, there's missing nuclear weapons, veterans are being attacked with batons for trying to go to the war memorials.
[00:40:59.724 --> 00:41:02.326]  The EBT card system's down in 17 states.
[00:41:02.386 --> 00:41:05.488]  People are freaking out in one day with it down on the edge of rioting.
[00:41:05.688 --> 00:41:08.430]  The country's $17 trillion in debt by design.
[00:41:08.710 --> 00:41:10.131]  Our government's funding Al Qaeda.
[00:41:10.511 --> 00:41:16.675]  And here are these full-grown adults in burnt orange crying that UT won and singing the UT song.
[00:41:18.476 --> 00:41:20.838]  I mean, I'm living in the Twilight Zone!
[00:41:24.924 --> 00:41:26.407]  I'm living in the twilight zone.
[00:41:27.229 --> 00:41:30.094]  And it's because of, and I'm not judging because you like football.
[00:41:30.374 --> 00:41:31.176]  I played football.
[00:41:31.216 --> 00:41:32.058]  I like football too.
[00:41:32.819 --> 00:41:36.927]  But as soon as I learned about other important things, there's no way I can sit there
[00:41:37.992 --> 00:41:39.092]  And get into it anymore.
[00:41:39.112 --> 00:41:40.553]  And I don't judge people that get into it.
[00:41:40.613 --> 00:41:41.533]  I get wanting to escape.
[00:41:41.894 --> 00:41:43.014]  I can't escape is the deal.
[00:41:43.654 --> 00:41:44.735]  Okay, I can't escape.
[00:41:44.795 --> 00:41:45.135]  I can't.
[00:41:45.155 --> 00:41:45.995]  I wake up at 3 a.m.
[00:41:46.015 --> 00:41:47.496]  this morning about the nuclear weapons.
[00:41:47.516 --> 00:41:48.196]  I wake up in a cold sweat.
[00:41:49.657 --> 00:41:50.977]  I've never been actually scared in my life.
[00:41:51.017 --> 00:41:52.778]  I'm looking out the window for hit teams and stuff.
[00:41:53.138 --> 00:41:54.879]  I'm walking around sweating at 3 a.m.
[00:41:54.979 --> 00:41:56.799]  in my house looking at my kids in bed, you know.
[00:41:58.260 --> 00:42:00.781]  It's just like, it's all a big joke to other people.
[00:42:00.821 --> 00:42:02.301]  It's funny or something.
[00:42:02.782 --> 00:42:03.602]  It's not funny!
[00:42:05.179 --> 00:42:10.601]  Let me tell you, they detonate nuclear weapons and blame it on Patriot groups or whatever, or who knows, some foreign country.
[00:42:11.181 --> 00:42:14.963]  All bets are off, folks, to bring in martial law.
[00:42:15.283 --> 00:42:16.223]  Gut your bank accounts.
[00:42:16.243 --> 00:42:17.344]  They'll get away with all of it.
[00:42:18.264 --> 00:42:19.505]  Persecute the Tea Party.
[00:42:19.545 --> 00:42:20.505]  Go after the gun owners.
[00:42:20.945 --> 00:42:22.886]  And a lot of people will hear this and say, well, we better roll over.
[00:42:23.126 --> 00:42:24.547]  No, rolling over is even worse.
[00:42:26.728 --> 00:42:28.028]  You can't roll over to the devil.
[00:42:29.309 --> 00:42:31.270]  And I thought Obama was just some frontman puppet.
[00:42:31.310 --> 00:42:32.850]  Now I've really been studying him, what he's doing.
[00:42:33.190 --> 00:42:34.731]  He's actually running a lot of stuff.
[00:42:35.626 --> 00:42:38.248]  And he's got flies flying around him all over.
[00:42:38.268 --> 00:42:39.449]  It's like the devil or something.
[00:42:39.589 --> 00:42:41.230]  I just... I can't handle it, folks.
[00:42:41.271 --> 00:42:41.891]  I can't handle it.
[00:42:42.532 --> 00:42:47.816]  And I sure can't handle turning on TV and people are crying because UT won a stupid football game!
[00:42:47.956 --> 00:42:48.897]  Unbelievable!
[00:42:51.539 --> 00:42:53.180]  Introducing Pro-1.
[00:42:53.440 --> 00:42:56.942]  All of your filtration in one system, portable, on the go.
[00:42:57.082 --> 00:43:01.485]  No more do you have two or three filters to just reduce sodium fluoride.
[00:43:01.625 --> 00:43:07.609]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:43:07.729 --> 00:43:18.515]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:43:18.715 --> 00:43:25.022]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:43:25.222 --> 00:43:39.957]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:43:42.501 --> 00:43:47.828]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:43:51.812 --> 00:43:56.914]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:43:57.274 --> 00:44:05.758]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:44:06.178 --> 00:44:13.461]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:44:14.001 --> 00:44:21.384]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:44:21.904 --> 00:44:25.286]  I personally store and use their high-quality products.
[00:44:25.846 --> 00:44:29.489]  It tastes great, and it's easy to store for up to 25 years.
[00:44:30.029 --> 00:44:36.633]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:44:37.193 --> 00:44:43.917]  Visit mypatriotsupply.com forward slash alex today with the new world order making rapid advances on every front.
[00:44:44.397 --> 00:44:48.440]  It is essential to prepare with My Patriot Supply today.
[00:44:51.317 --> 00:45:04.467]  With over 3,000 years of historic use, Pure Silver continues to be one of nature's most reliable and effective agents against fighting viruses, mold, fungus, bacteria, pathogens and parasites.
[00:45:05.088 --> 00:45:15.396]  At Silver Lungs, we have developed a reliable and easy-to-use full production system for creating endless Pure Nano Silver solutions right from the convenience and comfort of your home.
[00:45:16.016 --> 00:45:20.257]  Your self-produced nano-silver solutions can be applied topically to the skin.
[00:45:20.678 --> 00:45:36.723]  For many who are new to silver that wish to try silver for the first time, we offer a full line of consumables and cosmetics, such as our 2-ounce nano-silver nasal sprays, our nano-silver soap, and our most popular product, the all-natural nano-silver gel.
[00:45:37.563 --> 00:45:45.010]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs System.
[00:45:45.410 --> 00:45:48.653]  That's www.silverlungs.com.
[00:45:50.814 --> 00:45:51.795]  Ben Swan here.
[00:45:52.055 --> 00:45:53.176]  We are winning.
[00:45:53.236 --> 00:46:00.460]  Alternative media is challenging and beating mainstream media, and it's imperative for the liberty movement to continue this momentum.
[00:46:00.961 --> 00:46:07.545]  However, independent media cannot win without the support of sponsors and advertisers like Diamond Gusset Jeans.
[00:46:07.985 --> 00:46:13.349]  For over 26 years, Diamond Gusset has been owned by patriots with products designed for patriots.
[00:46:13.829 --> 00:46:19.353]  When I put on a pair of Diamond Gusset jeans, I enjoy the quality, comfort, durability and style.
[00:46:19.854 --> 00:46:22.676]  Most importantly, my wife really likes them as well.
[00:46:23.176 --> 00:46:30.381]  From the cotton to the last stitch, Diamond Gusset bucks the industry standard by producing a 100% all-American product.
[00:46:30.682 --> 00:46:32.103]  Another reason for my endorsement.
[00:46:32.623 --> 00:46:36.824]  So, Ben Swan is asking you to go visit DiamondLiberty.com right now.
[00:46:37.164 --> 00:46:43.805]  With promo code BEN, you will receive a 20% off discount on a pair of male or female Diamond Gusset jeans.
[00:46:44.286 --> 00:46:50.167]  Remember, DiamondLiberty.com, and you are directly supporting the growth of independent media.
[00:46:52.567 --> 00:46:59.349]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:47:07.617 --> 00:47:08.378]  Big Brother.
[00:47:09.740 --> 00:47:11.302]  Mainstream media.
[00:47:12.523 --> 00:47:13.645]  Government cover-ups.
[00:47:15.087 --> 00:47:16.068]  You want answers?
[00:47:17.029 --> 00:47:18.031]  Well, so does he.
[00:47:18.952 --> 00:47:25.260]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:47:34.178 --> 00:47:37.320]  Coming to you from deep in the heart of Texas, broadcasting worldwide.
[00:47:37.900 --> 00:47:39.681]  It is Sunday.
[00:47:39.881 --> 00:47:42.023]  It is 4.46 Central Standard Time.
[00:47:42.043 --> 00:47:43.364]  Many stations are here on the broadcast.
[00:47:43.404 --> 00:47:46.545]  We're very thankful for all of our wonderful AM and FM affiliates out there.
[00:47:46.926 --> 00:47:50.988]  The show is just exploding across the country because I know it sounds wild and crazy.
[00:47:51.388 --> 00:47:51.869]  And for years...
