[00:00:06.752 --> 00:00:08.453]  Something has happened in the motorcade group.
[00:28:16.129 --> 00:28:17.210]  How about a different approach?
[00:28:17.590 --> 00:28:19.711]  When you're done with your term, you leave.
[00:28:20.972 --> 00:28:23.354]  That's right, let's put term limits on House and Senate seats.
[00:28:23.974 --> 00:28:29.058]  And thank you to Representative Matt Salmon from Arizona for stepping up to the plate and getting things started.
[00:28:29.478 --> 00:28:38.084]  He recently introduced Joint Resolution 41 with five House sponsors to limit House members to three terms and Senators to two terms.
[00:28:38.664 --> 00:28:41.586]  Look out, Representative Serrano, your days may be numbered.
[00:28:42.515 --> 00:28:48.139]  Read more about this administration's attempt at an imperial presidency at InfoWars.com.
[00:28:48.659 --> 00:28:50.380]  And check out PrisonPlanet.tv.
[00:28:50.940 --> 00:28:53.902]  You can give your username and password to up to 10 people.
[00:28:54.423 --> 00:28:57.625]  I'm Gigi Arnetta with an InfoWars Nightly News Alert.
[00:28:59.846 --> 00:29:02.588]  Well, that brings us to our quote of the day from Ayn Rand.
[00:29:02.788 --> 00:29:04.949]  It says, so you think that money is the root of all evil?
[00:29:05.490 --> 00:29:08.852]  Have you ever asked what the root of all money is?
[00:29:10.174 --> 00:29:13.840]  I guess maybe we know what the root of all fiat currency is.
[00:29:13.920 --> 00:29:15.442]  It's the Federal Reserve.
[00:29:15.502 --> 00:29:16.444]  I guess they're pretty evil.
[00:29:17.603 --> 00:29:22.866]  We have a new transformative development in the Bilderberg group, what Alex Jones calls Googleberg.
[00:29:23.446 --> 00:29:28.829]  In an article today, Googleberg, global elite, transforms itself to a technocratic revolution.
[00:29:29.489 --> 00:29:36.973]  He says, authoritarian, anti-democratic power networks are being rebranded as trendy, philanthropic-style forums.
[00:29:37.493 --> 00:29:42.996]  Bilderberg is merging with Google under the stewardship of Google CEO Eric Schmidt, a regular Bilderberg attendee.
[00:29:43.616 --> 00:29:53.240]  Google's annual Zeitgeist Conference, which has been based at the Grove since 2007, is this year immediately preceding the Bilderberg Group Conference by a matter of days.
[00:29:53.860 --> 00:30:06.325]  Bilderberg is indeed being recast as Googleberg, partly because of efforts on behalf of activists to tear away the veil of Bilderberg's much cherished secrecy, and partly as a means of rebranding authoritarian
[00:30:07.250 --> 00:30:07.410]  I think?
[00:30:25.934 --> 00:30:32.159]  Local news station down there reported that there's a lot of billionaires have flown into that area.
[00:30:32.900 --> 00:30:40.867]  And the mayor sounds very much like the mayor of a city where the Bilderberg meeting is being held in London.
[00:30:41.727 --> 00:30:44.568]  We've got all the usual suspects there.
[00:30:44.628 --> 00:30:47.309]  Bill Bloomberg, but Gates is right at the center of it.
[00:30:48.129 --> 00:30:49.610]  We also have Jeb Bush.
[00:30:49.670 --> 00:30:52.070]  We've got a lot of politicians meeting with billionaires.
[00:30:52.110 --> 00:30:58.472]  The same sort of thing that's happening at Bilderberg, where they're basically selling you out and putting themselves in position.
[00:30:58.512 --> 00:31:03.454]  And of course, we also have security being provided by the local community at great expense.
[00:31:04.274 --> 00:31:06.736]  Security has been keeping the public away.
[00:31:07.197 --> 00:31:10.339]  And then we have a mayor who says, we wish them luck with what they're doing.
[00:31:10.699 --> 00:31:11.500]  They want to play golf?
[00:31:11.520 --> 00:31:13.021]  They couldn't have picked a better weekend.
[00:31:13.341 --> 00:31:15.062]  We're glad we could offer them great weather.
[00:31:15.122 --> 00:31:18.905]  Well, I don't think that they're all there for the weather or for the golf.
[00:31:19.586 --> 00:31:24.529]  I think this is probably some kind of a eugenics conference with Gates at the center of it.
[00:31:25.330 --> 00:31:30.154]  It's almost kind of like we look at Bill Gates and his eugenicist
[00:31:31.423 --> 00:31:35.006]  Focus is almost like the ultimate revenge of the nerds, in my opinion.
[00:31:35.066 --> 00:31:38.068]  But we also have a judicial elite.
[00:31:38.709 --> 00:31:43.552]  And this judicial elite, as we heard earlier, has some ethical issues.
[00:31:43.652 --> 00:31:48.476]  And today they cited nine to nothing, siding with Monsanto.
[00:31:48.976 --> 00:31:53.300]  The Supreme Court sides with Monsanto in a major patent case, reports USA Today.
[00:31:53.940 --> 00:32:05.762]  The court ruled unanimously that an Indiana farmer violated Monsanto's patent on genetically modified soybeans when he culled some from a grain elevator and used them to replant his own crop in future years.
[00:32:05.802 --> 00:32:08.123]  And so the question is, who does this help?
[00:32:08.743 --> 00:32:11.764]  Well, inventors and entrepreneurs, perhaps.
[00:32:12.464 --> 00:32:15.804]  It definitely hurts consumers who are going to be paying much higher prices.
[00:32:16.565 --> 00:32:19.025]  And there's a question as to what is going to be coming.
[00:32:19.785 --> 00:32:23.346]  They're still pending a decision on whether human genes can be patented.
[00:32:23.926 --> 00:32:26.909]  That's a very strange notion, but who knows?
[00:32:26.969 --> 00:32:28.810]  Anything can happen with the Supreme Court.
[00:32:29.331 --> 00:32:36.677]  Now here for more information about Monsanto and the march on Monsanto is a special report from Leanne McAdoo.
[00:32:39.437 --> 00:32:42.619]  I'm Leanne McAdoo and this is an InfoWars Nightly News Alert.
[00:32:43.239 --> 00:32:51.923]  People around the globe will assemble in protest against Monsanto's genetic manipulation of the food supply in a massive movement known as the March Against Monsanto.
[00:32:52.403 --> 00:32:59.707]  People who are fed up with Monsanto's monopoly are hoping that this march will bring global awareness to the company's diabolical reach.
[00:33:00.447 --> 00:33:04.812]  Corporations like Monsanto, their goal basically is to take over our food supply.
[00:33:05.332 --> 00:33:10.217]  Most people are not aware that their food is highly contaminated.
[00:33:10.418 --> 00:33:17.825]  They trust the FDA, thinking that the FDA is protecting them, when in fact the FDA has sold them up the river.
[00:33:18.466 --> 00:33:23.011]  Leading consumer advocate Jeffrey Smith has researched in depth the effects of GMOs.
[00:33:23.471 --> 00:33:32.295]  The glyphosate, or active ingredient in Roundup, is linked to essentially every major Western disease on the rise due to diet.
[00:33:32.335 --> 00:33:42.239]  So from cancer, obesity, diabetes, heart disease, anxiety, aggression, anorexia, Parkinson's, Alzheimer's, autism.
[00:33:42.779 --> 00:33:44.180]  It's very, very dangerous.
[00:33:44.840 --> 00:33:53.168]  And it is unfortunately in high concentrations of these Roundup Ready crops, which is the vast majority of all GMOs that we eat.
[00:33:53.508 --> 00:33:56.951]  Companies like Kashi, people think that Kashi has clean food.
[00:33:57.352 --> 00:33:58.373]  Kashi's GMO.
[00:33:58.873 --> 00:34:00.835]  A lot of their products have GMOs in them.
[00:34:01.255 --> 00:34:05.679]  And so we need to bring awareness to people on who to shop with.
[00:34:06.590 --> 00:34:07.851]  How to get clean food.
[00:34:08.031 --> 00:34:13.817]  If they can't afford to buy organic, they can work at farms and get their produce for free.
[00:34:13.977 --> 00:34:23.346]  The founders of the grassroots group, Food is Free Project, are already working to teach local communities how to provide for themselves by coming together and growing their own food.
[00:34:23.706 --> 00:34:27.209]  The Food is Free project was kind of born out of the idea of planting a front yard garden.
[00:34:27.289 --> 00:34:35.855]  We realized by being out in our front yard, hands in the soil, we started to meet and engage with neighbors that were walking by with their dogs or whatnot.
[00:34:36.056 --> 00:34:41.420]  What if we lined a block in front yard gardens and got people, you know, connected?
[00:34:41.600 --> 00:34:43.962]  We try to use as many salvaged materials as possible.
[00:34:44.162 --> 00:34:46.924]  It just helps to, it just makes it a lot easier, you know.
[00:34:47.364 --> 00:34:51.388]  It doesn't have to be like a cost intensive sort of thing to get started gardening on your own.
[00:34:52.455 --> 00:34:52.996]  Chickens are great.
[00:34:53.016 --> 00:34:57.064]  They'll save money on eggs and go through your compost and turn it for you.
[00:34:57.444 --> 00:35:04.297]  They'll go through a field, like any spot where you want to be planting, and just having chickens there for a little while makes the soils really happy with it.
[00:35:06.716 --> 00:35:13.842]  Aquaponics is another really great way for people to grow their own food, be independent of the system, and be more self-sustaining.
[00:35:14.483 --> 00:35:18.506]  The really cool thing about this is that it's a soilless system, right?
[00:35:18.666 --> 00:35:22.870]  So this is just expanded clay and pea gravel.
[00:35:23.490 --> 00:35:26.212]  You can grow vegetables and fruits.
[00:35:26.552 --> 00:35:27.773]  Down here we've got our fish.
[00:35:28.394 --> 00:35:29.335]  We've got goldfish.
[00:35:29.395 --> 00:35:30.576]  You could grow tilapia.
[00:35:31.436 --> 00:35:32.917]  We aren't eating these fish.
[00:35:32.938 --> 00:35:35.019]  We're just growing them for their nutrients.
[00:35:35.259 --> 00:35:37.741]  So it's fine to just have like a little goldfish.
[00:35:39.423 --> 00:35:42.405]  And you see here how it all pays off.
[00:35:45.027 --> 00:35:45.187]  Yeah.
[00:35:46.690 --> 00:35:52.754]  Coming together to grow a community garden is absolutely an effective way to flip the bird to companies like Monsanto.
[00:35:53.275 --> 00:35:57.898]  But in the meantime, grocery stores will still remain the main provider of our food.
[00:35:58.879 --> 00:36:02.922]  Even so, you can have control over what you're eating by phoning your state rep.
[00:36:03.647 --> 00:36:15.939]  We want everybody to contact them demanding the overturn of the Monsanto Protection Act and to put in place a bill that requires labeling for all GMO products.
[00:36:16.079 --> 00:36:26.549]  If we could get the GMO labeling in place, when people are shopping and they see this seal that says, contains GMO ingredients, they're going to be, well wait, what is this?
[00:36:27.370 --> 00:36:28.231]  What am I eating?
[00:36:28.531 --> 00:36:37.695]  Simply typing in your 5-digit zip code at whoismyrepresentative.com will immediately give you the phone number and website of your state representative.
[00:36:38.196 --> 00:36:40.857]  Now, we think that when about 5% of U.S.
[00:36:40.897 --> 00:36:54.044]  shoppers avoid brands that contain GM ingredients, that would be sufficient to create a tipping point of consumer rejection, turning GMOs into a marketing liability, and forcing the companies to abandon GM ingredients.
[00:36:54.444 --> 00:37:02.970]  Being at home behind a computer screen reading about, you know, the things Monsanto's doing to our, you know, the state of affairs in our world can be very disheartening and very paralyzing.
[00:37:03.050 --> 00:37:16.620]  So when we go out in the street and we meet people, you know, and we talk to them about our gardens and the things that we're doing and the things that we can do together, I think that's one of the most empowering moments that we can share when it comes to our food system and food sovereignty.
[00:37:16.960 --> 00:37:20.361]  The March Against Monsanto will happen around the world on May 25th.
[00:37:20.501 --> 00:37:28.025]  It's all being organized online via an open Google document where you can find the protest nearest you and be a part of it.
[00:37:28.905 --> 00:37:35.828]  There are still a lot of open slots for organizers and speakers, so if you feel like contributing to the event in that capacity, be sure to check it out.
[00:37:36.388 --> 00:37:42.971]  Now you can find the link to that Google document as well as more stories on this topic at InfoWars.com.
[00:37:44.152 --> 00:37:47.466]  I'm Leanne McAdoo and this has been an InfoWars Nightly News Alert.
[00:37:50.100 --> 00:37:51.141]  We'll stick around after the break.
[00:37:51.161 --> 00:37:54.323]  We're going to have Gigi Erneta interview Mike Velarde.
[00:37:54.383 --> 00:37:56.784]  He's a former criminal investigator with the IRS.
[00:37:57.245 --> 00:38:01.187]  With everything that's going on with the IRS, you'll want to hear what he has to say.
[00:38:01.868 --> 00:38:07.352]  If you're watching this on YouTube, please consider getting a subscription to Prison Planet TV.
[00:38:07.752 --> 00:38:14.256]  It helps to cover our bandwidth and you can share it with up to 10 people simultaneously can be watching our stream.
[00:38:14.336 --> 00:38:16.898]  Helps to get the word out and it helps to pay for our bandwidth.
[00:38:17.238 --> 00:38:19.980]  We'll be right back after the break with that interview, so stay tuned.
[00:38:24.943 --> 00:38:36.089]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:38:36.549 --> 00:38:41.272]  That is, taking the seeds of plants and then replanting them to produce more.
[00:38:41.932 --> 00:38:50.954]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:38:51.594 --> 00:38:54.314]  Fruits, vegetables, nuts, you name it.
[00:38:54.854 --> 00:38:57.235]  And the globalists have been going after gardening.
[00:38:57.255 --> 00:39:00.855]  They've been harassing people that have gardens in their front yards or their backyards.
[00:39:00.875 --> 00:39:09.077]  They've called for licenses for people to have gardens because you can't trust prisoners in the police state America to be able to grow their own food.
[00:39:09.617 --> 00:39:13.181]  That's why I've come to the realization that we need to become self-sufficient.
[00:39:13.862 --> 00:39:14.863]  You need to be informed.
[00:39:14.903 --> 00:39:16.946]  You need to have the Second Amendment to protect yourself.
[00:39:16.966 --> 00:39:18.868]  You need to be politically active to wake up others.
[00:39:19.248 --> 00:39:20.450]  You need to filter your water.
[00:39:20.910 --> 00:39:23.533]  But you also need to plant a garden.
[00:39:23.613 --> 00:39:25.275]  Even if you live in an apartment, you can do this.
[00:39:25.756 --> 00:39:28.799]  If you live in the countryside, obviously you can do it on a grand scale.
[00:39:29.600 --> 00:39:34.006]  There are so many greenbelts in areas that humans don't even visit.
[00:39:34.446 --> 00:39:44.359]  Nearby cities and in suburbs where people are now more and more planting their own little private gardens and meadows and off the side of the road.
[00:39:45.080 --> 00:40:01.074]  Ladies and gentlemen, it is a revolutionary act to unplug from the television, to unplug from the computer, and all the globalist propaganda, and to go out in your backyard, or your front yard, or planters at your apartment, or on the roof of the building where you live, and to plant a garden.
[00:40:02.045 --> 00:40:06.910]  Here are some of the amazing deals at InfoWarseedCenter at InfoWarshop.com.
[00:40:07.431 --> 00:40:15.820]  The Survival Seed Vault by MyPatriotSupply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest of times.
[00:40:16.321 --> 00:40:22.007]  The ARC All-in-One Seed Kit contains 70 varieties of 50,000 seeds of fruits, vegetables,
[00:40:22.287 --> 00:40:22.927]  We're good to go.
[00:40:22.947 --> 00:40:23.427]  We're good to go.
[00:40:23.467 --> 00:40:24.368]  We're good to go.
[00:40:24.388 --> 00:40:25.308]  We're good to go.
[00:40:25.328 --> 00:40:25.868]  We're good to go.
[00:40:26.328 --> 00:40:27.028]  We're good to go.
[00:40:27.088 --> 00:40:27.609]  We're good to go.
[00:40:27.629 --> 00:40:28.109]  We're good to go.
[00:40:28.129 --> 00:40:28.609]  We're good to go.
[00:40:28.869 --> 00:40:29.249]  We're good to go.
[00:40:29.269 --> 00:40:30.169]  We're good to go.
[00:40:30.189 --> 00:40:30.610]  We're good to go.
[00:40:30.810 --> 00:40:31.290]  We're good to go.
[00:40:31.310 --> 00:40:32.050]  We're good to go.
[00:40:32.070 --> 00:40:32.730]  We're good to go.
[00:40:32.870 --> 00:40:33.490]  We're good to go.
[00:40:33.510 --> 00:40:33.971]  We're good to go.
[00:40:34.031 --> 00:40:35.011]  We're good to go.
[00:40:35.071 --> 00:40:36.511]  We're good to go.
[00:40:36.551 --> 00:40:37.292]  We're good to go.
[00:40:37.312 --> 00:40:37.952]  We're good to go.
[00:40:38.552 --> 00:40:39.132]  We're good to go.
[00:40:39.152 --> 00:40:39.932]  We're good to go.
[00:40:39.992 --> 00:40:40.933]  We're good to go.
[00:40:40.953 --> 00:40:41.533]  We're good to go.
[00:40:41.553 --> 00:40:42.513]  We're good to go.
[00:40:43.193 --> 00:40:43.934]  We're good to go.
[00:40:43.954 --> 00:40:44.534]  We're good to go.
[00:40:44.594 --> 00:40:44.994]  We're good to go.
[00:40:45.054 --> 00:40:45.774]  We're good to go.
[00:40:45.794 --> 00:40:46.454]  We're good to go.
[00:40:46.715 --> 00:40:47.715]  We're good to go.
[00:40:47.735 --> 00:40:48.435]  We're good to go.
[00:40:48.455 --> 00:40:49.375]  We're good to go.
[00:40:49.395 --> 00:40:49.856]  We're good to go.
[00:40:49.876 --> 00:40:50.536]  We're good to go.
[00:40:50.556 --> 00:40:51.296]  We're good to go.
[00:40:51.316 --> 00:40:51.416]  We're
[00:40:51.736 --> 00:40:55.578]  Go to the InfoWars Seed Center at InfoWarshop.com.
[00:40:56.118 --> 00:41:01.060]  A little seed can grow a huge tree that produces fruit for up to 50 years.
[00:41:01.380 --> 00:41:03.201]  We have the best life bombs.
[00:41:03.281 --> 00:41:04.041]  That's what these are.
[00:41:04.682 --> 00:41:14.906]  We have the best weapons against death out there at the lowest prices waiting for you to lovingly plant them and lovingly grow them and lovingly eat them and share them with others.
[00:41:15.646 --> 00:41:21.433]  We will strike back against the New World Order and this is only one more initiative in our fight against them.
[00:41:21.633 --> 00:41:28.761]  So please join us at InfoWarsHop.com or you can link through at InfoWars.com at the InfoWars Seed Center.
[00:41:33.177 --> 00:41:36.078]  Coming to a mailbox near you, the IRS.
[00:41:36.278 --> 00:41:37.219]  I know you can't wait.
[00:41:37.599 --> 00:41:43.461]  Yes, Obamacare goes into play soon, so be prepared for the tax man to bring a bill.
[00:41:43.861 --> 00:41:44.122]  Yay!
[00:41:44.162 --> 00:41:45.882]  We're going to talk to Mike Villardi today.
[00:41:45.942 --> 00:41:49.624]  He worked for the IRS for 22 years as a criminal investigator.
[00:41:49.644 --> 00:41:53.666]  He's going to share with us what exactly is happening with Obamacare today.
[00:41:54.226 --> 00:41:59.228]  And of course, we all pray that it will be repealed so that we can have a good health care plan put together.
[00:42:01.286 --> 00:42:02.747]  Mike, thank you so much for being here.
[00:42:02.767 --> 00:42:04.608]  Hey, thank you for having me, Gigi.
[00:42:04.628 --> 00:42:05.208]  Appreciate it.
[00:42:05.788 --> 00:42:10.170]  So we're talking about Obamacare and the IRS, and they're just not ready, are they?
[00:42:10.971 --> 00:42:11.631]  No, they're not.
[00:42:11.871 --> 00:42:12.451]  They're not ready.
[00:42:13.152 --> 00:42:14.452]  Look, two things have happened.
[00:42:14.672 --> 00:42:16.073]  One is funding has dried up.
[00:42:16.573 --> 00:42:18.995]  So there is a hiring freeze now at the IRS.
[00:42:19.435 --> 00:42:23.157]  And in order to implement Obamacare, they're going to need some additional personnel.
[00:42:23.177 --> 00:42:25.498]  Because what's going to have to happen is this.
[00:42:26.158 --> 00:42:33.183]  They're going to have to send out letters to everybody that does not have health insurance starting in 2014.
[00:42:33.723 --> 00:42:35.404]  Now that's going to be done via your computer.
[00:42:35.424 --> 00:42:43.390]  What they're going to do is they're going to require on your W-2s that it shows whether you are covered by health insurance or not.
[00:42:43.410 --> 00:42:46.292]  In other words, if your employer is providing health insurance for you or not.
[00:42:47.112 --> 00:42:59.541]  Now, if you don't have health insurance, you will get a letter generated by the computer stating that because the IRS has found that you don't have health insurance, you're going to be hit with a bill, and they're going to send you a tax bill.
[00:43:00.021 --> 00:43:14.751]  But you have 30 days to either get the health insurance or supply proof that you have some sort of other insurance that would be okay with them so that you wouldn't have to pay this Obamacare tax.
[00:43:15.518 --> 00:43:19.082]  Okay, what about these Cadillac programs that they have?
[00:43:19.162 --> 00:43:22.365]  These people with excellent health care, how does that work with the IRS?
[00:43:23.046 --> 00:43:32.736]  Well, what's going to happen is there's going to be up to a 40% tax, called the Cadillac tax, for you to keep your existing health care.
[00:43:33.096 --> 00:43:37.441]  What Obamacare really seeks to do is put everybody under a government
[00:43:38.161 --> 00:43:43.746]  And that government plan, of course, is going to be much worse than anything that you have now.
[00:43:44.206 --> 00:43:48.050]  So they're going to make you pay a fat premium for keeping your health insurance.
[00:43:48.550 --> 00:43:59.239]  So if your health insurance costs you $10,000, the IRS or the government's going to come in and charge you an extra $4,000 just to keep your $10,000 plan.
[00:44:00.440 --> 00:44:03.323]  Well, we thought we had problems with our health insurance before, right?
[00:44:04.517 --> 00:44:06.438]  Oh yeah, this is the biggest nightmare.
[00:44:06.458 --> 00:44:10.139]  Well, who's benefiting from this, Mike?
[00:44:10.339 --> 00:44:13.901]  Is it the IRS or the healthcare companies?
[00:44:14.501 --> 00:44:15.221]  Who's benefiting?
[00:44:15.241 --> 00:44:17.142]  The government takes control.
[00:44:17.182 --> 00:44:18.723]  It gives the government more control.
[00:44:19.143 --> 00:44:23.385]  So if you're a proponent for bigger government, the people that run the government now have more power.
[00:44:23.645 --> 00:44:29.467]  They now have power over your healthcare, where they didn't have that in the past.
[00:44:30.148 --> 00:44:33.149]  It also really makes government much bigger.
[00:44:33.909 --> 00:44:38.831]  Because it goes places it's never gone before at a tremendous cost.
[00:44:39.531 --> 00:44:44.813]  So there's $1.7 trillion in new taxes that's wrapped up in Obamacare.
[00:44:45.373 --> 00:44:48.294]  It's going to devastate an already weak economy.
[00:44:48.775 --> 00:44:53.476]  And they're going to be able to really keep track of people now they're data mining, as I understand.
[00:44:53.516 --> 00:44:58.018]  The IRS is actually using data mining to keep track of everybody, whether it's travel or purchases.
[00:44:58.478 --> 00:45:02.940]  So pretty much they can hijack anything, it seems like, to get money out of you.
[00:45:03.635 --> 00:45:10.322]  Yeah, I mean, the real issue with the IRS is they were given an extra $640 million in 2009.
[00:45:10.842 --> 00:45:14.866]  That money went to hire additional employees, so they grew the size of the IRS.
[00:45:15.367 --> 00:45:19.050]  Since then, Congress has not given them any additional appropriations.
[00:45:20.732 --> 00:45:29.278]  They've actually had some buyouts to kind of get the IRS back to where it was, you know, back in 2009, before they expanded it.
[00:45:30.999 --> 00:45:40.305]  And because it's just that, you know, like I said, back in 09, I think that the, you know, the Democrats had control of everything.
[00:45:40.345 --> 00:45:43.307]  So they were able to, to appropriate that money.
[00:45:43.668 --> 00:45:44.428]  Now they don't.
[00:45:45.048 --> 00:45:48.511]  So there's no extra funding going towards the IRS.
[00:45:49.099 --> 00:45:52.761]  Now, I hear there's also a sequester on the personnel sometime this summer.
[00:45:53.742 --> 00:45:54.002]  Yes.
[00:45:54.483 --> 00:46:03.388]  Yeah, it appears to me that they're going to, my understanding is, get every other Friday off for at least five Fridays.
[00:46:04.029 --> 00:46:13.655]  So, it looks, unless something has changed starting in June, that everybody's going to receive five unpaid days.
[00:46:14.836 --> 00:46:18.118]  Well, that'll give them less time to hunt everybody down for insurance.
[00:46:19.628 --> 00:46:34.444]  Yeah, well the IRS, really the manpower of the IRS, I mean they've been kind of zapped because identity theft has been such a growing crime that they were forced to put a lot of personnel and time and effort into stopping it.
[00:46:35.305 --> 00:46:37.828]  Can you elaborate more on the identity theft part of it?
[00:46:38.328 --> 00:46:40.370]  Yeah, let me explain to you how these schemes work.
[00:46:40.990 --> 00:46:47.916]  When I was with them, for example, that's when I was first getting started, they were, you know, paying people to get social security numbers.
[00:46:48.517 --> 00:46:58.665]  And at the time they were using Puerto Rican social security numbers because if you're in Puerto Rico, you don't have to file taxes because Puerto Rico is not a state.
[00:46:59.657 --> 00:47:03.219]  Because it doesn't have statehood, there's no law saying you have to file a tax return.
[00:47:03.459 --> 00:47:12.623]  So they're taking these Puerto Rican Social Security numbers, they were doing false tax returns with them, and generating large refund checks from the false returns.
[00:47:12.983 --> 00:47:14.503]  How about simply this?
[00:47:15.084 --> 00:47:17.725]  Let's say you work for the Ford Motor Company, okay?
[00:47:18.485 --> 00:47:22.987]  And you have their W-2, and you have all their, you know, corporate ID number and everything else.
[00:47:23.608 --> 00:47:32.973]  All you do is you change the information on it, so it looks like some other person whose social security number that you stole also worked for Ford, and they had a large amount of withholding.
[00:47:33.133 --> 00:47:38.356]  So you'd say that they made $50,000, but they withheld $20,000 in federal taxes.
[00:47:38.376 --> 00:47:41.197]  And when you put in for a refund, you're going to ask for 10 of the 20,000 back.
[00:47:43.837 --> 00:47:44.777]  That's how it would work.
[00:47:45.018 --> 00:47:48.379]  And then the IRS would send you a $10,000 check.
[00:47:49.680 --> 00:48:02.646]  And what they were doing was they were sending these checks to the projects and, you know, they had certain places they'd go to and they'd get the checks, cash them, and billions of dollars literally walked out the door because of identity theft.
[00:48:03.402 --> 00:48:14.269]  Then, after they burned through the Puerto Rican numbers, then they started using people on welfare, people who, you know, they were buying misinformation.
[00:48:14.309 --> 00:48:18.971]  I mean, if you go to your doctor, your family doctor, they're going to ask for your social security number.
[00:48:18.991 --> 00:48:27.256]  Well, if you get a person that's in that doctor's office that makes $10 an hour, won't say, hey, listen, we'll give you $50 for every person's information you give us.
[00:48:28.577 --> 00:48:28.857]  Okay?
[00:48:30.018 --> 00:48:31.559]  Yeah, all of a sudden you got a problem.
[00:48:31.619 --> 00:48:36.300]  So, because the information has become so accessible, you know, they only need three things.
[00:48:36.340 --> 00:48:40.381]  Your address, your date of birth, and your social security number to create a false tax return.
[00:48:41.082 --> 00:48:45.123]  Well, now with all the hacking too, I'm sure that's probably doubled as far as the problems.
[00:48:45.823 --> 00:48:46.324]  Absolutely.
[00:48:46.344 --> 00:48:54.910]  It's become the largest growing crime in the country and particularly it's false returns with the Internal Revenue Service.
[00:48:54.950 --> 00:49:07.240]  So it's really caused a lot of problems and they've been forced to put a lot of manpower and time and effort behind it to resolve it because they really weren't paying attention to it when it first started happening and it just mushroomed and grew.
[00:49:07.840 --> 00:49:13.825]  And so now they're in the position where they're forced to deal with it because it's just so much money walking out the door.
[00:49:14.405 --> 00:49:19.229]  Because once they issue that check, you know, they're probably not going to see it again.
[00:49:19.289 --> 00:49:24.253]  And then the real person, you know, says, hey, you know, you owe me this money because I worked for it.
[00:49:24.273 --> 00:49:25.234]  It was all out of my pay.
[00:49:25.694 --> 00:49:27.455]  And I have a legitimate refund coming to me.
[00:49:27.495 --> 00:49:29.257]  So they pay out the bad refund.
[00:49:29.277 --> 00:49:30.618]  Then I got to pay out the good refund.
[00:49:31.912 --> 00:49:37.718]  And before you know it, it ends up being billions upon billions of dollars.
[00:49:38.179 --> 00:49:41.362]  Now you were a criminal investigator for the IRS for 22 years.
[00:49:41.803 --> 00:49:41.983]  Yes.
[00:49:42.143 --> 00:49:45.747]  And you're helping people with their problems now with your own company.
[00:49:46.556 --> 00:49:47.837]  Yeah, that's right.
[00:49:47.877 --> 00:49:51.541]  And I've had a lot of success because of my experience with the IRS.
[00:49:52.082 --> 00:50:07.297]  And if anybody out there is having an issue with either an overly aggressive revenue officer or an audit situation where they feel they're being unfairly treated, they could definitely call my toll-free number, which is
[00:50:09.258 --> 00:50:21.927]  888-873-8825 or simply go to my website, which is www.MikeVillardiEA.com.
[00:50:22.367 --> 00:50:29.012]  And you can look at my testimonial letters, my history, my background, and if I can help you, please call me.
[00:50:30.495 --> 00:50:32.138]  Alright, well one more thing before we go.
[00:50:32.158 --> 00:50:33.861]  I was going to ask you about the enforcement.
[00:50:34.282 --> 00:50:35.524]  We're dealing with Obamacare.
[00:50:35.605 --> 00:50:43.098]  How is the IRS going to enforce people who don't have health care or maybe don't have the right health care to fit in their requirements?
[00:50:43.735 --> 00:50:52.000]  Okay, what's going to happen is in the legislation that was passed, they wanted to make sure there's no interest and no penalty for this tax.
[00:50:52.541 --> 00:50:56.063]  Okay, so what they're going to do is it's going to be a tax that's going to sit on your record.
[00:50:56.904 --> 00:51:04.228]  And when you go to claim your refund, if you owe them the money, it'll come out of any refund that the IRS was going to originally pay you.
[00:51:05.731 --> 00:51:06.792]  That's how they're going to deal with it.
[00:51:06.912 --> 00:51:09.513]  There's not going to be any knocking on your door.
[00:51:09.553 --> 00:51:12.415]  At least there's not supposed to be.
[00:51:12.735 --> 00:51:13.896]  What about wage garnishment?
[00:51:15.038 --> 00:51:16.980]  No, that's not supposed to happen either.
[00:51:17.000 --> 00:51:18.321]  I like how you said that.
[00:51:18.341 --> 00:51:20.803]  It's not supposed to happen.
[00:51:20.843 --> 00:51:24.146]  These cases, Obamacare cases, should not be going to ROs.
[00:51:24.626 --> 00:51:29.370]  They basically should just sit in the computer, and when they're paid, they're paid.
[00:51:29.510 --> 00:51:33.653]  And if the IRS owes you money at any time, they'll take it from that.
[00:51:33.713 --> 00:51:36.155]  That's my understanding of how it's supposed to work.
[00:51:36.175 --> 00:51:41.560]  Because if these things start going to enforcement, it's going to be such a nightmare for the government.
[00:51:42.020 --> 00:51:44.402]  It's just not going to be able to handle because who are you taxing?
[00:51:44.782 --> 00:51:47.664]  You're taxing people that don't have enough money to have health insurance.
[00:51:48.124 --> 00:51:51.567]  You're taxing the poorest of the poor, in a sense.
[00:51:51.607 --> 00:51:52.367]  That's what you're doing.
[00:51:53.628 --> 00:51:57.351]  And they're the least likely to pay, the least able to pay.
[00:51:58.111 --> 00:52:10.940]  So the way they set it up is so that it'll sit on the computer and then when you put in for a refund, you got to remember a lot of these people put in for the earned income credit.
[00:52:11.881 --> 00:52:14.566]  So, they filed to get money.
