[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[00:34:29.506 --> 00:34:29.866]  I don't know.
[00:34:30.306 --> 00:34:31.846]  I mean, that's not even graffiti.
[00:34:31.866 --> 00:34:32.506]  That's right.
[00:34:32.526 --> 00:34:33.447]  That's not even an image.
[00:34:33.787 --> 00:34:34.187]  That's right.
[00:34:34.347 --> 00:34:38.028]  But, I don't know, maybe a definition of character, you know?
[00:34:40.262 --> 00:34:47.583]  Also last night we had, Jakar and I normally do the nightly news, and we had the world premiere last night of State of Mind.
[00:34:48.103 --> 00:34:52.044]  Now this is a, you want to talk about how the government controls us.
[00:34:52.064 --> 00:34:59.385]  You know, there was an article today about a guy, a real life Jason Bourne, that was from Natural News, where the guy has no memory and he's speaking Swedish.
[00:34:59.885 --> 00:35:04.166]  That's the kind of mind control we typically think of, you know, the kind of MKUltra type of stuff.
[00:35:04.206 --> 00:35:08.947]  But this is actually, it covers that as well as covers the more
[00:35:09.927 --> 00:35:11.589]  The broader aspects of mind control.
[00:35:11.609 --> 00:35:12.069]  Propaganda.
[00:35:12.210 --> 00:35:13.711]  Yeah, the more subtle aspects of it.
[00:35:14.232 --> 00:35:14.752]  Education.
[00:35:15.453 --> 00:35:16.394]  The educational system.
[00:35:16.654 --> 00:35:18.697]  And what the goals have been from the very beginning.
[00:35:19.017 --> 00:35:20.378]  Now we premiered this last night.
[00:35:20.398 --> 00:35:26.845]  We had the world premiere of State of Mind last night on the InfoWars Nightly News for our subscribers to Prison Planet TV.
[00:35:27.706 --> 00:35:29.828]  But, you know, you can still get a copy of it.
[00:35:30.508 --> 00:35:36.172]  And where we are, where we were back in North Carolina, we didn't have the bandwidth to watch movies on the Internet.
[00:35:36.192 --> 00:35:39.274]  A lot of people don't like to stream an entire movie on the Internet.
[00:35:39.554 --> 00:35:45.658]  And if you get a DVD of this, that's a great way to pass the information along to other people.
[00:35:45.698 --> 00:35:49.120]  People are much more likely to watch this and enjoy it with a DVD.
[00:35:49.140 --> 00:35:49.980]  Everybody's got a DVD player.
[00:35:50.000 --> 00:35:50.701]  Also on Blu-ray.
[00:35:51.261 --> 00:35:51.641]  That's right.
[00:35:51.981 --> 00:35:52.961]  Blu-ray, even.
[00:35:53.701 --> 00:35:54.782]  So, Jakari, what's up?
[00:35:55.342 --> 00:35:59.903]  Well, I saw this, and you brought this up when I first walked in, the McDonald's budget.
[00:36:00.063 --> 00:36:00.323]  Yeah.
[00:36:00.883 --> 00:36:03.243]  Now, maybe we can get a doc cam on this.
[00:36:03.623 --> 00:36:07.204]  This is the McDonald's budget, as you would assume by the title.
[00:36:07.284 --> 00:36:12.405]  It's trying to teach people who make the McDonald's type of income how to budget their money.
[00:36:12.465 --> 00:36:17.206]  And this article points out that, you know, it would ask the question, can you support a family on $2,000 a month?
[00:36:19.247 --> 00:36:24.853]  Now, supporting myself on $2,000 a month is, you know, difficult enough.
[00:36:24.913 --> 00:36:33.062]  Between rent and various utilities, over $700 a month, then food, gas, you know, just the bare necessities, phone and so forth.
[00:36:33.783 --> 00:36:36.446]  And it says McDonald's teamed up with Visa.
[00:36:37.126 --> 00:36:37.546]  Yeah, exactly.
[00:36:37.586 --> 00:36:41.988]  Because they're not going to hire you full time because then they've got to pay Obamacare.
[00:36:57.834 --> 00:37:01.879]  Even like a $20,000 income, they're going to make you work two jobs.
[00:37:02.200 --> 00:37:02.560]  Exactly.
[00:37:02.980 --> 00:37:06.325]  So you're going to work, you know, maybe two 30-hour jobs, I guess?
[00:37:06.605 --> 00:37:08.327]  I don't know.
[00:37:08.347 --> 00:37:08.627]  60 hours?
[00:37:09.208 --> 00:37:12.172]  But they don't budget anything for food or for gas.
[00:37:12.572 --> 00:37:14.635]  I guess it's like, do you want fries with that budget?
[00:37:16.476 --> 00:37:17.797]  It's pretty ridiculous.
[00:37:18.117 --> 00:37:21.378]  It's just more of this trying to get people to live on less.
[00:37:21.518 --> 00:37:25.460]  Meanwhile, Obama's going to Africa saying that Africans shouldn't have air conditioning.
[00:37:25.480 --> 00:37:26.260]  I'm not making that up.
[00:37:26.601 --> 00:37:27.801]  We played that clip before.
[00:37:28.261 --> 00:37:29.902]  Prince Charles has said the same thing.
[00:37:29.962 --> 00:37:33.103]  They fly in with their jets and say, you know, you shouldn't drive cars.
[00:37:33.704 --> 00:37:41.147]  Obama jumps off Air Force One and tells people they shouldn't have cars in Africa because that would raise the standard of living too high.
[00:37:41.767 --> 00:37:42.367]  Oh yeah, absolutely.
[00:37:42.387 --> 00:37:46.188]  Meanwhile, he's renting out, you know, private golf courses to play with Tiger Woods and so forth.
[00:37:46.428 --> 00:37:48.769]  It's gonna melt down the entire planet.
[00:37:48.969 --> 00:37:49.149]  Yeah.
[00:37:49.329 --> 00:37:50.469]  Yeah, you know, it's interesting.
[00:37:50.509 --> 00:38:00.232]  They put the employees at McDonald's on this ridiculous budget that doesn't even allocate any money for food or for gas to get to your two jobs that you're gonna have to have.
[00:38:00.312 --> 00:38:00.492]  Right.
[00:38:00.752 --> 00:38:08.174]  Okay, but meanwhile, our government has supposedly this debt limit of 16 trillion, just under 16 trillion dollars.
[00:38:08.234 --> 00:38:08.614]  Frozen.
[00:38:08.894 --> 00:38:10.856]  It's been frozen for the last 56 days.
[00:38:10.896 --> 00:38:16.760]  They're claiming, incredibly claiming, that they have not spent any money for the last 56 straight days.
[00:38:16.780 --> 00:38:20.223]  So evidently nobody in the federal government is getting paid anything.
[00:38:20.563 --> 00:38:21.904]  They're not buying anything.
[00:38:22.404 --> 00:38:28.749]  And they stopped at about 26, what does it say here, 26 million dollars short of the limit.
[00:38:29.089 --> 00:38:32.272]  And it's been frozen there since May 17th, you know.
[00:38:32.432 --> 00:38:40.718]  Yeah, just like you said, nobody's gotten a paycheck, you know, they haven't had another $7 million vacation or, you know, whatever else their expenses may incur.
[00:38:40.738 --> 00:38:44.060]  Yeah, I guess they put Obama's trips on a credit card or something.
[00:38:44.080 --> 00:38:49.443]  But you remember, you know, Obama keeps threatening, and I believe it was last year or the year before, he threatened not to pay the military.
[00:38:49.583 --> 00:38:50.524]  You know, of all people.
[00:38:51.164 --> 00:38:55.107]  You know, people who go overseas and have to send money back to their families, we're not going to pay them.
[00:38:55.187 --> 00:38:56.328]  Or he threatened not to pay them.
[00:38:57.148 --> 00:38:57.509]  Absolutely.
[00:38:58.229 --> 00:38:59.970]  You know, we've got an interesting article.
[00:38:59.990 --> 00:39:06.153]  You know, we're talking about how the government scares everybody into all these different programs.
[00:39:06.173 --> 00:39:07.734]  You know, we've got a spy on you.
[00:39:07.774 --> 00:39:09.555]  We've got to go through your cars.
[00:39:09.775 --> 00:39:14.798]  There's an article on the Drudge Report today that TSA is now going through parked cars at airports, right?
[00:39:15.178 --> 00:39:17.219]  You've got to be so afraid of Al-Qaeda.
[00:39:17.800 --> 00:39:25.384]  And we've got a clip here that has Fox News talking about Al-Qaeda hijacking your car.
[00:39:26.164 --> 00:39:27.068]  Can we play that guys?
[00:39:27.410 --> 00:39:28.233]  Can we play a little bit of that?
[00:39:28.534 --> 00:39:28.755]  Go ahead.
[00:39:30.109 --> 00:39:35.630]  Imagine this scenario, you're driving along and suddenly you're no longer controlling the car.
[00:39:35.710 --> 00:39:46.912]  That's a scary scenario from some top security analysts who warn that as our cars become more sophisticated, they also become more vulnerable to hackers and even terrorists.
[00:39:46.992 --> 00:39:47.593]  Is that true?
[00:39:47.673 --> 00:39:50.333]  Morgan Wright is a cyber terrorism analyst and he's joining us now.
[00:39:50.833 --> 00:39:54.554]  Again, one of our favorite stories, but one that really concerned us, Morgan.
[00:39:54.714 --> 00:39:55.494]  Is this true?
[00:39:55.534 --> 00:39:58.955]  I mean, is this something that we need to be concerned about?
[00:39:59.801 --> 00:40:01.822]  Well, look, so the fact and fiction.
[00:40:01.882 --> 00:40:03.883]  Fact, yes, you can take control of a car.
[00:40:04.343 --> 00:40:08.484]  OnStar is an example, and they work with law enforcement.
[00:40:08.524 --> 00:40:09.985]  They can actually locate your car.
[00:40:10.145 --> 00:40:11.565]  Law enforcement gets in behind it.
[00:40:12.026 --> 00:40:16.627]  They send a signal to the car to start slowing it down, and then it cruises off to the side of the road.
[00:40:16.667 --> 00:40:18.748]  But in that scenario, law enforcement is in control.
[00:40:18.768 --> 00:40:19.548]  They block the road.
[00:40:20.269 --> 00:40:26.011]  My concern is what happens when they not only just maybe hack the car, they hack the systems that control these cars or have access to them.
[00:40:26.451 --> 00:40:27.232]  And then do these things.
[00:40:27.292 --> 00:40:35.118]  So, a lot of people say that's far-fetched, but, you know, one of my examples on September 10th, 2001, we thought it was far-fetched to fly four airplanes into a building.
[00:40:35.159 --> 00:40:35.879]  Never thought it could happen.
[00:40:35.899 --> 00:40:36.380]  Cut it right there.
[00:40:37.352 --> 00:40:40.134]  Yeah, they thought it was far-fetched to fly four airplanes into buildings.
[00:40:40.514 --> 00:40:46.458]  Actually, they got two airplanes flew into the Twin Towers and three giant skyscrapers fell straight down.
[00:40:46.658 --> 00:40:47.078]  Exactly.
[00:40:47.198 --> 00:40:48.259]  I can control demolition.
[00:40:48.519 --> 00:40:58.105]  I mean, yeah, I think it is incredible because they don't even know how many planes flew into, because, you know, obviously you would think that they would take a plane to make a building fall down or more than that.
[00:40:58.245 --> 00:40:58.705]  Yeah.
[00:40:58.725 --> 00:41:02.167]  Because they designed them to withstand a direct plane hit.
[00:41:03.328 --> 00:41:05.070]  Let's briefly talk about the topic.
[00:41:05.631 --> 00:41:10.756]  Building 7, 9-11 had very little exterior damage.
[00:41:10.776 --> 00:41:12.158]  You know, a little bit of debris.
[00:41:12.518 --> 00:41:14.440]  Some minor fires.
[00:41:14.700 --> 00:41:20.066]  Supposedly knocked a building down, but you think about buildings 4 and 5 that had much more damage and had to be torn down to the ground.
[00:41:20.346 --> 00:41:21.427]  That's all I'm going to say about that.
[00:41:22.048 --> 00:41:22.888]  That's incredible, buddy.
[00:41:22.908 --> 00:41:24.829]  Yeah, he talks about how it's just so incredible.
[00:41:24.849 --> 00:41:30.431]  But the other thing I want to talk about here is notice how they craft the discussion here.
[00:41:30.831 --> 00:41:34.572]  You know, now it's hackers and it's Al-Qaeda who could hack into your car.
[00:41:34.812 --> 00:41:37.553]  But when the government does it, it's for your own safety.
[00:41:37.573 --> 00:41:38.934]  When Officer Brown pulls you over.
[00:41:39.514 --> 00:41:42.335]  When the reality is, it's all good.
[00:41:42.455 --> 00:41:44.915]  Yeah, only the government is going to be doing this.
[00:41:44.935 --> 00:41:47.356]  You know, when this thing came out with Hastings, right?
[00:41:47.536 --> 00:41:52.217]  Immediately Alex said, you know, they can they can crash a car by hacking into the system.
[00:41:52.677 --> 00:41:53.578]  Oh no, you can't do that.
[00:41:53.598 --> 00:41:54.358]  That's farfetched.
[00:41:54.378 --> 00:41:55.178]  I want people to see this.
[00:41:55.238 --> 00:41:56.338]  Can you guys just go to Google?
[00:41:56.358 --> 00:41:57.339]  You don't have to play the audio.
[00:41:57.619 --> 00:42:00.900]  Just go type in Google car and it's some trendy guy with a hat on.
[00:42:00.940 --> 00:42:02.120]  He's driving to a
[00:42:02.820 --> 00:42:05.641]  Exactly, exactly.
[00:42:06.522 --> 00:42:09.483]  But after that came out, after Alex said it, people were laughing at him.
[00:42:09.883 --> 00:42:12.144]  But then when Richard Clark, who is the former U.S.
[00:42:12.184 --> 00:42:24.470]  National Coordinator for Security, Infrastructure Protection, and Counterterrorism, Richard Clark, tells the Huffington Post, there's reason to believe that intelligence agencies for major powers know how to remotely seize control of a car.
[00:42:24.490 --> 00:42:31.593]  And he says, so if there were a cyber attack on Hastings' car, and I'm not saying there was, I think whoever did it would probably get away with it.
[00:42:32.333 --> 00:42:40.379]  And then later on in that article, they even say, just a couple of paragraphs down, they say Hastings was driving this Mercedes when he crashed into a tree.
[00:42:42.541 --> 00:42:49.306]  First of all, if you remember, the only eyewitness that everybody was talking about the first day was Luis Cortez.
[00:42:49.666 --> 00:42:54.790]  And what he said was, it was driving very fast, it jackknifed, parts went everywhere.
[00:42:55.371 --> 00:42:56.752]  He didn't say that it hit the tree.
[00:42:57.212 --> 00:42:58.633]  It caught fire that way.
[00:42:59.114 --> 00:43:01.515]  And if you look at the way the car
[00:43:02.316 --> 00:43:09.600]  If you look at how the car is, okay, and where the engine is, there's absolutely no way that those two are going to get separated with that kind of crash.
[00:43:10.000 --> 00:43:14.102]  If it hit head-on into the tree, it's going to capture the engine and drive it into the car.
[00:43:14.362 --> 00:43:14.662]  Exactly.
[00:43:14.702 --> 00:43:26.188]  If it hit sideways with enough impact to somehow, I mean anything I guess could be possible, but if it was going to eject it sideways at a right angle to the direction the car was going, that car would have been wrapped around the tree.
[00:43:26.288 --> 00:43:27.128]  That didn't happen either.
[00:43:27.548 --> 00:43:28.329]  But I've looked at
[00:43:29.529 --> 00:43:31.953]  Crash after crash after crash on the internet.
[00:43:32.394 --> 00:43:35.358]  And the simple fact of the matter is if you've got something like a Pinto...
[00:43:36.311 --> 00:43:37.191]  Remember the Ford Pinto?
[00:43:37.231 --> 00:43:37.992]  Maybe you don't remember.
[00:43:38.012 --> 00:43:38.372]  I do.
[00:43:38.432 --> 00:43:39.332]  I'm old enough to remember it.
[00:43:39.692 --> 00:43:55.637]  It was a big deal because its fuel tank was compromised in rear-end collisions and you can see highway traffic cameras of it being hit from the back and the entire contents of the gas can are atomized and sprayed everywhere and then catch fire.
[00:43:55.937 --> 00:43:57.838]  And you see that in these car crashes.
[00:43:58.118 --> 00:44:01.899]  You see car crash after car crash very, very bad.
[00:44:01.959 --> 00:44:04.880]  They don't blow up instantly like they do on a Hollywood movie.
[00:44:05.240 --> 00:44:05.620]  Exactly.
[00:44:05.660 --> 00:44:08.783]  That only happens when you have the rear end is hit.
[00:44:08.843 --> 00:44:14.466]  And of course the rear end of the Mercedes that Michael Hastings was driving was completely intact.
[00:44:14.947 --> 00:44:18.129]  So there's no way that's going to blow up and explode on impact.
[00:44:18.729 --> 00:44:25.414]  There's less than a 2% chance that somebody's going to die in an automobile fire because that is so rare that that happens.
[00:44:25.534 --> 00:44:25.734]  Right.
[00:44:25.854 --> 00:44:29.717]  Because typically it starts to catch fire and it gradually builds.
[00:44:30.457 --> 00:44:37.000]  Even if you watch NASCAR races, those guys usually have time to bail out before the car goes up in flames, if it does go up in flames.
[00:44:37.020 --> 00:44:51.145]  A very good example, there's a video, people can see it on YouTube, it was like a Formula One race, and this one car loses control, maybe it's like a greasy spot on the track or something, goes spinning out of control, crashes, parts go flying everywhere, but doesn't catch on fire.
[00:44:52.626 --> 00:44:58.571]  Short while later, another car hits the same spot, same thing, starts spinning out, and hits this car in the back.
[00:44:58.871 --> 00:45:04.055]  Instantly, a giant fireball, okay, because he hit it in the back and exploded the gas tank.
[00:45:04.415 --> 00:45:13.082]  Now, of course, that guy actually walked out of that giant fireball because he had a fireproof suit, had a helmet, that sort of thing, which a person typically would not have.
[00:45:13.122 --> 00:45:17.125]  But the point being is that the government can hack into these systems.
[00:45:17.665 --> 00:45:21.949]  Mercedes has been maniacal about trying to make their cars safer.
[00:45:21.989 --> 00:45:24.492]  They developed anti-lock braking systems.
[00:45:24.552 --> 00:45:26.954]  They developed these stability counter steering systems.
[00:45:27.354 --> 00:45:34.481]  And they have all kinds of systems that can accelerate and slow down your car now based on if it sees that you're going to be hitting somebody head on.
[00:45:34.621 --> 00:45:36.043]  And even takes a look at
[00:45:36.603 --> 00:45:45.211]  Uh, people behind you to see how quickly to put the brakes on, so they have all kinds of controls on these cars, which make them safer, but also makes them hackable.
[00:45:45.251 --> 00:45:53.319]  We've had a video that we played on the show of a DARPA official talking about how severe a problem that is for the government.
[00:45:53.479 --> 00:45:54.180]  They're worried about it.
[00:45:54.620 --> 00:45:56.762]  Oh yeah, because all it is is, you know, hacking.
[00:45:57.002 --> 00:45:57.703]  They hack drones.
[00:45:57.743 --> 00:46:00.825]  I believe it was the University of Texas hacked one right here.
[00:46:01.586 --> 00:46:05.589]  And so people think that it's impossible, it's something that can't happen.
[00:46:05.629 --> 00:46:11.554]  You know, if you have an older car, you may not have to worry about such things, but people who drive the newer models, you know, it is possible.
[00:46:11.895 --> 00:46:12.795]  Yeah, absolutely.
[00:46:13.236 --> 00:46:15.938]  And if you look at this situation with the Hastings car.
[00:46:16.018 --> 00:46:20.141]  Now, you know, I believe it was a bomb that went up, caused the pieces to fly everywhere, because
[00:46:21.400 --> 00:46:35.320]  There was one eyewitness that was interviewed by the Young Turks and he was, I didn't find him to be very credible because it seemed like he was trying to reinforce the official story, you know, and he says, oh yeah, it hit this bump and, you know, I think that's what caused the engine to come out.
[00:46:35.360 --> 00:46:36.142]  It's like, I'm sorry.
[00:46:36.682 --> 00:46:43.328]  But, you know, whatever you want to say about cars, especially Mercedes, they're not going to have the engine fall out when it hits a bump.
[00:46:43.868 --> 00:46:44.188]  Okay?
[00:46:44.769 --> 00:46:50.053]  These are cars that they designed to drive on the Autobahn with no speed limit, and they do it all the time.
[00:46:50.073 --> 00:46:50.373]  Right.
[00:46:50.653 --> 00:46:58.300]  And, you know, a high-speed, you know, dip in the pavement is not going to cause the engine to come out.
[00:46:58.460 --> 00:47:00.421]  And, exactly, to go a different direction.
[00:47:00.842 --> 00:47:02.643]  So, you know, it's just not credible.
[00:47:02.723 --> 00:47:04.484]  But it would give them cover.
[00:47:05.362 --> 00:47:13.848]  A cover story, as everybody has picked up, as the mainstream media has picked up, to have him driving at a high speed, under hacking control, and then blow the car up.
[00:47:14.248 --> 00:47:15.849]  I mean, that would perfectly fit.
[00:47:16.349 --> 00:47:17.190]  Yeah, and that's what they want.
[00:47:17.210 --> 00:47:18.931]  They don't want anybody to question the story.
[00:47:18.971 --> 00:47:20.312]  We've given you the story.
[00:47:20.392 --> 00:47:22.153]  We came out, we said there's no foul play.
[00:47:22.453 --> 00:47:25.255]  We don't want to release the police documents and so forth.
[00:47:25.595 --> 00:47:26.196]  Just let it go.
[00:47:26.776 --> 00:47:32.840]  That's pretty much what they want us to do with the Associates, the Jokar brothers, not saying they're innocent or guilty.
[00:47:33.160 --> 00:47:39.921]  But, you know, it's this repetitive thing that, you know, they just give you more information all the time, all the time, all the time, so you forget about this.
[00:47:40.001 --> 00:47:42.802]  I'm still waiting to see the surveillance footage from Sandy Hook, you know.
[00:47:42.822 --> 00:47:42.982]  Yeah.
[00:47:43.202 --> 00:47:43.502]  Oh, yeah.
[00:47:43.742 --> 00:47:43.922]  Oh, yeah.
[00:47:43.942 --> 00:47:44.562]  They never show that.
[00:47:45.062 --> 00:47:46.443]  Now, you mentioned the Zocar trial.
[00:47:46.463 --> 00:47:52.304]  And one of the things I think is interesting, pull up that photo, guys, from the Rolling Stone magazine cover.
[00:47:52.324 --> 00:47:56.585]  Yes, this Facebook photo that makes him look like a rock star, in some people's opinion.
[00:47:56.685 --> 00:47:56.905]  Right.
[00:47:57.045 --> 00:47:58.265]  Well, they're very upset about it.
[00:47:58.385 --> 00:48:01.866]  But you know what upsets me about it is the fact that it says there, as a caption,
[00:48:02.526 --> 00:48:02.886]  Bomber.
[00:48:03.106 --> 00:48:03.626]  The bomber.
[00:48:03.786 --> 00:48:04.287]  The bomber.
[00:48:04.487 --> 00:48:05.707]  You know, he's the bomber.
[00:48:05.907 --> 00:48:06.087]  Right.
[00:48:06.107 --> 00:48:10.168]  You know, he's been tried and convicted in the media in the same way that Zimmerman has.
[00:48:10.388 --> 00:48:16.070]  You know, we have completely lost the whole concept of how a jury works and why you would have a jury.
[00:48:16.370 --> 00:48:20.271]  I mean, looking at this is an article that's linked on Drudge right now.
[00:48:21.231 --> 00:48:23.152]  The niece of Dr. Martin Luther King Jr.
[00:48:23.192 --> 00:48:26.213]  said that Dr. Martin Luther King would not wear a hoodie.
[00:48:27.133 --> 00:48:32.676]  And she did that in reaction to a picture that somebody had photoshopped his face into a picture of a hoodie.
[00:48:33.257 --> 00:48:35.898]  And she's talking about the trial there.
[00:48:35.918 --> 00:48:42.722]  You know, one of the things that bothers me about this whole thing is that people don't understand why we have juries.
[00:48:43.522 --> 00:48:44.463]  Yes, we're good to go.
[00:49:02.344 --> 00:49:04.486]  The media was so irresponsible.
[00:49:04.506 --> 00:49:11.514]  You know, we have free speech, and we should have free speech, but that doesn't mean that you slander and demonize and libel people, right?
[00:49:11.814 --> 00:49:22.285]  And so, you know, when they call somebody, when they talk about people before they've had a trial, they used to always say the alleged bomber, the alleged murderer, the alleged whatever.
[00:49:22.645 --> 00:49:23.506]  They don't do that anymore.
[00:49:23.746 --> 00:49:23.946]  No.
[00:49:23.966 --> 00:49:24.206]  Okay.
[00:49:24.306 --> 00:49:24.987]  They don't bother with it.
[00:49:25.107 --> 00:49:26.448]  And nobody is talking about that.
[00:49:26.488 --> 00:49:31.871]  Everybody is talking about how Zocar, the bomber, looks too good on this picture.
[00:49:32.211 --> 00:49:36.293]  And CVS says they're not even going to, the CVS drugstore chain's not even going to carry the magazine in their stores.
[00:49:36.313 --> 00:49:39.335]  Not because of the content, but because of the image on the cover.
[00:49:39.515 --> 00:49:39.916]  Exactly.
[00:49:39.956 --> 00:49:41.877]  That's what people take offense to.
[00:49:42.277 --> 00:49:43.037]  I find that amazing.
[00:49:43.318 --> 00:49:47.640]  I'm going to be talking in the third hour to someone from the Fully Informed Jury Association.
[00:49:49.588 --> 00:49:53.429]  That's something that most people don't even go for a jury trial anymore.
[00:49:53.489 --> 00:49:59.591]  Most of the time they're intimidated by a lot of spurious charges that are piled on by prosecutors.
[00:50:00.171 --> 00:50:04.052]  And then they plea bargain to maybe what they would have been charged with in the first place.
[00:50:04.092 --> 00:50:06.133]  Yeah, they overcharge.
[00:50:06.253 --> 00:50:09.174]  I wish more people would understand this.
[00:50:10.174 --> 00:50:20.276]  Well, I don't know any particular examples off the top of my head, but you know, there are examples where, you know, you charge somebody with, let's say, murder, you know, to get them to, you know, go for manslaughter.
[00:50:20.436 --> 00:50:24.657]  And it's very, very few trials ever go to a jury anymore.
[00:50:25.097 --> 00:50:31.559]  One of the reasons is because jurors don't know what their rights are, and they usually turn into rubber stamps for the judge.
[00:50:32.119 --> 00:50:34.581]  But not in the case of the Zimmerman trial.
[00:50:34.661 --> 00:50:36.001]  You know, that was kind of interesting.
[00:50:36.061 --> 00:50:37.863]  And I don't know what your take is on it.
[00:50:37.883 --> 00:50:39.063]  I mean, we haven't really talked about it.
[00:50:39.083 --> 00:50:41.285]  Everybody's been talking about this, but we haven't really talked about it.
[00:50:41.305 --> 00:50:47.068]  To me, it's like one of these things about a self-defense thing that really a jury had to decide.
[00:50:47.088 --> 00:50:48.669]  You really couldn't decide that in the media.
[00:50:48.729 --> 00:50:50.350]  Yeah, we talk more about that on the other side.
[00:50:50.410 --> 00:50:50.850]  Yeah, yeah.
[00:50:50.890 --> 00:50:51.651]  We'll be right back.
[00:50:51.931 --> 00:50:54.793]  I'm joined with Jakari Jackson and I'm David Knight.
[00:50:54.813 --> 00:50:56.054]  We'll be right back after the break.
[00:50:56.074 --> 00:50:56.554]  Stay tuned.
[00:51:09.872 --> 00:51:11.112]  What does freedom mean to you?
[00:51:11.132 --> 00:51:14.014]  How about the freedom to take control of your own future?
[00:51:14.274 --> 00:51:17.775]  At eFoods Direct, we're again celebrating Food Freedom Month.
[00:51:18.095 --> 00:51:27.218]  In July, for every $329 you spend on our highly nutritious, great-tasting food, you will receive a $190 Patriot Pack free.
[00:51:27.479 --> 00:51:32.060]  For example, purchase a six-month supply and get three Patriot Packs free.
[00:51:32.300 --> 00:51:38.963]  The Patriot Pack is a 24-day supply of eFoods Quick Fix, easy-to-store food, plus stove, fuel,
[00:51:41.340 --> 00:51:42.060]  We're good to go.
[00:52:10.652 --> 00:52:12.213]  Time and time again.
[00:52:12.233 --> 00:52:15.095]  You need to come here and help us.
[00:52:15.175 --> 00:52:16.255]  We need assistance.
[00:52:16.616 --> 00:52:17.156]  Please!
[00:52:17.436 --> 00:52:20.738]  Those we should be able to depend on let us down.
[00:52:21.018 --> 00:52:27.162]  Federal and state and local officials saying help is on the way while the folks here in Bell Harbor say show me.
[00:52:27.422 --> 00:52:29.764]  Don't depend on the government to save you.
[00:52:29.944 --> 00:52:33.526]  Take action now so that you're prepared for the next disaster.
[00:52:33.806 --> 00:52:36.307]  With MyPatriotsupply.com.
[00:52:36.567 --> 00:52:48.871]  Get the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more at MyPatriotsupply.com.
[00:52:48.891 --> 00:52:49.311]  Call 866-229-0927.
[00:52:52.952 --> 00:52:57.034]  We are hurting down here and we need help immediately.
[00:52:57.094 --> 00:53:01.496]  Before it's time to survive, it's time to prepare.
[00:53:01.876 --> 00:53:06.278]  MyPatriotSupply.com MyPatriotSupply.com
[00:53:09.161 --> 00:53:13.184]  Patriot Ammo Supply dot com only sells to patriots and private citizens.
[00:53:13.584 --> 00:53:13.844]  Why?
[00:53:14.245 --> 00:53:16.306]  Because we only sell to people we can trust.
[00:53:16.626 --> 00:53:18.348]  We do not sell to government agencies.
[00:53:18.588 --> 00:53:22.751]  We manufacture our own bullets and load our own ammunition so it's in stock and ready to ship.
[00:53:22.891 --> 00:53:23.752]  Got empty cartridges?
[00:53:23.932 --> 00:53:28.195]  We can reload your brass, reducing your cost and eliminating the hidden federal excise tax.
[00:53:28.455 --> 00:53:30.176]  Most orders ship within three to five days.
[00:53:30.416 --> 00:53:38.102]  Give us a call, 406-210-5294 or visit Patriot Ammo Supply dot com, an American company.
[00:53:38.510 --> 00:53:39.550]  Hi, this is Ted Anderson.
[00:53:39.630 --> 00:53:43.952]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:53:44.112 --> 00:53:49.733]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:53:49.833 --> 00:53:51.934]  Gold has outperformed paper investments yet.
[00:53:51.994 --> 00:53:53.174]  No word about IRAs.
[00:53:53.414 --> 00:53:55.975]  If you would like to have gold for your retirement, call 800-686-2237.
[00:53:56.075 --> 00:54:00.896]  Don't get left behind by rising inflation and low returns.
[00:54:01.036 --> 00:54:01.356]  Call 800-686-2237.
[00:54:01.376 --> 00:54:02.657]  Secure your future and call 1-800-686-2237.
[00:54:21.178 --> 00:54:22.539]  Welcome back to the Alex Jones Show.
[00:54:22.599 --> 00:54:26.322]  I'm David Knight and I'm joined here in the studio with Jakari Jackson.
[00:54:26.382 --> 00:54:31.986]  We typically work the nightly news for Prison Planet TV and we're substituting here for Alex Jones today.
[00:54:32.717 --> 00:54:38.541]  Now before we get back to the news, I just want to tell you about one of our sponsors, Infidel Body Armor.
[00:54:38.701 --> 00:54:41.844]  That's www.infidelbodyarmor.com.
[00:54:42.564 --> 00:54:47.448]  It stops hundreds of rounds from AK-47, M4, .30-60, .308, and more.
[00:54:47.988 --> 00:54:51.591]  Ceramic armor may stop six rounds, but what about the seventh, as they say?
[00:54:51.651 --> 00:54:56.875]  This is a great product, and when you support our advertisers, it helps to fund our operation here.
[00:54:56.955 --> 00:54:58.696]  So please go to infidelbodyarmor.com.
[00:55:00.592 --> 00:55:07.717]  Well, Jakari, talking about body armor, there's a bounty out on Zimmerman's head from the new Black Panthers.
[00:55:07.777 --> 00:55:10.379]  I always have to put that new in there to distinguish it.
[00:55:10.499 --> 00:55:16.323]  Larry Pinkney always wants to disassociate himself from the new Black Panthers with good reason.
[00:55:17.547 --> 00:55:21.509]  So Zimmerman might want to get some of that infidel body armor.
[00:55:22.709 --> 00:55:38.395]  It's amazing to see the double standard here when they're allowed to publicly put out a $10,000 bounty on his head and yet at the same time we've got an AP news story here that police are charging a website that hosted a murder video.
[00:55:39.873 --> 00:55:42.737]  Yeah, and they don't want him dead or alive.
