[00:00:02.981 --> 00:00:05.382]  Ah, Christmas music!
[00:38:14.645 --> 00:38:22.670]  So I'm going to throw a lot of subjects out at you today and just randomly get your take on it.
[00:38:22.670 --> 00:38:24.791]  Bitcoin.
[00:38:24.791 --> 00:38:25.172]  Set up.
[00:38:26.733 --> 00:38:28.894]  Nothing is, by the way, it's great to see you.
[00:38:28.894 --> 00:38:29.695]  Good to see you, buddy.
[00:38:29.695 --> 00:38:33.817]  Fabulous complex you have, and all your people are so nice and professionally get it done.
[00:38:33.817 --> 00:38:35.878]  It's a really smoking crew.
[00:38:35.878 --> 00:38:36.318]  I like it.
[00:38:36.318 --> 00:38:40.561]  Well, we're really about to go to the next level, so we're running around like an anthill.
[00:38:40.561 --> 00:38:48.505]  Yeah, this whole Bitcoin thing, I subscribe to the proposition that none of this stuff is by accident, and everything that we see, it's like, look the other way.
[00:38:49.165 --> 00:38:51.407]  And the noise has come from over there.
[00:38:51.407 --> 00:38:52.368]  Look that way.
[00:38:52.368 --> 00:38:53.710]  That's where the action is.
[00:38:53.710 --> 00:38:59.615]  So I started, I really, I was behind the curve pretty bad on Bitcoin because I don't play around with the financial markets.
[00:38:59.615 --> 00:39:01.617]  I'm not interested in stock investment or any of that.
[00:39:01.617 --> 00:39:02.818]  I just observe what's going on.
[00:39:02.818 --> 00:39:04.000]  Hey, the market crashed.
[00:39:04.000 --> 00:39:04.660]  Well, that's bad.
[00:39:04.660 --> 00:39:05.761]  Market's up.
[00:39:05.761 --> 00:39:06.622]  Okay.
[00:39:06.622 --> 00:39:08.304]  Oh yeah, there was that quantitative easing.
[00:39:08.304 --> 00:39:09.565]  That's probably why the market's up.
[00:39:09.565 --> 00:39:10.366]  Okay.
[00:39:10.366 --> 00:39:11.467]  And that's about the extent of it.
[00:39:11.467 --> 00:39:12.508]  But Bitcoin started
[00:39:13.573 --> 00:39:38.641]  Becoming a term more and more frequently used and I just thought this stuff is getting just a little bit too much play For it to be some really revolutionary idea in mercantilism and of course when it hit the papers yesterday, so to speak that JP Morgan is going to upgrade their patent on their version of Bitcoin from 1999
[00:39:41.226 --> 00:39:47.773]  Oh, and then the little sub-headline was, persons could make transactions anonymously.
[00:39:47.773 --> 00:39:50.215]  There's no such thing as an anonymous transaction over the internet.
[00:39:50.215 --> 00:39:51.417]  That's just rubbish.
[00:39:51.417 --> 00:39:56.442]  So to me it's like, okay, there's your one world currency in the making.
[00:39:56.442 --> 00:39:58.404]  Particularly if JP Morgan's behind it, because...
[00:39:59.730 --> 00:40:05.355]  They're behind everything that has anything to do with money and have been since there was a JPMorgan.
[00:40:05.355 --> 00:40:11.820]  Well, I'm on record saying that this is the type of thing that I think JPMorgan or Goldman Sachs is behind.
[00:40:11.820 --> 00:40:15.944]  And I'm not saying that unequivocally, but I've always not followed my gut.
[00:40:16.704 --> 00:40:18.987]  Even though it's always been right, now I follow my gut.
[00:40:18.987 --> 00:40:19.267]  Yes.
[00:40:19.267 --> 00:40:24.473]  And my life just gets better and better and better by the millisecond because the gut's running things now.
[00:40:24.473 --> 00:40:29.198]  The brain already knows what's going on, and intellectually, I see a lot of stuff that's wrong with it.
[00:40:29.198 --> 00:40:30.459]  And here's my issue.
[00:40:30.459 --> 00:40:32.821]  They keep saying in the last five years, we need a new bubble.
[00:40:33.786 --> 00:40:40.389]  They said we're going to come out with a new digital global currency, but we need to call it something other than SDRs, Strategic Drawing Rights.
[00:40:40.389 --> 00:40:44.190]  They said they want $100 trillion in new liquidity from taxpayers.
[00:40:44.190 --> 00:40:47.812]  So they run it out there like it's this new crypto thing against them.
[00:40:47.812 --> 00:40:55.155]  A bunch of people jump on it like the tulip bubble, you know where tulips were going for the equivalent of a million dollars and then a month later were worth nothing in Europe.
[00:40:55.155 --> 00:40:56.995]  People can look up that as a case.
[00:40:56.995 --> 00:40:58.136]  It has all the signs.
[00:40:59.076 --> 00:41:01.898]  I don't want the bad mojo, the bad karma, reap what you sow.
[00:41:01.898 --> 00:41:05.380]  If my gut tells me there's something wrong with it, forgive me, I'm just saying danger Will Robinson.
[00:41:16.708 --> 00:41:19.929]  You know, we have something approaching from the east, very large, very dangerous.
[00:41:19.929 --> 00:41:24.011]  And I totally concur with what your gut is telling you.
[00:41:24.011 --> 00:41:35.574]  And now it's, oh, they had a patent 14 years ago of something, and this comes out of Austria, and no one will say where it is, and it's been pumped in the Liberty Movement.
[00:41:35.574 --> 00:41:38.375]  They may even destroy this and roll something else out and then blame us.
[00:41:38.375 --> 00:41:40.536]  I'm not getting blamed when it all goes belly up.
[00:41:41.451 --> 00:41:47.813]  The thing is, is that the most fundamental concept of capitalism is one that I believe most people don't understand.
[00:41:47.813 --> 00:41:49.954]  And that is, these contractions have to occur.
[00:41:49.954 --> 00:42:00.177]  If you just read the back of any credit card statement, any institution's specifics and the details of what your loan is going to cost you, you see that.
[00:42:00.177 --> 00:42:04.158]  I mean, back in the 80s even, I thought, you know, we've got M1 and M2.
[00:42:04.158 --> 00:42:07.519]  M1 is the cash and the checking accounts and savings accounts.
[00:42:07.519 --> 00:42:09.020]  M2 is basically paper money.
[00:42:10.080 --> 00:42:15.783]  Well, if a day came when all of that debt came due, there's not enough money in the entire system to pay it all.
[00:42:15.783 --> 00:42:20.985]  So what happens is, we see these bubbles, you see expand, expand, expand, and then there's a contraction.
[00:42:20.985 --> 00:42:28.468]  There's only one of two ways to manage your monetary system, and that is to collapse it every once in a while and throw a few players out.
[00:42:28.468 --> 00:42:33.210]  They bankrupt them, they foreclose on them, they resell, and then the expansion starts again.
[00:42:33.210 --> 00:42:38.773]  So, now that this globalistic economy has come into play,
[00:42:40.922 --> 00:42:53.448]  Well, the danger factor goes even higher because now instead of just various markets and maybe even one country having a capitalistic contraction, now there's a possibility the entire world could have a capitalistic contraction.
[00:42:53.448 --> 00:43:00.072]  And to salvage it, lots and lots of players will have to be thrown out, lots of foreclosures, lots of properties seized.
[00:43:01.313 --> 00:43:08.037]  And the globalists have used fractional reserve banking and the boom-bust cycle to gain dominant control.
[00:43:08.037 --> 00:43:23.226]  Now they openly say they're going to have one giant meltdown, poses the saviors during it, make us accept a new digital global currency that we pay carbon taxes to the back, that then surveils all human activity through the panoptagon NSA grid that's actually global.
[00:43:24.187 --> 00:43:29.952]  And then they can selectively shut down all their competition with selective enforcement.
[00:43:29.952 --> 00:43:32.274]  That is a high-tech total tyranny.
[00:43:32.274 --> 00:43:37.759]  And that, John B. Wells, as you've accurately broken it down, is the New World Order capstone, the master plan.
[00:43:37.759 --> 00:43:45.786]  And how do we get the general public, they're smart enough to watch SportsCenter and to know everything about the NFL.
[00:43:45.786 --> 00:43:47.928]  They've got to learn about the world.
[00:43:48.709 --> 00:43:52.311]  People aren't successful because you don't know how the world really works.
[00:43:52.311 --> 00:43:55.572]  You know about your sitcom people and your football people.
[00:43:55.572 --> 00:43:57.513]  You know, the male soap operas.
[00:43:57.513 --> 00:43:59.454]  And I get football folks, I like it too.
[00:43:59.454 --> 00:44:02.295]  The point is, is that I'm not that smart and I figured this out.
[00:44:02.295 --> 00:44:04.076]  John's a smart guy, he figured it out.
[00:44:04.076 --> 00:44:05.697]  And it's all coming towards...
[00:44:06.932 --> 00:44:09.594]  A very bad design contraction.
[00:44:09.594 --> 00:44:10.815]  So what do we do about it?
[00:44:10.815 --> 00:44:21.665]  Well, I don't really know what we do about it because the other component is one that we've discussed before and that is taking some of the players out may equate to literally taking some of the players out.
[00:44:21.665 --> 00:44:23.787]  In other words, big conflagration.
[00:44:23.787 --> 00:44:24.547]  I was reading about the
[00:44:26.345 --> 00:44:52.128]  You know, if there is a huge solar, what do you call it, coronal mass ejection and so forth that took down the grid, I mean, I believe it was on InfoWars, that the potential to eliminate nine out of ten people because of civil unrest and this and that and the other because your grid goes down, that's... Yeah, the Pentagon says that, and now they know on average every hundred years or so we get hit by one big enough
[00:44:52.988 --> 00:44:57.615]  That when it hit last time, it blew out most of the electricity in large areas of the world.
[00:44:57.615 --> 00:44:59.999]  Imagine if that hits now.
[00:44:59.999 --> 00:45:04.065]  Well, the population is high, strong enough as it is.
[00:45:04.065 --> 00:45:05.667]  I mean, they're as tight as a bowstring as it is.
[00:45:08.924 --> 00:45:10.706]  Waiting for something bad to happen.
[00:45:10.706 --> 00:45:13.289]  Oh, it's not just somebody, it's this entire group.
[00:45:13.289 --> 00:45:14.890]  Well, which group?
[00:45:14.890 --> 00:45:16.151]  I mean, is it the poor group?
[00:45:16.151 --> 00:45:17.373]  Is it the patriot group?
[00:45:17.373 --> 00:45:18.794]  Is it the conservative group?
[00:45:18.794 --> 00:45:19.735]  Is it the liberal group?
[00:45:19.735 --> 00:45:21.437]  Who's waiting for something to happen?
[00:45:21.437 --> 00:45:22.978]  Everybody's waiting for something to happen.
[00:45:24.415 --> 00:45:25.836]  You ask what can people do about it?
[00:45:25.836 --> 00:45:40.047]  The thing is is train yourself to look in the opposite direction from where the noise is coming and I think we're gonna be I think we're a few months off from from determining how we're gonna survive let alone succeed maybe the success will come later but
[00:45:41.608 --> 00:45:45.470]  I think we're looking at a scenario within the next six to eight months that could be quite dramatic.
[00:45:45.470 --> 00:45:58.354]  I mean, all these antics from the executive office, this routine circumvention of the Constitution, this unbelievable militarization of the police departments, and these people are just running around shooting like ever before.
[00:45:58.354 --> 00:46:08.518]  Now, people can say, well, you've got the internet now, so they can make a case for saying, no, that's just stuff that happened all the time, always has happened, and you're just hearing about it now because communications methods have improved.
[00:46:08.518 --> 00:46:09.659]  It's like, not really.
[00:46:11.060 --> 00:46:19.084]  There is a greater frequency of cops shooting people that should not have been shot.
[00:46:19.084 --> 00:46:23.147]  I mean, this guy that shot this kid with the BB gun is back on duty.
[00:46:23.147 --> 00:46:28.310]  Now, the one that shot at the car in New Mexico, he gets fired.
[00:46:28.310 --> 00:46:31.492]  But the one who killed the kid is back on duty.
[00:46:31.492 --> 00:46:35.474]  Well, we all see the videos where a lab jumps out of the car because the cop opens it.
[00:46:35.474 --> 00:46:36.715]  The tail's wagging.
[00:46:36.715 --> 00:46:38.296]  Anybody knows a dog that's friendly.
[00:46:39.649 --> 00:46:41.891]  And then the cop just shoots it.
[00:46:41.891 --> 00:46:43.592]  I mean, what is this?
[00:46:43.592 --> 00:46:44.552]  Why is this happening?
[00:46:44.552 --> 00:46:52.838]  Why are the policemen that we trusted, when they showed up, it was like, oh good, relief, help is here, they'll help us.
[00:46:52.838 --> 00:46:57.601]  I mean, to me, it's almost as though every confrontation with the police officer is potentially life-threatening now.
[00:46:58.479 --> 00:47:03.985]  Well, that's because they've been trained to be warriors, and if a Marine doesn't act first, he'll be dead Marine.
[00:47:03.985 --> 00:47:09.451]  That's what this guy that shot the 13-year-old with the airsoft gun said in SWAT Magazine.
[00:47:09.451 --> 00:47:12.935]  He said, you've got to act even if you don't know what you're doing.
[00:47:12.935 --> 00:47:14.016]  Just some action is good.
[00:47:14.016 --> 00:47:15.117]  Well, that's not true.
[00:47:15.117 --> 00:47:16.458]  Well, that's not public service either.
[00:47:17.539 --> 00:47:20.440]  But I mean, he's not fighting the Taliban.
[00:47:20.440 --> 00:47:21.000]  No.
[00:47:21.000 --> 00:47:25.542]  It's not like he was in Afghanistan and the guy had something that looked like a rifle and turned around and he shot him.
[00:47:25.542 --> 00:47:27.563]  You'd be like, yeah, it's a war zone.
[00:47:27.563 --> 00:47:34.265]  It's a rural area of Northern California with a kid with a plastic pellet gun.
[00:47:35.587 --> 00:47:36.948]  It's just beyond anything I've ever seen.
[00:47:36.948 --> 00:47:41.690]  I don't understand why you can't pull your pistol out and march up going, put your hands in plain sight or I'm going to start shooting.
[00:47:41.690 --> 00:47:43.271]  I'm warning you, don't do anything else.
[00:47:43.271 --> 00:47:48.834]  And then if somebody makes a threatening move, it's like, well, there's always a kneecap or a leg or an arm or shoulder or something.
[00:47:48.834 --> 00:47:51.095]  You don't have to dump your whole magazine in the person.
[00:47:51.095 --> 00:47:51.835]  But I think they do that.
[00:47:51.835 --> 00:47:54.777]  Well, they train them in instinctive shooting to kill them immediately.
[00:47:54.777 --> 00:47:58.538]  That's why we had a case in Austin where a guy with no criminal record got pulled over.
[00:47:58.538 --> 00:48:01.340]  Officer said, you know, get out of the car from his little loudspeaker or whatever.
[00:48:02.000 --> 00:48:07.862]  And the guy gets out with his wallet in his hand and the cop just instantly, like he was a gunslinger, starts firing at him.
[00:48:09.354 --> 00:48:09.634]  Yes.
[00:48:09.634 --> 00:48:16.277]  Listen, I had an Austin cop pull me over for speeding about 10 miles an hour in Northwest Hills when I was a senior in high school.
[00:48:16.277 --> 00:48:18.438]  My mom said, go get me frozen yogurt.
[00:48:18.438 --> 00:48:19.618]  And I said, OK.
[00:48:19.618 --> 00:48:24.140]  Because, you know, them helping me get a car meant that I would do errands for him constantly.
[00:48:24.140 --> 00:48:24.380]  Right.
[00:48:24.380 --> 00:48:25.080]  Which I like doing.
[00:48:25.080 --> 00:48:25.801]  So I go up and get a thing.
[00:48:25.801 --> 00:48:27.982]  And my weight belt's sitting in the front of the seat.
[00:48:27.982 --> 00:48:28.682]  Green Mustang.
[00:48:28.682 --> 00:48:31.483]  Cop pulls me over right by my house, like 300 yards away.
[00:48:31.483 --> 00:48:32.543]  He walks up, hey, how you doing?
[00:48:32.543 --> 00:48:33.164]  License and registration?
[00:48:33.164 --> 00:48:33.664]  You know your speed?
[00:48:34.318 --> 00:48:36.299]  All of a sudden, hands on the wheel!
[00:48:36.299 --> 00:48:37.900]  He had the gun to my head!
[00:48:37.900 --> 00:48:40.241]  He was like, get out, get out!
[00:48:40.241 --> 00:48:42.122]  He was like, oh, never mind.
[00:48:42.122 --> 00:48:46.244]  And luckily, nowadays, they'd beat me up or something because they were wrong and proved they were.
[00:48:46.244 --> 00:48:47.945]  He goes, oh, it's a white belt.
[00:48:47.945 --> 00:48:51.666]  Oh, OK, well, I thought it was a knife scabbard or a gun.
[00:48:51.666 --> 00:48:52.547]  And I was just like, OK.
[00:48:52.547 --> 00:48:53.887]  And he let me go.
[00:48:53.887 --> 00:48:58.510]  But I mean, the thing was, I was more calm with him with a gun to my head, screaming.
[00:48:58.510 --> 00:49:02.572]  He was, and he's holding the gun.
[00:49:02.572 --> 00:49:02.772]  Yeah.
[00:49:03.976 --> 00:49:11.121]  I mean, obviously, a guy pulls up, I'm like, hey, yeah, I saw, you know, boom, gun, you know, like, I mean, what is that?
[00:49:11.121 --> 00:49:12.422]  Psychosis.
[00:49:12.422 --> 00:49:13.763]  That's what it is.
[00:49:13.763 --> 00:49:16.466]  Well, if they're so afraid, they shouldn't be a cop.
[00:49:16.466 --> 00:49:18.547]  That's correct.
[00:49:18.547 --> 00:49:20.328]  Absolutely correct.
[00:49:20.328 --> 00:49:20.609]  I mean,
[00:49:21.727 --> 00:49:25.229]  DPS officers, Texas State Police, they typically don't act that way.
[00:49:25.229 --> 00:49:26.390]  Now, I'm not saying they're angels.
[00:49:26.390 --> 00:49:26.910]  They're not.
[00:49:26.910 --> 00:49:28.011]  You don't mess with the DPS.
[00:49:28.011 --> 00:49:28.911]  These are serious cats.
[00:49:28.911 --> 00:49:29.792]  They really are.
[00:49:29.792 --> 00:49:31.773]  But they've got a calm demeanor about them.
[00:49:31.773 --> 00:49:45.200]  And now, as what happened in Fort Worth, Texas some years ago, the DPS says, stop what you're doing, and you speed off, and he's on your truck, and he goes, stop the vehicle, and the guy doesn't do it, so he goes, boom.
[00:49:46.321 --> 00:49:47.142]  Well, that's different.
[00:49:47.142 --> 00:49:48.423]  That's asking for it, you know.
[00:49:48.423 --> 00:49:53.407]  A Texas State Policeman that's clinging to your vehicle is telling you to stop the vehicle.
[00:49:53.407 --> 00:49:54.348]  Well, that's life-threatening.
[00:49:54.348 --> 00:49:55.309]  That's different.
[00:49:55.309 --> 00:49:58.512]  But just to flip out because of a weight belt in the seat, it's like, what's wrong with you?
[00:49:58.512 --> 00:50:07.659]  And I think a lot of these guys are probably ex-military, and when they come back from being in the stuff over there, what are they going to do?
[00:50:07.659 --> 00:50:09.201]  How can they apply those skills?
[00:50:09.201 --> 00:50:10.482]  And they're already jacked up.
[00:50:12.216 --> 00:50:18.405]  Well I would be completely exhausted every day if I just ran around with my eyes bugged out thinking everybody was out to get me.
[00:50:18.405 --> 00:50:24.233]  I did some competitive shooting and it was more than half of them were cops involved and I got out of it because they were so whacked out.
[00:50:24.233 --> 00:50:26.536]  And literally just acting like Rambo.
[00:50:26.536 --> 00:50:26.697]  Yeah.
[00:50:28.020 --> 00:50:32.124]  And just thinking people are hiding under the, you know... Well, you know, a lot of people drink.
[00:50:32.124 --> 00:50:35.606]  A lot of people take Prozac-based antidepressants.
[00:50:35.606 --> 00:50:49.057]  A lot of these police are under... I think part of the problem is that the society is so big now, I mean, literally in numbers, physical numbers, that they are exposed to so much ugliness that it affects you.
[00:50:49.057 --> 00:50:50.658]  You can't see somebody... Oh, I agree!
[00:50:50.658 --> 00:50:53.940]  Just reading the news every day, I've become pretty crazy.
[00:50:53.940 --> 00:50:56.823]  Yeah, it's enough to make you walk on the side of your head... We'll be right back, John.
[00:50:56.823 --> 00:50:57.203]  Amazing.
[00:50:57.563 --> 00:50:58.603]  The facts are in.
[00:50:58.603 --> 00:51:00.004]  The studies are legion.
[00:51:00.004 --> 00:51:07.526]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:51:07.526 --> 00:51:11.348]  So why are the social engineers adding it to the water?
[00:51:11.348 --> 00:51:11.908]  Simple.
[00:51:11.908 --> 00:51:16.629]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:51:16.629 --> 00:51:22.371]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:51:22.371 --> 00:51:24.172]  I am extremely excited to announce
[00:51:24.332 --> 00:51:27.894]  The exclusive InfoWars Lite Fluoride Shield Formulation.
[00:51:27.894 --> 00:51:38.682]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:51:38.682 --> 00:51:40.523]  Let's take a stand against the globalists.
[00:51:40.683 --> 00:51:43.264]  By blocking their poisons with Fluoride Shield.
[00:51:43.264 --> 00:51:45.425]  I use Fluoride Shield every day.
[00:51:45.425 --> 00:51:50.967]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:51:50.967 --> 00:51:55.388]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:51:55.388 --> 00:51:56.649]  That's InfoWarsLife.com.
[00:51:58.786 --> 00:52:00.388]  Time and time again.
[00:52:00.388 --> 00:52:03.311]  You need to come here and help us.
[00:52:03.311 --> 00:52:04.772]  We need assistance.
[00:52:04.772 --> 00:52:05.593]  Please!
[00:52:05.593 --> 00:52:08.876]  Those we should be able to depend on let us down.
[00:52:08.876 --> 00:52:12.860]  Federal and state and local officials saying help is on the way.
[00:52:12.860 --> 00:52:15.563]  While the folks here in Bell Harbor say show me.
[00:52:15.563 --> 00:52:18.085]  Don't depend on the government to save you.
[00:52:18.085 --> 00:52:21.689]  Take action now so that you're prepared for the next disaster.
[00:52:21.949 --> 00:52:25.450]  We are hurting down here and we need help.
[00:52:44.356 --> 00:52:45.237]  Immediately!
[00:52:45.237 --> 00:52:50.020]  Before it's time to survive, it's time to prepare.
[00:52:50.020 --> 00:52:54.423]  MyPatriotSupply.com MyPatriotSupply.com
[00:52:57.131 --> 00:52:59.832]  Silver has always been nature's very own antibiotic.
[00:52:59.832 --> 00:53:04.135]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:53:04.135 --> 00:53:05.535]  Silverlungs.com.
[00:53:05.535 --> 00:53:08.217]  You'll find no wild claims or pseudoscience.
[00:53:08.217 --> 00:53:11.218]  Just a lifetime of nano-sized pure silver solutions.
[00:53:11.218 --> 00:53:13.559]  The Silver Lungs Generator allows you to make your own.
[00:53:13.559 --> 00:53:15.460]  So stop paying for silver solutions.
[00:53:15.460 --> 00:53:21.063]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:53:21.063 --> 00:53:23.404]  See the Silver Lungs Generator and Lung Delivery System
[00:53:26.806 --> 00:53:32.250]  When the day comes where the world changes forever, you can be ready at a moment's notice.
[00:53:32.250 --> 00:53:39.355]  With Survivalist Camps, the ultimate fully functional off-the-grid survival bug-out house that's completely mobile and ready to go.
[00:53:39.355 --> 00:53:44.059]  All the comforts of an RV, but custom-built to outlast any other trailer.
[00:53:44.059 --> 00:53:46.741]  Learn more at survivalistcamps.com.
[00:53:46.741 --> 00:53:49.843]  Due to overwhelming response, limited inventory is available.
[00:53:50.143 --> 00:53:52.684]  Be ready with SurvivalistCamps.com.
[00:53:52.684 --> 00:53:53.564]  Survivalist Camps.
[00:53:53.564 --> 00:54:01.265]  Providing your basic needs to survive.
[00:54:01.265 --> 00:54:09.427]  They don't want to see us tonight.
[00:54:09.427 --> 00:54:12.148]  All they want us to do is
[00:54:15.702 --> 00:54:20.105]  CaravanToMidnight.com is the excellent website of John B. Wells.
[00:54:20.105 --> 00:54:27.851]  You can hear him Saturday nights on Coast to Coast AM on over, what is it, 600 stations or something around the country.
[00:54:27.851 --> 00:54:29.793]  And many stations that we're also carried by.
[00:54:32.003 --> 00:54:33.124]  And he's here in studio with us.
[00:54:33.124 --> 00:54:34.766]  We're going to open the phones up in the next hour.
[00:54:34.766 --> 00:54:36.668]  We're going to get into the state of the media.
[00:54:36.668 --> 00:54:39.351]  He was asking during the break, how long will they let us continue to do this?
[00:54:39.351 --> 00:54:40.652]  That's the big question.
[00:54:40.652 --> 00:54:41.593]  We're going to talk about that.
[00:54:41.593 --> 00:54:50.302]  We're going to get into Obama and his executive power grabs, the Middle East, the government funding Al Qaeda, all of this and a bunch of news I haven't covered yet.
[00:54:50.302 --> 00:54:50.702]  Briefly,
[00:54:51.463 --> 00:54:52.204]  It is Christmas.
[00:54:52.204 --> 00:54:54.126]  It's the holiday season.
[00:54:54.126 --> 00:55:00.034]  Your purchases at Infowarsstore.com or the great products only helps fund our operation here.
[00:55:00.034 --> 00:55:01.656]  I mean, we couldn't do it without you.
[00:55:01.656 --> 00:55:05.941]  And then it also helps you have great health, great products for you and your family.
[00:55:05.941 --> 00:55:08.284]  The nascent iodine, the proprietary blend,
[00:55:09.085 --> 00:55:13.608]  It's just done so much for my body, my skin, my thyroid, my brain.
[00:55:13.608 --> 00:55:14.469]  It's just amazing.
[00:55:14.469 --> 00:55:16.770]  It's available at Infowarslife.com.
[00:55:16.770 --> 00:55:24.315]  Our new Arabica Chiapas High Mountain Grown Beyond Fair Trade, right from the co-ops.
[00:55:24.315 --> 00:55:25.856]  Coffee is just the best out there.
[00:55:25.856 --> 00:55:27.197]  It's my favorite coffee.
[00:55:27.197 --> 00:55:28.918]  You may differ, but get a bag.
[00:55:28.918 --> 00:55:30.079]  It's fairly priced.
[00:55:30.079 --> 00:55:34.903]  We've got several blends there and also one with reishi mushrooms for your immune system and more.
[00:55:37.544 --> 00:55:52.152]  And finally, it's really important to give the gift of the nascent iodine or the fluoride shield or the super male vitality because everybody that ends up taking this goes, man Alex, you're not joking, this is really great coffee.
[00:55:52.152 --> 00:55:55.234]  Let's face it, it's a supplement.
[00:55:55.234 --> 00:55:59.857]  Or, hey Alex, you're not playing games about this nascent iodine, this is so different.
[00:55:59.857 --> 00:56:02.738]  Look, I discover incredible things, I bring them to you.
[00:56:02.738 --> 00:56:03.599]  And we just launched
[00:56:04.355 --> 00:56:08.718]  TheMadeIn1776.com.
[00:56:08.718 --> 00:56:14.881]  Brass belt buckles with George Washington and Down With Tyranny and the new Made in America apparel line.
[00:56:14.881 --> 00:56:18.063]  That's how we're funding the building of our media operations.
[00:56:18.063 --> 00:56:23.406]  That's also available at InfowarsStore.com or MadeIn1776.com.
[00:56:23.406 --> 00:56:27.288]  We have Made in America flags that are high quality, not made in China by slaves.
[00:56:27.288 --> 00:56:30.830]  So a lot of unprecedented stuff up there on the site.
[00:56:30.830 --> 00:56:32.531]  John, this is a quick segment obviously.
[00:56:33.672 --> 00:56:40.495]  I want to get into the subjects you raised, but you were talking about wanting to get into Mandela a little bit.
[00:56:40.495 --> 00:56:50.721]  What's your take on Nelson Mandela and that collection of communist and socialist leaders and dictators meeting and nobody in our media pointing it out, really?
[00:56:50.721 --> 00:56:54.563]  Well, this mainstream media of ours, we know it's bought and paid for.
[00:56:54.563 --> 00:56:56.143]  We know that it is.
[00:56:56.143 --> 00:57:01.546]  Gals like Amber Lyon, who said we were paid to run some stories, we were paid not to run some stories.
[00:57:01.546 --> 00:57:03.287]  That pretty much says it all, and they're all doing it.
[00:57:03.627 --> 00:57:08.131]  400,000 to not run a story by the government of Qatar.
[00:57:08.131 --> 00:57:10.272]  That's right.
[00:57:10.272 --> 00:57:13.134]  And what happened to the story about Iceland in 08?
[00:57:13.134 --> 00:57:14.535]  This goes back to May of 2012.
[00:57:14.535 --> 00:57:16.497]  Not 08.
[00:57:16.497 --> 00:57:18.719]  May of 2012, they threw out their whole government.
[00:57:18.719 --> 00:57:22.682]  They rewrote the constitution to preclude any corporate fraud.
[00:57:22.682 --> 00:57:24.223]  They're refunding to every household.
[00:57:24.223 --> 00:57:25.804]  There's only 320,000 people.
[00:57:25.804 --> 00:57:26.665]  Okay, I understand that.
[00:57:26.665 --> 00:57:28.466]  But that's a small GDP too.
[00:57:28.726 --> 00:57:31.970]  They signed them on to hundreds of billions that wasn't their debt.
[00:57:31.970 --> 00:57:32.551]  That's right.
[00:57:32.551 --> 00:57:34.414]  And they just said no.
[00:57:34.414 --> 00:57:35.195]  And they stopped it.
[00:57:35.195 --> 00:57:37.458]  And CNN's like, oh, well, we're following the story.
[00:57:37.458 --> 00:57:39.480]  It's like, well, why don't you follow a little bit closer?
[00:57:39.480 --> 00:57:41.723]  Because it's over a year old.
[00:57:41.723 --> 00:57:43.466]  Now, what would happen if in this country,
[00:57:44.717 --> 00:57:46.299]  That went out over mainstream media.
[00:57:46.299 --> 00:57:48.240]  That's like, these people threw out their government.
[00:57:48.240 --> 00:57:48.841]  Threw them out.
[00:57:48.841 --> 00:57:50.462]  They arrested the banksters.
[00:57:50.462 --> 00:57:52.003]  They seized their assets.
[00:57:52.003 --> 00:57:53.144]  They jailed them.
[00:57:53.144 --> 00:57:53.865]  And that's how it is.
[00:57:53.865 --> 00:57:56.747]  They rewrote the Constitution so that this cannot happen again.
[00:57:56.747 --> 00:57:59.250]  We wouldn't want any Americans getting those sorts of ideas, now would we?
[00:57:59.870 --> 00:58:00.370]  They're right.
[00:58:00.370 --> 00:58:01.891]  Iceland is the model.
[00:58:01.891 --> 00:58:07.832]  And just like in Greece and everywhere else, it turned out over 90% of the debt they've been signed on to was actually British bank debt.
[00:58:07.832 --> 00:58:09.093]  No connection to them.
[00:58:09.093 --> 00:58:14.374]  Remember, the British government was trying to arrest people for terrorism or not letting them leave Iceland or use British airways.
[00:58:14.374 --> 00:58:15.274]  Then it turned around.
[00:58:15.274 --> 00:58:16.895]  It was all a fraud.
[00:58:16.895 --> 00:58:17.555]  Yeah.
[00:58:17.555 --> 00:58:20.296]  And you said it was a short segment, so we'll get to Mandela later.
[00:58:21.878 --> 00:58:25.641]  Everything we're being presented with is a borderline fraud.
[00:58:25.641 --> 00:58:31.044]  I mean, they just want us to toe the line, go forward, be good little boys and girls, and don't ask questions.
[00:58:31.044 --> 00:58:33.145]  In other words, they don't care what you know.
[00:58:33.145 --> 00:58:35.907]  All they care about is how much you care.
[00:58:35.907 --> 00:58:37.968]  That's right.
[00:58:37.968 --> 00:58:41.250]  Thank you for listening to GCN.
[00:58:41.250 --> 00:58:43.412]  Visit GCNlive.com today.
[00:58:47.312 --> 00:58:57.999]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
