[00:00:00.089 --> 00:00:07.235]  I'm here.
[00:52:21.207 --> 00:52:21.988]  We all are.
[00:52:22.228 --> 00:52:24.550]  Food shortages drive prices up for everyone.
[00:52:24.850 --> 00:52:33.134]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[00:52:33.335 --> 00:52:34.555]  Be prepared before you need it.
[00:52:34.715 --> 00:52:37.897]  With nutrient-dense food you can store for up to 25 years.
[00:52:38.177 --> 00:52:40.418]  You can hope for the best, but hope won't feed you.
[00:52:40.538 --> 00:52:44.941]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[00:52:45.081 --> 00:52:50.924]  Call 800-409-5633 or visit them on the web at eFoodsDirect.com forward slash Alex.
[00:52:51.184 --> 00:52:52.608]  And check out their spring specials.
[00:52:52.828 --> 00:52:59.083]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[00:52:59.323 --> 00:53:01.167]  You can bet your life on eFoodsDirect.
[00:53:02.006 --> 00:53:04.868]  Is this the year you finally get serious about your family's drinking water?
[00:53:05.189 --> 00:53:08.471]  If so, keep listening for a special offer from Big Berkey Water Filters.
[00:53:08.551 --> 00:53:11.394]  Did you know that over 60% of municipal water is fluoridated?
[00:53:11.534 --> 00:53:22.362]  Berkey Water Filters distinguish themselves from many other filtration systems with the capability to significantly reduce dangerous chlorine, fluoride, arsenic, and disinfection byproducts from municipal water via the Black Berkey and PF line of filters.
[00:53:22.462 --> 00:53:23.523]  Then there's affordability.
[00:53:23.603 --> 00:53:28.187]  At only 1.7 cents per gallon, Berkey Water Filters purify treated and untreated water.
[00:53:28.387 --> 00:53:29.627]  Even stagnant pond water.
[00:53:29.768 --> 00:53:35.610]  Stop and think how much money you could save by simply reducing buying bottled water and using water filtered by your Berkey water filter.
[00:53:35.770 --> 00:53:38.551]  No need to be constantly replacing expensive filters with a Berkey.
[00:53:38.651 --> 00:53:41.032]  A single set of filters can last for 5 to 10 years.
[00:53:41.112 --> 00:53:44.513]  Choose the best size Berkey for your needs at BigBerkeyWaterFilters.com.
[00:53:44.653 --> 00:53:48.455]  And right now, all GCN listeners get 5% off all ceramic filter systems.
[00:53:48.535 --> 00:53:49.175]  Just call 1-877-99-BERKEY.
[00:53:49.195 --> 00:53:49.836]  That's 877-99-BERKEY.
[00:53:49.856 --> 00:53:51.456]  Or visit BigBerkeyWaterFilters.com.
[00:53:56.138 --> 00:53:58.059]  Free shipping on every order over $50.
[00:53:58.159 --> 00:54:00.741]  Big Berkey Water Filters, for the love of clean water.
[00:54:00.761 --> 00:54:14.128]  All right, folks.
[00:54:14.168 --> 00:54:15.629]  Yes, Dr. Petchenik is in.
[00:54:17.333 --> 00:54:18.053]  South Korea.
[00:54:18.814 --> 00:54:20.294]  And that's why he couldn't hear me sometimes.
[00:54:20.334 --> 00:54:23.215]  The line sounds pretty good, but sometimes it's only one way.
[00:54:23.235 --> 00:54:24.855]  Kind of like cell phones do that sometimes.
[00:54:25.916 --> 00:54:27.396]  He's telling me a lot during the breaks.
[00:54:27.496 --> 00:54:30.317]  Bottom line, he's saying his access is being denied, he's being blocked.
[00:54:31.037 --> 00:54:33.478]  He's got folks creeping around, but he doesn't want to make a big deal out of that.
[00:54:34.198 --> 00:54:38.779]  But he has had a chance to talk to a lot of the military, and they said that there basically is no mission.
[00:54:38.799 --> 00:54:40.900]  I mean, the mission is look like they're doing something.
[00:54:42.313 --> 00:54:44.454]  But they, it's all for show.
[00:54:44.934 --> 00:54:50.576]  Just like North Korea pretty much is all for show, but if it gets too escalated, North Korea has attacked before.
[00:54:51.396 --> 00:55:02.500]  And so, you know, the big thing is, he believes, don't stir it all up, so the West has an excuse to dominate that area of Asia, and that things might end up good down the road.
[00:55:03.060 --> 00:55:04.721]  Is that an accurate statement?
[00:55:04.741 --> 00:55:05.741]  In closing, Dr. Pachinik?
[00:55:06.326 --> 00:55:09.389]  Yeah, the basic two points that everybody has to look at.
[00:55:09.589 --> 00:55:12.892]  April 15th is the anniversary of Kim Il-sung.
[00:55:13.392 --> 00:55:16.335]  April 30th, you may see rockets in celebration.
[00:55:16.415 --> 00:55:19.197]  But let me tell you very simply, we are irrelevant.
[00:55:20.038 --> 00:55:21.499]  North Korea is irrelevant.
[00:55:21.539 --> 00:55:24.261]  The only country that's relevant right here is South Korea.
[00:55:24.361 --> 00:55:27.104]  And quite frankly, they do not need our military help.
[00:55:27.484 --> 00:55:28.565]  It's as simple as that.
[00:55:28.665 --> 00:55:32.488]  And let us get out of every other country and worry about our own country.
[00:55:32.668 --> 00:55:33.449]  That's the summary.
[00:55:33.973 --> 00:55:43.922]  Well, the empire is getting more delusional when the White House press secretary, former secretary, gets up and says, I'm told to lie to everybody, and then the MSNBC host laughs.
[00:55:44.243 --> 00:55:52.490]  What do you make of their move to get our guns and MSNBC hosts saying things like, the state now belongs, your children belong to the state.
[00:55:52.811 --> 00:55:54.652]  That's being run as an hourly promo.
[00:55:55.888 --> 00:55:56.669]  What are they trying to do?
[00:56:15.162 --> 00:56:15.602]  Oh, I am, yeah.
[00:56:41.101 --> 00:56:43.682]  We're born of the gun, not because we want to kill.
[00:56:43.982 --> 00:56:49.664]  We're born of the gun because we have always been mistrustful of George Washington, having said the following.
[00:56:50.064 --> 00:56:51.485]  Do not make a president.
[00:56:51.565 --> 00:56:53.325]  He will eventually become a king.
[00:56:53.725 --> 00:56:56.086]  If he is a king, then we will have to depose him.
[00:56:56.526 --> 00:56:57.647]  That's what we're about.
[00:56:58.007 --> 00:56:59.147]  We're a democracy.
[00:56:59.247 --> 00:57:08.210]  It's time to come home, take care of ourselves, take care of our children, bring back our army that has lost all the wars since the Second World War.
[00:57:08.270 --> 00:57:09.191]  Get rid of the CIA.
[00:57:10.271 --> 00:57:11.232]  Well, that's another point.
[00:57:13.293 --> 00:57:17.075]  If they think the globalists are going to dominate America, they couldn't even hold Baghdad.
[00:57:17.576 --> 00:57:26.261]  Resistance is victory, and all the billions of bullets and all of it is blustered by a criminal group that knows they should all be going to jail for the too big to fail.
[00:57:26.341 --> 00:57:30.103]  And look, Americans buying hundreds of millions of guns a year.
[00:57:30.503 --> 00:57:31.544]  Hundreds of millions, folks.
[00:57:31.884 --> 00:57:36.327]  Americans, the last two years, 70 million background checks to buy guns.
[00:57:36.947 --> 00:57:39.688]  And, you know, half of them out there aren't even through that system.
[00:57:39.968 --> 00:57:41.748]  The people are voting, buying the bullets.
[00:57:42.188 --> 00:57:43.569]  America is actually awake.
[00:57:43.849 --> 00:57:46.329]  It's a psy-op that we're not awake.
[00:57:46.389 --> 00:57:48.590]  It's a psy-op that we've embraced communism.
[00:57:48.870 --> 00:57:50.530]  It's all a load of bull.
[00:57:50.831 --> 00:57:56.512]  And I only hope that we can shift back to the states and 10th Amendment before it goes to a full-bore civil war.
[00:57:58.306 --> 00:58:00.689]  We will get back our power.
[00:58:00.729 --> 00:58:01.270]  Trust me.
[00:58:01.410 --> 00:58:03.652]  I have a full faith in the American public.
[00:58:03.692 --> 00:58:04.894]  That's why I came forth.
[00:58:04.914 --> 00:58:06.936]  I tried to sacrifice my life.
[00:58:06.956 --> 00:58:08.498]  I don't want to make myself a hero.
[00:58:08.518 --> 00:58:09.859]  This is the tenth time.
[00:58:10.360 --> 00:58:14.385]  I did it eight times to the United States government without any remuneration.
[00:58:14.425 --> 00:58:15.546]  But I warned our army.
[00:58:15.566 --> 00:58:17.188]  I warned intelligence.
[00:58:17.288 --> 00:58:18.770]  I warned the White House.
[00:58:19.230 --> 00:58:33.161]  And I warn every other institution, particularly the TSA, Homeland Security, the FBI, and every other element, that if they are to continue their self-destructive behavior, America will retaliate.
[00:58:33.561 --> 00:58:39.266]  They have no idea what the American public is like from the East Coast to the West Coast to the North Coast.
[00:58:39.326 --> 00:58:39.866]  Absolutely.
[00:58:39.906 --> 00:58:40.507]  God bless you.
[00:58:40.627 --> 00:58:41.648]  God, thanks for coming on with us.
[00:58:45.407 --> 00:58:49.384]  This is GCN, the Genesis Communications Radio Network.
[00:58:52.856 --> 00:58:59.838]  A little over a year ago, I began to do a lot of research into why, even though I had a pretty good-sized meal, that I was still starving.
[00:59:00.078 --> 00:59:17.664]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[00:59:17.944 --> 00:59:23.926]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[00:59:24.126 --> 00:59:31.968]  The Young Jevity products are designed to give you the real nutrition you need and once you've got that, you don't have to eat as much to be satisfied.
[00:59:32.288 --> 00:59:33.708]  I've lost 37 pounds in two months.
[00:59:35.809 --> 00:59:38.510]  Simply getting the vitamins and minerals I need.
[00:59:38.590 --> 00:59:39.651]  Check it out for yourself.
[00:59:39.871 --> 00:59:40.611]  It's incredible.
[00:59:40.751 --> 00:59:49.774]  Go to Infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[00:59:49.955 --> 00:59:52.215]  That's Infowarsteam.com.
[00:59:55.797 --> 00:59:57.718]  Waging war on corruption.
[00:59:58.178 --> 01:00:00.959]  Alex Jones on the GCM Radio Network.
[01:00:07.489 --> 01:00:11.693]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:12.334 --> 01:00:13.135]  You want answers?
[01:00:13.916 --> 01:00:14.857]  Well, so does he.
[01:00:15.457 --> 01:00:19.101]  He's Alex Jones on the GCN Radio Network.
[01:00:19.662 --> 01:00:23.766]  And now, live from Austin, Texas, Alex Jones.
[01:00:42.153 --> 01:00:44.194]  Ladies and gentlemen, we are live.
[01:00:45.234 --> 01:00:46.735]  Thank you so much for joining us.
[01:00:46.775 --> 01:00:48.695]  We're now into our number two.
[01:00:49.656 --> 01:00:59.899]  Dan Bongino, the former Secret Service agent, who has spoken out for the Second Amendment eloquently, will be popping in to join us at the bottom of the hour.
[01:00:59.919 --> 01:01:04.861]  You've heard Dr. Pachinick on the last three shows in a row.
[01:01:06.212 --> 01:01:12.477]  And he definitely is a very interesting person with a long history at the highest levels of the, quote, intelligence community.
[01:01:13.798 --> 01:01:22.084]  And the whole government and homeland security system has become like a movie star thing, where they're secret agents and they're cool because they have this title.
[01:01:23.665 --> 01:01:32.632]  And it's all just a bunch of bad liars who are bringing drugs into the country and building a prison state, basically reintroducing slavery to America.
[01:01:34.904 --> 01:01:39.748]  And exporting predatory government everywhere because these people don't know how to produce anything.
[01:01:40.629 --> 01:01:42.490]  They're the opposite of a renaissance.
[01:01:43.711 --> 01:01:45.372]  They are an authoritarian cancer.
[01:01:46.974 --> 01:01:58.063]  And you've got people like Dr. Puccini, you know, who's... You can go look up news articles where they, you know, finger him overthrowing governments and manipulating the communists to kill the Prime Minister of Italy and...
[01:01:58.871 --> 01:02:03.533]  You know, just I mean right there running the Camp David Accords at the start of Delta Force.
[01:02:03.893 --> 01:02:06.794]  I mean, he really is an insider insider and he's here.
[01:02:06.814 --> 01:02:09.555]  I first came on with this like 12 years ago.
[01:02:11.515 --> 01:02:15.617]  Because I saw a blurb where he put out on his website.
[01:02:16.596 --> 01:02:24.721]  That Bin Laden had died a long time ago and he showed even mainstream articles admitting that he was dying of kidney failure a year before CBS News and stuff.
[01:02:25.021 --> 01:02:30.384]  So I called and got him on and that created a storm in the Council on Foreign Relations.
[01:02:30.424 --> 01:02:31.285]  I'll put it to you that way.
[01:02:32.406 --> 01:02:36.688]  And a bunch of stuff happened behind the scenes that I'm not at liberty to discuss.
[01:02:37.889 --> 01:02:41.091]  But you need to understand, ladies and gentlemen, the Pentagon listens to this show.
[01:02:42.685 --> 01:02:43.926]  Okay, I'm not bragging.
[01:02:44.486 --> 01:02:48.849]  You know, for me, I'm just a regular guy, puts his pants on, you know, one leg at a time.
[01:02:48.869 --> 01:03:02.536]  In fact, one of my biggest problems is I don't put on airs and act like I'm on a power trip, which to the general public means everything nowadays, like a peacock or a parrot, you know, displaying its feathers.
[01:03:03.637 --> 01:03:06.579]  We under-promise, over-deliver here.
[01:03:09.153 --> 01:03:10.173]  I mean, we're making history.
[01:03:10.373 --> 01:03:15.575]  And I say that so people know we're like on a trench run through the Death Star.
[01:03:17.175 --> 01:03:18.655]  And this is not a joke.
[01:03:18.835 --> 01:03:21.956]  I mean, I don't know how anybody out there can be bored.
[01:03:22.896 --> 01:03:34.599]  I don't know how anybody can sit there and watch our criminal government give the reactors to make the A-bombs to North Korea 17 years ago, bipartisan.
[01:03:39.485 --> 01:03:41.787]  Here's the deal, the elite are dysfunctional.
[01:03:42.287 --> 01:03:46.150]  They've got a cosmology and a philosophy of eugenics.
[01:03:50.574 --> 01:03:53.736]  But they're not serious people, even in their own ideology.
[01:03:54.437 --> 01:03:55.658]  They're just a bunch of crooks.
[01:03:56.939 --> 01:04:00.942]  I mean, they've just wiki-leaked a whole bunch of documents, millions of pages of it, they're saying.
[01:04:03.104 --> 01:04:07.968]  And it's Stephen Kissinger talking about all the crimes he's committing and
[01:04:09.810 --> 01:04:18.915]  And how, you know, we can do the criminal stuff right away, the illegal stuff right away, that's a quote, but the unconstitutional stuff, we'll have to wait till later.
[01:04:22.116 --> 01:04:30.080]  And that's why they make fun of the Constitution and Bill of Rights all day, because if you follow the Bill of Rights and Constitution, it binds down tyrants.
[01:04:30.661 --> 01:04:36.444]  The only problem is it produces so much freedom and so much wealth that everybody becomes decadent slobs.
[01:04:36.464 --> 01:04:38.585]  And when you're fat, dumb, and happy,
[01:04:42.412 --> 01:04:47.257]  You don't care anymore.
[01:04:47.277 --> 01:04:48.858]  1.7 million diplomatic cables released.
[01:04:50.960 --> 01:04:53.162]  With Eric Kissinger in there.
[01:04:55.064 --> 01:04:57.746]  We'll be right back, ladies and gentlemen, with a ton of news straight ahead.
[01:04:57.766 --> 01:04:58.167]  Stay with us.
[01:05:02.785 --> 01:05:04.426]  Introducing Pro-1.
[01:05:04.686 --> 01:05:08.188]  All of your filtration in one system, portable, on the go.
[01:05:08.328 --> 01:05:12.731]  No more do you have two or three filters to just reduce sodium fluoride.
[01:05:12.871 --> 01:05:18.855]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid.
[01:05:18.975 --> 01:05:29.761]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[01:05:29.961 --> 01:05:32.643]  It is the only one that does it and out of the gates!
[01:05:32.824 --> 01:05:36.267]  We have it discounted at 10% off with promo code WATER.
[01:05:36.467 --> 01:05:51.200]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[01:05:55.202 --> 01:06:05.346]  Alex Jones here with a message to fellow freedom lovers.
[01:06:05.626 --> 01:06:10.449]  The prognosis for the entire planetary economic system runs from bad to worse.
[01:06:10.629 --> 01:06:17.812]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[01:06:17.932 --> 01:06:23.357]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[01:06:23.577 --> 01:06:27.321]  These are items that I did research on, that I personally use.
[01:06:27.601 --> 01:06:32.125]  We've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[01:06:32.325 --> 01:06:37.210]  The KTOR hand crank generator, to charge up key equipment during power outages or out in the
[01:06:37.290 --> 01:06:38.371]  We're getting prepared.
[01:06:38.391 --> 01:06:38.791]  Are you?
[01:07:04.582 --> 01:07:12.267]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:07:12.687 --> 01:07:16.329]  Alex and his staff have used these pure soap products for years.
[01:07:16.770 --> 01:07:23.574]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:07:24.074 --> 01:07:26.896]  See them on the web at 5starsoap.com.
[01:07:27.096 --> 01:07:31.597]  Or call 800-340-7091 for a free catalog.
[01:07:31.937 --> 01:07:37.599]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:07:37.879 --> 01:07:42.980]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:07:43.280 --> 01:07:44.901]  This is an amazing deal.
[01:07:45.261 --> 01:07:49.862]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:07:50.482 --> 01:07:52.663]  See them on the web at 5starsoap.com.
[01:07:53.223 --> 01:07:55.090]  Or call 800-340-7091 for a free catalog.
[01:08:07.591 --> 01:08:11.774]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:08:12.415 --> 01:08:13.235]  You want answers?
[01:08:13.996 --> 01:08:14.916]  Well, so does he.
[01:08:15.537 --> 01:08:19.199]  He's Alex Jones on the GCN Radio Network.
[01:08:19.740 --> 01:08:23.863]  And now, live from Austin, Texas, Alex Jones.
[01:08:24.683 --> 01:08:29.267]  Alright, we're into hour number two, and I still haven't mentioned, obviously, that Margaret Thatcher died.
[01:08:30.930 --> 01:08:33.291]  We've got coverage of that up at InfoWars.com.
[01:08:34.311 --> 01:08:40.473]  We've got several guests joining us, including a Secret Service agent that's spoken out for the Second Amendment.
[01:08:44.094 --> 01:08:47.235]  There's a lot of amazing news out there today.
[01:08:48.175 --> 01:08:49.955]  You know, some of it is just so ridiculous.
[01:08:49.995 --> 01:08:59.078]  You know, it came out in USA Today a few years ago that 73% of Obama's Twitter followers are fake.
[01:09:01.048 --> 01:09:08.472]  And of course, of course they're fake, and now it's come out that Obama doesn't control his own Twitter account.
[01:09:09.092 --> 01:09:10.053]  Well, of course he doesn't.
[01:09:10.093 --> 01:09:12.694]  The guy is a total and complete puppet.
[01:09:14.575 --> 01:09:18.277]  And all of this, you know, why does North Korea love to grandstand and threaten to nuke?
[01:09:19.517 --> 01:09:22.619]  Why does the West love to grandstand and say we're on the edge of World War III?
[01:09:22.859 --> 01:09:26.101]  Because it gives government more power no matter what country you're in.
[01:09:27.011 --> 01:09:32.615]  Why did Homeland Security a month ago say, cut Homeland Security funding and terrorists will attack?
[01:09:34.916 --> 01:09:38.738]  Because they can never reverse their takeover.
[01:09:39.119 --> 01:09:42.361]  They've just got to expand it and expand it and expand it.
[01:09:44.362 --> 01:09:48.084]  They want to wreck society so they can consolidate it.
[01:09:48.725 --> 01:09:53.568]  That's what authoritarian centralized systems always do.
[01:09:55.459 --> 01:09:57.201]  Over and over.
[01:09:58.121 --> 01:10:12.493]  And there's articles out about the Democrats freaking out over Obamacare as their constituents learn that it doubles the price on average, that it doesn't cover pre-existing, and that they're just going to get cut from full-time to part-time.
[01:10:16.717 --> 01:10:20.560]  And as doctors and people quit in mass.
[01:10:23.427 --> 01:10:26.948]  This is what it looks like when you let the ogres take over.
[01:10:27.089 --> 01:10:31.030]  All they know how to do is steal stuff, not build anything, not do anything.
[01:10:31.650 --> 01:10:33.611]  You think the government class is going to work hard?
[01:10:34.532 --> 01:10:37.773]  You think the corporate class that works with government at the top?
[01:10:37.853 --> 01:10:38.073]  No, no.
[01:10:38.313 --> 01:10:39.174]  Why should they work hard?
[01:10:39.754 --> 01:10:46.997]  Why should they innovate if they can just shut down their competition because they control the government?
[01:10:48.658 --> 01:10:51.879]  You become North Korea when you have this type of system.
[01:10:53.851 --> 01:10:55.652]  When you have this type of system in place.
[01:10:58.113 --> 01:11:05.017]  I want to open the phones up for first-time callers here to give me your take on just how insane this world has gotten.
[01:11:05.397 --> 01:11:06.557]  You heard the clip we've played?
[01:11:06.577 --> 01:11:09.839]  MSNBC host, your kids belong to the collective.
[01:11:11.560 --> 01:11:16.523]  MSNBC host, your kids belong to the collective.
[01:11:18.283 --> 01:11:21.185]  And they now run promos saying your kids belong to the government.
[01:11:27.708 --> 01:11:33.533]  This is the incredible creepiness of what our society has become.
[01:11:35.275 --> 01:11:42.501]  And not only are we held hostage by Kim Jong Un, who, you know, Japan's freaking out because they can actually be hit by his nukes.
[01:11:42.522 --> 01:11:43.482]  There's no doubt about that.
[01:11:46.125 --> 01:11:46.926]  And just as
[01:11:48.695 --> 01:11:54.056]  Government creates this abomination where this nobody joke is threatening to nuke the U.S.
[01:11:54.116 --> 01:11:54.756]  and Japan.
[01:11:55.436 --> 01:12:05.518]  It's the same thing where these nobody jokes that have gotten in control of government are threatening terror attacks if we don't give them more money and let them stick their hands down our pants as an act of domination.
[01:12:05.878 --> 01:12:08.499]  That's what a crazy, you know, joke all this has become.
[01:12:08.739 --> 01:12:10.259]  I mean, look at this Fox News headline.
[01:12:12.120 --> 01:12:13.900]  Army manual
[01:12:15.515 --> 01:12:18.196]  Evangelicals are religious extremists.
[01:12:18.256 --> 01:12:18.636]  A U.S.
[01:12:18.696 --> 01:12:24.219]  Army training instructor, although it's the manual, this is Southern Poverty Law Center manual, it's what it is.
[01:12:24.239 --> 01:12:34.984]  I've seen it a hundred times, literally, listed evangelical Christians and Catholicism as examples of religious extremism, along with Al-Qaeda, Hamas, during a briefing with the Army Reserve Unit based in Pennsylvania.
[01:12:35.724 --> 01:12:38.545]  Click here for the most important, and then it goes through it.
[01:12:38.986 --> 01:12:44.168]  We find this offensive to have evangelical Christians and Catholic Church to be listed among it, and then it goes on.
[01:12:47.023 --> 01:12:53.007]  Army spokesman George Wright told Fox News that it was an isolated incident, not condoned by the Department of the Army.
[01:12:53.107 --> 01:12:54.087]  Pure bull.
[01:12:56.509 --> 01:12:57.850]  Pure bull.
[01:12:58.430 --> 01:13:00.872]  That is Southern Poverty Law Center.
[01:13:00.952 --> 01:13:05.514]  I even recognize the way they format the text.
[01:13:05.875 --> 01:13:14.060]  If you pull up the MIAC reports, the Homeland Security reports, the FBI reports, there are literally over a hundred modern FBI manuals.
[01:13:15.734 --> 01:13:19.795]  And it's all the same fight officially put out by the Southern Poverty Law Center.
[01:13:19.815 --> 01:13:20.956]  The ADL has a hand in it.
[01:13:21.576 --> 01:13:23.737]  I mean, I instantly see it and know who did it.
[01:13:24.957 --> 01:13:35.261]  These are foreign groups who are here saying, if you're a gun owner, a conservative, a returning veteran, a Christian, period, you're a terrorist.
[01:13:35.641 --> 01:13:37.902]  These people badmouth George Washington.
[01:13:38.862 --> 01:13:39.482]  And you know what?
[01:13:39.963 --> 01:13:41.943]  Folks, if you want to live under this, that's fine.
[01:13:41.963 --> 01:13:43.864]  I mean, I cannot believe
[01:13:45.256 --> 01:13:47.517]  That people go, Alex Jones is radical.
[01:13:47.658 --> 01:13:49.018]  Alex Jones is scary.
[01:13:49.719 --> 01:13:51.220]  Alex Jones is spooky.
[01:13:51.520 --> 01:13:52.981]  That's a Glenn Beck quote.
[01:13:53.401 --> 01:13:54.362]  I'm spooky.
[01:13:55.403 --> 01:13:57.884]  I'm spooky because I recognize what's going on.
[01:13:57.924 --> 01:14:00.626]  I'm freaking out about it, saying, hey, we're in deep trouble.
[01:14:00.986 --> 01:14:03.628]  No, I'm pointing out stuff that is spooky.
[01:14:04.308 --> 01:14:05.589]  I'm not spooky.
[01:14:06.189 --> 01:14:08.211]  I'm talking about things that are spooky.
[01:14:09.131 --> 01:14:10.232]  Real spooky.
[01:14:11.733 --> 01:14:14.575]  I mean, we've got a bunch of people that have studied authoritarianism.
[01:14:17.307 --> 01:14:24.352]  And that are on giant, out-of-control power trips who really want to have a pure authoritarian takeover.
[01:14:24.692 --> 01:14:25.713]  Toll-free number to join us, 800-259-9231.
[01:14:25.733 --> 01:14:25.773]  800-259-9231.
[01:14:25.793 --> 01:14:26.293]  Guys, can you queue up?
[01:14:26.693 --> 01:14:28.295]  Joe Biden calling for a New World Order.
[01:14:37.284 --> 01:14:47.089]  And then I saw headlines in Gawker and a bunch of other places saying, oh, Christmas has come early, the conspiracy tards are gonna have fun with this because it doesn't exist.
[01:14:47.349 --> 01:14:54.553]  They had a public policy poll, that's Democratic Party group, out last week saying, do you believe in the imaginary New World Order?
[01:14:56.214 --> 01:15:04.638]  And they're like, shocking, one third believe in the imaginary New World Order.
[01:15:05.828 --> 01:15:07.029]  New world order.
[01:15:07.609 --> 01:15:11.792]  I mean, it's like saying, you know, a third believe in the imaginary Atlantic Ocean.
[01:15:11.812 --> 01:15:14.674]  I mean, it's just frustrating.
[01:15:14.694 --> 01:15:18.917]  It's like you're informed and you're smart and people marvel at it.
[01:15:20.338 --> 01:15:31.986]  I mean, so much of why we have a problem in this society is people aren't really stupid.
[01:15:32.950 --> 01:15:36.772]  They're ignorant, and they're lazy, and they don't want to know.
[01:15:36.792 --> 01:15:39.013]  I mean, I sit there and people watch.
[01:15:40.653 --> 01:15:46.216]  I went swimming in the river yesterday, and after I was drying off, I watched people for about 10 minutes sitting there drying off before I got in the car.
[01:15:46.856 --> 01:15:48.777]  I shot a video report as well while I was drying off.
[01:15:49.753 --> 01:15:51.555]  It's, uh, of Ants and Men is the name of it.
[01:15:51.975 --> 01:15:53.957]  And I watch how insecure men are.
[01:15:54.617 --> 01:15:55.818]  Big, tough-looking men.
[01:15:55.858 --> 01:16:00.963]  And women with their kids and just everybody's so scared of what people think of them and how they look.
[01:16:01.043 --> 01:16:02.884]  And it's just such chains.
[01:16:03.605 --> 01:16:05.607]  There's incredible chains on people.
[01:16:06.187 --> 01:16:10.289]  To where they can laugh at you and go, you believe in authoritarianism, it doesn't exist, ah!
[01:16:10.749 --> 01:16:13.990]  Oh, let's laugh at Charlton Heston, he believed in freedom, ah!
[01:16:14.450 --> 01:16:19.432]  And a normal person, a well-adjusted person, looks at that and says, look at that sophomoric propaganda.
[01:16:19.712 --> 01:16:25.775]  But the propaganda is sophomoric because it's targeting sophomoric arrested development people.
[01:16:28.885 --> 01:16:36.855]  You know, we had the Secret Service show up here again this morning, and none of the managers were here, because Rob Dew works till about 7 or 8 at night, so he gets here at 10.30.
[01:16:37.837 --> 01:16:38.638]  I was actually here.
[01:16:38.678 --> 01:16:39.859]  I was out there taking a shower.
[01:16:41.065 --> 01:16:42.466]  Because I went to exercise this morning.
[01:16:43.086 --> 01:16:44.187]  I got a shower back there.
[01:16:45.708 --> 01:16:51.491]  And Tim Frugier was over on the other side, so they just told him, yeah, Alex should be here in ten minutes.
[01:16:51.691 --> 01:16:52.791]  I was actually there about two minutes.
[01:16:53.352 --> 01:17:02.497]  And I come back out there, because they have a subpoena for an idiot that went on the Infowars.com comments and said he wanted to go after somebody, I don't know what yet.
[01:17:03.277 --> 01:17:09.283]  And I told people, I said, they didn't come back in 10 minutes of course, and they got sheriff deputies driving around the parking lot right now.
[01:17:10.724 --> 01:17:13.167]  Let me tell you how government works.
[01:17:13.707 --> 01:17:20.013]  If they can get you to not take a subpoena, they'll go say we didn't take the subpoena, and then SWAT team us and grab all our computers.
[01:17:20.454 --> 01:17:21.855]  You know, try to shut us down for a while.
[01:17:22.155 --> 01:17:25.939]  Now if somebody else up above them will say don't do that, don't give Alex Jones attention.
[01:17:26.600 --> 01:17:27.461]  See, I'm not worried.
[01:17:28.564 --> 01:17:29.064]  I'm not worried.
[01:17:29.084 --> 01:17:41.131]  Whatever happens to me, I'm trying to do the right thing for the children, the million-plus children that CPS takes every year, and rapes, and, you know, jostling elders where they teach them how to masturbate.
[01:17:41.151 --> 01:17:42.672]  I mean, it's a pervert guild.
[01:17:43.353 --> 01:17:48.236]  I mean, you think I'm worried about my life when I know you've got kids pinned down all over the country?
[01:17:49.116 --> 01:17:56.699]  raping the daylights out of them right now, and I feel guilty that I'm not kicking down doors, stopping them right now, and I just sit here trying to wake people up.
[01:17:56.959 --> 01:17:57.859]  You think I care?
[01:17:58.239 --> 01:18:00.200]  You think I'm worried about you?
[01:18:00.500 --> 01:18:03.421]  You think I'm like you, a coward, a sack of garbage?
[01:18:03.741 --> 01:18:04.621]  You think I'm like you?
[01:18:04.701 --> 01:18:05.622]  I'm not like you!
