[00:00:15.964 --> 00:00:17.525]  You want to fight?
[00:26:20.600 --> 00:26:28.582]  Now, just real quick, in your research, let's say somebody was interested in getting into precious metals and, you know, having things beside the fiat currency.
[00:26:28.942 --> 00:26:29.862]  Would you recommend gold?
[00:26:29.902 --> 00:26:31.082]  Would you recommend silver?
[00:26:31.162 --> 00:26:32.082]  Would you recommend anything?
[00:26:33.423 --> 00:26:37.184]  Well, silver particularly, I think, but gold, of course, also.
[00:26:37.644 --> 00:26:38.704]  It's something to recommend.
[00:26:38.844 --> 00:26:45.005]  I mean, it's, again, it's the most stable of assets to have and to hold.
[00:26:45.725 --> 00:26:48.466]  And, of course, to sell through, especially when the price is right.
[00:26:50.005 --> 00:26:58.827]  I think in this case the Rothschilds have abandoned their trust openly in gold in the early part of this decade.
[00:26:59.588 --> 00:27:07.210]  But that was just a smart maneuvering to bring the price down because apparently the Rothschilds were losing interest.
[00:27:07.310 --> 00:27:08.510]  So why should we keep them?
[00:27:08.930 --> 00:27:12.391]  We as being the mainstream economists.
[00:27:12.891 --> 00:27:25.079]  And I think that's the reason, because they could sell it up real cheap, and then, knowing that the price would rise again, sell them for a good price, and also maintain their monopoly position as a family in the East.
[00:27:25.757 --> 00:27:29.218]  Okay, now let's switch gears here to something that you were interested in talking about.
[00:27:29.538 --> 00:27:34.739]  I have this article headlined, Population Control Advocacy Group, Humans Equal Locust.
[00:27:35.239 --> 00:27:44.962]  Now, we've heard people such as Bill Gates, Ted Turner saying they want to significantly reduce the world population, but can you explain to us this particular article and what lies therein?
[00:27:46.019 --> 00:27:46.219]  Sure.
[00:27:47.159 --> 00:27:57.662]  It was David Attenborough, the famous conservationist, who recently told, I think, the Radio Times, that people equal a plague.
[00:27:58.262 --> 00:27:59.743]  Humanity equals a plague.
[00:27:59.763 --> 00:28:04.204]  A plague which spreads and consumes and then dies.
[00:28:04.224 --> 00:28:07.225]  That's his philosophy of mankind.
[00:28:08.605 --> 00:28:29.294]  And he has stated that and created quite some stirring, because again it was clear that a large part of the British elite have felt this way for a long time, that the population needs to be curbed and needs to be culled.
[00:28:30.203 --> 00:28:34.625]  So that's the main thing about it.
[00:28:35.125 --> 00:28:44.170]  I wrote about a reaction to this comment by Edinburgh, by the British advocacy group Population Matters.
[00:28:44.870 --> 00:28:53.594]  And they have responded to Edinburgh's comment by saying, well, surely he didn't mean that we are a disease.
[00:28:54.075 --> 00:28:56.516]  He probably just meant we're a plague of locusts.
[00:28:57.336 --> 00:28:58.637]  So that's it.
[00:28:59.372 --> 00:28:59.672]  Yeah, yeah.
[00:29:17.946 --> 00:29:19.146]  I forgot his name, Morpheus, yes.
[00:29:19.487 --> 00:29:25.288]  And he's saying that human beings are a disease, they're locusts, they need to be controlled and pretty much wiped out.
[00:29:25.708 --> 00:29:30.809]  And as you said, the people said, well, we're not saying that you're a plague, you're a disease, we're just saying that you're locusts.
[00:29:30.849 --> 00:29:37.731]  You just consume everything and then you move on to this thing and move on to the next area and they're basically saying you're just, you're insects.
[00:29:38.771 --> 00:29:40.872]  And that's how they view the rest of the world.
[00:29:41.880 --> 00:29:52.874]  Yes, it is a certain outlook on humanity, on mankind, on man, as an insect really, which just multiplies, spreads to areas.
[00:29:53.487 --> 00:29:55.428]  and consumes the natural resources.
[00:29:56.029 --> 00:30:13.519]  Of course, there can be said a lot about depletion of natural resources by people, but usually it's the elites of the country, the great corporations, people like Al Gore, actually, who consume the most and deplete the most.
[00:30:14.080 --> 00:30:22.385]  So, to then spread this argument to all of mankind is actually dehumanizing, I think.
[00:30:22.998 --> 00:30:23.898]  Exactly, exactly.
[00:30:23.918 --> 00:30:31.960]  And Al Gore, you know, he has multiple homes, some on the ocean, and I believe the last estimate I heard was he has a $30,000 electricity bill.
[00:30:32.360 --> 00:30:40.041]  Mr. Carbon Tax, you know, trying to tell you that you should turn off all the lights in your house, but he has a $30,000 electricity bill.
[00:30:40.301 --> 00:30:44.202]  Now we'll move on to this next article that you have about the Crocodile Hunter's daughter.
[00:30:44.642 --> 00:30:51.043]  Now first, can you tell us a little bit about the content of her essay and then Hillary Clinton's reaction to that?
[00:30:52.150 --> 00:31:16.057]  Yes, she was invited in the first place by Hillary Clinton's initiative on the, it's like a blog on the State Department's website, an e-journal it's called, and as part of the Endangered Species Initiative, the little Irwin was asked to write an essay on how she became involved in the entire wildlife conservationism.
[00:31:17.097 --> 00:31:38.130]  Then Erwin, in all of our innocence I think, wrote a typical Neo-Malthusian essay describing the same old story that people are responsible for all of the calamities which befall mankind and therefore people should be called.
[00:31:38.710 --> 00:31:44.372]  I think the little Erwin did it out of a real conviction.
[00:31:44.492 --> 00:31:46.393]  It's not really evil, I think.
[00:31:46.833 --> 00:31:59.498]  But still, the State Department's or Hillary Clinton's specific blog's reaction to this was they just censored it, censored the entire essay.
[00:32:00.098 --> 00:32:08.406]  And retracted it altogether in the end because little Erwin would refuse to change your story.
[00:32:08.887 --> 00:32:16.014]  I think this signifies in the end that the government, the American government but also the European ones,
[00:32:16.674 --> 00:32:42.777]  are extremely cautious in regards to this matter because they have found that people I think look through their facades about population control using climate change as an excuse to push population control programs and therefore are skirmish when a little Irwin wrote her little Neo-Malthusian tract.
[00:32:43.490 --> 00:32:43.670]  Right.
[00:32:44.050 --> 00:32:50.274]  Now, do you think, you know, Clinton, was this something that she said, I just don't want people to think about this in the forefront?
[00:32:50.354 --> 00:32:52.495]  Or was it, was there something else involved?
[00:32:52.675 --> 00:32:56.617]  Why do you think that they marked out so much of what Erin had to say?
[00:32:57.429 --> 00:33:06.417]  I think what you said, I think people don't need to think about that on the forefront, because that's something we'll arrange on the background.
[00:33:07.318 --> 00:33:18.947]  I think that about sums it up, because it has been known from Hillary Clinton, she's a rabid advocate of things like, how do you call it, the American-based
[00:33:19.768 --> 00:33:24.151]  Now I got one final article as far as the population control.
[00:33:24.231 --> 00:33:25.592]  This one is about Prince Harry.
[00:33:42.699 --> 00:33:45.902]  In his quote, Humanity Reaching Plague Proportions.
[00:33:45.922 --> 00:33:51.806]  Now this kind of ties into what we were talking about earlier with Agent Smith and the Matrix movies, but can you break this down to us for a little bit?
[00:33:52.587 --> 00:33:52.787]  Sure.
[00:33:53.247 --> 00:34:03.756]  It was Prince Philip in 1984, the father of the current Prince of Wales, who said humanity is reaching plague proportions in 1984, that is.
[00:34:04.476 --> 00:34:06.938]  A very signifying date, by the way.
[00:34:06.958 --> 00:34:08.780]  1984, huh?
[00:34:08.800 --> 00:34:08.960]  Right.
[00:34:10.841 --> 00:34:11.521]  And he said that.
[00:34:12.602 --> 00:34:15.783]  Also, the plague comment is repeated.
[00:34:16.203 --> 00:34:16.683]  This is from 1984.
[00:34:17.163 --> 00:34:22.424]  This video, which I show on my website, has been known for quite some time.
[00:34:22.644 --> 00:34:33.307]  It's not new, but I printed it up again to relate it to Edinburgh's comments recently about people equaling a plague.
[00:34:34.048 --> 00:34:37.549]  And of course the response by population groups to that.
[00:34:37.929 --> 00:34:38.949]  Now we're just locusts.
[00:34:39.529 --> 00:34:45.711]  And then Prince Philip said, well, we're reaching plague proportions and therefore we need to be culled.
[00:34:46.071 --> 00:34:47.892]  They're on record saying this all the time.
[00:34:48.412 --> 00:34:55.775]  So it's nothing really new about that, but I think something which has to be emphasized over and over again.
[00:34:56.375 --> 00:34:58.876]  What do these Neo-Malthusians say?
[00:34:58.996 --> 00:34:59.836]  Why do they say it?
[00:35:00.236 --> 00:35:01.156]  And where do they come from?
[00:35:01.997 --> 00:35:04.377]  And that's about this article.
[00:35:05.417 --> 00:35:22.262]  It also recaps a recent study by Paul Ehrlich, that's one of the writers of EcoScience, which Alex covers extensively in his program, in which is called for, you know, mandatory sterilizations and putting sterilants in the water supply, you name it.
[00:35:22.842 --> 00:35:32.730]  And Paul Ehrlich is one of the founders of this kind of thinking, and he wrote a paper recently called, Can a Collapse of Global Civilization be Avoided?
[00:35:33.937 --> 00:35:41.864]  And of course, that's a very strange question, because yes, it can, but no, it cannot.
[00:35:42.384 --> 00:35:43.766]  Just how you view the world.
[00:35:44.026 --> 00:35:46.228]  And Paul Ehrlich is very clear.
[00:35:46.608 --> 00:35:53.175]  Yes, population reduction is a monumental task, but we can do it if we create global environmental governance.
[00:35:54.076 --> 00:35:56.558]  So that's again global government in your face.
[00:35:57.519 --> 00:36:02.024]  And the Prince of Wales, the son of Prince Philip, responded to this on his own website.
[00:36:02.144 --> 00:36:03.686]  I have the link to that in my article.
[00:36:05.027 --> 00:36:07.770]  Where he says, where he just endorses the entire project.
[00:36:07.910 --> 00:36:10.213]  So it goes from father to son.
[00:36:10.453 --> 00:36:15.238]  And it is something of the typical of the aristocratic elites of Europe.
[00:36:16.638 --> 00:36:17.859]  Indulging in these matters.
[00:36:18.359 --> 00:36:18.779]  Exactly.
[00:36:19.059 --> 00:36:25.041]  Now, we don't want people to think that you're blowing smoke, so we actually have that clip of the Prince in 1984, and we'll show that clip right now.
[00:36:26.181 --> 00:36:32.423]  95% of the whole of the Atlantic rainforest in Brazil has disappeared in the last hundred years.
[00:36:32.463 --> 00:36:34.624]  There is simply nowhere for these animals to live.
[00:36:35.004 --> 00:36:40.346]  At the basis of it all is this colossal increase in the human population.
[00:36:40.606 --> 00:36:44.027]  It's one of the living species of the planet, but it's
[00:36:44.947 --> 00:36:46.429]  Reaching plague proportions.
[00:36:46.489 --> 00:36:49.013]  All right, so you see it right there straight from the horse's mouth.
[00:36:49.414 --> 00:36:51.577]  Now, you had one other thing that you wanted to mention.
[00:36:51.637 --> 00:36:52.959]  I thought this was pretty interesting.
[00:36:52.999 --> 00:36:55.803]  We have this article from the New York Times.
[00:36:56.103 --> 00:36:58.006]  The Queen says she will step down.
[00:36:58.667 --> 00:36:59.729]  What are your thoughts about that?
[00:37:01.030 --> 00:37:05.653]  Well, she has stepped down officially yesterday at about 7 o'clock our time.
[00:37:06.233 --> 00:37:24.985]  She went on television saying that she will step down after 33 years or something being a Queen and being a yearly, annual and loyal member of Bilderberg, by the way, and transferring her powers to her son, that's William Alexander.
[00:37:26.166 --> 00:37:40.647]  And her son will now, you know, continue the same old agenda, I think, which Beatrix has pursued for quite some time, and her father before that, because Prince Bernhard, that was the father of Princess Beatrix, Queen Beatrix.
[00:37:42.227 --> 00:37:44.148]  Has of course founded the Bilderberg Group.
[00:37:44.448 --> 00:37:47.129]  So it will be a continuous agenda.
[00:37:47.830 --> 00:37:53.912]  It will be brought and it is being brought in our Dutch mainstream media as quite some change.
[00:37:54.072 --> 00:37:56.573]  The Royal House will be renewed.
[00:37:56.613 --> 00:37:57.873]  There's new blood, etc.
[00:37:58.293 --> 00:37:59.734]  This is as old as it can be.
[00:38:00.575 --> 00:38:12.106]  Because the agenda is age-old and any member which carries the torch at any one time is just pursuing the agenda which has been laid out for quite some centuries.
[00:38:12.866 --> 00:38:14.028]  It's quite a subject.
[00:38:14.808 --> 00:38:15.129]  All right.
[00:38:15.769 --> 00:38:18.532]  Now we're about to the end of our interview so closing remarks you're in.
[00:38:19.941 --> 00:38:36.514]  Well, I'd like people to just really investigate population control and all related matters, because I think in the future, in the near future, we will hear a lot more from these new eugenicists, because that's what they are.
[00:38:37.154 --> 00:38:46.099]  And they will use any kind of excuse to push population control to the forefront, but they will decide that.
[00:38:46.219 --> 00:38:48.421]  There will be different factions among that.
[00:38:48.641 --> 00:38:53.784]  You will have the State Department or governmental factions, which will be openly reserved.
[00:38:54.604 --> 00:39:00.069]  But you will have the scientific factions, the scientific dictatorship behind that, which will be quite open.
[00:39:00.469 --> 00:39:13.520]  And they're already depopulating us at a mass scale by, for example, fluoride and other measures, anti-sterilization agents in vaccines and in GM foods.
[00:39:14.060 --> 00:39:30.611]  So I think this will be just a continuation of that entire concept but will be increased in the coming years because the climate change agenda has had its long time and it has been discredited actually.
[00:39:30.992 --> 00:39:40.218]  So they will come up with new things, new kind of pollutions which mankind, the plague mankind is responsible for and therefore we will be culled.
[00:39:40.698 --> 00:39:44.641]  So, I think that will be increasingly obvious and people should really investigate this.
[00:39:45.141 --> 00:39:45.482]  Exactly.
[00:39:45.522 --> 00:39:51.406]  Now, speaking of investigating this, are there any resources or anything that you would recommend to somebody who's, you know, they're kind of on the fence.
[00:39:51.426 --> 00:39:57.670]  They hear, you know, the Rothschilds, they hear Al Gore and, you know, they hear people like you and they don't know what to decide.
[00:39:57.970 --> 00:40:00.412]  What would you recommend to somebody who wants to research this further?
[00:40:01.377 --> 00:40:13.185]  I seldom recommend Google but in this case I would because just enter in a search engine population control and just do your own research in regards to this.
[00:40:13.366 --> 00:40:15.207]  Also investigate the UN.
[00:40:15.627 --> 00:40:24.914]  Go to their own website and find documents just in their own search engines in their documents about population stabilization.
[00:40:25.474 --> 00:40:29.237]  Use the euphemisms that the UN is accustomed to using.
[00:40:29.937 --> 00:40:48.276]  So, outright population control will not deliver as much surges, but you can just research on the websites of the transnational organizations themselves, if you're interested in this subject, and you'll find all kinds of, well, dirty material.
[00:40:48.857 --> 00:40:49.257]  Exactly.
[00:40:49.277 --> 00:40:51.379]  Irene Masson, thank you for your time, sir.
[00:40:52.260 --> 00:40:52.681]  Thank you, sir.
[00:40:54.238 --> 00:41:04.142]  And that brings us to the end of our show, but if you'd like to find out more of what Urien was talking about in that interview, check out the InfoWars store and check out Endgame, Blueprint for Global Enslavement.
[00:41:04.162 --> 00:41:10.165]  It has the depopulation plan, as well as many other things, and a great film by Alex Jones, so be sure to check that out.
[00:41:10.565 --> 00:41:14.366]  And also, check out the InfoWars store for the new ProPure units.
[00:41:14.767 --> 00:41:15.867]  We have the new ones in.
[00:41:15.967 --> 00:41:17.148]  It's an all-in-one unit.
[00:41:17.468 --> 00:41:22.550]  It has the carbon water filter along with the fluoride filter in one element.
[00:41:22.970 --> 00:41:25.932]  So save yourself some time, save yourself some money, and get that today.
[00:41:26.272 --> 00:41:30.754]  And also, if you'd like to support our broadcast, stop by PrisonPlanet.tv, get a membership.
[00:41:30.794 --> 00:41:33.195]  You can have up to 10 people on one membership.
[00:41:33.595 --> 00:41:42.279]  Many great special reports, the Nightly News, the Alex Jones Daily Show, and also many other things, the rants, the movies, all of it is right there on PrisonPlanet.tv.
[00:41:42.620 --> 00:41:46.341]  Well, I'm Jakari Jackson, and that's going to do it for this edition of the InfoWars Nightly News.
[00:41:46.561 --> 00:41:47.462]  We'll see you tomorrow night.
[00:42:05.867 --> 00:42:05.948]  Yeah.
