[00:00:09.795 --> 00:00:12.537]  Who controls the past, controls the future.
[00:26:59.272 --> 00:27:02.593]  Check it out at InfoWars.com forward slash show.
[00:27:14.059 --> 00:27:19.222]  Are we choosing our own paths, our own destiny, or has it been pre-selected for us?
[00:27:20.464 --> 00:27:20.844]  C.S.
[00:27:20.904 --> 00:27:28.927]  Lewis said, when training beats education, civilization dies.
[00:27:29.308 --> 00:27:34.130]  We need to always be cognizant of, as a free society, that information can be used as a weapon.
[00:27:34.250 --> 00:27:37.731]  Barrier to discovery is not ignorance, it's the illusion of knowledge.
[00:27:37.911 --> 00:27:41.292]  We are seen as nothing but biological androids.
[00:27:41.332 --> 00:27:49.696]  To gain control of education in America, not for a philanthropic purpose, but to change the thinking
[00:27:50.196 --> 00:27:50.456]  I'm good.
[00:28:07.722 --> 00:28:12.144]  We are kept in perpetual bondage to the ideas that shape our actions.
[00:28:12.264 --> 00:28:18.867]  In the CIA, scientists could actually film people who had been surreptitiously dosed with LSD.
[00:28:19.087 --> 00:28:22.708]  There's a brain entrainment process that takes place.
[00:28:23.108 --> 00:28:28.511]  That gives the government free reign to create whatever story or narrative it wants to create.
[00:28:28.651 --> 00:28:34.533]  Whatever the public face of something is, whatever they're talking about publicly, there's something else over here they're probably not looking at.
[00:28:34.693 --> 00:28:43.721]  How to engineer the opinion of the American people so that they would fully endorse, not only endorse, but demand a war.
[00:28:43.841 --> 00:28:51.688]  When you watch mainline establishment television, you are putting yourself in front of the barrel of a gun.
[00:28:52.967 --> 00:29:01.073]  Discover the history, the present, and the future of mind control, psychological warfare, brainwashing.
[00:29:01.394 --> 00:29:03.035]  Are we controlled and manipulated?
[00:29:03.535 --> 00:29:04.096]  You bet!
[00:29:04.676 --> 00:29:07.338]  That's mind control par excellence.
[00:29:07.879 --> 00:29:14.764]  Find out how deep the rabbit hole really goes with this new groundbreaking documentary film, State of Mind.
[00:29:15.525 --> 00:29:18.247]  Available exclusively at InfoWars.com.
[00:29:25.612 --> 00:29:27.893]  Because there's a war on for your mind.
[00:29:28.433 --> 00:29:33.915]  That has been our motto here at InfoWars for my 18 years of battle against the globalists.
[00:29:34.455 --> 00:29:41.217]  And now we see the open announcements of global private corporate tyranny over our governments.
[00:29:41.597 --> 00:29:43.018]  That's what the New World Order is.
[00:29:43.078 --> 00:29:51.141]  It's an unaccountable private combine of organized crime engaged in corporate takeovers of nation states and the
[00:29:52.421 --> 00:29:57.765]  Conscious attempt to abolish basic rights and fundamental liberties.
[00:29:58.325 --> 00:30:02.428]  InfoWars.com is not just leading the charge against this here in the U.S.
[00:30:02.468 --> 00:30:03.228]  or North America.
[00:30:03.668 --> 00:30:06.070]  We are leading the charge worldwide.
[00:30:06.530 --> 00:30:16.297]  And that's because our listeners, our viewers, our supporters, fellow freedom lovers like you across the planet resonate with our message of liberty and telling it like it is.
[00:30:16.897 --> 00:30:29.641]  And that's why for the last two years especially, I have thrown everything I've got, my time, my energy, our backup capital, everything into really trying to awaken the sleeping giant that is humanity.
[00:30:30.062 --> 00:30:33.763]  And that's why the July issue that just came in a few days ago is so important.
[00:30:33.783 --> 00:30:38.945]  We've already sold about half the stock we have of it at cost in groups of 10 up to 100 in bulk.
[00:30:40.484 --> 00:30:52.132]  It covers the entire NSA spy grid, how it ties in worldwide, how it's not about stopping terrorists, but about suppressing and dominating and controlling the free press and political opposition.
[00:30:52.572 --> 00:30:57.876]  And in this magazine, we don't just have three free bumper stickers like I did a few months ago.
[00:30:58.216 --> 00:31:08.983]  We have 10 bumper stickers, four full size ones with amazing messages guaranteed to get people thinking like America has been occupied by globalist forces.
[00:31:09.263 --> 00:31:10.244]  Infowars.com.
[00:31:10.584 --> 00:31:13.145]  Listen to Alex Jones at InfoWars.com.
[00:31:13.525 --> 00:31:14.625]  InfoWars.com.
[00:31:14.906 --> 00:31:15.986]  Forbidden information.
[00:31:16.326 --> 00:31:17.346]  Listen to Alex Jones.
[00:31:17.687 --> 00:31:18.767]  InfoWars.com.
[00:31:19.147 --> 00:31:24.289]  And then on top of it, six medium-sized bumper stickers with the message as well.
[00:31:24.589 --> 00:31:31.231]  These are key to post in legal and lawful areas on your book bag, your computer, your car, or to give friends and family.
[00:31:32.232 --> 00:31:34.533]  I have printed 500,000 of these bumper stickers.
[00:31:36.258 --> 00:31:45.760]  Only half of this month's run of magazines has them, so when you purchase them in bulk or you're a 12-month subscriber, you will get the special issue.
[00:31:45.880 --> 00:31:50.161]  And I can't afford to do this every month, so it's going to be quite a while until we do this again.
[00:31:50.541 --> 00:31:52.062]  Please take advantage of this.
[00:31:52.402 --> 00:31:58.623]  Buy them in bulk and give them to your friends and family, and encourage them to get these bumper stickers out, because with five
[00:31:59.764 --> 00:32:00.204]  100,000 stickers.
[00:32:00.445 --> 00:32:04.389]  We can reach tens of millions of people with the message of truth.
[00:32:04.549 --> 00:32:05.710]  They want to collectivize us.
[00:32:05.970 --> 00:32:06.951]  They want to bankrupt us.
[00:32:06.971 --> 00:32:10.275]  They want to drive us into their arms to control us.
[00:32:10.555 --> 00:32:11.696]  They want to dumb us down.
[00:32:12.076 --> 00:32:15.160]  But the sleeping giant that is for humanity is awakening.
[00:32:15.760 --> 00:32:17.221]  So I want to thank you all for your support.
[00:32:17.241 --> 00:32:23.784]  I want to encourage everybody to go to InfoWarsStore.com and to get a 12-month subscription or to give a gift subscription.
[00:32:23.824 --> 00:32:27.006]  Imagine 12 of these coming to your friends or family's door to wake them up.
[00:32:27.386 --> 00:32:31.488]  Or to give a gift subscription to the local police department or your local congressman or woman.
[00:32:32.128 --> 00:32:34.169]  This is how we're going to affect change.
[00:32:34.289 --> 00:32:36.930]  Voting with our dollars and voting with our time.
[00:32:37.250 --> 00:32:46.453]  Again, visit InfoWarsTore.com today to subscribe, to get the magazine in bulk, or to give a gift subscription, or to give yourself a subscription to wake up friends and family.
[00:32:46.973 --> 00:32:47.774]  I am all in.
[00:32:48.274 --> 00:32:54.816]  I am committed 110% to not mince words and to not back off and to boldly confront the globalists.
[00:32:54.976 --> 00:33:00.418]  So I want to thank all of you that have supported us in the past, and I want to encourage all of you out there who may be on the fence
[00:33:01.098 --> 00:33:09.322]  You had better be scared of not taking action and letting this monstrous system come to fruition.
[00:33:09.722 --> 00:33:11.723]  Now is the time to commit.
[00:33:12.204 --> 00:33:15.205]  Now is the time to say which side of history you're on.
[00:33:15.525 --> 00:33:16.786]  Now is the time.
[00:33:17.182 --> 00:33:20.625]  To stand against the Globalist and the New World Order.
[00:33:21.146 --> 00:33:31.335]  And regardless of whether you get this July issue, this July 4th resistance to tyrants issue, spread the word about liberty, resist corruption in your area.
[00:33:31.895 --> 00:33:34.718]  Millions of us doing little things can move mountains together.
[00:33:35.238 --> 00:33:39.422]  I'm Alex Jones signing off for InfoWars.com and the InfoWars team.
[00:33:51.821 --> 00:33:54.685]  For every action there is an equal and opposite reaction.
[00:33:54.866 --> 00:34:00.254]  And for the great tyranny and wickedness rising worldwide, I'm the reaction.
[00:34:00.314 --> 00:34:01.616]  You are the reaction.
[00:34:01.696 --> 00:34:04.800]  We are the resistance to this tyranny.
[00:34:05.181 --> 00:34:06.503]  So today I just want to remember
[00:34:07.524 --> 00:34:19.230]  All of those that came before us across the continents of this world over thousands of years who stood up for the individual and who had righteousness in their heart and who wanted to do good.
[00:34:19.250 --> 00:34:28.595]  Not that any of us are perfect, we're all desperately wicked in one way or another, but whose hearts are right and who wanted to build a better civilization and a better society.
[00:34:28.975 --> 00:34:32.417]  And all of you that are here today and all of you that are watching
[00:34:32.897 --> 00:34:33.317]  Out there.
[00:34:33.738 --> 00:34:37.560]  In the final equation, you have decided which side you're on.
[00:34:37.880 --> 00:34:43.383]  And this whole life is very fleeting, very short, as Shakespeare said, out, out, brief candle.
[00:34:43.543 --> 00:34:45.043]  What matters is our souls.
[00:34:45.103 --> 00:34:47.565]  What matters is what side of history we're on.
[00:34:47.845 --> 00:34:52.447]  So I salute all of you that have chosen to be on the right side of history.
[00:34:56.009 --> 00:34:57.310]  I salute the fighters.
[00:34:58.402 --> 00:34:59.062]  We're good to go.
[00:35:16.008 --> 00:35:19.089]  I'm really in broad strokes because history is so complex.
[00:35:19.109 --> 00:35:29.913]  You can study one period of one nation's history and read a thousand books about it and get lost in all of the different personalities and things that happened at that time.
[00:35:30.293 --> 00:35:34.515]  But I wanted to go over some broad strokes to define what the Illuminati is.
[00:35:35.035 --> 00:35:50.246]  And what their plan is for civilization, for society, for you and your family, versus the society and civilization that we can build if we simply put out those alternate ideas and run them up against the globals.
[00:35:50.566 --> 00:35:51.047]  We're good to go.
[00:36:14.420 --> 00:36:15.200]  I want to be clear.
[00:36:15.841 --> 00:36:20.783]  Some people hear what I talk about and they say, this is scary, this guy's trying to scare us.
[00:36:21.523 --> 00:36:24.024]  And I realize that that is a blind spot that I've had.
[00:36:24.544 --> 00:36:28.486]  But that's not a crowd I'm really even trying to talk to, so it doesn't matter.
[00:36:28.506 --> 00:36:37.270]  I, when I see corruption, when I see thugs, when I see organized crime in government where corporations are on the streets, I want to organize good people against it.
[00:36:37.590 --> 00:36:39.811]  My very instinct is to stand against it.
[00:36:40.091 --> 00:36:42.272]  To try to wake up as many people as I possibly can.
[00:36:43.462 --> 00:36:47.465]  But for a lot of people who've been taught they have no power, they get really scared.
[00:36:48.045 --> 00:36:54.569]  And they think, man, hearing about this somehow is almost like conjuring it or manifesting it in the world.
[00:36:54.970 --> 00:36:56.831]  That's not how things really work, ladies and gentlemen.
[00:36:57.051 --> 00:37:00.694]  You can think of something, but then you've got to go out and take action to build it or do it.
[00:37:00.974 --> 00:37:04.496]  You just don't imagine it, and then it suddenly pops into view.
[00:37:04.876 --> 00:37:06.998]  Now, the globalists have their brainwashing systems.
[00:37:07.038 --> 00:37:13.182]  They can put out an idea long enough to get us to buy into it, so we go out and build it for them.
[00:37:13.922 --> 00:37:15.684]  But there's no magic in that.
[00:37:15.984 --> 00:37:18.606]  It's simply propaganda or brainwashing.
[00:37:18.786 --> 00:37:20.667]  We're going to be talking about that here today.
[00:37:20.687 --> 00:37:22.589]  But we can build the world we want.
[00:37:23.490 --> 00:37:25.231]  Nineveh was going to be destroyed.
[00:37:25.331 --> 00:37:27.993]  And it's a great parable, a great allegory to today.
[00:37:28.033 --> 00:37:29.854]  It was going to be destroyed within a few weeks.
[00:37:30.555 --> 00:37:34.378]  But they listened to God's messenger.
[00:37:34.938 --> 00:37:37.640]  They listened to Jonas, who had to go through his own trials.
[00:37:37.920 --> 00:37:39.822]  And so they were given a hundred year reprieve.
[00:37:40.342 --> 00:37:41.283]  And it's the same thing.
[00:37:41.303 --> 00:37:45.488]  I hope the New World Order doesn't come fully into power.
[00:37:45.748 --> 00:37:49.692]  Because it is going to kill the majority of people on the planet or die trying.
[00:37:50.013 --> 00:37:53.036]  It is going to have the rise of the machines, the whole nine yards.
[00:37:53.116 --> 00:37:54.177]  You will see it unfold.
[00:37:54.878 --> 00:38:00.584]  And I hope that I can struggle as much as I can to resist it coming into place now.
[00:38:00.764 --> 00:38:02.106]  Because if we don't do that,
[00:38:02.466 --> 00:38:09.311]  I will assure you when we stand before God and say, hey, I was a Christian, I went to church, God's going to say, you didn't stand up against the New World Order.
[00:38:09.571 --> 00:38:12.533]  You didn't stand up for the kids that are shooting full of deadly vaccines.
[00:38:12.794 --> 00:38:17.837]  You didn't even stand up to your scumbag mayor in Austin who's putting poison fluoride in the water.
[00:38:18.778 --> 00:38:19.559]  I don't know you.
[00:38:20.139 --> 00:38:21.200]  That's what's going to happen.
[00:38:22.381 --> 00:38:23.642]  God hates a coward.
[00:38:23.742 --> 00:38:26.163]  And that's, again, why I salute the people that are here today.
[00:38:26.384 --> 00:38:30.787]  Because you are here in defiance of this open, dehumanizing tyranny.
[00:38:35.509 --> 00:38:36.470]  So I will say this.
[00:38:36.870 --> 00:38:40.773]  Some people hear what I have to say and it's scary and they think, this guy's trying to scare me.
[00:38:40.833 --> 00:38:41.033]  No.
[00:38:41.313 --> 00:38:42.394]  I'm trying to warn them.
[00:38:43.054 --> 00:38:53.461]  Because if there's a pit out your back door, and you're going to fall and break your leg in it, some 20 foot deep sinkhole that formed the day before, and I come over and tell you, hey neighbor, there's a sinkhole out back.
[00:38:53.501 --> 00:38:56.463]  Watch out when you walk out there to feed your chickens or whatever.
[00:38:56.723 --> 00:38:57.684]  I'm not fear mongering.
[00:38:57.944 --> 00:39:00.446]  I'm warning them about something that's happened.
[00:39:00.686 --> 00:39:04.949]  If I see my neighbor's house on fire, and I come to them and say, hey, I called the fire department.
[00:39:05.889 --> 00:39:08.171]  Flames shooting out of your second story up there.
[00:39:08.472 --> 00:39:09.452]  I'm not fear-mongering.
[00:39:09.693 --> 00:39:11.154]  I'm doing what you're supposed to do.
[00:39:11.815 --> 00:39:13.396]  Basic survival instinct.
[00:39:13.896 --> 00:39:16.258]  I want to face a threat with my eyes open.
[00:39:16.679 --> 00:39:24.546]  Throughout history, there have been small percentages of people, when they're under threat, especially children, who can blame them, who will close their eyes and curl up in a ball.
[00:39:25.939 --> 00:39:27.040]  And sometimes that works.
[00:39:27.380 --> 00:39:28.481]  Might work with a grizzly bear.
[00:39:28.821 --> 00:39:30.823]  But it's not going to work with the New World Order.
[00:39:31.023 --> 00:39:34.245]  They want you to curl up in a ball so they can take their time with you.
[00:39:34.526 --> 00:39:42.031]  And they'll move on from somebody standing up on their hind legs against them and find somebody that will fall down like a sheep in front of them.
[00:39:42.452 --> 00:39:46.635]  We're supposed to be sheep before God and God's edicts and God then will take care of us.
[00:39:46.935 --> 00:39:50.418]  Not sheep before the New World Order and its armies of wolves.
[00:39:51.348 --> 00:39:52.148]  It's that simple.
[00:39:52.548 --> 00:39:58.210]  And so I say to people out there that live in fear, now is the time to open your eyes.
[00:39:58.450 --> 00:39:59.410]  The threat is there.
[00:39:59.810 --> 00:40:05.851]  Closing your eyes, sticking your head in the sand, does not protect you from those threats.
[00:40:06.591 --> 00:40:08.332]  Only facing it.
[00:40:08.432 --> 00:40:13.593]  To paraphrase Patrick Henry, he said, I would know the whole truth and make preparation for it.
[00:40:14.741 --> 00:40:16.542]  No matter how bad it is.
[00:40:16.862 --> 00:40:19.544]  Because the war has already begun.
[00:40:19.864 --> 00:40:21.485]  Why stand we idly here?
[00:40:22.546 --> 00:40:26.228]  The war is going on against all of free humanity.
[00:40:26.508 --> 00:40:30.571]  And anyone who doesn't want to give up their soul and give up their free will.
[00:40:30.871 --> 00:40:34.594]  Because this is a war against free will.
[00:40:36.875 --> 00:40:34.594]  110%.
[00:40:37.075 --> 00:40:38.376]  And never forget that.
[00:40:38.716 --> 00:40:40.817]  That is the most important thing to understand.
[00:40:41.738 --> 00:40:49.043]  Because if they can take your intellect and have you shut down your survival instinct and shut down your connection to your creator, it's over.
[00:40:49.063 --> 00:40:50.084]  You're already dead.
[00:40:50.284 --> 00:40:50.925]  They've got you.
[00:40:52.677 --> 00:41:01.963]  So my message is to people out there, you should be afraid of not resisting this because you're laying down is what is allowing to bring this to fruition.
[00:41:02.384 --> 00:41:18.335]  And I love how the cowards sit there and think they're part of the power structure and defend the New World Order and defend all the evils as everything we've warned about year after year after year comes true exactly as we break it down because the globalists are so arrogant they told us what they're going to do.
[00:41:18.875 --> 00:41:23.097]  All we're doing is telling you what they said they would do and showing you where they said it.
[00:41:23.417 --> 00:41:29.119]  Tex earlier was reading Why the Future Doesn't Need Us from like 13 years ago in Wired Magazine, Bill Joy.
[00:41:29.299 --> 00:41:37.383]  He goes, I go to a conference of 200 computer company owners, billionaires, and they go, well, do we kill everybody or do we let them play video games all day?
[00:41:37.783 --> 00:41:39.744]  And the answer was, kill everybody!
[00:41:40.704 --> 00:41:46.029]  That's not fear-mongering to tell you what he wrote in a magazine telling you what they were talking about.
[00:41:46.189 --> 00:42:02.282]  That's saying let's get organized and let's decide to build a good, humane, decent, wholesome culture based on truth and justice, not a culture based on fraud and lies and whoever in the government has the most guns can trample over us and enslave us.
[00:42:02.522 --> 00:42:04.644]  Let's have a future based on freedom!
[00:42:09.588 --> 00:42:13.310]  And again, I started out here by saluting you and those out there and those that came before us.
[00:42:13.590 --> 00:42:36.463]  But you think about, there were books written that I've read and covered on air that were written back in 1898 and stuff about the plan by global European bankers to come in and set up a central bank called a federal bank and how they were going to bankrupt everybody and take the country into bondage and Thomas Jefferson talked about it a hundred years before that, on and on and on.
[00:42:37.043 --> 00:42:39.485]  And it all came true because they were in these meetings.
[00:42:39.865 --> 00:42:41.947]  One of these guys was a banker who wrote a book about it.
[00:42:42.607 --> 00:42:44.209]  There's so many examples of this.
[00:42:44.249 --> 00:42:46.831]  And then in 1913, you read the Congressional Record.
[00:42:47.291 --> 00:42:52.495]  It's like, you know, Alex Jones and Tex Mars, or Jim Mars was there.
[00:42:52.735 --> 00:42:55.617]  It was all about how we were being conquered by a money power.
[00:42:55.857 --> 00:43:00.661]  How an outside group would control the issuance of currency and credit and would buy up the planet.
[00:43:00.921 --> 00:43:01.782]  And that's what happened.
[00:43:02.342 --> 00:43:07.506]  So think about all the people that said they're going to start abolishing sovereignty.
[00:43:07.666 --> 00:43:09.828]  They're going to put our military under UN and NATO.
[00:43:10.128 --> 00:43:12.891]  Now it's all happened but announced in Congress.
[00:43:13.271 --> 00:43:18.255]  They're going to start breaking up the family and saying that parents aren't the parents.
[00:43:18.295 --> 00:43:22.178]  Now MSNBC runs commercials basically saying parenthood is bad.
[00:43:22.899 --> 00:43:24.160]  All of this is over the top.
[00:43:24.420 --> 00:43:30.662]  So people 60 years ago would see the John Birch Society talk about it and think that's crazy, even though they have the source documents.
[00:43:30.902 --> 00:43:32.623]  But now it's all happening.
[00:43:33.063 --> 00:43:42.906]  So again, don't expect the world and the New World Order and this whole system of sickos to go, wow, you were right.
[00:43:43.406 --> 00:43:44.407]  You told the truth.
[00:43:44.487 --> 00:43:46.187]  Man, here's a Pulitzer Prize.
[00:43:46.547 --> 00:43:48.588]  They're going to attack us that
[00:43:48.948 --> 00:43:50.089]  Much stronger.
[00:43:50.609 --> 00:43:55.012]  They are going to intensify these operations tenfold.
[00:43:55.393 --> 00:43:57.334]  Because we are the resistance.
[00:43:57.614 --> 00:43:59.236]  We are the people that know.
[00:43:59.596 --> 00:44:01.377]  You are the people that have studied this.
[00:44:01.637 --> 00:44:07.922]  You are the people, because of your family, your upbringing, your connection to God, whatever reason, we're concerned about this.
[00:44:08.222 --> 00:44:09.643]  And you are the leaders.
[00:44:09.963 --> 00:44:11.224]  You are the resistance.
[00:44:11.444 --> 00:44:15.327]  There's no other room of people out there waiting to fight this.
[00:44:15.447 --> 00:44:15.888]  It's us!
[00:44:16.408 --> 00:44:17.229]  Look in the mirror!
[00:44:17.769 --> 00:44:23.774]  It's up to us to stand against this, and if we will stand up against this, it will fall.
[00:44:24.374 --> 00:44:29.818]  But through the process of its collapse, it will bring incredible destruction to this planet.
[00:44:30.079 --> 00:44:35.563]  But it's going to be much less of a destruction that will come if we completely give in to this evil.
[00:44:35.603 --> 00:44:40.567]  So this is a massive time that we've entered, and it's only going to get more intense.
[00:44:41.247 --> 00:44:44.971]  This is the time people have written about for thousands of years that we're entering right now.
[00:44:45.312 --> 00:44:53.401]  And it's only going to get more and more insane, more and more crazy, where reality itself seems like it's been turned on its head.
[00:44:53.901 --> 00:45:01.170]  And when the world laughs at you and arrogantly, you know, calls for you to be arrested, remember how pathetic these slaves are.
[00:45:01.570 --> 00:45:05.032]  How their intellects and souls and minds have been stolen.
[00:45:05.273 --> 00:45:17.761]  These are victims who were set in front of the television set from the age of six months, drooling in their dirty diapers to be programmed by the one-eyed New World Order system.
[00:45:18.061 --> 00:45:20.463]  Their children were given to the fires of mulling.
[00:45:20.903 --> 00:45:22.044]  These are victims.
[00:45:22.384 --> 00:45:26.847]  So don't let them laughing at you and even persecuting you make you angry.
[00:45:27.247 --> 00:45:30.850]  Thank God that you at least are awake and know what's happening.
[00:45:32.932 --> 00:45:37.817]  Because your soul and your free will is outside their grasp.
[00:45:38.298 --> 00:45:39.299]  You are now above them.
[00:45:39.579 --> 00:45:41.522]  You are now outside of their realm.
[00:45:41.882 --> 00:45:49.171]  And all we need to do is try to reach into that realm to try to save as many of these people from the New World Order system as we can.
[00:45:49.611 --> 00:45:50.731]  And that is our mission.
[00:45:51.111 --> 00:45:54.732]  And that is why it's so important that we work tirelessly in this fight.
[00:45:54.953 --> 00:46:04.975]  And when we do the right thing and step up and take action, God will aid us and doors will open up for us when we're doing the right thing and not living in fear.
[00:46:04.995 --> 00:46:13.598]  Break the chains of fear and throw yourself against the New World Order and you will see these devils run!
[00:46:16.539 --> 00:46:18.040]  So the American patriots were right.
[00:46:18.080 --> 00:46:20.042]  We stand on their shoulders and we salute them.
[00:46:21.323 --> 00:46:32.412]  I mean, nowadays people are awake massively to the shadow government, the tyranny, the NSA spying, the government narcotics trafficking, the occultism of the elite.
[00:46:32.652 --> 00:46:36.836]  The people are awake right now more than they've ever been and it's only going to intensify.
[00:46:37.156 --> 00:46:38.577]  Think about people that labor.
[00:46:39.498 --> 00:46:52.187]  A hundred years ago, fifty years ago, twenty years ago, when if you said the Federal Reserve was private and tried to show people the shareholders, you would be laughed at and called an insane person.
[00:46:52.488 --> 00:46:56.591]  Or just five years ago, the New York Times would say, there is no Bilderberg Group.
[00:46:57.111 --> 00:47:06.398]  And Alex Jones, who actually wrote this, was in a parking lot in Virginia, imagining sedans and helicopters and police, even though he had video of it.
[00:47:06.878 --> 00:47:21.158]  They were discrediting themselves, only speaking to their programmed masses who themselves are afraid and know they're being lied to, but cling on to that lie like a life preserver in the North Atlantic from the freezing truth.
[00:47:21.940 --> 00:47:22.580]  Think about that.
[00:47:23.749 --> 00:47:24.870]  Think about that.
[00:47:24.990 --> 00:47:29.615]  They bind the most simple propaganda because it makes them feel comfortable.
[00:47:29.835 --> 00:47:31.417]  And again, these are pathetic victims.
[00:47:31.757 --> 00:47:40.306]  Don't feel bad when groups in the crowd or the establishment laugh at you because they are spiritually and culturally blind.
[00:47:40.346 --> 00:47:42.328]  They have bought into this culture of death.
[00:47:55.379 --> 00:48:09.122]  Any form of independence is under attack because it doesn't fit in to this programmed, systematic, robotic system that the Illuminati want to create.
[00:48:09.162 --> 00:48:11.102]  Again, that attack on your free will.
[00:48:11.442 --> 00:48:18.124]  So that's why when you turn on any sitcom or any major drama or any cop show, the bad guys
[00:48:18.664 --> 00:48:29.394]  Or if you go buy the latest military video game, the bad guys are patriot, conservative, libertarian, Christians, returning veterans, anti-Illuminati, in the fetters.
[00:48:30.115 --> 00:48:33.018]  I'm thinking M-17 or my micro-Uzi with the silencer.
[00:48:35.640 --> 00:48:36.481]  UX military.
[00:48:37.102 --> 00:48:37.522]  I don't know.
[00:48:37.882 --> 00:48:38.663]  We're better than that.
[00:48:39.224 --> 00:48:41.185]  They were both raised by militia.
[00:48:41.226 --> 00:48:42.427]  Constitutional extremists.
[00:48:44.821 --> 00:48:48.964]  So any form of independence is seen as an enemy by this tyranny.
[00:48:48.984 --> 00:48:50.745]  And that's why we need more independence.
[00:48:51.125 --> 00:48:52.746]  Food independence.
[00:48:52.766 --> 00:48:56.608]  Local small churches that aren't under government control independence.
[00:48:56.988 --> 00:48:58.569]  Not fighting with your husband or wife.
[00:48:59.009 --> 00:49:00.430]  Spending more time with your children.
[00:49:00.490 --> 00:49:03.512]  Explaining to them how the system is corrupt and a threat.
[00:49:03.852 --> 00:49:06.314]  They genetically and culturally already know this.
[00:49:07.074 --> 00:49:16.603]  From all the instincts God gave us and all the things our ancestors went through, they'll immediately start behaving better if you explain to them that the system wants to prey on them.
[00:49:17.283 --> 00:49:23.649]  That's why the system wants to break that parent-child connection, to break that ancient cycle that goes back thousands of years.
[00:49:24.150 --> 00:49:28.554]  I want to give a brief history to understand our enemy of the takeover.
[00:49:29.417 --> 00:49:40.523]  And there have been many different empires, many different permutations of them, going back to Egypt and Babylon and Greece and the 5,000 plus year old empires that came out of China.
[00:49:41.403 --> 00:49:51.769]  But to boil it all down, the synthesis of those technologies were taken into Rome before the fall of the Roman Empire in 410, the complete fall of it.
[00:49:52.709 --> 00:49:56.651]  And it was split off into the two Roman Empires, the Byzantine and the Old Roman Empire.
[00:49:57.411 --> 00:50:07.055]  And if you look at those systems, they were then taken, those systems of cultural control, and taken to Scotland, taken to England, taken to France.
[00:50:07.495 --> 00:50:16.639]  And an artificial dark age was actually brought in for more than a thousand years to try to perfect turning humans into cattle.
[00:50:17.079 --> 00:50:17.920]  But that failed.
[00:50:18.820 --> 00:50:25.964]  And so everything we see now is the system trying to bring in with technology what has already been attempted before.
[00:50:26.284 --> 00:50:27.385]  Take the French Revolution.
[00:50:28.265 --> 00:50:41.033]  Really an Illuminati twisted copy of ours, where they tried to go to a nine-day work week, they tried to abolish the seasons, they tried to abolish families, but it didn't work and the French rebelled against it, even though hundreds of thousands were killed.
[00:50:41.513 --> 00:50:42.373]  It's the same thing.
[00:50:42.653 --> 00:50:46.616]  The globalists want to try to play God
[00:50:47.316 --> 00:50:52.657]  And to do that, they have to get rid of the normal human systems that our Creator gave us.
[00:50:52.697 --> 00:51:00.559]  That's why they're at war with the natural, wholesome order that has created all the prosperity that we've ever seen.
[00:51:00.979 --> 00:51:04.960]  As soon as you deviate from that, everything collapses, everything unravels.
[00:51:05.160 --> 00:51:05.980]  That's a fact.
[00:51:06.680 --> 00:51:08.860]  So why are they obsessed with bringing that in?
[00:51:09.200 --> 00:51:12.141]  Because they are fundamentally at odds
[00:51:13.254 --> 00:51:14.295]  We're good to go.
[00:51:29.975 --> 00:51:34.098]  Cripple you so that they can have satisfaction out of your pain and suffering.
[00:51:34.599 --> 00:51:35.839]  That's who these people are.
[00:51:36.140 --> 00:51:37.000]  That's who they are.
[00:51:37.220 --> 00:51:38.441]  That's what they stand for.
[00:51:38.642 --> 00:51:39.562]  That's their fruits.
[00:51:40.263 --> 00:51:45.967]  You fast forward to the British East India Company founded in and around 1612, Cicero 1612.
[00:51:47.248 --> 00:51:49.930]  And this is really the current model we're under now.
[00:51:50.290 --> 00:51:53.633]  A private corporate group that the government pays
[00:51:54.213 --> 00:51:59.296]  And who is exempt from laws, has diplomatic immunity, and controls armies.
[00:51:59.717 --> 00:52:00.497]  And that's what it is.
[00:52:00.557 --> 00:52:07.322]  A giant corporate global government that, like a glove, puts the government onto its hand.
[00:52:08.543 --> 00:52:11.124]  The government isn't the Iron Fist.
[00:52:11.144 --> 00:52:19.050]  The Iron Fist is inside the velvet glove with all its propaganda and all its baloney about how it cares about you.
[00:52:20.163 --> 00:52:22.369]  It is within that velvet glove.
[00:52:22.630 --> 00:52:27.744]  And so anytime the people rebel against the Iron Fist crushing them, they just remove that.
[00:52:28.616 --> 00:52:29.457]  Soiled glove.
[00:52:30.057 --> 00:52:31.698]  And put another glove back on.
[00:52:32.059 --> 00:52:33.820]  Get rid of Bush, put in Obama.
[00:52:34.080 --> 00:52:36.322]  Get rid of Obama, put in the next puppet.
[00:52:36.562 --> 00:52:38.023]  Jeb Bush or whoever it is.
[00:52:38.483 --> 00:52:40.665]  This is the key to the mystery religions.
[00:52:40.945 --> 00:52:47.410]  Going back to Egypt, they would have the so-called priesthood of the dark knowledge and the priesthood of the white knowledge.
[00:52:47.650 --> 00:52:54.715]  And they would say, well, we're really balanced, everything, but oh, the pharaoh's god and the priest class was really trying to set themselves up as God.
[00:52:55.116 --> 00:52:56.256]  If you want to understand this,
[00:52:57.117 --> 00:52:58.518]  Again, I'm just broad-brushing here.
[00:52:58.898 --> 00:53:04.059]  And so they studied astronomy, and they studied agriculture, and they studied construction.
