[00:00:06.280 --> 00:00:07.581]  Hey, I'm Christy Hightower.
[00:18:08.291 --> 00:18:10.972]  And this is a George Orwell quote, this is the end of the question.
[00:18:11.272 --> 00:18:15.796]  One does not establish a dictatorship in order to safeguard a revolution.
[00:18:16.256 --> 00:18:19.639]  One makes a revolution in order to establish a dictatorship.
[00:18:20.820 --> 00:18:33.771]  Yes, generally revolutions are one group of wannabe aristocrats, one group of oligarchs, wannabe oligarchs, who generally come from the governing class, who want to make themselves king.
[00:18:34.432 --> 00:18:37.514]  And that's why I'm against physical revolutions.
[00:18:39.796 --> 00:18:42.317]  Or collectivist revolutions, because they always lead to a nightmare.
[00:18:42.498 --> 00:18:53.383]  I want a revolution of ideas to restore the ideas of the Enlightenment, to restore the ideas of the Renaissance, to restore the ideas of true human individuality and empowerment.
[00:18:53.724 --> 00:19:03.529]  And through that move towards individualism, you will set up automatic bulwarks which will frustrate and stop any collectivist model, whether it be fascism, socialism, any of it.
[00:19:03.809 --> 00:19:09.750]  So like a cultural movement, just like with the GMOs, the Prop 37, that was a huge spike in people's interest.
[00:19:09.770 --> 00:19:11.451]  Yeah, it's a velvet revolution.
[00:19:11.811 --> 00:19:20.173]  And the establishment tries to push their own and always act like their tyranny is the cutting, trendy edge of something new, but it's all just more collectivism, more centralization.
[00:19:20.353 --> 00:19:21.993]  Because the big guys don't want competition.
[00:19:22.073 --> 00:19:22.733]  No, of course not.
[00:19:22.813 --> 00:19:25.154]  I mean, I don't have an instinct to try to crush smaller people.
[00:19:26.494 --> 00:19:28.175]  But a lot of other talk show hosts do.
[00:19:28.835 --> 00:19:40.098]  There's also people who want to be the revolutionaries to have power who will actually attack me and say that I've tried to squash them with no evidence because they're playing the part of a revolutionary and casting me as the government.
[00:19:40.678 --> 00:19:45.499]  So, again, there's all the seeds of the next dictatorship within each new revolution.
[00:19:46.119 --> 00:19:51.201]  And so I want a restoration to the Bill of Rights and Constitution, which was never fully realized.
[00:19:52.261 --> 00:19:56.044]  It became the greatest expression of human liberty because a shadow of it was realized.
[00:19:56.104 --> 00:19:56.344]  Yeah.
[00:19:56.904 --> 00:19:57.125]  Yeah.
[00:19:57.445 --> 00:20:00.947]  Well, I mean, every day I work here, I appreciate the Constitution more and more.
[00:20:01.147 --> 00:20:01.588]  It's true.
[00:20:01.748 --> 00:20:03.829]  I read that little booklet that we send out with orders.
[00:20:04.650 --> 00:20:08.353]  Well, I mean, we've got to go say, hey, Constitution, back off.
[00:20:08.393 --> 00:20:10.674]  And it still has some power, like a cross to a vampire.
[00:20:10.935 --> 00:20:12.716]  They still go, we'll be back next time.
[00:20:12.896 --> 00:20:13.536]  Yeah.
[00:20:13.576 --> 00:20:15.578]  And as soon as I left, they're back again.
[00:20:15.598 --> 00:20:16.679]  Shall not be infringed.
[00:20:16.719 --> 00:20:19.221]  But I mean, they know to just keep coming until you give up.
[00:20:19.321 --> 00:20:19.541]  Yeah.
[00:20:19.921 --> 00:20:21.822]  They know to just keep coming, keep coming, keep coming.
[00:20:22.062 --> 00:20:24.223]  Well, we've got to learn to keep coming, keep coming, keep coming.
[00:20:24.263 --> 00:20:24.503]  Yeah.
[00:20:24.963 --> 00:20:25.243]  Yeah.
[00:20:25.263 --> 00:20:26.043]  Well, that's tiring.
[00:20:26.083 --> 00:20:27.364]  It's a lot more tiring than being a slave.
[00:20:27.584 --> 00:20:27.744]  Yeah.
[00:20:27.784 --> 00:20:28.484]  Well, that's true.
[00:20:28.704 --> 00:20:29.125]  Absolutely.
[00:20:29.145 --> 00:20:29.905]  Product placement.
[00:20:29.925 --> 00:20:31.085]  I haven't plugged these yet on air.
[00:20:31.506 --> 00:20:33.686]  The new InfoWars mugs are in, ladies and gentlemen.
[00:20:34.067 --> 00:20:34.707]  Oh, they're so cool.
[00:20:35.580 --> 00:20:37.061]  They hold 15 ounces, too.
[00:20:37.081 --> 00:20:37.921]  They're bigger than normal.
[00:20:37.941 --> 00:20:38.782]  This is my favorite design.
[00:20:38.802 --> 00:20:39.462]  That's why I picked it.
[00:20:39.683 --> 00:20:40.383]  It's awesome.
[00:20:40.483 --> 00:20:41.143]  This type of cup.
[00:20:41.183 --> 00:20:46.327]  But what's even better is that you get a good coffee cup and you fund our operation.
[00:20:46.367 --> 00:20:46.987]  That's why they're cool.
[00:20:47.767 --> 00:20:48.528]  Absolutely.
[00:20:48.548 --> 00:20:52.370]  That last question, I wanted to give a shout out to Codex317.
[00:20:52.450 --> 00:20:53.591]  That's a really good question.
[00:20:55.752 --> 00:21:00.716]  Alright, so this next one is, after the Tribulation, the movie, what an eye-opener.
[00:21:01.056 --> 00:21:09.763]  I've never believed in the pre-Tribulation rapture, but the enormity and intensity of the Tribulation didn't hit me until I saw this movie.
[00:21:10.484 --> 00:21:12.646]  After I saw it, a question kept coming to me.
[00:21:13.166 --> 00:21:14.107]  Here's my question, Alex.
[00:21:14.727 --> 00:21:20.272]  Considering that surveillance techniques and weapons of the one-world government... Apologize, flipping the page.
[00:21:20.532 --> 00:21:21.052]  How dare you?
[00:21:21.112 --> 00:21:21.472]  I know.
[00:21:22.052 --> 00:21:27.854]  Are so advanced, is there any hope that any of us could survive the tribulation through survival techniques?
[00:21:28.074 --> 00:21:31.534]  Aren't we just postponing buying some time by prepping?
[00:21:32.975 --> 00:21:35.535]  That's an incredibly complex question.
[00:21:35.555 --> 00:21:36.775]  It's also a very good question.
[00:21:37.616 --> 00:21:38.736]  That was Catherine, by the way.
[00:21:40.296 --> 00:21:48.658]  The New World Order is going to be rolled out in actuaried, computerized, pre-set, pre-designed requisites, where it rolls out
[00:21:49.818 --> 00:21:57.941]  Incrementally against the population and against the weakest population and we'll always have cover stories for why it's doing it for groups that are above that.
[00:21:58.681 --> 00:22:02.863]  But then in the end game, it's actually moving up towards people with more and more money.
[00:22:04.099 --> 00:22:13.124]  Most tyrannies first start with weak groups to sell the upper classes that it's okay, because they know upper classes like to be on a power trip and feel like they're not going to be affected.
[00:22:13.704 --> 00:22:17.406]  But this one is moving against the poorest, but also moving against the middle class.
[00:22:17.946 --> 00:22:19.747]  So it's vectoring out.
[00:22:20.628 --> 00:22:28.912]  And just by becoming self-sufficient, just by doing little things like a garden or buying organic or talking to your neighbors,
[00:22:30.413 --> 00:22:32.214]  It's not just one track.
[00:22:32.874 --> 00:22:34.155]  There's not just evil in the world.
[00:22:34.235 --> 00:22:35.196]  The good is in the world.
[00:22:36.016 --> 00:22:40.039]  But we just kind of look at this big giant system and marvel at it and think, I could never defeat it.
[00:22:40.299 --> 00:22:41.960]  But it's made up of billions of little parts.
[00:22:42.320 --> 00:22:52.966]  When you start doing things with your will and taking action and voting with your dollars and supporting alternative real media, you build new systems and new ecosystems.
[00:22:53.086 --> 00:22:54.167]  Weren't you talking about that earlier?
[00:22:54.187 --> 00:23:00.012]  You were saying that the only way to establish, like, something new is to just do it yourself, like, outside of the system?
[00:23:00.072 --> 00:23:01.854]  Absolutely, and the universe turns towards it.
[00:23:01.894 --> 00:23:02.454]  It's magic.
[00:23:02.975 --> 00:23:11.002]  I don't mean magic like a bubble bubble toil and trouble, you know, pinch of this and pinch of that, eye of newt and tail of weasel.
[00:23:11.402 --> 00:23:12.664]  I mean, I'm not talking about that.
[00:23:12.704 --> 00:23:17.408]  I mean, just going out and doing things, going out and creating things, threatens the system.
[00:23:17.608 --> 00:23:17.848]  Yeah.
[00:23:17.888 --> 00:23:22.229]  Early on the establishment, I didn't know one tenth of what I know now, came after me.
[00:23:22.269 --> 00:23:24.830]  The local kind of mafia media establishment in Austin.
[00:23:24.850 --> 00:23:25.190]  They were scared.
[00:23:25.530 --> 00:23:38.194]  And the very same people that Lewis Black, that runs the Chronicle, that runs South by Southwest, you know, was just trying to hammer me and shut me down and writing incredible lies, cover stories, just whole cloth, none of it true.
[00:23:38.214 --> 00:23:38.954]  Yeah.
[00:23:39.234 --> 00:23:42.295]  But people would believe it because how could this whole thing be made up?
[00:23:42.615 --> 00:23:44.336]  You know, just like works of fiction.
[00:23:44.376 --> 00:23:44.676]  Do what?
[00:23:44.856 --> 00:23:45.636]  Did you sue him?
[00:23:46.894 --> 00:23:50.259]  Number one, I've always had the instinct that stuff like that will come back on people.
[00:23:50.799 --> 00:23:54.785]  And plus, I know enough about lawsuits, because I have sued people who like to threaten my sister and stuff.
[00:23:54.805 --> 00:23:56.327]  Because then you got to.
[00:23:56.627 --> 00:23:57.869]  And I ended up winning those things.
[00:23:59.178 --> 00:24:05.063]  You know, it's, it's, I mean, Rob do, you know, won a lawsuit for being, you know, falsely arrested in Pittsburgh.
[00:24:05.123 --> 00:24:06.524]  But, you know, sometimes you have to do it.
[00:24:06.584 --> 00:24:06.844]  Yeah.
[00:24:07.024 --> 00:24:10.687]  But I don't even have people out there watching in the wider world even know who I'm talking about.
[00:24:11.247 --> 00:24:15.431]  It's just that whatever you've got on top, there's smaller models of it up close.
[00:24:15.931 --> 00:24:20.294]  And they're not, they're trying to shut down little guys because they think you're pathetic and weak.
[00:24:20.735 --> 00:24:25.238]  They're trying to shut you down if they see real talent because, you know, this is their game.
[00:24:25.579 --> 00:24:25.839]  Yeah.
[00:24:25.979 --> 00:24:27.100]  No, these streets belong to them.
[00:24:28.016 --> 00:24:30.457]  Uh oh, it's like a turf war.
[00:24:30.577 --> 00:24:34.198]  What we think of, we've been taught that the mafia is only Italians.
[00:24:34.839 --> 00:24:39.560]  By the archetypal thing of New Jersey, New York going, buddy, you don't hand that out on the streets here.
[00:24:40.301 --> 00:24:41.841]  But I mean, they try that everywhere.
[00:24:42.081 --> 00:24:46.703]  It didn't work too well in many areas that were more frontier, just because people weren't going to bow to anybody.
[00:24:46.863 --> 00:24:47.843]  Yeah.
[00:24:48.003 --> 00:24:48.864]  They had self-respect.
[00:24:48.964 --> 00:24:55.925]  I feel like a lot of people, on the streets of Austin, it was really fascinating because we had, for South Byte and the crew, there was every kind of person you could imagine.
[00:24:55.986 --> 00:24:59.366]  And the thing is, like, they didn't know how to approach the magazine, a lot of them.
[00:24:59.647 --> 00:25:02.347]  They saw the gun and they saw the American flag and it scared them.
[00:25:02.607 --> 00:25:06.088]  It was like, they didn't, they were like, oh my god, I'm in America, I don't know what that means.
[00:25:06.688 --> 00:25:08.449]  So, just a side note, but that was...
[00:25:08.829 --> 00:25:09.770]  No, you're absolutely right.
[00:25:09.970 --> 00:25:11.391]  That's why it is a provocative cover.
[00:25:11.672 --> 00:25:11.932]  Yeah.
[00:25:12.112 --> 00:25:14.074]  A gun and the flag.
[00:25:14.354 --> 00:25:15.936]  I had a lot of people that were surprising.
[00:25:16.156 --> 00:25:22.642]  You know, they dressed like the typical hipster with the tight skinny jeans and wearing the PBR, you know, whatever the thing is.
[00:25:23.202 --> 00:25:23.603]  Beards.
[00:25:24.083 --> 00:25:26.125]  Yeah, the beard is huge, especially here in Austin.
[00:25:26.605 --> 00:25:31.909]  They would jump out of the group of their friends as I was trying to hand them out on the streets, like, to get this magazine.
[00:25:31.949 --> 00:25:38.454]  So it was also surprising to see the kind of people that I wouldn't assume would want this, but they, like, leapt at me for it.
[00:25:38.534 --> 00:25:42.397]  So I feel, you've said this before, but people are really hungry for the truth.
[00:25:42.657 --> 00:25:49.502]  And, you know, like you said before, we're not always 100%, but the thing is, like, our goal is to tell the truth.
[00:25:49.622 --> 00:25:52.084]  And so I think a lot of mainstream media forgets that.
[00:25:52.444 --> 00:25:53.846]  Well said, Lord Vader.
[00:25:54.466 --> 00:25:59.571]  Going back to your one man doing something, the two guys you had in today doing the printable gun thing.
[00:25:59.652 --> 00:25:59.932]  Yeah.
[00:25:59.952 --> 00:26:01.553]  Putting fear into people's hearts.
[00:26:01.774 --> 00:26:03.395]  Exactly, the printable gun revolution.
[00:26:03.936 --> 00:26:04.677]  Three guys.
[00:26:06.019 --> 00:26:15.266]  And it shows, or Bitcoin or any of this, and it doesn't mean the system might not try to block those guys, or might not try to block Bitcoin.
[00:26:16.026 --> 00:26:24.672]  But still, the idea gets out there, and it shows how more people doing things like that, if the globalists crush them, it'll make them martyrs.
[00:26:26.173 --> 00:26:29.415]  So they've quietly tried to block them, but that only blew up in their face too.
[00:26:31.195 --> 00:26:33.236]  People out there resonate with justice, folks.
[00:26:33.256 --> 00:26:40.080]  That's why you've got to get in the arena, and then the system will try to keep you down, but that's only pure proof of how much power you've got.
[00:26:40.841 --> 00:26:42.842]  I mean, you've got to engage the enemy.
[00:26:42.882 --> 00:26:44.063]  You've got to get in the arena.
[00:26:45.205 --> 00:26:45.665]  Absolutely.
[00:26:46.046 --> 00:26:46.926]  I like it.
[00:26:47.427 --> 00:26:49.468]  I like the energy that we get from these Ask Alex.
[00:26:49.488 --> 00:26:50.389]  They make me very happy.
[00:26:50.409 --> 00:26:58.916]  Alright, so Alex, I was wondering if you've ever heard of or had any feedback on Dr. Wilhelm Reich.
[00:26:59.636 --> 00:27:00.737]  He was a scientist from the 1930s.
[00:27:00.797 --> 00:27:01.057]  Reich.
[00:27:01.498 --> 00:27:01.978]  Is it Reich?
[00:27:02.018 --> 00:27:03.039]  I apologize for saying it wrong.
[00:27:03.079 --> 00:27:03.820]  No, no, no.
[00:27:04.000 --> 00:27:04.921]  He was a scientist from the 30s.
[00:27:04.941 --> 00:27:07.483]  It's potato patata, but they all say William Reich.
[00:27:07.703 --> 00:27:07.863]  Cool.
[00:27:08.483 --> 00:27:21.166]  He discovered and managed to measure a previously undiscovered form of energy which he named Orgon energy and the United States government ruined his reputation just like we were talking about right now and tried to disprove his findings.
[00:27:21.206 --> 00:27:26.327]  Yeah, let me be clear.
[00:27:26.347 --> 00:27:32.708]  He... They've discovered the dark matter and they've discovered that there's a hard wiring holding everything in together.
[00:27:33.909 --> 00:27:35.929]  And they've discovered the God particle and the rest of it.
[00:27:37.446 --> 00:27:41.571]  He obviously was able to pick up on some of what Tesla called the ether.
[00:27:42.762 --> 00:27:48.463]  But then he also kind of got far afield, as I've heard some of the recordings, as he got older.
[00:27:48.823 --> 00:27:54.584]  And then a lot of quacks have come and picked up what he did and discredited a lot of what he's done.
[00:27:55.064 --> 00:27:55.804]  So it's both.
[00:27:56.184 --> 00:27:58.185]  By not being able to recreate his experiments?
[00:27:58.385 --> 00:28:07.506]  Or by just saying they're selling, you know, organ generators or they've developed things that will cure cancer or, you know, this system will do that.
[00:28:07.526 --> 00:28:09.167]  I mean, there's something to what he discovered.
[00:28:09.187 --> 00:28:11.087]  And he was very, you know, visionary.
[00:28:12.067 --> 00:28:15.709]  And the ancients and the occultists, you know, are into shapes and energies and things.
[00:28:15.729 --> 00:28:16.749]  There's definitely something to it.
[00:28:16.909 --> 00:28:17.149]  Right.
[00:28:17.429 --> 00:28:18.770]  It's just that it's hard to quantify.
[00:28:18.790 --> 00:28:20.330]  It's like they've proven there's a sixth sense.
[00:28:20.930 --> 00:28:24.812]  They've proven that there is clairvoyance, but it's not very controllable.
[00:28:25.152 --> 00:28:27.973]  So you've got quacks then that claim they're totally psychic.
[00:28:28.273 --> 00:28:28.473]  Right.
[00:28:28.553 --> 00:28:32.775]  But then I personally have had dreams that I call waking dreams that actually come true.
[00:28:32.815 --> 00:28:33.855]  And you know when you're having one.
[00:28:34.295 --> 00:28:35.316]  It freaks you out because
[00:28:36.544 --> 00:28:37.624]  Happened a lot more when I was young.
[00:28:37.644 --> 00:28:41.345]  That's why I think young people, you know, are more psychic or whatever, before the world gets to them and all the things.
[00:28:42.065 --> 00:28:43.746]  So I know there's a lot of stuff out there.
[00:28:43.766 --> 00:28:45.006]  And that's all spiritual people are.
[00:28:45.326 --> 00:28:48.287]  We're saying we know there's stuff out there that hasn't been understood or discovered.
[00:28:48.727 --> 00:28:50.747]  And the atheists are like, no, it's only this.
[00:28:50.827 --> 00:28:54.248]  And they always seem, the ones I know, to buy into whatever the official line is.
[00:28:54.288 --> 00:28:57.109]  It's like questioning means, you know, you're a kook.
[00:28:58.769 --> 00:29:02.630]  And, but again, but it's also kind of both, because I've looked into him.
[00:29:03.291 --> 00:29:04.612]  Okay, well that's really interesting.
[00:29:04.672 --> 00:29:07.454]  Yeah, I haven't looked into alternative energy.
[00:29:07.594 --> 00:29:09.015]  Rife generators, all of it, yeah.
[00:29:09.255 --> 00:29:10.456]  It seems really interesting.
[00:29:10.476 --> 00:29:11.037]  It's a minefield.
[00:29:11.497 --> 00:29:12.018]  I can imagine.
[00:29:12.538 --> 00:29:13.238]  I like life.
[00:29:13.779 --> 00:29:15.160]  Alright, so this is the last question.
[00:29:15.880 --> 00:29:21.244]  Alex, I'm 62 years old and I've been on antidepressant medication since I was in my early teens.
[00:29:21.825 --> 00:29:25.007]  I had no criminal record and I've never thought of hurting another person.
[00:29:25.067 --> 00:29:29.671]  I've tried on many occasions to stop this medication, but it never works.
[00:29:29.711 --> 00:29:32.092]  I end up on major depressive episodes, etc.
[00:29:32.953 --> 00:29:39.680]  And I just wanted to say that I hope that you consider the fact that not all people on antidepressant medicines are prone to mass shootings.
[00:29:39.780 --> 00:29:44.284]  And obviously, I'll finish this question, but even violence towards other humans.
[00:29:44.445 --> 00:29:47.828]  I own guns but have never used them for any purpose other than hunting.
[00:29:47.888 --> 00:29:50.531]  I could never live with myself if I was to kill an innocent person.
[00:29:51.412 --> 00:29:53.514]  What are your thoughts on this?
[00:29:54.281 --> 00:29:58.764]  Well, not everybody that takes LSD goes and jumps off a 20-story balcony.
[00:29:58.985 --> 00:29:59.265]  Right.
[00:30:00.306 --> 00:30:07.091]  I'm sure there are some people, however they're chemically wired, that, you know, one man's poisons another person's...
[00:30:08.183 --> 00:30:08.683]  It's true.
[00:30:08.743 --> 00:30:10.184]  I drink red wine and I get calf cramps.
[00:30:10.204 --> 00:30:13.026]  I have to take a ton of magnesium to supplement for that.
[00:30:13.186 --> 00:30:18.230]  So that's my, that's my... Yeah, so, so, you know, one person's trash, another man's treasure.
[00:30:19.551 --> 00:30:22.253]  So I don't, I mean, they're kind of oversimplifying their question.
[00:30:22.293 --> 00:30:23.213]  I'm not criticizing them.
[00:30:23.934 --> 00:30:35.382]  I'm saying that if you look at it, almost every mass shooter has been on antipsychotics or psychotropics and the inserts admit that in a certain statistical part, it takes the inhibition away.
[00:30:35.782 --> 00:30:36.783]  As soon as I heard that a guy...
[00:30:37.523 --> 00:30:40.685]  I killed a cop a few months ago in Austin, just in cold blood, for no reason, in a Walmart.
[00:30:40.725 --> 00:30:42.345]  I said, he'll be on antidepressants, and he was.
[00:30:43.026 --> 00:30:44.366]  He mixed alcohol with them.
[00:30:45.467 --> 00:30:48.749]  And the guy was like a zombie, walking around with a gun, and the cop walks up and he just shoots him.
[00:30:49.629 --> 00:30:51.370]  And they described him as zombie-like.
[00:30:51.410 --> 00:30:52.291]  Well, he's on drugs.
[00:30:52.831 --> 00:30:54.332]  And it's prescription drugs that do that.
[00:30:55.152 --> 00:30:59.394]  And, you know, if you've been wired up on these drugs a long time, your brain gets where they're addicted to them.
[00:31:00.134 --> 00:31:02.896]  And I would guess that person's probably been put on more and more over the years.
[00:31:03.336 --> 00:31:04.537]  Because it stops working.
[00:31:05.427 --> 00:31:09.111]  I mean, I've known people that are on a bunch of psychotropics and they're happy as can be.
[00:31:10.192 --> 00:31:11.854]  But again, when are they going to have that bad trip?
[00:31:12.194 --> 00:31:12.415]  Yeah.
[00:31:12.655 --> 00:31:16.699]  Okay, acid for most people doesn't hurt them, but the wrong person takes it, you know, they kill their whole family.
[00:31:16.940 --> 00:31:17.160]  Yeah.
[00:31:17.180 --> 00:31:20.884]  So all I'm saying is these are very dangerous drugs in the hallucinogen class in the psychotropic family.
[00:31:21.610 --> 00:31:24.151]  They're in the general hallucinogen class, psychotropic family.
[00:31:25.632 --> 00:31:27.233]  And they are hallucinogenic.
[00:31:27.873 --> 00:31:30.515]  And they put you in kind of a trance, daydream area.
[00:31:31.055 --> 00:31:34.036]  And sure, you're probably a really nice person, so that's fine, you're not a danger.
[00:31:34.577 --> 00:31:37.278]  They're going to try to say you can't own guns soon because you're on these drugs.
[00:31:37.798 --> 00:31:40.280]  Because statistically that's... I don't think you should lose your right.
[00:31:40.580 --> 00:31:42.060]  Because they'll just use it to take my right.
[00:31:42.180 --> 00:31:44.922]  I'm not on them, but I say let the felons all have guns.
[00:31:45.444 --> 00:31:46.165]  Yeah.
[00:31:46.306 --> 00:31:50.272]  Because they're now making felons about a guy that releases balloons to his girlfriend.
[00:31:50.753 --> 00:31:52.115]  The guy's gonna go to jail for felonies.
[00:31:52.135 --> 00:31:53.237]  Environmental endangerment.
[00:31:55.504 --> 00:31:59.647]  Again, my issue is, is that psychotropics have been connected to this.
[00:31:59.667 --> 00:32:00.748]  They're forcing them on people.
[00:32:00.788 --> 00:32:02.309]  And I'm not saying go off of them for you.
[00:32:03.130 --> 00:32:08.914]  I'm saying they have regimens, doctors have regimens to go off them over several months, very slowly.
[00:32:09.195 --> 00:32:11.096]  Get extra sun, get extra exercise.
[00:32:11.717 --> 00:32:13.578]  There's a lot of supplements in major studies.
[00:32:14.339 --> 00:32:15.199]  I'm not telling you what to do.
[00:32:15.219 --> 00:32:16.080]  I'm talking about what I've read.
[00:32:16.180 --> 00:32:16.400]  St.
[00:32:16.440 --> 00:32:18.081]  John's wort, so many other things that have.
[00:32:19.162 --> 00:32:21.804]  And double blind studies are better effect than the Prozac type drugs.
[00:32:22.305 --> 00:32:24.286]  So there's also natural things you can do.
[00:32:25.407 --> 00:32:30.591]  And of course they say don't really mess, a lot of doctors I talk to say well they're trying to mess with serotonin.
[00:32:31.032 --> 00:32:33.293]  Why not deal with all these other things that are in your body?
[00:32:33.333 --> 00:32:34.875]  I mean there's other alternatives out there.
[00:32:34.895 --> 00:32:35.935]  Well and most of it's in your gut.
[00:32:36.135 --> 00:32:39.458]  Like 80% or 70% of your serotonin is actually in your gut.
[00:32:39.538 --> 00:32:42.220]  So I mean everyone's been misinformed thinking it's only in your brain.
[00:32:42.300 --> 00:32:48.105]  But actually what that means is you need to eat healthy because if your gut isn't absorbing the right nutrients you're going to feel like crap.
[00:32:48.385 --> 00:32:51.446]  Exactly, when the gut's connected to all those nerves that go right to the brain.
[00:32:51.626 --> 00:32:51.986]  Exactly.
[00:32:52.006 --> 00:32:55.447]  Right through the spinal cord nerve endings.
[00:32:55.467 --> 00:32:56.187]  It's just amazing.
[00:32:56.548 --> 00:32:59.188]  Well, that's a great question and that was a great Ask Christy.
[00:32:59.588 --> 00:33:01.809]  Well, thank you guys again for all the questions.
[00:33:01.869 --> 00:33:05.110]  Keep them coming in the Ask Alex group on PlanetInfoWars.com.
[00:33:05.810 --> 00:33:07.091]  We'll try to get these out a little more.
[00:33:07.111 --> 00:33:10.792]  I'll bug Alex a little more here to get them out to you a little more often.
