[00:00:35.926 --> 00:00:37.388]  It's Monday, April 8, 2013.
[00:25:17.984 --> 00:25:18.364]  That's right.
[00:25:19.005 --> 00:25:34.377]  I'm a veteran, and it's really sad the government wants the veterans to go overseas and fight wars, to take over resources, to try to control other nations, and then when they come home, all of a sudden they become the enemy.
[00:25:34.617 --> 00:25:35.118]  Right.
[00:25:35.398 --> 00:25:37.219]  You're viewed as the new terror threat.
[00:25:37.259 --> 00:25:40.742]  Veterans, people who have religion, people who homeschool.
[00:25:41.683 --> 00:25:42.764]  You're viewed as the new threat.
[00:25:43.084 --> 00:25:46.865]  Right, and the reason that you're a threat is because you are a danger to the government.
[00:25:47.165 --> 00:25:49.545]  And even when the government is wrong, it doesn't matter.
[00:25:49.786 --> 00:25:51.366]  They don't want anyone who's going to question them.
[00:25:51.566 --> 00:25:53.106]  That's why homeschoolers are a threat.
[00:25:53.366 --> 00:25:55.747]  Because homeschoolers learn to question authority.
[00:25:55.767 --> 00:25:57.127]  You know, well, what's the truth?
[00:25:57.167 --> 00:26:00.468]  And they're willing to try to dig down and find out what the truth is.
[00:26:00.748 --> 00:26:01.448]  They can't have that.
[00:26:01.468 --> 00:26:05.649]  They want people who are socialized and indoctrinated through their own government schools.
[00:26:06.129 --> 00:26:06.549]  Exactly.
[00:26:06.589 --> 00:26:08.690]  Now, you're involved in homeschooling, correct?
[00:26:08.790 --> 00:26:09.150]  That's right.
[00:26:09.830 --> 00:26:10.891]  Can you tell us a little more about that?
[00:26:11.171 --> 00:26:13.953]  Yeah, so I'm a homeschooling advocate and a consultant.
[00:26:14.073 --> 00:26:15.694]  I'm a huge fan of it.
[00:26:15.754 --> 00:26:29.742]  I used to be into education reform, school vouchers and charter schools, and then I realized that I could have put my entire life into those endeavors and all I was going to do was move the needle a little bit and maybe save 10,000 kids' lives.
[00:26:30.122 --> 00:26:37.167]  But through homeschooling and other alternatives, we can take tens of millions of kids out of the public school system and improve their lives.
[00:26:37.227 --> 00:26:39.288]  So I decided to put my effort behind homeschooling.
[00:26:39.949 --> 00:26:41.630]  Is there any other big issue?
[00:26:41.650 --> 00:26:47.211]  We're getting off topic of your particular case, but what is the big issue to you right now in the United States of America?
[00:26:47.652 --> 00:26:51.393]  Well, for me, a big one is definitely the police state that we live under.
[00:26:51.413 --> 00:26:54.854]  And I'm trying to convince people that
[00:26:55.254 --> 00:26:57.196]  They don't have to accept what's going on.
[00:26:57.316 --> 00:26:59.258]  They don't have to bow down before the police.
[00:26:59.558 --> 00:27:06.105]  And they don't have to buy into the rhetoric that the police are here to protect us and that we must listen to them for our own good.
[00:27:06.165 --> 00:27:11.610]  I want people to start questioning them, start challenging them, recording them, and calling them out.
[00:27:11.671 --> 00:27:14.553]  And when they commit crimes, intervening to stop those crimes.
[00:27:14.894 --> 00:27:18.257]  Because if we wait too long, it's going to be too late.
[00:27:19.518 --> 00:27:20.958]  Just like in Nazi Germany.
[00:27:21.379 --> 00:27:25.079]  Some people have a problem with references to historical things that happened.
[00:27:25.119 --> 00:27:28.600]  But in Nazi Germany, they slowly chipped away at people's rights.
[00:27:28.940 --> 00:27:31.181]  And then they were putting people in boxcars.
[00:27:31.241 --> 00:27:32.721]  I don't want people to have to wait until then.
[00:27:32.781 --> 00:27:34.022]  I want people to start standing up.
[00:27:34.342 --> 00:27:39.803]  Because there's millions of people who have been victimized in this country because of the corruption within the Thin Blue Line.
[00:27:40.403 --> 00:27:40.864]  Exactly, exactly.
[00:28:00.376 --> 00:28:03.058]  You've been arrested, you've been brutalized.
[00:28:03.658 --> 00:28:11.603]  What tips do you have for somebody, you know, an activist, they may see a, you know, an act of police corruption and they want to tape the incident and they want to speak out on it.
[00:28:11.643 --> 00:28:12.764]  What would you recommend to somebody?
[00:28:13.364 --> 00:28:17.246]  Well, the first thing that I always recommend to everyone is to think about it beforehand.
[00:28:17.366 --> 00:28:20.268]  So think about it right now as you're listening to this broadcast.
[00:28:20.608 --> 00:28:25.892]  Don't wait until the thing happens to say, okay, well now is an appropriate time for me to do something.
[00:28:26.432 --> 00:28:28.313]  And you have to take into account your
[00:28:28.633 --> 00:28:29.194]  We're good to go.
[00:28:52.253 --> 00:28:55.735]  It should be taken into consideration when you're trying to figure out, well, what will I do?
[00:28:56.595 --> 00:29:05.260]  But assuming that you're willing to go ahead and record the police and try to stand up for people, the number one thing you can do is don't wait until something happens to record.
[00:29:05.680 --> 00:29:15.144]  Record the police as soon as they start interacting with someone, because if you try to record after the cop pulls a gun or after the cop assaults someone, you just missed the most important part.
[00:29:16.085 --> 00:29:16.485]  Exactly.
[00:29:16.545 --> 00:29:20.027]  Now, Antonio Beeler, I want you to look right there in that camera and give us your final thoughts.
[00:29:21.068 --> 00:29:39.786]  I would just encourage people to stand up to authority, to start questioning, start challenging your friends and family on what their preconceived notions of what structure in society is supposed to be, and try to look for alternative solutions, try to look for ways to
[00:29:40.427 --> 00:29:42.228]  Protect and serve and defend one another.
[00:29:42.948 --> 00:29:50.190]  If there's a problem in society, figure out, is there something I can do to help my neighbor without having to call in the government to help me?
[00:29:50.590 --> 00:30:04.594]  And by seeking out alternative solutions and not relying on the people with badges and guns, hopefully we can minimize the abuse of government and empower voluntary communities to do what's best for everyone.
[00:30:05.314 --> 00:30:05.494]  All right.
[00:30:05.875 --> 00:30:07.376]  Antonio Biela, PeacefulStreets.com.
[00:30:07.416 --> 00:30:08.217]  Thank you for your time, sir.
[00:30:08.237 --> 00:30:08.577]  Thank you.
[00:30:08.597 --> 00:30:09.137]  I appreciate it.
[00:30:09.337 --> 00:30:10.919]  And that's the end of our broadcast.
[00:30:10.959 --> 00:30:14.842]  Now, don't forget, Operation Paul Revere is running to the end of this month.
[00:30:15.102 --> 00:30:20.066]  You have until April 30th to get your submission and $115,000 in prizes.
[00:30:20.426 --> 00:30:22.528]  Go to InfoWars.com for more detail.
[00:30:22.908 --> 00:30:23.668]  I'm Takari Jackson.
[00:30:23.688 --> 00:30:26.751]  Thanks to Alex Jones for hosting our news portion, and I'll see you tomorrow night.
