[00:00:09.747 --> 00:00:10.169]  Oh, no.
[00:39:21.381 --> 00:39:22.361]  There's no question about it.
[00:39:22.361 --> 00:39:24.282]  Just ask Prince Andrew.
[00:39:24.282 --> 00:39:25.102]  He'll tell you about it.
[00:39:25.102 --> 00:39:27.923]  I really like how Trump's attacking now.
[00:39:27.923 --> 00:39:29.084]  Don't wait until October.
[00:39:30.265 --> 00:39:32.466]  Attack, launch everything now.
[00:39:32.466 --> 00:39:38.370]  Maxwell is in prison, and so a lot of people want to know if she's going to turn in powerful people.
[00:39:38.370 --> 00:39:40.771]  Do you feel that she's going to turn in powerful men?
[00:39:40.771 --> 00:39:42.372]  How do you see that working out?
[00:39:42.372 --> 00:39:42.872]  I don't know.
[00:39:42.872 --> 00:39:44.734]  I haven't really been following it too much.
[00:39:44.734 --> 00:39:45.794]  I just wish her well.
[00:39:45.794 --> 00:39:48.276]  He said he wishes Ghislaine Maxwell well?
[00:39:48.276 --> 00:39:51.578]  You really don't want Trump wishing you well.
[00:39:51.578 --> 00:39:55.440]  When Trump starts wishing you well, you should get a little angel of death flapping above you.
[00:39:57.637 --> 00:40:00.359]  Alright folks, again, I'm not throwing a temper tantrum here.
[00:40:00.359 --> 00:40:16.509]  I am physically sick of looking at Fauci, and Birx, and Hillary, and Biden, and the New World Order, and all their criminal activity, and how they admit they're closing a tourniquet around our neck, and how we'll never come out of lockdown, and how they're gonna put implantable chips in us.
[00:40:16.509 --> 00:40:19.391]  It just... I'm seriously pissed.
[00:40:19.391 --> 00:40:24.675]  And now they've shut down parks all over Austin, and say they're gonna get registered and be COVID-tracked to do it.
[00:40:24.675 --> 00:40:26.276]  They're coming to our houses next!
[00:40:27.625 --> 00:40:28.405]  That's it, man.
[00:40:28.405 --> 00:40:30.286]  I'm not putting up with it anymore.
[00:40:30.286 --> 00:40:30.886]  That's it.
[00:40:30.886 --> 00:40:33.508]  It's time for serious civil disobedience.
[00:40:33.508 --> 00:40:37.809]  We should just open the phones up about what we should do with plans, and I'm doing it today.
[00:40:37.809 --> 00:40:38.950]  I'm done.
[00:40:38.950 --> 00:40:40.251]  I'm done, man.
[00:40:40.251 --> 00:40:41.051]  I'm done.
[00:40:41.051 --> 00:40:43.592]  You people want a damn war, you're gonna get one.
[00:40:43.592 --> 00:40:49.975]  I'm not gonna sit here while you chain us up, and then have your way with us, you globalist enemies, you pieces of criminal filth!
[00:40:51.181 --> 00:40:54.684]  See, used to I let myself blow up on air, and instead I'm going to do it off air.
[00:40:54.684 --> 00:40:56.205]  No, I'm going to do it on air.
[00:40:56.205 --> 00:40:58.847]  And then I'm going to do it physically out in the streets!
[00:40:58.847 --> 00:40:59.888]  You murderer!
[00:40:59.888 --> 00:41:01.470]  You Bill Gates!
[00:41:01.470 --> 00:41:02.951]  Oh, you murderer!
[00:41:02.951 --> 00:41:03.251]  Bill Gates!
[00:41:06.707 --> 00:41:08.369]  It's finally here.
[00:41:08.369 --> 00:41:12.473]  Introducing the new Survival Shield X2 Spray.
[00:41:12.473 --> 00:41:18.819]  Available now for 33% off at InfoWarsTore.com.
[00:41:18.819 --> 00:41:28.247]  Listeners have been asking us for months to develop an iodine spray made with our exclusive Deep Earth Crystal Nascent Iodine.
[00:41:29.028 --> 00:41:43.575]  Our proprietary new Aerodyne technology allows us to harness the full power of ancient iodine crystals from 7,000 feet below the Earth's surface into the ultimate spray formula.
[00:41:43.575 --> 00:41:51.659]  Iodine is an essential mineral that helps support thyroid health, healthy metabolism, and healthy cognitive function.
[00:41:52.339 --> 00:41:59.946]  Get the new Survival Shield X2 Spray for 33% off intro pricing at InfoWarStore.com.
[00:41:59.946 --> 00:42:04.651]  That's Survival Shield X2 Spray at InfoWarStore.com.
[00:42:06.772 --> 00:42:08.593]  You can't make this stuff up.
[00:42:36.732 --> 00:42:37.352]  We're good.
[00:43:08.152 --> 00:43:16.338]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[00:43:17.628 --> 00:43:22.372]  And that's why we made one of our most popular formulas to date.
[00:43:22.372 --> 00:43:24.713]  Super Male Vitality!
[00:43:24.713 --> 00:43:33.580]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[00:43:33.580 --> 00:43:44.428]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[00:43:44.708 --> 00:43:45.409]  Yes.
[00:43:45.409 --> 00:43:50.312]  We're talking about ancient wisdom combined with modern technology.
[00:43:50.312 --> 00:43:57.258]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[00:43:57.258 --> 00:43:58.299]  So what are you waiting for?
[00:43:58.299 --> 00:44:00.140]  Go to the InfoWars store.
[00:44:00.140 --> 00:44:02.962]  Never been a better time than right now.
[00:44:02.962 --> 00:44:08.346]  Super Male Vitality at InfoWarsStore.com.
[00:44:08.346 --> 00:44:10.468]  Human freedom.
[00:44:10.468 --> 00:44:11.649]  The Wild Wild West.
[00:44:14.136 --> 00:44:16.397]  America.
[00:44:16.397 --> 00:44:18.517]  Human liberty.
[00:44:18.517 --> 00:44:26.579]  The West built all the freedom, all the choices, all the empowerment we see.
[00:44:26.579 --> 00:44:32.840]  The general population has been programmed that submission to tyranny brings them prosperity.
[00:44:32.840 --> 00:44:37.081]  Because in the last 50 years, under psychotic globalist control, they have
[00:44:41.128 --> 00:44:41.649]  We're good.
[00:45:10.191 --> 00:45:12.832]  You're listening to The Alex Jones Show.
[00:45:38.360 --> 00:45:48.102]  Every time we feel overwhelmed by the scientific terror that the New World Order Illuminati are launching against us, remember, they want to be God, but they're not God.
[00:45:48.102 --> 00:45:54.224]  And their plans will always end up being destroyed in the end, but we the faithful have to go through it, that's part of the test.
[00:45:54.224 --> 00:46:03.846]  And so pray to God for guidance, pray for God for protection, but also pray for God for the strength and the will to be leaders and to stand against this.
[00:46:06.448 --> 00:46:13.613]  Last night, this morning, and getting in here to the office doing research for the show, I physically got angry and I've been trying to control it.
[00:46:13.613 --> 00:46:21.579]  But you know, it's normal to get angry when a group of multinational banks that have created the debt bubble are artificially putting us in
[00:46:23.117 --> 00:46:30.800]  To a collapse mode to have a global reset, which they will then blame on COVID-19 that they themselves released.
[00:46:30.800 --> 00:46:38.082]  COVID-19 isn't causing the global depression, the global reset out of which the new global cashless society is openly emerging.
[00:46:38.082 --> 00:46:41.823]  Exploding on the scene.
[00:46:41.823 --> 00:46:48.746]  COVID-19 hysteria is the well thought out Rockefeller, Bill and Melinda Gates Foundation plans that are public.
[00:46:48.746 --> 00:46:49.586]  That's what's so incredible.
[00:46:50.964 --> 00:46:55.169]  For the emergence of what they've already beta tested in Communist China.
[00:46:55.169 --> 00:46:57.751]  And across the Western world.
[00:46:57.751 --> 00:47:03.377]  And so when you read headlines like, mass starvation, millions dying because of COVID.
[00:47:03.377 --> 00:47:07.141]  COVID didn't kill them, the lockdown did.
[00:47:07.141 --> 00:47:08.963]  COVID causing mass suicides.
[00:47:08.963 --> 00:47:11.346]  No, the lockdown caused mass suicides.
[00:47:11.346 --> 00:47:12.928]  And that's all a fact!
[00:47:16.098 --> 00:47:19.822]  A fact they overblew the death numbers 25 times what they said it'd be.
[00:47:19.822 --> 00:47:24.548]  A fact they used death numbers for all these other people that died of other things, even in the little shrunken number.
[00:47:24.548 --> 00:47:28.252]  It's fake, upon fake, upon fake.
[00:47:28.252 --> 00:47:30.915]  Just like the fiat currencies they put out.
[00:47:30.915 --> 00:47:31.816]  So let me break this down.
[00:47:33.072 --> 00:47:52.567]  It is very one-dimensional of these different so-called conservative media pundits, financial experts, that go out and say, America is going down, the dollar's dead, it's all over, Trump's done a terrible job, the stimulus packages were the wrong thing to do, the dollar's going down, it's over.
[00:47:56.107 --> 00:48:01.269]  Because we already inflated the currency past the point of no return before Trump got in.
[00:48:01.269 --> 00:48:07.492]  We already had hundreds of trillions of dollars of fake debt globally that the New World Order had signed us on to.
[00:48:07.492 --> 00:48:08.892]  They'd already done it.
[00:48:08.892 --> 00:48:10.893]  They were looking for the reset.
[00:48:10.893 --> 00:48:12.494]  They were going to have the bio release.
[00:48:12.494 --> 00:48:14.075]  They were going to have COVID-19.
[00:48:14.075 --> 00:48:15.975]  They were going to have the reset under Hillary.
[00:48:15.975 --> 00:48:16.836]  They now admit that.
[00:48:18.302 --> 00:48:31.551]  They admit it's a drill to blame the collapse and the starvation and the civil unrest and the death on the COVID while they come out in every financial publication and say the dollar's dead, America's over.
[00:48:31.551 --> 00:48:39.656]  Whoever ends up with the EU over-inflating its currency, the Communist Chinese over-inflating their currency, they're all doing it.
[00:48:39.656 --> 00:48:45.060]  Whoever ends up with the dominant global currency, who can flood the world with the most of their currency,
[00:48:45.902 --> 00:48:54.985]  Who can be on top when it all goes down, will be in charge, like after World War II in Bretton Woods, for another 70, 80 years.
[00:48:54.985 --> 00:48:57.485]  And you can say it's a corrupt system, you can say it's fiat.
[00:48:57.485 --> 00:49:07.488]  The very Federal Reserve that set it up, is getting rid of our hegemonic power now, to give it to the Chi-Coms and themselves completely!
[00:49:07.488 --> 00:49:09.289]  They're done with us!
[00:49:09.289 --> 00:49:12.729]  Like Darth Sidious done with Count Dooku!
[00:49:12.729 --> 00:49:14.270]  We're being flushed down the toilet!
[00:49:15.205 --> 00:49:26.151]  And then, America will completely collapse into hell on earth, the likes of which you've never seen, and they've already built the fire and lit the match.
[00:49:26.151 --> 00:49:37.696]  Oh, race war did it, and COVID did it, and America's systemic problems, and America's done, and America's finished, and America's rotten, and America was never good, and America was never great, it'll never be great.
[00:49:37.696 --> 00:49:41.819]  And all the headlines about the evils of the country, and how it just was, you know,
[00:49:43.279 --> 00:49:45.341]  48 years old and it's over and it's gone.
[00:49:45.341 --> 00:49:54.487]  Wall Street Journal, New York Times, LA Times, Washington Post, Newsweek, Time Magazine, Austin American Statesman, CBS News, NBC News, ABC News.
[00:49:54.487 --> 00:49:55.027]  We're done.
[00:49:55.027 --> 00:49:55.588]  We're over.
[00:49:55.588 --> 00:49:56.108]  We suck.
[00:49:56.108 --> 00:49:59.090]  We're terrible.
[00:49:59.090 --> 00:50:10.198]  That's globalist multinational corporations, the Chi-Coms, the EU, Hollywood, all of it, about to bring us down, take us into massive, total, complete debt.
[00:50:11.511 --> 00:50:11.992]  We're good to go.
[00:50:29.830 --> 00:50:49.355]  Where you've got to sign up to go to the park or to leave your house and all these idiots wear their masks and get into it like they're heroes because they're a bunch of lazy schmucks that let us get into this position to begin with and now they want to take us down with them all the way.
[00:50:49.355 --> 00:50:52.256]  So that's it.
[00:50:52.256 --> 00:50:53.836]  They're economically imploding us.
[00:50:53.836 --> 00:50:55.177]  They're culturally imploding us.
[00:50:55.177 --> 00:50:56.557]  They're spiritually imploding us.
[00:50:58.442 --> 00:51:00.604]  COVID House of Cards collapsing.
[00:51:00.604 --> 00:51:03.386]  Fauci called out over vaccine royalties.
[00:51:03.386 --> 00:51:06.569]  He didn't just lie about everything.
[00:51:06.569 --> 00:51:11.272]  He didn't just run the Wuhan lab, basically.
[00:51:11.272 --> 00:51:13.594]  He makes the money off of it with who?
[00:51:13.594 --> 00:51:16.356]  Bill and Melinda Gates.
[00:51:16.356 --> 00:51:19.839]  But you hear, oh, Bill Gates is a philanthropist.
[00:51:19.839 --> 00:51:25.844]  His money went tax-free 30 years ago, and he's quintupled it since then.
[00:51:25.844 --> 00:51:26.745]  Just what we know of.
[00:51:29.778 --> 00:51:31.739]  Same thing with Warren Buffett.
[00:51:31.739 --> 00:51:43.626]  Because the money's meant to be used in an alternate global government to carry out depopulation because they've taken the world over by fiat fraud a trillion times bigger than Bernie Madoff.
[00:51:43.626 --> 00:51:49.650]  So imagine if Bernie Madoff controlled governments and armies and militaries and national health services.
[00:51:49.650 --> 00:51:57.695]  When he was getting ready to bring his Ponzi scheme down, he would just release a bioweapon and use that as the cover for the whole new digital system
[00:51:59.002 --> 00:52:21.672]  Where your planetary medical tracking code on your phone or in a chip in your skin or on a bracelet or a face scan or a thumbprint is tied to everything you do in your job and where your digital money is put in if you perform the task, not just of your job, but socially how you're supposed to behave.
[00:52:21.672 --> 00:52:26.234]  Take your eight-year-old son, have his testicles chopped off, $100,000 put in your credit box.
[00:52:26.234 --> 00:52:27.115]  They're talking about this.
[00:52:28.666 --> 00:52:37.590]  You decide to commit euthanasia at a certain point in five years to lower the carbon footprint of the earth, you'll be a hero a million credits.
[00:52:37.590 --> 00:52:38.931]  This is their plan!
[00:52:38.931 --> 00:52:43.954]  This isn't some science fiction dystopia!
[00:52:43.954 --> 00:52:49.416]  Because we're like trained seals, that for fish, we'll do whatever we're told.
[00:52:49.416 --> 00:52:53.338]  See, an animal doesn't understand the confines it's in.
[00:52:53.338 --> 00:52:54.939]  It doesn't understand the false reality.
[00:52:56.277 --> 00:52:58.605]  You as a human can change your environment.
[00:52:58.605 --> 00:53:01.294]  And you can understand that they're putting us into a cage of false...
[00:53:02.489 --> 00:53:05.290]  Digital environment to make us weak for extermination.
[00:53:05.290 --> 00:53:27.039]  Instead, you can overcome it, not support it, and begin to sabotage and smash it everywhere, just like the globalist communist satanists are smashing local government, police departments, the family, local schools, real infrastructure, anything that empowers people, because none of that stuff's perfect, but we built it and it was good overall.
[00:53:27.039 --> 00:53:30.761]  It's being removed where there's no economy but the New World Order.
[00:53:34.431 --> 00:53:39.653]  Where all of the district attorneys are appointed by Soros and the New World Order.
[00:53:39.653 --> 00:53:41.774]  That's how they legalize pedophilia.
[00:53:41.774 --> 00:53:43.996]  That's how they legalize open satanism.
[00:53:43.996 --> 00:53:45.936]  Because they are the law.
[00:53:45.936 --> 00:53:47.057]  They are the man.
[00:53:47.057 --> 00:53:53.060]  And they're just muscling in on the officers themselves to kill whatever pro-America culture was left there.
[00:53:53.060 --> 00:53:57.922]  To break their will, run off the good guys, and open the slots for their bad guys to go in.
[00:53:57.922 --> 00:53:59.483]  So the real reign of terror starts.
[00:54:00.933 --> 00:54:10.516]  And if they're successful in those phases and we're actually having to fight the security apparatus of the satanic New World Order, oh, we'll be the biggest criminals on earth fighting the police.
[00:54:10.516 --> 00:54:22.059]  Because they won't be the police then, they'll be the Stasi, they'll be the NKVD, they'll be the Gestapo, they'll be the sword of Satan.
[00:54:22.059 --> 00:54:24.060]  And so the globalists are fighting over
[00:54:25.558 --> 00:54:27.620]  The security apparatus.
[00:54:27.620 --> 00:54:30.862]  Oh, they got good people to go along with the security apparatus.
[00:54:30.862 --> 00:54:36.266]  It violates our rights for the bitter good, because, you know, the good guys were in control of it, and that's how we stopped the bad guys.
[00:54:36.266 --> 00:54:49.196]  But notice now, the bad guys are almost in total control of a worldwide panopticon surveillance system, the likes of which Hitler couldn't even dream of, and we're inches away from falling under the control
[00:54:50.740 --> 00:54:57.066]  ...of these individuals and the system that's in place to be able to go to the park, or have a job, or leave your house.
[00:54:57.066 --> 00:55:02.111]  And then, of course, if you can't leave your house, you're gonna lose your house, and you're gonna be homeless!
[00:55:04.701 --> 00:55:12.607]  But if you're not in the right club and you're homeless, a group of vigilantes are going to come by because the police have been defunded, and they're going to kill you.
[00:55:12.607 --> 00:55:17.832]  Because how they enforce the policing now is, you do what the globalists want, you get credits.
[00:55:17.832 --> 00:55:19.913]  You don't do what they want, you get nothing.
[00:55:19.913 --> 00:55:22.856]  Doesn't matter what you own, what you had, what you did.
[00:55:22.856 --> 00:55:24.838]  It's going to be taken away from you.
[00:55:24.838 --> 00:55:28.901]  You're going to live in a modern globalist prison, the likes of which the planet's never seen.
[00:55:28.901 --> 00:55:33.685]  The dystopia that we are entering is nothing like anyone has ever dreamed of.
[00:55:36.627 --> 00:55:45.389]  And the police all over the world, in most areas, are serving the New World Order and are proving themselves good Satanists.
[00:55:45.389 --> 00:55:55.472]  So we're caught between the globalists and the communists and the police and the constabulary that's groveling and saying, be nice to me, I'll get on my knees, I'll get on my belly, I'll arrest people for no mask.
[00:55:56.411 --> 00:55:59.093]  I have never been so concerned about what's going on.
[00:55:59.093 --> 00:56:10.339]  This is all martial law prepping, martial law training, and now they have activated the most criminal elements of the state, and Pelosi is bragging they're going to remove the President illegally with COG.
[00:56:10.339 --> 00:56:11.780]  You cannot remove the President with COG.
[00:56:11.780 --> 00:56:16.723]  You can't remove the President, 25th Amendment or impeachment, but they're saying they're going to do it.
[00:56:16.723 --> 00:56:25.208]  Ladies and gentlemen, they are putting this in every newspaper in the country and legitimizing the fact that if he contests the election in any way, when they say by default they are,
[00:56:25.788 --> 00:56:26.889]  They're going to pull this.
[00:56:26.889 --> 00:56:29.491]  This is maximum, maximum alert.
[00:56:29.491 --> 00:56:30.731]  This is emergency alert.
[00:56:30.731 --> 00:56:34.694]  Yes, they've censored the Patriots off most of the internet, but Banned.Video is still there.
[00:56:34.694 --> 00:56:35.855]  The radio show is still there.
[00:56:35.855 --> 00:56:40.118]  And yes, we're getting about five times the traffic we were getting before the ban to the actual sites.
[00:56:40.118 --> 00:56:43.820]  But we need to get this message to other people outside of our audience.
[00:56:43.820 --> 00:56:47.943]  So tell everyone now about the Marshall Law Plan and the plan to get rid of Trump.
[00:56:47.943 --> 00:56:50.124]  It's all posted at Banned.Video.
[00:56:50.124 --> 00:56:51.825]  Please, we can defeat these people.
[00:56:51.825 --> 00:56:53.967]  If you take action, you are the answer.
[00:56:53.967 --> 00:56:55.368]  Please, please, please.
[00:56:57.289 --> 00:57:08.094]  Americans have had freedom for so long, and most Americans were born into such docile times compared to the rest of history, that we really have a blind spot for tyranny.
[00:57:08.094 --> 00:57:14.998]  We don't appreciate the American way, truth, justice, due process, the right to self-defense, private property, because we've had it so long.
[00:57:14.998 --> 00:57:17.319]  We just think that's how the rest of the world is.
[00:57:17.679 --> 00:57:31.845]  Ladies and gentlemen, the renaissance, the social contract that's 500 years old to try to build up humanity and try to believe in humanity and try to empower the weak as well as the strong is something the West invented and that's what made our modern world.
[00:57:31.845 --> 00:57:46.051]  That's now been hijacked by the technocrats, by the globalists who say humans are ugly and bad for the Earth and we need to be culled and dumbed down and put into subgroups that the elites dominate, manipulate and command if we're even lucky enough to stay alive.
[00:57:46.511 --> 00:57:48.193]  And that's what COVID-19 is.
[00:57:48.193 --> 00:57:54.879]  A global UN revolution against free humanity, against your family, against prosperity, and against your future.
[00:57:54.879 --> 00:58:00.143]  If you don't stand up and fight, you deserve what you get.
[00:58:00.143 --> 00:58:02.746]  You're listening to the Alex Jones Show.
[00:58:19.927 --> 00:58:22.708]  Alright, Jesse Lee Peterson, who I haven't interviewed in years.
[00:58:22.708 --> 00:58:24.628]  He's super popular now.
[00:58:24.628 --> 00:58:27.369]  He was on Access TV when I was on there 25 years ago.
[00:58:27.369 --> 00:58:28.630]  We'd air his stuff in Austin.
[00:58:28.630 --> 00:58:31.090]  He'd play some of our stuff out in California.
[00:58:31.090 --> 00:58:35.131]  He's going to be on air with us, coming up in the third hour.
[00:58:35.131 --> 00:58:43.634]  I want to open the phones up though, for segment three, four, and five of this hour, for a specific issue.
[00:58:45.970 --> 00:59:01.343]  Bill Gates is coming at you with vaccines they admit don't help you and that hurt almost everybody that take them, and that he's going to have liability protection from, and he's having bureaucracies and governments put in systems to make you take it to get on an airplane or rent a car or have a job.
[00:59:01.343 --> 00:59:06.528]  So he's going to assault you with tyranny and with a deadly vaccine that changes your very DNA.
[00:59:07.813 --> 00:59:08.713]  That's assault.
[00:59:08.713 --> 00:59:20.277]  If I tried to come to your house with a needle that, admittedly, a big percentage of the time would really hurt you, you'd have a right, if I tried to jab it in me, to physically defend yourself.
[00:59:20.277 --> 00:59:22.098]  But they're trying to blur the lines of all of that.
[00:59:22.098 --> 00:59:25.559]  We have to start discussing the rules of engagement here.
[00:59:25.559 --> 00:59:29.060]  Because this is assault, this is criminal, this is wrong.
[00:59:30.558 --> 00:59:35.601]  So here's the number to join us, 877-789-2539.
[00:59:35.601 --> 00:59:36.121]  877-789-2539.
[00:59:36.121 --> 00:59:38.802]  And seriously, folks, we'll take like 10 calls.
[00:59:38.802 --> 00:59:40.183]  It's on that subject.
[00:59:40.183 --> 00:59:41.324]  What do we do about Bill Gates?
[00:59:41.324 --> 00:59:42.364]  What's the line in the sand?
[00:59:42.364 --> 00:59:50.148]  Or do we just tell him, you're my God, literally bend over and say, give me any shots you want, and have convulsions while he smiles at you and you die?
[00:59:50.148 --> 00:59:52.310]  I mean, do we just submit to him?
[00:59:52.310 --> 00:59:53.510]  And is he a God?
[00:59:53.510 --> 00:59:55.711]  And so he's our doctor that we can't say no to?
[00:59:55.711 --> 00:59:56.392]  He's our master?
[00:59:57.925 --> 00:59:58.547]  877-789-2539.
[00:59:58.547 --> 01:00:02.314]  But here's why they banned Alex Jones.
[01:00:02.314 --> 01:00:03.537]  This video is three years old.
[01:00:03.537 --> 01:00:03.837]  Here it is.
[01:00:05.191 --> 01:00:08.133]  This is an emergency transmission from deep in the heart of Texas, the U.S.
[01:00:08.133 --> 01:00:16.837]  resistance against a global corporate combine, empowered and funded by Communist China, allied with the big megabanks that set up Communist China in 1949.
[01:00:16.837 --> 01:00:19.358]  The Communist Chinese have taken control of U.S.
[01:00:19.358 --> 01:00:21.159]  telecommunications infrastructure.
[01:00:21.159 --> 01:00:23.321]  The Communist Chinese have taken control of Hollywood.
[01:00:23.321 --> 01:00:25.662]  The Communist Chinese have taken control of the main universities.
[01:00:25.662 --> 01:00:26.762]  This is all confirmed.
[01:00:26.762 --> 01:00:27.863]  This is not a drill.
[01:00:27.863 --> 01:00:32.125]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[01:00:32.125 --> 01:00:33.446]  They've officially become state-run.
[01:00:33.846 --> 01:00:34.166]  Apple 100%.
[01:00:34.166 --> 01:00:40.612]  Google is now making the transition and announcing a merger and total worldwide censorship.
[01:00:40.612 --> 01:00:45.696]  They are now beta testing using me as the straw man, a demonized version of Alex Jones, to do that.
[01:00:45.696 --> 01:00:46.576]  This is happening.
[01:00:46.576 --> 01:00:54.603]  This is not like the other probes before that were meant to get you used to probes and censorship, thinking you would adapt to censorship by just putting up with it.
[01:00:54.603 --> 01:01:00.508]  Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[01:01:00.908 --> 01:01:09.615]  This is a titrated dose reverse psychological warfare operation using adapt and overcome subversion paradigm manipulation.
[01:01:09.615 --> 01:01:13.358]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[01:01:13.358 --> 01:01:17.041]  We adapt to being pressed with the low dosages of oppression.
[01:01:17.041 --> 01:01:21.384]  And now when the megaton hits us of the total takeover, we try to adapt
[01:01:21.544 --> 01:01:22.045]  We're good.
[01:01:36.641 --> 01:01:37.161]  We're good to go.
[01:01:54.893 --> 01:02:03.640]  They want to double use me as they always do in any complex system of mathematical deception where every angle of my good is turned against us.
[01:02:03.640 --> 01:02:08.905]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[01:02:08.905 --> 01:02:12.027]  I'm a person that cares about life and children and is against these wars.
[01:02:12.027 --> 01:02:14.209]  And so they make me a herder of children.
[01:02:14.209 --> 01:02:21.455]  And then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[01:02:22.336 --> 01:02:29.060]  So even if I didn't sell out to them, they've now used me as an archetype to serve them by being the main distraction.
[01:02:29.060 --> 01:02:35.103]  I have now been captured by the enemy in the information warfare fulcrum and it's being used against you.
[01:02:35.103 --> 01:02:39.825]  Only your full understanding of this, KE, will break you free from this paradigm.
[01:02:39.825 --> 01:02:42.046]  I have given you the transmission!
[01:02:42.046 --> 01:02:42.927]  Now break free!
[01:02:46.714 --> 01:02:55.999]  I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man.
[01:02:55.999 --> 01:02:58.781]  Thomas Jefferson.
[01:02:58.781 --> 01:03:02.703]  If you are receiving this transmission, you are the resistance.
[01:03:05.776 --> 01:03:09.599]  Food is again available for shipping within three to four weeks.
[01:03:09.599 --> 01:03:10.200]  We have it.
[01:03:10.200 --> 01:03:13.703]  It's high quality, but it's got to be packaged and shipped out to you.
[01:03:13.703 --> 01:03:16.245]  Some items are shipping in a week, some in four weeks.
[01:03:16.245 --> 01:03:17.606]  So they're saying three to four weeks.
[01:03:17.606 --> 01:03:18.647]  It's my Patriot.
[01:03:18.647 --> 01:03:19.708]  We have their full catalog.
[01:03:19.708 --> 01:03:22.630]  They're in our back end at InfoWarsStore.com.
[01:03:22.630 --> 01:03:27.675]  Get your orders in now before the next big surge comes in.
[01:03:27.675 --> 01:03:32.479]  Believe me, every angle I've looked at tells me that really, really serious times are ahead.
[01:03:32.799 --> 01:03:40.761]  Whether Trump wins or loses, the globalists have already created a worldwide depression, lockdowns on a planetary scale, and it's only intensifying.
[01:03:40.761 --> 01:03:43.962]  This is one of the big boxes you've got to get checked off.
[01:03:43.962 --> 01:03:45.402]  It's high-quality, affordable food.
[01:03:45.402 --> 01:03:52.664]  MyPatriot has really good, high-quality food at a very affordable price, and the packaging is the best you're going to find out there.
[01:03:52.664 --> 01:03:55.744]  Check it out for yourself at InfoWarStore.com.
[01:03:55.744 --> 01:04:02.106]  And then, the money that comes in that's extra helps us fund the information warfare operation that fights the globalists toe-to-toe.
[01:04:02.466 --> 01:04:04.208]  There are, of course, those who do not want us to speak.
[01:04:04.208 --> 01:04:08.132]  Let me think, just let me think.
[01:04:08.132 --> 01:04:08.693]  It's Chancellor Suttler.
[01:04:08.693 --> 01:04:08.953]  Damn it!
[01:04:08.953 --> 01:04:09.033]  Why?
[01:04:21.590 --> 01:04:28.176]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[01:04:28.176 --> 01:04:32.300]  Words are for the means to meaning, and for those who will listen, the enunciator.
[01:04:34.129 --> 01:04:38.992]  The truth is, there is something terribly wrong with this country, isn't there?
[01:04:38.992 --> 01:04:40.013]  You designed it, sir.
[01:04:40.013 --> 01:04:40.954]  You wanted it foolproof.
[01:04:40.954 --> 01:04:42.595]  You taught me every television in London!
[01:04:42.595 --> 01:04:46.498]  Cruelty and injustice, intolerance and oppression.
[01:04:46.498 --> 01:04:56.165]  And where once you had the freedom to object, to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and surveilling your submission.
[01:04:56.165 --> 01:04:56.405]  Cameras.
[01:04:56.405 --> 01:04:57.366]  We need cameras.
[01:04:57.366 --> 01:04:58.787]  How did this happen?
[01:04:58.787 --> 01:04:59.568]  Who's to blame?
[01:05:00.572 --> 01:05:03.195]  Well, certainly there are those who are more responsible than others.
[01:05:03.195 --> 01:05:05.557]  They will be held accountable.
[01:05:05.557 --> 01:05:10.983]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:05:12.193 --> 01:05:13.814]  I know why you did it.
[01:05:13.814 --> 01:05:15.694]  I know you were afraid.
[01:05:15.694 --> 01:05:16.915]  Who would it be?
[01:05:16.915 --> 01:05:17.675]  War?
[01:05:17.675 --> 01:05:18.315]  Terror?
[01:05:18.315 --> 01:05:19.615]  Disease?
[01:05:19.615 --> 01:05:26.038]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:05:26.038 --> 01:05:27.858]  Fear got the best of you.
[01:05:27.858 --> 01:05:32.440]  And in your panic, you turned to the now High Chancellor, Adam Sutler.
[01:05:32.440 --> 01:05:33.540]  He promised you order.
[01:05:33.540 --> 01:05:35.041]  He promised you peace.
[01:05:35.041 --> 01:05:38.602]  And all he demanded in return was your silent, obedient consent.
[01:05:45.314 --> 01:05:47.015]  There is a war.
[01:05:47.015 --> 01:05:48.876]  It's happening now.
[01:05:48.876 --> 01:05:51.258]  It will decide the fate of humanity.
[01:05:51.258 --> 01:05:53.820]  The time to choose sides has come.
[01:05:53.820 --> 01:05:55.741]  We are the Resistance.
[01:05:55.741 --> 01:05:57.422]  We are the Infowar.
