[00:00:05.660 --> 00:00:06.160]  Hark!
[00:26:01.913 --> 00:26:04.815]  But then they admit on the insert, oh, if you're pregnant, don't take this.
[00:26:04.955 --> 00:26:06.396]  Oh, if you're young, don't take this.
[00:26:06.636 --> 00:26:08.497]  Oh, if you've got an autoimmune problem, don't take this.
[00:26:08.677 --> 00:26:14.981]  If you've got any allergy to anything, peanuts, penicillin, bee stings, do not take this.
[00:26:16.343 --> 00:26:19.184]  And then we're like, oh, well, don't take it like, oh, you're a conspiracy theorist.
[00:26:19.524 --> 00:26:20.704]  Nobody's having any problems.
[00:26:22.125 --> 00:26:24.025]  This is from the CDC website.
[00:26:24.746 --> 00:26:28.987]  This is PBS with a direct link, PBS television with a direct link.
[00:26:30.387 --> 00:26:33.748]  And this is the latest numbers as of two days ago.
[00:26:33.788 --> 00:26:35.069]  The numbers are always a few days behind.
[00:26:37.129 --> 00:26:45.652]  And this is registrants that took the vaccines and the adverse reactions, health impacts, putting them in the hospital or keeping them
[00:26:47.139 --> 00:26:48.800]  Out of work.
[00:26:48.820 --> 00:26:57.325]  3,150 people are out of work from the 112,000 people that have so far taken the vaccine.
[00:26:57.345 --> 00:26:58.425]  It just started a few days ago.
[00:26:59.326 --> 00:27:00.146]  Here's some of the headlines.
[00:27:00.206 --> 00:27:04.288]  Nurses faints while talking to press about COVID-19 vaccine.
[00:27:04.308 --> 00:27:05.489]  Oh, it's very rare.
[00:27:08.951 --> 00:27:16.396]  Really, CDC issues new guidelines, launches probe after thousands negatively affected following COVID-19 vaccine.
[00:27:17.077 --> 00:27:18.938]  This is from the CDC, we just showed you the numbers.
[00:27:19.378 --> 00:27:22.500]  Here's the Epoch Times report, posted up on InfoWars.com.
[00:27:23.121 --> 00:27:33.328]  So they tell you safe and effective, but remember Bill Gates, we'll cover this next segment, famously said that 700,000 people will get sick or die from his vaccine.
[00:27:33.948 --> 00:27:37.251]  He also admitted 80% from the Pfizer vaccine, that's what this is,
[00:27:38.837 --> 00:27:39.317]  Get sick.
[00:27:40.558 --> 00:27:42.678]  And when you talk about that, they go, oh, that couldn't be true.
[00:27:42.938 --> 00:27:44.519]  We have Bill Gates on video saying it.
[00:27:44.919 --> 00:27:47.940]  Why is Bill Gates in charge of what goes in your body?
[00:27:48.560 --> 00:27:52.701]  What planet, what freakazoid world did we wake up to where this is happening?
[00:27:54.182 --> 00:27:54.602]  Look at this.
[00:27:56.002 --> 00:27:59.523]  This is out of Fox News, because again, they're telling you, oh, there's nobody getting sick.
[00:28:00.083 --> 00:28:01.244]  Nobody's having a problem.
[00:28:01.404 --> 00:28:04.445]  One woman collapsed in Tennessee, a nurse.
[00:28:06.451 --> 00:28:13.636]  Oh look, vaccinations at Chicago Area Hospital to resume after four workers experience adverse reactions.
[00:28:14.337 --> 00:28:17.599]  Four of the nurses have gotten sick.
[00:28:17.939 --> 00:28:19.960]  And that's just what happens at the time you get it.
[00:28:20.341 --> 00:28:21.481]  Imagine the long-term effects.
[00:28:21.602 --> 00:28:23.203]  Oh sorry, those haven't been studied.
[00:28:24.946 --> 00:28:26.287]  And here's the big scary news right here.
[00:28:27.028 --> 00:28:31.892]  Federal agency says employers can require workers to get COVID-19 vaccine.
[00:28:32.452 --> 00:28:41.780]  You saw Darren McBrain's report from just last week where people are saying, you watch, they're going to make employers do it and make airlines and hotels do it with a digital system that tracks you.
[00:28:42.101 --> 00:28:43.762]  So that's a cashless society right there.
[00:28:45.123 --> 00:28:45.664]  And sure enough,
[00:28:47.179 --> 00:28:55.504]  Federal agency announced this week that employers can legally require their workers to take a COVID-19 vaccine and can prevent them from entering the workplace if they refuse.
[00:28:58.386 --> 00:29:03.389]  Also, the New York Bar Association said it should be the law, everyone must take it, including pregnant women.
[00:29:03.649 --> 00:29:06.151]  The damn insert says pregnant women shouldn't take it.
[00:29:06.771 --> 00:29:15.297]  But now lawyers, and now the EEOC, more lawyers, leftist lawyers, SJWs,
[00:29:16.789 --> 00:29:20.371]  They say you're gonna take it, because it's all about their power over your body.
[00:29:21.211 --> 00:29:35.359]  The Equal Employment Opportunity Commission issued guidelines, claiming that requiring COVID tests would not violate the Americans with Disabilities Act of 1990, and that though employers can't require certain medical exams like blood tests, COVID vaccine does not apply.
[00:29:35.959 --> 00:29:43.183]  Yeah, taking your blood's not a problem, but going in with the mRNA vaccine and with messenger RNA,
[00:29:44.795 --> 00:29:47.937]  And that's programming RNA to program your cells.
[00:29:48.517 --> 00:29:50.678]  Oh, some corporation programming my cells?
[00:29:50.998 --> 00:29:51.859]  Taking over my cells?
[00:29:51.879 --> 00:29:52.659]  That's not a problem.
[00:29:54.240 --> 00:29:57.902]  I mean, when a man, they teach feminists that a baby is a parasite.
[00:29:58.582 --> 00:30:04.685]  Because a sperm and egg meat creates a new creature, it attaches to your placenta that's there to catch the baby and love it.
[00:30:04.745 --> 00:30:05.606]  You're designed to do it.
[00:30:05.966 --> 00:30:06.706]  They call that rape.
[00:30:07.266 --> 00:30:11.969]  But when Bill Gates plunges a needle into you with mRNA to reprogram all your cells,
[00:30:12.967 --> 00:30:14.308]  So you can travel or have a job.
[00:30:14.368 --> 00:30:15.109]  That's not rape.
[00:30:15.149 --> 00:30:16.090]  That's not coerced.
[00:30:16.630 --> 00:30:17.311]  Of course it is.
[00:30:17.391 --> 00:30:19.092]  It violates every form of law.
[00:30:19.553 --> 00:30:20.634]  The Geneva Convention.
[00:30:21.615 --> 00:30:23.056]  It violates the Nuremberg Code.
[00:30:23.136 --> 00:30:24.778]  This is an insane action.
[00:30:25.058 --> 00:30:26.039]  You go, why are they doing it?
[00:30:26.339 --> 00:30:28.861]  Because they can't help themselves.
[00:30:28.981 --> 00:30:31.103]  It's the nature of these mad scientists.
[00:30:31.203 --> 00:30:32.424]  The Nazis were mad scientists.
[00:30:32.705 --> 00:30:34.446]  They do it over and over again.
[00:30:34.806 --> 00:30:39.711]  Meanwhile, German doctor, anti-vaxxers should be denied intensive care if they need it.
[00:30:41.357 --> 00:30:43.258]  What if I need intensive care from the vaccine?
[00:30:44.258 --> 00:30:51.280]  And then Rand Paul, doctor, mask mandates are all about submission, just like under Islam.
[00:30:51.740 --> 00:30:56.541]  And now CNN says, oh, soon you will wear masks forever, like your seatbelts.
[00:30:56.942 --> 00:30:58.082]  It will just become normal.
[00:30:59.514 --> 00:31:07.619]  This is totally unnatural, this is a total cult takeover, and it's all based on giant, exaggerated lies, hundreds and hundreds of percent, what's actually happening.
[00:31:08.219 --> 00:31:11.101]  Refusing to wear a mask should be as taboo as drunk driving.
[00:31:11.521 --> 00:31:16.604]  Scientist chief says, yes, you're dirty, you're bad, you've got to wear a mask, you've got to submit.
[00:31:17.585 --> 00:31:25.069]  Christmas miracle though, Fauci confirms he vaccinated Santa Claus with COVID vaccine, just as ridiculous as all the propaganda.
[00:31:26.030 --> 00:31:27.191]  Meanwhile, in London and Italy,
[00:31:28.516 --> 00:31:34.320]  In her full holiday lockdowns, England's COVID mutation 70% more infectious.
[00:31:34.360 --> 00:31:34.880]  Live updates.
[00:31:35.260 --> 00:31:39.243]  I predicted fake new upgrades and mutations.
[00:31:39.303 --> 00:31:40.164]  It's all crap.
[00:31:40.404 --> 00:31:41.865]  The PCR tests are all crap.
[00:31:42.085 --> 00:31:43.646]  The inventor of the test said it was a fraud.
[00:31:44.606 --> 00:31:48.109]  I told you a month ago, I talked to one of the main biotech company owners.
[00:31:49.403 --> 00:31:50.144]  I'll leave it at that.
[00:31:50.204 --> 00:31:55.848]  He said, I ran into him at a law firm and he said, Alex, don't take that MRNA vaccine.
[00:31:55.868 --> 00:31:56.389]  It's deadly.
[00:31:56.709 --> 00:31:59.511]  It shuts off your immune system or will turn it way up.
[00:31:59.831 --> 00:32:00.692]  It's all a fraud.
[00:32:00.732 --> 00:32:01.673]  It's all a power grab.
[00:32:01.733 --> 00:32:02.493]  It's all evil.
[00:32:03.034 --> 00:32:04.235]  And I said, please come on.
[00:32:04.315 --> 00:32:05.135]  Oh no, I can't do that.
[00:32:05.476 --> 00:32:05.616]  See.
[00:32:05.896 --> 00:32:08.538]  No one can come on and tell you, even though it's all right here.
[00:32:08.578 --> 00:32:19.788]  This is such a crazy operation, where they're going to normalize you getting cancer, your neighbor dying, you getting autoimmune disease, and then they admit that a bunch of these mRNA vaccines have HIV in them?
[00:32:19.828 --> 00:32:20.749]  That's all admitted now?
[00:32:21.350 --> 00:32:22.811]  My God, this is insane.
[00:32:23.512 --> 00:32:25.494]  This is the globalists carrying out eugenics.
[00:32:26.254 --> 00:32:30.218]  And everyone's supporting it, is doing it through ignorance, or because they're globalist scum.
[00:32:36.321 --> 00:32:40.642]  Ladies and gentlemen, thank you so much for joining us.
[00:32:40.703 --> 00:32:41.743]  I'm Alex Jones, your host.
[00:32:42.543 --> 00:32:44.444]  And we're here weekdays 11 a.m.
[00:32:44.464 --> 00:32:45.084]  to 3 p.m.
[00:32:45.124 --> 00:32:45.524]  Central.
[00:32:48.125 --> 00:32:51.626]  And we return Sundays 4 to 6 p.m.
[00:32:51.686 --> 00:32:59.709]  And now we've added Sunday Live with Owen Schroyer, Tom Papert, Harrison Smith and others 6 to 8 p.m.
[00:32:59.809 --> 00:33:00.169]  Central.
[00:33:01.673 --> 00:33:04.475]  And it's what I call our new free-to-air radio.
[00:33:04.655 --> 00:33:09.739]  By that, we have six minutes of ads an hour for local stations, but no ads for us.
[00:33:10.199 --> 00:33:11.460]  A lot of stations are picking it up.
[00:33:11.880 --> 00:33:21.266]  We're trying to reach out to my other affiliates and say, hey, would you like us to cut some of the ads on my shows so that you can pick us up?
[00:33:21.606 --> 00:33:23.568]  Their answer is like, no, we'll just take all your ads.
[00:33:24.770 --> 00:33:27.772]  Well, I got a radio partnership with Ted Anderson and GCN.
[00:33:28.152 --> 00:33:28.893]  They're great guys.
[00:33:28.933 --> 00:33:33.856]  They got half the ads, but I'm working on that for you folks because we want less ads here.
[00:33:34.597 --> 00:33:35.517]  That's what we're pushing for.
[00:33:37.759 --> 00:33:38.019]  Okay.
[00:33:42.642 --> 00:33:43.863]  Let me try to put it to you this way.
[00:33:45.544 --> 00:33:51.128]  I'm not up here covering all this incredibly negative stuff just to bitch and complain and be a victim.
[00:33:52.802 --> 00:33:57.225]  I'm doing all this so you understand the real threat you're under because I believe you're like me.
[00:33:57.545 --> 00:33:58.586]  You're not going to put up with it.
[00:33:58.606 --> 00:33:59.587]  You're going to mobilize.
[00:33:59.887 --> 00:34:01.108]  You're going to speak out against it.
[00:34:01.188 --> 00:34:02.229]  You're going to pray against it.
[00:34:02.489 --> 00:34:03.509]  You're going to say no to it.
[00:34:03.850 --> 00:34:08.753]  And all of us together will defeat it because many hands make very, very light work.
[00:34:09.914 --> 00:34:10.514]  I believe in you.
[00:34:10.974 --> 00:34:12.335]  The globalists have bet against you.
[00:34:12.375 --> 00:34:13.196]  They've bet against me.
[00:34:13.576 --> 00:34:15.357]  But now they're not as arrogant as they used to be.
[00:34:15.377 --> 00:34:15.858]  They're scared.
[00:34:17.386 --> 00:34:25.510]  And just like that, populism and pro-human nationalism is exploding all across the world, and humanity is on the march.
[00:34:26.951 --> 00:34:29.512]  And the globalist empire is more and more on the run.
[00:34:30.773 --> 00:34:40.398]  So as negative as it is to see world government, the UN, and global tracking apps, and lockdowns, and forced inoculations, this is their revolution!
[00:34:40.938 --> 00:34:43.079]  This is what they've been preparing for decades!
[00:34:47.449 --> 00:34:54.634]  And it's the fact that we've been exposing it for decades, and it's now happening just like we said, is incredible.
[00:34:57.335 --> 00:34:58.236]  So we got a leg up on it.
[00:34:58.976 --> 00:35:00.978]  We got a head start on it.
[00:35:01.058 --> 00:35:05.120]  I can't tell you, it's not about bragging, it's about you realizing the success that we've all had together.
[00:35:05.440 --> 00:35:07.322]  Infowars is just one focal point of all this.
[00:35:09.723 --> 00:35:14.106]  Not just Tucker Carlson, not just Sean Hannity, not just Rush Limbaugh, not just
[00:35:16.684 --> 00:35:34.578]  Joe Rogan, who I've massively influenced all those people, and I'm not going to talk about private conversations, but I just recently got phone calls from extremely prominent liberals, completely freaked out.
[00:35:35.945 --> 00:35:39.207]  Saying, I thought you were crazy, it's happening exactly as you said.
[00:35:39.607 --> 00:35:42.508]  Are you aware you said this in 2007?
[00:35:43.208 --> 00:35:43.869]  Here's the clip.
[00:35:43.909 --> 00:35:45.630]  And I'm like, I remember saying that, yeah.
[00:35:46.010 --> 00:35:49.471]  These people are saying, how the hell do you know all this?
[00:35:51.032 --> 00:35:55.134]  And I explained to them, well did you know it was in Carol Quigley's book, 1968?
[00:35:57.175 --> 00:35:59.136]  Or did you know it was in Zbigniew Brzezinski's book, 1974?
[00:36:02.082 --> 00:36:15.469]  Or did you know it was, I mean, it's all, that's what I, see, I only tell this almost every show, different variants of the same story, just different developments, because it's everything.
[00:36:15.649 --> 00:36:19.451]  Do you understand that I did not figure all of this out?
[00:36:20.612 --> 00:36:22.333]  The globalists have a plan.
[00:36:22.733 --> 00:36:23.734]  They have a program.
[00:36:24.414 --> 00:36:28.176]  They tell you what they're going to do, and we know what they're going to do.
[00:36:28.616 --> 00:36:30.838]  World government, forced inoculations,
[00:36:31.727 --> 00:36:37.173]  With antibodies that attack proteins associated with fast-growing cells.
[00:36:38.474 --> 00:36:42.058]  There's only a couple things grow fast in the body.
[00:36:43.139 --> 00:36:44.460]  Would you like me to list them for you?
[00:36:48.024 --> 00:36:49.926]  Embryonic tissue grows the fastest.
[00:36:51.628 --> 00:36:54.851]  Placentas, uterine walls each month.
[00:37:00.526 --> 00:37:01.547]  And then what else grows fast?
[00:37:03.328 --> 00:37:04.329]  Intestinal walls?
[00:37:06.831 --> 00:37:07.631]  What else grows fast?
[00:37:08.992 --> 00:37:09.412]  Your hair?
[00:37:09.633 --> 00:37:10.093]  Your skin?
[00:37:13.075 --> 00:37:14.416]  But what else grows fast?
[00:37:15.016 --> 00:37:16.077]  It could be your bones.
[00:37:17.118 --> 00:37:18.279]  It could be your skin.
[00:37:18.299 --> 00:37:20.880]  It could be your tongue.
[00:37:21.561 --> 00:37:22.802]  It could be your blood.
[00:37:23.402 --> 00:37:24.583]  It could be your brain.
[00:37:24.603 --> 00:37:25.844]  It's got a name.
[00:37:25.884 --> 00:37:28.486]  It's called c-c-c-c-cancer.
[00:37:33.991 --> 00:37:34.779]  Bigger than Dallas.
[00:37:37.301 --> 00:37:42.703]  And when all Wolfgang Wudarg and all the big even top scientists who've got souls.
[00:37:43.823 --> 00:37:48.925]  The medical system's actually got all these nurses and scientists and doctors coming out valiantly fighting.
[00:37:48.945 --> 00:37:50.065]  And it's all the top ones.
[00:37:50.105 --> 00:37:54.287]  I mean, my God, it's the former head of Pfizer, it's the former... They're like, this is insane!
[00:37:54.667 --> 00:37:56.127]  Don't you dare take this!
[00:37:56.147 --> 00:37:58.788]  This'll turn your immune system off or turn it up or kill you!
[00:37:59.068 --> 00:38:02.629]  My God, it'll attack every fast-growing cell in your body!
[00:38:02.669 --> 00:38:04.410]  It'll eat your baby alive!
[00:38:09.167 --> 00:38:14.269]  And so that's what I'm telling you is, this is like, don't drink cyanide, it'll kill you.
[00:38:14.369 --> 00:38:15.789]  You want me to explain the science to you?
[00:38:16.409 --> 00:38:17.950]  It's not even hard.
[00:38:18.150 --> 00:38:27.693]  It's open and shut that the Pfizer and Moderna mRNA vaccines and the Australian one mRNA
[00:38:29.275 --> 00:38:41.142]  ...are literally going in and reprogramming your cells to release an antibody against a protein that is mainly found in the placenta and a woman's uterus.
[00:38:41.522 --> 00:38:45.005]  This thing is meant to eat women's uteruses.
[00:38:47.126 --> 00:38:48.847]  Just like Gardasil, they call him.
[00:38:51.758 --> 00:38:56.002]  If they announce there's an emergency, they trick Rick Perry, not even a bad guy, not a scientist.
[00:38:56.342 --> 00:38:58.584]  Did all of us protect young girls from cancer, sir?
[00:38:58.944 --> 00:39:00.726]  We give them this shot, they don't get cancer anymore.
[00:39:01.026 --> 00:39:03.288]  It covered four papillomaviruses, there's thousands.
[00:39:03.708 --> 00:39:04.569]  Didn't save anybody.
[00:39:04.589 --> 00:39:07.371]  A few thousand people, 4,000 die a year of papillomavirus.
[00:39:07.571 --> 00:39:08.332]  That's a tiny number.
[00:39:09.613 --> 00:39:12.876]  But in the studies, they couldn't get it approved by the FDA.
[00:39:14.560 --> 00:39:17.701]  Until a governor announces it's an emergency, or a president.
[00:39:17.921 --> 00:39:18.881]  Reagan was a great guy!
[00:39:18.901 --> 00:39:20.522]  They said, sir, we got stuff to do.
[00:39:20.542 --> 00:39:21.762]  He announced an emergency.
[00:39:22.042 --> 00:39:24.943]  That's how they got liability protection for all these vaccines.
[00:39:25.303 --> 00:39:27.124]  Reagan wasn't bad, he wasn't a scientist.
[00:39:31.425 --> 00:39:35.546]  So they came to Rick Perry, Merck did, and they said, we got a shot, it'll cure cancer for women.
[00:39:35.946 --> 00:39:37.246]  He said, well damn right I'll say that.
[00:39:38.347 --> 00:39:38.907]  That's ordered.
[00:39:40.026 --> 00:39:52.397]  What they didn't tell them is, they couldn't get the Gardasil shot for a decade approved in India, Japan, Russia, Europe, or the US because it was attacking women's ovaries.
[00:39:57.322 --> 00:40:01.386]  Because for whatever reason, that fast-growing virus
[00:40:02.935 --> 00:40:10.081]  And the proteins it releases just so happens to look like an egg on a polyp growing off of an ovary.
[00:40:10.802 --> 00:40:11.683]  That's all an ovary does.
[00:40:11.703 --> 00:40:12.383]  It gets a little bloop.
[00:40:14.365 --> 00:40:16.347]  And boy, that's when the girls get excited.
[00:40:16.387 --> 00:40:17.228]  The women get excited.
[00:40:18.469 --> 00:40:19.049]  It goes bloop.
[00:40:19.369 --> 00:40:26.896]  The woman goes into ovulation, kicks off that egg, and mama's ready to get in the sack.
[00:40:27.817 --> 00:40:29.719]  But at the exact moment that happens,
[00:40:31.038 --> 00:40:38.143]  You've now got a vaccine that attacks that protein release and it swarms into that ovary and it eats it up.
[00:40:39.264 --> 00:40:42.046]  And you don't just usually get each egg eaten.
[00:40:42.686 --> 00:40:44.768]  It starts chewing into the ovary itself.
[00:40:45.608 --> 00:40:47.349]  And now you've got a big old problem.
[00:40:49.531 --> 00:40:52.413]  So, Gardasil goes after your ovaries.
[00:40:53.634 --> 00:40:59.618]  These new mRNA vaccines go after your uterus bigger than Dallas.
[00:41:03.632 --> 00:41:05.677]  And these globalists, like they've got a gun to their head.
[00:41:07.366 --> 00:41:12.708]  My wife this morning at breakfast, she's a smart lady, she goes, she goes, you know, it's like it's aliens.
[00:41:12.929 --> 00:41:14.409]  Why would the establishment do this?
[00:41:14.469 --> 00:41:15.550]  It's going to hurt so many people.
[00:41:15.570 --> 00:41:16.470]  They're going to get in trouble.
[00:41:16.950 --> 00:41:19.531]  And I was reading, you're right about the Gardasil attacking the ovary.
[00:41:19.551 --> 00:41:22.773]  And I said, honey, they are, they do have a gun to their head.
[00:41:22.893 --> 00:41:24.033]  I don't know who's running it.
[00:41:24.374 --> 00:41:25.834]  I've not seen little green men.
[00:41:25.854 --> 00:41:29.316]  I don't even, all I know is what they're doing is violent.
[00:41:30.076 --> 00:41:30.917]  It's crazy.
[00:41:31.597 --> 00:41:32.437]  It's insane.
[00:41:32.857 --> 00:41:33.758]  And it's out of control.
[00:41:35.520 --> 00:41:37.002]  But then you can argue, well there aren't too many people.
[00:41:37.723 --> 00:41:39.284]  So, do you want your daughter sterilized?
[00:41:39.384 --> 00:41:41.267]  And by the way, that's just the tip of the iceberg.
[00:41:42.007 --> 00:41:49.877]  There are five different autoimmune responses that we know of in this vaccine based off the virus.
[00:41:50.898 --> 00:41:53.361]  So, we've only identified a few of the things it does.
[00:41:53.401 --> 00:41:54.202]  This is just crazy.
[00:41:55.882 --> 00:41:56.563]  Man, I tell you.
[00:41:57.203 --> 00:42:00.906]  And by the way, this isn't Alex Jones up here telling you about science or medicine.
[00:42:00.926 --> 00:42:02.587]  I'm reading what's in the medical reports.
[00:42:02.647 --> 00:42:03.568]  I've shot the reports.
[00:42:03.648 --> 00:42:04.208]  I've covered it.
[00:42:04.729 --> 00:42:19.640]  And George Soros, who served Nazis as a young man, spends all his time trying to shut us up because in his world with Satan, the more people he hurts, the more people he maims, the more he sterilizes, that gets him credits in hell, as best I can tell.
[00:42:21.411 --> 00:42:24.373]  Yeah, UN vaccines in Kenya used to sterilize women.
[00:42:25.013 --> 00:42:27.134]  That was where they added hormone to the tetanus shot.
[00:42:27.814 --> 00:42:29.175]  It's not that vaccines are bad.
[00:42:30.056 --> 00:42:31.316]  It's what they add to them.
[00:42:32.097 --> 00:42:33.798]  Just ask black folks about Tuskegee.
[00:42:34.755 --> 00:42:38.576]  Alright, we're going to start the next hour with Robert Barnes about is martial law real?
[00:42:38.636 --> 00:42:39.737]  Is Trump planning martial law?
[00:42:39.997 --> 00:42:40.697]  What does that mean?
[00:42:40.797 --> 00:42:42.697]  Can Trump overturn this fraudulent election?
[00:42:43.118 --> 00:42:52.360]  Well, we're going to talk to a fellow that's been traveling the country behind the scenes and has got the inside scoop in baseball in hour number two on this Sunday night transmission.
[00:42:52.380 --> 00:42:58.062]  Stay with us.
[00:42:58.102 --> 00:43:00.343]  Look, once you understand this has all been scripted out,
[00:43:01.920 --> 00:43:03.161]  Welcome back to the Alex Jones Show.
[00:43:03.181 --> 00:43:04.222]  You understand the whole game plan.
[00:43:04.242 --> 00:43:05.783]  I've been saying this for 10 months.
[00:43:07.084 --> 00:43:10.246]  That once they roll out the COVID hysteria, once they roll out the COVID fear...
[00:43:12.145 --> 00:43:20.651]  They are going to then say there's new deadly versions of it when it becomes apparent that it's basically an overblown hoax to try to scare you back into submission.
[00:43:20.671 --> 00:43:27.816]  And I said, as soon as Trump calls for a march on D.C., which he's now done, January 6th, they'll announce, oh, there's a super deadly strain.
[00:43:28.336 --> 00:43:29.377]  Stop the air traffic.
[00:43:29.417 --> 00:43:30.077]  Stop everything.
[00:43:30.097 --> 00:43:32.539]  This is a foreign, multinational takeover.
[00:43:32.999 --> 00:43:34.340]  Ali Alexander just tweeted this.
[00:43:34.861 --> 00:43:41.045]  Notice how the new mutation of a deadlier COVID-19 coincides with trying to install Joe Biden
[00:43:42.346 --> 00:43:44.046]  Wow, so people are really starting to get it.
[00:43:44.066 --> 00:43:49.927]  Let's go to a clip I mentioned earlier of Bill Gates saying six, seven months ago that 700,000 people will get sick from the COVID shot.
[00:44:09.198 --> 00:44:10.899]  Notice now they say, oh, no one gets sick.
[00:44:10.959 --> 00:44:11.840]  Everybody's got to take it.
[00:44:11.860 --> 00:44:15.982]  Even though they're halting the shot in England for many people and here in the U.S.
[00:44:16.342 --> 00:44:18.123]  because this is such a dangerous vaccine.
[00:44:18.143 --> 00:44:19.644]  Then why are they trying to push it?
[00:44:20.004 --> 00:44:20.925]  What's the real agenda?
[00:44:20.965 --> 00:44:25.347]  Robert Barnes will give us his expert take on that and so much more coming up next segment.
[00:44:25.367 --> 00:44:26.028]  But here's Bill Gates.
[00:44:27.520 --> 00:44:34.646]  We clearly need a vaccine that works in the upper age range because they're most at risk of that.
[00:44:34.967 --> 00:44:41.552]  And doing that so that you amp it up so it works in older people and yet you don't have side effects.
[00:44:41.973 --> 00:44:46.837]  If we have 1 in 10,000 side effects, that's way more, 700,000 people who will suffer from that.
[00:44:54.258 --> 00:45:07.320]  Really understanding the safety at gigantic scale across all age ranges, you know, pregnant, male, female, undernourished, existing comorbidities, it's very, very hard.
[00:45:07.380 --> 00:45:22.043]  And that actual decision of, okay, let's go and give this vaccine to the entire world, governments will have to be involved because there will be some risk and indemnification needed before that can be decided on.
[00:45:23.254 --> 00:45:27.496]  And that's Dr. Bill Gates, our lord, our king, our master, our commander.
[00:45:27.936 --> 00:45:34.840]  We'll talk about politics, we'll talk about martial law, we'll talk about Trump for a couple segments with Barnes, then we'll get into where he really is an expert.
[00:45:35.160 --> 00:45:38.602]  The numbers, the facts, the COVID lockdown, where this tyranny's going.
[00:45:38.642 --> 00:45:42.463]  Is the world really now super-awakened to what's happening?
[00:45:42.483 --> 00:45:48.686]  I think super-awakened is the term, but here is the latest bat signal that Trump just fired.
[00:45:48.987 --> 00:45:49.567]  Fight for Trump!
[00:46:42.176 --> 00:46:42.277]  Yeah.
[00:47:36.178 --> 00:47:40.101]  You are listening to an InfoWars.com frontline report.
[00:47:41.101 --> 00:47:44.984]  If you are receiving this transmission, you are the resistance.
[00:47:50.408 --> 00:47:51.629]  We now take you live.
[00:47:51.669 --> 00:47:58.994]  Coming to you live from the InfoWars.com studios in the recaptured state of Texas.
[00:47:59.674 --> 00:48:01.816]  It's Alex Jones.
[00:48:04.147 --> 00:48:06.229]  All right, incredibly serious time to be alive.
[00:48:06.289 --> 00:48:07.670]  Constitutional lawyer Robert Barnes.
[00:48:09.232 --> 00:48:09.792]  I was in Georgia.
[00:48:09.812 --> 00:48:16.659]  I had a chance to talk to him when he was there behind the scenes working on trying to prove the election fraud.
[00:48:16.699 --> 00:48:20.482]  He said, listen, the voting machine stuff has some real issues, but it's overblown.
[00:48:21.063 --> 00:48:22.224]  The other issues are red herrings.
[00:48:22.324 --> 00:48:26.368]  Everything is the signatures under state law being ignored.
[00:48:26.788 --> 00:48:27.829]  And now Trump has come out.
[00:48:28.630 --> 00:48:32.195]  Now relegated the president to online radio shows with Giuliani.
[00:48:32.776 --> 00:48:34.399]  We are very close.
[00:48:34.479 --> 00:48:40.968]  President Trump discusses ongoing efforts to turn election around with Dr. Maria Ryan and Giuliani.
[00:48:41.609 --> 00:48:41.970]  Here it is.
[00:48:45.166 --> 00:48:45.566]  I love you.
[00:48:45.646 --> 00:48:46.146]  Thank you, Rudy.
[00:48:46.626 --> 00:48:48.527]  Thank you both, and Merry Christmas.
[00:48:48.827 --> 00:48:49.767]  Merry Christmas to the family.
[00:48:49.787 --> 00:48:56.329]  I'll speak to you guys, and we're getting closer and closer, and I hope you let everybody know we're actually very close.
[00:48:56.629 --> 00:48:58.210]  The fake news will not tell you that.
[00:48:58.250 --> 00:48:59.370]  They don't want to talk about it.
[00:48:59.410 --> 00:49:00.630]  They're trying to suppress it.
[00:49:01.070 --> 00:49:03.011]  We don't have freedom of the press at all.
[00:49:03.631 --> 00:49:04.651]  It's suppressed news.
[00:49:04.731 --> 00:49:08.452]  It's a terrible thing that's happened in our country in the last... It really is.
[00:49:08.612 --> 00:49:13.074]  It's been going on for... It started a long time ago, but it's gotten to a point.
[00:49:13.334 --> 00:49:13.794]  It's just...
[00:49:14.974 --> 00:49:15.875]  It's a terrible thing.
[00:49:16.275 --> 00:49:24.318]  It's not freedom of the press and we got to bring that back because the press is so suppressed.
[00:49:24.758 --> 00:49:26.198]  It's so dishonest.
[00:49:26.479 --> 00:49:28.079]  I don't even call it fake news anymore.
[00:49:28.099 --> 00:49:29.099]  I call it corrupt news.
[00:49:29.680 --> 00:49:35.322]  So just thank you very much, you're great patriots, both of you, and I hear your show is a big success.
[00:49:36.599 --> 00:49:38.700]  Well, Merry Christmas to everybody.
[00:49:38.720 --> 00:49:39.140]  God bless.
[00:49:39.560 --> 00:49:39.920]  God bless.
[00:49:39.940 --> 00:49:41.201]  Merry Christmas, Mr. President.
[00:49:41.241 --> 00:49:41.501]  Thank you.
[00:49:41.661 --> 00:49:46.783]  All right, so there goes the President, and he's still on Fox, some here and there, but they're trying to block him everywhere, trying to block his tweets.
[00:49:46.843 --> 00:49:52.626]  Robert Barnes joins us during the internet kill switch, during the shutdown of America, during lockdown, too.
[00:49:52.686 --> 00:49:53.866]  It all ties together.
[00:49:54.326 --> 00:50:02.770]  What would you call this current state-of-the-world constitutional lawyer and as somebody that's working with folks behind the scenes to try to overturn this fraudulent takeover?
[00:50:03.170 --> 00:50:05.010]  And then let's get to the latest numbers, the facts.
[00:50:05.151 --> 00:50:05.791]  Is there a path
