[00:00:25.951 --> 00:00:28.812]  Sunday, March 8th, 2020.
[00:25:12.896 --> 00:25:14.017]  It's on InfoWars.com.
[00:25:14.017 --> 00:25:15.578]  Here's a short compilation.
[00:25:15.578 --> 00:25:21.402]  Shink Uyghur, Stink Uyghur, whatever his name is, freaks out at black airline employees over delayed flight.
[00:25:23.237 --> 00:25:24.338]  Getting mad over delayed flights.
[00:25:24.338 --> 00:25:26.619]  They're being told by the airline what's happening.
[00:25:26.619 --> 00:25:27.940]  They think they can fix a plane.
[00:25:27.940 --> 00:25:29.321]  Then it's another problem.
[00:25:29.321 --> 00:25:30.461]  A censor says something.
[00:25:30.461 --> 00:25:32.403]  We have some of the best airlines in the world.
[00:25:32.403 --> 00:25:34.144]  We have some of the best systems in the world.
[00:25:34.144 --> 00:25:37.446]  In communist countries, if a flight's delayed, you might be there two days.
[00:25:37.446 --> 00:25:38.767]  But they all want everything free.
[00:25:38.767 --> 00:25:42.389]  This guy's worth reportedly like $50 million, but he's a communist.
[00:25:42.389 --> 00:25:48.373]  So he's flipping out at American Airlines and screaming at them because they keep thinking they're going to have a plane and they don't.
[00:25:48.373 --> 00:25:50.154]  They're not just telling you they don't have a plane for no reason.
[00:25:50.894 --> 00:25:54.315]  So again, it's another spoiled, rotten baby looking for it.
[00:25:54.315 --> 00:25:54.895]  The plane!
[00:25:54.895 --> 00:25:59.856]  The plane!
[00:25:59.856 --> 00:26:06.477]  We've been here three hours, and American Airlines sucks.
[00:26:06.477 --> 00:26:10.158]  They decided for whatever reason to screw everybody on this flight.
[00:26:10.158 --> 00:26:14.539]  It just frustrates me that some industries just get to screw you over and go, meh.
[00:26:15.339 --> 00:26:17.121]  You gotta fly at some point, right?
[00:26:17.121 --> 00:26:18.643]  And there's Gustavo!
[00:26:18.643 --> 00:26:20.825]  That's a TYT viewer.
[00:26:20.825 --> 00:26:28.373]  And I'm hungry, and I'm tired, and so, like, you know me, I get more agitated when I'm hungry and tired.
[00:26:28.373 --> 00:26:35.340]  So, look, if you guys think this is bad, wait till, if that plane doesn't actually come from the hangar in 20 minutes,
[00:26:38.041 --> 00:26:40.104]  Is the flight coming?
[00:26:40.104 --> 00:26:42.327]  Supervisor, is the flight coming?
[00:26:42.327 --> 00:26:44.890]  Supervisor, you at least gotta be honest.
[00:26:44.890 --> 00:26:46.572]  Is there a flight?
[00:26:46.572 --> 00:26:47.994]  Is there a plane?
[00:26:47.994 --> 00:26:49.316]  You gotta be honest.
[00:26:49.316 --> 00:26:50.757]  Is there a plane?
[00:26:50.757 --> 00:26:51.538]  Is there a plane?
[00:27:04.457 --> 00:27:05.638]  Where's the plane?
[00:27:05.638 --> 00:27:07.079]  Where's the plane?
[00:27:07.079 --> 00:27:08.620]  Is there a plane?
[00:27:08.620 --> 00:27:10.080]  Where is it?
[00:27:10.080 --> 00:27:11.181]  Where's the plane?
[00:27:11.181 --> 00:27:18.766]  You know, but listen, if we just sit here and take it, they'd have us here until six in the morning, and then they'd **** us even harder, okay?
[00:27:18.766 --> 00:27:21.707]  So I need to, you're a supervisor, aren't you?
[00:27:21.707 --> 00:27:22.828]  Where's the plane?
[00:27:24.529 --> 00:27:27.350]  No, I know, because I've been here for four hours.
[00:27:27.350 --> 00:27:28.811]  Don't give me this.
[00:27:28.811 --> 00:27:29.951]  Where's the plane?
[00:27:29.951 --> 00:27:31.532]  Here, I got a question for you.
[00:27:31.532 --> 00:27:35.374]  When did you make the decision that we weren't gonna have a plane?
[00:27:35.374 --> 00:27:37.014]  When did you make that decision?
[00:27:37.014 --> 00:27:38.515]  Who made the decision?
[00:27:38.515 --> 00:27:41.776]  Who made the decision that we weren't, it's funny to you, right?
[00:27:41.776 --> 00:27:43.077]  It's not funny to us.
[00:27:43.077 --> 00:27:44.458]  Who made the decision?
[00:27:44.458 --> 00:27:45.358]  Who made the decision?
[00:27:45.358 --> 00:27:46.639]  You made it.
[00:27:46.639 --> 00:27:47.679]  Well, who is it then?
[00:27:47.679 --> 00:27:48.800]  That's what I'm asking.
[00:27:48.800 --> 00:27:49.660]  Whose fault is it?
[00:27:49.960 --> 00:27:50.640]  Whose fault is it?
[00:27:50.640 --> 00:27:51.721]  This goes on for too long.
[00:27:51.721 --> 00:27:53.461]  Now he tells you what he's really thinking about.
[00:27:53.461 --> 00:27:56.783]  So he wants to hurt innocent people that aren't running things.
[00:27:56.783 --> 00:27:57.483]  He's a communist.
[00:27:57.483 --> 00:27:59.784]  He doesn't understand they're not in command.
[00:27:59.784 --> 00:28:00.625]  It's the engineers.
[00:28:00.625 --> 00:28:01.765]  They don't know why the plane's broken.
[00:28:01.765 --> 00:28:04.406]  They're trying to fix it as quickly as possible.
[00:28:04.406 --> 00:28:10.109]  But now, back it up 10 seconds, he's about to tell you who he really wants to take care of, and that's animals.
[00:28:10.109 --> 00:28:12.830]  He wants to pleasure sexually, reportedly donkeys.
[00:28:12.830 --> 00:28:13.190]  Here it is.
[00:28:13.932 --> 00:28:15.253]  Is there a crew?
[00:28:15.253 --> 00:28:16.714]  Is there a plane or a crew?
[00:28:16.714 --> 00:28:20.376]  Flight 204, your plane is already on its way from the hangar.
[00:28:20.376 --> 00:28:23.558]  No, no, no, but they told us that four hours ago!
[00:28:23.558 --> 00:28:25.980]  Is it actually coming?
[00:28:25.980 --> 00:28:26.881]  Is it actually coming?
[00:28:26.881 --> 00:28:30.703]  Because I literally heard it was coming from the hangar three hours ago.
[00:28:30.703 --> 00:28:34.966]  I literally heard that!
[00:28:34.966 --> 00:28:42.851]  If I were the benevolent dictator of the world, I would legalize bestiality where you are
[00:28:44.025 --> 00:28:46.506]  Giving.
[00:28:46.506 --> 00:28:48.848]  You are your pleasuring animal.
[00:28:48.848 --> 00:28:50.449]  You see what I'm saying?
[00:28:50.449 --> 00:28:57.713]  But he doesn't want to pleasure and just be nice to the poor people at the ticket counter who have not done anything wrong.
[00:28:57.713 --> 00:28:58.153]  Stay with us.
[00:28:59.835 --> 00:29:00.856]  Everybody's calling me.
[00:29:00.856 --> 00:29:08.182]  I'm getting constant streams of text messages and phone calls and family visiting the house saying, is coronavirus really deadly?
[00:29:08.182 --> 00:29:09.623]  How bad is it really?
[00:29:09.623 --> 00:29:12.325]  So I would encourage listeners, yes, go get high quality storable foods.
[00:29:12.325 --> 00:29:15.288]  We have the only company, the biggest in the nation, that actually still has food.
[00:29:15.288 --> 00:29:18.010]  It does take five to eight weeks to get it to you because they got to package it.
[00:29:18.010 --> 00:29:18.651]  They got the food.
[00:29:18.651 --> 00:29:21.493]  But I want to encourage listeners to do the most important thing.
[00:29:21.713 --> 00:29:22.234]  That's right.
[00:29:42.037 --> 00:29:46.941]  Turmeric is known for doing a super job when it comes to cleaning out your cells.
[00:29:46.941 --> 00:29:49.703]  We have the strongest turmeric you're going to find out there.
[00:29:49.703 --> 00:29:51.484]  95% Humanoid from bodies, ultimate turmeric formula.
[00:29:51.484 --> 00:29:52.425]  That's back in stock.
[00:29:52.425 --> 00:29:55.867]  And purchases at Infolarestore.com are the highest quality supplements, desirable food.
[00:29:55.867 --> 00:29:58.729]  And you actually get them delivered in stock at Infolarestore.com.
[00:29:58.729 --> 00:29:59.430]  So get those today.
[00:30:03.687 --> 00:30:05.328]  Owl Killer in New Jersey.
[00:30:05.328 --> 00:30:06.469]  You're on the air, go ahead.
[00:30:06.469 --> 00:30:12.314]  Alex, hey, I just want to say it's great to be back once again, and I've never gotten to do this, but I'm going to give you a shout out for your product.
[00:30:12.314 --> 00:30:17.598]  So, that Super Blue Fluoride Free Toothpaste and that Super Blue Whitening Toothpaste is on another level.
[00:30:17.598 --> 00:30:22.762]  I use the Super Blue in the morning and then the whitening at night, and it absorbs into your gum.
[00:30:22.762 --> 00:30:25.584]  It is by far the best product that I've ever used in my life.
[00:30:25.584 --> 00:30:28.446]  I literally just took Turbo Force on my way to the gym right now.
[00:30:28.446 --> 00:30:28.706]  I've had
[00:30:28.826 --> 00:30:36.509]  Four shoulder surgeries and a back surgery and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[00:30:36.509 --> 00:30:37.849]  So I just want to get that out of the way.
[00:30:37.849 --> 00:30:38.809]  Support this man.
[00:30:38.809 --> 00:30:40.270]  Everything that he exposed.
[00:30:40.270 --> 00:30:41.690]  Nobody knew about Bohemian Grove.
[00:30:41.690 --> 00:30:42.811]  Nobody knew about Epstein.
[00:30:42.811 --> 00:30:44.111]  Nobody knew about Bilderberg.
[00:30:44.111 --> 00:30:46.952]  Nobody called 9-11 before it happened in July 2001.
[00:30:46.952 --> 00:30:48.613]  Go look it up yourself.
[00:30:48.613 --> 00:30:49.773]  Well, we try our best, sir.
[00:30:49.773 --> 00:30:50.974]  They definitely want us off the air.
[00:30:50.974 --> 00:30:51.894]  Without you, we're not here.
[00:30:51.894 --> 00:30:53.795]  But yeah, these are all great products, so thank you, sir.
[00:31:01.024 --> 00:31:02.605]  Hanuman, if I'm pronouncing that right.
[00:31:02.605 --> 00:31:03.726]  What do you think's really going on?
[00:31:03.726 --> 00:31:04.466]  And thanks for calling.
[00:31:04.466 --> 00:31:06.527]  So yes, I was in Costco a couple weeks ago.
[00:31:06.527 --> 00:31:07.207]  I was getting ready.
[00:31:07.207 --> 00:31:10.970]  I went to buy a bunch of toilet paper and some things before crowds really hit.
[00:31:10.970 --> 00:31:15.612]  And I had my phone, I had my show going on, sticking it in my pocket so I could hear it.
[00:31:15.612 --> 00:31:16.893]  I wasn't using headphones.
[00:31:16.893 --> 00:31:19.174]  This lady stops, she says, who are you listening to?
[00:31:19.174 --> 00:31:19.955]  Who's that talking?
[00:31:19.955 --> 00:31:21.375]  I said, this is Alex Jones.
[00:31:21.375 --> 00:31:24.737]  And she just got, her eyes got wide open and she says, really?
[00:31:24.737 --> 00:31:25.838]  I thought he was off the air.
[00:31:26.198 --> 00:31:31.344]  And, uh, I said no, and I told her, I explained, you know, the whole situation and told her where to go.
[00:31:31.344 --> 00:31:36.210]  She wrote down, you know, Dan.video and also Infowars.com and just said she's, he's still on.
[00:31:36.210 --> 00:31:41.797]  I run into people at the grocery store, at the mall, on the hike and bike trail, and they go, oh, Alex, I used to love you.
[00:31:41.797 --> 00:31:42.938]  I wish you were still on air.
[00:31:42.938 --> 00:31:43.859]  Are you ever going to go back on air?
[00:31:43.859 --> 00:31:44.280]  And I'm like,
[00:31:44.360 --> 00:31:47.403]  We're on hundreds of radio stations, over a hundred TV stations and cable stations.
[00:31:47.403 --> 00:31:49.645]  We have our own streams at InfoWars.com and BandOnVideo.
[00:31:49.645 --> 00:31:50.546]  And they go, really?
[00:31:50.546 --> 00:31:55.150]  They said you were off the air because they took the deplatforming as off the air.
[00:31:55.150 --> 00:31:56.831]  No, we have our own platform.
[00:31:56.831 --> 00:31:57.772]  InfoWars!
[00:31:57.772 --> 00:31:58.613]  InfoWars!
[00:31:58.613 --> 00:31:59.534]  InfoWars!
[00:32:00.669 --> 00:32:02.892]  Infowarslife.com.
[00:32:02.892 --> 00:32:05.094]  Infowarslife.com.
[00:32:05.094 --> 00:32:07.137]  Infowarslife.com.
[00:32:07.137 --> 00:32:16.407]  You go to that URL, it takes you to the subsection of Infowarsstore.com where you find the 60 plus products where we've gone out and researched what is the best,
[00:32:17.028 --> 00:32:18.789]  Well, it gives people the best results.
[00:32:18.789 --> 00:32:22.512]  We either private label it, or we develop our own with top developers.
[00:32:22.512 --> 00:32:27.375]  And folks, I'm telling you, you can see the difference in me, my energy, my focus.
[00:32:27.375 --> 00:32:30.277]  I've lost almost 40 pounds in less than four months.
[00:32:30.277 --> 00:32:31.198]  It's incredible.
[00:32:31.198 --> 00:32:32.859]  So do yourself a favor.
[00:32:32.859 --> 00:32:35.341]  Try out the products if you've been on the fence.
[00:32:35.341 --> 00:32:38.223]  You can't lose, except if you don't take action.
[00:32:38.223 --> 00:32:45.188]  Because when you buy the products, you're funding the operation that is always delivering, thanks to your support and God's grace and our action.
[00:32:45.768 --> 00:32:47.049]  But you need these products.
[00:32:47.049 --> 00:32:50.110]  That's the real reason you want to get them, is because they're amazing.
[00:32:50.110 --> 00:32:54.032]  And then when you get great results, please tell others about it word of mouth.
[00:32:54.032 --> 00:32:57.873]  That's how we expand in the face of the NWO instead of imploding.
[00:32:57.873 --> 00:33:03.356]  We're fighting to win, and we are winning, thanks to you.
[00:33:03.356 --> 00:33:05.977]  You're listening to the Alex Jones Show.
[00:33:39.795 --> 00:33:46.286]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:33:46.286 --> 00:33:48.630]  You're listening to Alex Jones.
[00:34:01.093 --> 00:34:03.756]  That's a natural fix.
[00:34:03.756 --> 00:34:08.901]  We are live, ladies and gentlemen, on this Sunday, March 8, 2020 transmission.
[00:34:08.901 --> 00:34:23.955]  And we're here because of you, and your word of mouth, and your support, and the great affiliates across the country, and people telling folks about Band.Video and NewsWars.com forward slash show.
[00:34:23.955 --> 00:34:25.837]  We're an American band.
[00:34:25.837 --> 00:34:26.998]  We're coming to your town.
[00:34:29.468 --> 00:34:33.150]  We're gonna go after the Globalists in a big way together.
[00:34:33.150 --> 00:34:34.471]  We'll win it.
[00:34:34.471 --> 00:34:41.236]  But... The enemy is striking back.
[00:34:41.236 --> 00:34:46.799]  What we need is four young Chiquitas from Omaha.
[00:34:46.799 --> 00:34:51.282]  Brother starts singing the song.
[00:34:51.282 --> 00:34:54.044]  Feeling good, feeling right.
[00:34:54.044 --> 00:34:54.705]  Saturday night.
[00:34:56.816 --> 00:35:01.097]  Don't let the Gillette commercials see this or hear about it.
[00:35:01.097 --> 00:35:05.658]  They're gonna tell us that we're not allowed to ask girls out.
[00:35:05.658 --> 00:35:06.499]  That's a bad thing.
[00:35:06.499 --> 00:35:19.842]  But if you're a convicted pedophile, dressed in a clown suit and calling yourself a drag queen, and you're unannounced brought to the school by other fellow pedophiles and small children bounce on your, bounce on your crotch and call it horsey, well then it's okay.
[00:35:21.573 --> 00:35:23.674]  Yes, you cannot make this up.
[00:35:23.674 --> 00:35:32.280]  Okay, let me get to the big enchilada, the coronavirus.
[00:35:32.280 --> 00:35:41.246]  You know, one reason I've been successful in Heinstein, I look back on, because none of it was on purpose, it was just being truthful, is that I cover a lot of diverse new news.
[00:35:41.246 --> 00:35:44.748]  But on things that I think are really important, I just am like a parrot.
[00:35:44.748 --> 00:35:49.231]  I'll just kind of add, by the way, they want your guns.
[00:35:49.231 --> 00:35:50.492]  By the way, they want your kids.
[00:35:51.664 --> 00:35:54.665]  By the way, they're lying to you.
[00:35:54.665 --> 00:35:56.006]  By the way, the vaccine's retained.
[00:35:56.006 --> 00:35:58.027]  They have a secret vaccine damage fund.
[00:35:58.027 --> 00:36:00.448]  They pay out billions of dollars secretly.
[00:36:00.448 --> 00:36:02.149]  Its existence is admitted.
[00:36:02.149 --> 00:36:03.570]  Just the cases are secret.
[00:36:03.570 --> 00:36:05.171]  Can I just chirp that out?
[00:36:05.171 --> 00:36:08.953]  Chirp, chirp, chirp, chirp, chirp.
[00:36:08.953 --> 00:36:13.875]  Little important bombshell factoids that I think are most important.
[00:36:13.875 --> 00:36:17.397]  And the other big secret is, before there was the internet, there was talk radio.
[00:36:17.397 --> 00:36:19.598]  And that was the old-fashioned internet, where you just didn't call in.
[00:36:23.803 --> 00:36:27.984]  And that's the real secret ingredient, is the callers.
[00:36:27.984 --> 00:36:31.706]  Because you bring in the wild cards, the knowledge of the crowd, and the great guests.
[00:36:31.706 --> 00:36:36.407]  So, I want to open the phones up here for first-time callers.
[00:36:36.407 --> 00:36:45.691]  I do that half the time as first-time callers, so new people get a chance, because we can have like 20-something thousand calls during a show, because we have a computerized phone system that shows 20,000.
[00:36:45.691 --> 00:36:46.231]  So that's crazy.
[00:36:46.231 --> 00:36:49.532]  There's a lot of folks that are regular, who we love, with their own speed dial.
[00:36:51.032 --> 00:36:59.079]  There's a lot of people, we get it, you know, on a Sunday evening, they're sitting back, knocking back a few brews, and they're on speed dial.
[00:36:59.079 --> 00:37:01.421]  You've had more than six beers, not allowed to call in.
[00:37:01.421 --> 00:37:04.964]  Six beers today, that's the limit.
[00:37:04.964 --> 00:37:07.627]  Believe me, I get Sunday evenings back when I was a drinking man.
[00:37:07.627 --> 00:37:11.991]  You know, I quit drinking totally for four months, kind of started back a little bit, but now I'm phasing off of it.
[00:37:11.991 --> 00:37:15.314]  So I'm not judging anybody, I'm just saying here, ladies and gentlemen,
[00:37:16.184 --> 00:37:19.688]  That this is not the drinking hour.
[00:37:19.688 --> 00:37:21.510]  This is serious business.
[00:37:21.510 --> 00:37:22.712]  I'm not being patronizing.
[00:37:22.712 --> 00:37:24.414]  I'm telling myself that.
[00:37:24.414 --> 00:37:27.217]  Nobody wants to sail off into the sunset like I do.
[00:37:27.217 --> 00:37:27.578]  Believe me.
[00:37:29.431 --> 00:37:37.774]  You know what, I'm gonna hit coronavirus from a very professional perspective, and I'm gonna get my guns loaded, and I've got them loaded, but I kind of already started going off on other tangents.
[00:37:37.774 --> 00:37:45.416]  So let me hit this important point, very important point, beyond central, beyond paramount, beyond critical.
[00:37:45.416 --> 00:37:47.137]  If we don't have this, we have nothing.
[00:37:47.137 --> 00:37:51.538]  And then I'll come back and hit all of this, and then take your calls in the entire second hour.
[00:37:51.538 --> 00:37:54.159]  The toll-free number to join us on this live Sunday edition is 877-789-ALEX.
[00:37:56.800 --> 00:37:58.562]  8-7-7-7-8-9-2-5-3-9 International Line, dial the country code and 512-646-1776.
[00:37:58.562 --> 00:37:59.282]  That number's 512-646-1776.
[00:37:59.282 --> 00:38:01.764]  Or if you like it in Darth Vader voice, we can do that too.
[00:38:01.764 --> 00:38:01.985]  8-7-7-7-8-9-2-5-3-9.
[00:38:01.985 --> 00:38:04.827]  We'll get you up and on the air, or perhaps Optimus Prime is how you'd like to hear it.
[00:38:25.962 --> 00:38:27.043]  East of the Rockies, that guy.
[00:38:27.043 --> 00:38:28.023]  That guy's got a cool voice.
[00:38:28.023 --> 00:38:30.204]  East of the Rockies, H-7s.
[00:38:30.204 --> 00:38:33.046]  East of the Rockies, H-7-7-7-8-9-2-5-3-9.
[00:38:33.046 --> 00:38:38.148]  Now we're imitating George Norian, coast to coast to him.
[00:38:38.148 --> 00:38:44.632]  Autobots, transform and call H-7-7-7-8-9-2-5-3-9 to destroy Megatron.
[00:38:44.632 --> 00:38:46.553]  Alright.
[00:38:46.553 --> 00:38:47.753]  See, I want to have fun too!
[00:38:47.753 --> 00:38:50.194]  I get it.
[00:38:50.194 --> 00:38:52.176]  Deep in my cups on the beach.
[00:38:52.176 --> 00:38:53.656]  Fishing.
[00:38:53.656 --> 00:38:54.657]  Building sandcastles.
[00:38:55.976 --> 00:38:58.238]  My babies, that sounds good, doesn't it?
[00:38:58.238 --> 00:39:02.321]  But let me give you some good news here before I come back and hit the really bad news.
[00:39:02.321 --> 00:39:10.427]  But the good news is that we know what the bad news is and we've got the jump on it and we're ahead of the curve because we've got the callers and the scientists and the researchers and our head in the game.
[00:39:10.427 --> 00:39:14.110]  And it's this.
[00:39:14.110 --> 00:39:24.118]  I never really want to talk about the successes of InfoWars because it sounds like we're just up here on a high horse saying, look how great we are, look at all the wonderful things we've done.
[00:39:24.118 --> 00:39:25.079]  And that's not what's happening.
[00:39:27.097 --> 00:39:43.664]  I need to report to you the successes we've had in freedom against tyranny so that you know not how powerful I am, but so you know how weak and pathetic and undefendable and indefensible the globalists are.
[00:39:43.664 --> 00:39:45.485]  And finally, this is a trifecta,
[00:39:46.863 --> 00:39:53.865]  Not how powerful Alex Jones is, but how un-powerful the globalists are when you have the facts.
[00:39:53.865 --> 00:39:58.506]  And how powerful we... Oh, now I'm powerful with you!
[00:39:58.506 --> 00:40:01.087]  Now I'm powerful with God's help!
[00:40:01.087 --> 00:40:04.647]  With justice and ideas and the truth and freedom together.
[00:40:04.647 --> 00:40:06.608]  Now we're powerful!
[00:40:06.608 --> 00:40:08.528]  Alex Jones isn't powerful!
[00:40:08.528 --> 00:40:10.869]  I've got a will and I don't want to be a slave and I'm willing to fight!
[00:40:10.869 --> 00:40:14.630]  I'm way more strong than the globalists, but...
[00:40:15.487 --> 00:40:19.650]  They have got everybody hoodwinked and bamboozled.
[00:40:19.650 --> 00:40:20.230]  But not anymore.
[00:40:20.230 --> 00:40:22.732]  But when you talk about the power, it's you.
[00:40:22.732 --> 00:40:27.555]  And you need to start thinking about how truly important you are.
[00:40:27.555 --> 00:40:29.356]  Because garbage in, garbage out.
[00:40:29.356 --> 00:40:34.220]  But the spark of God and energy and truth and justice and the knowledge of good.
[00:40:35.233 --> 00:40:39.335]  We'll elevate your psyche, your soul, your IQ, everything.
[00:40:39.335 --> 00:40:40.916]  And that's the big secret.
[00:40:40.916 --> 00:40:51.742]  But the globalists can activate a group residence to bring down our harmonics, which is a scientific thing, not some type of mojo or magic.
[00:40:51.742 --> 00:40:55.604]  There's an Internet of Minds connected, the group collective.
[00:40:55.604 --> 00:40:59.627]  They know how to jack into that and lower its frequency to control us.
[00:40:59.627 --> 00:41:03.009]  But God knows how, and if we tap into that to boost it.
[00:41:03.789 --> 00:41:06.033]  And so there's a battle right now between those two things.
[00:41:06.033 --> 00:41:09.158]  But I'm going to tell you, we are the zeitgeist.
[00:41:09.158 --> 00:41:12.623]  InfoWars is the flaming white hot tip of the spear.
[00:41:14.850 --> 00:41:29.081]  We together launched the entire anti-globalist nationalist movement worldwide and are credited by Nigel Farage, Donald Trump, Balasaro, everybody as being the detonator, the initiator.
[00:41:29.081 --> 00:41:31.263]  And the enemy knows that too, that's why they come after us.
[00:41:31.263 --> 00:41:32.104]  Us.
[00:41:32.104 --> 00:41:33.825]  The audience, myself, together.
[00:41:33.825 --> 00:41:34.386]  Us.
[00:41:34.386 --> 00:41:37.628]  The guests, the crew, all of us.
[00:41:37.628 --> 00:41:37.989]  And then,
[00:41:39.076 --> 00:41:50.441]  We exposed the whole globalist operation, the pedophile rings, and the New World Order, and now we're at the tip of the spear again exposing this whole fake virus.
[00:41:50.441 --> 00:41:51.901]  It's a real virus.
[00:41:51.901 --> 00:41:55.163]  It's man-made, and the response is synthetic.
[00:41:55.163 --> 00:41:58.964]  And we're doing it again because God gave us the tools to fight evil.
[00:41:58.964 --> 00:42:07.748]  We just have to be directed towards God like the North Star, have the will, have the action, build, and be steadfast, and everything happens when you've done that.
[00:42:08.348 --> 00:42:16.750]  When you have the intellect, when you have the patience, when you have the spirit, when you have the community, the fertile soil, to do what we've done, it's incredible.
[00:42:16.750 --> 00:42:25.172]  And that's why the enemy wants to change the narrative and say we're racist, or say we're this, or say we're that, or we're Russian agents, because they know it's not true.
[00:42:25.172 --> 00:42:33.574]  We're the populist Americans, unifying everyone around liberty and justice and God and family, and we're the ones that have the power!
[00:42:33.574 --> 00:42:34.394]  You can look at us!
[00:42:35.074 --> 00:42:36.114]  We speak!
[00:42:36.114 --> 00:42:36.955]  We have strength!
[00:42:36.955 --> 00:42:37.735]  We have honor!
[00:42:37.735 --> 00:42:38.475]  We have will!
[00:42:38.475 --> 00:42:40.796]  We're not stumbling around like zombies!
[00:42:40.796 --> 00:42:44.658]  Liberty lovers, regardless of what color they are, have fire in their eyes!
[00:42:44.658 --> 00:42:54.562]  They're beautiful in what they say and do, because we have God, like we're a stained glass window, shining through us, through that rose-colored darkling.
[00:42:54.562 --> 00:42:55.743]  It's incredible.
[00:42:55.743 --> 00:42:56.883]  We are the winners.
[00:42:56.883 --> 00:42:58.044]  We are the future.
[00:43:00.205 --> 00:43:02.089]  You want to break some globalist ribs.
[00:43:02.089 --> 00:43:03.913]  You want to crush some skulls politically.
[00:43:03.913 --> 00:43:07.440]  You want to drive ice picks through their eyeballs, spiritually.
[00:43:07.440 --> 00:43:09.484]  There's nowhere you can spend money.
[00:43:09.484 --> 00:43:11.048]  There's nowhere you can place your bet.
[00:43:12.665 --> 00:43:13.145]  in a fight
[00:43:43.145 --> 00:43:44.626]  I want to go after the globalists.
[00:43:44.626 --> 00:43:51.869]  And just believe me, ladies and gentlemen, that if you want somebody to commit to you and your family to fight for all of our futures together, you've got to guarantee you keep me in the game.
[00:43:51.869 --> 00:43:57.771]  I'm going to bust my ass with everything I got for us, for myself and my family and your family, because we're in this together!
[00:43:57.771 --> 00:43:58.952]  InfoWarsTore.com
[00:43:59.952 --> 00:44:06.620]  There's roughly only 260 days left until the 2020 election and already you've seen all sorts of crazy things happen.
[00:44:06.620 --> 00:44:17.193]  The globalists are trying to plunge the economy, they're trying to start wars, they're trying to overthrow the president, they're trying to silence free speech, they're trying to trigger riots in the streets, but everything they do is blowing up in the
[00:44:17.333 --> 00:44:17.513]  Yeah.
[00:44:47.233 --> 00:44:48.294]  In this critical time.
[00:44:48.294 --> 00:44:51.218]  A total, complete, absolute 360 win.
[00:44:51.218 --> 00:44:52.940]  Every point of the compass is covered.
[00:44:52.940 --> 00:44:56.425]  The only way we can be defeated is if you don't take action.
[00:44:56.425 --> 00:44:59.529]  Get high quality products at InfoWarsTore.com today.
[00:45:01.553 --> 00:45:06.256]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:45:06.256 --> 00:45:16.683]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:45:17.583 --> 00:45:22.385]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:45:22.385 --> 00:45:30.789]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:45:30.789 --> 00:45:38.513]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:45:38.513 --> 00:45:40.474]  Wake up refreshed and take on the day.
[00:45:40.934 --> 00:45:48.876]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:45:48.876 --> 00:45:52.557]  Get the sleep you deserve and experience the power of knockout.
[00:45:52.557 --> 00:45:56.938]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:45:56.938 --> 00:45:58.359]  That's InfoWarsLife.com
[00:46:00.566 --> 00:46:02.386]  We always promote being prepared.
[00:46:02.386 --> 00:46:06.007]  Having firearms, knowing how to use them, and being self-sufficient.
[00:46:06.007 --> 00:46:08.348]  And learn how to hunt, and learn how to garden.
[00:46:08.348 --> 00:46:09.908]  I mean, it's just what we're meant to do.
[00:46:09.908 --> 00:46:11.129]  It feels good when we do it.
[00:46:11.129 --> 00:46:13.029]  But we do sell high-quality, affordable food.
[00:46:13.029 --> 00:46:16.170]  I told my Patriot a month ago, I said, what can you handle?
[00:46:16.170 --> 00:46:17.170]  I said, I think it's gonna be really big.
[00:46:17.170 --> 00:46:18.630]  And they said, well, we can handle probably this.
[00:46:18.630 --> 00:46:21.391]  We're not sure we're investing everything we've got to even pay it forward to be able to
[00:46:21.411 --> 00:46:21.851]  We're good.
[00:46:36.927 --> 00:46:38.248]  You're listening to the Alex Jones Show!
[00:47:13.712 --> 00:47:30.440]  But if you're aware of the mind control, then you are able to be aware of its manipulations and you can train your mind to override it.
[00:47:41.775 --> 00:47:51.604]  And then just like mountain climbing or mountain biking or hiking or jogging or swimming or fighting, you get better and better and better and better and better at it.
[00:47:51.604 --> 00:47:55.488]  Instead of being oppressed by all of it, you learn to navigate it and make it a game.
[00:47:55.488 --> 00:47:57.850]  You make it a joke.
[00:47:57.850 --> 00:48:07.019]  And your brain learns to then not enjoy bad things happening, but really enjoy it.
[00:48:08.308 --> 00:48:12.713]  Like, you don't look for it, and you don't like it, but then you do that alchemy where, oh, really?
[00:48:12.713 --> 00:48:14.014]  I enjoy this.
[00:48:14.014 --> 00:48:19.681]  And then that's when you really start overcoming, and that's when your brain starts going, and really weaponizing.
[00:48:19.681 --> 00:48:21.142]  Weaponizing.
