[00:00:05.603 --> 00:00:07.105]  Mark your calendars.
[01:04:32.299 --> 01:04:38.162]  He's going to win if every one of us recognizes the inherent danger of his loss.
[01:04:38.162 --> 01:04:40.243]  He's the only thing that stands between us
[01:04:41.063 --> 01:04:41.984]  And globalism.
[01:04:41.984 --> 01:04:47.026]  He's the only thing that stands between us and a total socialist takeover of America.
[01:04:47.026 --> 01:04:52.228]  This may well be our last presidential election if he does not win.
[01:04:52.228 --> 01:04:54.469]  I really believe that.
[01:04:54.469 --> 01:04:57.151]  And my confidence in him has never been shaken.
[01:04:57.151 --> 01:04:59.552]  Look, Alex, this is really clear.
[01:04:59.552 --> 01:05:07.836]  On July 24th, 2019, the prosecutors working for Mueller approached one of my lawyers to propose a deal.
[01:05:09.683 --> 01:05:11.904]  And they were very careful in their wording.
[01:05:11.904 --> 01:05:15.525]  They said, it's time for your client to confess.
[01:05:15.525 --> 01:05:18.326]  It's time for your client to come clean.
[01:05:18.326 --> 01:05:26.789]  It's time for your client to re-remember these phone calls we have a record of between he and candidate Trump in 2016.
[01:05:26.789 --> 01:05:36.233]  And if he's prepared to tell the truth, which is that these phone calls pertain to coordinating the timing of the WikiLeaks disclosures and Russia,
[01:05:36.694 --> 01:05:40.755]  Well, we might be willing to propose to the judge that he serve no time.
[01:05:41.508 --> 01:05:44.190]  In other words, they wanted me to lie.
[01:05:44.190 --> 01:05:53.418]  They put me under enormous financial and legal pressure to bear false witness against the President, and I refused to do this.
[01:05:53.418 --> 01:05:55.360]  I can document this.
[01:05:55.360 --> 01:06:00.004]  It is something that I have never regretted, not for a minute.
[01:06:00.004 --> 01:06:06.910]  Staring into the abyss, looking at 40 months in jail, and what is in fact a de facto death sentence right now.
[01:06:07.370 --> 01:06:15.615]  I still say to you, I regret nothing that I did during the 2016 election because I didn't do anything wrong.
[01:06:15.615 --> 01:06:23.379]  In her tongue lashing at me sentence, the judge said that I was a belligerent.
[01:06:23.379 --> 01:06:25.761]  Let me define that for you.
[01:06:25.761 --> 01:06:27.422]  That means I wouldn't plead guilty.
[01:06:27.842 --> 01:06:42.408]  That means I wouldn't take responsibility for a crime I did not commit, which is my right as an American, and particularly I would not roll over on the President of the United States like Michael Cohen and tell them what they wanted to hear.
[01:06:42.408 --> 01:06:45.350]  This was weeks before the Mueller report came out.
[01:06:45.350 --> 01:06:48.011]  It was clear to me they had no evidence of Russian
[01:06:48.271 --> 01:06:49.452]  Thank you very much.
[01:07:05.959 --> 01:07:17.290]  The accounts of Rick Gates at my trial, the accounts of Michael Cohen before the two Senate committees and the House Oversight Committee are uncorroborated lies.
[01:07:17.290 --> 01:07:24.317]  Well that's right, and Trump's talked about the treason and the illegality and the Russiagate was a fraud and Ukrainegate was a fraud and now all this is a fraud.
[01:07:24.938 --> 01:07:29.383]  And that's really the problem, is they never get in trouble, so they just keep doing it over and over again.
[01:07:29.383 --> 01:07:33.367]  You know, you know the inside baseball, I can't talk about it on air because I had agreements I wouldn't.
[01:07:33.367 --> 01:07:37.491]  They've approached me and said, come out against Trump, the Second Amendment will drop the lawsuits.
[01:07:37.491 --> 01:07:40.494]  You know, they've come out and said, hey, a big billionaire, well-known guy.
[01:07:40.894 --> 01:07:43.676]  He wants to give you a First Amendment foundation and give you money.
[01:07:43.676 --> 01:07:45.677]  Instead of lawsuits, we'll give you money.
[01:07:45.677 --> 01:07:47.639]  Or, oh, we won't indict you.
[01:07:47.639 --> 01:07:49.460]  You know, you need to really come out against Trump.
[01:07:49.460 --> 01:07:54.824]  I mean, this is a major squeeze against the American people by the deep state.
[01:07:54.824 --> 01:08:01.688]  And the fact that now, almost four years in, they can't execute shows to their minions they're losing power.
[01:08:01.688 --> 01:08:05.611]  But that's what's scary is now they're really getting desperate, Roger.
[01:08:06.991 --> 01:08:10.072]  Well, that's why they want me off the battlefield for 2020.
[01:08:10.072 --> 01:08:12.933]  That's what I think most of this is really about.
[01:08:12.933 --> 01:08:14.233]  That's my closing thing.
[01:08:14.233 --> 01:08:15.273]  Get you off the battlefield.
[01:08:15.273 --> 01:08:16.114]  Talk about that.
[01:08:16.114 --> 01:08:24.836]  How beautiful if you got clemency next week, or a pardon, and instead of running from you, Trump brought you in as a spokesperson or brought you in as an advisor.
[01:08:25.489 --> 01:08:27.430]  The president has never run from me.
[01:08:27.430 --> 01:08:29.391]  Look at his history of tweets.
[01:08:29.391 --> 01:08:30.151]  No, no, he hasn't.
[01:08:30.151 --> 01:08:30.912]  That's what I'm saying.
[01:08:30.912 --> 01:08:32.733]  He said, Roger, nothing wrong.
[01:08:32.733 --> 01:08:34.654]  Roger has nothing to worry about.
[01:08:34.654 --> 01:08:42.978]  Roger's been... I'm saying, pardon you and then just bring you in front and center in press conferences.
[01:08:42.978 --> 01:08:44.599]  That would be so powerful.
[01:08:45.299 --> 01:08:49.261]  Well, but let me be very clear, I'm not looking for a job in this campaign entourage.
[01:08:49.261 --> 01:09:04.771]  I think what I did in 2016, by making African Americans aware of the existence of Danny Williams, who was on this show, who is in fact the illegitimate son of Bill Clinton, who was cut off by Hillary, not by Bill.
[01:09:06.232 --> 01:09:16.542]  By revealing Bill Clinton's serial sexual assaults against multiple women, but far more importantly, the role Hillary played in bullying and intimidating and threatening those women.
[01:09:16.542 --> 01:09:22.548]  That's right, you didn't do the dirty work, you did the dangerous work nobody else would do, and we did it as well, and the listeners did it.
[01:09:22.548 --> 01:09:25.771]  You exposed what was documented reality.
[01:09:25.771 --> 01:09:30.375]  And that's exactly, so you're saying, make you a free agent, and you'll get back in the fight.
[01:09:31.255 --> 01:09:39.098]  I will do everything I possibly can within the bounds of the law to re-elect this president as I did four years ago.
[01:09:39.098 --> 01:09:41.379]  They know that I'm a scrapper and a fighter.
[01:09:41.379 --> 01:09:46.321]  I'm tired of reading Roger Stone, self-described dirty trickster.
[01:09:46.321 --> 01:09:52.563]  Roger Stone, self-proclaimed, I have never called myself that, I have never proclaimed myself that.
[01:09:52.563 --> 01:09:56.584]  I have acknowledged that Democrats, who I have beaten, have called me that.
[01:09:56.584 --> 01:09:57.925]  But now it's ubiquitous.
[01:09:58.445 --> 01:09:59.706]  Now it's all over.
[01:09:59.706 --> 01:10:00.126]  I did get the L.A.
[01:10:00.126 --> 01:10:00.246]  Times.
[01:10:00.246 --> 01:10:04.969]  Well, Roger, it's like when they say, Jones, who admits he's an actor and admits he's fake.
[01:10:04.969 --> 01:10:06.089]  Million dollars you have that.
[01:10:06.089 --> 01:10:06.790]  I never said that.
[01:10:06.790 --> 01:10:08.030]  I'm totally real.
[01:10:08.030 --> 01:10:09.051]  Have I been in a few movies?
[01:10:09.051 --> 01:10:09.952]  Have I done acting?
[01:10:09.952 --> 01:10:10.452]  Yes.
[01:10:10.452 --> 01:10:14.094]  That's like saying have I played croquet, but I'm not a croquet player.
[01:10:14.094 --> 01:10:15.315]  Have I played basketball?
[01:10:15.315 --> 01:10:16.815]  Yeah, I'm not a basketball player.
[01:10:16.815 --> 01:10:18.036]  Have I shot guns?
[01:10:18.036 --> 01:10:19.517]  Yeah, but I'm not an Olympic marksman.
[01:10:19.517 --> 01:10:22.939]  The idea that I'm an actor, you're a fraud, it's a fraud.
[01:10:24.145 --> 01:10:24.725]  I agree.
[01:10:24.725 --> 01:10:31.368]  So one more time, sign the petition at FreeRogerStone.com.
[01:10:31.368 --> 01:10:37.930]  Part of our campaign to make sure the President is aware that, you know, I have basically 14 days.
[01:10:37.930 --> 01:10:47.353]  14 days from now I will have to report to a prison in rural Georgia and as I've said, I believe it is a death sentence.
[01:10:47.353 --> 01:10:49.814]  I believe it is the end of the line.
[01:10:50.474 --> 01:10:53.076]  And I'm praying fervently... Well, not just from COVID.
[01:10:53.076 --> 01:11:00.759]  I mean, they'll try to Epstein you, and I know they'll put you in solitary confinement like Manafort, and we don't want to put you in the clutches of these guys.
[01:11:00.759 --> 01:11:06.542]  Well, let's not get my wife more upset than she already is, but I recognize that's a very real danger.
[01:11:06.542 --> 01:11:11.665]  No matter what, there's no circumstance whatsoever in which I will ever betray this president.
[01:11:11.665 --> 01:11:14.226]  I have great affection for him and for his family.
[01:11:14.226 --> 01:11:15.687]  And you'll never commit suicide.
[01:11:15.687 --> 01:11:17.908]  And you'll never commit... Say it.
[01:11:17.908 --> 01:11:18.749]  You'll never commit suicide.
[01:11:19.489 --> 01:11:23.912]  No, if they ever tell you Stone killed himself, you will know that somehow the Clintons are involved.
[01:11:23.912 --> 01:11:25.853]  I will never do that.
[01:11:25.853 --> 01:11:28.575]  As a Christian, it is prohibited.
[01:11:28.575 --> 01:11:31.497]  I would never, under any circumstances, do that.
[01:11:31.497 --> 01:11:37.001]  So if they come back to you and tell you, oh, he was despondent, he killed himself, that will never happen.
[01:11:37.001 --> 01:11:41.104]  But let's get the statement clear without me interrupting, because number one, you're a fighter.
[01:11:41.104 --> 01:11:42.324]  You crave the fight.
[01:11:42.324 --> 01:11:43.465]  You don't look for it.
[01:11:43.465 --> 01:11:44.446]  Say a statement.
[01:11:44.446 --> 01:11:49.109]  Roger Stone, will you kill yourself in prison if they lock you up as a political prisoner?
[01:11:49.749 --> 01:11:52.632]  Alex, there's no circumstances under which I will do that.
[01:11:52.632 --> 01:11:53.913]  God will protect me.
[01:11:53.913 --> 01:11:57.656]  I believe that at the end of the day, justice will be done in my case.
[01:11:57.656 --> 01:11:59.498]  I am praying to this president.
[01:11:59.498 --> 01:12:03.602]  I'm praying, more importantly, to God to protect me, because I know he will.
[01:12:03.602 --> 01:12:05.403]  I've learned it in the Bible.
[01:12:05.403 --> 01:12:08.006]  And it has been solace.
[01:12:08.006 --> 01:12:09.327]  It has been strength.
[01:12:09.327 --> 01:12:11.609]  It has given me the fortitude to continue the fight.
[01:12:12.470 --> 01:12:15.773]  I could not have done it any other way.
[01:12:15.773 --> 01:12:18.376]  Well, Roger, we salute you.
[01:12:18.376 --> 01:12:24.783]  Can you just say with all of us here, in the name of Jesus Christ, we beg for justice with Roger Stone.
[01:12:24.783 --> 01:12:26.085]  Please, Jesus, protect me.
[01:12:27.351 --> 01:12:27.931]  Absolutely.
[01:12:27.931 --> 01:12:40.213]  In the name of Jesus Christ Almighty, in the name of our Savior and Lord, I walk with Him and I ask that He protect me and my family in these final days of my epic struggle for freedom.
[01:12:40.213 --> 01:12:43.734]  In the name of Jesus, Amen, all of us together for Roger Stone.
[01:12:43.734 --> 01:12:44.514]  We love you, Roger.
[01:12:44.514 --> 01:12:45.655]  We'll talk to you soon.
[01:12:45.655 --> 01:12:46.315]  We salute you.
[01:12:46.315 --> 01:12:47.635]  Thank you for so much time.
[01:12:47.635 --> 01:12:49.415]  We are all Roger Stone right now, folks.
[01:12:49.415 --> 01:12:50.515]  Pray for Roger Stone.
[01:12:50.515 --> 01:12:51.736]  They want to make him a political prisoner.
[01:12:51.736 --> 01:12:52.356]  We won't let it happen.
[01:12:52.356 --> 01:12:53.116]  It just happened.
[01:12:53.916 --> 01:13:11.689]  On Tuesday morning driving into work about to break the big Roger Stone news and the big COVID-19 hoax news, and I met a red light at the corner of Brody and 290, and an old Mercedes pulls up next to me, and a Hispanic man and two white women start flipping me off, and I thought they recognized who I was.
[01:13:11.689 --> 01:13:14.491]  So I rolled down my window and I said, what, COVID-19's a hoax?
[01:13:14.491 --> 01:13:18.334]  And they were going, F-U, F-U, F-U, F-U, F-U!
[01:13:18.334 --> 01:13:19.755]  And I said, is that your IQ?
[01:13:19.755 --> 01:13:20.275]  One finger?
[01:13:20.275 --> 01:13:21.556]  So they put up two fingers.
[01:13:21.556 --> 01:13:22.557]  I said, oh, it's 11.
[01:13:23.417 --> 01:13:24.618]  And I was like, do you know who I am?
[01:13:24.618 --> 01:13:25.638]  They're like shaking their heads.
[01:13:25.638 --> 01:13:27.339]  They go, wear your mask!
[01:13:27.339 --> 01:13:28.459]  Wear your mask!
[01:13:28.459 --> 01:13:29.640]  And they're pointing at the mask.
[01:13:29.640 --> 01:13:33.541]  So I guess Joy Behar, when she says she goes around and does this with her husband, this is a thing, man.
[01:13:33.541 --> 01:13:35.842]  Their cult is going crazy.
[01:13:35.842 --> 01:13:37.023]  They're control freaks.
[01:13:37.023 --> 01:13:39.584]  They're attacking language, borders, everything.
[01:13:39.584 --> 01:13:43.045]  Because they all bet on leftist garbage and it hasn't delivered to them.
[01:13:43.045 --> 01:13:45.506]  So they're totally going completely insane.
[01:13:45.506 --> 01:13:48.728]  This is crazy.
[01:13:48.728 --> 01:13:49.828]  InfoWars.
[01:13:49.828 --> 01:13:51.389]  Tomorrow's news, today.
[01:13:52.048 --> 01:13:55.812]  The 4th of July 2020 special has gone into high gear.
[01:13:55.812 --> 01:14:01.098]  We have 50% off BODY's really strong extractive turmeric formula.
[01:14:01.098 --> 01:14:02.160]  It's been sold out for months.
[01:14:02.160 --> 01:14:03.221]  That's back in stock.
[01:14:03.221 --> 01:14:07.526]  DNA Force Plus with the PQQ, the CoQ10, so good for your cells, so amazing.
[01:14:07.526 --> 01:14:09.168]  That's back in stock, 50% off.
[01:14:09.168 --> 01:14:11.530]  Winter Sun's been sold out for over three months.
[01:14:11.530 --> 01:14:12.391]  It's back in stock.
[01:14:12.391 --> 01:14:12.732]  Pure
[01:14:13.152 --> 01:14:18.998]  High-quality vitamin D3, take it under the tongue, greater absorption, so good for your whole body, so essential.
[01:14:18.998 --> 01:14:19.859]  That's back in stock.
[01:14:19.859 --> 01:14:24.564]  Ultra 12, super high-quality B12, we can take it under the tongue, that is back in stock.
[01:14:24.564 --> 01:14:28.528]  Survival Silk X2, niacin iodine spray, 33% off, and so much more.
[01:14:29.429 --> 01:14:32.691]  So I want to thank you all this July 4th coming up for standing with us.
[01:14:32.691 --> 01:14:40.417]  I want to invite you to take advantage of these great deals and great products that enrich yourself and your family's life and also fund Hardcore Truth.
[01:14:40.417 --> 01:14:41.718]  Again, take action.
[01:14:41.718 --> 01:14:44.900]  Big 4th of July sales right now at InfoWareStore.com.
[01:14:44.900 --> 01:14:46.621]  We could not have done this without you.
[01:14:46.621 --> 01:14:50.564]  I thank you for your continued prayer, your focus and your support.
[01:14:50.564 --> 01:14:54.987]  Again, I salute you all.
[01:14:54.987 --> 01:14:57.609]  You're listening to the Alex Jones Show.
[01:15:11.148 --> 01:15:13.452]  Another time in the Age of Wonder.
[01:15:30.529 --> 01:15:35.132]  If you are receiving this transmission, you are the resistance.
[01:15:35.132 --> 01:15:42.897]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:15:42.897 --> 01:15:45.758]  This country is fighting for its life.
[01:15:45.758 --> 01:15:48.260]  And there's so many giant things breaking, it makes my head spin.
[01:15:48.260 --> 01:15:51.222]  Now, I have a thousand ways to start this segment.
[01:15:52.512 --> 01:15:56.954]  And incredible articles, videos that we haven't even hit that are super entertaining and interesting.
[01:15:56.954 --> 01:15:58.695]  I probably won't get to any of it.
[01:15:58.695 --> 01:16:01.236]  Because the core issues are what matters.
[01:16:01.236 --> 01:16:02.736]  And the understanding of that.
[01:16:02.736 --> 01:16:05.737]  So, I've told this story probably 3,000 times.
[01:16:05.737 --> 01:16:08.759]  I start a lot of the shows with this.
[01:16:08.759 --> 01:16:14.621]  26 years ago on radio and TV, I might have never said the first few years, this is the biggest show I ever did.
[01:16:14.621 --> 01:16:18.202]  Then about 15 years ago, maybe once a year, I'd say biggest show ever.
[01:16:18.202 --> 01:16:21.604]  And then as time goes on, it's like every month, and then every week, and then every day,
[01:16:22.597 --> 01:16:25.679]  It's the quickening, it's the compounding.
[01:16:25.679 --> 01:16:33.624]  Now, there is more news breaking today of just over-the-top nature than has broken the last month.
[01:16:33.624 --> 01:16:44.491]  And that's the thing about the quickening, is it's going to get more insane, it's going to get more crazy, it's going to get more out of control, and it's all just going to come out in the open.
[01:16:44.491 --> 01:16:48.534]  But here's the secret, the key, the core, the Rosetta Stone, the skeleton key.
[01:16:50.270 --> 01:17:07.886]  By the time we fully wake up, the globalists will be in AI robot control, we'll be domesticated, and we're going to have the total choice of joining Satan and pedophilia and world government and the end of our species to just live a few more years or we have to fight it and most of us die.
[01:17:10.051 --> 01:17:13.193]  And so I've never really been super scared to die.
[01:17:13.193 --> 01:17:14.754]  I mean, I'm willing to do what has to be done.
[01:17:14.754 --> 01:17:16.715]  I've gone through a lot of stuff in my life.
[01:17:16.715 --> 01:17:22.479]  I realized that all those persecution things I went through was God preparing me so I could handle this at this point.
[01:17:22.479 --> 01:17:23.960]  I'm very thankful for the persecution now.
[01:17:23.960 --> 01:17:26.242]  I thank God for everything.
[01:17:26.242 --> 01:17:28.163]  Every time I got too bad, I couldn't take it.
[01:17:28.163 --> 01:17:28.703]  God gave in.
[01:17:28.703 --> 01:17:30.445]  It was crazy.
[01:17:30.445 --> 01:17:31.966]  It's been quite a journey now.
[01:17:31.966 --> 01:17:33.006]  In hindsight, it's 2020.
[01:17:33.006 --> 01:17:37.289]  I can see God's hand on me the whole time.
[01:17:37.289 --> 01:17:38.390]  God's hands on you as well.
[01:17:44.403 --> 01:17:55.991]  We should really mourn for the people that have been turned over to evil and who were cut off from God because it's a spiritual choice they're making and they're already in a bad place and they're going to go to a much, much worse place.
[01:17:55.991 --> 01:18:01.534]  And there's a big letter out from a famous environmentalist today that if I have time I'll get to.
[01:18:01.534 --> 01:18:08.298]  David Knight covered it at the end of his broadcast today at about 10.50 or so.
[01:18:08.298 --> 01:18:08.679]  Powerful.
[01:18:08.679 --> 01:18:10.340]  Hopefully they'll put it out as a report.
[01:18:12.623 --> 01:18:21.596]  And this fellow bought into it all, did it all, you know, well-known author, well-known person that believed it, went to the Amazon to help people, traveled all over, chained himself to bulldozers.
[01:18:23.089 --> 01:18:46.554]  And then he saw how mentally ill his daughter was, and suicidal, and having guilt about herself, and how it was all a fraud what he'd been taught, and how they're really actually hurting the real environment with this fake environmental movement saying heat is the problem, and carbon dioxide's the problem, genetic engineering, nuclear weapons, nuclear reactors out of control, gene splicing, that's the threat to everybody, and the planet.
[01:18:48.149 --> 01:18:49.489]  It's a very powerful article.
[01:18:49.489 --> 01:18:50.429]  It's on InfoWars.com.
[01:18:50.429 --> 01:18:51.590]  In fact, I had it here in the stack.
[01:18:51.590 --> 01:18:52.430]  I was looking for it during the break.
[01:18:52.430 --> 01:18:56.210]  If you guys could reprint that for me, it'd be great, but there's so many hundreds of articles.
[01:18:56.210 --> 01:19:04.192]  By the time I read over them, I just put them in the stacks and can't find them, even though I try to organize all this.
[01:19:04.192 --> 01:19:17.254]  But I could do a whole show just on this well-known individual, just finally coming to Jesus and going, man, this is an anti-human system to kill everybody, and it's depressing, and it's a lie, and it's about how we suck, and we don't suck!
[01:19:18.660 --> 01:19:23.681]  We're not going to decide to just roll over to die because a bunch of Satanists want control.
[01:19:23.681 --> 01:19:27.882]  We're not perfect, but we're not going to be directed by a bunch of Satanists.
[01:19:27.882 --> 01:19:44.066]  And then, I already knew this, but right before the broadcast started, they come in and they give me a mainstream German newspaper article about 30,000 people under investigation for a powerful governmental level pedophile ring in Germany.
[01:19:46.886 --> 01:19:52.049]  Now remember the psychiatrist in Berlin running thousands of kids to people over 30 years.
[01:19:52.049 --> 01:20:04.376]  And now with that bust, it expanded out with the list to where the people now adults say the judges and the politicians and the police chiefs were coming.
[01:20:04.376 --> 01:20:12.721]  So when you see one of these leftist globalist politicians, they're either a pedophile or worse, or they've been abused and have been programmed.
[01:20:14.002 --> 01:20:22.987]  When I say programmed, I mean, Macron was a sex object on record when he was 12 years old at satanic parties.
[01:20:22.987 --> 01:20:27.090]  Macron has obviously been programmed, electroshock, you name it.
[01:20:27.090 --> 01:20:31.352]  You talk about MKUltra, he's it.
[01:20:31.352 --> 01:20:36.035]  These groups groom and prepare people for control so they know they've got full control of them.
[01:20:39.181 --> 01:20:43.845]  Well, the New World Order's got its programming regimen, God's got His.
[01:20:43.845 --> 01:20:47.488]  So while the enemy's building their soldiers, God's building His.
[01:20:47.488 --> 01:20:49.830]  Building you, which you went through in your life.
[01:20:49.830 --> 01:20:59.018]  So those persecutions and bad things that happened to you, when you fought back against them, and even if you didn't overcome them, if you fought against them, you became stronger, not weaker.
[01:20:59.018 --> 01:21:01.020]  Own your persecution!
[01:21:01.020 --> 01:21:03.362]  Own when you've been outnumbered.
[01:21:03.362 --> 01:21:04.123]  Own it!
[01:21:04.123 --> 01:21:05.124]  That's the power!
[01:21:06.809 --> 01:21:08.170]  That's what makes you strong.
[01:21:08.170 --> 01:21:11.553]  Not saying, I'm a victim and rolling over and pissing all over yourself.
[01:21:11.553 --> 01:21:13.855]  Like these videos coming in of this latest Karen video.
[01:21:13.855 --> 01:21:15.116]  I forgot to tell you guys to get it.
[01:21:15.116 --> 01:21:15.717]  Go ask McBreen.
[01:21:15.717 --> 01:21:16.598]  He's got it.
[01:21:16.598 --> 01:21:18.560]  This woman flips this guy off and cuts him off.
[01:21:18.560 --> 01:21:20.121]  She pulls over and goes, Lenny, why are you being mean?
[01:21:20.121 --> 01:21:24.705]  She starts going, a black person, don't hurt me.
[01:21:24.705 --> 01:21:26.367]  She's a liberal.
[01:21:26.367 --> 01:21:28.709]  And she's like covering her license plate and crying.
[01:21:28.709 --> 01:21:30.650]  And this video, this white dude, the black dude hits him.
[01:21:30.650 --> 01:21:32.132]  He falls down and starts pissing on himself.
[01:21:33.578 --> 01:21:37.241]  The brainwashed racist black guy's got problems, but at least he thinks he's doing something.
[01:21:37.241 --> 01:21:49.051]  The person that pisses on themselves and gets on the ground and begs like a baby is the real enemy.
[01:21:49.051 --> 01:21:54.375]  Let me tell all the limp-wristed people, I don't mean you're gay, I mean people that are into being weak.
[01:21:54.375 --> 01:21:56.697]  Folks that are predators look for somebody like you.
[01:22:00.435 --> 01:22:04.839]  You know, I've had a couple big predators before come across me and try to shake me down.
[01:22:04.839 --> 01:22:06.641]  And they can just tell it's not going to be easy.
[01:22:06.641 --> 01:22:08.642]  And I just tell them, look, let's just go ahead.
[01:22:08.642 --> 01:22:09.563]  Let's start dying.
[01:22:09.563 --> 01:22:15.789]  They always go away because they're going to go on to an easier subject because they know I'm not bluffing.
[01:22:15.789 --> 01:22:21.994]  I'm ready to kill people and they might win, but they're going to fight somebody that is going to hurt them really bad.
[01:22:21.994 --> 01:22:26.919]  Because I kick like a mule and I bite like a crocodile and I'd bite people too.
[01:22:28.237 --> 01:22:31.700]  You get me down, I'll start biting big-ass chunks out of you.
[01:22:31.700 --> 01:22:33.362]  See how you like that?
[01:22:33.362 --> 01:22:35.444]  Big chunks.
[01:22:35.444 --> 01:22:37.086]  See, most people have a governor where they can't chomp down.
[01:22:37.086 --> 01:22:42.551]  I've bitten chunks out of people who had me down the size of two ounces of meat.
[01:22:42.551 --> 01:22:48.397]  You don't think the biggest, roughest guy gets off my back when I'm on the ground when I chomp into his leg?
[01:22:48.397 --> 01:22:49.578]  I've done it many times.
[01:22:50.635 --> 01:22:52.837]  I'll bite right through your jeans!
[01:22:52.837 --> 01:22:55.419]  I'll tear a big-ass bloody wad out of your leg!
[01:22:55.419 --> 01:22:57.801]  Because I'm not dead!
[01:22:57.801 --> 01:23:00.203]  And I'm not bowing down!
[01:23:00.203 --> 01:23:04.566]  And I got the spirit of life in me, and I'm spreading it!
[01:23:04.566 --> 01:23:06.227]  I'm proud of being a human.
[01:23:06.227 --> 01:23:09.730]  And I'm proud of all you that breed, that have red blood.
[01:23:09.730 --> 01:23:12.552]  And I'm here to tell you, we're gonna get us the globalists.
[01:23:12.552 --> 01:23:15.334]  You look at that chicken-neck maggot, Bill Gates.
[01:23:15.334 --> 01:23:15.935]  Sorry, I'm digressing.
[01:23:19.147 --> 01:23:22.589]  He wants power over you because he's weak.
[01:23:22.589 --> 01:23:24.149]  The big pedophile news broke.
[01:23:24.149 --> 01:23:27.111]  The huge news of COVID being a total hoax just broke.
[01:23:27.111 --> 01:23:29.752]  Look at that maggot.
[01:23:29.752 --> 01:23:30.332]  Little snake.
[01:23:30.332 --> 01:23:44.859]  Alright, I'm gonna settle down, but we have this galactic level, 30,000 pedophiles in the German government, mainstream news, all exposed.
[01:23:44.859 --> 01:23:47.039]  Their cult is inches from being destroyed.
[01:23:47.039 --> 01:23:48.040]  Praise God, we'll be right back.
[01:23:54.567 --> 01:24:00.870]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[01:24:00.870 --> 01:24:03.051]  It only takes about 30 seconds.
[01:24:03.051 --> 01:24:11.235]  The MECH-TECH carbine upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[01:24:11.235 --> 01:24:13.996]  It's the world's most versatile pistol accessory.
[01:24:13.996 --> 01:24:15.977]  Build your custom upper today.
[01:24:15.977 --> 01:24:18.398]  Simply go to handgunconversion.com.
[01:24:18.398 --> 01:24:20.319]  That's handgunconversion.com.
[01:24:21.339 --> 01:24:22.599]  Maybe not today.
[01:24:22.599 --> 01:24:23.880]  Maybe not tomorrow.
[01:24:23.880 --> 01:24:27.621]  But soon, you'll need a plan and place to survive.
[01:24:27.621 --> 01:24:28.721]  Forget bunkers.
[01:24:28.721 --> 01:24:30.542]  You're not a live underground gopher.
[01:24:30.542 --> 01:24:32.242]  You need Survivalist Camps.
[01:24:32.242 --> 01:24:40.044]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[01:24:40.044 --> 01:24:41.044]  Bold statement?
[01:24:41.044 --> 01:24:42.045]  You bet.
[01:24:42.045 --> 01:24:44.525]  See them now at survivalistcamps.com.
[01:24:44.525 --> 01:24:46.746]  That's survivalistcamps.com.
[01:24:46.746 --> 01:24:49.887]  Trust your family's survival to survivalistcamps.com.
[01:24:52.758 --> 01:24:59.681]  2020 is a very special year to the globalists, to the occultists, to those that are into esoteric mysticism.
[01:24:59.681 --> 01:25:06.423]  And they believe this is the year they're going to totally overthrow America and the world and bring in their anti-god, anti-human tyranny.
[01:25:06.423 --> 01:25:14.066]  Well, we're here on air and we just ask you all to realize that we're in opposition to this evil and that only your word of mouth helps us reach new people.
[01:25:14.626 --> 01:25:16.387]  I want to salute you all and thank you for your support.
[01:25:16.387 --> 01:25:24.710]  I also want you to know that our 4th of July once a year mega sale is here and we've got a bunch of stuff at 50-60% off right now.
[01:25:24.710 --> 01:25:27.651]  But BODY is our ultimate tumeric formula.
[01:25:27.651 --> 01:25:30.012]  This is a tumeric extract, one of the strongest ones out there.
[01:25:30.012 --> 01:25:33.733]  It's so good for your body, so good for your joints, so good for your cells.
[01:25:33.733 --> 01:25:39.015]  It is now back in stock, sold out for over 3 months and it is at 50% off.
[01:25:39.015 --> 01:25:40.916]  DNA Force Plus is back in stock.
[01:25:41.716 --> 01:25:43.157]  It's 50% off as well.
[01:25:43.157 --> 01:25:48.060]  Check it all out InfoWarsTore.com and remember your funding of our operation makes it all possible.
[01:25:48.060 --> 01:25:51.363]  Plus, these are great things that God designed for you and your family's bodies.
[01:25:51.363 --> 01:25:51.963]  Please take action.
[01:26:11.996 --> 01:26:23.040]  I want you to understand that it's because of what you have done, and myself and the whole crew salute you on this July 4th, 2020.
[01:26:23.040 --> 01:26:31.083]  We've got a lot of our best-selling products that were sold out, DNA Force Plus, bodies, Ultra 12, and others that have been sold out for months, back in stock.
[01:26:32.344 --> 01:26:34.646]  50% off for the 4th of July.
[01:26:34.646 --> 01:26:35.707]  We're running a special.
[01:26:35.707 --> 01:26:39.912]  I want to encourage you to get these products because they have enriched my life so much.
[01:26:39.912 --> 01:26:41.494]  I know they'll enrich your life.
[01:26:41.494 --> 01:26:45.558]  And regardless, it's a total 360 win because it funds the Infowar.
[01:26:45.558 --> 01:26:48.121]  The only way we fail is when you don't take action.
[01:26:48.121 --> 01:26:49.522]  But I don't need to tell you that.
[01:26:49.522 --> 01:26:50.824]  You already took action.
