[00:00:29.155 --> 00:00:29.956]  We the people.
[00:27:46.527 --> 00:27:53.294]  I'd like to think this is not a prelude to martial law, but if you're going to have a rule that needs to be enforced, you need an enforcement agency.
[00:27:53.374 --> 00:27:54.876]  And I guess that would be the military.
[00:27:55.196 --> 00:27:57.178]  So I think the president is panicking.
[00:27:57.657 --> 00:28:02.983]  I think that there are forecasts of enormous numbers of deaths and the federal government's been caught unprepared.
[00:28:03.324 --> 00:28:09.090]  But contrast this with the great flu influenza virus pandemic or epidemic in 1918.
[00:28:10.376 --> 00:28:15.341]  We lost 650,000 Americans to influenza-related deaths in 1918.
[00:28:15.701 --> 00:28:28.773]  That was 13 times more than the total number of American casualties in World War I. But yet we pressed on with dignity, yet we pressed on with state sovereignty, yet we pressed on with a commitment to individual liberties.
[00:28:29.173 --> 00:28:29.994]  It wasn't perfect.
[00:28:30.339 --> 00:28:38.269]  But it wasn't a wholesale abdication of individual responsibility and bowing in the direction of the state that we seem prepared to do.
[00:28:38.730 --> 00:28:43.196]  And that Donald Trump would be the vehicle of this message to me is shocking.
[00:28:45.014 --> 00:28:47.395]  I completely agree with your analysis, spot on.
[00:28:47.435 --> 00:28:51.556]  And I would just add, in 1918, President Wilson actually got that flu.
[00:28:51.896 --> 00:28:53.636]  He continued with his job.
[00:28:53.676 --> 00:28:55.917]  He did not force Americans to do anything insane.
[00:28:56.497 --> 00:28:59.638]  Churches willingly cancelled their own services.
[00:28:59.698 --> 00:29:01.078]  People locked themselves down.
[00:29:01.379 --> 00:29:04.019]  It blew over in a few years with a tragic amount of deaths.
[00:29:04.399 --> 00:29:07.360]  Norman, in the next segment, we'll read off that White House switchboard number.
[00:29:07.380 --> 00:29:10.241]  We had it up on screen so TV viewers could get that.
[00:29:10.701 --> 00:29:11.222]  I don't know.
[00:29:25.593 --> 00:29:29.235]  It seems so far, the panic is worse than the virus.
[00:29:29.275 --> 00:29:39.959]  Now that is very likely to change, but do you think if President Trump does this, if he goes ahead with this, I mean, what do you imagine that will do to the Americans who are already out there hoarding, of all things, toilet paper?
[00:29:39.979 --> 00:29:42.380]  I mean, that can only create more panic, correct?
[00:29:43.320 --> 00:29:43.961]  Absolutely.
[00:29:44.121 --> 00:29:46.942]  I mean, you know, there was a wonderful piece, it will create more panic.
[00:29:47.287 --> 00:29:54.051]  There was a wonderful piece in yesterday's Wall Street Journal that talked about the history of epidemics in the United States and how we typically had them in the 50s.
[00:29:54.331 --> 00:29:56.453]  You know, Stolf created the polio vaccine.
[00:29:56.913 --> 00:30:01.396]  Those of us of a certain age recall friends just a little bit older than us who may have had polio.
[00:30:01.856 --> 00:30:02.436]  We got over that.
[00:30:02.516 --> 00:30:03.697]  We've eliminated cholera.
[00:30:03.717 --> 00:30:07.860]  We've eliminated, you know, the mumps and measles for the most part, although they're on their way back.
[00:30:08.520 --> 00:30:12.963]  We've become complacent and seem to think that we've won our battle against the microbe.
[00:30:13.363 --> 00:30:13.803]  We're good to go.
[00:30:34.816 --> 00:30:42.547]  My deepest fear is that if he announces something tonight, it'll be just as a means of preempting Bernie Sanders and Joe Biden's debate.
[00:30:42.607 --> 00:30:47.053]  Because if there's one place where Trump is comfortable, that's at the front of the media line.
[00:30:47.233 --> 00:30:48.475]  And he's not been there for a while.
[00:30:50.575 --> 00:30:52.077]  And again, it's completely accurate.
[00:30:52.097 --> 00:30:53.098]  You say his Twitter feed.
[00:30:53.158 --> 00:31:05.051]  I would add Fox News, which except for one commentator on that network, has been completely downplaying this to the point where they've now suspended a couple reporters who called coronavirus a Democrat scam.
[00:31:05.071 --> 00:31:08.375]  And of course, the big part of the scam, I think, is this panic.
[00:31:08.475 --> 00:31:10.297]  The thing, the reason why people are going out and
[00:31:10.777 --> 00:31:11.417]  We're good to go.
[00:31:34.571 --> 00:31:36.473]  We've got about a minute left.
[00:31:36.613 --> 00:31:42.758]  In the next segment I want to break down the legalities of this, assuming you've got time, but we've got about 45 seconds.
[00:32:01.774 --> 00:32:03.117]  How is this going to go?
[00:32:03.238 --> 00:32:05.183]  Say this happens tonight, you're in court tomorrow.
[00:32:05.203 --> 00:32:06.326]  We've got about 40 seconds.
[00:32:06.366 --> 00:32:06.968]  How will this work?
[00:32:08.152 --> 00:32:16.014]  We'd ask for an emergency hearing, a temporary restraining order or injunction barring this order from going into effect.
[00:32:16.874 --> 00:32:21.935]  And then if we didn't get that, we'd ask for an immediate right to take an appeal to a federal appellate court in New York City.
[00:32:22.015 --> 00:32:24.556]  That's the Second Circuit Court of Appeals for this part of the country.
[00:32:25.336 --> 00:32:28.537]  Barring that, we'd make an emergency run at the United States Supreme Court.
[00:32:28.837 --> 00:32:32.878]  So it would be about a week to 20 days of very intense legal fighting.
[00:32:34.059 --> 00:32:36.301]  A week to 20 days of very intense legal fighting.
[00:32:36.341 --> 00:32:37.883]  Who knows what happens between then?
[00:32:38.223 --> 00:32:41.546]  I want to dive deeper into this because a lot of Americans are going to be worried.
[00:32:41.586 --> 00:32:45.790]  I mean, you know, like folks like you who you might live in one state and work in another.
[00:32:46.270 --> 00:32:48.252]  Those of us in the Midwest may not have to worry about that.
[00:32:48.272 --> 00:32:51.095]  What about places like Kansas City where it's right on the border?
[00:32:51.135 --> 00:32:53.997]  This is going to raise a lot of questions and has a lot of people on edge.
[00:32:54.017 --> 00:32:54.538]  We'll be right back.
[00:32:55.077 --> 00:32:56.859]  Welcome back to the Alex Jones Show.
[00:32:56.979 --> 00:33:13.915]  I'm Tom Pappert, Editor-in-Chief, NationalFile.com, here with Norm Pattis, one of the country's most successful lawyers, who got startling news earlier today that President Trump is actively pursuing and may indeed announce tonight a ban on all interstate travel in the United States.
[00:33:14.275 --> 00:33:16.357]  of America would be crippling to the economy.
[00:33:16.637 --> 00:33:20.061]  It would only add to the growing amount of panic that we're seeing in this country.
[00:33:20.421 --> 00:33:22.903]  It may or may not even be legal.
[00:33:22.963 --> 00:33:31.672]  So, Norman, in the last segment, you said one of the things that folks should do is immediately call the White House, leave a message saying that you do not want this to happen.
[00:33:31.732 --> 00:33:35.235]  You are opposed to this morally, economically, everything.
[00:33:35.275 --> 00:33:39.379]  Well, that number for radio listeners, we had it on screen in the last segment, but for radio listeners,
[00:33:39.719 --> 00:33:39.979]  That is 202-456-1414.
[00:33:39.999 --> 00:33:40.040]  202-456-1414.
[00:33:47.312 --> 00:33:47.852]  1-4.
[00:33:48.313 --> 00:33:56.900]  And I do want to remind everybody as well, I mean, you're now looking at a delay if you go to InfoWarsStore.com and try to buy storable food, but it's probably better late than never.
[00:33:57.240 --> 00:34:10.471]  It's also a good time to get products on InfoWarsStore.com that will boost your health, boost your immune system, give you a chance to not get the regular flu, not get the cold, definitely not get coronavirus, just by having a healthy immune system.
[00:34:10.491 --> 00:34:15.275]  It's the same reason we all buy fruits and vegetables, and the reason why we should all be getting eight hours of sleep a night.
[00:34:15.735 --> 00:34:20.037]  Especially in cold and flu and coronavirus season, it's being called by some.
[00:34:20.337 --> 00:34:23.358]  So Norm, in the last segment we started to talk about the legality of this.
[00:34:23.498 --> 00:34:32.381]  You described very well the process that you would take as a lawyer, as a person who runs a very successful law firm, what you would do should this announcement be made.
[00:34:32.621 --> 00:34:40.784]  And you said it could be a week to 20 days of very, very messy, awake through the night, running on coffee, law.
[00:34:41.587 --> 00:34:44.230]  Fair, I guess is what you call this, to try to keep this from happening.
[00:34:44.850 --> 00:34:46.792]  Describe what that might look like.
[00:34:46.853 --> 00:34:59.706]  I mean, is this something that is going to, if God forbid this happens in the next few hours, and it's not immediately shot down by the first judge who sees it, is this going to go into effect?
[00:35:01.092 --> 00:35:11.695]  Well, it may, although I'm told that since you... I got a tweet from somebody, or a tweet, a text message from somebody during the break, that there's a press conference going on right now and that the President may have walked it back.
[00:35:12.375 --> 00:35:22.858]  And that we checked the President's Twitter feed, apparently he made some sort of crack about don't buy so many groceries, everybody calm down, and apparently Mike Pence is still speaking now, or so I'm told.
[00:35:23.299 --> 00:35:24.319]  I'm on the phone with you.
[00:35:25.119 --> 00:35:27.900]  So let's assume that there is a legal challenge to this.
[00:35:28.280 --> 00:35:31.103]  The first question is, who's a plaintiff?
[00:35:31.584 --> 00:35:32.324]  Who has standing?
[00:35:32.364 --> 00:35:35.828]  It would be anybody that has the right to travel, so any citizen.
[00:35:35.848 --> 00:35:37.710]  We'd have to find somebody to bring the action under.
[00:35:38.010 --> 00:35:43.055]  I may bring it under my own name, because I have to travel down to Austin to work with Alex once a month.
[00:35:43.095 --> 00:35:44.817]  I don't want to be banned from doing my job.
[00:35:45.918 --> 00:35:57.985]  Then you file a complaint in court, a short complaint statement together with briefs about why you think this is an unconstitutional infringement on people's liberties, why it breaks the fundamental right of ours.
[00:35:58.486 --> 00:36:00.467]  You have a quick hearing in front of the judge.
[00:36:00.607 --> 00:36:02.929]  You ask for a first and ex parte hearing.
[00:36:03.189 --> 00:36:05.811]  In other words, you say the government shouldn't even have a chance to be heard on this.
[00:36:06.091 --> 00:36:07.712]  This is transparently outrageous.
[00:36:08.152 --> 00:36:08.332]  I think?
[00:36:29.594 --> 00:36:29.794]  Yeah.
[00:36:47.242 --> 00:36:52.524]  Up to 20 days to play that cycle out, which, from a lawyer's perspective, is the speed of light.
[00:36:52.764 --> 00:36:55.404]  I chuckled when you talked about coffee and sleepless nights.
[00:36:55.645 --> 00:36:57.885]  Those are just what goes with the turf in a law firm.
[00:36:58.185 --> 00:37:02.147]  But this would be an extraordinarily stressful period.
[00:37:02.767 --> 00:37:10.449]  And I think it would be one of those cases where the courts would drop everything to hear it, because such a move is unprecedented in
[00:37:12.398 --> 00:37:18.482]  The closest thing that comes to mind is Abraham Lincoln's suspension of the writ of habeas corpus during the Civil War.
[00:37:18.782 --> 00:37:26.127]  But that was when there was a Civil War, when states had sought to succeed from the Union, and we were actually killing one another.
[00:37:26.828 --> 00:37:37.055]  And I think Lincoln's calculus at that point was, when the very nature, when the very republic is at issue, extraordinary means are necessary to protect it and to save it.
[00:37:37.555 --> 00:37:44.358]  I think President Trump may say something like, well, you know, suspending fundamental constitutional rights is the same thing.
[00:37:45.158 --> 00:37:49.940]  I'm just not so sure I'm prepared to follow him there when what's assaulting us is nature.
[00:37:51.120 --> 00:37:54.642]  You know, whether the coronavirus is man-made or not, that's beyond my pay grade.
[00:37:55.022 --> 00:37:59.484]  All I know is that people are getting it state by state and a significant number of them are dying.
[00:38:00.224 --> 00:38:02.285]  Me and my family are taking precautions.
[00:38:02.345 --> 00:38:03.705]  I don't think we're being hysteric.
[00:38:04.045 --> 00:38:05.386]  We just recognize the risk.
[00:38:06.226 --> 00:38:14.930]  I'm not sure that we want the government trying to make life risk-free by the suspension of our civil liberties, but I fear that many Americans have come to that point.
[00:38:15.290 --> 00:38:16.171]  And why do I say that?
[00:38:16.471 --> 00:38:23.414]  Look at the debate about privacy with respect to Big Tech, with respect to Twitter, with respect to Facebook, with respect to Google.
[00:38:23.994 --> 00:38:31.298]  People are saying such things as, I am prepared to give up some of my privacy so long as I get more security.
[00:38:31.818 --> 00:38:40.605]  I guess the next step, as we habituate ourselves to the loss of these things, is I guess I'm now prepared to sacrifice my liberty for the sake of life.
[00:38:41.502 --> 00:38:46.385]  There was a time when a rallying cry in this country was, give me liberty or give me death.
[00:38:47.106 --> 00:38:50.148]  And I think we need to reconsider those words carefully.
[00:38:50.768 --> 00:38:53.610]  This virus is not a political creature, as near as I can tell.
[00:38:53.910 --> 00:38:55.451]  It's an equal opportunity killer.
[00:38:56.152 --> 00:38:59.554]  And I think we need a collective public health response to deal with it.
[00:38:59.834 --> 00:39:03.116]  I don't think that collective public health response should be politicized.
[00:39:03.416 --> 00:39:07.479]  And I definitely don't think it should be politicized at the extent of our loss of liberty.
[00:39:09.508 --> 00:39:11.630]  Again, brilliant analysis from Norm Pattis.
[00:39:11.650 --> 00:39:17.094]  So Norm, I was reading some of the play-by-play of that press conference President Trump is having.
[00:39:17.155 --> 00:39:19.497]  So they did not make this announcement.
[00:39:19.517 --> 00:39:24.681]  They did forecast a massive uptick in coronavirus cases because now more testing has been
[00:39:25.071 --> 00:39:25.812]  Made available.
[00:39:45.593 --> 00:39:49.317]  But it seems as though the goal right now is to stave off the panic.
[00:39:49.357 --> 00:39:55.123]  But what I had heard is essentially similar to what Alex had heard, which is that this was going to come in a week.
[00:39:55.463 --> 00:40:01.209]  And what you just said, that Americans are getting more and more used to the idea of their civil liberties being erased.
[00:40:01.249 --> 00:40:06.455]  I mean, I come from a generation that has lived with TSA for as long as I can remember.
[00:40:06.495 --> 00:40:08.657]  My first flight, TSA was there groping me.
[00:40:08.977 --> 00:40:10.138]  You're making a great point.
[00:40:10.218 --> 00:40:12.140]  Alex Jones here popping in back live.
[00:40:12.700 --> 00:40:14.462]  I just had to call him because it's so historical.
[00:40:14.882 --> 00:40:23.090]  Here I am a few hours ago learning Trump's set to have a press conference from White House sources that Norma's talked to and I have my other sources for essentially martial law.
[00:40:24.571 --> 00:40:29.756]  He was against this early on but they put him under pressure and the media saying he's bad, deaths are on his hands.
[00:40:30.536 --> 00:40:35.681]  Basically putting him into this but now I guess we're learning that he did decide to put the
[00:40:36.940 --> 00:40:39.542]  Announcement off, because he was being pressured not to do it.
[00:40:39.582 --> 00:40:40.823]  This is just simply incredible.
[00:40:41.143 --> 00:40:42.784]  Second hour is coming up.
[00:40:42.904 --> 00:40:46.066]  I just wanted to call in and ask Norm this, because I heard you guys talking about it.
[00:40:46.107 --> 00:40:46.647]  Sorry to interrupt.
[00:40:46.687 --> 00:40:48.528]  Again, Alex Jones here calling in to his own show.
[00:40:49.109 --> 00:41:00.417]  Norm, go back and repeat exactly what your source at the Federalist Society said, because that mirrored what I was getting from the Pentagon, but I was told it was in one week, that they were pressuring him not to do this.
[00:41:00.497 --> 00:41:01.818]  What were their reasons for that?
[00:41:02.058 --> 00:41:03.619]  And it looks like he's not done it yet.
[00:41:04.395 --> 00:41:25.921]  About an hour and a half ago I received a call from someone who said sources in the White House reported that President Trump was prepared this evening to announce a 3-0 30-day travel ban on interstate travel in the United States and that his legal counsel's office was urging him not to do so on the grounds that such a move would be unlawful.
[00:41:26.719 --> 00:41:30.925]  Uh, what other policy arguments took place, no one told me that.
[00:41:31.365 --> 00:41:37.333]  Um, but from a lawyer's perspective, the claim was, look, Mr. President, you just can't do this in the United States.
[00:41:37.674 --> 00:41:39.256]  Such a move would be unprecedented.
[00:41:39.576 --> 00:41:42.220]  And it appears that they won the debate, at least for tonight.
[00:41:43.084 --> 00:41:50.714]  Well, but as Europe locks down, everybody else locks down, and then we do see, I mean, let's face it, China's an authoritarian country, but they don't fight as much as we do.
[00:41:50.754 --> 00:41:52.977]  Just like Japan, when they have an earthquake, they don't kill each other.
[00:41:52.997 --> 00:41:57.904]  America has been so divided and so programmed to destroy ourselves.
[00:41:57.944 --> 00:41:59.565]  We're good to go.
[00:42:28.323 --> 00:42:33.106]  Ted Nugent, so that's coming up for several of the segments, but there'll be a few live segments coming up.
[00:42:33.146 --> 00:42:43.832]  We're going to hear a short piece by Greg Reese at about six after, so when we start the next hour, where he details the fact that this is the perfect cover for a global financial reset.
[00:42:44.252 --> 00:42:46.574]  And we talked about this months ago, now they're admitting that.
[00:42:46.614 --> 00:42:49.495]  So make no mistake, this is a manufactured virus.
[00:42:49.815 --> 00:42:52.437]  It's been released by the deep state and the globalists with the Chinese.
[00:42:52.917 --> 00:42:54.938]  Yes sir, thanks for having me guys.
[00:42:54.998 --> 00:42:55.258]  Be well.
[00:42:55.298 --> 00:42:55.678]  You bet.
[00:42:55.698 --> 00:42:59.378]  Ladies and gentlemen, it is with a very sad heart that I have to report to you
[00:43:20.666 --> 00:43:37.618]  That our detailed, deep immersion and deep dive into researching the globalist attack profile and how they plan to bring in total world government and defeat the free market system and Christianity would be bioweapons and the fear that comes out of it.
[00:43:37.658 --> 00:43:41.020]  You could see it with Hollywood and all the pre-programming.
[00:43:41.040 --> 00:43:41.921]  You could see it with the
[00:43:42.938 --> 00:43:47.059]  Disease X, UN announcements of over a year ago, and the Bill Gates preparations.
[00:43:47.719 --> 00:43:52.660]  They don't do something this big without massive preparations, and they're behind it.
[00:43:52.680 --> 00:43:54.600]  And they're the ones running it.
[00:43:56.020 --> 00:44:00.821]  And we don't know every facet of the attack plan, but we know it's synthetic.
[00:44:00.861 --> 00:44:01.941]  We know it's from the globalists.
[00:44:02.982 --> 00:44:10.963]  We know Democrats are passing laws, are making emergency declarations in Illinois and other areas like New York to confiscate firearms.
[00:44:12.136 --> 00:44:16.837]  They're going to use this, ladies and gentlemen, to teach us to not live in an open, free society.
[00:44:16.857 --> 00:44:22.959]  I interrupted Tom to ask a question of Norm before he left about what it's like to be young.
[00:44:22.979 --> 00:44:24.039]  I mean, I'm still pretty young.
[00:44:24.059 --> 00:44:29.300]  I think yourself as young as 46, but Tom's a really young, successful businessman and runs a TV station.
[00:44:29.320 --> 00:44:32.061]  But this is really the death of the West.
[00:44:32.081 --> 00:44:32.981]  This is the death of freedom.
[00:44:33.001 --> 00:44:38.442]  This is the Chinese Communist Socialist score showing us how it protected them from their own man-made virus.
[00:44:38.502 --> 00:44:40.303]  So this is hysteria.
[00:44:40.343 --> 00:44:40.863]  This is evil.
[00:44:41.661 --> 00:44:43.683]  We predicted it almost seven weeks ago.
[00:44:43.723 --> 00:44:47.405]  We laid it out that it's the hysteria that's the danger, not the virus.
[00:44:47.926 --> 00:44:49.707]  But there's other mutations of the virus.
[00:44:49.727 --> 00:44:51.108]  There's a lot of stuff going on.
[00:44:51.648 --> 00:45:04.778]  And if we pass the test and submit to the tyranny and submit to this, then they're going to launch even more deadly bioweapons in the future because they have the incentive to because we behave and we lock down and we do what they say during it.
[00:45:05.018 --> 00:45:06.999]  And then they can give us the forced inoculations.
[00:45:07.420 --> 00:45:08.080]  They can make us submit.
[00:45:11.325 --> 00:45:11.745]  We're good.
[00:45:29.002 --> 00:45:29.602]  We're good to go.
[00:45:46.267 --> 00:45:55.711]  I understand that riding along on this big wave of hysteria would be financially successful for us, and I want people to be prepared and ready, and I'm proud of what we've done to do that.
[00:45:56.432 --> 00:46:02.714]  But not so much for this virus, but for the globalists trying to cause a new civil war, a race war, a financial collapse.
[00:46:03.054 --> 00:46:05.175]  Because make no mistake, this is the cover for that.
[00:46:05.536 --> 00:46:15.120]  So government doesn't get blamed during a collapse, government will be the solution and the savior during the collapse, and behind that government is the technocracy that controls the enforcing AI and the
[00:46:15.720 --> 00:46:16.201]  We're good to go.
[00:46:32.483 --> 00:46:33.064]  We're good to go.
[00:46:54.520 --> 00:47:02.947]  Well, we'll have more analysis on the other side of this short break, along with a couple of great reports and that exclusive interview that Alex recorded yesterday with the one and only Ted Nugent.
[00:47:02.967 --> 00:47:13.535]  But I do just want to point out, piggybacking on what Alex just said, this was all predicted here on InfoWars, on National File and on InfoWars.com, NewsWars.com, to the letter.
[00:47:13.895 --> 00:47:17.597]  The disease was bad, maybe not as bad and lethal as it's being promoted to be.
[00:47:18.117 --> 00:47:19.938]  It's the hysteria that's going to be the problem.
[00:47:19.958 --> 00:47:21.439]  This was all predicted.
[00:47:21.479 --> 00:47:26.382]  This was all broken down on this very network by that very man.
[00:47:26.882 --> 00:47:37.448]  I was happy to be a part of it, but Alex's analysis on coronavirus has thus far been 100% dead on the money, and I certainly hope that Alex's voice
[00:47:37.788 --> 00:47:43.010]  Along with those who are attempting to persuade President Trump are successful in getting him to stave this off.
[00:47:43.050 --> 00:47:43.610]  It's insane.
[00:47:43.630 --> 00:47:44.931]  We have an open border with Mexico.
[00:47:44.951 --> 00:47:48.032]  We have an open border with Canada, where the Prime Minister's wife is sick.
[00:47:48.432 --> 00:47:49.292]  It's not going to work.
[00:47:49.332 --> 00:47:50.713]  It's not going to calm things down.
[00:47:51.113 --> 00:47:51.693]  Don't go away.
[00:47:51.733 --> 00:47:53.214]  We'll be right back after this short break.
[00:47:54.054 --> 00:47:59.156]  You're watching the Alex Jones Show in the middle of this global broadcast, this global exclusive.
[00:47:59.216 --> 00:48:02.177]  We, of course, just heard a litany of news from Norm Pattis.
[00:48:02.237 --> 00:48:03.358]  Alex Jones buzzing in.
[00:48:03.398 --> 00:48:04.738]  He tried to take a vacation.
[00:48:04.778 --> 00:48:06.679]  The man just cannot leave this studio.
[00:48:07.375 --> 00:48:15.726]  In 2020, this very important election year, there's a new report and it's available or will be shortly on band on video by Greg Reese.
[00:48:15.846 --> 00:48:22.374]  And it explains how the coronavirus is the perfect storm for a global currency reset.
[00:48:22.595 --> 00:48:24.017]  Let's view this clip now.
[00:48:31.699 --> 00:48:43.584]  In 1816, the gold standard, an economic unit of account based on a fixed quantity of gold, was officially adopted, and the world reserve currency became the British pound sterling.
[00:48:45.445 --> 00:48:53.528]  In 1914, after World War I, nations attempted to revive the gold standard, but it collapsed during the Great Depression.
[00:48:55.501 --> 00:49:01.144]  Also in 1914, the Federal Reserve Bank, a private company, was born.
[00:49:02.024 --> 00:49:11.649]  After Britain was devastated by World War II, they were no longer a superpower, and so the global reserve currency needed to be reset.
[00:49:11.769 --> 00:49:15.370]  In 1944, at the Bretton Woods Conference, the U.S.
[00:49:15.451 --> 00:49:18.032]  dollar became the new global reserve currency.
[00:49:19.071 --> 00:49:26.114]  This established America as the dominant power in the world economy, giving America the sole ability to print dollars.
[00:49:27.094 --> 00:49:30.575]  The rest of the world would need to trade their own currency against the U.S.
[00:49:30.635 --> 00:49:36.197]  dollar in order to balance exchange rates, keeping the international economy vibrant and fluid.
[00:49:36.857 --> 00:49:43.160]  But by the 1960s, the United States had printed more USD than their gold reserves could cover.
[00:49:44.249 --> 00:49:49.752]  And by 1970, a growing American trade deficit was undermining the value of the dollar.
[00:49:51.173 --> 00:49:56.997]  On August 15, 1971, President Richard Nixon brought an end to the gold standard.
[00:49:58.197 --> 00:50:04.661]  Federal Reserve notes, a fiat currency backed by debt rather than gold, became the new standard.
[00:50:05.782 --> 00:50:08.464]  This is basically no different than an IOU.
[00:50:10.063 --> 00:50:19.108]  As one would expect, right after President Nixon gave his speech, inflation began to rise and America's biggest export became debt.
[00:50:20.328 --> 00:50:22.909]  The creation of the petrodollar gave the U.S.
[00:50:23.009 --> 00:50:25.171]  even more sway over world economies.
[00:50:25.811 --> 00:50:29.193]  And today, the international debt has become untenable.
[00:50:30.193 --> 00:50:33.875]  And many are saying, another global currency reset is needed.
[00:50:35.322 --> 00:50:39.965]  Historically, the gold standard has been the most stable economy we have known.
[00:50:40.625 --> 00:50:43.287]  But gold can be manipulated and disruptive as well.
[00:50:44.287 --> 00:50:47.569]  Some are suggesting that cryptocurrency could be the solution.
[00:50:48.750 --> 00:50:53.232]  Crypto is run by an algorithm and can be designed to meet specific needs.
[00:50:54.053 --> 00:51:00.757]  The global currency needs to have fluid supply and the limited gold supply failed to keep up with economic growth.
[00:51:01.952 --> 00:51:07.175]  A sovereign-free, algorithm-based alternative could potentially be more stable.
[00:51:08.936 --> 00:51:16.741]  China is almost ready to launch their own cryptocurrency, DCEP, short for Digital Currency Electronic Payments.
[00:51:17.801 --> 00:51:21.384]  DCEP is government-controlled and fully centralized.
[00:51:22.044 --> 00:51:25.646]  So far, it appears to be a digital version of fiat paper money.
[00:51:26.447 --> 00:51:30.209]  The Federal Reserve Bank is developing their own crypto called Fedcoin.
[00:51:31.530 --> 00:51:36.533]  The coronavirus pandemic seems to be the perfect storm for a global currency reset.
[00:51:37.573 --> 00:51:45.598]  The amount of money printing involved in holding up failing economies as quarantines and shutdowns take place will be unprecedented.
[00:51:46.299 --> 00:51:48.600]  And all this does is weaken the U.S.
[00:51:48.640 --> 00:51:49.620]  dollar even more.
[00:51:50.821 --> 00:51:51.481]  And when the U.S.
[00:51:51.522 --> 00:51:54.183]  dollar falls, it will be replaced by something.
[00:51:55.064 --> 00:51:57.505]  The question is, which way will it go?
[00:51:57.525 --> 00:52:00.787]  This is Greg Reese for InfoWars.com.
[00:52:16.733 --> 00:52:19.435]  InfoWars, tomorrow's news, today.
[00:52:21.136 --> 00:52:22.618]  That was Greg Reese.
[00:52:22.798 --> 00:52:25.700]  The new report is available up at band.video.
[00:52:25.740 --> 00:52:26.961]  Make sure to share that.
[00:52:27.021 --> 00:52:45.055]  It is instrumental, as Norm Pattis, one of the most successful lawyers in the country, was just saying in the last hour, these algorithms, the Chinese cryptocurrency, if it's ruled by an algorithm that's made by the Chinese Communist Party heads, I do not trust it, nor do I particularly trust FedCoin.
[00:52:45.135 --> 00:52:46.396]  Last week, we saw them in check.
[00:52:47.436 --> 00:53:08.082]  1.5 trillion dollars in the form of a quote-unquote loans into the stock market with the goal of trying to keep it from going down any further and it lasted all of 15 minutes before totally collapsing so one of the things Alex brought up and we will have that exclusive interview with Ted Nugent coming up I believe on the other side of this segment we'll find out
[00:53:08.842 --> 00:53:16.625]  But, one of the things that Alex brought up is that President Trump is likely looking at these options because of what's happening around the world.
[00:53:16.665 --> 00:53:28.651]  And just as an example, this is up on nationalfile.com, the United Kingdom government gives police emergency powers and may close pubs and ports as well as run crematoriums 24-7.
[00:53:28.671 --> 00:53:36.814]  Another article up on nationalfile.com, police with drones are enforcing the coronavirus isolation in Italy.
[00:53:37.452 --> 00:53:40.053]  There's panic buying happening here in the United States.
[00:53:40.093 --> 00:53:55.560]  We know that they're buying up the toilet paper, the hand sanitizer, these items that for some reason in 2020 people think they need to survive a virus that makes you cough, but people are also buying up all of the ammunition at several stores throughout the country.
[00:53:57.120 --> 00:54:05.784]  It's turning into, we all know of course, and the biggest story, the number one story, we're working on a massive hit on this right now, is what's happening in the state of Illinois where there is a town, Champaign, that is
[00:54:06.448 --> 00:54:14.516]  Essentially, going to nationalize liquor, food, guns, everything is all going to be in the purview of the state.
[00:54:14.956 --> 00:54:19.460]  So this is already coming to America on the local level if President Trump were to ban interstate commerce.
[00:54:19.901 --> 00:54:28.709]  The little known fact that I cannot repeat enough, in this country, all groceries, all stores will run completely out of stock in about 48 hours, maybe 72.
[00:54:30.991 --> 00:54:35.294]  Without semi-trucks coming with supplies each and every day.
[00:54:35.394 --> 00:54:37.436]  Truckers are instrumentals of this economy.
[00:54:37.796 --> 00:54:44.420]  We used to have trains, they're still important, but fundamentally at this point it is all trucks that transport goods.
[00:54:44.460 --> 00:54:45.981]  You can't fit this stuff in a plane.
[00:54:46.002 --> 00:54:48.023]  You can't get a train to where it needs to be.
[00:54:49.088 --> 00:54:54.469]  If there is a ban on interstate commerce, people are probably going to start flocking to these borders.
[00:54:54.509 --> 00:54:57.870]  People are going to probably make it impossible to actually travel on a highway.
[00:54:57.910 --> 00:54:59.930]  Who knows what that will do to the supply chain.
[00:55:00.270 --> 00:55:02.791]  They can only make things a hundred times worse.
[00:55:03.871 --> 00:55:04.991]  And they already are.
[00:55:05.372 --> 00:55:11.893]  By the way, in Italy, where it's a much smaller country, I mean, it's about the same size as South Korea, for example.
[00:55:12.665 --> 00:55:15.668]  There's videos showing the supermarket lines.
[00:55:15.748 --> 00:55:17.469]  People have to line up to go to the store.
[00:55:17.509 --> 00:55:20.772]  The only two reasons you can leave your house in Italy, I guess maybe three.
[00:55:21.272 --> 00:55:22.353]  One, to get medical help.
[00:55:22.393 --> 00:55:24.435]  Two, to get medicine that you've been prescribed.
[00:55:24.815 --> 00:55:26.697]  Or three, to go buy food.
[00:55:27.412 --> 00:55:34.214]  And in Italy, there are videos showing lines stretching for miles outside the stores onto major highways.
[00:55:34.654 --> 00:55:37.255]  People are having to line up that long.
[00:55:37.335 --> 00:55:39.635]  This is all going to come to the United States.
[00:55:39.675 --> 00:55:46.057]  President Trump is likely being told that if what he does is not commensurate with what Europe is doing, then he will be seen as weak.
[00:55:46.437 --> 00:55:48.278]  He will be blamed for the deaths.
[00:55:48.778 --> 00:55:49.218]  Do you think?
