[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[00:54:39.960 --> 00:54:50.170]  The CCP were aware of the reality of the virus as early as December, but ordered laboratories to destroy samples and forced doctors to keep silent.
[00:54:50.170 --> 00:54:55.516]  It is time for international investigation into the role and cover-up played by the spread of the devastating pandemic.
[00:54:55.516 --> 00:55:00.521]  The CCP must be held to account for what the world is now suffering.
[00:55:00.521 --> 00:55:02.243]  That is a very important article.
[00:55:04.605 --> 00:55:12.447]  Trump calls for strong borders and a return to manufacturing and coronavirus briefing.
[00:55:12.447 --> 00:55:16.889]  Trump says we should never rely on a foreign country during a crisis.
[00:55:16.889 --> 00:55:20.350]  This is all common sense.
[00:55:20.350 --> 00:55:21.430]  But I go back to this.
[00:55:21.430 --> 00:55:24.091]  The Democrats, I have the articles, you've seen them on the news.
[00:55:24.091 --> 00:55:26.812]  They say we're not reopening in two weeks.
[00:55:26.812 --> 00:55:29.012]  We're not going to reopen in three months.
[00:55:29.012 --> 00:55:33.014]  We're not going to open until the vaccine's out in a year to a year and a half to two years.
[00:55:33.014 --> 00:55:34.074]  And that's going to be forced.
[00:55:35.131 --> 00:55:37.232]  And they're coming for the guns, day one.
[00:55:37.232 --> 00:55:39.993]  And they're coming for everybody, day one.
[00:55:39.993 --> 00:55:45.096]  Ladies and gentlemen, this is so obvious and so evil, they're out in the open.
[00:55:45.096 --> 00:55:46.536]  I cannot believe it.
[00:55:46.536 --> 00:55:47.537]  It is incredible.
[00:55:48.467 --> 00:55:51.028]  And Trump is trying to be confident with the public.
[00:55:51.028 --> 00:55:56.129]  If he says too much, it'll spook everybody to say that the Democrats are globalists, want to destroy the country.
[00:55:56.129 --> 00:55:59.789]  We're with the shy comms, but America already knows this and is ready for the truth.
[00:55:59.789 --> 00:56:00.890]  They want to end America.
[00:56:00.890 --> 00:56:05.631]  It's time to end the Democratic Party, which is nothing but a traitorous globalist operation.
[00:56:05.631 --> 00:56:09.992]  Here's what the president had to say about common sense.
[00:56:09.992 --> 00:56:15.313]  Reliant on a foreign country for the means of our own survival.
[00:56:15.313 --> 00:56:16.353]  I think we've learned a lot.
[00:56:17.386 --> 00:56:18.887]  We've learned a lot.
[00:56:18.887 --> 00:56:27.111]  This crisis has underscored just how critical it is to have strong borders and a robust manufacturing sector.
[00:56:27.111 --> 00:56:35.155]  For three years, we've embarked on a great national project to secure our immigration system and bring back our manufacturing jobs.
[00:56:35.155 --> 00:56:40.878]  We've brought back many jobs, records numbers of record numbers of jobs.
[00:56:40.878 --> 00:56:42.979]  And this really shows
[00:56:44.025 --> 00:56:49.732]  This experience shows how important borders are.
[00:56:49.732 --> 00:56:52.976]  Without borders, you don't have a nation.
[00:56:52.976 --> 00:57:03.969]  Our goal for the future must be to have American medicine for American patients, American supplies for American hospitals and American equipment for our great American heroes.
[00:57:05.529 --> 00:57:12.277]  Now both parties must unite to ensure the United States... Full clip on InfoWars.com.
[00:57:12.277 --> 00:57:15.722]  You know, the media, I have a whole other stack of news, I'll get to them, we'll go to guests next hour.
[00:57:15.722 --> 00:57:22.690]  I got a whole stack of news where governors, mayors, and everywhere are ordering people, ordering medical doctors.
[00:57:23.391 --> 00:57:30.278]  Mayors ought to not prescribe hydrofluoroquine, to not say take vitamin C, to not say take zinc.
[00:57:30.278 --> 00:57:34.362]  Because they don't want you to know that this almost completely mitigates it in every case.
[00:57:34.362 --> 00:57:35.823]  They want you on respirators.
[00:57:35.823 --> 00:57:36.904]  They want you panicked.
[00:57:36.904 --> 00:57:38.025]  They want you dead.
[00:57:38.025 --> 00:57:39.506]  They want you bankrupted.
[00:57:39.506 --> 00:57:40.708]  No borders, no walls.
[00:57:40.708 --> 00:57:43.410]  And now a top environmental group says they love the virus.
[00:57:43.410 --> 00:57:45.092]  They hope it kills everyone on Earth.
[00:57:45.092 --> 00:57:46.313]  It's funded by the Democratic Party.
[00:57:51.377 --> 00:58:01.867]  The globalists and the enemy of the people, corporate media, have worked overtime, like the devil, to destroy all independent, pro-America, truth-based media.
[00:58:01.867 --> 00:58:04.710]  And chief amongst their enemy has been Infowars.
[00:58:04.710 --> 00:58:11.677]  But thanks to you spreading the word, and thanks to you supporting Infowars, we are still on the air and have actually expanded in the face of their tyranny.
[00:58:12.137 --> 00:58:24.102]  It is now more critical than ever that you take this opportunity to share Bandot video at InfoWars.com and the articles and reports that are so critical because the world is waking up and needs this information now more than ever.
[00:58:24.102 --> 00:58:37.367]  From myself and the InfoWars crew, you have our undying pledge and commitment to fight these tyrants harder than we ever have before and to defend basic freedom and justice and the American way of life.
[00:58:38.007 --> 00:58:39.809]  This is the crossroads.
[00:58:39.809 --> 00:58:41.990]  America and the planet in the balance.
[00:58:41.990 --> 00:58:45.634]  Whatever you do, please take action and spread the word.
[00:58:45.634 --> 00:58:49.817]  God bless and good luck.
[00:58:49.817 --> 00:58:56.843]  Every week, every day, every hour, every minute, every second right now is critical.
[00:58:56.843 --> 00:59:00.466]  History is happening right in front of us and we can't be spectators.
[00:59:00.466 --> 00:59:05.310]  We've got to be men and women in the arena regardless of race, color, creed, age, sexual preference.
[00:59:05.310 --> 00:59:06.151]  It doesn't matter.
[00:59:06.331 --> 00:59:11.855]  The globalists with the Chai comms and others are openly trying to plunge our economy and start a new depression.
[00:59:11.855 --> 00:59:18.880]  China, who hyped up this virus, is now back to work and ramping up their economy, while ours is going into a free-fall spiral.
[00:59:18.880 --> 00:59:22.563]  And Trump's desperately trying to restart it and create confidence.
[00:59:22.563 --> 00:59:28.427]  And the globalist corporate media that was worshipping China just a month or so ago, and their response is saying Trump
[00:59:28.727 --> 00:59:30.148]  You're listening to the Alex Jones Show!
[01:00:01.913 --> 01:00:02.377]  Yeah.
[01:00:35.851 --> 01:00:37.692]  We are back live, ladies and gentlemen.
[01:00:37.692 --> 01:00:39.633]  I am your host, Alex Jones.
[01:00:39.633 --> 01:00:44.295]  We have a whole bunch of guests joining us coming up at the bottom of the hour.
[01:00:44.295 --> 01:00:51.078]  But I personally, when we come back in this longer segment, want to get into this.
[01:00:51.078 --> 01:01:04.845]  This is happening, and I know we've been talking about it's coming forever, and we've seen incremental attacks on our freedoms, and more and more of the Democrats and the globalists have admitted, yeah, we want your guns, yeah, we want pedophilia, yeah, we want Satanism, yeah, we want to reduce the world population forcibly.
[01:01:07.423 --> 01:01:09.944]  But now it's out in the open.
[01:01:09.944 --> 01:01:15.885]  So this is a war on progress, a war on humanity, a war on a human future.
[01:01:15.885 --> 01:01:24.467]  So when we come back after the special report, COVID Alert, Feds Abolish Second Amendment by Proxy in 2007.
[01:01:24.467 --> 01:01:26.127]  Now it's in action.
[01:01:26.127 --> 01:01:28.728]  But first, let's go to this very important report.
[01:01:29.787 --> 01:01:33.890]  The talking point is Trump, the president, shouldn't be able to talk to the people.
[01:01:33.890 --> 01:01:39.255]  If it were up to me, and it's not, I would stop putting those briefings on live TV.
[01:01:39.255 --> 01:01:45.220]  Not out of spite, but because it's misinformation.
[01:01:45.220 --> 01:01:48.863]  If the president does end up saying anything true, you can run it as tape.
[01:01:48.863 --> 01:01:55.429]  But if he keeps lying like he has been every day on stuff this important, we should, all of us, should stop broadcasting it.
[01:01:55.429 --> 01:01:56.569]  Honestly, it's going to cost lives.
[01:01:57.594 --> 01:02:03.744]  And now Trump is saying four or five days ago they were going to inject $1 trillion into the economy and give each family $2,000.
[01:02:03.744 --> 01:02:04.765]  Now it's $4 trillion and it's
[01:02:10.663 --> 01:02:11.443]  3,000 per family.
[01:02:11.443 --> 01:02:14.364]  Will that stop the stock market sliding tomorrow?
[01:02:14.364 --> 01:02:17.445]  Is there no end to what we've gotten into?
[01:02:17.445 --> 01:02:27.209]  The sense of dire urgency that Americans are feeling across the country for financial relief right now has not seemed to break the logjam here on Capitol Hill.
[01:02:27.209 --> 01:02:33.131]  We'll be introducing our own bill and hopefully it'll be compatible with what they're discussing in the Senate.
[01:02:33.131 --> 01:02:36.832]  So no deal that's bipartisan at this point?
[01:02:36.832 --> 01:02:36.992]  Right.
[01:02:37.441 --> 01:02:41.783]  We Senate Democrats have a plan that's called Workers First.
[01:02:41.783 --> 01:02:53.608]  We want the help to go just to the people who you said, who are losing their jobs and have to pay monthly bills, not just a one-time shot of money, and then what do they do next month when they have a mortgage or a rent or food?
[01:02:53.608 --> 01:02:57.430]  You're gonna ensure that the president and his family cannot personally benefit from bailouts?
[01:02:57.430 --> 01:02:59.311]  We'll try to get that in the legislation, yeah.
[01:02:59.311 --> 01:03:00.431]  We'll try to figure that out.
[01:03:00.431 --> 01:03:03.853]  I think it's against the law now, but the judges are not interpreting it correctly.
[01:03:05.933 --> 01:03:14.240]  The unemployment rolls are going up by the hundreds of thousands each day.
[01:03:14.240 --> 01:03:20.165]  And we have a vote tonight that can give these people some assurances?
[01:03:20.165 --> 01:03:27.190]  And somehow, that's not a catastrophic situation that we should respond to?
[01:03:27.190 --> 01:03:32.675]  I don't know what people on the other side of the aisle are thinking about.
[01:03:36.141 --> 01:03:41.644]  Particularly for the unemployed and particularly for those that don't have checks.
[01:03:41.644 --> 01:03:44.746]  What are we going to do for them?
[01:03:44.746 --> 01:03:51.550]  This package that came out of the Finance Committee will not solve all the problems.
[01:03:51.550 --> 01:03:55.472]  But as the leader said, there's four or five other task forces.
[01:03:56.547 --> 01:04:09.393]  That are doing things to make sure that small business can get loans that they can qualify for if they'll keep their people employed.
[01:04:09.393 --> 01:04:22.599]  Now, two days ago, the press reported that a senior member of the House Democratic leadership told his colleagues, quote, This is a tremendous opportunity to restructure things to fit our vision.
[01:04:22.599 --> 01:04:25.440]  A senior member of the House Democratic leadership.
[01:04:26.508 --> 01:04:35.196]  Well, Mr. President, let me suggest that is exactly, exactly the wrong approach right now.
[01:04:35.196 --> 01:04:37.038]  The Chinese PSYOP weapon cripples U.S.
[01:04:37.038 --> 01:04:37.879]  economy.
[01:04:37.879 --> 01:04:40.701]  Panic Trump injects $4 trillion into the U.S.
[01:04:40.701 --> 01:04:41.502]  They say the next 90 days.
[01:04:43.598 --> 01:04:57.755]  And the media that said Xi Jinping did a wonderful job lines up against our president and our country because they're enemies of the nation who hate the country's existence and who said they wanted to see the president and America fail because they're globalists.
[01:04:57.755 --> 01:05:03.242]  Newtonian physics documents the fact that for every action there's an opposite and equal reaction.
[01:05:03.362 --> 01:05:08.325]  And that matter is not destroyed, it is simply transferred into another form.
[01:05:08.325 --> 01:05:10.227]  Well, we're seeing that happen right now.
[01:05:10.227 --> 01:05:22.815]  The globalists are openly trying to hype up the coronavirus, trying to kill our economy, and trying to have martial law shut down around the country, and trying to stampede Trump into implementing it so they can blame the imploding economy on him.
[01:05:23.035 --> 01:05:32.140]  But Trump has seen through it, and so he's let them implement the draconian controls, and is saying, do you really want a depression for something that's killed far less than the flu?
[01:05:32.140 --> 01:05:34.662]  Ladies and gentlemen, now is the fight of our lives.
[01:05:34.662 --> 01:05:41.726]  And the good news is, their attack on humanity and on independent media has caused a lot of people to start thinking for themselves.
[01:05:41.726 --> 01:05:48.250]  And so the traffic to InfoWars.com and Band.Video is triple our previous records right now.
[01:05:48.550 --> 01:05:55.758]  So you're doing a great job spreading the word and people are tuning in to find out the truth like never before because of you, the Modern Paul Reveres.
[01:06:15.880 --> 01:06:21.367]  If you are receiving this transmission, you are the resistance.
[01:06:21.367 --> 01:06:26.094]  Live from the InfoWars.com studios, it's Alex Jones.
[01:06:42.288 --> 01:06:45.449]  I am your host, Alex Jones, and these are beyond dire times.
[01:06:45.449 --> 01:07:10.078]  If we don't cause, trigger, institute, initiate, launch, prosecute, engage in a mass awakening to the current modern 21st century economic, cultural, physical, military attack that we're under from the globalists and our allied crime syndicates,
[01:07:11.991 --> 01:07:14.032]  We're going to lose.
[01:07:14.032 --> 01:07:22.535]  I kept telling you when we were in the middle of beating that impeachment and they didn't have the votes, I said weeks before the president was acquitted, I said they're going to fail.
[01:07:22.535 --> 01:07:26.017]  And I said on record, I believe they'll launch a bio-attack.
[01:07:26.017 --> 01:07:27.237]  Listeners can go back and find it.
[01:07:27.237 --> 01:07:29.038]  You all heard me say it.
[01:07:29.038 --> 01:07:35.761]  I said a bio-attack to trigger a financial collapse because I'd seen them do their drills.
[01:07:35.761 --> 01:07:38.702]  They said world government will be brought in by a global pandemic.
[01:07:40.253 --> 01:07:48.136]  And now you see it happening with a man-made virus that does kill people, but that they're vastly hyping up.
[01:07:48.136 --> 01:07:52.758]  Now I've got some good news on that front.
[01:07:52.758 --> 01:07:53.239]  The U.S.
[01:07:53.239 --> 01:07:57.901]  death rate is vastly lower than China or Italy.
[01:07:57.901 --> 01:08:06.925]  And that's because those are authoritarian countries that were overrating the danger as an excuse for a power grab, especially in China.
[01:08:06.925 --> 01:08:07.385]  In Italy,
[01:08:09.272 --> 01:08:10.112]  I checked my numbers.
[01:08:10.112 --> 01:08:13.994]  I called an Italian citizen I know this morning.
[01:08:13.994 --> 01:08:20.197]  He's joining us in the third hour for 30 minutes, and he concurred with why they're dying.
[01:08:20.197 --> 01:08:22.118]  They have one of the oldest populations in the world.
[01:08:22.118 --> 01:08:26.100]  They have Taipei blood on average that is very susceptible to viruses.
[01:08:26.100 --> 01:08:27.681]  They are very communal.
[01:08:27.681 --> 01:08:33.583]  The families live three generations at a time, close proximity, and the old people don't sit in their houses.
[01:08:33.583 --> 01:08:34.564]  They go out everywhere.
[01:08:35.987 --> 01:08:40.670]  The average age is 85, dying in Italy.
[01:08:40.670 --> 01:08:45.794]  So, we'll go over all of that, but let me give you the big news here.
[01:08:45.794 --> 01:08:47.555]  Dr. McHamshot, please.
[01:08:47.555 --> 01:08:51.057]  The Democrats and the deep state admit they're going to hold America hostage.
[01:08:51.057 --> 01:08:52.238]  They won 18 months.
[01:08:52.238 --> 01:08:53.759]  They said they're going to buck Trump.
[01:08:53.759 --> 01:08:59.443]  They initiated the lockdowns first to make it look like he wasn't doing enough to try to push him into it.
[01:09:00.509 --> 01:09:02.090]  And now it's happening.
[01:09:02.090 --> 01:09:02.911]  Imaginary clock.
[01:09:02.911 --> 01:09:04.872]  Governors reject virus timelines.
[01:09:04.872 --> 01:09:07.514]  Say it'll be three months to a year.
[01:09:07.514 --> 01:09:11.197]  All Democrats.
[01:09:11.197 --> 01:09:12.758]  Is the country ready to step up?
[01:09:12.758 --> 01:09:13.539]  Says AP.
[01:09:13.539 --> 01:09:17.302]  We have to be ready for years of being shut down.
[01:09:17.302 --> 01:09:18.143]  Same thing.
[01:09:18.143 --> 01:09:24.247]  The Council on Foreign Relations is saying Cuomo lies and says Trump hasn't responded any.
[01:09:24.247 --> 01:09:24.928]  Total lie.
[01:09:27.995 --> 01:09:31.678]  You have the Chi-Coms allied openly against the U.S.
[01:09:31.678 --> 01:09:37.002]  and Senator Hawley coming out and exposing it.
[01:09:37.002 --> 01:09:40.025]  But now that brings us to this.
[01:09:40.025 --> 01:09:47.331]  Why did hundreds of CEOs resign just before the world started going absolutely crazy?
[01:09:47.331 --> 01:09:53.316]  Big article by Michael Snyder, the World Economic Collapse blog, posted up on Infowars.com.
[01:09:55.194 --> 01:10:05.319]  Hundreds of top CEOs of the Fortune 500 left, and many of the top owners, shareholders, dumped their stock in November and December and January.
[01:10:05.319 --> 01:10:06.199]  We pointed that out.
[01:10:06.199 --> 01:10:10.942]  We said, there is record dumping.
[01:10:10.942 --> 01:10:14.843]  And is that because when they don't remove Trump, the globalists want to take him out financially?
[01:10:14.843 --> 01:10:15.904]  I said, yes.
[01:10:15.904 --> 01:10:17.125]  How will they do it?
[01:10:17.125 --> 01:10:23.768]  A giant war, an Islamic invasion of Europe, which also did happen via Turkey, and or,
[01:10:24.918 --> 01:10:26.960]  A bioweapon attack.
[01:10:26.960 --> 01:10:31.264]  I said I'm seeing all these shows about pandemics and death all over TV.
[01:10:31.264 --> 01:10:33.265]  That was in December.
[01:10:33.265 --> 01:10:36.168]  It was already happening.
[01:10:36.168 --> 01:10:38.590]  Incubating in China.
[01:10:38.590 --> 01:10:39.131]  So it's on.
[01:10:40.373 --> 01:10:49.156]  Meanwhile, every Hollywood globalist scumbag and all these royals have got it so they can be human like us and we feel sorry for them.
[01:10:49.156 --> 01:10:52.037]  These are the six secret owners of the world.
[01:10:52.037 --> 01:10:53.558]  They're not even British.
[01:10:53.558 --> 01:10:55.118]  They're Transylvanian, literally.
[01:10:55.118 --> 01:10:56.399]  I'm not joking, folks.
[01:10:56.399 --> 01:10:57.099]  That sounds funny.
[01:10:57.099 --> 01:10:58.019]  It's not.
[01:10:58.019 --> 01:10:59.860]  They're from the Carpathian Mountains.
[01:10:59.860 --> 01:11:04.262]  Prince Charles lives in Dracula Castle, the first patriarch of the family.
[01:11:04.262 --> 01:11:06.562]  If you think I'm joking, dive in.
[01:11:06.562 --> 01:11:07.483]  Prince Charles, Dracula.
[01:11:08.590 --> 01:11:10.732]  And he's sick now.
[01:11:10.732 --> 01:11:13.714]  Oh, that poor baby.
[01:11:13.714 --> 01:11:16.816]  Absolutely disgusting.
[01:11:16.816 --> 01:11:34.209]  And then meanwhile, a group he funds that his father openly supports, Extinction Rebellion, the same group that takes over the buses and the trains of workers, the same group that says there are too many humans and they want to crash civilization.
[01:11:34.209 --> 01:11:35.610]  They're sticking signs up everywhere.
[01:11:36.940 --> 01:11:43.384]  The rich white kids that say, Corona is the cure, humans are the disease.
[01:11:43.384 --> 01:11:49.287]  But of course, they never kill themselves.
[01:11:49.287 --> 01:11:58.532]  So that's who they are, and that's what they're pushing, and they're sabotaging civilization to break it down.
[01:11:58.532 --> 01:12:02.294]  They're sabotaging civilization to sabotage it.
[01:12:03.820 --> 01:12:06.221]  And that's what brings us to this next thing.
[01:12:06.221 --> 01:12:08.242]  The governor said it won't reopen things.
[01:12:08.242 --> 01:12:10.383]  They're all over blue cities and blue states.
[01:12:10.383 --> 01:12:14.925]  They're releasing hardened criminals, rapists, armed robbers.
[01:12:14.925 --> 01:12:17.646]  And the crime rate is just totally exploding.
[01:12:17.646 --> 01:12:28.871]  New York hospitals treating coronavirus patients with vitamin C. And the governor says, don't do it.
[01:12:30.100 --> 01:12:40.152]  The doctor that told Sean Hannity that he'd cured 350 people of it with hydroxychloroquine and Z-packs as well as zinc, which is the three things are totally known to do it.
[01:12:40.152 --> 01:12:44.757]  300 patients that had it, knocked out.
[01:12:44.757 --> 01:12:47.160]  He's been ordered by the governor, in executive order,
[01:12:47.967 --> 01:12:49.188]  And that no other doctor do it.
[01:12:49.188 --> 01:12:50.928]  Same thing with Nevada.
[01:12:50.928 --> 01:12:52.429]  Same thing with California.
[01:12:52.429 --> 01:12:59.172]  You do not give them vitamin C. You do not give them chloroquine.
[01:12:59.172 --> 01:13:01.033]  You do not give them Z-Pak.
[01:13:01.033 --> 01:13:04.414]  The governors and the bureaucrats are now above the doctors.
[01:13:04.414 --> 01:13:07.275]  And when Trump quotes doctors, he's told to shut up.
[01:13:07.275 --> 01:13:14.558]  Nevada's Democrat governor issues emergency order barring use of anti-malaria drugs for coronavirus.
[01:13:14.558 --> 01:13:15.859]  The same Jewish doctor
[01:13:17.000 --> 01:13:21.781]  That treated 350 patients who all had it, who he knocked it out with.
[01:13:21.781 --> 01:13:26.483]  A New York doctor shared with Hannity the hydroxychloroquine Z-Pak results.
[01:13:26.483 --> 01:13:31.644]  200 milligrams of hydroxychloroquine twice daily for five days.
[01:13:31.644 --> 01:13:35.665]  500 milligrams once daily of Z-Pak.
[01:13:35.665 --> 01:13:37.926]  220 once daily of zinc.
[01:13:37.926 --> 01:13:39.046]  This is if you have it, folks.
[01:13:39.046 --> 01:13:41.687]  Don't take that much zinc from what I've read if you don't have it.
[01:13:41.687 --> 01:13:43.067]  Especially long-term, bad for your kidneys.
[01:13:44.446 --> 01:13:49.952]  350 patients, breathing restored 3-4 hours, 0 deaths, 0 hospitalizations, 0 intubations.
[01:13:49.952 --> 01:13:59.702]  And that's in all the literature around the world with zinc and Z-Pak, which happens to say the same name but it's not different, and hydroxychloroquine.
[01:13:59.702 --> 01:14:01.143]  What have we been telling you for months?
[01:14:01.143 --> 01:14:02.645]  Same thing.
[01:14:02.645 --> 01:14:04.527]  So there you go.
[01:14:04.527 --> 01:14:06.449]  And here's the New York order where the mayor
[01:14:07.834 --> 01:14:09.636]  Asked the governor, he did it.
[01:14:09.636 --> 01:14:18.263]  Orders doctors not to prescribe what works because he's Dr. Cuomo.
[01:14:18.263 --> 01:14:32.936]  No pharmacist shall dispense hydroxychloroquine or chloroquine except when written prescription as an FDA-approved indication as part of a state-approved clinical trial related to COVID-19, which will take a year to do.
[01:14:32.936 --> 01:14:33.697]  And it goes on from there.
[01:14:35.842 --> 01:14:37.863]  So there you go, ladies and gentlemen.
[01:14:37.863 --> 01:14:42.326]  And again, they're letting all the criminals out while turning the water and power off to people in L.A.
[01:14:42.326 --> 01:14:45.288]  and places that still run their businesses or have the lights on.
[01:14:45.288 --> 01:14:46.089]  That's siege.
[01:14:46.089 --> 01:14:49.251]  That's economic warfare in your face.
[01:14:49.251 --> 01:14:51.732]  But not in Collin County, Texas.
[01:14:51.732 --> 01:14:57.116]  In other areas of Texas, judges are ordering everything to stay open, saying it's essential to keep our economy going.
[01:14:57.116 --> 01:14:58.957]  We've never acted like this before.
[01:14:58.957 --> 01:15:00.018]  Why are we doing this now?
[01:15:00.518 --> 01:15:07.305]  Meanwhile, Chinese are eating live rats as a delicacy and have now contracted a deadly disease from rats.
[01:15:07.305 --> 01:15:10.088]  I'm sure once they spread it here, it'll be all our fault.
[01:15:10.088 --> 01:15:12.311]  We'll have to lock down again.
[01:15:12.311 --> 01:15:13.652]  That's coming up next segment.
[01:15:13.652 --> 01:15:15.454]  And then our next guest joins us.
[01:15:15.454 --> 01:15:18.597]  But I want to look at the other side of hysteria when we come back as well.
[01:15:20.103 --> 01:15:23.886]  Man who licked products at Walmart charged with making terrorist threat.
[01:15:23.886 --> 01:15:30.891]  All these liberal trendies are licking toilet seats, coughing on people, and saying they're spreading it to kill the boomers.
[01:15:30.891 --> 01:15:36.214]  The same attitude they get from the Extinction Rebellion people.
[01:15:36.214 --> 01:15:41.858]  Again, it could be any brand of tonic water that contains quinine.
[01:15:41.858 --> 01:15:43.159]  That's from the British military.
[01:15:43.159 --> 01:15:44.080]  That's why it's called tonic.
[01:15:45.592 --> 01:15:54.480]  And this has the same chemical in it as the hydroxychloroquine, and I've had doctors confirm to me they're using this because the FDA has no business blocking them on patients.
[01:15:56.795 --> 01:16:00.237]  Attention all radio listeners who still need food supplies.
[01:16:00.237 --> 01:16:09.601]  If you've thought about the implication of food-related supply chain disruptions and are concerned about the coming quarantines, this will be the most important message you will ever hear.
[01:16:09.601 --> 01:16:10.522]  Here's why.
[01:16:10.522 --> 01:16:14.604]  In the next few days, all Americans will face extremely hard choices.
[01:16:14.604 --> 01:16:22.288]  If we've learned anything from China and Italy, it's that quarantines and enforced lockdowns are just a few days away here in the U.S.
[01:16:22.708 --> 01:16:30.892]  Listen, while dehydrated food is becoming scarce, you can still get enough open-pollinated heirloom seeds to grow a one-acre crisis garden.
[01:16:30.892 --> 01:16:37.656]  The truth is, growing nutrient-dense vegetables in the days ahead may actually be the single most important thing you do.
[01:16:37.656 --> 01:16:43.058]  Go to survivalseabank.com and watch the new video to understand the nature of the threat.
[01:16:43.058 --> 01:16:44.339]  This could be life-saving!
[01:16:44.719 --> 01:16:47.605]  Lockdowns can last from six to eight weeks.
[01:16:47.605 --> 01:16:49.188]  Get free bonus seeds.
[01:16:49.188 --> 01:16:51.092]  Special quarantine reports too.
[01:16:51.092 --> 01:16:53.396]  Go to survivalseedbank.com.
[01:16:53.396 --> 01:16:55.240]  That's survivalseedbank.com.
[01:16:56.738 --> 01:16:59.760]  We can all agree these are troubled times, right?
[01:16:59.760 --> 01:17:02.662]  So do you know who's on your wireless network?
[01:17:02.662 --> 01:17:09.886]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[01:17:09.886 --> 01:17:15.110]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[01:17:15.110 --> 01:17:22.715]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[01:17:22.715 --> 01:17:26.197]  And not just one, but all your devices with one out-of-the-box setup.
[01:17:26.477 --> 01:17:35.623]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[01:17:35.623 --> 01:17:38.725]  Call or click FlashRouters today at 1-866-509-5817 or F-L-A-S-H-R-O-U-T-E-R-S dot com.
[01:17:38.725 --> 01:17:40.026]  That's 1-866-509-5817 or FlashRouters dot com.
[01:17:40.026 --> 01:17:44.830]  Protect your wireless home network today with FlashRouters.
[01:17:57.688 --> 01:18:18.392]  For more than four days, the Democratic Party and their willing accomplices in the establishment media have been fighting to keep President Trump from being able to pass emergency funding through Congress to get money to the American people who've lost their jobs and to get money to the emergency first responders for basic medical equipment, respirators, you name it.
[01:18:18.852 --> 01:18:29.039]  We've seen all these Democrat leaders, governors, mayors, come out and say Trump hasn't lifted a finger while they're actually trying to tie him down in a straitjacket of lies.
[01:18:29.039 --> 01:18:30.980]  It is next level.
[01:18:30.980 --> 01:18:35.103]  I never thought they would go this far and be this criminal publicly.
[01:18:35.103 --> 01:18:37.424]  Yes, they hoped the virus would plunge the economy.
[01:18:37.424 --> 01:18:39.025]  Yes, they hyped it all up.
[01:18:39.025 --> 01:18:40.786]  Yes, they're rooting against America.
[01:18:40.786 --> 01:18:42.307]  But now this.
[01:18:42.307 --> 01:18:44.669]  These people have gone completely insane.
[01:18:45.009 --> 01:18:52.397]  And the American people need to let them know legally and lawfully that we see through them, and we're not going to put up with their terrorism against America.
[01:18:52.397 --> 01:18:56.981]  As for InfoWars, we're fighting on harder than ever, thanks to you, and we are winning.
[01:18:57.836 --> 01:19:09.980]  One of the products that I'm very proud of, I don't talk enough about, because there's so many amazing essential oils and ingredients in it, it takes a long time to break down the product, because it's a complex product.
[01:19:09.980 --> 01:19:15.762]  A lot of the sprays you put in your mouth or your throat and lungs are really thin.
[01:19:15.762 --> 01:19:18.703]  It's a little bit of alcohol, maybe one or two essential oils.
[01:19:18.703 --> 01:19:20.104]  Not our Lung Cleanse.
[01:19:20.104 --> 01:19:23.385]  It's got a long list of the highest quality
[01:19:24.460 --> 01:19:27.101]  Essential oils and ingredients in it.
[01:19:27.101 --> 01:19:37.704]  You take a few sprays in your mouth, lightly inhale, and it just does so much for me when I've got allergies or when my throat is tired.
[01:19:37.704 --> 01:19:45.406]  It's just very, very soothing and it's just one more thing for you and your family to have in your arsenal during these insane times.
[01:19:45.406 --> 01:19:53.489]  So get your lung cleanse discounted at InfoWarStore.com and get yourself and your family prepared while at the same time funding the InfoWar.
[01:19:53.829 --> 01:19:55.251]  A total 360 win.
[01:19:55.251 --> 01:20:01.140]  Infowarstore.com.
[01:20:01.140 --> 01:20:03.743]  You're listening to the Alex Jones Show.
[01:20:25.529 --> 01:20:28.294]  We are watching a modern war.
[01:20:28.294 --> 01:20:31.339]  We are watching an axis of globalist evil.
[01:20:31.339 --> 01:20:37.829]  Multinational corporations above the law that own slave factories from China to India to Mexico.
[01:20:39.568 --> 01:20:52.974]  Who are openly engaged in every crime against humanity, from human-animal hybrids to forced labor camps and death camps for Muslims, 3 million of them, the Uyghurs in China, run by Apple.
[01:20:52.974 --> 01:20:55.755]  Even the Wall Street Journal reports that.
[01:20:55.755 --> 01:21:00.797]  And everything they've done to those poor people, they'd love to do to us here.
[01:21:00.797 --> 01:21:07.540]  And now they're funding massive, massive, massive projects to brainwash our children
[01:21:08.376 --> 01:21:14.822]  And to turn them against America and against their families and against God and to confuse their sexuality.
