[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[00:40:45.503 --> 00:40:49.624]  Here's Trump's latest campaign ad, America First Trump campaign ad.
[00:40:49.624 --> 00:40:50.984]  It's like high noon to vampires.
[00:40:50.984 --> 00:40:51.304]  Here it is.
[00:40:54.841 --> 00:41:02.905]  For too long, Washington flourished, politicians prospered, the establishment protected itself.
[00:41:02.905 --> 00:41:05.826]  But not the citizens of our country.
[00:41:05.826 --> 00:41:09.528]  Their victories have not been your victories.
[00:41:09.528 --> 00:41:13.550]  Their triumphs have not been your triumphs.
[00:41:13.550 --> 00:41:18.372]  That all changes starting right here and right now.
[00:41:19.841 --> 00:41:25.887]  From this day forward, a new vision will govern our land.
[00:41:25.887 --> 00:41:30.792]  It's going to be only America first.
[00:41:30.792 --> 00:41:34.456]  Buy American and hire American.
[00:41:34.456 --> 00:41:39.621]  No challenge can match the heart and fight and spirit of America.
[00:41:39.621 --> 00:41:40.742]  We will not dare.
[00:41:41.282 --> 00:41:44.466]  Our country will thrive and prosper again.
[00:41:44.466 --> 00:41:58.139]  We will reinforce old alliances and form new ones, and unite the civilized world against radical Islamic terrorism, which we will eradicate completely from the face of the earth.
[00:41:58.960 --> 00:42:04.746]  We will be protected by the great men and women of our military and law enforcement.
[00:42:04.746 --> 00:42:06.868]  We will bring back our jobs.
[00:42:06.868 --> 00:42:09.250]  We will bring back our borders.
[00:42:09.250 --> 00:42:11.552]  We will bring back our wealth.
[00:42:11.552 --> 00:42:15.336]  And we will bring back our dreams.
[00:42:15.336 --> 00:42:16.697]  We will face challenges.
[00:42:17.538 --> 00:42:22.342]  We will confront hardships, but we will get the job done.
[00:42:22.342 --> 00:42:30.129]  Together we will determine the course of America and the world for many, many years to come.
[00:42:30.129 --> 00:42:32.131]  This moment is your moment.
[00:42:32.131 --> 00:42:37.556]  It belongs to you.
[00:42:37.556 --> 00:42:39.338]  And that's what the Democrats are upset about.
[00:42:39.338 --> 00:42:40.779]  When we come back, we have the antifa.
[00:42:42.304 --> 00:42:47.366]  They're not guillotining American flags or burning down churches or going to neighborhoods threatening people and shooting people in the head.
[00:42:47.366 --> 00:42:50.028]  They're now chanting F Jesus.
[00:42:50.028 --> 00:42:53.069]  I'm telling you, their operating system is Satan worship.
[00:42:53.069 --> 00:42:54.410]  We'll be right back on Alex Jones.
[00:42:59.355 --> 00:43:00.937]  It was a sleeper product.
[00:43:00.937 --> 00:43:06.123]  It wasn't popular at first, but as people tried it, it's become one of our top five bestsellers.
[00:43:06.123 --> 00:43:09.086]  I'm talking about the 8-pack Power Stack.
[00:43:09.086 --> 00:43:16.054]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[00:43:16.054 --> 00:43:17.396]  It's available right now at $60.
[00:43:18.437 --> 00:43:24.283]  We're sent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[00:43:24.283 --> 00:43:26.806]  This has changed my life and so many other people's lives.
[00:43:26.806 --> 00:43:27.787]  Now here's the problem.
[00:43:27.787 --> 00:43:33.273]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[00:43:33.533 --> 00:43:34.073]  We're good to go.
[00:43:58.410 --> 00:44:02.553]  The social engineers bet on you not having a memory, more than anything.
[00:44:02.553 --> 00:44:11.080]  They also bet, as they constantly talk about it in their own words, that you will adapt to being a slave, that you will learn incrementally to submit.
[00:44:11.080 --> 00:44:14.703]  So think about and remember the phases of the Fauci fraud.
[00:44:14.703 --> 00:44:17.926]  Remember that everything he said has been a premeditated lie.
[00:44:18.226 --> 00:44:31.413]  They lied about where it came from, they lied about person-to-person, the UN covered it all up, then exaggerated the death rate at 4% when it's actually 0.032 now and dropping.
[00:44:31.413 --> 00:44:43.039]  Then they set the test up to count almost all false positives, they put the names of people that died of other diseases in the COVID column, they only said there'd be a 15-day lockdown, now we're six months later, now they say it's permanent.
[00:44:43.419 --> 00:44:48.286]  You gotta wear masks forever and forced inoculations are coming and they're gonna track everywhere you go and what you do.
[00:44:48.286 --> 00:44:50.991]  The global social credit score and the UN is the boss.
[00:44:50.991 --> 00:44:54.516]  Anybody questioning it is censored off the internet, loses their job.
[00:44:54.516 --> 00:44:56.178]  That's called 21st century tyranny.
[00:44:56.178 --> 00:44:57.620]  That's called world government takeover.
[00:44:59.653 --> 00:45:18.903]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack InfoWars saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[00:45:19.483 --> 00:45:26.669]  And now everything I've warned people about is coming true, because it was all in the Rockefeller Foundation documents, like lockstep.
[00:45:26.669 --> 00:45:29.831]  This is the corporate planetary takeover.
[00:45:29.831 --> 00:45:36.116]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[00:45:36.116 --> 00:45:39.439]  Get your high quality storable foods at InfoWareStore.com.
[00:45:39.439 --> 00:45:43.142]  That's one of the key check marks of the check boxes you've got to have checked off.
[00:45:43.602 --> 00:45:47.823]  Infowarsstore.com and their delivery is now one to two weeks.
[00:45:47.823 --> 00:45:50.424]  Get it before the next big rush comes.
[00:45:50.424 --> 00:45:53.925]  Take action, get the best durable food at the best price now.
[00:45:53.925 --> 00:45:58.847]  Get Infowarsstore.com and it supports the InfoWar.
[00:45:58.847 --> 00:46:02.748]  I'm going to say something right now that is one of the most important things I've ever said.
[00:46:02.748 --> 00:46:05.369]  So please listen very, very carefully.
[00:46:05.369 --> 00:46:10.170]  Donald Trump is not the reason they released COVID or had the lockdown.
[00:46:11.271 --> 00:46:15.893]  They already have this plan, the Rockefeller Foundation, and Bill and Melinda Gates.
[00:46:15.893 --> 00:46:18.234]  It is beyond critical.
[00:46:18.234 --> 00:46:28.998]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover, on record, that is never going to end.
[00:46:28.998 --> 00:46:31.099]  The United Nations has admitted that.
[00:46:31.099 --> 00:46:34.580]  First it's a month, then it's six months, then they say, okay, it's two years.
[00:46:34.580 --> 00:46:37.021]  They're now saying two years.
[00:46:37.021 --> 00:46:38.622]  They're now saying you'll never go back to normal,
[00:46:39.810 --> 00:46:42.111]  No more gatherings, no more anything.
[00:46:42.111 --> 00:46:46.272]  Constant forced inoculations that they admit don't even work.
[00:46:46.272 --> 00:46:49.113]  And the way they say they work, they change your DNA.
[00:46:49.113 --> 00:46:52.233]  This is the culling of the planet.
[00:46:52.233 --> 00:46:57.455]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[00:46:57.455 --> 00:47:01.876]  Do you understand?
[00:47:01.876 --> 00:47:04.497]  You're listening to the Alex Jones Show.
[00:47:22.611 --> 00:47:23.952]  It's the Alex Jones Show.
[00:47:23.952 --> 00:47:25.853]  And yes, I'm Alex Jones.
[00:47:25.853 --> 00:47:27.113]  Very blessed and honored to be here.
[00:47:27.113 --> 00:47:29.395]  Thanks for keeping us in the fight.
[00:47:29.395 --> 00:47:31.816]  I want to be clear about that.
[00:47:31.816 --> 00:47:37.139]  The New World Order control freaks relish censoring everyone, including the President and you.
[00:47:37.139 --> 00:47:43.102]  And they count on your apathy to win like big fat spiders sitting on your chest.
[00:47:43.102 --> 00:47:49.765]  But when you get excited and you get activated about freedom, when you spread the word, when you take action, it changes the world.
[00:47:49.765 --> 00:47:50.866]  And you've already seen that.
[00:47:52.230 --> 00:48:02.462]  So remember, however you're listening on local AM and FM stations, global shortwave, satellite, local TV, or band.video, InfoWars.com.
[00:48:02.462 --> 00:48:03.784]  Tell folks how to tune in.
[00:48:05.049 --> 00:48:07.311]  Let's say you've got a local radio station you're listening to.
[00:48:07.311 --> 00:48:08.892]  Tell folks about the station.
[00:48:08.892 --> 00:48:13.955]  But people outside the listening area, tell them about InfoWars.com forward slash show.
[00:48:13.955 --> 00:48:15.036]  And say, hey, you heard of that site?
[00:48:15.036 --> 00:48:16.097]  It's demonized?
[00:48:16.097 --> 00:48:18.919]  Boy, there's going to be stuff on there you're not going to see anywhere else.
[00:48:18.919 --> 00:48:20.280]  InfoWars.com forward slash show.
[00:48:20.280 --> 00:48:22.121]  Find out what you're not supposed to see.
[00:48:22.121 --> 00:48:23.302]  See the secret.
[00:48:23.302 --> 00:48:25.823]  See the verboten.
[00:48:25.823 --> 00:48:30.547]  And all you'll find is the documents and common sense and how Bill Gates with the Rockefeller Foundation engineered this whole thing.
[00:48:31.243 --> 00:48:34.364]  And us laying out exactly what would happen, what would unfold and how to stop them.
[00:48:34.364 --> 00:48:39.085]  So next hour, I'll get to, I already got to it some.
[00:48:39.085 --> 00:48:42.385]  Head of Allie Alexander joining us with a lot of big news.
[00:48:42.385 --> 00:48:45.706]  Great political analyst.
[00:48:45.706 --> 00:48:47.587]  And he was good four years ago when I first started having him on.
[00:48:47.587 --> 00:48:49.827]  He's really, what knows what he's doing now.
[00:48:49.827 --> 00:48:50.807]  I learned a lot from him.
[00:48:50.807 --> 00:48:51.507]  He's popping in.
[00:48:51.507 --> 00:48:53.748]  We got some other great guests coming up.
[00:48:53.748 --> 00:48:58.369]  But the first 15 minutes of the next hour, I'm going to get into what they're going to pull on Trump.
[00:49:00.934 --> 00:49:12.665]  If they lose, which they're going to, versus if they were able to cheat so bad that Trump loses, then if he contests, you're back in the same spot.
[00:49:12.665 --> 00:49:14.566]  And they've set the table.
[00:49:14.566 --> 00:49:17.449]  They've got it all pre-programmed and ready.
[00:49:17.449 --> 00:49:19.711]  You can see them setting it all up, as Trump said yesterday.
[00:49:20.728 --> 00:49:28.012]  And so Trump and my language mirror each other most of the time because we're just realist folks that know what we're talking about.
[00:49:28.012 --> 00:49:29.353]  Just like you see the same thing.
[00:49:29.353 --> 00:49:33.736]  You tune in here because you already see what I'm saying for yourself.
[00:49:33.736 --> 00:49:37.558]  And then I give you intel, you don't have, you give me intel, the guests give us intel.
[00:49:37.558 --> 00:49:41.881]  We're just people that want a good future and don't want to be lied to.
[00:49:41.881 --> 00:49:48.645]  And I'm fighting as hard as I can politically and culturally to not have this go into a real bloody civil war.
[00:49:51.752 --> 00:49:56.534]  And I just hope if it really kicks off, like I warned you, don't go down and fight Antifa.
[00:49:56.534 --> 00:49:58.194]  That's a decoy.
[00:49:58.194 --> 00:50:00.135]  Remember who did it.
[00:50:00.135 --> 00:50:06.337]  If you're in a war, you don't go after the privates.
[00:50:06.337 --> 00:50:10.438]  You go after the leadership of the New World Order.
[00:50:10.438 --> 00:50:13.759]  They're the ones saying we're the enemy, they're gonna get us, they're gonna kill us.
[00:50:13.759 --> 00:50:15.000]  They're the outside funded power.
[00:50:16.089 --> 00:50:21.191]  I'm saying the military, the police, everybody, you're going to have to choose a side very, very soon if we don't fix this peacefully.
[00:50:21.191 --> 00:50:24.432]  I just suggest we fix it peacefully.
[00:50:24.432 --> 00:50:26.832]  And I'm not going to lead any, you know, operations or anything.
[00:50:26.832 --> 00:50:29.993]  That's not, that's not my hat I wear.
[00:50:29.993 --> 00:50:32.674]  I'm just a realist here laying out where we are.
[00:50:32.674 --> 00:50:40.217]  Okay?
[00:50:40.217 --> 00:50:40.457]  All right.
[00:50:41.761 --> 00:50:44.082]  See, my brain's already thinking about, well, what are you going to do, Jones?
[00:50:44.082 --> 00:50:48.123]  And I'm like, whoa, that's a whole nother wing of the brain.
[00:50:48.123 --> 00:51:00.065]  And is it ready and sitting there waiting like a 400-ton monster slobbering with 18-foot-long teeth, dripping acid?
[00:51:00.065 --> 00:51:02.206]  But that's the monster in all of us, isn't it?
[00:51:02.206 --> 00:51:07.367]  And we just want to keep it tied up, break only in case of war.
[00:51:07.367 --> 00:51:10.608]  Well, war cometh, releases the goblin.
[00:51:15.456 --> 00:51:20.798]  So let me hit this notion.
[00:51:20.798 --> 00:51:28.941]  You have the individual that started all the latest rioting in Wisconsin.
[00:51:28.941 --> 00:51:32.342]  And when I read about this guy the other day, even worse come out.
[00:51:32.342 --> 00:51:33.783]  He didn't die.
[00:51:33.783 --> 00:51:34.363]  Jacob Blake.
[00:51:35.313 --> 00:51:37.353]  His neighbors called him on him.
[00:51:37.353 --> 00:51:43.315]  He's got sex assault charges, underage sex charges, all these drug charges.
[00:51:43.315 --> 00:51:49.336]  I mean, a rap sheet 80 feet long, even before he became an adult.
[00:51:49.336 --> 00:51:53.257]  They don't even have a bunch of stuff secret.
[00:51:53.257 --> 00:51:58.218]  And so they call the cops and there's all these angles of him beating up the cops and then chasing him around.
[00:51:58.218 --> 00:51:59.498]  I would never want that job.
[00:52:00.748 --> 00:52:08.474]  And then everybody that called the cops on them is screaming and yelling at them!
[00:52:08.474 --> 00:52:13.518]  So, that's the reason to go burn down churches and car dealerships?
[00:52:13.518 --> 00:52:16.040]  And to run up and aim guns at police and aim guns at journalists?
[00:52:16.040 --> 00:52:18.902]  Go ahead and roll it.
[00:52:18.902 --> 00:52:20.323]  Mom, get back!
[00:52:20.323 --> 00:52:20.884]  Mom!
[00:52:20.884 --> 00:52:21.504]  Mom!
[00:52:21.504 --> 00:52:21.664]  Mom!
[00:52:21.664 --> 00:52:22.465]  You have to get back!
[00:52:27.574 --> 00:52:33.578]  Now, let's look at another shooting where these officers died, and talk about that.
[00:52:33.578 --> 00:52:56.856]  This is the shooting of the PGPD officers, and this was something that's getting almost no attention nationwide in McCannicksburg, Pennsylvania, when the suspects in the robbery call, people called the cops that they were robbed by these guys, and then the police officers, three of them get shot, here it is.
[00:52:59.753 --> 00:53:01.074]  And you don't hear about the cops.
[00:53:01.074 --> 00:53:03.235]  You don't hear about what happened to them.
[00:53:03.235 --> 00:53:04.575]  Three officers shot at suspects.
[00:53:04.575 --> 00:53:11.098]  Retreated a car opening doors on same day as
[00:53:28.254 --> 00:53:35.859]  The attack and the situation with the police in Wisconsin.
[00:53:35.859 --> 00:53:37.200]  And I've read the police died.
[00:53:37.200 --> 00:53:39.021]  I guess they were injured.
[00:53:39.021 --> 00:53:40.962]  That's good news.
[00:53:40.962 --> 00:53:42.123]  Injured three officers.
[00:53:42.123 --> 00:53:44.185]  Oh, there was another report of other officers shot dead.
[00:53:44.185 --> 00:53:46.166]  Oh, sorry, I got this mixed up with another one.
[00:53:46.166 --> 00:53:47.587]  I'll get to you after the break.
[00:53:47.587 --> 00:53:51.970]  Meanwhile, our militia tries to stop looters and rioters in Kenosha.
[00:53:51.970 --> 00:53:53.811]  We have that video on Infowars.com.
[00:53:53.811 --> 00:53:55.252]  A Ben Warren article, very, very important.
[00:53:56.479 --> 00:54:01.240]  We have Black Lives Matter agitators harass a white couple for refusing to raise their fist.
[00:54:01.240 --> 00:54:06.601]  Well, at least they didn't shoot them in the head like folks at checkpoints.
[00:54:06.601 --> 00:54:07.561]  And it goes on and on and on.
[00:54:07.561 --> 00:54:14.523]  And then we've got all this other footage of people running up to journalists and putting revolvers to their heads.
[00:54:14.523 --> 00:54:15.323]  Do we have this bleep?
[00:54:15.323 --> 00:54:16.023]  Can we play that?
[00:54:16.023 --> 00:54:18.804]  Let's go ahead and roll that.
[00:54:18.804 --> 00:54:20.104]  Whoa, that's right, man.
[00:54:20.104 --> 00:54:20.644]  That's right.
[00:54:20.644 --> 00:54:22.325]  Whoa, that's right, man.
[00:54:24.861 --> 00:54:27.863]  So imagine trying to go out there and people are aiming guns at you.
[00:54:27.863 --> 00:54:34.486]  Well, we have the armored vehicle is trying to go to a scene of a burning car dealership and burning apartment buildings.
[00:54:34.486 --> 00:54:41.730]  And the media is like, oh, they're agitating in their armored vehicle and the people are blocking them with assault rifles.
[00:54:41.730 --> 00:54:44.732]  Someone's blocking you with assault rifles illegally.
[00:54:44.732 --> 00:54:50.295]  If the police were randomly blocking things for no reason and doing it, I'd say fire them.
[00:54:50.295 --> 00:54:51.175]  I'd say they're tyrants.
[00:54:51.175 --> 00:54:52.536]  It's not the police doing it.
[00:54:52.536 --> 00:54:54.077]  It's these lunatics.
[00:54:58.106 --> 00:55:00.027]  And this is what our country has turned into.
[00:55:00.027 --> 00:55:01.007]  This is all by design.
[00:55:01.007 --> 00:55:06.309]  As I told you, they've been ratcheting up and building it up ahead of the election.
[00:55:06.309 --> 00:55:09.670]  They tried to kick all this off during the midterms.
[00:55:09.670 --> 00:55:15.133]  And this is what the Atlantic Council and the CFR and all these people have been pushing.
[00:55:15.133 --> 00:55:18.194]  And so I'm saying they should be held responsible for what they've done.
[00:55:18.194 --> 00:55:23.316]  You know, a federal court upheld the Anti-Riot Act.
[00:55:24.397 --> 00:55:33.260]  But they said Trump and the federal police can't arrest someone commanding folks to burn things down, which is conspiracy.
[00:55:33.260 --> 00:55:40.542]  But in Charlottesville, two people that came that were part of the demonstration, they're to blame for the woman that got killed, so they're going to jail.
[00:55:40.542 --> 00:55:45.043]  So the Democrats are going to pick and choose how they enforce these laws.
[00:55:45.043 --> 00:55:46.424]  It's what they do, ladies and gentlemen.
[00:55:47.927 --> 00:55:49.347]  So it's a very serious situation.
[00:55:49.347 --> 00:55:57.850]  We're going to go on a break, and I'm going to come back and really try to be as judicious as I can and boil down exactly what is going to unfold, the different scenarios.
[00:55:57.850 --> 00:56:02.731]  But it will be one of three scenarios, but they're all basically the same scenario, unless things are stopped.
[00:56:02.731 --> 00:56:11.193]  If we just sit here and let the crime syndicate Democrats, funded by a consortium of evil, run their operation, then
[00:56:12.961 --> 00:56:21.145]  They're going to carry this out, and once they're in control, if we don't stop them, I'll break down what it's going to look like, and the next plays they're going to pull.
[00:56:21.145 --> 00:56:24.887]  But it's going to be long, it's going to be hard, and it's going to be nasty, nasty, nasty.
[00:56:24.887 --> 00:56:25.728]  But we can stop it.
[00:56:25.728 --> 00:56:27.309]  You are the modern Paul Reveres.
[00:56:27.309 --> 00:56:29.930]  Tell everyone you know to tune in now.
[00:56:29.930 --> 00:56:36.194]  Tell everyone you know to say, hey, pssh, Band.Video, and send them to the live link page of the show, the Alex Jones tab.
[00:56:37.119 --> 00:56:45.630]  All my videos plus the live feed, or InfoWars.com forward slash show, or NewsWars.com forward slash show, that doesn't get censored, that link as much, it goes to InfoWars.
[00:56:45.630 --> 00:56:49.936]  And we've got links to the live show and stuff on Paul's site, Summit.News, that's a good site to send out.
[00:56:52.099 --> 00:56:53.460]  Just please do that.
[00:56:53.460 --> 00:56:56.882]  And please remember, we're going to have to end it coming up this weekend.
[00:56:56.882 --> 00:56:59.144]  It's the Essential Sales.
[00:56:59.144 --> 00:57:04.968]  10 of our best-selling supplements at 50 to 60% off and free shipping on those items.
[00:57:04.968 --> 00:57:14.995]  Ultimate Fish Oil, Vazo Beats, X2 Back in Stock, Xtendowise, Survival Shield X3, 8-pack Power Stack is going to be sold out in a few months.
[00:57:15.819 --> 00:57:18.302]  And then the supply chain's already broken down.
[00:57:18.302 --> 00:57:20.084]  It's got 13 different pills in it.
[00:57:20.084 --> 00:57:22.848]  We can't even probably get this formula anymore.
[00:57:22.848 --> 00:57:24.150]  And so it was a sleeper product.
[00:57:24.150 --> 00:57:25.291]  It became a bestseller.
[00:57:25.291 --> 00:57:30.618]  It's discounted right now to your eight-pack PowerStack at InfoWarStore.com or call toll-free, 888-253-3139.
[00:57:33.942 --> 00:57:35.363]  This is such a historic time.
[00:57:35.363 --> 00:57:40.949]  I cannot just impress upon you how ultra-massive, critical it is.
[00:57:40.949 --> 00:57:43.351]  This is America's Final Hours.
[00:57:43.351 --> 00:57:46.554]  If you don't spread the word, Paul Revere will be right back.
[00:57:49.343 --> 00:57:52.445]  How do you contest an election in the year 2020?
[00:57:52.445 --> 00:58:02.029]  Well, you trigger race riots and you tell the blue states and blue cities, when you're the Speaker of the House, that you are legitimately now the President.
[00:58:02.029 --> 00:58:04.691]  That's what she said on CBS News.
[00:58:04.691 --> 00:58:07.752]  And then you're going to have those blue states secede.
[00:58:07.752 --> 00:58:11.594]  Yes, that's officially called a civil war, ladies and gentlemen.
[00:58:11.594 --> 00:58:15.316]  And the Democrats are backed by the EU, Hollywood, the Chi-Coms, and the whole globalist
[00:58:15.996 --> 00:58:26.138]  This is treason with a capital T. And our federal government is so paralyzed with cowards they won't even stand up against it and do anything, even though our president has been exposing it.
[00:58:26.138 --> 00:58:27.518]  But here's the bottom line.
[00:58:27.518 --> 00:58:28.639]  You need storable food.
[00:58:28.639 --> 00:58:30.999]  We've got the best quality ready to ship to you right now.
[00:58:30.999 --> 00:58:32.599]  Two to four week delivery.
[00:58:32.599 --> 00:58:36.000]  With 80 days out from the election, you need to get high quality storable food right now.
[00:58:36.000 --> 00:58:39.481]  In case they are able to pull this off, we're gonna have a Great Depression.
[00:58:39.481 --> 00:58:40.421]  We're on the streets.
[00:58:40.421 --> 00:58:41.561]  It'll make a road warrior look like a
[00:58:43.342 --> 00:59:01.333]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[00:59:01.333 --> 00:59:02.654]  It's amazing.
[00:59:02.654 --> 00:59:06.416]  Well, we set out a few years ago to go out and develop with
[00:59:06.696 --> 00:59:07.416]  We're good.
[00:59:25.686 --> 00:59:29.470]  Vitamin D. Vitamin E. Supports optimal heart health.
[00:59:29.470 --> 00:59:30.932]  Supports optimal joint health.
[00:59:30.932 --> 00:59:32.514]  Supports optimal cognitive health.
[00:59:32.514 --> 00:59:33.695]  Supports immune function.
[00:59:33.695 --> 00:59:34.896]  Supports vascular health.
[00:59:34.896 --> 00:59:36.458]  Supports circulatory health.
[00:59:36.458 --> 00:59:37.519]  It goes on and on.
[00:59:37.519 --> 00:59:44.007]  Get your Ultimate Fish Oil discounted with free shipping right now at InfoWarsore.com and Ultimate Critical Oil as well.
[00:59:44.007 --> 00:59:44.868]  InfoWarsore.com.
[00:59:52.840 --> 00:59:55.456]  You're listening to The Alex Jones Show!
[01:00:10.609 --> 01:00:16.270]  There's a very important video on InfoWars.com that deserves to be seen.
[01:00:16.270 --> 01:00:19.611]  Maximo Alvarez knocks it out of the park.
[01:00:19.611 --> 01:00:20.972]  A Cuban immigrant to America.
[01:00:20.972 --> 01:00:23.092]  The full speech is long.
[01:00:23.092 --> 01:00:25.012]  Everyone needs to watch it.
[01:00:25.012 --> 01:00:28.113]  Everyone needs to see it.
[01:00:28.113 --> 01:00:28.973]  We'll play a few clips here.
[01:00:28.973 --> 01:00:33.014]  When we come back from break, I'm going to lay out the big globalist master plan on how to stop it.
[01:00:33.014 --> 01:00:37.055]  Incredible times we live in, but here's what Maximo had to say.
[01:00:37.055 --> 01:00:39.056]  Through hard work and determination,
[01:00:40.529 --> 01:00:54.841]  President Trump knows that the American story was written by people just like you and I, who love our country and take risks to build a future for our families and neighbors.
[01:00:54.841 --> 01:00:57.983]  I may be a Cuban-born, but I am 100% American.
[01:00:57.983 --> 01:01:07.731]  This is the greatest country in the world.
[01:01:07.731 --> 01:01:08.752]  And I said this before.
[01:01:10.103 --> 01:01:24.829]  If I gave away everything that I have today, it would not equal 1% of what I was given when I came to this great country of ours.
[01:01:24.829 --> 01:01:28.391]  The gift of freedom.
[01:01:28.391 --> 01:01:37.535]  Right now, it is up to us to decide our fate and to choose freedom over oppression.
[01:01:39.414 --> 01:01:46.224]  President Trump is fighting the forces of anarchy and communism.
[01:01:46.224 --> 01:01:48.227]  And I know he will continue to do just that.
[01:01:49.824 --> 01:01:54.105]  The full speech is on InfoWars.com, the full article by Don Salazar.
[01:01:54.105 --> 01:01:55.186]  I hope you share it.
[01:01:55.186 --> 01:01:57.386]  Again, I just keep going, share, share, share.
[01:01:57.386 --> 01:01:58.047]  You've done it.
[01:01:58.047 --> 01:01:58.987]  You're the core.
[01:01:58.987 --> 01:01:59.767]  The globalists hate you.
[01:01:59.767 --> 01:02:01.968]  They wanted this network off the air because of you.
[01:02:01.968 --> 01:02:09.690]  They don't want you having a focal point of guests and articles and videos and analysis as a launch pad, a launch base, a fire base to get the word out.
[01:02:09.690 --> 01:02:15.332]  We're going to go to break after the special report, and we're going to come back, and I'm going to lay it all out, do the best job I can.
[01:02:15.332 --> 01:02:18.793]  I hope you, again, take this letter when it's posted to Bandot Video and share it.
[01:02:20.247 --> 01:02:23.372]  But we got pedo groomers from hell, folks, out in the open.
[01:02:23.372 --> 01:02:26.237]  So remember, this is all out in the open now, what you're about to see.
[01:02:26.237 --> 01:02:28.300]  This is their religion, destroying innocents.
[01:02:28.300 --> 01:02:29.182]  This is the reality.
[01:02:29.182 --> 01:02:29.562]  Here it is.
[01:02:33.220 --> 01:02:36.101]  This is gonna be the grooming of the next generation.
[01:02:36.101 --> 01:02:41.643]  That's the whole goal, is to make kids that aren't used to seeing something like me more comfortable to seeing it.
[01:02:41.643 --> 01:02:43.464]  The woman gets up on her table, spreads her legs.
[01:02:43.464 --> 01:02:44.984]  It's a man.
[01:02:44.984 --> 01:02:47.365]  This is adult entertainment.
[01:02:47.365 --> 01:02:48.445]  But what do predators do?
[01:02:48.445 --> 01:02:49.746]  They target children.
[01:02:49.746 --> 01:02:50.646]  Stardom Young, right?
[01:02:50.646 --> 01:02:59.949]  Breaking news, we have just confirmed that a registered child sex offender has been reading to children at a Houston public library as part of its Drag Queen Story Hour.
[01:02:59.949 --> 01:03:00.449]  Shake your butt!
[01:03:00.449 --> 01:03:01.630]  Shake em, shake em, shake em, shake em, shake em!
[01:03:03.917 --> 01:03:06.261]  What alternate universe is this?
[01:03:06.261 --> 01:03:08.023]  What planet did I wake up in?
[01:03:08.023 --> 01:03:09.586]  What has this world come to?
[01:03:09.586 --> 01:03:11.929]  Some people consider it provocative.
[01:03:11.929 --> 01:03:13.351]  It's not inappropriate.
[01:03:13.351 --> 01:03:15.795]  Family programming.
[01:03:15.795 --> 01:03:16.476]  Love it.
[01:03:17.622 --> 01:03:20.203]  There is now a push to normalize pedophilia.
[01:03:20.203 --> 01:03:22.004]  This is going to be marketed to children.
[01:03:22.004 --> 01:03:23.305]  It's going to sexualize children.
[01:03:23.305 --> 01:03:26.146]  It's going to tell girls they can be boys, boys they can be girls.
[01:03:26.146 --> 01:03:31.148]  And it's the same kids that they just forced to watch the Cardi B softcore porn video.
[01:03:31.148 --> 01:03:33.389]  And so this is just a big demonic exercise.
[01:03:33.389 --> 01:03:34.590]  It would make me feel liberated.
[01:03:34.590 --> 01:03:36.310]  Right here on her privates.
[01:03:36.310 --> 01:03:38.872]  And if you push those, she makes these sounds.
[01:03:38.872 --> 01:03:44.114]  Now does anybody in this room know how to twerk?
[01:03:45.680 --> 01:03:47.360]  I couldn't even get through one episode of Big Mouth.
[01:03:47.360 --> 01:03:53.142]  I mean, it's literally children having the raunchiest, most disgusting sex, sexually oriented conversation.
[01:03:53.142 --> 01:03:55.162]  Meow, meow, who's got the cream?
[01:03:55.162 --> 01:03:56.642]  Me, I've got the cream.
[01:03:56.642 --> 01:04:01.503]  It will never be okay, as much as Hollywood wants it to be.
[01:04:01.503 --> 01:04:04.364]  Under MKUltra, they experimented on children.
[01:04:04.364 --> 01:04:14.046]  We were even taught this in psychophysiology program, that if you get to a child between ages one and six, or one or eight, especially with sexual abuse or sexual trauma,
[01:04:14.626 --> 01:04:24.774]  You will split their personality and they will be imprinted the rest of their life and many times that results in split personalities and disassociative behavior and other things.
[01:04:24.774 --> 01:04:26.416]  And that's why it takes critical thinking.
[01:04:26.416 --> 01:04:35.643]  The people have got to look at this stuff critically and see what they're being fed so they can cross that psychological line that they just refuse to see it when it's right in front of them.
[01:04:35.643 --> 01:04:41.648]  People that blow the whistle on elite pedophiles tend to have accidents.
[01:04:42.248 --> 01:04:52.233]  We are grooming the new generation of Americans to be fully embracing of diversity and inclusivity.
[01:04:52.233 --> 01:04:53.454]  And that means bowing to them.
[01:04:53.454 --> 01:04:58.177]  Incrementalism!
[01:04:59.042 --> 01:05:00.743]  The inchworm effect.
