[00:00:00.233 --> 00:00:00.314]  Oh.
[00:41:13.976 --> 00:41:15.837]  They lied about where it came from.
[00:41:15.837 --> 00:41:17.318]  They lied about person-to-person.
[00:41:17.318 --> 00:41:27.163]  The UN covered it all up, then exaggerated the death rate at 4% when it's actually 0.032 now and dropping.
[00:41:27.163 --> 00:41:30.265]  Then they set the test up to count almost all false positives.
[00:41:30.265 --> 00:41:34.207]  They put the names of people that died of other diseases in the COVID column.
[00:41:34.207 --> 00:41:36.148]  They only said there'd be a 15-day lockdown.
[00:41:36.148 --> 00:41:37.609]  Now we're six months later.
[00:41:37.609 --> 00:41:38.790]  Now they say it's permanent.
[00:41:39.230 --> 00:41:44.032]  You gotta wear masks forever and forced inoculations are coming and they're going to track everywhere you go and what you do.
[00:41:44.032 --> 00:41:46.773]  The global social credit score and the UN is the boss.
[00:41:46.773 --> 00:41:50.254]  Anybody questioning it is censored off the internet and loses their job.
[00:41:50.254 --> 00:41:51.914]  That's called 21st century tyranny.
[00:41:51.914 --> 00:41:53.335]  That's called world government takeover.
[00:41:55.267 --> 00:42:14.517]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack Infowars saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[00:42:15.097 --> 00:42:22.282]  And now everything I've warned people about is coming true, because it was all in the Rockefeller Foundation documents, like lockstep.
[00:42:22.282 --> 00:42:25.444]  This is the corporate planetary takeover.
[00:42:25.444 --> 00:42:31.728]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[00:42:31.728 --> 00:42:35.050]  Get your high-quality, storable foods at InfoWareStore.com.
[00:42:35.050 --> 00:42:39.212]  That's one of the key check marks of the check boxes you've got to have checked off.
[00:42:39.212 --> 00:42:41.574]  InfoWareStore.com, and their delivery is now
[00:42:42.094 --> 00:42:43.456]  One to two weeks.
[00:42:43.456 --> 00:42:46.039]  Get it before the next big rush comes.
[00:42:46.039 --> 00:42:46.659]  Take action.
[00:42:46.659 --> 00:42:52.126]  Get the best storable food at the best price now at InfoWarsTore.com and it supports the InfoWar.
[00:42:54.702 --> 00:42:59.864]  Attention, attention, attention to anyone that still wants to live in a free country.
[00:42:59.864 --> 00:43:09.668]  The New World Order, CHICOM, Globalist Syndicate is making its move to implode the dollar and thrust the United States into a civil war by contesting the election.
[00:43:09.668 --> 00:43:13.510]  They are openly wargaming this at the highest levels of the Democratic Party.
[00:43:13.510 --> 00:43:17.912]  Nancy Pelosi and others have gone on television and said they will contest the election.
[00:43:17.912 --> 00:43:18.812]  Trump is going.
[00:43:18.812 --> 00:43:22.914]  They will hold a separate inauguration for Biden and Kamala Harris.
[00:43:23.254 --> 00:43:25.856]  And that anyone challenging that will be called a racist.
[00:43:25.856 --> 00:43:31.460]  They will then trigger race riots and violence they've already beta tested around the country.
[00:43:31.460 --> 00:43:34.122]  We are not living in normal times.
[00:43:34.122 --> 00:43:41.588]  When these type of things happen in history, people are usually caught flat-footed because they can't believe they're living in such a criminal era.
[00:43:41.588 --> 00:43:42.529]  We are.
[00:43:42.529 --> 00:43:48.714]  We are living in the period where this criminal globalist syndicate that's been feeding on America is being exposed and removed.
[00:43:48.714 --> 00:43:52.356]  Now is the time for all good men and women to come to the aid of the country.
[00:43:52.356 --> 00:43:53.077]  Spread the word now.
[00:43:53.237 --> 00:44:07.911]  Well, you were sleeping They came and took it all away
[00:44:24.011 --> 00:44:45.975]  Alright, I'm not ready to cover this topic.
[00:44:45.975 --> 00:44:47.816]  I gotta go rebroadcast.
[00:44:47.816 --> 00:44:52.317]  Um... I gotta go take care of technical stuff around the office anyways.
[00:44:52.317 --> 00:44:53.377]  I may have to just end the show today.
[00:44:54.571 --> 00:44:55.531]  Maybe we'll just do that.
[00:44:55.531 --> 00:44:56.332]  Not a big deal.
[00:44:56.332 --> 00:44:59.133]  I just, I got too many little technicals I gotta deal with.
[00:44:59.133 --> 00:45:03.395]  And I'm very frustrated because I've got work I need to get done here at the office to win the war.
[00:45:03.395 --> 00:45:06.556]  And maybe it's time for me to stop hosting the show.
[00:45:06.556 --> 00:45:12.238]  Because I could be here and get so much done, and get things organized, if I maybe do the show once a week.
[00:45:12.238 --> 00:45:17.901]  Maybe that's the answer to all this, because I really got a lot of work I need to get done.
[00:45:17.901 --> 00:45:20.322]  Okay, we got some really good reports here for everybody.
[00:45:22.372 --> 00:45:29.736]  A lot of really important things for everybody here.
[00:45:29.736 --> 00:45:30.116]  Hmm.
[00:45:30.116 --> 00:45:33.538]  Let's see what we're going to air.
[00:45:33.538 --> 00:45:37.040]  Oh!
[00:45:37.040 --> 00:45:38.461]  Hell, we just need to air a lot of these.
[00:45:38.461 --> 00:45:39.841]  These things all speak for themselves.
[00:45:39.841 --> 00:45:40.742]  You know what I mean?
[00:45:40.742 --> 00:45:45.564]  Let's air clip 15 Tucker Carlson and Josh Hawley.
[00:45:45.564 --> 00:45:48.126]  And then let's go to ticking time bomb.
[00:45:48.126 --> 00:45:51.288]  And then we'll figure out something after that.
[00:45:51.288 --> 00:45:51.708]  Stay with us.
[00:45:53.635 --> 00:46:01.978]  Are we going to see Joe Biden in the next couple of days, after three months of encouraging this violence, tell us that he's against it?
[00:46:01.978 --> 00:46:02.819]  No, of course not.
[00:46:02.819 --> 00:46:10.902]  And the reason is, Tucker, is that the Marxist left, and let's just call it what it is, the Marxist left is essentially in control now of the Democratic Party.
[00:46:10.902 --> 00:46:21.626]  I mean, these are the people who say that America is structurally oppressive, and structurally racist, and structurally evil, and Joe Biden is absolutely enthralled to them.
[00:46:21.786 --> 00:46:28.292]  So this is why he can't come out and condemn what we're seeing right in front of our own eyes, which is the assault on law-abiding Americans.
[00:46:28.292 --> 00:46:32.035]  And it's time for Republicans to stand up clearly and say, enough is enough.
[00:46:32.035 --> 00:46:33.576]  We're not going to be part of this.
[00:46:33.576 --> 00:46:40.202]  We're not going to condone this ideology, this Marxist ideology, and we're going to protect the American people.
[00:46:40.202 --> 00:46:45.727]  It's the first job of government, and it's time that the American people were protected law-abiding citizens.
[00:46:46.207 --> 00:46:47.509]  It is the first job of government.
[00:46:47.509 --> 00:46:48.089]  Amen.
[00:46:48.089 --> 00:46:50.532]  You said that as clearly as I've heard anybody say it.
[00:46:50.532 --> 00:46:53.997]  Are we going to start to see more Republican office holders say what you just said?
[00:46:56.078 --> 00:47:07.584]  Well I sure hope so and I hope that we will send a very clear message as Republicans that this is the job of government and any elected official who has law enforcement responsibility and won't do it needs to resign.
[00:47:07.584 --> 00:47:16.168]  That means these Democrat governors and mayors who are allowing their streets to descend into chaos, allowing workers and their families to be assaulted, they need to resign.
[00:47:16.168 --> 00:47:22.211]  And I would just say that the President of the United States, I'd encourage him to use all lawful means at his authority as he has pledged to do
[00:47:22.731 --> 00:47:25.052]  To protect the American people and every city.
[00:47:25.052 --> 00:47:32.576]  It shouldn't be just because you live in a blue state or you live in a blue city that therefore you are not entitled to the rule of law, the protection of law.
[00:47:32.576 --> 00:47:37.498]  Every American deserves it as an American and it's time that we sent that message loud and clear.
[00:47:37.498 --> 00:47:46.002]  That's exactly right because when government won't protect its citizens you get chaos and 17 year olds with guns start showing up and saying I need to protect the city.
[00:47:46.002 --> 00:47:48.524]  I mean that's what happens when the police disappear.
[00:47:59.739 --> 00:48:02.020]  Understand what's going on around you.
[00:48:02.020 --> 00:48:04.261]  You are in a state of war.
[00:48:04.261 --> 00:48:14.425]  And you have precious little time to save yourself.
[00:48:14.425 --> 00:48:28.651]  It's a slow process, which we call active measures.
[00:48:30.578 --> 00:48:34.040]  The first stage being demoralization.
[00:48:34.040 --> 00:48:38.563]  It takes from 15 to 20 years to demoralize a nation.
[00:48:38.563 --> 00:48:41.585]  The next stage is destabilization.
[00:48:41.585 --> 00:48:43.607]  What matters is essentials.
[00:48:43.607 --> 00:48:48.830]  Economy, foreign relations, defense systems.
[00:48:48.830 --> 00:48:50.692]  The next stage is crisis.
[00:48:50.692 --> 00:48:56.556]  With a violent change of power, structure and economy.
[00:48:56.556 --> 00:48:58.377]  Period of normalization.
[00:48:59.577 --> 00:49:07.006]  This is what will happen in the United States if you allow all these schmucks to put a big, crowded government in Washington, D.C.
[00:49:07.006 --> 00:49:09.029]  We will promise lots of things.
[00:49:09.029 --> 00:49:11.592]  Never mind whether the promises are fulfilled or not.
[00:49:20.845 --> 00:49:25.348]  Folks, this full report is at Bandot Video, and I'm not throwing a fit here on air because of the crew.
[00:49:25.348 --> 00:49:30.131]  I am, I am just in, I am in information complete overload right now.
[00:49:30.131 --> 00:49:49.224]  I mean, I've got so much good news here, I've got so much bad news here, and I've got so much coming in and so much breaking and so much intel that I'm just overwhelmed because we've got all this exciting stuff happening, but I've got to process all this, and then I already had something else planned right now.
[00:49:50.666 --> 00:49:53.068]  And then all the things being put on my desk are incredible.
[00:49:53.068 --> 00:50:03.434]  Because other hosts on other shows who like an hour and maybe 45 minutes of that's air time and it's all pre-programmed, it's teleprompters, they go to this clip, they say that, they read this.
[00:50:03.434 --> 00:50:14.121]  With me, I'm telling them what to do, I'm getting the articles, they're getting the articles, I'm reading these things, I'm reading documents, I'm taking calls from the crew, I'm taking calls from my wife, and I'm not complaining.
[00:50:14.121 --> 00:50:17.663]  I think I need to just start turning my cell phone off when I am
[00:50:19.221 --> 00:50:27.783]  Up here on the air because I hit this max out point now where I just can't do it.
[00:50:27.783 --> 00:50:29.243]  And the show's a good broadcast.
[00:50:29.243 --> 00:50:30.963]  We got 67 days out.
[00:50:30.963 --> 00:50:32.464]  You can cut the suspense with a knife.
[00:50:32.464 --> 00:50:34.864]  We all know it.
[00:50:34.864 --> 00:50:40.885]  I've started this thing the last few months where I have to go to rebroadcast sometime just so I don't start yelling and screaming.
[00:50:40.885 --> 00:50:45.266]  But we have some very good news and some very exciting news and some incredible news.
[00:50:47.466 --> 00:50:56.712]  That if we just package this information right, like this one story that's breaking around the country, it would defeat the whole COVID-19 hoax.
[00:50:56.712 --> 00:51:02.936]  And if people got excited about that, it would stop the post-industrial world and the global collapse and the hell that's coming.
[00:51:02.936 --> 00:51:09.981]  And so, yeah, I don't choke under pressure of giving a speech or the police or, you know, stuff like that.
[00:51:09.981 --> 00:51:10.541]  But I do.
[00:51:11.522 --> 00:51:17.929]  Get overwhelmed of the pressure that if we don't do this just right, we're screwed.
[00:51:17.929 --> 00:51:26.638]  And that's really what I'm trying to get across to everybody is that we're not in the normal times we were before, that we're tumultuous and that we're dangerous and that we're out of control.
[00:51:26.638 --> 00:51:29.460]  I mean, look at this story on InfoWars.com.
[00:51:29.460 --> 00:51:33.725]  Now, again, we already knew about this five months ago, but now it's breaking.
[00:51:35.145 --> 00:51:53.417]  That from Florida, to Texas, to California, to New York, to Michigan, to Pennsylvania, to Ohio, to Arkansas, to everywhere, they purposely did 101, 201, 301 fake COVID positives.
[00:51:53.417 --> 00:51:56.759]  Well, we know if one person has it, they say 15 have it.
[00:51:56.759 --> 00:52:01.782]  So when you hear Trump's taking away stuff from the CDC and not letting them count,
[00:52:04.841 --> 00:52:07.263]  People that have COVID as having COVID, they don't have it!
[00:52:07.263 --> 00:52:19.653]  I mean, this story alone.
[00:52:19.653 --> 00:52:23.136]  And the premeditated evil of this.
[00:52:23.136 --> 00:52:26.378]  Look at this article on InfoWars.com.
[00:52:26.378 --> 00:52:31.162]  Texas County drops from 4,600 active COVID cases to under 100 after audit.
[00:52:36.257 --> 00:52:40.760]  And this is on the local news in Collin County.
[00:52:40.760 --> 00:52:52.327]  But I guarantee you, like the sun came up this morning, if medical doctors come out and talk about this, it'll get banned off YouTube, Facebook, and Twitter faster than you can say, kiss my ass.
[00:52:52.327 --> 00:52:53.388]  All right, I'm gonna go to break.
[00:52:53.388 --> 00:52:56.330]  And then I've got, they've got a criminal investigation, thank God.
[00:52:56.330 --> 00:53:01.894]  The Justice Department has at least opened criminal investigations on these Democrat governors that sent
[00:53:02.717 --> 00:53:08.679]  Infected people with other diseases into nursing homes to kill a bunch of old people to get higher numbers.
[00:53:08.679 --> 00:53:10.980]  Because they had to have some numbers.
[00:53:10.980 --> 00:53:14.041]  Cold-blooded murderers, Cuomo and all the rest of them.
[00:53:14.041 --> 00:53:15.882]  Newsom, just all of them, scum of the earth.
[00:53:15.882 --> 00:53:16.862]  My God.
[00:53:16.862 --> 00:53:17.743]  That's all coming up.
[00:53:17.743 --> 00:53:19.703]  That's big positive news.
[00:53:19.703 --> 00:53:20.804]  I should open the show up with that.
[00:53:23.629 --> 00:53:24.630]  So the pressure's getting to me.
[00:53:24.630 --> 00:53:25.672]  The pressure's getting to everybody.
[00:53:25.672 --> 00:53:26.773]  It's one hell of a time to be alive.
[00:53:26.773 --> 00:53:28.595]  But whatever you do, let's win this fight.
[00:53:28.595 --> 00:53:31.139]  Tell everybody right now about the broadcast.
[00:53:31.139 --> 00:53:38.888]  And I'm going to come back in the next hour and I'm going to nail the secrets to defeating the Globalists and what they're going to move next with if we don't stop them.
[00:53:40.089 --> 00:53:47.072]  And just a basic philosophy that makes my head hurt, but it's really important, intel and information that I know you're already going to recognize and know yourself.
[00:53:47.072 --> 00:53:52.694]  But the key is getting that kernel of knowledge that can grow a mighty oak tree out to everyone else.
[00:53:52.694 --> 00:53:58.236]  And again, support the broadcast, get them Full Wars t-shirts, spread the word, meet like-minded people.
[00:53:58.236 --> 00:54:06.439]  I ran into a fella who came out to the illegal swimming event we had in Austin because the parks were all closed by the criminal mayor, but everyone's ignoring him now.
[00:54:08.180 --> 00:54:15.395]  He said, you know, I was wearing this Infowars t-shirt and these people bought my lunch at the gas station I was buying.
[00:54:16.326 --> 00:54:18.307]  You weren't lying when you said that.
[00:54:18.307 --> 00:54:24.489]  No, you'll probably meet your next best friend, maybe your wife, your husband, or you might get hit in the head with a tire iron.
[00:54:24.489 --> 00:54:27.350]  I told you, go wear an InfoWars shirt out there.
[00:54:27.350 --> 00:54:28.870]  It's quite the adventure.
[00:54:28.870 --> 00:54:31.351]  We got a bunch of them that don't have InfoWars on them if that scares you.
[00:54:31.351 --> 00:54:36.172]  Let me tell you, you need to be watching out you're wearing an InfoWars shirt, because that's a sign you're not a slave of Satan.
[00:54:36.172 --> 00:54:40.674]  That's a sign you're not dead, that you're alive, and the dead don't like the living.
[00:54:44.989 --> 00:54:46.570]  It was a sleeper product.
[00:54:46.570 --> 00:54:51.773]  It wasn't popular at first, but as people tried it, it's become one of our top five bestsellers.
[00:54:51.773 --> 00:54:54.074]  I'm talking about the 8-pack Power Stack.
[00:54:54.074 --> 00:55:01.698]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[00:55:01.698 --> 00:55:03.339]  It's available right now at $60.
[00:55:04.079 --> 00:55:09.921]  We're sent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[00:55:09.921 --> 00:55:12.482]  This has changed my life and so many other people's lives.
[00:55:12.482 --> 00:55:13.402]  Now here's the problem.
[00:55:13.402 --> 00:55:18.904]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[00:55:19.164 --> 00:55:19.704]  We're good to go.
[00:55:46.852 --> 00:55:57.116]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[00:55:57.116 --> 00:55:58.416]  It's amazing.
[00:55:58.416 --> 00:56:02.698]  Well, we set out a few years ago to go out and develop with top
[00:56:03.018 --> 00:56:07.801]  Manufacturers, the strongest, highest quality, purest fish oil out there.
[00:56:07.801 --> 00:56:09.942]  And this blend is amazing.
[00:56:09.942 --> 00:56:13.824]  Ultimate fish oil, back in stock at importandworkshore.com.
[00:56:13.824 --> 00:56:16.605]  Wild anchovy purified fish oil.
[00:56:16.605 --> 00:56:18.867]  Ultra pure Arctic krill oil.
[00:56:18.867 --> 00:56:21.068]  High quality wild caught salmon oil.
[00:56:21.588 --> 00:56:23.430]  You're listening to the Alex Jones Show!
[00:56:57.901 --> 00:57:08.824]  Here's some highlights of last night's powerful war with Owen Schroyer, then I'll be back, giving you an hour of pure excellence, I promise.
[00:57:08.824 --> 00:57:10.385]  This is clear deception.
[00:57:10.385 --> 00:57:10.645]  Yep.
[00:57:10.645 --> 00:57:14.226]  This is clearly an attack on America from the media.
[00:57:14.226 --> 00:57:14.866]  Yep, yep.
[00:57:14.866 --> 00:57:20.408]  It's a technocracy, you know, and the worst part of this technocracy is that the nerds are dumb.
[00:57:20.408 --> 00:57:22.569]  You know, Bill Gates is dumb.
[00:57:22.569 --> 00:57:23.929]  The Who is dumb.
[00:57:24.229 --> 00:57:30.371]  You know, it reminds me that in June or late May, WHO had to end up retracting.
[00:57:30.371 --> 00:57:35.112]  They said that you couldn't make antibodies from the coronavirus.
[00:57:35.112 --> 00:57:38.233]  And then everybody said, OK, well, then how are we supposed to have a vaccine?
[00:57:38.233 --> 00:57:44.435]  And then WHO ended up withdrawing that tweet, withdrawing that letter so that Bill Gates could go out and say, oh, it's coming in four months.
[00:57:44.435 --> 00:57:45.295]  It's coming in two months.
[00:57:45.295 --> 00:57:46.156]  It's coming at the end of the year.
[00:57:46.156 --> 00:57:47.376]  It's coming at the beginning of next year.
[00:57:47.936 --> 00:58:00.776]  And it just seemed a little schizophrenic, and so here we go with the second pass at it, where they're going to throttle us with the science, throw us into a schizophrenic rage, and then we're just going to listen to the technocrats, who again, are crappy nerds.
[00:58:00.776 --> 00:58:03.460]  They don't actually understand what they're talking about.
[00:58:03.840 --> 00:58:06.542]  You'll see, once again, you'll see Rittenhouse running away.
[00:58:06.542 --> 00:58:09.865]  You'll see this guy with the red shirt wrapped around his face, chasing after him.
[00:58:09.865 --> 00:58:17.992]  He throws something, and then you see him basically attack, and at that point, you hear the gunfire, and then Rittenhouse actually runs around the cars and re-enters the frame on the left.
[00:58:17.992 --> 00:58:20.174]  So, let's go to, uh, clip number six now.
[00:58:20.174 --> 00:58:21.354]  This is the first shooting.
[00:58:21.354 --> 00:58:23.716]  I believe this is from BG on the scene, if I'm not mistaken.
[00:58:23.716 --> 00:58:29.041]  So you hear some banging.
[00:58:33.277 --> 00:58:36.359]  And here you see Rittenhouse once again entering from the left.
[00:58:36.359 --> 00:58:37.120]  There he is.
[00:58:37.120 --> 00:58:40.723]  He approaches the man who is now down, having been shot in the head.
[00:58:40.723 --> 00:58:41.423]  He looks at him.
[00:58:41.423 --> 00:58:43.044]  He gets his phone out.
[00:58:43.044 --> 00:58:44.245]  He actually calls 911.
[00:58:44.245 --> 00:58:46.367]  And as he's running away, it's very faint.
[00:58:46.367 --> 00:58:49.169]  You can actually hear him say, I just shot somebody.
[00:58:49.169 --> 00:58:54.473]  We're thinking that he called 911, which is the proper thing to do if you are in a shootout.
[00:58:54.473 --> 00:58:59.737]  As a legal gun owner, the first thing you do is call the police and let them know what happened and let them know you're not a threat.
[00:58:59.737 --> 00:59:00.518]  I'll tell you right now.
[00:59:01.218 --> 00:59:06.026]  And I've been saying it for a long, long time, and I wonder if anyone in D.C.
[00:59:06.026 --> 00:59:12.876]  is ever gonna pull their head out of their inflated ass.
[00:59:12.876 --> 00:59:13.918]  Cut the head off the snake.
[00:59:18.430 --> 00:59:22.991]  I don't know what you gotta do to get rid of this mainstream media propaganda.
[00:59:22.991 --> 00:59:28.172]  I don't know what you gotta do to stop the Black Lives Matter and Antifa riot mobs.
[00:59:28.172 --> 00:59:33.434]  I don't know what you gotta do to bring down this Democrat terrorist hate group cabal.
[00:59:33.434 --> 00:59:36.854]  I don't know what you gotta do to stop Soros from funding all of it.
[00:59:36.854 --> 00:59:44.556]  I don't know what you gotta do to remove all of Obama's judges off the bench and all of Soros' lawyers off of the bench.
[00:59:44.556 --> 00:59:46.117]  But you better do it.
[00:59:46.117 --> 00:59:47.197]  And you better do it fast.
[00:59:48.712 --> 00:59:50.513]  Real fast.
[00:59:50.513 --> 00:59:53.755]  Otherwise, all this stuff about, oh, the best is yet to come.
[00:59:53.755 --> 01:00:03.941]  Well, unless you have a bloodlust for death in the streets, then no, no, the best is not yet to come.
[01:00:03.941 --> 01:00:05.802]  So with that, we go out to your phone calls.
[01:00:05.802 --> 01:00:07.083]  You'll get two minutes max.
[01:00:15.768 --> 01:00:17.790]  Yeah, he even is tolerant there.
[01:00:17.790 --> 01:00:20.312]  He's getting attacked and he doesn't even fire yet.
[01:00:20.312 --> 01:00:23.474]  Now he's falling.
[01:00:23.474 --> 01:00:25.076]  There's the first shot.
[01:00:25.076 --> 01:00:27.698]  There's the second.
[01:00:27.698 --> 01:00:32.082]  The third.
[01:00:32.082 --> 01:00:35.985]  And he gets up and continues to calmly
[01:00:36.801 --> 01:00:39.624]  Walk away of your other gunfire ring out now.
[01:00:39.624 --> 01:00:42.267]  We're not even sure where that's coming from.
[01:00:42.267 --> 01:00:51.238]  And this clip actually continues as Kyle Rittenhouse runs to the police and you actually see him basically attempt to turn himself in at the end of this clip.
[01:00:51.238 --> 01:00:53.921]  He's walking towards the police there that are now approaching the scene.
[01:00:53.921 --> 01:00:55.423]  They've been alerted that somebody's been shot.
[01:00:56.163 --> 01:01:06.070]  And the EMS and police are rushing in like they always do, like they are paid to do, like, you know, is a prerequisite for having any sort of civilization.
[01:01:06.070 --> 01:01:14.836]  The police, the authority who have been endowed with the monopoly on violence in order to quell unrest just like this, they are now rushing towards the scene.
[01:01:14.836 --> 01:01:17.838]  You see Kyle Rittenhouse approaching with his hands up.
[01:01:17.838 --> 01:01:20.320]  Here's the slow motion of that second shooting event.
[01:01:20.320 --> 01:01:24.043]  Here's his slow-mo.
[01:01:25.546 --> 01:01:27.747]  You see somebody try to jump on him to attack him.
[01:01:27.747 --> 01:01:28.428]  He gets shot.
[01:01:28.428 --> 01:01:30.729]  You see somebody else hit him in the head with a skateboard.
[01:01:30.729 --> 01:01:31.870]  He is shot.
[01:01:31.870 --> 01:01:37.233]  Now there's a brief moment where this guy pauses and then attacks.
[01:01:37.233 --> 01:01:50.281]  Now it's hard to see in this video, but we'll show you with these still images that last person to attack was holding a pistol at the time and was mere, um, you know... This is some of the excellent reporting you get on The War Room.
[01:01:50.281 --> 01:01:51.181]  It's amazing.
[01:01:51.181 --> 01:01:51.482]  3 p.m.
[01:01:51.482 --> 01:01:51.842]  Central.
[01:02:00.282 --> 01:02:16.255]  It's the march of the United Nations and the Bill and Melinda Gates Foundation coming with their battle plan, psychological warfare operation with the forced inoculations and the permanent lockdown of civilization and society.
[01:02:16.255 --> 01:02:19.858]  They're outlawing people being able to get colds or the flu.
[01:02:19.858 --> 01:02:23.321]  They're creating artificial phobias for normal death that takes place.
[01:02:23.321 --> 01:02:25.623]  They're not even promising to have a cure to it all.
[01:02:25.623 --> 01:02:26.543]  They're just inflicting
[01:02:27.384 --> 01:02:39.529]  New phobias on everyone to bring in their planetary regime directed by the WHO with vaccines that actually change your DNA and make you owned by Microsoft.
[01:02:39.529 --> 01:02:41.850]  It's a final frontier.
[01:02:41.850 --> 01:02:44.532]  It's the year 2020.
[01:02:44.532 --> 01:02:46.653]  It's not coming.
[01:02:46.653 --> 01:02:47.693]  It's here.
[01:02:47.693 --> 01:02:49.514]  And submission is blood in the water.
[01:03:03.055 --> 01:03:06.397]  Never before have I turned on you, you look too good to be.
[01:03:06.397 --> 01:03:10.600]  Your media take a crap in too, and I just can't let you be.
[01:03:10.600 --> 01:03:16.404]  But it's a free for all, and I've heard it said, you can't bet your life.
[01:03:16.404 --> 01:03:20.247]  Stakes are high, and so am I, it's in the air tonight.
[01:03:29.341 --> 01:03:34.763]  All right, this can't be done in one show or one segment, but I'm gonna give it a shot.
[01:03:34.763 --> 01:03:35.823]  I'm your host, Alex Jones.
[01:03:35.823 --> 01:03:39.004]  We're now in the second hour.
[01:03:39.004 --> 01:03:40.184]  We have some special guests coming up.
[01:03:40.184 --> 01:03:43.486]  I'll tell you about one in studio, but let me just start now.
[01:03:43.486 --> 01:03:53.989]  We can look at the world and take each event on its own and just address it in a one-dimensional fashion, or we can look what has led to that.
[01:03:56.072 --> 01:04:09.338]  And obviously Hollywood, the Chinese, the communists that own most of it have financed the race riots, the breakdown of civilization with all the purge movies and all the hunt movies.
[01:04:09.338 --> 01:04:14.441]  But it's not conservatives that are hunting the innocent liberals.
[01:04:14.441 --> 01:04:16.822]  That was in all the earlier purges.
[01:04:16.822 --> 01:04:20.584]  Then the new movies came out where the left hunts the right wing.
[01:04:23.055 --> 01:04:29.960]  That's all just a tiny microcosm of being two-dimensional.
[01:04:29.960 --> 01:04:42.991]  Seeing the pre-programming for race war in hundreds of shows, hundreds of movies, tens of thousands of news articles, and then going, gee, I wonder why they're pushing that.
[01:04:42.991 --> 01:04:52.178]  And then you can read WikiLeaks white papers, you can read documents, you can see statements by the communists and by the globalists and by the shy comms admitting they plan to break our country up.
[01:04:53.220 --> 01:05:15.963]  And it all culminated with the Joker, early this year, which showed rioting and killing police and burning everything down and how beautiful and wonderful it is, to put out the green light to all the child molesters and all the meth heads and all the devil worshippers to go out and go crazy and try to get black people to go along with it.
[01:05:16.843 --> 01:05:20.145]  And look, if it was just black people doing this or leading it, I'd say it.
[01:05:20.145 --> 01:05:24.227]  There's a lot of black folks involved, but they're mainly young and dumb.
[01:05:24.227 --> 01:05:28.510]  It's led by really trashy white people and then academics above them.
[01:05:28.510 --> 01:05:32.132]  So I said I'd come into this segment and give you solutions to the big enchilada.
[01:05:32.132 --> 01:05:43.258]  Well, first off, people need to realize that being aware and being informed and being engaged is not work.
[01:05:45.396 --> 01:05:47.677]  It is building your mental muscles.
[01:05:47.677 --> 01:05:50.697]  It's making neuron neural connections.
[01:05:50.697 --> 01:06:05.040]  That you're an active person in the world that's affecting your destiny and others, not a receiver, not a jellyfish, not a potted plant that doesn't control its own destiny.
[01:06:05.040 --> 01:06:07.221]  And so first you have to decide that you have a destiny.
[01:06:09.807 --> 01:06:23.158]  And then you have to get knowledge and history and understanding and then you have to really think about what is the nature of the world and discover that there's good versus evil and that's a constant and it's a law of the universe.
[01:06:23.158 --> 01:06:31.785]  And then you have to decide that you do have a soul and that you're an electrical being of energy.
[01:06:31.785 --> 01:06:38.130]  Not a white person, not a black person, not an old person, not a young person, but a transcendent.
[01:06:40.694 --> 01:06:44.175]  Creation made in the image of God and the enemy knows that and doesn't like that.
[01:06:44.175 --> 01:06:52.397]  So you have to love yourself because you love God and God made you.
[01:06:52.397 --> 01:07:00.240]  But you have to hate the part of you that is not closest to God to recognize that you have to choose who you serve.
[01:07:00.240 --> 01:07:01.600]  Serve God, serve yourself.
[01:07:04.451 --> 01:07:23.207]  So there's all these books about self-help and all these different ideas and I quite frankly I haven't read it hardly any of them I've scanned over them and it's regurgitation of three or four different old philosophies and a lot of it's true a lot of it's not but if you're a leader here's an example if you're a leader
[01:07:27.176 --> 01:07:32.858]  Are you a leader leading people according to the orthodoxy or according to a particular system?
[01:07:32.858 --> 01:07:34.359]  Are you a good manager?
[01:07:34.359 --> 01:07:38.240]  Are you a good priest of whatever order it is you're pushing?
[01:07:38.240 --> 01:07:53.006]  Did you originate by a direct connection to God and in God's universe, the prime directive, or was it some filtered system of man, another knowledge of evil fallen system?
[01:07:55.834 --> 01:07:57.015]  And so that's the beginning of it.
[01:07:57.015 --> 01:08:00.797]  Are you a leader leading people in someone else's philosophy?
[01:08:00.797 --> 01:08:19.849]  Or are you a leader seeking the truth using God's discernment, God's spirit through you to gain greater knowledge of the universe to help others and help yourself build a wider, greater, purer, more beautiful, enlightened, open system?
[01:08:23.561 --> 01:08:29.003]  But to do that, you're not just going to have to focus on God's guidance.
[01:08:29.003 --> 01:08:33.844]  You're going to have to face the darkness and realize what it is.
[01:08:33.844 --> 01:08:39.806]  Because to know God and to know the light is to also know Satan.
