[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[00:41:20.760 --> 00:41:24.262]  With Band.Video, redesigned InfoWars, with all of our great crew,
[00:41:24.742 --> 00:41:30.683]  With documentary films and 10 hours of live radio and TV a day.
[00:41:30.683 --> 00:41:32.024]  We are the resistance.
[00:41:32.024 --> 00:41:32.924]  You are the resistance.
[00:41:32.924 --> 00:41:43.006]  So remember this arsenal of freedom is waiting for you to continue to spread the word about it and to continue for you to support because this is something we built together.
[00:41:43.006 --> 00:41:44.327]  It's not just a national treasure.
[00:41:44.327 --> 00:41:48.788]  It's a treasure worldwide against the tyrants and they know it and they can't stand it.
[00:41:48.788 --> 00:41:52.429]  And as everything we talked about comes true, our credibility only goes up together.
[00:41:52.429 --> 00:41:53.329]  So I salute you all.
[00:41:55.000 --> 00:41:58.362]  Are you sick and tired of your calm, peaceful life?
[00:41:58.362 --> 00:42:00.343]  Are you sleeping too well at night?
[00:42:00.343 --> 00:42:04.065]  Is your city too safe?
[00:42:04.065 --> 00:42:05.807]  Well, not anymore!
[00:42:05.807 --> 00:42:08.228]  Introducing... Democrats!
[00:42:08.228 --> 00:42:12.511]  Politicians so incompetent, they'll fill your neighborhood with riots!
[00:42:12.511 --> 00:42:12.831]  Looting!
[00:42:13.929 --> 00:42:17.171]  Rampant violence and even homelessness.
[00:42:17.171 --> 00:42:22.194]  The secret is a special blend of corruption and good old-fashioned stupidity.
[00:42:22.194 --> 00:42:24.575]  No more pesky law and order.
[00:42:24.575 --> 00:42:27.077]  When Democrats are in charge, nobody's safe.
[00:42:28.308 --> 00:42:33.651]  Simply vote for Democrats, sit back, and watch your neighborhood burn to the ground!
[00:42:33.651 --> 00:42:34.411]  But wait!
[00:42:34.411 --> 00:42:43.435]  Vote for Democrats now and they'll include rolling blackouts, election fraud, cancel culture, taxes, and more taxes!
[00:42:43.435 --> 00:42:46.497]  Democrats, bringing chaos right to your front door!
[00:42:55.882 --> 00:42:58.363]  2020ElectionsCenter.com.
[00:42:58.363 --> 00:43:01.063]  Just type it in one time, and you've got it saved right there in your browser.
[00:43:01.063 --> 00:43:15.346]  And then you can share it on Twitter, Facebook, YouTube, Apple platforms, and most importantly, via text message, email, or by word of mouth, because they have banned the links to banned.video.
[00:43:15.346 --> 00:43:23.888]  But 2020ElectionsCenter.com is a clone of the site, the exact same links, the exact same videos, where you can comment, you can share them, everything.
[00:43:23.888 --> 00:43:24.428]  The system
[00:43:25.228 --> 00:43:26.369]  Oh, that really upsets him.
[00:43:26.369 --> 00:43:26.709]  Oh, yeah.
[00:43:58.300 --> 00:44:00.904]  You're listening to The Alex Jones Show.
[00:44:30.959 --> 00:44:37.360]  Ladies and gentlemen, I am your host, Alex Jones, and we are back live.
[00:44:37.360 --> 00:44:56.904]  I've got two stories I want to cover right now that illustrate the left and their wannabe gaslighting, and how they try to convince us to deny our eyes, deny our ears, deny our noses, our touch, our sixth sense, our discernment, our connection to God, our everything, and just believe their lies.
[00:44:59.172 --> 00:45:00.453]  There's several of these.
[00:45:00.453 --> 00:45:05.238]  One of them I'll get to in a moment is, remember Nadler?
[00:45:05.238 --> 00:45:09.943]  The little globalist penguin-like creature?
[00:45:09.943 --> 00:45:16.649]  And I don't want to insult actual penguins, aquatic birds, I mean, like the Batman villain, Penguin.
[00:45:16.649 --> 00:45:19.872]  Remember him saying Antifa is a myth, it doesn't exist?
[00:45:19.872 --> 00:45:22.075]  Well, now the New York Times has come out
[00:45:23.424 --> 00:45:24.746]  We're good to go.
[00:45:44.189 --> 00:45:45.630]  They're not burning down police stations.
[00:45:45.630 --> 00:45:48.293]  They're not firebombing federal buildings.
[00:45:48.293 --> 00:45:53.799]  They didn't attack and beat out the windows of our armored vehicle a few months ago in Austin.
[00:45:53.799 --> 00:45:58.023]  They didn't beat up Savannah Hernandez three times.
[00:45:58.023 --> 00:46:00.586]  No.
[00:46:00.586 --> 00:46:01.767]  They do not exist.
[00:46:01.767 --> 00:46:06.151]  The New York Times and Congressman Nadler say so.
[00:46:06.151 --> 00:46:06.772]  So that's coming up.
[00:46:08.567 --> 00:46:10.069]  I thought I'd hit this article.
[00:46:10.069 --> 00:46:11.590]  It's up on Infowars.com.
[00:46:11.590 --> 00:46:12.351]  The full interview is there.
[00:46:12.351 --> 00:46:13.913]  I'll just play a short clip.
[00:46:13.913 --> 00:46:20.280]  Sex Pistols Johnny Rotten says, of course I'm voting for Trump because he's a rebel.
[00:46:20.280 --> 00:46:22.702]  You can see the whole system's against Trump.
[00:46:22.702 --> 00:46:27.868]  He goes on to say that Biden is obviously senile, has dementia.
[00:46:27.868 --> 00:46:29.450]  He goes, my wife has Alzheimer's.
[00:46:29.450 --> 00:46:30.271]  I know what it looks like.
[00:46:31.343 --> 00:46:32.644]  He doesn't know where he is sometimes.
[00:46:32.644 --> 00:46:34.205]  He's out of his mind.
[00:46:34.205 --> 00:46:41.291]  And the media says back to Johnny Rotten, oh, how do you know you're not a doctor?
[00:46:41.291 --> 00:46:45.754]  Well, that's like saying if a cobra bites you, you don't know to go to a doctor.
[00:46:45.754 --> 00:46:47.556]  Or it's like saying, oh, you're not a mechanic.
[00:46:47.556 --> 00:46:51.499]  You don't know how to know when your car overheated and the radiator blows up.
[00:46:51.499 --> 00:46:53.820]  It's ridiculous.
[00:46:53.820 --> 00:46:56.703]  You know when people have dementia.
[00:46:56.703 --> 00:46:58.024]  You know when you have Alzheimer's.
[00:46:59.068 --> 00:47:03.670]  And as bad off as Joe is, I'd say you won't know who he is in a year or two.
[00:47:03.670 --> 00:47:07.111]  This all started two years ago when we said he's cognitively slipping.
[00:47:07.111 --> 00:47:09.132]  They had fact checkers and PolitiFact.
[00:47:09.132 --> 00:47:10.772]  Oh, Jones is crazy.
[00:47:10.772 --> 00:47:11.933]  Biden is super smart.
[00:47:11.933 --> 00:47:12.693]  He's all there.
[00:47:12.693 --> 00:47:14.834]  Jones is even more banned on Facebook.
[00:47:14.834 --> 00:47:18.415]  You can't even say nice things about Jones now or you'll be banned.
[00:47:18.415 --> 00:47:23.517]  He's not just banned, but saying nice things about his ban because he says Biden looks like he had another stroke.
[00:47:25.691 --> 00:47:27.794]  Then they fact-checked, he's not out of stroke.
[00:47:27.794 --> 00:47:30.317]  I said, looks like he's out of stroke.
[00:47:30.317 --> 00:47:38.106]  I got another big USA Today fact-check where Jones says doctors are trying to kill Trump at Walter Reed.
[00:47:38.106 --> 00:47:43.593]  I said they're either trying to kill him or they're idiots because all these scientists say you don't want to cross these true experimental drugs.
[00:47:44.810 --> 00:47:46.311]  Rendezvir and up is dangerous.
[00:47:46.311 --> 00:47:47.651]  It's a figure of speech.
[00:47:47.651 --> 00:47:49.152]  Thank God the President's okay.
[00:47:49.152 --> 00:47:53.834]  But in the report I said either they're trying to kill him or they're idiots.
[00:47:53.834 --> 00:47:57.596]  Later we learned Trump demanded it be done, which they really are idiots.
[00:47:57.596 --> 00:48:00.497]  I love the President, but my God!
[00:48:00.497 --> 00:48:06.220]  Just because your patient is heroic doesn't mean, you know, that you want experimental treatments even though they're dangerous.
[00:48:06.220 --> 00:48:10.021]  So again, they misrepresent what you've said to then fact-check it and say it's wrong.
[00:48:10.021 --> 00:48:11.162]  But I'm digressing.
[00:48:12.827 --> 00:48:15.408]  Here's what Sex Pistols Johnny Rotten had to say.
[00:48:15.408 --> 00:48:16.829]  They're like, how dare you?
[00:48:16.829 --> 00:48:19.290]  He could win a spelling bee.
[00:48:19.290 --> 00:48:22.092]  Wow, he's got the mind of a 20-year-old genius.
[00:48:22.092 --> 00:48:23.993]  I mean, Joe Biden's perfectly fine.
[00:48:23.993 --> 00:48:25.714]  Here it is.
[00:48:25.714 --> 00:48:35.159]  Tax hikes beyond belief, more lockdowns, more confusion, more bureaucracy, and less answers.
[00:48:35.159 --> 00:48:37.720]  You're thinking of voting Republican or not at all?
[00:48:37.720 --> 00:48:38.781]  Yes, I am.
[00:48:38.781 --> 00:48:40.361]  No, I'm going to definitely.
[00:48:40.361 --> 00:48:41.022]  For Donald Trump?
[00:48:42.198 --> 00:48:45.261]  I have seen what Democrats have done to California.
[00:48:45.261 --> 00:48:47.122]  They have destroyed this place.
[00:48:47.122 --> 00:48:50.705]  Quite hard to imagine John Lydon voting for Donald Trump.
[00:48:50.705 --> 00:48:51.145]  I don't know.
[00:48:51.145 --> 00:48:52.526]  Many people might think that.
[00:48:52.526 --> 00:48:54.348]  Well, he's an individual thinker.
[00:48:54.348 --> 00:48:55.989]  I'll give him that for a start.
[00:48:55.989 --> 00:48:59.131]  He's not the most lovable fella on God's Earth.
[00:48:59.131 --> 00:49:05.656]  But I cannot see the opposition as offering me anything by way of a solution.
[00:49:05.656 --> 00:49:06.737]  Joe Biden is...
[00:49:08.198 --> 00:49:12.280]  In all practicality, senile and delinquently.
[00:49:12.280 --> 00:49:15.001]  And in the full clip they go, you can't say that, you're not a doctor.
[00:49:15.001 --> 00:49:22.043]  If he can't talk and doesn't know what planet he's on, you have a right to an opinion that you're not going to vote for him because you look like he's senile.
[00:49:22.043 --> 00:49:25.305]  But now they're fact-checking Johnny Rotten.
[00:49:25.305 --> 00:49:29.246]  They've in fact checked satire now.
[00:49:29.246 --> 00:49:31.147]  Unbelievable.
[00:49:31.147 --> 00:49:34.268]  So speaking of that, do you remember again,
[00:49:38.288 --> 00:49:41.870]  Congressman Nadler saying that Antifa doesn't exist.
[00:49:41.870 --> 00:49:42.350]  It's a myth.
[00:49:42.350 --> 00:49:44.532]  Here it is.
[00:49:44.532 --> 00:49:45.692]  There's violence across the whole country.
[00:49:45.692 --> 00:49:49.635]  Do you disavow the violence from Antifa that's happening in Portland right now?
[00:49:49.635 --> 00:49:53.897]  That's a myth that's being spread only in Washington, D.C.
[00:49:53.897 --> 00:49:55.138]  About Antifa in Portland?
[00:49:55.138 --> 00:49:55.618]  Yes.
[00:49:55.618 --> 00:49:57.420]  Sir, there's videos everywhere online.
[00:49:57.420 --> 00:49:58.700]  There's fires and riots.
[00:49:58.700 --> 00:50:02.162]  They're throwing fireworks at federal officers.
[00:50:02.162 --> 00:50:03.703]  DHS is there.
[00:50:03.703 --> 00:50:04.724]  Look online.
[00:50:04.724 --> 00:50:06.025]  It gets crazy, Mr. Nadler.
[00:50:10.509 --> 00:50:12.029]  Okay, so that was a couple months ago.
[00:50:12.029 --> 00:50:14.810]  Here's the New York Times article.
[00:50:14.810 --> 00:50:16.731]  And again, they've recycled these.
[00:50:16.731 --> 00:50:20.652]  But, help me find Trump's anarchists in Portland.
[00:50:20.652 --> 00:50:24.573]  And this is an article from back in July, but they've got similar ones out right now.
[00:50:24.573 --> 00:50:26.374]  Saying the exact same thing, it doesn't exist.
[00:50:26.374 --> 00:50:27.915]  How foolish they are.
[00:50:27.915 --> 00:50:29.915]  How dumb they think we are.
[00:50:29.915 --> 00:50:35.377]  And now happening today, rioters topple Abraham Lincoln, Teddy Roosevelt statues in Portland.
[00:50:37.005 --> 00:50:39.047]  But Abraham Lincoln helped end slavery.
[00:50:39.047 --> 00:50:39.868]  They don't know.
[00:50:39.868 --> 00:50:40.768]  It's an old white dude.
[00:50:40.768 --> 00:50:41.769]  Get rid of him.
[00:50:41.769 --> 00:50:48.155]  Meanwhile, Utah high school student bullied, spat on for wearing a hat in support of President Trump.
[00:50:48.155 --> 00:50:51.258]  KUTV.
[00:50:51.258 --> 00:50:57.904]  On Infowars.com, Swedish student banned from wearing Christian cross for school photograph because it might upset the Muslims.
[00:50:57.904 --> 00:50:59.845]  See, you don't have rights.
[00:50:59.845 --> 00:51:02.268]  Everybody else does, but if you're a Christian, you don't.
[00:51:03.919 --> 00:51:10.285]  Meanwhile, City of Denver accused shooter, hell, he's on video, Matthew Doloff is not licensed to be a security guard.
[00:51:10.285 --> 00:51:14.268]  So you have Channel 9 goon executing an unarmed man.
[00:51:14.268 --> 00:51:17.711]  And the left is, of course, celebrating that as well.
[00:51:17.711 --> 00:51:20.654]  Coming up on election night, we already told you this months ago, but now it's official.
[00:51:20.654 --> 00:51:27.540]  Twitter, Facebook, along with Google, they don't mention that here, will censor election-related posts saying Trump has won the election.
[00:51:27.540 --> 00:51:29.802]  They're saying they will not allow him to declare a victory.
[00:51:31.007 --> 00:51:32.729]  Even if he's right or wrong, he has a right to declare it.
[00:51:32.729 --> 00:51:38.716]  But nope, he is not allowed to do that, they say.
[00:51:38.716 --> 00:51:41.599]  So that's all coming up.
[00:51:41.599 --> 00:51:42.781]  Now I want to give the number out.
[00:51:42.781 --> 00:51:45.944]  I want to take your phone calls in hour number two.
[00:51:47.259 --> 00:51:55.643]  First-time callers, people that agree, disagree, we don't screen your calls, only that you have a good phone and that you tell us where you're calling from if you'd like.
[00:51:55.643 --> 00:51:56.803]  Or you don't have to.
[00:51:56.803 --> 00:51:58.624]  So we don't screen your calls.
[00:51:58.624 --> 00:51:59.725]  The toll-free number to join us is 877-789-2539, 877.
[00:52:03.251 --> 00:52:03.391]  789-2539-877789.
[00:52:03.391 --> 00:52:06.192]  Alex, and if you're in a foreign country, and I won't let you dial the 1-800 number sometimes, the U.S.
[00:52:06.192 --> 00:52:07.612]  Country Access Code is 512-646-1776.
[00:52:07.612 --> 00:52:08.172]  512-646-1776 or 877-789-ALEX.
[00:52:08.172 --> 00:52:08.512]  All right.
[00:52:08.512 --> 00:52:12.813]  All right, this has been in for a month, and it's incredible, and I'm very excited about it.
[00:52:30.643 --> 00:52:32.664]  And I've been so busy, I haven't even launched it.
[00:52:32.664 --> 00:52:46.591]  We have a limited supply of it, and despite that, it is discounted 50% out of the gates because I want you to get it, and I want to move it out of our warehouse in case Trump loses and they arrest me and shut everything down, which, believe me, they're trying to do.
[00:52:46.591 --> 00:52:49.952]  Though we just got some news today that it's not as desperate as it was.
[00:52:49.952 --> 00:52:50.792]  It's very good news.
[00:52:50.792 --> 00:52:52.933]  I'm not going to get into it yet.
[00:52:52.933 --> 00:52:55.275]  A lot of good news, we thank God, certainly, for that.
[00:52:57.190 --> 00:53:02.855]  Experience the surface cleaning power of InfoWars Life Nascent Iodine Spray.
[00:53:02.855 --> 00:53:06.739]  This is not like the X2 spray that you ingest but helps aerosolize it.
[00:53:08.740 --> 00:53:12.122]  Into your throat, into your mouth, down into your bronchioles.
[00:53:12.122 --> 00:53:19.386]  This is super strong type of iodine that is not for anything but hard surfaces.
[00:53:19.386 --> 00:53:25.029]  Pots, pans, countertops, marble, not for your skin, not for your furniture.
[00:53:25.029 --> 00:53:31.112]  This is super industrial level strength.
[00:53:31.112 --> 00:53:34.574]  Nascent iodine mixed with another very strong type of iodine.
[00:53:34.574 --> 00:53:35.614]  Go read about it for yourself.
[00:53:35.614 --> 00:53:36.675]  It's massively discounted.
[00:53:37.811 --> 00:53:41.515]  50% off out of the gates at infowarestore.com.
[00:53:41.515 --> 00:53:54.767]  We're going to end this big mega sale in seven days because we've almost sold out of all of our best-selling items, many of which we didn't even reorder because the supply chain's broken down, and or we wanted to see how much capital we could get in to budget the future.
[00:53:54.767 --> 00:54:01.314]  But you've really supported us, so we're going to have enough money, it looks like, to be able to order a lot of the best-selling products and reorder them and have them by next year.
[00:54:01.894 --> 00:54:13.606]  But a lot of the best-selling products, like the Fish Oil, like the X2, like the X3, like the DNA Force Plus, like the Winter Sun, Vazo Beats, Knockout, 8-Pack Power Stack will never be back.
[00:54:13.606 --> 00:54:15.788]  It's about to sell out within a matter of days.
[00:54:15.788 --> 00:54:17.490]  Infowarsstore.com or 888-253-3139.
[00:54:17.490 --> 00:54:18.191]  But the new
[00:54:23.456 --> 00:54:32.802]  Nascent Ionide Surface Spray High-Powered Cleaning Agent that annihilates basically everything is available now at InfoWarscore.com.
[00:54:32.802 --> 00:54:38.646]  And then we have the new, again, X2 Spray that's for internal that's X2 with a spray bottle.
[00:54:38.646 --> 00:54:39.727]  That's discounted, too.
[00:54:39.727 --> 00:54:43.890]  Now, it's selling out at InfoWarscore.com.
[00:54:43.890 --> 00:54:45.471]  The answer to 1984 is 1776.
[00:54:58.442 --> 00:55:02.785]  InfoWars has been banned.
[00:55:02.785 --> 00:55:06.708]  Arrested.
[00:55:06.708 --> 00:55:09.489]  Attacked and threatened.
[00:55:09.489 --> 00:55:12.812]  Because we are effective.
[00:55:12.812 --> 00:55:14.633]  The Great Awakening is here.
[00:55:14.633 --> 00:55:16.274]  Go to Banned.Video.
[00:55:16.274 --> 00:55:21.037]  Download the videos and share.
[00:55:21.037 --> 00:55:24.719]  Support the Information War at InfoWarStore.com.
[00:55:28.340 --> 00:55:30.262]  And never give up the fight!
[00:55:30.262 --> 00:55:39.570]  InfoWars.com
[00:55:45.845 --> 00:55:56.811]  In fiction, supervillains are known as supervillains because they have gigantic, huge, global plans that are incredibly well thought out and incredibly complex.
[00:55:56.811 --> 00:56:01.614]  And if I'd have told you a year ago, back in October of 2019, that a powerful billionaire
[00:56:01.834 --> 00:56:02.674]  You tell me that's crazy.
[00:56:02.674 --> 00:56:03.815]  You tell me that's a dystopia.
[00:56:03.815 --> 00:56:05.996]  You tell me that's some type of science fiction comic book.
[00:56:26.844 --> 00:56:28.806]  But in reality, it really did happen.
[00:56:28.806 --> 00:56:36.713]  His name is Bill Gates and he's the head of a major eugenics consortium that his father and mother set up more than 60 years ago.
[00:56:36.713 --> 00:56:39.896]  And we're living in this world Bill Gates has built.
[00:56:39.896 --> 00:56:42.398]  Until we start saying no, we are Bill Gates's property.
[00:56:42.398 --> 00:56:47.722]  It's time to expose Bill Gates.
[00:56:47.722 --> 00:56:50.345]  You're listening to the Alex Jones Show.
[00:56:52.332 --> 00:56:59.235]  Democracy of Democrat Michigan Governor Whitmer's executive orders have become an exercise of infamous tyranny.
[00:56:59.235 --> 00:57:05.378]  Governor Gretchen Whitmer says her husband tried to make a joke, but her critics are not laughing tonight.
[00:57:05.378 --> 00:57:09.519]  They latched on to what some interpreted as a power play amid the pandemic.
[00:57:09.519 --> 00:57:14.722]  My husband made a failed attempt at humor last week, knowing it wouldn't make a difference.
[00:57:15.322 --> 00:57:19.804]  He jokingly asks if being married to me might move him up in the queue.
[00:57:19.804 --> 00:57:28.629]  Over the past couple of months we have seen an explosion of rampant rumors and violent death threats against my family and me online.
[00:57:28.629 --> 00:57:32.130]  Because of that, I'm not going to get into the business of refuting and
[00:57:33.992 --> 00:57:44.388]  Discussing every aspect of my whereabouts or dispelling every inaccurate statement or post.
[00:57:44.388 --> 00:57:46.472]  Because frankly, there's just too many to keep up with.
[00:57:47.355 --> 00:57:59.645]  No one likes having to stay home right now and not being able to visit loved ones, but four people, including three from right here in Oakland County, argue the governor's extended stay-at-home order is not only inconvenient, it's unconstitutional.
[00:57:59.645 --> 00:58:09.854]  The lawsuit, seeking relief under the 5th and 14th amendments, claims Governor Whitmer's executive order unfairly infringes on their rights to associate with friends and family and utilize their private property.
[00:58:10.234 --> 00:58:17.579]  We believe what the governor has done with her orders is overbroad and overreaching.
[00:58:17.579 --> 00:58:19.100]  Taking a sledgehammer to an ant.
[00:58:19.100 --> 00:58:24.083]  Resulting in a lockdown protest so overwhelming, Whitmer just had to react.
[00:58:24.083 --> 00:58:34.210]  A small group of people that came together without masks on, brandishing their weapons, who were having posters of being anti-choice.
[00:58:34.210 --> 00:58:35.871]  I mean, this was a political rally.
[00:58:36.431 --> 00:58:44.472]  I feel that they are overreaching, overreacting, and crushing our small businesses, crushing our economy.
[00:58:44.472 --> 00:58:50.993]  And what brought me out here is I'm a small business owner, and she's putting me out of business.
[00:58:50.993 --> 00:59:00.935]  It was only a matter of time before her hubris-riddled occupancy of the Michigan governor's mansion would be flipped on its head by the Democrats' white supremacist narrative.
[00:59:00.935 --> 00:59:05.276]  Planned to kidnap Michigan Governor Gretchen Whitmer, and then what they were planning to do to her.
[00:59:05.956 --> 00:59:11.398]  Thirteen suspects arrested, including seven alleged members of a right-wing militia group.
[00:59:11.398 --> 00:59:15.680]  The FBI and state authorities conducting a series of raids in Michigan.
[00:59:15.680 --> 00:59:21.042]  Those 13 suspects taken into custody, seven of them alleged members of that right-wing militia group.
[00:59:21.042 --> 00:59:21.942]  Today, Governor Whitmer.
[00:59:22.182 --> 00:59:22.462]  Thank you.
[00:59:36.604 --> 00:59:47.987]  Just last week, the President of the United States stood before the American people and refused to condemn white supremacists and hate groups like these two Michigan militia groups.
[00:59:47.987 --> 01:00:03.872]  Our head of state has spent the past seven months denying science, ignoring his own health experts, stoking distrust, fomenting anger, and giving comfort to those who spread fear and hatred and division.
[01:00:04.827 --> 01:00:09.070]  He went on to say that they're very good people on both sides again.
[01:00:09.070 --> 01:00:10.190]  Come on!
[01:00:10.190 --> 01:00:16.574]  People walk around in a governor's driveway with assault rifles and wave flags.
[01:00:16.574 --> 01:00:21.057]  I mean, they should be, this is something to be concerned about.
[01:00:21.057 --> 01:00:24.499]  And you saw what the head of the FBI said a couple days ago.
[01:00:24.499 --> 01:00:28.742]  He said the greatest terrorist threat in America is from white supremacists.
[01:00:29.517 --> 01:00:42.783]  But like the liberal industrial complex's smears against Nick Sandman, Kyle Rittenhouse, and the Proud Boys, wrongfully branding them white supremacists, there was more to the story than Whitmer wanted her subjects to know.
[01:00:42.783 --> 01:00:53.248]  The Hill reported that Democrat Delaware Governor John Carney last year signed the pardon of one of the men accused of plotting to kidnap Michigan Governor Gretchen Whitmer.
[01:00:53.248 --> 01:00:55.409]  First reported by the Delaware News Journal.
[01:00:55.569 --> 01:01:09.521]  Carney in April of 2019 signed off on the pardon for Barry Gordon Croft Jr., who faced a series of charges in Delaware during the mid-90s, including possession of a firearm during the commission of a felony, assault, and burglary.
[01:01:09.521 --> 01:01:22.272]  A spokesman for Carney said in a statement that the governor called Croft's federal charges disturbing and said, this is only another warning sign about the growing threat of violence and radicalization in our politics.
[01:01:22.552 --> 01:01:24.572]  Okay, Carney, but from who?
[01:01:24.572 --> 01:01:27.473]  Croft walked free on a Democrat's watch.
[01:01:27.473 --> 01:01:32.914]  And of course, two of the alleged kidnappers turned out to be Trump-hating anarchists.
[01:01:32.914 --> 01:01:36.514]  Trump is not your friend, dude.
[01:01:36.514 --> 01:01:41.315]  And it amazes me that people actually believe that.
[01:01:41.315 --> 01:01:43.416]  The full report is at Bandot Video.
[01:01:43.416 --> 01:01:44.636]  It's Whitmer narrative backfires.
[01:01:44.636 --> 01:01:45.276]  It gets even worse.
[01:01:45.276 --> 01:01:50.057]  Turns out they're Black Lives Matter, Antifa, and anarchist idiot drug addicts.
[01:01:50.057 --> 01:01:50.457]  There you go.
[01:01:53.288 --> 01:01:59.813]  There are almost no free independent media infrastructures in the United States, much less in the entire world.
[01:01:59.813 --> 01:02:05.858]  InfoWars is standalone with our own radio and TV satellite uplinks at hundreds of stations picking us up.
[01:02:05.858 --> 01:02:16.286]  Almost no one else has that, especially anybody covering real issues of global populism, the right to self-defense, and exposing the anti-human globalist death agenda.
[01:02:17.066 --> 01:02:21.309]  That's why when we go out and shoot videos, they're at Band.Video.
[01:02:21.309 --> 01:02:25.773]  They're not allowed to be on Twitter, on YouTube, on Facebook.
[01:02:25.773 --> 01:02:41.105]  That's why it's so precious, because if censorship expands to everyone, which it is now, with AI monitoring and controlling what you can say and do, it's going to be the OACs like Band.Video and the now redesigned InfoWars.com that become more and more important, which they are.
[01:02:41.525 --> 01:02:49.107]  And the enemy is suing us, attacking us, hacking us, lying about us, sabotaging us, infiltrating us, trying to shut us down right now.
[01:02:49.107 --> 01:02:50.987]  Because they're coming after everyone.
[01:02:50.987 --> 01:03:03.910]  So spread the word now.
[01:03:03.910 --> 01:03:08.791]  Defending the Republic from enemies, foreign and domestic.
[01:03:08.791 --> 01:03:10.251]  It's Alex Jones.
[01:03:11.394 --> 01:03:13.235]  You know, I'm not doing a perfect job.
[01:03:13.235 --> 01:03:17.357]  I think I'm doing a decent job, but the crew is doing as close to a perfect job as you can get, and I love them.
[01:03:17.357 --> 01:03:18.178]  I want to thank them.
[01:03:18.178 --> 01:03:20.799]  I am your host, Alex Jones.
[01:03:20.799 --> 01:03:22.700]  I want to take a lot of calls in this second hour.
[01:03:22.700 --> 01:03:30.804]  I had a Laura Loomer, who's got a good chance of doing an upstart victory against a Democrat in Trump's district there in Palm Beach.
[01:03:30.804 --> 01:03:34.906]  She had big Skype problems last Friday, so she's going to be popping back in with us today.
[01:03:34.906 --> 01:03:37.888]  Other than that, we've got open phones.
[01:03:37.888 --> 01:03:39.249]  If you just joined us, I've got
[01:03:40.327 --> 01:03:46.811]  Hundreds of incredible articles, dozens of incredible videos, but I'm sorry, I've got to recap our top news.
[01:03:46.811 --> 01:03:52.575]  China's holding military invasion drill and admitting they may invade Taiwan and or Hong Kong.
[01:03:52.575 --> 01:04:06.504]  They're threatening to even take islands away from the Philippines and the Japanese and are threatening to attack with missiles any US ships that enter the disputed waters, which is most of the South China Sea.
[01:04:06.504 --> 01:04:09.066]  This is insane bravado.
[01:04:10.700 --> 01:04:25.495]  Meanwhile, even the nation comes out and exposes, even the liberals, that Bill Gates' wealth has gone up since he went tax-exempt 20 years ago, over $150 billion.
[01:04:25.495 --> 01:04:33.724]  He takes his profits, puts them in tax-exempt foundations that invest in private corporations that he holds controlling stakes in.
[01:04:35.503 --> 01:04:38.145]  You're only allowed to do that if you're ultra-rich, folks.
[01:04:38.145 --> 01:04:42.108]  A regular billionaire, we got arrested if we did that, but a regular billionaire almost pays no taxes.
[01:04:42.108 --> 01:04:47.732]  You know, it came out Jeff Bezos paid no taxes this year or last year.
[01:04:47.732 --> 01:04:55.758]  I pay more taxes than Jeff Bezos because I don't make what a professional baseball player makes.
[01:04:55.758 --> 01:04:58.460]  All these rumors that I have this fabulous wealth and all this crap, no.
[01:04:58.460 --> 01:04:59.541]  I put my money into the operation.
[01:05:01.718 --> 01:05:16.111]  What I'm getting at is, imagine I pay more taxes, okay, a guy that owns a small restaurant that maybe makes $200,000 a year, he pays 40% in federal, pays local tax, state tax, property tax, paying about 65%.
[01:05:16.111 --> 01:05:19.173]  So he's keeping 80 grand?
[01:05:19.173 --> 01:05:23.838]  And that's supposedly upper middle class today, okay?
[01:05:25.069 --> 01:05:27.391]  He pays more than Jeff Bezos.
[01:05:27.391 --> 01:05:32.474]  But Jeff Bezos funds Black Lives Matter for hundreds of millions of dollars, just like Tim Cook is.
[01:05:32.474 --> 01:05:33.574]  What's Tim Cook worth?
[01:05:33.574 --> 01:05:38.698]  Last time I checked, like $20 billion or something.
[01:05:38.698 --> 01:05:39.978]  It's a joke, folks.
[01:05:39.978 --> 01:05:45.822]  But oh, they're liberal, and oh, America's bad, and oh, the police are bad, and oh, Trump's bad.
[01:05:45.822 --> 01:05:53.127]  And then he gets $4 and change on every package sent through the USPS under a loophole in federal law.
[01:05:54.909 --> 01:05:55.810]  We don't get that here.
[01:05:55.810 --> 01:06:02.678]  Because the law's written where you've got to be doing billions in business until you get it.
[01:06:02.678 --> 01:06:03.358]  Do I get?
[01:06:03.358 --> 01:06:05.481]  Oh, I'm sorry we can't do free shipping all the time.
[01:06:05.481 --> 01:06:10.426]  We don't get taxpayer financed.
[01:06:10.426 --> 01:06:11.608]  Because see, there is no free lunch.
[01:06:11.608 --> 01:06:15.312]  When you get that free shipping from Amazon, you paid for it in taxes.
[01:06:17.503 --> 01:06:19.425]  And I'm not even attacking Amazon.
[01:06:19.425 --> 01:06:22.507]  I'm just saying it's absolutely insane.
[01:06:22.507 --> 01:06:22.848]  There it is.
[01:06:22.848 --> 01:06:33.577]  American billionaires, including Jeff Bezos and Tesla founder Elon Musk, have gotten $280 billion richer since the start of the pandemic because the whole thing was actuaried out to only let them operate.
[01:06:33.577 --> 01:06:37.040]  Now, to Elon Musk's credit, he says it's a tyranny, a takeover.
[01:06:37.040 --> 01:06:40.283]  He doesn't like it.
[01:06:40.283 --> 01:06:43.546]  But all the others love it.
